Gene stable ID	Oryza glaberrima gene stable ID	% identity	Oryza glaberrima % identity	Orthology confidence [0 low, 1 high]
OS03G0381300	ORGLA03G0183600	89	63	1
OS03G0381500	ORGLA03G0183800	98	98	0
OS03G0382100	ORGLA03G0183900	95	95	1
OS03G0383100	ORGLA03G0184000	99	99	1
OS03G0383600	ORGLA03G0184100	96	96	0
OS03G0383800	ORGLA03G0184200	99	99	0
OS03G0383900	ORGLA03G0184300	98	98	0
OS03G0385100	ORGLA03G0184900	99	99	1
OS03G0385301	ORGLA03G0184800	93	95	0
OS03G0385400	ORGLA03G0185000	99	99	1
OS03G0385900	ORGLA03G0185200	83	93	0
OS03G0386500	ORGLA03G0185400	97	80	0
OS03G0386700	ORGLA03G0185500	97	96	1
OS03G0386800	ORGLA03G0185600	99	96	1
OS03G0387000	ORGLA03G0185800	55	81	1
OS03G0387300	ORGLA07G0176400	26	29	0
OS03G0388500	ORGLA03G0185900	100	58	1
OS03G0388600	ORGLA03G0186000	92	93	1
OS03G0388800	ORGLA03G0186100	99	99	1
OS03G0388900	ORGLA03G0186200	100	100	1
OS03G0389000	ORGLA03G0186300	70	75	1
OS03G0389100	ORGLA03G0186400	98	98	1
OS03G0389501	ORGLA03G0186500	99	56	1
OS03G0389700	ORGLA03G0186600	100	81	1
OS03G0389900	ORGLA03G0186700	99	99	1
OS03G0390000	ORGLA03G0186800	99	94	1
OS03G0390200	ORGLA03G0186900	99	99	1
OS03G0390400	ORGLA03G0187000	84	84	1
OS03G0390600	ORGLA03G0187100	100	100	0
OS03G0390700	ORGLA03G0187200	100	100	1
OS03G0390900	ORGLA03G0187300	41	98	1
OS03G0391000	ORGLA03G0187400	99	99	1
OS03G0391400	ORGLA03G0187500	97	50	0
OS03G0391700	ORGLA03G0187700	93	100	1
OS03G0392300	ORGLA03G0188100	100	100	1
OS03G0392400	ORGLA03G0188200	100	100	1
OS03G0392600	ORGLA03G0188300	98	98	0
OS03G0393300	ORGLA03G0188400	53	24	0
OS03G0393375	ORGLA03G0188600	74	91	1
OS03G0393700	ORGLA03G0189300	100	99	1
OS03G0393900	ORGLA03G0189400	99	99	0
OS03G0394900	ORGLA03G0189900	99	96	1
OS03G0395000	ORGLA03G0190000	99	100	1
OS03G0395100	ORGLA03G0190100	100	100	1
OS03G0395200	ORGLA03G0190200	96	57	1
OS03G0395300	ORGLA03G0190300	100	100	1
OS03G0395600	ORGLA03G0190400	99	97	1
OS03G0395900	ORGLA03G0190500	99	99	1
OS03G0396500	ORGLA03G0190800	59	51	1
OS03G0396900	ORGLA03G0190900	99	99	1
OS03G0397300	ORGLA03G0191000	99	99	1
OS03G0397400	ORGLA03G0191100	94	94	1
OS03G0397500	ORGLA03G0191200	100	100	1
OS03G0397600	ORGLA03G0191300	100	100	1
OS03G0397700	ORGLA03G0191400	100	69	1
OS03G0398250	ORGLA03G0191600	99	98	1
OS03G0398600	ORGLA03G0191700	99	99	1
OS03G0399000	ORGLA03G0191800	100	100	1
OS03G0399400	ORGLA03G0192000	99	99	1
OS03G0399532	ORGLA03G0192100	97	47	0
OS03G0399800	ORGLA03G0192200	89	93	1
OS03G0400200	ORGLA03G0192400	99	100	1
OS03G0400700	ORGLA03G0192700	100	55	1
OS03G0400800	ORGLA03G0192800	96	37	0
OS03G0401100	ORGLA03G0193000	86	64	0
OS03G0401200	ORGLA03G0193100	99	99	1
OS03G0401300	ORGLA03G0193200	96	100	1
OS03G0402800	ORGLA03G0193500	100	100	1
OS03G0403100	ORGLA03G0193600	100	100	0
OS03G0403400	ORGLA03G0193800	59	74	1
OS03G0403600	ORGLA03G0193900	99	76	1
OS03G0404800	ORGLA03G0194400	98	89	1
OS03G0405000	ORGLA03G0194500	97	97	1
OS03G0405100	ORGLA03G0194600	100	100	1
OS03G0405500	ORGLA03G0194700	96	91	1
OS03G0405550	ORGLA03G0194800	74	91	0
OS03G0405900	ORGLA03G0194900	99	99	1
OS03G0406200	ORGLA03G0195200	77	94	0
OS03G0406900	ORGLA03G0195400	99	99	1
OS03G0407000	ORGLA03G0195500	99	47	1
OS03G0407900	ORGLA03G0196000	99	99	1
OS03G0408300	ORGLA03G0196100	99	99	1
OS03G0408500	ORGLA03G0196200	98	88	0
OS03G0409100	ORGLA03G0196400	99	99	1
OS03G0409400	ORGLA03G0196500	79	89	0
OS03G0409600	ORGLA11G0182400	66	80	0
OS03G0410300	ORGLA03G0196900	100	100	1
OS03G0410700	ORGLA03G0197100	99	99	1
OS03G0410900	ORGLA03G0197200	98	98	1
OS03G0411000	ORGLA03G0197300	99	99	1
OS03G0411100	ORGLA03G0197400	99	99	0
OS03G0411300	ORGLA03G0197500	100	100	1
OS03G0411500	ORGLA03G0197600	90	98	1
OS03G0411600	ORGLA03G0197700	100	100	1
OS03G0411800	ORGLA03G0197900	100	100	1
OS03G0411900	ORGLA03G0198000	70	94	1
OS03G0412200	ORGLA03G0198100	100	100	1
OS03G0412300	ORGLA03G0198200	97	98	1
OS03G0412400	ORGLA03G0198300	98	98	1
OS03G0412800	ORGLA03G0198400	100	100	1
OS03G0412900	ORGLA03G0198500	95	95	1
OS03G0413000	ORGLA03G0198600	100	99	1
OS03G0413100	ORGLA03G0198700	99	100	1
OS03G0413400	ORGLA03G0198900	100	100	1
OS03G0414100	ORGLA03G0199100	96	97	0
OS03G0414400	ORGLA03G0199200	99	99	1
OS03G0414900	ORGLA03G0199300	89	74	0
OS03G0415200	ORGLA03G0199400	91	86	0
OS03G0415351	ORGLA03G0199500	95	83	1
OS03G0415500	ORGLA03G0199700	100	100	1
OS03G0415700	ORGLA03G0199800	85	64	1
OS03G0416200	ORGLA03G0200100	100	100	1
OS03G0416300	ORGLA03G0200200	100	100	1
OS03G0416400	ORGLA03G0200400	99	99	1
OS03G0416500	ORGLA03G0200500	100	100	1
OS03G0418700	ORGLA03G0200600	98	98	1
OS03G0418800	ORGLA03G0200700	91	98	1
OS03G0419100	ORGLA03G0200800	100	100	1
OS03G0419700	ORGLA03G0201200	80	95	1
OS03G0421000	ORGLA03G0201900	100	100	1
OS03G0421400	ORGLA03G0202300	88	30	1
OS03G0421700	ORGLA03G0202400	88	42	1
OS03G0421800	ORGLA01G0399900	98	98	1
OS03G0421800	ORGLA03G0202500	98	98	1
OS03G0422300	ORGLA03G0202600	87	92	1
OS03G0422800	ORGLA03G0202700	98	95	1
OS03G0422900	ORGLA03G0202800	4	3	0
OS03G0423000	ORGLA03G0202900	99	99	1
OS03G0423200	ORGLA03G0203000	100	25	0
OS03G0423300	ORGLA03G0203100	99	99	0
OS03G0423800	ORGLA03G0203300	55	32	1
OS03G0423850	ORGLA03G0203400	75	99	1
OS03G0424200	ORGLA03G0203600	85	85	0
OS03G0424800	ORGLA03G0203800	100	100	1
OS03G0425000	ORGLA03G0203900	100	100	1
OS03G0425100	ORGLA02G0123400	99	64	1
OS03G0425100	ORGLA03G0204000	80	80	1
OS03G0425200	ORGLA03G0204100	99	95	1
OS03G0425300	ORGLA03G0204200	97	55	0
OS03G0425600	ORGLA03G0204300	96	94	0
OS03G0425800	ORGLA03G0204400	76	82	0
OS03G0425900	ORGLA03G0204500	99	99	1
OS03G0426300	ORGLA03G0204700	3	2	0
OS03G0426300	ORGLA12G0189000	0	0	0
OS03G0426350	ORGLA10G0069800	28	52	1
OS03G0426800	ORGLA03G0205200	100	99	1
OS03G0426900	ORGLA03G0205300	100	100	1
OS03G0426900	ORGLA12G0189800	81	81	1
OS03G0427000	ORGLA03G0205400	100	100	1
OS03G0427000	ORGLA12G0189900	100	100	1
OS03G0427100	ORGLA03G0205500	99	99	1
OS03G0427300	ORGLA03G0205600	99	99	1
OS03G0427900	ORGLA03G0206100	100	100	1
OS03G0428700	ORGLA03G0206700	100	100	1
OS03G0428800	ORGLA03G0206800	100	60	1
OS03G0429000	ORGLA03G0206900	97	96	1
OS03G0429800	ORGLA03G0207200	100	100	1
OS03G0429900	ORGLA02G0162900	39	26	1
OS03G0430000	ORGLA03G0207300	100	100	1
OS03G0430400	ORGLA03G0207400	99	43	1
OS03G0430500	ORGLA03G0207500	82	95	1
OS03G0431200	ORGLA03G0207700	97	85	1
OS03G0431500	ORGLA03G0207900	100	80	1
OS03G0431550	ORGLA03G0208000	99	99	1
OS03G0431550	ORGLA08G0091700	82	91	1
OS03G0431600	ORGLA10G0039700	76	76	1
OS03G0431800	ORGLA03G0208300	96	71	1
OS03G0432000	ORGLA03G0208400	99	99	1
OS03G0433200	ORGLA03G0208800	99	99	1
OS03G0433733	ORGLA03G0209000	79	67	1
OS03G0434400	ORGLA03G0209300	99	99	1
OS03G0434800	ORGLA03G0209400	99	99	1
OS03G0435200	ORGLA03G0209500	85	93	0
OS03G0435800	ORGLA03G0209600	90	92	1
OS03G0435900	ORGLA03G0209700	96	70	1
OS03G0436300	ORGLA03G0209800	91	100	1
OS03G0436400	ORGLA03G0209900	99	99	1
OS03G0436600	ORGLA03G0210000	82	94	1
OS03G0437100	ORGLA03G0210200	93	93	0
OS03G0437200	ORGLA03G0210300	100	97	1
OS03G0437600	ORGLA03G0210500	100	100	1
OS03G0438100	ORGLA03G0210700	97	92	0
OS03G0438200	ORGLA03G0210800	97	97	1
OS03G0438400	ORGLA03G0210900	94	94	1
OS03G0438900	ORGLA03G0211000	79	84	1
OS03G0439000	ORGLA03G0211100	100	98	1
OS03G0439500	ORGLA03G0211300	99	99	1
OS03G0439500	ORGLA03G0212100	99	99	1
OS03G0439700	ORGLA03G0211400	100	100	1
OS03G0439700	ORGLA03G0212200	100	100	1
OS03G0439900	ORGLA02G0356400	21	88	1
OS03G0439900	ORGLA02G0356500	22	89	1
OS03G0439900	ORGLA04G0273400	27	88	1
OS03G0439900	ORGLA04G0275200	23	95	1
OS03G0439900	ORGLA06G0266200	81	91	1
OS03G0439900	ORGLA08G0095800	13	84	1
OS03G0439900	ORGLA09G0173600	54	93	1
OS03G0439900	ORGLA09G0180100	50	50	1
OS03G0440900	ORGLA03G0211700	100	100	1
OS03G0440900	ORGLA03G0212500	100	100	1
OS03G0441000	ORGLA03G0211800	100	100	1
OS03G0441000	ORGLA03G0212600	95	100	1
OS03G0441400	ORGLA03G0211900	100	100	1
OS03G0441400	ORGLA03G0212700	100	100	1
OS03G0441500	ORGLA03G0212000	100	100	1
OS03G0442900	ORGLA03G0213000	99	99	1
OS03G0444900	ORGLA03G0213200	76	70	0
OS03G0444900	ORGLA09G0180000	76	70	0
OS03G0445700	ORGLA03G0213800	100	100	1
OS03G0448200	ORGLA03G0214200	88	97	1
OS03G0448600	ORGLA03G0214600	99	99	1
OS03G0448700	ORGLA03G0214700	100	98	1
OS03G0449200	ORGLA03G0214900	100	100	1
OS03G0452300	ORGLA03G0213600	100	100	1
OS03G0453800	ORGLA03G0213400	98	98	1
OS03G0454100	ORGLA03G0213300	100	100	1
OS03G0554900	ORGLA03G0215100	98	33	1
OS03G0554950	ORGLA03G0215100	64	9	1
OS03G0556600	ORGLA03G0215300	99	99	1
OS03G0557900	ORGLA03G0215500	95	95	1
OS03G0558700	ORGLA03G0215900	100	100	1
OS03G0559700	ORGLA03G0216200	80	64	1
OS03G0559900	ORGLA05G0053600	0	0	1
OS03G0559900	ORGLA05G0053700	81	80	1
OS03G0561283	ORGLA03G0216600	97	97	1
OS03G0561400	ORGLA12G0122700	46	29	1
OS03G0562000	ORGLA03G0216700	81	72	0
OS03G0562200	ORGLA03G0216800	100	100	1
OS03G0563100	ORGLA03G0217100	99	99	1
OS03G0563200	ORGLA03G0217200	100	99	1
OS03G0563300	ORGLA03G0217300	100	100	1
OS03G0563600	ORGLA03G0217400	100	100	1
OS03G0564200	ORGLA03G0217500	99	91	0
OS03G0564600	ORGLA03G0217700	100	98	1
OS03G0565100	ORGLA03G0217800	100	100	1
OS03G0565200	ORGLA03G0217900	100	100	1
OS03G0565300	ORGLA03G0218000	99	99	1
OS03G0565500	ORGLA03G0218100	100	100	0
OS03G0565600	ORGLA03G0218200	96	83	0
OS03G0565900	ORGLA03G0218400	89	48	1
OS03G0566500	ORGLA03G0218500	90	90	0
OS03G0566500	ORGLA06G0253800	56	84	0
OS03G0566600	ORGLA03G0218600	99	99	0
OS03G0566600	ORGLA06G0256200	99	99	0
OS03G0566800	ORGLA03G0218800	100	100	0
OS03G0567100	ORGLA06G0253700	100	100	1
OS03G0567600	ORGLA03G0219100	100	100	1
OS03G0567600	ORGLA06G0253300	100	92	1
OS03G0568400	ORGLA03G0219300	67	47	1
OS03G0568400	ORGLA06G0254900	67	51	1
OS03G0568500	ORGLA03G0219400	99	99	1
OS03G0568500	ORGLA06G0255000	99	83	1
OS03G0568600	ORGLA03G0219500	99	99	1
OS03G0568600	ORGLA06G0252000	99	99	1
OS03G0568800	ORGLA03G0219700	98	97	1
OS03G0568900	ORGLA03G0219800	99	99	1
OS03G0569000	ORGLA03G0219900	99	53	0
OS03G0569000	ORGLA06G0253900	99	53	0
OS03G0569800	ORGLA03G0220000	95	79	1
OS03G0569900	ORGLA06G0265400	41	100	1
OS03G0570100	ORGLA03G0220200	99	99	1
OS03G0570200	ORGLA03G0220300	77	39	1
OS03G0570300	ORGLA03G0220400	99	99	1
OS03G0570800	ORGLA03G0220600	99	99	1
OS03G0571700	ORGLA03G0220800	94	66	0
OS03G0571900	ORGLA03G0220900	98	98	1
OS03G0572250	ORGLA03G0221100	99	99	1
OS03G0572300	ORGLA03G0221200	97	98	1
OS03G0572900	ORGLA03G0221400	100	100	1
OS03G0573500	ORGLA03G0221800	99	99	1
OS03G0574300	ORGLA03G0222200	99	33	0
OS03G0574600	ORGLA03G0222300	97	97	1
OS03G0574900	ORGLA03G0222400	100	100	1
OS03G0575200	ORGLA03G0222500	100	100	1
OS03G0576200	ORGLA03G0222800	100	100	1
OS03G0576400	ORGLA03G0223000	84	22	1
OS03G0576600	ORGLA03G0223100	98	98	1
OS03G0576700	ORGLA03G0223200	100	100	1
OS03G0576900	ORGLA03G0223300	93	93	1
OS03G0577000	ORGLA03G0223400	100	100	1
OS03G0577100	ORGLA03G0223500	100	100	1
OS03G0577200	ORGLA03G0223600	100	100	1
OS03G0577500	ORGLA03G0223900	100	99	1
OS03G0578200	ORGLA03G0224100	100	100	1
OS03G0578300	ORGLA03G0224500	1	2	0
OS03G0578500	ORGLA03G0224600	85	79	1
OS03G0578900	ORGLA03G0224700	72	73	1
OS03G0579000	ORGLA03G0224800	99	100	1
OS03G0579200	ORGLA03G0225000	80	92	1
OS03G0579300	ORGLA03G0225100	99	99	1
OS03G0580200	ORGLA03G0225700	1	1	0
OS03G0580200	ORGLA03G0225800	48	51	0
OS03G0581800	ORGLA03G0226000	86	87	0
OS03G0582000	ORGLA03G0226100	97	99	1
OS03G0582100	ORGLA03G0226200	100	96	1
OS03G0582200	ORGLA03G0226300	93	93	0
OS03G0582800	ORGLA03G0226600	85	99	1
OS03G0583000	ORGLA12G0072700	84	53	0
OS03G0583700	ORGLA03G0226900	92	46	0
OS03G0583800	ORGLA03G0227000	99	99	1
OS03G0583900	ORGLA03G0227100	91	95	1
OS03G0584050	ORGLA08G0096300	91	89	1
OS03G0584400	ORGLA03G0227400	100	64	1
OS03G0585600	ORGLA06G0241500	9	6	0
OS03G0586300	ORGLA03G0227800	93	53	0
OS03G0586400	ORGLA03G0227900	98	98	1
OS03G0586400	ORGLA09G0073000	93	93	1
OS03G0586500	ORGLA03G0228000	100	100	1
OS03G0586600	ORGLA03G0228100	92	68	0
OS03G0586700	ORGLA03G0228200	100	100	0
OS03G0586800	ORGLA03G0228300	99	99	1
OS03G0586900	ORGLA03G0228400	90	90	0
OS03G0587000	ORGLA03G0228500	100	97	1
OS03G0587100	ORGLA03G0228600	99	99	1
OS03G0587200	ORGLA03G0228700	95	97	1
OS03G0587600	ORGLA03G0228800	99	99	1
OS03G0588200	ORGLA03G0229200	83	88	0
OS03G0588400	ORGLA03G0229300	96	96	0
OS03G0588600	ORGLA03G0229400	98	98	1
OS03G0588800	ORGLA03G0229500	98	98	1
OS03G0589100	ORGLA03G0229700	100	100	1
OS03G0589300	ORGLA03G0229800	88	88	0
OS03G0589400	ORGLA03G0229700	95	97	1
OS03G0590700	ORGLA03G0230300	94	39	1
OS03G0591000	ORGLA03G0230500	99	99	1
OS03G0591300	ORGLA03G0230600	100	100	1
OS03G0591600	ORGLA03G0230700	97	99	1
OS03G0591600	ORGLA07G0233200	95	94	1
OS03G0592500	ORGLA03G0231200	100	100	1
OS03G0592500	ORGLA11G0223400	100	99	1
OS03G0593200	ORGLA03G0231500	99	93	1
OS03G0593200	ORGLA11G0223100	99	93	1
OS03G0593600	ORGLA03G0231600	96	90	1
OS03G0593700	ORGLA03G0273500	82	56	1
OS03G0593700	ORGLA04G0059100	94	65	1
OS03G0593700	ORGLA11G0222900	64	57	1
OS03G0594100	ORGLA03G0231700	99	99	1
OS03G0594100	ORGLA11G0222700	99	99	1
OS03G0594400	ORGLA03G0231800	100	100	1
OS03G0594400	ORGLA11G0222600	92	99	1
OS03G0594700	ORGLA03G0231900	99	99	1
OS03G0595200	ORGLA03G0232200	86	78	0
OS03G0595300	ORGLA03G0232300	100	100	1
OS03G0596101	ORGLA03G0232700	100	100	1
OS03G0596600	ORGLA03G0232900	67	92	1
OS03G0596700	ORGLA03G0233200	100	99	1
OS03G0596900	ORGLA03G0233300	99	99	1
OS03G0597200	ORGLA03G0233500	100	100	1
OS03G0597400	ORGLA03G0233700	99	96	1
OS03G0598100	ORGLA03G0234100	100	100	1
OS03G0598200	ORGLA03G0234200	98	98	1
OS03G0598800	ORGLA03G0234300	89	91	0
OS03G0598900	ORGLA03G0234400	83	100	1
OS03G0599000	ORGLA03G0234500	100	100	1
OS03G0599400	ORGLA10G0031500	15	29	0
OS03G0600400	ORGLA03G0234600	0	0	0
OS03G0600600	ORGLA03G0235100	42	48	0
OS03G0601500	ORGLA03G0234900	100	100	1
OS03G0602300	ORGLA03G0235500	99	98	0
OS03G0602500	ORGLA03G0235600	97	97	1
OS03G0602600	ORGLA03G0235700	100	100	1
OS03G0603100	ORGLA03G0235900	87	95	1
OS03G0603100	ORGLA03G0236000	1	1	1
OS03G0603300	ORGLA03G0236100	99	68	1
OS03G0603600	ORGLA03G0236200	100	100	1
OS03G0603800	ORGLA03G0236300	62	72	0
OS03G0604200	ORGLA03G0236500	100	100	0
OS03G0604566	ORGLA03G0236600	99	72	1
OS03G0604600	ORGLA03G0236700	99	66	0
OS03G0605300	ORGLA03G0237000	99	99	1
OS03G0606100	ORGLA03G0237400	100	100	1
OS03G0607100	ORGLA03G0237800	87	91	1
OS03G0607200	ORGLA03G0237900	99	99	1
OS03G0607400	ORGLA03G0238000	96	38	0
OS03G0607500	ORGLA03G0238100	83	94	0
OS03G0607600	ORGLA03G0238400	44	71	0
OS03G0607700	ORGLA03G0238500	98	99	1
OS03G0608600	ORGLA03G0238900	98	98	1
OS03G0608800	ORGLA03G0239200	94	99	1
OS03G0609500	ORGLA03G0239300	100	99	1
OS03G0609800	ORGLA03G0239500	99	99	1
OS03G0610400	ORGLA03G0239700	88	88	1
OS03G0610800	ORGLA03G0240000	100	100	1
OS03G0610900	ORGLA03G0240100	100	100	0
OS03G0611200	ORGLA03G0240500	64	88	0
OS03G0612400	ORGLA03G0240600	75	97	1
OS03G0612600	ORGLA03G0240700	54	46	1
OS03G0613100	ORGLA01G0232000	9	5	0
OS03G0613100	ORGLA03G0241000	0	0	0
OS03G0616300	ORGLA03G0241800	100	100	1
OS03G0616400	ORGLA03G0241900	94	99	0
OS03G0616450	ORGLA03G0242000	99	99	0
OS03G0616500	ORGLA03G0242100	93	72	1
OS03G0616700	ORGLA03G0242200	100	58	1
OS03G0617500	ORGLA03G0242300	97	99	1
OS03G0617900	ORGLA03G0242700	100	100	1
OS03G0618300	ORGLA03G0242800	89	89	1
OS03G0618800	ORGLA03G0243000	89	60	1
OS03G0619151	ORGLA03G0243100	94	72	0
OS03G0619400	ORGLA03G0243300	100	100	1
OS03G0619600	ORGLA03G0243400	99	99	1
OS03G0619700	ORGLA03G0243500	89	90	1
OS03G0619800	ORGLA03G0243600	93	89	1
OS03G0619850	ORGLA03G0243700	51	63	1
OS03G0619875	ORGLA03G0243800	98	99	1
OS03G0620400	ORGLA03G0243900	87	53	0
OS03G0620500	ORGLA03G0244100	99	20	0
OS03G0620800	ORGLA03G0244300	100	100	0
OS03G0621400	ORGLA03G0244500	100	100	1
OS03G0621600	ORGLA03G0244700	94	50	1
OS03G0621650	ORGLA03G0244700	98	16	1
OS03G0621900	ORGLA03G0244700	48	7	1
OS03G0622100	ORGLA03G0245000	98	99	1
OS03G0622200	ORGLA03G0245100	98	98	1
OS03G0622600	ORGLA03G0245400	98	88	1
OS03G0623100	ORGLA03G0245700	83	97	1
OS03G0624300	ORGLA03G0246100	95	97	0
OS03G0624600	ORGLA03G0246300	99	96	1
OS03G0624800	ORGLA03G0246400	99	99	1
OS03G0624900	ORGLA03G0246500	92	92	1
OS03G0625300	ORGLA03G0246700	74	79	1
OS03G0625700	ORGLA03G0247000	83	32	0
OS03G0625700	ORGLA03G0400700	32	100	0
OS03G0625800	ORGLA03G0247100	99	99	1
OS03G0625900	ORGLA03G0247200	96	95	0
OS03G0626100	ORGLA03G0247400	77	95	1
OS03G0626200	ORGLA03G0247500	100	73	1
OS03G0626500	ORGLA03G0247600	99	93	0
OS03G0626600	ORGLA03G0247700	100	100	1
OS03G0626700	ORGLA03G0247800	100	100	1
OS03G0626800	ORGLA03G0247900	100	100	1
OS03G0627100	ORGLA03G0248100	90	95	1
OS03G0627300	ORGLA03G0248300	1	1	0
OS03G0627500	ORGLA03G0248400	100	100	1
OS03G0628800	ORGLA03G0249300	96	96	0
OS03G0628900	ORGLA03G0249400	97	97	1
OS03G0632200	ORGLA03G0272700	50	16	0
OS03G0632800	ORGLA03G0249700	83	70	1
OS03G0633100	ORGLA03G0249800	14	7	1
OS03G0633400	ORGLA03G0249800	100	79	1
OS03G0633500	ORGLA03G0249900	51	59	1
OS03G0633800	ORGLA03G0250000	100	100	1
OS03G0633900	ORGLA03G0250100	99	99	1
OS03G0634000	ORGLA03G0250200	58	94	1
OS03G0634400	ORGLA03G0250300	100	100	1
OS03G0635000	ORGLA03G0250400	90	89	1
OS03G0635100	ORGLA03G0250500	99	99	1
OS03G0635800	ORGLA03G0250700	71	65	0
OS03G0636800	ORGLA03G0251100	100	100	1
OS03G0637600	ORGLA03G0251200	100	100	1
OS03G0637800	ORGLA03G0251300	100	100	1
OS03G0637900	ORGLA03G0251400	99	28	1
OS03G0638200	ORGLA03G0251600	100	100	1
OS03G0638300	ORGLA03G0251700	81	12	1
OS03G0638800	ORGLA03G0251800	100	100	0
OS03G0638900	ORGLA03G0251900	71	71	1
OS03G0639233	ORGLA06G0117300	69	87	1
OS03G0639400	ORGLA03G0252300	99	99	1
OS03G0639600	ORGLA03G0252400	100	100	1
OS03G0639700	ORGLA03G0252500	88	100	1
OS03G0639800	ORGLA03G0252600	100	100	1
OS03G0640100	ORGLA03G0252800	100	100	1
OS03G0640300	ORGLA03G0253000	100	49	1
OS03G0640400	ORGLA03G0253100	100	100	1
OS03G0640800	ORGLA03G0253300	100	100	1
OS03G0641500	ORGLA03G0253800	100	97	1
OS03G0641700	ORGLA03G0253900	90	91	1
OS03G0642600	ORGLA03G0254800	63	41	0
OS03G0642900	ORGLA03G0254600	93	82	1
OS03G0643000	ORGLA03G0254700	6	5	0
OS03G0643100	ORGLA01G0235000	88	99	1
OS03G0643300	ORGLA03G0254900	92	96	1
OS03G0643433	ORGLA02G0270600	32	52	1
OS03G0643522	ORGLA12G0154800	73	82	1
OS03G0644400	ORGLA03G0255200	100	100	1
OS03G0644600	ORGLA03G0255600	99	99	0
OS03G0644700	ORGLA03G0255700	87	99	1
OS03G0645000	ORGLA03G0255800	94	78	1
OS03G0645100	ORGLA03G0255900	99	81	0
OS03G0645200	ORGLA03G0256000	100	25	1
OS03G0646900	ORGLA03G0256400	69	100	1
OS03G0646900	ORGLA03G0256500	31	19	1
OS03G0647400	ORGLA03G0256600	71	71	0
OS03G0647500	ORGLA03G0256700	98	90	1
OS03G0647800	ORGLA03G0256900	98	97	0
OS03G0648100	ORGLA03G0257000	100	100	1
OS03G0648250	ORGLA05G0044300	30	38	0
OS03G0648250	ORGLA06G0217900	29	37	0
OS03G0648250	ORGLA08G0139900	29	37	0
OS03G0648300	ORGLA03G0257100	55	96	1
OS03G0648400	ORGLA03G0257200	100	100	1
OS03G0648500	ORGLA03G0257300	98	100	1
OS03G0648600	ORGLA03G0257400	83	90	1
OS03G0648900	ORGLA03G0401900	45	100	0
OS03G0649000	ORGLA03G0401800	99	99	1
OS03G0650300	ORGLA03G0401700	30	100	1
OS03G0650400	ORGLA03G0401600	99	99	1
OS03G0650700	ORGLA03G0401500	100	100	1
OS03G0650800	ORGLA03G0401400	90	90	1
OS03G0650900	ORGLA03G0401300	99	99	1
OS03G0651000	ORGLA03G0401200	99	99	1
OS03G0651100	ORGLA03G0401100	94	52	1
OS03G0652100	ORGLA03G0257500	91	99	0
OS03G0652400	ORGLA03G0257900	47	33	0
OS03G0653100	ORGLA03G0257900	62	36	0
OS03G0653900	ORGLA03G0258000	95	73	0
OS03G0654400	ORGLA03G0258300	100	100	1
OS03G0654500	ORGLA03G0258400	93	92	1
OS03G0654600	ORGLA03G0258500	99	61	0
OS03G0654700	ORGLA03G0258600	100	100	1
OS03G0654900	ORGLA03G0258800	27	50	1
OS03G0654900	ORGLA03G0258900	4	4	1
OS03G0655100	ORGLA03G0259000	87	86	1
OS03G0655200	ORGLA03G0259100	97	98	1
OS03G0655300	ORGLA03G0259200	93	97	1
OS03G0655400	ORGLA03G0259300	99	92	1
OS03G0655500	ORGLA03G0259400	100	100	1
OS03G0655600	ORGLA03G0259500	96	100	1
OS03G0655700	ORGLA03G0259600	100	100	1
OS03G0656000	ORGLA03G0259700	87	67	0
OS03G0656100	ORGLA12G0166300	16	15	0
OS03G0656201	ORGLA03G0259900	100	100	1
OS03G0656500	ORGLA03G0260000	100	100	1
OS03G0656800	ORGLA03G0260100	77	100	1
OS03G0656900	ORGLA03G0260200	100	100	1
OS03G0657000	ORGLA03G0260300	100	100	1
OS03G0657100	ORGLA03G0260400	99	99	1
OS03G0657400	ORGLA03G0260500	93	89	1
OS03G0658800	ORGLA03G0260900	98	97	1
OS03G0659233	ORGLA03G0399000	100	100	1
OS03G0659233	ORGLA09G0177300	96	96	1
OS03G0659233	ORGLA10G0154200	100	100	1
OS03G0659700	ORGLA02G0255200	31	30	0
OS03G0659700	ORGLA04G0085000	19	32	0
OS03G0660300	ORGLA03G0261200	96	96	1
OS03G0660400	ORGLA03G0261300	96	83	1
OS03G0660500	ORGLA03G0261500	98	98	1
OS03G0660700	ORGLA03G0261600	83	67	1
OS03G0661300	ORGLA03G0262000	100	100	1
OS03G0661500	ORGLA03G0262200	100	100	1
OS03G0661600	ORGLA03G0262300	82	100	1
OS03G0661800	ORGLA03G0262400	84	84	1
OS03G0661900	ORGLA03G0262500	87	97	1
OS03G0663100	ORGLA03G0262900	99	99	1
OS03G0663400	ORGLA03G0263100	99	99	1
OS03G0663500	ORGLA03G0263200	99	94	1
OS03G0663700	ORGLA03G0263300	99	51	0
OS03G0663800	ORGLA03G0263400	92	41	1
OS03G0663900	ORGLA03G0263500	52	61	0
OS03G0664300	ORGLA03G0263700	96	98	1
OS03G0664400	ORGLA03G0263900	99	99	1
OS03G0664600	ORGLA03G0264000	95	99	0
OS03G0664700	ORGLA03G0264100	81	81	1
OS03G0664800	ORGLA03G0264200	99	99	1
OS03G0665000	ORGLA03G0264400	98	98	1
OS03G0665200	ORGLA03G0264500	99	99	1
OS03G0665700	ORGLA03G0264700	100	100	0
