Gene stable ID	Oryza glumaepatula gene stable ID	% identity	Oryza glumaepatula % identity	Orthology confidence [0 low, 1 high]
OS02G0805600	OGLUM02G37690	93	99	1
OS02G0805700	OGLUM02G37700	75	99	1
OS02G0805800	OGLUM02G37710	94	73	1
OS02G0806000	OGLUM02G37720	99	99	1
OS02G0806400	OGLUM02G37730	71	49	0
OS02G0806500	OGLUM02G37750	100	100	1
OS02G0806600	OGLUM02G37760	100	100	1
OS02G0806700	OGLUM02G37770	100	100	1
OS02G0806900	OGLUM02G37790	99	99	0
OS02G0807000	OGLUM02G37800	99	99	0
OS02G0807100	OGLUM02G37810	94	42	1
OS02G0807200	OGLUM02G37820	69	89	1
OS02G0807700	OGLUM07G12990	71	20	1
OS02G0807800	OGLUM02G37840	95	48	1
OS02G0807900	OGLUM02G37830	25	37	0
OS02G0808100	OGLUM02G37860	98	56	1
OS02G0808300	OGLUM02G37830	24	37	0
OS02G0809500	OGLUM02G37930	92	100	1
OS02G0809800	OGLUM02G37950	94	99	0
OS02G0809900	OGLUM02G37960	100	30	0
OS02G0810100	OGLUM02G37970	94	94	1
OS02G0810200	OGLUM02G37980	99	22	0
OS02G0810300	OGLUM02G37990	84	98	1
OS02G0810400	OGLUM02G38000	84	23	1
OS02G0810600	OGLUM02G38010	72	71	1
OS02G0810900	OGLUM02G38020	95	95	1
OS02G0811000	OGLUM02G38030	100	100	1
OS02G0811101	OGLUM02G38040	5	3	1
OS02G0811200	OGLUM02G38050	93	93	1
OS02G0811400	OGLUM02G38060	99	51	1
OS02G0812000	OGLUM02G38070	93	92	0
OS02G0812400	OGLUM02G38090	99	99	1
OS02G0813200	OGLUM12G12330	9	35	0
OS02G0813350	OGLUM02G38100	90	14	1
OS02G0813500	OGLUM02G38110	100	100	1
OS02G0813600	OGLUM02G38130	100	100	1
OS02G0813800	OGLUM02G38150	95	99	1
OS02G0814000	OGLUM02G38160	99	99	1
OS02G0814100	OGLUM02G38170	72	23	0
OS02G0814200	OGLUM02G38180	94	100	1
OS02G0814300	OGLUM02G38190	95	99	1
OS02G0814400	OGLUM02G38200	96	55	1
OS02G0814700	OGLUM10G12440	92	100	1
OS02G0814800	OGLUM02G38220	91	91	1
OS02G0814900	OGLUM02G38230	90	74	1
OS02G0815000	OGLUM02G38240	67	100	1
OS02G0815100	OGLUM02G38250	93	95	1
OS02G0815200	OGLUM02G38260	99	98	1
OS02G0815300	OGLUM02G38270	84	97	1
OS02G0815400	OGLUM02G38280	97	99	0
OS02G0815500	OGLUM02G38290	99	99	1
OS02G0815600	OGLUM02G38300	94	97	1
OS02G0815800	OGLUM02G38320	98	95	1
OS02G0815900	OGLUM02G38330	98	95	1
OS02G0816000	OGLUM02G38340	99	99	1
OS02G0816100	OGLUM02G38350	99	99	1
OS02G0816200	OGLUM02G38370	98	99	0
OS02G0816300	OGLUM02G38380	96	91	1
OS02G0816400	OGLUM02G38390	99	91	1
OS02G0816600	OGLUM02G38410	97	35	1
OS02G0816700	OGLUM02G38420	100	100	1
OS02G0816800	OGLUM02G38430	100	100	1
OS02G0816900	OGLUM02G38440	98	79	0
OS02G0817000	OGLUM02G38450	98	99	1
OS02G0817200	OGLUM02G38470	100	85	1
OS02G0817500	OGLUM02G38480	100	100	1
OS02G0817600	OGLUM02G38490	85	85	0
OS02G0817700	OGLUM02G38500	100	100	1
OS02G0817800	OGLUM02G38510	96	46	1
OS02G0818000	OGLUM02G38520	92	89	1
OS02G0818450	OGLUM02G38550	60	17	1
OS02G0818500	OGLUM02G38550	78	22	1
OS02G0818700	OGLUM02G38580	68	98	1
OS02G0818800	OGLUM02G38590	89	80	0
OS02G0818900	OGLUM02G38600	69	99	1
OS02G0819000	OGLUM02G38610	95	41	1
OS02G0819100	OGLUM02G38620	97	97	1
OS02G0819300	OGLUM02G38640	99	73	1
OS02G0819400	OGLUM02G38650	97	24	1
OS02G0819500	OGLUM02G38660	90	72	0
OS02G0819600	OGLUM02G38670	100	94	1
OS02G0819700	OGLUM02G38680	98	98	1
OS02G0819900	OGLUM02G38690	88	89	1
OS02G0820000	OGLUM02G38700	98	97	1
OS02G0820200	OGLUM02G38720	99	77	1
OS02G0820300	OGLUM02G38710	98	96	0
OS02G0820400	OGLUM02G38730	100	100	1
OS02G0820500	OGLUM02G38740	100	100	1
OS02G0820600	OGLUM02G38750	98	96	0
OS02G0820700	OGLUM02G38760	100	100	1
OS02G0820800	OGLUM02G38770	100	100	1
OS02G0820900	OGLUM02G38780	91	100	1
OS02G0821200	OGLUM02G38790	100	63	0
OS02G0821400	OGLUM02G38810	100	100	1
OS02G0821600	OGLUM02G38820	87	83	1
OS02G0821900	OGLUM02G38830	100	90	1
OS02G0822000	OGLUM02G38840	100	100	1
OS02G0822100	OGLUM02G38850	100	100	1
OS02G0822200	OGLUM02G38860	100	100	1
OS02G0822300	OGLUM02G38870	97	95	1
OS02G0822400	OGLUM02G38880	96	99	1
OS02G0822500	OGLUM02G38890	100	100	1
OS02G0822600	OGLUM02G38910	92	96	1
OS02G0822800	OGLUM02G38930	97	97	0
OS02G0822900	OGLUM02G38940	99	98	1
OS02G0823000	OGLUM02G38950	99	85	1
OS02G0823200	OGLUM02G38960	92	92	1
OS02G0823300	OGLUM02G38970	100	100	1
OS02G0823400	OGLUM02G38990	91	99	1
OS02G0823700	OGLUM02G39000	95	99	1
OS02G0823800	OGLUM02G39010	98	99	1
OS02G0823900	OGLUM02G39020	87	93	1
OS02G0824000	OGLUM02G39040	96	98	1
OS02G0824100	OGLUM02G39050	98	98	1
OS02G0824300	OGLUM02G39060	79	78	1
OS02G0824400	OGLUM02G39070	100	98	1
OS02G0824500	OGLUM02G39080	97	97	1
OS02G0824700	OGLUM02G39100	98	75	0
OS02G0825301	OGLUM02G39130	89	49	1
OS02G0825600	OGLUM02G13880	53	13	1
OS02G0825700	OGLUM02G39150	86	23	1
OS02G0826000	OGLUM02G39160	56	42	1
OS02G0826100	OGLUM02G39170	95	98	0
OS02G0826200	OGLUM02G39180	99	86	0
OS02G0826300	OGLUM02G39190	96	96	0
OS02G0826500	OGLUM02G39210	98	88	1
OS02G0826600	OGLUM02G39220	53	21	0
OS02G0827200	OGLUM02G39250	75	31	0
OS02G0827300	OGLUM02G39260	93	83	1
OS02G0827400	OGLUM02G39270	99	52	1
OS02G0827500	OGLUM02G39280	97	77	1
OS02G0827600	OGLUM02G39290	86	94	1
OS02G0827900	OGLUM02G39300	93	87	1
OS02G0828100	OGLUM02G39310	97	81	1
OS02G0828200	OGLUM02G39320	94	98	1
OS02G0828400	OGLUM08G08990	31	61	1
OS02G0828500	OGLUM02G39330	98	99	1
OS02G0828566	OGLUM01G49640	99	100	1
OS02G0828600	OGLUM01G49630	98	15	1
OS02G0828800	OGLUM01G49650	88	100	1
OS02G0828900	OGLUM01G49660	98	99	1
OS02G0829100	OGLUM02G39340	100	100	1
OS02G0829200	OGLUM02G39350	97	74	1
OS02G0829400	OGLUM02G39360	98	100	1
OS02G0829500	OGLUM02G39370	99	99	1
OS02G0829600	OGLUM02G39380	98	91	1
OS02G0829800	OGLUM02G39400	96	96	1
OS02G0830000	OGLUM02G39420	100	100	1
OS02G0830100	OGLUM02G39430	99	97	1
OS02G0830300	OGLUM02G39440	91	77	0
OS02G0830801	OGLUM02G39490	94	35	1
OS02G0830900	OGLUM02G39490	100	18	1
OS02G0831100	OGLUM02G39500	98	59	1
OS02G0831200	OGLUM02G39510	98	90	1
OS02G0831300	OGLUM02G39520	95	97	0
OS02G0831400	OGLUM02G39530	99	76	1
OS02G0831500	OGLUM02G39540	92	93	1
OS02G0831600	OGLUM02G39560	85	96	0
OS02G0831700	OGLUM02G39570	99	99	1
OS02G0832000	OGLUM02G39580	100	100	1
OS02G0832100	OGLUM02G39590	98	67	1
OS02G0832150	OGLUM02G39600	94	86	1
OS02G0832200	OGLUM02G39610	42	55	0
OS02G0832400	OGLUM02G39620	100	47	1
OS02G0832500	OGLUM02G39620	100	16	1
OS02G0832800	OGLUM02G39630	88	92	0
OS02G0833000	OGLUM02G39640	95	73	1
OS02G0833050	OGLUM02G39650	93	60	0
OS02G0833300	OGLUM02G39670	96	97	1
OS02G0833400	OGLUM02G39690	99	99	1
OS02G0833500	OGLUM02G39700	99	99	1
OS02G0833600	OGLUM02G39710	88	94	1
OS02G0834000	OGLUM02G39750	97	100	1
OS02G0834300	OGLUM02G39770	96	96	1
OS02G0834700	OGLUM02G39760	44	49	0
OS03G0100010	OGLUM03G00010	48	35	1
OS03G0100020	OGLUM03G00020	100	100	1
OS03G0100030	OGLUM03G00030	99	99	1
OS03G0100040	OGLUM03G00040	99	99	1
OS03G0100050	OGLUM03G00050	84	34	1
OS03G0100100	OGLUM03G00070	100	100	1
OS03G0100200	OGLUM03G00080	100	89	1
OS03G0100400	OGLUM03G00090	100	100	1
OS03G0100500	OGLUM03G00100	100	12	1
OS03G0100800	OGLUM03G00120	100	99	1
OS03G0100900	OGLUM03G00130	99	100	1
OS03G0101100	OGLUM03G00150	88	92	0
OS03G0101300	OGLUM03G00140	96	31	1
OS03G0101600	OGLUM03G00170	100	90	1
OS03G0101800	OGLUM03G00180	96	97	1
OS03G0101900	OGLUM03G00190	95	90	0
OS03G0102200	OGLUM03G00200	100	84	1
OS03G0102400	OGLUM03G00220	97	92	1
OS03G0102500	OGLUM03G00230	92	91	1
OS03G0102700	OGLUM03G00250	92	78	1
OS03G0103000	OGLUM03G00240	99	83	1
OS03G0103100	OGLUM03G00260	99	62	0
OS03G0103300	OGLUM03G00270	100	38	1
OS03G0103400	OGLUM03G00280	93	94	1
OS03G0103950	OGLUM10G10240	94	30	0
OS03G0104400	OGLUM09G16860	50	52	0
OS03G0104901	OGLUM06G08270	9	10	1
OS03G0105300	OGLUM01G16510	30	53	0
OS03G0105300	OGLUM03G03580	33	36	0
OS03G0105300	OGLUM05G10970	28	36	0
OS03G0105300	OGLUM05G11090	29	37	0
OS03G0105500	OGLUM01G21240	58	17	1
OS03G0105600	OGLUM03G00290	100	100	1
OS03G0105700	OGLUM03G00300	98	97	1
OS03G0105800	OGLUM03G00310	93	84	1
OS03G0106000	OGLUM03G00320	99	99	1
OS03G0106200	OGLUM03G00340	91	92	1
OS03G0106300	OGLUM03G00350	98	99	1
OS03G0106400	OGLUM03G00360	95	95	1
OS03G0106500	OGLUM03G00370	99	99	1
OS03G0106800	OGLUM03G00380	97	97	1
OS03G0106900	OGLUM03G00370	99	99	1
OS03G0107000	OGLUM03G00410	86	49	0
OS03G0107100	OGLUM03G06070	12	22	1
OS03G0107300	OGLUM03G00430	100	100	1
OS03G0107400	OGLUM03G00440	99	69	1
OS03G0107600	OGLUM03G00470	89	100	1
OS03G0107700	OGLUM03G00490	100	100	1
OS03G0107900	OGLUM03G00510	100	94	1
OS03G0108000	OGLUM03G00530	100	100	1
OS03G0108200	OGLUM03G00550	69	33	0
OS03G0108300	OGLUM03G00560	100	100	1
OS03G0108400	OGLUM03G00570	97	93	0
OS03G0108500	OGLUM03G00580	99	99	1
OS03G0108600	OGLUM03G00590	100	78	1
OS03G0108700	OGLUM03G00600	98	98	1
OS03G0109000	OGLUM03G00640	72	72	1
OS03G0109300	OGLUM03G00660	99	99	0
OS03G0109400	OGLUM03G00670	100	97	1
OS03G0109500	OGLUM03G00680	100	100	1
OS03G0109600	OGLUM03G00690	99	99	1
OS03G0109700	OGLUM03G00710	99	99	0
OS03G0110300	OGLUM03G00820	63	97	1
OS03G0110400	OGLUM03G00830	99	99	1
OS03G0110500	OGLUM03G00840	97	97	1
OS03G0110800	OGLUM03G00860	100	88	1
OS03G0111100	OGLUM03G00870	93	98	0
OS03G0111200	OGLUM03G00880	100	100	1
OS03G0111300	OGLUM03G00890	99	99	1
OS03G0111400	OGLUM03G00910	97	97	0
OS03G0111800	OGLUM03G00930	94	97	1
OS03G0112101	OGLUM03G00940	100	37	0
OS03G0112600	OGLUM03G00950	80	18	1
OS03G0112800	OGLUM03G00960	100	100	1
OS03G0112900	OGLUM03G00970	100	100	1
OS03G0113000	OGLUM03G00980	100	100	1
OS03G0113100	OGLUM03G00990	100	100	1
OS03G0113200	OGLUM03G01000	94	93	1
OS03G0113700	OGLUM03G01030	99	99	1
OS03G0113800	OGLUM03G01040	100	100	1
OS03G0113900	OGLUM03G01050	96	96	1
OS03G0114000	OGLUM03G01060	98	72	0
OS03G0114200	OGLUM03G01080	99	94	1
OS03G0114300	OGLUM03G01090	88	98	0
OS03G0114400	OGLUM03G01100	99	99	1
OS03G0114800	OGLUM03G01120	100	100	1
OS03G0114900	OGLUM03G01130	100	100	1
OS03G0115000	OGLUM03G01140	99	98	1
OS03G0115100	OGLUM03G01160	100	100	1
OS03G0115200	OGLUM03G00780	91	100	0
OS03G0115300	OGLUM03G01170	97	97	1
OS03G0115400	OGLUM03G01180	100	96	1
OS03G0115500	OGLUM03G01190	87	57	0
OS03G0115700	OGLUM03G01200	99	99	1
OS03G0115800	OGLUM03G01210	87	60	1
OS03G0116000	OGLUM03G01230	100	100	1
OS03G0116300	OGLUM03G01240	100	71	1
OS03G0116316	OGLUM03G01240	48	14	1
OS03G0116400	OGLUM03G01250	100	100	1
OS03G0116500	OGLUM03G01260	100	100	1
OS03G0116700	OGLUM03G01280	99	99	0
OS03G0116800	OGLUM03G01290	99	79	1
OS03G0116900	OGLUM03G01320	100	100	1
OS03G0117000	OGLUM03G01300	58	47	0
OS03G0117100	OGLUM03G01330	89	100	1
OS03G0117300	OGLUM03G01340	86	97	1
OS03G0117800	OGLUM03G01360	99	99	1
OS03G0117900	OGLUM03G01370	98	98	1
OS03G0118100	OGLUM03G01380	98	98	1
OS03G0118200	OGLUM03G01390	99	91	1
OS03G0118600	OGLUM03G01410	56	98	1
OS03G0118700	OGLUM03G01420	66	67	1
OS03G0118800	OGLUM03G01430	100	100	1
OS03G0118900	OGLUM03G01440	100	100	1
OS03G0119000	OGLUM03G01450	96	100	1
OS03G0119100	OGLUM03G01470	100	92	1
OS03G0119300	OGLUM03G01480	100	100	1
OS03G0119500	OGLUM03G01490	95	34	0
OS03G0119700	OGLUM03G01500	96	99	1
OS03G0119800	OGLUM03G01510	85	74	1
OS03G0119900	OGLUM09G11710	100	100	1
OS03G0119966	OGLUM03G01540	100	100	1
OS03G0120100	OGLUM03G01550	89	77	1
OS03G0120200	OGLUM03G01570	97	92	0
OS03G0120300	OGLUM03G01580	100	100	1
OS03G0120400	OGLUM03G01590	89	100	1
OS03G0120900	OGLUM03G01630	97	96	1
OS03G0121200	OGLUM03G01670	52	54	0
OS03G0121300	OGLUM03G01670	51	51	0
OS03G0121700	OGLUM03G01680	100	100	1
OS03G0121800	OGLUM03G01690	100	13	1
OS03G0122000	OGLUM03G01700	99	98	1
OS03G0122100	OGLUM03G01710	92	94	1
OS03G0122200	OGLUM03G01720	92	99	1
OS03G0122300	OGLUM03G01730	100	100	1
OS03G0122600	OGLUM03G01750	99	99	1
OS03G0123200	OGLUM03G01770	99	98	1
OS03G0123300	OGLUM03G01780	99	99	1
OS03G0123500	OGLUM03G01790	100	100	1
OS03G0123600	OGLUM03G01800	97	91	0
OS03G0123800	OGLUM03G01820	99	99	1
OS03G0124000	OGLUM03G01830	96	99	1
OS03G0124100	OGLUM03G01850	97	97	1
OS03G0124200	OGLUM03G01860	98	87	1
OS03G0124300	OGLUM03G01870	59	98	1
OS03G0124500	OGLUM03G01890	98	78	1
OS03G0124900	OGLUM03G01920	100	100	1
OS03G0125000	OGLUM03G01940	100	82	1
OS03G0125100	OGLUM03G01950	99	89	1
OS03G0125300	OGLUM03G01960	100	100	1
OS03G0125600	OGLUM03G01970	100	100	1
OS03G0125800	OGLUM03G02000	99	96	1
OS03G0126000	OGLUM03G02010	97	93	0
OS03G0126100	OGLUM03G02020	99	65	0
OS03G0126300	OGLUM03G02030	91	82	0
OS03G0126450	OGLUM03G02040	62	90	1
OS03G0126700	OGLUM03G02050	96	91	1
OS03G0126800	OGLUM03G02100	85	83	1
OS03G0126900	OGLUM03G02110	95	54	0
OS03G0127000	OGLUM03G02120	98	76	0
OS03G0127500	OGLUM03G02140	99	100	1
OS03G0127600	OGLUM03G02150	99	99	1
OS03G0127700	OGLUM03G02160	98	98	1
OS03G0127900	OGLUM03G02170	88	30	1
OS03G0128000	OGLUM03G02180	99	99	1
OS03G0128100	OGLUM03G02190	100	34	1
OS03G0128200	OGLUM03G02190	86	25	1
OS03G0128300	OGLUM03G02200	99	99	1
OS03G0128400	OGLUM03G02210	100	100	1
OS03G0128500	OGLUM03G02220	96	92	0
OS03G0128800	OGLUM03G02240	92	96	0
OS03G0128932	OGLUM03G02230	94	57	0
OS03G0129000	OGLUM03G02250	100	91	1
OS03G0129100	OGLUM03G02260	97	91	1
OS03G0129200	OGLUM03G02270	93	42	1
OS03G0129300	OGLUM03G02280	100	100	1
OS03G0129400	OGLUM03G02300	63	45	1
OS03G0129800	OGLUM03G02290	73	83	1
OS03G0129900	OGLUM03G02320	72	96	1
OS03G0130100	OGLUM03G02480	99	99	1
OS03G0130300	OGLUM03G02340	100	100	1
OS03G0130350	OGLUM03G02620	68	59	1
OS03G0130400	OGLUM03G02350	100	100	1
OS03G0130500	OGLUM03G02360	99	99	1
OS03G0130700	OGLUM03G02380	96	73	1
OS03G0130800	OGLUM03G02390	90	84	1
OS03G0131100	OGLUM03G02410	98	98	1
OS03G0131200	OGLUM03G02420	94	100	1
OS03G0131300	OGLUM03G02430	99	96	1
OS03G0131400	OGLUM03G02440	92	98	1
OS03G0131500	OGLUM03G02450	99	100	1
OS03G0131900	OGLUM03G02470	99	98	0
OS03G0131950	OGLUM03G02460	86	72	1
OS03G0132000	OGLUM03G02490	100	100	1
OS03G0132200	OGLUM03G02510	100	100	1
OS03G0132300	OGLUM03G02520	98	98	0
OS03G0132800	OGLUM03G02540	100	100	1
OS03G0132900	OGLUM03G02550	100	100	1
OS03G0133000	OGLUM03G02560	100	100	1
OS03G0133100	OGLUM03G02570	99	99	1
OS03G0133400	OGLUM03G02590	91	72	0
OS03G0133500	OGLUM03G02600	99	97	1
OS03G0133800	OGLUM03G02610	99	89	0
OS03G0133900	OGLUM03G02630	92	92	1
OS03G0134300	OGLUM03G02650	100	100	1
OS03G0134500	OGLUM03G02660	96	96	0
OS03G0134800	OGLUM03G02680	85	86	1
OS03G0134900	OGLUM03G02690	100	99	1
OS03G0135100	OGLUM03G02710	100	100	1
OS03G0135200	OGLUM03G02720	99	29	1
OS03G0135400	OGLUM03G02730	100	100	1
OS03G0135600	OGLUM03G02740	98	94	1
OS03G0135700	OGLUM03G02750	88	81	1
OS03G0135800	OGLUM03G02760	82	50	1
OS03G0136200	OGLUM03G02780	100	100	1
OS03G0136400	OGLUM03G02800	100	98	1
OS03G0136500	OGLUM03G02810	99	99	1
OS03G0136600	OGLUM03G02820	99	99	1
OS03G0136800	OGLUM03G02840	100	100	1
OS03G0136900	OGLUM03G02850	100	99	1
OS03G0137200	OGLUM03G02870	100	100	1
OS03G0137300	OGLUM03G02880	100	73	1
OS03G0137500	OGLUM03G02890	86	65	1
OS03G0137700	OGLUM03G02900	99	99	1
OS03G0137800	OGLUM03G02910	100	100	1
OS03G0138100	OGLUM03G02930	87	58	0
OS03G0138200	OGLUM03G02950	98	99	1
OS03G0138400	OGLUM03G02970	99	99	1
OS03G0138500	OGLUM03G02980	99	99	1
OS03G0138600	OGLUM03G02990	86	80	0
OS03G0138700	OGLUM03G03000	99	99	1
OS03G0138900	OGLUM03G03010	96	96	1
OS03G0139200	OGLUM03G03030	98	98	0
OS03G0139500	OGLUM03G03040	98	93	1
OS03G0139600	OGLUM03G03060	72	37	0
OS03G0140100	OGLUM03G03070	99	99	1
OS03G0140200	OGLUM03G03090	100	44	1
OS03G0140500	OGLUM03G03110	95	75	1
OS03G0140650	OGLUM03G03130	57	11	1
OS03G0140700	OGLUM03G03140	91	90	0
OS03G0140900	OGLUM03G03150	90	86	1
OS03G0141200	OGLUM03G03160	100	100	1
OS03G0141800	OGLUM03G03180	46	38	1
OS03G0142200	OGLUM03G03190	99	38	1
OS03G0142500	OGLUM03G03200	98	99	1
OS03G0142800	OGLUM03G03220	100	100	1
OS03G0142900	OGLUM03G03230	100	100	1
OS03G0143100	OGLUM03G03250	99	99	1
OS03G0143300	OGLUM03G03270	64	17	1
OS03G0143400	OGLUM03G03280	81	96	0
OS03G0143600	OGLUM03G03290	98	74	1
OS03G0143700	OGLUM03G03300	100	100	1
OS03G0143900	OGLUM03G03310	88	17	0
OS03G0144000	OGLUM03G03330	93	62	1
OS03G0144500	OGLUM03G03350	98	43	1
OS03G0144800	OGLUM03G03380	95	98	1
OS03G0144951	OGLUM03G03390	23	11	0
OS03G0145050	OGLUM09G00480	32	29	0
OS03G0145102	OGLUM03G03400	86	83	1
OS03G0145200	OGLUM03G03420	100	100	1
OS03G0145500	OGLUM03G03460	100	100	1
OS03G0145600	OGLUM03G03470	99	99	1
OS03G0145700	OGLUM03G03480	98	98	1
OS03G0145775	OGLUM03G03490	63	30	0
OS03G0145800	OGLUM03G03500	97	73	1
OS03G0145900	OGLUM03G03510	50	16	0
OS03G0146000	OGLUM03G03520	66	86	1
OS03G0146100	OGLUM03G03530	100	100	1
OS03G0146400	OGLUM03G03550	100	81	1
OS03G0146500	OGLUM03G03560	100	95	1
OS03G0146600	OGLUM03G03570	97	4	0
OS03G0147150	OGLUM03G03590	4	9	1
OS03G0147400	OGLUM03G03610	99	86	0
OS03G0147700	OGLUM03G03620	97	83	1
OS03G0148000	OGLUM03G03640	99	99	1
OS03G0148300	OGLUM03G03650	81	93	1
OS03G0148400	OGLUM03G03660	97	98	1
OS03G0148700	OGLUM03G03670	98	98	1
OS03G0148800	OGLUM03G03680	97	89	1
OS03G0149000	OGLUM03G03700	50	89	0
OS03G0149100	OGLUM03G03710	99	90	1
OS03G0149200	OGLUM03G03730	100	100	1
OS03G0149300	OGLUM03G03740	99	90	1
OS03G0149400	OGLUM03G03750	99	89	1
OS03G0149700	OGLUM03G03760	96	95	1
OS03G0149800	OGLUM03G03770	96	100	1
OS03G0150200	OGLUM03G03790	99	99	1
OS03G0150500	OGLUM03G03810	99	99	1
OS03G0150600	OGLUM03G03820	42	99	1
OS03G0150700	OGLUM03G03840	71	82	0
OS03G0150800	OGLUM03G03850	98	66	1
OS03G0151100	OGLUM03G03860	95	56	1
OS03G0151300	OGLUM03G03870	94	22	1
OS03G0151500	OGLUM03G03880	92	100	1
OS03G0151600	OGLUM03G03890	99	99	1
OS03G0151700	OGLUM03G03900	99	99	1
OS03G0151800	OGLUM03G03910	100	100	1
OS03G0151900	OGLUM03G03920	100	100	1
OS03G0152000	OGLUM03G03930	99	99	1
OS03G0152100	OGLUM03G03940	70	18	1
OS03G0152400	OGLUM03G03960	99	94	1
OS03G0152600	OGLUM03G03970	100	88	1
OS03G0152700	OGLUM03G03980	92	34	0
OS03G0152900	OGLUM03G03990	93	93	1
OS03G0153000	OGLUM03G04000	100	14	1
OS03G0153100	OGLUM03G04010	96	96	1
OS03G0153500	OGLUM03G04020	93	70	1
OS03G0154100	OGLUM03G04040	100	81	1
OS03G0154700	OGLUM03G04060	100	100	0
OS03G0155000	OGLUM03G04070	85	53	1
OS03G0155300	OGLUM03G04080	98	98	0
OS03G0155700	OGLUM03G04090	100	39	1
OS03G0155900	OGLUM03G04100	100	100	1
OS03G0156500	OGLUM03G04110	96	96	1
OS03G0156600	OGLUM03G04120	99	99	1
OS03G0156700	OGLUM03G04130	76	91	0
OS03G0157400	OGLUM03G04140	100	100	1
OS03G0157500	OGLUM03G04150	100	95	1
OS03G0157600	OGLUM03G04160	81	92	1
OS03G0157700	OGLUM03G04170	98	99	1
OS03G0157800	OGLUM03G04180	87	100	1
OS03G0157900	OGLUM03G04190	99	99	1
OS03G0158200	OGLUM03G04200	100	88	1
OS03G0158300	OGLUM03G04210	99	99	1
OS03G0158500	OGLUM03G04220	100	98	1
OS03G0158700	OGLUM03G04240	97	96	1
OS03G0158900	OGLUM03G04250	99	100	1
OS03G0159100	OGLUM03G04260	100	100	1
OS03G0159200	OGLUM03G04270	99	99	1
OS03G0159400	OGLUM03G04280	87	96	1
OS03G0159600	OGLUM03G04290	99	99	1
OS03G0159700	OGLUM03G04300	99	99	1
OS03G0159800	OGLUM03G04310	62	59	0
OS03G0159900	OGLUM03G04320	100	100	1
OS03G0160100	OGLUM03G04330	97	100	1
OS03G0160200	OGLUM03G04340	100	100	1
OS03G0160300	OGLUM03G04350	90	90	0
OS03G0160400	OGLUM03G04360	94	86	1
OS03G0160600	OGLUM03G04380	100	100	1
OS03G0160900	OGLUM03G04400	48	81	1
OS03G0161000	OGLUM03G04410	30	16	1
OS03G0161100	OGLUM03G04420	91	91	0
OS03G0161200	OGLUM03G04430	96	98	0
OS03G0161400	OGLUM03G04440	78	78	0
OS03G0161500	OGLUM03G04450	91	55	1
OS03G0161600	OGLUM03G04460	75	60	0
OS03G0161800	OGLUM03G04470	99	99	1
OS03G0162000	OGLUM03G04490	99	99	1
OS03G0162200	OGLUM03G04500	100	100	1
OS03G0162500	OGLUM03G04510	100	100	1
OS03G0162650	OGLUM12G12390	21	18	0
OS03G0162900	OGLUM03G04530	99	99	1
OS03G0163100	OGLUM03G04540	95	63	1
OS03G0163200	OGLUM07G12830	19	23	0
OS03G0163300	OGLUM03G04550	96	96	1
OS03G0163400	OGLUM03G04560	98	83	1
OS03G0163500	OGLUM03G04570	100	100	1
OS03G0163600	OGLUM03G04580	94	33	1
OS03G0164200	OGLUM07G08560	19	18	0
OS03G0164700	OGLUM03G04620	100	96	1
OS03G0164800	OGLUM03G04630	99	99	1
OS03G0165000	OGLUM03G04650	89	42	1
OS03G0165100	OGLUM03G04680	87	98	1
OS03G0165266	OGLUM03G04690	81	77	1
OS03G0165300	OGLUM03G04700	97	100	1
OS03G0165375	OGLUM03G04710	50	54	1
OS03G0165400	OGLUM03G04720	98	97	1
OS03G0165600	OGLUM03G04730	66	22	0
OS03G0165800	OGLUM03G04740	100	100	1
OS03G0165900	OGLUM03G04750	99	99	1
OS03G0166100	OGLUM03G04770	77	51	1
OS03G0166200	OGLUM03G04780	81	80	1
OS03G0166600	OGLUM03G04790	97	37	1
OS03G0166800	OGLUM03G04810	99	99	1
OS03G0166900	OGLUM12G16500	30	36	1
OS03G0167000	OGLUM03G04820	90	88	1
OS03G0167400	OGLUM03G04850	99	69	1
OS03G0167500	OGLUM03G04860	95	91	1
OS03G0167600	OGLUM03G04880	97	97	1
OS03G0167700	OGLUM03G04890	100	100	1
OS03G0167800	OGLUM03G04900	99	99	1
OS03G0168100	OGLUM03G04920	99	99	1
OS03G0168200	OGLUM03G04930	100	100	1
OS03G0168300	OGLUM03G04940	100	100	1
OS03G0168400	OGLUM03G04950	100	37	1
OS03G0168500	OGLUM03G04960	98	74	1
OS03G0168600	OGLUM03G04970	88	88	1
OS03G0168700	OGLUM03G04990	100	100	1
OS03G0168900	OGLUM03G05020	99	98	1
OS03G0169000	OGLUM03G05040	99	80	1
OS03G0169100	OGLUM03G05030	92	60	0
OS03G0169300	OGLUM03G05060	98	65	1
OS03G0169400	OGLUM03G05070	99	99	1
OS03G0169600	OGLUM03G05090	99	99	1
OS03G0169800	OGLUM03G05100	99	99	1
OS03G0169900	OGLUM03G05110	82	84	0
OS03G0170100	OGLUM03G05130	100	98	1
OS03G0170200	OGLUM06G21710	73	39	1
OS03G0170300	OGLUM03G05140	99	99	1
OS03G0170400	OGLUM03G02400	47	14	0
OS03G0170500	OGLUM03G05160	99	99	1
OS03G0170800	OGLUM03G05190	100	100	1
OS03G0170900	OGLUM03G05200	97	97	1
OS03G0171300	OGLUM03G05230	64	42	0
OS03G0171600	OGLUM03G05240	100	100	1
