Gene stable ID	Oryza rufipogon gene stable ID	% identity	Oryza rufipogon % identity	Orthology confidence [0 low, 1 high]
OS02G0551700	ORUFI02G21310	100	56	1
OS02G0551900	ORUFI02G21320	100	100	1
OS02G0552000	ORUFI02G21330	99	100	0
OS02G0552100	ORUFI02G21340	60	61	1
OS02G0552200	ORUFI02G21350	100	100	1
OS02G0553200	ORUFI02G21380	100	68	1
OS02G0553500	ORUFI02G21410	91	50	1
OS02G0554000	ORUFI02G21420	81	26	1
OS02G0554100	ORUFI02G21430	100	100	1
OS02G0554200	ORUFI02G21440	100	100	1
OS02G0554300	ORUFI02G21450	91	76	0
OS02G0554800	ORUFI02G21470	99	97	1
OS02G0554900	ORUFI02G21480	96	96	0
OS02G0555000	ORUFI02G21490	88	92	0
OS02G0555100	ORUFI02G21500	100	100	1
OS02G0555300	ORUFI02G21510	100	100	1
OS02G0555600	ORUFI02G21520	100	99	1
OS02G0555700	ORUFI02G21530	86	88	1
OS02G0555900	ORUFI02G21540	88	91	1
OS02G0556000	ORUFI02G21550	97	98	1
OS02G0556100	ORUFI02G21560	100	100	1
OS02G0556400	ORUFI02G21570	96	100	1
OS02G0556600	ORUFI02G21580	93	100	1
OS02G0556700	ORUFI02G21590	99	100	1
OS02G0556800	ORUFI02G21600	100	100	1
OS02G0556900	ORUFI02G21610	95	95	1
OS02G0557000	ORUFI02G21620	97	100	1
OS02G0557100	ORUFI02G21630	100	100	1
OS02G0557200	ORUFI02G21640	100	100	1
OS02G0557300	ORUFI02G21650	100	100	1
OS02G0557500	ORUFI02G21660	100	58	1
OS02G0557600	ORUFI02G21670	97	100	1
OS02G0557700	ORUFI02G21680	100	100	1
OS02G0557800	ORUFI02G21690	94	94	1
OS02G0558100	ORUFI02G21700	100	100	1
OS02G0558500	ORUFI02G21720	97	88	1
OS02G0558600	ORUFI02G21730	94	92	1
OS02G0558700	ORUFI02G21740	100	100	1
OS02G0559300	ORUFI02G21750	98	100	1
OS02G0559400	ORUFI02G21760	78	74	0
OS02G0559800	ORUFI02G21790	86	89	0
OS02G0560200	ORUFI02G21790	86	89	0
OS02G0560600	ORUFI02G21790	86	89	0
OS02G0561000	ORUFI02G21790	86	89	0
OS02G0561400	ORUFI02G21790	86	89	0
OS02G0561500	ORUFI02G21770	95	62	1
OS02G0561800	ORUFI02G21790	86	89	0
OS02G0561900	ORUFI02G21790	38	40	0
OS02G0562100	ORUFI02G21810	100	99	0
OS02G0562300	ORUFI02G21820	100	100	1
OS02G0562400	ORUFI02G21830	100	81	1
OS02G0562600	ORUFI02G21840	100	41	0
OS02G0562700	ORUFI02G21850	100	100	1
OS02G0563000	ORUFI02G21860	100	100	1
OS02G0563800	ORUFI02G21880	100	100	1
OS02G0564000	ORUFI02G21890	86	92	0
OS02G0564100	ORUFI02G21900	100	100	1
OS02G0564300	ORUFI02G21920	93	83	0
OS02G0564400	ORUFI02G21930	98	99	1
OS02G0564500	ORUFI02G21940	94	100	0
OS02G0564600	ORUFI08G18640	38	33	0
OS02G0564700	ORUFI02G21960	91	98	0
OS02G0565000	ORUFI02G21970	89	89	0
OS02G0565100	ORUFI02G21980	75	96	0
OS02G0565150	ORUFI02G21990	92	79	0
OS02G0565200	ORUFI02G22000	98	98	0
OS02G0565300	ORUFI02G22010	54	99	0
OS02G0565400	ORUFI02G22030	97	81	0
OS02G0565500	ORUFI02G22040	93	90	0
OS02G0565600	ORUFI02G22050	100	100	1
OS02G0566400	ORUFI02G22070	95	96	0
OS02G0566500	ORUFI02G22080	99	87	1
OS02G0566700	ORUFI02G22090	100	100	1
OS02G0566800	ORUFI02G22100	93	95	1
OS02G0566900	ORUFI02G22110	93	99	0
OS02G0567000	ORUFI02G22120	100	100	1
OS02G0567100	ORUFI02G22130	100	100	1
OS02G0567200	ORUFI02G22140	98	90	1
OS02G0567800	ORUFI02G22160	100	100	1
OS02G0567900	ORUFI02G22170	100	60	0
OS02G0568200	ORUFI02G22190	91	93	0
OS02G0568600	ORUFI02G22200	72	74	0
OS02G0569400	ORUFI02G22260	98	98	0
OS02G0569900	ORUFI02G22330	100	100	1
OS02G0570300	ORUFI02G22340	57	64	1
OS02G0570400	ORUFI02G22350	100	100	1
OS02G0570500	ORUFI02G22380	68	95	0
OS02G0570700	ORUFI02G22390	100	100	1
OS02G0570900	ORUFI02G22400	96	39	0
OS02G0571100	ORUFI02G22400	96	42	0
OS02G0571300	ORUFI02G22410	67	96	0
OS02G0571800	ORUFI02G22440	83	92	0
OS02G0571900	ORUFI02G22450	100	100	1
OS02G0572050	ORUFI02G22460	69	50	1
OS02G0572200	ORUFI02G22470	100	100	1
OS02G0572300	ORUFI02G22490	78	84	1
OS02G0572400	ORUFI02G22510	98	100	1
OS02G0572600	ORUFI02G22520	100	99	1
OS02G0572900	ORUFI02G22530	83	82	0
OS02G0573200	ORUFI02G22540	99	99	1
OS02G0573300	ORUFI02G22550	89	38	0
OS02G0573400	ORUFI02G22560	100	100	0
OS02G0574000	ORUFI02G22570	87	36	0
OS02G0574500	ORUFI02G22600	73	89	0
OS02G0574600	ORUFI02G22610	100	100	1
OS02G0574900	ORUFI02G22640	100	100	1
OS02G0575000	ORUFI02G22650	100	100	0
OS02G0575200	ORUFI02G22660	95	100	1
OS02G0575500	ORUFI02G22690	100	88	1
OS02G0575700	ORUFI02G22710	100	100	1
OS02G0575800	ORUFI02G22720	97	97	1
OS02G0575900	ORUFI02G22730	52	100	1
OS02G0576400	ORUFI02G22750	99	99	1
OS02G0576600	ORUFI02G22770	100	96	0
OS02G0576700	ORUFI02G22780	100	100	1
OS02G0576900	ORUFI02G22800	100	100	1
OS02G0577100	ORUFI02G22810	100	100	1
OS02G0577300	ORUFI02G22830	99	96	1
OS02G0577501	ORUFI02G22840	99	99	1
OS02G0577700	ORUFI02G22850	98	96	1
OS02G0577900	ORUFI02G22860	69	35	0
OS02G0578300	ORUFI02G22880	100	100	1
OS02G0578366	ORUFI02G22890	100	100	1
OS02G0578400	ORUFI02G22900	100	100	1
OS02G0578800	ORUFI02G22920	96	96	1
OS02G0579600	ORUFI02G22950	98	100	1
OS02G0579800	ORUFI02G22960	87	62	0
OS02G0580000	ORUFI02G22970	49	73	0
OS02G0580100	ORUFI02G22980	93	100	1
OS02G0580300	ORUFI02G22990	100	100	0
OS02G0580400	ORUFI02G23000	100	98	0
OS02G0580500	ORUFI02G23010	100	100	1
OS02G0580600	ORUFI02G23020	100	91	1
OS02G0580700	ORUFI02G23030	100	96	0
OS02G0580800	ORUFI02G23040	92	82	1
OS02G0580900	ORUFI02G23050	99	84	0
OS02G0581000	ORUFI02G23060	90	54	0
OS02G0581100	ORUFI02G23070	100	100	1
OS02G0581200	ORUFI02G23080	100	100	0
OS02G0581300	ORUFI02G23100	100	100	1
OS02G0581400	ORUFI02G23110	99	20	0
OS02G0581500	ORUFI02G23110	93	17	0
OS02G0581700	ORUFI02G23120	98	98	1
OS02G0581800	ORUFI02G23130	100	100	0
OS02G0581900	ORUFI04G00020	49	37	1
OS02G0582100	ORUFI02G23140	100	100	1
OS02G0582200	ORUFI02G23150	100	92	1
OS02G0582300	ORUFI02G23160	97	100	1
OS02G0582400	ORUFI02G23170	100	100	1
OS02G0582600	ORUFI02G23180	96	96	0
OS02G0582800	ORUFI02G23190	100	100	1
OS02G0582900	ORUFI02G23200	100	100	1
OS02G0583000	ORUFI02G23210	100	100	1
OS02G0583500	ORUFI02G23230	26	82	1
OS02G0583700	ORUFI02G23240	100	48	1
OS02G0584700	ORUFI02G23260	99	99	1
OS02G0584800	ORUFI02G23270	99	99	1
OS02G0584900	ORUFI02G23280	99	99	1
OS02G0585100	ORUFI02G23290	100	100	1
OS02G0585200	ORUFI02G23300	84	82	0
OS02G0585700	ORUFI02G23320	100	100	1
OS02G0586000	ORUFI02G23340	100	100	1
OS02G0586400	ORUFI02G23380	100	100	1
OS02G0586500	ORUFI02G23390	82	91	0
OS02G0586600	ORUFI02G23400	100	100	1
OS02G0586700	ORUFI02G23410	31	69	0
OS02G0586800	ORUFI02G23420	100	100	1
OS02G0586900	ORUFI02G23430	99	99	1
OS02G0587000	ORUFI02G23440	99	99	1
OS02G0587300	ORUFI02G23450	80	100	1
OS02G0587600	ORUFI02G23460	93	100	1
OS02G0587800	ORUFI02G23470	99	99	1
OS02G0588300	ORUFI02G23500	98	100	1
OS02G0588500	ORUFI02G23510	77	67	0
OS02G0588600	ORUFI02G23520	90	82	0
OS02G0588700	ORUFI02G23530	99	99	1
OS02G0589600	ORUFI02G23550	54	99	1
OS02G0589700	ORUFI02G23540	95	23	1
OS02G0590400	ORUFI02G23570	98	97	1
OS02G0590800	ORUFI02G23590	87	95	0
OS02G0591500	ORUFI02G23610	99	100	1
OS02G0591600	ORUFI02G23620	91	88	1
OS02G0591700	ORUFI02G23630	100	100	1
OS02G0591800	ORUFI02G23640	100	100	1
OS02G0591900	ORUFI02G23650	96	99	0
OS02G0592000	ORUFI02G23660	100	98	1
OS02G0592200	ORUFI02G23670	96	100	1
OS02G0592300	ORUFI02G23680	93	100	1
OS02G0592400	ORUFI02G23690	100	100	0
OS02G0592500	ORUFI02G23700	97	93	0
OS02G0592600	ORUFI01G33310	28	68	0
OS02G0592700	ORUFI02G23720	51	99	1
OS02G0592833	ORUFI02G23730	99	99	0
OS02G0593100	ORUFI02G23760	89	51	1
OS02G0593400	ORUFI02G23790	99	99	1
OS02G0593500	ORUFI02G23780	100	100	1
OS02G0593600	ORUFI02G23800	100	100	1
OS02G0593700	ORUFI02G23810	95	100	0
OS02G0593900	ORUFI02G23820	100	100	1
OS02G0594100	ORUFI02G23830	100	93	1
OS02G0594300	ORUFI02G23860	99	99	1
OS02G0594700	ORUFI12G06540	47	75	1
OS02G0594800	ORUFI02G23890	100	100	1
OS02G0594900	ORUFI02G23900	100	100	1
OS02G0595100	ORUFI02G23920	98	93	0
OS02G0595200	ORUFI02G23930	100	100	1
OS02G0595300	ORUFI02G23940	99	53	1
OS02G0595400	ORUFI02G23950	100	100	1
OS02G0595500	ORUFI02G23960	100	100	1
OS02G0595700	ORUFI02G23970	81	100	1
OS02G0595800	ORUFI02G23980	100	100	1
OS02G0596000	ORUFI02G23990	82	89	0
OS02G0596100	ORUFI02G24000	95	98	1
OS02G0596200	ORUFI02G24010	100	70	1
OS02G0596300	ORUFI02G24020	100	89	1
OS02G0596500	ORUFI02G24030	98	100	1
OS02G0596900	ORUFI02G24070	100	95	1
OS02G0597000	ORUFI02G24090	95	100	1
OS02G0597200	ORUFI08G09480	43	48	0
OS02G0597300	ORUFI02G24100	99	60	0
OS02G0597700	ORUFI02G24120	100	100	1
OS02G0597800	ORUFI02G24130	100	100	1
OS02G0597900	ORUFI02G24140	100	19	1
OS02G0598200	ORUFI02G24170	100	97	1
OS02G0598300	ORUFI02G24180	98	17	1
OS02G0598400	ORUFI02G24240	75	100	1
OS02G0598500	ORUFI02G24250	38	48	0
OS02G0598600	ORUFI02G24220	100	100	1
OS02G0598900	ORUFI02G24220	100	100	1
OS02G0599100	ORUFI02G24240	75	99	1
OS02G0599150	ORUFI02G24250	38	48	0
OS02G0599151	ORUFI02G24250	44	78	0
OS02G0599200	ORUFI02G24260	100	58	1
OS02G0599400	ORUFI02G24320	90	20	0
OS02G0599500	ORUFI02G24290	45	75	1
OS02G0600100	ORUFI02G24350	100	100	0
OS02G0600200	ORUFI02G24360	98	99	1
OS02G0600400	ORUFI02G24380	100	96	1
OS02G0600650	ORUFI02G24400	54	83	1
OS02G0601000	ORUFI02G24420	100	100	1
OS02G0601100	ORUFI02G24430	100	33	1
OS02G0601300	ORUFI02G24450	100	96	1
OS02G0601600	ORUFI02G24470	100	100	1
OS02G0601700	ORUFI02G24490	100	100	1
OS02G0601800	ORUFI02G24500	100	96	1
OS02G0602000	ORUFI02G24520	99	99	1
OS02G0602400	ORUFI02G24540	100	60	1
OS02G0602500	ORUFI02G24550	100	100	1
OS02G0602600	ORUFI02G24560	95	95	1
OS02G0602800	ORUFI02G24580	59	100	0
OS02G0602900	ORUFI02G24590	74	42	0
OS02G0603000	ORUFI02G24600	100	100	1
OS02G0603100	ORUFI02G24610	100	100	1
OS02G0603600	ORUFI02G24640	79	47	1
OS02G0603700	ORUFI02G24650	41	59	0
OS02G0603800	ORUFI02G24670	96	100	1
OS02G0604000	ORUFI02G24680	100	99	1
OS02G0604100	ORUFI02G24690	100	100	1
OS02G0604300	ORUFI02G24710	96	99	1
OS02G0604700	ORUFI02G24730	100	26	1
OS02G0605400	ORUFI02G24750	87	13	0
OS02G0605500	ORUFI02G24760	99	94	1
OS02G0605600	ORUFI02G24780	94	76	0
OS02G0605900	ORUFI02G24800	100	100	1
OS02G0606000	ORUFI02G24810	100	85	1
OS02G0606100	ORUFI02G24820	97	23	0
OS02G0606200	ORUFI02G24830	94	100	1
OS02G0606300	ORUFI02G24840	46	19	0
OS02G0606600	ORUFI02G24860	55	62	0
OS02G0606800	ORUFI02G24870	100	100	1
OS02G0606900	ORUFI02G24880	100	58	1
OS02G0607000	ORUFI02G24890	93	53	1
OS02G0607500	ORUFI02G24900	90	37	0
OS02G0607700	ORUFI02G24910	100	100	1
OS02G0608000	ORUFI02G24950	99	99	1
OS02G0608200	ORUFI02G24970	52	33	0
OS02G0608400	ORUFI02G25000	100	100	1
OS02G0608500	ORUFI02G25010	99	100	1
OS02G0608801	ORUFI02G25040	100	100	1
OS02G0608900	ORUFI02G25050	99	99	1
OS02G0609200	ORUFI02G25060	96	100	1
OS02G0609800	ORUFI02G25090	73	62	0
OS02G0610000	ORUFI07G01390	45	30	0
OS02G0610000	ORUFI07G01400	46	37	0
OS02G0610400	ORUFI02G25120	97	97	0
OS02G0610500	ORUFI02G25130	100	100	1
OS02G0610600	ORUFI02G25150	100	56	1
OS02G0610800	ORUFI02G25160	100	100	0
OS02G0611200	ORUFI02G25190	95	66	1
OS02G0611300	ORUFI02G25210	55	78	1
OS02G0611400	ORUFI02G25220	100	100	0
OS02G0611450	ORUFI02G25230	73	43	1
OS02G0611500	ORUFI02G25240	99	99	1
OS02G0611800	ORUFI02G25250	100	100	1
OS02G0612000	ORUFI02G25260	90	80	0
OS02G0612100	ORUFI02G25270	100	100	1
OS02G0612200	ORUFI02G25280	99	74	0
OS02G0612700	ORUFI02G25290	100	100	1
OS02G0612800	ORUFI02G25300	100	99	1
OS02G0612900	ORUFI02G25310	100	100	1
OS02G0613000	ORUFI02G25330	81	82	0
OS02G0613100	ORUFI02G25340	100	100	1
OS02G0613200	ORUFI02G25350	100	100	1
OS02G0613400	ORUFI02G25360	75	13	0
OS02G0613600	ORUFI02G25370	82	99	0
OS02G0613900	ORUFI02G25400	81	79	0
OS02G0614100	ORUFI02G25410	97	96	1
OS02G0614200	ORUFI02G25420	99	99	1
OS02G0614300	ORUFI02G25430	93	42	1
OS02G0614400	ORUFI02G25440	97	78	0
OS02G0614500	ORUFI02G25450	99	92	0
OS02G0614600	ORUFI02G25460	97	97	0
OS02G0614700	ORUFI02G25470	96	31	0
OS02G0615500	ORUFI08G05610	53	55	0
OS02G0616100	ORUFI07G11380	64	66	0
OS02G0616199	ORUFI08G13840	52	45	1
OS02G0616300	ORUFI02G25510	91	20	1
OS02G0616800	ORUFI12G08680	96	92	1
OS02G0617000	ORUFI02G25540	95	63	0
OS02G0617100	ORUFI02G25550	98	33	0
OS02G0617200	ORUFI02G25560	71	14	1
OS02G0617300	ORUFI02G25570	97	51	1
OS02G0617500	ORUFI02G25580	95	50	0
OS02G0617700	ORUFI02G25590	98	21	1
OS02G0618100	ORUFI02G25610	100	96	1
OS02G0618200	ORUFI02G25620	99	87	1
OS02G0618250	ORUFI02G25630	100	100	1
OS02G0618400	ORUFI02G25650	99	85	1
OS02G0618700	ORUFI02G25680	99	99	1
OS02G0619600	ORUFI02G25720	99	99	0
OS02G0620100	ORUFI02G25730	99	99	1
OS02G0620400	ORUFI02G25740	100	100	1
OS02G0620500	ORUFI02G25750	100	100	1
OS02G0620600	ORUFI02G25770	100	100	1
OS02G0621100	ORUFI02G25800	100	87	1
OS02G0621300	ORUFI02G25810	100	97	1
OS02G0621500	ORUFI02G25820	85	100	1
OS02G0621600	ORUFI02G25830	97	100	0
OS02G0621700	ORUFI02G25840	100	100	1
OS02G0621800	ORUFI02G25850	100	100	1
OS02G0622100	ORUFI02G25860	100	100	1
OS02G0622200	ORUFI02G25870	100	100	0
OS02G0622300	ORUFI02G25880	69	100	1
OS02G0622400	ORUFI02G25890	70	57	0
OS02G0622500	ORUFI02G25900	10	4	0
OS02G0623500	ORUFI02G25950	87	90	0
OS02G0624300	ORUFI02G25970	100	100	1
OS02G0624400	ORUFI02G25980	74	100	1
OS02G0625000	ORUFI02G26000	100	100	1
OS02G0625100	ORUFI02G26010	100	100	1
OS02G0625300	ORUFI02G26030	100	100	1
OS02G0625500	ORUFI02G26040	91	100	1
OS02G0625900	ORUFI02G26060	100	100	1
OS02G0626100	ORUFI02G26080	100	100	0
OS02G0626400	ORUFI02G26090	100	100	1
OS02G0626600	ORUFI02G26100	91	91	1
OS02G0627100	ORUFI02G26110	100	100	1
OS02G0627700	ORUFI02G26120	100	92	0
OS02G0627800	ORUFI02G26130	67	95	1
OS02G0627900	ORUFI02G26150	61	75	0
OS02G0628000	ORUFI02G26160	100	100	1
OS02G0628200	ORUFI02G26170	95	85	0
OS02G0628600	ORUFI02G26180	96	100	1
OS02G0628900	ORUFI02G26200	90	60	1
OS02G0629000	ORUFI02G26210	99	99	0
OS02G0629200	ORUFI02G26230	100	100	1
OS02G0629332	ORUFI02G26240	53	46	1
OS02G0629400	ORUFI02G26250	99	100	1
OS02G0630100	ORUFI02G26260	35	77	1
OS02G0630250	ORUFI02G26270	87	83	1
OS02G0630300	ORUFI02G26280	95	77	0
OS02G0631000	ORUFI02G26310	100	79	1
OS02G0631100	ORUFI02G26320	100	100	1
OS02G0631200	ORUFI02G26330	77	51	1
OS02G0631500	ORUFI02G26340	95	28	1
OS02G0631601	ORUFI02G26340	80	14	1
OS02G0631700	ORUFI02G26350	99	91	0
OS02G0631801	ORUFI02G26360	100	27	1
OS02G0632100	ORUFI02G26380	94	60	1
OS02G0632500	ORUFI02G26400	81	95	1
OS02G0632850	ORUFI02G26410	90	94	1
OS02G0633000	ORUFI11G13840	18	60	0
OS02G0633100	ORUFI02G26460	93	98	1
OS02G0633200	ORUFI02G26470	100	100	0
OS02G0633300	ORUFI02G26480	100	36	1
OS02G0633400	ORUFI02G26490	100	100	1
OS02G0633700	ORUFI02G26500	76	39	1
OS02G0634100	ORUFI02G26510	56	61	0
OS02G0634500	ORUFI02G26520	100	100	1
OS02G0634600	ORUFI02G26530	100	100	1
OS02G0634700	ORUFI02G26540	96	100	1
OS02G0634800	ORUFI02G26550	99	66	1
OS02G0634900	ORUFI02G26560	100	100	1
OS02G0635000	ORUFI02G26570	100	100	1
OS02G0635200	ORUFI02G26580	100	100	1
OS02G0635800	ORUFI02G26600	89	100	1
OS02G0636300	ORUFI02G26630	100	55	1
OS02G0636600	ORUFI02G26640	100	100	1
OS02G0636700	ORUFI02G26650	100	100	1
OS02G0637000	ORUFI02G26660	98	81	1
OS02G0637200	ORUFI02G26680	100	100	1
OS02G0637700	ORUFI02G26700	98	33	1
OS02G0637900	ORUFI02G26710	95	100	1
OS02G0638000	ORUFI02G26720	100	100	1
OS02G0638200	ORUFI02G26730	99	39	1
OS02G0638300	ORUFI02G26740	100	100	1
OS02G0638400	ORUFI02G26750	99	93	1
OS02G0638650	ORUFI02G26760	97	97	1
OS02G0638900	ORUFI02G26770	86	64	1
OS02G0639000	ORUFI02G26780	100	100	1
OS02G0639100	ORUFI02G26800	100	100	1
OS02G0639500	ORUFI02G26830	89	86	0
OS02G0639600	ORUFI02G26840	100	100	1
OS02G0639700	ORUFI02G26850	100	98	1
OS02G0639800	ORUFI02G26860	99	89	1
OS02G0639900	ORUFI02G26870	100	77	1
OS02G0640000	ORUFI02G26880	100	60	1
OS02G0640100	ORUFI02G26890	90	71	0
OS02G0640200	ORUFI02G26900	98	99	1
OS02G0640300	ORUFI02G26910	98	61	1
OS02G0640500	ORUFI02G26920	100	100	1
OS02G0640600	ORUFI02G26930	68	79	1
OS02G0640700	ORUFI02G26940	88	88	1
OS02G0640800	ORUFI02G26950	99	100	1
OS02G0641000	ORUFI02G26960	60	46	0
OS02G0641100	ORUFI02G26970	34	100	1
OS02G0641800	ORUFI02G26990	85	85	1
OS02G0641900	ORUFI02G27000	100	100	1
OS02G0642200	ORUFI02G27010	100	100	1
OS02G0642300	ORUFI02G27020	100	44	0
OS02G0642600	ORUFI02G27040	95	100	1
OS02G0642700	ORUFI02G27050	96	69	1
OS02G0643000	ORUFI02G27060	100	100	1
OS02G0643200	ORUFI02G27080	100	100	1
OS02G0643500	ORUFI02G27100	100	100	1
OS02G0643600	ORUFI02G27110	100	100	1
OS02G0643800	ORUFI02G27120	99	99	1
OS02G0643900	ORUFI02G27130	78	82	1
OS02G0644000	ORUFI02G27140	100	100	1
OS02G0644100	ORUFI02G27150	100	100	1
OS02G0644200	ORUFI02G27160	52	28	0
OS02G0644500	ORUFI02G27170	100	100	1
OS02G0644600	ORUFI02G27190	65	55	0
OS02G0644700	ORUFI02G27200	34	75	1
OS02G0645000	ORUFI02G27230	99	99	1
OS02G0645100	ORUFI02G27180	35	99	1
OS02G0645600	ORUFI02G27260	67	94	0
OS02G0646200	ORUFI02G27290	100	100	1
OS02G0646400	ORUFI02G27300	100	100	1
OS02G0646500	ORUFI02G27310	95	100	1
OS02G0647300	ORUFI02G27350	97	99	1
OS02G0647900	ORUFI02G27360	100	100	1
OS02G0648100	ORUFI02G27370	98	99	1
OS02G0648300	ORUFI02G27390	80	56	0
OS02G0648900	ORUFI04G09260	41	41	1
OS02G0649300	ORUFI02G27420	93	93	0
OS02G0649700	ORUFI02G27440	100	100	1
OS02G0649800	ORUFI02G27450	100	100	1
OS02G0649900	ORUFI02G27460	95	91	1
OS02G0650300	ORUFI02G27480	100	100	1
OS02G0650500	ORUFI02G27500	100	100	1
OS02G0650800	ORUFI02G27520	100	65	1
OS02G0650900	ORUFI02G27530	100	100	1
OS02G0651000	ORUFI02G27540	99	68	0
OS02G0651200	ORUFI02G27560	75	52	0
OS02G0651300	ORUFI02G27570	98	96	1
OS02G0651500	ORUFI04G22050	2	0	0
OS02G0651900	ORUFI02G27600	100	100	1
OS02G0652000	ORUFI02G27610	100	100	1
OS02G0652300	ORUFI02G27650	99	100	1
OS02G0652550	ORUFI02G27660	93	92	1
OS02G0652600	ORUFI02G27670	100	100	1
OS02G0652800	ORUFI02G27690	100	100	1
OS02G0653200	ORUFI02G27710	91	74	1
OS02G0653400	ORUFI02G27720	100	100	1
OS02G0653800	ORUFI02G27740	98	99	0
OS02G0653900	ORUFI02G27750	100	100	1
OS02G0654000	ORUFI02G27760	91	100	1
OS02G0654100	ORUFI02G27770	100	93	1
OS02G0654300	ORUFI02G27780	100	100	1
OS02G0654400	ORUFI02G27790	100	100	1
OS02G0654500	ORUFI02G27810	85	99	1
OS02G0654600	ORUFI02G27820	96	98	1
OS02G0654700	ORUFI02G27830	100	100	1
OS02G0655100	ORUFI02G27850	94	97	0
OS02G0655300	ORUFI02G27870	100	100	1
OS02G0655500	ORUFI02G27880	91	93	0
OS02G0655600	ORUFI02G27890	57	22	0
OS02G0655700	ORUFI02G27900	100	96	1
OS02G0655750	ORUFI02G27910	100	100	1
OS02G0655800	ORUFI02G27920	100	100	1
OS02G0656100	ORUFI02G27950	100	100	1
OS02G0656200	ORUFI02G27960	98	57	1
OS02G0656300	ORUFI02G27970	99	96	1
OS02G0656500	ORUFI02G27980	100	80	1
OS02G0657000	ORUFI02G28010	100	100	1
OS02G0657600	ORUFI02G28030	100	84	1
OS02G0657700	ORUFI02G28040	100	98	1
OS02G0658100	ORUFI02G28080	100	81	1
OS02G0658200	ORUFI02G28090	98	100	1
OS02G0658300	ORUFI02G28100	100	100	1
OS02G0658500	ORUFI02G28110	99	43	1
OS02G0658600	ORUFI02G28120	98	47	1
OS02G0658900	ORUFI02G28130	100	100	1
OS02G0659100	ORUFI02G28140	100	100	0
OS02G0659500	ORUFI02G28150	89	93	0
OS02G0659700	ORUFI02G28170	73	50	0
OS02G0660800	ORUFI02G28180	68	43	0
OS02G0661100	ORUFI02G28200	100	53	1
OS02G0661200	ORUFI02G28210	71	42	0
OS02G0661300	ORUFI02G28220	91	100	1
OS02G0661400	ORUFI02G28230	92	100	0
OS02G0661500	ORUFI02G28240	15	11	0
OS02G0661600	ORUFI02G28260	82	86	0
OS02G0661900	ORUFI02G28270	98	44	1
OS02G0662000	ORUFI02G28280	100	100	1
OS02G0662100	ORUFI02G28290	99	99	1
OS02G0662200	ORUFI02G28300	100	100	1
OS02G0662300	ORUFI02G28310	77	66	0
OS02G0662700	ORUFI02G28320	99	100	1
OS02G0663100	ORUFI02G28330	100	100	1
OS02G0663300	ORUFI02G28340	98	90	0
OS02G0663900	ORUFI02G28370	99	99	0
OS02G0664000	ORUFI02G28380	94	92	0
OS02G0664100	ORUFI02G28390	98	33	1
OS02G0664200	ORUFI02G28390	100	15	1
OS02G0664300	ORUFI02G28400	100	100	1
OS02G0664400	ORUFI02G28420	98	87	1
OS02G0664700	ORUFI02G28440	96	65	1
OS02G0665000	ORUFI02G28460	99	99	1
OS02G0665200	ORUFI02G28480	100	100	1
OS02G0665250	ORUFI02G28490	100	100	0
OS02G0665300	ORUFI02G28500	99	99	1
OS02G0665400	ORUFI09G21830	37	27	0
OS02G0665500	ORUFI02G28510	100	21	1
OS02G0666200	ORUFI02G28540	100	100	1
OS02G0666300	ORUFI02G28550	100	100	1
OS02G0666500	ORUFI02G28560	100	100	1
OS02G0666600	ORUFI02G28570	99	99	1
OS02G0666700	ORUFI02G28580	100	100	1
OS02G0666800	ORUFI02G28590	100	100	1
OS02G0666900	ORUFI02G28600	99	99	1
OS02G0667100	ORUFI02G28620	100	100	1
OS02G0667300	ORUFI02G28630	100	100	1
OS02G0667500	ORUFI02G28650	95	69	1
OS02G0667600	ORUFI02G28660	100	94	1
OS02G0668400	ORUFI02G28710	98	96	0
OS02G0668500	ORUFI02G28720	68	69	1
OS02G0668900	ORUFI02G28730	75	77	0
OS02G0669000	ORUFI02G28740	93	96	1
OS02G0669100	ORUFI02G28750	100	100	1
OS02G0669500	ORUFI04G23240	42	13	0
OS02G0669700	ORUFI02G28770	99	67	1
OS02G0669900	ORUFI02G28780	99	55	1
OS02G0670000	ORUFI02G28790	96	86	1
OS02G0670100	ORUFI02G28800	90	91	1
OS02G0670400	ORUFI02G28820	100	100	1
OS02G0670500	ORUFI02G28830	100	100	1
OS02G0670900	ORUFI02G28850	87	100	1
OS02G0671100	ORUFI02G28860	99	78	1
OS02G0671200	ORUFI02G28870	57	100	1
OS02G0671300	ORUFI02G28880	95	100	0
OS02G0672100	ORUFI02G28900	100	100	1
OS02G0672200	ORUFI02G28910	95	94	1
OS02G0672400	ORUFI02G28940	100	72	1
OS02G0672500	ORUFI02G28950	86	96	1
OS02G0672600	ORUFI02G28960	100	100	1
OS02G0672700	ORUFI02G28970	96	45	1
OS02G0672800	ORUFI02G28980	100	100	1
OS02G0673000	ORUFI02G28990	61	23	0
OS02G0673100	ORUFI02G29000	95	99	0
OS02G0673500	ORUFI02G29020	100	100	1
OS02G0673600	ORUFI02G29030	100	100	1
OS02G0673700	ORUFI02G29040	98	95	1
OS02G0674233	ORUFI02G29050	99	99	1
OS02G0674700	ORUFI02G29070	100	100	1
OS02G0674800	ORUFI02G29080	100	100	1
OS02G0675100	ORUFI02G29090	48	90	1
OS02G0675400	ORUFI02G29100	100	95	1
OS02G0675700	ORUFI02G29110	100	95	1
