Gene stable ID	Ostreococcus lucimarinus gene stable ID	% identity	Ostreococcus lucimarinus % identity	Orthology confidence [0 low, 1 high]
OS02G0676000	OSTLU_28292	26	30	1
OS02G0677800	OSTLU_40147	37	27	0
OS02G0678400	OSTLU_14357	5	4	0
OS02G0678400	OSTLU_18839	5	4	0
OS02G0680600	OSTLU_44114	45	69	1
OS02G0680700	OSTLU_6612	27	33	1
OS02G0680700	OSTLU_9264	15	67	1
OS02G0681000	OSTLU_29320	15	18	1
OS02G0682500	OSTLU_49403	53	56	0
OS02G0682600	OSTLU_39800	49	51	1
OS02G0683900	OSTLU_43254	32	29	1
OS02G0684150	OSTLU_33296	13	18	1
OS02G0685200	OSTLU_5960	17	31	1
OS02G0686400	OSTLU_88658	52	58	1
OS02G0686600	OSTLU_26102	48	50	1
OS02G0688900	OSTLU_31299	11	29	1
OS02G0689066	OSTLU_119678	52	5	1
OS02G0689800	OSTLU_119553	14	14	1
OS02G0690700	OSTLU_40743	49	45	1
OS02G0690800	OSTLU_29911	53	52	1
OS02G0693200	OSTLU_9323	31	39	1
OS02G0694600	OSTLU_119676	13	4	1
OS02G0694700	OSTLU_119676	21	17	1
OS02G0694900	OSTLU_27759	19	24	1
OS02G0697600	OSTLU_16611	43	47	1
OS02G0697800	OSTLU_89451	21	27	1
OS02G0698000	OSTLU_45513	65	69	1
OS02G0699300	OSTLU_37806	72	42	1
OS02G0699400	OSTLU_25333	20	12	1
OS02G0699600	OSTLU_34409	78	78	1
OS02G0700100	OSTLU_31385	51	52	1
OS02G0700400	OSTLU_4970	28	44	0
OS02G0700400	OSTLU_4977	28	44	0
OS02G0701600	OSTLU_40586	51	54	1
OS02G0702500	OSTLU_37908	19	42	1
OS02G0702800	OSTLU_39509	32	32	1
OS02G0704300	OSTLU_2292	43	31	1
OS02G0704500	OSTLU_94805	24	29	1
OS02G0704800	OSTLU_28754	55	65	1
OS02G0704966	OSTLU_38748	16	32	1
OS02G0705100	OSTLU_37370	29	37	1
OS02G0706500	OSTLU_16611	40	42	1
OS02G0707000	OSTLU_15314	30	21	1
OS02G0707100	OSTLU_15314	36	37	1
OS02G0708100	OSTLU_28074	50	57	1
OS02G0708200	OSTLU_43015	41	51	1
OS02G0708300	OSTLU_119493	26	18	0
OS02G0709000	OSTLU_5177	28	35	1
OS02G0709200	OSTLU_119523	51	53	0
OS02G0709400	OSTLU_16523	2	4	1
OS02G0709400	OSTLU_27173	1	5	1
OS02G0709400	OSTLU_29736	1	5	1
OS02G0709800	OSTLU_26794	13	21	0
OS02G0710800	OSTLU_34911	40	31	1
OS02G0710900	OSTLU_45635	31	31	1
OS02G0711300	OSTLU_25657	20	22	1
OS02G0714100	OSTLU_27747	27	28	1
OS02G0714500	OSTLU_87978	16	11	1
OS02G0714600	OSTLU_18322	62	66	1
OS02G0714600	OSTLU_27455	59	63	1
OS02G0714600	OSTLU_43177	59	62	1
OS02G0716500	OSTLU_18582	34	36	0
OS02G0716500	OSTLU_24150	33	33	0
OS02G0717100	OSTLU_93502	31	27	1
OS02G0717700	OSTLU_8888	11	13	1
OS02G0718900	OSTLU_17060	38	48	0
OS02G0720300	OSTLU_27876	17	21	0
OS02G0720300	OSTLU_28071	10	17	0
OS02G0720700	OSTLU_37468	19	28	1
OS02G0722001	OSTLU_15823	38	40	0
OS02G0722800	OSTLU_119295	16	25	1
OS02G0723300	OSTLU_29798	11	18	1
OS02G0723300	OSTLU_93190	11	18	1
OS02G0723600	OSTLU_35770	36	30	1
OS02G0724600	OSTLU_2054	36	52	1
OS02G0725200	OSTLU_34722	30	29	1
OS02G0725600	OSTLU_92802	16	14	1
OS02G0725700	OSTLU_8911	12	23	1
OS02G0725900	OSTLU_8911	15	21	1
OS02G0726600	OSTLU_16462	43	33	1
OS02G0726600	OSTLU_42552	38	24	1
OS02G0727100	OSTLU_28839	22	13	0
OS02G0727100	OSTLU_30899	24	20	0
OS02G0728100	OSTLU_5654	9	25	0
OS02G0728300	OSTLU_30392	21	24	0
OS02G0728600	OSTLU_17769	44	44	1
OS02G0728700	OSTLU_18243	21	22	1
OS02G0729400	OSTLU_32322	24	23	1
OS02G0730100	OSTLU_94220	22	8	1
OS02G0730500	OSTLU_7983	23	33	1
OS02G0731600	OSTLU_33157	49	47	1
OS02G0732500	OSTLU_43276	53	52	1
OS02G0732500	OSTLU_43397	53	52	1
OS02G0733800	OSTLU_40473	30	30	1
OS02G0734300	OSTLU_40358	36	34	1
OS02G0736500	OSTLU_24970	20	24	1
OS02G0736600	OSTLU_38526	31	34	1
OS02G0738900	OSTLU_33467	6	7	1
OS02G0739000	OSTLU_50709	32	35	1
OS02G0739400	OSTLU_6525	22	31	1
OS02G0739600	OSTLU_29179	57	62	0
OS02G0739700	OSTLU_42726	31	25	0
OS02G0741100	OSTLU_3910	24	32	1
OS02G0741900	OSTLU_93648	33	35	1
OS02G0741900	OSTLU_94131	33	35	1
OS02G0742200	OSTLU_41392	45	50	1
OS02G0742500	OSTLU_31659	55	8	1
OS02G0742800	OSTLU_4049	0	0	1
OS02G0742900	OSTLU_4049	33	33	1
OS02G0743500	OSTLU_39208	16	52	1
OS02G0743800	OSTLU_34638	15	29	0
OS02G0744100	OSTLU_43205	29	46	1
OS02G0744650	OSTLU_18489	36	28	1
OS02G0744900	OSTLU_119498	64	64	0
OS02G0745000	OSTLU_12872	60	48	1
OS02G0746000	OSTLU_33783	42	39	1
OS02G0747600	OSTLU_34044	29	49	1
OS02G0749300	OSTLU_10503	19	22	1
OS02G0749500	OSTLU_24673	10	2	1
OS02G0750100	OSTLU_32540	44	20	1
OS02G0750500	OSTLU_36712	25	38	1
OS02G0750500	OSTLU_41621	25	38	1
OS02G0751600	OSTLU_36589	30	39	1
OS02G0751600	OSTLU_41512	30	39	1
OS02G0754000	OSTLU_34428	15	33	1
OS02G0754100	OSTLU_582	20	39	1
OS02G0754500	OSTLU_17396	32	34	1
OS02G0754700	OSTLU_29417	53	63	1
OS02G0754700	OSTLU_88696	46	42	1
OS02G0755200	OSTLU_42289	26	35	1
OS02G0757900	OSTLU_7571	36	54	1
OS02G0758100	OSTLU_88968	26	23	1
OS02G0758100	OSTLU_89876	26	23	1
OS02G0759800	OSTLU_119541	20	42	0
OS02G0759900	OSTLU_33157	16	29	1
OS02G0760000	OSTLU_9323	19	45	1
OS02G0760200	OSTLU_26967	20	19	1
OS02G0761200	OSTLU_119526	22	21	1
OS02G0761400	OSTLU_41654	59	7	1
OS02G0761600	OSTLU_18070	12	19	1
OS02G0761600	OSTLU_18124	13	19	1
OS02G0761700	OSTLU_19644	39	54	0
OS02G0761900	OSTLU_8571	38	47	1
OS02G0762100	OSTLU_8571	42	51	1
OS02G0762200	OSTLU_92669	20	19	1
OS02G0762800	OSTLU_16586	41	40	1
OS02G0764700	OSTLU_23938	24	13	0
OS02G0765400	OSTLU_36075	41	40	1
OS02G0765600	OSTLU_36075	42	40	1
OS02G0765900	OSTLU_50765	57	25	1
OS02G0766900	OSTLU_3863	16	19	0
OS02G0766900	OSTLU_4036	12	19	0
OS02G0766900	OSTLU_42201	18	24	0
OS02G0767100	OSTLU_16977	23	23	1
OS02G0767500	OSTLU_25740	32	34	0
OS02G0767500	OSTLU_26925	21	24	0
OS02G0768200	OSTLU_33886	31	37	1
OS02G0768600	OSTLU_40612	48	53	1
OS02G0768750	OSTLU_14486	12	5	0
OS02G0768750	OSTLU_31122	14	10	0
OS02G0770000	OSTLU_39514	40	40	1
OS02G0770000	OSTLU_43808	46	49	1
OS02G0770700	OSTLU_119551	16	10	1
OS02G0770800	OSTLU_3554	21	51	0
OS02G0772000	OSTLU_87576	28	10	1
OS02G0772300	OSTLU_31107	19	31	1
OS02G0772500	OSTLU_28863	19	25	1
OS02G0774100	OSTLU_32597	16	32	1
OS02G0774300	OSTLU_31330	68	68	1
OS02G0775100	OSTLU_33926	49	26	1
OS02G0775200	OSTLU_119614	42	46	0
OS02G0775400	OSTLU_42772	31	39	1
OS02G0776700	OSTLU_27356	10	11	1
OS02G0776700	OSTLU_30413	14	17	1
OS02G0777100	OSTLU_37502	13	35	1
OS02G0778200	OSTLU_45389	49	54	1
OS02G0778400	OSTLU_40028	54	55	1
OS02G0780550	OSTLU_33096	15	26	1
OS02G0780700	OSTLU_24393	18	17	1
OS02G0781400	OSTLU_43488	34	37	0
OS02G0782100	OSTLU_27432	29	24	1
OS02G0782100	OSTLU_27511	28	24	1
OS02G0782200	OSTLU_8137	15	55	1
OS02G0782500	OSTLU_25657	20	25	1
OS02G0782700	OSTLU_9237	13	62	1
OS02G0783100	OSTLU_39628	15	21	1
OS02G0784700	OSTLU_29121	90	39	0
OS02G0785800	OSTLU_33191	59	61	1
OS02G0786000	OSTLU_32955	20	22	1
OS02G0787100	OSTLU_29432	4	5	0
OS02G0787300	OSTLU_27759	20	23	1
OS02G0787800	OSTLU_31162	21	23	0
OS02G0787800	OSTLU_35343	21	24	0
OS02G0788133	OSTLU_15267	0	0	1
OS02G0788300	OSTLU_6420	43	48	1
OS02G0788400	OSTLU_6420	48	52	1
OS02G0788500	OSTLU_7291	23	38	1
OS02G0791400	OSTLU_37791	42	49	0
OS02G0792900	OSTLU_12272	33	34	1
OS02G0793300	OSTLU_26905	8	30	1
OS02G0794400	OSTLU_34503	33	42	1
OS02G0794600	OSTLU_43298	48	58	1
OS02G0794700	OSTLU_2836	61	43	1
OS02G0794900	OSTLU_32509	13	22	0
OS02G0795000	OSTLU_5433	12	45	1
OS02G0795900	OSTLU_119483	24	28	0
OS02G0796300	OSTLU_119612	52	55	1
OS02G0796500	OSTLU_38278	7	33	1
OS02G0796600	OSTLU_5113	32	30	1
OS02G0796700	OSTLU_30739	31	11	1
OS02G0796900	OSTLU_30656	74	73	1
OS02G0797200	OSTLU_30656	75	75	1
OS02G0797400	OSTLU_37286	49	50	1
OS02G0799000	OSTLU_16113	38	39	1
OS02G0800000	OSTLU_3375	47	54	1
OS02G0800100	OSTLU_32196	31	32	1
OS02G0801200	OSTLU_32196	31	24	1
OS02G0802400	OSTLU_8354	34	41	1
OS02G0802500	OSTLU_39838	50	53	1
OS02G0802700	OSTLU_119506	37	30	0
OS02G0803250	OSTLU_26922	17	14	1
OS02G0803300	OSTLU_27074	22	19	1
OS02G0803700	OSTLU_32343	76	77	1
OS02G0804100	OSTLU_32924	77	77	1
OS02G0804300	OSTLU_38925	56	59	1
OS02G0804500	OSTLU_12940	39	51	1
OS02G0804600	OSTLU_38170	23	42	0
OS02G0804900	OSTLU_48569	74	73	1
OS02G0805000	OSTLU_24457	50	30	1
OS02G0805200	OSTLU_41357	67	67	1
OS02G0805500	OSTLU_4650	37	48	1
OS02G0805800	OSTLU_40532	16	33	1
OS02G0805900	OSTLU_5662	28	29	1
OS02G0806400	OSTLU_15409	5	6	1
OS02G0806600	OSTLU_34819	6	31	1
OS02G0806900	OSTLU_40179	28	36	0
OS02G0807000	OSTLU_6737	24	34	1
OS02G0807100	OSTLU_48511	11	6	0
OS02G0809800	OSTLU_26654	19	18	1
OS02G0810300	OSTLU_36765	54	54	1
OS02G0810300	OSTLU_94637	54	54	1
OS02G0810400	OSTLU_14134	47	73	1
OS02G0810450	OSTLU_6853	14	47	0
OS02G0812400	OSTLU_969	30	32	1
OS02G0813500	OSTLU_24082	58	55	1
OS02G0814200	OSTLU_26403	38	39	1
OS02G0814600	OSTLU_26932	2	2	1
OS02G0814700	OSTLU_18267	47	51	0
OS02G0815000	OSTLU_32818	50	75	1
OS02G0815200	OSTLU_7602	14	27	1
OS02G0815500	OSTLU_27414	67	66	1
OS02G0815600	OSTLU_43090	41	43	1
OS02G0815800	OSTLU_8172	31	49	1
OS02G0816100	OSTLU_87850	36	41	1
OS02G0816300	OSTLU_16888	14	16	1
OS02G0816500	OSTLU_9756	39	43	1
OS02G0816600	OSTLU_49684	49	18	1
OS02G0816800	OSTLU_26150	40	45	1
OS02G0817700	OSTLU_40909	55	59	1
OS02G0817900	OSTLU_1824	42	58	1
OS02G0817900	OSTLU_47300	42	55	1
OS02G0818000	OSTLU_31796	17	20	1
OS02G0818700	OSTLU_28521	15	21	0
OS02G0819100	OSTLU_34299	33	30	1
OS02G0819200	OSTLU_32597	18	38	1
OS02G0819500	OSTLU_33951	26	47	1
OS02G0819500	OSTLU_7112	24	51	1
OS02G0819500	OSTLU_7447	13	30	1
OS02G0819700	OSTLU_28869	22	40	1
OS02G0820600	OSTLU_15687	21	24	1
OS02G0821800	OSTLU_32524	75	75	1
OS02G0822100	OSTLU_13038	18	22	1
OS02G0822200	OSTLU_12545	43	47	1
OS02G0822300	OSTLU_28758	40	41	1
OS02G0822600	OSTLU_29830	30	29	1
OS02G0822800	OSTLU_27916	25	23	1
OS02G0823000	OSTLU_31074	30	29	1
OS02G0823200	OSTLU_33429	25	25	1
OS02G0824700	OSTLU_15055	52	56	1
OS02G0826100	OSTLU_46542	24	35	1
OS02G0826200	OSTLU_18626	29	36	1
OS02G0827300	OSTLU_119367	47	48	0
OS02G0827400	OSTLU_88941	35	20	1
OS02G0827500	OSTLU_93436	15	12	1
OS02G0827600	OSTLU_9086	19	37	1
OS02G0829100	OSTLU_17803	25	28	0
OS02G0830801	OSTLU_33418	12	5	1
OS02G0830900	OSTLU_33418	8	2	1
OS02G0831300	OSTLU_37801	38	34	1
OS02G0831800	OSTLU_10263	22	31	0
OS02G0832100	OSTLU_35010	11	11	1
OS02G0832200	OSTLU_35457	23	24	1
OS02G0832400	OSTLU_35532	0	1	0
OS02G0832500	OSTLU_35532	0	0	0
OS02G0833300	OSTLU_86599	25	25	1
OS02G0834700	OSTLU_38921	46	44	1
OS03G0100200	OSTLU_18600	26	25	1
OS03G0100200	OSTLU_28416	12	20	1
OS03G0100300	OSTLU_30744	14	23	0
OS03G0100400	OSTLU_42450	34	34	1
OS03G0101600	OSTLU_45840	35	33	1
OS03G0102200	OSTLU_119611	41	38	1
OS03G0102300	OSTLU_32751	5	1	0
OS03G0102333	OSTLU_32751	28	6	0
OS03G0102366	OSTLU_32751	42	9	0
OS03G0106000	OSTLU_87902	24	22	1
OS03G0106400	OSTLU_31397	45	55	1
OS03G0107100	OSTLU_42210	13	8	1
OS03G0107300	OSTLU_13038	19	20	1
OS03G0107600	OSTLU_33354	30	34	1
OS03G0107900	OSTLU_18436	20	18	1
OS03G0107900	OSTLU_26328	19	15	1
OS03G0108400	OSTLU_8048	27	43	1
OS03G0108500	OSTLU_38826	25	27	0
OS03G0108600	OSTLU_38071	28	42	1
OS03G0109500	OSTLU_31424	65	70	1
OS03G0109600	OSTLU_119600	6	9	0
OS03G0109700	OSTLU_31309	32	31	1
OS03G0109700	OSTLU_31976	18	28	1
OS03G0110400	OSTLU_14373	25	20	1
OS03G0111100	OSTLU_16744	37	42	1
OS03G0111800	OSTLU_13870	21	25	1
OS03G0112101	OSTLU_278	55	22	1
OS03G0112101	OSTLU_48152	55	22	1
OS03G0112800	OSTLU_18363	18	21	1
OS03G0112800	OSTLU_25626	24	26	1
OS03G0113100	OSTLU_14315	27	39	1
OS03G0113700	OSTLU_31330	67	68	1
OS03G0113800	OSTLU_33243	20	21	1
OS03G0114200	OSTLU_32230	34	29	1
OS03G0114400	OSTLU_32455	12	17	1
OS03G0114800	OSTLU_30525	57	58	1
OS03G0114900	OSTLU_7965	33	40	1
OS03G0115200	OSTLU_35737	61	61	1
OS03G0115400	OSTLU_38617	11	31	0
OS03G0115500	OSTLU_41681	32	30	1
OS03G0115700	OSTLU_38397	31	32	1
OS03G0116000	OSTLU_40894	22	30	1
OS03G0116500	OSTLU_30935	36	36	1
OS03G0117200	OSTLU_31325	20	58	1
OS03G0117200	OSTLU_35648	7	17	1
OS03G0117800	OSTLU_41216	32	45	1
OS03G0118200	OSTLU_45749	25	22	1
OS03G0118200	OSTLU_4844	19	31	1
OS03G0118900	OSTLU_8464	8	32	1
OS03G0119000	OSTLU_33208	29	35	1
OS03G0119500	OSTLU_35458	23	22	1
OS03G0120100	OSTLU_44624	35	36	1
OS03G0120300	OSTLU_43254	32	29	1
OS03G0121700	OSTLU_12381	30	55	1
OS03G0122000	OSTLU_41102	21	46	1
OS03G0122200	OSTLU_13461	44	67	1
OS03G0123100	OSTLU_24651	54	50	0
OS03G0123100	OSTLU_33350	57	57	0
OS03G0123200	OSTLU_15612	25	21	1
OS03G0123200	OSTLU_92667	21	18	1
OS03G0123300	OSTLU_13210	33	76	1
OS03G0123300	OSTLU_17898	14	24	1
OS03G0123500	OSTLU_5313	24	30	1
OS03G0123600	OSTLU_7305	26	40	1
OS03G0124000	OSTLU_27999	11	19	1
OS03G0125100	OSTLU_9013	30	56	1
OS03G0125300	OSTLU_28984	28	26	1
OS03G0125800	OSTLU_49610	23	20	0
OS03G0126000	OSTLU_32105	47	50	1
OS03G0126300	OSTLU_15982	20	20	1
OS03G0127900	OSTLU_119547	43	14	1
OS03G0128100	OSTLU_35532	8	28	0
OS03G0128200	OSTLU_35532	0	1	0
OS03G0128500	OSTLU_26670	36	36	0
OS03G0128800	OSTLU_93935	20	26	1
OS03G0128932	OSTLU_35010	10	10	1
OS03G0129200	OSTLU_43971	38	17	1
OS03G0129300	OSTLU_28757	66	72	1
OS03G0129300	OSTLU_37993	60	78	1
OS03G0129900	OSTLU_29176	27	49	1
OS03G0130400	OSTLU_88233	44	46	1
OS03G0130500	OSTLU_31751	12	18	1
OS03G0130800	OSTLU_14725	12	12	1
OS03G0131100	OSTLU_24740	14	18	1
OS03G0131300	OSTLU_28268	33	39	1
OS03G0131400	OSTLU_89537	19	17	1
OS03G0131500	OSTLU_30533	15	25	1
OS03G0131500	OSTLU_38289	33	40	1
OS03G0131800	OSTLU_30708	33	36	1
OS03G0132300	OSTLU_33594	14	22	1
OS03G0133300	OSTLU_51183	35	34	1
OS03G0133300	OSTLU_52127	35	34	1
OS03G0133900	OSTLU_44289	32	41	1
OS03G0133900	OSTLU_5580	44	58	1
OS03G0134300	OSTLU_28808	49	51	1
OS03G0136200	OSTLU_42420	36	41	0
OS03G0136900	OSTLU_28677	14	20	0
OS03G0137300	OSTLU_31838	35	33	1
OS03G0138600	OSTLU_28866	12	13	1
OS03G0139100	OSTLU_18267	49	51	0
OS03G0141000	OSTLU_27810	58	27	1
OS03G0143300	OSTLU_37953	40	11	0
OS03G0143400	OSTLU_25997	66	66	1
OS03G0143600	OSTLU_27695	26	30	1
OS03G0145200	OSTLU_15409	15	13	1
OS03G0145500	OSTLU_37502	13	42	1
OS03G0145800	OSTLU_8045	32	40	1
OS03G0146000	OSTLU_15391	53	55	1
OS03G0146300	OSTLU_35755	67	80	1
OS03G0146400	OSTLU_26228	24	19	1
OS03G0146400	OSTLU_40637	23	24	1
OS03G0146400	OSTLU_43309	27	29	1
OS03G0146500	OSTLU_33249	27	32	1
OS03G0147150	OSTLU_27143	30	16	1
OS03G0147150	OSTLU_29766	30	16	1
OS03G0147400	OSTLU_13038	18	23	1
OS03G0151100	OSTLU_95003	18	19	0
OS03G0151700	OSTLU_311	35	40	1
OS03G0152100	OSTLU_38105	24	8	1
OS03G0152700	OSTLU_10314	22	40	1
OS03G0153000	OSTLU_42846	49	7	1
OS03G0153400	OSTLU_95454	26	39	0
OS03G0154700	OSTLU_94716	72	72	1
OS03G0156500	OSTLU_41993	3	7	0
OS03G0156700	OSTLU_43009	26	40	1
OS03G0157800	OSTLU_39090	16	55	1
OS03G0157900	OSTLU_12357	51	55	1
OS03G0158200	OSTLU_50012	44	46	1
OS03G0160100	OSTLU_39208	17	50	1
OS03G0160400	OSTLU_37994	16	30	1
OS03G0160400	OSTLU_4992	13	42	1
OS03G0162200	OSTLU_119619	78	76	1
OS03G0163100	OSTLU_94483	10	16	1
OS03G0163300	OSTLU_24082	47	50	1
OS03G0164700	OSTLU_25086	31	34	1
OS03G0165000	OSTLU_33842	29	18	1
OS03G0165800	OSTLU_32248	44	46	1
OS03G0166100	OSTLU_87339	33	21	1
OS03G0166200	OSTLU_87339	33	32	1
OS03G0166800	OSTLU_26071	42	44	1
OS03G0168500	OSTLU_7608	15	20	1
OS03G0168700	OSTLU_25206	19	22	1
OS03G0169100	OSTLU_32100	64	66	1
OS03G0169400	OSTLU_16290	19	27	1
OS03G0170300	OSTLU_4482	30	45	1
OS03G0170500	OSTLU_9339	26	43	1
OS03G0172200	OSTLU_49228	32	35	1
OS03G0173900	OSTLU_38024	15	41	1
OS03G0174500	OSTLU_19549	55	62	1
OS03G0174600	OSTLU_17350	43	53	1
OS03G0175200	OSTLU_88251	37	9	1
OS03G0176100	OSTLU_14806	24	23	1
OS03G0177000	OSTLU_23942	22	19	1
OS03G0178100	OSTLU_611	38	45	1
OS03G0178200	OSTLU_10630	21	66	0
OS03G0179900	OSTLU_46073	18	16	0
OS03G0180000	OSTLU_87097	24	25	1
OS03G0180000	OSTLU_94245	20	23	1
OS03G0180300	OSTLU_33096	13	24	1
OS03G0180400	OSTLU_41449	63	63	1
OS03G0180700	OSTLU_18368	37	42	1
OS03G0181750	OSTLU_48483	36	28	1
OS03G0182600	OSTLU_12355	58	61	1
OS03G0182800	OSTLU_23938	21	16	0
OS03G0183000	OSTLU_23938	20	16	0
OS03G0183200	OSTLU_23938	9	4	0
OS03G0183300	OSTLU_23938	22	16	0
OS03G0183600	OSTLU_30612	48	49	0
OS03G0183900	OSTLU_41354	32	20	0
OS03G0184000	OSTLU_38345	49	47	1
OS03G0184000	OSTLU_47627	48	51	1
OS03G0184700	OSTLU_4487	34	41	1
OS03G0185000	OSTLU_87889	44	35	1
OS03G0185600	OSTLU_27790	38	38	1
OS03G0186100	OSTLU_5668	35	43	1
OS03G0187000	OSTLU_32668	25	30	1
OS03G0187300	OSTLU_27138	18	11	0
OS03G0187300	OSTLU_4635	17	17	0
OS03G0187700	OSTLU_32692	33	28	1
OS03G0190100	OSTLU_6184	30	38	1
OS03G0190800	OSTLU_3954	47	50	0
OS03G0190900	OSTLU_2867	33	38	1
OS03G0191000	OSTLU_26252	22	21	1
OS03G0191100	OSTLU_33920	30	35	1
OS03G0191400	OSTLU_32675	68	72	0
OS03G0191700	OSTLU_2772	20	43	0
OS03G0192400	OSTLU_16353	47	47	1
OS03G0192700	OSTLU_36109	65	63	1
OS03G0193400	OSTLU_30946	12	5	0
OS03G0193600	OSTLU_43151	27	22	1
OS03G0194400	OSTLU_7831	36	46	1
OS03G0195100	OSTLU_30412	39	12	1
OS03G0195200	OSTLU_7755	36	53	1
OS03G0196600	OSTLU_87889	44	37	1
OS03G0196800	OSTLU_30445	38	52	1
OS03G0197400	OSTLU_26807	29	32	0
OS03G0198300	OSTLU_24322	10	10	1
OS03G0198400	OSTLU_3486	58	60	1
OS03G0200000	OSTLU_5299	28	38	1
OS03G0200500	OSTLU_28528	74	74	1
OS03G0200700	OSTLU_26726	17	32	1
OS03G0200800	OSTLU_43276	54	54	1
OS03G0200800	OSTLU_43397	54	54	1
OS03G0201600	OSTLU_6322	32	45	1
OS03G0202001	OSTLU_19676	42	53	0
OS03G0202300	OSTLU_4583	38	49	1
OS03G0204100	OSTLU_4622	9	37	1
OS03G0205000	OSTLU_16474	17	26	1
OS03G0205400	OSTLU_3874	9	41	1
OS03G0205500	OSTLU_29865	12	24	0
OS03G0206300	OSTLU_8108	23	25	1
OS03G0207250	OSTLU_92211	37	32	1
OS03G0207300	OSTLU_13142	76	74	1
OS03G0207900	OSTLU_9307	7	36	0
OS03G0208500	OSTLU_27409	36	38	0
OS03G0209400	OSTLU_31494	50	51	1
OS03G0209500	OSTLU_10632	4	40	1
OS03G0209600	OSTLU_31516	31	31	0
OS03G0210800	OSTLU_29204	6	5	1
OS03G0212200	OSTLU_32486	35	17	1
OS03G0212700	OSTLU_29535	51	62	1
OS03G0213100	OSTLU_27583	77	77	1
OS03G0213400	OSTLU_42332	57	36	1
OS03G0214100	OSTLU_51766	31	34	1
OS03G0214400	OSTLU_17319	44	46	1
OS03G0214400	OSTLU_46154	39	43	1
OS03G0214600	OSTLU_29386	43	41	1
OS03G0215000	OSTLU_18795	18	23	1
OS03G0215000	OSTLU_33750	19	25	1
OS03G0215000	OSTLU_42112	19	23	1
OS03G0215000	OSTLU_5957	21	29	1
OS03G0215800	OSTLU_41218	49	53	1
OS03G0216600	OSTLU_429	46	49	1
OS03G0219100	OSTLU_5754	13	25	1
OS03G0219300	OSTLU_26788	85	85	0
OS03G0219300	OSTLU_33239	87	86	0
OS03G0219500	OSTLU_95454	1	1	0
OS03G0219700	OSTLU_3227	32	44	1
OS03G0219900	OSTLU_28269	41	49	1
OS03G0222100	OSTLU_31696	19	31	0
OS03G0223900	OSTLU_10320	24	28	1
OS03G0224200	OSTLU_5500	19	49	0
OS03G0225100	OSTLU_27759	23	24	1
OS03G0225500	OSTLU_94099	15	20	1
OS03G0225600	OSTLU_37578	26	4	1
OS03G0226400	OSTLU_33926	41	43	1
OS03G0227000	OSTLU_119532	46	48	1
OS03G0227300	OSTLU_5068	20	36	1
OS03G0228400	OSTLU_28054	42	43	1
OS03G0229500	OSTLU_3441	17	25	1
OS03G0229500	OSTLU_47105	20	25	1
OS03G0229600	OSTLU_119388	40	14	1
OS03G0231600	OSTLU_31397	43	54	1
OS03G0231700	OSTLU_88065	49	54	1
OS03G0231800	OSTLU_88065	49	54	1
OS03G0232500	OSTLU_29397	31	39	1
OS03G0232500	OSTLU_6940	30	47	1
OS03G0232900	OSTLU_5299	26	37	1
OS03G0233000	OSTLU_26049	18	18	1
OS03G0233800	OSTLU_27341	12	14	0
OS03G0233800	OSTLU_29984	10	17	0
OS03G0236966	OSTLU_39911	35	33	1
OS03G0237000	OSTLU_29586	61	58	1
OS03G0237500	OSTLU_32111	28	32	1
OS03G0240500	OSTLU_30720	33	32	1
OS03G0240800	OSTLU_9203	45	63	0
OS03G0240900	OSTLU_24594	14	24	1
OS03G0241200	OSTLU_41236	89	90	1
OS03G0242100	OSTLU_31479	5	1	1
OS03G0242200	OSTLU_88171	29	33	1
OS03G0243100	OSTLU_37128	31	31	1
OS03G0243300	OSTLU_6757	33	54	1
OS03G0245100	OSTLU_40454	50	54	1
OS03G0246800	OSTLU_36947	33	16	1
OS03G0248000	OSTLU_38402	23	39	1
OS03G0249200	OSTLU_7434	31	49	1
OS03G0249400	OSTLU_30430	67	68	1
OS03G0249900	OSTLU_14151	16	29	1
OS03G0250200	OSTLU_33594	10	19	1
OS03G0251350	OSTLU_7962	32	74	0
OS03G0251500	OSTLU_46292	50	49	1
OS03G0251600	OSTLU_119597	17	15	1
OS03G0251600	OSTLU_33544	21	13	1
OS03G0251800	OSTLU_94390	19	19	1
OS03G0252800	OSTLU_40179	28	36	0
OS03G0253200	OSTLU_40751	30	21	1
OS03G0253500	OSTLU_34182	10	36	0
OS03G0253800	OSTLU_30382	27	35	1
OS03G0254200	OSTLU_47852	25	9	1
OS03G0254800	OSTLU_29930	59	57	1
OS03G0254900	OSTLU_37681	12	62	1
OS03G0255200	OSTLU_42185	19	23	1
OS03G0256400	OSTLU_26336	58	56	1
OS03G0257500	OSTLU_30485	22	12	1
OS03G0257600	OSTLU_30485	13	20	1
OS03G0257900	OSTLU_29039	37	36	1
OS03G0258500	OSTLU_7055	19	47	1
OS03G0259300	OSTLU_33071	22	22	1
OS03G0261500	OSTLU_42969	35	38	1
OS03G0261900	OSTLU_36650	26	9	0
OS03G0261900	OSTLU_41924	26	9	0
OS03G0262300	OSTLU_15652	12	17	1
OS03G0262900	OSTLU_47582	8	2	1
OS03G0263400	OSTLU_25740	22	8	0
OS03G0263400	OSTLU_26925	13	5	0
OS03G0263500	OSTLU_13495	49	62	1
OS03G0264000	OSTLU_30392	26	21	0
OS03G0264400	OSTLU_87709	51	59	1
OS03G0264800	OSTLU_41967	10	42	1
OS03G0265100	OSTLU_37583	9	9	0
