Gene stable ID	Brassica oleracea gene stable ID	% identity	Brassica oleracea % identity	Orthology confidence [0 low, 1 high]
OS03G0290300	Bo9g062630	74	71	0
OS03G0290400	Bo9g177050	37	5	1
OS03G0290500	Bo1g058970	58	51	1
OS03G0290900	Bo4g059920	32	53	1
OS03G0290900	Bo4g170660	48	47	1
OS03G0290900	Bo9g135370	48	47	1
OS03G0291200	Bo2g001300	47	46	0
OS03G0291200	Bo3g001470	48	49	0
OS03G0292100	Bo3g024260	49	51	1
OS03G0292100	Bo3g034780	43	22	1
OS03G0292100	Bo4g025450	42	42	1
OS03G0292100	Bo4g059910	51	52	1
OS03G0292100	Bo4g170690	49	47	1
OS03G0292100	Bo4g188860	40	46	1
OS03G0292100	Bo5g008000	50	51	1
OS03G0292200	Bo3g001490	77	78	0
OS03G0292700	Bo3g024270	32	25	1
OS03G0292700	Bo4g059890	32	29	1
OS03G0292700	Bo4g170700	33	29	1
OS03G0292700	Bo5g007990	32	32	1
OS03G0292700	Bo9g135360	33	33	1
OS03G0292800	Bo10531s010	12	68	0
OS03G0292800	Bo3g024290	60	58	0
OS03G0292800	Bo5g007970	55	46	0
OS03G0292800	Bo8g008420	62	58	0
OS03G0292800	Bo8g114260	61	57	0
OS03G0292900	Bo3g062290	49	15	0
OS03G0292900	Bo5g139620	50	15	0
OS03G0293000	Bo5g139610	44	36	1
OS03G0293100	Bo4g115380	32	41	1
OS03G0293100	Bo8g090410	36	43	1
OS03G0293400	Bo9g185050	57	33	0
OS03G0293500	Bo1g144840	75	76	0
OS03G0293500	Bo2g001320	79	79	0
OS03G0293500	Bo9g119020	79	78	0
OS03G0293500	Bo9g185070	79	78	0
OS03G0294100	Bo8g009420	16	18	1
OS03G0294200	Bo5g007940	70	61	0
OS03G0294200	Bo8g007370	70	61	0
OS03G0294200	Bo8g114280	70	61	0
OS03G0294600	Bo5g115540	35	24	1
OS03G0294600	Bo5g139640	59	25	1
OS03G0294700	Bo3g032330	67	43	1
OS03G0294700	Bo4g029630	69	44	1
OS03G0294700	Bo5g098830	13	38	1
OS03G0294700	Bo7g077490	31	72	1
OS03G0294700	Bo7g101160	68	43	1
OS03G0294700	Bo8g081270	67	42	1
OS03G0294700	Bo9g135300	58	37	1
OS03G0294800	Bo4g115370	38	38	1
OS03G0294800	Bo4g188960	37	37	1
OS03G0294800	Bo8g090450	38	38	1
OS03G0294900	Bo3g024330	67	70	1
OS03G0294900	Bo4g059750	68	70	1
OS03G0294900	Bo4g170760	67	72	1
OS03G0294900	Bo9g176160	67	70	1
OS03G0295400	Bo1g093120	59	56	1
OS03G0295400	Bo9g043670	59	58	1
OS03G0295500	Bo00629s180	68	71	1
OS03G0295500	Bo3g013390	68	71	1
OS03G0295500	Bo9g154550	68	71	1
OS03G0295600	Bo3g018660	55	53	1
OS03G0295600	Bo9g175180	51	26	1
OS03G0295700	Bo3g018670	56	52	1
OS03G0295700	Bo9g135240	56	52	1
OS03G0295800	Bo8g007360	40	42	0
OS03G0295800	Bo8g114300	45	45	0
OS03G0296000	Bo2g146330	33	28	1
OS03G0296300	Bo8g067780	66	66	0
OS03G0296300	Bo8g104440	67	67	0
OS03G0296400	Bo3g034880	69	75	0
OS03G0296400	Bo4g025330	76	76	0
OS03G0296400	Bo4g188970	78	77	0
OS03G0296400	Bo4g190000	19	36	0
OS03G0296500	Bo9g135170	50	51	1
OS03G0296600	Bo2g091120	34	33	1
OS03G0296600	Bo6g083750	32	36	1
OS03G0296700	Bo4g025320	47	45	1
OS03G0296800	Bo4g059670	61	54	1
OS03G0296800	Bo4g170810	62	61	1
OS03G0296800	Bo5g007890	63	64	1
OS03G0297000	Bo3g001350	65	65	1
OS03G0297000	Bo3g062350	64	62	1
OS03G0297000	Bo4g027580	68	68	1
OS03G0297000	Bo4g187530	69	69	1
OS03G0297000	Bo9g186100	62	62	1
OS03G0297100	Bo3g010870	73	74	1
OS03G0297100	Bo3g055710	75	75	1
OS03G0297100	Bo9g163450	73	74	1
OS03G0297300	Bo3g010870	73	38	1
OS03G0297300	Bo3g055710	74	39	1
OS03G0297300	Bo9g163450	71	37	1
OS03G0297400	Bo3g024400	73	77	0
OS03G0297400	Bo4g059650	72	72	0
OS03G0297400	Bo4g170840	24	84	0
OS03G0297400	Bo4g170850	49	60	0
OS03G0297600	Bo3g003330	45	51	1
OS03G0297600	Bo3g032350	50	56	1
OS03G0297600	Bo3g034900	46	50	1
OS03G0297600	Bo4g025290	47	50	1
OS03G0297600	Bo4g027570	51	56	1
OS03G0297600	Bo4g187540	51	57	1
OS03G0297600	Bo4g190030	48	54	1
OS03G0297600	Bo9g177120	47	52	1
OS03G0297700	Bo5g008620	52	55	1
OS03G0297700	Bo9g037430	17	33	1
OS03G0297800	Bo4g115340	55	33	1
OS03G0297800	Bo6g069930	53	32	1
OS03G0298100	Bo3g024420	43	44	1
OS03G0298100	Bo4g059630	45	45	1
OS03G0298100	Bo4g171870	46	46	1
OS03G0298100	Bo5g007840	45	47	1
OS03G0298100	Bo8g007310	47	49	1
OS03G0298100	Bo8g114320	46	49	1
OS03G0298300	Bo3g032510	23	39	1
OS03G0298300	Bo4g187640	34	38	1
OS03G0298400	Bo1g016890	89	90	0
OS03G0298400	Bo7g113510	89	90	0
OS03G0298400	Bo8g054710	90	91	0
OS03G0298600	Bo3g032490	37	45	1
OS03G0298600	Bo9g177170	40	43	1
OS03G0298700	Bo4g027410	20	19	1
OS03G0298800	Bo4g059610	61	62	1
OS03G0299200	Bo7g101110	58	64	1
OS03G0299200	Bo8g081390	58	65	1
OS03G0299600	Bo3g063880	33	39	1
OS03G0299600	Bo5g136950	34	45	1
OS03G0299900	Bo1g007930	73	80	0
OS03G0299900	Bo3g170540	71	50	0
OS03G0300000	Bo2g101790	84	63	1
OS03G0300000	Bo3g052500	85	63	1
OS03G0300000	Bo8g098050	42	79	1
OS03G0300000	Bo9g005870	84	60	1
OS03G0300200	Bo9g005580	53	53	1
OS03G0300300	Bo9g171450	44	41	1
OS03G0300500	Bo1g147700	39	40	1
OS03G0300500	Bo1g150470	45	41	1
OS03G0300500	Bo2g150510	39	38	1
OS03G0300500	Bo3g059030	45	34	1
OS03G0300500	Bo3g060850	40	39	1
OS03G0300500	Bo5g143140	39	39	1
OS03G0300500	Bo5g145200	45	41	1
OS03G0300500	Bo7g094830	44	36	1
OS03G0300500	Bo8g042230	40	24	1
OS03G0300500	Bo9g010530	45	37	1
OS03G0300600	Bo00581s030	48	48	0
OS03G0300900	Bo2g100300	70	73	1
OS03G0300900	Bo3g052700	70	73	1
OS03G0300900	Bo6g079560	73	75	1
OS03G0300900	Bo8g098000	73	75	1
OS03G0300900	Bo8g117350	65	66	1
OS03G0301200	Bo1g055170	50	51	1
OS03G0301200	Bo1g122980	48	48	1
OS03G0301200	Bo9g009740	47	48	1
OS03G0301400	Bo7g094920	35	34	1
OS03G0301700	Bo5g009540	52	62	1
OS03G0301700	Bo8g058200	67	65	1
OS03G0301800	Bo4g001130	49	23	1
OS03G0301800	Bo4g003460	52	27	1
OS03G0301800	Bo7g094900	50	24	1
OS03G0301800	Bo8g058210	50	26	1
OS03G0301800	Bo9g010640	47	26	1
OS03G0301950	Bo5g071250	42	49	0
OS03G0301950	Bo8g016720	43	44	0
OS03G0302000	Bo5g071250	49	54	0
OS03G0302000	Bo8g016720	50	49	0
OS03G0302200	Bo3g059060	24	23	1
OS03G0302200	Bo5g145160	25	25	1
OS03G0302700	Bo2g155790	81	73	1
OS03G0302700	Bo7g095100	58	86	1
OS03G0302800	Bo3g052680	29	35	1
OS03G0302800	Bo5g003310	25	30	1
OS03G0302800	Bo8g117360	27	32	1
OS03G0302900	Bo2g155670	21	28	1
OS03G0302900	Bo4g108300	23	33	1
OS03G0302900	Bo5g145090	24	29	1
OS03G0302900	Bo6g075970	25	29	1
OS03G0302900	Bo9g010730	24	28	1
OS03G0303100	Bo6g079520	39	39	1
OS03G0303100	Bo8g097930	40	38	1
OS03G0304100	Bo7g092690	28	21	1
OS03G0304400	Bo3g052740	24	29	1
OS03G0304500	Bo3g052770	40	49	1
OS03G0304500	Bo4g004510	37	45	1
OS03G0304500	Bo8g097890	37	45	1
OS03G0304500	Bo9g004530	39	50	1
OS03G0304800	Bo1g055080	42	32	1
OS03G0304800	Bo7g104240	50	44	1
OS03G0304800	Bo8g043270	50	43	1
OS03G0305000	Bo5g123600	72	72	1
OS03G0305100	Bo5g123600	70	70	1
OS03G0305500	Bo2g010150	56	55	1
OS03G0305500	Bo3g032290	57	64	1
OS03G0305500	Bo9g171680	67	67	1
OS03G0305600	Bo1g055040	58	58	0
OS03G0305600	Bo7g104260	54	53	0
OS03G0305700	Bo01269s010	67	65	1
OS03G0306200	Bo2g151590	56	7	0
OS03G0306200	Bo4g198620	45	6	0
OS03G0306200	Bo7g092740	54	7	0
OS03G0306302	Bo2g151590	52	4	0
OS03G0306302	Bo4g198620	45	3	0
OS03G0306302	Bo7g092740	55	4	0
OS03G0306800	Bo3g039670	45	47	0
OS03G0306800	Bo4g004540	44	46	0
OS03G0306800	Bo4g198610	45	47	0
OS03G0306800	Bo6g079440	48	49	0
OS03G0306800	Bo8g097820	46	46	0
OS03G0306900	Bo3g068580	48	50	1
OS03G0307000	Bo9g055690	56	56	1
OS03G0307100	Bo01067s010	7	84	1
OS03G0307100	Bo4g004550	74	74	1
OS03G0307100	Bo4g004580	14	75	1
OS03G0307100	Bo4g198600	75	74	1
OS03G0307200	Bo1g045290	40	47	0
OS03G0307200	Bo1g087340	46	47	0
OS03G0307200	Bo1g103830	25	22	0
OS03G0307200	Bo2g036550	44	45	0
OS03G0307200	Bo3g003070	43	44	0
OS03G0307200	Bo5g009660	44	45	0
OS03G0307200	Bo9g123330	44	44	0
OS03G0307200	Bo9g177530	43	44	0
OS03G0307300	Bo1g045290	40	48	0
OS03G0307300	Bo1g087340	45	47	0
OS03G0307300	Bo1g103830	25	22	0
OS03G0307300	Bo2g036550	43	45	0
OS03G0307300	Bo3g003070	42	44	0
OS03G0307300	Bo5g009660	43	44	0
OS03G0307300	Bo9g123330	42	44	0
OS03G0307300	Bo9g177530	43	45	0
OS03G0307400	Bo4g004630	44	51	1
OS03G0307400	Bo4g198580	45	47	1
OS03G0307400	Bo9g088200	17	34	1
OS03G0307700	Bo8g097810	37	49	1
OS03G0307800	Bo9g004450	45	48	1
OS03G0308000	Bo1g054980	53	55	1
OS03G0308000	Bo1g122920	55	56	1
OS03G0308100	Bo5g003220	66	56	0
OS03G0308200	Bo4g039570	10	24	1
OS03G0308200	Bo7g094960	43	45	1
OS03G0308200	Bo9g010760	45	46	1
OS03G0308500	Bo4g004660	66	69	1
OS03G0308600	Bo8g006060	18	29	1
OS03G0308600	Bo8g114650	15	29	1
OS03G0308800	Bo5g123520	58	57	0
OS03G0308850	Bo3g060700	14	3	1
OS03G0308900	Bo3g060700	15	7	1
OS03G0309000	Bo6g079420	56	56	1
OS03G0309200	Bo3g068620	71	69	1
OS03G0309200	Bo5g123510	73	70	1
OS03G0309200	Bo8g043460	9	43	1
OS03G0309400	Bo1g122870	22	42	1
OS03G0309400	Bo3g068640	49	49	1
OS03G0309400	Bo5g123490	48	48	1
OS03G0309800	Bo5g143500	57	57	1
OS03G0310000	Bo7g104320	58	58	1
OS03G0310400	Bo7g104300	63	66	1
OS03G0310500	Bo1g055010	72	29	0
OS03G0310500	Bo7g104280	73	30	0
OS03G0310600	Bo01863s010	15	23	1
OS03G0310600	Bo3g016950	23	20	1
OS03G0310600	Bo4g034620	24	22	1
OS03G0310600	Bo4g186290	24	22	1
OS03G0310600	Bo9g148300	23	20	1
OS03G0310600	Bo9g148310	22	22	1
OS03G0310800	Bo9g009850	47	51	1
OS03G0311300	Bo9g054630	55	24	0
OS03G0311600	Bo16012s010	23	44	1
OS03G0311600	Bo1g055020	33	30	1
OS03G0311600	Bo1g122790	37	35	1
OS03G0311600	Bo1g147860	37	33	1
OS03G0311600	Bo1g150330	12	24	1
OS03G0311600	Bo1g150360	24	28	1
OS03G0311600	Bo3g060190	32	35	1
OS03G0311600	Bo5g123450	39	37	1
OS03G0311600	Bo5g143370	39	37	1
OS03G0311600	Bo5g145060	34	35	1
OS03G0311600	Bo7g104270	34	32	1
OS03G0311600	Bo8g043380	31	26	1
OS03G0312300	Bo7g089330	34	24	1
OS03G0312300	Bo9g009530	3	4	1
OS03G0312600	Bo1g025590	66	69	1
OS03G0312600	Bo3g163920	24	58	1
OS03G0313000	Bo2g047430	53	64	1
OS03G0313000	Bo3g023060	69	58	1
OS03G0313100	Bo2g009900	43	33	1
OS03G0313100	Bo3g006680	42	32	1
OS03G0313100	Bo3g099090	40	38	1
OS03G0313100	Bo9g171990	43	32	1
OS03G0313300	Bo5g143390	37	40	1
OS03G0313600	Bo02298s010	38	56	1
OS03G0313600	Bo1g019590	62	42	1
OS03G0313600	Bo2g012040	13	40	1
OS03G0313600	Bo2g127550	23	39	1
OS03G0313600	Bo3g157010	60	62	1
OS03G0313600	Bo7g106000	61	62	1
OS03G0314100	Bo3g039580	78	83	1
OS03G0314100	Bo8g097750	81	64	1
OS03G0314200	Bo1g147880	68	48	1
OS03G0314200	Bo5g143400	69	70	1
OS03G0314700	Bo3g052940	54	53	1
OS03G0314800	Bo1g150310	61	61	1
OS03G0314800	Bo4g081070	64	64	1
OS03G0314800	Bo5g143440	62	59	1
OS03G0315400	Bo00954s080	35	42	0
OS03G0315400	Bo1g147890	40	41	0
OS03G0315400	Bo2g151810	42	43	0
OS03G0315400	Bo3g060620	40	43	0
OS03G0315400	Bo4g198510	35	42	0
OS03G0315400	Bo5g143460	41	37	0
OS03G0315400	Bo7g092890	41	43	0
OS03G0315800	Bo7g092910	68	64	0
OS03G0316200	Bo00954s090	47	74	1
OS03G0316200	Bo01087s060	67	68	1
OS03G0316200	Bo4g198500	74	73	1
OS03G0316200	Bo8g051220	59	60	1
OS03G0316200	Bo8g099700	63	64	1
OS03G0316200	Bo8g115510	60	61	1
OS03G0316200	Bo9g054570	69	71	1
OS03G0316900	Bo3g001810	48	71	1
OS03G0316900	Bo9g184690	78	77	1
OS03G0317100	Bo9g054500	55	53	1
OS03G0318500	Bo8g058430	54	54	1
OS03G0318600	Bo1g139470	73	73	0
OS03G0318600	Bo2g007460	69	70	0
OS03G0318600	Bo3g064830	73	74	0
OS03G0318600	Bo5g133550	74	75	0
OS03G0318600	Bo9g175710	72	73	0
OS03G0319100	Bo2g023500	48	50	1
OS03G0319100	Bo9g149960	49	51	1
OS03G0319400	Bo2g023520	55	66	1
OS03G0319400	Bo4g161210	59	68	1
OS03G0319400	Bo9g149920	68	70	1
OS03G0320000	Bo4g112640	47	49	1
OS03G0320400	Bo03924s010	22	36	1
OS03G0320400	Bo2g006760	35	26	1
OS03G0320400	Bo6g088080	35	28	1
OS03G0320400	Bo6g105260	32	18	1
OS03G0320400	Bo6g116460	34	27	1
OS03G0320400	Bo9g177540	35	14	1
OS03G0320800	Bo4g077040	42	24	1
OS03G0320900	Bo00944s020	55	28	1
OS03G0321300	Bo2g093220	26	34	0
OS03G0321300	Bo5g037420	27	32	0
OS03G0321300	Bo6g121760	28	33	0
OS03G0321300	Bo7g058300	28	34	0
OS03G0321300	Bo8g057990	17	24	0
OS03G0321300	Bo8g071360	27	33	0
OS03G0321500	Bo4g077050	38	44	0
OS03G0321800	Bo5g004770	63	40	0
OS03G0321800	Bo5g099920	63	40	0
OS03G0321800	Bo8g003090	59	59	0
OS03G0321800	Bo8g004110	55	63	0
OS03G0321900	Bo6g011040	64	63	1
OS03G0321900	Bo8g016380	66	64	1
OS03G0321900	Bo9g125870	23	58	1
OS03G0322000	Bo3g034250	41	5	0
OS03G0322000	Bo4g026620	41	5	0
OS03G0322000	Bo6g068500	40	5	0
OS03G0322500	Bo4g113030	83	74	1
OS03G0322500	Bo6g071160	40	44	1
OS03G0322500	Bo6g071190	43	73	1
OS03G0322500	Bo8g090880	82	82	1
OS03G0322600	Bo3g016850	41	40	1
OS03G0322800	Bo1g153700	66	65	1
OS03G0322900	Bo4g032390	24	24	1
OS03G0322900	Bo4g122850	29	22	1
OS03G0322900	Bo4g186360	25	22	1
OS03G0323200	Bo3g009280	86	56	0
OS03G0323500	Bo5g009180	32	27	1
OS03G0323800	Bo00969s010	59	38	1
OS03G0323800	Bo1g110180	63	69	1
OS03G0323800	Bo3g074640	62	67	1
OS03G0323800	Bo6g022170	15	55	1
OS03G0323900	Bo1g085960	30	32	1
OS03G0323900	Bo4g077070	26	29	1
OS03G0324700	Bo1g153660	17	60	0
OS03G0324700	Bo3g129890	55	55	0
OS03G0324700	Bo5g148790	52	48	0
OS03G0324800	Bo1g043170	39	32	1
OS03G0324800	Bo7g110890	39	32	1
OS03G0324900	Bo3g065990	26	35	1
OS03G0325000	Bo3g021010	70	60	1
OS03G0325000	Bo9g124820	70	61	1
OS03G0325500	Bo1g153240	51	46	1
OS03G0325500	Bo9g157350	50	45	1
OS03G0325600	Bo11772s010	22	48	0
OS03G0325600	Bo1g153650	34	45	0
OS03G0325600	Bo2g013980	33	42	0
OS03G0325600	Bo2g062660	34	43	0
OS03G0325600	Bo5g148780	32	38	0
OS03G0325600	Bo9g159820	33	42	0
OS03G0326000	Bo3g003060	59	11	1
OS03G0326100	Bo3g003060	62	26	1
OS03G0326200	Bo3g003060	43	29	1
OS03G0326300	Bo9g157330	18	20	0
OS03G0326500	Bo4g181750	48	18	1
OS03G0326500	Bo5g009090	63	26	1
OS03G0326500	Bo8g112420	59	25	1
OS03G0326600	Bo5g009640	53	56	1
OS03G0327100	Bo1g152230	40	42	1
OS03G0327100	Bo2g015440	41	44	1
OS03G0327100	Bo3g013050	41	43	1
OS03G0327100	Bo5g148430	40	42	1
OS03G0327100	Bo9g157320	40	36	1
OS03G0327700	Bo2g068510	31	26	1
OS03G0328000	Bo1g054880	94	14	0
OS03G0328501	Bo1g010390	32	27	1
OS03G0328501	Bo2g010390	31	27	1
OS03G0328501	Bo2g158650	30	25	1
OS03G0328501	Bo6g080240	32	27	1
OS03G0328501	Bo6g125680	31	26	1
OS03G0328501	Bo7g095920	24	24	1
OS03G0328501	Bo7g095960	29	25	1
OS03G0328501	Bo9g171260	31	24	1
OS03G0328900	Bo1g108270	27	33	1
OS03G0328900	Bo3g008830	25	30	1
OS03G0328900	Bo4g125720	33	43	1
OS03G0328900	Bo5g104940	28	33	1
OS03G0328900	Bo6g026060	20	12	1
OS03G0328900	Bo6g026080	14	9	1
OS03G0328900	Bo7g101340	30	39	1
OS03G0328900	Bo8g081110	33	43	1
OS03G0328900	Bo9g169400	26	30	1
OS03G0329200	Bo1g108270	28	33	1
OS03G0329200	Bo3g008830	25	31	1
OS03G0329200	Bo4g125720	33	42	1
OS03G0329200	Bo5g104940	28	33	1
OS03G0329200	Bo6g026060	22	13	1
OS03G0329200	Bo6g026080	14	9	1
OS03G0329200	Bo7g101340	30	39	1
OS03G0329200	Bo8g081110	33	42	1
OS03G0329200	Bo9g169400	25	29	1
OS03G0329500	Bo00941s030	52	56	0
OS03G0329500	Bo1g037760	59	68	0
OS03G0329500	Bo2g166090	52	56	0
OS03G0329500	Bo3g042560	75	75	0
OS03G0329500	Bo4g190440	32	55	0
OS03G0329500	Bo7g109450	68	68	0
OS03G0329500	Bo9g095420	74	74	0
OS03G0329700	Bo2g095460	61	61	1
OS03G0329900	Bo2g151830	32	34	1
OS03G0329900	Bo5g148190	32	39	1
OS03G0329900	Bo7g003580	26	34	1
OS03G0329900	Bo7g113230	33	37	1
OS03G0329900	Bo8g054450	34	34	1
OS03G0329900	Bo9g010090	32	37	1
OS03G0329900	Bo9g028250	29	38	1
OS03G0330000	Bo3g032680	45	46	1
OS03G0330000	Bo4g027110	45	45	1
OS03G0330000	Bo4g187710	44	46	1
OS03G0330200	Bo4g137990	12	63	1
OS03G0331600	Bo9g134850	48	33	1
OS03G0331700	Bo01178s020	53	52	0
OS03G0331700	Bo2g124410	50	49	0
OS03G0331700	Bo3g162280	51	53	0
OS03G0331700	Bo7g067490	51	53	0
OS03G0331700	Bo7g107150	52	53	0
OS03G0331900	Bo8g083380	31	54	1
OS03G0332500	Bo2g064440	68	73	0
OS03G0332500	Bo5g019420	68	73	0
OS03G0332500	Bo6g095240	68	73	0
OS03G0332500	Bo6g110340	68	61	0
OS03G0332500	Bo8g066000	68	74	0
OS03G0332500	Bo8g106860	68	73	0
OS03G0332533	Bo4g027140	42	52	1
OS03G0332900	Bo2g028680	55	54	1
OS03G0332900	Bo3g018810	57	55	1
OS03G0332900	Bo5g139920	54	54	1
OS03G0332900	Bo9g177350	50	51	1
OS03G0333000	Bo3g032560	24	20	1
OS03G0333000	Bo3g032600	16	27	1
OS03G0333100	Bo5g007690	57	58	1
OS03G0333100	Bo8g114470	55	58	1
OS03G0333200	Bo02299s010	38	57	1
OS03G0333200	Bo1g059100	63	62	1
OS03G0333200	Bo3g052550	31	50	1
OS03G0333200	Bo7g100980	64	64	1
OS03G0333200	Bo8g081480	63	63	1
OS03G0333300	Bo2g023260	72	71	1
OS03G0333300	Bo7g063600	32	51	1
OS03G0333300	Bo9g076110	63	64	1
OS03G0333300	Bo9g150230	72	72	1
OS03G0333400	Bo5g003960	59	56	0
OS03G0333400	Bo8g002520	56	53	0
OS03G0334000	Bo1g144910	61	68	1
OS03G0334100	Bo3g032550	34	22	0
OS03G0334800	Bo1g098450	65	63	1
OS03G0335200	Bo00913s010	18	20	1
OS03G0335200	Bo01002s040	16	18	1
OS03G0335200	Bo2g024010	14	14	1
OS03G0335200	Bo2g024040	15	15	1
OS03G0335200	Bo2g095820	12	15	1
OS03G0335200	Bo3g035140	17	16	1
OS03G0335200	Bo4g012750	19	18	1
OS03G0335200	Bo4g190390	17	16	1
OS03G0335200	Bo5g068250	13	16	1
OS03G0335200	Bo6g071110	17	19	1
OS03G0335200	Bo8g090820	18	17	1
OS03G0335300	Bo02867s010	12	52	0
OS03G0335300	Bo2g001050	16	64	0
OS03G0335300	Bo2g001060	44	64	0
OS03G0335300	Bo3g027870	21	28	0
OS03G0335300	Bo4g027170	66	67	0
OS03G0335300	Bo5g068270	8	46	0
OS03G0335300	Bo6g066920	54	67	0
OS03G0335300	Bo8g082290	68	68	0
OS03G0335300	Bo9g186190	18	34	0
OS03G0335500	Bo2g001040	54	55	1
OS03G0335500	Bo8g090800	58	59	1
OS03G0335600	Bo3g137340	64	32	1
OS03G0335600	Bo5g019840	69	33	1
OS03G0335600	Bo7g054610	55	30	1
OS03G0335600	Bo8g066130	64	32	1
OS03G0335600	Bo8g106690	68	33	1
OS03G0336100	Bo3g052470	45	32	1
OS03G0336200	Bo3g035070	47	46	1
OS03G0336200	Bo4g012700	54	50	1
OS03G0336200	Bo4g190320	53	50	1
OS03G0336200	Bo6g066380	29	30	1
OS03G0336200	Bo8g007220	48	50	1
OS03G0336200	Bo8g114410	50	50	1
OS03G0336300	Bo5g007810	57	56	0
OS03G0336300	Bo8g007250	56	28	0
OS03G0336300	Bo8g114380	54	58	0
OS03G0336600	Bo1g141370	49	50	1
OS03G0336600	Bo5g137030	48	48	1
OS03G0336700	Bo1g059030	25	33	1
OS03G0336700	Bo1g091820	17	35	1
OS03G0336700	Bo4g012650	17	35	1
OS03G0336700	Bo4g114150	18	36	1
OS03G0336700	Bo4g190250	17	35	1
OS03G0336700	Bo7g101030	23	38	1
OS03G0336700	Bo8g090740	19	34	1
OS03G0337500	Bo4g012670	59	45	1
OS03G0337500	Bo4g190270	59	65	1
OS03G0337600	Bo4g012640	55	81	1
OS03G0337600	Bo4g190240	74	74	1
OS03G0337700	Bo3g084050	70	61	1
OS03G0337700	Bo4g134540	73	72	1
OS03G0337800	Bo1g123150	22	61	0
OS03G0337800	Bo5g123700	52	48	0
OS03G0337900	Bo4g001140	38	51	1
OS03G0338000	Bo3g032460	66	68	1
OS03G0338000	Bo3g062370	69	69	1
OS03G0338000	Bo4g027450	50	73	1
OS03G0338000	Bo4g187600	65	66	1
OS03G0338400	Bo4g012560	49	50	1
OS03G0338400	Bo4g115280	43	45	1
OS03G0338400	Bo4g190130	47	48	1
OS03G0338400	Bo6g069980	49	51	1
OS03G0338400	Bo8g090640	46	48	1
OS03G0338600	Bo3g024490	46	48	1
OS03G0339100	Bo1g055330	19	66	0
OS03G0339100	Bo1g123350	63	68	0
OS03G0339100	Bo7g104100	71	69	0
OS03G0339100	Bo8g091290	66	67	0
OS03G0339400	Bo3g018750	11	35	0
OS03G0339700	Bo3g032420	32	35	1
OS03G0339700	Bo3g035020	26	30	1
OS03G0339700	Bo4g082390	15	29	1
OS03G0339700	Bo4g088220	14	31	1
OS03G0339700	Bo4g187570	33	36	1
OS03G0339700	Bo4g190230	25	31	1
OS03G0339700	Bo8g030740	12	20	1
OS03G0339700	Bo8g081370	28	34	1
OS03G0339700	Bo8g090700	19	25	1
OS03G0339700	Bo9g037310	12	34	1
OS03G0339900	Bo2g007500	57	58	1
OS03G0339900	Bo2g028610	57	58	1
OS03G0339900	Bo9g135040	58	56	1
OS03G0339900	Bo9g175120	56	57	1
OS03G0339900	Bo9g175130	58	56	1
OS03G0340001	Bo4g012640	19	14	1
OS03G0340001	Bo4g190240	50	25	1
OS03G0340500	Bo7g092560	73	70	1
OS03G0340500	Bo9g005620	78	78	1
OS03G0340700	Bo1g123170	41	43	1
OS03G0340900	Bo2g100370	60	61	1
OS03G0340900	Bo9g005610	60	61	1
OS03G0341100	Bo1g150480	82	82	0
OS03G0341100	Bo2g062780	80	72	0
OS03G0341100	Bo2g155490	80	80	0
OS03G0341100	Bo3g059020	82	82	0
OS03G0341100	Bo5g145240	71	27	0
OS03G0341100	Bo7g094800	80	80	0
OS03G0341100	Bo9g010520	80	80	0
OS03G0341300	Bo1g123330	24	27	0
OS03G0341300	Bo3g068480	25	30	0
OS03G0341300	Bo7g104110	25	27	0
OS03G0342900	Bo2g100600	43	44	1
OS03G0342900	Bo3g052390	44	35	1
OS03G0342900	Bo3g185540	38	42	1
OS03G0342900	Bo9g006040	41	42	1
OS03G0343300	Bo2g077930	20	32	1
OS03G0343300	Bo2g100470	45	47	1
OS03G0343300	Bo4g043970	9	42	1
OS03G0343300	Bo4g117070	20	42	1
OS03G0343300	Bo9g005730	28	41	1
OS03G0343400	Bo4g001200	40	41	1
OS03G0343500	Bo1g150530	81	85	1
OS03G0343500	Bo2g138990	38	62	1
OS03G0343500	Bo2g155450	61	84	1
OS03G0343500	Bo2g155460	60	75	1
OS03G0343500	Bo3g059000	79	84	1
OS03G0343500	Bo5g145300	80	85	1
OS03G0343500	Bo7g094770	63	88	1
OS03G0343700	Bo3g109380	53	56	0
OS03G0343700	Bo9g014730	53	55	0
OS03G0343800	Bo3g060900	56	60	1
OS03G0343800	Bo5g143100	55	59	1
OS03G0343900	Bo8g030530	33	40	0
OS03G0343900	Bo8g030540	33	40	0
OS03G0344100	Bo2g100530	59	56	1
OS03G0344100	Bo5g009470	58	52	1
OS03G0344100	Bo9g005780	58	55	1
OS03G0344300	Bo1g147650	38	37	1
OS03G0344300	Bo4g136010	35	38	1
OS03G0344300	Bo7g104070	38	35	1
OS03G0344300	Bo8g042150	36	27	1
OS03G0344700	Bo2g100550	59	37	1
OS03G0344700	Bo3g052510	60	37	1
OS03G0344700	Bo5g003490	60	38	1
OS03G0344700	Bo9g005850	60	37	1
OS03G0344900	Bo5g009460	48	51	1
OS03G0344900	Bo8g058170	50	53	1
OS03G0345100	Bo5g145360	48	49	1
OS03G0345200	Bo2g155400	76	76	0
OS03G0345200	Bo6g067670	73	73	0
OS03G0345200	Bo7g084580	63	71	0
OS03G0345200	Bo8g083230	73	73	0
OS03G0345200	Bo9g010470	76	76	0
OS03G0346200	Bo01097s020	16	24	1
