Gene stable ID	Oryza punctata gene stable ID	% identity	Oryza punctata % identity	Orthology confidence [0 low, 1 high]
OS02G0678300	OPUNC02G25530	98	98	1
OS02G0678400	OPUNC02G25540	94	95	1
OS02G0678800	OPUNC02G25570	97	98	1
OS02G0679200	OPUNC02G25590	96	78	1
OS02G0679500	OPUNC02G25600	74	74	0
OS02G0679700	OPUNC02G25610	89	91	1
OS02G0680400	OPUNC02G25630	80	88	1
OS02G0680500	OPUNC02G25640	85	51	1
OS02G0680600	OPUNC02G25650	76	94	1
OS02G0680700	OPUNC02G25660	95	97	1
OS02G0681000	OPUNC02G25670	80	78	1
OS02G0681100	OPUNC02G25680	94	95	1
OS02G0681200	OPUNC02G25690	97	97	1
OS02G0681700	OPUNC02G25710	97	38	1
OS02G0681900	OPUNC02G25720	94	93	1
OS02G0682200	OPUNC02G25740	99	99	1
OS02G0682300	OPUNC02G25750	91	90	1
OS02G0682500	OPUNC02G25760	99	99	1
OS02G0682600	OPUNC02G25770	99	99	1
OS02G0682700	OPUNC06G05000	72	42	1
OS02G0683500	OPUNC02G25780	84	84	0
OS02G0683900	OPUNC02G25830	95	94	1
OS02G0684000	OPUNC02G25840	87	88	1
OS02G0684100	OPUNC02G25850	75	85	1
OS02G0684150	OPUNC02G25860	89	82	1
OS02G0684300	OPUNC02G25870	96	48	1
OS02G0684400	OPUNC02G25880	94	94	1
OS02G0684500	OPUNC05G17130	100	100	0
OS02G0685200	OPUNC02G25920	94	94	1
OS02G0685600	OPUNC02G25930	53	72	1
OS02G0685900	OPUNC02G25950	98	99	1
OS02G0686100	OPUNC02G25960	79	80	1
OS02G0686300	OPUNC02G25970	92	85	1
OS02G0686400	OPUNC02G25980	96	96	1
OS02G0686500	OPUNC02G25990	95	45	1
OS02G0686600	OPUNC02G26000	97	90	1
OS02G0686700	OPUNC02G26010	93	69	1
OS02G0686800	OPUNC02G26020	92	95	1
OS02G0687200	OPUNC02G26040	97	97	1
OS02G0687500	OPUNC02G26050	97	85	1
OS02G0687900	OPUNC02G26090	85	79	1
OS02G0688500	OPUNC02G26100	96	95	1
OS02G0688900	OPUNC02G26120	91	98	1
OS02G0689000	OPUNC02G26130	93	93	1
OS02G0689066	OPUNC10G18290	85	8	1
OS02G0689200	OPUNC02G26150	97	96	1
OS02G0689500	OPUNC02G26170	97	98	1
OS02G0689600	OPUNC02G26180	92	51	1
OS02G0689700	OPUNC02G26190	92	95	0
OS02G0689800	OPUNC02G26200	91	47	0
OS02G0689900	OPUNC02G26210	96	87	1
OS02G0690200	OPUNC02G26220	95	95	1
OS02G0690500	OPUNC02G26230	97	96	1
OS02G0690600	OPUNC02G26240	96	96	1
OS02G0690700	OPUNC02G26250	100	81	1
OS02G0690800	OPUNC02G26260	96	96	1
OS02G0691500	OPUNC02G26270	82	81	1
OS02G0692000	OPUNC02G26300	97	97	1
OS02G0692700	OPUNC02G26310	91	93	1
OS02G0693000	OPUNC02G26320	91	94	1
OS02G0693200	OPUNC02G26330	89	54	1
OS02G0693500	OPUNC02G26350	99	99	1
OS02G0693700	OPUNC02G26370	94	92	1
OS02G0694100	OPUNC02G26380	63	96	1
OS02G0694201	OPUNC02G26390	92	43	1
OS02G0694700	OPUNC04G21200	8	10	1
OS02G0694800	OPUNC02G26410	75	82	1
OS02G0694900	OPUNC02G26420	74	84	1
OS02G0695200	OPUNC02G26430	76	68	1
OS02G0695600	OPUNC02G26450	82	85	1
OS02G0695700	OPUNC04G23470	90	90	1
OS02G0695800	OPUNC02G26460	89	62	1
OS02G0695900	OPUNC02G26460	95	27	1
OS02G0696500	OPUNC02G26470	97	96	1
OS02G0696700	OPUNC02G26480	93	51	1
OS02G0696900	OPUNC02G26490	64	66	1
OS02G0697300	OPUNC02G26500	99	45	1
OS02G0697400	OPUNC02G26510	94	93	1
OS02G0697500	OPUNC02G26520	98	52	1
OS02G0697600	OPUNC02G26530	95	97	1
OS02G0697700	OPUNC02G26540	81	99	1
OS02G0698000	OPUNC02G26550	99	99	1
OS02G0698100	OPUNC02G26560	90	92	1
OS02G0698800	OPUNC02G26570	90	92	1
OS02G0699000	OPUNC02G26590	92	92	1
OS02G0699300	OPUNC02G26610	79	51	1
OS02G0699400	OPUNC02G26620	80	52	0
OS02G0699600	OPUNC02G26640	99	99	1
OS02G0699700	OPUNC02G26650	99	62	1
OS02G0699900	OPUNC02G26680	82	32	1
OS02G0700000	OPUNC02G26670	93	79	1
OS02G0700100	OPUNC02G26690	99	99	1
OS02G0700300	OPUNC02G26700	99	99	1
OS02G0700400	OPUNC02G26710	37	69	1
OS02G0700500	OPUNC02G26720	93	94	1
OS02G0700600	OPUNC02G26730	83	97	1
OS02G0700700	OPUNC02G26740	92	94	1
OS02G0701600	OPUNC02G26780	90	92	1
OS02G0701900	OPUNC02G26800	98	98	1
OS02G0702000	OPUNC02G26810	97	98	1
OS02G0702100	OPUNC02G26820	89	92	1
OS02G0702400	OPUNC02G26830	85	73	1
OS02G0702500	OPUNC02G26850	92	90	1
OS02G0702600	OPUNC02G26860	85	96	1
OS02G0702800	OPUNC02G26870	92	95	1
OS02G0703300	OPUNC02G26890	95	91	1
OS02G0703600	OPUNC02G26900	94	83	1
OS02G0703900	OPUNC02G26930	88	75	0
OS02G0704000	OPUNC02G26940	40	75	1
OS02G0704000	OPUNC02G26950	89	91	1
OS02G0704300	OPUNC02G26970	99	34	1
OS02G0704500	OPUNC02G26980	91	91	1
OS02G0704600	OPUNC02G26990	96	95	1
OS02G0704800	OPUNC02G27000	97	96	1
OS02G0704900	OPUNC02G27010	97	99	1
OS02G0704966	OPUNC02G27020	88	93	1
OS02G0705000	OPUNC02G27030	77	92	1
OS02G0705100	OPUNC02G27040	71	77	1
OS02G0705300	OPUNC02G27060	97	98	1
OS02G0705400	OPUNC02G27070	98	98	1
OS02G0705500	OPUNC02G27080	86	89	1
OS02G0705600	OPUNC02G27090	96	93	1
OS02G0706400	OPUNC02G27100	93	95	1
OS02G0706500	OPUNC02G27110	85	78	1
OS02G0706600	OPUNC02G27120	75	77	1
OS02G0706900	OPUNC02G27130	98	92	1
OS02G0707000	OPUNC02G27140	87	60	1
OS02G0707100	OPUNC02G27150	92	98	1
OS02G0707200	OPUNC02G27160	95	93	1
OS02G0708000	OPUNC02G27180	94	95	1
OS02G0708100	OPUNC02G27200	85	90	1
OS02G0708200	OPUNC02G27210	99	99	1
OS02G0708400	OPUNC02G27230	99	99	1
OS02G0708600	OPUNC02G27240	67	23	1
OS02G0709000	OPUNC02G27250	92	99	1
OS02G0709100	OPUNC02G27260	91	95	1
OS02G0709200	OPUNC02G27280	96	97	1
OS02G0709300	OPUNC02G27290	82	91	1
OS02G0709400	OPUNC02G27300	96	70	0
OS02G0709600	OPUNC02G27320	74	73	1
OS02G0709800	OPUNC02G27330	97	97	1
OS02G0710102	OPUNC02G27340	98	14	1
OS02G0710300	OPUNC02G27370	86	95	1
OS02G0710500	OPUNC02G27380	98	98	1
OS02G0710700	OPUNC06G14540	51	48	0
OS02G0710800	OPUNC02G27400	87	39	1
OS02G0710900	OPUNC02G27410	95	95	1
OS02G0711100	OPUNC02G27450	93	93	1
OS02G0711200	OPUNC02G27460	92	45	1
OS02G0711300	OPUNC02G27470	85	78	1
OS02G0711900	OPUNC02G27500	91	92	1
OS02G0712000	OPUNC02G27510	85	88	0
OS02G0712500	OPUNC02G27520	97	97	1
OS02G0712600	OPUNC02G27530	84	84	1
OS02G0712700	OPUNC02G27540	84	86	1
OS02G0713250	OPUNC02G27560	91	91	1
OS02G0713400	OPUNC02G27570	99	99	1
OS02G0713700	OPUNC02G27580	84	85	1
OS02G0713900	OPUNC02G27590	83	48	1
OS02G0714100	OPUNC02G27600	94	95	1
OS02G0714200	OPUNC02G27620	90	82	1
OS02G0714300	OPUNC02G27630	86	90	0
OS02G0714500	OPUNC02G27650	95	62	1
OS02G0714600	OPUNC02G27660	99	99	1
OS02G0714700	OPUNC02G27680	62	47	1
OS02G0714801	OPUNC02G25090	67	36	1
OS02G0715000	OPUNC02G27730	96	96	1
OS02G0715200	OPUNC02G27740	97	88	1
OS02G0715300	OPUNC02G27750	93	91	1
OS02G0715400	OPUNC02G27760	94	94	1
OS02G0716500	OPUNC02G27810	98	98	1
OS02G0716800	OPUNC02G27830	93	93	1
OS02G0717100	OPUNC02G27840	97	97	1
OS02G0717200	OPUNC02G27850	96	84	1
OS02G0717300	OPUNC02G27860	93	93	1
OS02G0717400	OPUNC02G27870	87	82	1
OS02G0717500	OPUNC02G27880	98	98	1
OS02G0717600	OPUNC02G27890	90	90	1
OS02G0717700	OPUNC02G27910	95	88	1
OS02G0717900	OPUNC02G27930	99	99	1
OS02G0718000	OPUNC02G27940	97	97	1
OS02G0718900	OPUNC02G27980	99	66	1
OS02G0719000	OPUNC02G27990	61	91	1
OS02G0719100	OPUNC02G28000	98	98	1
OS02G0719600	OPUNC02G28010	94	95	1
OS02G0719700	OPUNC02G28020	94	93	1
OS02G0719700	OPUNC02G28050	94	93	1
OS02G0719800	OPUNC02G28030	97	97	1
OS02G0719800	OPUNC02G28060	97	97	1
OS02G0720000	OPUNC02G28070	88	32	1
OS02G0720100	OPUNC02G28080	73	86	1
OS02G0720200	OPUNC02G28090	94	94	1
OS02G0720300	OPUNC02G28100	96	86	1
OS02G0720400	OPUNC02G28110	62	69	1
OS02G0720500	OPUNC02G28120	95	35	1
OS02G0720600	OPUNC02G28130	87	88	1
OS02G0720700	OPUNC02G28140	96	96	1
OS02G0720900	OPUNC02G28150	96	97	1
OS02G0721100	OPUNC02G28160	87	83	1
OS02G0721200	OPUNC02G28180	49	52	0
OS02G0721600	OPUNC02G28190	83	71	1
OS02G0721800	OPUNC02G28200	90	95	1
OS02G0722001	OPUNC02G28220	91	78	1
OS02G0722300	OPUNC02G28240	98	88	1
OS02G0722400	OPUNC02G28260	56	79	1
OS02G0722500	OPUNC02G28270	95	95	1
OS02G0722700	OPUNC02G28280	99	99	1
OS02G0722800	OPUNC02G28290	96	96	1
OS02G0723200	OPUNC02G28320	89	94	1
OS02G0723300	OPUNC02G28330	92	89	1
OS02G0723400	OPUNC02G28340	51	63	0
OS02G0723600	OPUNC02G28350	64	56	0
OS02G0723700	OPUNC02G28360	95	88	1
OS02G0724000	OPUNC02G28370	96	96	1
OS02G0724500	OPUNC02G28380	83	31	1
OS02G0725000	OPUNC02G28400	90	90	1
OS02G0725100	OPUNC02G28410	73	92	1
OS02G0725100	OPUNC02G28420	88	87	1
OS02G0725300	OPUNC02G28430	94	94	1
OS02G0725500	OPUNC02G28450	71	70	1
OS02G0725600	OPUNC02G28460	94	51	1
OS02G0725700	OPUNC02G28470	86	83	1
OS02G0725900	OPUNC02G28490	77	79	1
OS02G0726000	OPUNC02G28500	80	79	1
OS02G0726300	OPUNC02G28540	95	95	1
OS02G0726400	OPUNC02G28560	97	98	1
OS02G0726500	OPUNC02G28570	98	92	1
OS02G0726600	OPUNC02G28590	99	59	1
OS02G0726700	OPUNC02G28580	71	50	1
OS02G0727100	OPUNC02G28610	97	96	1
OS02G0727300	OPUNC02G28620	91	92	1
OS02G0727300	OPUNC02G28660	91	92	1
OS02G0727500	OPUNC02G28640	72	99	1
OS02G0727500	OPUNC02G28680	72	99	1
OS02G0727700	OPUNC02G28700	59	59	1
OS02G0727966	OPUNC02G28710	68	22	1
OS02G0728001	OPUNC02G28720	99	99	1
OS02G0728100	OPUNC02G28730	98	89	1
OS02G0728300	OPUNC02G28740	67	93	1
OS02G0728500	OPUNC02G28750	86	45	1
OS02G0728600	OPUNC02G28760	83	55	1
OS02G0728700	OPUNC02G28770	64	88	1
OS02G0729100	OPUNC02G28830	94	95	1
OS02G0729200	OPUNC02G28840	94	87	1
OS02G0729400	OPUNC02G28850	98	84	1
OS02G0729700	OPUNC02G28870	79	81	1
OS02G0730000	OPUNC02G28900	96	97	1
OS02G0730050	OPUNC02G28890	47	72	1
OS02G0730100	OPUNC02G28910	46	27	1
OS02G0730300	OPUNC02G28920	93	89	1
OS02G0730400	OPUNC02G28930	97	97	1
OS02G0730500	OPUNC02G28940	97	97	1
OS02G0730600	OPUNC02G28950	91	91	1
OS02G0730700	OPUNC02G28960	95	96	1
OS02G0730800	OPUNC02G28980	94	94	1
OS02G0730900	OPUNC02G28990	94	94	1
OS02G0731200	OPUNC02G29000	88	91	1
OS02G0731400	OPUNC02G29010	95	95	1
OS02G0731500	OPUNC02G29020	75	54	1
OS02G0731700	OPUNC02G29040	87	88	1
OS02G0731900	OPUNC02G29050	94	97	1
OS02G0732200	OPUNC02G29060	97	97	1
OS02G0732300	OPUNC02G29070	69	66	1
OS02G0732400	OPUNC02G29080	10	7	1
OS02G0732500	OPUNC02G29090	99	99	1
OS02G0732600	OPUNC08G12780	52	44	0
OS02G0732700	OPUNC02G29110	97	71	1
OS02G0732800	OPUNC02G29120	95	94	1
OS02G0732900	OPUNC02G29140	96	96	1
OS02G0733001	OPUNC02G29150	74	60	1
OS02G0733200	OPUNC01G19090	31	28	1
OS02G0733300	OPUNC02G29180	96	96	1
OS02G0733400	OPUNC02G29190	72	93	1
OS02G0733500	OPUNC02G29200	94	93	1
OS02G0733800	OPUNC02G29260	97	98	1
OS02G0733900	OPUNC02G29270	98	99	1
OS02G0734300	OPUNC02G29280	97	97	1
OS02G0734400	OPUNC02G29290	67	36	1
OS02G0734500	OPUNC02G29290	48	23	1
OS02G0734600	OPUNC02G29300	50	40	1
OS02G0734800	OPUNC02G29310	95	95	1
OS02G0734900	OPUNC02G29320	99	99	1
OS02G0735100	OPUNC02G29360	92	93	1
OS02G0735100	OPUNC02G29380	65	82	1
OS02G0735200	OPUNC02G29370	99	90	1
OS02G0735200	OPUNC02G29390	99	99	1
OS02G0735700	OPUNC02G29410	98	98	1
OS02G0735800	OPUNC02G29420	93	93	1
OS02G0735900	OPUNC02G29430	98	50	1
OS02G0736100	OPUNC02G29450	96	95	1
OS02G0736300	OPUNC02G29470	94	94	1
OS02G0736400	OPUNC02G29480	99	85	1
OS02G0736500	OPUNC02G29490	95	95	1
OS02G0736600	OPUNC02G29500	90	91	1
OS02G0736700	OPUNC02G29510	71	57	1
OS02G0737200	OPUNC02G29520	91	91	1
OS02G0737300	OPUNC02G29520	91	91	1
OS02G0738200	OPUNC02G29540	93	94	1
OS02G0738400	OPUNC02G29550	96	96	1
OS02G0738600	OPUNC02G29560	87	87	1
OS02G0738900	OPUNC02G29570	99	98	1
OS02G0739000	OPUNC02G29580	96	96	1
OS02G0739400	OPUNC02G29610	98	98	1
OS02G0739600	OPUNC02G29620	99	99	1
OS02G0739700	OPUNC02G29630	96	96	1
OS02G0739900	OPUNC02G29640	89	100	1
OS02G0740300	OPUNC02G17780	86	87	1
OS02G0740400	OPUNC02G17770	85	85	1
OS02G0740500	OPUNC02G17760	82	63	1
OS02G0740600	OPUNC02G17750	95	96	1
OS02G0740700	OPUNC02G17740	97	96	1
OS02G0740900	OPUNC02G17720	91	93	1
OS02G0741100	OPUNC06G08510	77	63	0
OS02G0741800	OPUNC02G29650	100	100	1
OS02G0741900	OPUNC02G29660	98	99	1
OS02G0742100	OPUNC02G29670	90	20	1
OS02G0742200	OPUNC02G29690	100	100	1
OS02G0742500	OPUNC02G29700	100	17	1
OS02G0742700	OPUNC02G29710	93	93	1
OS02G0742800	OPUNC02G29720	81	92	1
OS02G0742800	OPUNC02G29730	95	41	1
OS02G0742900	OPUNC02G29720	2	1	1
OS02G0742900	OPUNC02G29730	98	23	1
OS02G0743100	OPUNC02G29750	93	93	1
OS02G0743200	OPUNC02G29760	89	90	1
OS02G0743400	OPUNC02G34040	97	92	1
OS02G0743500	OPUNC02G34050	97	98	1
OS02G0743700	OPUNC02G29780	72	57	1
OS02G0743800	OPUNC02G29790	38	70	1
OS02G0743900	OPUNC02G29800	51	92	1
OS02G0744000	OPUNC02G29810	89	89	1
OS02G0744100	OPUNC02G29820	95	95	1
OS02G0744200	OPUNC02G29830	91	91	1
OS02G0744650	OPUNC02G29840	89	59	1
OS02G0744700	OPUNC02G29850	85	83	1
OS02G0744900	OPUNC02G29860	98	98	1
OS02G0745000	OPUNC02G29880	98	65	1
OS02G0745100	OPUNC02G29890	95	96	1
OS02G0745200	OPUNC02G29900	74	29	1
OS02G0745250	OPUNC02G29910	82	40	1
OS02G0745400	OPUNC02G29920	97	98	1
OS02G0745600	OPUNC02G29930	93	93	1
OS02G0745700	OPUNC02G29940	99	99	1
OS02G0746000	OPUNC02G29970	99	99	1
OS02G0747400	OPUNC02G29990	96	99	1
OS02G0747500	OPUNC02G30000	97	97	1
OS02G0747600	OPUNC02G30010	94	81	1
OS02G0747900	OPUNC02G30020	99	99	1
OS02G0748100	OPUNC02G30030	96	96	1
OS02G0748300	OPUNC02G30050	92	98	1
OS02G0748800	OPUNC02G30060	98	98	1
OS02G0748800	OPUNC02G30070	98	98	1
OS02G0749150	OPUNC02G30080	97	27	1
OS02G0749300	OPUNC02G30090	90	57	1
OS02G0749450	OPUNC02G30100	94	41	1
OS02G0749500	OPUNC02G30110	58	10	0
OS02G0749700	OPUNC02G30120	89	89	1
OS02G0749700	OPUNC06G23240	87	87	1
OS02G0749800	OPUNC02G30130	94	47	1
OS02G0750100	OPUNC02G30150	96	40	1
OS02G0750400	OPUNC02G30160	93	51	1
OS02G0750500	OPUNC02G30170	85	69	1
OS02G0750800	OPUNC02G30180	68	68	1
OS02G0751100	OPUNC02G30190	96	96	1
OS02G0751300	OPUNC02G30200	88	81	1
OS02G0751600	OPUNC02G30210	90	65	0
OS02G0751800	OPUNC02G30220	98	98	1
OS02G0751900	OPUNC02G30230	93	90	1
OS02G0752000	OPUNC02G30240	94	92	1
OS02G0752800	OPUNC02G30250	79	80	1
OS02G0753000	OPUNC02G30260	93	92	1
OS02G0753200	OPUNC02G30270	94	92	1
OS02G0753300	OPUNC02G30280	94	94	1
OS02G0753400	OPUNC02G30290	92	92	1
OS02G0753500	OPUNC02G30300	96	48	1
OS02G0753700	OPUNC02G30310	78	81	1
OS02G0753800	OPUNC02G30320	99	99	1
OS02G0753900	OPUNC02G30330	94	37	1
OS02G0754100	OPUNC02G30340	82	91	1
OS02G0754300	OPUNC02G30350	93	94	1
OS02G0754500	OPUNC02G30370	97	97	1
OS02G0754600	OPUNC02G30380	95	94	1
OS02G0754700	OPUNC02G30390	98	98	1
OS02G0754800	OPUNC02G30400	93	67	1
OS02G0754900	OPUNC02G30410	98	73	1
OS02G0755000	OPUNC02G30420	98	98	1
OS02G0755200	OPUNC02G30430	98	97	1
OS02G0755400	OPUNC02G30440	89	47	1
OS02G0755500	OPUNC02G30450	95	95	1
OS02G0755600	OPUNC02G30460	91	89	1
OS02G0755900	OPUNC02G30470	92	96	1
OS02G0756100	OPUNC02G30480	95	95	1
OS02G0756800	OPUNC02G30490	92	32	1
OS02G0757100	OPUNC02G30500	91	95	1
OS02G0757700	OPUNC02G30510	99	99	1
OS02G0757900	OPUNC02G30520	100	100	1
OS02G0758000	OPUNC02G30530	91	92	1
OS02G0758100	OPUNC02G30540	95	69	1
OS02G0758200	OPUNC02G30550	89	89	1
OS02G0758800	OPUNC02G30570	90	95	1
OS02G0759000	OPUNC02G30580	88	39	1
OS02G0759400	OPUNC02G30600	91	93	1
OS02G0759500	OPUNC02G30610	94	91	1
OS02G0759700	OPUNC02G30620	98	94	1
OS02G0759800	OPUNC02G30630	99	99	1
OS02G0759900	OPUNC02G30650	77	77	1
OS02G0760000	OPUNC02G30660	54	97	1
OS02G0760200	OPUNC02G30670	89	78	1
OS02G0760300	OPUNC02G30680	98	98	1
OS02G0760400	OPUNC02G30690	93	95	1
OS02G0760500	OPUNC02G30700	100	100	1
OS02G0760600	OPUNC10G12220	36	40	1
OS02G0761000	OPUNC02G30720	99	99	1
OS02G0761100	OPUNC02G30730	94	93	1
OS02G0761200	OPUNC02G30740	95	95	1
OS02G0761300	OPUNC02G30750	89	90	1
OS02G0761400	OPUNC02G30760	98	12	1
OS02G0761500	OPUNC02G30770	97	92	1
OS02G0761600	OPUNC02G30780	96	96	1
OS02G0761700	OPUNC02G30790	90	96	1
OS02G0761900	OPUNC02G03210	98	98	1
OS02G0761900	OPUNC10G07970	96	96	1
OS02G0762100	OPUNC02G30800	95	95	1
OS02G0762200	OPUNC02G30810	93	93	1
OS02G0762200	OPUNC10G07930	35	65	1
OS02G0762200	OPUNC10G07950	43	48	1
OS02G0762300	OPUNC02G30820	71	80	0
OS02G0762400	OPUNC02G30830	92	94	1
OS02G0762600	OPUNC02G30850	95	92	1
OS02G0762800	OPUNC02G30870	86	92	1
OS02G0763000	OPUNC02G30890	93	93	1
OS02G0763200	OPUNC02G30900	87	30	1
OS02G0764100	OPUNC01G02270	48	36	0
OS02G0764200	OPUNC02G31060	94	94	1
OS02G0764400	OPUNC02G31080	94	94	1
OS02G0764500	OPUNC02G31090	97	97	1
OS02G0764700	OPUNC02G31100	90	89	1
OS02G0765400	OPUNC02G31110	95	97	1
OS02G0765600	OPUNC02G31120	97	98	1
OS02G0765900	OPUNC02G31130	95	37	0
OS02G0766600	OPUNC02G31150	85	88	1
OS02G0766700	OPUNC02G31160	76	79	1
OS02G0766900	OPUNC02G31170	51	53	0
OS02G0767000	OPUNC02G31180	93	83	1
OS02G0767100	OPUNC02G31210	96	58	1
OS02G0767200	OPUNC02G31220	93	95	1
OS02G0767300	OPUNC02G31230	90	82	1
OS02G0767400	OPUNC02G31240	92	92	1
OS02G0767500	OPUNC02G31250	96	96	1
OS02G0767600	OPUNC02G31260	69	68	1
OS02G0767700	OPUNC02G31270	88	94	1
OS02G0767800	OPUNC02G31280	58	74	1
OS02G0767900	OPUNC02G31290	80	73	1
OS02G0768000	OPUNC02G31300	86	88	1
OS02G0768200	OPUNC02G31310	71	88	1
OS02G0768300	OPUNC02G31320	92	92	1
OS02G0768600	OPUNC02G31330	88	91	1
OS02G0768700	OPUNC02G31340	54	95	1
OS02G0769100	OPUNC02G31360	81	81	1
OS02G0769200	OPUNC02G31370	90	35	1
OS02G0769900	OPUNC02G31410	94	65	1
OS02G0770100	OPUNC02G31420	92	93	1
OS02G0770500	OPUNC02G31440	81	90	1
OS02G0770600	OPUNC02G31450	93	97	1
OS02G0770700	OPUNC02G31460	60	90	1
OS02G0770800	OPUNC02G31470	98	98	1
OS02G0771100	OPUNC02G31500	98	98	1
OS02G0771200	OPUNC02G31510	86	84	1
OS02G0771400	OPUNC02G31520	89	91	1
OS02G0771600	OPUNC02G31530	97	94	1
OS02G0771700	OPUNC02G31540	95	95	1
OS02G0771800	OPUNC02G31550	94	94	1
OS02G0772000	OPUNC02G31560	84	28	1
OS02G0772200	OPUNC02G31570	73	67	1
OS02G0772300	OPUNC02G31580	82	79	1
OS02G0772500	OPUNC02G31590	88	93	1
OS02G0773200	OPUNC02G31610	99	99	1
OS02G0773300	OPUNC02G31620	99	99	1
OS02G0773400	OPUNC02G31630	93	95	1
OS02G0773500	OPUNC02G31640	87	84	1
OS02G0773600	OPUNC02G31650	69	80	1
OS02G0773732	OPUNC02G31660	86	85	1
OS02G0774100	OPUNC02G31670	84	79	0
OS02G0774200	OPUNC02G31680	98	98	1
OS02G0774300	OPUNC02G31690	99	99	1
OS02G0774500	OPUNC02G31700	84	94	1
OS02G0775100	OPUNC02G31750	98	45	1
OS02G0775200	OPUNC02G31760	99	98	1
OS02G0775300	OPUNC02G31770	92	51	1
OS02G0775400	OPUNC02G31780	81	44	1
OS02G0775600	OPUNC02G31800	79	81	1
OS02G0776400	OPUNC02G31840	96	83	1
OS02G0776600	OPUNC02G31860	93	96	1
OS02G0776700	OPUNC02G31880	82	85	1
OS02G0776800	OPUNC02G31890	90	90	1
OS02G0776900	OPUNC02G31900	73	96	1
OS02G0777100	OPUNC02G31910	88	82	1
OS02G0777400	OPUNC02G31920	97	46	1
OS02G0777800	OPUNC03G05590	33	40	0
OS02G0778200	OPUNC02G31950	96	98	1
OS02G0778300	OPUNC02G31960	83	97	1
OS02G0778500	OPUNC02G31990	93	97	1
OS02G0778600	OPUNC02G32000	98	97	1
OS02G0778700	OPUNC02G32010	98	98	1
OS02G0779000	OPUNC02G32030	83	71	1
OS02G0779200	OPUNC02G32040	95	95	1
OS02G0779300	OPUNC02G32060	63	100	1
OS02G0780500	OPUNC02G32100	90	86	0
OS02G0780550	OPUNC02G32110	79	65	1
OS02G0780600	OPUNC02G32120	68	98	1
OS02G0780700	OPUNC02G32130	90	98	1
OS02G0780800	OPUNC02G32140	92	40	1
OS02G0781000	OPUNC02G32150	94	49	1
OS02G0781300	OPUNC02G32160	76	76	1
OS02G0781400	OPUNC02G32170	96	97	1
OS02G0781600	OPUNC02G32180	93	93	1
OS02G0781700	OPUNC02G32190	77	87	1
OS02G0781800	OPUNC02G32200	95	47	1
OS02G0781900	OPUNC02G32210	59	73	1
OS02G0782100	OPUNC02G32220	90	91	1
OS02G0782200	OPUNC02G32230	97	97	1
OS02G0782500	OPUNC02G32250	97	97	1
OS02G0782600	OPUNC02G32260	95	44	1
OS02G0782700	OPUNC02G32270	96	94	1
OS02G0782800	OPUNC02G32280	96	35	1
OS02G0782900	OPUNC02G32290	87	73	1
OS02G0783000	OPUNC02G32300	92	91	1
OS02G0783100	OPUNC02G32310	97	97	0
OS02G0783625	OPUNC02G32320	87	42	1
OS02G0783700	OPUNC02G32320	96	21	1
OS02G0784100	OPUNC02G32280	86	16	1
OS02G0784700	OPUNC02G32330	100	44	1
OS02G0784900	OPUNC02G32350	92	90	1
OS02G0785000	OPUNC02G32360	64	17	1
OS02G0785800	OPUNC03G19580	55	86	0
OS02G0785900	OPUNC05G07690	89	17	1
OS02G0786000	OPUNC02G32370	95	98	1
OS02G0786200	OPUNC02G32380	88	64	1
OS02G0786400	OPUNC02G32390	39	46	1
OS02G0786500	OPUNC02G32400	84	41	1
OS02G0786900	OPUNC02G32430	87	83	1
OS02G0787000	OPUNC02G32440	85	86	1
OS02G0787200	OPUNC02G32450	92	55	1
OS02G0787300	OPUNC02G32470	92	93	1
OS02G0787600	OPUNC02G32490	90	90	1
OS02G0787800	OPUNC02G32500	93	98	1
OS02G0788400	OPUNC02G32510	99	99	1
OS02G0788500	OPUNC02G32520	92	93	1
OS02G0788600	OPUNC02G32530	74	68	1
OS02G0788800	OPUNC02G32540	92	54	1
OS02G0789100	OPUNC02G32550	97	97	1
OS02G0789400	OPUNC02G32560	97	98	1
OS02G0789600	OPUNC02G32570	96	96	1
OS02G0789700	OPUNC04G20130	42	22	0
OS02G0790500	OPUNC02G32580	97	61	1
OS02G0790600	OPUNC02G32600	70	69	0
OS02G0791200	OPUNC02G32610	86	88	1
OS02G0791300	OPUNC02G32620	70	74	1
OS02G0791400	OPUNC02G32630	95	99	1
OS02G0791500	OPUNC02G32640	100	100	1
OS02G0791700	OPUNC02G32650	80	76	1
OS02G0791800	OPUNC02G32660	91	91	1
OS02G0792500	OPUNC02G32680	83	75	1
OS02G0792800	OPUNC02G32750	85	85	1
OS02G0792900	OPUNC02G32760	99	99	1
OS02G0793000	OPUNC02G32770	98	98	1
OS02G0793100	OPUNC02G32800	99	99	1
OS02G0793200	OPUNC02G32810	90	95	1
OS02G0793300	OPUNC02G32820	97	94	1
OS02G0793400	OPUNC02G32840	70	61	1
OS02G0793700	OPUNC02G32850	96	94	1
OS02G0793800	OPUNC02G32880	89	47	1
OS02G0793900	OPUNC02G32890	97	79	1
OS02G0794000	OPUNC02G32900	91	75	1
OS02G0794300	OPUNC02G32920	98	11	1
OS02G0794400	OPUNC02G32930	83	73	1
OS02G0794500	OPUNC02G32940	92	87	1
OS02G0794700	OPUNC02G32950	99	53	1
OS02G0794900	OPUNC02G32960	31	96	1
OS02G0794900	OPUNC02G32980	27	86	1
OS02G0795000	OPUNC02G32990	80	84	1
