Gene stable ID	Beta vulgaris subsp. vulgaris gene stable ID	% identity	Beta vulgaris subsp. vulgaris % identity	Orthology confidence [0 low, 1 high]
OS02G0798100	BVRB_9g206370	53.653	51.7621	1
OS02G0798600	BVRB_8g192650	32.75	25.0478	1
OS02G0798700	BVRB_3g060190	36.5385	42.3671	1
OS02G0798800	BVRB_9g218950	34.5196	20.3354	1
OS02G0798900	BVRB_9g218950	54.1063	23.4801	1
OS02G0799000	BVRB_8g192810	68.0791	64.9596	1
OS02G0799300	BVRB_2g030900	51.0989	47.9381	1
OS02G0799300	BVRB_8g192950	53.663	55.283	1
OS02G0800000	BVRB_9g219160	65.9955	65.1214	1
OS02G0800100	BVRB_5g109760	58.8652	58.4507	1
OS02G0800500	BVRB_7g166550	18.0556	6.58228	1
OS02G0801200	BVRB_5g109760	52.7778	40.1408	1
OS02G0801300	BVRB_7g166550	18.0556	6.58228	1
OS02G0802200	BVRB_2g030780	52.3105	53.0957	1
OS02G0802200	BVRB_8g193330	58.78	58.2418	1
OS02G0802200	BVRB_8g198220	44.1774	44.5065	1
OS02G0802400	BVRB_9g221190	71.4286	71.4286	1
OS02G0802500	BVRB_7g176900	6.43045	69.0141	1
OS02G0802700	BVRB_8g193150	62.5616	53.8136	1
OS02G0803200	BVRB_4g074360	5.14541	23.7113	0
OS02G0803200	BVRB_4g092950	2.90828	16.8831	0
OS02G0803200	BVRB_8g200090	4.9217	22.6804	0
OS02G0803200	BVRB_9g218860	26.3982	27.1264	0
OS02G0803200	BVRB_9g218870	12.7517	12.9545	0
OS02G0803250	BVRB_8g193630	50.3521	39.3939	1
OS02G0803300	BVRB_8g193670	59.9297	61.6637	1
OS02G0803400	BVRB_5g123310	66.9118	65.4676	1
OS02G0803600	BVRB_2g030620	67.2566	69.0909	1
OS02G0803600	BVRB_8g193700	66.8142	68.9498	1
OS02G0803700	BVRB_4g075850	90.4429	92.1615	0
OS02G0803700	BVRB_5g120410	90.676	92.399	0
OS02G0803900	BVRB_1g005540	32.5726	33.7634	0
OS02G0803900	BVRB_6g133890	34.2324	35.2564	0
OS02G0804300	BVRB_8g198180	72.8814	73.8832	1
OS02G0804400	BVRB_9g219270	36.0656	33.0827	1
OS02G0804500	BVRB_9g219260	66.5298	64.5418	1
OS02G0804600	BVRB_4g088670	29.2339	54.5113	0
OS02G0805000	BVRB_6g149210	74.4376	41.5051	1
OS02G0805100	BVRB_8g193910	29.6703	20.4545	1
OS02G0805200	BVRB_7g172880	87.8327	88.1679	1
OS02G0805250	BVRB_008610	36.7857	24.6411	1
OS02G0805250	BVRB_1g015850	27.8571	27.758	1
OS02G0805500	BVRB_4g087280	49.2662	62.5	1
OS02G0805500	BVRB_8g199560	54.5073	66.1578	1
OS02G0805600	BVRB_8g199680	73.1707	73.8462	1
OS02G0805700	BVRB_7g162140	29.8611	33.0769	1
OS02G0805800	BVRB_2g038350	44.9532	52.8764	1
OS02G0805900	BVRB_2g047670	63.7771	64.1745	1
OS02G0806000	BVRB_3g067810	52.7675	52.5735	1
OS02G0806400	BVRB_7g160250	13.4948	12.5806	1
OS02G0806500	BVRB_9g207740	71.9828	71.4438	1
OS02G0806600	BVRB_5g112690	38.6243	42.3926	1
OS02G0806700	BVRB_2g047690	52.6971	54.3509	1
OS02G0806700	BVRB_9g205260	54.3568	53.5422	1
OS02G0806900	BVRB_1g016420	67.9834	67.7019	1
OS02G0807000	BVRB_3g049100	42.5606	42.1233	1
OS02G0807000	BVRB_4g083500	51.2111	52.4823	1
OS02G0807100	BVRB_5g125350	33.2258	18.83	1
OS02G0807200	BVRB_010520	30.7059	35.5586	0
OS02G0807200	BVRB_3g058000	28.7059	39.1026	0
OS02G0807200	BVRB_3g058010	23.0588	33.2767	0
OS02G0807200	BVRB_3g058020	30.5882	33.8983	0
OS02G0807200	BVRB_3g058030	30.8235	34.5191	0
OS02G0807200	BVRB_3g058060	28.7059	34.512	0
OS02G0807200	BVRB_3g058130	31.5294	35.0785	0
OS02G0807200	BVRB_3g058150	30.2353	32.6557	0
OS02G0807200	BVRB_3g058160	29.0588	33.6054	0
OS02G0807200	BVRB_3g058170	30.8235	33.4184	0
OS02G0807200	BVRB_3g058180	29.7647	31.9444	0
OS02G0807800	BVRB_1g011150	26.8519	30.2985	1
OS02G0807800	BVRB_3g058140	29.8942	32.8488	1
OS02G0807800	BVRB_4g075030	18.6508	46.3816	1
OS02G0807800	BVRB_4g075370	30.291	31.6736	1
OS02G0807800	BVRB_4g075400	35.0529	35.2394	1
OS02G0807800	BVRB_4g075430	30.9524	38.1729	1
OS02G0807800	BVRB_4g075440	29.8942	31.5642	1
OS02G0807800	BVRB_4g075450	32.4074	32.8859	1
OS02G0807800	BVRB_4g075460	28.3069	30.4843	1
OS02G0807800	BVRB_4g075470	33.5979	33.6424	1
OS02G0807800	BVRB_4g075550	33.4656	33.4214	1
OS02G0807800	BVRB_4g075560	27.6455	32.1045	1
OS02G0807800	BVRB_4g075570	35.3175	36.2772	1
OS02G0807800	BVRB_4g075600	33.5979	36.7583	1
OS02G0807800	BVRB_4g075610	34.6561	35.5978	1
OS02G0807800	BVRB_4g075620	34.5238	35.462	1
OS02G0807800	BVRB_4g080890	32.1429	36.2687	1
OS02G0807800	BVRB_4g080900	30.1587	31.6667	1
OS02G0807800	BVRB_4g080910	17.8571	41.9255	1
OS02G0807800	BVRB_5g125530	32.2751	27.2626	1
OS02G0807800	BVRB_6g141530	27.2487	30.1611	1
OS02G0807800	BVRB_8g197770	30.9524	32.7731	1
OS02G0807800	BVRB_8g197780	22.619	29.2808	1
OS02G0807800	BVRB_9g223170	29.6296	35.8974	1
OS02G0807800	BVRB_9g223180	24.7354	28.2051	1
OS02G0808100	BVRB_010520	42.1171	25.4768	0
OS02G0808100	BVRB_3g058000	34.2342	24.359	0
OS02G0808100	BVRB_3g058010	39.8649	30.0509	0
OS02G0808100	BVRB_3g058020	43.018	24.9022	0
OS02G0808100	BVRB_3g058030	43.4685	25.4282	0
OS02G0808100	BVRB_3g058060	39.1892	24.611	0
OS02G0808100	BVRB_3g058130	40.991	23.822	0
OS02G0808100	BVRB_3g058150	44.5946	25.1588	0
OS02G0808100	BVRB_3g058160	43.6937	26.3946	0
OS02G0808100	BVRB_3g058170	42.7928	24.2347	0
OS02G0808100	BVRB_3g058180	42.7928	23.9899	0
OS02G0808800	BVRB_9g223090	56.8047	55.814	1
OS02G0809100	BVRB_9g222180	15.4426	17.0478	1
OS02G0809500	BVRB_4g083980	55.137	55.9028	1
OS02G0809800	BVRB_3g048660	50.6748	51.3682	1
OS02G0809900	BVRB_3g048720	56.3934	18.5545	1
OS02G0810100	BVRB_4g083970	69.9842	67.8407	1
OS02G0810200	BVRB_3g048740	31.068	7.29761	0
OS02G0810300	BVRB_2g039560	75.3425	75.3425	1
OS02G0810400	BVRB_3g048870	75.1082	75.2711	0
OS02G0810400	BVRB_4g096510	72.7273	72.4138	0
OS02G0810450	BVRB_9g214790	54.5703	53.8358	1
OS02G0810500	BVRB_7g165260	53.1616	53.7915	1
OS02G0810900	BVRB_5g121330	39.577	43.0921	1
OS02G0811000	BVRB_5g121360	53.629	60.7306	1
OS02G0811200	BVRB_010520	34.6859	36.1035	0
OS02G0811200	BVRB_3g058000	31.4136	38.4615	0
OS02G0811200	BVRB_3g058010	24.8691	32.2581	0
OS02G0811200	BVRB_3g058020	35.3403	35.2021	0
OS02G0811200	BVRB_3g058030	34.8168	35.0461	0
OS02G0811200	BVRB_3g058060	33.7696	36.4922	0
OS02G0811200	BVRB_3g058130	34.9476	34.9476	0
OS02G0811200	BVRB_3g058150	35.733	34.6887	0
OS02G0811200	BVRB_3g058160	34.1623	35.5102	0
OS02G0811200	BVRB_3g058170	35.9948	35.0765	0
OS02G0811200	BVRB_3g058180	33.7696	32.5758	0
OS02G0811400	BVRB_9g223090	55.7864	54.6512	1
OS02G0811600	BVRB_4g072940	13.6519	31.746	0
OS02G0811600	BVRB_6g145510	18.7713	27.7778	0
OS02G0811800	BVRB_9g223090	56.0472	55.2326	1
OS02G0812000	BVRB_9g223090	54.7904	53.1977	1
OS02G0812400	BVRB_4g075290	54.918	55.5249	1
OS02G0813500	BVRB_3g069540	73.9919	73.6948	1
OS02G0813600	BVRB_2g036990	44.7084	45.4945	1
OS02G0813600	BVRB_6g146770	40.3888	47.5827	1
OS02G0813600	BVRB_6g146840	17.7106	52.2293	1
OS02G0813600	BVRB_6g146850	49.46	47.5104	1
OS02G0813600	BVRB_7g174730	51.1879	51.1879	1
OS02G0813800	BVRB_7g167480	60.0998	65.1351	0
OS02G0814100	BVRB_7g165480	54.4944	15.4705	0
OS02G0814200	BVRB_1g017100	52.9134	54.2811	0
OS02G0814200	BVRB_1g017110	53.0709	54.3548	0
OS02G0814700	BVRB_3g048310	90.7895	98.5714	0
OS02G0814700	BVRB_7g166770	90.7895	98.5714	0
OS02G0814800	BVRB_7g166760	49.0099	49.2537	1
OS02G0814900	BVRB_1g003840	42.7966	40.4	1
OS02G0815000	BVRB_2g031750	58.8652	88.2979	0
OS02G0815000	BVRB_2g031760	58.156	87.234	0
OS02G0815100	BVRB_006610	29.8246	18.319	1
OS02G0815100	BVRB_4g077470	23.5088	18.0108	1
OS02G0815200	BVRB_006660	48.4177	52.5773	1
OS02G0815300	BVRB_6g138330	29.8913	36.9128	1
OS02G0815400	BVRB_4g077330	50.8143	50.4854	1
OS02G0815500	BVRB_7g166210	90.8137	91.2929	1
OS02G0815600	BVRB_4g084450	52.3207	53.4483	1
OS02G0815800	BVRB_4g077320	65.9898	65.6566	1
OS02G0815900	BVRB_7g166310	49.797	47.9167	1
OS02G0816000	BVRB_7g166360	61.1612	59.7847	1
OS02G0816100	BVRB_3g069620	59.3023	66.2338	1
OS02G0816200	BVRB_4g077280	58.8076	59.4521	1
OS02G0816200	BVRB_7g166540	59.6206	59.1398	1
OS02G0816400	BVRB_7g166510	32.334	30.7849	1
OS02G0816500	BVRB_2g035500	85.5556	68.1416	1
OS02G0816600	BVRB_7g160430	67.354	25.2903	0
OS02G0816700	BVRB_3g069370	46.4516	48.9796	1
OS02G0816800	BVRB_7g166550	68.6274	70.8861	1
OS02G0816900	BVRB_7g166400	75.4137	63.2518	1
OS02G0816900	BVRB_8g189280	64.3026	50.0921	1
OS02G0817000	BVRB_4g080740	17.0872	16.5006	1
OS02G0817200	BVRB_9g210570	70.9333	69.8163	1
OS02G0817500	BVRB_2g045440	82.3171	82.3171	1
OS02G0817600	BVRB_7g166630	40.2135	34.7692	1
OS02G0817800	BVRB_2g024960	19.6676	10.4106	1
OS02G0817800	BVRB_7g173700	21.8837	11.6348	1
OS02G0817900	BVRB_4g080760	61.4308	62.8981	1
OS02G0818700	BVRB_9g205590	55.6962	57.5163	1
OS02G0819000	BVRB_7g161540	32.0261	13.8028	1
OS02G0819400	BVRB_8g199750	44.5205	9.44767	1
OS02G0819400	BVRB_9g205390	47.9452	9.38338	1
OS02G0819600	BVRB_7g162090	58.7822	59.3381	1
OS02G0819700	BVRB_6g144070	40.9574	43.75	1
OS02G0819900	BVRB_1g001490	33.7264	34.0476	1
OS02G0819900	BVRB_9g205340	35.8491	34.9425	1
OS02G0820000	BVRB_3g049180	81.6456	79.3846	1
OS02G0820000	BVRB_4g083490	83.5443	77.4194	1
OS02G0820200	BVRB_3g049310	30.625	27.6836	1
OS02G0820200	BVRB_5g121000	28.75	26.1364	1
OS02G0820300	BVRB_5g120970	47.0209	45.3416	1
OS02G0820500	BVRB_5g120850	48.1481	46.4286	0
OS02G0820600	BVRB_4g095610	53.2688	55.6962	1
OS02G0820700	BVRB_3g056790	58.1967	54.1985	1
OS02G0820700	BVRB_5g120810	75.4098	74.7967	1
OS02G0820800	BVRB_4g095650	64.6617	57.1429	1
OS02G0820900	BVRB_3g056770	45.933	50.1961	1
OS02G0820900	BVRB_4g095630	44.378	49.7987	1
OS02G0821200	BVRB_9g211490	72.8261	44.9664	0
OS02G0821400	BVRB_1g004350	42.3729	45.7666	1
OS02G0821600	BVRB_1g004390	49.4908	46.1977	1
OS02G0821600	BVRB_3g053620	48.2688	48.2688	1
OS02G0821600	BVRB_3g053630	49.2872	48.2072	1
OS02G0821800	BVRB_3g053660	85.7143	66.0377	0
OS02G0821800	BVRB_4g072830	85.7143	68.6274	0
OS02G0821900	BVRB_1g004460	26.1168	22.8228	1
OS02G0822000	BVRB_3g055000	39.2523	38.8889	1
OS02G0822000	BVRB_5g100370	44.8598	43.6364	1
OS02G0822100	BVRB_3g055010	62.4528	61.985	0
OS02G0822300	BVRB_006690	51.7045	58.3333	1
OS02G0822400	BVRB_4g093610	20.2532	31.9202	1
OS02G0822400	BVRB_4g093720	29.4304	34.4444	1
OS02G0822500	BVRB_7g179260	69.2961	68.3832	1
OS02G0822600	BVRB_9g206220	65.7754	62.7551	0
OS02G0822800	BVRB_4g093690	40.6551	39.4393	1
OS02G0822900	BVRB_1g004560	25.4042	27.7778	1
OS02G0822900	BVRB_1g004570	27.4827	32.964	1
OS02G0822900	BVRB_1g004590	28.6374	30.9613	1
OS02G0822900	BVRB_1g004600	28.6374	31.2343	1
OS02G0822900	BVRB_1g004610	31.8707	33.253	1
OS02G0822900	BVRB_3g055100	28.06	26.7033	1
OS02G0823000	BVRB_1g004550	50.2752	69.0176	0
OS02G0823000	BVRB_6g137570	19.8165	75.5245	0
OS02G0823200	BVRB_4g095050	13.3333	50	1
OS02G0823200	BVRB_5g100300	48.75	51.7699	1
OS02G0823300	BVRB_4g093780	41.1141	36.4706	1
OS02G0823300	BVRB_9g225340	27.7188	25.3027	1
OS02G0823400	BVRB_7g161210	59.726	56.9191	1
OS02G0823600	BVRB_4g086000	58.8235	57.4713	1
OS02G0823700	BVRB_7g178970	54.7401	59.8662	0
OS02G0823700	BVRB_9g205660	49.8471	56.2069	0
OS02G0823800	BVRB_9g206180	41.3345	40.0168	1
OS02G0823900	BVRB_9g206210	32.2674	32.3615	1
OS02G0824000	BVRB_2g035700	39.9786	38.8947	1
OS02G0824100	BVRB_3g055300	46.1394	44.0647	1
OS02G0824300	BVRB_1g004860	38.8325	46.6463	1
OS02G0824400	BVRB_1g004850	72.1519	71.25	1
OS02G0824700	BVRB_5g120240	83.8462	83.2061	0
OS02G0826100	BVRB_5g100680	52.4044	54.0712	1
OS02G0826200	BVRB_1g005790	62.4606	62.6582	1
OS02G0826500	BVRB_5g103530	76.5896	73.9191	1
OS02G0826600	BVRB_4g097020	63.8225	64.3718	0
OS02G0827100	BVRB_6g152670	70	9.62199	0
OS02G0827200	BVRB_6g154300	60.2787	29.223	1
OS02G0827300	BVRB_8g183700	73.7113	71.381	0
OS02G0827400	BVRB_9g208660	52.2293	26.1981	0
OS02G0827500	BVRB_8g188930	37.6812	29.7332	1
OS02G0827600	BVRB_5g126560	62.3188	55.3055	0
OS02G0827900	BVRB_4g086300	42.4138	41.9795	1
OS02G0828200	BVRB_9g202360	60.8592	59.3023	1
OS02G0828500	BVRB_9g202360	56.7633	54.6512	1
OS02G0828533	BVRB_017800	29.4521	19.1111	1
OS02G0828533	BVRB_041670	30.8219	43.2692	1
OS02G0828533	BVRB_1g013600	6.84932	4.4843	1
OS02G0828533	BVRB_1g022610	30.137	11.4286	1
OS02G0828533	BVRB_4g093920	31.5068	10.7728	1
OS02G0828533	BVRB_5g110190	24.6575	16.0714	1
OS02G0828533	BVRB_5g111910	33.5616	12.5964	1
OS02G0828533	BVRB_6g136250	7.53425	3.17003	1
OS02G0828533	BVRB_7g162960	31.5068	18.3267	1
OS02G0828533	BVRB_8g200760	22.6027	39.2857	1
OS02G0828533	BVRB_9g212930	25.3425	18.6869	1
OS02G0828533	BVRB_9g215240	17.8082	26.8041	1
OS02G0828566	BVRB_9g202700	60.1695	45.2229	1
OS02G0829100	BVRB_2g034790	37.9928	38.4058	1
OS02G0829100	BVRB_8g198540	40.1434	40.8759	1
OS02G0829200	BVRB_9g203350	65.4472	46.5318	0
OS02G0829400	BVRB_9g203390	44.2009	42.7184	1
OS02G0829800	BVRB_9g203470	31.9149	32.8467	1
OS02G0829900	BVRB_6g152850	76.7442	78.5714	1
OS02G0830000	BVRB_4g084440	41	38.1041	1
OS02G0830100	BVRB_6g152830	70.6494	68.7737	1
OS02G0830700	BVRB_7g169720	21.7666	10.4863	1
OS02G0830700	BVRB_8g190720	17.0347	8.89621	1
OS02G0830801	BVRB_6g143220	75.0318	27.472	1
OS02G0830900	BVRB_6g143220	61.9681	10.8675	1
OS02G0831200	BVRB_9g203330	43.4084	41.5385	1
OS02G0831300	BVRB_4g084580	67.2481	65.4717	1
OS02G0831400	BVRB_1g008390	40.2985	24.2515	1
OS02G0831500	BVRB_4g084720	50.1182	59.8025	1
OS02G0831600	BVRB_8g188590	18.8922	83.4061	1
OS02G0831600	BVRB_8g188600	39.6637	53.9704	1
OS02G0831700	BVRB_004730	54.3478	52.4476	0
OS02G0831800	BVRB_9g215700	58.2011	59.2992	0
OS02G0832100	BVRB_6g136060	56.3063	34.3407	0
OS02G0832150	BVRB_1g014180	42.9348	42.4731	1
OS02G0832200	BVRB_1g014190	39.4595	43.1953	1
OS02G0832400	BVRB_4g071620	74.814	36.2513	1
OS02G0832500	BVRB_4g071620	81.9936	13.1308	1
OS02G0832600	BVRB_4g071600	43.5897	26.2887	0
OS02G0832700	BVRB_3g060140	56.1594	38.75	0
OS02G0832800	BVRB_9g215610	71.267	71.267	1
OS02G0833000	BVRB_1g020880	40.2174	42.7746	1
OS02G0833000	BVRB_9g212440	39.9457	42.6087	1
OS02G0833050	BVRB_9g212480	32.3246	35.0224	1
OS02G0833300	BVRB_2g039010	51.4925	48.9362	1
OS02G0833400	BVRB_1g022760	63.3929	64.3505	1
OS02G0833500	BVRB_6g152500	27.7108	30.303	1
OS02G0833900	BVRB_6g134170	31.9018	55.914	1
OS02G0834000	BVRB_1g020700	93.401	93.8775	0
OS02G0834000	BVRB_6g130240	92.8934	92.8934	0
OS02G0834000	BVRB_9g214100	95.4315	94.9495	0
OS02G0834300	BVRB_1g017240	37.3913	36.4407	1
OS02G0834700	BVRB_9g216370	61.2813	61.4525	1
OS03G0100010	BVRB_8g191370	10.0295	7.87037	1
OS03G0100020	BVRB_5g125680	56.2044	57.2491	1
OS03G0100030	BVRB_010710	16.0526	49.1936	1
OS03G0100030	BVRB_3g062080	17.1053	44.2177	1
OS03G0100030	BVRB_5g106050	60.5263	60.2094	1
OS03G0100030	BVRB_9g206810	9.21053	36.8421	1
OS03G0100040	BVRB_1g017070	70.9424	67.0792	0
OS03G0100050	BVRB_5g123320	36.9863	14.5553	1
OS03G0100200	BVRB_4g088820	44.8276	42.5234	1
OS03G0100400	BVRB_5g105370	54.3719	58.4865	1
OS03G0100500	BVRB_5g105260	59.5455	9.65365	0
OS03G0100500	BVRB_5g105270	0	0	0
OS03G0100800	BVRB_1g017650	73.7113	72.6626	1
OS03G0100900	BVRB_5g104860	48.5714	52.8889	1
OS03G0101000	BVRB_1g021160	47.9452	6.30631	1
OS03G0101000	BVRB_1g021210	46.5753	6.1706	1
OS03G0101000	BVRB_6g152180	52.0548	5.39007	1
OS03G0101100	BVRB_5g104840	63.8978	59.7015	1
OS03G0101200	BVRB_3g053450	28.8889	32.5	1
OS03G0101200	BVRB_3g068000	39.2157	36.7647	1
OS03G0101200	BVRB_9g211010	36.2092	31.8025	1
OS03G0101300	BVRB_5g112890	57.2254	58.4646	1
OS03G0101300	BVRB_5g120400	54.5279	55.3816	1
OS03G0101500	BVRB_1g018150	47.4903	48.8095	1
OS03G0101600	BVRB_3g067950	69.5652	73.1707	1
OS03G0101800	BVRB_1g018340	54.0856	57.6763	1
OS03G0101800	BVRB_3g055380	19.0661	21.6814	1
OS03G0101800	BVRB_3g067730	26.8482	53.4884	1
OS03G0101900	BVRB_5g104530	57.7626	56.7265	1
OS03G0102000	BVRB_5g104520	52.6316	52.6316	1
OS03G0102100	BVRB_5g104510	67.9868	64.1745	1
OS03G0102200	BVRB_3g053850	77.193	77.193	0
OS03G0102300	BVRB_1g018420	37.2727	3.4324	0
OS03G0102333	BVRB_1g018420	44.7802	6.82294	0
OS03G0102366	BVRB_1g018420	50.4854	8.70657	0
OS03G0102400	BVRB_3g067770	58.2988	62.1681	1
OS03G0103000	BVRB_5g097760	60.2716	59.8651	1
OS03G0103000	BVRB_5g097770	62.4788	61.4357	1
OS03G0103100	BVRB_5g097650	54.3478	46.5839	1
OS03G0103100	BVRB_5g097660	52.1739	48	1
OS03G0103200	BVRB_5g097650	48.9362	42.8571	1
OS03G0103200	BVRB_5g097660	47.5177	44.6667	1
OS03G0103300	BVRB_015590	70.2703	32.2981	1
OS03G0103300	BVRB_5g097750	66.2162	33.5616	1
OS03G0103400	BVRB_5g122850	32.4895	18.4431	1
OS03G0105700	BVRB_4g095620	19.4631	16.9096	1
OS03G0105800	BVRB_5g123000	28.036	26.1173	1
OS03G0106000	BVRB_1g004800	58.0153	54.4153	1
OS03G0106200	BVRB_1g004640	21.2742	20.5494	1
OS03G0106300	BVRB_1g004630	17.8862	24.1758	1
OS03G0106300	BVRB_7g158080	23.9837	29.8734	1
OS03G0106400	BVRB_6g137390	64.1975	62.8019	1
OS03G0107000	BVRB_1g004540	64.1667	45.2941	1
OS03G0107000	BVRB_3g055070	66.6667	45.4545	1
OS03G0107600	BVRB_9g202540	40.9449	50.9804	1
OS03G0107900	BVRB_9g205710	54.0984	53.2258	0
OS03G0108000	BVRB_7g179010	57.6923	57.6923	1
OS03G0108200	BVRB_7g178980	19.3916	7.91925	1
OS03G0108400	BVRB_7g170680	72.2944	73.2456	0
OS03G0108500	BVRB_5g101900	24.3333	73	0
OS03G0108500	BVRB_5g101910	54	54.9153	0
OS03G0108600	BVRB_3g070540	51.6381	48.6765	1
OS03G0108700	BVRB_4g072870	27.2189	34.3284	1
OS03G0108800	BVRB_4g095100	31.6964	21.194	1
OS03G0109400	BVRB_9g207830	69.7259	69.0673	1
OS03G0109500	BVRB_4g097450	71.5278	72.5352	1
OS03G0109500	BVRB_7g158470	70.8333	68.4564	1
OS03G0109600	BVRB_1g007180	70.2857	78.3439	1
OS03G0109700	BVRB_008650	53.6232	54.4118	1
OS03G0109700	BVRB_9g224350	61.4493	61.2717	1
OS03G0110300	BVRB_4g084430	29.6512	25.1232	1
OS03G0110400	BVRB_7g162800	64.2633	67.5453	1
OS03G0110500	BVRB_8g189220	34.7578	32.6203	1
OS03G0110800	BVRB_2g039700	50.7538	49.5908	1
OS03G0110800	BVRB_6g148640	41.3735	45.6562	1
OS03G0110900	BVRB_5g100700	45.3287	46.6192	1
OS03G0111100	BVRB_2g025580	56.6787	57.7206	1
OS03G0111200	BVRB_009640	50.2857	41.9048	1
OS03G0111200	BVRB_1g005980	45.7143	42.1053	1
OS03G0111200	BVRB_5g100580	53.1429	47.449	1
OS03G0111300	BVRB_2g027210	30.2083	32.2222	0
OS03G0111300	BVRB_2g027230	32.2917	32.6316	0
OS03G0111300	BVRB_2g027240	28.125	28.4211	0
OS03G0111300	BVRB_2g027260	33.3333	34.0426	0
OS03G0111800	BVRB_5g122240	42.5995	41.1168	1
OS03G0112101	BVRB_9g210860	90	34.5813	1
OS03G0112600	BVRB_6g129830	31.8987	7.15909	1
OS03G0112600	BVRB_9g216540	35.6962	9.63115	1
OS03G0112800	BVRB_6g129820	59.1528	58.2712	1
OS03G0112900	BVRB_6g129780	33.3333	58.4459	1
OS03G0113000	BVRB_5g107980	38.7755	37.8917	1
OS03G0113100	BVRB_013120	54.1516	61.9835	1
OS03G0113100	BVRB_8g184730	54.5126	65.6522	1
OS03G0113700	BVRB_9g222110	81.6568	81.4159	1
OS03G0113800	BVRB_5g103950	63.0705	60.3175	1
OS03G0114000	BVRB_6g134030	58.2418	34.4156	1
OS03G0114200	BVRB_5g118090	58.6826	52.1277	1
OS03G0114300	BVRB_5g103910	59.3792	60.8575	1
OS03G0114400	BVRB_1g002560	35.9465	39.4958	1
OS03G0114400	BVRB_3g051450	35.5641	38.75	1
OS03G0114800	BVRB_3g051420	81.8381	81.4815	1
OS03G0114800	BVRB_5g103750	79.4311	78.7419	1
OS03G0114900	BVRB_004230	56.1856	59.2391	0
OS03G0115000	BVRB_5g103740	32.1429	32.9843	1
OS03G0115100	BVRB_1g002670	62.5	61.1314	0
OS03G0115200	BVRB_1g012050	69.163	71.6895	1
OS03G0115200	BVRB_4g072570	72.2467	74.8858	1
OS03G0115200	BVRB_4g088630	45.3745	50.2439	1
OS03G0115300	BVRB_2g029140	47.3469	54.4601	1
OS03G0115400	BVRB_1g002720	41.1528	41.2081	1
OS03G0115400	BVRB_3g051500	39.008	41.5714	1
OS03G0115400	BVRB_5g103590	34.3164	35.7542	1
OS03G0115500	BVRB_1g002760	57.561	59.8985	1
OS03G0115700	BVRB_5g103570	71.0843	71.2991	0
OS03G0116000	BVRB_5g098850	47.3684	44.7964	1
OS03G0116400	BVRB_3g066290	44.9231	49.1582	1
OS03G0116500	BVRB_1g017340	23.5828	66.6667	1
OS03G0116500	BVRB_1g020190	70.7483	70.5882	1
OS03G0116700	BVRB_1g020160	57.2391	55.7377	1
OS03G0116700	BVRB_3g066430	43.4343	50.9881	1
OS03G0116700	BVRB_5g101050	52.5253	53.7931	1
OS03G0116800	BVRB_1g020150	38.8889	40.8488	1
OS03G0116900	BVRB_1g020120	63.2327	63.3452	1
OS03G0117000	BVRB_3g066500	46.729	33.67	1
OS03G0117100	BVRB_1g020130	75.5274	76.1702	1
OS03G0117200	BVRB_1g004790	42.0804	40	1
OS03G0117800	BVRB_1g019910	69.0059	70.4478	1
OS03G0117900	BVRB_017190	42	40.9756	1
OS03G0118200	BVRB_1g019980	76.5043	75.2113	1
OS03G0118400	BVRB_1g020320	89.5705	49.6599	0
OS03G0118600	BVRB_3g066500	60.2985	68.0135	1
OS03G0118700	BVRB_5g101170	36.3047	38.5542	1
OS03G0118800	BVRB_5g101200	77.7538	75.4717	1
OS03G0118900	BVRB_1g019890	42.3326	23.4731	1
OS03G0119000	BVRB_3g066060	57.0312	67.5926	1
OS03G0119100	BVRB_1g019880	65.8683	48.7589	1
OS03G0119500	BVRB_4g071610	80.4598	25.7353	0
OS03G0119700	BVRB_1g012510	31.422	29.2735	1
OS03G0119966	BVRB_4g096650	25.3846	68.4647	1
OS03G0120000	BVRB_4g096630	37.3239	12.9902	1
OS03G0120100	BVRB_4g084660	65.2941	63.4286	1
OS03G0120200	BVRB_6g132150	44.6809	38.3367	1
OS03G0120300	BVRB_6g132160	77.5801	75.1724	0
OS03G0120400	BVRB_5g104360	52.3316	70.6294	1
OS03G0120900	BVRB_5g104330	47.5884	32.3851	0
OS03G0121200	BVRB_3g050850	47.432	48.6068	1
OS03G0121200	BVRB_3g050860	51.0574	51.682	1
OS03G0121300	BVRB_3g050850	48.4472	48.2972	1
OS03G0121300	BVRB_3g050860	50	49.2355	1
OS03G0121700	BVRB_3g050890	61.5385	67.3267	0
OS03G0121800	BVRB_1g001910	79.918	9.88844	1
OS03G0122000	BVRB_1g001970	37.1166	35.6932	1
OS03G0122100	BVRB_1g002090	38.2637	25.9825	1
OS03G0122200	BVRB_5g104300	62.2222	59.8291	0
OS03G0122300	BVRB_3g050970	64.9123	65.4867	1
OS03G0122600	BVRB_1g019810	50	52.0362	1
OS03G0122600	BVRB_5g101250	51.7391	55.0926	1
OS03G0123300	BVRB_5g101290	65.7744	68.9379	1
OS03G0123500	BVRB_5g101230	70.3822	71.7533	1
OS03G0123600	BVRB_5g100250	72.9927	74.6269	1
OS03G0124000	BVRB_5g100130	38.9171	32.4859	1
OS03G0124100	BVRB_1g004210	41.502	42.6829	0
OS03G0124100	BVRB_5g100100	51.9763	49.4361	0
OS03G0124200	BVRB_1g008200	35.7311	36.5501	1
