Gene stable ID	Vitis vinifera gene stable ID	% identity	Vitis vinifera % identity	Orthology confidence [0 low, 1 high]
OS02G0752200	VIT_18s0001g05180	59	59	1
OS02G0752300	VIT_00s0662g00020	16	14	1
OS02G0752300	VIT_00s1188g00010	26	24	1
OS02G0752600	VIT_12s0178g00010	41	56	1
OS02G0752800	VIT_00s0662g00030	25	38	0
OS02G0752800	VIT_00s0662g00040	42	38	0
OS02G0752800	VIT_18s0001g05250	41	38	0
OS02G0753000	VIT_00s0304g00080	60	60	0
OS02G0753000	VIT_18s0001g05300	61	60	0
OS02G0753200	VIT_12s0121g00280	35	58	0
OS02G0753200	VIT_12s0178g00050	51	52	0
OS02G0753200	VIT_12s0178g00130	34	61	0
OS02G0753200	VIT_12s0178g00150	29	59	0
OS02G0753300	VIT_08s0056g01680	41	44	0
OS02G0753400	VIT_18s0001g05370	38	36	1
OS02G0753500	VIT_00s0304g00060	55	23	1
OS02G0753500	VIT_18s0001g05380	52	21	1
OS02G0753800	VIT_18s0001g05530	65	66	1
OS02G0754100	VIT_18s0001g03370	46	44	1
OS02G0754300	VIT_07s0141g00200	53	55	0
OS02G0754300	VIT_12s0121g00010	53	55	0
OS02G0754500	VIT_12s0028g00300	56	57	1
OS02G0754600	VIT_12s0028g00580	39	39	1
OS02G0754700	VIT_08s0040g01360	64	62	0
OS02G0754800	VIT_07s0005g04370	40	34	1
OS02G0754900	VIT_18s0001g05730	57	41	1
OS02G0755000	VIT_18s0001g05800	61	57	1
OS02G0755200	VIT_03s0017g01000	49	61	1
OS02G0755500	VIT_00s0324g00050	52	50	1
OS02G0755500	VIT_00s0324g00060	55	56	1
OS02G0755500	VIT_00s0324g00070	53	53	1
OS02G0755500	VIT_00s1251g00010	44	55	1
OS02G0755500	VIT_03s0017g01040	39	52	1
OS02G0755600	VIT_00s0324g00050	53	53	1
OS02G0755600	VIT_00s0324g00060	55	58	1
OS02G0755600	VIT_00s0324g00070	54	57	1
OS02G0755600	VIT_00s1251g00010	44	56	1
OS02G0755600	VIT_03s0017g01040	40	55	1
OS02G0756100	VIT_00s0391g00030	39	35	1
OS02G0757100	VIT_18s0001g06020	55	54	1
OS02G0757100	VIT_18s0001g06150	59	57	1
OS02G0757100	VIT_18s0001g06170	56	54	1
OS02G0757700	VIT_00s0391g00040	52	53	1
OS02G0757700	VIT_18s0001g06220	48	54	1
OS02G0757900	VIT_00s0625g00040	29	51	1
OS02G0758000	VIT_02s0154g00480	40	44	1
OS02G0758000	VIT_02s0154g00490	39	42	1
OS02G0758000	VIT_16s0022g00510	38	40	1
OS02G0758100	VIT_07s0191g00150	12	56	1
OS02G0758100	VIT_07s0191g00170	74	63	1
OS02G0758800	VIT_18s0001g06580	29	39	1
OS02G0759000	VIT_07s0191g00240	51	24	1
OS02G0759000	VIT_14s0128g00110	53	25	1
OS02G0759000	VIT_18s0001g06650	49	24	1
OS02G0759400	VIT_14s0128g00120	25	26	0
OS02G0759400	VIT_18s0001g06670	25	27	0
OS02G0759500	VIT_02s0033g01270	17	52	1
OS02G0759700	VIT_18s0001g07120	63	67	1
OS02G0759800	VIT_11s0016g03290	75	75	1
OS02G0760000	VIT_18s0001g07260	34	59	1
OS02G0760200	VIT_00s0199g00080	51	70	1
OS02G0760200	VIT_00s0199g00090	16	65	1
OS02G0760200	VIT_00s0199g00100	5	30	1
OS02G0760200	VIT_18s0001g07290	67	56	1
OS02G0760300	VIT_03s0017g01060	80	80	0
OS02G0760500	VIT_18s0001g07360	76	73	1
OS02G0761000	VIT_00s0313g00070	57	57	1
OS02G0761000	VIT_00s0729g00010	18	66	1
OS02G0761000	VIT_03s0017g00360	19	70	1
OS02G0761000	VIT_03s0017g00440	25	61	1
OS02G0761000	VIT_03s0017g00450	18	53	1
OS02G0761000	VIT_03s0167g00070	31	39	1
OS02G0761000	VIT_03s0167g00100	18	66	1
OS02G0761000	VIT_15s0024g01860	18	63	1
OS02G0761000	VIT_15s0024g02000	18	49	1
OS02G0761000	VIT_15s0107g00120	41	52	1
OS02G0761000	VIT_18s0001g07460	54	38	1
OS02G0761100	VIT_03s0063g01030	68	76	0
OS02G0761200	VIT_03s0063g01020	57	57	1
OS02G0761400	VIT_03s0063g00680	80	9	0
OS02G0761500	VIT_18s0001g10760	38	45	1
OS02G0761600	VIT_18s0001g10750	57	59	1
OS02G0761700	VIT_07s0031g00820	68	71	1
OS02G0761900	VIT_04s0023g00590	86	73	0
OS02G0762200	VIT_01s0010g01670	45	51	1
OS02G0762300	VIT_18s0001g00440	79	78	0
OS02G0762600	VIT_07s0031g00770	33	30	1
OS02G0762800	VIT_03s0063g00580	56	56	1
OS02G0763000	VIT_03s0063g00550	49	41	1
OS02G0763000	VIT_03s0063g00560	51	42	1
OS02G0763000	VIT_03s0063g00570	52	52	1
OS02G0764100	VIT_01s0011g03070	34	23	0
OS02G0764100	VIT_14s0083g00130	29	26	0
OS02G0764400	VIT_01s0182g00160	52	53	1
OS02G0764400	VIT_17s0000g06440	58	57	1
OS02G0764500	VIT_18s0001g10550	66	65	0
OS02G0764700	VIT_03s0063g00460	26	26	1
OS02G0765400	VIT_03s0063g00400	62	64	1
OS02G0765400	VIT_03s0063g00410	26	62	1
OS02G0765400	VIT_03s0063g00430	9	18	1
OS02G0765400	VIT_03s0063g00450	62	64	1
OS02G0765600	VIT_03s0063g00400	63	64	1
OS02G0765600	VIT_03s0063g00410	26	62	1
OS02G0765600	VIT_03s0063g00430	10	19	1
OS02G0765600	VIT_03s0063g00450	62	64	1
OS02G0765800	VIT_18s0001g10520	66	65	0
OS02G0765900	VIT_03s0063g00370	78	36	1
OS02G0766600	VIT_07s0031g00660	39	46	1
OS02G0766700	VIT_03s0063g00310	47	41	0
OS02G0767000	VIT_07s0031g00610	36	46	1
OS02G0767000	VIT_18s0001g10420	43	38	1
OS02G0767100	VIT_18s0001g10440	61	36	1
OS02G0767200	VIT_07s0031g00560	49	47	0
OS02G0767200	VIT_07s0031g00570	48	45	0
OS02G0767200	VIT_07s0031g00590	48	49	0
OS02G0767200	VIT_18s0001g10410	49	51	0
OS02G0767300	VIT_18s0001g03470	56	57	1
OS02G0767300	VIT_18s0001g03490	55	55	1
OS02G0767300	VIT_18s0001g03510	56	27	1
OS02G0767400	VIT_18s0001g03390	29	31	1
OS02G0767500	VIT_14s0068g01260	77	78	0
OS02G0767500	VIT_17s0000g00400	72	88	0
OS02G0767600	VIT_12s0034g01390	24	18	1
OS02G0767600	VIT_12s0034g01400	23	29	1
OS02G0767600	VIT_18s0001g03270	31	30	1
OS02G0767700	VIT_18s0001g03250	50	50	1
OS02G0767800	VIT_18s0001g03240	29	37	1
OS02G0767900	VIT_18s0001g03190	54	52	1
OS02G0768000	VIT_12s0034g01420	34	27	1
OS02G0768200	VIT_12s0034g01440	63	64	1
OS02G0768200	VIT_18s0001g03200	55	59	1
OS02G0768300	VIT_08s0040g02500	47	45	1
OS02G0768300	VIT_13s0019g00500	44	46	1
OS02G0768300	VIT_18s0001g03160	49	48	1
OS02G0768300	VIT_18s0001g03170	47	40	1
OS02G0768300	VIT_18s0001g03180	49	49	1
OS02G0768600	VIT_03s0088g01290	29	57	0
OS02G0768600	VIT_18s0001g08170	55	53	0
OS02G0768750	VIT_18s0001g04040	30	17	1
OS02G0769100	VIT_07s0031g02740	43	57	1
OS02G0769200	VIT_18s0001g03080	51	31	1
OS02G0769900	VIT_06s0009g00650	48	49	1
OS02G0770000	VIT_04s0008g02850	70	78	0
OS02G0770000	VIT_11s0065g00320	74	78	0
OS02G0770100	VIT_07s0031g01470	38	35	1
OS02G0770500	VIT_12s0055g00340	30	40	0
OS02G0770600	VIT_12s0034g00960	48	48	1
OS02G0770600	VIT_18s0001g03950	42	39	1
OS02G0770700	VIT_00s0269g00080	4	38	1
OS02G0770700	VIT_12s0034g00970	25	41	1
OS02G0770700	VIT_12s0034g00980	8	10	1
OS02G0770700	VIT_12s0034g00990	4	8	1
OS02G0770700	VIT_15s0021g00750	4	51	1
OS02G0770800	VIT_18s0001g03910	68	66	0
OS02G0771100	VIT_10s0523g00030	68	78	1
OS02G0771100	VIT_12s0059g01420	66	67	1
OS02G0771400	VIT_10s0523g00020	60	59	0
OS02G0771400	VIT_12s0059g01400	61	60	0
OS02G0771600	VIT_00s2086g00010	46	72	1
OS02G0771600	VIT_12s0059g01380	69	70	1
OS02G0771700	VIT_12s0059g01320	58	60	0
OS02G0771700	VIT_19s0090g01070	57	59	0
OS02G0771800	VIT_12s0059g01300	51	52	1
OS02G0772000	VIT_18s0001g15400	54	18	0
OS02G0772300	VIT_17s0000g00600	49	42	1
OS02G0772500	VIT_17s0119g00310	32	50	1
OS02G0772500	VIT_17s0119g00330	17	48	1
OS02G0773200	VIT_04s0079g00610	54	54	1
OS02G0773300	VIT_17s0000g00870	74	68	0
OS02G0773400	VIT_17s0053g00810	16	62	1
OS02G0773400	VIT_17s0053g00840	14	67	1
OS02G0773400	VIT_17s0053g00850	21	60	1
OS02G0773400	VIT_17s0053g00890	19	58	1
OS02G0773400	VIT_17s0053g00950	18	43	1
OS02G0773600	VIT_08s0007g06640	17	20	1
OS02G0773600	VIT_08s0007g06690	21	20	1
OS02G0773732	VIT_08s0007g06680	42	47	1
OS02G0774100	VIT_08s0007g06700	38	35	1
OS02G0774200	VIT_06s0004g02250	37	39	1
OS02G0774200	VIT_13s0156g00150	39	41	1
OS02G0774300	VIT_00s0415g00030	85	85	1
OS02G0774300	VIT_03s0097g00530	88	88	1
OS02G0774500	VIT_08s0007g06720	58	60	1
OS02G0775200	VIT_18s0001g02370	77	77	1
OS02G0775400	VIT_08s0007g06820	65	36	0
OS02G0775600	VIT_08s0007g06870	32	37	1
OS02G0776400	VIT_09s0002g01590	30	24	1
OS02G0776400	VIT_11s0016g01480	37	25	1
OS02G0776700	VIT_09s0002g01480	36	33	1
OS02G0776800	VIT_11s0016g01390	58	61	1
OS02G0776900	VIT_09s0002g01350	42	45	0
OS02G0776900	VIT_11s0016g01250	36	37	0
OS02G0777100	VIT_11s0016g01240	56	59	1
OS02G0777400	VIT_04s0008g01970	73	33	1
OS02G0778200	VIT_05s0020g01550	71	69	1
OS02G0778300	VIT_11s0016g01110	62	63	1
OS02G0778400	VIT_15s0045g01310	74	76	1
OS02G0778500	VIT_04s0008g02030	46	48	1
OS02G0778600	VIT_04s0008g02010	60	62	1
OS02G0778600	VIT_04s0008g02020	63	65	1
OS02G0779000	VIT_09s0002g01030	45	37	1
OS02G0779000	VIT_09s0002g01040	44	37	1
OS02G0779200	VIT_09s0002g01030	58	58	1
OS02G0779200	VIT_09s0002g01040	59	60	1
OS02G0779900	VIT_09s0002g01030	49	43	1
OS02G0779900	VIT_09s0002g01040	49	44	1
OS02G0780200	VIT_09s0002g01030	46	47	1
OS02G0780200	VIT_09s0002g01040	46	47	1
OS02G0780500	VIT_08s0007g08350	49	50	1
OS02G0780500	VIT_13s0064g00590	44	37	1
OS02G0780500	VIT_13s0064g00600	8	72	1
OS02G0780600	VIT_13s0074g00190	57	61	1
OS02G0780700	VIT_09s0002g00990	63	61	1
OS02G0780800	VIT_11s0016g00850	72	32	1
OS02G0781000	VIT_11s0016g00720	68	40	1
OS02G0781300	VIT_04s0008g02230	36	39	1
OS02G0781300	VIT_11s0016g00660	30	31	1
OS02G0781400	VIT_11s0016g00650	64	65	0
OS02G0781400	VIT_17s0000g03620	65	66	0
OS02G0781600	VIT_00s0407g00060	5	57	1
OS02G0781600	VIT_00s0407g00070	27	54	1
OS02G0781600	VIT_00s2226g00010	8	54	1
OS02G0781700	VIT_18s0001g07300	44	57	0
OS02G0782100	VIT_12s0035g02290	50	45	0
OS02G0782100	VIT_18s0089g01440	7	62	0
OS02G0782200	VIT_02s0025g04100	55	58	1
OS02G0782200	VIT_06s0004g03940	64	60	1
OS02G0782200	VIT_12s0055g00040	14	56	1
OS02G0782500	VIT_09s0002g00640	48	51	0
OS02G0782800	VIT_04s0044g00860	55	20	1
OS02G0783000	VIT_05s0062g01160	45	48	1
OS02G0783100	VIT_11s0016g02240	60	61	0
OS02G0783625	VIT_11s0016g00280	60	31	0
OS02G0783700	VIT_11s0016g00280	72	17	0
OS02G0784100	VIT_04s0044g00860	61	11	1
OS02G0784700	VIT_09s0002g00170	99	44	0
OS02G0784700	VIT_11s0016g00230	86	38	0
OS02G0784900	VIT_12s0059g01160	48	54	1
OS02G0785000	VIT_11s0052g01060	42	53	1
OS02G0785000	VIT_11s0052g01070	44	45	1
OS02G0785200	VIT_11s0052g01060	26	40	1
OS02G0785200	VIT_11s0052g01070	27	34	1
OS02G0785700	VIT_11s0052g01060	34	41	1
OS02G0785700	VIT_11s0052g01070	38	37	1
OS02G0785800	VIT_08s0007g01670	87	87	1
OS02G0785800	VIT_13s0019g03260	79	73	1
OS02G0785900	VIT_00s0181g00190	2	1	1
OS02G0785900	VIT_00s0181g00210	64	12	1
OS02G0786000	VIT_15s0046g01890	70	70	0
OS02G0786200	VIT_11s0052g01480	27	19	1
OS02G0786400	VIT_11s0052g01490	31	37	1
OS02G0786900	VIT_11s0052g01650	46	47	0
OS02G0787000	VIT_00s0207g00130	24	23	0
OS02G0787000	VIT_00s0207g00160	16	37	0
OS02G0787000	VIT_00s0207g00170	27	19	0
OS02G0787100	VIT_11s0052g01660	42	48	1
OS02G0787200	VIT_04s0008g02910	58	56	1
OS02G0787200	VIT_09s0054g01060	54	54	1
OS02G0787300	VIT_09s0018g01820	59	51	1
OS02G0787600	VIT_11s0052g01020	24	26	1
OS02G0787800	VIT_11s0052g01840	63	60	1
OS02G0788300	VIT_06s0004g05480	57	56	0
OS02G0788300	VIT_08s0007g00970	55	55	0
OS02G0788300	VIT_13s0019g02310	57	56	0
OS02G0788400	VIT_06s0004g05480	76	74	0
OS02G0788400	VIT_08s0007g00970	72	71	0
OS02G0788400	VIT_13s0019g02310	76	73	0
OS02G0788500	VIT_08s0007g01500	53	45	1
OS02G0788600	VIT_11s0065g00210	39	28	1
OS02G0788800	VIT_08s0007g05210	49	31	1
OS02G0789100	VIT_04s0069g00790	65	61	0
OS02G0789100	VIT_11s0065g00860	13	44	0
OS02G0789100	VIT_11s0065g00900	15	52	0
OS02G0789100	VIT_11s0065g00930	39	61	0
OS02G0789400	VIT_04s0069g00800	70	72	1
OS02G0789600	VIT_03s0063g00480	64	62	1
OS02G0789600	VIT_18s0001g10540	64	63	1
OS02G0790600	VIT_11s0037g01400	36	29	0
OS02G0791200	VIT_11s0037g01410	62	64	1
OS02G0791300	VIT_11s0037g01230	28	31	1
OS02G0791700	VIT_09s0018g01390	48	55	1
OS02G0791800	VIT_03s0091g00190	13	51	1
OS02G0791800	VIT_11s0037g00970	42	59	1
OS02G0792500	VIT_02s0025g03860	21	23	0
OS02G0792500	VIT_02s0025g03920	24	23	0
OS02G0792500	VIT_02s0025g04940	27	28	0
OS02G0792500	VIT_15s0046g02520	25	29	0
OS02G0792500	VIT_15s0046g02580	26	27	0
OS02G0792500	VIT_15s0046g02600	28	28	0
OS02G0792500	VIT_15s0046g02610	19	27	0
OS02G0792500	VIT_16s0050g00460	24	31	0
OS02G0792500	VIT_16s0050g00470	26	20	0
OS02G0792800	VIT_04s0008g07020	63	63	1
OS02G0792900	VIT_09s0018g01420	79	79	1
OS02G0793000	VIT_04s0008g07000	61	61	1
OS02G0793100	VIT_14s0171g00280	72	71	1
OS02G0793200	VIT_16s0039g02190	46	47	1
OS02G0793300	VIT_09s0018g01600	70	70	0
OS02G0793700	VIT_04s0008g06870	65	67	0
OS02G0793800	VIT_09s0018g01680	43	24	1
OS02G0793800	VIT_11s0037g00810	45	24	1
OS02G0793900	VIT_09s0018g01700	51	53	1
OS02G0794300	VIT_11s0037g00560	54	13	1
OS02G0794400	VIT_11s0037g00520	54	44	1
OS02G0794500	VIT_11s0037g00320	66	67	1
OS02G0794600	VIT_19s0014g02730	59	44	0
OS02G0794700	VIT_11s0037g00180	90	49	0
OS02G0795000	VIT_00s0174g00260	29	34	1
OS02G0795000	VIT_19s0014g00210	26	34	1
OS02G0795300	VIT_13s0047g00170	63	53	1
OS02G0795732	VIT_02s0025g03860	21	14	0
OS02G0795732	VIT_02s0025g03920	23	13	0
OS02G0795732	VIT_02s0025g04940	26	16	0
OS02G0795732	VIT_15s0046g02520	16	11	0
OS02G0795732	VIT_15s0046g02580	22	13	0
OS02G0795732	VIT_15s0046g02600	24	14	0
OS02G0795732	VIT_15s0046g02610	26	22	0
OS02G0795732	VIT_16s0050g00460	17	13	0
OS02G0795732	VIT_16s0050g00470	22	10	0
OS02G0795800	VIT_11s0037g00040	36	20	1
OS02G0795900	VIT_10s0003g04000	60	60	1
OS02G0796000	VIT_00s0672g00010	30	20	0
OS02G0796000	VIT_03s0063g02700	14	40	0
OS02G0796000	VIT_11s0016g00250	30	48	0
OS02G0796100	VIT_00s0672g00010	10	5	0
OS02G0796100	VIT_03s0063g02700	3	7	0
OS02G0796100	VIT_11s0016g00250	10	12	0
OS02G0796300	VIT_04s0008g05850	64	69	0
OS02G0796300	VIT_09s0070g00060	67	72	0
OS02G0796300	VIT_11s0037g00100	61	67	0
OS02G0796400	VIT_18s0001g07000	45	47	1
OS02G0796500	VIT_04s0008g05900	36	36	1
OS02G0796500	VIT_11s0206g00060	37	37	1
OS02G0796600	VIT_11s0149g00410	53	68	0
OS02G0796600	VIT_11s0206g00050	54	60	0
OS02G0796700	VIT_11s0016g03000	56	18	1
OS02G0796900	VIT_04s0008g06030	90	67	0
OS02G0796900	VIT_11s0149g00220	90	75	0
OS02G0796900	VIT_11s0149g00240	88	56	0
OS02G0797100	VIT_04s0008g06000	55	51	1
OS02G0797100	VIT_09s0002g09120	52	51	1
OS02G0797100	VIT_09s0002g09140	51	49	1
OS02G0797200	VIT_04s0008g06030	88	67	0
OS02G0797200	VIT_11s0149g00220	90	77	0
OS02G0797200	VIT_11s0149g00240	88	58	0
OS02G0797300	VIT_11s0149g00210	84	78	1
OS02G0797400	VIT_11s0149g00130	78	77	1
OS02G0797500	VIT_04s0008g06040	79	69	1
OS02G0797700	VIT_11s0149g00030	82	83	1
OS02G0798100	VIT_12s0057g00990	62	62	1
OS02G0798200	VIT_11s0118g00780	36	39	1
OS02G0798600	VIT_11s0118g00760	38	28	1
OS02G0798700	VIT_04s0008g06160	46	49	1
OS02G0798700	VIT_13s0106g00540	12	52	1
OS02G0798800	VIT_09s0002g08660	37	22	0
OS02G0798900	VIT_09s0002g08660	55	24	0
OS02G0799000	VIT_11s0118g00700	69	69	1
OS02G0799100	VIT_13s0019g04890	19	31	1
OS02G0799300	VIT_04s0008g06240	38	45	0
OS02G0799300	VIT_09s0002g08560	45	47	0
OS02G0799300	VIT_11s0118g00590	57	56	0
OS02G0799700	VIT_04s0008g06250	38	31	1
OS02G0799700	VIT_09s0002g08540	36	31	1
OS02G0799700	VIT_11s0118g00570	39	34	1
OS02G0799700	VIT_11s0118g00580	17	28	1
OS02G0800000	VIT_09s0002g08230	21	58	1
OS02G0800000	VIT_09s0002g08260	71	70	1
OS02G0800100	VIT_14s0083g00160	58	58	0
OS02G0800500	VIT_06s0009g02090	48	17	1
OS02G0800500	VIT_08s0040g00930	47	15	1
OS02G0800500	VIT_13s0067g01420	45	14	1
OS02G0801200	VIT_14s0083g00160	53	40	0
OS02G0801300	VIT_06s0009g02090	48	17	1
OS02G0801300	VIT_08s0040g00930	47	15	1
OS02G0801300	VIT_13s0067g01420	45	14	1
OS02G0802400	VIT_09s0002g08100	74	74	1
OS02G0802700	VIT_11s0118g00310	64	66	1
OS02G0803200	VIT_15s0045g00630	36	36	0
OS02G0803200	VIT_15s0045g00770	15	86	0
OS02G0803250	VIT_11s0016g05910	30	37	1
OS02G0803300	VIT_11s0016g05900	55	62	1
OS02G0803400	VIT_02s0012g00600	69	68	1
OS02G0803600	VIT_04s0008g05650	69	71	1
OS02G0803700	VIT_05s0020g01180	92	93	1
OS02G0803900	VIT_00s0218g00130	34	34	1
OS02G0803900	VIT_00s0218g00140	34	35	1
OS02G0803900	VIT_00s0218g00150	34	19	1
OS02G0803900	VIT_00s0218g00160	34	35	1
OS02G0803900	VIT_00s0218g00170	27	42	1
OS02G0803900	VIT_00s0218g00190	20	31	1
OS02G0803900	VIT_00s0218g00220	12	29	1
OS02G0803900	VIT_11s0016g01850	10	38	1
OS02G0804100	VIT_09s0002g02640	100	100	0
OS02G0804100	VIT_11s0016g02690	100	83	0
OS02G0804300	VIT_00s0335g00070	10	50	1
OS02G0804300	VIT_11s0103g00250	69	70	1
OS02G0804400	VIT_09s0002g07220	41	39	1
OS02G0804500	VIT_09s0002g07210	65	65	0
OS02G0804600	VIT_19s0090g01020	51	55	1
OS02G0804900	VIT_07s0031g01990	86	86	0
OS02G0804900	VIT_07s0031g02000	7	66	0
OS02G0805000	VIT_01s0026g00310	78	44	0
OS02G0805100	VIT_04s0008g05560	34	27	1
OS02G0805100	VIT_11s0016g05640	31	30	1
OS02G0805200	VIT_06s0004g05920	91	90	1
OS02G0805200	VIT_06s0004g05930	79	69	1
OS02G0805250	VIT_07s0031g00450	31	22	0
OS02G0805250	VIT_18s0001g10270	25	19	0
OS02G0805400	VIT_00s0445g00050	38	9	0
OS02G0805400	VIT_10s0116g00650	39	12	0
OS02G0805400	VIT_12s0059g01890	43	10	0
OS02G0805500	VIT_00s0301g00050	56	69	1
OS02G0805500	VIT_19s0014g03380	56	70	1
OS02G0805600	VIT_00s0301g00170	72	74	0
OS02G0805600	VIT_00s0301g00180	73	74	0
OS02G0805600	VIT_09s0002g07580	47	49	0
OS02G0805600	VIT_09s0002g07620	39	43	0
OS02G0805600	VIT_09s0002g07690	27	50	0
OS02G0805600	VIT_09s0002g07760	30	38	0
OS02G0805600	VIT_09s0002g07840	45	52	0
OS02G0805600	VIT_09s0070g00550	17	35	0
OS02G0805600	VIT_14s0036g00560	23	47	0
OS02G0805700	VIT_08s0040g01850	31	35	1
OS02G0805800	VIT_13s0019g04130	44	51	1
OS02G0805900	VIT_13s0019g04310	66	66	1
OS02G0806000	VIT_13s0019g04360	51	51	1
OS02G0806400	VIT_13s0019g04390	18	16	1
OS02G0806500	VIT_06s0004g02690	74	74	0
OS02G0806600	VIT_05s0124g00040	21	40	1
OS02G0806700	VIT_06s0004g02630	62	61	1
OS02G0806700	VIT_13s0019g04440	60	61	1
OS02G0806900	VIT_07s0130g00350	71	71	1
OS02G0807000	VIT_05s0049g00950	52	54	1
OS02G0807000	VIT_14s0036g00420	50	55	1
OS02G0807100	VIT_07s0205g00090	17	24	1
OS02G0807100	VIT_07s0205g00110	7	5	1
OS02G0807900	VIT_10s0003g05100	23	23	1
OS02G0808300	VIT_10s0003g05100	23	24	1
OS02G0809500	VIT_14s0036g01060	53	55	1
OS02G0809500	VIT_14s0036g01090	12	59	1
OS02G0809800	VIT_05s0049g01410	54	55	0
OS02G0809900	VIT_05s0049g01390	59	20	1
OS02G0810100	VIT_14s0036g01030	69	66	1
OS02G0810200	VIT_05s0049g01350	36	8	0
OS02G0810300	VIT_07s0005g03680	77	77	1
OS02G0810400	VIT_05s0049g01240	77	77	0
OS02G0810400	VIT_07s0005g03710	74	75	0
OS02G0810450	VIT_14s0036g00850	52	49	0
OS02G0810500	VIT_07s0005g03740	57	54	1
OS02G0810900	VIT_07s0005g03610	31	41	1
OS02G0811000	VIT_05s0049g01170	54	67	1
OS02G0811000	VIT_07s0005g03530	53	72	1
OS02G0811000	VIT_14s0036g00540	48	62	1
OS02G0812400	VIT_11s0065g00700	15	52	1
OS02G0812400	VIT_11s0065g01030	9	78	1
OS02G0812400	VIT_11s0065g01040	15	39	1
OS02G0812400	VIT_11s0065g01150	9	76	1
OS02G0812400	VIT_11s0065g01160	18	65	1
OS02G0812400	VIT_15s0045g01250	59	59	1
OS02G0812500	VIT_00s0214g00040	32	31	1
OS02G0812500	VIT_00s0214g00060	32	37	1
OS02G0812500	VIT_00s0214g00090	32	31	1
OS02G0812500	VIT_00s0214g00130	31	37	1
OS02G0812500	VIT_00s0214g00150	31	34	1
OS02G0812500	VIT_00s0214g00160	33	35	1
OS02G0812500	VIT_05s0051g00080	27	34	1
OS02G0812500	VIT_14s0060g01990	31	37	1
OS02G0812500	VIT_14s0060g02000	33	38	1
OS02G0812500	VIT_14s0060g02020	33	39	1
OS02G0812600	VIT_00s0214g00040	23	31	1
OS02G0812600	VIT_00s0214g00060	22	36	1
OS02G0812600	VIT_00s0214g00090	22	30	1
OS02G0812600	VIT_00s0214g00130	21	34	1
OS02G0812600	VIT_00s0214g00150	23	35	1
OS02G0812600	VIT_00s0214g00160	23	34	1
OS02G0812600	VIT_05s0051g00080	18	31	1
OS02G0812600	VIT_14s0060g01990	22	36	1
OS02G0812600	VIT_14s0060g02000	22	35	1
OS02G0812600	VIT_14s0060g02020	23	37	1
OS02G0813000	VIT_00s0214g00040	35	23	1
OS02G0813000	VIT_00s0214g00060	31	25	1
OS02G0813000	VIT_00s0214g00090	33	23	1
OS02G0813000	VIT_00s0214g00130	34	28	1
OS02G0813000	VIT_00s0214g00150	36	27	1
OS02G0813000	VIT_00s0214g00160	37	27	1
OS02G0813000	VIT_05s0051g00080	31	27	1
OS02G0813000	VIT_14s0060g01990	33	27	1
OS02G0813000	VIT_14s0060g02000	34	27	1
OS02G0813000	VIT_14s0060g02020	35	28	1
OS02G0813166	VIT_00s0214g00040	32	24	1
OS02G0813166	VIT_00s0214g00060	30	27	1
OS02G0813166	VIT_00s0214g00090	31	24	1
OS02G0813166	VIT_00s0214g00130	32	30	1
OS02G0813166	VIT_00s0214g00150	33	28	1
OS02G0813166	VIT_00s0214g00160	34	28	1
OS02G0813166	VIT_05s0051g00080	29	28	1
OS02G0813166	VIT_14s0060g01990	34	32	1
OS02G0813166	VIT_14s0060g02000	34	31	1
OS02G0813166	VIT_14s0060g02020	35	32	1
OS02G0813350	VIT_00s0214g00040	37	31	1
OS02G0813350	VIT_00s0214g00060	34	35	1
OS02G0813350	VIT_00s0214g00090	34	30	1
OS02G0813350	VIT_00s0214g00130	35	37	1
OS02G0813350	VIT_00s0214g00150	36	35	1
OS02G0813350	VIT_00s0214g00160	40	38	1
OS02G0813350	VIT_05s0051g00080	31	35	1
OS02G0813350	VIT_14s0060g01990	36	39	1
OS02G0813350	VIT_14s0060g02000	37	38	1
OS02G0813350	VIT_14s0060g02020	38	39	1
OS02G0813500	VIT_05s0051g00870	75	75	0
OS02G0813600	VIT_00s0317g00160	47	53	1
OS02G0813600	VIT_06s0004g04000	52	51	1
OS02G0813600	VIT_13s0067g03890	49	50	1
OS02G0813800	VIT_00s0838g00010	13	44	0
OS02G0814100	VIT_07s0005g03910	54	15	1
OS02G0814200	VIT_15s0021g00010	29	38	1
OS02G0814200	VIT_15s0045g01600	9	53	1
OS02G0814600	VIT_08s0007g06180	3	7	1
OS02G0814600	VIT_08s0007g06310	7	8	1
OS02G0814600	VIT_13s0156g00370	6	7	1
OS02G0814600	VIT_13s0156g00390	6	8	1
OS02G0814700	VIT_05s0049g01790	92	100	0
OS02G0814800	VIT_07s0005g04180	50	50	0
OS02G0815000	VIT_04s0008g03900	62	93	0
OS02G0815000	VIT_09s0002g04440	62	92	0
OS02G0815100	VIT_05s0049g01960	31	18	1
OS02G0815200	VIT_05s0049g01930	54	60	1
OS02G0815300	VIT_00s0207g00250	28	34	1
OS02G0815300	VIT_00s0207g00260	19	27	1
OS02G0815400	VIT_04s0043g00380	49	49	1
OS02G0815500	VIT_07s0005g04600	56	90	1
OS02G0815500	VIT_07s0005g04610	29	90	1
OS02G0815600	VIT_00s0270g00100	48	49	1
OS02G0815700	VIT_00s0194g00350	36	39	1
OS02G0815800	VIT_04s0043g00400	73	72	0
OS02G0815900	VIT_07s0005g04710	52	58	1
