Gene stable ID	Oryza meridionalis gene stable ID	% identity	Oryza meridionalis % identity	Orthology confidence [0 low, 1 high]
OS01G0908500	OMERI01G38170	98	98	1
OS01G0908600	OMERI01G38180	99	94	1
OS01G0908700	OMERI01G38190	96	90	1
OS01G0909000	OMERI01G38230	97	96	1
OS01G0909100	OMERI01G38240	68	57	1
OS01G0909200	OMERI01G38250	93	83	1
OS01G0909300	OMERI01G38260	93	53	1
OS01G0909300	OMERI05G22240	93	53	1
OS01G0909400	OMERI01G38270	96	74	1
OS01G0909400	OMERI05G22250	69	48	1
OS01G0910200	OMERI01G38300	64	40	1
OS01G0910500	OMERI01G38320	95	96	1
OS01G0910800	OMERI01G38330	94	97	1
OS01G0910900	OMERI01G38340	98	94	1
OS01G0911100	OMERI01G38350	85	39	0
OS01G0911200	OMERI01G38360	92	97	1
OS01G0911300	OMERI01G38370	86	52	1
OS01G0911700	OMERI01G38380	76	76	1
OS01G0911800	OMERI01G38390	96	96	1
OS01G0911900	OMERI01G38400	97	98	1
OS01G0912400	OMERI01G38410	78	37	1
OS01G0912600	OMERI01G38420	88	42	1
OS01G0912700	OMERI03G33700	25	68	1
OS01G0912900	OMERI01G38440	97	97	1
OS01G0913000	OMERI01G38430	81	81	1
OS01G0913100	OMERI01G38450	81	81	1
OS01G0913300	OMERI01G38470	87	91	1
OS01G0913400	OMERI01G38480	94	87	1
OS01G0913600	OMERI01G38490	100	94	1
OS01G0913900	OMERI01G38510	94	77	1
OS01G0914000	OMERI01G38520	44	97	0
OS01G0914100	OMERI01G38530	96	96	1
OS01G0914300	OMERI01G38550	84	81	1
OS01G0914400	OMERI01G38560	98	90	1
OS01G0914600	OMERI01G38540	93	89	1
OS01G0914700	OMERI01G38570	99	99	1
OS01G0914800	OMERI01G38580	97	97	1
OS01G0915000	OMERI01G38600	97	97	1
OS01G0915400	OMERI01G38620	94	15	1
OS01G0915401	OMERI01G38630	92	92	1
OS01G0915600	OMERI01G38640	88	88	0
OS01G0915732	OMERI01G38650	62	23	1
OS01G0915800	OMERI01G38660	94	96	1
OS01G0915900	OMERI01G38670	87	87	0
OS01G0916100	OMERI01G38680	85	68	1
OS01G0916200	OMERI01G38690	90	85	1
OS01G0916400	OMERI01G38700	98	99	1
OS01G0916600	OMERI01G38710	90	95	1
OS01G0916700	OMERI01G38720	97	95	1
OS01G0916800	OMERI01G38730	98	90	1
OS01G0917100	OMERI01G38740	95	95	1
OS01G0917200	OMERI01G38760	99	99	1
OS01G0917300	OMERI01G38780	98	61	1
OS01G0917400	OMERI01G38790	99	98	1
OS01G0917900	OMERI01G38910	91	93	1
OS01G0918100	OMERI01G38930	99	97	1
OS01G0918200	OMERI01G38940	100	89	1
OS01G0918400	OMERI01G38950	43	39	1
OS01G0919100	OMERI01G38970	89	96	1
OS01G0919500	OMERI01G38980	99	74	1
OS01G0919700	OMERI01G38990	93	80	1
OS01G0919800	OMERI01G39000	88	91	0
OS01G0920000	OMERI01G39010	92	87	1
OS01G0920100	OMERI01G39020	96	96	1
OS01G0920200	OMERI01G39030	78	73	1
OS01G0920300	OMERI01G39040	84	52	1
OS01G0920400	OMERI01G39050	100	100	1
OS01G0920800	OMERI01G39080	25	94	1
OS01G0921100	OMERI01G39110	93	94	1
OS01G0921200	OMERI01G39120	98	99	1
OS01G0921500	OMERI01G39130	100	100	1
OS01G0921800	OMERI01G39150	88	87	0
OS01G0922000	OMERI01G39160	96	75	1
OS01G0922100	OMERI01G39180	84	85	1
OS01G0922600	OMERI01G39190	95	74	1
OS01G0922700	OMERI01G39200	99	99	1
OS01G0922800	OMERI01G39210	81	65	1
OS01G0923000	OMERI01G39220	94	91	1
OS01G0923200	OMERI01G39230	100	100	1
OS01G0923300	OMERI01G39240	100	43	1
OS01G0923600	OMERI01G39250	79	96	1
OS01G0923700	OMERI01G39260	99	67	1
OS01G0923800	OMERI01G39270	99	99	1
OS01G0923900	OMERI01G39280	96	97	0
OS01G0924000	OMERI01G39290	97	98	1
OS01G0924200	OMERI01G39300	93	98	1
OS01G0924300	OMERI01G39310	92	99	1
OS01G0924400	OMERI01G39320	95	98	1
OS01G0924600	OMERI01G39330	99	30	1
OS01G0924800	OMERI01G39350	96	58	1
OS01G0924900	OMERI01G39360	97	61	1
OS01G0924966	OMERI01G39370	94	93	1
OS01G0925000	OMERI01G39380	78	83	0
OS01G0925200	OMERI01G39400	92	88	0
OS01G0925300	OMERI01G39410	97	94	0
OS01G0925400	OMERI01G39420	96	94	1
OS01G0925600	OMERI01G39440	81	61	1
OS01G0925700	OMERI01G39430	100	63	1
OS01G0925800	OMERI01G39450	99	99	1
OS01G0926200	OMERI01G39480	97	94	1
OS01G0926300	OMERI01G39470	99	99	1
OS01G0926400	OMERI01G39490	98	98	1
OS01G0926600	OMERI01G39500	98	43	1
OS01G0926800	OMERI01G39510	96	96	1
OS01G0927000	OMERI01G39520	98	90	1
OS01G0927400	OMERI01G39540	60	43	1
OS01G0927500	OMERI01G39550	97	97	1
OS01G0927600	OMERI01G39560	98	95	1
OS01G0927900	OMERI01G39580	97	96	1
OS01G0928000	OMERI01G39590	85	77	0
OS01G0928100	OMERI01G39600	93	99	1
OS01G0928300	OMERI01G39610	76	22	1
OS01G0928400	OMERI01G39620	72	61	1
OS01G0928600	OMERI01G39640	97	97	1
OS01G0928700	OMERI09G06020	88	96	1
OS01G0928800	OMERI09G06030	100	100	1
OS01G0929000	OMERI09G06040	100	100	1
OS01G0929200	OMERI09G06050	95	93	1
OS01G0929500	OMERI09G06060	97	97	1
OS01G0929600	OMERI09G06070	95	87	1
OS01G0929967	OMERI08G07100	50	75	1
OS01G0930000	OMERI09G06090	90	85	1
OS01G0930200	OMERI09G06100	98	95	0
OS01G0930400	OMERI09G06130	99	95	1
OS01G0930500	OMERI01G39730	94	92	1
OS01G0930800	OMERI01G39740	17	92	1
OS01G0930900	OMERI01G39750	93	37	1
OS01G0931100	OMERI01G39760	99	99	0
OS01G0931200	OMERI01G39770	93	92	1
OS01G0931300	OMERI01G39780	91	79	1
OS01G0931600	OMERI01G39800	88	91	1
OS01G0931700	OMERI01G39810	46	30	1
OS01G0932500	OMERI01G39880	91	94	1
OS01G0932600	OMERI01G39890	96	95	1
OS01G0932700	OMERI01G39900	94	95	1
OS01G0932950	OMERI01G39910	90	85	1
OS01G0933200	OMERI01G39930	96	96	1
OS01G0933900	OMERI01G39950	96	96	1
OS01G0934000	OMERI01G39960	74	51	1
OS01G0934350	OMERI01G39970	65	42	1
OS01G0934400	OMERI01G39970	99	63	1
OS01G0934800	OMERI01G39990	97	95	1
OS01G0934900	OMERI01G40010	98	87	1
OS01G0935000	OMERI01G40020	72	72	1
OS01G0935200	OMERI01G40030	98	54	1
OS01G0935300	OMERI01G40040	93	99	1
OS01G0935400	OMERI01G40050	98	97	1
OS01G0935500	OMERI01G40060	97	99	1
OS01G0935600	OMERI01G40070	96	39	1
OS01G0935700	OMERI01G40080	99	99	1
OS01G0935800	OMERI01G40090	98	65	1
OS01G0935900	OMERI01G40100	99	99	1
OS01G0936000	OMERI01G40110	82	99	1
OS01G0936100	OMERI01G40120	100	100	1
OS01G0936200	OMERI01G40130	98	54	1
OS01G0936700	OMERI01G40150	90	92	1
OS01G0937050	OMERI01G40160	96	33	0
OS01G0937100	OMERI01G40170	99	99	1
OS01G0937300	OMERI11G10070	61	47	1
OS01G0937400	OMERI11G10070	20	14	1
OS01G0937600	OMERI01G40200	98	27	1
OS01G0937900	OMERI01G40230	95	96	1
OS01G0938100	OMERI01G40240	100	100	1
OS01G0938200	OMERI01G40250	94	95	1
OS01G0938400	OMERI01G40260	99	90	1
OS01G0938600	OMERI01G40270	62	76	0
OS01G0938900	OMERI01G40280	87	93	0
OS01G0939000	OMERI05G12660	68	65	0
OS01G0939100	OMERI01G40290	98	100	1
OS01G0939200	OMERI01G40300	97	73	1
OS01G0939400	OMERI01G40320	95	96	1
OS01G0939500	OMERI01G40330	99	99	1
OS01G0939600	OMERI01G40340	100	100	1
OS01G0939700	OMERI01G40350	99	99	1
OS01G0940000	OMERI01G40370	62	98	1
OS01G0940100	OMERI01G40380	99	71	1
OS01G0940600	OMERI01G40400	98	99	1
OS01G0940700	OMERI01G40410	99	99	1
OS01G0940800	OMERI01G40420	96	96	1
OS01G0941200	OMERI01G40430	94	95	1
OS01G0941500	OMERI01G40450	87	93	1
OS01G0941800	OMERI01G40460	99	99	1
OS01G0942200	OMERI01G40500	97	97	1
OS01G0942300	OMERI01G40510	100	40	1
OS01G0943000	OMERI01G40670	76	35	1
OS01G0943900	OMERI01G40670	76	35	1
OS01G0943950	OMERI07G17420	59	57	1
OS01G0944200	OMERI01G40530	93	90	1
OS01G0944500	OMERI01G40540	86	76	0
OS01G0944700	OMERI01G40550	93	43	1
OS01G0945300	OMERI01G40560	98	38	1
OS01G0946100	OMERI01G40570	98	98	0
OS01G0946200	OMERI01G40580	100	100	1
OS01G0946300	OMERI01G40600	78	33	1
OS01G0946500	OMERI01G40590	96	96	1
OS01G0946800	OMERI09G06390	11	48	1
OS01G0946850	OMERI01G40620	43	65	1
OS01G0947000	OMERI01G40630	14	75	0
OS01G0947700	OMERI01G40640	93	24	1
OS01G0947767	OMERI01G40650	21	28	1
OS01G0948900	OMERI01G40690	95	63	1
OS01G0949060	OMERI01G40700	90	94	1
OS01G0949300	OMERI01G40710	99	98	1
OS01G0949400	OMERI01G40720	93	97	1
OS01G0949400	OMERI01G40730	93	44	1
OS01G0949750	OMERI01G40740	96	93	1
OS01G0949800	OMERI03G22950	79	77	0
OS01G0950800	OMERI01G40780	90	74	1
OS01G0950866	OMERI01G40790	98	98	1
OS01G0950900	OMERI01G40800	90	96	1
OS01G0951200	OMERI01G40820	98	99	1
OS01G0951400	OMERI01G40830	98	98	1
OS01G0951500	OMERI01G40850	56	61	0
OS01G0951800	OMERI01G40860	97	78	1
OS01G0952000	OMERI01G40870	99	99	1
OS01G0952100	OMERI01G40880	97	97	1
OS01G0952200	OMERI01G40900	99	99	1
OS01G0952300	OMERI01G40890	90	95	1
OS01G0952500	OMERI01G40910	97	99	1
OS01G0952700	OMERI01G40920	37	90	1
OS01G0952800	OMERI01G40940	99	99	1
OS01G0952900	OMERI01G40930	98	98	0
OS01G0953100	OMERI01G40950	93	86	1
OS01G0953400	OMERI01G40970	93	97	1
OS01G0953500	OMERI01G40980	85	87	1
OS01G0953600	OMERI01G40990	100	100	1
OS01G0953801	OMERI01G41010	80	100	1
OS01G0954000	OMERI01G41020	97	97	1
OS01G0954100	OMERI01G41030	92	94	1
OS01G0954400	OMERI01G41040	96	97	1
OS01G0954500	OMERI01G41050	84	73	1
OS01G0954900	OMERI01G41070	99	99	1
OS01G0955000	OMERI01G41080	99	90	1
OS01G0955100	OMERI01G41100	83	51	1
OS01G0955500	OMERI01G41110	95	95	1
OS01G0955600	OMERI01G41130	96	95	1
OS01G0955700	OMERI01G41140	86	77	0
OS01G0956075	OMERI01G41150	99	99	1
OS01G0956500	OMERI01G41160	91	64	0
OS01G0956600	OMERI01G41180	73	86	1
OS01G0956700	OMERI01G41190	80	77	1
OS01G0956800	OMERI01G41200	100	96	1
OS01G0957100	OMERI01G41210	92	53	0
OS01G0957800	OMERI08G13350	61	65	1
OS01G0957900	OMERI01G41280	92	99	1
OS01G0958000	OMERI01G41290	95	99	1
OS01G0958100	OMERI01G41300	94	90	1
OS01G0958200	OMERI01G41310	95	78	1
OS01G0958700	OMERI01G41330	99	99	1
OS01G0958800	OMERI01G41340	98	41	1
OS01G0959600	OMERI01G41400	92	97	1
OS01G0959800	OMERI01G41420	98	59	1
OS01G0959900	OMERI01G41430	99	99	1
OS01G0960000	OMERI01G41440	97	97	1
OS01G0960200	OMERI01G41450	96	31	0
OS01G0960400	OMERI01G41460	91	90	0
OS01G0960500	OMERI01G41470	90	95	1
OS01G0960900	OMERI01G41480	87	35	1
OS01G0961000	OMERI01G41490	85	87	1
OS01G0961200	OMERI01G41500	79	87	0
OS01G0961600	OMERI01G41540	89	94	1
OS01G0962100	OMERI01G41560	97	84	1
OS01G0962300	OMERI01G41580	100	100	1
OS01G0962500	OMERI01G41570	100	100	0
OS01G0962700	OMERI01G41610	53	59	0
OS01G0962900	OMERI01G41610	94	24	0
OS01G0963000	OMERI01G41610	54	57	0
OS01G0963300	OMERI01G41640	84	100	1
OS01G0963400	OMERI01G41650	100	61	1
OS01G0963600	OMERI01G41670	96	95	1
OS01G0963800	OMERI01G41680	91	92	1
OS01G0964000	OMERI01G41700	76	66	1
OS01G0964133	OMERI01G41690	100	100	1
OS01G0964400	OMERI01G41740	71	40	0
OS01G0964800	OMERI01G41760	87	49	1
OS01G0964900	OMERI01G41770	98	73	1
OS01G0965000	OMERI01G41780	88	92	1
OS01G0965400	OMERI01G41790	97	97	1
OS01G0965500	OMERI01G41800	99	82	1
OS01G0965600	OMERI01G41810	97	97	1
OS01G0965700	OMERI01G41820	77	18	0
OS01G0965800	OMERI01G41840	95	96	1
OS01G0965900	OMERI01G41850	92	97	1
OS01G0966100	OMERI01G41870	84	21	0
OS01G0966200	OMERI01G41880	89	85	1
OS01G0966300	OMERI01G41890	60	91	1
OS01G0966400	OMERI01G41900	98	98	1
OS01G0966700	OMERI01G41910	92	77	1
OS01G0966900	OMERI01G41920	82	88	1
OS01G0967000	OMERI01G41930	68	78	1
OS01G0967100	OMERI01G41940	99	99	1
OS01G0967200	OMERI01G41950	100	100	0
OS01G0967200	OMERI01G41980	83	23	0
OS01G0967600	OMERI01G41510	21	22	0
OS01G0967800	OMERI01G41730	25	26	0
OS01G0967900	OMERI01G41990	98	98	0
OS01G0968000	OMERI01G42000	67	59	0
OS01G0968200	OMERI01G42020	84	82	1
OS01G0968300	OMERI01G42030	99	90	1
OS01G0968500	OMERI05G11370	9	9	0
OS01G0968600	OMERI01G42050	96	96	0
OS01G0968700	OMERI01G42060	82	86	1
OS01G0968800	OMERI01G42070	98	97	1
OS01G0969000	OMERI01G42080	96	96	1
OS01G0969100	OMERI01G42090	100	88	1
OS01G0969200	OMERI01G42100	89	8	1
OS01G0969700	OMERI01G41510	14	9	0
OS01G0970400	OMERI01G42120	99	99	1
OS01G0971000	OMERI01G42150	100	100	1
OS01G0971100	OMERI01G42160	100	100	1
OS01G0971200	OMERI01G42170	94	71	1
OS01G0971400	OMERI01G42180	96	95	1
OS01G0971500	OMERI01G42190	99	99	1
OS01G0971600	OMERI01G42200	89	94	1
OS01G0971700	OMERI01G42230	90	84	1
OS01G0971800	OMERI01G42240	86	85	0
OS01G0971900	OMERI01G42250	96	92	1
OS01G0972000	OMERI01G42260	87	89	1
OS01G0972200	OMERI01G42270	92	94	1
OS01G0972300	OMERI01G42280	94	98	1
OS01G0972800	OMERI01G42290	93	95	1
OS01G0973000	OMERI01G42300	94	34	1
OS01G0973100	OMERI01G42310	94	78	1
OS01G0973200	OMERI01G42320	90	86	1
OS01G0973300	OMERI01G42330	99	84	1
OS01G0973400	OMERI01G42340	99	98	1
OS01G0973500	OMERI01G42350	97	98	1
OS01G0973600	OMERI01G42360	100	100	1
OS01G0974000	OMERI01G42370	100	100	1
OS01G0974300	OMERI01G42380	97	15	1
OS01G0974400	OMERI01G42400	99	98	1
OS01G0974701	OMERI01G42410	74	74	0
OS01G0974800	OMERI01G42390	100	100	1
OS01G0974900	OMERI01G42430	88	85	1
OS01G0975000	OMERI01G42450	84	90	0
OS01G0975300	OMERI05G01150	37	27	0
OS01G0976700	OMERI02G08840	10	47	0
OS01G0977200	OMERI02G08340	65	83	1
OS01G0977600	OMERI10G05870	92	92	1
OS02G0100100	OMERI02G00020	98	95	1
OS02G0100200	OMERI02G00030	94	99	1
OS02G0100300	OMERI02G00040	99	88	1
OS02G0100333	OMERI07G18740	8	8	0
OS02G0100700	OMERI02G00050	100	95	1
OS02G0100800	OMERI02G00070	98	31	1
OS02G0101000	OMERI02G00090	87	64	1
OS02G0101100	OMERI02G00110	99	91	1
OS02G0101400	OMERI02G00120	95	74	1
OS02G0101500	OMERI02G00130	98	99	0
OS02G0101600	OMERI02G00140	63	59	1
OS02G0101700	OMERI02G00150	92	36	1
OS02G0101800	OMERI02G00160	90	97	1
OS02G0102000	OMERI02G00180	60	67	1
OS02G0102200	OMERI02G00200	64	97	1
OS02G0102300	OMERI02G00210	70	65	0
OS02G0102400	OMERI02G00220	99	99	1
OS02G0102700	OMERI02G09340	100	100	1
OS02G0102800	OMERI02G09330	89	95	0
OS02G0102900	OMERI02G09310	90	91	0
OS02G0103000	OMERI02G09320	95	91	1
OS02G0103200	OMERI02G09290	86	83	1
OS02G0103300	OMERI02G09280	95	99	1
OS02G0103500	OMERI02G09270	92	37	1
OS02G0103900	OMERI02G09260	92	88	1
OS02G0104200	OMERI02G09250	98	45	1
OS02G0104500	OMERI02G09240	88	60	1
OS02G0104700	OMERI02G09220	97	96	1
OS02G0104800	OMERI02G09210	89	85	1
OS02G0105200	OMERI02G09190	99	64	1
OS02G0105400	OMERI02G09170	97	96	1
OS02G0105500	OMERI02G09160	81	81	1
OS02G0105600	OMERI02G09150	53	50	1
OS02G0106100	OMERI02G09140	97	89	1
OS02G0106300	OMERI02G09130	97	86	1
OS02G0106600	OMERI02G09110	91	91	1
OS02G0106700	OMERI02G09100	84	98	1
OS02G0106800	OMERI02G09090	93	100	1
OS02G0106900	OMERI02G09080	92	92	1
OS02G0107200	OMERI02G09050	96	27	0
OS02G0107350	OMERI02G09470	90	72	0
OS02G0107600	OMERI02G09040	99	91	1
OS02G0107900	OMERI02G09020	0	0	0
OS02G0107900	OMERI02G09520	84	43	0
OS02G0108000	OMERI02G09500	99	52	1
OS02G0108800	OMERI02G09480	99	68	1
OS02G0109100	OMERI02G00230	93	83	1
OS02G0109400	OMERI02G00250	98	38	1
OS02G0109501	OMERI02G00250	100	62	1
OS02G0109800	OMERI02G00260	98	98	1
OS02G0109900	OMERI02G00270	99	99	1
OS02G0110000	OMERI02G00280	99	91	1
OS02G0110200	OMERI02G00300	100	100	1
OS02G0110300	OMERI02G00310	85	59	1
OS02G0110500	OMERI02G00330	84	55	1
OS02G0110600	OMERI02G00340	84	90	0
OS02G0111700	OMERI02G00380	100	100	1
OS02G0111900	OMERI02G00390	99	100	1
OS02G0112000	OMERI02G00410	58	30	1
OS02G0112100	OMERI02G00420	98	66	1
OS02G0112100	OMERI02G00430	96	58	1
OS02G0112600	OMERI02G00420	98	66	1
OS02G0112600	OMERI02G00430	96	58	1
OS02G0112900	OMERI02G00440	100	71	1
OS02G0113300	OMERI02G00460	95	97	1
OS02G0113800	OMERI02G00460	94	97	1
OS02G0114000	OMERI02G00470	17	4	0
OS02G0114033	OMERI02G00470	37	15	0
OS02G0114100	OMERI02G00480	99	99	1
OS02G0114200	OMERI02G00490	100	100	1
OS02G0114400	OMERI02G00510	91	41	1
OS02G0114600	OMERI02G00520	100	85	1
OS02G0114700	OMERI02G00530	100	100	1
OS02G0115600	OMERI02G00560	100	100	1
OS02G0115700	OMERI02G00570	100	100	1
OS02G0115900	OMERI02G00580	100	100	1
OS02G0116000	OMERI02G00590	84	10	0
OS02G0116300	OMERI02G00600	99	100	1
OS02G0116400	OMERI02G00610	100	100	1
OS02G0116400	OMERI05G20400	100	100	1
OS02G0116500	OMERI02G00620	98	98	1
OS02G0116600	OMERI02G00630	96	99	1
OS02G0116700	OMERI02G00640	96	96	1
OS02G0116800	OMERI02G00650	99	99	1
OS02G0116900	OMERI02G00660	100	100	1
OS02G0117500	OMERI02G00680	91	84	0
OS02G0117700	OMERI02G00690	88	90	1
OS02G0117900	OMERI02G00700	94	45	1
OS02G0118200	OMERI02G00710	100	100	1
OS02G0118400	OMERI02G00720	98	98	1
OS02G0118500	OMERI02G00730	60	68	1
OS02G0119000	OMERI02G00740	56	59	1
OS02G0119100	OMERI02G00750	83	54	1
OS02G0119200	OMERI02G00760	98	97	1
OS02G0119300	OMERI02G00770	99	99	1
OS02G0119400	OMERI02G00780	99	99	1
OS02G0119600	OMERI02G00800	95	22	1
OS02G0119800	OMERI02G00820	89	79	1
OS02G0120000	OMERI02G00840	96	96	1
OS02G0120100	OMERI02G00850	85	96	0
OS02G0120200	OMERI02G00860	5	16	0
OS02G0120300	OMERI02G00870	96	96	1
OS02G0120400	OMERI02G00880	97	70	1
OS02G0120500	OMERI02G00890	92	88	1
OS02G0120600	OMERI02G00900	100	100	1
OS02G0120800	OMERI02G00910	98	96	1
OS02G0121000	OMERI02G00920	96	89	1
OS02G0121100	OMERI02G00930	97	96	1
OS02G0121200	OMERI02G00940	99	87	1
OS02G0121300	OMERI02G00950	100	100	1
OS02G0121500	OMERI02G00960	94	94	1
OS02G0121700	OMERI02G00980	47	93	1
OS02G0121800	OMERI02G00990	96	92	0
OS02G0122000	OMERI02G01000	99	68	1
OS02G0122100	OMERI02G01020	85	52	1
OS02G0122200	OMERI02G01040	92	90	0
OS02G0122300	OMERI02G01050	99	99	1
OS02G0122400	OMERI02G01060	97	98	1
OS02G0122500	OMERI02G01070	88	72	1
OS02G0122600	OMERI02G01080	78	82	1
OS02G0122700	OMERI02G01090	93	76	1
OS02G0122800	OMERI02G01100	97	39	1
OS02G0123100	OMERI02G01110	78	73	1
OS02G0123200	OMERI02G01120	95	87	1
OS02G0123500	OMERI02G02490	95	96	1
OS02G0123600	OMERI02G02500	81	85	0
OS02G0123700	OMERI02G02510	95	97	1
OS02G0124000	OMERI02G02540	96	96	1
OS02G0124300	OMERI02G02570	98	98	1
OS02G0124400	OMERI02G02580	2	3	0
OS02G0124700	OMERI02G02600	79	24	1
OS02G0125000	OMERI02G02620	97	71	1
OS02G0125100	OMERI02G02630	99	99	1
OS02G0125200	OMERI02G02640	77	74	1
OS02G0125400	OMERI02G02650	81	81	1
OS02G0125600	OMERI02G02660	100	36	1
OS02G0125700	OMERI02G02670	96	94	1
OS02G0125800	OMERI02G02680	83	88	0
OS02G0126000	OMERI02G02690	43	25	1
OS02G0126300	OMERI02G02710	93	98	1
OS02G0126400	OMERI02G02720	99	99	1
OS02G0126500	OMERI02G02730	98	97	1
OS02G0126600	OMERI02G02740	97	97	1
OS02G0126700	OMERI02G02750	100	62	1
OS02G0126800	OMERI02G02760	92	45	1
OS02G0127000	OMERI02G02780	98	96	1
OS02G0127100	OMERI02G02810	18	60	1
OS02G0127500	OMERI02G02810	99	99	1
OS02G0127700	OMERI02G02830	72	89	1
OS02G0127800	OMERI02G02840	98	99	1
OS02G0127900	OMERI02G02850	92	78	1
OS02G0128200	OMERI02G02860	90	63	1
OS02G0128300	OMERI02G02870	74	46	1
OS02G0128400	OMERI02G02880	99	95	1
OS02G0128600	OMERI02G02890	87	77	1
OS02G0128800	OMERI02G02900	94	94	1
OS02G0129300	OMERI02G02930	93	20	1
OS02G0129600	OMERI02G02950	69	33	1
OS02G0129900	OMERI02G02990	97	65	1
OS02G0130000	OMERI02G03000	95	97	1
OS02G0130100	OMERI02G03010	99	99	1
OS02G0130200	OMERI02G03020	95	97	1
OS02G0130300	OMERI02G03030	97	91	1
OS02G0130600	OMERI02G03050	84	97	1
OS02G0130700	OMERI02G03060	90	84	1
OS02G0130800	OMERI02G03190	35	35	0
OS02G0130900	OMERI02G03080	98	97	1
OS02G0131000	OMERI02G03090	89	93	1
OS02G0131100	OMERI02G03100	92	17	1
OS02G0131200	OMERI02G03120	98	98	1
OS02G0131300	OMERI02G03130	100	98	1
OS02G0131400	OMERI02G03140	96	96	1
OS02G0131600	OMERI02G03160	95	91	1
OS02G0131700	OMERI02G03150	96	96	1
OS02G0131800	OMERI02G03170	97	97	1
OS02G0132100	OMERI02G03200	99	80	1
OS02G0132200	OMERI02G03210	82	95	1
OS02G0132500	OMERI02G14730	40	74	0
OS02G0132600	OMERI02G03230	97	53	1
OS02G0133000	OMERI02G03270	95	95	1
OS02G0133100	OMERI02G03300	100	68	1
OS02G0133300	OMERI02G03320	87	10	0
OS02G0133400	OMERI02G03320	76	7	0
OS02G0133800	OMERI02G03330	100	100	0
OS02G0133900	OMERI02G03340	95	94	1
OS02G0134000	OMERI02G03350	90	64	1
OS02G0134200	OMERI02G03360	93	72	1
OS02G0134300	OMERI06G04360	46	43	0
OS02G0134400	OMERI02G03370	99	99	1
OS02G0134500	OMERI02G03380	70	56	0
OS02G0134700	OMERI02G03440	89	77	1
OS02G0135000	OMERI02G03450	98	88	1
OS02G0135200	OMERI02G03460	84	32	0
OS02G0135300	OMERI02G03480	99	99	1
OS02G0135500	OMERI02G03490	100	99	1
OS02G0135600	OMERI02G03500	99	99	1
OS02G0135700	OMERI02G03510	99	99	1
OS02G0135800	OMERI02G03520	100	100	1
OS02G0135850	OMERI02G03530	100	100	1
OS02G0135900	OMERI02G03540	99	99	1
OS02G0136000	OMERI02G03550	98	95	1
OS02G0136400	OMERI02G03680	86	60	1
OS02G0136800	OMERI02G03640	98	98	1
OS02G0136900	OMERI02G03700	96	88	1
OS02G0136933	OMERI02G03710	99	26	1
OS02G0137000	OMERI02G03710	97	56	1
OS02G0137100	OMERI02G03720	88	74	0
OS02G0137200	OMERI02G03730	87	88	1
OS02G0137400	OMERI02G03740	99	69	1
OS02G0137500	OMERI02G03750	94	36	0
OS02G0137700	OMERI02G03760	96	96	1
OS02G0138000	OMERI02G03810	95	95	1
OS02G0138100	OMERI02G03430	52	70	1
OS02G0138200	OMERI02G03820	96	96	1
OS02G0138600	OMERI02G03690	83	68	1
OS02G0138900	OMERI02G03850	76	52	0
OS02G0139000	OMERI02G03860	97	98	1
OS02G0139200	OMERI02G03870	91	98	1
OS02G0139300	OMERI02G03890	99	99	1
OS02G0139400	OMERI02G03900	93	56	0
OS02G0139500	OMERI02G03910	92	21	1
OS02G0139600	OMERI02G03920	86	59	1
OS02G0140200	OMERI02G03930	93	63	1
OS02G0140300	OMERI02G04000	95	96	1
OS02G0140400	OMERI02G04010	68	53	1
OS02G0140500	OMERI02G04010	74	12	1
OS02G0140800	OMERI02G04060	79	92	1
OS02G0141000	OMERI02G04080	99	98	1
OS02G0141100	OMERI02G04100	98	96	1
OS02G0141300	OMERI02G04110	100	100	1
OS02G0141500	OMERI02G04120	100	35	1
OS02G0142100	OMERI11G15170	22	35	1
OS02G0142500	OMERI02G04210	91	14	1
OS02G0142800	OMERI02G04230	98	99	0
OS02G0142950	OMERI02G04210	92	8	1
OS02G0143100	OMERI02G04240	99	68	1
OS02G0143200	OMERI02G04250	97	97	0
OS02G0143300	OMERI02G04260	66	65	1
OS02G0143400	OMERI02G04270	100	100	1
OS02G0144800	OMERI02G04430	98	85	1
OS02G0145600	OMERI02G04490	10	7	0
OS02G0146600	OMERI02G04530	100	100	1
OS02G0146700	OMERI02G04540	99	97	1
OS02G0146900	OMERI02G04550	84	99	1
OS02G0147100	OMERI01G39870	91	44	0
OS02G0147500	OMERI02G04190	19	33	0
OS02G0147700	OMERI01G39870	92	50	0
OS02G0147800	OMERI02G04560	95	87	0
OS02G0148000	OMERI02G04580	98	98	1
OS02G0148100	OMERI02G04590	100	99	1
OS02G0148300	OMERI02G04600	94	11	0
OS02G0148500	OMERI02G04610	84	77	1
OS02G0148600	OMERI02G04620	100	100	1
OS02G0149500	OMERI02G04680	77	39	1
OS02G0149600	OMERI02G04690	100	100	1
OS02G0149700	OMERI02G04700	99	83	1
OS02G0149800	OMERI02G04710	93	94	1
OS02G0149900	OMERI02G04720	88	85	1
OS02G0150000	OMERI02G04730	99	99	1
OS02G0150100	OMERI02G04740	99	64	1
OS02G0150300	OMERI02G04760	98	90	1
OS02G0150600	OMERI11G10080	18	33	1
OS02G0150700	OMERI02G04780	90	100	1
OS02G0150800	OMERI02G04790	96	95	1
OS02G0150900	OMERI02G04800	98	80	1
OS02G0151100	OMERI02G04820	53	90	1
OS02G0151300	OMERI02G04830	78	89	1
