Gene stable ID	Solanum lycopersicum str. Heinz 1706 gene stable ID	% identity	Solanum lycopersicum str. Heinz 1706 % identity	Orthology confidence [0 low, 1 high]
OS01G0968500	Solyc02g077020.2	23	14	0
OS01G0968500	Solyc02g077030.2	24	14	0
OS01G0968500	Solyc02g077100.2	20	12	0
OS01G0968500	Solyc02g077110.2	24	14	0
OS01G0968500	Solyc02g077140.2	20	14	0
OS01G0968500	Solyc02g077150.1	24	14	0
OS01G0968500	Solyc02g077160.2	20	12	0
OS01G0968500	Solyc02g077420.2	24	14	0
OS01G0968500	Solyc02g077430.2	23	14	0
OS01G0968500	Solyc12g036490.1	20	19	0
OS01G0968600	Solyc10g085600.1	37	37	1
OS01G0968700	Solyc11g066960.1	50	49	1
OS01G0968800	Solyc01g009440.1	45	47	0
OS01G0969100	Solyc01g009420.2	80	83	1
OS01G0969100	Solyc06g074670.2	82	84	1
OS01G0969100	Solyc11g066720.1	81	84	1
OS01G0969400	Solyc02g021410.2	35	17	0
OS01G0969400	Solyc06g060630.1	46	17	0
OS01G0969400	Solyc08g016160.2	40	15	0
OS01G0969400	Solyc08g078880.2	48	18	0
OS01G0970400	Solyc02g021550.2	53	65	1
OS01G0970600	Solyc01g079800.2	57	58	0
OS01G0970700	Solyc03g005000.2	69	71	1
OS01G0970900	Solyc02g089560.2	8	21	1
OS01G0970900	Solyc03g112190.2	41	32	1
OS01G0971100	Solyc03g112160.2	30	28	1
OS01G0971100	Solyc06g071780.2	31	30	1
OS01G0971200	Solyc02g093470.2	66	66	0
OS01G0971200	Solyc02g093480.2	62	57	0
OS01G0971200	Solyc05g013650.2	61	61	0
OS01G0971200	Solyc05g013660.2	64	69	0
OS01G0971400	Solyc04g082710.2	58	70	1
OS01G0971400	Solyc12g094700.1	61	67	1
OS01G0971500	Solyc06g007930.2	73	73	0
OS01G0971500	Solyc06g083440.2	77	78	0
OS01G0971500	Solyc09g061230.2	74	75	0
OS01G0971600	Solyc02g067930.2	77	74	1
OS01G0971700	Solyc01g068620.2	40	37	1
OS01G0971800	Solyc06g005680.2	51	46	1
OS01G0971800	Solyc06g076350.2	47	35	1
OS01G0971900	Solyc04g011580.2	55	48	1
OS01G0971900	Solyc06g005670.2	51	48	1
OS01G0971900	Solyc06g005730.2	7	77	1
OS01G0971900	Solyc06g005740.1	9	58	1
OS01G0971900	Solyc06g076340.2	52	47	1
OS01G0972000	Solyc04g011610.1	45	38	1
OS01G0972000	Solyc06g005650.2	19	33	1
OS01G0972200	Solyc06g005620.2	59	61	0
OS01G0972800	Solyc09g010960.2	29	40	1
OS01G0972900	Solyc06g043150.2	72	69	1
OS01G0973000	Solyc05g011880.1	51	54	0
OS01G0973000	Solyc06g076300.2	42	57	0
OS01G0973000	Solyc09g010940.2	52	50	0
OS01G0973200	Solyc03g112550.2	31	34	1
OS01G0973200	Solyc06g071600.2	28	30	1
OS01G0973300	Solyc06g043030.2	47	39	1
OS01G0973400	Solyc06g030570.2	44	67	1
OS01G0973400	Solyc06g030580.2	29	63	1
OS01G0973500	Solyc04g011520.2	63	65	1
OS01G0973600	Solyc06g005480.2	39	43	1
OS01G0974000	Solyc02g082030.2	61	58	1
OS01G0974300	Solyc06g042950.2	52	15	0
OS01G0974300	Solyc06g042960.1	3	1	0
OS01G0974400	Solyc06g076050.2	52	51	1
OS01G0974400	Solyc09g010690.2	49	49	1
OS01G0974400	Solyc11g066020.1	52	52	1
OS01G0974500	Solyc10g086480.1	48	49	0
OS01G0974800	Solyc09g010380.2	80	80	0
OS01G0975000	Solyc04g010330.2	21	23	1
OS01G0975000	Solyc06g075690.2	28	22	1
OS01G0975000	Solyc11g073110.1	27	24	1
OS01G0975300	Solyc06g005310.2	22	27	1
OS01G0975300	Solyc06g005330.2	37	33	1
OS01G0975300	Solyc06g075660.2	22	28	1
OS01G0975300	Solyc11g073120.1	33	32	1
OS01G0975900	Solyc06g074820.2	71	71	0
OS01G0975900	Solyc06g075650.2	79	79	0
OS01G0975900	Solyc10g083880.1	73	75	0
OS01G0976000	Solyc03g115810.2	64	59	1
OS01G0976200	Solyc11g073200.1	64	68	1
OS01G0976200	Solyc11g073210.1	63	66	1
OS01G0976300	Solyc10g085910.1	31	22	1
OS01G0976300	Solyc11g073020.1	35	28	1
OS01G0976450	Solyc06g036700.1	18	33	1
OS01G0976500	Solyc04g014380.2	29	31	1
OS01G0976500	Solyc04g076350.1	30	18	1
OS01G0976500	Solyc05g051390.2	30	31	1
OS01G0976500	Solyc11g010630.2	33	28	1
OS01G0976600	Solyc01g081470.2	72	73	1
OS01G0976700	Solyc05g055980.2	52	62	1
OS01G0976700	Solyc09g007080.2	63	62	1
OS01G0976700	Solyc10g084410.1	63	63	1
OS01G0976800	Solyc01g060490.2	33	27	1
OS01G0976800	Solyc01g100220.2	37	36	1
OS01G0976800	Solyc05g054400.2	39	28	1
OS01G0976800	Solyc09g075610.2	33	53	1
OS01G0976800	Solyc12g099370.1	41	35	1
OS01G0976900	Solyc09g007280.2	33	24	0
OS01G0976900	Solyc12g039080.1	4	10	0
OS01G0977100	Solyc04g049080.2	31	42	1
OS01G0977200	Solyc09g007630.2	61	55	1
OS01G0977400	Solyc10g007940.1	50	47	1
OS01G0977600	Solyc09g055260.2	42	43	0
OS01G0978100	Solyc08g014340.2	71	73	1
OS01G0978400	Solyc01g102730.2	58	58	1
OS02G0100100	Solyc04g049450.2	56	56	1
OS02G0100100	Solyc06g075210.2	48	50	1
OS02G0100100	Solyc11g069400.1	54	53	1
OS02G0100200	Solyc07g053190.2	27	28	1
OS02G0100300	Solyc08g079260.2	64	62	1
OS02G0100600	Solyc03g081230.1	26	26	0
OS02G0100700	Solyc02g084690.2	71	71	1
OS02G0101000	Solyc03g063030.2	27	67	1
OS02G0101000	Solyc11g008440.1	55	57	1
OS02G0101100	Solyc01g111720.2	29	29	1
OS02G0101400	Solyc04g081770.2	40	33	1
OS02G0101400	Solyc04g081780.2	35	29	1
OS02G0101400	Solyc04g081790.2	40	32	1
OS02G0101400	Solyc04g081800.1	38	30	1
OS02G0101400	Solyc06g048670.2	41	33	1
OS02G0101400	Solyc12g089350.1	41	33	1
OS02G0101500	Solyc01g111630.2	89	89	0
OS02G0101600	Solyc10g055600.1	4	14	0
OS02G0101700	Solyc01g111530.2	67	26	1
OS02G0101700	Solyc10g055450.1	66	26	1
OS02G0101800	Solyc08g042030.1	30	38	0
OS02G0102000	Solyc08g083270.1	32	31	1
OS02G0102300	Solyc02g083730.2	53	57	0
OS02G0102400	Solyc11g008710.1	60	60	1
OS02G0102600	Solyc08g005910.2	67	66	1
OS02G0102600	Solyc12g096260.1	46	59	1
OS02G0102700	Solyc02g062240.2	85	85	0
OS02G0102700	Solyc02g084020.2	84	84	0
OS02G0102700	Solyc03g033600.2	84	84	0
OS02G0102800	Solyc08g005410.2	55	63	0
OS02G0102800	Solyc12g096050.1	58	65	0
OS02G0102900	Solyc01g028810.2	81	81	0
OS02G0102900	Solyc03g120850.2	77	76	0
OS02G0103200	Solyc01g088580.1	20	22	1
OS02G0103200	Solyc01g088590.2	27	26	1
OS02G0103200	Solyc08g077400.1	21	23	1
OS02G0103500	Solyc01g066850.2	39	38	1
OS02G0103500	Solyc04g007590.1	39	42	1
OS02G0103500	Solyc12g099580.1	41	43	1
OS02G0103600	Solyc01g066850.2	43	39	1
OS02G0103600	Solyc04g007590.1	39	39	1
OS02G0103600	Solyc12g099580.1	42	42	1
OS02G0103700	Solyc06g034380.1	41	60	0
OS02G0103700	Solyc06g073310.2	80	79	0
OS02G0103700	Solyc08g014550.2	81	80	0
OS02G0103700	Solyc12g017290.1	41	60	0
OS02G0103700	Solyc12g096700.1	80	79	0
OS02G0103800	Solyc02g062130.2	73	74	0
OS02G0103800	Solyc02g083810.2	67	66	0
OS02G0103900	Solyc02g032920.2	50	53	1
OS02G0104100	Solyc03g008000.1	6	7	1
OS02G0104100	Solyc06g036250.1	7	10	1
OS02G0104200	Solyc03g008000.1	39	41	1
OS02G0104200	Solyc06g036250.1	38	40	1
OS02G0104500	Solyc11g012720.1	19	22	0
OS02G0104700	Solyc03g093240.2	64	63	1
OS02G0104800	Solyc01g090770.2	30	31	1
OS02G0105000	Solyc08g067820.2	57	55	1
OS02G0105200	Solyc07g006790.2	64	63	0
OS02G0105400	Solyc08g007420.2	60	67	0
OS02G0105400	Solyc08g078850.2	61	68	0
OS02G0105500	Solyc03g083970.2	31	31	1
OS02G0105900	Solyc02g070320.2	86	86	0
OS02G0105900	Solyc02g070330.2	86	87	0
OS02G0105900	Solyc02g070340.2	86	87	0
OS02G0105900	Solyc02g070350.2	86	87	0
OS02G0105900	Solyc02g070360.2	87	87	0
OS02G0105900	Solyc04g016350.1	80	84	0
OS02G0105900	Solyc06g007360.2	88	88	0
OS02G0106300	Solyc05g010620.1	63	64	1
OS02G0106700	Solyc06g072970.2	43	50	1
OS02G0106800	Solyc03g096810.2	64	61	1
OS02G0106900	Solyc07g062170.1	28	25	1
OS02G0106900	Solyc12g005450.1	28	33	1
OS02G0106966	Solyc02g086580.2	1	0	0
OS02G0107000	Solyc02g086580.2	5	1	0
OS02G0107200	Solyc04g009650.2	73	33	1
OS02G0107200	Solyc11g007020.1	72	32	1
OS02G0108700	Solyc06g065300.2	59	9	0
OS02G0108700	Solyc06g071620.2	64	3	0
OS02G0108700	Solyc06g082100.2	69	4	0
OS02G0109100	Solyc04g009650.2	70	70	1
OS02G0109100	Solyc11g007020.1	71	71	1
OS02G0109200	Solyc08g081520.1	31	32	1
OS02G0109800	Solyc08g008460.2	49	73	1
OS02G0109900	Solyc03g006280.2	31	35	1
OS02G0110000	Solyc02g077330.2	30	38	1
OS02G0110200	Solyc07g049690.2	48	49	1
OS02G0110400	Solyc12g019290.1	44	45	1
OS02G0110600	Solyc11g069590.1	42	50	1
OS02G0110700	Solyc06g010200.2	18	5	0
OS02G0110700	Solyc06g010210.2	1	2	0
OS02G0110700	Solyc10g011940.1	5	2	0
OS02G0111700	Solyc03g120780.2	86	85	0
OS02G0111700	Solyc06g066660.2	85	85	0
OS02G0111700	Solyc08g068180.2	85	84	0
OS02G0111700	Solyc11g040220.1	55	68	0
OS02G0111800	Solyc04g050170.2	55	57	1
OS02G0111800	Solyc09g064520.2	59	60	1
OS02G0112100	Solyc06g010250.2	62	66	0
OS02G0112100	Solyc06g074990.1	64	65	0
OS02G0112100	Solyc11g069740.1	42	43	0
OS02G0112100	Solyc11g069750.1	67	68	0
OS02G0112100	Solyc11g069760.1	24	70	0
OS02G0112600	Solyc06g010250.2	62	66	0
OS02G0112600	Solyc06g074990.1	64	65	0
OS02G0112600	Solyc11g069740.1	42	43	0
OS02G0112600	Solyc11g069750.1	67	68	0
OS02G0112600	Solyc11g069760.1	24	70	0
OS02G0112900	Solyc07g043310.2	49	46	0
OS02G0112900	Solyc08g014610.2	46	48	0
OS02G0112900	Solyc12g006450.1	50	47	0
OS02G0112900	Solyc12g006470.1	47	49	0
OS02G0113200	Solyc01g008110.2	46	46	1
OS02G0114000	Solyc01g094800.2	16	4	0
OS02G0114033	Solyc01g094800.2	19	7	0
OS02G0114100	Solyc04g080940.2	63	63	1
OS02G0114200	Solyc11g008280.1	63	63	1
OS02G0114400	Solyc01g094700.2	50	23	1
OS02G0114600	Solyc01g094520.2	42	38	1
OS02G0114700	Solyc08g007990.2	50	45	1
OS02G0115600	Solyc08g007950.2	36	32	1
OS02G0115900	Solyc03g082920.2	89	88	1
OS02G0115900	Solyc06g052050.2	81	87	1
OS02G0115900	Solyc08g082820.2	89	89	1
OS02G0116000	Solyc10g077110.1	37	12	1
OS02G0116500	Solyc03g098460.2	66	68	1
OS02G0116500	Solyc12g042640.1	50	55	1
OS02G0116700	Solyc01g008140.2	44	49	1
OS02G0116800	Solyc01g008180.2	52	50	1
OS02G0117100	Solyc06g068480.2	64	63	1
OS02G0117200	Solyc04g082590.2	56	48	1
OS02G0117400	Solyc01g008820.2	77	78	1
OS02G0117400	Solyc11g064790.1	79	80	1
OS02G0117500	Solyc02g082480.2	52	51	1
OS02G0117500	Solyc04g082610.2	55	56	1
OS02G0117600	Solyc04g082660.2	52	57	0
OS02G0117700	Solyc05g054060.2	82	80	0
OS02G0117700	Solyc11g011960.1	83	81	0
OS02G0117800	Solyc02g036380.2	48	44	1
OS02G0117800	Solyc06g043140.2	44	49	1
OS02G0117900	Solyc01g106370.2	56	56	0
OS02G0118000	Solyc02g070010.1	41	44	1
OS02G0118200	Solyc01g112220.2	58	60	1
OS02G0118200	Solyc03g032150.2	59	60	1
OS02G0118200	Solyc04g082500.2	52	54	1
OS02G0118400	Solyc03g097780.2	72	70	1
OS02G0119000	Solyc03g097780.2	55	23	1
OS02G0119100	Solyc12g005050.1	46	29	1
OS02G0119200	Solyc02g061740.1	15	46	0
OS02G0119200	Solyc02g082870.2	55	53	0
OS02G0119200	Solyc02g082880.2	54	52	0
OS02G0119200	Solyc03g032210.2	55	53	0
OS02G0119200	Solyc06g008920.2	60	63	0
OS02G0119200	Solyc07g043630.1	55	52	0
OS02G0119200	Solyc07g043640.2	54	53	0
OS02G0119200	Solyc07g043650.1	37	47	0
OS02G0119200	Solyc07g043660.2	55	52	0
OS02G0119200	Solyc08g075800.1	57	59	0
OS02G0119200	Solyc08g075810.2	61	63	0
OS02G0119200	Solyc10g012100.1	17	52	0
OS02G0119300	Solyc04g082340.2	55	55	1
OS02G0119400	Solyc10g081060.1	58	60	1
OS02G0119600	Solyc04g082280.2	40	9	1
OS02G0119600	Solyc12g094550.1	41	9	1
OS02G0119700	Solyc02g082970.1	40	31	1
OS02G0119800	Solyc05g010430.2	11	61	1
OS02G0119800	Solyc05g010440.1	17	71	1
OS02G0120000	Solyc10g055700.1	29	31	1
OS02G0120200	Solyc04g051140.1	8	35	0
OS02G0120300	Solyc02g061950.2	60	63	1
OS02G0120400	Solyc04g081850.2	67	43	1
OS02G0120500	Solyc05g005300.2	19	22	1
OS02G0120500	Solyc08g062780.1	28	26	1
OS02G0120600	Solyc02g083570.2	89	89	1
OS02G0120600	Solyc03g033410.2	88	88	1
OS02G0120800	Solyc01g111560.2	89	89	1
OS02G0120800	Solyc02g062020.2	93	93	1
OS02G0120800	Solyc02g083580.2	92	92	1
OS02G0120800	Solyc03g033420.2	81	81	1
OS02G0120800	Solyc10g055520.1	48	60	1
OS02G0120900	Solyc01g094280.2	66	67	0
OS02G0121000	Solyc01g112290.2	71	71	0
OS02G0121200	Solyc01g098460.2	59	56	1
OS02G0121300	Solyc01g111170.2	78	78	0
OS02G0121300	Solyc10g054910.1	76	76	0
OS02G0121700	Solyc10g005390.2	32	34	1
OS02G0121700	Solyc10g005410.2	30	28	1
OS02G0121900	Solyc03g095200.1	39	35	1
OS02G0122000	Solyc05g047690.2	71	69	1
OS02G0122100	Solyc01g094000.2	60	28	1
OS02G0122200	Solyc01g110280.2	55	47	1
OS02G0122200	Solyc10g054110.1	41	52	1
OS02G0122300	Solyc02g079060.2	58	60	1
OS02G0122400	Solyc04g081070.2	53	49	1
OS02G0122500	Solyc01g096240.2	59	60	0
OS02G0122600	Solyc10g009340.1	44	53	1
OS02G0122700	Solyc03g082860.2	63	52	0
OS02G0122800	Solyc01g091750.2	50	64	0
OS02G0122800	Solyc03g026240.2	59	48	0
OS02G0122800	Solyc11g072340.1	59	47	0
OS02G0122900	Solyc01g091800.2	42	15	1
OS02G0123100	Solyc08g066330.1	62	76	1
OS02G0123100	Solyc11g070140.1	61	79	1
OS02G0123100	Solyc12g095860.1	66	84	1
OS02G0123200	Solyc01g091900.2	44	39	1
OS02G0123200	Solyc06g074460.2	39	36	1
OS02G0123400	Solyc08g079810.2	28	19	1
OS02G0123500	Solyc01g110450.2	68	82	1
OS02G0123600	Solyc08g005990.2	63	63	1
OS02G0123700	Solyc08g083210.2	64	65	0
OS02G0124400	Solyc09g005180.2	50	25	0
OS02G0124599	Solyc09g005180.2	55	11	0
OS02G0124600	Solyc09g005180.2	50	28	0
OS02G0124700	Solyc05g044610.1	45	14	0
OS02G0125000	Solyc03g083570.2	40	40	1
OS02G0125100	Solyc03g005730.2	79	80	0
OS02G0125100	Solyc09g090900.2	76	77	0
OS02G0125200	Solyc01g091370.2	32	37	1
OS02G0125200	Solyc08g007530.2	35	40	1
OS02G0125200	Solyc08g079630.2	39	44	1
OS02G0125300	Solyc08g077980.2	66	66	1
OS02G0125400	Solyc01g089850.2	35	43	0
OS02G0125400	Solyc03g093790.2	32	41	0
OS02G0125500	Solyc05g041740.1	20	41	1
OS02G0125500	Solyc05g042180.1	16	26	1
OS02G0125500	Solyc05g043200.1	18	25	1
OS02G0125500	Solyc05g043210.1	18	31	1
OS02G0125500	Solyc07g008490.2	33	30	1
OS02G0125500	Solyc08g074330.1	19	37	1
OS02G0125700	Solyc08g007180.2	56	56	1
OS02G0125700	Solyc08g077880.2	59	56	1
OS02G0125800	Solyc06g071450.2	64	64	1
OS02G0126300	Solyc01g091380.2	40	30	1
OS02G0126300	Solyc03g007130.2	47	35	1
OS02G0126300	Solyc11g072280.1	46	33	1
OS02G0126400	Solyc02g083850.2	76	69	0
OS02G0126400	Solyc03g033540.2	77	71	0
OS02G0126500	Solyc10g054730.1	35	34	1
OS02G0126600	Solyc01g090400.2	28	25	1
OS02G0126700	Solyc03g098470.2	93	93	0
OS02G0126700	Solyc06g072280.2	92	92	0
OS02G0126800	Solyc01g091020.2	70	74	1
OS02G0126800	Solyc01g091150.2	28	69	1
OS02G0127000	Solyc01g097740.2	66	67	1
OS02G0127600	Solyc07g042030.1	33	36	1
OS02G0127700	Solyc06g061040.2	67	66	1
OS02G0127700	Solyc08g077200.2	71	71	1
OS02G0127700	Solyc10g024410.1	67	92	1
OS02G0127900	Solyc08g076510.2	36	30	1
OS02G0128000	Solyc09g011710.2	30	25	1
OS02G0128000	Solyc10g086680.1	25	19	1
OS02G0128100	Solyc06g061140.2	38	45	1
OS02G0128100	Solyc08g077040.2	43	44	1
OS02G0128200	Solyc08g005290.2	50	43	1
OS02G0128200	Solyc08g076100.2	50	42	1
OS02G0128300	Solyc08g076190.2	21	13	1
OS02G0128400	Solyc04g005820.2	50	53	0
OS02G0128400	Solyc05g006820.2	48	52	0
OS02G0128400	Solyc06g071110.2	50	50	0
OS02G0128600	Solyc03g096910.2	54	79	0
OS02G0128600	Solyc06g072800.2	54	80	0
OS02G0128800	Solyc01g006190.2	64	64	1
OS02G0128800	Solyc10g080570.1	61	62	1
OS02G0129300	Solyc08g075990.2	22	6	0
OS02G0129600	Solyc08g005780.2	46	26	1
OS02G0129800	Solyc03g096760.1	43	39	1
OS02G0129800	Solyc03g096770.1	43	38	1
OS02G0129800	Solyc03g096780.1	44	40	1
OS02G0129800	Solyc06g072990.1	42	38	1
OS02G0129900	Solyc01g081480.2	64	61	1
OS02G0130000	Solyc08g005590.2	49	52	1
OS02G0130000	Solyc08g075400.2	47	50	1
OS02G0130100	Solyc11g069290.1	63	64	1
OS02G0130200	Solyc04g025440.2	44	48	1
OS02G0130200	Solyc09g098270.2	44	51	1
OS02G0130300	Solyc03g112860.2	31	33	1
OS02G0130600	Solyc03g112840.1	47	49	1
OS02G0130600	Solyc06g005250.2	26	51	1
OS02G0130600	Solyc06g011560.2	39	41	1
OS02G0130600	Solyc06g071540.2	48	51	1
OS02G0130600	Solyc11g066310.1	39	43	1
OS02G0130900	Solyc03g033720.2	35	38	1
OS02G0131200	Solyc04g025540.2	68	68	0
OS02G0131400	Solyc01g009240.2	59	60	0
OS02G0131400	Solyc01g097000.2	60	59	0
OS02G0131400	Solyc04g015560.2	59	61	0
OS02G0131400	Solyc06g073740.2	61	63	0
OS02G0131400	Solyc06g073750.2	60	62	0
OS02G0131400	Solyc06g073760.2	63	64	0
OS02G0131400	Solyc11g071640.1	62	64	0
OS02G0131400	Solyc11g071650.1	58	57	0
OS02G0131600	Solyc03g005700.1	54	46	1
OS02G0131600	Solyc06g008120.1	58	46	1
OS02G0131700	Solyc06g083730.2	39	38	0
OS02G0131700	Solyc09g090940.2	38	37	0
OS02G0131800	Solyc11g018530.1	56	58	1
OS02G0132100	Solyc02g021020.2	40	35	1
OS02G0132200	Solyc06g048970.2	31	35	1
OS02G0132300	Solyc03g123930.1	22	80	1
OS02G0132300	Solyc03g123950.2	43	47	1
OS02G0132500	Solyc01g109880.2	41	41	1
OS02G0132500	Solyc02g084860.1	36	41	1
OS02G0132500	Solyc03g033730.1	33	47	1
OS02G0132500	Solyc04g080740.1	37	41	1
OS02G0132500	Solyc10g054010.1	38	38	1
OS02G0132600	Solyc07g064110.2	40	26	1
OS02G0133000	Solyc07g032480.2	31	34	1
OS02G0133100	Solyc01g109870.2	64	43	1
OS02G0133100	Solyc10g053970.1	61	41	1
OS02G0133200	Solyc01g109860.2	48	52	1
OS02G0133200	Solyc10g053900.1	47	52	1
OS02G0133200	Solyc11g040280.1	49	52	1
OS02G0133300	Solyc06g073780.2	68	14	0
OS02G0133400	Solyc06g073780.2	46	8	0
OS02G0133800	Solyc04g080590.2	69	63	1
OS02G0133900	Solyc02g085080.2	40	37	1
OS02G0134000	Solyc02g062640.2	61	47	1
OS02G0134300	Solyc02g077440.2	54	77	1
OS02G0134300	Solyc10g008870.2	56	77	1
OS02G0134400	Solyc01g056580.2	42	70	1
OS02G0134400	Solyc12g014530.1	69	73	1
OS02G0134500	Solyc02g086860.2	29	22	1
OS02G0134500	Solyc03g114290.2	32	28	1
OS02G0134500	Solyc06g071440.2	31	27	1
OS02G0135200	Solyc04g007710.2	67	33	1
OS02G0135200	Solyc05g008020.2	68	33	1
OS02G0135300	Solyc09g074830.2	50	51	1
OS02G0135600	Solyc11g070020.1	41	44	1
OS02G0135700	Solyc01g106220.2	45	47	1
OS02G0135700	Solyc01g106240.2	45	47	1
OS02G0135700	Solyc01g106270.1	5	40	1
OS02G0135800	Solyc02g087300.1	80	81	1
OS02G0135800	Solyc03g120900.1	74	75	1
OS02G0135900	Solyc02g091530.2	44	37	1
OS02G0136900	Solyc02g078780.2	38	35	1
OS02G0136900	Solyc07g054500.2	38	32	1
OS02G0136900	Solyc12g010740.1	38	33	1
OS02G0136933	Solyc07g008080.2	1	0	1
OS02G0136933	Solyc07g008090.2	42	45	1
OS02G0137000	Solyc07g008080.2	70	52	1
OS02G0137000	Solyc07g008090.2	1	2	1
OS02G0137100	Solyc01g005640.2	39	42	1
OS02G0137100	Solyc10g079590.1	41	42	1
OS02G0137100	Solyc10g079710.1	37	43	1
OS02G0137200	Solyc06g051200.2	65	64	0
OS02G0137400	Solyc04g010260.2	79	58	1
OS02G0137500	Solyc01g008120.2	81	30	1
OS02G0137500	Solyc04g008610.2	80	31	1
OS02G0137600	Solyc11g005580.1	53	53	1
OS02G0137700	Solyc08g016080.2	66	66	1
OS02G0137800	Solyc08g005950.2	29	35	1
OS02G0137800	Solyc12g096270.1	25	32	1
OS02G0138000	Solyc11g005150.1	41	46	1
OS02G0138100	Solyc10g086470.1	31	28	1
OS02G0138200	Solyc07g042700.2	32	24	1
OS02G0138200	Solyc07g042730.2	12	18	1
OS02G0138200	Solyc07g042740.2	12	30	1
OS02G0138900	Solyc07g056110.2	65	36	1
OS02G0138900	Solyc12g011070.1	63	46	1
OS02G0139200	Solyc08g005970.2	73	72	1
OS02G0139300	Solyc05g025500.2	65	66	0
OS02G0139300	Solyc08g074390.2	61	61	0
OS02G0139400	Solyc07g053810.2	21	39	1
OS02G0139600	Solyc05g056250.2	58	37	0
OS02G0140101	Solyc06g066400.2	69	45	1
OS02G0140101	Solyc08g005210.2	77	50	1
OS02G0140300	Solyc06g073620.2	49	39	1
OS02G0140800	Solyc03g113510.1	48	62	1
OS02G0141000	Solyc08g006070.2	54	49	1
OS02G0141100	Solyc05g047460.2	52	53	1
OS02G0141100	Solyc07g016180.2	56	57	1
OS02G0141300	Solyc07g016170.2	68	69	0
OS02G0141400	Solyc05g046310.2	2	3	1
OS02G0141500	Solyc05g046310.2	30	28	1
OS02G0142250	Solyc06g074960.2	38	11	0
OS02G0142500	Solyc01g102540.2	51	11	0
OS02G0142500	Solyc01g102550.2	2	1	0
OS02G0142950	Solyc01g102540.2	51	6	0
OS02G0142950	Solyc01g102550.2	2	1	0
OS02G0143100	Solyc01g006740.2	64	62	0
OS02G0143100	Solyc10g081660.1	65	65	0
OS02G0143200	Solyc04g015580.2	46	49	1
OS02G0146400	Solyc10g081070.1	0	0	1
OS02G0146400	Solyc10g081090.1	32	91	1
OS02G0146500	Solyc06g074960.2	38	12	0
OS02G0146600	Solyc07g040750.1	88	88	1
OS02G0146700	Solyc10g008170.2	13	57	0
OS02G0146700	Solyc10g008180.1	55	68	0
OS02G0147100	Solyc03g079950.2	45	34	1
OS02G0147300	Solyc10g081070.1	43	12	1
OS02G0147300	Solyc10g081090.1	0	0	1
OS02G0147700	Solyc03g079950.2	44	38	1
OS02G0147800	Solyc07g008730.1	32	30	1
OS02G0148000	Solyc07g008540.2	25	27	0
OS02G0148100	Solyc02g084870.2	77	77	1
OS02G0148100	Solyc04g080730.2	82	82	1
OS02G0148300	Solyc08g006420.2	42	5	1
OS02G0148400	Solyc06g063290.2	59	57	1
OS02G0149600	Solyc01g009090.2	47	42	0
OS02G0149700	Solyc08g069100.1	55	46	1
OS02G0149700	Solyc12g055770.1	40	34	1
OS02G0149700	Solyc12g096370.1	56	46	1
OS02G0149800	Solyc12g096520.1	66	79	1
OS02G0150100	Solyc03g117440.2	87	67	1
OS02G0150100	Solyc06g068280.2	86	67	1
OS02G0150300	Solyc05g055180.2	54	49	1
OS02G0150300	Solyc11g006540.1	57	52	1
OS02G0150300	Solyc11g042760.1	17	42	1
OS02G0150300	Solyc11g071440.1	42	56	1
OS02G0150300	Solyc11g071990.1	57	51	1
OS02G0150700	Solyc08g006460.2	27	32	1
OS02G0150700	Solyc12g096420.1	27	31	1
OS02G0150800	Solyc07g017750.2	63	71	1
OS02G0150900	Solyc12g096460.1	45	48	1
OS02G0151100	Solyc03g121230.2	11	11	0
OS02G0151300	Solyc07g049300.2	60	64	1
OS02G0151300	Solyc07g064870.2	59	59	1
OS02G0151600	Solyc07g053280.2	83	13	0
OS02G0151600	Solyc12g010840.1	83	13	0
OS02G0152300	Solyc06g062820.2	32	31	1
OS02G0152400	Solyc07g017950.2	46	50	1
OS02G0152500	Solyc07g018270.2	37	37	1
OS02G0152600	Solyc06g063130.2	42	43	0
OS02G0152800	Solyc01g096390.2	59	17	1
OS02G0154600	Solyc03g110970.2	56	66	0
OS02G0154600	Solyc06g071950.1	57	70	0
OS02G0156633	Solyc03g123780.2	33	25	1
OS02G0156800	Solyc03g123780.2	33	5	1
OS02G0157200	Solyc03g123780.2	34	26	1
OS02G0157400	Solyc03g123780.2	33	5	1
OS02G0157600	Solyc02g083730.2	34	35	0
OS02G0157900	Solyc01g110200.1	18	25	1
OS02G0157900	Solyc01g110210.1	15	23	1
OS02G0157900	Solyc01g110220.1	16	25	1
OS02G0157900	Solyc01g110230.1	18	28	1
OS02G0157900	Solyc01g110240.1	15	29	1
OS02G0157900	Solyc01g110260.1	13	27	1
OS02G0157900	Solyc05g056360.1	22	26	1
OS02G0158300	Solyc03g098140.2	67	67	1
OS02G0158400	Solyc11g044750.1	48	47	1
OS02G0158500	Solyc01g107800.2	33	41	1
OS02G0158500	Solyc02g093090.1	31	39	1
OS02G0158600	Solyc04g078600.2	48	46	1
OS02G0158800	Solyc05g013730.2	70	71	1
OS02G0158900	Solyc06g068160.2	47	53	1
OS02G0159200	Solyc03g120120.2	20	28	1
OS02G0159200	Solyc06g066690.2	15	34	1
OS02G0159200	Solyc07g022860.2	15	18	1
OS02G0159200	Solyc12g043150.1	20	26	1
OS02G0159900	Solyc11g007170.1	68	73	0
