Gene stable ID	Arabidopsis thaliana gene stable ID	% identity	Arabidopsis thaliana % identity	Orthology confidence [0 low, 1 high]
OS03G0100800	AT3G60330	75	76	0
OS03G0100900	AT4G17486	49	54	1
OS03G0100900	AT5G47310	51	51	1
OS03G0101100	AT3G60340	61	56	0
OS03G0101100	AT4G17470	50	51	0
OS03G0101100	AT4G17480	51	53	0
OS03G0101100	AT4G17483	50	53	0
OS03G0101100	AT5G47330	55	55	0
OS03G0101100	AT5G47340	51	50	0
OS03G0101100	AT5G47350	47	47	0
OS03G0101500	AT3G60420	39	29	1
OS03G0101500	AT3G60440	43	38	1
OS03G0101500	AT3G60450	42	40	1
OS03G0101600	AT5G61510	70	59	1
OS03G0101800	AT2G45010	59	62	1
OS03G0101800	AT5G51400	51	54	1
OS03G0101900	AT4G16700	57	55	1
OS03G0102000	AT4G16695	49	49	1
OS03G0102100	AT4G17360	67	62	1
OS03G0102100	AT5G47435	66	62	1
OS03G0102300	AT1G02080	26	2	0
OS03G0102333	AT1G02080	42	6	0
OS03G0102366	AT1G02080	54	9	0
OS03G0102400	AT5G61450	55	60	1
OS03G0103000	AT1G12110	57	57	1
OS03G0103300	AT4G12530	53	33	1
OS03G0103400	AT2G45160	32	23	1
OS03G0103400	AT3G60630	32	24	1
OS03G0103400	AT4G00150	32	28	1
OS03G0103950	AT1G03080	27	10	1
OS03G0103950	AT3G22790	20	8	1
OS03G0103950	AT4G02710	26	15	1
OS03G0103950	AT4G14760	20	8	1
OS03G0104100	AT4G33920	56	12	1
OS03G0105600	AT5G62690	96	96	0
OS03G0105600	AT5G62700	96	96	0
OS03G0105800	AT1G63520	17	22	1
OS03G0105800	AT4G11450	20	19	1
OS03G0106000	AT2G45870	53	51	1
OS03G0106000	AT3G61320	55	53	1
OS03G0106200	AT1G01695	10	21	1
OS03G0106200	AT2G45900	19	23	1
OS03G0106200	AT3G61380	16	20	1
OS03G0106200	AT4G00440	20	21	1
OS03G0106300	AT1G01690	25	28	1
OS03G0106400	AT3G49680	67	65	1
OS03G0107000	AT2G45950	72	49	1
OS03G0107000	AT3G61415	72	49	1
OS03G0107600	AT2G17695	44	55	1
OS03G0107900	AT2G28110	54	52	0
OS03G0107900	AT5G22940	57	52	0
OS03G0108000	AT5G03455	60	53	1
OS03G0108200	AT5G03450	19	8	1
OS03G0108300	AT2G36870	56	59	1
OS03G0108300	AT3G44990	55	58	1
OS03G0108400	AT3G45000	57	66	1
OS03G0108400	AT5G22950	72	73	1
OS03G0108500	AT4G12110	54	54	0
OS03G0108500	AT4G22756	53	53	0
OS03G0108600	AT3G06980	52	43	0
OS03G0108700	AT5G03050	29	35	1
OS03G0109000	AT4G28530	35	29	1
OS03G0109300	AT2G28305	63	62	1
OS03G0109300	AT2G37210	65	57	1
OS03G0109300	AT3G53450	64	63	1
OS03G0109300	AT5G03270	56	52	1
OS03G0109400	AT5G60690	69	69	1
OS03G0109500	AT2G04390	71	72	0
OS03G0109500	AT2G05220	71	73	0
OS03G0109500	AT3G10610	69	71	0
OS03G0109500	AT5G04800	72	73	0
OS03G0109700	AT2G23370	53	54	1
OS03G0109700	AT4G34090	56	50	1
OS03G0110300	AT1G65720	38	36	1
OS03G0110400	AT5G09860	62	66	1
OS03G0110500	AT1G48405	20	24	1
OS03G0110500	AT3G17680	24	24	1
OS03G0110800	AT5G14620	47	44	1
OS03G0110800	AT5G15380	46	44	1
OS03G0110900	AT2G32500	45	47	1
OS03G0111100	AT3G55630	52	58	1
OS03G0111100	AT5G05980	55	53	1
OS03G0111200	AT2G45820	51	47	1
OS03G0111200	AT3G61260	50	41	1
OS03G0111200	AT4G00670	23	33	1
OS03G0111300	AT1G07747	26	26	0
OS03G0111300	AT1G43665	26	20	0
OS03G0111300	AT1G43666	27	27	0
OS03G0111300	AT1G43667	22	21	0
OS03G0111300	AT1G48750	33	34	0
OS03G0111300	AT1G66850	41	38	0
OS03G0111300	AT2G14846	28	27	0
OS03G0111300	AT3G18280	31	31	0
OS03G0111300	AT3G57310	33	31	0
OS03G0111300	AT4G12825	27	27	0
OS03G0111300	AT5G38160	33	31	0
OS03G0111300	AT5G38170	38	35	0
OS03G0111300	AT5G38180	23	23	0
OS03G0111300	AT5G38195	29	29	0
OS03G0111300	AT5G38197	26	26	0
OS03G0111400	AT5G23760	70	72	0
OS03G0111800	AT4G01860	44	44	1
OS03G0112101	AT5G22770	87	34	1
OS03G0112101	AT5G22780	87	34	1
OS03G0112600	AT2G16485	35	8	1
OS03G0112800	AT2G18100	59	60	1
OS03G0112800	AT4G36210	60	59	1
OS03G0112900	AT4G36220	55	55	1
OS03G0112900	AT5G04330	49	50	1
OS03G0113000	AT1G33260	39	38	1
OS03G0113000	AT4G10390	40	40	1
OS03G0113100	AT3G07800	50	58	1
OS03G0113100	AT5G23070	51	50	1
OS03G0113700	AT4G37910	80	79	1
OS03G0113700	AT5G09590	82	82	1
OS03G0113800	AT5G41950	62	53	1
OS03G0114000	AT2G22610	57	34	1
OS03G0114200	AT2G40780	50	49	1
OS03G0114300	AT4G10730	53	55	1
OS03G0114300	AT4G24100	53	55	1
OS03G0114400	AT2G46620	35	38	1
OS03G0114800	AT1G64650	83	82	1
OS03G0114800	AT3G49310	78	77	1
OS03G0114800	AT4G27720	79	78	1
OS03G0114900	AT1G17530	56	58	1
OS03G0114900	AT1G72750	57	59	1
OS03G0115000	AT1G64640	39	40	1
OS03G0115100	AT1G01220	63	64	1
OS03G0115200	AT3G13230	68	72	0
OS03G0115300	AT3G53170	51	50	1
OS03G0115400	AT1G64610	34	40	1
OS03G0115400	AT5G24320	38	40	1
OS03G0115400	AT5G42010	35	37	1
OS03G0115400	AT5G53500	36	41	1
OS03G0115500	AT2G46580	54	56	1
OS03G0115700	AT1G64590	64	64	1
OS03G0115700	AT4G24050	66	66	1
OS03G0116000	AT2G46470	43	42	0
OS03G0116000	AT5G62050	41	40	0
OS03G0116400	AT1G12750	54	57	1
OS03G0116400	AT1G63120	62	63	1
OS03G0116400	AT4G23070	51	53	1
OS03G0116500	AT3G61140	69	69	1
OS03G0116700	AT1G12710	51	52	1
OS03G0116700	AT1G63090	51	52	1
OS03G0116700	AT3G61060	53	54	1
OS03G0116700	AT5G52120	46	47	1
OS03G0116800	AT4G00755	39	41	1
OS03G0116900	AT1G01830	56	55	1
OS03G0116900	AT2G45720	57	58	1
OS03G0117000	AT5G52100	43	31	1
OS03G0117200	AT4G20960	44	44	1
OS03G0117800	AT3G61080	69	73	1
OS03G0117900	AT1G12630	40	42	1
OS03G0117900	AT5G52020	42	36	1
OS03G0118200	AT1G12600	74	74	0
OS03G0118200	AT4G23010	76	67	0
OS03G0118600	AT5G52100	58	65	1
OS03G0118900	AT4G00231	40	39	1
OS03G0119000	AT5G51880	55	56	1
OS03G0119100	AT2G42010	67	52	1
OS03G0119100	AT4G00240	66	59	1
OS03G0119100	AT4G11830	62	60	1
OS03G0119100	AT4G11840	63	61	1
OS03G0119100	AT4G11850	64	62	1
OS03G0119500	AT3G07160	77	25	0
OS03G0119966	AT1G65910	37	38	1
OS03G0119966	AT3G03200	28	38	1
OS03G0119966	AT5G17260	29	40	1
OS03G0120000	AT1G65900	46	16	1
OS03G0120300	AT1G14530	75	72	0
OS03G0120300	AT2G02180	76	71	0
OS03G0120400	AT2G18196	54	58	1
OS03G0120400	AT4G10465	50	52	1
OS03G0120900	AT1G01030	39	34	1
OS03G0120900	AT2G46870	39	39	1
OS03G0120900	AT3G61970	38	39	1
OS03G0120900	AT4G01500	35	32	1
OS03G0121700	AT1G33040	56	59	0
OS03G0121700	AT3G49470	60	61	0
OS03G0121700	AT4G10480	57	60	0
OS03G0121800	AT1G01040	82	11	1
OS03G0122000	AT3G61960	37	38	1
OS03G0122100	AT2G46810	29	24	1
OS03G0122100	AT3G61950	27	24	1
OS03G0122100	AT4G01460	26	25	1
OS03G0122200	AT1G32990	66	67	0
OS03G0122200	AT5G51610	42	52	0
OS03G0122300	AT5G24530	62	62	1
OS03G0122600	AT2G45660	49	53	1
OS03G0122600	AT4G11880	51	53	1
OS03G0122600	AT4G22950	50	53	1
OS03G0122600	AT5G51860	40	43	1
OS03G0122600	AT5G51870	40	42	1
OS03G0122600	AT5G62165	47	51	1
OS03G0123100	AT3G57870	89	89	0
OS03G0123300	AT4G11920	64	70	1
OS03G0123300	AT4G22910	64	70	1
OS03G0123500	AT1G62990	67	72	1
OS03G0123600	AT1G63830	68	80	1
OS03G0123600	AT4G23470	68	73	1
OS03G0123600	AT5G41390	72	74	1
OS03G0123800	AT2G40095	36	36	1
OS03G0123800	AT3G55880	33	32	1
OS03G0124100	AT4G11350	49	49	0
OS03G0124100	AT4G23490	51	49	0
OS03G0124100	AT5G41460	52	51	0
OS03G0124200	AT2G23200	39	39	1
OS03G0124200	AT5G24010	42	43	1
OS03G0124900	AT2G23900	56	53	1
OS03G0124900	AT3G48950	59	57	1
OS03G0124900	AT3G61490	59	56	1
OS03G0124900	AT4G23500	57	53	1
OS03G0125000	AT4G01310	52	56	1
OS03G0125100	AT4G25700	62	57	0
OS03G0125100	AT5G52570	64	60	0
OS03G0125300	AT1G63980	49	49	1
OS03G0125400	AT2G46090	60	58	1
OS03G0125600	AT1G01540	57	64	1
OS03G0125600	AT2G30940	31	36	1
OS03G0125600	AT4G01330	55	61	1
OS03G0125700	AT5G41560	50	52	1
OS03G0125800	AT5G52790	51	53	1
OS03G0126000	AT5G17990	63	56	1
OS03G0126100	AT1G01510	63	43	1
OS03G0126300	AT5G44590	42	40	1
OS03G0126300	AT5G44600	45	46	1
OS03G0126450	AT2G36026	13	25	0
OS03G0126450	AT3G52525	14	29	0
OS03G0126700	AT1G01490	38	42	0
OS03G0126800	AT1G01140	63	67	1
OS03G0127000	AT1G30845	66	50	1
OS03G0127500	AT2G21230	42	34	0
OS03G0127500	AT4G38900	45	35	0
OS03G0127600	AT2G45460	42	40	1
OS03G0127700	AT1G12460	53	54	1
OS03G0127700	AT1G62950	52	52	1
OS03G0127900	AT5G51710	78	30	1
OS03G0128000	AT2G45470	42	40	1
OS03G0128000	AT3G60900	42	40	1
OS03G0128100	AT1G05570	77	25	0
OS03G0128100	AT2G31960	76	24	0
OS03G0128100	AT5G13000	80	26	0
OS03G0128100	AT5G36870	69	23	0
OS03G0128200	AT1G05570	75	21	0
OS03G0128200	AT2G31960	77	21	0
OS03G0128200	AT5G13000	76	21	0
OS03G0128200	AT5G36870	53	15	0
OS03G0128300	AT2G42110	25	29	1
OS03G0128500	AT2G42120	72	70	1
OS03G0128800	AT4G38225	43	44	0
OS03G0128932	AT3G51490	42	25	0
OS03G0129000	AT1G16040	41	39	1
OS03G0129100	AT1G11310	48	47	0
OS03G0129100	AT1G61560	46	44	0
OS03G0129100	AT2G39200	48	46	0
OS03G0129100	AT3G45290	36	39	0
OS03G0129200	AT2G17510	69	30	1
OS03G0129300	AT1G42970	83	82	0
OS03G0129800	AT1G14590	40	45	1
OS03G0129800	AT2G02061	38	40	1
OS03G0129900	AT2G02050	44	62	0
OS03G0130100	AT1G65880	55	55	0
OS03G0130100	AT1G65890	56	56	0
OS03G0130100	AT1G66120	55	56	0
OS03G0130100	AT1G68270	45	49	0
OS03G0130300	AT1G61070	47	50	1
OS03G0130300	AT2G02100	48	51	1
OS03G0130300	AT2G02120	46	48	1
OS03G0130300	AT2G02130	48	51	1
OS03G0130300	AT2G02140	40	44	1
OS03G0130400	AT2G39270	61	61	1
OS03G0130500	AT1G20760	39	41	0
OS03G0130500	AT1G21630	35	30	0
OS03G0130700	AT2G17550	25	31	1
OS03G0130750	AT5G66005	55	42	1
OS03G0130800	AT1G20670	28	26	1
OS03G0130800	AT1G76380	26	28	1
OS03G0130900	AT1G20650	51	51	1
OS03G0130900	AT1G76370	49	49	1
OS03G0131100	AT1G20640	37	41	1
OS03G0131100	AT1G76350	36	42	1
OS03G0131100	AT2G17150	38	39	1
OS03G0131100	AT4G35270	39	38	1
OS03G0131100	AT4G38340	29	35	1
OS03G0131300	AT2G17190	56	55	1
OS03G0131300	AT2G17200	55	53	1
OS03G0131400	AT2G17580	40	30	1
OS03G0131500	AT4G35760	49	48	0
OS03G0131800	AT1G16210	59	59	1
OS03G0131900	AT2G47450	47	49	1
OS03G0132000	AT1G20480	56	54	1
OS03G0132000	AT1G20490	37	45	1
OS03G0132000	AT1G20500	55	55	1
OS03G0132000	AT1G20510	62	62	1
OS03G0132000	AT5G38120	50	50	1
OS03G0132200	AT3G45960	47	50	1
OS03G0132200	AT3G45970	48	51	1
OS03G0132200	AT4G38400	48	51	1
OS03G0132300	AT1G19950	42	38	1
OS03G0132300	AT1G75700	34	55	1
OS03G0132300	AT5G42560	45	44	1
OS03G0132800	AT1G50990	54	57	0
OS03G0132800	AT2G17090	46	52	0
OS03G0132800	AT2G17170	27	44	0
OS03G0132800	AT4G35230	73	75	0
OS03G0133000	AT2G17040	41	47	1
OS03G0133100	AT5G42290	44	46	1
OS03G0133300	AT1G42430	82	67	1
OS03G0133400	AT2G17120	33	34	1
OS03G0133500	AT1G20560	62	61	0
OS03G0133500	AT2G17650	50	46	0
OS03G0133800	AT1G20560	52	60	0
OS03G0133800	AT2G17650	43	45	0
OS03G0133900	AT2G17640	56	62	1
OS03G0133900	AT4G35640	58	57	1
OS03G0134300	AT1G09795	61	60	1
OS03G0134300	AT1G58080	60	59	1
OS03G0134500	AT1G01190	50	52	1
OS03G0134500	AT2G46660	51	52	1
OS03G0134500	AT3G61880	52	51	1
OS03G0134800	AT3G51380	18	53	0
OS03G0134900	AT2G30860	25	37	0
OS03G0134900	AT2G30870	26	39	0
OS03G0134900	AT3G03190	26	39	0
OS03G0134900	AT5G17220	24	36	0
OS03G0135100	AT2G30860	37	39	0
OS03G0135100	AT2G30870	36	38	0
OS03G0135100	AT3G03190	37	39	0
OS03G0135100	AT5G17220	33	35	0
OS03G0135200	AT2G30860	41	25	0
OS03G0135200	AT2G30870	46	27	0
OS03G0135200	AT3G03190	37	22	0
OS03G0135200	AT5G17220	32	19	0
OS03G0135300	AT2G30860	40	42	0
OS03G0135300	AT2G30870	40	41	0
OS03G0135300	AT3G03190	46	48	0
OS03G0135300	AT5G17220	37	39	0
OS03G0135400	AT2G17020	49	47	1
OS03G0135600	AT5G66055	43	44	1
OS03G0135700	AT5G10570	34	38	1
OS03G0135700	AT5G65640	35	35	1
OS03G0136200	AT1G20330	68	69	1
OS03G0136200	AT1G76090	66	67	1
OS03G0136500	AT2G17705	59	65	1
OS03G0136600	AT1G76060	53	54	1
OS03G0136800	AT5G23590	36	36	1
OS03G0136900	AT4G35830	77	85	1
OS03G0137200	AT4G38520	70	70	1
OS03G0137300	AT2G20920	65	47	1
OS03G0137400	AT4G35870	62	60	1
OS03G0137500	AT5G57490	54	54	1
OS03G0137600	AT2G36885	60	59	1
OS03G0137700	AT3G58970	44	44	0
OS03G0137700	AT4G28580	35	38	0
OS03G0137800	AT2G32710	39	30	0
OS03G0137800	AT3G24810	29	34	0
OS03G0137800	AT5G48820	39	36	0
OS03G0138100	AT2G33440	1	2	1
OS03G0138500	AT1G04030	27	26	1
OS03G0138500	AT2G33400	17	25	1
OS03G0138500	AT5G44040	29	28	1
OS03G0138600	AT1G04470	48	47	1
OS03G0138600	AT2G33420	49	47	1
OS03G0138900	AT1G51080	31	34	1
OS03G0139100	AT1G04480	92	97	0
OS03G0139100	AT2G33370	92	97	0
OS03G0139100	AT3G04400	92	97	0
OS03G0139200	AT1G04490	19	27	0
OS03G0139200	AT2G33360	24	23	0
OS03G0139500	AT1G04500	22	23	1
OS03G0139500	AT2G33350	24	22	1
OS03G0140500	AT1G04520	48	45	1
OS03G0140500	AT2G33330	48	45	1
OS03G0140500	AT3G04370	30	27	1
OS03G0140500	AT5G43980	43	41	1
OS03G0140700	AT1G04530	20	22	0
OS03G0140900	AT2G20310	18	20	1
OS03G0140900	AT4G28690	16	17	1
OS03G0141000	AT1G09590	89	43	0
OS03G0141000	AT1G09690	89	43	0
OS03G0141000	AT1G57660	89	43	0
OS03G0141000	AT1G57860	89	43	0
OS03G0141200	AT3G23920	63	61	1
OS03G0142500	AT2G38970	47	47	1
OS03G0142500	AT3G54780	46	47	1
OS03G0142500	AT5G60710	48	47	1
OS03G0142600	AT3G24310	44	40	1
OS03G0142600	AT3G30210	40	36	1
OS03G0142600	AT4G13480	42	40	1
OS03G0142800	AT1G04120	68	67	0
OS03G0142900	AT1G04090	54	52	1
OS03G0142900	AT3G04350	55	54	1
OS03G0142900	AT5G18490	53	53	1
OS03G0142900	AT5G43950	56	54	1
OS03G0143100	AT1G04110	59	59	1
OS03G0143300	AT3G56300	39	11	1
OS03G0143300	AT5G38830	37	10	1
OS03G0143400	AT2G33210	83	82	0
OS03G0143400	AT3G23990	85	85	0
OS03G0143600	AT3G24010	55	59	1
OS03G0143700	AT2G20240	24	30	1
OS03G0143700	AT4G28760	29	28	1
OS03G0143700	AT5G43880	26	28	1
OS03G0143800	AT5G18410	61	4	0
OS03G0143851	AT5G18410	68	11	0
OS03G0143900	AT3G24020	59	67	1
OS03G0143900	AT4G13580	59	67	1
OS03G0144000	AT1G04650	31	20	1
OS03G0144800	AT2G20370	62	61	1
OS03G0145102	AT1G08590	45	44	1
OS03G0145102	AT4G28650	47	46	1
OS03G0145300	AT5G39990	19	12	0
OS03G0145500	AT2G20320	46	42	1
OS03G0145600	AT5G40880	29	26	1
OS03G0145600	AT5G49200	30	30	1
OS03G0145800	AT3G09890	52	39	1
OS03G0145900	AT5G22920	41	20	1
OS03G0146000	AT3G09910	69	71	1
OS03G0146000	AT5G03530	74	74	1
OS03G0146100	AT2G36830	80	80	0
OS03G0146100	AT3G26520	78	77	0
OS03G0146100	AT4G01470	71	70	0
OS03G0146300	AT2G27960	88	91	1
OS03G0146300	AT2G27970	79	86	1
OS03G0146400	AT3G44880	65	64	0
OS03G0146500	AT5G04440	65	59	1
OS03G0146600	AT2G36810	24	1	0
OS03G0147700	AT4G09980	46	32	1
OS03G0147900	AT3G08980	44	35	1
OS03G0148000	AT3G49070	32	29	1
OS03G0148300	AT2G46000	36	42	1
OS03G0148700	AT4G00330	47	50	1
OS03G0149000	AT2G42440	41	31	1
OS03G0149000	AT3G58190	44	38	1
OS03G0149100	AT2G42440	37	40	1
OS03G0149100	AT3G58190	39	46	1
OS03G0149200	AT3G23175	30	28	1
OS03G0149200	AT3G23180	36	26	1
OS03G0149200	AT3G23190	37	27	1
OS03G0149200	AT4G14420	60	59	1
OS03G0149400	AT2G31240	37	30	1
OS03G0149700	AT1G04360	30	24	1
OS03G0149700	AT5G43420	30	25	1
OS03G0149800	AT1G04360	27	21	1
OS03G0149800	AT5G43420	28	22	1
OS03G0150200	AT3G23230	48	48	1
OS03G0151100	AT1G69340	69	49	1
OS03G0151300	AT5G04240	53	14	1
OS03G0151600	AT2G39020	48	46	1
OS03G0151600	AT2G39030	44	43	1
OS03G0151700	AT3G21540	60	59	1
OS03G0151800	AT3G09840	90	90	0
OS03G0151800	AT3G53230	90	90	0
OS03G0151800	AT5G03340	91	91	0
OS03G0151900	AT3G54840	78	77	1
OS03G0152000	AT2G28090	22	32	1
OS03G0152000	AT2G36950	32	29	1
OS03G0152000	AT5G03380	36	32	1
OS03G0152000	AT5G60800	28	32	1
OS03G0152100	AT5G03415	63	17	1
OS03G0152400	AT4G05160	57	58	1
OS03G0152600	AT2G36895	54	56	1
OS03G0152700	AT2G39140	50	51	1
OS03G0152700	AT3G43340	9	50	1
OS03G0152800	AT3G17900	41	42	1
OS03G0152900	AT3G54870	46	46	1
OS03G0153000	AT2G16940	68	9	0
OS03G0153000	AT5G09880	62	9	0
OS03G0153100	AT4G38540	46	47	0
OS03G0153100	AT5G05320	44	45	0
OS03G0153400	AT1G55805	10	10	1
OS03G0153400	AT4G26500	39	17	1
OS03G0153500	AT4G38540	48	37	0
OS03G0153500	AT5G05320	46	35	0
OS03G0153900	AT4G38540	47	47	0
OS03G0153900	AT5G05320	44	44	0
OS03G0154000	AT4G38540	43	43	0
OS03G0154000	AT5G05320	42	43	0
OS03G0154100	AT4G38540	46	46	0
OS03G0154100	AT5G05320	42	42	0
OS03G0154700	AT5G15200	83	82	0
OS03G0154700	AT5G39850	86	85	0
OS03G0155000	AT4G38540	40	18	0
OS03G0155000	AT5G05320	39	17	0
OS03G0155300	AT1G20190	68	67	1
OS03G0155500	AT1G20190	60	58	1
OS03G0155700	AT1G20190	63	55	1
OS03G0155900	AT1G20190	58	58	1
OS03G0156000	AT1G20190	57	57	1
OS03G0156300	AT1G20190	57	54	1
OS03G0156600	AT4G35060	50	51	1
OS03G0156600	AT4G38580	59	59	1
OS03G0156600	AT5G66110	65	68	1
OS03G0156700	AT2G16800	54	51	1
OS03G0156700	AT4G35080	53	48	1
OS03G0157300	AT2G17780	58	58	0
OS03G0157300	AT4G35920	66	66	0
OS03G0157400	AT3G52310	58	57	1
OS03G0157400	AT5G06530	64	66	1
OS03G0157500	AT5G55000	63	64	1
OS03G0157600	AT1G54400	18	22	1
OS03G0157600	AT2G27140	19	19	1
OS03G0157600	AT5G20970	21	19	1
OS03G0157700	AT2G21720	44	42	1
OS03G0157800	AT1G54440	42	39	1
OS03G0157800	AT5G35910	49	34	1
OS03G0157900	AT2G17630	64	64	1
OS03G0157900	AT4G35630	66	65	1
OS03G0158200	AT3G53110	55	56	1
OS03G0158300	AT1G64770	42	41	1
OS03G0158500	AT1G55500	38	45	1
OS03G0158500	AT3G03950	26	42	1
OS03G0158500	AT3G13460	39	42	1
OS03G0158500	AT5G61020	28	40	1
OS03G0158700	AT4G26330	45	48	1
OS03G0158900	AT3G28640	41	39	1
OS03G0158900	AT3G28660	41	40	1
OS03G0159100	AT5G56460	77	71	1
OS03G0159200	AT3G22430	38	35	1
OS03G0159400	AT1G05420	29	27	1
OS03G0159400	AT2G32100	26	23	1
OS03G0159400	AT4G14860	23	27	1
OS03G0159600	AT1G03120	28	43	0
OS03G0159600	AT3G22490	50	53	0
OS03G0159600	AT3G22500	47	51	0
OS03G0159600	AT5G27980	32	45	0
OS03G0159600	AT5G53260	22	34	0
OS03G0159600	AT5G53270	21	37	0
OS03G0159800	AT1G76065	68	70	1
OS03G0159900	AT3G22530	41	33	1
OS03G0159900	AT4G14830	37	39	1
OS03G0160100	AT1G08720	42	46	1
OS03G0160200	AT4G02715	35	32	1
OS03G0160400	AT1G05460	51	49	1
OS03G0160600	AT1G05470	61	57	1
OS03G0160600	AT2G32010	62	60	1
OS03G0161100	AT1G03080	20	31	1
OS03G0161100	AT3G22790	18	28	1
OS03G0161100	AT4G02710	14	32	1
OS03G0161100	AT4G14760	17	26	1
OS03G0161200	AT3G51895	66	68	0
OS03G0161200	AT4G02700	61	64	0
OS03G0161400	AT4G14750	33	35	0
OS03G0161600	AT3G22820	39	44	1
OS03G0161600	AT4G14723	44	50	1
OS03G0161800	AT2G26400	70	70	1
OS03G0161800	AT4G14710	76	75	1
OS03G0161800	AT4G14716	75	78	1
OS03G0162200	AT2G38810	88	89	1
OS03G0162200	AT3G54560	90	91	1
OS03G0162200	AT4G13570	51	57	1
OS03G0162500	AT2G38820	38	37	1
OS03G0162500	AT3G22970	36	30	1
OS03G0162500	AT3G54550	32	34	1
OS03G0162500	AT4G14620	35	32	1
OS03G0162800	AT1G04220	59	34	0
OS03G0162800	AT5G43760	60	35	0
OS03G0162900	AT3G23020	44	43	1
OS03G0163100	AT5G02940	48	51	1
OS03G0163100	AT5G43745	51	53	1
OS03G0163200	AT2G36430	20	21	1
OS03G0163200	AT3G44700	12	15	1
OS03G0163200	AT3G44710	18	17	1
OS03G0163200	AT3G47200	20	20	1
OS03G0163200	AT3G47210	19	19	1
OS03G0163200	AT3G47250	20	19	1
OS03G0163200	AT5G22540	19	20	1
OS03G0163200	AT5G22550	19	18	1
OS03G0163200	AT5G22560	19	17	1
OS03G0163300	AT3G54660	71	69	0
OS03G0163500	AT3G56640	56	56	1
OS03G0164700	AT1G06730	52	50	0
OS03G0165000	AT5G63920	68	29	0
OS03G0165100	AT5G01110	38	38	0
OS03G0165266	AT2G16390	36	43	1
OS03G0165266	AT2G21450	31	41	1
OS03G0165266	AT3G31900	9	26	1
OS03G0165266	AT3G32330	10	34	1
OS03G0165300	AT1G19700	29	33	1
OS03G0165300	AT1G75410	30	35	1
OS03G0165400	AT1G45130	60	69	1
OS03G0165400	AT4G36360	68	67	1
OS03G0165600	AT1G52430	20	9	0
OS03G0165600	AT1G52450	21	9	0
OS03G0165600	AT1G65110	21	10	0
OS03G0165600	AT1G65120	22	10	0
OS03G0165600	AT1G65130	22	10	0
OS03G0165600	AT1G65140	17	27	0
OS03G0165600	AT1G65160	16	26	0
OS03G0165600	AT1G65170	13	25	0
OS03G0165600	AT1G65200	22	10	0
OS03G0165600	AT2G27630	23	10	0
OS03G0165600	AT2G27650	23	10	0
OS03G0165600	AT2G34220	5	3	0
OS03G0165600	AT2G34230	5	3	0
OS03G0165600	AT2G34240	5	3	0
OS03G0165600	AT3G47890	47	15	0
OS03G0165600	AT3G47910	48	15	0
OS03G0165600	AT5G02660	4	3	0
OS03G0165600	AT5G51530	23	10	0
OS03G0165600	AT5G61940	19	9	0
OS03G0165600	AT5G61950	20	9	0
OS03G0165800	AT3G24890	26	48	1
OS03G0165900	AT1G04770	49	50	1
OS03G0165900	AT5G48850	48	50	1
OS03G0166000	AT3G07030	50	38	0
OS03G0166800	AT3G58560	72	72	1
OS03G0166800	AT3G58580	70	71	1
OS03G0167000	AT1G55260	36	30	0
OS03G0167000	AT2G44290	35	32	0
OS03G0167000	AT2G44300	36	33	0
OS03G0167000	AT3G58550	30	32	0
OS03G0167200	AT3G13600	43	43	1
OS03G0167200	AT3G58480	41	43	1
OS03G0167400	AT5G06610	45	45	1
OS03G0167500	AT1G22670	36	42	1
OS03G0167500	AT1G35625	18	44	1
OS03G0167500	AT1G35630	30	47	1
OS03G0167500	AT1G71980	48	54	1
OS03G0167500	AT4G09560	38	43	1
OS03G0167600	AT3G11980	49	49	1
OS03G0167800	AT1G55270	69	69	1
OS03G0168100	AT2G18340	32	28	0
OS03G0168100	AT4G36600	24	27	0
OS03G0168200	AT1G13990	43	37	1
OS03G0168300	AT5G39520	31	38	1
OS03G0168300	AT5G39530	33	38	1
OS03G0168400	AT5G15280	32	12	1
OS03G0168550	AT5G15300	49	48	1
OS03G0168600	AT1G69500	66	68	1
OS03G0168700	AT1G26760	42	41	1
OS03G0168900	AT1G26740	52	44	1
OS03G0168900	AT1G69485	39	70	1
OS03G0169000	AT1G14020	64	60	1
OS03G0169000	AT2G03280	62	57	1
OS03G0169100	AT5G61410	81	79	0
OS03G0169300	AT5G56310	36	35	0
OS03G0169400	AT1G14205	53	56	1
OS03G0169500	AT1G23480	56	56	1
OS03G0169500	AT1G24070	52	51	1
OS03G0169500	AT2G35650	54	54	1
OS03G0169500	AT3G56000	50	52	1
OS03G0169500	AT4G13410	52	53	1
OS03G0169500	AT4G16590	42	58	1
OS03G0169500	AT5G16190	50	62	1
OS03G0169600	AT1G26790	23	26	1
OS03G0169600	AT1G69570	25	28	1
OS03G0169800	AT3G47490	63	50	1
OS03G0169900	AT5G09960	36	38	1
OS03G0169900	AT5G64850	40	40	1
OS03G0170100	AT2G35290	36	36	1
OS03G0170300	AT3G28760	60	52	0
OS03G0170500	AT1G14345	57	54	1
OS03G0170800	AT3G28850	37	28	1
OS03G0170800	AT5G39865	37	31	1
OS03G0170900	AT2G02860	53	48	1
OS03G0171300	AT1G26945	76	74	0
OS03G0171300	AT1G74500	70	69	0
OS03G0171300	AT3G28857	62	62	0
OS03G0171300	AT3G47710	66	66	0
OS03G0171300	AT5G15160	58	56	0
OS03G0171300	AT5G39860	61	61	0
