A2X747	Ensembl:HORVU6Hr1G056230
Q657X7	Ensembl:HORVU3Hr1G000360 Ensembl:HORVU3Hr1G000220
Q65X70	Ensembl:HORVU1Hr1G067480
Q65XK0	Ensembl:HORVU1Hr1G090490
Q65XL7	Ensembl:HORVU1Hr1G090080
Q65XM9	Ensembl:HORVU1Hr1G079070
Q65XR9	Ensembl:HORVU1Hr1G025370
Q67TQ5	Ensembl:HORVU5Hr1G068230
Q67TS4	Ensembl:HORVU6Hr1G036920
Q67TZ7	Ensembl:HORVU5Hr1G068430
Q67UX0	Ensembl:HORVU6Hr1G022330
Q67UZ8	Ensembl:HORVU5Hr1G067750
Q67VM1	Ensembl:HORVU7Hr1G092800
Q67VR7	Ensembl:HORVU5Hr1G094280
Q67W29	Ensembl:HORVU1Hr1G021120
Q67W82	Ensembl:HORVU7Hr1G111130
Q67WK8	Ensembl:HORVU7Hr1G038160
Q67WR2	Ensembl:HORVU7Hr1G112930
Q688Q8	Ensembl:HORVU1Hr1G015560
Q688Q9	Ensembl:HORVU1Hr1G015590
Q688T8	Ensembl:HORVU1Hr1G091600
Q688Y2	Ensembl:HORVU1Hr1G086980
Q689G6	Ensembl:HORVU5Hr1G081620
Q689G9	Ensembl:HORVU6Hr1G057630
Q69IM7	Ensembl:HORVU5Hr1G078370
Q69IU0	Ensembl:HORVU5Hr1G080040 Ensembl:HORVU5Hr1G080080
Q69J27	Ensembl:HORVU7Hr1G027120
Q69K00	Ensembl:HORVU5Hr1G082630
Q69KM5	Ensembl:HORVU7Hr1G031270
Q69KW1	Ensembl:HORVU4Hr1G074530 Ensembl:HORVU4Hr1G074620
Q69LG7	Ensembl:HORVU5Hr1G053950
Q69MC9	Ensembl:HORVU5Hr1G069600
Q69P51	Ensembl:HORVU5Hr1G064230
Q69P64	Ensembl:HORVU7Hr1G082870 Ensembl:HORVU5Hr1G064520
Q69P84	Ensembl:HORVU5Hr1G062090
Q69P94	Ensembl:HORVU5Hr1G062290
Q69QD7	Ensembl:HORVU5Hr1G062370
Q69RG7	Ensembl:HORVU3Hr1G100420 Ensembl:HORVU4Hr1G012660 Ensembl:HORVU4Hr1G012680
Q69RJ0	Ensembl:HORVU2Hr1G022920
Q69TF4	Ensembl:HORVU7Hr1G034130
Q69TT1	Ensembl:HORVU7Hr1G082990
Q69TW5	Ensembl:HORVU7Hr1G035500
Q69U93	Ensembl:HORVU7Hr1G055990
Q69UF5	Ensembl:HORVU7Hr1G085270
Q69UU3	Ensembl:HORVU2Hr1G063740
Q69XD3	Ensembl:HORVU7Hr1G085200
Q69XJ0	Ensembl:HORVU7Hr1G089910
Q69XQ6	Ensembl:HORVU7Hr1G094240
Q69XS7	Ensembl:HORVU7Hr1G047990
Q6ASV4	Ensembl:HORVU4Hr1G008700
Q6ASW7	Ensembl:HORVU5Hr1G048360 Ensembl:HORVU4Hr1G025080
Q6AT26	Ensembl:HORVU0Hr1G038120 Ensembl:HORVU1Hr1G026320
Q6AT32	Ensembl:HORVU1Hr1G086270
Q6AT33	Ensembl:HORVU1Hr1G086070
Q6AT41	Ensembl:HORVU1Hr1G085880
Q6AT43	Ensembl:HORVU1Hr1G053320
Q6ATR2	Ensembl:HORVU5Hr1G110100
Q6AUB0	Ensembl:HORVU1Hr1G064860
Q6AUV1	Ensembl:HORVU1Hr1G049690
Q6AV34	Ensembl:HORVU4Hr1G013720
Q6AVM5	Ensembl:HORVU1Hr1G068760 Ensembl:HORVU0Hr1G023640
Q6EP31	Ensembl:HORVU6Hr1G095230
Q6EP59	Ensembl:HORVU5Hr1G081310
Q6EP66	Ensembl:HORVU5Hr1G052320
Q6EP77	Ensembl:HORVU0Hr1G016540 Ensembl:HORVU6Hr1G065580
Q6EPN6	Ensembl:HORVU6Hr1G065960
Q6EPR6	Ensembl:HORVU5Hr1G053560
Q6EPY7	Ensembl:HORVU5Hr1G075780
Q6EPZ2	Ensembl:HORVU5Hr1G065420
Q6EQW2	Ensembl:HORVU1Hr1G000430
Q6ERL4	Ensembl:HORVU5Hr1G056530
Q6ERR3	Ensembl:HORVU5Hr1G065330 Ensembl:HORVU0Hr1G013070
Q6ES51	Ensembl:HORVU5Hr1G060730
Q6ESJ0	Ensembl:HORVU6Hr1G063830
Q6ESZ9	Ensembl:HORVU2Hr1G074220
Q6ET36	Ensembl:HORVU7Hr1G121270
Q6ET88	Ensembl:HORVU6Hr1G064460
Q6ETD3	Ensembl:HORVU6Hr1G004000 Ensembl:HORVU6Hr1G004010 Ensembl:HORVU7Hr1G001070 Ensembl:HORVU7Hr1G001040 Ensembl:HORVU7Hr1G000250 Ensembl:HORVU0Hr1G018850 Ensembl:HORVU7Hr1G000270 Ensembl:HORVU7Hr1G000260
Q6ETN1	Ensembl:HORVU6Hr1G030270 Ensembl:HORVU6Hr1G030220
Q6ETN3	Ensembl:HORVU6Hr1G030390
Q6ETX4	Ensembl:HORVU7Hr1G075710 Ensembl:HORVU7Hr1G081300
Q6EUF1	Ensembl:HORVU6Hr1G081650
Q6EUP4	Ensembl:HORVU0Hr1G004990
Q6EUS6	Ensembl:HORVU6Hr1G003470
Q6F361	Ensembl:HORVU1Hr1G090710 Ensembl:HORVU3Hr1G058460
Q6H3Z3	Ensembl:HORVU6Hr1G061450 Ensembl:HORVU7Hr1G097350
Q6H415	Ensembl:HORVU5Hr1G060060
Q6H4F7	Ensembl:HORVU5Hr1G058170
Q6H4G3	Ensembl:HORVU5Hr1G058190
Q6H513	Ensembl:HORVU6Hr1G031590
Q6H515	Ensembl:HORVU6Hr1G031640
Q6H6C7	Ensembl:HORVU6Hr1G031830
Q6H6D2	Ensembl:HORVU6Hr1G028050
Q6H6G1	Ensembl:HORVU6Hr1G062960
Q6H6I1	Ensembl:HORVU6Hr1G062440
Q6H6P8	Ensembl:HORVU2Hr1G077120
Q6H703	Ensembl:HORVU6Hr1G032070
Q6H765	Ensembl:HORVU6Hr1G040960
Q6H7M1	Ensembl:HORVU6Hr1G033350
Q6H7Q6	Ensembl:HORVU6Hr1G033600
Q6H819	Ensembl:HORVU6Hr1G029080
Q6H849	Ensembl:HORVU6Hr1G059730
Q6H851	Ensembl:HORVU6Hr1G059740 Ensembl:HORVU6Hr1G059760
Q6I581	Ensembl:HORVU1Hr1G092890
Q6I628	Ensembl:HORVU1Hr1G084260
Q6IEQ7	Ensembl:HORVU3Hr1G088200
Q6IVC3	Ensembl:HORVU4Hr1G052330
Q6K1S6	Ensembl:HORVU6Hr1G058630 Ensembl:HORVU6Hr1G058640 Ensembl:HORVU6Hr1G058580 Ensembl:HORVU6Hr1G058620
Q6K1X7	Ensembl:HORVU5Hr1G095050 Ensembl:HORVU3Hr1G052970 Ensembl:HORVU6Hr1G055840
Q6K209	Ensembl:HORVU1Hr1G002100 Ensembl:HORVU1Hr1G010230 Ensembl:HORVU1Hr1G002170 Ensembl:HORVU1Hr1G010250
Q6K2E1	Ensembl:HORVU5Hr1G055920
Q6K2E8	Ensembl:HORVU6Hr1G072320
Q6K306	Ensembl:HORVU5Hr1G052150
Q6K3Z3	Ensembl:HORVU2Hr1G005420 Ensembl:HORVU5Hr1G052090
Q6K4Q5	Ensembl:HORVU6Hr1G083310
Q6K4V9	Ensembl:HORVU3Hr1G107040
Q6K5G8	Ensembl:HORVU6Hr1G054520
Q6K678	Ensembl:HORVU0Hr1G040430
Q6K6Q1	Ensembl:HORVU0Hr1G016330
Q6K7P2	Ensembl:HORVU6Hr1G093960
Q6K7V6	Ensembl:HORVU1Hr1G060090
Q6K846	Ensembl:HORVU6Hr1G088140
Q6K8E2	Ensembl:HORVU6Hr1G077570 Ensembl:HORVU4Hr1G015730 Ensembl:HORVU4Hr1G080360
Q6K8J4	Ensembl:HORVU6Hr1G054940
Q6K8R6	Ensembl:HORVU6Hr1G055570
Q6K969	Ensembl:HORVU6Hr1G094950
Q6K973	Ensembl:HORVU6Hr1G094880
Q6K985	Ensembl:HORVU6Hr1G088830
Q6K9B8	Ensembl:HORVU6Hr1G056110
Q6K9C5	Ensembl:HORVU6Hr1G056000
Q6K9N6	Ensembl:HORVU6Hr1G058210
Q6K9X3	Ensembl:HORVU6Hr1G092840
Q6KAJ2	Ensembl:HORVU0Hr1G017370
Q6L4G2	Ensembl:HORVU1Hr1G083530
Q6L4H5	Ensembl:HORVU1Hr1G082660
Q6L4L4	Ensembl:HORVU1Hr1G013600
Q6L4R7	Ensembl:HORVU1Hr1G094840
Q6L506	Ensembl:HORVU1Hr1G072180
Q6L540	Ensembl:HORVU1Hr1G077560
Q6L545	Ensembl:HORVU1Hr1G060810
Q6L8G1	Ensembl:HORVU4Hr1G003050
Q6Q9I2	Ensembl:HORVU2Hr1G063800
Q6VMN7	Ensembl:HORVU4Hr1G071300
Q6YPG5	Ensembl:HORVU6Hr1G002550
Q6YSF8	Ensembl:HORVU5Hr1G106010 Ensembl:HORVU0Hr1G007430 Ensembl:HORVU0Hr1G026530 Ensembl:HORVU0Hr1G026520 Ensembl:HORVU3Hr1G114820 Ensembl:HORVU0Hr1G026540 Ensembl:HORVU5Hr1G106020 Ensembl:HORVU3Hr1G114790
Q6YT73	Ensembl:HORVU2Hr1G060010
Q6YTI6	Ensembl:HORVU6Hr1G052140
Q6YU51	Ensembl:HORVU2Hr1G126150 Ensembl:HORVU1Hr1G084900
Q6YU90	Ensembl:HORVU6Hr1G000640
Q6YUI8	Ensembl:HORVU7Hr1G026180
Q6YUS0	Ensembl:HORVU6Hr1G012710
Q6YUS3	Ensembl:HORVU6Hr1G012730 Ensembl:HORVU6Hr1G012760
Q6YUU2	Ensembl:HORVU6Hr1G035000
Q6YV04	Ensembl:HORVU6Hr1G038710
Q6YV23	Ensembl:HORVU5Hr1G048890
Q6YVI0	Ensembl:HORVU6Hr1G068750
Q6YVT1	Ensembl:HORVU7Hr1G050560
Q6YVY6	Ensembl:HORVU2Hr1G032690
Q6YWE1	Ensembl:HORVU5Hr1G110100
Q6YWS8	Ensembl:HORVU6Hr1G072630
Q6YWY7	Ensembl:HORVU6Hr1G075770 Ensembl:HORVU6Hr1G075760 Ensembl:HORVU6Hr1G075810
Q6YXC2	Ensembl:HORVU6Hr1G049950
Q6YXI1	Ensembl:HORVU5Hr1G069850 Ensembl:HORVU0Hr1G013220
Q6YXW6	Ensembl:HORVU5Hr1G000580
Q6YYB9	Ensembl:HORVU7Hr1G073460
Q6YYY7	Ensembl:HORVU3Hr1G001040
Q6YYZ2	Ensembl:HORVU1Hr1G051190
Q6YZ18	Ensembl:HORVU2Hr1G114450 Ensembl:HORVU2Hr1G114390 Ensembl:HORVU2Hr1G114440 Ensembl:HORVU7Hr1G010850 Ensembl:HORVU1Hr1G010120 Ensembl:HORVU7Hr1G010870 Ensembl:HORVU7Hr1G010750 Ensembl:HORVU7Hr1G010990 Ensembl:HORVU7Hr1G091860
Q6YZE2	Ensembl:HORVU7Hr1G054380
Q6YZH8	Ensembl:HORVU7Hr1G059460
Q6YZX7	Ensembl:HORVU3Hr1G114270 Ensembl:HORVU0Hr1G031980
Q6Z0T7	Ensembl:HORVU7Hr1G058310
Q6Z156	Ensembl:HORVU3Hr1G019260
Q6Z1Z3	Ensembl:HORVU7Hr1G078770
Q6Z2L5	Ensembl:HORVU6Hr1G015080
Q6Z2T6	Ensembl:HORVU6Hr1G075900
Q6Z2T9	Ensembl:HORVU3Hr1G107340
Q6Z312	Ensembl:HORVU6Hr1G080670
Q6Z398	Ensembl:HORVU5Hr1G034070 Ensembl:HORVU7Hr1G061890
Q6Z3A4	Ensembl:HORVU1Hr1G015560
Q6Z3X5	Ensembl:HORVU2Hr1G013170
Q6Z3Y3	Ensembl:HORVU2Hr1G013500
Q6Z433	Ensembl:HORVU6Hr1G021570
Q6Z4E7	Ensembl:HORVU5Hr1G009150
Q6Z4F3	Ensembl:HORVU7Hr1G103510
Q6Z4I1	Ensembl:HORVU3Hr1G036430
Q6Z4U1	Ensembl:HORVU6Hr1G026020 Ensembl:HORVU2Hr1G012970 Ensembl:HORVU2Hr1G013460
Q6Z5B5	Ensembl:HORVU2Hr1G064060 Ensembl:HORVU3Hr1G074780 Ensembl:HORVU3Hr1G109810 Ensembl:HORVU7Hr1G028580 Ensembl:HORVU5Hr1G091230
Q6Z5M3	Ensembl:HORVU6Hr1G071920
Q6Z684	Ensembl:HORVU4Hr1G079990 Ensembl:HORVU6Hr1G077860 Ensembl:HORVU6Hr1G082710 Ensembl:HORVU7Hr1G013890 Ensembl:HORVU6Hr1G003270
Q6Z6F0	Ensembl:HORVU6Hr1G037700 Ensembl:HORVU7Hr1G101710
Q6Z6K9	Ensembl:HORVU6Hr1G039440
Q6Z6L1	Ensembl:HORVU6Hr1G039440
Q6Z702	Ensembl:HORVU6Hr1G013950
Q6Z744	Ensembl:HORVU6Hr1G074200
Q6Z795	Ensembl:HORVU6Hr1G038430
Q6Z7F5	Ensembl:HORVU5Hr1G012160
Q6Z7I3	Ensembl:HORVU2Hr1G108070 Ensembl:HORVU3Hr1G005040
Q6Z7Q3	Ensembl:HORVU6Hr1G078630
Q6Z836	Ensembl:HORVU6Hr1G017860
Q6Z8F4	Ensembl:HORVU6Hr1G067660
Q6Z8S2	Ensembl:HORVU6Hr1G026020 Ensembl:HORVU2Hr1G012970 Ensembl:HORVU2Hr1G013460
Q6Z8Z7	Ensembl:HORVU6Hr1G005250
Q6Z965	Ensembl:HORVU7Hr1G095960
Q6Z9A3	Ensembl:HORVU3Hr1G085830
Q6Z9E6	Ensembl:HORVU0Hr1G020780
Q6ZA22	Ensembl:HORVU2Hr1G029430
Q6ZAC1	Ensembl:HORVU0Hr1G002720
Q6ZAH2	Ensembl:HORVU6Hr1G094110 Ensembl:HORVU5Hr1G117600 Ensembl:HORVU0Hr1G017970
Q6ZB59	Ensembl:HORVU6Hr1G038010
Q6ZBE1	Ensembl:HORVU7Hr1G010370 Ensembl:HORVU7Hr1G010240
Q6ZBH5	Ensembl:HORVU7Hr1G056590
Q6ZC33	Ensembl:HORVU6Hr1G003300
Q6ZCF0	Ensembl:HORVU7Hr1G082330
Q6ZD89	Ensembl:HORVU7Hr1G082280 Ensembl:HORVU1Hr1G011930 Ensembl:HORVU1Hr1G089620 Ensembl:HORVU3Hr1G116770 Ensembl:HORVU2Hr1G119660 Ensembl:HORVU1Hr1G003370 Ensembl:HORVU7Hr1G119480 Ensembl:HORVU4Hr1G001250
Q6ZDQ1	Ensembl:HORVU7Hr1G039880
Q6ZDY8	Ensembl:HORVU0Hr1G013850 Ensembl:HORVU2Hr1G061040
Q6ZFI6	Ensembl:HORVU7Hr1G049870
Q6ZG77	Ensembl:HORVU6Hr1G022220
Q6ZG91	Ensembl:HORVU6Hr1G016810
Q6ZGS9	Ensembl:HORVU6Hr1G066930 Ensembl:HORVU6Hr1G066920
Q6ZGW6	Ensembl:HORVU6Hr1G070540 Ensembl:HORVU6Hr1G070420 Ensembl:HORVU6Hr1G070550
Q6ZHA3	Ensembl:HORVU6Hr1G012690
Q6ZHB2	Ensembl:HORVU6Hr1G066640
Q6ZHJ6	Ensembl:HORVU0Hr1G016720 Ensembl:HORVU6Hr1G068450
Q6ZHS4	Ensembl:HORVU6Hr1G035420
Q6ZHZ1	Ensembl:HORVU3Hr1G002280
Q6ZI39	Ensembl:HORVU6Hr1G083320 Ensembl:HORVU7Hr1G053780
Q6ZIA3	Ensembl:HORVU7Hr1G053940
Q6ZIK0	Ensembl:HORVU6Hr1G068410
Q6ZIX2	Ensembl:HORVU4Hr1G084000
Q6ZJK7	Ensembl:HORVU2Hr1G114450 Ensembl:HORVU2Hr1G114390 Ensembl:HORVU2Hr1G114440 Ensembl:HORVU7Hr1G010850 Ensembl:HORVU1Hr1G010120 Ensembl:HORVU7Hr1G010870 Ensembl:HORVU7Hr1G010750 Ensembl:HORVU7Hr1G010990 Ensembl:HORVU7Hr1G091860
Q6ZJM9	Ensembl:HORVU7Hr1G077650
Q6ZK11	Ensembl:HORVU7Hr1G049510
Q6ZL61	Ensembl:HORVU1Hr1G093480
Q6ZL94	Ensembl:HORVU2Hr1G036950
Q6ZLD3	Ensembl:HORVU6Hr1G060690
Q6ZLJ9	Ensembl:HORVU3Hr1G020780
Q75GK0	Ensembl:HORVU5Hr1G093580
Q75H77	Ensembl:HORVU7Hr1G118150 Ensembl:HORVU4Hr1G013540
Q75HA6	Ensembl:HORVU4Hr1G003040
Q75HB1	Ensembl:HORVU4Hr1G003050
Q75HQ7	Ensembl:HORVU6Hr1G058840
Q75HZ9	Ensembl:HORVU1Hr1G091880
Q75I93	Ensembl:HORVU4Hr1G006480
Q75II5	Ensembl:HORVU1Hr1G076470
Q75KD7	Ensembl:HORVU6Hr1G081000
Q75KT7	Ensembl:HORVU1Hr1G080520
Q75L84	Ensembl:HORVU1Hr1G013190
Q75LC7	Ensembl:HORVU5Hr1G120550
Q75LL5	Ensembl:HORVU5Hr1G114720 Ensembl:HORVU5Hr1G095260
Q75M18	Ensembl:HORVU3Hr1G104600 Ensembl:HORVU5Hr1G105250 Ensembl:HORVU7Hr1G008250 Ensembl:HORVU1Hr1G002150
Q75V57	Ensembl:HORVU5Hr1G018340 Ensembl:HORVU0Hr1G011570
Q75W16	Ensembl:HORVU2Hr1G029870
Q7EZD3	Ensembl:HORVU7Hr1G070780
Q7EZW6	Ensembl:HORVU2Hr1G021450
Q7EZZ0	Ensembl:HORVU2Hr1G022350
Q7F0B2	Ensembl:HORVU0Hr1G007370
Q7F0Q2	Ensembl:HORVU2Hr1G094380
Q7F190	Ensembl:HORVU2Hr1G050980
Q7F1X5	Ensembl:HORVU3Hr1G089000
Q7F8K7	Ensembl:HORVU4Hr1G082400 Ensembl:HORVU4Hr1G082390
Q7F8U7	Ensembl:HORVU7Hr1G048820
Q7G2F7	Ensembl:HORVU1Hr1G044810
Q7G2H3	Ensembl:HORVU4Hr1G013720
Q7G602	Ensembl:HORVU1Hr1G094880
Q7G6M2	Ensembl:HORVU1Hr1G003340 Ensembl:HORVU1Hr1G003330 Ensembl:HORVU3Hr1G075040 Ensembl:HORVU4Hr1G090990
Q7G7J6	Ensembl:HORVU4Hr1G006930
Q7X634	Ensembl:HORVU2Hr1G097910 Ensembl:HORVU4Hr1G085690 Ensembl:HORVU4Hr1G085890 Ensembl:HORVU0Hr1G005160
Q7X742	Ensembl:HORVU2Hr1G115240
Q7X7A1	Ensembl:HORVU2Hr1G115890
Q7X7H3	Ensembl:HORVU2Hr1G084750
Q7X7N2	Ensembl:HORVU2Hr1G005320
Q7X7X0	Ensembl:HORVU2Hr1G030680
Q7X7X4	Ensembl:HORVU2Hr1G004600 Ensembl:HORVU2Hr1G004510 Ensembl:HORVU2Hr1G004480 Ensembl:HORVU2Hr1G004530 Ensembl:HORVU2Hr1G004640 Ensembl:HORVU2Hr1G012810
Q7X8A1	Ensembl:HORVU0Hr1G004830
Q7X8V3	Ensembl:HORVU2Hr1G089540 Ensembl:HORVU2Hr1G089440 Ensembl:HORVU2Hr1G038120 Ensembl:HORVU1Hr1G022060 Ensembl:HORVU2Hr1G038140
Q7X993	Ensembl:HORVU2Hr1G016580
Q7XAP2	Ensembl:HORVU7Hr1G079430
Q7XBY6	Ensembl:HORVU1Hr1G050110
Q7XC20	Ensembl:HORVU1Hr1G054930
Q7XCK3	Ensembl:HORVU1Hr1G052450
Q7XDE0	Ensembl:HORVU1Hr1G040980
Q7XE48	Ensembl:HORVU1Hr1G035960
Q7XEZ6	Ensembl:HORVU7Hr1G041300
Q7XHZ2	Ensembl:HORVU5Hr1G027250
Q7XI35	Ensembl:HORVU4Hr1G011760
Q7XI67	Ensembl:HORVU2Hr1G015430
Q7XI92	Ensembl:HORVU2Hr1G036800
Q7XI96	Ensembl:HORVU0Hr1G040070
Q7XK23	Ensembl:HORVU2Hr1G082800
Q7XKI0	Ensembl:HORVU6Hr1G086590
Q7XM21	Ensembl:HORVU2Hr1G110130
Q7XMA8	Ensembl:HORVU2Hr1G066790
Q7XMP7	Ensembl:HORVU2Hr1G113270
Q7XNX6	Ensembl:HORVU7Hr1G120520
Q7XPB5	Ensembl:HORVU2Hr1G113410 Ensembl:HORVU2Hr1G094420 Ensembl:HORVU2Hr1G113450
Q7XPR2	Ensembl:HORVU2Hr1G103130
Q7XPR5	Ensembl:HORVU2Hr1G096380
Q7XPW5	Ensembl:HORVU2Hr1G122950 Ensembl:HORVU4Hr1G066430
Q7XQ85	Ensembl:HORVU2Hr1G094230
Q7XR02	Ensembl:HORVU2Hr1G111110
Q7XR52	Ensembl:HORVU7Hr1G055310
Q7XR60	Ensembl:HORVU2Hr1G122370
Q7XR61	Ensembl:HORVU2Hr1G122370
Q7XRA1	Ensembl:HORVU1Hr1G002090
Q7XRT0	Ensembl:HORVU3Hr1G085270
Q7XTE8	Ensembl:HORVU2Hr1G080630
Q7XTH0	Ensembl:HORVU6Hr1G086590
Q7XTK3	Ensembl:HORVU2Hr1G126540
Q7XTU2	Ensembl:HORVU2Hr1G103880
Q7XU29	Ensembl:HORVU0Hr1G006450
Q7XUA8	Ensembl:HORVU2Hr1G089950 Ensembl:HORVU2Hr1G090000
Q7XUH5	Ensembl:HORVU2Hr1G094380
Q7XUK6	Ensembl:HORVU2Hr1G086080
Q7XV18	Ensembl:HORVU2Hr1G078580
Q7XV97	Ensembl:HORVU2Hr1G070880
Q7XVM8	Ensembl:HORVU2Hr1G070800
Q7XVP0	Ensembl:HORVU2Hr1G066480
Q7XWP9	Ensembl:HORVU2Hr1G012790
Q7XX31	Ensembl:HORVU7Hr1G115920 Ensembl:HORVU7Hr1G115910
Q7XXL2	Ensembl:HORVU2Hr1G066630
Q7XXQ9	Ensembl:HORVU4Hr1G057650
Q7XYS3	Ensembl:HORVU4Hr1G066270 Ensembl:HORVU4Hr1G066230
Q7XZH5	Ensembl:HORVU5Hr1G111190 Ensembl:HORVU3Hr1G046320
Q7Y0B9	Ensembl:HORVU5Hr1G097630
Q7Y0C8	Ensembl:HORVU5Hr1G098090
Q7Y0Y6	Ensembl:HORVU6Hr1G038710
Q7Y0Y8	Ensembl:HORVU7Hr1G085870
Q7Y152	Ensembl:HORVU5Hr1G116870
Q7Y1I9	Ensembl:HORVU5Hr1G106090 Ensembl:HORVU3Hr1G003410 Ensembl:HORVU5Hr1G106190
Q7Y1J1	Ensembl:HORVU5Hr1G106090 Ensembl:HORVU3Hr1G003410 Ensembl:HORVU5Hr1G106190
Q84JI0	Ensembl:HORVU4Hr1G060370
Q84LK3	Ensembl:HORVU6Hr1G087460
Q84M43	Ensembl:HORVU5Hr1G110000
Q84MN8	Ensembl:HORVU5Hr1G094300
Q84NP3	Ensembl:HORVU2Hr1G013870
Q84Q89	Ensembl:HORVU4Hr1G061230
Q84QA7	Ensembl:HORVU4Hr1G060950
Q84QC0	Ensembl:HORVU4Hr1G061140 Ensembl:HORVU4Hr1G061150
Q84RX6	Ensembl:HORVU2Hr1G034720
Q84T92	Ensembl:HORVU5Hr1G112670
Q84U04	Ensembl:HORVU4Hr1G064790
Q84VC7	Ensembl:HORVU1Hr1G080950
Q84VK7	Ensembl:HORVU2Hr1G045690 Ensembl:HORVU2Hr1G124950
Q84YK8	Ensembl:HORVU7Hr1G050680
Q84ZN6	Ensembl:HORVU6Hr1G050750
Q84ZY2	Ensembl:HORVU7Hr1G013600
Q851L5	Ensembl:HORVU5Hr1G118040
Q852C2	Ensembl:HORVU5Hr1G114700
Q852P4	Ensembl:HORVU6Hr1G058740
Q852Q1	Ensembl:HORVU3Hr1G108000 Ensembl:HORVU3Hr1G107970 Ensembl:HORVU4Hr1G056610 Ensembl:HORVU3Hr1G107990
Q8GRU7	Ensembl:HORVU2Hr1G025980
Q8GSD9	Ensembl:HORVU4Hr1G080350
Q8GSI0	Ensembl:HORVU4Hr1G076850
Q8GT01	Ensembl:HORVU3Hr1G106720
Q8GVN6	Ensembl:HORVU2Hr1G045130
Q8H016	Ensembl:HORVU4Hr1G076570
Q8H038	Ensembl:HORVU4Hr1G079030
Q8H048	Ensembl:HORVU4Hr1G085550
Q8H051	Ensembl:HORVU4Hr1G085750
Q8H093	Ensembl:HORVU1Hr1G079150 Ensembl:HORVU1Hr1G048970
Q8H0A1	Ensembl:HORVU1Hr1G048860
Q8H0B2	Ensembl:HORVU7Hr1G074300
Q8H0B6	Ensembl:HORVU2Hr1G104110
Q8H395	Ensembl:HORVU2Hr1G031310
Q8H3C9	Ensembl:HORVU5Hr1G027710
Q8H3I4	Ensembl:HORVU2Hr1G030930
Q8H3Q7	Ensembl:HORVU2Hr1G020270
Q8H4L3	Ensembl:HORVU1Hr1G089540 Ensembl:HORVU1Hr1G004830
Q8H530	Ensembl:HORVU5Hr1G076080
Q8H539	Ensembl:HORVU1Hr1G013970
Q8H6G8	Ensembl:HORVU5Hr1G117080
Q8H7S6	Ensembl:HORVU4Hr1G066510
Q8H7T7	Ensembl:HORVU4Hr1G087100
Q8H825	Ensembl:HORVU4Hr1G067280
Q8H8U0	Ensembl:HORVU4Hr1G057680
Q8H930	Ensembl:HORVU5Hr1G077110
Q8LGW5	Ensembl:HORVU5Hr1G060030
Q8LHD1	Ensembl:HORVU6Hr1G076190
Q8LI89	Ensembl:HORVU3Hr1G013640
Q8LIG8	Ensembl:HORVU0Hr1G040410
Q8LIY8	Ensembl:HORVU3Hr1G071170
Q8LJJ2	Ensembl:HORVU3Hr1G064730
Q8LM92	Ensembl:HORVU6Hr1G002400
Q8LMW8	Ensembl:HORVU7Hr1G040740 Ensembl:HORVU7Hr1G040730
Q8LN68	Ensembl:HORVU4Hr1G007040
Q8LNU2	Ensembl:HORVU1Hr1G043660
Q8LQ34	Ensembl:HORVU3Hr1G085400
Q8LR33	Ensembl:HORVU3Hr1G059840
Q8LRA0	Ensembl:HORVU3Hr1G078760 Ensembl:HORVU6Hr1G002700
Q8RV06	Ensembl:HORVU3Hr1G112520
Q8RV34	Ensembl:HORVU7Hr1G091450
Q8RYL0	Ensembl:HORVU3Hr1G096620
Q8RYL1	Ensembl:HORVU3Hr1G096620
Q8RZV7	Ensembl:HORVU3Hr1G093530
Q8RZZ3	Ensembl:HORVU3Hr1G064290
Q8S0G4	Ensembl:HORVU3Hr1G104790
Q8S2E5	Ensembl:HORVU3Hr1G068700
Q8S2G5	Ensembl:HORVU3Hr1G078530
Q8S3R0	Ensembl:HORVU6Hr1G069180
Q8S5T1	Ensembl:HORVU4Hr1G073930
Q8S6F2	Ensembl:HORVU0Hr1G029790
Q8S7N5	Ensembl:HORVU1Hr1G049860
Q8S7T9	Ensembl:HORVU4Hr1G074700
Q8S919	Ensembl:HORVU7Hr1G080800
Q8S920	Ensembl:HORVU3Hr1G059290
Q8S983	Ensembl:HORVU2Hr1G109650
Q8S985	Ensembl:HORVU1Hr1G087460
Q8S9S4	Ensembl:HORVU3Hr1G048560
Q8S9Z2	Ensembl:HORVU3Hr1G113820
Q8VWH2	Ensembl:HORVU3Hr1G087100 Ensembl:HORVU7Hr1G024610
Q8W1L6	Ensembl:HORVU6Hr1G024100 Ensembl:HORVU3Hr1G013880
Q8W250	Ensembl:HORVU3Hr1G000390
Q8W3G2	Ensembl:HORVU1Hr1G050900
Q8W3J0	Ensembl:HORVU4Hr1G059130
Q8W3M0	Ensembl:HORVU4Hr1G051680
Q8W5G9	Ensembl:HORVU5Hr1G097400
Q93VC3	Ensembl:HORVU5Hr1G094280
Q93WI9	Ensembl:HORVU3Hr1G087100 Ensembl:HORVU7Hr1G024610
Q93X08	Ensembl:HORVU5Hr1G087810
Q93XI4	Ensembl:HORVU5Hr1G006730
Q93Y73	Ensembl:HORVU5Hr1G097020
Q941T9	Ensembl:HORVU3Hr1G085830
Q941W8	Ensembl:HORVU3Hr1G088100 Ensembl:HORVU3Hr1G039010
Q942X4	Ensembl:HORVU3Hr1G098920
