A0A0P0X5U4	Ensembl:ONIVA01G09020
Q6EP59	Ensembl:ONIVA02G24000
Q6EP66	Ensembl:ONIVA09G03000
Q6EP77	Ensembl:ONIVA02G30790
Q6EPN6	Ensembl:ONIVA02G31040
Q6EPR6	Ensembl:ONIVA09G04100
Q6EPY7	Ensembl:ONIVA02G21260
Q6EPZ0	Ensembl:ONIVA09G10050
Q6EPZ2	Ensembl:ONIVA09G10030
Q6EQW2	Ensembl:ONIVA09G06770
Q6ERL4	Ensembl:ONIVA09G05620
Q6ERR3	Ensembl:ONIVA09G10110
Q6ES51	Ensembl:ONIVA09G08610
Q6ESJ0	Ensembl:ONIVA02G29430
Q6ESZ9	Ensembl:ONIVA07G07140
Q6ET36	Ensembl:ONIVA05G03790
Q6ETD3	Ensembl:ONIVA02G00550
Q6ETN1	Ensembl:ONIVA02G06860
Q6ETN3	Ensembl:ONIVA02G06840
Q6ETX4	Ensembl:ONIVA02G12860
Q6EUF1	Ensembl:ONIVA02G10940
Q6EUNO	Ensembl:ONIVA02G24280
Q6EUP4	Ensembl:ONIVA02G24160
Q6EUS6	Ensembl:ONIVA02G11110
Q6F354	Ensembl:ONIVA05G08720
Q6F361	Ensembl:ONIVA05G28700
Q6H3Z3	Ensembl:ONIVA02G28460
Q6H3Z6	Ensembl:ONIVA02G28440
Q6H415	Ensembl:ONIVA11G09970
Q6H4F7	Ensembl:ONIVA09G07100
Q6H4G3	Ensembl:ONIVA09G07080
Q6H513	Ensembl:ONIVA02G05910
Q6H515	Ensembl:ONIVA02G05890
Q6H543	Ensembl:ONIVA02G10430
Q6H5U3	Ensembl:ONIVA02G27900
Q6H5Z4	Ensembl:ONIVA02G10210
Q6H6C7	Ensembl:ONIVA06G16120
Q6H6D2	Ensembl:ONIVA02G05490
Q6H6G1	Ensembl:ONIVA02G29020
Q6H6I1	Ensembl:ONIVA02G28850
Q6H6P8	Ensembl:ONIVA02G20920
Q6H703	Ensembl:ONIVA02G05770
Q6H765	Ensembl:ONIVA02G20990
Q6H7M1	Ensembl:ONIVA02G08990
Q6H7Q6	Ensembl:ONIVA02G08840
Q6H819	Ensembl:ONIVA02G07140
Q6H849	Ensembl:ONIVA02G27600
Q6H851	Ensembl:ONIVA02G27590
Q6H8F6	Ensembl:ONIVA02G09670
Q6I581	Ensembl:ONIVA05G29530
Q6I5C3	Ensembl:ONIVA05G08010
Q6I628	Ensembl:ONIVA05G26330
Q6IEQ7	Ensembl:ONIVA01G40720
Q6IVC3	Ensembl:ONIVA03G16290
Q6K1X7	Ensembl:ONIVA02G26440
Q6K2E1	Ensembl:ONIVA10G00170
Q6K2E8	Ensembl:ONIVA10G07240
Q6K306	Ensembl:ONIVA09G02820
Q6K3T2	Ensembl:ONIVA02G11550
Q6K3Z3	Ensembl:ONIVA09G02460
Q6K4Q5	Ensembl:ONIVA02G37310
Q6K4V9	Ensembl:ONIVA08G14170
Q6K4Y7	Ensembl:ONIVA08G14000
Q6K5G8	Ensembl:ONIVA02G25960
Q6K5U4	Ensembl:ONIVA02G14670
Q6K678	Ensembl:ONIVA02G37760
Q6K6Q1	Ensembl:ONIVA02G27090
Q6K755	Ensembl:ONIVA11G12360
Q6K7P2	Ensembl:ONIVA02G40990
Q6K7V6	Ensembl:ONIVA05G03720
Q6K846	Ensembl:ONIVA02G38490
Q6K8E2	Ensembl:ONIVA02G35820
Q6K8E7	Ensembl:ONIVA02G39050
Q6K8J4	Ensembl:ONIVA02G26130
Q6K8R6	Ensembl:ONIVA02G26220
Q6K969	Ensembl:ONIVA02G41270
Q6K973	Ensembl:ONIVA02G41240
Q6K9B8	Ensembl:ONIVA02G26600
Q6K9C5	Ensembl:ONIVA02G26540
Q6K9M5	Ensembl:ONIVA02G37630
Q6K9N6	Ensembl:ONIVA09G12630
Q6K9X3	Ensembl:ONIVA02G40620
Q6KAJ2	Ensembl:ONIVA02G38030
Q6L4G2	Ensembl:ONIVA05G26160
Q6L4H5	Ensembl:ONIVA05G25990
Q6L4L4	Ensembl:ONIVA10G12200
Q6L4R0	Ensembl:ONIVA05G07190
Q6L4R7	Ensembl:ONIVA05G29850
Q6L506	Ensembl:ONIVA05G20150
Q6L545	Ensembl:ONIVA05G16740
Q6L8G1	Ensembl:ONIVA03G29840
Q6MWK9	Ensembl:ONIVA04G03680
Q6Q9I2	Ensembl:ONIVA01G47560
Q6QHD1	Ensembl:ONIVA02G07170
Q6VMN7	Ensembl:ONIVA03G06610
Q6YPF1	Ensembl:ONIVA08G01430
Q6YPG5	Ensembl:ONIVA02G00420
Q6YS33	Ensembl:ONIVA12G09540
Q6YS36	Ensembl:ONIVA12G09530
Q6YSA1	Ensembl:ONIVA08G19430
Q6YSF8	Ensembl:ONIVA07G00690 Ensembl:ONIVA01G29350
Q6YT73	Ensembl:ONIVA07G01370
Q6YTI6	Ensembl:ONIVA02G23180
Q6YTT3	Ensembl:ONIVA03G21220
Q6YU51	Ensembl:ONIVA07G04700
Q6YU90	Ensembl:ONIVA02G00170
Q6YUI8	Ensembl:ONIVA08G11770
Q6YUS0	Ensembl:ONIVA02G01470
Q6YUS3	Ensembl:ONIVA02G01430
Q6YUU2	Ensembl:ONIVA02G08480
Q6YV04	Ensembl:ONIVA02G09870
Q6YV23	Ensembl:ONIVA02G32390
Q6YVI0	Ensembl:ONIVA02G32180
Q6YVT1	Ensembl:ONIVA08G22530
Q6YVY0	Ensembl:ONIVA02G22590
Q6YVY6	Ensembl:ONIVA07G20010
Q6YWE1	Ensembl:ONIVA07G05410
Q6YWS8	Ensembl:ONIVA02G34200
Q6YWY7	Ensembl:ONIVA06G04620
Q6YXC2	Ensembl:ONIVA02G23630
Q6YXI1	Ensembl:ONIVA09G13730
Q6YXW6	Ensembl:ONIVA02G03410
Q6YYB9	Ensembl:ONIVA08G02440
Q6YYY7	Ensembl:ONIVA08G26750
Q6YYZ2	Ensembl:ONIVA08G02740
Q6YZ18	Ensembl:ONIVA09G11790
Q6YZE2	Ensembl:ONIVA08G24580
Q6YZH8	Ensembl:ONIVA08G26620
Q6YZX7	Ensembl:ONIVA08G05220
Q6Z0T7	Ensembl:ONIVA08G26330
Q6Z156	Ensembl:ONIVA07G10340
Q6Z1Z3	Ensembl:ONIVA08G00050
Q6Z2L5	Ensembl:ONIVA02G02120
Q6Z2T6	Ensembl:ONIVA06G04710
Q6Z2T9	Ensembl:ONIVA06G04740
Q6Z312	Ensembl:ONIVA02G33490
Q6Z368	Ensembl:ONIVA01G30210
Q6Z398	Ensembl:ONIVA07G05300
Q6Z3F1	Ensembl:ONIVA08G26190
Q6Z3F9	Ensembl:ONIVA08G26140
Q6Z3X5	Ensembl:ONIVA07G27250
Q6Z3Y3	Ensembl:ONIVA07G27190
Q6Z414	Ensembl:ONIVA06G20400
Q6Z433	Ensembl:ONIVA02G03810
Q6Z4E7	Ensembl:ONIVA07G04570
Q6Z4F3	Ensembl:ONIVA07G04520
Q6Z4I1	Ensembl:ONIVA07G04770
Q6Z4U1	Ensembl:ONIVA08G04430
Q6Z5B5	Ensembl:ONIVA07G16000
Q6Z5M0	Ensembl:ONIVA02G33800
Q6Z5M3	Ensembl:ONIVA02G33780
Q6Z684	Ensembl:ONIVA02G35170
Q6Z6F0	Ensembl:ONIVA02G09420
Q6Z6K9	Ensembl:ONIVA11G03170
Q6Z6L1	Ensembl:ONIVA11G03160
Q6Z6S7	Ensembl:ONIVA02G15080
Q6Z702	Ensembl:ONIVA02G01860
Q6Z744	Ensembl:ONIVA01G37780
Q6Z795	Ensembl:ONIVA02G09210
Q6Z7F5	Ensembl:ONIVA02G22960
Q6Z7I3	Ensembl:ONIVA02G16130
Q6Z836	Ensembl:ONIVA02G02660
Q6Z8S2	Ensembl:ONIVA08G17800
Q6Z8Z7	Ensembl:ONIVA02G00730
Q6Z965	Ensembl:ONIVA08G18960
Q6Z9A3	Ensembl:ONIVA08G07520
Q6Z9E6	Ensembl:ONIVA08G17760
Q6ZA22	Ensembl:ONIVA08G13920
Q6ZAC1	Ensembl:ONIVA08G18110
Q6ZAH2	Ensembl:ONIVA09G08130
Q6ZAK7	Ensembl:ONIVA08G15230
Q6ZB59	Ensembl:ONIVA04G29040
Q6ZB94	Ensembl:ONIVA08G20270
Q6ZBH5	Ensembl:ONIVA08G25470
Q6ZC33	Ensembl:ONIVA08G19500
Q6ZCF0	Ensembl:ONIVA08G06070
Q6ZD10	Ensembl:ONIVA08G12140
Q6ZD89	Ensembl:ONIVA08G03390
Q6ZDJ7	Ensembl:ONIVA08G13450
Q6ZDQ1	Ensembl:ONIVA07G05150
Q6ZDY8	Ensembl:ONIVA03G11930
Q6ZEZ2	Ensembl:ONIVA07G03640
Q6ZFI6	Ensembl:ONIVA08G21870
Q6ZFT5	Ensembl:ONIVA02G32860
Q6ZG77	Ensembl:ONIVA03G29930
Q6ZG91	Ensembl:ONIVA02G02390
Q6ZGS9	Ensembl:ONIVA02G16560
Q6ZGW6	Ensembl:ONIVA02G33000
Q6ZHA3	Ensembl:ONIVA02G01450
Q6ZHB2	Ensembl:ONIVA02G16290
Q6ZHH4	Ensembl:ONIVA02G36140
Q6ZHH7	Ensembl:ONIVA02G36130
Q6ZHJ6	Ensembl:ONIVA02G31980
Q6ZHS4	Ensembl:ONIVA02G08220
Q6ZHZ1	Ensembl:ONIVA08G10610
Q6ZI39	Ensembl:ONIVA02G22270
Q6ZI55	Ensembl:ONIVA02G25370
Q6ZIA3	Ensembl:ONIVA08G24440
Q6ZIK0	Ensembl:ONIVA02G31940
Q6ZIX2	Ensembl:ONIVA06G06520
Q6ZJ97	Ensembl:ONIVA08G06120
Q6ZJK7	Ensembl:ONIVA09G11770
Q6ZJM9	Ensembl:ONIVA08G00360
Q6ZJU3	Ensembl:ONIVA08G16500
Q6ZK11	Ensembl:ONIVA08G21730
Q6ZKC0	Ensembl:ONIVA08G16620
Q6ZKV8	Ensembl:ONIVA08G08250
Q6ZL61	Ensembl:ONIVA07G04010
Q6ZL94	Ensembl:ONIVA07G18240
Q6ZLD3	Ensembl:ONIVA07G03790
Q6ZLJ9	Ensembl:ONIVA06G06320
Q75GK0	Ensembl:ONIVA03G27960
Q75H77	Ensembl:ONIVA11G15240
Q75HA6	Ensembl:ONIVA03G29830
Q75HB1	Ensembl:ONIVA03G29860
Q75HP7	Ensembl:ONIVA05G18300
Q75HQ7	Ensembl:ONIVA05G18200
Q75HZ9	Ensembl:ONIVA12G14090
Q75II5	Ensembl:ONIVA05G23800
Q75KD7	Ensembl:ONIVA03G24210
Q75KT7	Ensembl:ONIVA05G24680
Q75L84	Ensembl:ONIVA05G01860
Q75LL5	Ensembl:ONIVA03G35830
Q75LR2	Ensembl:ONIVA03G21670
Q75M18	Ensembl:ONIVA05G00330
Q75V57	Ensembl:ONIVA12G16010
Q75W16	Ensembl:ONIVA07G22070
Q764B9	Ensembl:ONIVA03G33560
Q7EXZ2	Ensembl:ONIVA08G22610
Q7EYE4	Ensembl:ONIVA08G03720
Q7EZD3	Ensembl:ONIVA08G03440
Q7EZW6	Ensembl:ONIVA04G29160
Q7EZZ0	Ensembl:ONIVA07G24890
Q7F0B2	Ensembl:ONIVA07G06930
Q7F0Q2	Ensembl:ONIVA07G13410
Q7F190	Ensembl:ONIVA07G13630
Q7F2P0	Ensembl:ONIVA08G15870
Q7F8K7	Ensembl:ONIVA03G02020
Q7F8U7	Ensembl:ONIVA08G21240
Q7FAE1	Ensembl:ONIVA06G12080
Q7FAH2	Ensembl:ONIVA04G14750
Q7FAS1	Ensembl:ONIVA04G24820
Q7G065	Ensembl:ONIVA01G26690
Q7G2F7	Ensembl:ONIVA10G16470
Q7G2H3	Ensembl:ONIVA10G16200
Q7G4P2	Ensembl:ONIVA04G28480
Q7G602	Ensembl:ONIVA02G14400
Q7G6M2	Ensembl:ONIVA10G07900
Q7G7J6	Ensembl:ONIVA03G32670
Q7X634	Ensembl:ONIVA04G17110
Q7X720	Ensembl:ONIVA04G17220
Q7X742	Ensembl:ONIVA04G25390
Q7X7H3	Ensembl:ONIVA04G15090
Q7X7H9	Ensembl:ONIVA04G25310
Q7X7N2	Ensembl:ONIVA04G00290
Q7X7X0	Ensembl:ONIVA07G21800
Q7X7X4	Ensembl:ONIVA08G01960
Q7X8A1	Ensembl:ONIVA04G13000
Q7X8R0	Ensembl:ONIVA04G23100
Q7X8V3	Ensembl:ONIVA06G31320
Q7X993	Ensembl:ONIVA07G26680
Q7XAP2	Ensembl:ONIVA06G20340
Q7XBY6	Ensembl:ONIVA10G21910
Q7XC20	Ensembl:ONIVA10G21370
Q7XDE0	Ensembl:ONIVA10G14460
Q7XE48	Ensembl:ONIVA10G10320
Q7XEH2	Ensembl:ONIVA10G09800
Q7XEZ1	Ensembl:ONIVA10G08330
Q7XEZ6	Ensembl:ONIVA10G08300
Q7XH05	Ensembl:ONIVA10G01660
Q7XHL3	Ensembl:ONIVA07G10100
Q7XHZ2	Ensembl:ONIVA07G10610
Q7XI34	Ensembl:ONIVA07G07090
Q7XI67	Ensembl:ONIVA07G26950
Q7XI96	Ensembl:ONIVA07G18390
Q7XK23	Ensembl:ONIVA04G14270
Q7XKQ8	Ensembl:ONIVA04G08450
Q7XM21	Ensembl:ONIVA04G27000
Q7XMP7	Ensembl:ONIVA04G26050
Q7XN11	Ensembl:ONIVA04G24280
Q7XN54	Ensembl:ONIVA04G18610
Q7XNX6	Ensembl:ONIVA04G03500
Q7XNY3	Ensembl:ONIVA04G23530
Q7XPB5	Ensembl:ONIVA04G21050
Q7XPR2	Ensembl:ONIVA04G24830
Q7XPR5	Ensembl:ONIVA04G19960
Q7XPW5	Ensembl:ONIVA04G28900
Q7XQ85	Ensembl:ONIVA04G21260
Q7XR02	Ensembl:ONIVA04G26810
Q7XR52	Ensembl:ONIVA04G27560
Q7XR61	Ensembl:ONIVA04G27510
Q7XRA1	Ensembl:ONIVA04G00330
Q7XRT0	Ensembl:ONIVA04G03340
Q7XRX3	Ensembl:ONIVA04G20610
Q7XSS9	Ensembl:ONIVA04G29840
Q7XTB2	Ensembl:ONIVA04G00090
Q7XTE8	Ensembl:ONIVA04G13220
Q7XTH0	Ensembl:ONIVA04G05900
Q7XTU2	Ensembl:ONIVA04G24580
Q7XTX7	Ensembl:ONIVA04G21040
Q7XU28	Ensembl:ONIVA04G19110
Q7XU29	Ensembl:ONIVA04G19120
Q7XUA8	Ensembl:ONIVA04G17300
Q7XUH5	Ensembl:ONIVA04G21180
Q7XUI7	Ensembl:ONIVA04G20460
Q7XUK6	Ensembl:ONIVA04G15750
Q7XUS2	Ensembl:ONIVA04G13290
Q7XV13	Ensembl:ONIVA04G12340
Q7XV18	Ensembl:ONIVA04G12380
Q7XV42	Ensembl:ONIVA04G12630
Q7XV97	Ensembl:ONIVA04G08810
Q7XVM2	Ensembl:ONIVA04G08730
Q7XVM8	Ensembl:ONIVA04G08790
Q7XVP0	Ensembl:ONIVA04G05350
Q7XWP9	Ensembl:ONIVA04G03940
Q7XX31	Ensembl:ONIVA05G30200
Q7XXL2	Ensembl:ONIVA04G05740
Q7XXQ9	Ensembl:ONIVA03G21740
Q7XYS3	Ensembl:ONIVA03G09600
Q7XZH5	Ensembl:ONIVA03G40040
Q7Y0B9	Ensembl:ONIVA03G36740
Q7Y0C8	Ensembl:ONIVA03G36900
Q7Y0W5	Ensembl:ONIVA10G11720
Q7Y0Y8	Ensembl:ONIVA06G23170
Q7Y152	Ensembl:ONIVA03G41770
Q7Y1H9	Ensembl:ONIVA03G38720
Q7Y1I9	Ensembl:ONIVA03G38750
Q84J55	Ensembl:ONIVA08G20380
Q84JH5	Ensembl:ONIVA03G13130
Q84JI0	Ensembl:ONIVA03G13160
Q84LF7	Ensembl:ONIVA07G17380
Q84LK3	Ensembl:ONIVA08G16260
Q84M43	Ensembl:ONIVA03G39840
Q84MN8	Ensembl:ONIVA03G35060
Q84NP3	Ensembl:ONIVA07G27130
Q84Q89	Ensembl:ONIVA03G12710
Q84QA7	Ensembl:ONIVA03G12870
Q84QC0	Ensembl:ONIVA03G12750
Q84R94	Ensembl:ONIVA03G22720
Q84RS4	Ensembl:ONIVA07G13550
Q84RX6	Ensembl:ONIVA07G19300
Q84T92	Ensembl:ONIVA03G40660
Q84U04	Ensembl:ONIVA03G10140
Q84VC7	Ensembl:ONIVA05G24550
Q84VK7	Ensembl:ONIVA07G14800
Q84YK8	Ensembl:ONIVA08G22570
Q84ZN6	Ensembl:ONIVA06G06390
Q84ZY2	Ensembl:ONIVA06G02590
Q851Z6	Ensembl:ONIVA03G43150
Q852C2	Ensembl:ONIVA03G41180
Q852M1	Ensembl:ONIVA03G38210
Q852M2	Ensembl:ONIVA03G38190
Q852P4	Ensembl:ONIVA02G26970
Q852Q1	Ensembl:ONIVA03G21210
Q8GRS2	Ensembl:ONIVA03G05930
Q8GRU7	Ensembl:ONIVA07G23560
Q8GSD9	Ensembl:ONIVA03G03720
Q8GSI0	Ensembl:ONIVA03G05920
Q8GT01	Ensembl:ONIVA01G49830
Q8GVJ4	Ensembl:ONIVA07G09610
Q8GVN6	Ensembl:ONIVA07G12230
Q8GVZ0	Ensembl:ONIVA07G16110
Q8GZY1	Ensembl:ONIVA03G01130
Q8H016	Ensembl:ONIVA03G05820
Q8H038	Ensembl:ONIVA03G03230
Q8H048	Ensembl:ONIVA09G11600
Q8H051	Ensembl:ONIVA09G11570
Q8H075	Ensembl:ONIVA03G03670
Q8H093	Ensembl:ONIVA12G00730
Q8H0A1	Ensembl:ONIVA10G18170
Q8H0B2	Ensembl:ONIVA08G01770
Q8H0B6	Ensembl:ONIVA04G24490
Q8H273	Ensembl:ONIVA04G20840
Q8H395	Ensembl:ONIVA07G20640
Q8H3A4	Ensembl:ONIVA07G20560
Q8H3C9	Ensembl:ONIVA07G07960
Q8H3I4	Ensembl:ONIVA07G20730
Q8H3Q7	Ensembl:ONIVA07G25360
Q8H530	Ensembl:ONIVA07G12950
Q8H539	Ensembl:ONIVA07G02470
Q8H6G8	Ensembl:ONIVA10G10790
Q8H7P5	Ensembl:ONIVA02G06450
Q8H7S6	Ensembl:ONIVA06G01170
Q8H7T7	Ensembl:ONIVA03G01020
Q8H825	Ensembl:ONIVA06G00890
Q8H930	Ensembl:ONIVA04G19330
Q8LGW5	Ensembl:ONIVA07G08180
Q8LGZ9	Ensembl:ONIVA07G00050
Q8LHD1	Ensembl:ONIVA01G51240
Q8LI89	Ensembl:ONIVA07G02940
Q8LIG8	Ensembl:ONIVA07G26580
Q8LIY8	Ensembl:ONIVA01G35020
Q8LJJ2	Ensembl:ONIVA01G31330
Q8LM92	Ensembl:ONIVA10G05010
Q8LMW8	Ensembl:ONIVA04G28550
Q8LN68	Ensembl:ONIVA03G32600
Q8LQ34	Ensembl:ONIVA01G42370
Q8LR33	Ensembl:ONIVA01G28740
Q8LR75	Ensembl:ONIVA10G04740
Q8LRA0	Ensembl:ONIVA01G39090
Q8LRJ3	Ensembl:ONIVA01G09020
Q8RV06	Ensembl:ONIVA10G00630
Q8RV34	Ensembl:ONIVA12G12980
Q8RYL1	Ensembl:ONIVA01G48700
Q8RZV7	Ensembl:ONIVA01G46990
Q8RZZ3	Ensembl:ONIVA01G31180
Q8S0G4	Ensembl:ONIVA01G49420
Q8S2E5	Ensembl:ONIVA01G33590
Q8S2G0	Ensembl:ONIVA01G38970
Q8S2G5	Ensembl:ONIVA01G38930
Q8S3R0	Ensembl:ONIVA02G32310
Q8S5M6	Ensembl:ONIVA10G07120
Q8S5N2	Ensembl:ONIVA10G07170
Q8S5T1	Ensembl:ONIVA03G04470
Q8S601	Ensembl:ONIVA10G05350
Q8S7N5	Ensembl:ONIVA10G21780
Q8S7T9	Ensembl:ONIVA03G04820
Q8S919	Ensembl:ONIVA02G12710
Q8S920	Ensembl:ONIVA01G28510
Q8S983	Ensembl:ONIVA04G27140
Q8S985	Ensembl:ONIVA05G27700
Q8S9S4	Ensembl:ONIVA01G22290
Q8S9Z2	Ensembl:ONIVA01G51550
Q8VWH2	Ensembl:ONIVA06G05130
Q8W0B6	Ensembl:ONIVA01G10290
Q8W1L6	Ensembl:ONIVA05G03590
Q8W250	Ensembl:ONIVA01G00460
Q8W3F9	Ensembl:ONIVA12G13480
Q8W3G2	Ensembl:ONIVA12G13500
Q8W3L9	Ensembl:ONIVA07G26490
Q8W3M0	Ensembl:ONIVA03G16680
Q8W5G9	Ensembl:ONIVA03G36650
Q93VC3	Ensembl:ONIVA02G24950
Q93VD5	Ensembl:ONIVA01G07410
Q93WI9	Ensembl:ONIVA06G05140
Q93X08	Ensembl:ONIVA09G20150
Q93XI4	Ensembl:ONIVA02G21300
Q93Y73	Ensembl:ONIVA03G36480
Q941T9	Ensembl:ONIVA01G42070
Q941W8	Ensembl:ONIVA01G40810
Q942X4	Ensembl:ONIVA01G49140
Q943R3	Ensembl:ONIVA01G02440
Q945X3	Ensembl:ONIVA12G05760
Q948T6	Ensembl:ONIVA08G05280
Q94CU3	Ensembl:ONIVA01G43030
Q94E75	Ensembl:ONIVA01G18060
Q94EE9	Ensembl:ONIVA01G36730
Q94GF1	Ensembl:ONIVA03G41330
Q94HG3	Ensembl:ONIVA02G06730
Q94IW5	Ensembl:ONIVA01G07210
Q94J08	Ensembl:ONIVA01G35310
Q94J90	Ensembl:ONIVA01G39310
Q94JA2	Ensembl:ONIVA01G28010
Q94JJ0	Ensembl:ONIVA01G01370
Q94LG1	Ensembl:ONIVA03G22120
Q94LU9	Ensembl:ONIVA10G20050
Q94LV4	Ensembl:ONIVA10G20280
Q9AQU4	Ensembl:ONIVA08G19290
Q9ASD3	Ensembl:ONIVA01G32400
Q9ASK5	Ensembl:ONIVA01G00690
Q9ASP4	Ensembl:ONIVA06G10450
Q9AUQ4	Ensembl:ONIVA03G33050
Q9AUV6	Ensembl:ONIVA03G36290
Q9AV47	Ensembl:ONIVA10G14700
Q9AV71	Ensembl:ONIVA10G12490
Q9AWL7	Ensembl:ONIVA01G06070
Q9AWZ7	Ensembl:ONIVA01G10150
Q9AY73	Ensembl:ONIVA10G12700
Q9FDX8	Ensembl:ONIVA06G12400
Q9FDY4	Ensembl:ONIVA01G06980
Q9FE35	Ensembl:ONIVA01G26380
Q9FRX7	Ensembl:ONIVA06G12190
Q9FTN5	Ensembl:ONIVA01G00410
Q9FTN6	Ensembl:ONIVA01G00400
Q9FTR6	Ensembl:ONIVA01G01980
Q9FTZ2	Ensembl:ONIVA01G00190
Q9FU17	Ensembl:ONIVA01G06880
Q9FU67	Ensembl:ONIVA01G05570
Q9FWC1	Ensembl:ONIVA10G17600
Q9FWK4	Ensembl:ONIVA10G13070
Q9FWQ2	Ensembl:ONIVA10G20560
Q9LD61	Ensembl:ONIVA08G08520
Q9LDB7	Ensembl:ONIVA06G05770
Q9LG86	Ensembl:ONIVA01G06620
Q9LGL5	Ensembl:ONIVA01G04400
Q9LGU6	Ensembl:ONIVA01G14490
Q9LHZ0	Ensembl:ONIVA06G00810
Q9LHZ7	Ensembl:ONIVA06G00750
Q9LIZ8	Ensembl:ONIVA01G13340
Q9LRI6	Ensembl:ONIVA02G34370
Q9LWU9	Ensembl:ONIVA06G01910
Q9LWV3	Ensembl:ONIVA06G01850
Q9S7D3	Ensembl:ONIVA08G01380
Q9SDG5	Ensembl:ONIVA01G13480
Q9SE42	Ensembl:ONIVA09G16750
Q9SMB1	Ensembl:ONIVA07G09490
Q9SNK3	Ensembl:ONIVA03G01950
Q9SNN0	Ensembl:ONIVA06G02270
Q9SNQ6	Ensembl:ONIVA06G03750
Q9XEA6	Ensembl:ONIVA12G18300
Q9XG80	Ensembl:ONIVA02G41260
Q9XHL5	Ensembl:ONIVA08G22870
Q9XJ03	Ensembl:ONIVA01G08220
Q9XJ29	Ensembl:ONIVA03G12770
Q9XJ60	Ensembl:ONIVA03G01420
Q9XJ61	Ensembl:ONIVA01G48250
Q9ZTP5	Ensembl:ONIVA03G04970
UPI00000AA151	Ensembl:ONIVA06G05770
UPI0001C7A9C3	Ensembl:ONIVA03G00750
