A2X747	Ensembl:SORBI_3004G212300
Q67W29	Ensembl:SORBI_3007G171200
Q67W82	Ensembl:SORBI_3010G214900
Q67WK8	Ensembl:SORBI_3010G092200
Q67WR2	Ensembl:SORBI_3010G212200
Q688Q8	Ensembl:SORBI_3009G029700
Q688Q9	Ensembl:SORBI_3009G029600
Q688T8	Ensembl:SORBI_3009G245000
Q688X5	Ensembl:SORBI_3009G234100
Q688Y2	Ensembl:SORBI_3009G231100
Q689G6	Ensembl:SORBI_3002G275100
Q689G9	Ensembl:SORBI_3004G216700
Q69IM7	Ensembl:SORBI_3002G262900
Q69IU0	Ensembl:SORBI_3002G267100
Q69J27	Ensembl:SORBI_3010G054000
Q69JI7	Ensembl:SORBI_3004G253300
Q69K00	Ensembl:SORBI_3002G277100
Q69KM5	Ensembl:SORBI_3010G068001
Q69KW1	Ensembl:SORBI_3002G347300
Q69LG7	Ensembl:SORBI_3002G155100
Q69MC9	Ensembl:SORBI_3002G230100
Q69P51	Ensembl:SORBI_3002G205500
Q69P64	Ensembl:SORBI_3002G204500
Q69P84	Ensembl:SORBI_3002G215700
Q69P94	Ensembl:SORBI_3002G214800
Q69QD7	Ensembl:SORBI_3002G214400
Q69RG7	Ensembl:SORBI_3002G158900
Q69RJ0	Ensembl:SORBI_3002G402700
Q69T90	Ensembl:SORBI_3010G133400
Q69T99	Ensembl:SORBI_3002G160400
Q69TF4	Ensembl:SORBI_3010G074500
Q69TT1	Ensembl:SORBI_3002G155900
Q69TW5	Ensembl:SORBI_3010G081800
Q69U01	Ensembl:SORBI_3010G184400
Q69U93	Ensembl:SORBI_3007G186000
Q69UF5	Ensembl:SORBI_3010G179500
Q69UU3	Ensembl:SORBI_3002G006600
Q69UX2	Ensembl:SORBI_3005G151100
Q69V57	Ensembl:SORBI_3010G188300
Q69XD3	Ensembl:SORBI_3010G179000
Q69XJ0	Ensembl:SORBI_3010G185200
Q69XQ6	Ensembl:SORBI_3010G193600
Q69XS7	Ensembl:SORBI_3003G394600
Q69Y38	Ensembl:SORBI_3010G143400
Q6ASV4	Ensembl:SORBI_3001G111000
Q6ASW7	Ensembl:SORBI_3008G002300
Q6AT26	Ensembl:SORBI_3009G063400
Q6AT32	Ensembl:SORBI_3009G229300
Q6AT33	Ensembl:SORBI_3009G229200
Q6AT41	Ensembl:SORBI_3009G228700
Q6AT43	Ensembl:SORBI_3001G305600
Q6AT75	Ensembl:SORBI_3005G161500 Ensembl:SORBI_3005G109900 Ensembl:SORBI_3002G154900 Ensembl:SORBI_3005G161900 Ensembl:SORBI_3005G109800 Ensembl:SORBI_3005G161700 Ensembl:SORBI_3005G166800 Ensembl:SORBI_3005G162300 Ensembl:SORBI_3005G162000 Ensembl:SORBI_3005G162200
Q6ATR2	Ensembl:SORBI_3002G076700
Q6AUB0	Ensembl:SORBI_3009G137700
Q6AUJ8	Ensembl:SORBI_3009G169000
Q6AUV1	Ensembl:SORBI_3001G325200
Q6AV34	Ensembl:SORBI_3001G166600
Q6AVF5	Ensembl:SORBI_3001G352700
Q6AVG6	Ensembl:SORBI_3001G102500
Q6AVM5	Ensembl:SORBI_3009G178800
Q6AVT2	Ensembl:SORBI_3001G100000
Q6EP31	Ensembl:SORBI_3004G359400
Q6EP59	Ensembl:SORBI_3010G210800 Ensembl:SORBI_3004G191100
Q6EP66	Ensembl:SORBI_3001G007000
Q6EP77	Ensembl:SORBI_3004G283201
Q6EPN6	Ensembl:SORBI_3004G281900
Q6EPR6	Ensembl:SORBI_3002G157300
Q6EPY7	Ensembl:SORBI_3004G166000
Q6EPZ0	Ensembl:SORBI_3002G202800
Q6EPZ2	Ensembl:SORBI_3002G202700
Q6EQW2	Ensembl:SORBI_3004G109000
Q6ERL4	Ensembl:SORBI_3002G174900
Q6ES51	Ensembl:SORBI_3002G196200
Q6ESJ0	Ensembl:SORBI_3004G290100 Ensembl:SORBI_3001G378700
Q6ESZ9	Ensembl:SORBI_3004G170200
Q6ET36	Ensembl:SORBI_3001G248600
Q6ET88	Ensembl:SORBI_3004G287300
Q6ETD3	Ensembl:SORBI_3004G004800
Q6ETN1	Ensembl:SORBI_3004G063100
Q6ETN3	Ensembl:SORBI_3004G062500
Q6ETX4	Ensembl:SORBI_3004G118400
Q6EUNO	Ensembl:SORBI_3004G193700
Q6EUS6	Ensembl:SORBI_3004G104700
Q6F361	Ensembl:SORBI_3003G238500
Q6H3Z3	Ensembl:SORBI_3004G299600 Ensembl:SORBI_3004G299500
Q6H415	Ensembl:SORBI_3002G193400
Q6H4F7	Ensembl:SORBI_3002G185200
Q6H4G3	Ensembl:SORBI_3002G185100
Q6H513	Ensembl:SORBI_3004G058200
Q6H515	Ensembl:SORBI_3004G058000
Q6H543	Ensembl:SORBI_3004G099600
Q6H5U3	Ensembl:SORBI_3006G157100
Q6H5Z4	Ensembl:SORBI_3004G097800
Q6H6C7	Ensembl:SORBI_3004G055200
Q6H6D2	Ensembl:SORBI_3004G054600 Ensembl:SORBI_3004G054500
Q6H6G1	Ensembl:SORBI_3004G295400
Q6H6I1	Ensembl:SORBI_3004G296800
Q6H6P8	Ensembl:SORBI_3004G163700
Q6H703	Ensembl:SORBI_3004G056400
Q6H713	Ensembl:SORBI_3004G055700
Q6H765	Ensembl:SORBI_3004G164000
Q6H7M1	Ensembl:SORBI_3004G080100
Q6H7Q6	Ensembl:SORBI_3004G078600
Q6H819	Ensembl:SORBI_3004G065500
Q6H849	Ensembl:SORBI_3004G225200
Q6H851	Ensembl:SORBI_3004G225000 Ensembl:SORBI_3004G225100
Q6H8F6	Ensembl:SORBI_3004G087100
Q6I581	Ensembl:SORBI_3009G249900
Q6I5C3	Ensembl:SORBI_3009G080200
Q6I628	Ensembl:SORBI_3009G225100
Q6IEQ7	Ensembl:SORBI_3003G341100
Q6IVC3	Ensembl:SORBI_3001G390800
Q6J1A5	Ensembl:SORBI_3007G181500
Q6K1S6	Ensembl:SORBI_3004G219800
Q6K1X7	Ensembl:SORBI_3004G210000
Q6K209	Ensembl:SORBI_3004G131400 Ensembl:SORBI_3004G222300
Q6K2E1	Ensembl:SORBI_3002G170100
Q6K2E8	Ensembl:SORBI_3004G155800
Q6K306	Ensembl:SORBI_3002G160600
Q6K3T2	Ensembl:SORBI_3004G107500
Q6K3Z3	Ensembl:SORBI_3001G348100 Ensembl:SORBI_3008G190100
Q6K4Q5	Ensembl:SORBI_3004G323100
Q6K4V9	Ensembl:SORBI_3004G140300
Q6K4Y7	Ensembl:SORBI_3004G138400
Q6K548	Ensembl:SORBI_3002G180300
Q6K5G8	Ensembl:SORBI_3009G016700 Ensembl:SORBI_3004G205100
Q6K5U4	Ensembl:SORBI_3008G005300
Q6K678	Ensembl:SORBI_3004G328000
Q6K6Q1	Ensembl:SORBI_3004G220400
Q6K7P2	Ensembl:SORBI_3004G354700
Q6K7V6	Ensembl:SORBI_3004G125800
Q6K846	Ensembl:SORBI_3004G336500
Q6K8E2	Ensembl:SORBI_3004G305400
Q6K8E7	Ensembl:SORBI_3001G434900
Q6K8J4	Ensembl:SORBI_3004G207400
Q6K8R6	Ensembl:SORBI_3004G209000
Q6K969	Ensembl:SORBI_3004G357900
Q6K973	Ensembl:SORBI_3004G357600
Q6K985	Ensembl:SORBI_3004G338900
Q6K9B8	Ensembl:SORBI_3004G211900
Q6K9C5	Ensembl:SORBI_3004G211200
Q6K9M5	Ensembl:SORBI_3004G326900
Q6K9N6	Ensembl:SORBI_3004G218600
Q6K9X3	Ensembl:SORBI_3004G351400
Q6KAJ2	Ensembl:SORBI_3004G331700
Q6L4G2	Ensembl:SORBI_3009G223100
Q6L4H5	Ensembl:SORBI_3009G220000
Q6L4L4	Ensembl:SORBI_3009G026500
Q6L4R0	Ensembl:SORBI_3009G074300
Q6L4R7	Ensembl:SORBI_3009G255900
Q6L506	Ensembl:SORBI_3009G164300
Q6L540	Ensembl:SORBI_3009G192600
Q6L545	Ensembl:SORBI_3009G134600
Q6L8G1	Ensembl:SORBI_3001G142900 Ensembl:SORBI_3001G156800
Q6MWK9	Ensembl:SORBI_3001G502300
Q6Q9I2	Ensembl:SORBI_3002G010100
Q6VMN7	Ensembl:SORBI_3001G471100
Q6YPG5	Ensembl:SORBI_3004G003900
Q6YS33	Ensembl:SORBI_3002G111800
Q6YS36	Ensembl:SORBI_3010G244900
Q6YSA1	Ensembl:SORBI_3007G153300
Q6YSF8	Ensembl:SORBI_3002G023200 Ensembl:SORBI_3002G023300
Q6YT73	Ensembl:SORBI_3002G036000
Q6YTI6	Ensembl:SORBI_3004G185900
Q6YTT3	Ensembl:SORBI_3007G225700
Q6YU51	Ensembl:SORBI_3002G064700 Ensembl:SORBI_3002G064500
Q6YU90	Ensembl:SORBI_3004G001300
Q6YUI8	Ensembl:SORBI_3008G054100 Ensembl:SORBI_3002G019200 Ensembl:SORBI_3002G019100 Ensembl:SORBI_3002G019000
Q6YUS0	Ensembl:SORBI_3004G018100
Q6YUS3	Ensembl:SORBI_3004G017500
Q6YUU2	Ensembl:SORBI_3004G074000
Q6YV04	Ensembl:SORBI_3004G091200
Q6YV23	Ensembl:SORBI_3004G265900
Q6YVI0	Ensembl:SORBI_3004G268100
Q6YVT1	Ensembl:SORBI_3007G210700
Q6YVY0	Ensembl:SORBI_3004G178500
Q6YVY6	Ensembl:SORBI_3002G367100
Q6YWE1	Ensembl:SORBI_3002G076700
Q6YWS8	Ensembl:SORBI_3004G252400
Q6YWY7	Ensembl:SORBI_3004G237600
Q6YXC2	Ensembl:SORBI_3004G188400
Q6YXI1	Ensembl:SORBI_3002G230600
Q6YXW6	Ensembl:SORBI_3004G151800
Q6YYB9	Ensembl:SORBI_3007G032000
Q6YYY7	Ensembl:SORBI_3007G166900
Q6YYZ2	Ensembl:SORBI_3001G282800
Q6YZ18	Ensembl:SORBI_3007G035300 Ensembl:SORBI_3007G035000 Ensembl:SORBI_3007G035500
Q6YZ76	Ensembl:SORBI_3007G154800
Q6YZE2	Ensembl:SORBI_3009G180800
Q6YZH8	Ensembl:SORBI_3007G167800
Q6YZX7	Ensembl:SORBI_3004G210900
Q6Z0T7	Ensembl:SORBI_3007G172600
Q6Z156	Ensembl:SORBI_3002G121600
Q6Z1Z3	Ensembl:SORBI_3007G000400
Q6Z2L5	Ensembl:SORBI_3004G025800
Q6Z2T6	Ensembl:SORBI_3004G238500
Q6Z2T9	Ensembl:SORBI_3004G238700
Q6Z312	Ensembl:SORBI_3004G309600
Q6Z3A4	Ensembl:SORBI_3009G029700
Q6Z3F1	Ensembl:SORBI_3007G173200
Q6Z3F9	Ensembl:SORBI_3007G173800
Q6Z414	Ensembl:SORBI_3002G337800
Q6Z434	Ensembl:SORBI_3004G040600
Q6Z4E7	Ensembl:SORBI_3002G062100
Q6Z4F3	Ensembl:SORBI_3002G060900
Q6Z4I1	Ensembl:SORBI_3003G119900
Q6Z4U1	Ensembl:SORBI_3003G357900 Ensembl:SORBI_3003G373200 Ensembl:SORBI_3003G278900
Q6Z5B5	Ensembl:SORBI_3004G329600 Ensembl:SORBI_3010G226300 Ensembl:SORBI_3004G318800 Ensembl:SORBI_3004G330200 Ensembl:SORBI_3004G215400
Q6Z5M3	Ensembl:SORBI_3004G256400
Q6Z684	Ensembl:SORBI_3004G229800
Q6Z6K9	Ensembl:SORBI_3004G093200
Q6Z6L1	Ensembl:SORBI_3004G093200
Q6Z6S7	Ensembl:SORBI_3004G067500
Q6Z702	Ensembl:SORBI_3004G023900
Q6Z744	Ensembl:SORBI_3004G246200
Q6Z795	Ensembl:SORBI_3004G083300
Q6Z7F5	Ensembl:SORBI_3004G182800
Q6Z7I3	Ensembl:SORBI_3004G007600
Q6Z7Q3	Ensembl:SORBI_3004G308500
Q6Z836	Ensembl:SORBI_3004G032400
Q6Z8F4	Ensembl:SORBI_3004G272100
Q6Z8S2	Ensembl:SORBI_3003G357900 Ensembl:SORBI_3003G373200 Ensembl:SORBI_3003G278900
Q6Z8Z7	Ensembl:SORBI_3004G007500
Q6Z965	Ensembl:SORBI_3007G151100
Q6Z9A3	Ensembl:SORBI_3003G355200
Q6Z9E6	Ensembl:SORBI_3007G141500
Q6ZA22	Ensembl:SORBI_3007G118301
Q6ZAC1	Ensembl:SORBI_3007G145600
Q6ZAH2	Ensembl:SORBI_3004G355300
Q6ZAK7	Ensembl:SORBI_3007G124301
Q6ZB59	Ensembl:SORBI_3007G114000
Q6ZBE1	Ensembl:SORBI_3007G135000
Q6ZBH5	Ensembl:SORBI_3007G182000
Q6ZC33	Ensembl:SORBI_3007G153900
Q6ZCF0	Ensembl:SORBI_3007G074500
Q6ZD89	Ensembl:SORBI_3007G047300
Q6ZDJ7	Ensembl:SORBI_3007G114500
Q6ZDQ1	Ensembl:SORBI_3003G017400
Q6ZDY8	Ensembl:SORBI_3002G028700 Ensembl:SORBI_3001G072000
Q6ZEZ2	Ensembl:SORBI_3002G051100
Q6ZFI6	Ensembl:SORBI_3007G213700
Q6ZFT5	Ensembl:SORBI_3004G261500
Q6ZG77	Ensembl:SORBI_3008G038600
Q6ZG91	Ensembl:SORBI_3004G030100
Q6ZGS9	Ensembl:SORBI_3004G275600
Q6ZGW6	Ensembl:SORBI_3004G260600 Ensembl:SORBI_3004G260800
Q6ZH92	Ensembl:SORBI_3006G013000 Ensembl:SORBI_3001G206700
Q6ZHA3	Ensembl:SORBI_3004G017900
Q6ZHB2	Ensembl:SORBI_3004G278000
Q6ZHH4	Ensembl:SORBI_3004G312600
Q6ZHH7	Ensembl:SORBI_3004G312500
Q6ZHJ6	Ensembl:SORBI_3004G337066 Ensembl:SORBI_3004G269700
Q6ZHS4	Ensembl:SORBI_3004G071000
Q6ZHZ1	Ensembl:SORBI_3009G233200
Q6ZI39	Ensembl:SORBI_3002G320500
Q6ZI55	Ensembl:SORBI_3004G202100
Q6ZIA3	Ensembl:SORBI_3007G194700
Q6ZIK0	Ensembl:SORBI_3004G269800 Ensembl:SORBI_3005G190800 Ensembl:SORBI_3008G022000
Q6ZIX2	Ensembl:SORBI_3002G073700 Ensembl:SORBI_3009G244900
Q6ZJ97	Ensembl:SORBI_3007G075500
Q6ZJK7	Ensembl:SORBI_3007G035300 Ensembl:SORBI_3007G035000 Ensembl:SORBI_3007G035500
Q6ZJM9	Ensembl:SORBI_3007G004200
Q6ZJU3	Ensembl:SORBI_3007G132700
Q6ZK11	Ensembl:SORBI_3006G083100
Q6ZKC0	Ensembl:SORBI_3007G134000 Ensembl:SORBI_3007G186800
Q6ZKV8	Ensembl:SORBI_3001G465700
Q6ZL61	Ensembl:SORBI_3002G054700
Q6ZL94	Ensembl:SORBI_3002G352200
Q6ZLJ9	Ensembl:SORBI_3002G075800
Q75GB1	Ensembl:SORBI_3009G085100
Q75GK0	Ensembl:SORBI_3001G161601
Q75H77	Ensembl:SORBI_3001G168400
Q75HA6	Ensembl:SORBI_3001G143000
Q75HZ9	Ensembl:SORBI_3009G246400
Q75I93	Ensembl:SORBI_3001G123300
Q75II5	Ensembl:SORBI_3009G199001
Q75KD7	Ensembl:SORBI_3001G329800
Q75KT7	Ensembl:SORBI_3009G211000
Q75L84	Ensembl:SORBI_3009G026101
Q75LC7	Ensembl:SORBI_3001G015800
Q75LL5	Ensembl:SORBI_3001G088200
Q75LR2	Ensembl:SORBI_3001G351000
Q75M18	Ensembl:SORBI_3009G003000
Q75V57	Ensembl:SORBI_3008G147000
Q75W16	Ensembl:SORBI_3002G379600
Q764B9	Ensembl:SORBI_3001G112700
Q7EYE4	Ensembl:SORBI_3007G051200
Q7EZD3	Ensembl:SORBI_3007G047700
Q7EZW6	Ensembl:SORBI_3007G100800
Q7EZZ0	Ensembl:SORBI_3002G405400
Q7F0B2	Ensembl:SORBI_3002G085100
Q7F0Q2	Ensembl:SORBI_3006G186800
Q7F190	Ensembl:SORBI_3002G309400
Q7F1X5	Ensembl:SORBI_3003G391600
Q7F8K7	Ensembl:SORBI_3001G518700
Q7F8U7	Ensembl:SORBI_3007G219300
Q7FAS1	Ensembl:SORBI_3006G220500
Q7G065	Ensembl:SORBI_3003G230500
Q7G2F7	Ensembl:SORBI_3001G205200
Q7G2H3	Ensembl:SORBI_3001G166600
Q7G4P2	Ensembl:SORBI_3001G434900
Q7G602	Ensembl:SORBI_3004G200900 Ensembl:SORBI_3004G200800 Ensembl:SORBI_3004G200833 Ensembl:SORBI_3004G201100
Q7G6M2	Ensembl:SORBI_3003G309700
Q7G7J6	Ensembl:SORBI_3001G120900
Q7X634	Ensembl:SORBI_3006G147700 Ensembl:SORBI_3006G147600
Q7X720	Ensembl:SORBI_3006G148800
Q7X742	Ensembl:SORBI_3006G236600
Q7X7H3	Ensembl:SORBI_3006G130300
Q7X7N2	Ensembl:SORBI_3006G004500
Q7X7X0	Ensembl:SORBI_3003G146800 Ensembl:SORBI_3002G376200
Q7X8A1	Ensembl:SORBI_3006G105900
Q7X8R0	Ensembl:SORBI_3004G270900
Q7X8V3	Ensembl:SORBI_3006G148900
Q7X993	Ensembl:SORBI_3002G424000
Q7XAP2	Ensembl:SORBI_3010G153900
Q7XBY6	Ensembl:SORBI_3001G289100
Q7XC20	Ensembl:SORBI_3001G293600
Q7XCK3	Ensembl:SORBI_3001G310500
Q7XDE0	Ensembl:SORBI_3001G220300
Q7XE48	Ensembl:SORBI_3001G239500
Q7XEZ6	Ensembl:SORBI_3001G259700 Ensembl:SORBI_3001G259900
Q7XH05	Ensembl:SORBI_3001G062300 Ensembl:SORBI_3001G062500 Ensembl:SORBI_3001G062600
Q7XHL3	Ensembl:SORBI_3002G120700
Q7XHZ2	Ensembl:SORBI_3002G125800
Q7XI34	Ensembl:SORBI_3002G085800
Q7XI35	Ensembl:SORBI_3002G085300
Q7XI67	Ensembl:SORBI_3002G427800 Ensembl:SORBI_3002G034100
Q7XI92	Ensembl:SORBI_3002G353300
Q7XI96	Ensembl:SORBI_3002G353200
Q7XK23	Ensembl:SORBI_3006G120900
Q7XKH9	Ensembl:SORBI_3009G176600
Q7XKI0	Ensembl:SORBI_3010G113100 Ensembl:SORBI_3009G176600
Q7XM21	Ensembl:SORBI_3006G253900 Ensembl:SORBI_3006G254000
Q7XMP7	Ensembl:SORBI_3006G243200
Q7XN54	Ensembl:SORBI_3006G164300
Q7XNX6	Ensembl:SORBI_3010G276700
Q7XNY3	Ensembl:SORBI_3006G206000
Q7XPB5	Ensembl:SORBI_3010G216300 Ensembl:SORBI_3006G186600
Q7XPR2	Ensembl:SORBI_3006G220800
Q7XPR5	Ensembl:SORBI_3006G176600
Q7XPW5	Ensembl:SORBI_3006G271500 Ensembl:SORBI_3006G008200
Q7XQ85	Ensembl:SORBI_3006G187900
Q7XR02	Ensembl:SORBI_3006G250500
Q7XR52	Ensembl:SORBI_3006G260700
Q7XR60	Ensembl:SORBI_3006G259700 Ensembl:SORBI_3006G259600
Q7XR61	Ensembl:SORBI_3006G259700 Ensembl:SORBI_3006G259600
Q7XRT0	Ensembl:SORBI_3003G359100
Q7XRX3	Ensembl:SORBI_3006G182800
Q7XSS9	Ensembl:SORBI_3006G278900
Q7XTB2	Ensembl:SORBI_3006G002600
Q7XTE8	Ensembl:SORBI_3006G108400
Q7XTH0	Ensembl:SORBI_3010G113100 Ensembl:SORBI_3009G176600
Q7XTK3	Ensembl:SORBI_3002G378000
Q7XTU2	Ensembl:SORBI_3006G218600 Ensembl:SORBI_3006G218400
Q7XTX7	Ensembl:SORBI_3006G186500
Q7XU28	Ensembl:SORBI_3006G170200
Q7XU29	Ensembl:SORBI_3006G170300
Q7XUA8	Ensembl:SORBI_3006G150600
Q7XUH5	Ensembl:SORBI_3006G186800
Q7XUI7	Ensembl:SORBI_3006G180900
Q7XUK6	Ensembl:SORBI_3006G244700
Q7XUS2	Ensembl:SORBI_3006G109100
Q7XV13	Ensembl:SORBI_3006G095600
Q7XV18	Ensembl:SORBI_3006G096500
Q7XV42	Ensembl:SORBI_3006G101200 Ensembl:SORBI_3006G100900
Q7XV97	Ensembl:SORBI_3006G056400
Q7XVM2	Ensembl:SORBI_3001G465400
Q7XVM8	Ensembl:SORBI_3006G056000
Q7XVP0	Ensembl:SORBI_3005G033000
Q7XWP9	Ensembl:SORBI_3006G034300
Q7XX31	Ensembl:SORBI_3005G019100
Q7XX32	Ensembl:SORBI_3005G019100
Q7XXL2	Ensembl:SORBI_3006G079500 Ensembl:SORBI_3003G004900
Q7XXQ9	Ensembl:SORBI_3001G350400
Q7XYS3	Ensembl:SORBI_3001G449700
Q7XZH5	Ensembl:SORBI_3001G042000
Q7Y0B9	Ensembl:SORBI_3001G078800
Q7Y0C8	Ensembl:SORBI_3001G077400
Q7Y0W5	Ensembl:SORBI_3001G227900
Q7Y0Y6	Ensembl:SORBI_3004G091200
Q7Y0Y8	Ensembl:SORBI_3010G176300
Q7Y152	Ensembl:SORBI_3001G026000
Q7Y1H9	Ensembl:SORBI_3001G056601
Q7Y1I9	Ensembl:SORBI_3001G056500 Ensembl:SORBI_3001G056400
Q7Y1J1	Ensembl:SORBI_3001G056500 Ensembl:SORBI_3001G056400
Q84J55	Ensembl:SORBI_3007G226100
Q84JH5	Ensembl:SORBI_3001G424500
Q84JI0	Ensembl:SORBI_3001G424400
Q84LK3	Ensembl:SORBI_3007G130800
Q84M43	Ensembl:SORBI_3001G045700
Q84MN8	Ensembl:SORBI_3001G094300
Q84NP3	Ensembl:SORBI_3002G430100
Q84Q89	Ensembl:SORBI_3001G428300
Q84QA7	Ensembl:SORBI_3001G426900
Q84QC0	Ensembl:SORBI_3001G427900
Q84R94	Ensembl:SORBI_3001G343900
Q84RS4	Ensembl:SORBI_3002G309800
Q84RX6	Ensembl:SORBI_3002G361300
Q84T92	Ensembl:SORBI_3001G035600
Q84U04	Ensembl:SORBI_3001G443800
Q84VC7	Ensembl:SORBI_3009G209300
Q84YK8	Ensembl:SORBI_3007G210400
Q84ZN6	Ensembl:SORBI_3002G075500
Q84ZY2	Ensembl:SORBI_3009G062800 Ensembl:SORBI_3010G023700
Q851L5	Ensembl:SORBI_3001G022000 Ensembl:SORBI_3001G021900
Q851Z6	Ensembl:SORBI_3001G011700
Q852C2	Ensembl:SORBI_3001G030600 Ensembl:SORBI_3001G030500 Ensembl:SORBI_3010G249800 Ensembl:SORBI_3001G030900
Q852M1	Ensembl:SORBI_3001G062300 Ensembl:SORBI_3001G062500 Ensembl:SORBI_3001G062600
Q852M2	Ensembl:SORBI_3001G062300 Ensembl:SORBI_3001G062500 Ensembl:SORBI_3001G062600
Q852P4	Ensembl:SORBI_3010G138000
Q852Q1	Ensembl:SORBI_3001G408200
Q8GRS2	Ensembl:SORBI_3001G482700
Q8GRU7	Ensembl:SORBI_3002G392700
Q8GSD9	Ensembl:SORBI_3001G502000
Q8GSI0	Ensembl:SORBI_3001G482800
Q8GT01	Ensembl:SORBI_3003G424300
Q8GTK1	Ensembl:SORBI_3007G154800
Q8GVJ4	Ensembl:SORBI_3002G045000
Q8GVN6	Ensembl:SORBI_3002G325300
Q8GVZ0	Ensembl:SORBI_3002G330500
Q8H016	Ensembl:SORBI_3001G483400
Q8H038	Ensembl:SORBI_3001G506300
Q8H048	Ensembl:SORBI_3001G529800
Q8H051	Ensembl:SORBI_3001G530100
Q8H075	Ensembl:SORBI_3001G502300
Q8H093	Ensembl:SORBI_3001G320200
Q8H0A1	Ensembl:SORBI_3001G320700
Q8H0B2	Ensembl:SORBI_3001G400000
Q8H0B6	Ensembl:SORBI_3006G217300
Q8H273	Ensembl:SORBI_3006G184800
Q8H395	Ensembl:SORBI_3002G374100
Q8H3A4	Ensembl:SORBI_3002G373200 Ensembl:SORBI_3002G373100
Q8H3C8	Ensembl:SORBI_3002G093400
Q8H3C9	Ensembl:SORBI_3002G093500
Q8H3I4	Ensembl:SORBI_3002G374650 Ensembl:SORBI_3002G374700
Q8H3Q7	Ensembl:SORBI_3002G409800
Q8H4L3	Ensembl:SORBI_3007G058900
Q8H530	Ensembl:SORBI_3002G304000
Q8H539	Ensembl:SORBI_3002G041000
Q8H6G8	Ensembl:SORBI_3001G234800
Q8H7S6	Ensembl:SORBI_3001G450800
Q8H7T7	Ensembl:SORBI_3001G540100
Q8H825	Ensembl:SORBI_3001G453100
Q8H8U0	Ensembl:SORBI_3001G412100
Q8H930	Ensembl:SORBI_3002G029800
Q8LGW5	Ensembl:SORBI_3002G098900
Q8LGZ9	Ensembl:SORBI_3002G003100
Q8LHD1	Ensembl:SORBI_3001G322700
Q8LI89	Ensembl:SORBI_3002G112700
Q8LIG8	Ensembl:SORBI_3002G425000
Q8LIY8	Ensembl:SORBI_3003G293600
Q8LJJ2	Ensembl:SORBI_3003G265400
Q8LM92	Ensembl:SORBI_3009G162500
Q8LMW8	Ensembl:SORBI_3001G333400
Q8LN68	Ensembl:SORBI_3001G121600
Q8LNU2	Ensembl:SORBI_3001G206900
Q8LQ34	Ensembl:SORBI_3003G358400
Q8LR33	Ensembl:SORBI_3004G044200
Q8LR75	Ensembl:SORBI_3003G352300
Q8LRA0	Ensembl:SORBI_3010G055300
Q8RV06	Ensembl:SORBI_3003G437900
Q8RV34	Ensembl:SORBI_3008G101300
Q8RYL0	Ensembl:SORBI_3003G412700
Q8RYL1	Ensembl:SORBI_3003G412700
Q8RZV7	Ensembl:SORBI_3003G402100
Q8RZZ3	Ensembl:SORBI_3003G264200
Q8S0G4	Ensembl:SORBI_3003G420800
Q8S2E5	Ensembl:SORBI_3003G281200
Q8S2G0	Ensembl:SORBI_3003G327200
Q8S2G5	Ensembl:SORBI_3003G326800
Q8S3R0	Ensembl:SORBI_3004G266700
Q8S5M6	Ensembl:SORBI_3001G509500 Ensembl:SORBI_3001G221500
Q8S5N2	Ensembl:SORBI_3001G261416
Q8S5T1	Ensembl:SORBI_3001G495200
Q8S601	Ensembl:SORBI_3002G167100
Q8S7N5	Ensembl:SORBI_3001G290500
Q8S7T9	Ensembl:SORBI_3001G492400
Q8S919	Ensembl:SORBI_3010G149300
Q8S920	Ensembl:SORBI_3003G243600
Q8S983	Ensembl:SORBI_3006G255300
Q8S985	Ensembl:SORBI_3009G231800
Q8S9S4	Ensembl:SORBI_3003G190500
Q8S9Z2	Ensembl:SORBI_3003G442300
Q8VWH2	Ensembl:SORBI_3010G045100
Q8W1L6	Ensembl:SORBI_3004G124200
Q8W250	Ensembl:SORBI_3003G103300
Q8W3F9	Ensembl:SORBI_3001G283400
Q8W3G2	Ensembl:SORBI_3001G283700
Q8W3J0	Ensembl:SORBI_3001G418100
Q8W3L9	Ensembl:SORBI_3002G422300
Q8W3M0	Ensembl:SORBI_3001G387600
Q8W5G9	Ensembl:SORBI_3001G079700
Q93VC3	Ensembl:SORBI_3004G000700
Q93VD5	Ensembl:SORBI_3007G170300 Ensembl:SORBI_3005G105700 Ensembl:SORBI_3005G002500
Q93WI9	Ensembl:SORBI_3010G045100
Q93X08	Ensembl:SORBI_3002G291200
Q93XI4	Ensembl:SORBI_3004G166500
Q93Y73	Ensembl:SORBI_3001G081900
Q941T9	Ensembl:SORBI_3003G355200
Q941W8	Ensembl:SORBI_3003G342000
Q942X4	Ensembl:SORBI_3003G418400
Q943R3	Ensembl:SORBI_3003G083200
Q945X3	Ensembl:SORBI_3008G074400
Q948T6	Ensembl:SORBI_3007G069200 Ensembl:SORBI_3007G069000
Q94CU3	Ensembl:SORBI_3003G366400
Q94E75	Ensembl:SORBI_3004G151800
Q94EE9	Ensembl:SORBI_3003G309700
Q94GF1	Ensembl:SORBI_3001G029300
Q94HG3	Ensembl:SORBI_3001G479800
Q94HG6	Ensembl:SORBI_3001G479500
Q94IW5	Ensembl:SORBI_3003G030600
Q94J08	Ensembl:SORBI_3003G296300
Q94J90	Ensembl:SORBI_3003G329400
Q94JA2	Ensembl:SORBI_3003G238500
