A2XPN8	Ensembl:KN539696.1_FG003
Q6K8R6	Ensembl:KN538893.1_FG039
Q6K969	Ensembl:KN538711.1_FG058
Q6K973	Ensembl:KN538711.1_FG047
Q6K9B8	Ensembl:KN539433.1_FG008
Q6K9M5	Ensembl:KN542176.1_FG002
Q6K9N6	Ensembl:KN538903.1_FG001
Q6KAJ2	Ensembl:KN538834.1_FG052
Q6L4G2	Ensembl:KN538963.1_FG016
Q6L4H5	Ensembl:KN540592.1_FG002
Q6L4L4	Ensembl:KN539825.1_FG005
Q6L4R0	Ensembl:KN540361.1_FG002
Q6L4R7	Ensembl:AMDW01040765.1_FG001
Q6L506	Ensembl:KN539327.1_FG007
Q6L545	Ensembl:KN538753.1_FG055
Q6MWK9	Ensembl:KN542792.1_FG001
Q6Q9I2	Ensembl:KN539027.1_FG005
Q6QHD1	Ensembl:KN541482.1_FG001
Q6VMN7	Ensembl:KN541076.1_FG004
Q6YPG5	Ensembl:KN538967.1_FG002
Q6YS33	Ensembl:KN540300.1_FG001
Q6YS36	Ensembl:KN540300.1_FG002
Q6YSA1	Ensembl:KN538716.1_FG028
Q6YT73	Ensembl:KN538682.1_FG094
Q6YTI6	Ensembl:KN541950.1_FG003
Q6YTT3	Ensembl:KN538692.1_FG038
Q6YU90	Ensembl:KN539724.1_FG007
Q6YUI8	Ensembl:KN538846.1_FG005
Q6YUS0	Ensembl:KN540538.1_FG002
Q6YUS3	Ensembl:KN538684.1_FG020
Q6YUU2	Ensembl:KN539308.1_FG004
Q6YV23	Ensembl:KN538719.1_FG017
Q6YVI0	Ensembl:KN538719.1_FG037
Q6YVT1	Ensembl:KN540204.1_FG005
Q6YVY0	Ensembl:KN538737.1_FG003
Q6YVY6	Ensembl:KN538895.1_FG009
Q6YWS8	Ensembl:KN538841.1_FG021
Q6YXC2	Ensembl:KN539065.1_FG001
Q6YXI1	Ensembl:KN540499.1_FG004
Q6YXW6	Ensembl:KN542967.1_FG002
Q6YYB9	Ensembl:KN538715.1_FG008
Q6YYY7	Ensembl:KN538985.1_FG019
Q6YYZ2	Ensembl:KN538682.1_FG139
Q6YZ18	Ensembl:KN538682.1_FG003
Q6YZE2	Ensembl:KN544917.1_FG001 Ensembl:KN539635.1_FG009
Q6YZH8	Ensembl:KN540345.1_FG011
Q6YZX7	Ensembl:KN541834.1_FG003
Q6Z156	Ensembl:KN540316.1_FG002
Q6Z1Z3	Ensembl:KN539175.1_FG013
Q6Z2L5	Ensembl:KN538736.1_FG049
Q6Z2T6	Ensembl:KN539373.1_FG005
Q6Z398	Ensembl:KN543355.1_FG001 Ensembl:KN538938.1_FG008 Ensembl:AMDW01038702.1_FG001
Q6Z3F1	Ensembl:KN538974.1_FG027
Q6Z3F9	Ensembl:KN538974.1_FG001
Q6Z3X5	Ensembl:KN538721.1_FG060
Q6Z3Y3	Ensembl:KN538721.1_FG061
Q6Z433	Ensembl:KN543694.1_FG001
Q6Z4F3	Ensembl:KN539704.1_FG003
Q6Z4I1	Ensembl:KN539140.1_FG008
Q6Z4U1	Ensembl:KN540219.1_FG004
Q6Z5M3	Ensembl:KN538889.1_FG006
Q6Z684	Ensembl:KN539390.1_FG003
Q6Z6S7	Ensembl:KN540630.1_FG002
Q6Z702	Ensembl:KN539104.1_FG005
Q6Z744	Ensembl:KN540349.1_FG005
Q6Z795	Ensembl:KN538855.1_FG012
Q6Z7F5	Ensembl:KN539572.1_FG006
Q6Z7I3	Ensembl:KN539208.1_FG002
Q6Z836	Ensembl:KN540435.1_FG006
Q6Z8F4	Ensembl:KN538950.1_FG001
Q6Z8S2	Ensembl:KN538705.1_FG053
Q6Z8Z7	Ensembl:KN538684.1_FG145
Q6Z965	Ensembl:KN540225.1_FG004
Q6Z9A3	Ensembl:KN542747.1_FG001
Q6Z9E6	Ensembl:KN538705.1_FG054
Q6ZAC1	Ensembl:KN538705.1_FG009
Q6ZAH2	Ensembl:KN539670.1_FG004
Q6ZB59	Ensembl:KN538947.1_FG014
Q6ZB94	Ensembl:KN538692.1_FG014
Q6ZBH5	Ensembl:KN539427.1_FG010
Q6ZC33	Ensembl:KN538716.1_FG066
Q6ZCF0	Ensembl:KN539024.1_FG007
Q6ZD10	Ensembl:KN538947.1_FG006
Q6ZD89	Ensembl:KN538681.1_FG104
Q6ZDJ7	Ensembl:KN540191.1_FG001
Q6ZDQ1	Ensembl:KN543267.1_FG001
Q6ZDY8	Ensembl:KN539281.1_FG005
Q6ZEZ2	Ensembl:KN538949.1_FG002
Q6ZFI6	Ensembl:KN540530.1_FG004
Q6ZFT5	Ensembl:AMDW01040167.1_FG001
Q6ZG77	Ensembl:KN539840.1_FG003
Q6ZG91	Ensembl:KN538736.1_FG010
Q6ZGW6	Ensembl:KN539295.1_FG002
Q6ZHA3	Ensembl:KN538684.1_FG018
Q6ZHB2	Ensembl:KN539522.1_FG003
Q6ZHH4	Ensembl:KN540626.1_FG002
Q6ZHJ6	Ensembl:KN538719.1_FG074
Q6ZHS4	Ensembl:KN539031.1_FG017
Q6ZHZ1	Ensembl:KN538923.1_FG008
Q6ZI39	Ensembl:KN538917.1_FG010
Q6ZI55	Ensembl:KN540956.1_FG001
Q6ZIA3	Ensembl:KN540298.1_FG007
Q6ZIK0	Ensembl:KN538719.1_FG084
Q6ZIX2	Ensembl:KN538968.1_FG008
Q6ZJ97	Ensembl:KN539024.1_FG001
Q6ZJK7	Ensembl:KN538682.1_FG027
Q6ZJU3	Ensembl:KN539688.1_FG001
Q6ZKC0	Ensembl:KN539040.1_FG002
Q6ZKV8	Ensembl:KN540942.1_FG003
Q6ZL61	Ensembl:KN539640.1_FG003
Q6ZL94	Ensembl:KN538693.1_FG051
Q6ZLD3	Ensembl:KN538949.1_FG011
Q6ZLJ9	Ensembl:KN539605.1_FG004
Q75GK0	Ensembl:KN538704.1_FG012
Q75HA6	Ensembl:KN538878.1_FG039
Q75HB1	Ensembl:KN538878.1_FG003
Q75HP7	Ensembl:KN540728.1_FG004
Q75HZ9	Ensembl:KN541872.1_FG001
Q75I93	Ensembl:KN539133.1_FG007
Q75II5	Ensembl:KN538849.1_FG033
Q75KD7	Ensembl:KN539780.1_FG004
Q75KT7	Ensembl:KN539424.1_FG002
Q75L84	Ensembl:KN540229.1_FG002
Q75LC7	Ensembl:KN539881.1_FG001
Q75LR2	Ensembl:KN540137.1_FG004
Q75M18	Ensembl:KN541084.1_FG003
Q75V57	Ensembl:KN539994.1_FG004
Q75W16	Ensembl:KN539480.1_FG014
Q764B9	Ensembl:KN538930.1_FG016
Q7EXZ2	Ensembl:KN540994.1_FG001
Q7EYE4	Ensembl:KN538681.1_FG211
Q7EYQ2	Ensembl:AMDW01036462.1_FG001
Q7EZD3	Ensembl:KN538681.1_FG098
Q7EZW6	Ensembl:KN538947.1_FG005
Q7EZZ0	Ensembl:KN538999.1_FG011
Q7F0B2	Ensembl:KN539446.1_FG006
Q7F190	Ensembl:KN539852.1_FG002
Q7F1X5	Ensembl:KN540074.1_FG010
Q7F2P0	Ensembl:KN541114.1_FG001
Q7F8K7	Ensembl:KN538737.1_FG056
Q7FAE1	Ensembl:KN539709.1_FG001
Q7FAS1	Ensembl:KN539225.1_FG005
Q7G065	Ensembl:KN538828.1_FG032
Q7G2F7	Ensembl:KN538760.1_FG001
Q7G4P2	Ensembl:KN540740.1_FG003
Q7G602	Ensembl:KN543142.1_FG001
Q7G7J6	Ensembl:KN538973.1_FG004
Q7X634	Ensembl:KN539007.1_FG001
Q7X720	Ensembl:KN539221.1_FG010
Q7X742	Ensembl:KN539249.1_FG013
Q7X7H3	Ensembl:KN538822.1_FG006
Q7X7H9	Ensembl:KN539249.1_FG006
Q7X7N2	Ensembl:KN538808.1_FG015
Q7X7X0	Ensembl:KN539142.1_FG004
Q7X7X4	Ensembl:KN540657.1_FG002
Q7X8A1	Ensembl:KN539405.1_FG011
Q7X8R0	Ensembl:KN538873.1_FG012
Q7X8V3	Ensembl:KN539221.1_FG006
Q7X993	Ensembl:KN543297.1_FG002
Q7XAP2	Ensembl:KN539192.1_FG008
Q7XCK3	Ensembl:KN538701.1_FG050
Q7XDE0	Ensembl:KN539258.1_FG001
Q7XE48	Ensembl:AMDW01039787.1_FG001 Ensembl:KN538870.1_FG026
Q7XEH2	Ensembl:KN539168.1_FG010
Q7XEZ1	Ensembl:KN540062.1_FG002
Q7XH05	Ensembl:KN539811.1_FG001
Q7XHL3	Ensembl:KN539459.1_FG006
Q7XI34	Ensembl:KN538938.1_FG012
Q7XI35	Ensembl:KN539446.1_FG002
Q7XI67	Ensembl:KN538721.1_FG010
Q7XK23	Ensembl:KN539277.1_FG012
Q7XKH9	Ensembl:KN542050.1_FG001
Q7XKI0	Ensembl:KN542050.1_FG003
Q7XM21	Ensembl:KN538740.1_FG014
Q7XN54	Ensembl:KN538984.1_FG008
Q7XNX6	Ensembl:KN540735.1_FG002
Q7XPB5	Ensembl:KN544489.1_FG001
Q7XPR2	Ensembl:KN539225.1_FG004
Q7XPR5	Ensembl:KN538977.1_FG001
Q7XPW5	Ensembl:KN538681.1_FG128
Q7XQ85	Ensembl:KN538932.1_FG015
Q7XR60	Ensembl:KN539274.1_FG016
Q7XR61	Ensembl:KN539274.1_FG015
Q7XRA1	Ensembl:KN538808.1_FG044
Q7XRT0	Ensembl:KN539985.1_FG002
Q7XRX3	Ensembl:KN540070.1_FG004
Q7XSS9	Ensembl:KN539151.1_FG002
Q7XTB2	Ensembl:KN540111.1_FG001
Q7XTE8	Ensembl:KN539949.1_FG004
Q7XTK3	Ensembl:KN540169.1_FG003
Q7XTU2	Ensembl:KN540018.1_FG001
Q7XU28	Ensembl:KN539414.1_FG010
Q7XU29	Ensembl:KN539414.1_FG005
Q7XUS2	Ensembl:KN539546.1_FG005
Q7XV13	Ensembl:KN539807.1_FG007
Q7XV18	Ensembl:KN539807.1_FG008
Q7XV42	Ensembl:KN539067.1_FG018
Q7XVM2	Ensembl:KN540672.1_FG003
Q7XVM8	Ensembl:AMDW01040398.1_FG001
Q7XWP9	Ensembl:KN541048.1_FG002
Q7XX32	Ensembl:AMDW01030575.1_FG001
Q7XXL2	Ensembl:KN539583.1_FG007
Q7XXQ9	Ensembl:KN539226.1_FG006
Q7XZH5	Ensembl:KN539025.1_FG004
Q7Y0B9	Ensembl:KN538723.1_FG060
Q7Y0C8	Ensembl:KN538723.1_FG091
Q7Y0W5	Ensembl:KN538862.1_FG004
Q7Y152	Ensembl:KN538869.1_FG006
Q7Y1H9	Ensembl:KN538875.1_FG027
Q7Y1I9	Ensembl:KN538875.1_FG029
Q7Y1J1	Ensembl:KN538875.1_FG032
Q84J55	Ensembl:KN538692.1_FG065
Q84J76	Ensembl:KN539187.1_FG006
Q84JH5	Ensembl:KN538688.1_FG053
Q84JI0	Ensembl:KN538688.1_FG044
Q84LF7	Ensembl:KN538693.1_FG019
Q84LK3	Ensembl:KN538927.1_FG003
Q84M43	Ensembl:KN539988.1_FG002
Q84MN8	Ensembl:KN539506.1_FG007
Q84NP3	Ensembl:KN538721.1_FG007 Ensembl:KN538721.1_FG063
Q84Q89	Ensembl:KN538688.1_FG181
Q84QA7	Ensembl:KN538688.1_FG048
Q84QC0	Ensembl:KN538688.1_FG180
Q84R94	Ensembl:KN540055.1_FG001
Q84RX6	Ensembl:KN538742.1_FG006
Q84T92	Ensembl:KN538803.1_FG023 Ensembl:AMDW01038330.1_FG001
Q84U04	Ensembl:KN538691.1_FG001
Q84VC7	Ensembl:KN542368.1_FG001
Q84VK7	Ensembl:KN539595.1_FG007
Q84YK8	Ensembl:KN540204.1_FG002
Q84ZN6	Ensembl:KN539605.1_FG003
Q84ZY2	Ensembl:AMDW01040209.1_FG001
Q851Z6	Ensembl:KN539470.1_FG010
Q852M1	Ensembl:KN539707.1_FG006
Q852M2	Ensembl:KN539707.1_FG006
Q852P4	Ensembl:KN538764.1_FG008
Q852Q1	Ensembl:KN538692.1_FG035
Q8GRS2	Ensembl:KN538702.1_FG113
Q8GRU7	Ensembl:KN539830.1_FG002
Q8GSD9	Ensembl:KN538795.1_FG043
Q8GT01	Ensembl:KN539271.1_FG011
Q8GTK1	Ensembl:KN538927.1_FG012
Q8GVJ4	Ensembl:KN539447.1_FG004
Q8GVN6	Ensembl:KN542379.1_FG003
Q8GVZ0	Ensembl:KN542044.1_FG003
Q8H016	Ensembl:KN538702.1_FG124
Q8H048	Ensembl:KN538885.1_FG018
Q8H051	Ensembl:KN538885.1_FG008
Q8H075	Ensembl:KN538795.1_FG047
Q8H093	Ensembl:KN539400.1_FG005
Q8H0B2	Ensembl:KN538715.1_FG060
Q8H395	Ensembl:KN539359.1_FG009
Q8H3A4	Ensembl:KN539359.1_FG016
Q8H3C9	Ensembl:KN538948.1_FG008
Q8H3I4	Ensembl:KN540807.1_FG002
Q8H3Q7	Ensembl:KN538766.1_FG011
Q8H530	Ensembl:KN540004.1_FG003
Q8H6G8	Ensembl:KN538761.1_FG009
Q8H7P5	Ensembl:KN538733.1_FG059
Q8H7S6	Ensembl:KN538739.1_FG003
Q8H7T7	Ensembl:KN538726.1_FG003
Q8H825	Ensembl:KN541165.1_FG002
Q8H930	Ensembl:KN539230.1_FG011
Q8LGW5	Ensembl:KN539026.1_FG006
Q8LGZ9	Ensembl:KN538898.1_FG014
Q8LHD1	Ensembl:KN539117.1_FG002
Q8LI89	Ensembl:KN539147.1_FG009
Q8LIY8	Ensembl:KN538775.1_FG047
Q8LJJ2	Ensembl:KN539841.1_FG001
Q8LM92	Ensembl:KN540734.1_FG001
Q8LN68	Ensembl:KN538973.1_FG003
Q8LR75	Ensembl:KN541294.1_FG004
Q8LRA0	Ensembl:KN539528.1_FG011
Q8RV06	Ensembl:KN540080.1_FG004
Q8RV34	Ensembl:KN538840.1_FG036
Q8RYL0	Ensembl:KN538848.1_FG008
Q8RYL1	Ensembl:KN538848.1_FG009
Q8RZV7	Ensembl:KN538700.1_FG055
Q8S0G4	Ensembl:KN538939.1_FG008
Q8S2G0	Ensembl:KN539681.1_FG004
Q8S2G5	Ensembl:KN539681.1_FG002
Q8S5M6	Ensembl:KN539691.1_FG005
Q8S5N2	Ensembl:KN540331.1_FG001
Q8S5T1	Ensembl:KN538724.1_FG011
Q8S601	Ensembl:KN540473.1_FG005
Q8S7N5	Ensembl:KN539718.1_FG006
Q8S919	Ensembl:KN539361.1_FG005
Q8S920	Ensembl:KN538997.1_FG013
Q8S983	Ensembl:KN538740.1_FG017
Q8S985	Ensembl:KN539122.1_FG014
Q8S9S4	Ensembl:KN538817.1_FG038
Q8S9Z2	Ensembl:KN538778.1_FG042
Q8W1L6	Ensembl:KN538798.1_FG017
Q8W250	Ensembl:KN538831.1_FG021
Q8W3F9	Ensembl:KN538983.1_FG001
Q8W3G2	Ensembl:KN538983.1_FG017
Q8W3J0	Ensembl:KN541729.1_FG003
Q8W3M0	Ensembl:KN538686.1_FG084
Q8W5G9	Ensembl:KN538723.1_FG017
Q93VD5	Ensembl:KN539413.1_FG007
Q93WI9	Ensembl:KN538819.1_FG007
Q93X08	Ensembl:KN539157.1_FG017
Q93XI4	Ensembl:KN538774.1_FG005 Ensembl:KN538774.1_FG052
Q93Y73	Ensembl:KN538723.1_FG024
Q943R3	Ensembl:KN538959.1_FG010
Q945X3	Ensembl:KN538823.1_FG011
Q948T6	Ensembl:KN539976.1_FG004
Q94CU3	Ensembl:KN543075.1_FG001
Q94E75	Ensembl:KN541559.1_FG001
Q94GF1	Ensembl:KN538833.1_FG020
Q94HG6	Ensembl:KN546156.1_FG001
Q94IW5	Ensembl:KN538748.1_FG007
Q94J08	Ensembl:KN539095.1_FG006
Q94J90	Ensembl:KN539386.1_FG005
Q94JA2	Ensembl:KN538735.1_FG008
Q9AQU4	Ensembl:KN538716.1_FG027
Q9ASD3	Ensembl:KN540813.1_FG001
Q9ASK5	Ensembl:KN538831.1_FG020
Q9ASP4	Ensembl:AMDW01075951.1_FG002
Q9AUQ4	Ensembl:KN539753.1_FG004
Q9AUV6	Ensembl:KN538781.1_FG047
Q9AV47	Ensembl:KN539219.1_FG007
Q9AV71	Ensembl:KN541715.1_FG002
Q9AWL7	Ensembl:KN541104.1_FG001
Q9AWZ7	Ensembl:KN538689.1_FG055
Q9AWZ8	Ensembl:KN538689.1_FG047
Q9FDX8	Ensembl:KN540737.1_FG003
Q9FDY4	Ensembl:KN538748.1_FG011
Q9FE35	Ensembl:KN538750.1_FG006
Q9FRX7	Ensembl:KN541345.1_FG001
Q9FTN5	Ensembl:KN538831.1_FG056
Q9FTN6	Ensembl:KN546717.1_FG001
Q9FTR6	Ensembl:KN541795.1_FG001
Q9FU17	Ensembl:KN538755.1_FG002
Q9FU67	Ensembl:KN540078.1_FG006
Q9FU68	Ensembl:KN540078.1_FG002
Q9FU69	Ensembl:KN540078.1_FG008
Q9FUE1	Ensembl:KN538823.1_FG008
Q9FWC1	Ensembl:KN539894.1_FG005
Q9FWK4	Ensembl:KN538697.1_FG055
Q9LD61	Ensembl:KN538908.1_FG001
Q9LDB7	Ensembl:KN541262.1_FG004
Q9LGL5	Ensembl:KN539819.1_FG005
Q9LGU6	Ensembl:AMDW01037516.1_FG001 Ensembl:KN538961.1_FG006
Q9LHZ0	Ensembl:KN540477.1_FG006
Q9LHZ7	Ensembl:KN540477.1_FG005
Q9LIZ8	Ensembl:KN541275.1_FG001
Q9LRI6	Ensembl:KN538841.1_FG016
Q9S7D3	Ensembl:KN539625.1_FG001 Ensembl:AMDW01035388.1_FG001
Q9SDG5	Ensembl:KN541148.1_FG004
Q9SMB1	Ensembl:KN539023.1_FG011
Q9SNK3	Ensembl:KN544355.1_FG001
Q9SNN0	Ensembl:KN538979.1_FG018
Q9SNQ6	Ensembl:KN539267.1_FG020
Q9XEA6	Ensembl:KN538757.1_FG007 Ensembl:KN538757.1_FG043
Q9XEA8	Ensembl:KN538684.1_FG210
Q9XFE5	Ensembl:KN538983.1_FG010
Q9XHL5	Ensembl:KN539799.1_FG007
Q9XJ29	Ensembl:KN538688.1_FG171
Q9ZTP5	Ensembl:KN538724.1_FG062
UPI00000AA151	Ensembl:KN541262.1_FG004
