A2X747	Ensembl:LPERR02G19400
Q6EUS6	Ensembl:LPERR02G08540
Q6F361	Ensembl:LPERR05G22270
Q6H3Z3	Ensembl:LPERR02G21250
Q6H415	Ensembl:LPERR09G06260
Q6H4F7	Ensembl:LPERR09G05480
Q6H4G3	Ensembl:LPERR09G05470
Q6H513	Ensembl:LPERR02G04810
Q6H543	Ensembl:LPERR02G08140
Q6H5U3	Ensembl:LPERR02G20810
Q6H5Z4	Ensembl:LPERR02G08030
Q6H6C7	Ensembl:LPERR02G04560
Q6H6D2	Ensembl:LPERR02G04530
Q6H6G1	Ensembl:LPERR02G21600
Q6H6I1	Ensembl:LPERR02G21490
Q6H6P8	Ensembl:LPERR02G15110
Q6H713	Ensembl:LPERR02G04590
Q6H765	Ensembl:LPERR02G15140
Q6H7M1	Ensembl:LPERR02G06390
Q6H7Q6	Ensembl:LPERR02G06270
Q6H819	Ensembl:LPERR02G05380
Q6H851	Ensembl:LPERR02G20580
Q6I581	Ensembl:LPERR05G23240
Q6I5C3	Ensembl:LPERR05G05930
Q6I628	Ensembl:LPERR05G20910
Q6IEQ7	Ensembl:LPERR01G30770
Q6IVC3	Ensembl:LPERR03G13430
Q6K1X7	Ensembl:LPERR02G19200
Q6K2E1	Ensembl:LPERR09G03820
Q6K2E8	Ensembl:LPERR02G14250
Q6K306	Ensembl:LPERR09G01630
Q6K3T2	Ensembl:LPERR02G08790
Q6K3Z3	Ensembl:LPERR02G00460 Ensembl:LPERR09G01510
Q6K4Q5	Ensembl:LPERR02G28950
Q6K4V9	Ensembl:LPERR02G12910
Q6K4Y7	Ensembl:LPERR02G12820
Q6K548	Ensembl:LPERR09G04980
Q6K5G8	Ensembl:LPERR02G18760
Q6K678	Ensembl:LPERR02G29340
Q6K6Q0	Ensembl:LPERR02G20240 Ensembl:LPERR02G20080
Q6K6Q1	Ensembl:LPERR02G20230
Q6K7P2	Ensembl:LPERR02G31580
Q6K7V6	Ensembl:LPERR02G10210
Q6K846	Ensembl:LPERR02G30040
Q6K8E7	Ensembl:LPERR10G03370
Q6K8J4	Ensembl:LPERR02G18910
Q6K8R6	Ensembl:LPERR02G19080
Q6K973	Ensembl:LPERR02G31820
Q6K9B8	Ensembl:LPERR02G19340
Q6K9M5	Ensembl:LPERR02G29200
Q6K9N6	Ensembl:LPERR02G20000
Q6K9X3	Ensembl:LPERR02G31270
Q6KAJ2	Ensembl:LPERR02G29640
Q6L4G2	Ensembl:LPERR05G20730
Q6L4H5	Ensembl:LPERR05G20590
Q6L4L4	Ensembl:LPERR05G01630
Q6L4R0	Ensembl:LPERR05G05440
Q6L4R7	Ensembl:LPERR05G23590
Q6L506	Ensembl:LPERR05G15170
Q6L540	Ensembl:LPERR11G11920 Ensembl:LPERR05G18300 Ensembl:LPERR05G18270
Q6L545	Ensembl:LPERR05G12760
Q6MWK9	Ensembl:LPERR04G03550
Q6Q9I2	Ensembl:LPERR07G00480
Q6QHD1	Ensembl:LPERR02G05420
Q6VMN7	Ensembl:LPERR03G06220
Q6YPF1	Ensembl:LPERR08G01710
Q6YPG5	Ensembl:LPERR02G00390
Q6YS33	Ensembl:LPERR07G09360
Q6YSA1	Ensembl:LPERR08G14510
Q6YSF8	Ensembl:LPERR07G01840 Ensembl:LPERR07G01850
Q6YT73	Ensembl:LPERR07G02880
Q6YTI6	Ensembl:LPERR02G17110
Q6YTT3	Ensembl:LPERR08G15400
Q6YU51	Ensembl:LPERR07G05060
Q6YU90	Ensembl:LPERR02G00120
Q6YUI8	Ensembl:LPERR08G09250
Q6YUS0	Ensembl:LPERR02G01360
Q6YUS3	Ensembl:LPERR02G01320
Q6YUU2	Ensembl:LPERR02G05960
Q6YV04	Ensembl:LPERR02G07360
Q6YV23	Ensembl:LPERR02G24080
Q6YVI0	Ensembl:LPERR02G23910
Q6YVT1	Ensembl:LPERR08G16890
Q6YVY0	Ensembl:LPERR02G16580
Q6YVY6	Ensembl:LPERR07G18500
Q6YWE1	Ensembl:LPERR07G06190
Q6YWS8	Ensembl:LPERR02G25350
Q6YXC2	Ensembl:LPERR02G17390
Q6YXI1	Ensembl:LPERR09G09570
Q6YXW6	Ensembl:LPERR02G03140
Q6YYB9	Ensembl:LPERR08G02360
Q6YYY7	Ensembl:LPERR08G20410
Q6YYZ2	Ensembl:LPERR08G02750
Q6YZ18	Ensembl:LPERR08G02590
Q6YZ76	Ensembl:LPERR08G12380
Q6YZE2	Ensembl:LPERR08G18350
Q6YZH8	Ensembl:LPERR08G20320
Q6YZX7	Ensembl:LPERR08G05050
Q6Z0T7	Ensembl:LPERR08G20010 Ensembl:LPERR08G20030
Q6Z156	Ensembl:LPERR07G10540
Q6Z1Z3	Ensembl:LPERR08G00120
Q6Z2L5	Ensembl:LPERR02G02000
Q6Z2T6	Ensembl:LPERR02G26460
Q6Z2T9	Ensembl:LPERR02G26440
Q6Z312	Ensembl:LPERR02G27610
Q6Z368	Ensembl:LPERR07G05630
Q6Z3A4	Ensembl:LPERR05G01830
Q6Z3F1	Ensembl:LPERR08G19920
Q6Z3F9	Ensembl:LPERR08G19890
Q6Z3X5	Ensembl:LPERR07G24250
Q6Z3Y3	Ensembl:LPERR07G24180
Q6Z414	Ensembl:LPERR07G15930
Q6Z434	Ensembl:LPERR02G03320
Q6Z4E7	Ensembl:LPERR07G05000
Q6Z4F3	Ensembl:LPERR07G04890
Q6Z4U1	Ensembl:LPERR01G33710 Ensembl:LPERR01G33740 Ensembl:LPERR01G26960
Q6Z5B5	Ensembl:LPERR07G15130 Ensembl:LPERR07G15140
Q6Z5M0	Ensembl:LPERR05G02360
Q6Z5M3	Ensembl:LPERR02G25040
Q6Z684	Ensembl:LPERR02G27080
Q6Z6K9	Ensembl:LPERR02G07680
Q6Z6L1	Ensembl:LPERR02G07680
Q6Z6S7	Ensembl:LPERR02G11590
Q6Z702	Ensembl:LPERR02G01770
Q6Z744	Ensembl:LPERR02G25950
Q6Z795	Ensembl:LPERR02G06650
Q6Z7F5	Ensembl:LPERR02G16900
Q6Z7I3	Ensembl:LPERR02G11750
Q6Z836	Ensembl:LPERR02G02560
Q6Z8F4	Ensembl:LPERR02G23540
Q6Z8S2	Ensembl:LPERR01G33710 Ensembl:LPERR01G33740 Ensembl:LPERR01G26960
Q6Z8Z7	Ensembl:LPERR02G00630
Q6Z965	Ensembl:LPERR08G14250
Q6Z9A3	Ensembl:LPERR01G31930
Q6Z9E6	Ensembl:LPERR08G13430
Q6ZA22	Ensembl:LPERR08G11030
Q6ZAC1	Ensembl:LPERR08G13740
Q6ZAH2	Ensembl:LPERR03G11760 Ensembl:LPERR08G08970
Q6ZAK7	Ensembl:LPERR08G11780
Q6ZB59	Ensembl:LPERR08G09660
Q6ZB94	Ensembl:LPERR08G15100
Q6ZBE1	Ensembl:LPERR04G05880 Ensembl:LPERR04G05130
Q6ZBH5	Ensembl:LPERR08G19170
Q6ZC33	Ensembl:LPERR08G14570
Q6ZCF0	Ensembl:LPERR08G05630
Q6ZD10	Ensembl:LPERR08G09600
Q6ZD89	Ensembl:LPERR08G03470
Q6ZDJ7	Ensembl:LPERR08G10650
Q6ZDQ1	Ensembl:LPERR07G05470
Q6ZDY8	Ensembl:LPERR07G02180
Q6ZEZ2	Ensembl:LPERR07G04330
Q6ZFI6	Ensembl:LPERR08G16500
Q6ZG77	Ensembl:LPERR02G12340
Q6ZG91	Ensembl:LPERR02G02300
Q6ZGW6	Ensembl:LPERR02G24620
Q6ZHA3	Ensembl:LPERR02G01340
Q6ZHB2	Ensembl:LPERR02G23100
Q6ZHH4	Ensembl:LPERR02G27960
Q6ZHH7	Ensembl:LPERR02G27950
Q6ZHJ6	Ensembl:LPERR02G23760
Q6ZHS4	Ensembl:LPERR02G05820
Q6ZHZ1	Ensembl:LPERR08G08660
Q6ZI39	Ensembl:LPERR02G16170
Q6ZI55	Ensembl:LPERR02G18450
Q6ZIA3	Ensembl:LPERR08G18210
Q6ZIK0	Ensembl:LPERR02G23740
Q6ZIX2	Ensembl:LPERR07G05950
Q6ZJ97	Ensembl:LPERR08G05680
Q6ZJU3	Ensembl:LPERR08G12650
Q6ZK11	Ensembl:LPERR08G16370
Q6ZKC0	Ensembl:LPERR08G12740
Q6ZKV8	Ensembl:LPERR08G06680
Q6ZL61	Ensembl:LPERR07G04590
Q6ZL94	Ensembl:LPERR07G17180
Q6ZLD3	Ensembl:LPERR07G04460
Q6ZLJ9	Ensembl:LPERR07G06070
Q75GK0	Ensembl:LPERR03G22160
Q75H77	Ensembl:LPERR03G21510
Q75HA6	Ensembl:LPERR03G23780
Q75HP7	Ensembl:LPERR05G13800
Q75HQ7	Ensembl:LPERR05G13730
Q75HZ9	Ensembl:LPERR05G22870
Q75I93	Ensembl:LPERR03G25800
Q75II5	Ensembl:LPERR05G18810
Q75KD7	Ensembl:LPERR03G19240
Q75KT7	Ensembl:LPERR05G19780
Q75L84	Ensembl:LPERR05G01530
Q75LL5	Ensembl:LPERR03G28830
Q75LR2	Ensembl:LPERR03G17110
Q75M18	Ensembl:LPERR05G00350
Q75V57	Ensembl:LPERR12G14460
Q75W16	Ensembl:LPERR07G19620
Q764B9	Ensembl:LPERR03G26680
Q7EXZ2	Ensembl:LPERR08G16940
Q7EYE4	Ensembl:LPERR08G03660
Q7EZD3	Ensembl:LPERR08G03510
Q7EZW6	Ensembl:LPERR08G09690
Q7EZZ0	Ensembl:LPERR07G21990
Q7F0B2	Ensembl:LPERR07G07100
Q7F0Q2	Ensembl:LPERR04G18330
Q7F190	Ensembl:LPERR07G12650
Q7F1X5	Ensembl:LPERR01G35290
Q7F2P0	Ensembl:LPERR01G14480
Q7FAH2	Ensembl:LPERR04G13330
Q7G065	Ensembl:LPERR01G20380
Q7G2F7	Ensembl:LPERR10G11010
Q7G2H3	Ensembl:LPERR10G10740
Q7G4P2	Ensembl:LPERR10G03370
Q7G7J6	Ensembl:LPERR03G26000
Q7X634	Ensembl:LPERR04G15190
Q7X720	Ensembl:LPERR04G15280
Q7X742	Ensembl:LPERR04G22650
Q7X7A1	Ensembl:LPERR04G22490
Q7X7H3	Ensembl:LPERR04G13640
Q7X7H9	Ensembl:LPERR04G22570
Q7X7X0	Ensembl:LPERR07G19400
Q7X8A1	Ensembl:LPERR04G11640
Q7X8R0	Ensembl:LPERR04G19640
Q7X993	Ensembl:LPERR07G23730
Q7XAP2	Ensembl:LPERR06G14020
Q7XC20	Ensembl:LPERR10G14720
Q7XCK3	Ensembl:LPERR10G13320
Q7XDE0	Ensembl:LPERR10G09680
Q7XE48	Ensembl:LPERR10G07960
Q7XEH2	Ensembl:LPERR10G07550
Q7XEZ1	Ensembl:LPERR10G06090
Q7XH05	Ensembl:LPERR10G01410
Q7XHL3	Ensembl:LPERR07G10490
Q7XHZ2	Ensembl:LPERR07G10800
Q7XI34	Ensembl:LPERR07G07160
Q7XI67	Ensembl:LPERR07G23940
Q7XI92	Ensembl:LPERR07G17290
Q7XI96	Ensembl:LPERR07G17270
Q7XK23	Ensembl:LPERR04G12850
Q7XKH9	Ensembl:LPERR04G05100 Ensembl:LPERR04G05060
Q7XKI0	Ensembl:LPERR04G05100 Ensembl:LPERR04G05060
Q7XKQ8	Ensembl:LPERR04G07380 Ensembl:LPERR02G19330
Q7XM21	Ensembl:LPERR04G24010
Q7XMP7	Ensembl:LPERR04G23260
Q7XN11	Ensembl:LPERR04G20760
Q7XN54	Ensembl:LPERR04G16480
Q7XNX6	Ensembl:LPERR04G03590
Q7XNY3	Ensembl:LPERR04G20020
Q7XPB5	Ensembl:LPERR04G18320
Q7XPR2	Ensembl:LPERR04G21450
Q7XPR5	Ensembl:LPERR04G17500
Q7XPW5	Ensembl:LPERR04G25490
Q7XQ85	Ensembl:LPERR04G18410
Q7XR02	Ensembl:LPERR04G23850
Q7XR52	Ensembl:LPERR04G24570
Q7XR60	Ensembl:LPERR04G24520
Q7XR61	Ensembl:LPERR04G24520
Q7XRT0	Ensembl:LPERR04G03440
Q7XRX3	Ensembl:LPERR04G18020
Q7XSS9	Ensembl:LPERR04G26090
Q7XTB2	Ensembl:LPERR04G00040
Q7XTE8	Ensembl:LPERR04G11840
Q7XTH0	Ensembl:LPERR04G05100 Ensembl:LPERR04G05060
Q7XTU2	Ensembl:LPERR04G21120
Q7XU28	Ensembl:LPERR04G16960
Q7XU29	Ensembl:LPERR04G16970
Q7XUH5	Ensembl:LPERR04G18330
Q7XUI7	Ensembl:LPERR04G17920
Q7XUK6	Ensembl:LPERR04G14020
Q7XV13	Ensembl:LPERR04G11010
Q7XV18	Ensembl:LPERR04G11040
Q7XV42	Ensembl:LPERR04G11320
Q7XV97	Ensembl:LPERR04G07660
Q7XVM2	Ensembl:LPERR04G07590
Q7XVM8	Ensembl:LPERR04G07640
Q7XVP0	Ensembl:LPERR04G04800
Q7XWP9	Ensembl:LPERR01G15640
Q7XX31	Ensembl:LPERR05G08800
Q7XX32	Ensembl:LPERR05G08800
Q7XXL2	Ensembl:LPERR04G04950
Q7XXQ9	Ensembl:LPERR03G17170
Q7XYS3	Ensembl:LPERR03G08150
Q7XZH5	Ensembl:LPERR03G32680
Q7Y0B9	Ensembl:LPERR03G29620
Q7Y0C8	Ensembl:LPERR03G29770
Q7Y0W5	Ensembl:LPERR10G09060
Q7Y0Y6	Ensembl:LPERR02G07360
Q7Y0Y8	Ensembl:LPERR06G16070
Q7Y152	Ensembl:LPERR03G33990
Q84J55	Ensembl:LPERR08G15200
Q84JH5	Ensembl:LPERR03G10600
Q84JI0	Ensembl:LPERR03G10620
Q84LF7	Ensembl:LPERR07G16350
Q84LK3	Ensembl:LPERR08G12430
Q84M43	Ensembl:LPERR03G32410
Q84MN8	Ensembl:LPERR03G28270
Q84Q89	Ensembl:LPERR03G10240
Q84QA7	Ensembl:LPERR03G10370
Q84QC0	Ensembl:LPERR03G10280
Q84R94	Ensembl:LPERR03G17860
Q84RS4	Ensembl:LPERR07G12580
Q84RX6	Ensembl:LPERR07G18020
Q84T92	Ensembl:LPERR03G33170
Q84U04	Ensembl:LPERR03G08720
Q84VC7	Ensembl:LPERR05G19650
Q84VK7	Ensembl:LPERR07G13970
Q84YK8	Ensembl:LPERR08G16910 Ensembl:LPERR08G16900
Q84ZN6	Ensembl:LPERR07G06050
Q84ZY2	Ensembl:LPERR06G01890
Q851L5	Ensembl:LPERR03G34270
Q851Z6	Ensembl:LPERR03G34990
Q852M1	Ensembl:LPERR03G31190 Ensembl:LPERR03G31210
Q852M2	Ensembl:LPERR03G31190 Ensembl:LPERR03G31210
Q852P4	Ensembl:LPERR02G20180
Q852Q1	Ensembl:LPERR03G11840
Q8GRS2	Ensembl:LPERR03G05240
Q8GRU7	Ensembl:LPERR07G20800
Q8GSD9	Ensembl:LPERR03G03590 Ensembl:LPERR03G03580
Q8GSI0	Ensembl:LPERR03G05230
Q8GT01	Ensembl:LPERR01G38160
Q8GTK1	Ensembl:LPERR08G12380
Q8GVJ4	Ensembl:LPERR10G05140 Ensembl:LPERR10G05250 Ensembl:LPERR10G05280
Q8GVN6	Ensembl:LPERR07G14490
Q8GZY1	Ensembl:LPERR03G00970
Q8H016	Ensembl:LPERR03G05150
Q8H038	Ensembl:LPERR03G03200
Q8H048	Ensembl:LPERR03G01410
Q8H051	Ensembl:LPERR03G01380
Q8H075	Ensembl:LPERR03G03540
Q8H093	Ensembl:LPERR10G12530
Q8H0A1	Ensembl:LPERR10G12470
Q8H0B2	Ensembl:LPERR08G02050
Q8H0B6	Ensembl:LPERR04G21040
Q8H273	Ensembl:LPERR04G18190
Q8H395	Ensembl:LPERR07G19210
Q8H3A4	Ensembl:LPERR07G20080 Ensembl:LPERR07G19110
Q8H3C9	Ensembl:LPERR07G07600
Q8H3I4	Ensembl:LPERR07G19280
Q8H3Q7	Ensembl:LPERR07G22550
Q8H530	Ensembl:LPERR07G12120
Q8H539	Ensembl:LPERR07G03460
Q8H6G8	Ensembl:LPERR10G08480
Q8H7P5	Ensembl:LPERR03G05750
Q8H7S6	Ensembl:LPERR03G08050
Q8H7T7	Ensembl:LPERR03G00470
Q8H825	Ensembl:LPERR03G07870
Q8H930	Ensembl:LPERR07G02300
Q8LGW5	Ensembl:LPERR07G08320
Q8LGZ9	Ensembl:LPERR07G00230
Q8LI89	Ensembl:LPERR07G03790
Q8LIG8	Ensembl:LPERR07G23640
Q8LIY8	Ensembl:LPERR01G26260
Q8LJJ2	Ensembl:LPERR01G23480
Q8LMW8	Ensembl:LPERR10G03450
Q8LN68	Ensembl:LPERR03G25950
Q8LNU2	Ensembl:LPERR10G10910
Q8LQ34	Ensembl:LPERR01G32200
Q8LR33	Ensembl:LPERR01G21780
Q8LRA0	Ensembl:LPERR01G29590 Ensembl:LPERR01G29600
Q8RV06	Ensembl:LPERR10G00220
Q8RV34	Ensembl:LPERR12G10590
Q8RYL0	Ensembl:LPERR01G37200
Q8RYL1	Ensembl:LPERR01G37200
Q8RZV7	Ensembl:LPERR01G36340
Q8RZZ3	Ensembl:LPERR01G23350
Q8S0G4	Ensembl:LPERR01G37910
Q8S2E5	Ensembl:LPERR01G25230
Q8S2G5	Ensembl:LPERR01G29480
Q8S3R0	Ensembl:LPERR02G24030
Q8S5M6	Ensembl:LPERR10G05370
Q8S5N2	Ensembl:LPERR10G05400
Q8S601	Ensembl:LPERR10G04190
Q8S7N5	Ensembl:LPERR10G15080
Q8S7T9	Ensembl:LPERR03G04410
Q8S919	Ensembl:LPERR02G09530
Q8S920	Ensembl:LPERR01G21540
Q8S983	Ensembl:LPERR04G24160
Q8S985	Ensembl:LPERR05G21420
Q8S9S4	Ensembl:LPERR01G16970
Q8S9Z2	Ensembl:LPERR01G39700
Q8VWH2	Ensembl:LPERR06G03520
Q8W1L6	Ensembl:LPERR02G10030
Q8W250	Ensembl:LPERR01G00440
Q8W3F9	Ensembl:LPERR10G15560
Q8W3G2	Ensembl:LPERR10G15530
Q8W3J0	Ensembl:LPERR03G11050
Q8W3L9	Ensembl:LPERR07G23570
Q8W3M0	Ensembl:LPERR03G13760
Q8W5G9	Ensembl:LPERR03G29550
Q93VC3	Ensembl:LPERR01G14160
Q93WI9	Ensembl:LPERR06G03520
Q93X08	Ensembl:LPERR09G14690
Q93XI4	Ensembl:LPERR02G15320
Q93Y73	Ensembl:LPERR03G29400
Q941T9	Ensembl:LPERR01G31930
Q941W8	Ensembl:LPERR01G30850
Q942X4	Ensembl:LPERR01G37610
Q943R3	Ensembl:LPERR01G02090
Q945X3	Ensembl:LPERR12G05330
Q948T6	Ensembl:LPERR08G05120
Q94CU3	Ensembl:LPERR01G32910
Q94E75	Ensembl:LPERR01G14350
Q94EE9	Ensembl:LPERR01G27920
Q94GF1	Ensembl:LPERR03G33650
Q94HG3	Ensembl:LPERR03G05560
Q94IW5	Ensembl:LPERR01G05860
Q94J08	Ensembl:LPERR01G26540
Q94J90	Ensembl:LPERR01G29750
Q94JJ0	Ensembl:LPERR01G01150
Q94LU9	Ensembl:LPERR10G13680
Q94LV4	Ensembl:LPERR10G13690
Q9AQU4	Ensembl:LPERR08G14460
Q9ASD3	Ensembl:LPERR01G24500
Q9ASK5	Ensembl:LPERR01G00610
Q9ASP4	Ensembl:LPERR01G12480
Q9AUQ4	Ensembl:LPERR03G26400
Q9AUV6	Ensembl:LPERR03G29180
Q9AV47	Ensembl:LPERR10G09970
Q9AV71	Ensembl:LPERR10G09310
Q9AWL7	Ensembl:LPERR01G05030
Q9AWZ7	Ensembl:LPERR01G07460
Q9AY73	Ensembl:LPERR03G30570
Q9FDX8	Ensembl:LPERR06G09360
Q9FDY4	Ensembl:LPERR01G05730
Q9FE35	Ensembl:LPERR01G20100
Q9FRX7	Ensembl:LPERR06G09210
Q9FTN5	Ensembl:LPERR01G00360 Ensembl:LPERR01G00370
Q9FTN6	Ensembl:LPERR01G00380
Q9FTR6	Ensembl:LPERR01G01740
Q9FTZ2	Ensembl:LPERR01G00200 Ensembl:LPERR01G36290
Q9FU17	Ensembl:LPERR01G05650
Q9FU68	Ensembl:LPERR01G04610
Q9FU69	Ensembl:LPERR01G04650
Q9FWC1	Ensembl:LPERR10G12300
Q9FWK4	Ensembl:LPERR10G09450
Q9FWQ2	Ensembl:LPERR10G13900
Q9LD61	Ensembl:LPERR08G06720
Q9LDB7	Ensembl:LPERR06G04530
Q9LG86	Ensembl:LPERR01G05440
Q9LGL5	Ensembl:LPERR01G03600
Q9LGU6	Ensembl:LPERR01G11200
Q9LHZ0	Ensembl:LPERR06G00620
Q9LHZ7	Ensembl:LPERR06G00680
Q9LIZ8	Ensembl:LPERR01G10200
Q9LRI6	Ensembl:LPERR02G25480
Q9LWU9	Ensembl:LPERR06G01410
Q9LWV3	Ensembl:LPERR06G01360
Q9S7D3	Ensembl:LPERR08G01680
Q9SDG5	Ensembl:LPERR01G10420
Q9SMB1	Ensembl:LPERR07G09530
Q9SNK3	Ensembl:LPERR03G02150
Q9SNN0	Ensembl:LPERR06G01710
Q9SNQ6	Ensembl:LPERR06G17350 Ensembl:LPERR01G17080
Q9XEA6	Ensembl:LPERR12G16130
Q9XEA8	Ensembl:LPERR03G28610
Q9XFE5	Ensembl:LPERR10G15600
Q9XHL5	Ensembl:LPERR08G17140
Q9XJ03	Ensembl:LPERR06G04080
Q9XJ29	Ensembl:LPERR03G10300
Q9XJ60	Ensembl:LPERR03G01640
Q9XJ61	Ensembl:LPERR01G36730
Q9ZTP5	Ensembl:LPERR03G04530
UPI00000AA151	Ensembl:LPERR06G04530
UPI0001C7A9C3	Ensembl:LPERR09G15920
