A2X747	Ensembl:Sb04g025760
Q6K7P2	Ensembl:Sb04g038140
Q6K7V6	Ensembl:Sb04g010660
Q6K8E2	Ensembl:Sb04g033850
Q6K8J4	Ensembl:Sb04g025290
Q6K8R6	Ensembl:Sb04g025460
Q6K969	Ensembl:Sb04g038440
Q6K973	Ensembl:Sb04g038410
Q6K9B8	Ensembl:Sb04g025720
Q6K9C5	Ensembl:Sb04g025660
Q6K9M5	Ensembl:Sb04g035630
Q6K9N6	Ensembl:Sb04g026360
Q6K9X3	Ensembl:Sb04g037820
Q6KAJ2	Ensembl:Sb04g036060
Q6L4G2	Ensembl:Sb09g027683
Q6L4H5	Ensembl:Sb09g027430
Q6L4L4	Ensembl:Sb09g002225
Q6L4R0	Ensembl:Sb09g006260
Q6L4R7	Ensembl:Sb09g030600
Q6L506	Ensembl:Sb09g022620
Q6L540	Ensembl:Sb09g025140
Q6L545	Ensembl:Sb09g020080
Q6Q9I2	Ensembl:Sb02g001090
Q6YPG5	Ensembl:Sb04g000530
Q6YS33	Ensembl:Sb02g009570
Q6YS36	Ensembl:Sb10g028420
Q6YSA1	Ensembl:Sb07g022700
Q6YSF8	Ensembl:Sb02g002130 Ensembl:Sb02g002150
Q6YT73	Ensembl:Sb02g003120
Q6YTI6	Ensembl:Sb04g023470
Q6YTT3	Ensembl:Sb07g029080
Q6YU51	Ensembl:Sb02g005380 Ensembl:Sb02g005410
Q6YUI8	Ensembl:Sb02g001790 Ensembl:Sb08g004580 Ensembl:Sb02g001800
Q6YUS0	Ensembl:Sb04g001710
Q6YUU2	Ensembl:Sb04g006120
Q6YV23	Ensembl:Sb04g030390
Q6YVI0	Ensembl:Sb04g030600
Q6YVT1	Ensembl:Sb07g027790
Q6YVY0	Ensembl:Sb04g022830
Q6YVY6	Ensembl:Sb02g038620
Q6YWE1	Ensembl:Sb02g006400
Q6YXC2	Ensembl:Sb04g023680
Q6YXI1	Ensembl:Sb02g027000
Q6YXW6	Ensembl:Sb04g020180
Q6YYB9	Ensembl:Sb07g002770
Q6YYY7	Ensembl:Sb07g023970
Q6YYZ2	Ensembl:Sb01g027820
Q6YZ18	Ensembl:Sb07g003020
Q6YZE2	Ensembl:Sb09g024120
Q6YZH8	Ensembl:Sb07g024070
Q6YZX7	Ensembl:Sb04g025630
Q6Z0T7	Ensembl:Sb07g024490
Q6Z2L5	Ensembl:Sb04g002280
Q6Z2T6	Ensembl:Sb04g028050
Q6Z2T9	Ensembl:Sb04g028070
Q6Z312	Ensembl:Sb04g034190
Q6Z351	Ensembl:Sb02g009145 Ensembl:Sb02g009135
Q6Z3A4	Ensembl:Sb09g002480
Q6Z3F1	Ensembl:Sb07g024550
Q6Z3F9	Ensembl:Sb07g024590
Q6Z414	Ensembl:Sb02g036250
Q6Z434	Ensembl:Sb04g003510
Q6Z4E7	Ensembl:Sb02g005180
Q6Z4I1	Ensembl:Sb03g010140
Q6Z4U1	Ensembl:Sb08g022110 Ensembl:Sb08g022130
Q6Z5M3	Ensembl:Sb04g029500
Q6Z684	Ensembl:Sb04g027420
Q6Z6K9	Ensembl:Sb04g007640
Q6Z6L1	Ensembl:Sb04g007640
Q6Z6S7	Ensembl:Sb04g005660
Q6Z702	Ensembl:Sb04g002120
Q6Z744	Ensembl:Sb04g028610
Q6Z795	Ensembl:Sb04g006870
Q6Z7I3	Ensembl:Sb04g000840
Q6Z7Q3	Ensembl:Sb04g034110
Q6Z836	Ensembl:Sb04g002810
Q6Z8F4	Ensembl:Sb04g030950
Q6Z8S2	Ensembl:Sb08g022110 Ensembl:Sb08g022130
Q6Z8Z7	Ensembl:Sb04g000830
Q6Z965	Ensembl:Sb07g022500
Q6Z9A3	Ensembl:Sb03g039740
Q6Z9E6	Ensembl:Sb07g021700
Q6ZA22	Ensembl:Sb07g019400
Q6ZAC1	Ensembl:Sb07g022040
Q6ZAH2	Ensembl:Sb04g038180
Q6ZB59	Ensembl:Sb07g018230
Q6ZBE1	Ensembl:Sb07g021090
Q6ZBH5	Ensembl:Sb07g025240
Q6ZC33	Ensembl:Sb07g022750
Q6ZC70	Ensembl:Sb07g000970
Q6ZCF0	Ensembl:Sb07g005930
Q6ZD89	Ensembl:Sb07g003860
Q6ZDJ7	Ensembl:Sb07g018840
Q6ZDQ1	Ensembl:Sb03g001710
Q6ZDY8	Ensembl:Sb02g002570
Q6ZEZ2	Ensembl:Sb02g004280
Q6ZFT5	Ensembl:Sb04g029970
Q6ZG77	Ensembl:Sb08g003330
Q6ZG91	Ensembl:Sb04g002630
Q6ZGS9	Ensembl:Sb04g031260
Q6ZGW6	Ensembl:Sb04g029900 Ensembl:Sb04g029920
Q6ZH92	Ensembl:Sb06g001280
Q6ZHA3	Ensembl:Sb04g001690
Q6ZHB2	Ensembl:Sb04g031490
Q6ZHH4	Ensembl:Sb04g034480
Q6ZHH7	Ensembl:Sb04g034470
Q6ZHS4	Ensembl:Sb04g005950
Q6ZHZ1	Ensembl:Sb09g028570
Q6ZI39	Ensembl:Sb02g034880
Q6ZI55	Ensembl:Sb04g024840
Q6ZIA3	Ensembl:Sb07g026320
Q6ZIK0	Ensembl:Sb08g001960 Ensembl:Sb05g024740 Ensembl:Sb04g030760
Q6ZIX2	Ensembl:Sb09g029600
Q6ZJ97	Ensembl:Sb07g006040
Q6ZJU3	Ensembl:Sb07g020910
Q6ZK11	Ensembl:Sb06g016970
Q6ZKC0	Ensembl:Sb07g020990 Ensembl:Sb07g025680
Q6ZKV8	Ensembl:Sb01g043690
Q6ZL61	Ensembl:Sb02g004580
Q6ZL94	Ensembl:Sb02g037420
Q6ZLJ9	Ensembl:Sb02g006320
Q75GB1	Ensembl:Sb09g007890
Q75H77	Ensembl:Sb01g014720
Q75HA6	Ensembl:Sb01g012450
Q75I93	Ensembl:Sb01g010830 Ensembl:Sb01g010840
Q75II5	Ensembl:Sb09g025670 Ensembl:Sb09g025680 Ensembl:Sb09g025690
Q75KD7	Ensembl:Sb01g031870
Q75KT7	Ensembl:Sb09g026700
Q75L84	Ensembl:Sb09g002200
Q75LC7	Ensembl:Sb01g001550
Q75LL5	Ensembl:Sb01g007960
Q75LR2	Ensembl:Sb01g033590
Q75M18	Ensembl:Sb09g000490
Q75V57	Ensembl:Sb08g019700
Q75W16	Ensembl:Sb02g039660
Q764B9	Ensembl:Sb01g010040
Q7EYE4	Ensembl:Sb07g004150
Q7EYM8	Ensembl:Sb07g019260
Q7EZD3	Ensembl:Sb07g003900
Q7EZW6	Ensembl:Sb07g011890
Q7EZZ0	Ensembl:Sb02g041960
Q7F0B2	Ensembl:Sb02g007080
Q7F0Q2	Ensembl:Sb0459s002010
Q7F190	Ensembl:Sb02g033920
Q7F1X5	Ensembl:Sb03g042910
Q7F8K7	Ensembl:Sb01g048380
Q7FAS1	Ensembl:Sb06g028990
Q7G065	Ensembl:Sb03g028850
Q7G2F7	Ensembl:Sb01g018130
Q7G2H3	Ensembl:Sb01g014570
Q7G602	Ensembl:Sb04g024710 Ensembl:Sb04g024730 Ensembl:Sb04g024750
Q7G6M2	Ensembl:Sb03g035800
Q7G7J6	Ensembl:Sb01g010660
Q7X634	Ensembl:Sb06g022630 Ensembl:Sb06g022620
Q7X720	Ensembl:Sb06g022740
Q7X742	Ensembl:Sb06g030340
Q7X7N2	Ensembl:Sb06g000580
Q7X7X0	Ensembl:Sb03g012700 Ensembl:Sb02g039380
Q7X7X4	Ensembl:Sb01g032600 Ensembl:Sb02g007540 Ensembl:Sb06g001030 Ensembl:Sb05g026850
Q7X8A1	Ensembl:Sb06g018880
Q7X8V3	Ensembl:Sb06g022750
Q7X993	Ensembl:Sb02g043480
Q7XAP2	Ensembl:Sb10g020570
Q7XBY6	Ensembl:Sb01g028330
Q7XC20	Ensembl:Sb01g028680
Q7XCK3	Ensembl:Sb01g030270
Q7XDE0	Ensembl:Sb01g019370
Q7XE48	Ensembl:Sb01g021190
Q7XEZ6	Ensembl:Sb01g023431 Ensembl:Sb01g023330
Q7XGU4	Ensembl:Sb01g026240
Q7XHL3	Ensembl:Sb02g010470
Q7XHZ2	Ensembl:Sb02g010840
Q7XI34	Ensembl:Sb02g007150
Q7XI35	Ensembl:Sb02g007100 Ensembl:Sb02g007140
Q7XI67	Ensembl:Sb02g002970
Q7XI92	Ensembl:Sb02g037510
Q7XI96	Ensembl:Sb02g037500
Q7XK23	Ensembl:Sb06g020150
Q7XKH9	Ensembl:Sb09g023700
Q7XKI0	Ensembl:Sb09g023700 Ensembl:Sb10g009800
Q7XKQ8	Ensembl:Sb04g020680
Q7XM21	Ensembl:Sb06g031790
Q7XMA8	Ensembl:Sb07g021090
Q7XMP7	Ensembl:Sb06g030910
Q7XNX6	Ensembl:Sb10g031040
Q7XNY3	Ensembl:Sb06g027710
Q7XPB5	Ensembl:Sb06g026060 Ensembl:Sb10g026260
Q7XPR5	Ensembl:Sb06g025140
Q7XPW5	Ensembl:Sb06g033280 Ensembl:Sb06g000840
Q7XQ85	Ensembl:Sb06g026160
Q7XR02	Ensembl:Sb06g031560
Q7XR60	Ensembl:Sb06g032270 Ensembl:Sb06g032260
Q7XR61	Ensembl:Sb06g032270 Ensembl:Sb06g032260
Q7XRT0	Ensembl:Sb03g040100
Q7XRX3	Ensembl:Sb06g025710
Q7XSS9	Ensembl:Sb06g033970
Q7XTB2	Ensembl:Sb06g000430
Q7XTE8	Ensembl:Sb06g019100
Q7XTH0	Ensembl:Sb09g023700 Ensembl:Sb10g009800
Q7XTK3	Ensembl:Sb02g039510
Q7XTU2	Ensembl:Sb06g028810 Ensembl:Sb06g028820
Q7XTX7	Ensembl:Sb06g026050
Q7XU28	Ensembl:Sb06g024550
Q7XU29	Ensembl:Sb06g024560
Q7XUA8	Ensembl:Sb06g022860
Q7XUH5	Ensembl:Sb0459s002010
Q7XUI7	Ensembl:Sb06g025550
Q7XUK6	Ensembl:Sb01g010470 Ensembl:Sb06g031050
Q7XUS2	Ensembl:Sb06g019160
Q7XV13	Ensembl:Sb06g018040
Q7XV42	Ensembl:Sb06g018460 Ensembl:Sb06g018490
Q7XV97	Ensembl:Sb06g014460
Q7XVM2	Ensembl:Sb01g043660
Q7XVM8	Ensembl:Sb06g014420
Q7XVP0	Ensembl:Sb05g002760 Ensembl:Sb08g018730
Q7XWP9	Ensembl:Sb06g004280
Q7XX31	Ensembl:Sb05g001630
Q7XX32	Ensembl:Sb05g001630
Q7XYS3	Ensembl:Sb01g042270
Q7XZH5	Ensembl:Sb01g003880
Q7Y0B9	Ensembl:Sb01g007120
Q7Y0C8	Ensembl:Sb01g007000
Q7Y0W5	Ensembl:Sb01g019980
Q7Y0Y8	Ensembl:Sb10g022820
Q7Y152	Ensembl:Sb01g002480
Q7Y1I9	Ensembl:Sb01g005140 Ensembl:Sb01g005150
Q7Y1J1	Ensembl:Sb01g005140 Ensembl:Sb01g005150
Q84J55	Ensembl:Sb07g029110
Q84JH5	Ensembl:Sb01g039900
Q84JI0	Ensembl:Sb01g039890
Q84LK3	Ensembl:Sb07g020650
Q84M43	Ensembl:Sb01g004210
Q84MN8	Ensembl:Sb01g008450
Q84NP3	Ensembl:Sb02g043980
Q84Q89	Ensembl:Sb01g040240
Q84QA7	Ensembl:Sb01g040110
Q84R94	Ensembl:Sb01g033020
Q84RS4	Ensembl:Sb02g033960
Q84RX6	Ensembl:Sb02g038150
Q84T92	Ensembl:Sb01g003330
Q84VC7	Ensembl:Sb09g026570
Q84VK7	Ensembl:Sb06g001280
Q84YK8	Ensembl:Sb07g027760
Q84ZN6	Ensembl:Sb02g006290
Q84ZY2	Ensembl:Sb09g005230 Ensembl:Sb10g002250 Ensembl:Sb10g002220
Q851L5	Ensembl:Sb01g002080 Ensembl:Sb01g002090
Q851Z6	Ensembl:Sb01g001140
Q852C2	Ensembl:Sb01g002870 Ensembl:Sb01g002890 Ensembl:Sb01g002860 Ensembl:Sb10g028810
Q852P4	Ensembl:Sb10g013750
Q852Q1	Ensembl:Sb01g038560
Q8GRS2	Ensembl:Sb01g045180
Q8GRU7	Ensembl:Sb02g040810
Q8GSI0	Ensembl:Sb01g045190
Q8GT01	Ensembl:Sb03g045690
Q8GVJ4	Ensembl:Sb02g003840
Q8GVZ0	Ensembl:Sb02g035700
Q8H016	Ensembl:Sb01g045240
Q8H038	Ensembl:Sb01g047270
Q8H048	Ensembl:Sb01g049290
Q8H051	Ensembl:Sb01g049310
Q8H075	Ensembl:Sb01g046920
Q8H093	Ensembl:Sb01g031100
Q8H0A1	Ensembl:Sb01g031145
Q8H0B2	Ensembl:Sb01g037860
Q8H0B6	Ensembl:Sb06g028720
Q8H273	Ensembl:Sb06g025900
Q8H395	Ensembl:Sb02g039190
Q8H3A4	Ensembl:Sb02g039130
Q8H3C8	Ensembl:Sb02g007720
Q8H3C9	Ensembl:Sb02g007730
Q8H3I4	Ensembl:Sb02g039240 Ensembl:Sb02g039250
Q8H3Q7	Ensembl:Sb02g042340
Q8H4L3	Ensembl:Sb07g004700
Q8H530	Ensembl:Sb02g033430
Q8H539	Ensembl:Sb02g003510
Q8H7S6	Ensembl:Sb01g042380
Q8H7T7	Ensembl:Sb01g050250
Q8H825	Ensembl:Sb01g042580
Q8H8U0	Ensembl:Sb01g038850
Q8H930	Ensembl:Sb02g002660
Q8LGW5	Ensembl:Sb02g008130
Q8LGZ9	Ensembl:Sb02g000460
Q8LHD1	Ensembl:Sb01g031300
Q8LI89	Ensembl:Sb02g009640
Q8LIG8	Ensembl:Sb02g043570
Q8LIY8	Ensembl:Sb03g034400
Q8LJJ2	Ensembl:Sb03g031880
Q8LM92	Ensembl:Sb09g022480
Q8LMW8	Ensembl:Sb01g032200
Q8LNU2	Ensembl:Sb01g018290
Q8LQ34	Ensembl:Sb03g040050
Q8LR33	Ensembl:Sb04g003790
Q8LR75	Ensembl:Sb03g039480
Q8LRA0	Ensembl:Sb10g004820
Q8RU95	Ensembl:Sb03g042910
Q8RV06	Ensembl:Sb03g046840
Q8RV34	Ensembl:Sb08g015360
Q8RYL0	Ensembl:Sb03g044700
Q8RYY6	Ensembl:Sb03g041410
Q8RZZ3	Ensembl:Sb03g031760
Q8S2E5	Ensembl:Sb03g033270
Q8S2G0	Ensembl:Sb03g037310
Q8S3R0	Ensembl:Sb04g030470
Q8S5M6	Ensembl:Sb01g047560 Ensembl:Sb01g019490
Q8S5N2	Ensembl:Sb0012s002210
Q8S5T1	Ensembl:Sb01g046260
Q8S601	Ensembl:Sb02g021100
Q8S7N5	Ensembl:Sb01g028460
Q8S919	Ensembl:Sb10g020030
Q8S920	Ensembl:Sb03g030010
Q8S983	Ensembl:Sb06g031900
Q8S985	Ensembl:Sb09g028450
Q8S9S4	Ensembl:Sb03g025480
Q8S9Z2	Ensembl:Sb03g047200
Q8VWH2	Ensembl:Sb10g003940
Q8W0B6	Ensembl:Sb05g026395 Ensembl:Sb03g001060
Q8W1L6	Ensembl:Sb04g010370
Q8W250	Ensembl:Sb03g008650
Q8W3J0	Ensembl:Sb01g039350
Q8W3L9	Ensembl:Sb02g043350
Q8W3M0	Ensembl:Sb01g036740
Q93VC3	Ensembl:Sb04g000260
Q93VD5	Ensembl:Sb07g024250 Ensembl:Sb05g000380 Ensembl:Sb05g009950
Q93WI9	Ensembl:Sb10g003940
Q93X08	Ensembl:Sb02g032250
Q93XI4	Ensembl:Sb04g021790
Q93Y73	Ensembl:Sb01g007370
Q941T9	Ensembl:Sb03g039740
Q941W8	Ensembl:Sb03g038600
Q942X4	Ensembl:Sb03g045205
Q943R3	Ensembl:Sb03g007000
Q94E75	Ensembl:Sb04g020180
Q94EE9	Ensembl:Sb03g035800
Q94GF1	Ensembl:Sb01g002760
Q94HG3	Ensembl:Sb01g044930
Q94HG6	Ensembl:Sb01g044900
Q94IW5	Ensembl:Sb03g002870
Q94J08	Ensembl:Sb03g034670
Q94J90	Ensembl:Sb03g037550
Q94JA2	Ensembl:Sb03g029570
Q94JJ0	Ensembl:Sb03g008050
Q94LU9	Ensembl:Sb01g029770
Q94LV4	Ensembl:Sb01g029750
Q9ASD3	Ensembl:Sb03g032700
Q9ASP4	Ensembl:Sb03g013290
Q9AUQ4	Ensembl:Sb01g010280
Q9AUV6	Ensembl:Sb01g007580
Q9AV47	Ensembl:Sb01g019130
Q9AV71	Ensembl:Sb01g019720
Q9AWL7	Ensembl:Sb03g003650
Q9AWZ7	Ensembl:Sb03g001190 Ensembl:Sb03g001180
Q9FDX8	Ensembl:Sb10g010050
Q9FDY4	Ensembl:Sb03g002980
Q9FE35	Ensembl:Sb03g028530
Q9FTN5	Ensembl:Sb03g008760 Ensembl:Sb03g008750 Ensembl:Sb03g029820
Q9FTN6	Ensembl:Sb03g008760 Ensembl:Sb03g008750 Ensembl:Sb03g029820
Q9FTR6	Ensembl:Sb03g007380
Q9FTZ2	Ensembl:Sb03g008970 Ensembl:Sb03g008980
Q9FU17	Ensembl:Sb03g003070
Q9FU67	Ensembl:Sb03g004130 Ensembl:Sb03g004140
Q9FU68	Ensembl:Sb03g004130 Ensembl:Sb03g004140
Q9FU69	Ensembl:Sb03g004130 Ensembl:Sb03g004140
Q9FWC1	Ensembl:Sb01g031280
Q9FWK4	Ensembl:Sb01g019580
Q9FWQ2	Ensembl:Sb01g029590
Q9LD61	Ensembl:Sb07g008570
Q9LDB7	Ensembl:Sb10g005160 Ensembl:Sb10g005140
Q9LG86	Ensembl:Sb03g003200
Q9LGL5	Ensembl:Sb03g005240
Q9LGU6	Ensembl:Sb03g011930
Q9LHZ0	Ensembl:Sb07g026190
Q9LHZ7	Ensembl:Sb10g000980
Q9LWU9	Ensembl:Sb10g001690
Q9LWV3	Ensembl:Sb10g001620
Q9S7D3	Ensembl:Sb07g002070
Q9SDG5	Ensembl:Sb03g011050
Q9SE42	Ensembl:Sb02g029250
Q9SMB1	Ensembl:Sb02g009730
Q9SNK3	Ensembl:Sb01g048470
Q9SNN0	Ensembl:Sb10g002070
Q9XEA6	Ensembl:Sb08g022280
Q9XFE5	Ensembl:Sb01g027830
Q9XG80	Ensembl:Sb04g038430
Q9XHL5	Ensembl:Sb07g027480
Q9XJ03	Ensembl:Sb10g004720
Q9XJ29	Ensembl:Sb01g040180
Q9XJ60	Ensembl:Sb01g049020
Q9XJ61	Ensembl:Sb03g044170
Q9ZTP5	Ensembl:Sb01g045920
UPI00000AA151	Ensembl:Sb10g005160 Ensembl:Sb10g005140
UPI0001C7A9C3	Ensembl:Sb02g011690
UPI0001C7CB34	Ensembl:Sb03g013170
