A2X747	Ensembl:OMERI02G23430
Q6ZA22	Ensembl:OMERI08G11390
Q6ZAC1	Ensembl:OMERI08G13750
Q6ZAH2	Ensembl:OMERI06G20640
Q6ZB59	Ensembl:OMERI08G09730
Q6ZBE1	Ensembl:OMERI08G12060
Q6ZBH5	Ensembl:OMERI08G17340
Q6ZC33	Ensembl:OMERI08G14230
Q6ZCF0	Ensembl:OMERI08G06050
Q6ZD10	Ensembl:OMERI08G09660
Q6ZD89	Ensembl:OMERI08G03440
Q6ZDJ7	Ensembl:OMERI08G10850
Q6ZDQ1	Ensembl:OMERI07G04980
Q6ZDY8	Ensembl:OMERI07G01250
Q6ZEZ2	Ensembl:OMERI07G03430
Q6ZFT5	Ensembl:OMERI02G28940
Q6ZG77	Ensembl:OMERI02G15140
Q6ZG91	Ensembl:OMERI02G03120
Q6ZGS9	Ensembl:OMERI03G01330
Q6ZGW6	Ensembl:OMERI02G29040
Q6ZH92	Ensembl:OMERI02G00990
Q6ZHA3	Ensembl:OMERI02G00910
Q6ZHB2	Ensembl:OMERI02G27440
Q6ZHH4	Ensembl:OMERI02G32430
Q6ZHH7	Ensembl:OMERI02G32420
Q6ZHS4	Ensembl:OMERI02G07710
Q6ZHZ1	Ensembl:OMERI08G08560
Q6ZI39	Ensembl:OMERI02G19950
Q6ZI55	Ensembl:OMERI02G22280
Q6ZIA3	Ensembl:OMERI02G01180
Q6ZIK0	Ensembl:OMERI02G28110
Q6ZJ97	Ensembl:OMERI08G06110
Q6ZJM9	Ensembl:OMERI08G00680
Q6ZJU3	Ensembl:OMERI08G12650
Q6ZKC0	Ensembl:OMERI08G12800
Q6ZKV8	Ensembl:OMERI07G12520
Q6ZL61	Ensembl:OMERI05G15770
Q6ZL94	Ensembl:OMERI07G16490
Q6ZLD3	Ensembl:OMERI05G15930
Q6ZLJ9	Ensembl:OMERI07G05770
Q75HQ7	Ensembl:OMERI05G15010
Q75I93	Ensembl:OMERI03G27250
Q75II5	Ensembl:OMERI05G20590
Q75KD7	Ensembl:OMERI03G20390 Ensembl:OMERI03G20400
Q75KT7	Ensembl:OMERI01G26860
Q75L84	Ensembl:OMERI05G01750
Q75LL5	Ensembl:OMERI03G31490
Q75M18	Ensembl:OMERI05G00450
Q75W16	Ensembl:OMERI07G19020
Q764B9	Ensembl:OMERI03G28700
Q7EYE4	Ensembl:OMERI08G03890
Q7EYM8	Ensembl:OMERI08G11110
Q7EYQ2	Ensembl:OMERI07G01020
Q7EZD3	Ensembl:OMERI08G03500
Q7EZZ0	Ensembl:OMERI02G30030
Q7F0Q2	Ensembl:OMERI07G11580
Q7F2P0	Ensembl:OMERI01G14800
Q7F8K7	Ensembl:OMERI03G02270
Q7FAH2	Ensembl:OMERI04G14010
Q7FAS1	Ensembl:OMERI04G21420
Q7G065	Ensembl:OMERI01G21840
Q7G2F7	Ensembl:OMERI10G11370
Q7G2H3	Ensembl:OMERI10G11030 Ensembl:OMERI10G11040
Q7G4P2	Ensembl:OMERI10G03710
Q7G6M2	Ensembl:OMERI10G05590
Q7G7J6	Ensembl:OMERI03G27970
Q7X720	Ensembl:OMERI04G15700
Q7X742	Ensembl:OMERI04G22430
Q7X7A1	Ensembl:OMERI04G22220
Q7X7H9	Ensembl:OMERI04G22360
Q7X7X0	Ensembl:OMERI07G18700
Q7X7X4	Ensembl:OMERI04G02820
Q7X8A1	Ensembl:OMERI04G13220
Q7X8V3	Ensembl:OMERI04G15720
Q7XC20	Ensembl:OMERI08G00080
Q7XCK3	Ensembl:OMERI10G13890
Q7XDE0	Ensembl:OMERI10G10000
Q7XE48	Ensembl:OMERI04G07060
Q7XEH2	Ensembl:OMERI10G07760
Q7XEZ1	Ensembl:OMERI10G05880
Q7XGU4	Ensembl:OMERI10G02040
Q7XHL3	Ensembl:OMERI07G09910
Q7XHZ2	Ensembl:OMERI07G10090
Q7XI34	Ensembl:OMERI07G06870
Q7XI67	Ensembl:OMERI10G04980
Q7XI92	Ensembl:OMERI07G16670
Q7XI96	Ensembl:OMERI07G16640
Q7XK23	Ensembl:OMERI01G02080
Q7XM21	Ensembl:OMERI04G23820
Q7XMA8	Ensembl:OMERI08G12060
Q7XMP7	Ensembl:OMERI04G23050
Q7XMU7	Ensembl:OMERI04G08220
Q7XNX6	Ensembl:OMERI04G05070
Q7XNY3	Ensembl:OMERI10G14590 Ensembl:OMERI04G20100
Q7XPR5	Ensembl:OMERI04G17910
Q7XPW5	Ensembl:OMERI04G25410
Q7XQ85	Ensembl:OMERI04G18900
Q7XR02	Ensembl:OMERI04G23670
Q7XRA1	Ensembl:OMERI04G00340
Q7XRT0	Ensembl:OMERI04G05020
Q7XRX3	Ensembl:OMERI04G18580
Q7XSS9	Ensembl:OMERI04G25770
Q7XTB2	Ensembl:OMERI04G00110
Q7XTU2	Ensembl:OMERI04G21210
Q7XU29	Ensembl:OMERI04G17310
Q7XUH5	Ensembl:OMERI04G18820
Q7XUI7	Ensembl:OMERI04G18430
Q7XUK6	Ensembl:OMERI04G14720
Q7XV13	Ensembl:OMERI04G12710
Q7XV97	Ensembl:OMERI03G17040
Q7XVM2	Ensembl:OMERI03G16950
Q7XVM8	Ensembl:OMERI03G17020
Q7XVP0	Ensembl:OMERI04G06240
Q7XYS3	Ensembl:OMERI03G08510
Q7XZH5	Ensembl:OMERI03G35310
Q7Y0C8	Ensembl:OMERI03G32660
Q7Y0W5	Ensembl:OMERI10G09420
Q7Y0Y6	Ensembl:OMERI02G09820
Q7Y0Y8	Ensembl:OMERI06G19730
Q7Y152	Ensembl:OMERI03G36690
Q7Y1H9	Ensembl:OMERI03G34540
Q7Y1I9	Ensembl:OMERI03G34560
Q84J55	Ensembl:OMERI08G14310
Q84J76	Ensembl:OMERI07G01010
Q84JH5	Ensembl:OMERI03G11200
Q84JI0	Ensembl:OMERI03G11220
Q84LF7	Ensembl:OMERI07G15760
Q84M43	Ensembl:OMERI06G11200
Q84MN8	Ensembl:OMERI11G07170
Q84Q89	Ensembl:OMERI03G10790
Q84QA7	Ensembl:OMERI03G10950
Q84R94	Ensembl:OMERI03G18980
Q84RS4	Ensembl:OMERI07G11660
Q84RX6	Ensembl:OMERI07G17460
Q84T92	Ensembl:OMERI03G35850
Q84VK7	Ensembl:OMERI07G13310
Q84YK8	Ensembl:OMERI08G16780
Q84ZN6	Ensembl:OMERI07G05720
Q84ZY2	Ensembl:OMERI06G02010
Q851L5	Ensembl:OMERI03G36990
Q851Z6	Ensembl:OMERI03G37830
Q852C2	Ensembl:OMERI03G36160
Q852M1	Ensembl:OMERI03G34110
Q852P4	Ensembl:OMERI02G24170
Q852Q1	Ensembl:OMERI08G14550
Q8GRS2	Ensembl:OMERI03G05760
Q8GRU7	Ensembl:OMERI07G20230
Q8GSI0	Ensembl:OMERI03G05750
Q8GTK1	Ensembl:OMERI08G12500
Q8GVZ0	Ensembl:OMERI07G14680
Q8GZY1	Ensembl:OMERI03G00840
Q8H016	Ensembl:OMERI03G05680
Q8H038	Ensembl:OMERI03G03450
Q8H048	Ensembl:OMERI03G01480
Q8H051	Ensembl:OMERI03G01440
Q8H075	Ensembl:OMERI03G03710
Q8H093	Ensembl:OMERI10G12870
Q8H0A1	Ensembl:OMERI10G12810
Q8H0B2	Ensembl:OMERI08G01980
Q8H0B6	Ensembl:OMERI04G21100
Q8H273	Ensembl:OMERI04G18770
Q8H2J9	Ensembl:OMERI07G06330
Q8H395	Ensembl:OMERI07G18460
Q8H3A4	Ensembl:OMERI07G18370
Q8H3C8	Ensembl:OMERI07G07310
Q8H3C9	Ensembl:OMERI07G07300
Q8H3I4	Ensembl:OMERI07G18540
Q8H3Q7	Ensembl:OMERI07G22390
Q8H530	Ensembl:OMERI07G11210
Q8H7P5	Ensembl:OMERI03G06280
Q8H7S6	Ensembl:OMERI03G08400
Q8H7T7	Ensembl:OMERI03G00150
Q8H825	Ensembl:OMERI02G18090
Q8H930	Ensembl:OMERI01G11980
Q8LI89	Ensembl:OMERI07G02840
Q8LIG8	Ensembl:OMERI07G23450
Q8LIY8	Ensembl:OMERI01G27750
Q8LJJ2	Ensembl:OMERI01G25130 Ensembl:OMERI01G25160
Q8LMW8	Ensembl:OMERI10G03740
Q8LN68	Ensembl:OMERI03G27910
Q8LNU2	Ensembl:OMERI10G11190
Q8LQ34	Ensembl:OMERI01G34460
Q8LR33	Ensembl:OMERI01G23190
Q8LRJ3	Ensembl:OMERI05G15330
Q8RV06	Ensembl:OMERI10G00170
Q8RYL0	Ensembl:OMERI09G06020
Q8RYL1	Ensembl:OMERI01G39640
Q8RYY6	Ensembl:OMERI01G35930
Q8RZZ3	Ensembl:OMERI01G25040
Q8S2E5	Ensembl:OMERI01G27180
Q8S2G0	Ensembl:OMERI01G30980 Ensembl:OMERI06G21620
Q8S3R0	Ensembl:OMERI02G28450
Q8S5M6	Ensembl:OMERI10G05430
Q8S5N2	Ensembl:OMERI10G05470
Q8S601	Ensembl:OMERI10G04230
Q8S7N5	Ensembl:OMERI07G08090
Q8S919	Ensembl:OMERI02G12030
Q8S983	Ensembl:OMERI04G24170
Q8S9S4	Ensembl:OMERI01G18120
Q8S9Z2	Ensembl:OMERI01G42090
Q8W1L6	Ensembl:OMERI02G12900
Q8W3J0	Ensembl:OMERI03G11710
Q8W3L9	Ensembl:OMERI07G23380
Q8W3M0	Ensembl:OMERI03G14140
Q8W5G9	Ensembl:OMERI03G32370
Q93VC3	Ensembl:OMERI01G14530
Q93VD5	Ensembl:OMERI01G18440
Q93WI9	Ensembl:OMERI06G04390
Q93X08	Ensembl:OMERI09G14190
Q93XI4	Ensembl:OMERI02G19110
Q93Y73	Ensembl:OMERI03G32030
Q941T9	Ensembl:OMERI01G34200
Q941W8	Ensembl:OMERI01G32910
Q942X4	Ensembl:OMERI01G40100
Q943R3	Ensembl:OMERI01G02160
Q94E75	Ensembl:OMERI01G14680
Q94EE9	Ensembl:OMERI01G29350
Q94GF1	Ensembl:OMERI03G36300
Q94HG3	Ensembl:OMERI03G06020
Q94J08	Ensembl:OMERI01G28060
Q94J90	Ensembl:OMERI01G31780 Ensembl:OMERI01G31720
Q94JA2	Ensembl:OMERI01G22480
Q94LU9	Ensembl:OMERI10G14260
Q94LV4	Ensembl:OMERI10G14280
Q9ASK5	Ensembl:OMERI01G00190
Q9ASP4	Ensembl:OMERI01G12210
Q9AUQ4	Ensembl:OMERI03G28380
Q9AUV6	Ensembl:OMERI03G31860
Q9AV47	Ensembl:OMERI10G10210
Q9AWL7	Ensembl:OMERI01G05530
Q9AWZ7	Ensembl:OMERI01G07860
Q9FDY4	Ensembl:OMERI01G06210
Q9FE35	Ensembl:OMERI01G21470
Q9FTR6	Ensembl:OMERI01G01300
Q9FU68	Ensembl:OMERI01G04920
Q9FWC1	Ensembl:OMERI10G12620
Q9FWK4	Ensembl:OMERI10G09730
Q9FWQ2	Ensembl:OMERI10G14520
Q9LD61	Ensembl:OMERI10G01600
Q9LDB7	Ensembl:OMERI06G06070
Q9LG86	Ensembl:OMERI01G06020
Q9LGL5	Ensembl:OMERI01G03860
Q9LHZ0	Ensembl:OMERI06G00690
Q9LHZ7	Ensembl:OMERI06G00650
Q9LIZ8	Ensembl:OMERI01G10790
Q9LWV3	Ensembl:OMERI06G01670
Q9S7D3	Ensembl:OMERI08G01560
Q9SDG5	Ensembl:OMERI01G11020
Q9SE42	Ensembl:OMERI07G04830
Q9SNK3	Ensembl:OMERI03G02200
Q9SNN0	Ensembl:OMERI06G01830
Q9SNQ6	Ensembl:OMERI06G03050
Q9XEA6	Ensembl:OMERI12G14340
Q9XEA8	Ensembl:OMERI03G31270
Q9XG80	Ensembl:OMERI02G36160
Q9XHL5	Ensembl:OMERI02G02360
Q9XJ29	Ensembl:OMERI03G10860
Q9XJ60	Ensembl:OMERI03G01730
Q9XJ61	Ensembl:OMERI01G39210
UPI00000AA151	Ensembl:OMERI06G06070
UPI0001C7CB34	Ensembl:OMERI05G15330
