A2X747	Ensembl:BGIOSGA008609
Q6EP77	Ensembl:BGIOSGA008804
Q6EPN6	Ensembl:BGIOSGA005843
Q6EPR6	Ensembl:BGIOSGA030440
Q6EPY7	Ensembl:BGIOSGA008359
Q6EPZ0	Ensembl:BGIOSGA029757
Q6EPZ2	Ensembl:BGIOSGA029758
Q6ERL4	Ensembl:BGIOSGA030542
Q6ERR3	Ensembl:BGIOSGA029755
Q6ESJ0	Ensembl:BGIOSGA008765
Q6ESZ9	Ensembl:BGIOSGA008385
Q6ET36	Ensembl:BGIOSGA006694
Q6ET88	Ensembl:BGIOSGA005875
Q6ETD3	Ensembl:BGIOSGA007345
Q6ETN1	Ensembl:BGIOSGA007030
Q6ETN3	Ensembl:BGIOSGA007656
Q6ETX4	Ensembl:BGIOSGA007931
Q6EUF1	Ensembl:BGIOSGA006827
Q6EUP4	Ensembl:BGIOSGA008496
Q6EUS6	Ensembl:BGIOSGA007852
Q6F354	Ensembl:BGIOSGA018478
Q6F361	Ensembl:BGIOSGA017515
Q6H415	Ensembl:BGIOSGA030701
Q6H4F7	Ensembl:BGIOSGA030630
Q6H4G3	Ensembl:BGIOSGA029883
Q6H4V1	Ensembl:BGIOSGA007064
Q6H513	Ensembl:BGIOSGA007638
Q6H515	Ensembl:BGIOSGA007637
Q6H543	Ensembl:BGIOSGA006838
Q6H5Z4	Ensembl:BGIOSGA006847
Q6H6C7	Ensembl:BGIOSGA007623
Q6H6D2	Ensembl:BGIOSGA007622
Q6H6G1	Ensembl:BGIOSGA008749
Q6H6I1	Ensembl:BGIOSGA005914
Q6H703	Ensembl:BGIOSGA007628
Q6H765	Ensembl:BGIOSGA006341
Q6H7Q6	Ensembl:BGIOSGA006958
Q6H819	Ensembl:BGIOSGA007019
Q6H849	Ensembl:BGIOSGA008680
Q6H8F6	Ensembl:BGIOSGA006900
Q6I581	Ensembl:BGIOSGA020457
Q6I5C3	Ensembl:BGIOSGA019369
Q6IEQ7	Ensembl:BGIOSGA004722
Q6IVC3	Ensembl:BGIOSGA010850
Q6K1S6	Ensembl:BGIOSGA006005
Q6K2E1	Ensembl:BGIOSGA029990
Q6K306	Ensembl:BGIOSGA030146
Q6K3T2	Ensembl:BGIOSGA006796
Q6K3Z3	Ensembl:BGIOSGA030366
Q6K4Q5	Ensembl:BGIOSGA009167
Q6K4V9	Ensembl:BGIOSGA006507
Q6K4Y7	Ensembl:BGIOSGA008165
Q6K548	Ensembl:BGIOSGA030593
Q6K5G8	Ensembl:BGIOSGA008564
Q6K5U4	Ensembl:BGIOSGA008027
Q6K678	Ensembl:BGIOSGA005450
Q6K6Q0	Ensembl:BGIOSGA005999
Q6K6Q1	Ensembl:BGIOSGA006000
Q6K755	Ensembl:BGIOSGA008236
Q6K7P2	Ensembl:BGIOSGA005319
Q6K7V6	Ensembl:BGIOSGA006700
Q6K846	Ensembl:BGIOSGA009237
Q6K8E2	Ensembl:BGIOSGA009088
Q6K8E7	Ensembl:BGIOSGA009243
Q6K8J4	Ensembl:BGIOSGA006093
Q6K8R6	Ensembl:BGIOSGA006089
Q6K969	Ensembl:BGIOSGA009350
Q6K973	Ensembl:BGIOSGA009348
Q6K985	Ensembl:BGIOSGA009256
Q6K9B8	Ensembl:BGIOSGA008607
Q6K9C5	Ensembl:BGIOSGA008605
Q6K9M5	Ensembl:BGIOSGA009184
Q6K9N6	Ensembl:BGIOSGA008643
Q6K9X3	Ensembl:BGIOSGA009324
Q6KAJ2	Ensembl:BGIOSGA009209
Q6L4G2	Ensembl:BGIOSGA017613
Q6L4H5	Ensembl:BGIOSGA020314
Q6L4L4	Ensembl:BGIOSGA019093
Q6L4R0	Ensembl:BGIOSGA019330
Q6L4R7	Ensembl:BGIOSGA017453
Q6L506	Ensembl:BGIOSGA017915
Q6L540	Ensembl:BGIOSGA017742
Q6L545	Ensembl:BGIOSGA019854
Q6L5H6	Ensembl:BGIOSGA017659
Q6MWK9	Ensembl:BGIOSGA015474
Q6Q9I2	Ensembl:BGIOSGA024961
Q6YPF1	Ensembl:BGIOSGA027739
Q6YPG5	Ensembl:BGIOSGA007337
Q6YS33	Ensembl:BGIOSGA011634
Q6YS36	Ensembl:BGIOSGA011640
Q6YSA1	Ensembl:BGIOSGA028816
Q6YSF8	Ensembl:BGIOSGA025088
Q6YT73	Ensembl:BGIOSGA025165
Q6YTI6	Ensembl:BGIOSGA006225
Q6YTT3	Ensembl:BGIOSGA026777
Q6YU51	Ensembl:BGIOSGA025304
Q6YUI8	Ensembl:BGIOSGA028475
Q6YUS0	Ensembl:BGIOSGA007227
Q6YUU2	Ensembl:BGIOSGA006982
Q6YV04	Ensembl:BGIOSGA007785
Q6YV23	Ensembl:BGIOSGA008894
Q6YVI0	Ensembl:BGIOSGA008886
Q6YVT1	Ensembl:BGIOSGA026709
Q6YVY0	Ensembl:BGIOSGA008429
Q6YVY6	Ensembl:BGIOSGA023939
Q6YWE1	Ensembl:BGIOSGA025389
Q6YXC2	Ensembl:BGIOSGA008474
Q6YXI1	Ensembl:BGIOSGA029619
Q6YXW6	Ensembl:BGIOSGA007514
Q6YYB9	Ensembl:BGIOSGA027951
Q6YYY7	Ensembl:BGIOSGA029200
Q6YYZ2	Ensembl:BGIOSGA027970
Q6YZ18	Ensembl:BGIOSGA027681
Q6YZ76	Ensembl:BGIOSGA028695
Q6YZE2	Ensembl:BGIOSGA026590
Q6YZH8	Ensembl:BGIOSGA029191
Q6YZX7	Ensembl:BGIOSGA028120
Q6Z0T7	Ensembl:BGIOSGA029169
Q6Z2L5	Ensembl:BGIOSGA007203
Q6Z2T6	Ensembl:BGIOSGA009042
Q6Z2T9	Ensembl:BGIOSGA005632
Q6Z312	Ensembl:BGIOSGA005551
Q6Z351	Ensembl:BGIOSGA025523 Ensembl:BGIOSGA025519
Q6Z368	Ensembl:BGIOSGA025344
Q6Z398	Ensembl:BGIOSGA025337
Q6Z3A4	Ensembl:BGIOSGA024358
Q6Z3F1	Ensembl:BGIOSGA026514
Q6Z3F9	Ensembl:BGIOSGA026515
Q6Z3X5	Ensembl:BGIOSGA038099
Q6Z3Y3	Ensembl:BGIOSGA023663
Q6Z414	Ensembl:BGIOSGA024099
Q6Z433	Ensembl:BGIOSGA007539
Q6Z434	Ensembl:BGIOSGA007538
Q6Z4E7	Ensembl:BGIOSGA025300
Q6Z4I1	Ensembl:BGIOSGA025315
Q6Z4U1	Ensembl:BGIOSGA028079
Q6Z5B5	Ensembl:BGIOSGA024144
Q6Z5I0	Ensembl:BGIOSGA008469
Q6Z5M0	Ensembl:BGIOSGA008953
Q6Z5M3	Ensembl:BGIOSGA008952
Q6Z684	Ensembl:BGIOSGA009079
Q6Z6F0	Ensembl:BGIOSGA007754
Q6Z6K9	Ensembl:BGIOSGA007800
Q6Z6L1	Ensembl:BGIOSGA007799
Q6Z6S7	Ensembl:BGIOSGA006606
Q6Z702	Ensembl:BGIOSGA007208
Q6Z744	Ensembl:BGIOSGA005663
Q6Z795	Ensembl:BGIOSGA006930
Q6Z7I3	Ensembl:BGIOSGA008108
Q6Z7Q3	Ensembl:BGIOSGA009104
Q6Z836	Ensembl:BGIOSGA007475
Q6Z8F4	Ensembl:BGIOSGA008865
Q6Z8S2	Ensembl:BGIOSGA026914
Q6Z8Z7	Ensembl:BGIOSGA007365 Ensembl:BGIOSGA007367
Q6Z965	Ensembl:BGIOSGA028797
Q6Z9A3	Ensembl:BGIOSGA027401
Q6Z9E6	Ensembl:BGIOSGA028747
Q6ZA22	Ensembl:BGIOSGA040489
Q6ZAC1	Ensembl:BGIOSGA026897
Q6ZAH2	Ensembl:BGIOSGA027197
Q6ZAK7	Ensembl:BGIOSGA028654
Q6ZB59	Ensembl:BGIOSGA028498
Q6ZB94	Ensembl:BGIOSGA026799
Q6ZBE1	Ensembl:BGIOSGA028637
Q6ZBH5	Ensembl:BGIOSGA029108
Q6ZC33	Ensembl:BGIOSGA028821 Ensembl:BGIOSGA026841
Q6ZC70	Ensembl:BGIOSGA027857
Q6ZCF0	Ensembl:BGIOSGA027464
Q6ZD10	Ensembl:BGIOSGA027143
Q6ZD89	Ensembl:BGIOSGA027626
Q6ZDJ7	Ensembl:BGIOSGA027059
Q6ZDQ1	Ensembl:BGIOSGA024666
Q6ZDY8	Ensembl:BGIOSGA024863
Q6ZEZ2	Ensembl:BGIOSGA024728
Q6ZFT5	Ensembl:BGIOSGA008915
Q6ZG77	Ensembl:BGIOSGA006555 Ensembl:BGIOSGA006554
Q6ZG91	Ensembl:BGIOSGA007189
Q6ZGS9	Ensembl:BGIOSGA008844
Q6ZGW6	Ensembl:BGIOSGA005733
Q6ZH92	Ensembl:BGIOSGA007413
Q6ZHB2	Ensembl:BGIOSGA005817
Q6ZHH4	Ensembl:BGIOSGA005530
Q6ZHH7	Ensembl:BGIOSGA005531
Q6ZHS4	Ensembl:BGIOSGA006996
Q6ZHZ1	Ensembl:BGIOSGA028425
Q6ZI39	Ensembl:BGIOSGA006275
Q6ZI55	Ensembl:BGIOSGA006128
Q6ZIA3	Ensembl:BGIOSGA029043
Q6ZIK0	Ensembl:BGIOSGA008877
Q6ZIX2	Ensembl:BGIOSGA024630
Q6ZJ97	Ensembl:BGIOSGA028186
Q6ZJK7	Ensembl:BGIOSGA027967
Q6ZJM9	Ensembl:BGIOSGA027795
Q6ZJU3	Ensembl:BGIOSGA026952
Q6ZK11	Ensembl:BGIOSGA028941
Q6ZKC0	Ensembl:BGIOSGA026944
Q6ZKV8	Ensembl:BGIOSGA027374
Q6ZL61	Ensembl:BGIOSGA024712
Q6ZL94	Ensembl:BGIOSGA026004
Q6ZLD3	Ensembl:BGIOSGA024719
Q6ZLJ9	Ensembl:BGIOSGA024622
Q75GB1	Ensembl:BGIOSGA019432
Q75GK0	Ensembl:BGIOSGA010196
Q75H77	Ensembl:BGIOSGA010254
Q75HA6	Ensembl:BGIOSGA010095
Q75HP7	Ensembl:BGIOSGA018007
Q75HQ7	Ensembl:BGIOSGA018017
Q75HZ9	Ensembl:BGIOSGA020439
Q75I93	Ensembl:BGIOSGA008343
Q75II5	Ensembl:BGIOSGA017721
Q75KD7	Ensembl:BGIOSGA010464 Ensembl:BGIOSGA010465
Q75KT7	Ensembl:BGIOSGA020259
Q75LC7	Ensembl:BGIOSGA013925
Q75LL5	Ensembl:BGIOSGA009804
Q75LR2	Ensembl:BGIOSGA012784
Q75M18	Ensembl:BGIOSGA018972 Ensembl:BGIOSGA018973
Q75V57	Ensembl:BGIOSGA035923
Q75W16	Ensembl:BGIOSGA023890
Q764B9	Ensembl:BGIOSGA009914
Q7EYE4	Ensembl:BGIOSGA027606
Q7EYM8	Ensembl:BGIOSGA027051
Q7EYQ2	Ensembl:BGIOSGA025083
Q7EZD3	Ensembl:BGIOSGA027623
Q7EZW6	Ensembl:BGIOSGA027136
Q7EZZ0	Ensembl:BGIOSGA023771
Q7F0B2	Ensembl:BGIOSGA025436
Q7F0Q2	Ensembl:BGIOSGA025736
Q7F190	Ensembl:BGIOSGA025745
Q7F1X5	Ensembl:BGIOSGA026900
Q7F8K7	Ensembl:BGIOSGA011770
Q7FAE1	Ensembl:BGIOSGA038038
Q7FAH2	Ensembl:BGIOSGA016636
Q7FAS1	Ensembl:BGIOSGA017163
Q7G065	Ensembl:BGIOSGA004052
Q7G1V6	Ensembl:BGIOSGA031502
Q7G2F7	Ensembl:BGIOSGA033214
Q7G2H3	Ensembl:BGIOSGA033194
Q7G4P2	Ensembl:BGIOSGA035213
Q7G602	Ensembl:BGIOSGA032683
Q7G6M2	Ensembl:BGIOSGA032028
Q7G7J6	Ensembl:BGIOSGA013420
Q7X634	Ensembl:BGIOSGA014711
Q7X720	Ensembl:BGIOSGA014705
Q7X742	Ensembl:BGIOSGA014246
Q7X7A1	Ensembl:BGIOSGA014261
Q7X7H9	Ensembl:BGIOSGA014251
Q7X7N2	Ensembl:BGIOSGA015760
Q7X7X0	Ensembl:BGIOSGA026147
Q7X7X4	Ensembl:BGIOSGA015504
Q7X8A1	Ensembl:BGIOSGA016539
Q7X8V3	Ensembl:BGIOSGA014703
Q7X993	Ensembl:BGIOSGA026428
Q7XAP2	Ensembl:BGIOSGA023029
Q7XBY6	Ensembl:BGIOSGA033490
Q7XC20	Ensembl:BGIOSGA031382
Q7XCK3	Ensembl:BGIOSGA033388
Q7XDE0	Ensembl:BGIOSGA033127
Q7XE48	Ensembl:BGIOSGA033011
Q7XEH2	Ensembl:BGIOSGA032938
Q7XEZ1	Ensembl:BGIOSGA031997
Q7XEZ6	Ensembl:BGIOSGA032002
Q7XGU4	Ensembl:BGIOSGA032289
Q7XH05	Ensembl:BGIOSGA032502
Q7XHL3	Ensembl:BGIOSGA040468
Q7XHZ2	Ensembl:BGIOSGA025615
Q7XI34	Ensembl:BGIOSGA025442
Q7XI35	Ensembl:BGIOSGA025439
Q7XI67	Ensembl:BGIOSGA026439
Q7XI92	Ensembl:BGIOSGA024015
Q7XI96	Ensembl:BGIOSGA024018
Q7XK23	Ensembl:BGIOSGA014873
Q7XKH9	Ensembl:BGIOSGA040160
Q7XKI0	Ensembl:BGIOSGA016136
Q7XKQ8	Ensembl:BGIOSGA016278
Q7XM21	Ensembl:BGIOSGA014166
Q7XMA8	Ensembl:BGIOSGA028635
Q7XMP7	Ensembl:BGIOSGA017254 Ensembl:BGIOSGA017073
Q7XMU7	Ensembl:BGIOSGA033377
Q7XNX6	Ensembl:BGIOSGA015483
Q7XNY3	Ensembl:BGIOSGA017063
Q7XPB5	Ensembl:BGIOSGA014516
Q7XPR5	Ensembl:BGIOSGA014560
Q7XPW5	Ensembl:BGIOSGA017373
Q7XQ85	Ensembl:BGIOSGA014511
Q7XR02	Ensembl:BGIOSGA014179
Q7XR60	Ensembl:BGIOSGA014129
Q7XR61	Ensembl:BGIOSGA014130
Q7XRA1	Ensembl:BGIOSGA015766
Q7XRT0	Ensembl:BGIOSGA009376
Q7XRX3	Ensembl:BGIOSGA016941
Q7XSS9	Ensembl:BGIOSGA014036
Q7XTB2	Ensembl:BGIOSGA015751
Q7XTE8	Ensembl:BGIOSGA016551
Q7XTH0	Ensembl:BGIOSGA001725
Q7XTK3	Ensembl:BGIOSGA015795
Q7XTU2	Ensembl:BGIOSGA017141
Q7XTX7	Ensembl:BGIOSGA016963
Q7XU28	Ensembl:BGIOSGA016885
Q7XU29	Ensembl:BGIOSGA016886
Q7XUA8	Ensembl:BGIOSGA016775
Q7XUH5	Ensembl:BGIOSGA016966
Q7XUI7	Ensembl:BGIOSGA016934
Q7XUK6	Ensembl:BGIOSGA014797
Q7XUS2	Ensembl:BGIOSGA014945
Q7XV13	Ensembl:BGIOSGA016491
Q7XV42	Ensembl:BGIOSGA016514
Q7XV97	Ensembl:BGIOSGA016308
Q7XVM2	Ensembl:BGIOSGA015187
Q7XVM8	Ensembl:BGIOSGA015185
Q7XVP0	Ensembl:BGIOSGA016111
Q7XYS3	Ensembl:BGIOSGA012156
Q7XZH5	Ensembl:BGIOSGA013797
Q7Y0B9	Ensembl:BGIOSGA013621
Q7Y0C8	Ensembl:BGIOSGA009755
Q7Y0W5	Ensembl:BGIOSGA031750
Q7Y0Y6	Ensembl:BGIOSGA006874
Q7Y0Y8	Ensembl:BGIOSGA012324 Ensembl:BGIOSGA038718
Q7Y152	Ensembl:BGIOSGA013878
Q7Y1H9	Ensembl:BGIOSGA009642
Q7Y1I9	Ensembl:BGIOSGA009640
Q7Y1J1	Ensembl:BGIOSGA009639
Q84J55	Ensembl:BGIOSGA028862
Q84J76	Ensembl:BGIOSGA025078
Q84JH5	Ensembl:BGIOSGA011034
Q84JI0	Ensembl:BGIOSGA011032
Q84LF7	Ensembl:BGIOSGA025962
Q84LK3	Ensembl:BGIOSGA028697
Q84M43	Ensembl:BGIOSGA009600
Q84MN8	Ensembl:BGIOSGA009834
Q84NP3	Ensembl:BGIOSGA026448
Q84Q89	Ensembl:BGIOSGA011058
Q84QA7	Ensembl:BGIOSGA012284
Q84R94	Ensembl:BGIOSGA010559
Q84RS4	Ensembl:BGIOSGA025742
Q84RX6	Ensembl:BGIOSGA023981
Q84T92	Ensembl:BGIOSGA009556
Q84VC7	Ensembl:BGIOSGA020250
Q84VK7	Ensembl:BGIOSGA025827
Q84YK8	Ensembl:BGIOSGA028970
Q84ZN6	Ensembl:BGIOSGA024623
Q84ZY2	Ensembl:BGIOSGA021999
Q851L5	Ensembl:BGIOSGA013895
Q851Z6	Ensembl:BGIOSGA013949
Q852C2	Ensembl:BGIOSGA013849
Q852M1	Ensembl:BGIOSGA009667
Q852M2	Ensembl:BGIOSGA009672
Q852P4	Ensembl:BGIOSGA008648
Q852Q1	Ensembl:BGIOSGA012387
Q8GRS2	Ensembl:BGIOSGA011983
Q8GRU7	Ensembl:BGIOSGA026237
Q8GSI0	Ensembl:BGIOSGA011332
Q8GT01	Ensembl:BGIOSGA000114
Q8GZY1	Ensembl:BGIOSGA011586
Q8H016	Ensembl:BGIOSGA011980
Q8H038	Ensembl:BGIOSGA011848
Q8H048	Ensembl:BGIOSGA011568
Q8H051	Ensembl:BGIOSGA011729
Q8H075	Ensembl:BGIOSGA011868
Q8H093	Ensembl:BGIOSGA031524
Q8H0A1	Ensembl:BGIOSGA031527
Q8H0B2	Ensembl:BGIOSGA027930
Q8H0B6	Ensembl:BGIOSGA017137
Q8H273	Ensembl:BGIOSGA016950
Q8H395	Ensembl:BGIOSGA026133
Q8H3A4	Ensembl:BGIOSGA026125
Q8H3C8	Ensembl:BGIOSGA024525
Q8H3C9	Ensembl:BGIOSGA024526
Q8H3I4	Ensembl:BGIOSGA026138
Q8H3Q7	Ensembl:BGIOSGA023742
Q8H4L3	Ensembl:BGIOSGA024606
Q8H530	Ensembl:BGIOSGA024301
Q8H539	Ensembl:BGIOSGA024779
Q8H7P5	Ensembl:BGIOSGA011314
Q8H7S6	Ensembl:BGIOSGA011194
Q8H7T7	Ensembl:BGIOSGA011611
Q8H825	Ensembl:BGIOSGA012137
Q8H8U0	Ensembl:BGIOSGA010966
Q8H930	Ensembl:BGIOSGA025123
Q8LGW5	Ensembl:BGIOSGA024503
Q8LGZ9	Ensembl:BGIOSGA025001
Q8LHD1	Ensembl:BGIOSGA000047
Q8LI89	Ensembl:BGIOSGA025213
Q8LIG8	Ensembl:BGIOSGA026421
Q8LIY8	Ensembl:BGIOSGA000839
Q8LJJ2	Ensembl:BGIOSGA000980
Q8LM92	Ensembl:BGIOSGA032680
Q8LMW8	Ensembl:BGIOSGA032644
Q8LN68	Ensembl:BGIOSGA013417
Q8LNU2	Ensembl:BGIOSGA031623
Q8LQ34	Ensembl:BGIOSGA004814
Q8LR33	Ensembl:BGIOSGA001078
Q8LR75	Ensembl:BGIOSGA004775
Q8LRA0	Ensembl:BGIOSGA040521
Q8RU95	Ensembl:BGIOSGA004994
Q8RV06	Ensembl:BGIOSGA032416
Q8RV34	Ensembl:BGIOSGA037430
Q8RYL0	Ensembl:BGIOSGA000201
Q8RYL1	Ensembl:BGIOSGA000202
Q8RYY6	Ensembl:BGIOSGA004904
Q8RZZ3	Ensembl:BGIOSGA004246
Q8S2E5	Ensembl:BGIOSGA004374
Q8S2G0	Ensembl:BGIOSGA004631
Q8S3R0	Ensembl:BGIOSGA005767
Q8S5M6	Ensembl:BGIOSGA032060
Q8S5N2	Ensembl:BGIOSGA032790 Ensembl:BGIOSGA032789
Q8S5T1	Ensembl:BGIOSGA011925
Q8S601	Ensembl:BGIOSGA032138
Q8S7N5	Ensembl:BGIOSGA033481
Q8S919	Ensembl:BGIOSGA007921
Q8S920	Ensembl:BGIOSGA001088
Q8S983	Ensembl:BGIOSGA014158
Q8S985	Ensembl:BGIOSGA020357
Q8S9S4	Ensembl:BGIOSGA001413
Q8S9Z2	Ensembl:BGIOSGA000035
Q8VWH2	Ensembl:BGIOSGA022349
Q8W1L6	Ensembl:BGIOSGA007953
Q8W250	Ensembl:BGIOSGA002548
Q8W3J0	Ensembl:BGIOSGA012337
Q8W3L9	Ensembl:BGIOSGA023694
Q8W3M0	Ensembl:BGIOSGA012535
Q8W5G9	Ensembl:BGIOSGA013616
Q93VC3	Ensembl:BGIOSGA001621
Q93VD5	Ensembl:BGIOSGA001391
Q93WI9	Ensembl:BGIOSGA022351
Q93X08	Ensembl:BGIOSGA031231
Q93XI4	Ensembl:BGIOSGA008362
Q93Y73	Ensembl:BGIOSGA013607
Q941T9	Ensembl:BGIOSGA004796
Q941W8	Ensembl:BGIOSGA004727
Q942X4	Ensembl:BGIOSGA000165
Q943R3	Ensembl:BGIOSGA002720
Q94E75	Ensembl:BGIOSGA001611
Q94GF1	Ensembl:BGIOSGA009526
Q94HG3	Ensembl:BGIOSGA011996
Q94HG6	Ensembl:BGIOSGA011998
Q94IW5	Ensembl:BGIOSGA002945
Q94J08	Ensembl:BGIOSGA000826
Q94J90	Ensembl:BGIOSGA004650
Q94JA2	Ensembl:BGIOSGA004108
Q94LG1	Ensembl:BGIOSGA010585
Q94LV4	Ensembl:BGIOSGA033410
Q9ASD3	Ensembl:BGIOSGA004316
Q9ASK5	Ensembl:BGIOSGA002627
Q9ASP4	Ensembl:BGIOSGA001752
Q9AUQ4	Ensembl:BGIOSGA013440
Q9AUV6	Ensembl:BGIOSGA013592
Q9AV47	Ensembl:BGIOSGA033142
Q9AV71	Ensembl:BGIOSGA033103
Q9AWL7	Ensembl:BGIOSGA002246
Q9AWZ7	Ensembl:BGIOSGA002091
Q9FDX8	Ensembl:BGIOSGA022685
Q9FDY4	Ensembl:BGIOSGA002207
Q9FE35	Ensembl:BGIOSGA004027
Q9FTN5	Ensembl:BGIOSGA002551
Q9FTN6	Ensembl:BGIOSGA002552
Q9FTR6	Ensembl:BGIOSGA002696
Q9FTZ2	Ensembl:BGIOSGA002561
Q9FU17	Ensembl:BGIOSGA002212
Q9FU67	Ensembl:BGIOSGA002877
Q9FU68	Ensembl:BGIOSGA002876
Q9FU69	Ensembl:BGIOSGA002875
Q9FWC1	Ensembl:BGIOSGA031535
Q9FWK4	Ensembl:BGIOSGA033116
Q9FWQ2	Ensembl:BGIOSGA031437
Q9LD61	Ensembl:BGIOSGA027368
Q9LDB7	Ensembl:BGIOSGA022413
Q9LG86	Ensembl:BGIOSGA002927
Q9LGL5	Ensembl:BGIOSGA002345
Q9LGU6	Ensembl:BGIOSGA001851
Q9LHZ0	Ensembl:BGIOSGA022171
Q9LHZ7	Ensembl:BGIOSGA027158
Q9LIZ8	Ensembl:BGIOSGA001915
Q9LWU9	Ensembl:BGIOSGA022020
Q9LWV3	Ensembl:BGIOSGA022219
Q9S7D3	Ensembl:BGIOSGA027742
Q9SDG5	Ensembl:BGIOSGA003249
Q9SE42	Ensembl:BGIOSGA031047
Q9SMB1	Ensembl:BGIOSGA024435
Q9SNK3	Ensembl:BGIOSGA011768
Q9SNN0	Ensembl:BGIOSGA022007
Q9SNQ6	Ensembl:BGIOSGA021953
Q9XEA6	Ensembl:BGIOSGA035799
Q9XFE5	Ensembl:BGIOSGA031328
Q9XG80	Ensembl:BGIOSGA005300
Q9XHL5	Ensembl:BGIOSGA028986
Q9XJ29	Ensembl:BGIOSGA011056
Q9XJ60	Ensembl:BGIOSGA011552
Q9ZTP5	Ensembl:BGIOSGA011944
UPI00000AA151	Ensembl:BGIOSGA022413
UPI0001C7A9C3	Ensembl:BGIOSGA029247
