A2X747	Ensembl:OBART02G23830
Q6YYB9	Ensembl:OBART08G02260
Q6YYY7	Ensembl:OBART08G23700
Q6YYZ2	Ensembl:OBART08G02630
Q6YZ76	Ensembl:OBART08G15110
Q6YZE2	Ensembl:OBART08G21580
Q6YZH8	Ensembl:OBART08G23550
Q6YZX7	Ensembl:OBART08G05280
Q6Z0T7	Ensembl:OBART08G23260
Q6Z2L5	Ensembl:OBART02G02200
Q6Z2T6	Ensembl:OBART02G32310
Q6Z2T9	Ensembl:OBART02G32290
Q6Z368	Ensembl:OBART07G06500
Q6Z398	Ensembl:OBART07G06370
Q6Z3A4	Ensembl:OBART05G02050
Q6Z3F1	Ensembl:OBART08G23150
Q6Z3F9	Ensembl:OBART08G23080
Q6Z3X5	Ensembl:OBART07G27490
Q6Z3Y3	Ensembl:OBART07G27420
Q6Z414	Ensembl:OBART07G18450
Q6Z434	Ensembl:OBART02G03770
Q6Z4E7	Ensembl:OBART07G05690
Q6Z4I1	Ensembl:OBART07G05890
Q6Z4U1	Ensembl:OBART08G04550
Q6Z5B5	Ensembl:OBART07G17700
Q6Z5I0	Ensembl:OBART02G21280
Q6Z5M0	Ensembl:OBART02G30700
Q6Z684	Ensembl:OBART02G33070
Q6Z6F0	Ensembl:OBART02G07850
Q6Z6L1	Ensembl:OBART03G01510
Q6Z6S7	Ensembl:OBART02G13930
Q6Z702	Ensembl:OBART02G01970
Q6Z744	Ensembl:OBART02G31710
Q6Z795	Ensembl:OBART02G07700
Q6Z7I3	Ensembl:OBART02G14910
Q6Z836	Ensembl:OBART02G02750
Q6Z8F4	Ensembl:OBART02G28980
Q6Z8S2	Ensembl:OBART08G16230
Q6Z8Z7	Ensembl:OBART02G00790
Q6Z965	Ensembl:OBART08G17240
Q6Z9A3	Ensembl:OBART08G07040
Q6Z9E6	Ensembl:OBART08G16190
Q6ZA22	Ensembl:OBART08G13340
Q6ZAC1	Ensembl:OBART08G16570
Q6ZAH2	Ensembl:OBART08G10440
Q6ZB59	Ensembl:OBART08G11650
Q6ZB94	Ensembl:OBART08G18170
Q6ZBH5	Ensembl:OBART08G22400
Q6ZC70	Ensembl:OBART08G00660
Q6ZCF0	Ensembl:OBART08G06010
Q6ZD10	Ensembl:OBART08G11580
Q6ZD89	Ensembl:OBART08G03420
Q6ZDJ7	Ensembl:OBART08G12780
Q6ZDQ1	Ensembl:OBART07G06270
Q6ZDY8	Ensembl:OBART07G02260
Q6ZEZ2	Ensembl:OBART07G04870
Q6ZFT5	Ensembl:OBART02G30090
Q6ZG77	Ensembl:OBART02G15260
Q6ZG91	Ensembl:OBART02G02470
Q6ZGS9	Ensembl:OBART02G28610
Q6ZGW6	Ensembl:OBART02G30200
Q6ZH92	Ensembl:OBART02G01680
Q6ZHA3	Ensembl:OBART02G01570
Q6ZHB2	Ensembl:OBART02G28370
Q6ZHH4	Ensembl:OBART02G34080
Q6ZHH7	Ensembl:OBART02G34070
Q6ZHS4	Ensembl:OBART02G06600
Q6ZHZ1	Ensembl:OBART08G09860
Q6ZI39	Ensembl:OBART02G20160
Q6ZI55	Ensembl:OBART02G22710
Q6ZIA3	Ensembl:OBART08G21450
Q6ZIK0	Ensembl:OBART02G29170
Q6ZIX2	Ensembl:OBART07G06830
Q6ZJ97	Ensembl:OBART08G06060
Q6ZJK7	Ensembl:OBART08G02500
Q6ZJM9	Ensembl:OBART08G00380
Q6ZJU3	Ensembl:OBART08G15380
Q6ZK11	Ensembl:OBART08G19490
Q6ZKC0	Ensembl:OBART08G15510
Q6ZKV8	Ensembl:OBART08G07470
Q6ZL61	Ensembl:OBART07G05270
Q6ZL94	Ensembl:OBART07G19780
Q6ZLD3	Ensembl:OBART07G05030
Q6ZLJ9	Ensembl:OBART07G07040
Q75GB1	Ensembl:OBART05G08020
Q75GK0	Ensembl:OBART03G26840
Q75H77	Ensembl:OBART03G25910
Q75HA6	Ensembl:OBART03G28720
Q75HP7	Ensembl:OBART05G17450
Q75HQ7	Ensembl:OBART05G17310
Q75HZ9	Ensembl:OBART05G27180
Q75II5	Ensembl:OBART05G22820
Q75KD7	Ensembl:OBART03G22610 Ensembl:OBART03G22600
Q75KT7	Ensembl:OBART05G23950
Q75L84	Ensembl:OBART05G01650
Q75LL5	Ensembl:OBART03G34360
Q75LR2	Ensembl:OBART03G19970
Q75M18	Ensembl:OBART05G00360
Q75V57	Ensembl:OBART12G17230
Q75W16	Ensembl:OBART07G22660
Q764B9	Ensembl:OBART03G32040
Q7EYE4	Ensembl:OBART08G03750
Q7EYM8	Ensembl:OBART08G13100
Q7EYQ2	Ensembl:OBART07G01790
Q7EZD3	Ensembl:OBART08G03460
Q7EZW6	Ensembl:OBART08G11740
Q7EZZ0	Ensembl:OBART07G25250
Q7F0B2	Ensembl:OBART07G08420
Q7F190	Ensembl:OBART07G15080
Q7F8K7	Ensembl:OBART03G02410
Q7FAH2	Ensembl:OBART04G16690
Q7G065	Ensembl:OBART01G23700
Q7G2F7	Ensembl:OBART10G14630
Q7G2H3	Ensembl:OBART10G14330
Q7G4P2	Ensembl:OBART10G04620
Q7G602	Ensembl:OBART10G05570
Q7G6M2	Ensembl:OBART10G08270
Q7G7J6	Ensembl:OBART03G31370
Q7X634	Ensembl:OBART04G18740
Q7X720	Ensembl:OBART04G18850
Q7X742	Ensembl:OBART04G26980
Q7X7H9	Ensembl:OBART04G26900
Q7X7N2	Ensembl:OBART04G00240
Q7X7X0	Ensembl:OBART07G22380
Q7X7X4	Ensembl:OBART04G02940
Q7X8A1	Ensembl:OBART04G14870
Q7X8V3	Ensembl:OBART04G18870
Q7X993	Ensembl:OBART07G26940
Q7XAP2	Ensembl:OBART06G17050
Q7XBY6	Ensembl:OBART10G19340
Q7XC20	Ensembl:OBART10G18880
Q7XCK3	Ensembl:OBART10G17400
Q7XDE0	Ensembl:OBART10G13170
Q7XE48	Ensembl:OBART10G11180
Q7XEH2	Ensembl:OBART10G10440
Q7XEZ1	Ensembl:OBART10G08710
Q7XGU4	Ensembl:OBART10G02350
Q7XH05	Ensembl:OBART10G01800
Q7XHL3	Ensembl:OBART07G12420
Q7XHZ2	Ensembl:OBART07G12850
Q7XI34	Ensembl:OBART07G08470
Q7XI67	Ensembl:OBART07G27170
Q7XI92	Ensembl:OBART07G19970
Q7XI96	Ensembl:OBART07G19930
Q7XK23	Ensembl:OBART04G16160
Q7XKH9	Ensembl:OBART04G07500
Q7XKQ8	Ensembl:OBART04G10550
Q7XM21	Ensembl:OBART04G28440
Q7XMA8	Ensembl:OBART04G07560
Q7XMP7	Ensembl:OBART04G27670
Q7XMU7	Ensembl:OBART04G08790
Q7XNY3	Ensembl:OBART04G24360
Q7XPB5	Ensembl:OBART04G22440
Q7XPR5	Ensembl:OBART04G21450
Q7XPW5	Ensembl:OBART04G30040
Q7XQ85	Ensembl:OBART04G22590
Q7XR02	Ensembl:OBART04G28250
Q7XR60	Ensembl:OBART04G29010
Q7XRA1	Ensembl:OBART04G00340
Q7XRT0	Ensembl:OBART04G05070
Q7XRX3	Ensembl:OBART04G22030
Q7XSS9	Ensembl:OBART04G30660
Q7XTB2	Ensembl:OBART04G00150
Q7XTE8	Ensembl:OBART04G15100
Q7XTK3	Ensembl:OBART04G00910
Q7XTU2	Ensembl:OBART04G25970
Q7XTX7	Ensembl:OBART04G22430
Q7XU28	Ensembl:OBART04G20840
Q7XU29	Ensembl:OBART04G20850
Q7XUA8	Ensembl:OBART04G19000
Q7XUH5	Ensembl:OBART04G22510
Q7XUI7	Ensembl:OBART04G21910
Q7XUK6	Ensembl:OBART04G17430
Q7XUS2	Ensembl:OBART04G15170
Q7XV13	Ensembl:OBART04G14140
Q7XV42	Ensembl:OBART04G14430
Q7XV97	Ensembl:OBART04G10960
Q7XVM2	Ensembl:OBART04G10880
Q7XVM8	Ensembl:OBART04G10950
Q7XVP0	Ensembl:OBART04G07100
Q7XWP9	Ensembl:OBART04G05610
Q7XYS3	Ensembl:OBART03G09080
Q7XZH5	Ensembl:OBART03G38410
Q7Y0B9	Ensembl:OBART03G35230
Q7Y0C8	Ensembl:OBART03G35390
Q7Y0W5	Ensembl:OBART10G12450
Q7Y0Y6	Ensembl:OBART02G08680
Q7Y0Y8	Ensembl:OBART06G19560
Q7Y152	Ensembl:OBART03G39850
Q7Y1H9	Ensembl:OBART03G37380
Q7Y1I9	Ensembl:OBART03G37390
Q84J55	Ensembl:OBART08G18290
Q84J76	Ensembl:OBART07G01780
Q84JH5	Ensembl:OBART03G11940
Q84JI0	Ensembl:OBART03G11970
Q84LF7	Ensembl:OBART07G19050
Q84LK3	Ensembl:OBART08G15140
Q84M43	Ensembl:OBART03G38230
Q84MN8	Ensembl:OBART03G33780
Q84NP3	Ensembl:OBART07G27340
Q84Q89	Ensembl:OBART03G11520
Q84QA7	Ensembl:OBART03G11670
Q84R94	Ensembl:OBART03G20810
Q84RS4	Ensembl:OBART07G14990
Q84RX6	Ensembl:OBART07G20780
Q84T92	Ensembl:OBART03G38990
Q84VC7	Ensembl:OBART05G23810
Q84VK7	Ensembl:OBART07G16470
Q84YK8	Ensembl:OBART08G19980
Q84ZN6	Ensembl:OBART07G06950
Q84ZY2	Ensembl:OBART06G02080
Q851L5	Ensembl:OBART03G40150
Q851Z6	Ensembl:OBART03G41050
Q852M2	Ensembl:OBART03G36890
Q852P4	Ensembl:OBART02G24660
Q852Q1	Ensembl:OBART08G18550
Q8GRS2	Ensembl:OBART03G05940
Q8GRU7	Ensembl:OBART07G23760
Q8GSI0	Ensembl:OBART03G05930
Q8GVJ4	Ensembl:OBART07G11630
Q8GVZ0	Ensembl:OBART07G17800
Q8GZY1	Ensembl:OBART03G00990
Q8H016	Ensembl:OBART03G05840
Q8H038	Ensembl:OBART03G03460
Q8H048	Ensembl:OBART03G01490
Q8H051	Ensembl:OBART03G01460
Q8H075	Ensembl:OBART03G03890
Q8H093	Ensembl:OBART10G16320
Q8H0A1	Ensembl:OBART10G16270
Q8H0B2	Ensembl:OBART08G01870
Q8H0B6	Ensembl:OBART04G25880
Q8H273	Ensembl:OBART04G22220
Q8H395	Ensembl:OBART07G22130
Q8H3A4	Ensembl:OBART07G22020
Q8H3C9	Ensembl:OBART07G08900
Q8H3I4	Ensembl:OBART07G22210
Q8H3Q7	Ensembl:OBART07G25740
Q8H530	Ensembl:OBART07G14500
Q8H539	Ensembl:OBART07G03900
Q8H7P5	Ensembl:OBART03G06410
Q8H7S6	Ensembl:OBART03G08960
Q8H7T7	Ensembl:OBART03G00450
Q8H825	Ensembl:OBART03G08730
Q8H8U0	Ensembl:OBART03G12990
Q8H930	Ensembl:OBART07G02440
Q8LGW5	Ensembl:OBART07G09490
Q8LGZ9	Ensembl:OBART07G00270
Q8LHD1	Ensembl:OBART01G45040
Q8LI89	Ensembl:OBART07G04330
Q8LIG8	Ensembl:OBART07G26840
Q8LIY8	Ensembl:OBART01G30620
Q8LJJ2	Ensembl:OBART01G27390
Q8LM92	Ensembl:OBART10G05550
Q8LMW8	Ensembl:OBART10G04720
Q8LN68	Ensembl:OBART03G31290
Q8LQ34	Ensembl:OBART10G12180
Q8LR33	Ensembl:OBART01G25500
Q8LR75	Ensembl:OBART01G36780
Q8RU95	Ensembl:OBART01G40730
Q8RV06	Ensembl:OBART10G00290
Q8RV34	Ensembl:OBART12G12820
Q8RYL0	Ensembl:OBART01G42660
Q8RYL1	Ensembl:OBART01G42650
Q8RYY6	Ensembl:OBART01G38980
Q8RZZ3	Ensembl:OBART01G27250
Q8S2E5	Ensembl:OBART01G29360
Q8S2G0	Ensembl:OBART01G34170
Q8S3R0	Ensembl:OBART02G29570
Q8S5M6	Ensembl:OBART10G07670
Q8S5N2	Ensembl:OBART10G07720
Q8S5T1	Ensembl:OBART03G04710
Q8S601	Ensembl:OBART10G05870
Q8S7N5	Ensembl:OBART10G19220
Q8S919	Ensembl:OBART02G11340
Q8S920	Ensembl:OBART01G25260
Q8S983	Ensembl:OBART04G28590
Q8S985	Ensembl:OBART05G25790
Q8S9S4	Ensembl:OBART01G19660
Q8S9Z2	Ensembl:OBART01G45280
Q8W1L6	Ensembl:OBART02G11970
Q8W250	Ensembl:OBART01G00500
Q8W3J0	Ensembl:OBART03G12480
Q8W3L9	Ensembl:OBART07G26760
Q8W3M0	Ensembl:OBART03G15700
Q8W5G9	Ensembl:OBART03G35150
Q93VC3	Ensembl:OBART01G15720
Q93VD5	Ensembl:OBART01G19820
Q93WI9	Ensembl:OBART06G03790
Q93X08	Ensembl:OBART09G18970
Q93XI4	Ensembl:OBART02G19210
Q93Y73	Ensembl:OBART03G34970
Q941T9	Ensembl:OBART01G37180
Q941W8	Ensembl:OBART01G35840
Q942X4	Ensembl:OBART01G43210
Q943R3	Ensembl:OBART01G02270
Q94E75	Ensembl:OBART01G15940
Q94EE9	Ensembl:OBART01G32430
Q94GF1	Ensembl:OBART03G39490
Q94HG3	Ensembl:OBART03G06190
Q94IW5	Ensembl:OBART01G06210
Q94J08	Ensembl:OBART01G30930
Q94J90	Ensembl:OBART01G34420
Q94JA2	Ensembl:OBART01G24680
Q94JJ0	Ensembl:OBART01G01180
Q94LU9	Ensembl:OBART10G17780
Q94LV4	Ensembl:OBART10G17800
Q9ASD3	Ensembl:OBART01G28490
Q9ASK5	Ensembl:OBART01G00760
Q9ASP4	Ensembl:OBART01G13840
Q9AUQ4	Ensembl:OBART03G31750
Q9AUV6	Ensembl:OBART03G34800
Q9AV47	Ensembl:OBART10G13410
Q9AV71	Ensembl:OBART10G12710
Q9AWL7	Ensembl:OBART01G05380
Q9AWZ7	Ensembl:OBART01G07860
Q9FDY4	Ensembl:OBART01G06020
Q9FE35	Ensembl:OBART01G23380
Q9FTN5	Ensembl:OBART01G00450
Q9FTN6	Ensembl:OBART01G00440
Q9FTR6	Ensembl:OBART01G01810
Q9FTZ2	Ensembl:OBART01G00270
Q9FU17	Ensembl:OBART01G05940
Q9FU68	Ensembl:OBART01G04920
Q9FWC1	Ensembl:OBART10G16030
Q9FWK4	Ensembl:OBART10G12890
Q9FWQ2	Ensembl:OBART10G18030
Q9LD61	Ensembl:OBART08G07570
Q9LDB7	Ensembl:OBART06G05000
Q9LG86	Ensembl:OBART01G05770
Q9LGL5	Ensembl:OBART01G03960
Q9LGU6	Ensembl:OBART01G12280 Ensembl:OBART01G12260
Q9LHZ0	Ensembl:OBART06G00800
Q9LHZ7	Ensembl:OBART06G00760
Q9LIZ8	Ensembl:OBART01G10810
Q9LWU9	Ensembl:OBART06G01600
Q9S7D3	Ensembl:OBART08G01360
Q9SDG5	Ensembl:OBART01G11060
Q9SE42	Ensembl:OBART09G15640
Q9SMB1	Ensembl:OBART07G11230
Q9SNK3	Ensembl:OBART03G02340
Q9SNN0	Ensembl:OBART06G01930
Q9SNQ6	Ensembl:OBART06G02780
Q9XEA6	Ensembl:OBART12G19390
Q9XEA8	Ensembl:OBART03G34110
Q9XG80	Ensembl:OBART02G38360
Q9XHL5	Ensembl:OBART08G20250
Q9XJ03	Ensembl:OBART06G04530
Q9XJ29	Ensembl:OBART03G11580
Q9ZTP5	Ensembl:OBART03G05160
UPI00000AA151	Ensembl:OBART06G05000
