A2X747	Ensembl:BRADI3G48530
Q6K846	Ensembl:BRADI3G54610
Q6K8E2	Ensembl:BRADI3G58327 Ensembl:BRADI3G58320
Q6K8J4	Ensembl:BRADI3G48080
Q6K8R6	Ensembl:BRADI3G48250
Q6K969	Ensembl:BRADI3G60720
Q6K973	Ensembl:BRADI3G60687
Q6K9B8	Ensembl:BRADI3G48490
Q6K9C5	Ensembl:BRADI3G48447
Q6K9M5	Ensembl:BRADI3G53830
Q6K9N6	Ensembl:BRADI3G49070
Q6K9X3	Ensembl:BRADI3G55890
Q6KAJ2	Ensembl:BRADI3G54200
Q6L4G2	Ensembl:BRADI2G17400
Q6L4H5	Ensembl:BRADI2G17620
Q6L4L4	Ensembl:BRADI2G38030
Q6L4R0	Ensembl:BRADI2G33050
Q6L4R7	Ensembl:BRADI2G14420
Q6L506	Ensembl:BRADI2G23220
Q6L540	Ensembl:BRADI5G21770
Q6L545	Ensembl:BRADI2G25600
Q6L5H6	Ensembl:BRADI2G18510
Q6MWK9	Ensembl:BRADI1G75040
Q6Q9I2	Ensembl:BRADI1G59250
Q6YPG5	Ensembl:BRADI3G00690
Q6YS36	Ensembl:BRADI1G51377
Q6YSA1	Ensembl:BRADI4G31770
Q6YSF8	Ensembl:BRADI1G57580
Q6YT73	Ensembl:BRADI1G58480
Q6YTI6	Ensembl:BRADI3G46390
Q6YTT3	Ensembl:BRADI3G38670
Q6YU51	Ensembl:BRADI1G54890
Q6YUI8	Ensembl:BRADI1G46030
Q6YUS0	Ensembl:BRADI3G01950
Q6YUU2	Ensembl:BRADI3G06597
Q6YV23	Ensembl:BRADI3G05360
Q6YVI0	Ensembl:BRADI3G52727
Q6YVT1	Ensembl:BRADI3G39970
Q6YVY0	Ensembl:BRADI3G45880
Q6YVY6	Ensembl:BRADI1G22180
Q6YWE1	Ensembl:BRADI1G54060
Q6YXC2	Ensembl:BRADI3G46590
Q6YXI1	Ensembl:BRADI4G32530
Q6YXW6	Ensembl:BRADI1G55300
Q6YYB9	Ensembl:BRADI3G14490
Q6YYY7	Ensembl:BRADI4G21220
Q6YYZ2	Ensembl:BRADI3G34531
Q6YZE2	Ensembl:BRADI3G41270
Q6YZH8	Ensembl:BRADI3G42960
Q6YZX7	Ensembl:BRADI2G61980
Q6Z0T7	Ensembl:BRADI3G42650
Q6Z2L5	Ensembl:BRADI3G02680
Q6Z2T6	Ensembl:BRADI3G59430
Q6Z2T9	Ensembl:BRADI3G59447
Q6Z312	Ensembl:BRADI3G57960
Q6Z3A4	Ensembl:BRADI2G38350
Q6Z3F9	Ensembl:BRADI3G42580
Q6Z3Y3	Ensembl:BRADI1G16517
Q6Z414	Ensembl:BRADI1G24887
Q6Z433	Ensembl:BRADI3G03800
Q6Z4E7	Ensembl:BRADI1G54950
Q6Z4I1	Ensembl:BRADI2G09540
Q6Z5M3	Ensembl:BRADI3G56507
Q6Z684	Ensembl:BRADI3G58670
Q6Z6K9	Ensembl:BRADI3G08160
Q6Z6L1	Ensembl:BRADI3G08160
Q6Z6S7	Ensembl:BRADI3G11450
Q6Z702	Ensembl:BRADI3G02487
Q6Z744	Ensembl:BRADI3G59890
Q6Z795	Ensembl:BRADI3G07397
Q6Z7I3	Ensembl:BRADI1G06560 Ensembl:BRADI3G11337
Q6Z836	Ensembl:BRADI3G03080
Q6Z8F4	Ensembl:BRADI3G52400
Q6Z8Z7	Ensembl:BRADI3G01110
Q6Z965	Ensembl:BRADI3G37650
Q6Z9A3	Ensembl:BRADI2G54870
Q6Z9E6	Ensembl:BRADI3G36880
Q6ZA22	Ensembl:BRADI3G34850
Q6ZAC1	Ensembl:BRADI3G37300
Q6ZAH2	Ensembl:BRADI3G60400
Q6ZB59	Ensembl:BRADI3G22370
Q6ZBE1	Ensembl:BRADI5G11230 Ensembl:BRADI4G23757 Ensembl:BRADI5G06377
Q6ZBH5	Ensembl:BRADI3G42010
Q6ZC33	Ensembl:BRADI3G37940
Q6ZC70	Ensembl:BRADI3G13345
Q6ZD10	Ensembl:BRADI3G22387
Q6ZD89	Ensembl:BRADI1G14870 Ensembl:BRADI2G02390 Ensembl:BRADI3G16530 Ensembl:BRADI2G02380
Q6ZDJ7	Ensembl:BRADI3G35180
Q6ZDQ1	Ensembl:BRADI1G54610
Q6ZDY8	Ensembl:BRADI1G57930
Q6ZEZ2	Ensembl:BRADI1G55740
Q6ZFT5	Ensembl:BRADI3G53290
Q6ZG77	Ensembl:BRADI3G11130
Q6ZG91	Ensembl:BRADI3G02900
Q6ZGS9	Ensembl:BRADI3G52140
Q6ZGW6	Ensembl:BRADI3G53370 Ensembl:BRADI2G23130
Q6ZH92	Ensembl:BRADI1G27980 Ensembl:BRADI1G26050
Q6ZHA3	Ensembl:BRADI3G01930
Q6ZHB2	Ensembl:BRADI3G52030
Q6ZHH4	Ensembl:BRADI3G57667
Q6ZHH7	Ensembl:BRADI3G57680
Q6ZHS4	Ensembl:BRADI3G06480
Q6ZHZ1	Ensembl:BRADI3G20120
Q6ZI39	Ensembl:BRADI3G45450
Q6ZI55	Ensembl:BRADI3G47680
Q6ZIA3	Ensembl:BRADI3G41130
Q6ZIK0	Ensembl:BRADI3G52560
Q6ZIX2	Ensembl:BRADI3G53987 Ensembl:BRADI1G54305
Q6ZJ97	Ensembl:BRADI3G17870
Q6ZJK7	Ensembl:BRADI3G14760 Ensembl:BRADI3G14740 Ensembl:BRADI3G14750 Ensembl:BRADI3G14780 Ensembl:BRADI3G14730 Ensembl:BRADI2G02370
Q6ZJM9	Ensembl:BRADI3G13210
Q6ZJU3	Ensembl:BRADI3G36380
Q6ZK11	Ensembl:BRADI3G39640
Q6ZKC0	Ensembl:BRADI3G36480
Q6ZKV8	Ensembl:BRADI3G18970
Q6ZL61	Ensembl:BRADI1G55440
Q6ZL94	Ensembl:BRADI1G23600
Q6ZLJ9	Ensembl:BRADI1G54210
Q75GB1	Ensembl:BRADI2G31820
Q75H77	Ensembl:BRADI1G14720
Q75HA6	Ensembl:BRADI1G12870
Q75HZ9	Ensembl:BRADI2G15307
Q75I93	Ensembl:BRADI1G10930 Ensembl:BRADI1G10917 Ensembl:BRADI1G10890
Q75II5	Ensembl:BRADI2G19700
Q75KD7	Ensembl:BRADI1G15840
Q75KT7	Ensembl:BRADI2G18690
Q75L84	Ensembl:BRADI2G37970
Q75LC7	Ensembl:BRADI1G01930
Q75LL5	Ensembl:BRADI1G08480
Q75LR2	Ensembl:BRADI1G60750
Q75M18	Ensembl:BRADI3G60640 Ensembl:BRADI2G39790
Q75V57	Ensembl:BRADI4G03220
Q75W16	Ensembl:BRADI1G21330
Q7EYE4	Ensembl:BRADI3G16280
Q7EYM8	Ensembl:BRADI3G34980
Q7EZD3	Ensembl:BRADI3G16480
Q7EZW6	Ensembl:BRADI3G22345
Q7EZZ0	Ensembl:BRADI1G18800
Q7F0B2	Ensembl:BRADI1G53560
Q7F0Q2	Ensembl:BRADI5G19010
Q7F190	Ensembl:BRADI1G27000
Q7F1X5	Ensembl:BRADI2G57860
Q7F2P0	Ensembl:BRADI1G57540
Q7F8K7	Ensembl:BRADI1G76420
Q7FAS1	Ensembl:BRADI5G22250
Q7G2F7	Ensembl:BRADI3G29990
Q7G2H3	Ensembl:BRADI1G14590
Q7G602	Ensembl:BRADI1G17180 Ensembl:BRADI3G04750
Q7G6M2	Ensembl:BRADI2G02360
Q7G7J6	Ensembl:BRADI1G11090
Q7X634	Ensembl:BRADI5G15710
Q7X742	Ensembl:BRADI5G23580
Q7X7N2	Ensembl:BRADI5G02160
Q7X7X0	Ensembl:BRADI1G21050
Q7X7X4	Ensembl:BRADI3G35007 Ensembl:BRADI5G21447
Q7X8A1	Ensembl:BRADI5G12330
Q7X8V3	Ensembl:BRADI5G15830
Q7X993	Ensembl:BRADI1G17210
Q7XAP2	Ensembl:BRADI1G38687
Q7XBY6	Ensembl:BRADI3G34070
Q7XCK3	Ensembl:BRADI3G32350
Q7XDE0	Ensembl:BRADI4G03910 Ensembl:BRADI3G28740
Q7XE48	Ensembl:BRADI3G27260
Q7XEZ6	Ensembl:BRADI3G23180
Q7XGU4	Ensembl:BRADI3G21090
Q7XH05	Ensembl:BRADI1G06200 Ensembl:BRADI1G06160 Ensembl:BRADI1G06177
Q7XHL3	Ensembl:BRADI1G28960
Q7XHZ2	Ensembl:BRADI1G28790
Q7XI34	Ensembl:BRADI1G53520
Q7XI35	Ensembl:BRADI1G53540
Q7XI67	Ensembl:BRADI1G16770
Q7XI92	Ensembl:BRADI1G23510
Q7XI96	Ensembl:BRADI1G23550
Q7XK23	Ensembl:BRADI5G13490
Q7XKH9	Ensembl:BRADI5G05130
Q7XKQ8	Ensembl:BRADI5G08220
Q7XM21	Ensembl:BRADI5G25050
Q7XMA8	Ensembl:BRADI5G11230 Ensembl:BRADI4G23757 Ensembl:BRADI5G06377
Q7XMP7	Ensembl:BRADI5G24227
Q7XMU7	Ensembl:BRADI5G06207
Q7XNX6	Ensembl:BRADI1G29570
Q7XNY3	Ensembl:BRADI5G20700
Q7XPB5	Ensembl:BRADI2G15480 Ensembl:BRADI5G18987
Q7XPR5	Ensembl:BRADI5G18160
Q7XPW5	Ensembl:BRADI5G26500
Q7XQ85	Ensembl:BRADI5G19100
Q7XR02	Ensembl:BRADI5G24830
Q7XR60	Ensembl:BRADI5G25610
Q7XR61	Ensembl:BRADI5G25610
Q7XRT0	Ensembl:BRADI2G55150
Q7XRX3	Ensembl:BRADI5G18680
Q7XSS9	Ensembl:BRADI5G27400
Q7XTB2	Ensembl:BRADI5G02350
Q7XTE8	Ensembl:BRADI5G12510
Q7XTK3	Ensembl:BRADI5G27490
Q7XTU2	Ensembl:BRADI5G22000
Q7XTX7	Ensembl:BRADI5G18980
Q7XU28	Ensembl:BRADI5G17650
Q7XU29	Ensembl:BRADI5G17657
Q7XUA8	Ensembl:BRADI5G16000
Q7XUH5	Ensembl:BRADI5G19010
Q7XUI7	Ensembl:BRADI5G18530
Q7XUK6	Ensembl:BRADI1G10780
Q7XUS2	Ensembl:BRADI5G12580
Q7XV13	Ensembl:BRADI5G11590
Q7XV42	Ensembl:BRADI5G11950
Q7XV97	Ensembl:BRADI5G08650
Q7XVM8	Ensembl:BRADI5G08680
Q7XVP0	Ensembl:BRADI5G05070
Q7XWP9	Ensembl:BRADI5G07190
Q7XX31	Ensembl:BRADI4G40310
Q7XX32	Ensembl:BRADI4G40310
Q7XYS3	Ensembl:BRADI1G69330
Q7XZH5	Ensembl:BRADI1G04320
Q7Y0B9	Ensembl:BRADI1G07620
Q7Y0C8	Ensembl:BRADI1G07480
Q7Y0Y8	Ensembl:BRADI1G37290
Q7Y152	Ensembl:BRADI1G02810
Q7Y1H9	Ensembl:BRADI1G05467
Q7Y1I9	Ensembl:BRADI3G16880 Ensembl:BRADI1G05450 Ensembl:BRADI1G05460
Q7Y1J1	Ensembl:BRADI3G16880 Ensembl:BRADI1G05450 Ensembl:BRADI1G05460
Q84J55	Ensembl:BRADI3G38640
Q84J76	Ensembl:BRADI1G12360
Q84JH5	Ensembl:BRADI1G66930
Q84JI0	Ensembl:BRADI1G66920
Q84LK3	Ensembl:BRADI3G36150
Q84M43	Ensembl:BRADI1G04597
Q84MN8	Ensembl:BRADI1G09030
Q84NP3	Ensembl:BRADI1G16580
Q84Q89	Ensembl:BRADI1G67310
Q84QA7	Ensembl:BRADI1G67160
Q84RS4	Ensembl:BRADI1G27050
Q84RX6	Ensembl:BRADI1G22850
Q84T92	Ensembl:BRADI1G03840
Q84VC7	Ensembl:BRADI2G18810
Q84VK7	Ensembl:BRADI1G27980 Ensembl:BRADI1G26050
Q84YK8	Ensembl:BRADI3G39980
Q84ZN6	Ensembl:BRADI1G54250
Q84ZY2	Ensembl:BRADI1G51670
Q851L5	Ensembl:BRADI1G09877 Ensembl:BRADI1G02530
Q851Z6	Ensembl:BRADI1G01800
Q852C2	Ensembl:BRADI2G19780
Q852M1	Ensembl:BRADI1G06200 Ensembl:BRADI1G06160 Ensembl:BRADI1G06177
Q852M2	Ensembl:BRADI1G06200 Ensembl:BRADI1G06160 Ensembl:BRADI1G06177
Q852P4	Ensembl:BRADI3G49204
Q852Q1	Ensembl:BRADI1G65630
Q8GRS2	Ensembl:BRADI1G72600
Q8GRU7	Ensembl:BRADI1G19920
Q8GSI0	Ensembl:BRADI1G72610
Q8GT01	Ensembl:BRADI2G60730
Q8GVZ0	Ensembl:BRADI1G25350
Q8GZY1	Ensembl:BRADI1G77740 Ensembl:BRADI1G77597
Q8H016	Ensembl:BRADI1G72690
Q8H038	Ensembl:BRADI1G75450
Q8H048	Ensembl:BRADI1G77265
Q8H051	Ensembl:BRADI1G77290
Q8H093	Ensembl:BRADI3G31637
Q8H0A1	Ensembl:BRADI3G31590
Q8H0B2	Ensembl:BRADI3G14260
Q8H0B6	Ensembl:BRADI5G21930
Q8H395	Ensembl:BRADI3G10820 Ensembl:BRADI1G21490 Ensembl:BRADI2G05850
Q8H3A4	Ensembl:BRADI1G21580
Q8H3C9	Ensembl:BRADI1G53320
Q8H3I4	Ensembl:BRADI1G20870
Q8H3Q7	Ensembl:BRADI1G18550
Q8H530	Ensembl:BRADI1G27460
Q8H539	Ensembl:BRADI1G56937 Ensembl:BRADI1G56930
Q8H7S6	Ensembl:BRADI1G69420
Q8H7T7	Ensembl:BRADI1G78130
Q8H825	Ensembl:BRADI1G69627
Q8H8U0	Ensembl:BRADI1G65950
Q8H930	Ensembl:BRADI1G58080
Q8LGW5	Ensembl:BRADI1G53085
Q8LGZ9	Ensembl:BRADI1G59570
Q8LHD1	Ensembl:BRADI3G31390
Q8LI89	Ensembl:BRADI1G29020
Q8LIY8	Ensembl:BRADI2G49670
Q8LJJ2	Ensembl:BRADI2G47240
Q8LM92	Ensembl:BRADI1G24840 Ensembl:BRADI4G16560
Q8LMW8	Ensembl:BRADI1G57590
Q8LNU2	Ensembl:BRADI3G29880
Q8LQ34	Ensembl:BRADI2G55110
Q8LR33	Ensembl:BRADI2G45757
Q8LR75	Ensembl:BRADI2G54650
Q8LRA0	Ensembl:BRADI2G52690
Q8RU95	Ensembl:BRADI2G57860
Q8RV06	Ensembl:BRADI2G41817
Q8RV34	Ensembl:BRADI4G07050
Q8RYL0	Ensembl:BRADI2G59530
Q8RYY6	Ensembl:BRADI2G56557
Q8RZZ3	Ensembl:BRADI2G47100
Q8S2E5	Ensembl:BRADI2G48590
Q8S2G0	Ensembl:BRADI2G52610
Q8S3R0	Ensembl:BRADI3G52850
Q8S5N2	Ensembl:BRADI3G25600
Q8S5T1	Ensembl:BRADI1G74180
Q8S7N5	Ensembl:BRADI3G33950
Q8S919	Ensembl:BRADI1G39270
Q8S920	Ensembl:BRADI2G45550
Q8S983	Ensembl:BRADI5G25157
Q8S985	Ensembl:BRADI2G16610
Q8S9S4	Ensembl:BRADI2G41300
Q8S9Z2	Ensembl:BRADI2G61940
Q8VWH2	Ensembl:BRADI1G48830
Q8W1L6	Ensembl:BRADI3G10180
Q8W250	Ensembl:BRADI2G00650
Q8W3J0	Ensembl:BRADI1G66440
Q8W3M0	Ensembl:BRADI1G63780
Q8W5G9	Ensembl:BRADI1G07750
Q93WI9	Ensembl:BRADI1G48830
Q93X08	Ensembl:BRADI4G37350
Q93XI4	Ensembl:BRADI3G44960
Q93Y73	Ensembl:BRADI1G07910
Q941T9	Ensembl:BRADI2G54870
Q941W8	Ensembl:BRADI2G53840
Q942X4	Ensembl:BRADI2G60140
Q943R3	Ensembl:BRADI2G02310
Q94E75	Ensembl:BRADI1G55300
Q94EE9	Ensembl:BRADI2G02360
Q94GF1	Ensembl:BRADI1G03260
Q94HG3	Ensembl:BRADI1G72350
Q94IW5	Ensembl:BRADI2G05980
Q94J08	Ensembl:BRADI2G49906
Q94J90	Ensembl:BRADI2G52850
Q94JA2	Ensembl:BRADI2G45200 Ensembl:BRADI2G15740
Q94JJ0	Ensembl:BRADI2G01350
Q94LU9	Ensembl:BRADI3G32820
Q94LV4	Ensembl:BRADI3G32830
Q9ASD3	Ensembl:BRADI2G48020
Q9ASK5	Ensembl:BRADI2G00890
Q9ASP4	Ensembl:BRADI2G12310
Q9AUQ4	Ensembl:BRADI1G11440
Q9AUV6	Ensembl:BRADI1G10650
Q9AV47	Ensembl:BRADI3G28950
Q9AV71	Ensembl:BRADI3G28350
Q9AWL7	Ensembl:BRADI2G05226
Q9FDX8	Ensembl:BRADI1G43670
Q9FDY4	Ensembl:BRADI2G05870
Q9FE35	Ensembl:BRADI2G44090
Q9FTR6	Ensembl:BRADI2G01950
Q9FTZ2	Ensembl:BRADI2G03530
Q9FU17	Ensembl:BRADI2G05790
Q9FU67	Ensembl:BRADI2G04720 Ensembl:BRADI2G04760 Ensembl:BRADI2G04747
Q9FU68	Ensembl:BRADI2G04720 Ensembl:BRADI2G04760 Ensembl:BRADI2G04747
Q9FU69	Ensembl:BRADI2G04720 Ensembl:BRADI2G04760 Ensembl:BRADI2G04747
Q9FWC1	Ensembl:BRADI3G31410
Q9FWK4	Ensembl:BRADI3G28470
Q9FWQ2	Ensembl:BRADI3G32970
Q9LD61	Ensembl:BRADI3G18990
Q9LDB7	Ensembl:BRADI1G47860
Q9LG86	Ensembl:BRADI2G05650
Q9LGL5	Ensembl:BRADI2G03840
Q9LGU6	Ensembl:BRADI2G11250
Q9LHZ0	Ensembl:BRADI1G51720
Q9LHZ7	Ensembl:BRADI1G50170
Q9LIZ8	Ensembl:BRADI3G13397 Ensembl:BRADI2G10180
Q9LWU9	Ensembl:BRADI1G49630
Q9LWV3	Ensembl:BRADI1G49560 Ensembl:BRADI1G49570
Q9S7D3	Ensembl:BRADI3G13980
Q9SDG5	Ensembl:BRADI3G43300
Q9SE42	Ensembl:BRADI4G34610
Q9SMB1	Ensembl:BRADI1G52557
Q9SNK3	Ensembl:BRADI1G76470
Q9SNN0	Ensembl:BRADI1G50067
Q9XEA6	Ensembl:BRADI4G01130
Q9XFE5	Ensembl:BRADI3G34524
Q9XG80	Ensembl:BRADI3G60710
Q9XHL5	Ensembl:BRADI3G40210
Q9XJ03	Ensembl:BRADI4G31880
Q9XJ29	Ensembl:BRADI1G67240
Q9XJ60	Ensembl:BRADI1G77020
Q9XJ61	Ensembl:BRADI2G59120 Ensembl:BRADI2G59187
Q9ZTP5	Ensembl:BRADI1G73770
UPI00000AA151	Ensembl:BRADI1G47860
UPI0001C7A9C3	Ensembl:BRADI4G38400
