A2XPN8	Ensembl:OGLUM04G00560
Q6H703	Ensembl:OGLUM02G05300
Q6H765	Ensembl:OGLUM02G19270
Q6H7Q6	Ensembl:OGLUM02G07210
Q6H819	Ensembl:OGLUM02G06110
Q6H849	Ensembl:OGLUM02G25680
Q6H851	Ensembl:OGLUM02G25670
Q6H8F6	Ensembl:OGLUM02G08150
Q6I581	Ensembl:OGLUM05G28990
Q6I5C3	Ensembl:OGLUM05G07540
Q6IEQ7	Ensembl:OGLUM06G10200
Q6IVC3	Ensembl:OGLUM03G15460
Q6K209	Ensembl:OGLUM02G25360
Q6K306	Ensembl:OGLUM09G02930
Q6K3T2	Ensembl:OGLUM02G10410
Q6K3Z3	Ensembl:OGLUM09G02820
Q6K4Q5	Ensembl:OGLUM02G36340
Q6K4V9	Ensembl:OGLUM02G16190
Q6K4Y7	Ensembl:OGLUM02G16050
Q6K5G8	Ensembl:OGLUM02G23410
Q6K5U4	Ensembl:OGLUM02G13390
Q6K678	Ensembl:OGLUM02G36890
Q6K6Q0	Ensembl:OGLUM02G25120
Q6K6Q1	Ensembl:OGLUM02G25110
Q6K755	Ensembl:OGLUM02G17330
Q6K7P2	Ensembl:OGLUM01G49640
Q6K7V6	Ensembl:OGLUM02G12000
Q6K846	Ensembl:OGLUM02G37630
Q6K8E2	Ensembl:OGLUM02G33810
Q6K8E7	Ensembl:OGLUM02G37790
Q6K8J4	Ensembl:OGLUM02G23600
Q6K8R6	Ensembl:OGLUM02G23720
Q6K973	Ensembl:OGLUM02G39540
Q6K985	Ensembl:OGLUM02G38010
Q6K9B8	Ensembl:OGLUM02G24120
Q6K9C5	Ensembl:OGLUM02G24080
Q6K9M5	Ensembl:OGLUM02G36740
Q6K9N6	Ensembl:OGLUM02G24860
Q6K9X3	Ensembl:OGLUM02G38990
Q6KAJ2	Ensembl:OGLUM02G37210
Q6L4G2	Ensembl:OGLUM05G26560
Q6L4H5	Ensembl:OGLUM05G26370
Q6L4L4	Ensembl:OGLUM05G01840
Q6L4R0	Ensembl:OGLUM05G06730
Q6L4R7	Ensembl:OGLUM05G29430
Q6L506	Ensembl:OGLUM05G20370
Q6L540	Ensembl:OGLUM05G23610
Q6L545	Ensembl:OGLUM05G17050
Q6L5H6	Ensembl:OGLUM05G25460
Q6MWK9	Ensembl:OGLUM04G04620
Q6Q9I2	Ensembl:OGLUM07G00660
Q6YPF1	Ensembl:OGLUM08G01480
Q6YPG5	Ensembl:OGLUM02G00390
Q6YS33	Ensembl:OGLUM07G10060
Q6YS36	Ensembl:OGLUM07G10050
Q6YSA1	Ensembl:OGLUM08G18370
Q6YSF8	Ensembl:OGLUM07G01710
Q6YT73	Ensembl:OGLUM07G02700
Q6YTI6	Ensembl:OGLUM02G21310
Q6YTT3	Ensembl:OGLUM08G19480
Q6YU51	Ensembl:OGLUM07G05400
Q6YUI8	Ensembl:OGLUM08G11950
Q6YUS0	Ensembl:OGLUM02G01460
Q6YUU2	Ensembl:OGLUM02G06890
Q6YV04	Ensembl:OGLUM02G08770
Q6YV23	Ensembl:OGLUM02G30270
Q6YVI0	Ensembl:OGLUM02G30090
Q6YVT1	Ensembl:OGLUM08G21190
Q6YVY0	Ensembl:OGLUM02G20880
Q6YVY6	Ensembl:OGLUM07G21190
Q6YWE1	Ensembl:OGLUM07G06830
Q6YXC2	Ensembl:OGLUM02G21650
Q6YXI1	Ensembl:OGLUM09G13720
Q6YXW6	Ensembl:OGLUM02G03400
Q6YYB9	Ensembl:OGLUM08G02230
Q6YYY7	Ensembl:OGLUM08G25200
Q6YYZ2	Ensembl:OGLUM08G02730
Q6YZ18	Ensembl:OGLUM08G02560
Q6YZE2	Ensembl:OGLUM08G22860
Q6YZH8	Ensembl:OGLUM08G25030
Q6YZX7	Ensembl:OGLUM08G05530
Q6Z0T7	Ensembl:OGLUM08G24760
Q6Z2L5	Ensembl:OGLUM02G02060
Q6Z2T6	Ensembl:OGLUM02G32950
Q6Z2T9	Ensembl:OGLUM02G32930
Q6Z312	Ensembl:OGLUM02G34210
Q6Z368	Ensembl:OGLUM07G06140
Q6Z398	Ensembl:OGLUM07G05980
Q6Z3A4	Ensembl:OGLUM05G02100
Q6Z3F1	Ensembl:OGLUM08G24590
Q6Z3F9	Ensembl:OGLUM08G24550
Q6Z3X5	Ensembl:OGLUM07G27450
Q6Z3Y3	Ensembl:OGLUM07G27400
Q6Z414	Ensembl:OGLUM07G18250
Q6Z433	Ensembl:OGLUM02G03560
Q6Z4E7	Ensembl:OGLUM07G05250
Q6Z4I1	Ensembl:OGLUM07G05440
Q6Z4U1	Ensembl:OGLUM08G04830
Q6Z5B5	Ensembl:OGLUM07G17310 Ensembl:OGLUM07G17330
Q6Z5I0	Ensembl:OGLUM02G21540
Q6Z5M0	Ensembl:OGLUM02G31390
Q6Z5M3	Ensembl:OGLUM02G31370
Q6Z684	Ensembl:OGLUM02G33620
Q6Z6F0	Ensembl:OGLUM02G07930
Q6Z6K9	Ensembl:OGLUM02G09080
Q6Z6L1	Ensembl:OGLUM02G09060
Q6Z6S7	Ensembl:OGLUM02G13790
Q6Z702	Ensembl:OGLUM02G01830
Q6Z744	Ensembl:OGLUM02G32380
Q6Z795	Ensembl:OGLUM02G07760
Q6Z7I3	Ensembl:OGLUM02G14850
Q6Z836	Ensembl:OGLUM02G02710
Q6Z8F4	Ensembl:OGLUM02G29540
Q6Z8S2	Ensembl:OGLUM08G17040
Q6Z8Z7	Ensembl:OGLUM02G00710
Q6Z965	Ensembl:OGLUM08G18010
Q6ZA22	Ensembl:OGLUM07G10380
Q6ZAC1	Ensembl:OGLUM08G17390
Q6ZAH2	Ensembl:OGLUM08G11290
Q6ZAK7	Ensembl:OGLUM08G15090
Q6ZB59	Ensembl:OGLUM08G12440
Q6ZB94	Ensembl:OGLUM08G19110
Q6ZBE1	Ensembl:OGLUM04G07490
Q6ZBH5	Ensembl:OGLUM08G23740
Q6ZC33	Ensembl:OGLUM08G18460
Q6ZCF0	Ensembl:OGLUM08G06490
Q6ZD10	Ensembl:OGLUM08G12350
Q6ZD89	Ensembl:OGLUM08G03490
Q6ZDJ7	Ensembl:OGLUM08G13940
Q6ZDQ1	Ensembl:OGLUM07G05830
Q6ZDY8	Ensembl:OGLUM07G14450
Q6ZEZ2	Ensembl:OGLUM07G04390
Q6ZFT5	Ensembl:OGLUM02G30760
Q6ZG77	Ensembl:OGLUM02G15340
Q6ZG91	Ensembl:OGLUM02G02490
Q6ZGS9	Ensembl:OGLUM02G29170
Q6ZGW6	Ensembl:OGLUM02G30940
Q6ZH92	Ensembl:OGLUM02G01540
Q6ZHA3	Ensembl:OGLUM02G01440
Q6ZHB2	Ensembl:OGLUM02G28920
Q6ZHH4	Ensembl:OGLUM02G35250
Q6ZHH7	Ensembl:OGLUM02G35230
Q6ZHS4	Ensembl:OGLUM02G06670
Q6ZHZ1	Ensembl:OGLUM08G10770
Q6ZI39	Ensembl:OGLUM02G20470
Q6ZI55	Ensembl:OGLUM02G23050
Q6ZIA3	Ensembl:OGLUM08G22700
Q6ZIK0	Ensembl:OGLUM02G29790
Q6ZIX2	Ensembl:OGLUM07G06530
Q6ZJ97	Ensembl:OGLUM08G06570
Q6ZJK7	Ensembl:OGLUM08G02550
Q6ZJM9	Ensembl:OGLUM08G00440
Q6ZJU3	Ensembl:OGLUM08G16140
Q6ZKC0	Ensembl:OGLUM08G16260
Q6ZKV8	Ensembl:OGLUM08G08280
Q6ZL61	Ensembl:OGLUM07G04770
Q6ZL94	Ensembl:OGLUM07G19540
Q6ZLD3	Ensembl:OGLUM07G04540
Q6ZLJ9	Ensembl:OGLUM07G06730
Q75GB1	Ensembl:OGLUM05G08410
Q75GK0	Ensembl:OGLUM11G10140
Q75H77	Ensembl:OGLUM03G26740
Q75HA6	Ensembl:OGLUM03G28900
Q75HP7	Ensembl:OGLUM05G18450
Q75HQ7	Ensembl:OGLUM05G18320
Q75HZ9	Ensembl:OGLUM05G28730
Q75I93	Ensembl:OGLUM03G31330
Q75II5	Ensembl:OGLUM05G24160
Q75KD7	Ensembl:OGLUM03G23400
Q75KT7	Ensembl:OGLUM05G25310
Q75L84	Ensembl:OGLUM05G01710
Q75LL5	Ensembl:OGLUM03G34020
Q75LR2	Ensembl:OGLUM03G20610
Q75M18	Ensembl:OGLUM05G00390
Q75V57	Ensembl:OGLUM12G18870
Q75W16	Ensembl:OGLUM07G22570
Q764B9	Ensembl:OGLUM02G34760
Q7EYE4	Ensembl:OGLUM08G03850
Q7EYM8	Ensembl:OGLUM08G14200
Q7EYQ2	Ensembl:OGLUM07G01630
Q7EZD3	Ensembl:OGLUM08G03540
Q7EZW6	Ensembl:OGLUM08G12540
Q7EZZ0	Ensembl:OGLUM07G25240
Q7F0B2	Ensembl:OGLUM07G07620
Q7F190	Ensembl:OGLUM07G14720
Q7F2P0	Ensembl:OGLUM01G18770
Q7F8K7	Ensembl:OGLUM03G02340
Q7FAE1	Ensembl:OGLUM04G02560
Q7FAH2	Ensembl:OGLUM04G16650
Q7FAS1	Ensembl:OGLUM04G25720
Q7G065	Ensembl:OGLUM01G27530
Q7G2F7	Ensembl:OGLUM10G14530
Q7G2H3	Ensembl:OGLUM10G14240
Q7G4P2	Ensembl:OGLUM10G04400
Q7G602	Ensembl:OGLUM10G05490
Q7G6M2	Ensembl:OGLUM10G08040
Q7G7J6	Ensembl:OGLUM03G31610
Q7X634	Ensembl:OGLUM04G18780
Q7X720	Ensembl:OGLUM04G18880
Q7X742	Ensembl:OGLUM04G26950
Q7X7A1	Ensembl:OGLUM04G08590
Q7X7H9	Ensembl:OGLUM04G26870
Q7X7N2	Ensembl:OGLUM04G00270
Q7X7X0	Ensembl:OGLUM07G22270
Q7X7X4	Ensembl:OGLUM04G02590
Q7X8A1	Ensembl:OGLUM04G14740
Q7X8V3	Ensembl:OGLUM04G18890
Q7XAP2	Ensembl:OGLUM06G18140
Q7XBY6	Ensembl:OGLUM10G19430
Q7XC20	Ensembl:OGLUM10G18940
Q7XDE0	Ensembl:OGLUM10G12990
Q7XE48	Ensembl:OGLUM10G10900
Q7XEH2	Ensembl:OGLUM10G10270
Q7XEZ1	Ensembl:OGLUM10G08470
Q7XGU4	Ensembl:OGLUM10G02330
Q7XH05	Ensembl:OGLUM10G01940
Q7XHL3	Ensembl:OGLUM07G11900
Q7XHZ2	Ensembl:OGLUM06G07980
Q7XI34	Ensembl:OGLUM07G07670
Q7XI35	Ensembl:OGLUM07G07650
Q7XI67	Ensembl:OGLUM07G27200
Q7XI92	Ensembl:OGLUM07G19760
Q7XI96	Ensembl:OGLUM07G19730
Q7XK23	Ensembl:OGLUM04G16080
Q7XKH9	Ensembl:OGLUM04G07440
Q7XKI0	Ensembl:OGLUM04G07450
Q7XKQ8	Ensembl:OGLUM04G10260
Q7XM21	Ensembl:OGLUM04G28330
Q7XMA8	Ensembl:OGLUM04G07490
Q7XMP7	Ensembl:OGLUM04G27530
Q7XMU7	Ensembl:OGLUM04G08790
Q7XNX6	Ensembl:OGLUM04G04410
Q7XNY3	Ensembl:OGLUM04G24300
Q7XPB5	Ensembl:OGLUM04G22420
Q7XPR5	Ensembl:OGLUM04G21470
Q7XPW5	Ensembl:OGLUM04G29940
Q7XQ85	Ensembl:OGLUM04G22510
Q7XR02	Ensembl:OGLUM04G28150
Q7XRA1	Ensembl:OGLUM04G00310
Q7XRT0	Ensembl:OGLUM04G04280
Q7XRX3	Ensembl:OGLUM04G22060
Q7XSS9	Ensembl:OGLUM04G30530
Q7XTB2	Ensembl:OGLUM05G27150
Q7XTE8	Ensembl:OGLUM04G14950
Q7XTK3	Ensembl:OGLUM04G00820
Q7XTU2	Ensembl:OGLUM04G25480
Q7XTX7	Ensembl:OGLUM04G22410
Q7XU28	Ensembl:OGLUM04G20810
Q7XU29	Ensembl:OGLUM04G20820
Q7XUA8	Ensembl:OGLUM01G18450
Q7XUH5	Ensembl:OGLUM04G22440
Q7XUI7	Ensembl:OGLUM04G21940
Q7XUK6	Ensembl:OGLUM04G17480
Q7XUS2	Ensembl:OGLUM04G15040
Q7XV13	Ensembl:OGLUM04G13900
Q7XV42	Ensembl:OGLUM04G14220
Q7XV97	Ensembl:OGLUM04G10630
Q7XVM2	Ensembl:OGLUM04G10550
Q7XVM8	Ensembl:OGLUM04G10610
Q7XVP0	Ensembl:OGLUM04G06900
Q7XWP9	Ensembl:OGLUM04G05390
Q7XYS3	Ensembl:OGLUM03G09190
Q7XZH5	Ensembl:OGLUM03G38200
Q7Y0B9	Ensembl:OGLUM03G34990
Q7Y0C8	Ensembl:OGLUM03G35150
Q7Y0W5	Ensembl:OGLUM10G12240
Q7Y0Y6	Ensembl:OGLUM02G08740
Q7Y0Y8	Ensembl:OGLUM06G20570
Q7Y152	Ensembl:OGLUM03G39760
Q7Y1H9	Ensembl:OGLUM03G37120
Q7Y1I9	Ensembl:OGLUM03G37140
Q84J55	Ensembl:OGLUM08G19220
Q84JH5	Ensembl:OGLUM03G11870
Q84JI0	Ensembl:OGLUM03G11910
Q84LF7	Ensembl:OGLUM07G18820
Q84LK3	Ensembl:OGLUM08G15860
Q84M43	Ensembl:OGLUM03G38000
Q84MN8	Ensembl:OGLUM03G33440
Q84Q89	Ensembl:OGLUM03G11480
Q84QA7	Ensembl:OGLUM03G11640
Q84R94	Ensembl:OGLUM03G21570
Q84RS4	Ensembl:OGLUM07G14630
Q84RX6	Ensembl:OGLUM07G20600
Q84T92	Ensembl:OGLUM03G38850
Q84VC7	Ensembl:OGLUM05G25180
Q84VK7	Ensembl:OGLUM07G16200
Q84YK8	Ensembl:OGLUM08G21220
Q84ZN6	Ensembl:OGLUM07G06700
Q84ZY2	Ensembl:OGLUM06G02140
Q851L5	Ensembl:OGLUM03G40020
Q851Z6	Ensembl:OGLUM03G40870
Q852C2	Ensembl:OGLUM03G39220
Q852M1	Ensembl:OGLUM03G36630
Q852P4	Ensembl:OGLUM02G25030
Q8GRS2	Ensembl:OGLUM03G05940
Q8GRU7	Ensembl:OGLUM07G23890
Q8GSI0	Ensembl:OGLUM03G05930
Q8GTK1	Ensembl:OGLUM08G15790
Q8GVJ4	Ensembl:OGLUM07G11130
Q8GVZ0	Ensembl:OGLUM07G17440
Q8GZY1	Ensembl:OGLUM03G00970
Q8H016	Ensembl:OGLUM03G05840
Q8H038	Ensembl:OGLUM03G03380
Q8H048	Ensembl:OGLUM03G01470
Q8H051	Ensembl:OGLUM03G01430
Q8H075	Ensembl:OGLUM03G03790
Q8H093	Ensembl:OGLUM10G16250
Q8H0A1	Ensembl:OGLUM10G16190
Q8H0B2	Ensembl:OGLUM08G01960
Q8H0B6	Ensembl:OGLUM04G25370
Q8H273	Ensembl:OGLUM04G22260
Q8H395	Ensembl:OGLUM07G22020
Q8H3A4	Ensembl:OGLUM07G21920
Q8H3I4	Ensembl:OGLUM07G22110
Q8H3Q7	Ensembl:OGLUM07G25740
Q8H4L3	Ensembl:OGLUM07G06970
Q8H530	Ensembl:OGLUM07G13570
Q8H539	Ensembl:OGLUM07G03280
Q8H7P5	Ensembl:OGLUM03G06420
Q8H7S6	Ensembl:OGLUM03G09090
Q8H7T7	Ensembl:OGLUM03G00360
Q8H825	Ensembl:OGLUM03G08840
Q8H930	Ensembl:OGLUM07G14270
Q8LGW5	Ensembl:OGLUM01G41670
Q8LGZ9	Ensembl:OGLUM07G00290
Q8LHD1	Ensembl:OGLUM01G49390
Q8LI89	Ensembl:OGLUM07G03750
Q8LIG8	Ensembl:OGLUM07G26830
Q8LIY8	Ensembl:OGLUM01G34790
Q8LJJ2	Ensembl:OGLUM01G31290
Q8LM92	Ensembl:OGLUM10G05410
Q8LMW8	Ensembl:OGLUM10G04530
Q8LN68	Ensembl:OGLUM03G31540
Q8LNU2	Ensembl:OGLUM10G14310
Q8LQ34	Ensembl:OGLUM01G41400
Q8LR33	Ensembl:OGLUM01G29310
Q8LR75	Ensembl:OGLUM01G40790
Q8LRA0	Ensembl:OGLUM01G38570
Q8LRJ3	Ensembl:OGLUM01G07830
Q8RV06	Ensembl:OGLUM10G00300
Q8RV34	Ensembl:OGLUM12G14360
Q8RYL0	Ensembl:OGLUM01G46930
Q8RYL1	Ensembl:OGLUM01G46920
Q8RYY6	Ensembl:OGLUM01G43250
Q8RZZ3	Ensembl:OGLUM01G31150
Q8S2E5	Ensembl:OGLUM01G33410
Q8S2G0	Ensembl:OGLUM01G38440
Q8S3R0	Ensembl:OGLUM02G30200
Q8S5M6	Ensembl:OGLUM10G07370
Q8S5N2	Ensembl:OGLUM10G07420
Q8S5T1	Ensembl:OGLUM03G04550
Q8S601	Ensembl:OGLUM10G05770
Q8S7N5	Ensembl:OGLUM10G19320
Q8S919	Ensembl:OGLUM02G11290
Q8S983	Ensembl:OGLUM04G28480
Q8S985	Ensembl:OGLUM05G27420
Q8S9S4	Ensembl:OGLUM01G23280
Q8S9Z2	Ensembl:OGLUM01G49670
Q8VWH2	Ensembl:OGLUM06G03910
Q8W0B6	Ensembl:OGLUM01G10390
Q8W1L6	Ensembl:OGLUM02G11860
Q8W250	Ensembl:OGLUM01G00520
Q8W3J0	Ensembl:OGLUM03G12520
Q8W3M0	Ensembl:OGLUM03G15860
Q8W5G9	Ensembl:OGLUM03G34910
Q93VC3	Ensembl:OGLUM01G18100
Q93X08	Ensembl:OGLUM09G19500
Q93XI4	Ensembl:OGLUM02G19490
Q93Y73	Ensembl:OGLUM03G34720
Q941T9	Ensembl:OGLUM01G41120
Q941W8	Ensembl:OGLUM06G10100
Q942X4	Ensembl:OGLUM01G47510
Q943R3	Ensembl:OGLUM01G02400
Q94E75	Ensembl:OGLUM01G18330
Q94EE9	Ensembl:OGLUM01G36570
Q94GF1	Ensembl:OGLUM03G39360
Q94HG3	Ensembl:OGLUM03G06190
Q94HG6	Ensembl:OGLUM03G06220
Q94IW5	Ensembl:OGLUM01G06780
Q94J08	Ensembl:OGLUM01G35080
Q94J90	Ensembl:OGLUM01G20630
Q94JJ0	Ensembl:OGLUM01G01170
Q94LG1	Ensembl:OGLUM03G21140
Q94LU9	Ensembl:OGLUM10G17780
Q94LV4	Ensembl:OGLUM10G17800
Q9ASK5	Ensembl:OGLUM01G00750
Q9ASP4	Ensembl:OGLUM01G15450
Q9AUQ4	Ensembl:OGLUM03G32000
Q9AUV6	Ensembl:OGLUM03G34530 Ensembl:OGLUM03G34510
Q9AV47	Ensembl:OGLUM10G13220
Q9AV71	Ensembl:OGLUM10G12480
Q9AWL7	Ensembl:OGLUM01G05830
Q9AWZ7	Ensembl:OGLUM01G09030
Q9FDX8	Ensembl:OGLUM06G11540
Q9FDY4	Ensembl:OGLUM01G06590
Q9FE35	Ensembl:OGLUM01G27180
Q9FTN5	Ensembl:OGLUM01G00470
Q9FTN6	Ensembl:OGLUM09G17500 Ensembl:OGLUM01G00450
Q9FTR6	Ensembl:OGLUM01G01990
Q9FTZ2	Ensembl:OGLUM01G00250
Q9FU17	Ensembl:OGLUM01G06500
Q9FU67	Ensembl:OGLUM01G05370
Q9FU69	Ensembl:OGLUM01G05360
Q9FWC1	Ensembl:OGLUM10G16000
Q9FWK4	Ensembl:OGLUM10G12730
Q9FWQ2	Ensembl:OGLUM10G18110
Q9LD61	Ensembl:OGLUM08G08340
Q9LG86	Ensembl:OGLUM01G06320
Q9LGL5	Ensembl:OGLUM01G04260
Q9LGU6	Ensembl:OGLUM01G13740
Q9LHZ0	Ensembl:OGLUM06G00600
Q9LHZ7	Ensembl:OGLUM06G00650
Q9LIZ8	Ensembl:OGLUM01G12330
Q9LWU9	Ensembl:OGLUM06G01600
Q9LWV3	Ensembl:OGLUM06G01550
Q9S7D3	Ensembl:OGLUM08G01430
Q9SDG5	Ensembl:OGLUM01G12620
Q9SE42	Ensembl:OGLUM09G16220
Q9SMB1	Ensembl:OGLUM07G10740
Q9SNK3	Ensembl:OGLUM03G02280
Q9SNN0	Ensembl:OGLUM06G01910
Q9SNQ6	Ensembl:OGLUM06G02740
Q9XEA6	Ensembl:OGLUM12G21090
Q9XFE5	Ensembl:OGLUM10G19800
Q9XG80	Ensembl:OGLUM02G39570
Q9XHL5	Ensembl:OGLUM08G21500
Q9XJ03	Ensembl:OGLUM06G04620
Q9XJ29	Ensembl:OGLUM03G11540
Q9XJ60	Ensembl:OGLUM03G01750
Q9XJ61	Ensembl:OGLUM01G46440
Q9ZTP5	Ensembl:OGLUM03G05030
UPI0001C7A9C3	Ensembl:OGLUM09G20670
UPI0001C7CB34	Ensembl:OGLUM01G07830
