A2X747	Ensembl:ORGLA02G0206100
Q6H765	Ensembl:ORGLA02G0163500
Q6H7Q6	Ensembl:ORGLA02G0067400
Q6H819	Ensembl:ORGLA02G0056700
Q6H8F6	Ensembl:ORGLA02G0076400
Q6I581	Ensembl:ORGLA05G0238700
Q6I5C3	Ensembl:ORGLA05G0062700
Q6IEQ7	Ensembl:ORGLA01G0295600
Q6IVC3	Ensembl:ORGLA03G0146300
Q6K1S6	Ensembl:ORGLA02G0213400
Q6K209	Ensembl:ORGLA02G0216000
Q6K2E1	Ensembl:ORGLA09G0039300
Q6K306	Ensembl:ORGLA09G0021200
Q6K3T2	Ensembl:ORGLA01G0402600 Ensembl:ORGLA02G0094100
Q6K3Z3	Ensembl:ORGLA09G0020200
Q6K4Q5	Ensembl:ORGLA02G0304900
Q6K4V9	Ensembl:ORGLA02G0140000
Q6K4Y7	Ensembl:ORGLA02G0138400
Q6K5G8	Ensembl:ORGLA02G0198200
Q6K5U4	Ensembl:ORGLA02G0119300
Q6K678	Ensembl:ORGLA02G0309300
Q6K6Q0	Ensembl:ORGLA02G0214400
Q6K6Q1	Ensembl:ORGLA02G0214300
Q6K755	Ensembl:ORGLA02G0149600
Q6K7P2	Ensembl:ORGLA02G0333700
Q6K7V6	Ensembl:ORGLA02G0109500
Q6K846	Ensembl:ORGLA02G0316600
Q6K8E2	Ensembl:ORGLA02G0287600
Q6K8E7	Ensembl:ORGLA02G0318300
Q6K8J4	Ensembl:ORGLA02G0200300
Q6K8R6	Ensembl:ORGLA02G0201600
Q6K969	Ensembl:ORGLA02G0336500
Q6K973	Ensembl:ORGLA02G0336200
Q6K985	Ensembl:ORGLA02G0320400
Q6K9B8	Ensembl:ORGLA02G0205500
Q6K9C5	Ensembl:ORGLA02G0204800
Q6K9M5	Ensembl:ORGLA02G0307500
Q6K9N6	Ensembl:ORGLA02G0212200
Q6K9X3	Ensembl:ORGLA02G0330400
Q6KAJ2	Ensembl:ORGLA02G0312600
Q6L4G2	Ensembl:ORGLA05G0214900
Q6L4H5	Ensembl:ORGLA05G0213500
Q6L4L4	Ensembl:ORGLA05G0017700
Q6L4R7	Ensembl:ORGLA05G0243300
Q6L506	Ensembl:ORGLA05G0167200
Q6L540	Ensembl:ORGLA08G0201600 Ensembl:ORGLA05G0195300
Q6MWK9	Ensembl:ORGLA04G0041100
Q6Q9I2	Ensembl:ORGLA07G0005200
Q6YPF1	Ensembl:ORGLA08G0008200
Q6YPG5	Ensembl:ORGLA02G0003700
Q6YS33	Ensembl:ORGLA07G0093500
Q6YS36	Ensembl:ORGLA07G0093400
Q6YSA1	Ensembl:ORGLA09G0169200 Ensembl:ORGLA08G0153600
Q6YT73	Ensembl:ORGLA07G0029000
Q6YTI6	Ensembl:ORGLA02G0181500
Q6YTT3	Ensembl:ORGLA08G0161000
Q6YU51	Ensembl:ORGLA07G0049000
Q6YUI8	Ensembl:ORGLA08G0098500
Q6YUS0	Ensembl:ORGLA02G0014600
Q6YUU2	Ensembl:ORGLA02G0063800
Q6YVI0	Ensembl:ORGLA02G0252200
Q6YVY0	Ensembl:ORGLA02G0176700
Q6YVY6	Ensembl:ORGLA07G0164900
Q6YWE1	Ensembl:ORGLA07G0060100
Q6YXC2	Ensembl:ORGLA02G0184900
Q6YXW6	Ensembl:ORGLA02G0032400
Q6YYB9	Ensembl:ORGLA08G0016300
Q6YYY7	Ensembl:ORGLA08G0191000
Q6YYZ2	Ensembl:ORGLA08G0021200
Q6YZ18	Ensembl:ORGLA08G0019700
Q6YZ76	Ensembl:ORGLA08G0131800
Q6YZE2	Ensembl:ORGLA08G0229700
Q6YZH8	Ensembl:ORGLA08G0189800
Q6YZX7	Ensembl:ORGLA08G0045100
Q6Z0T7	Ensembl:ORGLA08G0186800
Q6Z2L5	Ensembl:ORGLA02G0021000
Q6Z2T6	Ensembl:ORGLA02G0278500
Q6Z2T9	Ensembl:ORGLA02G0278300
Q6Z312	Ensembl:ORGLA02G0292000
Q6Z368	Ensembl:ORGLA07G0054800
Q6Z398	Ensembl:ORGLA07G0053800
Q6Z3A4	Ensembl:ORGLA05G0020200
Q6Z3F1	Ensembl:ORGLA08G0212300
Q6Z3F9	Ensembl:ORGLA08G0212800
Q6Z3Y3	Ensembl:ORGLA07G0218500
Q6Z414	Ensembl:ORGLA07G0148800
Q6Z433	Ensembl:ORGLA02G0035000
Q6Z434	Ensembl:ORGLA02G0034900
Q6Z4E7	Ensembl:ORGLA07G0047900
Q6Z4I1	Ensembl:ORGLA07G0049300
Q6Z4U1	Ensembl:ORGLA08G0040000
Q6Z5B5	Ensembl:ORGLA07G0141800
Q6Z5I0	Ensembl:ORGLA02G0183400
Q6Z5M0	Ensembl:ORGLA02G0262300
Q6Z5M3	Ensembl:ORGLA02G0262100
Q6Z684	Ensembl:ORGLA02G0285900
Q6Z6F0	Ensembl:ORGLA02G0074100
Q6Z6S7	Ensembl:ORGLA02G0122800
Q6Z702	Ensembl:ORGLA02G0018600
Q6Z744	Ensembl:ORGLA02G0272200
Q6Z795	Ensembl:ORGLA02G0072400
Q6Z7I3	Ensembl:ORGLA02G0129400
Q6Z7Q3	Ensembl:ORGLA02G0290900
Q6Z836	Ensembl:ORGLA02G0026400
Q6Z8F4	Ensembl:ORGLA02G0248300
Q6Z8S2	Ensembl:ORGLA08G0141800
Q6Z8Z7	Ensembl:ORGLA02G0007400
Q6Z965	Ensembl:ORGLA08G0150300
Q6Z9A3	Ensembl:ORGLA08G0061500
Q6Z9E6	Ensembl:ORGLA08G0141500
Q6ZA22	Ensembl:ORGLA08G0116200
Q6ZAC1	Ensembl:ORGLA08G0145000
Q6ZAH2	Ensembl:ORGLA08G0092100
Q6ZAK7	Ensembl:ORGLA08G0125500
Q6ZB59	Ensembl:ORGLA08G0103000
Q6ZB94	Ensembl:ORGLA08G0157900
Q6ZBE1	Ensembl:ORGLA08G0123000
Q6ZBH5	Ensembl:ORGLA08G0220500
Q6ZC33	Ensembl:ORGLA08G0154200
Q6ZC70	Ensembl:ORGLA08G0000400
Q6ZCF0	Ensembl:ORGLA08G0053600
Q6ZD10	Ensembl:ORGLA08G0101800
Q6ZD89	Ensembl:ORGLA08G0028500
Q6ZDJ7	Ensembl:ORGLA08G0111700
Q6ZDQ1	Ensembl:ORGLA07G0052600
Q6ZDY8	Ensembl:ORGLA07G0020100
Q6ZEZ2	Ensembl:ORGLA07G0041900
Q6ZFT5	Ensembl:ORGLA02G0256300
Q6ZG77	Ensembl:ORGLA02G0131600
Q6ZG91	Ensembl:ORGLA02G0023700
Q6ZGW6	Ensembl:ORGLA02G0257400
Q6ZH92	Ensembl:ORGLA02G0015400
Q6ZHA3	Ensembl:ORGLA02G0014400
Q6ZHB2	Ensembl:ORGLA02G0243800
Q6ZHH4	Ensembl:ORGLA02G0295000
Q6ZHH7	Ensembl:ORGLA02G0294900
Q6ZHS4	Ensembl:ORGLA02G0061600
Q6ZI39	Ensembl:ORGLA02G0172900
Q6ZI55	Ensembl:ORGLA02G0194000
Q6ZIA3	Ensembl:ORGLA08G0231300
Q6ZIK0	Ensembl:ORGLA02G0250000
Q6ZIX2	Ensembl:ORGLA07G0058000
Q6ZJ97	Ensembl:ORGLA08G0054100
Q6ZJK7	Ensembl:ORGLA08G0019500
Q6ZJU3	Ensembl:ORGLA08G0134600
Q6ZK11	Ensembl:ORGLA08G0171600
Q6ZKC0	Ensembl:ORGLA08G0135700
Q6ZKV8	Ensembl:ORGLA08G0065400
Q6ZL61	Ensembl:ORGLA07G0044400
Q6ZL94	Ensembl:ORGLA07G0254800
Q6ZLD3	Ensembl:ORGLA07G0043000
Q6ZLJ9	Ensembl:ORGLA07G0059800
Q75GB1	Ensembl:ORGLA05G0068700
Q75GK0	Ensembl:ORGLA03G0249900
Q75H77	Ensembl:ORGLA03G0240100
Q75HA6	Ensembl:ORGLA03G0265900 Ensembl:ORGLA06G0012100
Q75HQ7	Ensembl:ORGLA05G0149600
Q75HZ9	Ensembl:ORGLA05G0236200
Q75I93	Ensembl:ORGLA03G0285000
Q75II5	Ensembl:ORGLA05G0200600
Q75KD7	Ensembl:ORGLA03G0210700 Ensembl:ORGLA03G0210800
Q75L84	Ensembl:ORGLA05G0016600
Q75LC7	Ensembl:ORGLA03G0375000
Q75LR2	Ensembl:ORGLA03G0186600
Q75M18	Ensembl:ORGLA05G0003700
Q75V57	Ensembl:ORGLA12G0148100
Q75W16	Ensembl:ORGLA07G0175200 Ensembl:ORGLA10G0165300
Q764B9	Ensembl:ORGLA03G0411300
Q7EYE4	Ensembl:ORGLA08G0031600
Q7EYM8	Ensembl:ORGLA08G0113800
Q7EZD3	Ensembl:ORGLA08G0029000
Q7EZW6	Ensembl:ORGLA08G0104100
Q7EZZ0	Ensembl:ORGLA07G0195600
Q7F0B2	Ensembl:ORGLA07G0071200
Q7F190	Ensembl:ORGLA07G0123300
Q7F1X5	Ensembl:ORGLA01G0346800
Q7F8K7	Ensembl:ORGLA03G0021800
Q7FAE1	Ensembl:ORGLA04G0020800
Q7FAH2	Ensembl:ORGLA04G0137400
Q7FAS1	Ensembl:ORGLA04G0228400
Q7G065	Ensembl:ORGLA01G0192600
Q7G4P2	Ensembl:ORGLA10G0037800
Q7G602	Ensembl:ORGLA10G0161500 Ensembl:ORGLA10G0046200
Q7G6M2	Ensembl:ORGLA10G0069500
Q7G7J6	Ensembl:ORGLA03G0290200
Q7X634	Ensembl:ORGLA04G0158400
Q7X720	Ensembl:ORGLA04G0159500
Q7X742	Ensembl:ORGLA04G0234000
Q7X7A1	Ensembl:ORGLA04G0217700
Q7X7N2	Ensembl:ORGLA04G0003200
Q7X7X0	Ensembl:ORGLA07G0172300
Q7X7X4	Ensembl:ORGLA04G0021400
Q7X8A1	Ensembl:ORGLA04G0118700
Q7X8V3	Ensembl:ORGLA04G0159700
Q7X993	Ensembl:ORGLA07G0213300
Q7XAP2	Ensembl:ORGLA06G0141800
Q7XBY6	Ensembl:ORGLA10G0145100
Q7XC20	Ensembl:ORGLA10G0140200
Q7XCK3	Ensembl:ORGLA10G0124100
Q7XE48	Ensembl:ORGLA10G0098400
Q7XEH2	Ensembl:ORGLA10G0090200
Q7XEZ1	Ensembl:ORGLA10G0073200
Q7XEZ6	Ensembl:ORGLA10G0073000
Q7XGU4	Ensembl:ORGLA10G0019800
Q7XH05	Ensembl:ORGLA10G0015900
Q7XHL3	Ensembl:ORGLA07G0104400
Q7XHZ2	Ensembl:ORGLA07G0109700
Q7XI34	Ensembl:ORGLA07G0071800
Q7XI35	Ensembl:ORGLA07G0071400
Q7XI67	Ensembl:ORGLA07G0215800
Q7XI92	Ensembl:ORGLA07G0257100
Q7XI96	Ensembl:ORGLA07G0256600
Q7XK23	Ensembl:ORGLA04G0131600
Q7XKH9	Ensembl:ORGLA04G0056500
Q7XKI0	Ensembl:ORGLA04G0056600
Q7XKQ8	Ensembl:ORGLA04G0076100
Q7XM21	Ensembl:ORGLA04G0247100
Q7XMA8	Ensembl:ORGLA04G0057300
Q7XMP7	Ensembl:ORGLA04G0239200
Q7XMU7	Ensembl:ORGLA04G0062300
Q7XNY3	Ensembl:ORGLA04G0209200
Q7XPB5	Ensembl:ORGLA04G0194600
Q7XPR5	Ensembl:ORGLA04G0185300
Q7XPW5	Ensembl:ORGLA04G0263300
Q7XQ85	Ensembl:ORGLA04G0196200
Q7XR02	Ensembl:ORGLA04G0245200
Q7XR60	Ensembl:ORGLA04G0253400
Q7XR61	Ensembl:ORGLA04G0253300
Q7XRA1	Ensembl:ORGLA04G0003800
Q7XRT0	Ensembl:ORGLA04G0038400
Q7XRX3	Ensembl:ORGLA04G0190900
Q7XSS9	Ensembl:ORGLA04G0270000
Q7XTB2	Ensembl:ORGLA04G0001300
Q7XTE8	Ensembl:ORGLA04G0120700
Q7XTK3	Ensembl:ORGLA04G0007700
Q7XTU2	Ensembl:ORGLA04G0226300
Q7XTX7	Ensembl:ORGLA04G0194500
Q7XU28	Ensembl:ORGLA04G0179200
Q7XU29	Ensembl:ORGLA04G0179300
Q7XUA8	Ensembl:ORGLA04G0161200
Q7XUH5	Ensembl:ORGLA04G0195300
Q7XUK6	Ensembl:ORGLA04G0145600
Q7XUS2	Ensembl:ORGLA04G0121500
Q7XV13	Ensembl:ORGLA04G0110300
Q7XV42	Ensembl:ORGLA04G0113800
Q7XV97	Ensembl:ORGLA02G0354700 Ensembl:ORGLA04G0079100
Q7XVK0	Ensembl:ORGLA02G0348700
Q7XVM2	Ensembl:ORGLA02G0357400 Ensembl:ORGLA04G0078000
Q7XVM8	Ensembl:ORGLA02G0357700 Ensembl:ORGLA04G0078900
Q7XVP0	Ensembl:ORGLA04G0053400
Q7XX31	Ensembl:ORGLA04G0033500
Q7XYS3	Ensembl:ORGLA03G0088000
Q7XZH5	Ensembl:ORGLA03G0351500
Q7Y0B9	Ensembl:ORGLA03G0322600
Q7Y0C8	Ensembl:ORGLA03G0324500
Q7Y0W5	Ensembl:ORGLA10G0110500
Q7Y0Y6	Ensembl:ORGLA02G0080500 Ensembl:ORGLA02G0080800
Q7Y152	Ensembl:ORGLA03G0367300
Q7Y1I9	Ensembl:ORGLA03G0340300
Q84J55	Ensembl:ORGLA08G0158700
Q84J76	Ensembl:ORGLA07G0016600
Q84JH5	Ensembl:ORGLA03G0115100
Q84JI0	Ensembl:ORGLA03G0115300
Q84LF7	Ensembl:ORGLA07G0244000
Q84LK3	Ensembl:ORGLA08G0132000
Q84M43	Ensembl:ORGLA03G0349200
Q84MN8	Ensembl:ORGLA03G0307700
Q84NP3	Ensembl:ORGLA07G0217700
Q84Q89	Ensembl:ORGLA03G0111300
Q84QA7	Ensembl:ORGLA03G0112800
Q84R94	Ensembl:ORGLA03G0193500
Q84RS4	Ensembl:ORGLA07G0122500
Q84RX6	Ensembl:ORGLA07G0159400
Q84VK7	Ensembl:ORGLA07G0136300
Q84YK8	Ensembl:ORGLA08G0176100
Q84ZN6	Ensembl:ORGLA07G0059400
Q84ZY2	Ensembl:ORGLA06G0021300
Q851L5	Ensembl:ORGLA03G0370000
Q851Z6	Ensembl:ORGLA03G0379100
Q852C2	Ensembl:ORGLA03G0361800
Q852M2	Ensembl:ORGLA03G0338100
Q852P4	Ensembl:ORGLA02G0213600
Q8GRS2	Ensembl:ORGLA03G0057300
Q8GRU7	Ensembl:ORGLA07G0184900
Q8GSI0	Ensembl:ORGLA03G0057200
Q8GT01	Ensembl:ORGLA01G0376900
Q8GVJ4	Ensembl:ORGLA07G0098900
Q8GVZ0	Ensembl:ORGLA07G0142800
Q8GZY1	Ensembl:ORGLA03G0007900
Q8H016	Ensembl:ORGLA03G0056300
Q8H038	Ensembl:ORGLA03G0032500
Q8H048	Ensembl:ORGLA03G0012800
Q8H051	Ensembl:ORGLA03G0012500
Q8H075	Ensembl:ORGLA03G0036700
Q8H0B2	Ensembl:ORGLA08G0012600
Q8H0B6	Ensembl:ORGLA04G0225400
Q8H273	Ensembl:ORGLA04G0192900
Q8H395	Ensembl:ORGLA07G0170000
Q8H3A4	Ensembl:ORGLA07G0169300
Q8H3C8	Ensembl:ORGLA07G0075200
Q8H3C9	Ensembl:ORGLA07G0075100
Q8H3I4	Ensembl:ORGLA07G0170800
Q8H3Q7	Ensembl:ORGLA07G0200700
Q8H4L3	Ensembl:ORGLA07G0061400
Q8H539	Ensembl:ORGLA07G0033000
Q8H7P5	Ensembl:ORGLA03G0062000
Q8H7S6	Ensembl:ORGLA03G0086900
Q8H7T7	Ensembl:ORGLA03G0002800
Q8H825	Ensembl:ORGLA03G0084700
Q8H8U0	Ensembl:ORGLA03G0125300
Q8H930	Ensembl:ORGLA07G0021500
Q8LGW5	Ensembl:ORGLA07G0080400
Q8LGZ9	Ensembl:ORGLA07G0002700
Q8LHD1	Ensembl:ORGLA01G0388400
Q8LI89	Ensembl:ORGLA07G0036900
Q8LIG8	Ensembl:ORGLA07G0212400
Q8LIY8	Ensembl:ORGLA01G0250600
Q8LJJ2	Ensembl:ORGLA01G0225700
Q8LM92	Ensembl:ORGLA10G0045600
Q8LMW8	Ensembl:ORGLA10G0038900
Q8LN68	Ensembl:ORGLA03G0289500
Q8LQ34	Ensembl:ORGLA01G0313100
Q8LR33	Ensembl:ORGLA01G0208200
Q8LR75	Ensembl:ORGLA01G0306600
Q8LRA0	Ensembl:ORGLA12G0110200 Ensembl:ORGLA01G0282200
Q8LRJ3	Ensembl:ORGLA11G0023200
Q8RU95	Ensembl:ORGLA01G0346900
Q8RV06	Ensembl:ORGLA10G0002600
Q8RV34	Ensembl:ORGLA12G0114300
Q8RYL0	Ensembl:ORGLA01G0364100
Q8RYL1	Ensembl:ORGLA01G0364000
Q8RYY6	Ensembl:ORGLA01G0329100
Q8RZZ3	Ensembl:ORGLA01G0224100
Q8S2E5	Ensembl:ORGLA01G0241500
Q8S2G0	Ensembl:ORGLA01G0280900
Q8S5M6	Ensembl:ORGLA10G0063500
Q8S5N2	Ensembl:ORGLA10G0064100
Q8S5T1	Ensembl:ORGLA03G0044800
Q8S601	Ensembl:ORGLA10G0048900
Q8S7N5	Ensembl:ORGLA10G0144000
Q8S919	Ensembl:ORGLA02G0102000
Q8S920	Ensembl:ORGLA01G0205600
Q8S983	Ensembl:ORGLA04G0248600
Q8S985	Ensembl:ORGLA05G0222700
Q8S9S4	Ensembl:ORGLA01G0161400
Q8S9Z2	Ensembl:ORGLA01G0390700
Q8W1L6	Ensembl:ORGLA02G0108000
Q8W250	Ensembl:ORGLA07G0231200 Ensembl:ORGLA01G0004200
Q8W3J0	Ensembl:ORGLA03G0120900
Q8W3L9	Ensembl:ORGLA07G0211700
Q8W3M0	Ensembl:ORGLA03G0150600
Q8W5G9	Ensembl:ORGLA03G0321800 Ensembl:ORGLA10G0152200
Q93VC3	Ensembl:ORGLA01G0129300
Q93VD5	Ensembl:ORGLA01G0163300
Q93WI9	Ensembl:ORGLA06G0035400
Q93X08	Ensembl:ORGLA09G0152000
Q93XI4	Ensembl:ORGLA02G0165100
Q93Y73	Ensembl:ORGLA03G0320100
Q941T9	Ensembl:ORGLA01G0310300
Q941W8	Ensembl:ORGLA01G0296400
Q942X4	Ensembl:ORGLA01G0369400
Q943R3	Ensembl:ORGLA01G0019200
Q94E75	Ensembl:ORGLA01G0131500
Q94EE9	Ensembl:ORGLA01G0264400
Q94GF1	Ensembl:ORGLA03G0363200
Q94HG3	Ensembl:ORGLA03G0059800
Q94HG6	Ensembl:ORGLA03G0060100
Q94IW5	Ensembl:ORGLA01G0058700 Ensembl:ORGLA08G0200200
Q94J08	Ensembl:ORGLA01G0253700
Q94JA2	Ensembl:ORGLA01G0199700
Q94JJ0	Ensembl:ORGLA01G0010700
Q94LG1	Ensembl:ORGLA03G0190800
Q94LU9	Ensembl:ORGLA10G0128500
Q94LV4	Ensembl:ORGLA10G0128800
Q9ASD3	Ensembl:ORGLA01G0236300
Q9ASK5	Ensembl:ORGLA01G0006500
Q9ASP4	Ensembl:ORGLA01G0115300
Q9AUQ4	Ensembl:ORGLA03G0293900
Q9AUV6	Ensembl:ORGLA03G0318200
Q9AV47	Ensembl:ORGLA10G0115500
Q9AV71	Ensembl:ORGLA10G0113500
Q9AWZ7	Ensembl:ORGLA01G0070600
Q9AWZ8	Ensembl:ORGLA01G0070500
Q9FDY4	Ensembl:ORGLA01G0057300
Q9FE35	Ensembl:ORGLA01G0188800
Q9FTN5	Ensembl:ORGLA01G0003700
Q9FTN6	Ensembl:ORGLA01G0003600
Q9FTR6	Ensembl:ORGLA01G0016400
Q9FTZ2	Ensembl:ORGLA01G0002100
Q9FU17	Ensembl:ORGLA01G0056400
Q9FU67	Ensembl:ORGLA01G0045400
Q9FU68	Ensembl:ORGLA01G0045300
Q9FU69	Ensembl:ORGLA01G0045200
Q9FWK4	Ensembl:ORGLA10G0114800
Q9FWQ2	Ensembl:ORGLA10G0131600
Q9LD61	Ensembl:ORGLA08G0066100
Q9LDB7	Ensembl:ORGLA06G0045900
Q9LG86	Ensembl:ORGLA01G0054300
Q9LGL5	Ensembl:ORGLA01G0034800
Q9LGU6	Ensembl:ORGLA01G0103600
Q9LHZ7	Ensembl:ORGLA10G0148700
Q9LWU9	Ensembl:ORGLA06G0016600
Q9S7D3	Ensembl:ORGLA08G0007700
Q9SDG5	Ensembl:ORGLA01G0095800
Q9SE42	Ensembl:ORGLA09G0121000
Q9SMB1	Ensembl:ORGLA07G0096000
Q9SNK3	Ensembl:ORGLA03G0021100
Q9SNN0	Ensembl:ORGLA06G0019600
Q9SNQ6	Ensembl:ORGLA06G0027300
Q9XEA6	Ensembl:ORGLA12G0167000
Q9XEA8	Ensembl:ORGLA03G0311300
Q9XFE5	Ensembl:ORGLA10G0149200
Q9XG80	Ensembl:ORGLA02G0336400
Q9XHL5	Ensembl:ORGLA08G0179100
Q9XJ03	Ensembl:ORGLA06G0041900
Q9XJ29	Ensembl:ORGLA03G0111900
Q9XJ60	Ensembl:ORGLA03G0015400
Q9XJ61	Ensembl:ORGLA01G0361900
Q9ZTP5	Ensembl:ORGLA03G0049300
UPI00000AA151	Ensembl:ORGLA06G0045900
UPI0001C7A9C3	Ensembl:ORGLA09G0162100
UPI0001C7CB34	Ensembl:ORGLA11G0023200
