A2X747	Ensembl:OPUNC02G21690
Q6H703	Ensembl:OPUNC02G04630
Q6H765	Ensembl:OPUNC02G16960
Q6H7Q6	Ensembl:OPUNC02G06340
Q6H819	Ensembl:OPUNC02G05380
Q6H849	Ensembl:OPUNC02G22980
Q6I581	Ensembl:OPUNC05G25060
Q6I5C3	Ensembl:OPUNC05G06740
Q6IEQ7	Ensembl:OPUNC01G34610
Q6IVC3	Ensembl:OPUNC03G14770
Q6K209	Ensembl:OPUNC02G22710
Q6K2E1	Ensembl:OPUNC09G04820
Q6K3T2	Ensembl:OPUNC02G09350
Q6K3Z3	Ensembl:OPUNC09G02030
Q6K4Q5	Ensembl:OPUNC02G32400
Q6K4V9	Ensembl:OPUNC02G14390
Q6K4Y7	Ensembl:OPUNC02G14250
Q6K5G8	Ensembl:OPUNC02G21010
Q6K5U4	Ensembl:OPUNC02G11930
Q6K678	Ensembl:OPUNC02G32890
Q6K6Q0	Ensembl:OPUNC02G22550 Ensembl:OPUNC02G22540
Q6K6Q1	Ensembl:OPUNC02G22530
Q6K755	Ensembl:OPUNC02G15140
Q6K7P2	Ensembl:OPUNC02G35370
Q6K7V6	Ensembl:OPUNC02G10850
Q6K846	Ensembl:OPUNC02G33610
Q6K8E2	Ensembl:OPUNC02G30620
Q6K8E7	Ensembl:OPUNC02G33750
Q6K8J4	Ensembl:OPUNC02G21180 Ensembl:OPUNC02G21210
Q6K8R6	Ensembl:OPUNC02G21380
Q6K973	Ensembl:OPUNC02G35600
Q6K9B8	Ensembl:OPUNC02G21640
Q6K9C5	Ensembl:OPUNC02G21570
Q6K9M5	Ensembl:OPUNC02G32640
Q6K9X3	Ensembl:OPUNC02G35020
Q6KAJ2	Ensembl:OPUNC02G33180
Q6L4G2	Ensembl:OPUNC05G22530
Q6L4H5	Ensembl:OPUNC05G22360
Q6L4L4	Ensembl:OPUNC05G02000
Q6L4R0	Ensembl:OPUNC05G05970
Q6L4R7	Ensembl:OPUNC05G25570
Q6L506	Ensembl:OPUNC05G16900
Q6L540	Ensembl:OPUNC05G19990
Q6L545	Ensembl:OPUNC05G14250
Q6L5H6	Ensembl:OPUNC05G21490
Q6Q9I2	Ensembl:OPUNC07G00470
Q6YPF1	Ensembl:OPUNC08G01400
Q6YPG5	Ensembl:OPUNC02G00060
Q6YS33	Ensembl:OPUNC07G09960
Q6YS36	Ensembl:OPUNC07G10000
Q6YSA1	Ensembl:OPUNC08G15410
Q6YSF8	Ensembl:OPUNC07G02450
Q6YT73	Ensembl:OPUNC07G03310
Q6YTI6	Ensembl:OPUNC02G19100
Q6YTT3	Ensembl:OPUNC08G16460
Q6YU51	Ensembl:OPUNC07G05600
Q6YUI8	Ensembl:OPUNC08G10340
Q6YUS0	Ensembl:OPUNC02G01050
Q6YUU2	Ensembl:OPUNC02G06010
Q6YV04	Ensembl:OPUNC02G07700
Q6YV23	Ensembl:OPUNC02G27200
Q6YVI0	Ensembl:OPUNC02G27000
Q6YVT1	Ensembl:OPUNC08G18080
Q6YVY0	Ensembl:OPUNC02G18520
Q6YVY6	Ensembl:OPUNC07G19890
Q6YWE1	Ensembl:OPUNC07G06850
Q6YXC2	Ensembl:OPUNC02G19300
Q6YXI1	Ensembl:OPUNC09G11590
Q6YXW6	Ensembl:OPUNC02G02770
Q6YYB9	Ensembl:OPUNC08G02080
Q6YYY7	Ensembl:OPUNC08G21650
Q6YYZ2	Ensembl:OPUNC08G02470
Q6YZ18	Ensembl:OPUNC08G02340
Q6YZE2	Ensembl:OPUNC08G19680
Q6YZH8	Ensembl:OPUNC08G21560
Q6YZX7	Ensembl:OPUNC08G05140
Q6Z0T7	Ensembl:OPUNC08G21290
Q6Z2L5	Ensembl:OPUNC02G01640
Q6Z2T6	Ensembl:OPUNC02G29860
Q6Z2T9	Ensembl:OPUNC02G29840
Q6Z312	Ensembl:OPUNC02G31160
Q6Z368	Ensembl:OPUNC07G06240
Q6Z398	Ensembl:OPUNC07G06140
Q6Z3A4	Ensembl:OPUNC05G01770
Q6Z3F1	Ensembl:OPUNC08G21240
Q6Z3F9	Ensembl:OPUNC08G21210
Q6Z3X5	Ensembl:OPUNC07G25880
Q6Z3Y3	Ensembl:OPUNC07G25770
Q6Z414	Ensembl:OPUNC07G17410
Q6Z433	Ensembl:OPUNC02G02970
Q6Z434	Ensembl:OPUNC02G02960
Q6Z4E7	Ensembl:OPUNC07G05550
Q6Z4I1	Ensembl:OPUNC01G10040
Q6Z4U1	Ensembl:OPUNC08G04420
Q6Z5B5	Ensembl:OPUNC07G16500 Ensembl:OPUNC07G16480 Ensembl:OPUNC07G16490
Q6Z5M0	Ensembl:OPUNC02G28340
Q6Z5M3	Ensembl:OPUNC02G28320
Q6Z684	Ensembl:OPUNC02G30470
Q6Z6F0	Ensembl:OPUNC02G07070
Q6Z6K9	Ensembl:OPUNC02G07910
Q6Z6L1	Ensembl:OPUNC02G07890
Q6Z6S7	Ensembl:OPUNC02G12340
Q6Z702	Ensembl:OPUNC02G01420
Q6Z744	Ensembl:OPUNC02G29480
Q6Z795	Ensembl:OPUNC02G06890
Q6Z7I3	Ensembl:OPUNC02G13320
Q6Z7Q3	Ensembl:OPUNC02G31060
Q6Z836	Ensembl:OPUNC02G02150
Q6Z8F4	Ensembl:OPUNC02G26550
Q6Z8S2	Ensembl:OPUNC08G14280
Q6Z8Z7	Ensembl:OPUNC02G00340
Q6Z965	Ensembl:OPUNC08G15100
Q6Z9A3	Ensembl:OPUNC01G36020
Q6Z9E6	Ensembl:OPUNC08G14250
Q6ZAC1	Ensembl:OPUNC08G14530
Q6ZAH2	Ensembl:OPUNC08G09760
Q6ZAK7	Ensembl:OPUNC08G13420
Q6ZB59	Ensembl:OPUNC08G10650
Q6ZB94	Ensembl:OPUNC08G16130
Q6ZBE1	Ensembl:OPUNC04G06410
Q6ZBH5	Ensembl:OPUNC08G20530
Q6ZC33	Ensembl:OPUNC08G15460
Q6ZCF0	Ensembl:OPUNC08G05760
Q6ZD10	Ensembl:OPUNC08G10590
Q6ZD89	Ensembl:OPUNC08G03270
Q6ZDJ7	Ensembl:OPUNC08G11690
Q6ZDQ1	Ensembl:OPUNC07G05990
Q6ZDY8	Ensembl:OPUNC07G01980
Q6ZEZ2	Ensembl:OPUNC07G04720
Q6ZFT5	Ensembl:OPUNC02G27660
Q6ZG77	Ensembl:OPUNC02G13530
Q6ZG91	Ensembl:OPUNC02G01930
Q6ZGS9	Ensembl:OPUNC02G26260
Q6ZGW6	Ensembl:OPUNC02G27810
Q6ZH92	Ensembl:OPUNC02G01140
Q6ZHA3	Ensembl:OPUNC02G01030
Q6ZHB2	Ensembl:OPUNC02G26050
Q6ZHH4	Ensembl:OPUNC02G31500
Q6ZHH7	Ensembl:OPUNC02G31470
Q6ZHS4	Ensembl:OPUNC02G05830
Q6ZHZ1	Ensembl:OPUNC08G09160
Q6ZI39	Ensembl:OPUNC02G18090
Q6ZI55	Ensembl:OPUNC02G20650
Q6ZIA3	Ensembl:OPUNC08G19550
Q6ZIK0	Ensembl:OPUNC02G26780
Q6ZIX2	Ensembl:OPUNC07G06540
Q6ZJ97	Ensembl:OPUNC08G05840
Q6ZJK7	Ensembl:OPUNC08G02330
Q6ZJU3	Ensembl:OPUNC08G12760
Q6ZKC0	Ensembl:OPUNC08G13570
Q6ZKV8	Ensembl:OPUNC08G07170
Q6ZL61	Ensembl:OPUNC07G05030
Q6ZL94	Ensembl:OPUNC07G18720
Q6ZLD3	Ensembl:OPUNC07G04830
Q6ZLJ9	Ensembl:OPUNC07G06690
Q75GB1	Ensembl:OPUNC05G07300
Q75H77	Ensembl:OPUNC03G23710
Q75HA6	Ensembl:OPUNC03G26240
Q75HP7	Ensembl:OPUNC05G15390
Q75HQ7	Ensembl:OPUNC05G15280
Q75HZ9	Ensembl:OPUNC05G24740
Q75I93	Ensembl:OPUNC03G28340
Q75II5	Ensembl:OPUNC05G20410
Q75KD7	Ensembl:OPUNC03G06820
Q75KT7	Ensembl:OPUNC05G21380
Q75L84	Ensembl:OPUNC05G01620
Q75LL5	Ensembl:OPUNC03G31440
Q75LR2	Ensembl:OPUNC03G18800
Q75M18	Ensembl:OPUNC05G00290
Q75V57	Ensembl:OPUNC12G15660
Q75W16	Ensembl:OPUNC07G21260
Q764B9	Ensembl:OPUNC03G29200
Q7EYE4	Ensembl:OPUNC08G03700
Q7EYM8	Ensembl:OPUNC08G11960
Q7EZD3	Ensembl:OPUNC08G03310
Q7EZW6	Ensembl:OPUNC08G10690
Q7EZZ0	Ensembl:OPUNC07G23660
Q7F0B2	Ensembl:OPUNC07G07930
Q7F0Q2	Ensembl:OPUNC04G20170
Q7F190	Ensembl:OPUNC07G13920
Q7F1X5	Ensembl:OPUNC01G39510
Q7F2P0	Ensembl:OPUNC01G16940
Q7FAE1	Ensembl:OPUNC04G02820
Q7FAH2	Ensembl:OPUNC04G14480
Q7G065	Ensembl:OPUNC01G23820
Q7G2F7	Ensembl:OPUNC10G13120
Q7G2H3	Ensembl:OPUNC10G12800
Q7G4P2	Ensembl:OPUNC10G04090
Q7G602	Ensembl:OPUNC10G05000
Q7G6M2	Ensembl:OPUNC10G05440
Q7G7J6	Ensembl:OPUNC03G28530
Q7X634	Ensembl:OPUNC04G16470
Q7X720	Ensembl:OPUNC04G16580
Q7X742	Ensembl:OPUNC04G24510
Q7X7H9	Ensembl:OPUNC04G24430
Q7X7N2	Ensembl:OPUNC04G00390
Q7X7X0	Ensembl:OPUNC07G20990
Q7X7X4	Ensembl:OPUNC04G02870
Q7X8A1	Ensembl:OPUNC04G12750
Q7X8V3	Ensembl:OPUNC04G16600
Q7X993	Ensembl:OPUNC07G25310
Q7XAP2	Ensembl:OPUNC06G15430
Q7XBY6	Ensembl:OPUNC10G17760 Ensembl:OPUNC10G17740
Q7XC20	Ensembl:OPUNC10G17290
Q7XCK3	Ensembl:OPUNC10G15690
Q7XDE0	Ensembl:OPUNC10G11590
Q7XE48	Ensembl:OPUNC10G09440
Q7XEZ1	Ensembl:OPUNC10G07460
Q7XEZ6	Ensembl:OPUNC10G07430
Q7XGU4	Ensembl:OPUNC10G01900
Q7XH05	Ensembl:OPUNC10G01430
Q7XHL3	Ensembl:OPUNC07G11090 Ensembl:OPUNC07G11100
Q7XHZ2	Ensembl:OPUNC07G11440
Q7XI34	Ensembl:OPUNC07G07980
Q7XI67	Ensembl:OPUNC07G25570
Q7XI92	Ensembl:OPUNC07G18870
Q7XI96	Ensembl:OPUNC07G18840
Q7XK23	Ensembl:OPUNC04G14040
Q7XKH9	Ensembl:OPUNC04G06250
Q7XKI0	Ensembl:OPUNC04G06330
Q7XKQ8	Ensembl:OPUNC04G08780 Ensembl:OPUNC04G08630
Q7XM21	Ensembl:OPUNC04G25950
Q7XMA8	Ensembl:OPUNC04G06410
Q7XMU7	Ensembl:OPUNC04G07370
Q7XNX6	Ensembl:OPUNC04G04410
Q7XNY3	Ensembl:OPUNC04G21880
Q7XPB5	Ensembl:OPUNC04G20150
Q7XPR5	Ensembl:OPUNC04G19140
Q7XPW5	Ensembl:OPUNC04G27560
Q7XQ85	Ensembl:OPUNC04G20250 Ensembl:OPUNC04G20240
Q7XR02	Ensembl:OPUNC04G25730
Q7XR60	Ensembl:OPUNC04G26530
Q7XR61	Ensembl:OPUNC04G26530
Q7XRA1	Ensembl:OPUNC04G00440
Q7XRT0	Ensembl:OPUNC04G04330
Q7XRX3	Ensembl:OPUNC04G19790
Q7XSS9	Ensembl:OPUNC04G28180
Q7XTB2	Ensembl:OPUNC04G00210
Q7XTE8	Ensembl:OPUNC04G12950
Q7XTH0	Ensembl:OPUNC04G06250
Q7XTK3	Ensembl:OPUNC04G00960
Q7XTU2	Ensembl:OPUNC04G23130 Ensembl:OPUNC04G23100
Q7XTX7	Ensembl:OPUNC04G20140
Q7XU29	Ensembl:OPUNC04G18560
Q7XUA8	Ensembl:OPUNC04G16720
Q7XUH5	Ensembl:OPUNC04G20170
Q7XUI7	Ensembl:OPUNC04G19640
Q7XUK6	Ensembl:OPUNC04G15230
Q7XUS2	Ensembl:OPUNC04G13020
Q7XV13	Ensembl:OPUNC04G12010
Q7XV42	Ensembl:OPUNC04G12320
Q7XV97	Ensembl:OPUNC04G08950
Q7XVM2	Ensembl:OPUNC04G08870
Q7XVM8	Ensembl:OPUNC04G08930
Q7XVP0	Ensembl:OPUNC04G05790
Q7XWP9	Ensembl:OPUNC04G04730
Q7XX31	Ensembl:OPUNC05G09280
Q7XX32	Ensembl:OPUNC05G09280
Q7XYS3	Ensembl:OPUNC03G08740
Q7XZH5	Ensembl:OPUNC03G35560
Q7Y0B9	Ensembl:OPUNC03G32260
Q7Y0C8	Ensembl:OPUNC03G32430
Q7Y0W5	Ensembl:OPUNC10G10710
Q7Y0Y8	Ensembl:OPUNC06G17670
Q7Y152	Ensembl:OPUNC03G37080
Q7Y1H9	Ensembl:OPUNC03G34460
Q7Y1I9	Ensembl:OPUNC03G34500
Q84J55	Ensembl:OPUNC08G16210
Q84J76	Ensembl:OPUNC07G01770
Q84JH5	Ensembl:OPUNC03G11510
Q84JI0	Ensembl:OPUNC03G11550
Q84M43	Ensembl:OPUNC03G35340
Q84MN8	Ensembl:OPUNC03G30940
Q84Q89	Ensembl:OPUNC03G11070
Q84QA7	Ensembl:OPUNC03G11220
Q84R94	Ensembl:OPUNC03G19590
Q84RS4	Ensembl:OPUNC07G13870
Q84RX6	Ensembl:OPUNC07G19570 Ensembl:OPUNC07G19590
Q84T92	Ensembl:OPUNC03G36100
Q84VC7	Ensembl:OPUNC05G21230
Q84VK7	Ensembl:OPUNC07G15220
Q84YK8	Ensembl:OPUNC08G18090 Ensembl:OPUNC08G18100
Q84ZN6	Ensembl:OPUNC07G06650
Q84ZY2	Ensembl:OPUNC06G01950
Q851L5	Ensembl:OPUNC03G37350
Q851Z6	Ensembl:OPUNC03G38150
Q852C2	Ensembl:OPUNC03G36470
Q852M1	Ensembl:OPUNC03G33900
Q852M2	Ensembl:OPUNC03G33900
Q852P4	Ensembl:OPUNC02G22450
Q852Q1	Ensembl:OPUNC08G16490 Ensembl:OPUNC03G12930
Q8GRU7	Ensembl:OPUNC07G22500
Q8GSI0	Ensembl:OPUNC03G05740
Q8GT01	Ensembl:OPUNC01G42800
Q8GVZ0	Ensembl:OPUNC07G16590
Q8GZY1	Ensembl:OPUNC03G00900
Q8H016	Ensembl:OPUNC03G05630
Q8H048	Ensembl:OPUNC03G01400
Q8H051	Ensembl:OPUNC03G01370
Q8H075	Ensembl:OPUNC03G03600
Q8H093	Ensembl:OPUNC10G14770
Q8H0A1	Ensembl:OPUNC10G14710
Q8H0B2	Ensembl:OPUNC08G01850
Q8H0B6	Ensembl:OPUNC04G22970
Q8H273	Ensembl:OPUNC04G19970
Q8H395	Ensembl:OPUNC07G20690
Q8H3A4	Ensembl:OPUNC07G20600
Q8H3C9	Ensembl:OPUNC07G08420
Q8H3I4	Ensembl:OPUNC07G20790
Q8H3Q7	Ensembl:OPUNC07G24140
Q8H530	Ensembl:OPUNC07G13410
Q8H539	Ensembl:OPUNC07G03810
Q8H7P5	Ensembl:OPUNC03G06180
Q8H7S6	Ensembl:OPUNC03G08650
Q8H7T7	Ensembl:OPUNC03G00370
Q8H825	Ensembl:OPUNC03G08470
Q8H930	Ensembl:OPUNC07G02510
Q8LGW5	Ensembl:OPUNC07G08770
Q8LGZ9	Ensembl:OPUNC07G00230
Q8LHD1	Ensembl:OPUNC10G14500
Q8LI89	Ensembl:OPUNC07G04120
Q8LIG8	Ensembl:OPUNC07G25220
Q8LIY8	Ensembl:OPUNC01G15630
Q8LJJ2	Ensembl:OPUNC01G27290
Q8LMW8	Ensembl:OPUNC10G04250
Q8LN68	Ensembl:OPUNC03G28490
Q8LNU2	Ensembl:OPUNC10G12870
Q8LQ34	Ensembl:OPUNC01G36400
Q8LR33	Ensembl:OPUNC01G25370
Q8LRA0	Ensembl:OPUNC01G33270
Q8LRJ3	Ensembl:OPUNC01G13300
Q8RU95	Ensembl:OPUNC01G39520
Q8RV06	Ensembl:OPUNC10G00300
Q8RV34	Ensembl:OPUNC12G11470
Q8RYL0	Ensembl:OPUNC01G41670
Q8RYL1	Ensembl:OPUNC01G41660
Q8RYY6	Ensembl:OPUNC01G37730
Q8RZZ3	Ensembl:OPUNC01G27210
Q8S2E5	Ensembl:OPUNC01G29190
Q8S2G0	Ensembl:OPUNC01G33200
Q8S3R0	Ensembl:OPUNC02G27130
Q8S5M6	Ensembl:OPUNC10G06710
Q8S5N2	Ensembl:OPUNC10G06750
Q8S5T1	Ensembl:OPUNC03G04430
Q8S601	Ensembl:OPUNC10G05250
Q8S7N5	Ensembl:OPUNC10G17620
Q8S919	Ensembl:OPUNC02G10040
Q8S983	Ensembl:OPUNC04G26100
Q8S985	Ensembl:OPUNC05G23380 Ensembl:OPUNC05G23400
Q8S9S4	Ensembl:OPUNC01G20040
Q8S9Z2	Ensembl:OPUNC01G44240
Q8VWH2	Ensembl:OPUNC06G03590
Q8W1L6	Ensembl:OPUNC02G10700
Q8W250	Ensembl:OPUNC01G00440
Q8W3F9	Ensembl:OPUNC10G18140
Q8W3J0	Ensembl:OPUNC03G12060
Q8W3L9	Ensembl:OPUNC07G25150
Q8W3M0	Ensembl:OPUNC03G15240
Q8W5G9	Ensembl:OPUNC03G32190
Q93VC3	Ensembl:OPUNC01G16580
Q93VD5	Ensembl:OPUNC01G20240
Q93WI9	Ensembl:OPUNC06G03600
Q93X08	Ensembl:OPUNC09G17380
Q93XI4	Ensembl:OPUNC02G17140
Q93Y73	Ensembl:OPUNC03G32010
Q941T9	Ensembl:OPUNC01G36020
Q941W8	Ensembl:OPUNC01G34700
Q942X4	Ensembl:OPUNC01G42110
Q943R3	Ensembl:OPUNC01G01940
Q94E75	Ensembl:OPUNC01G16730
Q94EE9	Ensembl:OPUNC01G31410
Q94GF1	Ensembl:OPUNC03G36620
Q94HG3	Ensembl:OPUNC03G05990
Q94HG6	Ensembl:OPUNC03G06020
Q94IW5	Ensembl:OPUNC01G05980
Q94J08	Ensembl:OPUNC01G29980
Q94J90	Ensembl:OPUNC01G33440
Q94JA2	Ensembl:OPUNC01G24700
Q94JJ0	Ensembl:OPUNC01G01010
Q94LG1	Ensembl:OPUNC03G19240
Q94LU9	Ensembl:OPUNC10G16020
Q94LV4	Ensembl:OPUNC10G16040
Q9ASD3	Ensembl:OPUNC01G28310
Q9ASK5	Ensembl:OPUNC01G00620
Q9ASP4	Ensembl:OPUNC01G13470
Q9AUQ4	Ensembl:OPUNC03G28940
Q9AUV6	Ensembl:OPUNC03G31820
Q9AV47	Ensembl:OPUNC10G11840
Q9AV71	Ensembl:OPUNC10G11050
Q9AWL7	Ensembl:OPUNC01G05160
Q9AWZ7	Ensembl:OPUNC01G07710
Q9FDX8	Ensembl:OPUNC06G10200
Q9FDY4	Ensembl:OPUNC01G05860
Q9FE35	Ensembl:OPUNC01G23530
Q9FTN5	Ensembl:OPUNC11G17220
Q9FTN6	Ensembl:OPUNC01G00400
Q9FTR6	Ensembl:OPUNC01G01570
Q9FTZ2	Ensembl:OPUNC01G00240
Q9FU17	Ensembl:OPUNC01G05760
Q9FU68	Ensembl:OPUNC01G04750
Q9FWC1	Ensembl:OPUNC10G14530
Q9FWK4	Ensembl:OPUNC10G11260
Q9FWQ2	Ensembl:OPUNC10G16380
Q9LD61	Ensembl:OPUNC08G07210
Q9LDB7	Ensembl:OPUNC06G04790
Q9LG86	Ensembl:OPUNC01G05610
Q9LGL5	Ensembl:OPUNC01G03620
Q9LGU6	Ensembl:OPUNC01G11970
Q9LHZ0	Ensembl:OPUNC06G00620
Q9LHZ7	Ensembl:OPUNC06G00730
Q9LIZ8	Ensembl:OPUNC01G10690
Q9LWU9	Ensembl:OPUNC06G01470
Q9LWV3	Ensembl:OPUNC06G01430
Q9S7D3	Ensembl:OPUNC08G01360
Q9SDG5	Ensembl:OPUNC01G10980
Q9SE42	Ensembl:OPUNC09G14070
Q9SMB1	Ensembl:OPUNC07G10130
Q9SNK3	Ensembl:OPUNC03G02130
Q9SNQ6	Ensembl:OPUNC06G02540
Q9XEA6	Ensembl:OPUNC12G17570
Q9XEA8	Ensembl:OPUNC03G31190
Q9XFE5	Ensembl:OPUNC10G18180
Q9XG80	Ensembl:OPUNC02G35630
Q9XHL5	Ensembl:OPUNC08G18400
Q9XJ03	Ensembl:OPUNC06G04320
Q9XJ29	Ensembl:OPUNC08G18440 Ensembl:OPUNC03G11130
Q9XJ60	Ensembl:OPUNC03G01630
Q9ZTP5	Ensembl:OPUNC03G04860
UPI00000AA151	Ensembl:OPUNC06G04790
UPI0001C7A9C3	Ensembl:OPUNC09G18290
UPI0001C7CB34	Ensembl:OPUNC01G13300
