A2X747	KDRI_Jc:Jcr4S01616.50
Q6YTI6	KDRI_Jc:Jcr4S00449.100
Q6YU51	KDRI_Jc:Jcr4S04553.10
Q6YUS0	KDRI_Jc:Jcr4S04379.20
Q6YUU2	KDRI_Jc:Jcr4S00947.40
Q6YV23	KDRI_Jc:Jcr4S00506.30
Q6YVI0	KDRI_Jc:Jcr4S00995.30
Q6YVY0	KDRI_Jc:Jcr4S02513.30
Q6YWE1	KDRI_Jc:Jcr4S00053.80
Q6YXI1	KDRI_Jc:Jcr4S09225.20
Q6YXW6	KDRI_Jc:Jcr4S01773.10
Q6YYB9	KDRI_Jc:Jcr4S01452.20
Q6YYZ2	KDRI_Jc:Jcr4S05728.20
Q6YZ18	KDRI_Jc:Jcr4S01140.20
Q6YZE2	KDRI_Jc:Jcr4S01820.40
Q6YZH8	KDRI_Jc:Jcr4S01018.30
Q6YZX6	KDRI_Jc:Jcr4S00736.30
Q6Z2L5	KDRI_Jc:Jcr4S06264.30
Q6Z2T6	KDRI_Jc:Jcr4S00044.10
Q6Z312	KDRI_Jc:Jcr4S00146.190
Q6Z351	KDRI_Jc:Jcr4S00486.10 KDRI_Jc:Jcr4S05113.30
Q6Z398	KDRI_Jc:Jcr4S00679.30
Q6Z3A3	KDRI_Jc:Jcr4S07331.30
Q6Z3F9	KDRI_Jc:Jcr4S05335.10
Q6Z3X5	KDRI_Jc:Jcr4S01488.20
Q6Z433	KDRI_Jc:Jcr4S00524.90
Q6Z4E7	KDRI_Jc:Jcr4S00300.50
Q6Z4I1	KDRI_Jc:Jcr4S00349.50
Q6Z5M3	KDRI_Jc:Jcr4S00039.150
Q6Z6F0	KDRI_Jc:Jcr4S19550.20 KDRI_Jc:Jcr4S16590.20
Q6Z702	KDRI_Jc:Jcr4S00256.20
Q6Z744	KDRI_Jc:Jcr4S07645.20
Q6Z795	KDRI_Jc:Jcr4S00290.50 KDRI_Jc:Jcr4S00177.190
Q6Z7Q3	KDRI_Jc:Jcr4S07303.30
Q6Z836	KDRI_Jc:Jcr4S03565.30
Q6Z8F4	KDRI_Jc:Jcr4S21842.20
Q6Z965	KDRI_Jc:Jcr4S00051.10
Q6Z9A3	KDRI_Jc:Jcr4S01164.20
Q6ZAH2	KDRI_Jc:Jcr4S10346.20
Q6ZBH5	KDRI_Jc:Jcr4S00523.60
Q6ZC33	KDRI_Jc:Jcr4S02321.10
Q6ZC70	KDRI_Jc:Jcr4S03123.10
Q6ZCF0	KDRI_Jc:Jcr4S03703.10
Q6ZD10	KDRI_Jc:Jcr4S05121.10
Q6ZD89	KDRI_Jc:Jcr4S05237.10 KDRI_Jc:Jcr4S03982.30
Q6ZDJ7	KDRI_Jc:Jcr4S04988.40
Q6ZDQ1	KDRI_Jc:Jcr4S04076.40
Q6ZDY8	KDRI_Jc:Jcr4S09082.10
Q6ZEZ2	KDRI_Jc:Jcr4S00376.60
Q6ZFT5	KDRI_Jc:Jcr4S04076.30
Q6ZG77	KDRI_Jc:Jcr4S02937.30
Q6ZG91	KDRI_Jc:Jcr4S00219.80
Q6ZGS9	KDRI_Jc:Jcr4S07215.10
Q6ZGW6	KDRI_Jc:Jcr4S11223.10
Q6ZHA3	KDRI_Jc:Jcr4S01778.50
Q6ZHB2	KDRI_Jc:Jcr4S01459.30 KDRI_Jc:Jcr4S16178.10
Q6ZHS4	KDRI_Jc:Jcr4S02331.30
Q6ZHU3	KDRI_Jc:Jcr4S00352.140
Q6ZHZ1	KDRI_Jc:Jcr4S01533.40
Q6ZI55	KDRI_Jc:Jcr4S19720.20
Q6ZIA3	KDRI_Jc:Jcr4S00090.110
Q6ZIK0	KDRI_Jc:Jcr4S05353.20
Q6ZIX2	KDRI_Jc:Jcr4S10126.30
Q6ZJ97	KDRI_Jc:Jcr4S01297.30
Q6ZJK7	KDRI_Jc:Jcr4S01140.20
Q6ZJU3	KDRI_Jc:Jcr4S05450.40 KDRI_Jc:Jcr4S00723.40
Q6ZK11	KDRI_Jc:Jcr4S00045.50
Q6ZKC0	KDRI_Jc:Jcr4S00266.50
Q6ZKV8	KDRI_Jc:Jcr4S01570.20
Q6ZL61	KDRI_Jc:Jcr4S00074.70
Q6ZL94	KDRI_Jc:Jcr4S00125.80
Q6ZLD3	KDRI_Jc:Jcr4S02860.20
Q6ZLJ9	KDRI_Jc:Jcr4S02582.50
Q75GB1	KDRI_Jc:Jcr4S00458.90
Q75H77	KDRI_Jc:Jcr4S00298.70
Q75HP7	KDRI_Jc:Jcr4S00121.60
Q75HQ7	KDRI_Jc:Jcr4S00314.30 KDRI_Jc:Jcr4S02803.20
Q75HZ9	KDRI_Jc:Jcr4S09474.10
Q75II5	KDRI_Jc:Jcr4S00448.10
Q75KD7	KDRI_Jc:Jcr4S16160.20
Q75KT7	KDRI_Jc:Jcr4S12073.10
Q75L84	KDRI_Jc:Jcr4S00599.130
Q75LL5	KDRI_Jc:Jcr4S16113.20
Q75LR2	KDRI_Jc:Jcr4S03107.10
Q75M18	KDRI_Jc:Jcr4S02976.30
Q75V57	KDRI_Jc:Jcr4S00298.70
Q75W16	KDRI_Jc:Jcr4S03107.10
Q764B9	KDRI_Jc:Jcr4S00216.100
Q7EYE4	KDRI_Jc:Jcr4S20593.10
Q7EYM8	KDRI_Jc:Jcr4S00587.50
Q7EZZ0	KDRI_Jc:Jcr4S01746.40
Q7F0B2	KDRI_Jc:Jcr4S14146.50
Q7F190	KDRI_Jc:Jcr4S00059.70
Q7F8K7	KDRI_Jc:Jcr4S00120.50
Q7FAE1	KDRI_Jc:Jcr4S07963.10 KDRI_Jc:Jcr4S09454.10
Q7FAH2	KDRI_Jc:Jcr4S00205.140
Q7G065	KDRI_Jc:Jcr4S00784.110 KDRI_Jc:Jcr4S01279.50
Q7G2F7	KDRI_Jc:Jcr4S01195.80
Q7G2H3	KDRI_Jc:Jcr4S00298.40
Q7G4P2	KDRI_Jc:Jcr4S00843.50
Q7G602	KDRI_Jc:Jcr4S03835.20
Q7G6M2	KDRI_Jc:Jcr4S09508.10 KDRI_Jc:Jcr4S00920.60 KDRI_Jc:Jcr4S05807.10
Q7G7J6	KDRI_Jc:Jcr4S04680.20 KDRI_Jc:Jcr4S02992.40
Q7X634	KDRI_Jc:Jcr4S00154.20
Q7X7H9	KDRI_Jc:Jcr4U31110.20
Q7X7N2	KDRI_Jc:Jcr4S00057.50
Q7X7X0	KDRI_Jc:Jcr4S02862.30
Q7X8A1	KDRI_Jc:Jcr4S02490.40
Q7X8V3	KDRI_Jc:Jcr4S00314.30 KDRI_Jc:Jcr4S02803.20
Q7XAP2	KDRI_Jc:Jcr4S00670.30
Q7XBY6	KDRI_Jc:Jcr4S05248.20
Q7XCK3	KDRI_Jc:Jcr4S00257.20 KDRI_Jc:Jcr4S04096.30
Q7XEH2	KDRI_Jc:Jcr4S01573.50
Q7XGU4	KDRI_Jc:Jcr4S04733.10
Q7XH05	KDRI_Jc:Jcr4S00486.10 KDRI_Jc:Jcr4S05113.30
Q7XHL3	KDRI_Jc:Jcr4S00209.110
Q7XHZ2	KDRI_Jc:Jcr4S02212.70
Q7XI35	KDRI_Jc:Jcr4S14146.50
Q7XI92	KDRI_Jc:Jcr4S05298.20
Q7XI96	KDRI_Jc:Jcr4S01477.90
Q7XKQ8	KDRI_Jc:Jcr4S00593.140
Q7XM21	KDRI_Jc:Jcr4S18551.20
Q7XNX6	KDRI_Jc:Jcr4S03359.20
Q7XPR5	KDRI_Jc:Jcr4S08433.30
Q7XPW5	KDRI_Jc:Jcr4S00075.70
Q7XQ85	KDRI_Jc:Jcr4S00401.80 KDRI_Jc:Jcr4S00535.100
Q7XR02	KDRI_Jc:Jcr4S11972.40 KDRI_Jc:Jcr4S00750.30
Q7XR60	KDRI_Jc:Jcr4S01714.20
Q7XR61	KDRI_Jc:Jcr4S01714.20
Q7XRT0	KDRI_Jc:Jcr4S01914.30
Q7XTE8	KDRI_Jc:Jcr4S00266.50
Q7XTK3	KDRI_Jc:Jcr4S00099.20
Q7XTX7	KDRI_Jc:Jcr4S02590.50 KDRI_Jc:Jcr4U31388.10
Q7XU28	KDRI_Jc:Jcr4S15232.20
Q7XU29	KDRI_Jc:Jcr4S01272.40
Q7XUK6	KDRI_Jc:Jcr4S00402.40
Q7XUS2	KDRI_Jc:Jcr4S00216.100
Q7XVK0	KDRI_Jc:Jcr4S01462.20 KDRI_Jc:Jcr4S24679.20
Q7XVM2	KDRI_Jc:Jcr4S04485.30
Q7XX31	KDRI_Jc:Jcr4S00228.80
Q7XX32	KDRI_Jc:Jcr4S00228.80
Q7XXL2	KDRI_Jc:Jcr4S00132.80
Q7Y0C8	KDRI_Jc:Jcr4S05038.20
Q7Y152	KDRI_Jc:Jcr4S00851.70
Q7Y1H9	KDRI_Jc:Jcr4S00074.70
Q7Y1I6	KDRI_Jc:Jcr4S00074.70
Q7Y1I9	KDRI_Jc:Jcr4S00074.70
Q7Y1J1	KDRI_Jc:Jcr4S00074.70
Q84LK3	KDRI_Jc:Jcr4S11660.10
Q84M43	KDRI_Jc:Jcr4S00882.60
Q84ME6	KDRI_Jc:Jcr4S00832.20
Q84MN8	KDRI_Jc:Jcr4S07790.20 KDRI_Jc:Jcr4S00724.10
Q84R94	KDRI_Jc:Jcr4S01186.90
Q84RX6	KDRI_Jc:Jcr4S10152.10
Q84YK8	KDRI_Jc:Jcr4S01832.40 KDRI_Jc:Jcr4S01832.30 KDRI_Jc:Jcr4S06599.10
Q84ZN6	KDRI_Jc:Jcr4S00882.60
Q84ZY2	KDRI_Jc:Jcr4S00057.90
Q851L5	KDRI_Jc:Jcr4S03552.30
Q851L6	KDRI_Jc:Jcr4S03552.30
Q851Z6	KDRI_Jc:Jcr4S00543.40
Q852C2	KDRI_Jc:Jcr4S14146.50
Q852M1	KDRI_Jc:Jcr4S00486.10 KDRI_Jc:Jcr4S05113.30
Q852M2	KDRI_Jc:Jcr4S00486.10 KDRI_Jc:Jcr4S05113.30
Q8GRU7	KDRI_Jc:Jcr4S01355.40
Q8GT01	KDRI_Jc:Jcr4S00947.110
Q8GTK1	KDRI_Jc:Jcr4S05152.20 KDRI_Jc:Jcr4S02194.20
Q8GVJ4	KDRI_Jc:Jcr4S11223.10
Q8GVZ0	KDRI_Jc:Jcr4S00591.60
Q8GZY1	KDRI_Jc:Jcr4S05588.40
Q8H016	KDRI_Jc:Jcr4S06869.20
Q8H038	KDRI_Jc:Jcr4S00209.70
Q8H048	KDRI_Jc:Jcr4S00184.120
Q8H051	KDRI_Jc:Jcr4S00523.60
Q8H075	KDRI_Jc:Jcr4S05283.40
Q8H093	KDRI_Jc:Jcr4S00184.120
Q8H0B2	KDRI_Jc:Jcr4S04441.10
Q8H273	KDRI_Jc:Jcr4S27135.10 KDRI_Jc:Jcr4S02872.20 KDRI_Jc:Jcr4S02476.20
Q8H2J9	KDRI_Jc:Jcr4S01200.10
Q8H395	KDRI_Jc:Jcr4S01186.90
Q8H3A4	KDRI_Jc:Jcr4S01752.60
Q8H3C8	KDRI_Jc:Jcr4S03868.20
Q8H3C9	KDRI_Jc:Jcr4S03552.30
Q8H3L0	KDRI_Jc:Jcr4S00742.20
Q8H3Q7	KDRI_Jc:Jcr4S01995.30
Q8H530	KDRI_Jc:Jcr4S00584.60
Q8H7T7	KDRI_Jc:Jcr4S08433.30
Q8H825	KDRI_Jc:Jcr4S01363.10
Q8H8U0	KDRI_Jc:Jcr4S04797.40
Q8H930	KDRI_Jc:Jcr4S04441.10
Q8LGW5	KDRI_Jc:Jcr4S00866.60
Q8LHD1	KDRI_Jc:Jcr4S06364.20
Q8LI89	KDRI_Jc:Jcr4S00151.60
Q8LJJ2	KDRI_Jc:Jcr4S00005.300 KDRI_Jc:Jcr4S00306.20
Q8LM92	KDRI_Jc:Jcr4S03835.20
Q8LMW8	KDRI_Jc:Jcr4S06888.20 KDRI_Jc:Jcr4S05610.10 KDRI_Jc:Jcr4S02005.10 KDRI_Jc:Jcr4S07007.10 KDRI_Jc:Jcr4S15148.10 KDRI_Jc:Jcr4S09090.10 KDRI_Jc:Jcr4S10843.10 KDRI_Jc:Jcr4S17638.10
Q8LNU2	KDRI_Jc:Jcr4S04380.50
Q8LQ34	KDRI_Jc:Jcr4S00416.80
Q8LR75	KDRI_Jc:Jcr4S19239.10
Q8RU95	KDRI_Jc:Jcr4S01497.10
Q8RV34	KDRI_Jc:Jcr4S02905.20
Q8RYY6	KDRI_Jc:Jcr4S00121.60
Q8S2G0	KDRI_Jc:Jcr4S05483.10
Q8S5M6	KDRI_Jc:Jcr4S00027.190
Q8S5T1	KDRI_Jc:Jcr4S02009.80
Q8S601	KDRI_Jc:Jcr4S12284.10
Q8S919	KDRI_Jc:Jcr4S01510.80
Q8S983	KDRI_Jc:Jcr4S00712.20
Q8S985	KDRI_Jc:Jcr4S06379.40
Q8S9S4	KDRI_Jc:Jcr4S08055.20
Q8VWH2	KDRI_Jc:Jcr4S07821.20
Q8W0E4	KDRI_Jc:Jcr4S00352.140
Q8W250	KDRI_Jc:Jcr4S00089.150
Q8W3J0	KDRI_Jc:Jcr4S04488.30
Q8W3L9	KDRI_Jc:Jcr4S02323.10
Q8W3M0	KDRI_Jc:Jcr4S02323.10
Q93VC3	KDRI_Jc:Jcr4S22003.20 KDRI_Jc:Jcr4S20032.20
Q93VD5	KDRI_Jc:Jcr4S16834.10
Q93WI9	KDRI_Jc:Jcr4S07821.20
Q93X08	KDRI_Jc:Jcr4S00684.10
Q93XI4	KDRI_Jc:Jcr4S04635.70
Q93Y73	KDRI_Jc:Jcr4S03391.70 KDRI_Jc:Jcr4S03782.20
Q94E75	KDRI_Jc:Jcr4S01773.10
Q94EE9	KDRI_Jc:Jcr4S09508.10 KDRI_Jc:Jcr4S00920.60 KDRI_Jc:Jcr4S05807.10
Q94HG3	KDRI_Jc:Jcr4S04346.10
Q94J90	KDRI_Jc:Jcr4S01647.20
Q94JA2	KDRI_Jc:Jcr4S03295.10
Q94JJ0	KDRI_Jc:Jcr4S01786.40
Q94LU9	KDRI_Jc:Jcr4S00097.80
Q94LV4	KDRI_Jc:Jcr4S08433.30
Q9ASD3	KDRI_Jc:Jcr4S02115.30
Q9ASP4	KDRI_Jc:Jcr4S00014.100
Q9AUQ4	KDRI_Jc:Jcr4S00445.90
Q9AUV6	KDRI_Jc:Jcr4S00282.100
Q9AV71	KDRI_Jc:Jcr4S03944.10
Q9AWL7	KDRI_Jc:Jcr4S00109.60
Q9AWZ8	KDRI_Jc:Jcr4S10314.20
Q9FTR6	KDRI_Jc:Jcr4S14388.10
Q9FTZ2	KDRI_Jc:Jcr4U31134.10 KDRI_Jc:Jcr4S14333.10
Q9FU67	KDRI_Jc:Jcr4S01841.20 KDRI_Jc:Jcr4S01841.30 KDRI_Jc:Jcr4S00494.60
Q9FU68	KDRI_Jc:Jcr4S01841.20 KDRI_Jc:Jcr4S01841.30 KDRI_Jc:Jcr4S00494.60
Q9FU69	KDRI_Jc:Jcr4S01841.20 KDRI_Jc:Jcr4S01841.30 KDRI_Jc:Jcr4S00494.60
Q9FWC1	KDRI_Jc:Jcr4S00151.20
Q9FWK4	KDRI_Jc:Jcr4S01443.10
Q9FWQ2	KDRI_Jc:Jcr4S00903.40 KDRI_Jc:Jcr4S00004.440
Q9FXQ3	KDRI_Jc:Jcr4S21938.30
Q9LD61	KDRI_Jc:Jcr4S02326.60
Q9LDB7	KDRI_Jc:Jcr4S01533.80
Q9LHZ0	KDRI_Jc:Jcr4S19790.20
Q9LHZ7	KDRI_Jc:Jcr4S14239.20
Q9LIZ8	KDRI_Jc:Jcr4S00027.190
Q9LWJ2	KDRI_Jc:Jcr4S00275.110
Q9S7D3	KDRI_Jc:Jcr4S11801.30
Q9SDG5	KDRI_Jc:Jcr4S10276.10
Q9SMB1	KDRI_Jc:Jcr4S02827.30
Q9SNK3	KDRI_Jc:Jcr4S16560.30 KDRI_Jc:Jcr4S00240.100
Q9SNN0	KDRI_Jc:Jcr4S01514.10
Q9XEA6	KDRI_Jc:Jcr4S01509.80 KDRI_Jc:Jcr4S00033.90
Q9XEA8	KDRI_Jc:Jcr4S01509.80 KDRI_Jc:Jcr4S00033.90
Q9XFE5	KDRI_Jc:Jcr4S20593.10
Q9XHL5	KDRI_Jc:Jcr4S06919.10 KDRI_Jc:Jcr4S00002.40
Q9XJ03	KDRI_Jc:Jcr4S21292.10 KDRI_Jc:Jcr4S06174.30 KDRI_Jc:Jcr4S01269.50 KDRI_Jc:Jcr4S08475.10 KDRI_Jc:Jcr4S04380.60
Q9XJ29	KDRI_Jc:Jcr4S03885.40
Q9XJ60	KDRI_Jc:Jcr4S00184.180 KDRI_Jc:Jcr4S00170.70
Q9ZTP5	KDRI_Jc:Jcr4S00218.40
UPI00000AA151	KDRI_Jc:Jcr4S01533.80
