Gene stable ID	Oryza nivara gene stable ID	%id. target Oryza nivara gene identical to query gene	%id. query gene identical to target Oryza nivara gene
Os02g0754500	ONIVA02G35060	98.8581	98.8581
Os02g0754700	ONIVA02G35070	100	100
Os02g0754800	ONIVA02G35080	98.1366	71.1712
Os02g0754900	ONIVA02G35090	100	74.2765
Os02g0755000	ONIVA02G35100	99.697	99.697
Os02g0755200	ONIVA02G35120	99.6466	99.6466
Os02g0755400	ONIVA02G35130	99.4318	56.6343
Os02g0755500	ONIVA02G35140	99.3827	99.3827
Os02g0755600	ONIVA02G35150	100	93.3457
Os02g0755900	ONIVA02G35170	98.4344	92.4632
Os02g0756100	ONIVA02G35180	100	100
Os02g0756600	ONIVA02G35190	95.5272	49.3399
Os02g0756800	ONIVA02G35200	99.6951	99.6951
Os02g0757100	ONIVA02G35220	100	100
Os02g0757400	ONIVA04G04850	37.8698	25.7028
Os02g0757700	ONIVA02G35720	100	100
Os02g0757900	ONIVA02G35730	100	95.1542
Os02g0758000	ONIVA02G35740	100	100
Os02g0758100	ONIVA02G35760	100	84.1962
Os02g0758200	ONIVA02G35770	98.9247	99.4595
Os02g0758800	ONIVA02G35780	99.187	99.187
Os02g0759000	ONIVA02G35790	99.3421	45.2096
Os02g0759500	ONIVA02G35810	98.5586	90.7131
Os02g0759700	ONIVA02G35820	99.0581	85.6174
Os02g0759800	ONIVA02G35830	100	100
Os02g0760000	ONIVA02G35850	48.5232	70.5521
Os02g0760200	ONIVA02G35860	87.9473	78.0936
Os02g0760300	ONIVA02G35870	100	100
Os02g0760400	ONIVA02G35880	99.308	99.308
Os02g0760500	ONIVA02G35890	100	100
Os02g0760600	ONIVA02G35900	100	100
Os02g0761000	ONIVA02G35910	100	99.5633
Os02g0761100	ONIVA02G35930	99.7519	96.4029
Os02g0761200	ONIVA02G35940	99.568	99.568
Os02g0761300	ONIVA02G35950	99.5349	99.0741
Os02g0761400	ONIVA02G35960	100	11.41
Os02g0761500	ONIVA02G35970	100	98.0645
Os02g0761600	ONIVA02G35980	99.697	99.697
Os02g0761700	ONIVA02G35990	100	90.6863
Os02g0761900	ONIVA02G36000	99.4048	55.6667
Os02g0762200	ONIVA02G36020	97.5309	59.8485
Os02g0762300	ONIVA02G36030	97.5207	77.1242
Os02g0762400	ONIVA02G36040	99.6183	99.6183
Os02g0762800	ONIVA02G36050	95.9184	81.8103
Os02g0763000	ONIVA02G36070	100	100
Os02g0764400	ONIVA02G33400	99.8233	98.7762
Os02g0764500	ONIVA02G33410	99.6169	91.5493
Os02g0764700	ONIVA02G33420	99.1736	99.1736
Os02g0765400	ONIVA02G33430	97.032	99.2991
Os02g0765600	ONIVA02G33440	61.7512	98.5294
Os02g0765800	ONIVA02G33450	100	100
Os02g0765900	ONIVA02G33460	80.5755	36.4228
Os02g0766600	ONIVA02G33480	100	100
Os02g0766700	ONIVA02G33490	100	96.2264
Os02g0766900	ONIVA02G33520	52.9274	55.5283
Os02g0767000	ONIVA02G33530	99.8028	86.0544
Os02g0767100	ONIVA02G33540	99.3814	60.0998
Os02g0767200	ONIVA02G33550	98.9627	99.375
Os02g0767300	ONIVA02G33560	100	100
Os02g0767400	ONIVA02G33570	98.5635	99.1111
Os02g0767500	ONIVA02G33580	100	100
Os02g0767600	ONIVA02G33590	58.8415	91.0377
Os02g0767700	ONIVA02G33600	92.2118	51.2998
Os02g0767900	ONIVA02G33620	97.1429	70.4663
Os02g0768000	ONIVA02G33630	99.7531	99.7531
Os02g0768200	ONIVA02G33640	98.6239	98.6239
Os02g0768300	ONIVA02G33650	99.7396	99.7396
Os02g0768600	ONIVA02G33670	89.1156	91.6084
Os02g0768700	ONIVA02G33680	98.6395	100
Os02g0768750	ONIVA02G33690	79.5594	43.7416
Os02g0769100	ONIVA01G15620	99.2188	100
Os02g0769200	ONIVA01G15630	87.0079	50.8046
Os02g0769700	ONIVA01G15650	93.1818	58.5714
Os02g0769800	ONIVA01G15560	29.8246	49.2754
Os02g0769900	ONIVA01G15580	99.6205	99.6205
Os02g0770000	ONIVA01G15590	100	100
Os02g0770100	ONIVA01G15600	87.6838	98.1481
Os02g0770300	ONIVA02G38520	10.9589	4.32432
Os02g0770500	ONIVA02G36110	95.9938	58.6629
Os02g0770700	ONIVA02G36120	28.5185	34.2222
Os02g0770800	ONIVA02G36130	99.4376	98.9922
Os02g0771100	ONIVA02G36140	100	100
Os02g0771200	ONIVA02G36150	98.4177	98.1073
Os02g0771400	ONIVA02G36160	100	100
Os02g0771600	ONIVA02G36190	99.6885	98.1595
Os02g0771700	ONIVA02G36200	100	100
Os02g0771800	ONIVA02G36210	98.1159	95.218
Os02g0772000	ONIVA02G36230	95.0867	59.9271
Os02g0772150	ONIVA02G36240	52.2222	78.9916
Os02g0772200	ONIVA02G36250	98.7342	98.7342
Os02g0772300	ONIVA02G36260	88.6719	80.7829
Os02g0772500	ONIVA02G36270	98.5395	99.566
Os02g0773200	ONIVA02G36320	99.3939	99.3939
Os02g0773300	ONIVA02G36330	97.1429	87.7934
Os02g0773400	ONIVA02G36340	99.6114	96.8514
Os02g0773500	ONIVA02G36350	98.9848	98.9848
Os02g0773600	ONIVA02G36360	72.9167	85.0202
Os02g0773732	ONIVA02G36370	99.4286	99.4286
Os02g0773800	ONIVA02G36380	92.3077	60.6061
Os02g0774100	ONIVA02G36390	91.8129	83.9572
Os02g0774200	ONIVA02G36400	92.0792	92.0792
Os02g0774300	ONIVA02G36410	99.8527	99.8527
Os02g0774500	ONIVA02G36420	84.965	85.8657
Os02g0774800	ONIVA07G22530	12.9268	12.212
Os02g0774800	ONIVA07G22600	22.6829	18.9796
Os02g0775100	ONIVA02G36460	100	49.635
Os02g0775200	ONIVA02G36470	100	97.3046
Os02g0775300	ONIVA02G36480	100	100
Os02g0775400	ONIVA02G36490	88.8483	48.4064
Os02g0775600	ONIVA02G36500	98.9247	99.2806
Os02g0775900	ONIVA02G36520	98.6301	98.6301
Os02g0776400	ONIVA02G36550	94.0741	82.7362
Os02g0776600	ONIVA02G36560	99.0099	99.0099
Os02g0776700	ONIVA02G36570	99.1948	93.617
Os02g0776800	ONIVA02G36580	99.5427	99.2401
Os02g0776900	ONIVA02G36590	79.0932	99.6825
Os02g0777100	ONIVA02G36600	96.7548	87.027
Os02g0777400	ONIVA02G36620	99.3289	44.3556
Os02g0777700	ONIVA02G36650	89.1632	44.9205
Os02g0777800	ONIVA02G36660	97.2222	38.8027
Os02g0778200	ONIVA02G36680	97.448	99.9031
Os02g0778300	ONIVA02G36690	99.1573	99.1573
Os02g0778400	ONIVA02G36700	86.4486	94.8718
Os02g0778500	ONIVA02G36720	96.2529	99.7573
Os02g0778600	ONIVA02G36730	99.8004	99.8004
Os02g0778700	ONIVA02G36740	100	100
Os02g0778801	ONIVA02G36750	67.4242	42.9952
Os02g0779200	ONIVA02G36770	97.1867	98.1912
Os02g0779300	ONIVA02G36780	100	100
Os02g0779400	ONIVA02G36790	63.1068	97.0149
Os02g0779900	ONIVA02G36800	93.1884	89.6792
Os02g0780200	ONIVA02G36830	96.7089	98.8357
Os02g0780500	ONIVA02G36840	85.5567	93.224
Os02g0780550	ONIVA02G36850	93.8144	88.1783
Os02g0780600	ONIVA02G36860	97.0501	92.6761
Os02g0780700	ONIVA02G36870	99.3912	99.6947
Os02g0780800	ONIVA02G36880	77.6398	38.8802
Os02g0781000	ONIVA02G36890	97.5439	51.0092
Os02g0781300	ONIVA02G36910	99.0521	99.5238
Os02g0781400	ONIVA02G36920	99.6078	99.6078
Os02g0781600	ONIVA02G36930	98.9919	97.1316
Os02g0781700	ONIVA02G36940	84.6154	95.6522
Os02g0781800	ONIVA02G36950	96.0784	47.4806
Os02g0781900	ONIVA02G36960	68	81.3397
Os02g0782100	ONIVA02G36970	89.0255	99.6071
Os02g0782200	ONIVA02G37030	98.8746	63.3368
Os02g0782500	ONIVA02G37040	99.4186	99.4186
Os02g0782600	ONIVA02G37050	99.7297	46.8274
Os02g0782700	ONIVA02G37060	99.726	99.726
Os02g0782800	ONIVA02G37070	99.7917	34.6349
Os02g0782900	ONIVA02G37080	89.3939	75.1592
Os02g0783000	ONIVA02G37090	71.4286	99.0453
Os02g0783100	ONIVA02G37110	98.5567	83.2753
Os02g0783625	ONIVA01G18810	98.5158	42.9264
Os02g0783700	ONIVA01G18810	98.3806	19.6443
Os02g0784400	ONIVA02G37210	99.3884	73.6961
Os02g0784900	ONIVA02G37250	100	100
Os02g0786000	ONIVA02G37280	99.6438	99.6438
Os02g0786200	ONIVA02G37290	99.7449	72.0737
Os02g0786400	ONIVA02G37300	52.7523	40.636
Os02g0786500	ONIVA02G37310	100	47.7778
Os02g0786900	ONIVA02G37340	99.4975	99.4975
Os02g0787000	ONIVA02G37350	75.8427	75.8427
Os02g0787100	ONIVA02G37360	94.8164	100
Os02g0787200	ONIVA02G37370	97.9275	98.9529
Os02g0787300	ONIVA02G37380	99.729	99.729
Os02g0787600	ONIVA02G37400	99.5951	99.7972
Os02g0787800	ONIVA02G37410	94.0574	99.7826
Os02g0788300	ONIVA02G37430	92.5424	97.153
Os02g0788400	ONIVA02G37440	100	100
Os02g0788500	ONIVA02G37450	95.8333	99.5671
Os02g0788600	ONIVA02G37460	90.175	74.9441
Os02g0788800	ONIVA02G37470	88.8545	54.9808
Os02g0789100	ONIVA02G37480	100	100
Os02g0789400	ONIVA02G37500	70.8108	64.2157
Os02g0789600	ONIVA02G37510	99.8379	99.8379
Os02g0789700	ONIVA02G33350	95.814	39.9225
Os02g0789700	ONIVA02G37520	58.3721	56.1521
Os02g0790500	ONIVA02G37560	98.622	59.1499
Os02g0790600	ONIVA02G37570	99.2991	99.2991
Os02g0791200	ONIVA02G37590	99.8117	99.8117
Os02g0791300	ONIVA02G37600	84.2365	88.1443
Os02g0791400	ONIVA02G37610	91.8605	87.7778
Os02g0791500	ONIVA02G37630	100	100
Os02g0791700	ONIVA02G37640	95.4142	89.4591
Os02g0791800	ONIVA02G37650	100	100
Os02g0792000	ONIVA02G37660	85.8586	36.7965
Os02g0792500	ONIVA01G32670	72.846	100
Os02g0792600	ONIVA02G37670	98.3333	70.2381
Os02g0792800	ONIVA02G37680	100	100
Os02g0792900	ONIVA02G37690	99.7585	91.7778
Os02g0793000	ONIVA02G37700	99.6032	99.6032
Os02g0793100	ONIVA02G37710	99.6534	99.6534
Os02g0793300	ONIVA02G37720	89.0464	99.5677
Os02g0793500	ONIVA02G37730	99.1614	99.1614
Os02g0793700	ONIVA02G37740	100	100
Os02g0793800	ONIVA02G37750	90	53.3742
Os02g0793900	ONIVA02G37760	100	100
Os02g0794000	ONIVA02G37770	99.0385	99.2293
Os02g0794300	ONIVA02G37780	100	11.6874
Os02g0794400	ONIVA02G37790	99.5536	69.6875
Os02g0794500	ONIVA02G37800	99.5772	99.7881
Os02g0794700	ONIVA02G37810	100	52.8428
Os02g0794900	ONIVA02G37820	33.9376	98.7342
Os02g0794900	ONIVA02G37840	27.4112	98.1818
Os02g0795000	ONIVA02G37850	94.2616	96.8777
Os02g0795200	ONIVA02G37860	97.7011	97.9827
Os02g0795300	ONIVA02G37870	99.729	28.3513
Os02g0795800	ONIVA09G10010	43.5714	22.5092
Os02g0795900	ONIVA02G37890	99.2322	98.4762
Os02g0796300	ONIVA02G37930	98.983	99.6587
Os02g0796400	ONIVA02G37940	99.4197	99.4197
Os02g0796500	ONIVA02G37950	95.9302	98.8024
Os02g0796600	ONIVA02G37960	99.6212	87.3754
Os02g0796700	ONIVA02G37970	97.9839	32.6613
Os02g0797100	ONIVA02G37990	100	100
Os02g0797300	ONIVA02G38010	96.4932	92.8183
Os02g0797400	ONIVA02G38020	95.7476	100
Os02g0797500	ONIVA02G38030	99.7817	99.7817
Os02g0797600	ONIVA02G38040	99.5413	99.5413
Os02g0797700	ONIVA02G38050	99.8496	99.8496
Os02g0798000	ONIVA02G38060	34.7826	38.0952
Os02g0798100	ONIVA02G38070	95.8904	90.7127
Os02g0798400	ONIVA02G38090	97.6744	97.6744
Os02g0798400	ONIVA02G38100	65.1163	96.5517
Os02g0798501	ONIVA02G38090	97.6744	97.6744
Os02g0798501	ONIVA02G38100	65.1163	96.5517
Os02g0798600	ONIVA02G38110	99.75	76.7308
Os02g0798700	ONIVA02G38120	91.568	95.8204
Os02g0799000	ONIVA02G38130	99.435	99.435
Os02g0799100	ONIVA02G38140	96.7936	99.3827
Os02g0799300	ONIVA02G38160	99.8168	99.8168
Os02g0799600	ONIVA02G38170	100	100
Os02g0799700	ONIVA02G38180	99.422	99.422
Os02g0800000	ONIVA03G25780	91.4989	90.6874
Os02g0800300	ONIVA02G38210	99.2126	99.2126
Os02g0800300	ONIVA03G25770	99.2126	99.2126
Os02g0800400	ONIVA02G38210	99.2126	99.2126
Os02g0800400	ONIVA03G25770	99.2126	99.2126
Os02g0800500	ONIVA03G25760	43.0556	12.0155
Os02g0800700	ONIVA02G38210	99.2126	99.2126
Os02g0800700	ONIVA03G25770	99.2126	99.2126
Os02g0800900	ONIVA02G38210	99.2126	99.2126
Os02g0800900	ONIVA03G25770	99.2126	99.2126
Os02g0801000	ONIVA02G38210	99.2126	99.2126
Os02g0801000	ONIVA03G25770	99.2126	99.2126
Os02g0801100	ONIVA02G38210	99.2126	99.2126
Os02g0801100	ONIVA03G25770	99.2126	99.2126
Os02g0801300	ONIVA03G25760	43.0556	12.0155
Os02g0801600	ONIVA02G38210	98.4252	98.4252
Os02g0801600	ONIVA03G25770	98.4252	98.4252
Os02g0801900	ONIVA02G38230	95.1613	93.6508
Os02g0802200	ONIVA02G38250	99.6303	99.6303
Os02g0802400	ONIVA02G38270	100	100
Os02g0802500	ONIVA02G38280	99.8688	99.8688
Os02g0802700	ONIVA02G38300	84.4828	67.5197
Os02g0803200	ONIVA02G38320	98.6577	86.4706
Os02g0803250	ONIVA02G38330	85.9155	71.2409
Os02g0803300	ONIVA02G38340	99.8242	99.6491
Os02g0803400	ONIVA02G38350	81.6176	57.2165
Os02g0803600	ONIVA02G38360	99.5575	99.5575
Os02g0803700	ONIVA02G38370	100	100
Os02g0803900	ONIVA02G38380	84.0249	91.4221
Os02g0804100	ONIVA02G38400	100	100
Os02g0804300	ONIVA02G38410	99.322	72.1675
Os02g0804500	ONIVA02G38430	99.5893	99.5893
Os02g0804600	ONIVA02G38440	93.1452	98.7179
Os02g0804800	ONIVA02G38450	60.9756	83.3333
Os02g0804900	ONIVA02G38460	99.8765	99.8765
Os02g0805000	ONIVA02G38480	99.7955	55.5809
Os02g0805100	ONIVA02G38490	98.9011	99.4475
Os02g0805200	ONIVA02G38500	100	100
Os02g0805250	ONIVA02G38510	96.7857	79.0087
Os02g0805400	ONIVA02G38930	86.5169	19.202
Os02g0805500	ONIVA02G38940	88.4696	91.1447
Os02g0805600	ONIVA02G38950	93.9024	100
Os02g0805700	ONIVA02G38960	100	98.6301
Os02g0805800	ONIVA02G38970	98.8554	73.8725
Os02g0806000	ONIVA02G38980	97.417	85.1613
Os02g0806400	ONIVA02G38990	100	69.1388
Os02g0806500	ONIVA02G39000	96.5517	99.4451
Os02g0806600	ONIVA02G39010	100	100
Os02g0806700	ONIVA02G39030	99.5851	99.5851
Os02g0806900	ONIVA02G39050	99.1684	99.1684
Os02g0807000	ONIVA02G39060	99.308	99.308
Os02g0807100	ONIVA02G39070	95.4839	41.2256
Os02g0807200	ONIVA02G39080	76.8235	74.0363
Os02g0807700	ONIVA07G11960	23.5294	5.26316
Os02g0807900	ONIVA02G39440	48.6154	29.8677
Os02g0808300	ONIVA02G39440	51.1628	33.2703
Os02g0808800	ONIVA02G39490	97.6331	97.6331
Os02g0809300	ONIVA02G39520	89.4231	84.5455
Os02g0809500	ONIVA02G39540	79.6233	97.8947
Os02g0809800	ONIVA02G39570	93.6196	98.3247
Os02g0809900	ONIVA02G39580	99.3443	29.4175
Os02g0810100	ONIVA02G39590	100	99.8423
Os02g0810200	ONIVA02G39600	95.6311	21.3434
Os02g0810300	ONIVA02G39610	98.9726	98.9726
Os02g0810400	ONIVA02G39620	99.7835	39.4017
Os02g0810500	ONIVA02G39630	99.5316	70.0165
Os02g0810900	ONIVA02G39640	99.6979	98.8024
Os02g0811000	ONIVA02G39650	100	100
Os02g0811101	ONIVA02G39660	49.2188	23.7736
Os02g0811200	ONIVA02G39480	46.9895	93.7337
Os02g0811902	ONIVA11G04220	30.1775	60
Os02g0812000	ONIVA02G39690	93.4132	22.9919
Os02g0812400	ONIVA02G39700	98.224	89.875
Os02g0813000	ONIVA02G39710	85.6522	11.6914
Os02g0813500	ONIVA02G39720	99.7984	99.7984
Os02g0813600	ONIVA02G39740	99.568	99.568
Os02g0813800	ONIVA02G39760	99.0025	99.0025
Os02g0814000	ONIVA02G39770	98.4127	98.0237
Os02g0814100	ONIVA02G39780	68.5393	20.8547
Os02g0814200	ONIVA02G39800	94.6457	99.8339
Os02g0814300	ONIVA02G39810	96.4029	85.3503
Os02g0814600	ONIVA02G39820	69.0949	47.4242
Os02g0814800	ONIVA02G39830	99.505	99.505
Os02g0814900	ONIVA02G39840	90.678	74.3056
Os02g0815000	ONIVA02G39850	78.0142	81.4815
Os02g0815200	ONIVA02G39860	99.0506	98.4277
Os02g0815300	ONIVA02G39870	85.8696	99.3711
Os02g0815400	ONIVA02G39880	97.3941	98.6799
Os02g0815500	ONIVA02G39890	99.7375	85.5856
Os02g0815600	ONIVA02G39900	99.1561	99.3658
Os02g0815800	ONIVA02G39920	73.0964	94.7368
Os02g0815900	ONIVA02G39930	99.8647	99.7297
Os02g0816000	ONIVA02G39940	99.7998	99.7998
Os02g0816100	ONIVA02G39950	98.4496	98.4496
Os02g0816200	ONIVA02G39970	99.729	99.729
Os02g0816300	ONIVA02G39990	95.7338	91.2195
Os02g0816400	ONIVA02G40000	99.2505	91.33
Os02g0816700	ONIVA02G40040	100	100
Os02g0816800	ONIVA02G40050	99.2647	99.2647
Os02g0816900	ONIVA02G40060	94.7991	74.9533
Os02g0817000	ONIVA02G40070	99.3119	99.3119
Os02g0817200	ONIVA02G40090	100	86.2069
Os02g0817500	ONIVA02G40100	100	100
Os02g0817600	ONIVA02G40110	75.8007	84.5238
Os02g0817700	ONIVA02G40120	90.625	99.7543
Os02g0817800	ONIVA02G40130	99.5261	78.9474
Os02g0817900	ONIVA02G40150	98.9114	82.1705
Os02g0818000	ONIVA02G40140	92.1739	100
Os02g0818700	ONIVA02G40200	72.1519	91.9355
Os02g0818800	ONIVA02G40210	94.974	69.0176
Os02g0818900	ONIVA02G40220	96.5174	88.5845
Os02g0819000	ONIVA02G40230	94.7712	40.8451
Os02g0819100	ONIVA02G40240	87.5	99.5816
Os02g0819300	ONIVA02G40260	98.6413	72.5275
Os02g0819400	ONIVA02G40270	81.1679	95.2055
Os02g0819500	ONIVA02G40280	77.3333	70.303
Os02g0819600	ONIVA02G40290	99.7658	94.6667
Os02g0819700	ONIVA02G40300	98.9362	98.9362
Os02g0819900	ONIVA02G40310	100	99.5305
Os02g0820000	ONIVA02G40320	98.4177	99.361
Os02g0820200	ONIVA02G40330	98.4375	76.6423
Os02g0820300	ONIVA02G40340	98.2287	96.672
Os02g0820400	ONIVA02G40350	86.5342	97.7556
Os02g0820500	ONIVA02G40360	100	100
Os02g0820600	ONIVA02G40370	97.3366	95.4869
Os02g0820700	ONIVA02G40380	95.9016	92.126
Os02g0820800	ONIVA02G40390	100	100
Os02g0821200	ONIVA02G40410	100	62.585
Os02g0821400	ONIVA02G40430	100	100
Os02g0821600	ONIVA02G40440	86.558	83.1703
Os02g0821900	ONIVA02G40450	99.6564	69.5444
Os02g0822000	ONIVA02G40460	93.9252	99.7519
Os02g0822100	ONIVA02G40470	99.2453	99.2453
Os02g0822200	ONIVA02G40480	100	100
Os02g0822300	ONIVA02G40490	71.5909	100
Os02g0822400	ONIVA02G40500	95.4114	99.341
Os02g0822500	ONIVA02G40510	97.8155	98.2927
Os02g0822600	ONIVA02G40530	95.1872	88.5572
Os02g0822800	ONIVA02G40550	99.422	99.422
Os02g0822900	ONIVA02G40560	99.1917	98.0594
Os02g0823000	ONIVA02G40570	98.8991	98.3577
Os02g0823100	ONIVA02G40580	100	100
Os02g0823200	ONIVA02G40590	80.8333	90.2326
Os02g0823300	ONIVA02G40600	99.8674	99.8674
Os02g0823400	ONIVA02G40620	93.9726	97.4432
Os02g0823700	ONIVA02G40630	99.3884	99.3884
Os02g0823800	ONIVA02G40640	98.2669	99.7361
Os02g0823900	ONIVA02G40650	95.0581	99.6951
Os02g0824000	ONIVA02G40670	85.9593	99.2574
Os02g0824100	ONIVA02G40680	99.6234	99.6234
Os02g0824300	ONIVA02G40690	100	100
Os02g0824400	ONIVA02G40700	100	97.5309
Os02g0824500	ONIVA02G40710	97.2067	96.6667
Os02g0824700	ONIVA02G40730	97.6923	74.7059
Os02g0825500	ONIVA02G40750	93.4694	28.202
Os02g0826000	ONIVA02G40780	50.6297	70.6503
Os02g0826100	ONIVA02G40790	100	100
Os02g0826200	ONIVA02G40800	53.6278	70.5394
Os02g0826300	ONIVA02G40810	100	100
Os02g0826500	ONIVA02G40830	98.5549	88
Os02g0826600	ONIVA02G40840	78.4983	32.1903
Os02g0826700	ONIVA02G40840	97.153	19.1043
Os02g0827200	ONIVA02G40890	94.0767	45.3782
Os02g0827300	ONIVA02G40900	87.9725	93.945
Os02g0827400	ONIVA02G40910	98.7261	51.8395
Os02g0827500	ONIVA02G40920	97.4235	74.3243
Os02g0827600	ONIVA02G40930	70.6522	99.4898
Os02g0827900	ONIVA02G40940	98.2759	76.8194
Os02g0828100	ONIVA02G40950	98.0282	79.8165
Os02g0828200	ONIVA02G40960	99.7613	98.1221
Os02g0828300	ONIVA02G32990	48.4076	20.9366
Os02g0828400	ONIVA07G15160	54.9451	37.1747
Os02g0828566	ONIVA02G40990	100	100
Os02g0828600	ONIVA02G40980	93.1818	64.0625
Os02g0828800	ONIVA02G41000	87.9518	100
Os02g0828900	ONIVA02G41010	98.593	99.4929
Os02g0829200	ONIVA02G41020	95.7317	48.8589
Os02g0829400	ONIVA02G41030	99.6347	99.6347
Os02g0829500	ONIVA02G41040	82.8221	79.4118
Os02g0829600	ONIVA02G41050	99.4253	94.1924
Os02g0829800	ONIVA02G41070	99.7636	99.7636
Os02g0830000	ONIVA02G41100	99.8	99.8
Os02g0830100	ONIVA02G41110	99.7403	96.3614
Os02g0830200	ONIVA02G41120	100	100
Os02g0830300	ONIVA02G41130	99.193	90.4908
Os02g0830801	ONIVA02G41190	94.9045	35.7486
Os02g0830900	ONIVA02G41190	99.734	17.9942
Os02g0831100	ONIVA02G41200	94.8586	55.4887
Os02g0831200	ONIVA02G41210	90.3537	99.2933
Os02g0831300	ONIVA02G41220	94.7674	96.8317
Os02g0831400	ONIVA02G41230	99.005	76.5385
Os02g0831500	ONIVA02G41240	95.6265	96.8862
Os02g0831600	ONIVA02G41250	85.361	96.5324
Os02g0831700	ONIVA02G41260	100	89.6104
Os02g0831800	ONIVA02G41270	97.09	92.4433
Os02g0832000	ONIVA02G41280	99.8165	99.8165
Os02g0832100	ONIVA02G41290	99.7748	68.8958
Os02g0832200	ONIVA02G41300	98.3784	38.3966
Os02g0832400	ONIVA02G41310	96.5994	47.3931
Os02g0832500	ONIVA02G41310	100	16.2148
Os02g0832700	ONIVA02G41320	53.2609	41.8803
Os02g0832800	ONIVA02G41330	83.7104	86.6511
Os02g0833050	ONIVA02G41340	94.9106	61.9946
Os02g0833300	ONIVA02G41350	86.0696	70.6122
Os02g0833400	ONIVA02G41360	99.7024	99.7024
Os02g0833500	ONIVA02G41370	98.5542	98.5542
Os02g0833600	ONIVA02G41380	100	100
Os02g0833900	ONIVA02G11160	38.6503	18.9474
Os02g0833900	ONIVA06G19610	41.411	20.5479
Os02g0833900	ONIVA07G25960	32.2086	9.27562
Os02g0834000	ONIVA01G11920	97.9695	100
Os02g0834300	ONIVA01G11940	96.9565	97.3799
Os02g0834700	ONIVA01G11900	99.4429	99.4429
Os03g0100010	ONIVA03G00010	46.6077	32.8482
Os03g0100020	ONIVA03G00020	100	100
Os03g0100030	ONIVA03G00030	98.9474	99.2084
Os03g0100040	ONIVA03G00040	99.7382	98.7047
Os03g0100050	ONIVA03G00050	78.7671	31.5934
Os03g0100100	ONIVA03G00060	100	100
Os03g0100200	ONIVA03G00070	100	89.0351
Os03g0100400	ONIVA03G00080	99.6985	99.6985
Os03g0100800	ONIVA03G00110	99.3814	99.3814
Os03g0100900	ONIVA03G00130	99.5918	99.5918
Os03g0101000	ONIVA03G00140	97.2603	97.2603
Os03g0101000	ONIVA06G27900	54.7945	34.7826
Os03g0101100	ONIVA03G00150	91.3738	95.3333
Os03g0101200	ONIVA03G00160	90.3268	91.1609
Os03g0101300	ONIVA03G00180	100	100
Os03g0101400	ONIVA03G00170	70.9141	65.1399
Os03g0101500	ONIVA03G00190	97.6834	95.4717
Os03g0101600	ONIVA03G00200	100	86.25
Os03g0101800	ONIVA03G00210	98.4436	99.6063
Os03g0102000	ONIVA03G00230	100	91.9355
Os03g0102100	ONIVA03G00220	94.3894	56.5217
Os03g0102400	ONIVA03G00250	93.7759	86.0952
Os03g0102500	ONIVA03G00260	100	100
Os03g0102600	ONIVA03G00270	85.0575	66.6667
Os03g0102600	ONIVA10G04420	79.3103	53.4884
Os03g0102600	ONIVA12G03260	6.89655	8
Os03g0102700	ONIVA03G00280	98.9247	84.6626
Os03g0103000	ONIVA03G00300	99.6604	99.6604
Os03g0103100	ONIVA03G00310	98.5507	62.3853
Os03g0103300	ONIVA03G00320	95.1087	90.2062
Os03g0103400	ONIVA02G19000	20.6751	98
Os03g0103400	ONIVA03G00860	93.4599	88.6
Os03g0103800	ONIVA03G00880	98.916	98.916
Os03g0103900	ONIVA11G12720	9.00901	16.6667
Os03g0103950	ONIVA10G09780	95.2599	30.6444
Os03g0104100	ONIVA03G00900	80.4878	21.3592
Os03g0104400	ONIVA03G00920	97.2569	98.2368
Os03g0104901	ONIVA06G09020	87.1287	31.3167
Os03g0105300	ONIVA03G00930	97.5787	77.5
Os03g0105600	ONIVA03G00940	100	100
Os03g0105700	ONIVA03G00950	87.9195	87.3333
Os03g0105800	ONIVA03G00960	95.6522	86.5672
Os03g0106000	ONIVA03G00980	100	100
Os03g0106200	ONIVA03G01000	99.2036	99.2036
Os03g0106300	ONIVA03G01010	99.5935	99.7963
Os03g0106400	ONIVA03G01020	99.7531	99.7531
Os03g0106500	ONIVA11G20950	98.8764	98.8764
Os03g0106700	ONIVA11G20920	76.3158	75.9825
Os03g0106800	ONIVA11G20940	97.3783	97.3783
Os03g0106900	ONIVA11G20950	98.8764	98.8764
Os03g0107000	ONIVA11G20970	89.5833	52.5672
Os03g0107100	ONIVA11G20980	79.9523	49.6296
Os03g0107300	ONIVA11G20990	100	100
Os03g0107400	ONIVA11G21000	99.4737	69.3324
Os03g0107500	ONIVA11G21010	11.5068	4.41176
Os03g0107900	ONIVA11G21040	99.5316	93.819
Os03g0108000	ONIVA11G21050	97.6923	73.4104
Os03g0108200	ONIVA11G21070	83.6502	33.5366
Os03g0108300	ONIVA11G21080	100	100
Os03g0108400	ONIVA11G21090	97.8355	93.7759
Os03g0108500	ONIVA11G21100	99.6667	99.6667
Os03g0108600	ONIVA11G21110	99.844	82.6873
Os03g0108700	ONIVA11G21120	99.4083	99.4083
Os03g0108800	ONIVA11G21130	50	27.2506
Os03g0109000	ONIVA11G21150	99.6633	99.6633
Os03g0109300	ONIVA11G21170	95.2607	99.0148
Os03g0109400	ONIVA11G21180	99.8808	97.3287
Os03g0109500	ONIVA11G21190	100	100
Os03g0109600	ONIVA11G21200	98.8571	30.192
Os03g0109700	ONIVA11G21210	100	100
Os03g0110300	ONIVA11G21240	100	100
