A2XPN8	Ensembl:OB04G10560
Q6Z9E6	Ensembl:OB08G23720
Q6ZAC1	Ensembl:OB08G24050
Q6ZAH2	Ensembl:OB0088G10030
Q6ZAK7	Ensembl:OB08G22000
Q6ZB59	Ensembl:OB08G20020
Q6ZB94	Ensembl:OB08G25320
Q6ZBH5	Ensembl:OB08G29170
Q6ZC33	Ensembl:OB08G24790
Q6ZC70	Ensembl:OB08G10770
Q6ZCF0	Ensembl:OB08G16040
Q6ZD10	Ensembl:OB08G19920
Q6ZD89	Ensembl:OB08G13680
Q6ZDJ7	Ensembl:OB08G20960
Q6ZDQ1	Ensembl:OB07G14670
Q6ZDY8	Ensembl:OB07G11870
Q6ZEZ2	Ensembl:OB07G13760
Q6ZFT5	Ensembl:OB02G37260
Q6ZG77	Ensembl:OB02G23320
Q6ZG91	Ensembl:OB02G12360
Q6ZGS9	Ensembl:OB02G35780
Q6ZGW6	Ensembl:OB02G37320
Q6ZH92	Ensembl:OB02G11540
Q6ZHA3	Ensembl:OB02G11420
Q6ZHB2	Ensembl:OB02G35570
Q6ZHH4	Ensembl:OB02G40960
Q6ZHH7	Ensembl:OB02G40940
Q6ZHS4	Ensembl:OB02G15990
Q6ZHZ1	Ensembl:OB08G18830
Q6ZI39	Ensembl:OB02G27720
Q6ZI55	Ensembl:OB02G30130
Q6ZIA3	Ensembl:OB08G28210
Q6ZIK0	Ensembl:OB02G36340
Q6ZIX2	Ensembl:OB0053G10020
Q6ZJ97	Ensembl:OB08G16130
Q6ZJK7	Ensembl:OB08G12700
Q6ZJM9	Ensembl:OB08G10470
Q6ZJU3	Ensembl:OB08G22910
Q6ZK11	Ensembl:OB08G26500
Q6ZKC0	Ensembl:OB08G23000
Q6ZKV8	Ensembl:OB08G17220
Q6ZL61	Ensembl:OB07G13980
Q6ZL94	Ensembl:OB07G25610
Q6ZLJ9	Ensembl:OB07G15250
Q75GB1	Ensembl:OB05G17100
Q75HA6	Ensembl:OB03G36230
Q75HP7	Ensembl:OB05G25230
Q75HQ7	Ensembl:OB05G25140
Q75HZ9	Ensembl:OB05G34720
Q75I93	Ensembl:OB03G38150
Q75II5	Ensembl:OB05G30440
Q75KD7	Ensembl:OB03G31710
Q75KT7	Ensembl:OB05G31530
Q75LC7	Ensembl:OB03G47760
Q75LL5	Ensembl:OB03G41330
Q75LR2	Ensembl:OB03G29160
Q75M18	Ensembl:OB05G10410
Q75V57	Ensembl:OB12G24130
Q75W16	Ensembl:OB07G28130
Q764B9	Ensembl:OB03G39080
Q7EYE4	Ensembl:OB08G13960
Q7EYM8	Ensembl:OB08G21180
Q7EYQ2	Ensembl:OB07G11480 Ensembl:OB07G11490
Q7EZD3	Ensembl:OB08G13730
Q7EZZ0	Ensembl:OB07G30560
Q7F0B2	Ensembl:OB07G16170
Q7F0Q2	Ensembl:OB04G29440
Q7F190	Ensembl:OB07G20980
Q7F1X5	Ensembl:OB01G49480
Q7F2P0	Ensembl:OB01G25990
Q7FAH2	Ensembl:OB04G23990
Q7FAS1	Ensembl:OB04G32750
Q7G2F7	Ensembl:OB10G21780
Q7G2H3	Ensembl:OB10G21440
Q7G4P2	Ensembl:OB02G43280
Q7G602	Ensembl:OB0141G10020
Q7G7J6	Ensembl:OB03G38380
Q7X634	Ensembl:OB04G25820
Q7X720	Ensembl:OB04G25930
Q7X742	Ensembl:OB04G33830
Q7X7A1	Ensembl:OB04G33650
Q7X7H9	Ensembl:OB04G33740
Q7X7N2	Ensembl:OB04G10420
Q7X7X0	Ensembl:OB07G27900
Q7X7X4	Ensembl:OB04G12340 Ensembl:OB04G12330
Q7X8A1	Ensembl:OB04G22200
Q7X8V3	Ensembl:OB04G25950
Q7X993	Ensembl:OB07G32440
Q7XAP2	Ensembl:OB06G24760
Q7XBY6	Ensembl:OB10G26470
Q7XC20	Ensembl:OB10G26020
Q7XCK3	Ensembl:OB10G24470
Q7XDE0	Ensembl:OB10G20420
Q7XE48	Ensembl:OB10G18500
Q7XEH2	Ensembl:OB10G18170
Q7XGU4	Ensembl:OB10G11680
Q7XH05	Ensembl:OB10G11370
Q7XHL3	Ensembl:OB07G18640
Q7XHZ2	Ensembl:OB07G19010
Q7XI34	Ensembl:OB07G16240
Q7XI35	Ensembl:OB07G16190
Q7XI67	Ensembl:OB07G32710
Q7XI92	Ensembl:OB07G25740
Q7XI96	Ensembl:OB07G25720
Q7XK23	Ensembl:OB04G23490
Q7XKI0	Ensembl:OB04G15980
Q7XKQ8	Ensembl:OB04G17750
Q7XM21	Ensembl:OB04G35450
Q7XMP7	Ensembl:OB04G34610
Q7XNX6	Ensembl:OB04G13990
Q7XPB5	Ensembl:OB04G29420
Q7XPR5	Ensembl:OB04G28480
Q7XPW5	Ensembl:OB04G36950
Q7XQ85	Ensembl:OB04G29530
Q7XR60	Ensembl:OB04G35980
Q7XR61	Ensembl:OB04G35980
Q7XRA1	Ensembl:OB0066G10060
Q7XRT0	Ensembl:OB0038G10040
Q7XSS9	Ensembl:OB04G37650
Q7XTB2	Ensembl:OB04G10200
Q7XTE8	Ensembl:OB04G22420
Q7XTK3	Ensembl:OB04G10750 Ensembl:OB04G10740
Q7XTU2	Ensembl:OB04G32470
Q7XTX7	Ensembl:OB04G29410
Q7XU28	Ensembl:OB04G27880
Q7XU29	Ensembl:OB04G27900
Q7XUA8	Ensembl:OB04G26100
Q7XUH5	Ensembl:OB04G29440
Q7XUI7	Ensembl:OB04G28900
Q7XUK6	Ensembl:OB04G24650
Q7XUS2	Ensembl:OB04G22480
Q7XV13	Ensembl:OB04G21320
Q7XV42	Ensembl:OB04G21780
Q7XV97	Ensembl:OB04G18080
Q7XVM2	Ensembl:OB04G17960
Q7XVM8	Ensembl:OB04G18050
Q7XVP0	Ensembl:OB04G15560
Q7XWP9	Ensembl:OB04G14370
Q7XX31	Ensembl:OB05G19690 Ensembl:OB12G23760
Q7XX32	Ensembl:OB05G19690 Ensembl:OB12G23760
Q7XYS3	Ensembl:OB12G17020
Q7XZH5	Ensembl:OB03G45380
Q7Y0B9	Ensembl:OB03G42240
Q7Y0C8	Ensembl:OB03G42420
Q7Y0Y6	Ensembl:OB02G17760
Q7Y0Y8	Ensembl:OB06G27130
Q7Y152	Ensembl:OB03G46980
Q7Y1H9	Ensembl:OB03G44290
Q7Y1I9	Ensembl:OB03G44310
Q7Y1J1	Ensembl:OB03G44310
Q84J55	Ensembl:OB08G25390
Q84J76	Ensembl:OB07G11440
Q84JH5	Ensembl:OB03G22070
Q84JI0	Ensembl:OB03G22100
Q84LF7	Ensembl:OB07G24800
Q84LK3	Ensembl:OB08G22590
Q84M43	Ensembl:OB03G45190
Q84MN8	Ensembl:OB03G40830
Q84NP3	Ensembl:OB07G32860
Q84Q89	Ensembl:OB03G21680
Q84QA7	Ensembl:OB03G21830
Q84R94	Ensembl:OB03G29930
Q84RS4	Ensembl:OB07G20910
Q84RX6	Ensembl:OB07G26370
Q84T92	Ensembl:OB03G45960
Q84VC7	Ensembl:OB05G31380
Q84VK7	Ensembl:OB07G22270
Q84YK8	Ensembl:OB08G26890
Q84ZN6	Ensembl:OB07G15230
Q84ZY2	Ensembl:OB06G12050
Q851L5	Ensembl:OB03G47290
Q851Z6	Ensembl:OB03G48000
Q852C2	Ensembl:OB03G46420
Q852M1	Ensembl:OB03G43790
Q852M2	Ensembl:OB03G43790
Q852P4	Ensembl:OB02G32000
Q852Q1	Ensembl:OB03G23420
Q8GRS2	Ensembl:OB03G16010
Q8GRU7	Ensembl:OB07G29440
Q8GT01	Ensembl:OB01G52920 Ensembl:OB06G24890
Q8GTK1	Ensembl:OB08G22550
Q8GVZ0	Ensembl:OB07G23660
Q8GZY1	Ensembl:OB03G10970
Q8H016	Ensembl:OB03G15930
Q8H038	Ensembl:OB03G13540
Q8H051	Ensembl:OB03G11420
Q8H093	Ensembl:OB10G23410
Q8H0B2	Ensembl:OB08G12070
Q8H395	Ensembl:OB07G27680
Q8H3A4	Ensembl:OB07G27540 Ensembl:OB07G27550
Q8H3C9	Ensembl:OB07G16550
Q8H3I4	Ensembl:OB07G27760
Q8H3Q7	Ensembl:OB07G31090
Q8H530	Ensembl:OB07G20550
Q8H539	Ensembl:OB07G12900
Q8H7P5	Ensembl:OB03G16510
Q8H7S6	Ensembl:OB03G19150
Q8H7T7	Ensembl:OB03G10480
Q8H825	Ensembl:OB03G19050
Q8H930	Ensembl:OB07G12030
Q8LGW5	Ensembl:OB07G16900
Q8LGZ9	Ensembl:OB07G10330
Q8LHD1	Ensembl:OB10G16640
Q8LI89	Ensembl:OB07G13280
Q8LJJ2	Ensembl:OB01G36530
Q8LM92	Ensembl:OB10G14630
Q8LMW8	Ensembl:OB10G13640
Q8LN68	Ensembl:OB03G38320
Q8LNU2	Ensembl:OB10G21530
Q8LQ34	Ensembl:OB01G46210
Q8LR33	Ensembl:OB01G34700
Q8LR75	Ensembl:OB01G45580
Q8LRA0	Ensembl:OB01G43140
Q8RV06	Ensembl:OB10G10320
Q8RV34	Ensembl:OB12G20530
Q8RYL0	Ensembl:OB01G51690
Q8RYL1	Ensembl:OB01G51680
Q8RYY6	Ensembl:OB01G47700
Q8RZZ3	Ensembl:OB01G36430
Q8S2E5	Ensembl:OB01G38310
Q8S2G0	Ensembl:OB01G43020
Q8S3R0	Ensembl:OB02G36750
Q8S5M6	Ensembl:OB10G15920
Q8S5N2	Ensembl:OB10G15950
Q8S5T1	Ensembl:OB03G14810
Q8S601	Ensembl:OB0074G10030
Q8S7N5	Ensembl:OB10G26340
Q8S919	Ensembl:OB02G20110
Q8S983	Ensembl:OB04G35570
Q8S985	Ensembl:OB05G33320
Q8S9S4	Ensembl:OB01G29320
Q8S9Z2	Ensembl:OB01G54490
Q8VWH2	Ensembl:OB06G13480 Ensembl:OB06G13470
Q8W1L6	Ensembl:OB02G20630
Q8W250	Ensembl:OB01G10450
Q8W3J0	Ensembl:OB03G22560
Q8W3M0	Ensembl:OB03G25460
Q8W5G9	Ensembl:OB03G42150
Q93VC3	Ensembl:OB01G25450
Q93WI9	Ensembl:OB06G13480 Ensembl:OB06G13470
Q93X08	Ensembl:OB09G25610
Q93XI4	Ensembl:OB09G15890
Q93Y73	Ensembl:OB03G41970
Q941T9	Ensembl:OB01G45900
Q942X4	Ensembl:OB01G52220
Q943R3	Ensembl:OB01G12150
Q94E75	Ensembl:OB01G25830
Q94EE9	Ensembl:OB01G41290
Q94GF1	Ensembl:OB03G46550
Q94HG3	Ensembl:OB03G16270
Q94HG6	Ensembl:OB03G16310
Q94IW5	Ensembl:OB01G16190
Q94J08	Ensembl:OB01G39870
Q94J90	Ensembl:OB01G43320
Q94JA2	Ensembl:OB01G33860
Q94JJ0	Ensembl:OB01G11190
Q94LU9	Ensembl:OB10G24860
Q94LV4	Ensembl:OB10G24870
Q9ASD3	Ensembl:OB01G37560
Q9ASK5	Ensembl:OB01G10720
Q9ASP4	Ensembl:OB01G23480 Ensembl:OB01G23500
Q9AUQ4	Ensembl:OB03G38810
Q9AUV6	Ensembl:OB03G41740
Q9AV47	Ensembl:OB10G20590
Q9AV71	Ensembl:OB10G20000
Q9AWL7	Ensembl:OB01G15220
Q9AWZ7	Ensembl:OB01G18120
Q9AWZ8	Ensembl:OB01G18110
Q9FDY4	Ensembl:OB01G16000
Q9FE35	Ensembl:OB01G32850
Q9FTN5	Ensembl:OB01G10400
Q9FTN6	Ensembl:OB01G10390
Q9FTR6	Ensembl:OB01G11730
Q9FTZ2	Ensembl:OB06G24600
Q9FU17	Ensembl:OB01G15900
Q9FWC1	Ensembl:OB10G23160
Q9FWK4	Ensembl:OB10G20170
Q9LD61	Ensembl:OB08G17270
Q9LDB7	Ensembl:OB06G14630
Q9LGL5	Ensembl:OB01G13810
Q9LGU6	Ensembl:OB01G22020
Q9LHZ0	Ensembl:OB06G10780
Q9LHZ7	Ensembl:OB06G10850
Q9LIZ8	Ensembl:OB01G20980
Q9LWU9	Ensembl:OB06G11610
Q9S7D3	Ensembl:OB08G11580
Q9SDG5	Ensembl:OB01G21220
Q9SE42	Ensembl:OB09G22250
Q9SMB1	Ensembl:OB05G32630 Ensembl:OB10G25360
Q9SNK3	Ensembl:OB03G12280
Q9SNQ6	Ensembl:OB01G29580 Ensembl:OB01G29600
Q9XEA6	Ensembl:OB12G26200
Q9XFE5	Ensembl:OB10G26870
Q9XG80	Ensembl:OB02G45300
Q9XHL5	Ensembl:OB08G27120
Q9XJ03	Ensembl:OB06G14160
Q9XJ29	Ensembl:OB03G21740
Q9ZTP5	Ensembl:OB03G15250
UPI00000AA151	Ensembl:OB06G14630
UPI0001C7A9C3	Ensembl:OB09G26680
UPI0001C7CB34	Ensembl:OB01G23310
