A2X747	Ensembl:ORUFI02G25250
Q6H513	Ensembl:ORUFI02G05690
Q6H515	Ensembl:ORUFI02G05660
Q6H543	Ensembl:ORUFI02G09590
Q6H5Z4	Ensembl:ORUFI02G09430
Q6H6C7	Ensembl:ORUFI02G05390
Q6H6D2	Ensembl:ORUFI02G05360
Q6H6G1	Ensembl:ORUFI02G28030
Q6H6I1	Ensembl:ORUFI02G27870
Q6H703	Ensembl:ORUFI02G05570
Q6H765	Ensembl:ORUFI02G19970
Q6H7Q6	Ensembl:ORUFI02G07290
Q6H819	Ensembl:ORUFI02G06260
Q6H849	Ensembl:ORUFI02G26580
Q6H851	Ensembl:ORUFI02G26570
Q6H8F6	Ensembl:ORUFI02G08080
Q6I581	Ensembl:ORUFI05G29440
Q6I5C3	Ensembl:ORUFI05G07730
Q6IEQ7	Ensembl:ORUFI01G39110
Q6IVC3	Ensembl:ORUFI03G15900
Q6K1S6	Ensembl:ORUFI02G25970
Q6K2E1	Ensembl:ORUFI09G06080
Q6K306	Ensembl:ORUFI09G02670
Q6K3T2	Ensembl:ORUFI02G10420
Q6K3Z3	Ensembl:ORUFI09G02560
Q6K4Q5	Ensembl:ORUFI02G36690
Q6K4V9	Ensembl:ORUFI02G16580
Q6K4Y7	Ensembl:ORUFI02G16390
Q6K5G8	Ensembl:ORUFI02G24450
Q6K5U4	Ensembl:ORUFI02G13570
Q6K678	Ensembl:ORUFI02G37170
Q6K6Q0	Ensembl:ORUFI02G26100
Q6K6Q1	Ensembl:ORUFI02G26090
Q6K755	Ensembl:ORUFI02G17890
Q6K7P2	Ensembl:ORUFI02G39810
Q6K7V6	Ensembl:ORUFI02G12280
Q6K846	Ensembl:ORUFI02G37970
Q6K8E2	Ensembl:ORUFI02G34850
Q6K8E7	Ensembl:ORUFI02G38140
Q6K8J4	Ensembl:ORUFI02G24670
Q6K8R6	Ensembl:ORUFI02G24760
Q6K973	Ensembl:ORUFI02G40060
Q6K9B8	Ensembl:ORUFI02G25190
Q6K9C5	Ensembl:ORUFI02G25130
Q6K9M5	Ensembl:ORUFI02G37020
Q6K9N6	Ensembl:ORUFI02G25840
Q6K9X3	Ensembl:ORUFI02G39370
Q6KAJ2	Ensembl:ORUFI02G37510
Q6L4G2	Ensembl:ORUFI05G26740
Q6L4H5	Ensembl:ORUFI05G26580
Q6L4L4	Ensembl:ORUFI05G01890
Q6L4R0	Ensembl:ORUFI05G06910
Q6L4R7	Ensembl:ORUFI05G29930
Q6L506	Ensembl:ORUFI05G20490
Q6L540	Ensembl:ORUFI05G23720
Q6L545	Ensembl:ORUFI05G17290
Q6L5H6	Ensembl:ORUFI05G25680
Q6MWK9	Ensembl:ORUFI04G06330
Q6Q9I2	Ensembl:ORUFI07G00610
Q6YPF1	Ensembl:ORUFI08G01490
Q6YPG5	Ensembl:ORUFI02G00430
Q6YS33	Ensembl:ORUFI07G11180
Q6YS36	Ensembl:ORUFI07G11170
Q6YSA1	Ensembl:ORUFI08G19690
Q6YT73	Ensembl:ORUFI07G03060
Q6YTI6	Ensembl:ORUFI02G22100
Q6YTT3	Ensembl:ORUFI08G20730
Q6YU51	Ensembl:ORUFI07G05750
Q6YUI8	Ensembl:ORUFI08G12400
Q6YUS0	Ensembl:ORUFI02G01570
Q6YUU2	Ensembl:ORUFI02G06950
Q6YV04	Ensembl:ORUFI02G08620
Q6YV23	Ensembl:ORUFI02G31240
Q6YVI0	Ensembl:ORUFI02G31030
Q6YVT1	Ensembl:ORUFI08G22370
Q6YVY0	Ensembl:ORUFI02G21640
Q6YVY6	Ensembl:ORUFI07G22280
Q6YWE1	Ensembl:ORUFI07G07130
Q6YXC2	Ensembl:ORUFI02G22540
Q6YXI1	Ensembl:ORUFI09G14220
Q6YXW6	Ensembl:ORUFI02G03450
Q6YYB9	Ensembl:ORUFI08G02500
Q6YYY7	Ensembl:ORUFI08G26190
Q6YYZ2	Ensembl:ORUFI08G02930
Q6YZ18	Ensembl:ORUFI08G02790
Q6YZ76	Ensembl:ORUFI08G17020
Q6YZE2	Ensembl:ORUFI08G24060
Q6YZH8	Ensembl:ORUFI08G26040
Q6YZX7	Ensembl:ORUFI08G05860
Q6Z0T7	Ensembl:ORUFI08G25770
Q6Z2L5	Ensembl:ORUFI02G02210
Q6Z2T6	Ensembl:ORUFI02G34000
Q6Z2T9	Ensembl:ORUFI02G33980
Q6Z312	Ensembl:ORUFI02G35260
Q6Z368	Ensembl:ORUFI07G06410
Q6Z398	Ensembl:ORUFI07G06340
Q6Z3A4	Ensembl:ORUFI07G13580
Q6Z3F1	Ensembl:ORUFI08G25660
Q6Z3F9	Ensembl:ORUFI08G25620
Q6Z3X5	Ensembl:ORUFI07G28430
Q6Z3Y3	Ensembl:ORUFI07G28380
Q6Z414	Ensembl:ORUFI07G19200
Q6Z433	Ensembl:ORUFI02G03830
Q6Z434	Ensembl:ORUFI02G03820
Q6Z4E7	Ensembl:ORUFI07G05640
Q6Z4I1	Ensembl:ORUFI07G05820
Q6Z4U1	Ensembl:ORUFI08G05030
Q6Z5B5	Ensembl:ORUFI07G18380
Q6Z5I0	Ensembl:ORUFI02G22400
Q6Z5M0	Ensembl:ORUFI02G32370
Q6Z5M3	Ensembl:ORUFI02G32350
Q6Z684	Ensembl:ORUFI02G34660
Q6Z6F0	Ensembl:ORUFI03G26380
Q6Z6K9	Ensembl:ORUFI02G08950
Q6Z6L1	Ensembl:ORUFI02G08930
Q6Z6S7	Ensembl:ORUFI02G14110
Q6Z702	Ensembl:ORUFI02G01960
Q6Z744	Ensembl:ORUFI02G33400
Q6Z795	Ensembl:ORUFI02G07810
Q6Z7I3	Ensembl:ORUFI02G15140
Q6Z836	Ensembl:ORUFI02G02730
Q6Z8F4	Ensembl:ORUFI02G30530
Q6Z8S2	Ensembl:ORUFI08G18150
Q6Z8Z7	Ensembl:ORUFI02G00850
Q6Z965	Ensembl:ORUFI08G19200
Q6Z9A3	Ensembl:ORUFI08G08170
Q6Z9E6	Ensembl:ORUFI08G18110
Q6ZA22	Ensembl:ORUFI08G15010
Q6ZAC1	Ensembl:ORUFI06G09660
Q6ZAH2	Ensembl:ORUFI08G11660
Q6ZAK7	Ensembl:ORUFI08G16220
Q6ZB59	Ensembl:ORUFI08G12880
Q6ZB94	Ensembl:ORUFI08G20350
Q6ZBE1	Ensembl:ORUFI08G15860
Q6ZBH5	Ensembl:ORUFI08G24930
Q6ZC70	Ensembl:ORUFI08G00690
Q6ZCF0	Ensembl:ORUFI08G06780
Q6ZD10	Ensembl:ORUFI08G12780
Q6ZD89	Ensembl:ORUFI08G03830
Q6ZDJ7	Ensembl:ORUFI08G14470
Q6ZDQ1	Ensembl:ORUFI07G06190
Q6ZDY8	Ensembl:ORUFI07G02090
Q6ZEZ2	Ensembl:ORUFI07G04680
Q6ZFT5	Ensembl:ORUFI02G31750
Q6ZG77	Ensembl:ORUFI02G15630
Q6ZG91	Ensembl:ORUFI02G02480
Q6ZGS9	Ensembl:ORUFI02G30120
Q6ZGW6	Ensembl:ORUFI02G31900
Q6ZH92	Ensembl:ORUFI02G01660
Q6ZHA3	Ensembl:ORUFI02G01550
Q6ZHB2	Ensembl:ORUFI02G29870
Q6ZHH4	Ensembl:ORUFI02G35620
Q6ZHH7	Ensembl:ORUFI02G35610
Q6ZHS4	Ensembl:ORUFI02G06770
Q6ZHZ1	Ensembl:ORUFI08G11160
Q6ZI39	Ensembl:ORUFI02G21290
Q6ZI55	Ensembl:ORUFI02G23960
Q6ZIA3	Ensembl:ORUFI08G23920
Q6ZIK0	Ensembl:ORUFI02G30770
Q6ZIX2	Ensembl:ORUFI07G06750
Q6ZJ97	Ensembl:ORUFI08G06830
Q6ZJK7	Ensembl:ORUFI08G02770
Q6ZJM9	Ensembl:ORUFI08G00420
Q6ZJU3	Ensembl:ORUFI08G17320
Q6ZK11	Ensembl:ORUFI08G21790
Q6ZKC0	Ensembl:ORUFI08G17440
Q6ZKV8	Ensembl:ORUFI08G08600
Q6ZL61	Ensembl:ORUFI07G05050
Q6ZL94	Ensembl:ORUFI07G20560
Q6ZLD3	Ensembl:ORUFI07G04820
Q6ZLJ9	Ensembl:ORUFI07G06980
Q75GK0	Ensembl:ORUFI03G27830
Q75H77	Ensembl:ORUFI01G38920
Q75HA6	Ensembl:ORUFI03G29880
Q75HP7	Ensembl:ORUFI05G18610
Q75HQ7	Ensembl:ORUFI05G18490
Q75HZ9	Ensembl:ORUFI05G29160
Q75II5	Ensembl:ORUFI05G24260
Q75KD7	Ensembl:ORUFI03G23300 Ensembl:ORUFI03G23290
Q75KT7	Ensembl:ORUFI05G25520
Q75L84	Ensembl:ORUFI05G01760
Q75LL5	Ensembl:ORUFI03G35750
Q75LR2	Ensembl:ORUFI03G20630
Q75M18	Ensembl:ORUFI05G00350
Q75V57	Ensembl:ORUFI12G19220
Q75W16	Ensembl:ORUFI07G23710
Q764B9	Ensembl:ORUFI03G33420
Q7EYE4	Ensembl:ORUFI08G04140
Q7EYM8	Ensembl:ORUFI08G14740
Q7EYQ2	Ensembl:ORUFI07G01690
Q7EZD3	Ensembl:ORUFI08G03870
Q7EZW6	Ensembl:ORUFI08G12990
Q7EZZ0	Ensembl:ORUFI07G26170
Q7F0B2	Ensembl:ORUFI07G08500
Q7F0Q2	Ensembl:ORUFI07G15330
Q7F190	Ensembl:ORUFI07G15540
Q7F2P0	Ensembl:ORUFI01G17930
Q7F8K7	Ensembl:ORUFI03G02160
Q7FAE1	Ensembl:ORUFI04G03590
Q7FAH2	Ensembl:ORUFI04G18110
Q7FAS1	Ensembl:ORUFI04G27490
Q7G065	Ensembl:ORUFI01G26560
Q7G2F7	Ensembl:ORUFI10G15620
Q7G2H3	Ensembl:ORUFI10G15220
Q7G4P2	Ensembl:ORUFI10G04860
Q7G602	Ensembl:ORUFI10G05920
Q7G6M2	Ensembl:ORUFI10G08730
Q7G7J6	Ensembl:ORUFI03G32650
Q7X634	Ensembl:ORUFI04G20250
Q7X720	Ensembl:ORUFI04G20370
Q7X742	Ensembl:ORUFI04G28640
Q7X7H9	Ensembl:ORUFI04G28560
Q7X7N2	Ensembl:ORUFI04G00340
Q7X7X0	Ensembl:ORUFI07G23410
Q7X7X4	Ensembl:ORUFI04G03620
Q7X8A1	Ensembl:ORUFI04G16280
Q7X8V3	Ensembl:ORUFI04G20390
Q7X993	Ensembl:ORUFI07G27880
Q7XAP2	Ensembl:ORUFI06G18050
Q7XBY6	Ensembl:ORUFI10G20580
Q7XC20	Ensembl:ORUFI10G20070
Q7XCK3	Ensembl:ORUFI10G18450
Q7XDE0	Ensembl:ORUFI10G13930
Q7XE48	Ensembl:ORUFI10G11670
Q7XEH2	Ensembl:ORUFI10G10970
Q7XEZ1	Ensembl:ORUFI10G09120
Q7XGU4	Ensembl:ORUFI10G02300
Q7XH05	Ensembl:ORUFI10G01850
Q7XHL3	Ensembl:ORUFI07G12530
Q7XHZ2	Ensembl:ORUFI07G12950
Q7XI34	Ensembl:ORUFI07G08530
Q7XI67	Ensembl:ORUFI07G28140
Q7XI92	Ensembl:ORUFI07G20790
Q7XI96	Ensembl:ORUFI07G20760
Q7XK23	Ensembl:ORUFI04G17510
Q7XKQ8	Ensembl:ORUFI04G11730
Q7XM21	Ensembl:ORUFI04G30100
Q7XMU7	Ensembl:ORUFI04G10020
Q7XNY3	Ensembl:ORUFI04G26070
Q7XPB5	Ensembl:ORUFI04G24090
Q7XPR5	Ensembl:ORUFI04G23020
Q7XPW5	Ensembl:ORUFI04G31700
Q7XQ85	Ensembl:ORUFI04G24310
Q7XR02	Ensembl:ORUFI04G29920
Q7XR60	Ensembl:ORUFI04G30700
Q7XRA1	Ensembl:ORUFI04G00390
Q7XRT0	Ensembl:ORUFI04G05810
Q7XRX3	Ensembl:ORUFI04G23680
Q7XSS9	Ensembl:ORUFI04G32360
Q7XTB2	Ensembl:ORUFI04G00140
Q7XTE8	Ensembl:ORUFI04G16440
Q7XTH0	Ensembl:ORUFI04G08560
Q7XTK3	Ensembl:ORUFI04G00990
Q7XTU2	Ensembl:ORUFI04G27180
Q7XTX7	Ensembl:ORUFI04G24080
Q7XU28	Ensembl:ORUFI04G22460
Q7XU29	Ensembl:ORUFI04G22470
Q7XUA8	Ensembl:ORUFI04G20530
Q7XUH5	Ensembl:ORUFI04G24200
Q7XUI7	Ensembl:ORUFI04G23520
Q7XUK6	Ensembl:ORUFI04G18890
Q7XUS2	Ensembl:ORUFI04G16510
Q7XV13	Ensembl:ORUFI04G15410
Q7XV42	Ensembl:ORUFI04G15720
Q7XV97	Ensembl:ORUFI04G12120
Q7XVM2	Ensembl:ORUFI04G12020
Q7XVM8	Ensembl:ORUFI04G12100
Q7XVP0	Ensembl:ORUFI04G08110
Q7XWP9	Ensembl:ORUFI04G06480
Q7XX31	Ensembl:ORUFI05G11760
Q7XYS3	Ensembl:ORUFI03G09240
Q7XZH5	Ensembl:ORUFI03G40040
Q7Y0B9	Ensembl:ORUFI03G36680
Q7Y0C8	Ensembl:ORUFI03G36830
Q7Y0W5	Ensembl:ORUFI10G13160
Q7Y0Y6	Ensembl:ORUFI02G08580
Q7Y0Y8	Ensembl:ORUFI06G20660
Q7Y152	Ensembl:ORUFI03G41660
Q7Y1H9	Ensembl:ORUFI03G38990 Ensembl:ORUFI03G38980
Q7Y1I9	Ensembl:ORUFI03G39010
Q84J55	Ensembl:ORUFI08G20470
Q84J76	Ensembl:ORUFI07G01660
Q84JH5	Ensembl:ORUFI03G12270
Q84JI0	Ensembl:ORUFI03G12310
Q84LF7	Ensembl:ORUFI07G19810
Q84LK3	Ensembl:ORUFI08G17040
Q84M43	Ensembl:ORUFI03G39840
Q84MN8	Ensembl:ORUFI03G35180
Q84Q89	Ensembl:ORUFI03G11870
Q84QA7	Ensembl:ORUFI03G12020
Q84R94	Ensembl:ORUFI03G21420
Q84RS4	Ensembl:ORUFI07G15460
Q84RX6	Ensembl:ORUFI07G21660
Q84T92	Ensembl:ORUFI03G40690
Q84VC7	Ensembl:ORUFI05G25430
Q84VK7	Ensembl:ORUFI07G17010
Q84YK8	Ensembl:ORUFI08G22400
Q84ZN6	Ensembl:ORUFI07G06920
Q84ZY2	Ensembl:ORUFI06G02110
Q851L5	Ensembl:ORUFI03G41940
Q851Z6	Ensembl:ORUFI03G42850
Q852C2	Ensembl:ORUFI03G41120
Q852M1	Ensembl:ORUFI03G38470
Q852M2	Ensembl:ORUFI03G38460
Q852P4	Ensembl:ORUFI02G26000
Q852Q1	Ensembl:ORUFI03G14090
Q8GRS2	Ensembl:ORUFI03G05760
Q8GRU7	Ensembl:ORUFI07G25000
Q8GSI0	Ensembl:ORUFI03G05750
Q8GT01	Ensembl:ORUFI01G47310
Q8GTK1	Ensembl:ORUFI08G17000
Q8GVZ0	Ensembl:ORUFI07G18500
Q8GZY1	Ensembl:ORUFI03G00780
Q8H016	Ensembl:ORUFI03G05660
Q8H038	Ensembl:ORUFI03G03210
Q8H048	Ensembl:ORUFI03G01270
Q8H051	Ensembl:ORUFI03G01230
Q8H075	Ensembl:ORUFI03G03630
Q8H093	Ensembl:ORUFI10G17370
Q8H0A1	Ensembl:ORUFI10G17290
Q8H0B2	Ensembl:ORUFI08G02100
Q8H0B6	Ensembl:ORUFI04G27070
Q8H273	Ensembl:ORUFI04G23890
Q8H395	Ensembl:ORUFI07G23160
Q8H3A4	Ensembl:ORUFI07G23040
Q8H3I4	Ensembl:ORUFI07G23240
Q8H3Q7	Ensembl:ORUFI07G26680
Q8H530	Ensembl:ORUFI07G14830
Q8H539	Ensembl:ORUFI07G03600
Q8H7P5	Ensembl:ORUFI03G06300
Q8H7S6	Ensembl:ORUFI03G09100
Q8H7T7	Ensembl:ORUFI03G12540
Q8H825	Ensembl:ORUFI03G08850
Q8H8U0	Ensembl:ORUFI03G13620
Q8H930	Ensembl:ORUFI07G02310
Q8LGW5	Ensembl:ORUFI07G09540
Q8LGZ9	Ensembl:ORUFI07G00310
Q8LHD1	Ensembl:ORUFI01G48550
Q8LI89	Ensembl:ORUFI07G04050
Q8LIG8	Ensembl:ORUFI07G27790
Q8LIY8	Ensembl:ORUFI01G33780
Q8LJJ2	Ensembl:ORUFI01G30410
Q8LM92	Ensembl:ORUFI10G05810
Q8LMW8	Ensembl:ORUFI10G04940
Q8LN68	Ensembl:ORUFI03G32570
Q8LNU2	Ensembl:ORUFI10G15340
Q8LQ34	Ensembl:ORUFI01G40830
Q8LR33	Ensembl:ORUFI01G28360
Q8LR75	Ensembl:ORUFI01G40140
Q8LRA0	Ensembl:ORUFI01G37620
Q8RU95	Ensembl:ORUFI01G44060
Q8RV06	Ensembl:ORUFI10G00270
Q8RYY6	Ensembl:ORUFI01G42340
Q8RZZ3	Ensembl:ORUFI01G30290
Q8S2G0	Ensembl:ORUFI01G37490
Q8S3R0	Ensembl:ORUFI02G31160
Q8S5M6	Ensembl:ORUFI10G08070
Q8S5N2	Ensembl:ORUFI10G08110
Q8S5T1	Ensembl:ORUFI03G04410
Q8S601	Ensembl:ORUFI10G06200
Q8S7N5	Ensembl:ORUFI10G20460
Q8S919	Ensembl:ORUFI02G11330
Q8S983	Ensembl:ORUFI04G30260
Q8S985	Ensembl:ORUFI05G27690
Q8S9S4	Ensembl:ORUFI01G22150
Q8S9Z2	Ensembl:ORUFI01G48750
Q8VWH2	Ensembl:ORUFI06G03830
Q8W1L6	Ensembl:ORUFI02G12050
Q8W250	Ensembl:ORUFI01G00480
Q8W3J0	Ensembl:ORUFI03G13170
Q8W3L9	Ensembl:ORUFI07G27710
Q8W3M0	Ensembl:ORUFI03G16290
Q8W5G9	Ensembl:ORUFI03G36600
Q93VC3	Ensembl:ORUFI01G17490
Q93VD5	Ensembl:ORUFI01G22370
Q93WI9	Ensembl:ORUFI06G03850
Q93X08	Ensembl:ORUFI09G20550
Q93XI4	Ensembl:ORUFI02G20270
Q93Y73	Ensembl:ORUFI03G36420
Q941T9	Ensembl:ORUFI01G40510
Q941W8	Ensembl:ORUFI01G39190
Q942X4	Ensembl:ORUFI01G46620
Q943R3	Ensembl:ORUFI01G02340
Q94E75	Ensembl:ORUFI01G17680
Q94EE9	Ensembl:ORUFI01G35630
Q94GF1	Ensembl:ORUFI03G41260
Q94HG3	Ensembl:ORUFI03G06030
Q94HG6	Ensembl:ORUFI03G06060
Q94IW5	Ensembl:ORUFI01G06750
Q94J08	Ensembl:ORUFI01G34080
Q94J90	Ensembl:ORUFI01G37790
Q94JA2	Ensembl:ORUFI01G27600
Q94JJ0	Ensembl:ORUFI01G01240
Q94LG1	Ensembl:ORUFI03G21040
Q94LU9	Ensembl:ORUFI10G18880
Q9ASD3	Ensembl:ORUFI01G31600
Q9ASK5	Ensembl:ORUFI01G00740
Q9ASP4	Ensembl:ORUFI01G15200
Q9AUQ4	Ensembl:ORUFI03G33060
Q9AUV6	Ensembl:ORUFI03G36230
Q9AV47	Ensembl:ORUFI10G14150
Q9AV71	Ensembl:ORUFI10G13450
Q9AWL7	Ensembl:ORUFI01G05750
Q9AWZ7	Ensembl:ORUFI01G08660
Q9FDX8	Ensembl:ORUFI06G11190
Q9FDY4	Ensembl:ORUFI01G06610
Q9FE35	Ensembl:ORUFI01G26200
Q9FTN5	Ensembl:ORUFI01G00430
Q9FTN6	Ensembl:ORUFI01G00420
Q9FTR6	Ensembl:ORUFI01G01890
Q9FTZ2	Ensembl:ORUFI01G00230
Q9FU17	Ensembl:ORUFI01G06510
Q9FWC1	Ensembl:ORUFI10G17110
Q9FWK4	Ensembl:ORUFI10G13610
Q9FWQ2	Ensembl:ORUFI10G19200
Q9LD61	Ensembl:ORUFI08G08800
Q9LDB7	Ensembl:ORUFI06G05070
Q9LG86	Ensembl:ORUFI01G06310
Q9LGL5	Ensembl:ORUFI01G04060
Q9LGU6	Ensembl:ORUFI01G13240
Q9LHZ0	Ensembl:ORUFI06G00790
Q9LHZ7	Ensembl:ORUFI06G00750
Q9LIZ8	Ensembl:ORUFI01G11820
Q9LWU9	Ensembl:ORUFI06G01590
Q9LWV3	Ensembl:ORUFI06G01550
Q9S7D3	Ensembl:ORUFI08G01450
Q9SDG5	Ensembl:ORUFI01G12110
Q9SE42	Ensembl:ORUFI09G16910
Q9SMB1	Ensembl:ORUFI07G11490
Q9SNK3	Ensembl:ORUFI03G02080
Q9SNN0	Ensembl:ORUFI06G01930
Q9SNQ6	Ensembl:ORUFI06G02740
Q9XEA6	Ensembl:ORUFI12G21650
Q9XEA8	Ensembl:ORUFI03G35510
Q9XFE5	Ensembl:ORUFI10G20960
Q9XG80	Ensembl:ORUFI02G40080
Q9XHL5	Ensembl:ORUFI08G22700
Q9XJ03	Ensembl:ORUFI06G04490
Q9XJ29	Ensembl:ORUFI03G11930
Q9XJ60	Ensembl:ORUFI03G01510
Q9XJ61	Ensembl:ORUFI01G45590
Q9ZTP5	Ensembl:ORUFI03G04930
UPI00000AA151	Ensembl:ORUFI06G05070
UPI0001C7A9C3	Ensembl:ORUFI09G21510
