A2X747	Ensembl:Si016926m.g
Q6I581	Ensembl:Si021291m.g Ensembl:Si028354m.g
Q6I5C3	Ensembl:Si023264m.g
Q6IEQ7	Ensembl:Si000906m.g
Q6IVC3	Ensembl:Si036527m.g
Q6K1S6	Ensembl:Si018182m.g
Q6K209	Ensembl:Si018895m.g Ensembl:Si018900m.g
Q6K2E1	Ensembl:Si030247m.g
Q6K306	Ensembl:Si029964m.g Ensembl:Si030112m.g
Q6K3T2	Ensembl:Si016455m.g
Q6K3Z3	Ensembl:Si003974m.g Ensembl:Si010265m.g
Q6K4Q5	Ensembl:Si018488m.g
Q6K4V9	Ensembl:Si016932m.g
Q6K4Y7	Ensembl:Si017889m.g
Q6K5G8	Ensembl:Si017082m.g
Q6K5U4	Ensembl:Si017309m.g Ensembl:Si020059m.g
Q6K678	Ensembl:Si018360m.g
Q6K6Q0	Ensembl:Si016478m.g Ensembl:Si016475m.g Ensembl:Si019385m.g
Q6K6Q1	Ensembl:Si016467m.g
Q6K755	Ensembl:Si028377m.g Ensembl:Si028384m.g Ensembl:Si016809m.g
Q6K7V6	Ensembl:Si020026m.g
Q6K846	Ensembl:Si018481m.g
Q6K8E2	Ensembl:Si016581m.g
Q6K8J4	Ensembl:Si016429m.g
Q6K8R6	Ensembl:Si017654m.g
Q6K969	Ensembl:Si020251m.g
Q6K973	Ensembl:Si020148m.g
Q6K9B8	Ensembl:Si017413m.g
Q6K9M5	Ensembl:Si020000m.g
Q6K9N6	Ensembl:Si017316m.g
Q6KAJ2	Ensembl:Si017156m.g
Q6L4G2	Ensembl:Si024711m.g
Q6L4H5	Ensembl:Si024134m.g
Q6L4L4	Ensembl:Si021164m.g
Q6L4R7	Ensembl:Si022134m.g
Q6L506	Ensembl:Si022270m.g
Q6L540	Ensembl:Si024060m.g
Q6L545	Ensembl:Si022513m.g
Q6L5H6	Ensembl:Si022343m.g
Q6Q9I2	Ensembl:Si030802m.g
Q6YPG5	Ensembl:Si016825m.g
Q6YS33	Ensembl:Si029364m.g
Q6YS36	Ensembl:Si005769m.g
Q6YSA1	Ensembl:Si029726m.g
Q6YSF8	Ensembl:Si031297m.g
Q6YT73	Ensembl:Si029923m.g
Q6YTI6	Ensembl:Si017427m.g
Q6YTT3	Ensembl:Si013587m.g
Q6YU51	Ensembl:Si029067m.g
Q6YUI8	Ensembl:Si029293m.g Ensembl:Si031974m.g
Q6YUS0	Ensembl:Si016776m.g
Q6YUU2	Ensembl:Si020188m.g
Q6YV23	Ensembl:Si017204m.g
Q6YVI0	Ensembl:Si017196m.g
Q6YVT1	Ensembl:Si013426m.g
Q6YVY0	Ensembl:Si016562m.g
Q6YVY6	Ensembl:Si030558m.g
Q6YWE1	Ensembl:Si032044m.g
Q6YXC2	Ensembl:Si016503m.g
Q6YXI1	Ensembl:Si029228m.g
Q6YXW6	Ensembl:Si001574m.g Ensembl:Si029938m.g
Q6YYB9	Ensembl:Si013676m.g
Q6YYY7	Ensembl:Si013886m.g
Q6YYZ2	Ensembl:Si034868m.g
Q6YZ18	Ensembl:Si015803m.g
Q6YZE2	Ensembl:Si021820m.g
Q6YZH8	Ensembl:Si013458m.g
Q6YZX7	Ensembl:Si017183m.g
Q6Z0T7	Ensembl:Si014629m.g
Q6Z2L5	Ensembl:Si017423m.g
Q6Z2T6	Ensembl:Si017037m.g
Q6Z2T9	Ensembl:Si016839m.g
Q6Z312	Ensembl:Si017618m.g
Q6Z351	Ensembl:Si032986m.g
Q6Z3A4	Ensembl:Si021951m.g
Q6Z3F1	Ensembl:Si013546m.g
Q6Z3F9	Ensembl:Si013906m.g
Q6Z3X5	Ensembl:Si028803m.g
Q6Z3Y3	Ensembl:Si030270m.g
Q6Z414	Ensembl:Si030273m.g
Q6Z434	Ensembl:Si017447m.g
Q6Z4E7	Ensembl:Si029368m.g
Q6Z4I1	Ensembl:Si005579m.g
Q6Z4U1	Ensembl:Si024700m.g Ensembl:Si015441m.g
Q6Z684	Ensembl:Si017045m.g
Q6Z6K9	Ensembl:Si019843m.g
Q6Z6L1	Ensembl:Si019843m.g
Q6Z6S7	Ensembl:Si017104m.g
Q6Z702	Ensembl:Si016949m.g
Q6Z744	Ensembl:Si017307m.g
Q6Z795	Ensembl:Si016594m.g
Q6Z7I3	Ensembl:Si016747m.g
Q6Z7Q3	Ensembl:Si019763m.g
Q6Z836	Ensembl:Si016595m.g
Q6Z8F4	Ensembl:Si017390m.g
Q6Z8S2	Ensembl:Si024700m.g Ensembl:Si015441m.g
Q6Z8Z7	Ensembl:Si016973m.g
Q6Z965	Ensembl:Si013880m.g
Q6Z9A3	Ensembl:Si001333m.g Ensembl:Si010432m.g
Q6Z9E6	Ensembl:Si014244m.g
Q6ZA22	Ensembl:Si015433m.g
Q6ZAC1	Ensembl:Si013531m.g
Q6ZAH2	Ensembl:Si039795m.g Ensembl:Si017380m.g
Q6ZAK7	Ensembl:Si013900m.g
Q6ZB59	Ensembl:Si013709m.g
Q6ZBE1	Ensembl:Si009917m.g
Q6ZBH5	Ensembl:Si015389m.g
Q6ZC33	Ensembl:Si013224m.g
Q6ZC70	Ensembl:Si013809m.g
Q6ZCF0	Ensembl:Si013583m.g
Q6ZD10	Ensembl:Si013223m.g
Q6ZD89	Ensembl:Si014900m.g
Q6ZDJ7	Ensembl:Si013967m.g
Q6ZDQ1	Ensembl:Si000857m.g
Q6ZDY8	Ensembl:Si015821m.g
Q6ZEZ2	Ensembl:Si030780m.g
Q6ZFT5	Ensembl:Si017764m.g
Q6ZG77	Ensembl:Si021869m.g
Q6ZG91	Ensembl:Si016728m.g
Q6ZGS9	Ensembl:Si017199m.g
Q6ZGW6	Ensembl:Si017485m.g
Q6ZH92	Ensembl:Si031551m.g
Q6ZHA3	Ensembl:Si018396m.g
Q6ZHB2	Ensembl:Si017695m.g
Q6ZHH4	Ensembl:Si016507m.g
Q6ZHH7	Ensembl:Si016274m.g
Q6ZHS4	Ensembl:Si017253m.g
Q6ZHZ1	Ensembl:Si013170m.g
Q6ZI39	Ensembl:Si016260m.g
Q6ZI55	Ensembl:Si017536m.g
Q6ZIA3	Ensembl:Si013653m.g
Q6ZIK0	Ensembl:Si017698m.g
Q6ZIX2	Ensembl:Si030398m.g
Q6ZJ97	Ensembl:Si013631m.g
Q6ZJM9	Ensembl:Si013357m.g
Q6ZJU3	Ensembl:Si013807m.g
Q6ZK11	Ensembl:Si010744m.g
Q6ZKC0	Ensembl:Si002635m.g Ensembl:Si014314m.g Ensembl:Si014320m.g
Q6ZKV8	Ensembl:Si014981m.g
Q6ZL61	Ensembl:Si030453m.g
Q6ZL94	Ensembl:Si030465m.g
Q6ZLJ9	Ensembl:Si029000m.g
Q75GB1	Ensembl:Si023069m.g
Q75H77	Ensembl:Si036309m.g
Q75HA6	Ensembl:Si034834m.g
Q75I93	Ensembl:Si035308m.g
Q75II5	Ensembl:Si022538m.g
Q75KD7	Ensembl:Si037205m.g
Q75KT7	Ensembl:Si022433m.g
Q75L84	Ensembl:Si022408m.g
Q75LC7	Ensembl:Si035198m.g
Q75LL5	Ensembl:Si036007m.g
Q75LR2	Ensembl:Si035017m.g
Q75M18	Ensembl:Si025273m.g Ensembl:Si021042m.g
Q75V57	Ensembl:Si022378m.g
Q75W16	Ensembl:Si029161m.g
Q764B9	Ensembl:Si036997m.g
Q7EYE4	Ensembl:Si015234m.g
Q7EYM8	Ensembl:Si013914m.g
Q7EZD3	Ensembl:Si013369m.g
Q7EZW6	Ensembl:Si015820m.g
Q7EZZ0	Ensembl:Si029936m.g
Q7F0B2	Ensembl:Si029735m.g
Q7F0Q2	Ensembl:Si010466m.g
Q7F190	Ensembl:Si029215m.g
Q7F1X5	Ensembl:Si000889m.g
Q7F8K7	Ensembl:Si038310m.g
Q7FAS1	Ensembl:Si010412m.g
Q7G065	Ensembl:Si001040m.g
Q7G2F7	Ensembl:Si033934m.g
Q7G2H3	Ensembl:Si035869m.g
Q7G602	Ensembl:Si035224m.g
Q7G6M2	Ensembl:Si039999m.g Ensembl:Si039249m.g Ensembl:Si028355m.g Ensembl:Si035134m.g
Q7G7J6	Ensembl:Si039400m.g
Q7X634	Ensembl:Si010381m.g Ensembl:Si012713m.g Ensembl:Si010373m.g
Q7X720	Ensembl:Si029093m.g Ensembl:Si012256m.g
Q7X742	Ensembl:Si011424m.g
Q7X7N2	Ensembl:Si010532m.g
Q7X7X0	Ensembl:Si000970m.g Ensembl:Si029695m.g Ensembl:Si026336m.g
Q7X7X4	Ensembl:Si029579m.g Ensembl:Si013603m.g Ensembl:Si029587m.g Ensembl:Si013601m.g Ensembl:Si013611m.g
Q7X8A1	Ensembl:Si010261m.g
Q7X8V3	Ensembl:Si009345m.g
Q7XAP2	Ensembl:Si006576m.g
Q7XBY6	Ensembl:Si037529m.g
Q7XC20	Ensembl:Si036466m.g
Q7XCK3	Ensembl:Si036274m.g
Q7XDE0	Ensembl:Si035063m.g
Q7XE48	Ensembl:Si034299m.g
Q7XEZ6	Ensembl:Si038745m.g
Q7XGU4	Ensembl:Si035069m.g
Q7XH05	Ensembl:Si033915m.g Ensembl:Si040152m.g Ensembl:Si033946m.g Ensembl:Si033914m.g
Q7XHL3	Ensembl:Si033345m.g
Q7XHZ2	Ensembl:Si029426m.g
Q7XI34	Ensembl:Si033228m.g Ensembl:Si032617m.g
Q7XI35	Ensembl:Si029717m.g Ensembl:Si032090m.g Ensembl:Si029739m.g Ensembl:Si029803m.g
Q7XI67	Ensembl:Si028842m.g
Q7XI92	Ensembl:Si030285m.g
Q7XI96	Ensembl:Si030508m.g
Q7XK23	Ensembl:Si010358m.g
Q7XKH9	Ensembl:Si009941m.g
Q7XKI0	Ensembl:Si009941m.g
Q7XKQ8	Ensembl:Si019445m.g
Q7XM21	Ensembl:Si022356m.g
Q7XMA8	Ensembl:Si009917m.g
Q7XMP7	Ensembl:Si010561m.g
Q7XMU7	Ensembl:Si012182m.g
Q7XNX6	Ensembl:Si005845m.g
Q7XNY3	Ensembl:Si010545m.g
Q7XPB5	Ensembl:Si006934m.g Ensembl:Si010357m.g Ensembl:Si006647m.g
Q7XPR5	Ensembl:Si010480m.g
Q7XPW5	Ensembl:Si023057m.g
Q7XQ85	Ensembl:Si009971m.g
Q7XR02	Ensembl:Si024993m.g
Q7XR60	Ensembl:Si022133m.g
Q7XR61	Ensembl:Si022133m.g
Q7XRA1	Ensembl:Si016654m.g
Q7XRT0	Ensembl:Si001775m.g
Q7XSS9	Ensembl:Si021833m.g
Q7XTB2	Ensembl:Si010328m.g
Q7XTE8	Ensembl:Si010865m.g
Q7XTH0	Ensembl:Si009941m.g
Q7XTK3	Ensembl:Si001473m.g Ensembl:Si001533m.g
Q7XTU2	Ensembl:Si011900m.g
Q7XTX7	Ensembl:Si009704m.g
Q7XU28	Ensembl:Si010534m.g
Q7XU29	Ensembl:Si009605m.g
Q7XUA8	Ensembl:Si010186m.g
Q7XUH5	Ensembl:Si010466m.g
Q7XUI7	Ensembl:Si009633m.g
Q7XUK6	Ensembl:Si011041m.g
Q7XUS2	Ensembl:Si010798m.g
Q7XV13	Ensembl:Si009302m.g
Q7XV42	Ensembl:Si009951m.g
Q7XVM2	Ensembl:Si010101m.g
Q7XVM8	Ensembl:Si009703m.g
Q7XVP0	Ensembl:Si010888m.g Ensembl:Si022899m.g
Q7XWP9	Ensembl:Si000472m.g
Q7XX31	Ensembl:Si022608m.g
Q7XX32	Ensembl:Si022608m.g
Q7XYS3	Ensembl:Si039790m.g Ensembl:Si035439m.g
Q7XZH5	Ensembl:Si036937m.g Ensembl:Si036946m.g
Q7Y0B9	Ensembl:Si036283m.g
Q7Y0W5	Ensembl:Si039992m.g
Q7Y0Y8	Ensembl:Si006243m.g
Q7Y152	Ensembl:Si035310m.g
Q7Y1H9	Ensembl:Si037012m.g
Q7Y1I9	Ensembl:Si036532m.g Ensembl:Si036506m.g
Q7Y1J1	Ensembl:Si036532m.g Ensembl:Si036506m.g
Q84J55	Ensembl:Si014301m.g
Q84J76	Ensembl:Si014533m.g Ensembl:Si014537m.g
Q84JH5	Ensembl:Si036322m.g
Q84JI0	Ensembl:Si036015m.g
Q84LK3	Ensembl:Si013592m.g
Q84M43	Ensembl:Si034016m.g
Q84MN8	Ensembl:Si035458m.g
Q84Q89	Ensembl:Si038710m.g
Q84QA7	Ensembl:Si034821m.g
Q84R94	Ensembl:Si037350m.g
Q84RX6	Ensembl:Si029204m.g
Q84T92	Ensembl:Si036958m.g Ensembl:Si024113m.g
Q84VC7	Ensembl:Si021148m.g
Q84VK7	Ensembl:Si031551m.g
Q84YK8	Ensembl:Si013194m.g
Q84ZN6	Ensembl:Si028770m.g
Q84ZY2	Ensembl:Si008821m.g Ensembl:Si005927m.g
Q851L5	Ensembl:Si039209m.g Ensembl:Si038561m.g
Q851Z6	Ensembl:Si034939m.g
Q852C2	Ensembl:Si035584m.g Ensembl:Si035261m.g Ensembl:Si035560m.g Ensembl:Si035523m.g
Q852M1	Ensembl:Si033915m.g Ensembl:Si040152m.g Ensembl:Si033946m.g Ensembl:Si033914m.g
Q852M2	Ensembl:Si033915m.g Ensembl:Si040152m.g Ensembl:Si033946m.g Ensembl:Si033914m.g
Q852P4	Ensembl:Si006039m.g
Q852Q1	Ensembl:Si035270m.g
Q8GRS2	Ensembl:Si037592m.g
Q8GRU7	Ensembl:Si029381m.g Ensembl:Si025099m.g
Q8GT01	Ensembl:Si002357m.g
Q8GVJ4	Ensembl:Si008635m.g
Q8GVZ0	Ensembl:Si030981m.g Ensembl:Si033005m.g
Q8H016	Ensembl:Si034131m.g
Q8H038	Ensembl:Si036091m.g
Q8H048	Ensembl:Si039817m.g
Q8H051	Ensembl:Si035565m.g
Q8H075	Ensembl:Si039759m.g
Q8H093	Ensembl:Si034036m.g
Q8H0A1	Ensembl:Si035965m.g
Q8H0B2	Ensembl:Si035930m.g
Q8H0B6	Ensembl:Si010226m.g
Q8H273	Ensembl:Si011005m.g
Q8H395	Ensembl:Si030980m.g
Q8H3A4	Ensembl:Si030227m.g
Q8H3C8	Ensembl:Si029909m.g
Q8H3C9	Ensembl:Si029793m.g
Q8H3I4	Ensembl:Si030190m.g Ensembl:Si030627m.g
Q8H3Q7	Ensembl:Si029691m.g Ensembl:Si029684m.g
Q8H4L3	Ensembl:Si009991m.g Ensembl:Si010275m.g Ensembl:Si009992m.g
Q8H530	Ensembl:Si029993m.g
Q8H539	Ensembl:Si030772m.g Ensembl:Si030771m.g Ensembl:Si030766m.g
Q8H7S6	Ensembl:Si034211m.g
Q8H7T7	Ensembl:Si035973m.g Ensembl:Si036293m.g
Q8H825	Ensembl:Si036632m.g
Q8H8U0	Ensembl:Si035919m.g
Q8H930	Ensembl:Si029946m.g
Q8LGW5	Ensembl:Si028927m.g
Q8LGZ9	Ensembl:Si020696m.g
Q8LHD1	Ensembl:Si039681m.g
Q8LI89	Ensembl:Si029058m.g
Q8LIG8	Ensembl:Si031131m.g
Q8LIY8	Ensembl:Si004644m.g
Q8LJJ2	Ensembl:Si000999m.g
Q8LM92	Ensembl:Si035935m.g
Q8LMW8	Ensembl:Si037738m.g
Q8LN68	Ensembl:Si038692m.g
Q8LNU2	Ensembl:Si034208m.g
Q8LR33	Ensembl:Si002133m.g
Q8LR75	Ensembl:Si002630m.g
Q8LRA0	Ensembl:Si001050m.g Ensembl:Si001087m.g
Q8RU95	Ensembl:Si000889m.g
Q8RV34	Ensembl:Si025052m.g
Q8RYL0	Ensembl:Si001208m.g
Q8RYY6	Ensembl:Si000781m.g
Q8RZZ3	Ensembl:Si002371m.g
Q8S2E5	Ensembl:Si001685m.g
Q8S2G0	Ensembl:Si001697m.g
Q8S3R0	Ensembl:Si017744m.g
Q8S5M6	Ensembl:Si016471m.g Ensembl:Si011642m.g
Q8S5N2	Ensembl:Si039028m.g
Q8S5T1	Ensembl:Si035890m.g
Q8S601	Ensembl:Si029933m.g
Q8S7N5	Ensembl:Si035300m.g
Q8S919	Ensembl:Si007428m.g
Q8S920	Ensembl:Si003246m.g
Q8S983	Ensembl:Si021121m.g
Q8S985	Ensembl:Si021595m.g
Q8S9S4	Ensembl:Si001442m.g Ensembl:Si001453m.g
Q8S9Z2	Ensembl:Si001773m.g
Q8VWH2	Ensembl:Si007366m.g Ensembl:Si008120m.g Ensembl:Si008517m.g
Q8W1L6	Ensembl:Si017689m.g Ensembl:Si016347m.g
Q8W250	Ensembl:Si001299m.g
Q8W3J0	Ensembl:Si036432m.g
Q8W3L9	Ensembl:Si029213m.g
Q8W3M0	Ensembl:Si034616m.g
Q8W5G9	Ensembl:Si035940m.g
Q93VC3	Ensembl:Si019109m.g
Q93VD5	Ensembl:Si000867m.g Ensembl:Si004869m.g Ensembl:Si026246m.g
Q93WI9	Ensembl:Si007366m.g Ensembl:Si008120m.g Ensembl:Si008517m.g
Q93X08	Ensembl:Si029679m.g
Q93XI4	Ensembl:Si017557m.g
Q93Y73	Ensembl:Si038818m.g
Q941T9	Ensembl:Si001333m.g Ensembl:Si010432m.g
Q941W8	Ensembl:Si004684m.g
Q943R3	Ensembl:Si001447m.g
Q94E75	Ensembl:Si001574m.g Ensembl:Si029938m.g
Q94EE9	Ensembl:Si039999m.g Ensembl:Si039249m.g Ensembl:Si028355m.g Ensembl:Si035134m.g
Q94GF1	Ensembl:Si034864m.g
Q94HG3	Ensembl:Si034817m.g
Q94HG6	Ensembl:Si036540m.g
Q94IW5	Ensembl:Si001130m.g
Q94J08	Ensembl:Si002364m.g
Q94J90	Ensembl:Si000990m.g
Q94JA2	Ensembl:Si002110m.g
Q94JJ0	Ensembl:Si001803m.g
Q94LU9	Ensembl:Si034372m.g
Q94LV4	Ensembl:Si035936m.g
Q9ASD3	Ensembl:Si002730m.g
Q9ASK5	Ensembl:Si001588m.g
Q9ASP4	Ensembl:Si001653m.g
Q9AUQ4	Ensembl:Si034613m.g
Q9AUV6	Ensembl:Si035448m.g Ensembl:Si013662m.g
Q9AV47	Ensembl:Si034525m.g
Q9AV71	Ensembl:Si034020m.g
Q9AWL7	Ensembl:Si000107m.g
Q9FDY4	Ensembl:Si000814m.g
Q9FE35	Ensembl:Si002019m.g
Q9FTN5	Ensembl:Si002335m.g Ensembl:Si002414m.g Ensembl:Si004534m.g Ensembl:Si002347m.g Ensembl:Si002006m.g
Q9FTN6	Ensembl:Si002335m.g Ensembl:Si002414m.g Ensembl:Si004534m.g Ensembl:Si002347m.g Ensembl:Si002006m.g
Q9FTR6	Ensembl:Si001484m.g
Q9FTZ2	Ensembl:Si002887m.g
Q9FU17	Ensembl:Si001369m.g
Q9FU67	Ensembl:Si001162m.g
Q9FU68	Ensembl:Si001162m.g
Q9FU69	Ensembl:Si001162m.g
Q9FWC1	Ensembl:Si034760m.g
Q9FWK4	Ensembl:Si038168m.g
Q9FWQ2	Ensembl:Si036153m.g
Q9LD61	Ensembl:Si015656m.g
Q9LDB7	Ensembl:Si007976m.g
Q9LG86	Ensembl:Si002618m.g
Q9LGL5	Ensembl:Si000757m.g
Q9LGU6	Ensembl:Si001401m.g
Q9LHZ0	Ensembl:Si006977m.g
Q9LHZ7	Ensembl:Si005721m.g
Q9LIZ8	Ensembl:Si000476m.g
Q9LWU9	Ensembl:Si008220m.g
Q9LWV3	Ensembl:Si007199m.g
Q9S7D3	Ensembl:Si013827m.g
Q9SDG5	Ensembl:Si001950m.g
Q9SE42	Ensembl:Si031033m.g
Q9SMB1	Ensembl:Si030459m.g
Q9SNK3	Ensembl:Si035707m.g
Q9SNN0	Ensembl:Si007956m.g
Q9XEA6	Ensembl:Si022552m.g
Q9XFE5	Ensembl:Si040766m.g
Q9XG80	Ensembl:Si018638m.g
Q9XHL5	Ensembl:Si013486m.g
Q9XJ03	Ensembl:Si006979m.g Ensembl:Si022881m.g
Q9XJ29	Ensembl:Si034777m.g
Q9ZTP5	Ensembl:Si036994m.g
UPI00000AA151	Ensembl:Si007976m.g
UPI0001C7A9C3	Ensembl:Si029013m.g
