A2XPN8	Ensembl:MLOC_15256
Q7G2H3	Ensembl:MLOC_15621
Q7G602	Ensembl:MLOC_17167
Q7G6M2	Ensembl:MLOC_22092
Q7G7J6	Ensembl:MLOC_67940
Q7X634	Ensembl:MLOC_67489 Ensembl:MLOC_11927
Q7X742	Ensembl:MLOC_60300
Q7X7A1	Ensembl:MLOC_52569
Q7X7N2	Ensembl:MLOC_65968
Q7X7X0	Ensembl:MLOC_10075
Q7X7X4	Ensembl:MLOC_40495 Ensembl:MLOC_1260 Ensembl:MLOC_25595
Q7X8A1	Ensembl:MLOC_44511
Q7X8V3	Ensembl:MLOC_19798 Ensembl:MLOC_477 Ensembl:MLOC_62322 Ensembl:MLOC_79728
Q7X993	Ensembl:MLOC_13431
Q7XAP2	Ensembl:MLOC_34756
Q7XBY6	Ensembl:MLOC_74443
Q7XC20	Ensembl:MLOC_57429
Q7XCK3	Ensembl:MLOC_74422
Q7XDE0	Ensembl:MLOC_20806
Q7XEZ6	Ensembl:MLOC_11970 Ensembl:MLOC_61774
Q7XGU4	Ensembl:MLOC_59603
Q7XH05	Ensembl:MLOC_74782 Ensembl:MLOC_7695
Q7XHL3	Ensembl:MLOC_77509
Q7XI35	Ensembl:MLOC_10905
Q7XI67	Ensembl:MLOC_10392
Q7XI92	Ensembl:MLOC_52092
Q7XK23	Ensembl:MLOC_43486
Q7XKH9	Ensembl:MLOC_54420
Q7XKI0	Ensembl:MLOC_54420
Q7XKQ8	Ensembl:MLOC_55798
Q7XM21	Ensembl:MLOC_64248
Q7XMA8	Ensembl:MLOC_5718
Q7XMU7	Ensembl:MLOC_45070
Q7XNX6	Ensembl:MLOC_36794 Ensembl:MLOC_10031
Q7XPB5	Ensembl:MLOC_67347
Q7XPR5	Ensembl:MLOC_11663
Q7XPW5	Ensembl:MLOC_44533
Q7XQ85	Ensembl:MLOC_5973
Q7XR60	Ensembl:MLOC_37710
Q7XR61	Ensembl:MLOC_37710
Q7XRA1	Ensembl:MLOC_58866
Q7XRT0	Ensembl:MLOC_59924
Q7XRX3	Ensembl:MLOC_65182
Q7XTB2	Ensembl:MLOC_5777
Q7XTE8	Ensembl:MLOC_56778
Q7XTH0	Ensembl:MLOC_54420
Q7XTK3	Ensembl:MLOC_74329
Q7XTU2	Ensembl:MLOC_64217
Q7XTX7	Ensembl:MLOC_67349
Q7XU28	Ensembl:MLOC_67360
Q7XUA8	Ensembl:MLOC_54194 Ensembl:MLOC_54858
Q7XUH5	Ensembl:MLOC_22948
Q7XUI7	Ensembl:MLOC_56120
Q7XUK6	Ensembl:MLOC_73265 Ensembl:MLOC_33074
Q7XUS2	Ensembl:MLOC_61502
Q7XV13	Ensembl:MLOC_69572
Q7XV42	Ensembl:MLOC_73380
Q7XVM2	Ensembl:MLOC_4487
Q7XVM8	Ensembl:MLOC_56088
Q7XWP9	Ensembl:MLOC_21709
Q7XX31	Ensembl:MLOC_81097
Q7XX32	Ensembl:MLOC_81097
Q7XYS3	Ensembl:MLOC_21933 Ensembl:MLOC_8106
Q7Y0B9	Ensembl:MLOC_22271
Q7Y0Y8	Ensembl:MLOC_10109
Q7Y152	Ensembl:MLOC_61231
Q7Y1I9	Ensembl:MLOC_59863 Ensembl:MLOC_12252
Q7Y1J1	Ensembl:MLOC_59863 Ensembl:MLOC_12252
Q84J55	Ensembl:MLOC_59363
Q84JH5	Ensembl:MLOC_70458
Q84JI0	Ensembl:MLOC_56081
Q84LK3	Ensembl:MLOC_1705
Q84M43	Ensembl:MLOC_61930
Q84NP3	Ensembl:MLOC_52158
Q84Q89	Ensembl:MLOC_13639
Q84QA7	Ensembl:MLOC_18524
Q84RS4	Ensembl:MLOC_13689
Q84RX6	Ensembl:MLOC_7849
Q84T92	Ensembl:MLOC_80571
Q84VC7	Ensembl:MLOC_43814
Q84VK7	Ensembl:MLOC_60963
Q84YK8	Ensembl:MLOC_67243
Q84ZN6	Ensembl:MLOC_55153
Q84ZY2	Ensembl:MLOC_20190
Q851L5	Ensembl:MLOC_14346
Q851Z6	Ensembl:MLOC_38862
Q852C2	Ensembl:MLOC_68219
Q852M1	Ensembl:MLOC_56074 Ensembl:MLOC_74782 Ensembl:MLOC_7695
Q852M2	Ensembl:MLOC_56074 Ensembl:MLOC_74782 Ensembl:MLOC_7695
Q852P4	Ensembl:MLOC_8289
Q852Q1	Ensembl:MLOC_68062 Ensembl:MLOC_75806
Q8GRS2	Ensembl:MLOC_59389
Q8GRU7	Ensembl:MLOC_20146
Q8GSI0	Ensembl:MLOC_59388
Q8GT01	Ensembl:MLOC_43555
Q8H016	Ensembl:MLOC_59034
Q8H038	Ensembl:MLOC_15348
Q8H051	Ensembl:MLOC_53568
Q8H075	Ensembl:MLOC_238
Q8H0A1	Ensembl:MLOC_23316
Q8H0B2	Ensembl:MLOC_67741
Q8H0B6	Ensembl:MLOC_60662
Q8H2J9	Ensembl:MLOC_34803
Q8H395	Ensembl:MLOC_12120
Q8H3A4	Ensembl:MLOC_56576
Q8H3C8	Ensembl:MLOC_37301
Q8H3C9	Ensembl:MLOC_43138
Q8H3Q7	Ensembl:MLOC_55107
Q8H4L3	Ensembl:MLOC_3110
Q8H530	Ensembl:MLOC_73067
Q8H539	Ensembl:MLOC_68045
Q8H7P5	Ensembl:MLOC_73542
Q8H7S6	Ensembl:MLOC_67
Q8H7T7	Ensembl:MLOC_72925
Q8H825	Ensembl:MLOC_37381
Q8H8U0	Ensembl:MLOC_36779
Q8H930	Ensembl:MLOC_5738
Q8LGW5	Ensembl:MLOC_77526
Q8LHD1	Ensembl:MLOC_57018
Q8LI89	Ensembl:MLOC_33401
Q8LIG8	Ensembl:MLOC_56953
Q8LIY8	Ensembl:MLOC_66551
Q8LJJ2	Ensembl:MLOC_57388
Q8LM92	Ensembl:MLOC_6177 Ensembl:MLOC_15252
Q8LMW8	Ensembl:MLOC_12581 Ensembl:MLOC_63125
Q8LNU2	Ensembl:MLOC_7478
Q8LR33	Ensembl:MLOC_58628
Q8RU95	Ensembl:MLOC_19
Q8RV06	Ensembl:MLOC_52070
Q8RV34	Ensembl:MLOC_36384
Q8RYY6	Ensembl:MLOC_54838
Q8S2E5	Ensembl:MLOC_15525
Q8S2G0	Ensembl:MLOC_55396
Q8S3R0	Ensembl:MLOC_4071
Q8S5T1	Ensembl:MLOC_32914
Q8S7N5	Ensembl:MLOC_62137
Q8S919	Ensembl:MLOC_41497
Q8S920	Ensembl:MLOC_50935
Q8S983	Ensembl:MLOC_55345
Q8S9S4	Ensembl:MLOC_51086
Q8S9Z2	Ensembl:MLOC_70800
Q8VWH2	Ensembl:MLOC_68576
Q8W0B6	Ensembl:MLOC_81146
Q8W1L6	Ensembl:MLOC_2513
Q8W250	Ensembl:MLOC_21379
Q8W3J0	Ensembl:MLOC_66511
Q8W3M0	Ensembl:MLOC_14619
Q93WI9	Ensembl:MLOC_68576
Q93X08	Ensembl:MLOC_13920
Q93XI4	Ensembl:MLOC_61790
Q93Y73	Ensembl:MLOC_52518
Q941T9	Ensembl:MLOC_12015
Q941W8	Ensembl:MLOC_65591
Q942X4	Ensembl:MLOC_7043
Q943R3	Ensembl:MLOC_36714
Q94E75	Ensembl:MLOC_6173
Q94EE9	Ensembl:MLOC_22092
Q94GF1	Ensembl:MLOC_10450
Q94IW5	Ensembl:MLOC_62829
Q94J90	Ensembl:MLOC_14107
Q94JA2	Ensembl:MLOC_65883 Ensembl:MLOC_59050
Q94JJ0	Ensembl:MLOC_39148
Q94LU9	Ensembl:MLOC_52004
Q94LV4	Ensembl:MLOC_67926
Q9ASK5	Ensembl:MLOC_62884
Q9ASP4	Ensembl:MLOC_10877
Q9AUQ4	Ensembl:MLOC_62030
Q9AUV6	Ensembl:MLOC_63077 Ensembl:MLOC_5287
Q9AV47	Ensembl:MLOC_64795
Q9AV71	Ensembl:MLOC_66568
Q9AWL7	Ensembl:MLOC_18291
Q9FDY4	Ensembl:MLOC_64922
Q9FTN5	Ensembl:MLOC_68567
Q9FTN6	Ensembl:MLOC_68567
Q9FTR6	Ensembl:MLOC_14802
Q9FTZ2	Ensembl:MLOC_64646
Q9FU17	Ensembl:MLOC_65908
Q9FU67	Ensembl:MLOC_55516 Ensembl:MLOC_55515
Q9FU68	Ensembl:MLOC_55516 Ensembl:MLOC_55515
Q9FU69	Ensembl:MLOC_55516 Ensembl:MLOC_55515
Q9FWC1	Ensembl:MLOC_11448
Q9FWK4	Ensembl:MLOC_15948
Q9LD61	Ensembl:MLOC_54648
Q9LDB7	Ensembl:MLOC_57135
Q9LG86	Ensembl:MLOC_56819
Q9LGL5	Ensembl:MLOC_7202 Ensembl:MLOC_15108
Q9LGU6	Ensembl:MLOC_80387
Q9LIZ8	Ensembl:MLOC_6843 Ensembl:MLOC_61627
Q9LWU9	Ensembl:MLOC_31327
Q9S7D3	Ensembl:MLOC_66305
Q9SDG5	Ensembl:MLOC_20759 Ensembl:MLOC_16373
Q9SE42	Ensembl:MLOC_56085
Q9SMB1	Ensembl:MLOC_66732
Q9SNK3	Ensembl:MLOC_52515
Q9SNN0	Ensembl:MLOC_39205
Q9SNQ6	Ensembl:MLOC_75281
Q9XEA6	Ensembl:MLOC_22001
Q9XG80	Ensembl:MLOC_17148
Q9XHL5	Ensembl:MLOC_64881
Q9XJ03	Ensembl:MLOC_55784
Q9XJ29	Ensembl:MLOC_36605
Q9ZTP5	Ensembl:MLOC_70184
UPI00000AA151	Ensembl:MLOC_57135
