Gene stable ID	Oryza rufipogon gene stable ID	%id. target Oryza rufipogon gene identical to query gene	%id. query gene identical to target Oryza rufipogon gene
Os01g0741200	ORUFI01G33440	100	59.9719
Os01g0741900	ORUFI01G33490	99.7015	99.7015
Os01g0742000	ORUFI01G33500	100	31.528
Os01g0742200	ORUFI01G33510	99.6368	99.6368
Os01g0742300	ORUFI01G33520	100	100
Os01g0742400	ORUFI01G33530	95.7786	95.5993
Os01g0742500	ORUFI01G33540	100	100
Os01g0743100	ORUFI01G33580	47.0726	53.1746
Os01g0743200	ORUFI01G33590	100	100
Os01g0743300	ORUFI01G33610	100	100
Os01g0743400	ORUFI01G33620	97.4937	95.8128
Os01g0743500	ORUFI01G33630	100	100
Os01g0743600	ORUFI01G33650	92.1495	98.7976
Os01g0743732	ORUFI11G02670	84.3137	9.75057
Os01g0743800	ORUFI01G33660	89.404	72.5806
Os01g0744000	ORUFI01G33680	97.7343	99.8947
Os01g0744200	ORUFI01G33690	99.5	99.5
Os01g0744300	ORUFI01G33700	99.8325	86.5022
Os01g0744400	ORUFI01G33710	99.1537	97.7747
Os01g0745000	ORUFI01G33720	99.4083	43.1877
Os01g0745700	ORUFI01G33750	98.9664	98.9664
Os01g0746200	ORUFI01G33770	99.7271	99.7271
Os01g0746400	ORUFI01G33780	99.8242	94.3522
Os01g0746700	ORUFI01G33790	99.5506	85.0288
Os01g0747400	ORUFI01G33830	99.2151	99.2151
Os01g0747500	ORUFI01G33840	100	100
Os01g0747600	ORUFI01G33850	99.2248	99.2248
Os01g0747700	ORUFI01G33860	57.0492	98.3051
Os01g0747800	ORUFI01G33870	100	100
Os01g0748000	ORUFI01G33890	99.5134	99.5134
Os01g0748150	ORUFI01G33900	98.7342	94.7368
Os01g0748200	ORUFI01G33910	84.7534	99.7361
Os01g0748300	ORUFI01G33920	75.4839	82.3944
Os01g0748500	ORUFI01G33940	100	88.3212
Os01g0748600	ORUFI01G33950	100	100
Os01g0748800	ORUFI01G33960	95.5556	47.7778
Os01g0748900	ORUFI01G33970	100	100
Os01g0748950	ORUFI01G33980	86.2543	100
Os01g0749000	ORUFI01G33990	99.6032	99.6032
Os01g0749100	ORUFI01G34000	99.3603	68.1287
Os01g0749300	ORUFI01G34020	98.8636	98.8636
Os01g0749400	ORUFI01G34030	99.6714	99.8902
Os01g0749900	ORUFI01G34060	90.8705	98.8453
Os01g0750000	ORUFI01G34070	100	100
Os01g0750100	ORUFI01G34080	99.0506	99.0506
Os01g0750300	ORUFI01G34090	100	100
Os01g0750400	ORUFI01G34100	100	58.6288
Os01g0750500	ORUFI01G34110	100	100
Os01g0750600	ORUFI01G34120	100	99.2722
Os01g0750800	ORUFI01G34130	100	78.022
Os01g0751300	ORUFI01G34180	77.8393	93.6667
Os01g0751400	ORUFI01G34190	100	100
Os01g0751600	ORUFI01G34200	99.7567	98.5577
Os01g0752100	ORUFI01G34210	99.5496	98.441
Os01g0752200	ORUFI01G34220	88.4319	97.4504
Os01g0752300	ORUFI01G34230	99.4382	99.4382
Os01g0752400	ORUFI01G34240	98.9418	77.9167
Os01g0752500	ORUFI01G34250	98.1132	87.7637
Os01g0752600	ORUFI01G34260	99.5789	99.5789
Os01g0752700	ORUFI01G34270	97.0282	99.5427
Os01g0752800	ORUFI01G34280	100	100
Os01g0753000	ORUFI01G34290	93.4457	89.5871
Os01g0753100	ORUFI01G34300	100	100
Os01g0753150	ORUFI01G34310	97.3822	90.2913
Os01g0753200	ORUFI01G34320	77.381	82.9787
Os01g0753300	ORUFI01G34330	99.4709	99.4709
Os01g0753500	ORUFI01G34340	93.5704	96.338
Os01g0753800	ORUFI01G34360	98.8439	98.8439
Os01g0754000	ORUFI01G34380	94.9495	64.3836
Os01g0754100	ORUFI01G34390	97.8571	85.0932
Os01g0754200	ORUFI01G34400	95.9777	97.7803
Os01g0754500	ORUFI01G34410	95.7912	99.3019
Os01g0754700	ORUFI01G34430	100	100
Os01g0754800	ORUFI01G34440	100	100
Os01g0755100	ORUFI01G34450	92.247	92.6121
Os01g0755500	ORUFI01G34460	99.3274	97.3626
Os01g0755700	ORUFI01G34470	99.5798	99.5798
Os01g0756000	ORUFI01G34480	90.9091	96.9388
Os01g0756101	ORUFI01G34490	44.5652	56.5517
Os01g0756200	ORUFI01G34500	100	100
Os01g0756300	ORUFI01G34510	99.4536	99.4536
Os01g0756600	ORUFI01G34540	34.5865	66.9903
Os01g0756700	ORUFI01G34550	97.6096	99.7963
Os01g0757200	ORUFI01G34600	100	100
Os01g0757400	ORUFI01G34620	99.7409	88.9146
Os01g0757500	ORUFI01G34630	100	100
Os01g0757600	ORUFI01G34640	90.681	53.4884
Os01g0757700	ORUFI01G34660	85.9155	62.0339
Os01g0757800	ORUFI01G34670	90.6542	91.7981
Os01g0757900	ORUFI01G34680	79.0816	41.4439
Os01g0758000	ORUFI01G34690	100	96.8354
Os01g0758200	ORUFI01G34710	96.2085	99.5098
Os01g0758300	ORUFI01G34720	99.8918	95.5487
Os01g0758400	ORUFI01G34730	83.9604	97.4713
Os01g0758500	ORUFI01G34750	100	100
Os01g0758900	ORUFI01G34810	99.4135	99.2679
Os01g0759000	ORUFI01G34820	97.7612	97.7612
Os01g0759100	ORUFI01G34830	100	99.729
Os01g0759200	ORUFI01G34860	98.3193	98.1132
Os01g0759400	ORUFI01G34870	99.4444	99.8141
Os01g0759700	ORUFI01G34890	100	98.4444
Os01g0759900	ORUFI01G34900	100	85.4962
Os01g0760300	ORUFI01G34920	100	82.4367
Os01g0760400	ORUFI01G34930	99.7006	99.7006
Os01g0760600	ORUFI01G34940	99.7826	99.7826
Os01g0760800	ORUFI07G12260	30.597	20.9184
Os01g0760900	ORUFI01G34960	97.6378	97.2549
Os01g0761000	ORUFI01G34970	99.3377	99.3377
Os01g0761100	ORUFI01G34980	99.5154	97.0079
Os01g0761300	ORUFI01G34990	83.1858	46.9218
Os01g0761400	ORUFI01G35000	97.561	94.4351
Os01g0761500	ORUFI01G35010	100	100
Os01g0761900	ORUFI01G35030	100	58.4229
Os01g0762000	ORUFI01G35040	99.8998	95.4981
Os01g0762400	ORUFI01G35050	96.3989	64.564
Os01g0762500	ORUFI01G35060	100	100
Os01g0762900	ORUFI01G35070	100	100
Os01g0763000	ORUFI01G35080	100	100
Os01g0763100	ORUFI01G35090	99.3827	99.3827
Os01g0763200	ORUFI01G35100	100	100
Os01g0763300	ORUFI01G35120	100	100
Os01g0763600	ORUFI01G35150	95.3964	59.9678
Os01g0763900	ORUFI01G35170	57.4879	70.4142
Os01g0764000	ORUFI01G35180	100	100
Os01g0764200	ORUFI01G35190	100	100
Os01g0764300	ORUFI01G35200	86.6492	85.7513
Os01g0764400	ORUFI01G35210	99.6805	99.6805
Os01g0764500	ORUFI08G04870	82.716	24.4526
Os01g0764600	ORUFI01G35240	100	87.9265
Os01g0764700	ORUFI01G35250	100	98.8889
Os01g0764800	ORUFI01G35260	100	100
Os01g0764950	ORUFI01G35270	99.5851	51.3369
Os01g0765000	ORUFI01G35290	44.3548	100
Os01g0765200	ORUFI01G35300	99.768	37.5218
Os01g0765300	ORUFI01G35300	100	52.1815
Os01g0765400	ORUFI01G35320	100	100
Os01g0765500	ORUFI01G35330	100	100
Os01g0765600	ORUFI01G35350	100	100
Os01g0765900	ORUFI01G35360	100	100
Os01g0766000	ORUFI01G35370	87.3626	98.5537
Os01g0766200	ORUFI01G35380	73.4426	100
Os01g0766300	ORUFI01G35390	100	100
Os01g0766400	ORUFI01G35410	100	100
Os01g0766600	ORUFI01G35420	100	100
Os01g0766900	ORUFI01G35440	100	24.9275
Os01g0767100	ORUFI01G35460	99.8066	93.9891
Os01g0767600	ORUFI01G35480	100	100
Os01g0767700	ORUFI01G35490	93.9493	91.046
Os01g0767900	ORUFI01G35500	99.8425	100
Os01g0768200	ORUFI01G35540	92.7273	48.3871
Os01g0768333	ORUFI01G35550	99.1803	99.1803
Os01g0768700	ORUFI01G35560	96.2567	24.4068
Os01g0769000	ORUFI01G35570	98.6403	95.6835
Os01g0769200	ORUFI01G35590	100	100
Os01g0769700	ORUFI01G35600	100	100
Os01g0769900	ORUFI01G35610	99.274	86.0063
Os01g0770100	ORUFI01G35620	83.6777	57.9399
Os01g0770200	ORUFI01G35630	100	100
Os01g0770400	ORUFI01G35640	22.7273	92.7835
Os01g0770500	ORUFI01G35650	92.674	96.9349
Os01g0770700	ORUFI01G35660	75.7764	38.0062
Os01g0771000	ORUFI01G35670	55.5066	100
Os01g0771100	ORUFI01G35680	100	100
Os01g0771200	ORUFI01G35690	99.4949	99.4949
Os01g0771300	ORUFI01G35700	74.1936	95.8333
Os01g0771400	ORUFI01G35710	86.2745	83.6502
Os01g0771900	ORUFI01G35750	80.9955	90.2521
Os01g0772000	ORUFI01G35760	95.4649	98.1352
Os01g0772100	ORUFI01G35770	100	100
Os01g0772150	ORUFI01G35780	68.6391	67.6385
Os01g0772200	ORUFI01G35790	90.9747	96.5517
Os01g0772400	ORUFI01G35800	100	100
Os01g0772500	ORUFI01G35810	99.7525	96.1814
Os01g0772600	ORUFI01G35820	100	100
Os01g0772700	ORUFI01G35830	80.0833	74.2658
Os01g0772800	ORUFI01G35840	100	100
Os01g0772900	ORUFI01G35850	100	91.8767
Os01g0773000	ORUFI01G35860	99.4429	52.193
Os01g0773100	ORUFI01G35870	96.0784	99.8544
Os01g0773200	ORUFI01G35880	90.5325	25
Os01g0773400	ORUFI01G35900	97.9253	96.3265
Os01g0773600	ORUFI01G35910	95.1754	98.19
Os01g0773700	ORUFI01G35920	100	100
Os01g0773800	ORUFI01G35930	98.366	98.0456
Os01g0774100	ORUFI01G35950	76.4151	33.0612
Os01g0774200	ORUFI01G35940	73.4767	11.1171
Os01g0774500	ORUFI01G35960	99.8035	99.8035
Os01g0775100	ORUFI01G35970	99.2434	87.2506
Os01g0775300	ORUFI01G35990	85.6485	98.8485
Os01g0775400	ORUFI01G36000	100	100
Os01g0775500	ORUFI01G36010	100	43.8994
Os01g0776400	ORUFI01G36030	100	100
Os01g0776500	ORUFI01G36040	99.729	78.6325
Os01g0776600	ORUFI01G36050	100	100
Os01g0776700	ORUFI01G36060	98	90.7407
Os01g0776800	ORUFI01G36070	100	100
Os01g0777000	ORUFI01G36080	99.2233	95.6034
Os01g0777200	ORUFI01G36090	100	98.6301
Os01g0777300	ORUFI01G36100	95.8134	100
Os01g0777400	ORUFI01G36120	58.0645	37.3057
Os01g0777600	ORUFI01G36120	58.0645	37.3057
Os01g0777800	ORUFI01G36130	98.5037	87.9733
Os01g0778100	ORUFI01G36150	91.3924	97.043
Os01g0778500	ORUFI01G36160	100	76.6234
Os01g0778700	ORUFI01G36170	99.0868	96.875
Os01g0778800	ORUFI01G36180	92.0863	99.8885
Os01g0779100	ORUFI01G36200	95.814	90.2519
Os01g0779201	ORUFI01G36190	100	95
Os01g0779300	ORUFI01G36210	100	100
Os01g0779400	ORUFI01G36220	99.8371	96.2323
Os01g0779800	ORUFI01G36240	100	100
Os01g0780400	ORUFI01G36260	96.778	81.6717
Os01g0780500	ORUFI01G36270	96.8531	95.5172
Os01g0780600	ORUFI01G36280	99.393	99.2424
Os01g0780800	ORUFI01G36290	100	100
Os01g0780900	ORUFI11G21850	49.5702	65.0376
Os01g0781000	ORUFI01G36300	100	100
Os01g0781100	ORUFI01G36310	59.9372	64.8258
Os01g0781200	ORUFI01G36320	88.5093	86.8902
Os01g0782200	ORUFI01G36330	91.1708	98.7526
Os01g0782500	ORUFI01G36340	99.7494	99.7494
Os01g0782800	ORUFI01G36350	99.8514	95.8631
Os01g0782901	ORUFI01G36370	92.2414	95.5357
Os01g0783000	ORUFI01G36380	94.5946	71.4286
Os01g0783100	ORUFI01G36390	99.1228	93.0041
Os01g0783200	ORUFI01G36400	99.7947	99.7947
Os01g0783400	ORUFI01G36420	92.6267	44.2731
Os01g0783500	ORUFI01G36430	80.5343	72.2603
Os01g0783600	ORUFI01G36440	99.4949	99.4949
Os01g0783700	ORUFI01G36450	100	100
Os01g0784200	ORUFI01G36480	99.7664	48.6056
Os01g0784600	ORUFI01G36490	89.8844	86.8715
Os01g0784700	ORUFI01G36500	99.6407	98.3452
Os01g0784800	ORUFI01G36510	100	100
Os01g0785400	ORUFI01G36550	100	100
Os01g0785600	ORUFI01G36560	98.3193	98.3193
Os01g0785700	ORUFI01G36570	99.7696	99.7696
Os01g0785900	ORUFI01G36580	100	99.182
Os01g0786500	ORUFI01G36620	91.1111	99.5951
Os01g0786700	ORUFI01G36630	100	100
Os01g0786800	ORUFI01G36640	100	88.9344
Os01g0786900	ORUFI01G36650	100	100
Os01g0787000	ORUFI07G17610	44.9405	44.6746
Os01g0787300	ORUFI01G36670	55.6886	24.933
Os01g0787400	ORUFI01G36680	84.3023	100
Os01g0787600	ORUFI01G36700	100	80.9231
Os01g0788400	ORUFI01G36740	100	100
Os01g0788500	ORUFI01G36750	100	100
Os01g0788700	ORUFI01G36770	100	100
Os01g0788800	ORUFI01G36780	99.5231	88.2934
Os01g0788900	ORUFI01G36790	100	100
Os01g0788950	ORUFI01G36800	100	100
Os01g0789000	ORUFI01G36810	96.1432	74.0977
Os01g0789100	ORUFI01G36820	96.0486	94.8949
Os01g0789200	ORUFI01G36830	98.9293	94.4785
Os01g0793100	ORUFI01G36840	92.6686	51.634
Os01g0793200	ORUFI01G36850	99.7436	99.7436
Os01g0793300	ORUFI01G36890	94.5687	51.4783
Os01g0793600	ORUFI01G36900	75.1773	19.4495
Os01g0793800	ORUFI01G36910	100	100
Os01g0793900	ORUFI01G36930	100	100
Os01g0794100	ORUFI01G36940	100	68.1614
Os01g0794400	ORUFI01G36960	97.2081	92.0673
Os01g0794500	ORUFI01G36970	92.1739	66.25
Os01g0794800	ORUFI01G36980	80.8684	92.5466
Os01g0795000	ORUFI01G37000	75.4076	80.786
Os01g0795300	ORUFI01G37020	13.913	10.8108
Os01g0795400	ORUFI01G37010	94.9333	23.5294
Os01g0795600	ORUFI01G37030	100	100
Os01g0795832	ORUFI01G37060	86.076	87.1795
Os01g0795900	ORUFI01G37070	86.4865	65.9794
Os01g0796400	ORUFI01G37090	95.3642	89.1641
Os01g0796500	ORUFI01G37100	97.0213	84.7584
Os01g0796700	ORUFI01G37110	73.0061	54.5872
Os01g0797600	ORUFI01G37120	100	100
Os01g0798500	ORUFI01G37210	90.0685	44.8805
Os01g0798800	ORUFI01G37240	100	100
Os01g0798900	ORUFI01G37250	99.4962	99.4962
Os01g0799000	ORUFI01G37260	51.9936	98.1928
Os01g0799100	ORUFI01G37280	77.9919	95.7659
Os01g0799500	ORUFI01G37290	99.7442	99.7442
Os01g0799900	ORUFI01G37300	99.7602	99.7602
Os01g0800000	ORUFI01G37310	72.2892	71.4286
Os01g0800101	ORUFI01G37320	98.5507	98.5507
Os01g0800266	ORUFI01G37340	89.557	63.029
Os01g0800300	ORUFI01G37350	100	100
Os01g0800400	ORUFI01G37360	100	100
Os01g0800500	ORUFI01G37370	99.8413	99.8413
Os01g0800600	ORUFI01G37380	81.5603	93.4959
Os01g0800900	ORUFI01G37400	100	49.4662
Os01g0801000	ORUFI01G37410	82.7655	52.1465
Os01g0801200	ORUFI01G37420	100	100
Os01g0801500	ORUFI01G37430	99.7033	99.7033
Os01g0801600	ORUFI01G37440	99.7859	73.6177
Os01g0801700	ORUFI01G37450	100	100
Os01g0801901	ORUFI01G37470	68.3036	93.865
Os01g0802000	ORUFI01G37480	99.0881	99.0881
Os01g0802100	ORUFI01G37490	100	100
Os01g0802200	ORUFI01G37500	100	100
Os01g0802600	ORUFI01G37510	100	100
Os01g0802700	ORUFI01G37520	99.2958	99.2958
Os01g0802850	ORUFI01G37530	99.446	99.446
Os01g0803200	ORUFI01G37550	100	100
Os01g0803300	ORUFI01G37560	100	83.1658
Os01g0804400	ORUFI01G37620	91.3894	100
Os01g0804900	ORUFI01G37590	38.4058	31.7365
Os01g0804900	ORUFI01G37600	27.8986	71.2963
Os01g0804900	ORUFI10G16170	15.5797	16.3498
Os01g0805000	ORUFI01G37650	79.0419	100
Os01g0805200	ORUFI01G37670	96.6507	76.2264
Os01g0805400	ORUFI01G37660	99.3617	61.8543
Os01g0805500	ORUFI01G37680	96.8825	83.8174
Os01g0805600	ORUFI01G37690	100	71.2695
Os01g0805700	ORUFI01G37700	99.7972	99.7972
Os01g0805800	ORUFI01G37710	100	100
Os01g0805900	ORUFI01G37720	100	100
Os01g0806000	ORUFI01G37730	77.5281	65.7143
Os01g0806200	ORUFI01G37740	99.2974	76.1221
Os01g0806400	ORUFI01G37750	99.3266	75.0636
Os01g0807900	ORUFI01G37790	100	100
Os01g0808100	ORUFI01G37800	95.6044	73.7288
Os01g0808400	ORUFI01G37820	94.9515	94.5841
Os01g0808900	ORUFI01G37830	100	100
Os01g0809000	ORUFI01G37840	66.4773	99.1525
Os01g0809300	ORUFI01G37860	100	54.3367
Os01g0809900	ORUFI01G37910	100	100
Os01g0810100	ORUFI01G37920	99.2495	64.4336
Os01g0810200	ORUFI01G37930	98.2301	96.1039
Os01g0810866	ORUFI01G37960	65.5172	51.8182
Os01g0811001	ORUFI01G37940	93.5897	14.2857
Os01g0811100	ORUFI01G37970	100	100
Os01g0811300	ORUFI01G37990	100	100
Os01g0811400	ORUFI01G38000	96.3964	41.6342
Os01g0812000	ORUFI01G38020	87.3418	100
Os01g0812050	ORUFI01G38030	98.9781	99.7793
Os01g0812100	ORUFI01G38040	68.2997	100
Os01g0812200	ORUFI01G38050	100	100
Os01g0812600	ORUFI01G38080	97.1564	89.1304
Os01g0812800	ORUFI01G38090	100	100
Os01g0812900	ORUFI01G38100	100	100
Os01g0813100	ORUFI01G38120	91.6185	92.1512
Os01g0813300	ORUFI01G38130	97.6378	29.0398
Os01g0813400	ORUFI01G38140	100	96.7914
Os01g0813500	ORUFI01G38150	100	100
Os01g0813900	ORUFI01G38170	99.3758	99.3758
Os01g0814000	ORUFI01G38180	99.0619	99.435
Os01g0814100	ORUFI01G38190	99.4652	99.4652
Os01g0814150	ORUFI01G38200	87.7863	97.4576
Os01g0814200	ORUFI01G38210	96.7509	51.938
Os01g0814300	ORUFI01G38220	99.6689	98.6885
Os01g0814400	ORUFI01G38230	79.7414	92.2693
Os01g0814700	ORUFI01G38240	98.4127	73.8095
Os01g0814800	ORUFI01G38250	99.4898	97.2569
Os01g0814900	ORUFI01G38260	99.6416	99.6416
Os01g0815100	ORUFI01G38270	51.2941	100
Os01g0815400	ORUFI01G38280	100	100
Os01g0815700	ORUFI01G38290	96.2105	81.3891
Os01g0816000	ORUFI01G38310	98.8679	99.2424
Os01g0816100	ORUFI01G38320	99.3711	100
Os01g0816400	ORUFI01G38330	95.6935	99.7911
Os01g0816500	ORUFI01G38340	91.4286	55.7214
Os01g0816600	ORUFI01G38360	89.6257	88.8653
Os01g0816700	ORUFI01G38370	100	100
Os01g0817000	ORUFI01G38380	100	100
Os01g0817100	ORUFI01G38390	99.6154	81.7035
Os01g0817400	ORUFI01G38400	88.0928	99.7714
Os01g0817650	ORUFI01G38420	100	100
Os01g0817700	ORUFI01G38440	100	100
Os01g0817800	ORUFI01G38450	99.1189	97.1922
Os01g0818000	ORUFI01G38460	98.8426	100
Os01g0818100	ORUFI01G38470	100	100
Os01g0818200	ORUFI01G38480	100	100
Os01g0818300	ORUFI01G38490	100	97.2509
Os01g0818400	ORUFI01G38500	100	50.9542
Os01g0818600	ORUFI01G38510	93.0189	56.1503
Os01g0818700	ORUFI01G38510	71.9258	35.3075
Os01g0819000	ORUFI01G38540	100	100
Os01g0819100	ORUFI01G38550	100	56.3579
Os01g0819400	ORUFI01G38570	71.519	100
Os01g0819700	ORUFI01G38590	100	80.2998
Os01g0819800	ORUFI01G38600	100	100
Os01g0819900	ORUFI01G38610	100	100
Os01g0820000	ORUFI01G38620	47.1471	32.6403
Os01g0820050	ORUFI02G16700	30	44.6429
Os01g0820400	ORUFI01G38630	100	100
Os01g0820700	ORUFI01G38660	100	100
Os01g0821300	ORUFI01G38680	100	52.7933
Os01g0821600	ORUFI01G38690	100	100
Os01g0821700	ORUFI01G38700	98.4756	95.2802
Os01g0821800	ORUFI01G38710	100	100
Os01g0821900	ORUFI01G38720	99.7419	81.6262
Os01g0822200	ORUFI01G38760	99.8155	100
Os01g0822800	ORUFI01G38800	63.4615	100
Os01g0822900	ORUFI01G38810	100	100
Os01g0823100	ORUFI01G38830	100	100
Os01g0823200	ORUFI01G38840	87.9121	38.9294
Os01g0823300	ORUFI01G38850	100	100
Os01g0823400	ORUFI01G38860	100	100
Os01g0823500	ORUFI01G38870	99.7361	99.7361
Os01g0823600	ORUFI01G38880	99.4118	99.4118
Os01g0823900	ORUFI01G38890	100	100
Os01g0824500	ORUFI01G38980	91.9708	91.3043
Os01g0824600	ORUFI01G38990	98.6056	57.2254
Os01g0824700	ORUFI01G39000	89.9425	74.1706
Os01g0824800	ORUFI01G39010	97.25	96.0494
Os01g0824900	ORUFI01G39020	98.6607	98.6607
Os01g0825000	ORUFI01G39050	100	100
Os01g0825500	ORUFI01G39060	100	100
Os01g0825800	ORUFI01G39090	82.4561	38.2114
Os01g0825900	ORUFI01G39100	83.619	72.9236
Os01g0826400	ORUFI01G39110	99.4595	99.4595
Os01g0826900	ORUFI01G39140	99.5984	53.874
Os01g0827300	ORUFI01G39150	100	100
Os01g0827400	ORUFI01G39160	98.6207	64.4144
Os01g0827500	ORUFI01G39170	99.8466	95.1754
Os01g0827700	ORUFI01G39180	98.8571	98.8571
Os01g0827800	ORUFI01G39190	81.25	100
Os01g0828100	ORUFI01G39200	97.8448	60.8579
Os01g0828200	ORUFI01G39210	73.5537	84.7619
Os01g0828300	ORUFI01G39220	98.368	100
Os01g0828900	ORUFI01G39240	99.5283	99.5283
Os01g0829000	ORUFI01G39250	100	95.4819
Os01g0829100	ORUFI01G39260	99.5305	99.5305
Os01g0829266	ORUFI01G39270	74.6988	61.3861
Os01g0829500	ORUFI01G39300	92.0635	55.7692
Os01g0829600	ORUFI01G39310	97.7215	100
Os01g0829800	ORUFI01G39320	98.9899	99.2405
Os01g0829900	ORUFI01G39330	99.4109	94.2737
Os01g0830000	ORUFI01G39340	99.8162	99.8162
Os01g0830100	ORUFI01G39350	97.1491	90.0406
Os01g0830200	ORUFI01G39360	99.8217	99.8217
Os01g0830500	ORUFI01G39380	100	100
Os01g0830700	ORUFI01G39390	99.6169	95.064
Os01g0830900	ORUFI01G39400	100	100
Os01g0831000	ORUFI01G39410	99.5349	95.9641
Os01g0831200	ORUFI01G39420	99.6183	99.6183
Os01g0831300	ORUFI01G39430	99.5434	43.8632
Os01g0831800	ORUFI01G39450	95.6679	69.9208
Os01g0831900	ORUFI01G39460	99.2016	100
Os01g0832000	ORUFI01G39470	63.4146	59.542
Os01g0832100	ORUFI01G39480	99.4505	99.4505
Os01g0832200	ORUFI01G39490	100	100
Os01g0832300	ORUFI01G39500	99.8185	99.8185
Os01g0832600	ORUFI01G39510	100	100
Os01g0832900	ORUFI01G39520	99.8628	90.5473
Os01g0833000	ORUFI01G39530	99.6992	99.6992
Os01g0833100	ORUFI01G39540	99.359	99.359
Os01g0833150	ORUFI01G39550	63.0137	28.3951
Os01g0833400	ORUFI01G39560	100	100
Os01g0833500	ORUFI01G39570	92.511	91.3043
Os01g0833600	ORUFI01G39580	80	46.5116
Os01g0833700	ORUFI01G39590	93.8224	93.6416
Os01g0833800	ORUFI01G39600	93.6	92.8571
Os01g0834100	ORUFI01G39620	100	69.0522
Os01g0834200	ORUFI01G39630	100	100
Os01g0834400	ORUFI01G39650	95.5056	98.8372
Os01g0834500	ORUFI01G39660	100	45.5128
Os01g0834700	ORUFI01G39670	96.4481	100
Os01g0834800	ORUFI01G39680	54.4828	100
Os01g0834900	ORUFI01G39690	56.9231	31.8966
Os01g0835000	ORUFI01G39700	100	100
Os01g0835500	ORUFI01G39720	100	100
Os01g0835600	ORUFI01G39730	100	100
Os01g0835700	ORUFI01G39740	100	100
Os01g0835800	ORUFI01G39750	97.0238	96.4497
Os01g0836400	ORUFI01G39780	96.9365	89.0452
Os01g0836600	ORUFI01G39790	97.8638	98.7871
Os01g0836700	ORUFI01G39800	99.2727	83.4862
Os01g0836800	ORUFI01G39810	99.7773	99.7773
Os01g0836900	ORUFI01G39820	100	100
Os01g0837000	ORUFI01G39830	99.1007	94.5111
Os01g0837100	ORUFI01G39840	71.1864	80.3279
Os01g0837200	ORUFI01G39860	100	44.2379
Os01g0837500	ORUFI01G39890	92.3077	100
Os01g0837600	ORUFI01G39910	100	100
Os01g0837700	ORUFI01G39920	99.0476	99.0476
Os01g0837800	ORUFI01G39930	99.759	99.759
Os01g0837900	ORUFI01G39940	90.3226	96.7901
Os01g0838200	ORUFI01G39970	100	100
Os01g0838600	ORUFI01G40000	100	100
Os01g0838800	ORUFI01G40010	100	63.2143
Os01g0839200	ORUFI09G15590	99.5134	98.7923
Os01g0839300	ORUFI09G15580	100	100
Os01g0839400	ORUFI09G15570	99.3421	99.3421
Os01g0839500	ORUFI09G15560	100	100
Os01g0839700	ORUFI09G15550	100	100
Os01g0839900	ORUFI09G15540	100	100
Os01g0840100	ORUFI09G15530	99.6914	99.6914
Os01g0840200	ORUFI09G15520	100	100
Os01g0840300	ORUFI09G15510	100	20.7668
Os01g0841000	ORUFI01G40060	99.2537	99.2537
Os01g0841100	ORUFI01G40100	92.0375	97.5186
Os01g0841200	ORUFI01G40110	100	66.1458
Os01g0841400	ORUFI01G40120	52.7778	31.9328
Os01g0841450	ORUFI08G17570	78.125	83.3333
Os01g0841500	ORUFI01G40130	94.7189	96.6957
Os01g0841600	ORUFI01G40140	99.6078	99.6078
Os01g0841700	ORUFI01G40150	100	98.1132
Os01g0841800	ORUFI01G40160	96.3504	65.9176
Os01g0842200	ORUFI01G40180	100	100
Os01g0842400	ORUFI01G40190	99.6546	100
Os01g0842500	ORUFI01G40200	99.6534	99.6534
Os01g0842600	ORUFI01G40210	99.8753	99.8753
Os01g0842801	ORUFI01G40230	93.8462	95.8115
Os01g0843300	ORUFI01G40280	89.7858	91.443
Os01g0843700	ORUFI01G40290	100	23.6041
Os01g0843800	ORUFI01G40310	78.4615	70.2238
Os01g0844200	ORUFI01G40320	68.4211	67.5325
Os01g0844300	ORUFI01G40330	100	100
Os01g0844400	ORUFI01G40340	84.1549	80.2013
Os01g0844500	ORUFI01G40350	98.4375	99.7738
Os01g0844700	ORUFI01G40360	77.4468	97.3262
Os01g0844800	ORUFI01G40370	99.9057	99.9057
Os01g0844900	ORUFI01G40390	100	81.7164
Os01g0845100	ORUFI01G40400	98.3333	62.6327
Os01g0846150	ORUFI05G20270	63.4783	56.5891
Os01g0846300	ORUFI01G40440	100	100
Os01g0846450	ORUFI01G40450	93.6893	31.0289
Os01g0846500	ORUFI01G40460	93.1758	73.3471
Os01g0846600	ORUFI01G40470	100	100
Os01g0846800	ORUFI01G40480	84.8649	32.1721
Os01g0846900	ORUFI01G40490	91.5129	89.2086
Os01g0847100	ORUFI01G40500	100	100
Os01g0847200	ORUFI01G40510	89.7507	99.6923
Os01g0847300	ORUFI01G40520	100	100
Os01g0847700	ORUFI01G40540	99.6785	99.6785
Os01g0847800	ORUFI01G40550	90.4605	88.7097
Os01g0847900	ORUFI01G40560	84.689	67.0455
Os01g0848200	ORUFI01G40570	93.4694	98.1429
Os01g0848300	ORUFI01G40580	100	100
Os01g0848400	ORUFI01G40590	99.8366	99.8366
Os01g0848550	ORUFI01G40600	100	100
Os01g0848700	ORUFI01G40610	100	100
Os01g0848900	ORUFI01G40620	75	75
Os01g0849000	ORUFI01G40630	78.3217	94.9153
Os01g0849100	ORUFI01G40640	99.8168	99.8168
Os01g0849500	ORUFI01G40650	100	100
Os01g0849600	ORUFI01G40660	100	91.0112
