Gene stable ID	Oryza sativa Indica gene stable ID	%id. target Oryza sativa Indica gene identical to query gene	%id. query gene identical to target Oryza sativa Indica gene
Os01g0743732	BGIOSGA033801	90.1961	18.5484
Os01g0743800	BGIOSGA004442	90.7285	41.7683
Os01g0744000	BGIOSGA004444	96.2925	99.6802
Os01g0744200	BGIOSGA004445	91	98.913
Os01g0744300	BGIOSGA000844	99.8325	88.8227
Os01g0744400	BGIOSGA000843	91.2553	99.8457
Os01g0744700	BGIOSGA000842	85.1613	87.4172
Os01g0745000	BGIOSGA000841	97.6331	89.6739
Os01g0745700	BGIOSGA000840	99.4832	99.4832
Os01g0746200	BGIOSGA004448	87.9945	99.3837
Os01g0746400	BGIOSGA000839	99.8242	99.8242
Os01g0746700	BGIOSGA000837	99.3258	99.3258
Os01g0747400	BGIOSGA000836	99.3721	99.3721
Os01g0747500	BGIOSGA004451	88.4236	100
Os01g0747600	BGIOSGA000835	99.4832	99.4832
Os01g0747700	BGIOSGA004452	99.3443	99.3443
Os01g0747800	BGIOSGA000834	34.1991	85.8696
Os01g0748000	BGIOSGA000833	99.7567	99.7567
Os01g0748150	BGIOSGA000832	85.2321	55.9557
Os01g0748200	BGIOSGA000831	84.5291	99.4723
Os01g0748300	BGIOSGA000830	75.4839	82.3944
Os01g0748500	BGIOSGA004453	100	100
Os01g0748600	BGIOSGA000828	82.4786	100
Os01g0748800	BGIOSGA004454	96.6667	48.3333
Os01g0748950	BGIOSGA004455	98.9691	48.731
Os01g0749000	BGIOSGA004456	100	100
Os01g0749100	BGIOSGA004457	99.3603	99.3603
Os01g0749200	BGIOSGA004458	100	100
Os01g0749300	BGIOSGA004459	99.7727	99.7727
Os01g0749400	BGIOSGA000827	99.8905	99.7812
Os01g0749900	BGIOSGA004461	99.7877	99.7877
Os01g0750000	BGIOSGA004462	100	100
Os01g0750100	BGIOSGA000826	99.3671	99.3671
Os01g0750300	BGIOSGA004463	99.7978	99.7978
Os01g0750400	BGIOSGA000825	98.7903	46.7557
Os01g0750500	BGIOSGA000824	97.2093	71.0884
Os01g0750600	BGIOSGA000823	99.8534	99.8534
Os01g0750800	BGIOSGA000822	100	100
Os01g0750900	BGIOSGA004465	100	100
Os01g0751300	BGIOSGA004467	97.2299	90.4639
Os01g0751400	BGIOSGA004468	100	100
Os01g0751600	BGIOSGA000821	99.5134	99.5134
Os01g0752100	BGIOSGA004469	99.7748	99.7748
Os01g0752200	BGIOSGA000820	99.7429	97.733
Os01g0752300	BGIOSGA000819	100	100
Os01g0752400	BGIOSGA000818	78.836	73.7624
Os01g0752500	BGIOSGA004470	98.5849	98.5849
Os01g0752600	BGIOSGA000817	99.5789	99.5789
Os01g0752700	BGIOSGA004471	95.8395	97.1386
Os01g0752800	BGIOSGA000816	100	100
Os01g0753000	BGIOSGA000815	86.7041	85.4244
Os01g0753100	BGIOSGA004472	100	100
Os01g0753150	BGIOSGA000814	96.8586	89.8058
Os01g0753200	BGIOSGA000813	76.5873	82.1277
Os01g0753500	BGIOSGA000812	91.3817	99.1098
Os01g0753800	BGIOSGA004477	97.9769	97.9769
Os01g0754000	BGIOSGA004478	91.9192	67.4074
Os01g0754100	BGIOSGA000811	97.8571	97.8571
Os01g0754200	BGIOSGA000810	66.2011	98.1773
Os01g0754500	BGIOSGA000809	98.1481	97.9832
Os01g0754700	BGIOSGA000807	100	100
Os01g0754800	BGIOSGA000806	100	100
Os01g0755100	BGIOSGA000805	86.728	93.75
Os01g0755500	BGIOSGA004479	60.0897	99.2593
Os01g0755700	BGIOSGA004480	99.5798	99.5798
Os01g0756000	BGIOSGA000804	95.3748	98.1938
Os01g0756101	BGIOSGA000803	27.1739	30.4878
Os01g0756200	BGIOSGA004481	100	100
Os01g0756300	BGIOSGA000802	100	100
Os01g0756600	BGIOSGA004482	99.4987	72.0508
Os01g0756700	BGIOSGA004483	99.8008	99.8008
Os01g0756900	BGIOSGA004484	55.5556	100
Os01g0757200	BGIOSGA004485	99.6942	99.6942
Os01g0757400	BGIOSGA004486	99.7409	82.265
Os01g0757500	BGIOSGA000799	97.7876	97.7876
Os01g0757600	BGIOSGA000798	73.1183	49.3947
Os01g0757700	BGIOSGA000797	85.446	61.6949
Os01g0757800	BGIOSGA004487	63.8629	82.3293
Os01g0757900	BGIOSGA000796	79.0816	46.4072
Os01g0758000	BGIOSGA000795	98.0392	96.7742
Os01g0758200	BGIOSGA000793	96.2085	99.5098
Os01g0758300	BGIOSGA000792	79.6537	98.3957
Os01g0758400	BGIOSGA000791	85.5446	88.1633
Os01g0758500	BGIOSGA000790	83.5897	84.456
Os01g0758900	BGIOSGA004488	99.5601	99.5601
Os01g0759000	BGIOSGA004489	97.7612	97.7612
Os01g0759100	BGIOSGA000789	86.1413	97.2393
Os01g0759200	BGIOSGA000785	79.8319	99.2167
Os01g0759200	BGIOSGA000787	98.7395	99.1561
Os01g0759400	BGIOSGA000786	83.3333	99.1189
Os01g0759700	BGIOSGA004491	99.0971	99.0971
Os01g0759900	BGIOSGA004492	90.625	81.6901
Os01g0760300	BGIOSGA004494	99.8081	82.1485
Os01g0760400	BGIOSGA000784	99.8004	99.8004
Os01g0760600	BGIOSGA000783	88.4783	100
Os01g0760800	BGIOSGA024401	22.3881	16.3934
Os01g0760900	BGIOSGA000781	75.9843	86.9369
Os01g0761000	BGIOSGA004496	99.3377	99.3377
Os01g0761100	BGIOSGA000780	91.9225	98.7847
Os01g0761300	BGIOSGA004497	99.41	50.753
Os01g0761400	BGIOSGA000779	98.9547	98.9547
Os01g0761500	BGIOSGA000778	99.1525	100
Os01g0761900	BGIOSGA004499	94.4785	37.931
Os01g0762000	BGIOSGA000776	86.8737	94.6507
Os01g0762300	BGIOSGA000775	96.124	87.3239
Os01g0762400	BGIOSGA000774	95.5679	99.4236
Os01g0762500	BGIOSGA004500	99.3988	99.3988
Os01g0762900	BGIOSGA000773	83.7838	56.7073
Os01g0763000	BGIOSGA000772	100	100
Os01g0763100	BGIOSGA004502	91.358	90.5199
Os01g0763200	BGIOSGA000770	100	100
Os01g0763300	BGIOSGA000769	55.4745	100
Os01g0763300	BGIOSGA000771	55.4745	100
Os01g0763600	BGIOSGA004504	96.1637	69.6296
Os01g0763750	BGIOSGA004505	99.6678	99.6678
Os01g0763900	BGIOSGA000767	57.4879	70.4142
Os01g0764000	BGIOSGA000766	100	100
Os01g0764200	BGIOSGA004506	98.3051	98.3051
Os01g0764300	BGIOSGA004507	99.7382	99.7382
Os01g0764400	BGIOSGA000765	99.6805	99.6805
Os01g0764500	BGIOSGA028069	86.4198	25.4545
Os01g0764600	BGIOSGA000763	99.7015	99.7015
Os01g0764700	BGIOSGA004508	99.4382	98.3333
Os01g0764800	BGIOSGA004510	100	100
Os01g0764900	BGIOSGA000762	61.674	80.6916
Os01g0764950	BGIOSGA000760	99.3776	52.2926
Os01g0765000	BGIOSGA000759	98.7903	90.0735
Os01g0765200	BGIOSGA004511	99.768	42.3645
Os01g0765300	BGIOSGA004511	67.5585	39.803
Os01g0765400	BGIOSGA000758	99.5134	99.5134
Os01g0765500	BGIOSGA000757	99.5763	99.5763
Os01g0765500	BGIOSGA000761	89.548	99.373
Os01g0765600	BGIOSGA000756	98.6364	96.4444
Os01g0765900	BGIOSGA004512	46.1972	99.3939
Os01g0766000	BGIOSGA000755	86.9963	99.5807
Os01g0766200	BGIOSGA000754	73.1148	99.5536
Os01g0766300	BGIOSGA000753	98.9011	98.9011
Os01g0766400	BGIOSGA004513	100	100
Os01g0766600	BGIOSGA004514	40.3023	53.5117
Os01g0766900	BGIOSGA000752	100	27.345
Os01g0767100	BGIOSGA000750	99.8066	93.9891
Os01g0767600	BGIOSGA004520	100	93.9866
Os01g0767700	BGIOSGA004521	97.7105	93.5787
Os01g0767900	BGIOSGA004522	88.5039	98.9437
Os01g0768100	BGIOSGA000748	98.1366	98.1366
Os01g0768200	BGIOSGA000747	100	42.3077
Os01g0768600	BGIOSGA007451	31.3539	39.6396
Os01g0768600	BGIOSGA016148	26.3658	28.3163
Os01g0768700	BGIOSGA004523	96.2567	24.8791
Os01g0769000	BGIOSGA004524	99.5056	97.3398
Os01g0769200	BGIOSGA004526	99.4111	99.4111
Os01g0769700	BGIOSGA004527	95.8705	100
Os01g0769900	BGIOSGA004528	100	100
Os01g0770000	BGIOSGA000746	99.6139	99.6139
Os01g0770100	BGIOSGA000745	93.8017	89.5463
Os01g0770200	BGIOSGA000740	21.2008	100
Os01g0770200	BGIOSGA000744	95.8724	99.2233
Os01g0770400	BGIOSGA000743	99.7475	99.7475
Os01g0770500	BGIOSGA000742	99.6337	99.6337
Os01g0770700	BGIOSGA004529	100	100
Os01g0770800	BGIOSGA004530	98.6667	98.6667
Os01g0771000	BGIOSGA000741	100	100
Os01g0771100	BGIOSGA000739	100	100
Os01g0771200	BGIOSGA004531	98.9899	98.9899
Os01g0771400	BGIOSGA000738	85.6863	81.3023
Os01g0771900	BGIOSGA000737	97.8884	63.0097
Os01g0772100	BGIOSGA000736	98.3673	98.3673
Os01g0772150	BGIOSGA000735	55.3254	100
Os01g0772200	BGIOSGA000734	90.9747	96.5517
Os01g0772400	BGIOSGA004532	99.6109	99.6109
Os01g0772500	BGIOSGA000733	100	100
Os01g0772600	BGIOSGA004533	92.2636	99.5363
Os01g0772700	BGIOSGA004534	91.4167	74.4233
Os01g0772800	BGIOSGA004535	99.7984	99.7984
Os01g0772900	BGIOSGA000732	100	100
Os01g0773000	BGIOSGA000731	98.8858	54.6154
Os01g0773100	BGIOSGA004536	80.8123	96.9748
Os01g0773200	BGIOSGA000730	90.5325	27.8182
Os01g0773400	BGIOSGA004538	88.935	95.2593
Os01g0773500	BGIOSGA000729	100	100
Os01g0773600	BGIOSGA004539	91.3743	97.6562
Os01g0773700	BGIOSGA000728	100	100
Os01g0773800	BGIOSGA004540	82.0261	96.5385
Os01g0774400	BGIOSGA004545	100	21.831
Os01g0774500	BGIOSGA000727	99.8035	99.8035
Os01g0775100	BGIOSGA000726	98.9912	87.7095
Os01g0775300	BGIOSGA000725	96.9302	98.8263
Os01g0775400	BGIOSGA000724	100	100
Os01g0775500	BGIOSGA000723	99.1404	41.5366
Os01g0776300	BGIOSGA004550	86.2876	91.4894
Os01g0776400	BGIOSGA000721	99.3724	99.5807
Os01g0776500	BGIOSGA004551	30.6233	55.3922
Os01g0776600	BGIOSGA000720	100	100
Os01g0776700	BGIOSGA000719	98	90.7407
Os01g0776800	BGIOSGA004552	98.5138	98.9339
Os01g0777000	BGIOSGA004553	98.5437	97.3154
Os01g0777200	BGIOSGA004554	99.6032	99.6032
Os01g0777300	BGIOSGA004555	88.5167	97.1129
Os01g0777400	BGIOSGA004556	58.0645	37.5
Os01g0777600	BGIOSGA004556	58.0645	37.5
Os01g0778100	BGIOSGA004558	99.4937	97.2772
Os01g0778400	BGIOSGA000716	69.0722	98.5294
Os01g0778500	BGIOSGA000715	63.5593	100
Os01g0778700	BGIOSGA004561	94.7489	94.3182
Os01g0778800	BGIOSGA004562	99.5889	99.5889
Os01g0778900	BGIOSGA000713	100	100
Os01g0779100	BGIOSGA004566	95.2326	84.7826
Os01g0779300	BGIOSGA004567	86.9253	98.8562
Os01g0779800	BGIOSGA000704	100	99.6416
Os01g0780400	BGIOSGA004568	96.8974	96.3227
Os01g0780500	BGIOSGA004569	100	100
Os01g0780600	BGIOSGA000703	99.0895	98.4917
Os01g0780800	BGIOSGA000702	100	100
Os01g0781000	BGIOSGA004572	97.1831	81.8182
Os01g0781100	BGIOSGA004573	80.0471	99.221
Os01g0781200	BGIOSGA004574	29.5807	97.6923
Os01g0781200	BGIOSGA004575	33.3075	99.536
Os01g0782200	BGIOSGA000699	95.5854	88.7701
Os01g0782500	BGIOSGA000698	85.9649	96.6197
Os01g0782800	BGIOSGA000697	99.8514	99.8514
Os01g0782901	BGIOSGA000688	96.5517	98.2456
Os01g0782901	BGIOSGA000695	96.5517	98.2456
Os01g0783000	BGIOSGA000694	94.5946	71.4286
Os01g0783100	BGIOSGA004577	99.5614	99.5614
Os01g0783200	BGIOSGA000693	95.6879	86.1368
Os01g0783400	BGIOSGA000692	78.8018	39.5833
Os01g0783500	BGIOSGA000690	89.313	71.1246
Os01g0783600	BGIOSGA004578	98.9899	99.4924
Os01g0783700	BGIOSGA000689	99.0991	99.0991
Os01g0784000	BGIOSGA031864	31.1927	20.6061
Os01g0784200	BGIOSGA004581	97.1963	98.5782
Os01g0784600	BGIOSGA004583	89.8844	86.8715
Os01g0784800	BGIOSGA004584	99.5074	99.5074
Os01g0785400	BGIOSGA004585	88.0328	87.3171
Os01g0785600	BGIOSGA000685	94.958	71.519
Os01g0785700	BGIOSGA004586	100	100
Os01g0785900	BGIOSGA000684	99.7938	99.7938
Os01g0786500	BGIOSGA000682	91.4815	100
Os01g0786700	BGIOSGA000681	99.4962	99.4962
Os01g0786800	BGIOSGA000680	100	94.1432
Os01g0786900	BGIOSGA000679	99.8851	99.8851
Os01g0787000	BGIOSGA000677	98.8095	98.8095
Os01g0787300	BGIOSGA004587	18.5629	23.3083
Os01g0787400	BGIOSGA004588	83.7209	99.3103
Os01g0787600	BGIOSGA004589	99.6198	99.6198
Os01g0788200	BGIOSGA004590	100	100
Os01g0788400	BGIOSGA004591	99.4505	99.4505
Os01g0788500	BGIOSGA000674	99.78	99.78
Os01g0788700	BGIOSGA004592	99.5192	99.5192
Os01g0788800	BGIOSGA004593	98.4102	84.1033
Os01g0788800	BGIOSGA004594	58.3466	91.75
Os01g0788900	BGIOSGA000673	39.1045	100
Os01g0788950	BGIOSGA000670	99.5455	99.5455
Os01g0789000	BGIOSGA000669	95.0413	73.2484
Os01g0789100	BGIOSGA000668	97.8723	98.1707
Os01g0789200	BGIOSGA004596	99.5717	99.5717
Os01g0793100	BGIOSGA000667	88.2698	54.6279
Os01g0793200	BGIOSGA004597	98.9744	98.9744
Os01g0793300	BGIOSGA000664	83.7061	97.7612
Os01g0793300	BGIOSGA000665	1.59744	3.31126
Os01g0793600	BGIOSGA000661	100	100
Os01g0793800	BGIOSGA000660	98.2143	98.2143
Os01g0793900	BGIOSGA000659	100	100
Os01g0794100	BGIOSGA000658	99.3421	67.713
Os01g0794400	BGIOSGA004598	98.2234	99.7423
Os01g0794500	BGIOSGA000657	100	100
Os01g0795000	BGIOSGA004599	96.1957	49.789
Os01g0795200	BGIOSGA004600	96.6759	85.6442
Os01g0795400	BGIOSGA004601	94.9333	45.8763
Os01g0795600	BGIOSGA004602	100	100
Os01g0795900	BGIOSGA004604	100	100
Os01g0796400	BGIOSGA004607	100	100
Os01g0796500	BGIOSGA000655	99.5745	99.5745
Os01g0796700	BGIOSGA000654	99.3865	98.9817
Os01g0797600	BGIOSGA004611	100	100
Os01g0797800	BGIOSGA004669	42.1488	83.6066
Os01g0798100	BGIOSGA023003	30.8176	92.4528
Os01g0798200	BGIOSGA000652	99.2908	86.9565
Os01g0798200	BGIOSGA012767	62.4113	81.4815
Os01g0798500	BGIOSGA004612	99.6575	99.6575
Os01g0798800	BGIOSGA000650	99.8547	99.8547
Os01g0798900	BGIOSGA004615	99.7481	99.7481
Os01g0799000	BGIOSGA000649	100	100
Os01g0799100	BGIOSGA004616	97.3631	100
Os01g0799500	BGIOSGA004617	99.2327	99.2327
Os01g0799900	BGIOSGA004618	99.5204	99.5204
Os01g0800000	BGIOSGA000648	97.5904	82.6531
Os01g0800101	BGIOSGA000647	98.5507	98.5507
Os01g0800266	BGIOSGA004619	87.9747	61.9154
Os01g0800300	BGIOSGA000645	99.696	99.696
Os01g0800400	BGIOSGA004620	92.7273	97.3747
Os01g0800500	BGIOSGA004621	99.8413	99.8413
Os01g0800500	BGIOSGA004624	36.3492	96.6245
Os01g0800600	BGIOSGA004622	66.6667	87.037
Os01g0800900	BGIOSGA004625	99.2806	77.5281
Os01g0801000	BGIOSGA004626	99.5992	99.5992
Os01g0801100	BGIOSGA004627	99.0323	95.6386
Os01g0801200	BGIOSGA000644	99.7067	99.7067
Os01g0801500	BGIOSGA000643	100	100
Os01g0801600	BGIOSGA000642	99.5717	99.5717
Os01g0801700	BGIOSGA000641	99.7101	99.7101
Os01g0801901	BGIOSGA004628	65.625	90.1841
Os01g0802000	BGIOSGA004629	65.9574	94.3478
Os01g0802100	BGIOSGA004631	99.7506	99.7506
Os01g0802200	BGIOSGA000640	99.2958	99.2958
Os01g0802600	BGIOSGA004632	100	100
Os01g0802700	BGIOSGA000639	96.9484	100
Os01g0802850	BGIOSGA000638	98.892	98.892
Os01g0803200	BGIOSGA004633	100	100
Os01g0803300	BGIOSGA000635	99.6979	82.9146
Os01g0803900	BGIOSGA004637	97.5238	100
Os01g0804400	BGIOSGA040521	100	100
Os01g0804900	BGIOSGA004635	30.4348	29.3706
Os01g0805000	BGIOSGA000633	100	100
Os01g0805100	BGIOSGA004640	93.5294	70.0441
Os01g0805200	BGIOSGA000632	99.5215	99.5215
Os01g0805300	BGIOSGA004641	100	100
Os01g0805400	BGIOSGA004642	98.9362	99.5717
Os01g0805500	BGIOSGA004643	96.8825	83.8174
Os01g0805600	BGIOSGA000631	93.75	29.97
Os01g0805800	BGIOSGA000630	100	100
Os01g0805900	BGIOSGA004644	100	90.121
Os01g0806000	BGIOSGA000629	62.1723	57.2414
Os01g0806200	BGIOSGA000628	100	100
Os01g0806300	BGIOSGA004645	100	100
Os01g0806400	BGIOSGA004646	91.2458	99.6324
Os01g0807000	BGIOSGA010370	49.2908	46.3333
Os01g0807000	BGIOSGA036667	39.7163	56.5657
Os01g0807532	BGIOSGA004647	97.619	83.6735
Os01g0807900	BGIOSGA004650	97.9592	97.9592
Os01g0808100	BGIOSGA000624	95.6044	73.5729
Os01g0808400	BGIOSGA004651	97.2816	100
Os01g0808900	BGIOSGA004652	99.4565	98.9189
Os01g0809000	BGIOSGA004653	94.8864	94.8864
Os01g0809300	BGIOSGA004654	100	100
Os01g0809900	BGIOSGA004659	98.7981	98.7981
Os01g0810000	BGIOSGA000623	100	100
Os01g0810100	BGIOSGA000622	100	95.3488
Os01g0810200	BGIOSGA004660	100	100
Os01g0810300	BGIOSGA004661	97.861	97.861
Os01g0810500	BGIOSGA000621	92.2722	49.0497
Os01g0810800	BGIOSGA000620	98.6126	98.7179
Os01g0811001	BGIOSGA000619	93.2234	57.0628
Os01g0811100	BGIOSGA004666	100	100
Os01g0811300	BGIOSGA004668	99.8641	95.0841
Os01g0811400	BGIOSGA000618	96.8468	41.9103
Os01g0812000	BGIOSGA004670	99.6383	99.6383
Os01g0812050	BGIOSGA004671	63.2847	88.0203
Os01g0812100	BGIOSGA004673	89.6254	99.6795
Os01g0812200	BGIOSGA004674	99.7167	99.7167
Os01g0812600	BGIOSGA000611	65.4028	96.5035
Os01g0812800	BGIOSGA000615	100	100
Os01g0812900	BGIOSGA000614	99.7126	100
Os01g0813100	BGIOSGA000613	90.7514	70.8804
Os01g0813300	BGIOSGA004677	97.6378	29.108
Os01g0813400	BGIOSGA004678	100	100
Os01g0813500	BGIOSGA000612	99.5526	99.5526
Os01g0813700	BGIOSGA000608	98.8	98.8
Os01g0813800	BGIOSGA000609	82.7586	68.5714
Os01g0813900	BGIOSGA004680	99.6255	99.6255
Os01g0814000	BGIOSGA004681	90.8068	96.8
Os01g0814100	BGIOSGA004682	100	100
Os01g0814200	BGIOSGA000606	98.556	51.1236
Os01g0814300	BGIOSGA004683	88.4106	94.5133
Os01g0814400	BGIOSGA000605	89.2241	61.5156
Os01g0814800	BGIOSGA000604	99.4898	99.4898
Os01g0814900	BGIOSGA000603	100	100
Os01g0815100	BGIOSGA000602	39.2941	100
Os01g0815400	BGIOSGA000601	98.9691	98.9691
Os01g0815700	BGIOSGA004684	85.1579	76.465
Os01g0816000	BGIOSGA004685	98.4906	98.8636
Os01g0816100	BGIOSGA000598	99.0566	99.6835
Os01g0816400	BGIOSGA000597	94.7922	97.527
Os01g0816500	BGIOSGA000596	96.3265	55.5294
Os01g0816600	BGIOSGA004686	99.4652	96.7742
Os01g0816700	BGIOSGA004687	86.4376	84.6018
Os01g0817000	BGIOSGA000595	100	100
Os01g0817100	BGIOSGA000594	99.6154	99.6154
Os01g0817400	BGIOSGA004688	88.1937	99.8857
Os01g0817650	BGIOSGA004690	100	100
Os01g0817700	BGIOSGA004691	99.8211	99.8211
Os01g0817800	BGIOSGA000593	100	100
Os01g0818000	BGIOSGA004692	90.9722	83.0867
Os01g0818100	BGIOSGA004693	95.4839	60.4082
Os01g0818200	BGIOSGA000592	56.5359	70.3252
Os01g0818300	BGIOSGA004694	100	100
Os01g0818400	BGIOSGA004695	100	100
Os01g0818600	BGIOSGA000591	99.8113	58.453
Os01g0818700	BGIOSGA000591	69.6056	33.1492
Os01g0818900	BGIOSGA000590	100	100
Os01g0819000	BGIOSGA004696	99.3092	99.3092
Os01g0819100	BGIOSGA004697	100	56.3579
Os01g0819200	BGIOSGA000589	97.3771	61.875
Os01g0819400	BGIOSGA004698	93.6709	100
Os01g0819700	BGIOSGA004699	79.4667	69.6262
Os01g0819800	BGIOSGA004700	99.6904	99.6904
Os01g0819900	BGIOSGA000587	99.6364	99.6364
Os01g0820000	BGIOSGA000586	46.5465	32.2245
Os01g0820400	BGIOSGA004701	99.2453	99.2453
Os01g0820700	BGIOSGA004703	89.0459	96.1832
Os01g0820800	BGIOSGA000585	100	100
Os01g0821300	BGIOSGA000583	97.8836	51.9663
Os01g0821600	BGIOSGA004705	98.5714	99.639
Os01g0821700	BGIOSGA000582	99.6951	99.6951
Os01g0821800	BGIOSGA000581	99.2665	99.2665
Os01g0821900	BGIOSGA000580	99.7419	81.6262
Os01g0822200	BGIOSGA000579	100	100
Os01g0822501	BGIOSGA011011	4.28571	3.125
Os01g0822800	BGIOSGA000577	99.5192	99.5192
Os01g0822900	BGIOSGA000576	100	100
Os01g0823100	BGIOSGA004707	100	100
Os01g0823200	BGIOSGA004708	59.3407	32.3353
Os01g0823300	BGIOSGA004709	100	100
Os01g0823400	BGIOSGA004710	99.449	97.5676
Os01g0823500	BGIOSGA000573	99.4723	99.4723
Os01g0823500	BGIOSGA000574	13.4565	100
Os01g0823600	BGIOSGA004711	100	100
Os01g0823700	BGIOSGA000572	99.7712	99.7712
Os01g0823900	BGIOSGA000571	99.7059	99.7059
Os01g0824500	BGIOSGA004713	91.2409	90.5797
Os01g0824600	BGIOSGA004714	97.6096	55.3047
Os01g0824700	BGIOSGA004715	91.6667	75.0588
Os01g0824800	BGIOSGA004716	99.75	99.75
Os01g0824900	BGIOSGA004717	100	100
Os01g0825000	BGIOSGA004719	100	100
Os01g0825500	BGIOSGA000569	100	100
Os01g0825700	BGIOSGA000567	93.1323	99.4633
Os01g0825800	BGIOSGA000566	91.4474	95.4233
Os01g0825900	BGIOSGA004720	90.0952	91.6667
Os01g0826000	BGIOSGA004721	100	100
Os01g0826400	BGIOSGA004722	99.0991	99.0991
Os01g0826800	BGIOSGA000564	100	100
Os01g0826900	BGIOSGA000563	96.5194	99.7234
Os01g0827200	BGIOSGA000562	93.254	93.254
Os01g0827300	BGIOSGA004724	99.8236	94.4908
Os01g0827400	BGIOSGA000561	98.6207	64.4144
Os01g0827500	BGIOSGA004725	99.8466	99.8466
Os01g0827600	BGIOSGA004726	97.1067	99.8141
Os01g0827700	BGIOSGA000560	51.4286	96.2567
Os01g0827800	BGIOSGA004727	80.8594	99.5192
Os01g0828100	BGIOSGA004728	97.8448	69.6319
Os01g0828200	BGIOSGA004729	72.7273	71.5447
Os01g0828300	BGIOSGA004730	99.7033	99.7033
Os01g0828900	BGIOSGA012204	99.5283	99.5283
Os01g0829000	BGIOSGA032615	100	95.4819
Os01g0829100	BGIOSGA032226	93.8967	88.8889
Os01g0829400	BGIOSGA004732	99.6078	99.6078
Os01g0829500	BGIOSGA000558	92.0635	55.7692
Os01g0829600	BGIOSGA000557	97.2152	99.4819
Os01g0829800	BGIOSGA004733	99.4949	99.4949
Os01g0829900	BGIOSGA000556	99.5582	99.5582
Os01g0830000	BGIOSGA000555	100	100
Os01g0830100	BGIOSGA004734	98.4649	90.342
Os01g0830200	BGIOSGA000554	100	100
Os01g0830500	BGIOSGA000553	99.7462	99.7462
Os01g0830700	BGIOSGA004735	99.6169	99.2366
Os01g0830900	BGIOSGA000552	98.9418	99.4681
Os01g0831000	BGIOSGA004736	99.0698	95.5157
Os01g0831200	BGIOSGA004737	99.6183	99.6183
Os01g0831300	BGIOSGA000551	99.5434	43.8632
Os01g0831800	BGIOSGA004738	68.9531	92.2705
Os01g0831900	BGIOSGA000550	99.2016	100
Os01g0832000	BGIOSGA000549	100	100
Os01g0832100	BGIOSGA004739	99.4505	95.5145
Os01g0832200	BGIOSGA000548	99.1379	95.4357
Os01g0832300	BGIOSGA004740	99.8185	99.8185
Os01g0832600	BGIOSGA004741	100	100
Os01g0832900	BGIOSGA004742	100	100
Os01g0833000	BGIOSGA004743	99.6992	99.6992
Os01g0833100	BGIOSGA000547	99.6795	99.6795
Os01g0833150	BGIOSGA004744	58.9041	70.4918
Os01g0833200	BGIOSGA004745	99.4652	99.4652
Os01g0833400	BGIOSGA004746	100	100
Os01g0833500	BGIOSGA000546	99.7797	99.7797
Os01g0833600	BGIOSGA000545	80	46.5116
Os01g0833700	BGIOSGA000544	89.1892	85.5556
Os01g0833800	BGIOSGA000543	100	100
Os01g0834100	BGIOSGA000542	91.0364	66.1914
Os01g0834200	BGIOSGA004748	98.2885	99.7519
Os01g0834400	BGIOSGA000540	91.0112	100
Os01g0834500	BGIOSGA000539	100	100
Os01g0834700	BGIOSGA004750	99.7268	85.4801
Os01g0834800	BGIOSGA000538	54.4828	100
Os01g0835000	BGIOSGA000537	100	100
Os01g0835500	BGIOSGA004752	100	100
Os01g0835600	BGIOSGA000536	100	100
Os01g0835700	BGIOSGA000535	99.403	99.7006
Os01g0835800	BGIOSGA000534	99.7619	99.7619
Os01g0836400	BGIOSGA004755	99.0153	89.3386
Os01g0836600	BGIOSGA004756	99.8665	99.8665
Os01g0836700	BGIOSGA000533	99.6364	99.6364
Os01g0836800	BGIOSGA000532	99.7773	99.7773
Os01g0836900	BGIOSGA004757	99.7253	99.7253
Os01g0837000	BGIOSGA000531	100	100
Os01g0837100	BGIOSGA004758	74.092	99.3506
Os01g0837200	BGIOSGA004759	99.1597	38.8158
Os01g0837300	BGIOSGA004760	100	100
Os01g0837500	BGIOSGA004762	100	100
Os01g0837600	BGIOSGA004763	100	100
Os01g0837700	BGIOSGA000528	100	100
Os01g0837800	BGIOSGA000527	100	100
Os01g0837900	BGIOSGA000526	99.7696	99.7696
Os01g0838200	BGIOSGA000524	98.9011	98.9011
Os01g0838600	BGIOSGA000523	99.5392	99.5392
Os01g0838800	BGIOSGA004766	90.9604	56.6901
Os01g0838900	BGIOSGA000522	99.7475	99.7475
Os01g0839100	BGIOSGA004768	92.3977	94.6108
Os01g0839200	BGIOSGA000521	99.5134	98.7923
Os01g0839300	BGIOSGA004769	100	100
Os01g0839400	BGIOSGA004770	99.5614	99.5614
Os01g0839500	BGIOSGA000520	100	100
Os01g0839700	BGIOSGA000519	100	100
Os01g0839900	BGIOSGA000518	100	100
Os01g0840200	BGIOSGA000517	100	100
Os01g0840300	BGIOSGA000516	100	20.7668
Os01g0841000	BGIOSGA004772	99.2537	99.2537
Os01g0841100	BGIOSGA000515	99.5316	99.5316
Os01g0841200	BGIOSGA000514	100	86.5909
Os01g0841400	BGIOSGA004773	52.7778	40.4255
Os01g0841500	BGIOSGA004774	82.4531	97.7778
Os01g0841600	BGIOSGA004775	99.2157	99.2157
Os01g0841700	BGIOSGA004776	100	98.1132
Os01g0841800	BGIOSGA000513	96.3504	68.2171
Os01g0842200	BGIOSGA004778	99.3902	99.6333
Os01g0842400	BGIOSGA000512	99.3092	99.6534
