Gene stable ID	Amborella trichopoda gene stable ID	%id. target Amborella trichopoda gene identical to query gene	%id. query gene identical to target Amborella trichopoda gene
Os03g0375900	AMTR_s00217p00018260	43.9614	18.2365
Os03g0375900	AMTR_s00217p00020070	49.2754	21.8884
Os03g0375966	AMTR_s00217p00018260	51.2821	32.0641
Os03g0375966	AMTR_s00217p00020070	52.8846	35.4077
Os03g0376000	AMTR_s00010p00267730	58.6207	64.1509
Os03g0376100	AMTR_s00062p00067400	77.8689	36.5385
Os03g0376600	AMTR_s00148p00072380	58.4906	56.9853
Os03g0376800	AMTR_s00010p00265700	60.5166	59.854
Os03g0376900	AMTR_s00010p00265290	70.0431	66.0569
Os03g0377100	AMTR_s00119p00058870	59.4697	63.5628
Os03g0377300	AMTR_s00101p00113170	27.5482	21.097
Os03g0377500	AMTR_s00101p00113170	51.1983	49.5781
Os03g0378000	AMTR_s00010p00262060	45.8661	43.1481
Os03g0378000	AMTR_s00119p00064420	10.6299	52.9412
Os03g0378200	AMTR_s00002p00198580	53.6957	52.1097
Os03g0379100	AMTR_s00010p00259630	70.7038	70.3583
Os03g0379300	AMTR_s00010p00257650	32.9365	35.9307
Os03g0379400	AMTR_s00010p00256310	50.8091	46.4497
Os03g0379500	AMTR_s00001p00084840	63.4615	81.4815
Os03g0381000	AMTR_s00010p00250550	53.1915	54.3478
Os03g0381100	AMTR_s00010p00250130	52.4217	41.2556
Os03g0381200	AMTR_s00010p00249690	63.8889	64.4
Os03g0382100	AMTR_s00034p00045070	49.8929	49.5745
Os03g0382100	AMTR_s00178p00018030	50.3212	50.1066
Os03g0383600	AMTR_s00034p00045070	45.9746	46.1702
Os03g0383600	AMTR_s00178p00018030	45.7627	46.0554
Os03g0383800	AMTR_s00010p00217580	36.3636	34.9933
Os03g0383800	AMTR_s00017p00184880	13.5664	23.7745
Os03g0383800	AMTR_s00048p00230150	22.7972	39.0887
Os03g0383800	AMTR_s00101p00067890	32.8671	32.1477
Os03g0383800	AMTR_s00176p00043910	21.6783	31.1871
Os03g0385301	AMTR_s00010p00210340	54.321	53.6585
Os03g0386000	AMTR_s00010p00193870	66.9154	58.9912
Os03g0386700	AMTR_s00173p00045470	50	51.1247
Os03g0386800	AMTR_s00173p00045470	50.4348	47.4438
Os03g0387000	AMTR_s00010p00182210	49.5	72.6161
Os03g0387000	AMTR_s00010p00183160	67.3333	26.2679
Os03g0387100	AMTR_s00029p00057040	32.3404	47.205
Os03g0387800	AMTR_s00060p00180440	54.1379	51.1401
Os03g0387900	AMTR_s00060p00171960	21.8531	15.9236
Os03g0388366	AMTR_s00003p00269610	37.6623	17.4699
Os03g0388500	AMTR_s00038p00173360	60.6061	15.8451
Os03g0388600	AMTR_s00006p00267240	29.653	38.6831
Os03g0388800	AMTR_s00010p00266510	31.3609	49.7653
Os03g0388800	AMTR_s01033p00010870	11.2426	61.2903
Os03g0388900	AMTR_s00038p00201610	45.6522	44.8
Os03g0389100	AMTR_s00038p00201610	46.6887	37.6
Os03g0389501	AMTR_s00038p00201610	49.0385	27.2
Os03g0389700	AMTR_s00008p00262380	73.1532	77.0398
Os03g0389900	AMTR_s00038p00238560	55.1941	51.4677
Os03g0390000	AMTR_s00038p00238890	91.4286	89.9598
Os03g0390000	AMTR_s00048p00058600	92.2449	90.7631
Os03g0390000	AMTR_s00077p00035710	91.8367	90.3614
Os03g0390200	AMTR_s00073p00126020	67.2515	79.0378
Os03g0390400	AMTR_s00008p00250560	38.4615	49.2424
Os03g0390600	AMTR_s00225p00023630	100	100
Os03g0390700	AMTR_s00149p00082270	52.994	52.6786
Os03g0391000	AMTR_s00044p00080750	8.64979	44.5652
Os03g0391000	AMTR_s00044p00081180	8.01688	46.9136
Os03g0391000	AMTR_s00057p00218370	56.1181	53.8462
Os03g0391100	AMTR_s00002p00203540	18.6207	27.2727
Os03g0391100	AMTR_s00008p00185200	23.6782	26.3427
Os03g0391700	AMTR_s00135p00067350	2.0649	13.2075
Os03g0392000	AMTR_s00135p00066200	39.8374	28.4884
Os03g0392000	AMTR_s00190p00017930	38.2114	30.4207
Os03g0392300	AMTR_s00004p00151230	74.8768	74.1463
Os03g0394900	AMTR_s00007p00223380	44.7514	66.9421
Os03g0394900	AMTR_s00054p00043200	13.2597	55.814
Os03g0394900	AMTR_s00054p00048870	54.6961	61.4907
Os03g0395000	AMTR_s00024p00217730	38.4848	47.3881
Os03g0395100	AMTR_s00126p00104180	65.0901	67.2093
Os03g0395200	AMTR_s00126p00122490	30.1075	19.5804
Os03g0395200	AMTR_s00126p00122920	29.0323	38.5714
Os03g0395300	AMTR_s00029p00240470	29.2526	34.29
Os03g0395300	AMTR_s00060p00027040	41.4948	33.8235
Os03g0395600	AMTR_s00060p00030440	40.7652	12.3997
Os03g0395900	AMTR_s00091p00165720	66.29	67.1756
Os03g0396000	AMTR_s00132p00031640	34.2711	30.8756
Os03g0396900	AMTR_s00003p00230260	32.1739	30.7906
Os03g0397300	AMTR_s00131p00030980	28.1664	53.2143
Os03g0397400	AMTR_s00131p00061630	71.8535	69.7778
Os03g0397500	AMTR_s00041p00100290	72.7749	70.5584
Os03g0397500	AMTR_s00041p00102550	73.2984	71.7949
Os03g0397600	AMTR_s00131p00072670	55.9838	55.5332
Os03g0397700	AMTR_s00131p00083660	44.5946	32.0388
Os03g0399000	AMTR_s00129p00028250	39.4693	40.2027
Os03g0399400	AMTR_s00129p00084140	34.8039	43.2927
Os03g0399532	AMTR_s00129p00092160	56.2077	26.5317
Os03g0400700	AMTR_s00129p00104120	25.2874	23.4043
Os03g0400800	AMTR_s00057p00145210	46.7463	31.5695
Os03g0400901	AMTR_s00025p00221220	24.1546	21.9298
Os03g0401100	AMTR_s00004p00270220	15.5906	9.84095
Os03g0401200	AMTR_s00013p00055400	48.9305	46.8031
Os03g0401300	AMTR_s00106p00019920	73.8971	74.4444
Os03g0402000	AMTR_s00020p00233960	88.2353	88.7097
Os03g0402000	AMTR_s00125p00097350	85.5615	86.0215
Os03g0402400	AMTR_s00010p00244660	67.2043	41.9463
Os03g0402400	AMTR_s00041p00084080	67.2043	40.0641
Os03g0402800	AMTR_s00131p00119200	33.7719	33.0472
Os03g0403100	AMTR_s00020p00246930	35.9307	68.2566
Os03g0404800	AMTR_s00007p00249450	51.1278	24.3728
Os03g0404800	AMTR_s00042p00178940	31.9549	51.2048
Os03g0405000	AMTR_s00007p00249450	60.9626	61.2903
Os03g0405000	AMTR_s00042p00178940	18.8948	63.8554
Os03g0405100	AMTR_s00093p00121920	38.3901	58.4906
Os03g0405500	AMTR_s00131p00112160	40.7733	41.5027
Os03g0405500	AMTR_s00131p00113720	51.3181	48.4245
Os03g0405900	AMTR_s00131p00112160	40.6196	42.2182
Os03g0405900	AMTR_s00131p00113720	50.6024	48.7562
Os03g0406100	AMTR_s00106p00066860	17.4089	37.7193
Os03g0406100	AMTR_s00106p00068380	50.6073	52.3013
Os03g0406200	AMTR_s00029p00211240	76.9911	69.8795
Os03g0406200	AMTR_s00038p00131700	18.1416	29.4964
Os03g0406900	AMTR_s00131p00101830	33.2613	43.2584
Os03g0407000	AMTR_s00131p00098870	41.3889	19.5795
Os03g0407100	AMTR_s00024p00245950	28.8235	31.0127
Os03g0407400	AMTR_s00024p00243360	7.75862	17.8218
Os03g0408300	AMTR_s00069p00158350	76.7123	76.7123
Os03g0408300	AMTR_s00130p00058120	78.0822	76.5101
Os03g0408500	AMTR_s00024p00240490	45.5357	57.9545
Os03g0408600	AMTR_s00024p00236340	34.4168	29.6053
Os03g0409400	AMTR_s00024p00231630	63.6735	72.2222
Os03g0410700	AMTR_s00024p00220830	50.6493	50.8143
Os03g0410900	AMTR_s00040p00092540	86.25	86.25
Os03g0411000	AMTR_s00024p00204950	28.7938	31.0924
Os03g0411000	AMTR_s00024p00205340	4.15045	20.2532
Os03g0411100	AMTR_s00024p00195160	31.5457	42.5532
Os03g0411300	AMTR_s00024p00192660	47.4684	54.3478
Os03g0411500	AMTR_s00059p00080590	59.8456	58.4906
Os03g0411600	AMTR_s00059p00127380	43.5583	44.6541
Os03g0411800	AMTR_s00012p00248530	46.9274	50.4505
Os03g0411800	AMTR_s00028p00046320	58.3799	62.7628
Os03g0412200	AMTR_s00028p00023590	32.0611	29.1667
Os03g0413100	AMTR_s00047p00143120	70.5752	72.831
Os03g0413400	AMTR_s00047p00153190	65.2495	65.9813
Os03g0414400	AMTR_s00012p00237370	51.3514	52.2936
Os03g0415200	AMTR_s00047p00211930	66.6667	58.5366
Os03g0415500	AMTR_s00021p00254700	54.3269	48.7069
Os03g0415600	AMTR_s00021p00254700	19.0678	19.3966
Os03g0415700	AMTR_s00021p00254700	2.7668	3.01724
Os03g0416200	AMTR_s00047p00216570	62.8205	67.8984
Os03g0416300	AMTR_s00047p00216760	62.2271	70.5446
Os03g0416500	AMTR_s00047p00219100	54.7297	56.6434
Os03g0417700	AMTR_s00047p00221540	51.4563	49.5327
Os03g0417800	AMTR_s00047p00230680	31.8966	69.8113
Os03g0417900	AMTR_s00019p00204140	78.3476	77.7935
Os03g0418700	AMTR_s00154p00080410	30.6695	23.4711
Os03g0418800	AMTR_s00154p00067340	35.7553	41.6481
Os03g0419100	AMTR_s00154p00057990	18.5668	46.7213
Os03g0421400	AMTR_s00110p00140670	33.0769	12.7976
Os03g0421700	AMTR_s00105p00067460	0	0
Os03g0421700	AMTR_s00183p00050040	60.1852	28.8889
Os03g0422600	AMTR_s00029p00093020	49.0842	34.4473
Os03g0422702	AMTR_s00029p00040760	60.3175	31.5353
Os03g0422800	AMTR_s00001p00016330	44.8319	46.5116
Os03g0422800	AMTR_s00005p00228760	24.7821	47.381
Os03g0422800	AMTR_s00005p00228790	5.23039	38.8889
Os03g0422800	AMTR_s00012p00264900	44.5828	46.1936
Os03g0422800	AMTR_s00012p00264990	43.9601	45.7254
Os03g0423000	AMTR_s00110p00109060	53.6	53.1746
Os03g0423200	AMTR_s00024p00245300	70.6897	18.3857
Os03g0423800	AMTR_s00025p00163350	54.8263	27.0992
Os03g0424200	AMTR_s00009p00235710	36.1004	21.445
Os03g0424500	AMTR_s00045p00207750	76.7123	78.3217
Os03g0424500	AMTR_s00110p00069670	72.6027	63.8554
Os03g0424800	AMTR_s00045p00207750	76.7123	78.3217
Os03g0424800	AMTR_s00110p00069670	72.6027	63.8554
Os03g0425000	AMTR_s00066p00101500	50.4688	52.6059
Os03g0425200	AMTR_s00066p00114470	70.4969	70.9375
Os03g0425300	AMTR_s00066p00112310	35.6974	22.8097
Os03g0425600	AMTR_s00110p00073440	86.9023	87.0833
Os03g0425800	AMTR_s00110p00084900	16.6963	26.9341
Os03g0425900	AMTR_s00110p00085760	27.5779	17.6651
Os03g0426800	AMTR_s00110p00048270	64.7059	63.1148
Os03g0426900	AMTR_s00110p00042430	79.1411	78.4195
Os03g0427000	AMTR_s00110p00036260	69.2308	69.2308
Os03g0427100	AMTR_s00177p00067830	61.4232	62.5954
Os03g0427300	AMTR_s00067p00022330	32.4597	33.1276
Os03g0427300	AMTR_s00067p00026720	30.0403	34.1743
Os03g0427300	AMTR_s00067p00027690	33.4677	35.3191
Os03g0427900	AMTR_s00177p00048180	55.5019	67.8066
Os03g0428000	AMTR_s00010p00240720	44.898	3.40031
Os03g0428700	AMTR_s00001p00270650	60.1562	60.1562
Os03g0428800	AMTR_s00005p00263430	64.1414	40.5751
Os03g0429000	AMTR_s00050p00196400	19.5122	34.7826
Os03g0429000	AMTR_s00055p00160920	30.8943	32.4786
Os03g0429000	AMTR_s00214p00026510	32.5203	34.188
Os03g0429800	AMTR_s00022p00247220	69.3207	69.4729
Os03g0430000	AMTR_s00065p00153880	39.0496	40.6452
Os03g0430400	AMTR_s00029p00058110	30.2174	11.4781
Os03g0430400	AMTR_s00037p00169980	44.3478	16.255
Os03g0430500	AMTR_s00044p00125900	17.9318	31.8982
Os03g0430500	AMTR_s00044p00135770	25.7426	36.5055
Os03g0430500	AMTR_s00069p00172550	33.0033	39.1134
Os03g0430500	AMTR_s00069p00177600	33.1133	36.9325
Os03g0430500	AMTR_s00069p00178060	33.7734	40.6085
Os03g0430500	AMTR_s00069p00178740	31.5732	37.1281
Os03g0431200	AMTR_s00065p00157730	0	0
Os03g0431800	AMTR_s00065p00166970	39.8485	39.6084
Os03g0432000	AMTR_s00065p00170680	23.6735	23.0159
Os03g0433200	AMTR_s00086p00066190	39.3035	58.5185
Os03g0434400	AMTR_s00025p00085740	38.4106	49.5727
Os03g0434800	AMTR_s00077p00014810	59.1045	62.8571
Os03g0435200	AMTR_s00014p00068600	10.4455	32.5359
Os03g0435300	AMTR_s00086p00031680	40	45.584
Os03g0436300	AMTR_s00090p00168160	36.8839	40.7733
Os03g0436400	AMTR_s00029p00093020	57.8283	58.8689
Os03g0437100	AMTR_s00007p00035530	24.5	20.5882
Os03g0437100	AMTR_s00137p00104280	35.5	32.4201
Os03g0437200	AMTR_s00007p00035530	23.6364	21.8487
Os03g0437200	AMTR_s00137p00104280	30	30.137
Os03g0437600	AMTR_s00001p00272340	25.8303	65.4206
Os03g0437600	AMTR_s00001p00272350	83.3948	83.7037
Os03g0438100	AMTR_s00065p00146710	57.0833	53.5156
Os03g0439700	AMTR_s00144p00072420	60.5769	60.5769
Os03g0440200	AMTR_s00017p00239150	59.1837	63.0435
Os03g0440900	AMTR_s00144p00059190	57.3395	63.4518
Os03g0441000	AMTR_s00002p00199670	36.3858	30.5015
Os03g0441500	AMTR_s00002p00263170	51.4085	72.4206
Os03g0441500	AMTR_s00049p00049960	69.2958	69.1983
Os03g0444900	AMTR_s00058p00090300	39.1421	28.023
Os03g0445700	AMTR_s00137p00051070	43.1373	67.1756
Os03g0446200	AMTR_s00045p00105550	0	0
Os03g0448200	AMTR_s00009p00222030	5.21583	33.3333
Os03g0448600	AMTR_s00164p00065390	82.5073	82.7485
Os03g0448700	AMTR_s00164p00030820	38.6364	39.261
Os03g0449200	AMTR_s00058p00069070	56.4885	58.4403
Os03g0452300	AMTR_s00160p00027870	52.454	55.8824
Os03g0454100	AMTR_s00025p00104130	61.8705	76.1062
Os03g0554900	AMTR_s00002p00079350	32.4022	9.99139
Os03g0554950	AMTR_s00002p00079350	41.6107	5.34022
Os03g0556600	AMTR_s00043p00231180	43.5484	44.8931
Os03g0563100	AMTR_s00018p00252240	57.6159	60.1036
Os03g0563300	AMTR_s00092p00167540	42.4096	69.2913
Os03g0563600	AMTR_s00037p00025630	45.6897	48.9231
Os03g0564600	AMTR_s00035p00082360	30.0813	30.3279
Os03g0564600	AMTR_s00035p00084590	19.1057	29.1925
Os03g0565100	AMTR_s00125p00122100	55.0595	53.6232
Os03g0565200	AMTR_s00049p00176170	71.5625	71.5625
Os03g0565500	AMTR_s00010p00246330	78.5997	77.6762
Os03g0565600	AMTR_s00062p00114880	63.8462	58.6572
Os03g0566500	AMTR_s00169p00025570	39.627	43.1472
Os03g0566600	AMTR_s00169p00022730	63.6923	65.5063
Os03g0568400	AMTR_s00030p00127540	28.1646	17.3828
Os03g0568500	AMTR_s00062p00140950	42.8571	62.1951
Os03g0568600	AMTR_s00062p00141820	27.8	32.0276
Os03g0568800	AMTR_s00058p00199870	48.5926	40.6444
Os03g0568900	AMTR_s00062p00146590	66.8085	72.0183
Os03g0568900	AMTR_s00096p00055130	17.4468	71.9298
Os03g0569800	AMTR_s00046p00202770	29.9689	32.9915
Os03g0569900	AMTR_s00062p00161920	65.9204	53.8618
Os03g0570200	AMTR_s00025p00221330	50.3906	13.5933
Os03g0570300	AMTR_s00006p00268720	15.5814	63.2075
Os03g0570300	AMTR_s00006p00268860	59.0698	65.4639
Os03g0570800	AMTR_s00062p00172410	61.2	66.3774
Os03g0571700	AMTR_s00062p00172410	63.7838	51.1931
Os03g0571900	AMTR_s00062p00172410	64.0385	72.2343
Os03g0572300	AMTR_s00082p00169880	49.1379	52.5346
Os03g0572900	AMTR_s00062p00172410	65.2	70.7158
Os03g0574900	AMTR_s00016p00241830	48.7053	49.1905
Os03g0575200	AMTR_s00016p00241830	47.1023	47.5716
Os03g0576200	AMTR_s00016p00241830	48.0601	47.8207
Os03g0576400	AMTR_s00083p00010170	0	0
Os03g0576400	AMTR_s00821p00008410	58.1818	15.0235
Os03g0576600	AMTR_s00024p00222740	19.3548	57.6923
Os03g0576600	AMTR_s00048p00196380	47.7419	82.2222
Os03g0576700	AMTR_s00022p00239970	79.8077	80.1932
Os03g0576700	AMTR_s00029p00111280	84.1346	84.5411
Os03g0576900	AMTR_s00048p00198660	53.8182	62.9787
Os03g0576900	AMTR_s00048p00199050	58.5455	68.5106
Os03g0577000	AMTR_s00024p00219330	91.2281	89.2704
Os03g0577000	AMTR_s00030p00157370	92.1053	90.1288
Os03g0577100	AMTR_s00154p00016840	24.8963	35.3982
Os03g0577200	AMTR_s00048p00214970	92.0561	82.0833
Os03g0577500	AMTR_s00037p00154410	76.1084	76.2963
Os03g0578900	AMTR_s00037p00177500	22.7273	22.2222
Os03g0579000	AMTR_s00007p00259180	15.8654	43.4211
Os03g0579000	AMTR_s00037p00192870	52.6442	51.4085
Os03g0579000	AMTR_s00040p00228500	14.6635	38.125
Os03g0579000	AMTR_s00060p00157630	13.9423	34.1176
Os03g0579000	AMTR_s00117p00128220	12.5	46.0177
Os03g0579000	AMTR_s00117p00128260	19.7115	48.2353
Os03g0579000	AMTR_s03549p00003690	13.4615	62.9213
Os03g0579300	AMTR_s00091p00066640	89.3204	88.8889
Os03g0580200	AMTR_s00037p00213250	51.8293	29.1096
Os03g0580800	AMTR_s00037p00213250	33.5092	43.4931
Os03g0581400	AMTR_s00037p00213250	32.1149	42.1233
Os03g0581600	AMTR_s00013p00196470	69.2982	61.2403
Os03g0581800	AMTR_s00003p00265960	28.5714	40
Os03g0582000	AMTR_s00003p00265230	44.3396	47.6351
Os03g0582200	AMTR_s00003p00261520	64.2173	69.7917
Os03g0582400	AMTR_s00095p00172370	27.7108	30.2632
Os03g0583700	AMTR_s00003p00267670	39.0071	62.5
Os03g0583700	AMTR_s00147p00071690	54.6099	55.3957
Os03g0583800	AMTR_s00003p00254020	58.1006	56.6758
Os03g0583900	AMTR_s00016p00258500	46.2411	45.7865
Os03g0584400	AMTR_s00014p00113230	42.8994	35.2798
Os03g0584400	AMTR_s00014p00122360	37.574	32.987
Os03g0584400	AMTR_s00014p00241930	43.4911	31.681
Os03g0584400	AMTR_s00036p00176790	42.6035	30.6383
Os03g0585600	AMTR_s00030p00156320	4.91803	2.17391
Os03g0586300	AMTR_s00011p00260650	55.3371	30.8777
Os03g0586500	AMTR_s00104p00098970	53.8745	54.6816
Os03g0586600	AMTR_s00069p00112860	85.9155	84.7222
Os03g0586700	AMTR_s00003p00177190	71.0987	70.7607
Os03g0586800	AMTR_s00071p00070350	71.7608	68.4628
Os03g0586900	AMTR_s00022p00250340	72.5038	73.065
Os03g0587000	AMTR_s00055p00157580	74.9064	73.8007
Os03g0587100	AMTR_s00055p00151980	45.9701	65.812
Os03g0587200	AMTR_s00055p00149080	41.1869	38.0524
Os03g0588400	AMTR_s00074p00148190	46.875	41.7722
Os03g0589300	AMTR_s00009p00082170	29.2632	39.1549
Os03g0590700	AMTR_s00149p00044270	63.3803	56.962
Os03g0591600	AMTR_s00033p00169500	34.4406	35.368
Os03g0591600	AMTR_s00033p00170840	37.2378	37.303
Os03g0591600	AMTR_s00033p00171210	36.7133	36.9069
Os03g0592500	AMTR_s00088p00153020	87.0722	86.7424
Os03g0593200	AMTR_s00055p00196140	61.3105	58.3952
Os03g0593600	AMTR_s00047p00188760	24.4618	40.0641
Os03g0593600	AMTR_s00047p00189560	40.1174	40.7555
Os03g0593600	AMTR_s00047p00229040	41.0959	41.502
Os03g0594100	AMTR_s00047p00188760	25.3906	41.6667
Os03g0594100	AMTR_s00047p00189560	40.2344	40.9543
Os03g0594100	AMTR_s00047p00229040	40.0391	40.5138
Os03g0594400	AMTR_s00029p00047980	46.9349	59.0361
Os03g0594700	AMTR_s00029p00231350	18.0765	14.0162
Os03g0594900	AMTR_s00047p00188760	25.4369	41.9872
Os03g0594900	AMTR_s00047p00189560	40.7767	41.7495
Os03g0594900	AMTR_s00047p00229040	40	40.7115
Os03g0595200	AMTR_s00028p00023590	51.049	50.6944
Os03g0596900	AMTR_s00047p00118220	18.4922	23.2143
Os03g0597200	AMTR_s00012p00087690	47.9784	44.2236
Os03g0597600	AMTR_s00047p00122380	59.9369	68.8406
Os03g0598100	AMTR_s00047p00143120	62.6932	64.8402
Os03g0598200	AMTR_s00047p00175730	47.2588	49.5402
Os03g0598200	AMTR_s05743p00005480	3.72807	34.3434
Os03g0598700	AMTR_s00047p00177970	32.8638	28.4553
Os03g0598800	AMTR_s00002p00270230	80.3828	82.3529
Os03g0598800	AMTR_s00111p00023340	78.9474	70.8155
Os03g0598800	AMTR_s00111p00086580	78.9474	80.8824
Os03g0598900	AMTR_s00047p00180410	53.9924	53.9924
Os03g0599600	AMTR_s00047p00181120	62.6316	24.8954
Os03g0600400	AMTR_s00047p00214400	48.1481	15.0289
Os03g0600600	AMTR_s00053p00181850	29.1139	23.5495
Os03g0600600	AMTR_s00053p00183230	29.1139	23.5495
Os03g0600600	AMTR_s00053p00184360	11.8143	13.0233
Os03g0600600	AMTR_s00053p00185420	29.9578	23.2787
Os03g0601500	AMTR_s00047p00213990	44.7917	49.4253
Os03g0602300	AMTR_s00047p00210610	59.7015	59.7015
Os03g0602300	AMTR_s00047p00211200	33.4755	67.382
Os03g0602600	AMTR_s00047p00218860	49.0662	47.2995
Os03g0603100	AMTR_s00047p00221540	58.9623	23.3645
Os03g0603300	AMTR_s00154p00079940	40.1434	29.8667
Os03g0603600	AMTR_s00154p00051340	35.5499	66.5072
Os03g0603600	AMTR_s00154p00051660	31.202	61.3065
Os03g0603600	AMTR_s00154p00055550	67.0077	66.3291
Os03g0603800	AMTR_s00154p00031240	31.8083	27.3408
Os03g0604200	AMTR_s00016p00258410	44.1909	73.7024
Os03g0604200	AMTR_s00016p00258420	28.6307	80.7018
Os03g0604600	AMTR_s00144p00066150	35.7262	27.2611
Os03g0605300	AMTR_s00144p00078130	62.6144	63.6122
Os03g0606100	AMTR_s00001p00272450	70.9091	64.8649
Os03g0606100	AMTR_s00029p00180180	19.5455	45.9893
Os03g0606200	AMTR_s00016p00253840	72.4138	38.8889
Os03g0606600	AMTR_s00001p00273040	50.4587	21.1132
Os03g0607500	AMTR_s00001p00272970	57.377	32.1101
Os03g0607600	AMTR_s00001p00272790	32.0724	54.0166
Os03g0607700	AMTR_s00001p00272910	23.2653	36.3057
Os03g0609200	AMTR_s00002p00266390	18.3486	18.3486
Os03g0609800	AMTR_s00137p00096710	54.1009	51.194
Os03g0610400	AMTR_s00007p00035530	25.2101	25.2101
Os03g0610400	AMTR_s00137p00104280	39.4958	42.9224
Os03g0610650	AMTR_s00169p00021870	59.3434	60.2564
Os03g0610700	AMTR_s00169p00021870	64.2202	35.8974
Os03g0610800	AMTR_s00169p00021870	54.5679	56.6667
Os03g0610900	AMTR_s00033p00242600	87.5691	87.0879
Os03g0611200	AMTR_s00067p00036680	70.6173	71.1443
Os03g0611700	AMTR_s00033p00240190	25	13.5231
Os03g0612400	AMTR_s00066p00120340	25.4408	32.899
Os03g0612600	AMTR_s00169p00043580	42.2857	32.8889
Os03g0616300	AMTR_s00086p00041180	50.4052	49.8397
Os03g0616400	AMTR_s00164p00023490	67.183	68.1729
Os03g0616500	AMTR_s00164p00024370	0.687285	1.81269
Os03g0616700	AMTR_s00038p00151410	69.0938	42.4453
Os03g0617500	AMTR_s00164p00026810	23.9362	28.481
Os03g0617900	AMTR_s00169p00059790	69.3976	70.7617
Os03g0618300	AMTR_s00021p00254520	51.1364	50.8475
Os03g0618300	AMTR_s00059p00217060	55.1136	53.5912
Os03g0618300	AMTR_s00059p00217450	55.3977	53.8674
Os03g0618300	AMTR_s00059p00217690	21.875	37.0192
Os03g0618300	AMTR_s00059p00218840	26.4205	26.4957
Os03g0618300	AMTR_s00062p00062250	42.8977	43.2665
Os03g0618300	AMTR_s00062p00064770	24.7159	38.326
Os03g0618300	AMTR_s00062p00086410	20.1705	39.4444
Os03g0618300	AMTR_s00169p00070560	25.8523	58.3333
Os03g0618300	AMTR_s00169p00073750	23.5795	44.385
Os03g0618300	AMTR_s00169p00074860	18.1818	22.6148
Os03g0618300	AMTR_s00193p00014370	10.5114	50.6849
Os03g0618300	AMTR_s00193p00016790	44.0341	44.1595
Os03g0618300	AMTR_s00193p00019480	40.0568	35.0746
Os03g0618300	AMTR_s00193p00025180	40.3409	40.9222
Os03g0618300	AMTR_s00193p00034790	14.2045	38.7597
Os03g0618300	AMTR_s00193p00041220	22.4432	27.0548
Os03g0618300	AMTR_s00193p00042490	12.7841	43.2692
Os03g0618300	AMTR_s00193p00044180	11.0795	24.2236
Os03g0618300	AMTR_s00193p00045280	12.7841	25
Os03g0618300	AMTR_s00193p00048430	23.5795	44.385
Os03g0618300	AMTR_s00324p00011200	22.1591	30.2326
Os03g0618300	AMTR_s00324p00016170	19.3182	58.1197
Os03g0618300	AMTR_s00669p00009200	27.8409	26.776
Os03g0618300	AMTR_s00807p00012830	29.2614	38.1481
Os03g0618300	AMTR_s01184p00000210	18.4659	47.4453
Os03g0618300	AMTR_s01184p00008630	11.9318	27.451
Os03g0618300	AMTR_s04647p00003270	27.5568	49.2386
Os03g0618300	AMTR_s05684p00001760	26.4205	43.4579
Os03g0619151	AMTR_s00036p00232310	21.5385	30.9392
Os03g0619151	AMTR_s00059p00213350	20.3846	26.3682
Os03g0619400	AMTR_s00149p00026500	86.2857	85.9583
Os03g0620800	AMTR_s00001p00050840	62.4398	62.3397
Os03g0622500	AMTR_s00025p00213610	19.8113	14.1892
Os03g0624000	AMTR_s00059p00206130	36.2637	19.7015
Os03g0624600	AMTR_s00079p00099620	40.8669	41.9048
Os03g0625300	AMTR_s00059p00197160	34.6667	34.0824
Os03g0625700	AMTR_s00059p00178020	67.9878	25.0281
Os03g0625900	AMTR_s00155p00078230	53.0333	53.2416
Os03g0626500	AMTR_s00059p00165230	52.5316	47.4286
Os03g0626600	AMTR_s00059p00161610	67.0061	63.8835
Os03g0626700	AMTR_s00059p00169290	57.4423	60.0877
Os03g0626700	AMTR_s00059p00169820	60.587	59.5876
Os03g0626700	AMTR_s00059p00170320	58.9099	58.42
Os03g0626800	AMTR_s00099p00079780	92	57.1823
Os03g0627300	AMTR_s00002p00262480	58.4416	28.9389
Os03g0627500	AMTR_s00002p00263460	48.6275	51.5592
Os03g0628900	AMTR_s00002p00265480	77.7778	77.7778
Os03g0632800	AMTR_s00002p00265790	39.8148	40.4706
Os03g0633100	AMTR_s00002p00266430	30.5825	10.8247
Os03g0633400	AMTR_s00002p00266430	60.119	34.7079
Os03g0633500	AMTR_s00002p00266760	54.5064	53.3613
Os03g0633800	AMTR_s00002p00266860	45.1327	49.7561
Os03g0633900	AMTR_s00002p00267110	42.7653	46.0208
Os03g0634000	AMTR_s00002p00267770	38.2353	46.4286
Os03g0635100	AMTR_s00002p00269650	65.5914	59.2233
Os03g0635800	AMTR_s00002p00271020	54.2328	45.5556
Os03g0636700	AMTR_s00002p00271290	39.821	37.7119
Os03g0636800	AMTR_s00002p00271400	62.2705	55.0147
Os03g0637600	AMTR_s00029p00242570	12.6904	19.0114
Os03g0637600	AMTR_s00029p00242610	26.6497	40.6977
Os03g0637800	AMTR_s00049p00025350	64.4839	61.3516
Os03g0637900	AMTR_s00002p00271670	24.186	7.19723
Os03g0638300	AMTR_s00002p00271710	42.4779	5.35714
Os03g0638800	AMTR_s00002p00271860	75.1979	71.608
Os03g0639600	AMTR_s00092p00140740	54.8387	58.2857
Os03g0639700	AMTR_s00092p00136000	69.4444	73.8916
