Gene stable ID	Beta vulgaris subsp. vulgaris gene stable ID	%id. target Beta vulgaris subsp. vulgaris gene identical to query gene	%id. query gene identical to target Beta vulgaris subsp. vulgaris gene
Os02g0692700	BVRB_5g125710	63.035	66.6667
Os02g0693000	BVRB_5g125730	29.2929	32.4022
Os02g0693000	BVRB_5g125740	28.7879	31.1475
Os02g0693200	BVRB_3g049540	66.1157	62.9921
Os02g0693500	BVRB_5g125520	73.3333	73.0469
Os02g0693700	BVRB_3g062320	8.38608	47.1111
Os02g0694201	BVRB_3g049680	47.619	23.7154
Os02g0694800	BVRB_3g049690	59.6107	58.0569
Os02g0695050	BVRB_2g031150	18.8462	13.5359
Os02g0695700	BVRB_6g140420	60.6742	60
Os02g0695800	BVRB_9g222060	73.161	49.3298
Os02g0695900	BVRB_9g222060	72.0588	19.7051
Os02g0696500	BVRB_5g107150	47.2934	47.4286
Os02g0696700	BVRB_5g106970	33.6152	18.5315
Os02g0696900	BVRB_5g106980	38.7534	35.75
Os02g0697200	BVRB_5g107040	22.5434	25
Os02g0697300	BVRB_3g049810	72.7041	72.1519
Os02g0697400	BVRB_3g049860	64.1476	63.3681
Os02g0697500	BVRB_5g107270	52.648	27.9339
Os02g0697600	BVRB_3g049870	68.2812	68.0685
Os02g0697700	BVRB_5g107880	51.9231	52.9412
Os02g0697800	BVRB_5g107390	61.21	67.1875
Os02g0698000	BVRB_5g107370	78.9082	78.9082
Os02g0698800	BVRB_8g200770	36.3636	40.708
Os02g0699400	BVRB_3g050030	59.375	38
Os02g0699433	BVRB_3g050050	11.9565	2.43363
Os02g0699466	BVRB_3g050050	16.5644	2.98673
Os02g0699600	BVRB_7g162160	92.1687	92.1687
Os02g0699600	BVRB_9g207930	92.1687	92.1687
Os02g0699900	BVRB_3g069940	19.6653	17.2161
Os02g0700000	BVRB_3g050070	30.1088	30.855
Os02g0700100	BVRB_3g050110	69.936	74.5455
Os02g0700100	BVRB_3g059510	60.5544	65.2874
Os02g0700300	BVRB_5g107780	38.1944	35.8306
Os02g0700400	BVRB_5g108110	59.4203	58.2386
Os02g0700500	BVRB_5g108010	64.2185	63.3829
Os02g0700600	BVRB_4g087780	59.2593	60.5791
Os02g0700600	BVRB_8g182980	45.098	62.5378
Os02g0700600	BVRB_8g185210	43.3551	56.5341
Os02g0700600	BVRB_8g201500	41.8301	59.0769
Os02g0700600	BVRB_8g201510	42.4837	60
Os02g0700700	BVRB_5g107610	43.0657	50
Os02g0701600	BVRB_3g049450	59.9448	71.3816
Os02g0702000	BVRB_9g218580	42.0253	41.2935
Os02g0702100	BVRB_5g108320	50.4587	18.0921
Os02g0702400	BVRB_5g108510	62.9723	64.2673
Os02g0702500	BVRB_3g049430	47.0714	46.2343
Os02g0702600	BVRB_5g102170	47.5138	44.7917
Os02g0703300	BVRB_5g102340	32.6733	35.1064
Os02g0703600	BVRB_5g102360	63.7441	57.7253
Os02g0703900	BVRB_5g102460	53.0303	51.9802
Os02g0704000	BVRB_5g107230	51.2539	54.1391
Os02g0704300	BVRB_1g009830	70.6949	25.0267
Os02g0704500	BVRB_6g129190	33.8182	41.1504
Os02g0704600	BVRB_6g129160	36.6228	37.7828
Os02g0704600	BVRB_6g152040	5.26316	39.3443
Os02g0704800	BVRB_3g056930	72.2071	70.8556
Os02g0704900	BVRB_6g129080	79.4393	77.6256
Os02g0705000	BVRB_9g217250	61.4379	61.2378
Os02g0705100	BVRB_6g129050	56.3415	59.6899
Os02g0705300	BVRB_6g128960	66.5888	69.0073
Os02g0705400	BVRB_2g046540	16.3043	61.2245
Os02g0705400	BVRB_9g217280	69.0217	71.3483
Os02g0705500	BVRB_9g217290	30.1939	22.7083
Os02g0705600	BVRB_6g128940	31.2987	32.1333
Os02g0706500	BVRB_6g128900	60.8766	59.8086
Os02g0706900	BVRB_6g128830	52.2124	56.1905
Os02g0706900	BVRB_9g217340	23.5988	44.4444
Os02g0707000	BVRB_3g068160	58.7097	38.1551
Os02g0707100	BVRB_3g068160	71.6387	71.4885
Os02g0707200	BVRB_5g117160	36.4583	30.7018
Os02g0708100	BVRB_4g074870	64.0592	71.1268
Os02g0708100	BVRB_7g159090	63.8478	71.734
Os02g0708200	BVRB_3g059120	71.4724	69.2422
Os02g0708300	BVRB_001380	57.1429	35.4839
Os02g0708300	BVRB_7g169890	58.4416	39.823
Os02g0708400	BVRB_4g096320	44.1632	50.3205
Os02g0708400	BVRB_5g117010	65.9634	65.5028
Os02g0709000	BVRB_7g160610	68.2493	64.2458
Os02g0709200	BVRB_1g000940	71.0588	72.7711
Os02g0709400	BVRB_4g070930	66.7883	50.8569
Os02g0709600	BVRB_5g127030	38.9655	41.0909
Os02g0709600	BVRB_6g141130	40.6897	40.411
Os02g0709800	BVRB_8g193890	57.732	58.9474
Os02g0710102	BVRB_2g026320	42.2619	6.20087
Os02g0710102	BVRB_6g141190	32.7381	4.65707
Os02g0710300	BVRB_2g027790	35.3333	31.8318
Os02g0710700	BVRB_5g111920	32.853	33.6283
Os02g0710800	BVRB_6g151080	7.36342	14.6226
Os02g0710900	BVRB_010500	4.76718	45.2632
Os02g0710900	BVRB_5g122530	57.5388	60.9871
Os02g0711100	BVRB_2g027810	49.2843	47.8175
Os02g0711200	BVRB_6g141260	46.9194	21.7582
Os02g0711400	BVRB_5g126040	28.9855	30.5344
Os02g0711400	BVRB_6g141280	29.7101	22.5275
Os02g0712000	BVRB_2g027740	63.5721	64.6583
Os02g0712500	BVRB_001040	56.1776	56.9472
Os02g0712600	BVRB_6g139600	42.9155	45.0644
Os02g0712700	BVRB_6g139600	43.6412	46.6381
Os02g0713400	BVRB_6g136160	73.716	72.4036
Os02g0713700	BVRB_1g021620	45.2381	55.6777
Os02g0713700	BVRB_9g215940	44.9405	57.6336
Os02g0714000	BVRB_1g013920	46.6899	47.8571
Os02g0714100	BVRB_6g139610	54.4379	55.9271
Os02g0714300	BVRB_1g007920	39.5062	45.283
Os02g0714300	BVRB_7g176910	44.4444	38.8489
Os02g0714500	BVRB_6g136130	49.7253	30.652
Os02g0714600	BVRB_9g205950	81.5385	83.5962
Os02g0715200	BVRB_1g013970	57.7406	57.8616
Os02g0715200	BVRB_1g013980	65.0628	64.5228
Os02g0715300	BVRB_9g215770	31.1475	37.5
Os02g0716500	BVRB_3g060280	68.8144	69.8953
Os02g0716500	BVRB_4g071650	65.4639	65.4639
Os02g0716800	BVRB_4g071680	58.2192	54.3131
Os02g0717100	BVRB_4g071720	64.574	65.1584
Os02g0717200	BVRB_3g060440	35.5556	34.5324
Os02g0717200	BVRB_4g071840	42.963	44.9612
Os02g0717300	BVRB_3g060550	66.6667	61.7284
Os02g0717400	BVRB_2g029530	59.6073	58.8235
Os02g0717500	BVRB_2g029540	74.0223	73.8162
Os02g0717600	BVRB_4g072190	47.0588	53.112
Os02g0717700	BVRB_7g159480	50.3185	50.641
Os02g0717900	BVRB_4g072310	53.0612	56.2162
Os02g0718000	BVRB_2g029500	38.3085	33.4783
Os02g0718900	BVRB_4g072400	78.0105	76.2148
Os02g0719000	BVRB_3g066970	37.1353	65.7277
Os02g0719000	BVRB_4g089700	36.87	61.7778
Os02g0719000	BVRB_8g185070	37.1353	59.0717
Os02g0719100	BVRB_3g066950	63.0312	68.147
Os02g0719100	BVRB_4g089630	62.7479	64.5773
Os02g0719600	BVRB_3g048550	36.0526	37.027
Os02g0719600	BVRB_3g064890	32.6316	37.1257
Os02g0719600	BVRB_3g064910	25.5263	36.0595
Os02g0719600	BVRB_3g064940	31.8421	32.97
Os02g0719600	BVRB_3g064950	36.3158	33.3333
Os02g0719600	BVRB_6g151820	30.7895	36.7925
Os02g0719600	BVRB_9g209390	32.3684	33.6066
Os02g0719600	BVRB_9g217160	34.4737	38.9881
Os02g0719700	BVRB_8g185190	27.23	26.9767
Os02g0719800	BVRB_003840	56.8396	56.3084
Os02g0720000	BVRB_4g089200	8.79765	3.663
Os02g0720100	BVRB_5g098540	17.8899	28.8889
Os02g0720200	BVRB_4g089140	60.6112	61.7647
Os02g0720300	BVRB_9g204470	54.8507	58.5657
Os02g0720400	BVRB_8g201330	22.0544	22.1212
Os02g0720600	BVRB_2g044890	40.1728	35.7006
Os02g0720700	BVRB_1g013690	62.069	60.9023
Os02g0721700	BVRB_4g091220	41.9162	36.4583
Os02g0721700	BVRB_4g091740	38.9222	41.6667
Os02g0721700	BVRB_4g091750	40.7186	37.1585
Os02g0721700	BVRB_9g206560	49.1018	49.3976
Os02g0722001	BVRB_7g162780	41.9889	39.2765
Os02g0722300	BVRB_9g207680	77.0291	76.3278
Os02g0722400	BVRB_4g091170	55.531	54.5652
Os02g0722500	BVRB_8g187740	59.6386	59.4595
Os02g0722700	BVRB_4g091200	81.4685	79.7945
Os02g0722800	BVRB_4g091120	48.0956	47.1449
Os02g0723200	BVRB_6g128320	44.519	46.1717
Os02g0723300	BVRB_9g203680	33.8912	39.5122
Os02g0723400	BVRB_3g070500	35.122	40.678
Os02g0723600	BVRB_4g090870	59	49.5798
Os02g0723700	BVRB_3g070460	61.2069	59.1667
Os02g0724000	BVRB_9g208530	48.8943	48.4185
Os02g0724500	BVRB_4g090830	67.1717	70.1847
Os02g0724600	BVRB_4g090860	49.062	48.9209
Os02g0725000	BVRB_4g090880	67.1769	64.5425
Os02g0725000	BVRB_8g184290	66.1565	64.404
Os02g0725100	BVRB_4g090910	48.6111	48.2759
Os02g0725200	BVRB_9g206110	66.7331	67
Os02g0725300	BVRB_4g090680	49.5302	50.2041
Os02g0725300	BVRB_4g090690	51.4094	52.251
Os02g0725500	BVRB_4g090520	27.0642	28.9216
Os02g0725600	BVRB_8g189400	42.9864	26.4624
Os02g0725700	BVRB_1g003850	33.4646	27.9605
Os02g0726400	BVRB_5g113600	49.835	52.4306
Os02g0726500	BVRB_2g028230	65.4902	63.2576
Os02g0726500	BVRB_5g113610	69.8039	67.6806
Os02g0726500	BVRB_6g139960	56.2745	61.0638
Os02g0726600	BVRB_4g090410	57.3529	36.6197
Os02g0727100	BVRB_2g028450	62.5	60.4752
Os02g0727500	BVRB_4g093480	44.0217	59.1241
Os02g0727700	BVRB_2g028550	18.6495	12.5813
Os02g0727700	BVRB_5g113670	22.508	15.0862
Os02g0728001	BVRB_8g186270	28.4024	23.0769
Os02g0728100	BVRB_5g113700	62.7596	61.1272
Os02g0728300	BVRB_6g140370	53.9683	66.8852
Os02g0728600	BVRB_9g209110	65.1163	72.2581
Os02g0728700	BVRB_7g169180	36.3388	35.3723
Os02g0729100	BVRB_2g026170	32.9327	41.1411
Os02g0729100	BVRB_2g026180	31.0096	40.4389
Os02g0729100	BVRB_2g026190	31.9712	42.7653
Os02g0729200	BVRB_2g026170	35.1807	43.8438
Os02g0729200	BVRB_2g026180	34.2169	44.5141
Os02g0729200	BVRB_2g026190	31.3253	41.8006
Os02g0729400	BVRB_5g127120	53.7764	44.9495
Os02g0730000	BVRB_5g116750	71.7902	74.3446
Os02g0730000	BVRB_6g149040	73.5986	76.2172
Os02g0730000	BVRB_6g149050	64.9186	77.3707
Os02g0730000	BVRB_6g149060	70.1628	72.5234
Os02g0730050	BVRB_1g022450	16.7421	29.1339
Os02g0730100	BVRB_2g033520	11.5646	4.61957
Os02g0730100	BVRB_3g060520	15.6463	5.32407
Os02g0730100	BVRB_3g069400	4.7619	2.72374
Os02g0730100	BVRB_6g149090	6.80272	3.10559
Os02g0730300	BVRB_005060	69.4805	69.3005
Os02g0730300	BVRB_6g149160	70.6494	69.9229
Os02g0730400	BVRB_012870	15.5512	33.617
Os02g0730500	BVRB_4g096290	54.359	51.2077
Os02g0730600	BVRB_5g110840	49.8288	51.6874
Os02g0730800	BVRB_6g140940	39.599	45.6647
Os02g0731400	BVRB_1g023170	38.806	41.2698
Os02g0731400	BVRB_1g023180	41.0448	43.6508
Os02g0731400	BVRB_1g023200	41.791	45.5285
Os02g0731500	BVRB_2g026540	37.8788	28.0899
Os02g0731900	BVRB_2g026750	49.7006	67.4797
Os02g0731900	BVRB_6g141900	48.503	65.6757
Os02g0732200	BVRB_6g144830	50.3925	48.7102
Os02g0732500	BVRB_2g039210	85.3261	85.3261
Os02g0732700	BVRB_6g144490	65.4321	66.2914
Os02g0732900	BVRB_6g137230	57.6837	55.819
Os02g0733001	BVRB_6g144360	50	62.0155
Os02g0733300	BVRB_4g073830	67.9134	70.5521
Os02g0733800	BVRB_6g144500	53.9095	53.3605
Os02g0734400	BVRB_8g191790	40	20.614
Os02g0734500	BVRB_8g191790	33.3333	15.3509
Os02g0734600	BVRB_8g191790	23.3244	19.0789
Os02g0734800	BVRB_9g220950	34.8921	34.2756
Os02g0734900	BVRB_6g144470	73.4848	74.0458
Os02g0735100	BVRB_3g050270	28.125	29.0323
Os02g0735100	BVRB_3g050330	18.75	24.5614
Os02g0735100	BVRB_3g067440	34.5982	40.6824
Os02g0735100	BVRB_3g067450	43.5268	43.722
Os02g0735200	BVRB_9g203080	87.0787	87.0787
Os02g0735700	BVRB_6g145060	60.2662	59.6987
Os02g0735900	BVRB_6g156110	67.5159	28.9617
Os02g0736200	BVRB_2g040860	63.9189	41.7845
Os02g0736300	BVRB_6g150290	37.4194	52.3702
Os02g0736300	BVRB_6g150320	12.0968	44.6429
Os02g0736400	BVRB_2g045950	78.0193	76.3593
Os02g0736400	BVRB_7g161030	22.4638	65.493
Os02g0736500	BVRB_2g047570	53.5022	53.7425
Os02g0736600	BVRB_000810	40.3302	45.6406
Os02g0736600	BVRB_4g072540	40.566	45.8259
Os02g0736600	BVRB_6g136480	49.6855	48.5035
Os02g0738200	BVRB_8g201840	40.7895	41.8919
Os02g0738900	BVRB_6g146000	72.2644	72.8166
Os02g0739000	BVRB_6g155210	60.6446	60.9029
Os02g0739400	BVRB_6g155190	54.1555	52.0619
Os02g0739600	BVRB_6g155200	82.0513	81.0127
Os02g0739700	BVRB_5g116210	41.4966	49.1936
Os02g0739900	BVRB_5g115990	37.9085	36.9427
Os02g0739900	BVRB_6g155250	31.5359	28.1341
Os02g0740300	BVRB_8g185470	49.4272	51.0135
Os02g0740600	BVRB_5g116260	32.6087	34.8837
Os02g0740900	BVRB_5g116270	46.1916	45.9658
Os02g0740900	BVRB_6g156050	46.9287	46.8137
Os02g0741100	BVRB_6g147810	63.1222	69.403
Os02g0741200	BVRB_2g037500	38.6667	52.4096
Os02g0741200	BVRB_6g147820	39.7778	50.2809
Os02g0741300	BVRB_5g116320	69.5726	71.1538
Os02g0741400	BVRB_8g201670	20.428	4.93189
Os02g0741500	BVRB_8g201670	49.3014	11.6017
Os02g0741700	BVRB_5g116450	35.5422	25
Os02g0741700	BVRB_6g149540	36.1446	35.2941
Os02g0741800	BVRB_5g116470	79.7398	80.791
Os02g0741800	BVRB_6g149530	78.8104	79.5497
Os02g0741900	BVRB_6g149520	65.1934	65.1934
Os02g0742000	BVRB_013940	4.96709	60.5839
Os02g0742000	BVRB_2g032710	27.5284	32.6473
Os02g0742000	BVRB_2g032720	33.5129	35.443
Os02g0742000	BVRB_5g116490	35.0688	36.8322
Os02g0742100	BVRB_013940	1.45278	8.75912
Os02g0742100	BVRB_2g032710	22.6392	13.2718
Os02g0742100	BVRB_2g032720	24.5763	12.8481
Os02g0742100	BVRB_5g116490	25.5448	13.2621
Os02g0742200	BVRB_5g116510	85.0467	86.2559
Os02g0742500	BVRB_5g116520	72.7273	11.499
Os02g0742500	BVRB_5g116530	66.2338	10.4723
Os02g0742500	BVRB_5g116540	81.8182	11.1307
Os02g0742700	BVRB_6g149300	58.0357	49.4924
Os02g0742800	BVRB_1g015740	25.5898	13.6364
Os02g0742900	BVRB_1g015740	61.8421	18.1818
Os02g0743100	BVRB_5g116650	42.6768	41.3203
Os02g0743100	BVRB_6g149270	46.9697	50
Os02g0743200	BVRB_5g116680	35.0877	31.9149
Os02g0743200	BVRB_5g116690	31.5789	27.1357
Os02g0743400	BVRB_8g185310	19.1597	44.0154
Os02g0743500	BVRB_5g112590	47.1647	49.7626
Os02g0743600	BVRB_3g061780	30.3226	13.0194
Os02g0743700	BVRB_5g114340	42	48.3871
Os02g0743800	BVRB_3g052060	27.7311	33.3333
Os02g0743900	BVRB_6g153570	55.2239	60.3261
Os02g0744000	BVRB_5g114410	50.2762	48.9247
Os02g0744100	BVRB_6g153590	45.7338	60.9091
Os02g0744200	BVRB_5g114530	61.1684	70.9163
Os02g0744200	BVRB_6g153620	57.732	64.8649
Os02g0744900	BVRB_5g114670	71.7063	71.8615
Os02g0745000	BVRB_6g144220	85.9848	56.0494
Os02g0745400	BVRB_2g028590	50.3043	44.2857
Os02g0745600	BVRB_2g032420	23.5656	23.0461
Os02g0745700	BVRB_6g154080	57.3585	57.3585
Os02g0746000	BVRB_6g154150	63.1793	84.392
Os02g0747400	BVRB_6g154200	34.1463	38.5675
Os02g0747500	BVRB_5g126720	51.5625	57.5581
Os02g0747600	BVRB_3g058330	13.0178	14.1479
Os02g0748100	BVRB_1g007270	49.1049	48.1807
Os02g0748300	BVRB_5g125110	55.3991	53.3937
Os02g0748300	BVRB_6g154280	59.3897	56.4732
Os02g0748800	BVRB_009400	36.8564	28.8136
Os02g0749150	BVRB_9g202940	84.7015	22.2767
Os02g0749300	BVRB_6g149930	41.0256	27.3038
Os02g0749450	BVRB_7g178950	62.9213	62.9213
Os02g0749500	BVRB_5g124350	45.2381	7.57979
Os02g0749700	BVRB_1g021490	49.5682	50.7965
Os02g0750100	BVRB_6g150240	59	22.9572
Os02g0750400	BVRB_6g139490	54.717	23.8193
Os02g0750500	BVRB_1g021360	57.4932	59.9432
Os02g0751100	BVRB_6g135560	45	48.3471
Os02g0751600	BVRB_6g135540	48.6957	48.4848
Os02g0751800	BVRB_1g009560	68.3735	65.7971
Os02g0751900	BVRB_6g135450	54.2403	55.8182
Os02g0752000	BVRB_1g009550	44.1799	47.9885
Os02g0752200	BVRB_1g009520	58.0769	57.9284
Os02g0752200	BVRB_1g009530	60.5128	60.6684
Os02g0752200	BVRB_2g047360	56.4103	55.207
Os02g0752300	BVRB_6g135400	26.1398	22.6913
Os02g0752600	BVRB_9g214830	48.3221	50.9434
Os02g0752800	BVRB_1g009470	42.0118	37.0757
Os02g0753200	BVRB_9g214850	48.1928	53.0973
Os02g0753300	BVRB_6g135300	48.7047	53.4091
Os02g0753300	BVRB_6g135310	41.4508	43.0108
Os02g0753300	BVRB_6g135320	49.7409	57.485
Os02g0753400	BVRB_1g009420	33.9744	33.5443
Os02g0753500	BVRB_1g009410	46.2329	20.0297
Os02g0753500	BVRB_6g135290	50.3425	20.1646
Os02g0753800	BVRB_6g135160	63.6943	63.2911
Os02g0754000	BVRB_6g135150	51.6483	48.329
Os02g0754100	BVRB_1g000160	44.2362	43.7848
Os02g0754300	BVRB_6g135040	47.8788	47.0238
Os02g0754500	BVRB_9g215140	54.4861	54.1329
Os02g0754600	BVRB_9g215170	28.9474	31.8841
Os02g0754700	BVRB_7g161530	60.7803	58.498
Os02g0754800	BVRB_7g166640	37.8882	32.2751
Os02g0754900	BVRB_1g009050	52.8139	38.6076
Os02g0755000	BVRB_1g008980	56.8182	53.802
Os02g0755000	BVRB_6g134910	54.0909	52.5773
Os02g0755200	BVRB_9g215320	50.6478	51.3126
Os02g0755400	BVRB_1g013920	44.8864	28.2143
Os02g0755500	BVRB_9g215250	48.1481	48.1481
Os02g0755600	BVRB_9g215250	46.9307	48.7654
Os02g0755900	BVRB_1g008780	54.2074	57.3499
Os02g0755900	BVRB_1g008800	53.0333	55.9917
Os02g0755900	BVRB_1g008810	50.4892	53.527
Os02g0755900	BVRB_1g008820	49.5108	52.4896
Os02g0755900	BVRB_1g008830	48.1409	50.2041
Os02g0755900	BVRB_1g008840	43.4442	50.2262
Os02g0755900	BVRB_1g008850	50.4892	51.9115
Os02g0756100	BVRB_6g134850	38.1818	32.3077
Os02g0757100	BVRB_1g008700	54.3408	54.3408
Os02g0757100	BVRB_1g008710	53.3762	53.5484
Os02g0757100	BVRB_1g008720	54.0193	53.5032
Os02g0757100	BVRB_1g008740	56.5916	55
Os02g0757700	BVRB_1g008680	47.2222	49.3548
Os02g0757700	BVRB_6g134840	45.9877	46.2733
Os02g0757900	BVRB_6g134810	70.3704	69.0909
Os02g0758000	BVRB_5g123200	43.1818	44.8113
Os02g0758000	BVRB_8g182970	22.7273	26.3158
Os02g0758000	BVRB_9g210600	26.3636	27.619
Os02g0758100	BVRB_6g138640	73.9482	62.3465
Os02g0758800	BVRB_1g008430	32.5203	42.5532
Os02g0759400	BVRB_1g008260	20.595	28.3912
Os02g0759400	BVRB_1g008270	15.7895	23
Os02g0759400	BVRB_1g008280	22.6545	25
Os02g0759400	BVRB_1g008300	24.2563	26.1084
Os02g0759400	BVRB_4g094390	23.5698	29.4286
Os02g0759400	BVRB_4g094400	16.2471	22.8296
Os02g0759400	BVRB_6g138820	22.4256	30.0613
Os02g0759500	BVRB_6g143490	46.6667	45.7597
Os02g0759700	BVRB_1g008060	59.8116	62.9752
Os02g0759800	BVRB_8g197190	71.8287	72.788
Os02g0759900	BVRB_6g138990	24.3902	23.1481
Os02g0760000	BVRB_1g007890	36.2869	64.1791
Os02g0760200	BVRB_1g007870	63.936	55.3382
Os02g0760200	BVRB_6g139000	50.2825	57.7297
Os02g0760500	BVRB_1g007780	67.284	63.0058
Os02g0761000	BVRB_1g007680	43.4211	44
Os02g0761000	BVRB_6g133680	56.1404	56.3877
Os02g0761000	BVRB_9g214370	39.9123	40.8072
Os02g0761000	BVRB_9g221550	36.4035	37.8995
Os02g0761100	BVRB_6g134480	58.3127	64.9171
Os02g0761100	BVRB_9g218630	66.2531	73.9612
Os02g0761200	BVRB_9g218640	49.2441	50.7795
Os02g0761400	BVRB_9g218730	74.7967	8.55019
Os02g0761600	BVRB_1g013170	50	50.4587
Os02g0761700	BVRB_003470	64.5946	67.8977
Os02g0761900	BVRB_4g075300	84.5238	85.5422
Os02g0762200	BVRB_9g203880	40.7407	38.7097
Os02g0762300	BVRB_2g029610	73.8292	75.2809
Os02g0762600	BVRB_003380	33.9869	28.5714
Os02g0762800	BVRB_9g218770	59.7959	64.0437
Os02g0763000	BVRB_003370	51.9337	52.514
Os02g0764100	BVRB_6g142620	25.2964	16.0401
Os02g0764500	BVRB_4g089040	62.4521	61.5094
Os02g0765400	BVRB_9g213260	59.1324	60.6557
Os02g0765400	BVRB_9g213270	59.1324	60.514
Os02g0765400	BVRB_9g213280	59.1324	60.2326
Os02g0765400	BVRB_9g213370	57.7626	48.1905
Os02g0765600	BVRB_9g213260	60.5991	61.5925
Os02g0765600	BVRB_9g213270	59.447	60.2804
Os02g0765600	BVRB_9g213280	59.6774	60.2326
Os02g0765600	BVRB_9g213370	58.5253	48.381
Os02g0765800	BVRB_5g123940	40.9836	56.1798
Os02g0765800	BVRB_8g201530	65.5738	64
Os02g0765900	BVRB_4g087070	75.1799	34.7754
Os02g0766600	BVRB_003240	37.2973	39.6552
Os02g0766700	BVRB_7g169340	52.1008	38.0368
Os02g0767000	BVRB_003200	27.4162	31.5909
Os02g0767000	BVRB_1g015910	40.2367	35.5401
Os02g0767100	BVRB_1g013670	57.732	34.2717
Os02g0767200	BVRB_003170	40.6639	41.0901
Os02g0767200	BVRB_8g182250	45.8506	54.1667
Os02g0767300	BVRB_1g000190	53.7764	51.4451
Os02g0767300	BVRB_8g202170	49.2447	47.9412
Os02g0767400	BVRB_1g000170	32.8177	41.7722
Os02g0767500	BVRB_6g152060	77.9891	77.9891
Os02g0767700	BVRB_2g046330	50.4673	50
Os02g0767800	BVRB_1g000090	36.2126	41.4449
Os02g0767900	BVRB_7g163160	48.5714	52.7132
Os02g0768200	BVRB_4g080240	60.0917	60.6481
Os02g0768200	BVRB_6g143800	59.1743	60.8491
Os02g0768300	BVRB_1g000050	48.4375	46.9697
Os02g0768300	BVRB_6g148240	47.3958	45.7286
Os02g0768600	BVRB_1g011940	69.0476	67.893
Os02g0768750	BVRB_1g000440	25.9486	14.4809
Os02g0769200	BVRB_1g007630	49.6063	29.717
Os02g0769900	BVRB_7g171040	43.2638	45.6
Os02g0770000	BVRB_2g035270	72.3577	75.4237
Os02g0770100	BVRB_6g139400	34.1912	32.6889
Os02g0770300	BVRB_8g183930	10.9589	0.995025
Os02g0770300	BVRB_8g183950	8.21918	1.69972
Os02g0770600	BVRB_1g000390	40.2778	46.1783
Os02g0770700	BVRB_3g051580	31.1111	15.534
Os02g0770800	BVRB_1g000370	65.4668	64.3094
Os02g0771100	BVRB_8g185250	59.708	62.2527
Os02g0771100	BVRB_9g204280	69.4891	71.2575
Os02g0771700	BVRB_4g088930	53.6885	56.5875
Os02g0771700	BVRB_9g207720	56.1475	57.0833
Os02g0771800	BVRB_6g145670	45.6522	47.7997
Os02g0772000	BVRB_030700	14.7399	29.4798
Os02g0772000	BVRB_033940	2.31214	5.71429
Os02g0772000	BVRB_1g009990	37.2832	20.9076
Os02g0772000	BVRB_1g010730	52.8902	17.8711
Os02g0772300	BVRB_1g002230	43.3594	44.9393
Os02g0772500	BVRB_8g188650	44.244	44.6274
Os02g0773300	BVRB_8g187610	75.0649	45.5118
Os02g0773400	BVRB_8g188500	58.2902	58.4416
Os02g0773600	BVRB_3g060030	21.5278	17.971
Os02g0773732	BVRB_3g059990	38.5714	44.8505
Os02g0773732	BVRB_4g071550	39	48.3186
Os02g0774100	BVRB_3g059980	35.0877	31.9149
Os02g0774200	BVRB_4g078820	28.7129	32.2222
Os02g0774200	BVRB_4g078830	29.703	33.7079
Os02g0774200	BVRB_4g078870	31.6832	34.7826
Os02g0774300	BVRB_9g222110	81.5906	81.7109
Os02g0774500	BVRB_3g059950	59.7902	65.7692
Os02g0775200	BVRB_1g007540	76.4543	76.0331
Os02g0775400	BVRB_3g068940	68.5558	37.4625
Os02g0775600	BVRB_3g068910	34.767	31.3916
Os02g0776400	BVRB_002120	32.2222	38.8393
Os02g0776400	BVRB_7g170190	31.4815	29.9296
Os02g0776700	BVRB_7g170100	30.5958	31.1987
Os02g0776800	BVRB_010810	58.2317	60.7313
Os02g0776900	BVRB_000980	38.539	40.2632
Os02g0777100	BVRB_000990	51.4423	50.4123
Os02g0777400	BVRB_2g033750	72.7069	32.7621
Os02g0777700	BVRB_2g033710	56.9273	30.1818
Os02g0777800	BVRB_001370	50	19.4805
Os02g0777800	BVRB_7g169950	49.4444	20.8431
Os02g0777800	BVRB_7g169970	46.1111	18.2018
Os02g0778200	BVRB_9g205610	65.5955	70.8163
Os02g0778300	BVRB_001350	59.8315	60.3399
Os02g0778400	BVRB_2g026930	71.028	74.1463
Os02g0778500	BVRB_2g045370	27.1663	34.6269
Os02g0779000	BVRB_7g169820	46.1897	38.0769
Os02g0779000	BVRB_7g169830	39.6579	36.3766
Os02g0779000	BVRB_7g169840	41.9907	35.0195
Os02g0779200	BVRB_7g169820	58.5678	58.7179
Os02g0779200	BVRB_7g169830	45.2685	50.4993
Os02g0779200	BVRB_7g169840	49.2327	49.9352
Os02g0779900	BVRB_7g169820	49.1304	43.4615
Os02g0779900	BVRB_7g169830	43.913	43.224
Os02g0779900	BVRB_7g169840	45.0725	40.3372
Os02g0780200	BVRB_7g169820	46.5823	47.1795
Os02g0780200	BVRB_7g169830	41.1392	46.3623
Os02g0780200	BVRB_7g169840	43.7975	44.8768
Os02g0780500	BVRB_004270	51.2538	50.544
Os02g0780550	BVRB_2g045410	40.2062	34.1506
Os02g0780600	BVRB_010600	59.587	55.6474
Os02g0780700	BVRB_7g169790	61.9482	62.1374
Os02g0780800	BVRB_004930	72.6708	71.1246
Os02g0780800	BVRB_004940	0	0
Os02g0781000	BVRB_8g190740	69.8246	43.8326
Os02g0781300	BVRB_8g190680	36.019	33.7778
Os02g0781300	BVRB_8g190700	35.0711	32.5991
