Gene stable ID	Dioscorea rotundata gene stable ID	%id. target Dioscorea rotundata gene identical to query gene	%id. query gene identical to target Dioscorea rotundata gene
Os03g0328100	Dr09183	58.6345	60.8333
Os03g0328100	Dr11976	65.261	66.0569
Os03g0328400	Dr09184	88.6364	7.4856
Os03g0328501	Dr10239	32.1543	27.1003
Os03g0328900	Dr02319	52.0349	53.9157
Os03g0328900	Dr05825	41.5698	56.2992
Os03g0329200	Dr02319	50.0739	51.0542
Os03g0329200	Dr05825	40.6204	54.1339
Os03g0329500	Dr11970	82.8756	82.3435
Os03g0329900	Dr10938	40.4206	38.5301
Os03g0330000	Dr09190	52.7734	50.9174
Os03g0330000	Dr11969	50.5547	39.0931
Os03g0330300	Dr09192	44.8276	42.5287
Os03g0331600	Dr11964	61.3793	40.2715
Os03g0331700	Dr02338	62.1053	64.8352
Os03g0331700	Dr09195	47.3684	63.8298
Os03g0331700	Dr11963	61.5789	62.5668
Os03g0332100	Dr02339	49.4361	50.7722
Os03g0332100	Dr09196	48.6842	57.4279
Os03g0332400	Dr09198	73.6434	73.6434
Os03g0332533	Dr11957	41.196	49.4024
Os03g0332700	Dr11954	49.8392	52.901
Os03g0332900	Dr02347	56.7823	57.1429
Os03g0332900	Dr05863	55.0473	54.5312
Os03g0333000	Dr11952	26.1792	30.2452
Os03g0333100	Dr00530	25.678	71.4623
Os03g0333200	Dr11951	68.4211	68.4978
Os03g0333300	Dr05866	74.0741	47.2813
Os03g0334000	Dr09203	65.8333	69.1466
Os03g0334000	Dr11949	73.3333	59.3592
Os03g0334700	Dr11947	69.3302	47.812
Os03g0334800	Dr11946	65.587	55.1959
Os03g0335100	Dr08446	24.282	15.5779
Os03g0335300	Dr09212	74.0446	31.6973
Os03g0335300	Dr14943	73.2484	73.955
Os03g0335500	Dr09213	62.6159	64.2027
Os03g0335500	Dr14945	65.8084	65.5385
Os03g0335600	Dr14249	70.4461	29.2213
Os03g0336100	Dr09214	47.4777	36.1991
Os03g0336200	Dr14951	42.5532	54.0541
Os03g0336300	Dr15983	59.0385	59.7858
Os03g0336400	Dr00284	59.0734	75
Os03g0336400	Dr15981	67.9537	68.75
Os03g0336500	Dr15980	49.7872	24.5283
Os03g0336600	Dr15979	59.3074	57.3222
Os03g0336700	Dr02479	26.7633	30.4396
Os03g0337500	Dr02478	56.286	66.3043
Os03g0337600	Dr15972	71.7949	49.5575
Os03g0337700	Dr03593	85.283	84.0149
Os03g0337700	Dr06833	33.9623	42.2535
Os03g0337700	Dr18333	30.1887	27.3973
Os03g0337900	Dr18271	36.0558	80.4444
Os03g0338600	Dr15962	42.4419	41.3989
Os03g0339100	Dr04369	74.1525	75.7576
Os03g0339700	Dr09220	24.4485	32.9208
Os03g0339900	Dr15971	68.2927	67.3961
Os03g0340001	Dr15972	46.6667	16.1062
Os03g0340100	Dr02024	21	17.5
Os03g0340100	Dr16613	21.5	13.522
Os03g0340500	Dr18284	80.2225	82.3604
Os03g0340900	Dr18285	66.704	69.0255
Os03g0341100	Dr03714	29.4118	30.8989
Os03g0341100	Dr18290	88.7701	75.7991
Os03g0341200	Dr04373	0	0
Os03g0341300	Dr18294	44.8819	38.5135
Os03g0342900	Dr18295	46.6165	50
Os03g0343300	Dr18297	50.2262	37.884
Os03g0344100	Dr04366	61.5385	28.115
Os03g0345100	Dr06993	50.5593	51.1312
Os03g0345300	Dr06995	50.7082	54.2424
Os03g0346700	Dr07003	48.8673	51.1864
Os03g0346800	Dr07007	19.6464	53.1915
Os03g0347200	Dr06832	64.9366	65.5413
Os03g0347300	Dr07011	35.0593	17.7402
Os03g0347500	Dr10217	43	48.6792
Os03g0347800	Dr14811	1.6129	2.67857
Os03g0347800	Dr14812	37.0968	41.5663
Os03g0348800	Dr07025	54.375	24.6459
Os03g0348900	Dr07028	45.7692	49.7908
Os03g0348900	Dr24093	42.6923	30
Os03g0349000	Dr24094	3.7931	70.2128
Os03g0350100	Dr02058	76.9366	74.7009
Os03g0350300	Dr02058	76.7606	74.5299
Os03g0351100	Dr07038	36.7246	32.1041
Os03g0351400	Dr07041	68.5811	52.3196
Os03g0351500	Dr10493	40.7895	72.093
Os03g0352400	Dr05270	77.3832	73.0159
Os03g0352800	Dr07950	33.3333	41.6667
Os03g0353400	Dr09084	34.375	34.8101
Os03g0353500	Dr09087	40.708	46.7005
Os03g0353600	Dr01087	61.0922	13.1957
Os03g0353701	Dr01087	52.0958	3.20678
Os03g0355200	Dr09092	65.458	61.25
Os03g0355400	Dr09092	65.458	61.25
Os03g0355600	Dr16336	85.7783	84.5475
Os03g0355800	Dr14963	77.7372	71.7172
Os03g0356414	Dr07966	83.3887	75.1497
Os03g0356470	Dr02093	35.6481	12.3794
Os03g0356484	Dr07128	64.7399	68.2927
Os03g0356498	Dr00139	57.6087	15.0568
Os03g0356498	Dr18410	3.26087	2.54237
Os03g0356526	Dr04007	32.2835	42.0513
Os03g0356652	Dr09969	26.2673	51.3514
Os03g0356700	Dr21294	22.0497	56.3492
Os03g0358000	Dr06805	31.5068	33.0595
Os03g0358100	Dr06816	72.7811	71.5116
Os03g0358800	Dr03083	40.198	41.3442
Os03g0359000	Dr06856	50.2203	42.7767
Os03g0359100	Dr02572	35.8491	5.9375
Os03g0359600	Dr02269	69.4524	70.2624
Os03g0359700	Dr00191	38.0952	60.0939
Os03g0359700	Dr00195	22.0238	37
Os03g0360500	Dr02544	51.6854	87.619
Os03g0360600	Dr05414	42.8571	40.9524
Os03g0360800	Dr07074	18.7381	61.25
Os03g0362200	Dr10472	46.831	48.5993
Os03g0363100	Dr10472	44.4706	46.0414
Os03g0363400	Dr09387	33.6066	42.487
Os03g0363500	Dr07077	34.7092	45.122
Os03g0363600	Dr07077	39.2233	49.2683
Os03g0363900	Dr02284	65.1832	63.5204
Os03g0363950	Dr09116	54.6512	29.9841
Os03g0364000	Dr20303	72.6316	71.875
Os03g0364400	Dr02924	62.8635	67.0644
Os03g0364500	Dr08514	55.3279	27.2727
Os03g0364500	Dr09127	52.8689	27.9826
Os03g0366000	Dr09134	61.2245	68.9655
Os03g0366700	Dr09138	60.5063	33.9007
Os03g0366800	Dr09140	52.1311	59.1078
Os03g0366800	Dr16774	50.8197	56.9853
Os03g0366800	Dr18427	46.2295	52.2222
Os03g0367000	Dr12703	50.1582	62.6482
Os03g0367101	Dr18381	18.3673	50
Os03g0367200	Dr15804	64.4444	43.9394
Os03g0367800	Dr11931	70.8571	71.6763
Os03g0367900	Dr01986	68.018	68.9498
Os03g0369100	Dr07941	37.7193	34.127
Os03g0369100	Dr07943	34.2105	29.5455
Os03g0369700	Dr03677	39.7287	47.3441
Os03g0370000	Dr15635	73.9726	62.069
Os03g0370200	Dr17645	19.5426	27.9346
Os03g0370250	Dr16683	26.1501	30.9456
Os03g0370250	Dr17659	25.6659	29.2818
Os03g0370400	Dr07075	55.4404	58.4699
Os03g0370800	Dr20100	37.7049	43.949
Os03g0370900	Dr15617	50.7722	49.3433
Os03g0371350	Dr04514	39.8649	20.7746
Os03g0374500	Dr10430	55.9792	51.8459
Os03g0374575	Dr14154	67.2811	54.4776
Os03g0374900	Dr00225	4.54545	6.75676
Os03g0375200	Dr10573	37.5221	44.4444
Os03g0375300	Dr00225	6.21572	15.3153
Os03g0375900	Dr00225	55.0725	51.3514
Os03g0375966	Dr00225	4.48718	6.30631
Os03g0376100	Dr07472	80.7377	35.8182
Os03g0376800	Dr04058	65.3137	66.9187
Os03g0376800	Dr12443	63.0996	59.4783
Os03g0376900	Dr00664	63.3621	79.4595
Os03g0376900	Dr07473	70.2586	73.0942
Os03g0377100	Dr04055	62.5	66.5323
Os03g0377100	Dr11985	59.4697	62.8
Os03g0377300	Dr02093	33.6088	19.6141
Os03g0377500	Dr02093	56.2092	41.4791
Os03g0378000	Dr04045	30.9055	39.4472
Os03g0378200	Dr02995	58.4783	58.9912
Os03g0379300	Dr07495	38.0952	42.1053
Os03g0379400	Dr04038	31.068	62.3377
Os03g0379500	Dr04036	77.8846	35.2174
Os03g0381000	Dr12424	50.7979	52.9086
Os03g0381100	Dr04029	57.8348	43.0998
Os03g0381300	Dr04028	57.8035	57.1429
Os03g0381300	Dr12423	61.2717	51.2077
Os03g0382100	Dr10960	47.3233	49.1111
Os03g0383600	Dr10960	41.3136	43.3333
Os03g0383800	Dr12412	41.1189	42.7948
Os03g0383900	Dr12411	59.8726	61.4379
Os03g0385301	Dr12409	58.0247	57.3171
Os03g0385900	Dr20542	17.1687	27.9412
Os03g0386700	Dr12389	47.6	51.4039
Os03g0386700	Dr12390	46	39.1823
Os03g0386700	Dr12391	49.6	45.6722
Os03g0386700	Dr12392	49.2	49.004
Os03g0386800	Dr12389	47.1739	46.8683
Os03g0386800	Dr12390	45.6522	35.7751
Os03g0386800	Dr12391	50.6522	42.9098
Os03g0386800	Dr12392	51.3043	47.012
Os03g0387000	Dr12387	66.6667	28.7977
Os03g0387800	Dr00725	43.4483	50
Os03g0387900	Dr12384	19.9301	16.8639
Os03g0388366	Dr12382	49.3507	15.0198
Os03g0388500	Dr07519	65.9933	14.6378
Os03g0388800	Dr07516	52.3669	26.4179
Os03g0388800	Dr16047	36.6864	53.4483
Os03g0388900	Dr09749	38.8587	42.0588
Os03g0389100	Dr09749	40.7285	36.1765
Os03g0389501	Dr09749	34.6154	21.1765
Os03g0389700	Dr00312	76.036	66.7721
Os03g0389700	Dr09753	73.8739	86.4979
Os03g0389900	Dr09754	56.6632	56.4263
Os03g0390000	Dr00313	89.3878	89.3878
Os03g0390000	Dr03804	91.0204	40.9926
Os03g0390000	Dr09756	92.2449	44.3137
Os03g0390400	Dr03820	50.8876	38.0531
Os03g0390700	Dr08835	58.982	59.1592
Os03g0391000	Dr06432	59.2827	57.1138
Os03g0391100	Dr03795	18.3908	21.2766
Os03g0391100	Dr11634	23.2184	25.187
Os03g0391400	Dr08081	20.5479	51.7241
Os03g0392000	Dr03784	46.3415	32.948
Os03g0392000	Dr11603	41.4634	27.7929
Os03g0392300	Dr05040	78.3251	78.3251
Os03g0392600	Dr02834	48.5106	57.2864
Os03g0393300	Dr02834	36.5741	19.8492
Os03g0393700	Dr02834	47.0213	55.5276
Os03g0394900	Dr12856	61.8785	62.0499
Os03g0395300	Dr21035	47.5515	43.2084
Os03g0395600	Dr11668	43.0079	13.3442
Os03g0395900	Dr02174	69.4915	61.2957
Os03g0396000	Dr07921	26.8542	43.0328
Os03g0396900	Dr15119	31.1594	31.4327
Os03g0397300	Dr12447	54.6314	61.3588
Os03g0397400	Dr21951	76.2014	74.1648
Os03g0397500	Dr01664	75.9162	65.71
Os03g0397600	Dr04065	57.8093	57
Os03g0398600	Dr02024	19.6429	22.9167
Os03g0398600	Dr16613	19.6429	17.2956
Os03g0399400	Dr07595	46.0784	46.0784
Os03g0399532	Dr12452	47.8555	24.1458
Os03g0400700	Dr07597	29.8851	27.0833
Os03g0400901	Dr09105	19.3237	32.7869
Os03g0400901	Dr09113	32.8502	31.5545
Os03g0401200	Dr08198	43.5829	33.5046
Os03g0401300	Dr07601	81.4951	80.5085
Os03g0401300	Dr12455	80.8824	80.9816
Os03g0402000	Dr14735	63.1016	78.1457
Os03g0402400	Dr18907	69.8925	42.0712
Os03g0402400	Dr20161	69.8925	37.3563
Os03g0402800	Dr07578	31.5789	36.1809
Os03g0402800	Dr18921	38.5965	43.5644
Os03g0403100	Dr08833	74.5455	71.3339
Os03g0404800	Dr12463	53.3835	25.3119
Os03g0405000	Dr12463	66.1319	66.1319
Os03g0405100	Dr07576	54.4892	60.274
Os03g0405500	Dr20184	56.4148	54.223
Os03g0405500	Dr20185	22.3199	41.7763
Os03g0405900	Dr20184	54.5611	53.5473
Os03g0405900	Dr20185	22.3752	42.7632
Os03g0406200	Dr00335	74.3363	55.2632
Os03g0406200	Dr10658	60.6195	58.7983
Os03g0407000	Dr07572	39.1667	21.3961
Os03g0407000	Dr12464	36.3889	21.8698
Os03g0407400	Dr20190	24.1379	14.5078
Os03g0407900	Dr18928	40.2	52.2078
Os03g0407900	Dr20191	45.4	51.7084
Os03g0408300	Dr20193	78.7671	77.7027
Os03g0408500	Dr07567	61.6071	67.6471
Os03g0408600	Dr07566	48.566	45.9313
Os03g0409400	Dr18697	64.4898	74.8815
Os03g0410700	Dr18637	56.1688	57.6667
Os03g0410900	Dr18941	80	46.0432
Os03g0411000	Dr12370	28.1453	22.3251
Os03g0411100	Dr18951	41.3249	46.1268
Os03g0411500	Dr14607	60.6178	58.8015
Os03g0411600	Dr14605	46.0123	45.4545
Os03g0411800	Dr07990	59.4972	60.1695
Os03g0411800	Dr20135	51.676	56.0606
Os03g0412200	Dr16183	35.1145	19.0871
Os03g0412200	Dr17442	38.1679	31.0559
Os03g0412300	Dr14305	20.5645	19.6911
Os03g0412300	Dr14603	22.5806	28
Os03g0412300	Dr17443	15.3226	15.5738
Os03g0412300	Dr17444	20.1613	25.1256
Os03g0412300	Dr17445	20.1613	17.4216
Os03g0412300	Dr17447	20.5645	22.6667
Os03g0413100	Dr16177	69.0266	68.8742
Os03g0413100	Dr17455	71.6814	45.3147
Os03g0413400	Dr04324	68.0222	69.962
Os03g0414400	Dr04318	56.7568	55.7522
Os03g0415200	Dr17465	69.7222	69.5291
Os03g0415500	Dr09302	56.25	52.7027
Os03g0415600	Dr09302	20.339	21.6216
Os03g0415700	Dr09302	3.55731	4.05405
Os03g0416200	Dr08017	30.3419	73.1959
Os03g0416500	Dr08015	57.4324	62.2711
Os03g0417700	Dr14612	54.9515	55.2734
Os03g0417700	Dr16168	58.835	56.2152
Os03g0417800	Dr14613	65.5172	62.2951
Os03g0418800	Dr16159	31.1663	31.9608
Os03g0419100	Dr08009	38.1107	38.6139
Os03g0421000	Dr16148	15.8257	14.9028
Os03g0421400	Dr16514	40	14.6479
Os03g0421700	Dr16610	58.3333	28.2511
Os03g0422600	Dr13476	54.5788	37.6263
Os03g0422600	Dr13478	55.6777	34.3115
Os03g0422800	Dr20106	48.3188	47.2019
Os03g0422800	Dr20126	47.8207	46.9438
Os03g0423000	Dr13515	63.2	62.6984
Os03g0423200	Dr03023	77.5862	19.8238
Os03g0423300	Dr15104	45.2153	50.5348
Os03g0423800	Dr17277	65.251	30.0178
Os03g0424200	Dr02805	38.417	20.203
Os03g0424500	Dr10537	68.4931	40.3226
Os03g0424500	Dr16143	78.0822	68.2635
Os03g0424800	Dr10537	68.4931	40.3226
Os03g0424800	Dr16143	78.0822	68.2635
Os03g0425200	Dr08960	73.6025	73.6025
Os03g0425600	Dr10540	86.2786	86.4583
Os03g0425600	Dr13519	81.9127	82.0833
Os03g0425600	Dr16873	76.9231	75.3564
Os03g0425600	Dr16874	63.4096	66.7396
Os03g0425600	Dr16876	79.8337	79.8337
Os03g0425800	Dr16141	23.2682	25.9921
Os03g0426900	Dr13511	80.4703	80.3061
Os03g0427000	Dr13507	59.919	68.5185
Os03g0427100	Dr16138	60.2996	59.6296
Os03g0427900	Dr13505	70.3668	73.5621
Os03g0428000	Dr12422	54.0816	3.30012
Os03g0428700	Dr05212	63.6719	63.1783
Os03g0428800	Dr13911	65.1515	37.3913
Os03g0429800	Dr15306	71.7312	71.0051
Os03g0430000	Dr10657	23.1405	36.3636
Os03g0430400	Dr13866	45.6522	10.7362
Os03g0431200	Dr10641	0	0
Os03g0431800	Dr00334	48.9394	34.5824
Os03g0432000	Dr10637	29.3878	35.2941
Os03g0434400	Dr09656	24.5033	36.6337
Os03g0434400	Dr09658	48.6755	48.8372
Os03g0434400	Dr09659	53.9735	52.0767
Os03g0434400	Dr09663	42.053	32.732
Os03g0434400	Dr09664	53.9735	53.7954
Os03g0436300	Dr21138	43.8792	48.8496
Os03g0436400	Dr13476	66.9192	66.9192
Os03g0436400	Dr13478	65.404	58.465
Os03g0437600	Dr10620	77.1218	74.9104
Os03g0437600	Dr10621	81.1808	81.1808
Os03g0438100	Dr09286	38.3333	30.5648
Os03g0439500	Dr04014	23.3871	29.7945
Os03g0439500	Dr04015	40.0538	39.5225
Os03g0439500	Dr04017	39.7849	40.7714
Os03g0439500	Dr04018	38.172	27.6803
Os03g0439500	Dr04019	25	28.5276
Os03g0439500	Dr04020	34.4086	37.4269
Os03g0439700	Dr00633	39.7436	51.4523
Os03g0440200	Dr07167	63.2653	66.5871
Os03g0440900	Dr10615	70.6422	72.6415
Os03g0441000	Dr00635	41.2698	33.4653
Os03g0441500	Dr04974	72.9577	71.2517
Os03g0446200	Dr04462	32.4786	7.6
Os03g0448600	Dr00322	76.9679	84.0764
Os03g0448700	Dr06027	29.7727	29.2411
Os03g0449200	Dr13491	62.4046	66.5988
Os03g0452300	Dr14062	50.3067	44.5652
Os03g0454100	Dr15016	75.7794	75.7794
Os03g0554900	Dr03103	39.6648	10.9189
Os03g0554950	Dr03103	43.6242	4.99808
Os03g0559900	Dr23579	1.37931	1.02564
Os03g0562200	Dr03659	41.9672	42.8094
Os03g0563100	Dr08623	56.1258	60.8618
Os03g0563300	Dr18718	79.5181	81.2808
Os03g0564200	Dr19668	46.2185	57.2917
Os03g0564600	Dr03645	34.9594	21.0269
Os03g0564600	Dr09677	30.8943	29.4574
Os03g0565200	Dr18351	61.25	64.4737
Os03g0565500	Dr04639	79.6565	83.4025
Os03g0565500	Dr17707	81.7701	75.4878
Os03g0565600	Dr00904	25.3846	63.4615
Os03g0566500	Dr04358	48.0186	50.2439
Os03g0567600	Dr04979	38.0208	24.8018
Os03g0568400	Dr09693	33.2278	20.8333
Os03g0568600	Dr14008	28.6	47.1947
Os03g0568800	Dr06951	40.1481	38.4943
Os03g0569800	Dr12374	34.0062	39.2473
Os03g0569900	Dr14013	54.2289	47.807
Os03g0570100	Dr17345	13.5283	37
Os03g0570100	Dr17346	46.8007	47.9401
Os03g0570100	Dr17347	21.9378	55.2995
Os03g0570100	Dr17348	13.7112	35.3774
Os03g0570100	Dr17349	44.7898	45.539
Os03g0570100	Dr17354	15.3565	40.5797
Os03g0570100	Dr17355	45.8867	30.2774
Os03g0570100	Dr20299	25.2285	34.5
Os03g0570200	Dr03186	53.125	16.8109
Os03g0570300	Dr10902	61.8605	68.3805
Os03g0570800	Dr14017	72.6	70.4854
Os03g0571700	Dr14017	67.5676	48.5437
Os03g0571900	Dr14017	73.8462	74.5631
Os03g0572900	Dr14017	75.4	73.2039
Os03g0574600	Dr14037	44.3182	50.6493
Os03g0576400	Dr09202	61.8182	15.5963
Os03g0576700	Dr01744	86.0577	86.4734
Os03g0576700	Dr02943	87.5	87.9227
Os03g0576700	Dr03833	86.0577	86.4734
Os03g0577000	Dr18638	90.7895	88.4615
Os03g0577100	Dr11299	27.8008	28.5106
Os03g0577200	Dr00028	93.4579	93.0233
Os03g0577500	Dr03602	75.6158	75.43
Os03g0578900	Dr14041	18.75	32.3529
Os03g0579000	Dr03598	63.7019	61.7716
Os03g0579200	Dr12039	28.9727	23.4263
Os03g0580200	Dr14042	53.6585	23.1579
Os03g0580200	Dr14043	42.6829	19.2308
Os03g0580200	Dr14046	36.5854	16.5746
Os03g0580200	Dr20023	51.2195	23.0769
Os03g0580800	Dr14042	42.4802	42.3684
Os03g0580800	Dr14043	35.0924	36.5385
Os03g0580800	Dr14046	36.9393	38.674
Os03g0580800	Dr20023	39.8417	41.4835
Os03g0581400	Dr14042	45.1697	45.5263
Os03g0581400	Dr14043	35.5091	37.3626
Os03g0581400	Dr14046	36.2924	38.3978
Os03g0581400	Dr20023	38.9034	40.9341
Os03g0581650	Dr19521	44.3182	20
Os03g0581800	Dr00803	50.5494	24.4681
Os03g0582200	Dr03704	70.607	76.7361
Os03g0582200	Dr19526	69.0096	69.9029
Os03g0582400	Dr11689	22.8916	18.038
Os03g0582400	Dr17149	26.1044	25.6917
Os03g0582400	Dr17150	20.0803	38.1679
Os03g0582400	Dr17259	26.1044	23.3813
Os03g0583700	Dr10062	36.8794	60.4651
Os03g0583800	Dr03716	48.8827	65.0558
Os03g0584400	Dr08157	47.0414	36.6359
Os03g0584400	Dr08164	46.4497	32.6403
Os03g0584400	Dr08165	49.7041	35.8209
Os03g0584400	Dr08166	46.7456	34.8786
Os03g0586300	Dr10812	56.7416	33.0606
Os03g0586500	Dr12682	18.4502	60.9756
Os03g0586500	Dr12683	18.8192	62.1951
Os03g0586600	Dr16558	90.8451	68.617
Os03g0586700	Dr14857	71.6561	70.3125
Os03g0586800	Dr13331	76.0797	51.2304
Os03g0586900	Dr00364	75.576	75.9259
Os03g0587100	Dr16190	53.1343	68.1992
Os03g0590700	Dr03011	73.2394	19.5489
Os03g0592500	Dr10688	88.9734	88.6364
Os03g0593200	Dr17427	67.8627	50.173
Os03g0594400	Dr02497	60.3448	61.284
Os03g0594400	Dr03684	64.751	64.381
Os03g0594400	Dr03687	47.7011	59.5694
Os03g0594400	Dr07123	47.5096	61.8454
Os03g0594400	Dr11205	63.9847	64.3545
Os03g0594400	Dr19513	63.9847	64.4788
Os03g0594700	Dr10672	22.3638	18.4689
Os03g0595200	Dr16183	44.7552	26.556
Os03g0595200	Dr17442	51.049	45.3416
Os03g0596900	Dr16178	29.5875	27.5862
Os03g0596900	Dr17452	28.734	24.8768
Os03g0597200	Dr02389	54.4474	53.4392
Os03g0598100	Dr04325	66.8874	58.6073
Os03g0598200	Dr17457	54.1667	52.7215
Os03g0598700	Dr14600	36.1502	34.5291
Os03g0598800	Dr08332	81.8182	83.8235
Os03g0598800	Dr08794	81.8182	53.4375
Os03g0599400	Dr04353	28.4746	23.0453
Os03g0599600	Dr17459	66.3158	26.5823
Os03g0600400	Dr16174	85.1852	21.3953
Os03g0602300	Dr17464	69.5096	69.5096
Os03g0603100	Dr14612	54.717	22.6562
Os03g0603100	Dr16168	58.9623	23.1911
Os03g0603300	Dr02921	37.276	26.943
Os03g0603300	Dr15241	34.767	18.097
Os03g0604200	Dr17478	81.9502	82.2917
Os03g0604566	Dr00637	30.5936	36.2162
Os03g0604566	Dr00639	30.5936	36.2162
Os03g0604600	Dr06039	44.0735	34.1085
Os03g0605300	Dr06041	67.8431	70.1351
Os03g0606100	Dr06044	69.7727	67.6211
Os03g0606600	Dr06047	52.2936	21.229
Os03g0606600	Dr06048	52.2936	19.4872
Os03g0607500	Dr06051	67.7596	29.2453
Os03g0607500	Dr16122	66.1202	29.0168
Os03g0607600	Dr06053	34.0461	55.3476
Os03g0607600	Dr10582	33.7171	56.4738
Os03g0607700	Dr13487	26.1224	29.2237
Os03g0609200	Dr16491	40.367	23.4043
Os03g0609800	Dr06029	66.2461	67.2
Os03g0609800	Dr16110	64.3533	65.3846
Os03g0610650	Dr16094	61.3636	62.7907
Os03g0610650	Dr16095	55.0505	56.9191
Os03g0610650	Dr16096	42.9293	65.1341
Os03g0610700	Dr16094	62.3853	35.1421
Os03g0610700	Dr16095	63.7615	36.2924
Os03g0610700	Dr16096	62.3853	52.1073
Os03g0610800	Dr16094	58.7654	61.4987
Os03g0610800	Dr16095	51.8519	54.8303
Os03g0610800	Dr16096	40	62.069
Os03g0610900	Dr06005	24.5856	41.2037
Os03g0611700	Dr06002	39.4737	21.4286
Os03g0612400	Dr16102	24.1814	34.657
Os03g0612600	Dr06001	45.7143	44.9438
Os03g0616300	Dr05997	48.4603	51.2864
Os03g0616400	Dr00327	68.7318	69.6078
Os03g0616400	Dr10596	62.1491	66.5975
Os03g0616500	Dr16104	44.3299	32.0099
Os03g0616700	Dr20998	71.6828	43.8614
Os03g0617900	Dr16091	67.9518	70.8543
Os03g0618300	Dr05985	55.9659	56.1254
Os03g0618300	Dr05986	54.8295	57.958
Os03g0618300	Dr05987	55.1136	55.1136
Os03g0618300	Dr05988	58.8068	59.3123
Os03g0618300	Dr05989	56.5341	57.0201
Os03g0618300	Dr05990	55.3977	55.8739
Os03g0619400	Dr01989	88.1905	87.8558
Os03g0619600	Dr05981	17.1642	26.4368
Os03g0619800	Dr05981	12.8155	18.9655
Os03g0619850	Dr05981	23.3202	16.954
Os03g0620400	Dr05981	12.7389	11.4943
Os03g0620500	Dr05981	28.8288	9.1954
Os03g0620800	Dr14742	64.2055	63.8978
Os03g0621600	Dr05981	8.40951	13.2184
Os03g0621650	Dr05981	1.81818	0.862069
Os03g0621900	Dr05981	29.3706	12.069
Os03g0622100	Dr05981	20.6806	22.7011
Os03g0622200	Dr05981	20.1058	21.8391
Os03g0624000	Dr05969	40.6593	24.4224
Os03g0624600	Dr15269	43.6533	40.2857
Os03g0624800	Dr13883	35.1893	44.1341
Os03g0625900	Dr19296	22.8963	61.9048
Os03g0626600	Dr05948	48.4725	63.807
Os03g0626700	Dr16073	65.8281	67.382
Os03g0626800	Dr03072	94.6667	94.6667
Os03g0627300	Dr15931	60.3896	21.6279
Os03g0627500	Dr01073	51.9608	58.7583
Os03g0628800	Dr01067	58.5766	57.3214
Os03g0632800	Dr01059	34.0278	30.4979
Os03g0633100	Dr16490	34.9515	12.9496
Os03g0633400	Dr16490	63.3929	38.3094
Os03g0633800	Dr01034	48.2301	57.3684
Os03g0633800	Dr03418	46.9027	54.359
Os03g0633900	Dr01033	43.0868	43.9344
Os03g0634000	Dr01026	43.5294	47.1338
Os03g0634400	Dr01023	42.0582	43.418
Os03g0634400	Dr03423	45.6376	55.5858
Os03g0635100	Dr15929	59.1398	63.9535
Os03g0635100	Dr16483	64.5161	28.3019
Os03g0635800	Dr03428	61.6402	50
Os03g0635800	Dr08414	26.7196	40.239
Os03g0636700	Dr08428	35.123	43.9776
Os03g0636700	Dr22137	38.0313	38.0313
Os03g0636800	Dr03433	68.2805	67.4918
Os03g0636800	Dr08429	68.9482	68.6047
Os03g0637600	Dr08430	49.2386	50.3896
Os03g0637800	Dr08999	63.485	65.3714
Os03g0637900	Dr03435	30.4651	8.71011
Os03g0637900	Dr15821	31.8605	6.57705
Os03g0638300	Dr03436	52.2124	7.32919
Os03g0638300	Dr08434	51.3274	7.46461
Os03g0638800	Dr00924	61.2137	66.4756
Os03g0638800	Dr08441	75.4617	80.791
Os03g0638900	Dr06755	28.2313	15.5722
Os03g0638900	Dr06756	29.932	32.2344
Os03g0639700	Dr04695	73.8426	71.5247
Os03g0640000	Dr04700	45.1247	51.0256
Os03g0640000	Dr14801	48.5261	52.0681
Os03g0640100	Dr04712	89.0187	89.6471
Os03g0640300	Dr00650	50.5494	45.098
Os03g0640800	Dr04721	84.4005	82.4801
Os03g0641700	Dr04396	68.6364	64.5299
Os03g0642300	Dr04735	57.7006	64.0964
Os03g0643100	Dr00556	16.2228	35.8289
Os03g0643100	Dr00987	13.5593	27.0531
Os03g0643100	Dr05814	22.7603	25.2011
Os03g0643100	Dr07343	19.8547	27.0627
Os03g0643100	Dr10660	15.2542	19.8738
Os03g0643100	Dr11563	14.2857	30.5699
Os03g0643100	Dr11679	12.5908	22.0339
Os03g0643100	Dr13139	18.4019	11.8196
Os03g0643100	Dr15370	14.5278	24.2915
Os03g0643100	Dr15710	17.4334	35.468
Os03g0643100	Dr18774	15.7385	26
Os03g0643100	Dr19303	9.4431	30.9524
Os03g0643100	Dr19721	4.60048	14.0741
Os03g0643100	Dr20123	20.5811	25.3731
Os03g0643100	Dr22002	17.6755	26.8382
Os03g0643300	Dr04750	78.0127	78.3439
Os03g0643700	Dr01139	32.7586	43.6782
Os03g0643700	Dr01140	46.1207	48.4163
Os03g0643700	Dr01141	47.8448	40.9594
Os03g0643700	Dr01143	44.8276	39.0977
Os03g0643700	Dr04752	40.5172	41.7778
Os03g0643700	Dr09059	39.2241	42.9245
Os03g0643700	Dr18738	20.2586	47
Os03g0644000	Dr09250	55.0898	58.8486
Os03g0644400	Dr12697	69.556	43.8083
Os03g0644400	Dr20094	72.7273	75.6044
Os03g0645100	Dr01124	71.5596	62.4
Os03g0645100	Dr21341	83.4862	88.9251
Os03g0645100	Dr21344	32.7217	49.3088
