A0A0P0X5U4	Jaiswal:PITA_000087673-RA
Q2QXY1	Jaiswal:PITA_000010101-RA
Q2QXY9	Jaiswal:PITA_000019790-RA
Q2QY63	Jaiswal:PITA_000039277-RA Jaiswal:PITA_000017029-RA
Q2QYB7	Jaiswal:PITA_000047435-RA
Q2QYW4	Jaiswal:PITA_000007413-RA
Q2QZ14	Jaiswal:PITA_000036766-RA
Q2R0P3	Jaiswal:PITA_000012808-RA
Q2R1G8	Jaiswal:PITA_000014062-RA
Q2R1L4	Jaiswal:PITA_000077211-RA
Q2R2W2	Jaiswal:PITA_000025142-RA Jaiswal:PITA_000068406-RA
Q2R2W3	Jaiswal:PITA_000014204-RA Jaiswal:PITA_000014206-RA Jaiswal:PITA_000014209-RA Jaiswal:PITA_000014207-RA Jaiswal:PITA_000056866-RA Jaiswal:PITA_000071329-RA Jaiswal:PITA_000065245-RA
Q2R2W8	Jaiswal:PITA_000028385-RA Jaiswal:PITA_000090085-RA Jaiswal:PITA_000042578-RA Jaiswal:PITA_000084593-RA Jaiswal:PITA_000038441-RA Jaiswal:PITA_000016235-RA Jaiswal:PITA_000031992-RA Jaiswal:PITA_000037831-RA
Q2R339	Jaiswal:PITA_000004076-RA
Q2R3A1	Jaiswal:PITA_000015419-RA Jaiswal:PITA_000094990-RA Jaiswal:PITA_000023498-RA Jaiswal:PITA_000035118-RA Jaiswal:PITA_000035012-RA Jaiswal:PITA_000006631-RA Jaiswal:PITA_000039968-RA Jaiswal:PITA_000018217-RA Jaiswal:PITA_000017127-RA Jaiswal:PITA_000018504-RA Jaiswal:PITA_000017128-RA Jaiswal:PITA_000007991-RA Jaiswal:PITA_000058354-RA Jaiswal:PITA_000019615-RA
Q2R3F5	Jaiswal:PITA_000003491-RA Jaiswal:PITA_000003490-RA Jaiswal:PITA_000029231-RA
Q2R3K3	Jaiswal:PITA_000000379-RA
Q2R3K5	Jaiswal:PITA_000005637-RA Jaiswal:PITA_000024873-RA Jaiswal:PITA_000033319-RA
Q2R3Y4	Jaiswal:PITA_000007770-RA Jaiswal:PITA_000000085-RA Jaiswal:PITA_000014512-RA Jaiswal:PITA_000032579-RA
Q2R481	Jaiswal:PITA_000072266-RA
Q2RA11	Jaiswal:PITA_000007770-RA Jaiswal:PITA_000000085-RA Jaiswal:PITA_000014512-RA Jaiswal:PITA_000032579-RA
Q2RAP0	Jaiswal:PITA_000010101-RA
Q2RAP4	Jaiswal:PITA_000055651-RA
Q2RAP8	Jaiswal:PITA_000019790-RA
Q2RAY0	Jaiswal:PITA_000039277-RA Jaiswal:PITA_000017029-RA
Q2RB02	Jaiswal:PITA_000022370-RA Jaiswal:PITA_000091205-RA Jaiswal:PITA_000005402-RA
Q2RB23	Jaiswal:PITA_000047435-RA
Q2RBP2	Jaiswal:PITA_000075987-RA
Q2V0P1	Jaiswal:PITA_000031780-RA
Q336M7	Jaiswal:PITA_000089867-RA
Q336P5	Jaiswal:PITA_000014317-RA
Q336R6	Jaiswal:PITA_000019100-RA
Q336U3	Jaiswal:PITA_000047846-RA Jaiswal:PITA_000002750-RA Jaiswal:PITA_000026519-RA Jaiswal:PITA_000026517-RA Jaiswal:PITA_000062635-RA Jaiswal:PITA_000051502-RA
Q336X9	Jaiswal:PITA_000025424-RA
Q337F0	Jaiswal:PITA_000005767-RA
Q337F3	Jaiswal:PITA_000012090-RA Jaiswal:PITA_000012092-RA
Q337H3	Jaiswal:PITA_000021460-RA
Q338Z4	Jaiswal:PITA_000012287-RA
Q33AP0	Jaiswal:PITA_000034296-RA Jaiswal:PITA_000054029-RA
Q40704	Jaiswal:PITA_000031780-RA
Q40710	Jaiswal:PITA_000059777-RA Jaiswal:PITA_000065047-RA Jaiswal:PITA_000014707-RA Jaiswal:PITA_000064583-RA Jaiswal:PITA_000081839-RA Jaiswal:PITA_000078692-RA Jaiswal:PITA_000008702-RA Jaiswal:PITA_000008701-RA Jaiswal:PITA_000078356-RA Jaiswal:PITA_000007015-RA Jaiswal:PITA_000049042-RA Jaiswal:PITA_000014704-RA Jaiswal:PITA_000008699-RA Jaiswal:PITA_000069520-RA Jaiswal:PITA_000008698-RA Jaiswal:PITA_000082182-RA Jaiswal:PITA_000062983-RA Jaiswal:PITA_000049213-RA
Q42971	Jaiswal:PITA_000003610-RA Jaiswal:PITA_000003613-RA Jaiswal:PITA_000003615-RA
Q42982	Jaiswal:PITA_000001065-RA Jaiswal:PITA_000037248-RA Jaiswal:PITA_000016723-RA Jaiswal:PITA_000016722-RA Jaiswal:PITA_000016727-RA
Q43007	Jaiswal:PITA_000008448-RA Jaiswal:PITA_000086163-RA
Q4W8D0	Jaiswal:PITA_000017720-RA Jaiswal:PITA_000017722-RA
Q52RG7	Jaiswal:PITA_000089264-RA Jaiswal:PITA_000047718-RA Jaiswal:PITA_000042220-RA
Q53JI9	Jaiswal:PITA_000007469-RA
Q53JP2	Jaiswal:PITA_000056390-RA Jaiswal:PITA_000011975-RA Jaiswal:PITA_000011980-RA Jaiswal:PITA_000011981-RA Jaiswal:PITA_000053351-RA Jaiswal:PITA_000092827-RA Jaiswal:PITA_000064959-RA Jaiswal:PITA_000039997-RA Jaiswal:PITA_000045734-RA Jaiswal:PITA_000049750-RA
Q53L28	Jaiswal:PITA_000020381-RA
Q53M09	Jaiswal:PITA_000017778-RA
Q53NW6	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q53P49	Jaiswal:PITA_000077861-RA
Q53QJ0	Jaiswal:PITA_000032491-RA
Q53QJ9	Jaiswal:PITA_000064454-RA
Q53RH0	Jaiswal:PITA_000020141-RA
Q5CCK1	Jaiswal:PITA_000055651-RA
Q5CCK3	Jaiswal:PITA_000048874-RA Jaiswal:PITA_000027632-RA
Q5JJV0	Jaiswal:PITA_000011069-RA Jaiswal:PITA_000090499-RA Jaiswal:PITA_000046783-RA Jaiswal:PITA_000062149-RA Jaiswal:PITA_000074934-RA Jaiswal:PITA_000011068-RA Jaiswal:PITA_000008872-RA Jaiswal:PITA_000008873-RA Jaiswal:PITA_000050242-RA Jaiswal:PITA_000008875-RA Jaiswal:PITA_000039270-RA Jaiswal:PITA_000008876-RA Jaiswal:PITA_000008878-RA Jaiswal:PITA_000055568-RA Jaiswal:PITA_000091248-RA Jaiswal:PITA_000067886-RA
Q5JK20	Jaiswal:PITA_000003491-RA Jaiswal:PITA_000003490-RA Jaiswal:PITA_000029231-RA
Q5JK39	Jaiswal:PITA_000000379-RA
Q5JLS4	Jaiswal:PITA_000065925-RA
Q5JMA6	Jaiswal:PITA_000021891-RA
Q5JMB6	Jaiswal:PITA_000022177-RA Jaiswal:PITA_000065630-RA Jaiswal:PITA_000035667-RA Jaiswal:PITA_000005729-RA
Q5JMC7	Jaiswal:PITA_000034362-RA
Q5JME6	Jaiswal:PITA_000030469-RA
Q5JMX5	Jaiswal:PITA_000074596-RA
Q5JMX9	Jaiswal:PITA_000024039-RA
Q5MBR3	Jaiswal:PITA_000049047-RA
Q5MBR5	Jaiswal:PITA_000049047-RA
Q5N725	Jaiswal:PITA_000027983-RA
Q5N7L0	Jaiswal:PITA_000003401-RA Jaiswal:PITA_000003404-RA
Q5N7Z8	Jaiswal:PITA_000004869-RA Jaiswal:PITA_000022455-RA Jaiswal:PITA_000075472-RA Jaiswal:PITA_000022456-RA Jaiswal:PITA_000040375-RA Jaiswal:PITA_000070258-RA Jaiswal:PITA_000004879-RA Jaiswal:PITA_000058385-RA Jaiswal:PITA_000031833-RA Jaiswal:PITA_000004872-RA Jaiswal:PITA_000040374-RA Jaiswal:PITA_000008622-RA
Q5N8G1	Jaiswal:PITA_000002338-RA
Q5N8H9	Jaiswal:PITA_000025276-RA
Q5N8Q3	Jaiswal:PITA_000018011-RA
Q5N9N2	Jaiswal:PITA_000003685-RA Jaiswal:PITA_000079711-RA Jaiswal:PITA_000021257-RA Jaiswal:PITA_000034536-RA
Q5N9Z8	Jaiswal:PITA_000039398-RA
Q5NAY4	Jaiswal:PITA_000041352-RA
Q5NAZ7	Jaiswal:PITA_000077861-RA
Q5NB25	Jaiswal:PITA_000013282-RA Jaiswal:PITA_000013281-RA Jaiswal:PITA_000021061-RA Jaiswal:PITA_000018409-RA Jaiswal:PITA_000016972-RA
Q5NTH3	Jaiswal:PITA_000055310-RA Jaiswal:PITA_000015427-RA Jaiswal:PITA_000002968-RA
Q5NTH4	Jaiswal:PITA_000055310-RA Jaiswal:PITA_000015427-RA Jaiswal:PITA_000002968-RA
Q5SMQ9	Jaiswal:PITA_000003882-RA Jaiswal:PITA_000012975-RA Jaiswal:PITA_000024726-RA Jaiswal:PITA_000046447-RA Jaiswal:PITA_000013100-RA
Q5VMP0	Jaiswal:PITA_000074194-RA Jaiswal:PITA_000046118-RA
Q5VMP2	Jaiswal:PITA_000014131-RA
Q5VNP5	Jaiswal:PITA_000088963-RA
Q5VNW0	Jaiswal:PITA_000057580-RA
Q5VP70	Jaiswal:PITA_000003882-RA Jaiswal:PITA_000012975-RA Jaiswal:PITA_000024726-RA Jaiswal:PITA_000046447-RA Jaiswal:PITA_000013100-RA
Q5VQG4	Jaiswal:PITA_000017800-RA Jaiswal:PITA_000076469-RA Jaiswal:PITA_000038106-RA Jaiswal:PITA_000067126-RA Jaiswal:PITA_000049831-RA Jaiswal:PITA_000087141-RA
Q5VQG8	Jaiswal:PITA_000027966-RA Jaiswal:PITA_000027613-RA Jaiswal:PITA_000019549-RA Jaiswal:PITA_000043457-RA
Q5VRB9	Jaiswal:PITA_000046423-RA Jaiswal:PITA_000072962-RA Jaiswal:PITA_000090942-RA Jaiswal:PITA_000029918-RA Jaiswal:PITA_000026952-RA Jaiswal:PITA_000061174-RA Jaiswal:PITA_000063609-RA Jaiswal:PITA_000045079-RA Jaiswal:PITA_000044561-RA Jaiswal:PITA_000048318-RA Jaiswal:PITA_000069109-RA Jaiswal:PITA_000084631-RA Jaiswal:PITA_000072961-RA Jaiswal:PITA_000086333-RA
Q5VRH4	Jaiswal:PITA_000022525-RA
Q5VRM7	Jaiswal:PITA_000060831-RA
Q5VSB8	Jaiswal:PITA_000071321-RA
Q5W670	Jaiswal:PITA_000043034-RA Jaiswal:PITA_000020741-RA Jaiswal:PITA_000023688-RA Jaiswal:PITA_000096383-RA Jaiswal:PITA_000062751-RA Jaiswal:PITA_000075724-RA
Q5W6F1	Jaiswal:PITA_000004890-RA Jaiswal:PITA_000032119-RA Jaiswal:PITA_000074708-RA Jaiswal:PITA_000077664-RA Jaiswal:PITA_000000899-RA
Q5XLJ2	Jaiswal:PITA_000004076-RA
Q5Z5B7	Jaiswal:PITA_000050116-RA
Q5Z5R4	Jaiswal:PITA_000037777-RA Jaiswal:PITA_000037776-RA Jaiswal:PITA_000039605-RA
Q5Z5R7	Jaiswal:PITA_000037777-RA Jaiswal:PITA_000037776-RA Jaiswal:PITA_000039605-RA
Q5Z6D3	Jaiswal:PITA_000089483-RA Jaiswal:PITA_000042597-RA Jaiswal:PITA_000081095-RA Jaiswal:PITA_000013086-RA Jaiswal:PITA_000056027-RA
Q5Z749	Jaiswal:PITA_000013282-RA Jaiswal:PITA_000013281-RA Jaiswal:PITA_000021061-RA Jaiswal:PITA_000018409-RA Jaiswal:PITA_000016972-RA
Q5Z7R3	Jaiswal:PITA_000092964-RA Jaiswal:PITA_000095346-RA Jaiswal:PITA_000022940-RA Jaiswal:PITA_000026782-RA Jaiswal:PITA_000068204-RA Jaiswal:PITA_000000261-RA Jaiswal:PITA_000036913-RA Jaiswal:PITA_000095986-RA
Q5Z856	Jaiswal:PITA_000066241-RA
Q5Z8K3	Jaiswal:PITA_000016014-RA
Q5Z8S0	Jaiswal:PITA_000038314-RA Jaiswal:PITA_000043579-RA
Q5Z8T3	Jaiswal:PITA_000061062-RA
Q5Z8V9	Jaiswal:PITA_000051157-RA Jaiswal:PITA_000000612-RA
Q5Z8Y4	Jaiswal:PITA_000039589-RA
Q5ZCV1	Jaiswal:PITA_000013953-RA
Q5ZEL4	Jaiswal:PITA_000028737-RA Jaiswal:PITA_000052194-RA Jaiswal:PITA_000078563-RA
Q60EX6	Jaiswal:PITA_000028237-RA Jaiswal:PITA_000008896-RA
Q64MA9	Jaiswal:PITA_000015565-RA
Q650W1	Jaiswal:PITA_000003782-RA
Q651F0	Jaiswal:PITA_000063182-RA Jaiswal:PITA_000079630-RA Jaiswal:PITA_000094657-RA Jaiswal:PITA_000077007-RA
Q652A8	Jaiswal:PITA_000017044-RA
Q653D9	Jaiswal:PITA_000014131-RA
Q653F4	Jaiswal:PITA_000036772-RA
Q653H7	Jaiswal:PITA_000031545-RA Jaiswal:PITA_000044653-RA Jaiswal:PITA_000038323-RA
Q653U3	Jaiswal:PITA_000002681-RA
Q655W2	Jaiswal:PITA_000039007-RA
Q655Y9	Jaiswal:PITA_000077301-RA
Q656F1	Jaiswal:PITA_000053224-RA Jaiswal:PITA_000078544-RA
Q657X7	Jaiswal:PITA_000075788-RA Jaiswal:PITA_000036681-RA
Q65X70	Jaiswal:PITA_000040983-RA
Q65XC6	Jaiswal:PITA_000046423-RA Jaiswal:PITA_000072962-RA Jaiswal:PITA_000090942-RA Jaiswal:PITA_000029918-RA Jaiswal:PITA_000026952-RA Jaiswal:PITA_000061174-RA Jaiswal:PITA_000063609-RA Jaiswal:PITA_000045079-RA Jaiswal:PITA_000044561-RA Jaiswal:PITA_000048318-RA Jaiswal:PITA_000069109-RA Jaiswal:PITA_000084631-RA Jaiswal:PITA_000072961-RA Jaiswal:PITA_000086333-RA
Q65XK0	Jaiswal:PITA_000003787-RA
Q65XM9	Jaiswal:PITA_000088212-RA
Q65XR9	Jaiswal:PITA_000008448-RA Jaiswal:PITA_000086163-RA
Q67TQ5	Jaiswal:PITA_000062013-RA Jaiswal:PITA_000021805-RA
Q67TS1	Jaiswal:PITA_000047140-RA
Q67TS4	Jaiswal:PITA_000047140-RA
Q67TZ7	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q67UL3	Jaiswal:PITA_000003882-RA Jaiswal:PITA_000012975-RA Jaiswal:PITA_000024726-RA Jaiswal:PITA_000046447-RA Jaiswal:PITA_000013100-RA
Q67UX0	Jaiswal:PITA_000016014-RA
Q67UZ8	Jaiswal:PITA_000018772-RA Jaiswal:PITA_000018771-RA
Q67VM1	Jaiswal:PITA_000033229-RA
Q67VR7	Jaiswal:PITA_000026693-RA Jaiswal:PITA_000022356-RA Jaiswal:PITA_000036758-RA Jaiswal:PITA_000022355-RA Jaiswal:PITA_000073613-RA Jaiswal:PITA_000022353-RA Jaiswal:PITA_000022352-RA Jaiswal:PITA_000010668-RA Jaiswal:PITA_000001634-RA Jaiswal:PITA_000079384-RA Jaiswal:PITA_000034865-RA Jaiswal:PITA_000042784-RA Jaiswal:PITA_000084358-RA Jaiswal:PITA_000061487-RA
Q67W82	Jaiswal:PITA_000001065-RA Jaiswal:PITA_000037248-RA Jaiswal:PITA_000016723-RA Jaiswal:PITA_000016722-RA Jaiswal:PITA_000016727-RA
Q67WK8	Jaiswal:PITA_000032780-RA Jaiswal:PITA_000056298-RA
Q67WN8	Jaiswal:PITA_000051806-RA
Q67WR2	Jaiswal:PITA_000021973-RA
Q688Q8	Jaiswal:PITA_000017731-RA
Q688T8	Jaiswal:PITA_000005995-RA Jaiswal:PITA_000006000-RA
Q689G9	Jaiswal:PITA_000029102-RA
Q69J27	Jaiswal:PITA_000000834-RA Jaiswal:PITA_000073142-RA
Q69K00	Jaiswal:PITA_000001519-RA Jaiswal:PITA_000095411-RA Jaiswal:PITA_000017002-RA
Q69KM5	Jaiswal:PITA_000047944-RA
Q69L93	Jaiswal:PITA_000036766-RA
Q69LG7	Jaiswal:PITA_000004760-RA
Q69MH0	Jaiswal:PITA_000022145-RA Jaiswal:PITA_000071437-RA Jaiswal:PITA_000090045-RA Jaiswal:PITA_000033873-RA Jaiswal:PITA_000081366-RA Jaiswal:PITA_000041624-RA Jaiswal:PITA_000046984-RA Jaiswal:PITA_000019034-RA Jaiswal:PITA_000057497-RA
Q69NY7	Jaiswal:PITA_000014580-RA Jaiswal:PITA_000033015-RA Jaiswal:PITA_000051014-RA
Q69P51	Jaiswal:PITA_000059700-RA
Q69P64	Jaiswal:PITA_000021643-RA Jaiswal:PITA_000077159-RA Jaiswal:PITA_000030592-RA Jaiswal:PITA_000021644-RA Jaiswal:PITA_000096486-RA
Q69P84	Jaiswal:PITA_000070588-RA Jaiswal:PITA_000011965-RA
Q69P94	Jaiswal:PITA_000015143-RA Jaiswal:PITA_000076257-RA Jaiswal:PITA_000011978-RA Jaiswal:PITA_000046468-RA Jaiswal:PITA_000013697-RA Jaiswal:PITA_000022964-RA Jaiswal:PITA_000036965-RA Jaiswal:PITA_000022502-RA Jaiswal:PITA_000038595-RA Jaiswal:PITA_000067565-RA Jaiswal:PITA_000013699-RA Jaiswal:PITA_000046407-RA Jaiswal:PITA_000006541-RA Jaiswal:PITA_000028922-RA Jaiswal:PITA_000013695-RA Jaiswal:PITA_000013698-RA Jaiswal:PITA_000087097-RA Jaiswal:PITA_000040612-RA Jaiswal:PITA_000038493-RA Jaiswal:PITA_000026622-RA Jaiswal:PITA_000032761-RA Jaiswal:PITA_000013780-RA Jaiswal:PITA_000075864-RA Jaiswal:PITA_000074837-RA
Q69QD7	Jaiswal:PITA_000007079-RA
Q69RG7	Jaiswal:PITA_000009681-RA Jaiswal:PITA_000058849-RA Jaiswal:PITA_000078975-RA Jaiswal:PITA_000007266-RA Jaiswal:PITA_000009378-RA
Q69RJ0	Jaiswal:PITA_000013792-RA
Q69T90	Jaiswal:PITA_000019014-RA Jaiswal:PITA_000038867-RA
Q69T99	Jaiswal:PITA_000058870-RA Jaiswal:PITA_000015008-RA Jaiswal:PITA_000052054-RA Jaiswal:PITA_000018806-RA Jaiswal:PITA_000018807-RA
Q69TF4	Jaiswal:PITA_000041996-RA
Q69TH6	Jaiswal:PITA_000093142-RA Jaiswal:PITA_000056161-RA
Q69TT1	Jaiswal:PITA_000054349-RA
Q69TV4	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q69TV6	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q69TV8	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q69TW5	Jaiswal:PITA_000062013-RA Jaiswal:PITA_000021805-RA
Q69U93	Jaiswal:PITA_000028958-RA
Q69V57	Jaiswal:PITA_000027983-RA
Q69XS7	Jaiswal:PITA_000007189-RA Jaiswal:PITA_000007198-RA Jaiswal:PITA_000050506-RA Jaiswal:PITA_000043679-RA Jaiswal:PITA_000007188-RA Jaiswal:PITA_000007196-RA Jaiswal:PITA_000009317-RA Jaiswal:PITA_000069096-RA Jaiswal:PITA_000007187-RA Jaiswal:PITA_000005688-RA Jaiswal:PITA_000001059-RA Jaiswal:PITA_000067590-RA
Q6AT26	Jaiswal:PITA_000080808-RA
Q6AT32	Jaiswal:PITA_000019196-RA Jaiswal:PITA_000019195-RA
Q6AT33	Jaiswal:PITA_000013282-RA Jaiswal:PITA_000013281-RA Jaiswal:PITA_000021061-RA Jaiswal:PITA_000018409-RA Jaiswal:PITA_000016972-RA
Q6AT41	Jaiswal:PITA_000018002-RA
Q6AUB0	Jaiswal:PITA_000029525-RA Jaiswal:PITA_000071142-RA Jaiswal:PITA_000029529-RA
Q6AUJ8	Jaiswal:PITA_000015672-RA
Q6AV34	Jaiswal:PITA_000023660-RA
Q6AVG6	Jaiswal:PITA_000061538-RA
Q6BDZ9	Jaiswal:PITA_000012766-RA Jaiswal:PITA_000084151-RA Jaiswal:PITA_000009690-RA Jaiswal:PITA_000028918-RA Jaiswal:PITA_000052333-RA
Q6EN48	Jaiswal:PITA_000037097-RA
Q6EN68	Jaiswal:PITA_000036800-RA Jaiswal:PITA_000010633-RA
Q6EP31	Jaiswal:PITA_000086385-RA Jaiswal:PITA_000039402-RA Jaiswal:PITA_000023110-RA
Q6EP59	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q6EP77	Jaiswal:PITA_000001124-RA Jaiswal:PITA_000025008-RA Jaiswal:PITA_000066918-RA Jaiswal:PITA_000008056-RA
Q6EPN6	Jaiswal:PITA_000070150-RA
Q6EPY7	Jaiswal:PITA_000063863-RA
Q6EQW2	Jaiswal:PITA_000019110-RA Jaiswal:PITA_000016700-RA
Q6ERR3	Jaiswal:PITA_000003222-RA Jaiswal:PITA_000015395-RA Jaiswal:PITA_000031487-RA Jaiswal:PITA_000002717-RA Jaiswal:PITA_000002709-RA Jaiswal:PITA_000054477-RA Jaiswal:PITA_000015397-RA Jaiswal:PITA_000002703-RA
Q6ESJ0	Jaiswal:PITA_000057500-RA Jaiswal:PITA_000065389-RA Jaiswal:PITA_000066261-RA Jaiswal:PITA_000083403-RA Jaiswal:PITA_000065580-RA Jaiswal:PITA_000009678-RA Jaiswal:PITA_000009679-RA Jaiswal:PITA_000009670-RA Jaiswal:PITA_000009675-RA Jaiswal:PITA_000054714-RA
Q6ESZ9	Jaiswal:PITA_000025019-RA
Q6ET36	Jaiswal:PITA_000010805-RA
Q6ET88	Jaiswal:PITA_000040032-RA
Q6ETD3	Jaiswal:PITA_000021785-RA Jaiswal:PITA_000021788-RA
Q6ETN3	Jaiswal:PITA_000001065-RA Jaiswal:PITA_000037248-RA Jaiswal:PITA_000016723-RA Jaiswal:PITA_000016722-RA Jaiswal:PITA_000016727-RA
Q6ETX4	Jaiswal:PITA_000025563-RA Jaiswal:PITA_000028190-RA
Q6EUF1	Jaiswal:PITA_000049159-RA Jaiswal:PITA_000023912-RA Jaiswal:PITA_000064570-RA
Q6EUNO	Jaiswal:PITA_000016006-RA Jaiswal:PITA_000002658-RA
Q6EUP4	Jaiswal:PITA_000025142-RA Jaiswal:PITA_000068406-RA
Q6EUS6	Jaiswal:PITA_000041511-RA
Q6F361	Jaiswal:PITA_000015443-RA
Q6H543	Jaiswal:PITA_000043034-RA Jaiswal:PITA_000020741-RA Jaiswal:PITA_000023688-RA Jaiswal:PITA_000096383-RA Jaiswal:PITA_000062751-RA Jaiswal:PITA_000075724-RA
Q6H5C7	Jaiswal:PITA_000077211-RA
Q6H5U3	Jaiswal:PITA_000034245-RA
Q6H5Z4	Jaiswal:PITA_000038314-RA Jaiswal:PITA_000043579-RA
Q6H6G1	Jaiswal:PITA_000045591-RA
Q6H6I1	Jaiswal:PITA_000032306-RA
Q6H6P8	Jaiswal:PITA_000015281-RA Jaiswal:PITA_000023314-RA Jaiswal:PITA_000013392-RA Jaiswal:PITA_000085550-RA
Q6H703	Jaiswal:PITA_000039007-RA
Q6H7M1	Jaiswal:PITA_000011491-RA
Q6H819	Jaiswal:PITA_000030258-RA
Q6H849	Jaiswal:PITA_000010047-RA Jaiswal:PITA_000010048-RA
Q6H851	Jaiswal:PITA_000010047-RA Jaiswal:PITA_000010048-RA
Q6H8F6	Jaiswal:PITA_000047140-RA
Q6I581	Jaiswal:PITA_000077861-RA
Q6I5C3	Jaiswal:PITA_000045414-RA Jaiswal:PITA_000017434-RA
Q6I628	Jaiswal:PITA_000018011-RA
Q6IVC3	Jaiswal:PITA_000068029-RA
Q6J1A5	Jaiswal:PITA_000001124-RA Jaiswal:PITA_000025008-RA Jaiswal:PITA_000066918-RA Jaiswal:PITA_000008056-RA
Q6K1S6	Jaiswal:PITA_000052628-RA Jaiswal:PITA_000035895-RA Jaiswal:PITA_000044575-RA Jaiswal:PITA_000046254-RA Jaiswal:PITA_000053978-RA Jaiswal:PITA_000023649-RA Jaiswal:PITA_000019094-RA Jaiswal:PITA_000057494-RA Jaiswal:PITA_000078623-RA Jaiswal:PITA_000078455-RA Jaiswal:PITA_000068693-RA Jaiswal:PITA_000051431-RA Jaiswal:PITA_000012086-RA Jaiswal:PITA_000043348-RA Jaiswal:PITA_000069031-RA Jaiswal:PITA_000078762-RA Jaiswal:PITA_000071108-RA Jaiswal:PITA_000033349-RA Jaiswal:PITA_000005224-RA Jaiswal:PITA_000083353-RA Jaiswal:PITA_000033868-RA Jaiswal:PITA_000021711-RA Jaiswal:PITA_000019919-RA Jaiswal:PITA_000022533-RA Jaiswal:PITA_000019825-RA Jaiswal:PITA_000010251-RA Jaiswal:PITA_000010254-RA Jaiswal:PITA_000021739-RA Jaiswal:PITA_000079153-RA Jaiswal:PITA_000007548-RA Jaiswal:PITA_000079172-RA Jaiswal:PITA_000005183-RA Jaiswal:PITA_000010250-RA Jaiswal:PITA_000012087-RA Jaiswal:PITA_000081507-RA Jaiswal:PITA_000055552-RA Jaiswal:PITA_000017531-RA Jaiswal:PITA_000047156-RA Jaiswal:PITA_000034465-RA Jaiswal:PITA_000089552-RA Jaiswal:PITA_000071945-RA Jaiswal:PITA_000096628-RA Jaiswal:PITA_000055553-RA Jaiswal:PITA_000016280-RA Jaiswal:PITA_000074277-RA Jaiswal:PITA_000016742-RA Jaiswal:PITA_000016750-RA Jaiswal:PITA_000062530-RA Jaiswal:PITA_000010248-RA Jaiswal:PITA_000019861-RA Jaiswal:PITA_000010249-RA Jaiswal:PITA_000081180-RA Jaiswal:PITA_000016282-RA Jaiswal:PITA_000002679-RA Jaiswal:PITA_000018512-RA Jaiswal:PITA_000054044-RA Jaiswal:PITA_000094705-RA Jaiswal:PITA_000025025-RA Jaiswal:PITA_000082859-RA Jaiswal:PITA_000029279-RA Jaiswal:PITA_000038305-RA Jaiswal:PITA_000018508-RA Jaiswal:PITA_000034467-RA Jaiswal:PITA_000017529-RA Jaiswal:PITA_000092534-RA Jaiswal:PITA_000005192-RA Jaiswal:PITA_000051432-RA Jaiswal:PITA_000059834-RA Jaiswal:PITA_000052092-RA
Q6K1X7	Jaiswal:PITA_000020381-RA
Q6K2E8	Jaiswal:PITA_000067403-RA Jaiswal:PITA_000071294-RA Jaiswal:PITA_000051611-RA
Q6K306	Jaiswal:PITA_000091629-RA Jaiswal:PITA_000009787-RA
Q6K3Z3	Jaiswal:PITA_000016695-RA
Q6K5G8	Jaiswal:PITA_000019953-RA Jaiswal:PITA_000019954-RA Jaiswal:PITA_000069529-RA
Q6K5U4	Jaiswal:PITA_000092964-RA Jaiswal:PITA_000095346-RA Jaiswal:PITA_000022940-RA Jaiswal:PITA_000026782-RA Jaiswal:PITA_000068204-RA Jaiswal:PITA_000000261-RA Jaiswal:PITA_000036913-RA Jaiswal:PITA_000095986-RA
Q6K6Q0	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q6K6Q1	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
