A2X747	Jaiswal:Cc06_g14760 Jaiswal:Cc04_g05230
Q2QYW4	Jaiswal:Cc02_g06400
Q2QZ14	Jaiswal:Cc01_g13410
Q2R0P3	Jaiswal:Cc06_g16600 Jaiswal:Cc00_g04860
Q2R1G8	Jaiswal:Cc07_g15410
Q2R1L4	Jaiswal:Cc07_g08780
Q2R2W1	Jaiswal:Cc11_g07690
Q2R2W3	Jaiswal:Cc06_g22200
Q2R2W8	Jaiswal:Cc07_g07230 Jaiswal:Cc07_g07240 Jaiswal:Cc07_g07210 Jaiswal:Cc07_g07220
Q2R339	Jaiswal:Cc02_g26940
Q2R3A1	Jaiswal:Cc00_g19010 Jaiswal:Cc00_g32030
Q2R3F5	Jaiswal:Cc00_g12260
Q2R3K3	Jaiswal:Cc04_g09460
Q2R3K5	Jaiswal:Cc07_g01170 Jaiswal:Cc01_g20300
Q2R3Y4	Jaiswal:Cc07_g19540
Q2R481	Jaiswal:Cc10_g02530
Q2R8T7	Jaiswal:Cc09_g04510
Q2RA11	Jaiswal:Cc07_g19540
Q2RAM8	Jaiswal:Cc00_g14440 Jaiswal:Cc00_g14420 Jaiswal:Cc03_g09220 Jaiswal:Cc00_g28340 Jaiswal:Cc03_g09300 Jaiswal:Cc00_g28330 Jaiswal:Cc03_g09270 Jaiswal:Cc03_g09230 Jaiswal:Cc03_g09310 Jaiswal:Cc03_g09290 Jaiswal:Cc00_g28270 Jaiswal:Cc00_g14400
Q2RAP0	Jaiswal:Cc06_g18590
Q2RAP4	Jaiswal:Cc02_g06630
Q2RAP8	Jaiswal:Cc04_g12930
Q2RAP9	Jaiswal:Cc02_g28370 Jaiswal:Cc06_g18940 Jaiswal:Cc02_g28400 Jaiswal:Cc02_g28420 Jaiswal:Cc02_g28390 Jaiswal:Cc06_g18950 Jaiswal:Cc00_g02190 Jaiswal:Cc04_g16960
Q2RAW4	Jaiswal:Cc06_g21170 Jaiswal:Cc00_g07000
Q2RAW8	Jaiswal:Cc06_g21170 Jaiswal:Cc00_g07000
Q2RAY0	Jaiswal:Cc00_g28470 Jaiswal:Cc02_g28770 Jaiswal:Cc00_g27460
Q2RB23	Jaiswal:Cc01_g07600
Q2RBN0	Jaiswal:Cc01_g14570
Q2RBP2	Jaiswal:Cc01_g14300 Jaiswal:Cc02_g06450
Q2V0P1	Jaiswal:Cc02_g16110 Jaiswal:Cc05_g09250
Q336M7	Jaiswal:Cc08_g03990
Q336N7	Jaiswal:Cc08_g03270
Q336R6	Jaiswal:Cc02_g25430 Jaiswal:Cc08_g11150
Q336U3	Jaiswal:Cc07_g04870
Q336V3	Jaiswal:Cc06_g04720
Q336X9	Jaiswal:Cc08_g15160 Jaiswal:Cc00_g17870
Q337F0	Jaiswal:Cc02_g37470
Q337F3	Jaiswal:Cc02_g07310
Q337H3	Jaiswal:Cc06_g14900
Q338J0	Jaiswal:Cc00_g21470 Jaiswal:Cc01_g17720 Jaiswal:Cc05_g04740
Q338N8	Jaiswal:Cc04_g00730
Q338Z4	Jaiswal:Cc04_g13590 Jaiswal:Cc07_g19270
Q339V1	Jaiswal:Cc00_g15600
Q33AE4	Jaiswal:Cc02_g03610
Q33AP0	Jaiswal:Cc08_g09530
Q40704	Jaiswal:Cc02_g16110 Jaiswal:Cc05_g09250
Q40710	Jaiswal:Cc02_g35340 Jaiswal:Cc02_g35330 Jaiswal:Cc02_g35360 Jaiswal:Cc02_g35350 Jaiswal:Cc11_g15250 Jaiswal:Cc03_g00450
Q42971	Jaiswal:Cc06_g05150
Q42982	Jaiswal:Cc06_g13370 Jaiswal:Cc04_g05510
Q43007	Jaiswal:Cc04_g04260
Q43009	Jaiswal:Cc06_g12680
Q43011	Jaiswal:Cc07_g15230
Q4W8D0	Jaiswal:Cc07_g13290 Jaiswal:Cc04_g05960
Q52QH4	Jaiswal:Cc10_g12200 Jaiswal:Cc02_g33930
Q52RG7	Jaiswal:Cc11_g17180
Q53JI9	Jaiswal:Cc10_g16060
Q53JP2	Jaiswal:Cc02_g06430 Jaiswal:Cc06_g01260
Q53L28	Jaiswal:Cc09_g04290
Q53M09	Jaiswal:Cc02_g36750 Jaiswal:Cc02_g36740 Jaiswal:Cc02_g36760
Q53MS9	Jaiswal:Cc00_g03790
Q53MU1	Jaiswal:Cc03_g13880 Jaiswal:Cc09_g07740
Q53MU8	Jaiswal:Cc03_g13920
Q53NW6	Jaiswal:Cc02_g11230 Jaiswal:Cc00_g20750 Jaiswal:Cc01_g10880 Jaiswal:Cc06_g03980
Q53P49	Jaiswal:Cc05_g06700 Jaiswal:Cc02_g39050
Q53Q70	Jaiswal:Cc10_g06050
Q53QJ0	Jaiswal:Cc00_g03610 Jaiswal:Cc07_g17610
Q53RH0	Jaiswal:Cc01_g21110 Jaiswal:Cc05_g10220
Q5CCK1	Jaiswal:Cc02_g06630
Q5CCK3	Jaiswal:Cc07_g09440
Q5JJV0	Jaiswal:Cc08_g10760 Jaiswal:Cc08_g10740 Jaiswal:Cc06_g06110 Jaiswal:Cc04_g13060 Jaiswal:Cc06_g06080 Jaiswal:Cc08_g10750
Q5JK18	Jaiswal:Cc07_g01220
Q5JK20	Jaiswal:Cc00_g12260
Q5JK39	Jaiswal:Cc04_g09460
Q5JLS4	Jaiswal:Cc05_g14310 Jaiswal:Cc03_g04790
Q5JMA1	Jaiswal:Cc09_g09040
Q5JMA6	Jaiswal:Cc06_g11190
Q5JMB6	Jaiswal:Cc09_g07310
Q5JMC7	Jaiswal:Cc07_g16470 Jaiswal:Cc04_g11230
Q5JME6	Jaiswal:Cc07_g00150
Q5JMX5	Jaiswal:Cc05_g03680
Q5JMX9	Jaiswal:Cc05_g09740
Q5JN19	Jaiswal:Cc07_g03760
Q5JN42	Jaiswal:Cc02_g21930 Jaiswal:Cc02_g21940
Q5JN63	Jaiswal:Cc02_g15480
Q5JNB0	Jaiswal:Cc03_g14430
Q5MBR3	Jaiswal:Cc05_g10210
Q5MBR5	Jaiswal:Cc05_g10210
Q5N725	Jaiswal:Cc05_g15430 Jaiswal:Cc09_g08630 Jaiswal:Cc06_g05320
Q5N7C7	Jaiswal:Cc01_g09290
Q5N7L0	Jaiswal:Cc03_g03080 Jaiswal:Cc02_g17870 Jaiswal:Cc11_g10030
Q5N7Z8	Jaiswal:Cc03_g15180 Jaiswal:Cc03_g10910
Q5N8G1	Jaiswal:Cc02_g23630
Q5N8H9	Jaiswal:Cc08_g10820
Q5N8Q3	Jaiswal:Cc11_g09310
Q5N9N2	Jaiswal:Cc01_g13400
Q5N9Z8	Jaiswal:Cc07_g15560
Q5NA81	Jaiswal:Cc05_g07790
Q5NAY4	Jaiswal:Cc02_g32120
Q5NAZ7	Jaiswal:Cc05_g06700 Jaiswal:Cc02_g39050
Q5NB25	Jaiswal:Cc06_g10040 Jaiswal:Cc04_g02890 Jaiswal:Cc07_g07780 Jaiswal:Cc10_g08190
Q5NBQ1	Jaiswal:Cc02_g08450 Jaiswal:Cc00_g25400
Q5NBT9	Jaiswal:Cc02_g34530
Q5NTH3	Jaiswal:Cc07_g16270
Q5NTH4	Jaiswal:Cc07_g16270
Q5QN02	Jaiswal:Cc02_g09140
Q5SMQ9	Jaiswal:Cc10_g14830 Jaiswal:Cc09_g03480 Jaiswal:Cc03_g13040 Jaiswal:Cc11_g08680
Q5SMY2	Jaiswal:Cc04_g01870
Q5SND7	Jaiswal:Cc06_g10400 Jaiswal:Cc00_g34320
Q5U9F2	Jaiswal:Cc03_g11090
Q5VMP0	Jaiswal:Cc05_g08390 Jaiswal:Cc00_g28410
Q5VMP2	Jaiswal:Cc06_g20890 Jaiswal:Cc06_g06820
Q5VN31	Jaiswal:Cc05_g14070
Q5VNP5	Jaiswal:Cc07_g09580
Q5VNW0	Jaiswal:Cc02_g24040
Q5VP70	Jaiswal:Cc10_g14830 Jaiswal:Cc09_g03480 Jaiswal:Cc03_g13040 Jaiswal:Cc11_g08680
Q5VPH2	Jaiswal:Cc07_g10580
Q5VQG4	Jaiswal:Cc07_g01840 Jaiswal:Cc00_g10830
Q5VQG8	Jaiswal:Cc11_g15530 Jaiswal:Cc04_g11870
Q5VRB9	Jaiswal:Cc01_g20250 Jaiswal:Cc01_g20210
Q5VRH4	Jaiswal:Cc05_g11510
Q5VRM7	Jaiswal:Cc02_g26030 Jaiswal:Cc02_g26040 Jaiswal:Cc00_g32940 Jaiswal:Cc02_g26070 Jaiswal:Cc02_g26050
Q5VRR0	Jaiswal:Cc08_g00560 Jaiswal:Cc06_g08150
Q5VSB8	Jaiswal:Cc11_g01700
Q5W670	Jaiswal:Cc04_g02510
Q5W6F1	Jaiswal:Cc00_g10050 Jaiswal:Cc00_g05190 Jaiswal:Cc01_g15360
Q5W6H5	Jaiswal:Cc06_g01120
Q5W6W7	Jaiswal:Cc00_g01010
Q5XLJ2	Jaiswal:Cc02_g26940
Q5Z5B7	Jaiswal:Cc08_g11740 Jaiswal:Cc00_g26180
Q5Z5R4	Jaiswal:Cc10_g03710 Jaiswal:Cc00_g28260
Q5Z5R7	Jaiswal:Cc10_g03710 Jaiswal:Cc00_g28260
Q5Z678	Jaiswal:Cc10_g12030
Q5Z6D3	Jaiswal:Cc03_g03670 Jaiswal:Cc03_g03660
Q5Z6E5	Jaiswal:Cc03_g07460
Q5Z749	Jaiswal:Cc06_g10040 Jaiswal:Cc04_g02890 Jaiswal:Cc07_g07780 Jaiswal:Cc10_g08190
Q5Z7R3	Jaiswal:Cc05_g11710
Q5Z807	Jaiswal:Cc06_g23490
Q5Z856	Jaiswal:Cc09_g02020
Q5Z8K3	Jaiswal:Cc06_g13030
Q5Z8S0	Jaiswal:Cc08_g10450
Q5Z8T3	Jaiswal:Cc04_g02360 Jaiswal:Cc06_g10840
Q5Z8V9	Jaiswal:Cc08_g06800
Q5Z8Y4	Jaiswal:Cc10_g13640
Q5Z8Z7	Jaiswal:Cc04_g02130
Q5ZCV1	Jaiswal:Cc03_g02470
Q5ZED1	Jaiswal:Cc02_g07900
Q5ZEL4	Jaiswal:Cc06_g01200
Q60EI7	Jaiswal:Cc02_g17890 Jaiswal:Cc10_g03380
Q60EX6	Jaiswal:Cc01_g20060
Q64MA9	Jaiswal:Cc08_g13850
Q650W1	Jaiswal:Cc01_g09780
Q651F0	Jaiswal:Cc07_g11060
Q652A8	Jaiswal:Cc08_g14210
Q652S1	Jaiswal:Cc04_g06160 Jaiswal:Cc04_g06150
Q653D9	Jaiswal:Cc06_g20890 Jaiswal:Cc06_g06820
Q653F4	Jaiswal:Cc07_g06350
Q653H7	Jaiswal:Cc01_g11020 Jaiswal:Cc02_g11300 Jaiswal:Cc06_g03950
Q653T6	Jaiswal:Cc09_g03060
Q653U3	Jaiswal:Cc05_g00510 Jaiswal:Cc09_g08740
Q655T1	Jaiswal:Cc11_g00340 Jaiswal:Cc05_g16350
Q655W2	Jaiswal:Cc05_g16480
Q655Y9	Jaiswal:Cc02_g20870
Q656F1	Jaiswal:Cc06_g14010
Q657X7	Jaiswal:Cc08_g12190
Q65X14	Jaiswal:Cc09_g10130
Q65X70	Jaiswal:Cc02_g30060 Jaiswal:Cc06_g18090
Q65XC6	Jaiswal:Cc01_g20250 Jaiswal:Cc01_g20210
Q65XK0	Jaiswal:Cc05_g08250
Q65XM9	Jaiswal:Cc05_g15270 Jaiswal:Cc09_g00220
Q65XR9	Jaiswal:Cc04_g04260
Q67J19	Jaiswal:Cc10_g04260
Q67TQ5	Jaiswal:Cc02_g18860 Jaiswal:Cc10_g04070
Q67TZ7	Jaiswal:Cc00_g08410 Jaiswal:Cc04_g15100 Jaiswal:Cc04_g15110 Jaiswal:Cc00_g08400 Jaiswal:Cc00_g15300
Q67UL3	Jaiswal:Cc10_g14830 Jaiswal:Cc09_g03480 Jaiswal:Cc03_g13040 Jaiswal:Cc11_g08680
Q67UX0	Jaiswal:Cc06_g13030
Q67UZ8	Jaiswal:Cc00_g04200
Q67V61	Jaiswal:Cc11_g05640
Q67VM1	Jaiswal:Cc07_g20900
Q67VR7	Jaiswal:Cc10_g11070
Q67W29	Jaiswal:Cc03_g11000
Q67W82	Jaiswal:Cc06_g13370 Jaiswal:Cc04_g05510
Q67WK8	Jaiswal:Cc11_g13090 Jaiswal:Cc10_g06330
Q67WN8	Jaiswal:Cc06_g07910
Q67WR2	Jaiswal:Cc06_g14220
Q688Q8	Jaiswal:Cc11_g02220 Jaiswal:Cc04_g04810
Q688Q9	Jaiswal:Cc08_g14690
Q688T8	Jaiswal:Cc02_g17340 Jaiswal:Cc10_g02590
Q688Y2	Jaiswal:Cc05_g12120
Q689G6	Jaiswal:Cc02_g00820
Q689G9	Jaiswal:Cc04_g14990
Q69IM7	Jaiswal:Cc08_g05980 Jaiswal:Cc05_g03950 Jaiswal:Cc05_g13970
Q69J27	Jaiswal:Cc00_g03060 Jaiswal:Cc11_g00620 Jaiswal:Cc00_g32320
Q69JI7	Jaiswal:Cc11_g11510
Q69K00	Jaiswal:Cc02_g16530
Q69KM5	Jaiswal:Cc02_g24030 Jaiswal:Cc08_g13180 Jaiswal:Cc00_g27010
Q69L93	Jaiswal:Cc01_g13410
Q69LG7	Jaiswal:Cc10_g08630
Q69MC9	Jaiswal:Cc02_g20970
Q69MH0	Jaiswal:Cc00_g28890
Q69NY7	Jaiswal:Cc02_g30950 Jaiswal:Cc00_g01970
Q69P51	Jaiswal:Cc01_g17930
Q69P84	Jaiswal:Cc00_g19070
Q69P94	Jaiswal:Cc06_g12500
Q69QD7	Jaiswal:Cc06_g08690
Q69RC6	Jaiswal:Cc02_g15610
Q69RG7	Jaiswal:Cc06_g04280
Q69RJ0	Jaiswal:Cc06_g19130
Q69T90	Jaiswal:Cc09_g10890
Q69T99	Jaiswal:Cc05_g09820
Q69TF4	Jaiswal:Cc06_g20670 Jaiswal:Cc05_g01460
Q69TH6	Jaiswal:Cc10_g09300 Jaiswal:Cc10_g16530
Q69TT1	Jaiswal:Cc11_g08330
Q69TV4	Jaiswal:Cc00_g08410 Jaiswal:Cc04_g15100 Jaiswal:Cc04_g15110 Jaiswal:Cc00_g08400 Jaiswal:Cc00_g15300
Q69TV6	Jaiswal:Cc00_g08410 Jaiswal:Cc04_g15100 Jaiswal:Cc04_g15110 Jaiswal:Cc00_g08400 Jaiswal:Cc00_g15300
Q69TV8	Jaiswal:Cc00_g08410 Jaiswal:Cc04_g15100 Jaiswal:Cc04_g15110 Jaiswal:Cc00_g08400 Jaiswal:Cc00_g15300
Q69TW5	Jaiswal:Cc02_g18860 Jaiswal:Cc10_g04070
Q69U93	Jaiswal:Cc03_g13240
Q69UF5	Jaiswal:Cc00_g14440 Jaiswal:Cc00_g14420 Jaiswal:Cc03_g09220 Jaiswal:Cc00_g28340 Jaiswal:Cc03_g09300 Jaiswal:Cc00_g28330 Jaiswal:Cc03_g09270 Jaiswal:Cc03_g09230 Jaiswal:Cc03_g09310 Jaiswal:Cc03_g09290 Jaiswal:Cc00_g28270 Jaiswal:Cc00_g14400
Q69UU3	Jaiswal:Cc11_g15580
Q69V57	Jaiswal:Cc05_g15430 Jaiswal:Cc09_g08630 Jaiswal:Cc06_g05320
Q69XD3	Jaiswal:Cc00_g14440 Jaiswal:Cc00_g14420 Jaiswal:Cc03_g09220 Jaiswal:Cc00_g28340 Jaiswal:Cc03_g09300 Jaiswal:Cc00_g28330 Jaiswal:Cc03_g09270 Jaiswal:Cc03_g09230 Jaiswal:Cc03_g09310 Jaiswal:Cc03_g09290 Jaiswal:Cc00_g28270 Jaiswal:Cc00_g14400
Q69XJ0	Jaiswal:Cc06_g08450
Q69XS7	Jaiswal:Cc01_g03990 Jaiswal:Cc07_g09760 Jaiswal:Cc01_g03970 Jaiswal:Cc07_g09750 Jaiswal:Cc00_g08270 Jaiswal:Cc00_g23750 Jaiswal:Cc10_g02660 Jaiswal:Cc00_g23580 Jaiswal:Cc02_g17380
Q6AT26	Jaiswal:Cc08_g00920
Q6AT32	Jaiswal:Cc10_g08120 Jaiswal:Cc08_g09220 Jaiswal:Cc10_g08110
Q6AT33	Jaiswal:Cc06_g10040 Jaiswal:Cc04_g02890 Jaiswal:Cc07_g07780 Jaiswal:Cc10_g08190
Q6AT41	Jaiswal:Cc06_g10170
Q6AT75	Jaiswal:Cc11_g14940
Q6ATR2	Jaiswal:Cc01_g09670
Q6AUB0	Jaiswal:Cc09_g03670
Q6AUJ8	Jaiswal:Cc06_g01070 Jaiswal:Cc03_g06870
Q6AUV1	Jaiswal:Cc07_g19610
Q6AV34	Jaiswal:Cc07_g19550
Q6AVG6	Jaiswal:Cc02_g17960
Q6AVM5	Jaiswal:Cc00_g02380
Q6AVT2	Jaiswal:Cc03_g03330
Q6BDZ9	Jaiswal:Cc08_g07540 Jaiswal:Cc08_g07420
Q6EN48	Jaiswal:Cc02_g01740
Q6EP31	Jaiswal:Cc02_g16210 Jaiswal:Cc02_g14230 Jaiswal:Cc07_g11070
Q6EP59	Jaiswal:Cc10_g06970 Jaiswal:Cc00_g31530 Jaiswal:Cc07_g14930 Jaiswal:Cc07_g14880 Jaiswal:Cc02_g21310 Jaiswal:Cc10_g07030 Jaiswal:Cc01_g01130 Jaiswal:Cc00_g17110 Jaiswal:Cc07_g14950 Jaiswal:Cc10_g06890 Jaiswal:Cc11_g01640 Jaiswal:Cc10_g06960 Jaiswal:Cc10_g11220 Jaiswal:Cc10_g06940 Jaiswal:Cc10_g06980 Jaiswal:Cc02_g21300 Jaiswal:Cc01_g01120 Jaiswal:Cc02_g21360 Jaiswal:Cc10_g07040 Jaiswal:Cc10_g07000 Jaiswal:Cc10_g06910 Jaiswal:Cc10_g06930 Jaiswal:Cc07_g14940
Q6EP77	Jaiswal:Cc08_g13960 Jaiswal:Cc01_g09680 Jaiswal:Cc02_g03430
Q6EPN6	Jaiswal:Cc08_g15230
Q6EPY7	Jaiswal:Cc06_g05880
Q6EQW2	Jaiswal:Cc05_g10530 Jaiswal:Cc00_g00040
Q6ERL4	Jaiswal:Cc07_g07590
Q6ERR3	Jaiswal:Cc04_g05040
Q6ES51	Jaiswal:Cc04_g06060 Jaiswal:Cc11_g08030
Q6ESJ0	Jaiswal:Cc08_g14600
Q6ESZ9	Jaiswal:Cc10_g14560
Q6ET36	Jaiswal:Cc01_g19400
Q6ET88	Jaiswal:Cc00_g32770
Q6ETD3	Jaiswal:Cc08_g12930
Q6ETN3	Jaiswal:Cc06_g13370 Jaiswal:Cc04_g05510
Q6ETX4	Jaiswal:Cc02_g06410
Q6EUF1	Jaiswal:Cc05_g10900 Jaiswal:Cc02_g15790
Q6EUNO	Jaiswal:Cc04_g07950 Jaiswal:Cc11_g11210
Q6EUS6	Jaiswal:Cc05_g08500
Q6F361	Jaiswal:Cc02_g32320 Jaiswal:Cc05_g11390
Q6F4N6	Jaiswal:Cc07_g04840 Jaiswal:Cc06_g14280
Q6H543	Jaiswal:Cc04_g02510
Q6H5C7	Jaiswal:Cc07_g08780
Q6H5U3	Jaiswal:Cc02_g13170
Q6H5Z4	Jaiswal:Cc08_g10450
Q6H6C7	Jaiswal:Cc11_g00340 Jaiswal:Cc05_g16350
Q6H6D2	Jaiswal:Cc05_g16090
Q6H6G1	Jaiswal:Cc07_g17450 Jaiswal:Cc00_g30070
Q6H6I1	Jaiswal:Cc08_g12220
Q6H6P8	Jaiswal:Cc06_g05400 Jaiswal:Cc05_g15390
Q6H703	Jaiswal:Cc05_g16480
Q6H7M1	Jaiswal:Cc09_g00910
Q6H7Q6	Jaiswal:Cc01_g04060
Q6H819	Jaiswal:Cc08_g07910
Q6H849	Jaiswal:Cc01_g08760
Q6H851	Jaiswal:Cc01_g08760
Q6I581	Jaiswal:Cc05_g06700 Jaiswal:Cc02_g39050
Q6I5C3	Jaiswal:Cc02_g01800 Jaiswal:Cc08_g15960
Q6I628	Jaiswal:Cc11_g09310
Q6IVC3	Jaiswal:Cc01_g05110 Jaiswal:Cc06_g19350
Q6J1A5	Jaiswal:Cc08_g13960 Jaiswal:Cc01_g09680 Jaiswal:Cc02_g03430
Q6K1S6	Jaiswal:Cc02_g08940 Jaiswal:Cc02_g37750
Q6K1X7	Jaiswal:Cc09_g04290
Q6K2E8	Jaiswal:Cc10_g00510
Q6K306	Jaiswal:Cc04_g11110
Q6K3T2	Jaiswal:Cc00_g08420
Q6K3Z3	Jaiswal:Cc05_g01610 Jaiswal:Cc09_g00280
Q6K548	Jaiswal:Cc04_g15460
Q6K5G8	Jaiswal:Cc11_g16510 Jaiswal:Cc07_g00460
Q6K5U4	Jaiswal:Cc05_g11710
Q6K678	Jaiswal:Cc04_g05300
Q6K6Q0	Jaiswal:Cc02_g11230 Jaiswal:Cc00_g20750 Jaiswal:Cc01_g10880 Jaiswal:Cc06_g03980
Q6K6Q1	Jaiswal:Cc02_g11230 Jaiswal:Cc00_g20750 Jaiswal:Cc01_g10880 Jaiswal:Cc06_g03980
Q6K755	Jaiswal:Cc10_g06970 Jaiswal:Cc00_g31530 Jaiswal:Cc07_g14930 Jaiswal:Cc07_g14880 Jaiswal:Cc02_g21310 Jaiswal:Cc10_g07030 Jaiswal:Cc01_g01130 Jaiswal:Cc00_g17110 Jaiswal:Cc07_g14950 Jaiswal:Cc10_g06890 Jaiswal:Cc11_g01640 Jaiswal:Cc10_g06960 Jaiswal:Cc10_g11220 Jaiswal:Cc10_g06940 Jaiswal:Cc10_g06980 Jaiswal:Cc02_g21300 Jaiswal:Cc01_g01120 Jaiswal:Cc02_g21360 Jaiswal:Cc10_g07040 Jaiswal:Cc10_g07000 Jaiswal:Cc10_g06910 Jaiswal:Cc10_g06930 Jaiswal:Cc07_g14940
Q6K7V6	Jaiswal:Cc08_g09240 Jaiswal:Cc07_g15020
Q6K846	Jaiswal:Cc08_g00560 Jaiswal:Cc06_g08150
Q6K8E2	Jaiswal:Cc07_g01170 Jaiswal:Cc01_g20300
Q6K8E7	Jaiswal:Cc11_g04320 Jaiswal:Cc08_g11730
Q6K8J4	Jaiswal:Cc01_g11160
Q6K969	Jaiswal:Cc11_g00240
Q6K9B8	Jaiswal:Cc11_g11130
Q6K9M5	Jaiswal:Cc02_g24030 Jaiswal:Cc08_g13180 Jaiswal:Cc00_g27010
Q6K9N6	Jaiswal:Cc01_g18040
Q6KAJ2	Jaiswal:Cc08_g00120
Q6L479	Jaiswal:Cc02_g34510 Jaiswal:Cc03_g01430
Q6L4G2	Jaiswal:Cc03_g03080 Jaiswal:Cc02_g17870 Jaiswal:Cc11_g10030
Q6L4H5	Jaiswal:Cc04_g01530 Jaiswal:Cc06_g11830
Q6L4L4	Jaiswal:Cc01_g11440
Q6L4R0	Jaiswal:Cc04_g02020
Q6L4R7	Jaiswal:Cc06_g11740 Jaiswal:Cc04_g01620 Jaiswal:Cc08_g11010
Q6L540	Jaiswal:Cc09_g08440 Jaiswal:Cc11_g06290 Jaiswal:Cc09_g08450
Q6L545	Jaiswal:Cc02_g32760
Q6L5F6	Jaiswal:Cc09_g03470
Q6L5H6	Jaiswal:Cc06_g11740 Jaiswal:Cc04_g01620 Jaiswal:Cc08_g11010
Q6Q9I2	Jaiswal:Cc00_g02800 Jaiswal:Cc07_g04450 Jaiswal:Cc11_g11710
Q6VMN7	Jaiswal:Cc10_g06220
Q6YPG5	Jaiswal:Cc02_g04350
Q6YS33	Jaiswal:Cc07_g01220
Q6YSA1	Jaiswal:Cc07_g12980 Jaiswal:Cc11_g05630 Jaiswal:Cc04_g09130
Q6YT73	Jaiswal:Cc05_g10170
Q6YTI6	Jaiswal:Cc00_g04200
Q6YTT3	Jaiswal:Cc10_g06820 Jaiswal:Cc07_g14820
Q6YU51	Jaiswal:Cc07_g13880
Q6YUI8	Jaiswal:Cc00_g08410 Jaiswal:Cc04_g15100 Jaiswal:Cc04_g15110 Jaiswal:Cc00_g08400 Jaiswal:Cc00_g15300
Q6YUS0	Jaiswal:Cc09_g10910
Q6YUS3	Jaiswal:Cc04_g12140
Q6YUU2	Jaiswal:Cc07_g16620
Q6YV04	Jaiswal:Cc07_g18850
Q6YV23	Jaiswal:Cc07_g17390
Q6YVI0	Jaiswal:Cc01_g07560
Q6YVY6	Jaiswal:Cc07_g04270 Jaiswal:Cc11_g11930
Q6YWE1	Jaiswal:Cc01_g09670
Q6YWS8	Jaiswal:Cc04_g07950 Jaiswal:Cc11_g11210
Q6YWY7	Jaiswal:Cc11_g13090 Jaiswal:Cc10_g06330
Q6YXI1	Jaiswal:Cc10_g15670
Q6YXW6	Jaiswal:Cc06_g06940
Q6YYB9	Jaiswal:Cc05_g13460
Q6YYZ2	Jaiswal:Cc08_g03990
Q6YZ18	Jaiswal:Cc00_g21470 Jaiswal:Cc01_g17720 Jaiswal:Cc05_g04740
Q6YZ76	Jaiswal:Cc07_g19850 Jaiswal:Cc01_g10860
Q6YZE2	Jaiswal:Cc10_g12640
Q6YZH8	Jaiswal:Cc02_g25590 Jaiswal:Cc03_g07310
Q6YZX6	Jaiswal:Cc05_g13840 Jaiswal:Cc05_g04630
Q6Z0T7	Jaiswal:Cc06_g20890 Jaiswal:Cc06_g06820
Q6Z156	Jaiswal:Cc09_g02840 Jaiswal:Cc01_g17920
Q6Z1Z3	Jaiswal:Cc11_g10560
Q6Z2L5	Jaiswal:Cc02_g25840
Q6Z2T6	Jaiswal:Cc04_g16560
Q6Z312	Jaiswal:Cc02_g18860 Jaiswal:Cc10_g04070
Q6Z351	Jaiswal:Cc01_g08420 Jaiswal:Cc01_g08440 Jaiswal:Cc00_g06160 Jaiswal:Cc01_g08430 Jaiswal:Cc00_g06140 Jaiswal:Cc04_g10220 Jaiswal:Cc00_g06180 Jaiswal:Cc00_g06170
Q6Z368	Jaiswal:Cc00_g22310
Q6Z398	Jaiswal:Cc10_g01720
Q6Z3A3	Jaiswal:Cc08_g14690
Q6Z3A4	Jaiswal:Cc00_g12600
Q6Z3F9	Jaiswal:Cc09_g10590 Jaiswal:Cc09_g10600
Q6Z3X5	Jaiswal:Cc02_g08270
Q6Z3Y3	Jaiswal:Cc01_g11680
Q6Z433	Jaiswal:Cc04_g00300 Jaiswal:Cc10_g08500 Jaiswal:Cc02_g20830 Jaiswal:Cc02_g20800
Q6Z4E7	Jaiswal:Cc08_g12190
Q6Z4I1	Jaiswal:Cc02_g17240
Q6Z5M3	Jaiswal:Cc07_g07230 Jaiswal:Cc07_g07240 Jaiswal:Cc07_g07210 Jaiswal:Cc07_g07220
Q6Z684	Jaiswal:Cc10_g06970 Jaiswal:Cc00_g31530 Jaiswal:Cc07_g14930 Jaiswal:Cc07_g14880 Jaiswal:Cc02_g21310 Jaiswal:Cc10_g07030 Jaiswal:Cc01_g01130 Jaiswal:Cc00_g17110 Jaiswal:Cc07_g14950 Jaiswal:Cc10_g06890 Jaiswal:Cc11_g01640 Jaiswal:Cc10_g06960 Jaiswal:Cc10_g11220 Jaiswal:Cc10_g06940 Jaiswal:Cc10_g06980 Jaiswal:Cc02_g21300 Jaiswal:Cc01_g01120 Jaiswal:Cc02_g21360 Jaiswal:Cc10_g07040 Jaiswal:Cc10_g07000 Jaiswal:Cc10_g06910 Jaiswal:Cc10_g06930 Jaiswal:Cc07_g14940
Q6Z6F0	Jaiswal:Cc00_g14440 Jaiswal:Cc00_g14420 Jaiswal:Cc03_g09220 Jaiswal:Cc00_g28340 Jaiswal:Cc03_g09300 Jaiswal:Cc00_g28330 Jaiswal:Cc03_g09270 Jaiswal:Cc03_g09230 Jaiswal:Cc03_g09310 Jaiswal:Cc03_g09290 Jaiswal:Cc00_g28270 Jaiswal:Cc00_g14400
Q6Z702	Jaiswal:Cc03_g06410
Q6Z744	Jaiswal:Cc04_g09360
Q6Z795	Jaiswal:Cc08_g00670 Jaiswal:Cc06_g08370
