A2XPN8	Ensembl:TRIUR3_05247
Q6YUS3	Ensembl:TRIUR3_32487
Q6YUU2	Ensembl:TRIUR3_26327
Q6YV04	Ensembl:TRIUR3_21298
Q6YV23	Ensembl:TRIUR3_07469
Q6YVI0	Ensembl:TRIUR3_20170
Q6YVT1	Ensembl:TRIUR3_28079
Q6YXC2	Ensembl:TRIUR3_18011
Q6YXW6	Ensembl:TRIUR3_03976
Q6YYB9	Ensembl:TRIUR3_19316
Q6YYZ2	Ensembl:TRIUR3_05944
Q6YZ18	Ensembl:TRIUR3_16112 Ensembl:TRIUR3_21650 Ensembl:TRIUR3_21651 Ensembl:TRIUR3_00778 Ensembl:TRIUR3_29477 Ensembl:TRIUR3_23087 Ensembl:TRIUR3_23086
Q6YZE2	Ensembl:TRIUR3_21733
Q6YZH8	Ensembl:TRIUR3_30333
Q6YZX7	Ensembl:TRIUR3_01584
Q6Z0T7	Ensembl:TRIUR3_23713
Q6Z1Z3	Ensembl:TRIUR3_27457
Q6Z2T9	Ensembl:TRIUR3_02658
Q6Z3A4	Ensembl:TRIUR3_25790
Q6Z3F9	Ensembl:TRIUR3_18085
Q6Z3X5	Ensembl:TRIUR3_12693
Q6Z3Y3	Ensembl:TRIUR3_16100
Q6Z4E7	Ensembl:TRIUR3_10466
Q6Z4F3	Ensembl:TRIUR3_32815
Q6Z4I1	Ensembl:TRIUR3_22111
Q6Z4U1	Ensembl:TRIUR3_28171
Q6Z5B5	Ensembl:TRIUR3_11567 Ensembl:TRIUR3_02748 Ensembl:TRIUR3_32970
Q6Z5M0	Ensembl:TRIUR3_24456
Q6Z684	Ensembl:TRIUR3_30368 Ensembl:TRIUR3_26748 Ensembl:TRIUR3_33990 Ensembl:TRIUR3_16082 Ensembl:TRIUR3_06427
Q6Z6K9	Ensembl:TRIUR3_32061
Q6Z6L1	Ensembl:TRIUR3_32061
Q6Z6S7	Ensembl:TRIUR3_24807
Q6Z702	Ensembl:TRIUR3_31092
Q6Z744	Ensembl:TRIUR3_20722
Q6Z795	Ensembl:TRIUR3_29831
Q6Z7I3	Ensembl:TRIUR3_13905
Q6Z7Q3	Ensembl:TRIUR3_06275
Q6Z836	Ensembl:TRIUR3_31522
Q6Z8F4	Ensembl:TRIUR3_14985
Q6Z8S2	Ensembl:TRIUR3_28171
Q6Z8Z7	Ensembl:TRIUR3_04662
Q6Z965	Ensembl:TRIUR3_24427
Q6Z9A3	Ensembl:TRIUR3_10591
Q6Z9E6	Ensembl:TRIUR3_31153
Q6ZAC1	Ensembl:TRIUR3_03927
Q6ZAH2	Ensembl:TRIUR3_07224
Q6ZB59	Ensembl:TRIUR3_32991
Q6ZBE1	Ensembl:TRIUR3_12258 Ensembl:TRIUR3_21121 Ensembl:TRIUR3_25991 Ensembl:TRIUR3_29877
Q6ZBH5	Ensembl:TRIUR3_26842
Q6ZC33	Ensembl:TRIUR3_23501 Ensembl:TRIUR3_13249
Q6ZCF0	Ensembl:TRIUR3_18536
Q6ZD89	Ensembl:TRIUR3_22148 Ensembl:TRIUR3_32612 Ensembl:TRIUR3_31086 Ensembl:TRIUR3_02449
Q6ZDQ1	Ensembl:TRIUR3_20006
Q6ZDY8	Ensembl:TRIUR3_11055 Ensembl:TRIUR3_15107
Q6ZEZ2	Ensembl:TRIUR3_20705 Ensembl:TRIUR3_35022
Q6ZFI6	Ensembl:TRIUR3_31087
Q6ZG77	Ensembl:TRIUR3_25748
Q6ZG91	Ensembl:TRIUR3_11296
Q6ZGS9	Ensembl:TRIUR3_21874
Q6ZGW6	Ensembl:TRIUR3_20367 Ensembl:TRIUR3_34356 Ensembl:TRIUR3_28479
Q6ZHA3	Ensembl:TRIUR3_32502
Q6ZHH4	Ensembl:TRIUR3_08239
Q6ZHH7	Ensembl:TRIUR3_08241
Q6ZHJ6	Ensembl:TRIUR3_26028
Q6ZHS4	Ensembl:TRIUR3_27918
Q6ZHZ1	Ensembl:TRIUR3_18320
Q6ZI39	Ensembl:TRIUR3_25068
Q6ZIA3	Ensembl:TRIUR3_28352
Q6ZIK0	Ensembl:TRIUR3_32581
Q6ZIX2	Ensembl:TRIUR3_08244
Q6ZJK7	Ensembl:TRIUR3_16112 Ensembl:TRIUR3_21650 Ensembl:TRIUR3_21651 Ensembl:TRIUR3_00778 Ensembl:TRIUR3_29477 Ensembl:TRIUR3_23087 Ensembl:TRIUR3_23086
Q6ZJM9	Ensembl:TRIUR3_24956
Q6ZK11	Ensembl:TRIUR3_17556 Ensembl:TRIUR3_10916
Q6ZL94	Ensembl:TRIUR3_30087
Q6ZLD3	Ensembl:TRIUR3_02967
Q6ZLJ9	Ensembl:TRIUR3_21632
Q75GK0	Ensembl:TRIUR3_01367
Q75H77	Ensembl:TRIUR3_14892
Q75HA6	Ensembl:TRIUR3_17630
Q75HB1	Ensembl:TRIUR3_23155 Ensembl:TRIUR3_23154
Q75HQ7	Ensembl:TRIUR3_10542
Q75HZ9	Ensembl:TRIUR3_19923
Q75I93	Ensembl:TRIUR3_02348
Q75II5	Ensembl:TRIUR3_19180
Q75KD7	Ensembl:TRIUR3_25644
Q75KT7	Ensembl:TRIUR3_02849
Q75L84	Ensembl:TRIUR3_31415
Q75LC7	Ensembl:TRIUR3_02855
Q75LL5	Ensembl:TRIUR3_05190
Q75M18	Ensembl:TRIUR3_32551 Ensembl:TRIUR3_31887 Ensembl:TRIUR3_26576 Ensembl:TRIUR3_01075
Q75V57	Ensembl:TRIUR3_09218
Q75W16	Ensembl:TRIUR3_21816
Q7EZD3	Ensembl:TRIUR3_32613
Q7EZZ0	Ensembl:TRIUR3_30365
Q7F0B2	Ensembl:TRIUR3_02032 Ensembl:TRIUR3_03278 Ensembl:TRIUR3_03280
Q7F0Q2	Ensembl:TRIUR3_30540
Q7F2P0	Ensembl:TRIUR3_20597
Q7F8K7	Ensembl:TRIUR3_15796 Ensembl:TRIUR3_15795
Q7F8U7	Ensembl:TRIUR3_21717
Q7G2F7	Ensembl:TRIUR3_28510
Q7G6M2	Ensembl:TRIUR3_13367 Ensembl:TRIUR3_16723 Ensembl:TRIUR3_16822
Q7G7J6	Ensembl:TRIUR3_18790
Q7X634	Ensembl:TRIUR3_21324 Ensembl:TRIUR3_07322 Ensembl:TRIUR3_19558 Ensembl:TRIUR3_14435
Q7X742	Ensembl:TRIUR3_27184
Q7X7A1	Ensembl:TRIUR3_06029
Q7X7H3	Ensembl:TRIUR3_12766
Q7X7H9	Ensembl:TRIUR3_04047
Q7X7N2	Ensembl:TRIUR3_01670
Q7X7X0	Ensembl:TRIUR3_09862
Q7X7X4	Ensembl:TRIUR3_31269
Q7X8A1	Ensembl:TRIUR3_15760
Q7X8R0	Ensembl:TRIUR3_08191
Q7X8V3	Ensembl:TRIUR3_32007 Ensembl:TRIUR3_02596 Ensembl:TRIUR3_02598 Ensembl:TRIUR3_02599 Ensembl:TRIUR3_10834 Ensembl:TRIUR3_17898 Ensembl:TRIUR3_27546 Ensembl:TRIUR3_22523 Ensembl:TRIUR3_22522 Ensembl:TRIUR3_21822
Q7X993	Ensembl:TRIUR3_19937
Q7XAP2	Ensembl:TRIUR3_24054
Q7XCK3	Ensembl:TRIUR3_09600
Q7XDE0	Ensembl:TRIUR3_28487
Q7XEZ6	Ensembl:TRIUR3_30081
Q7XHZ2	Ensembl:TRIUR3_12987
Q7XI34	Ensembl:TRIUR3_20882
Q7XI35	Ensembl:TRIUR3_26446
Q7XI67	Ensembl:TRIUR3_05348
Q7XI92	Ensembl:TRIUR3_08335
Q7XK23	Ensembl:TRIUR3_16974
Q7XKH9	Ensembl:TRIUR3_16503
Q7XKI0	Ensembl:TRIUR3_16503 Ensembl:TRIUR3_16504
Q7XM21	Ensembl:TRIUR3_35123
Q7XMA8	Ensembl:TRIUR3_32918
Q7XMP7	Ensembl:TRIUR3_14488 Ensembl:TRIUR3_32259
Q7XN54	Ensembl:TRIUR3_11476
Q7XNX6	Ensembl:TRIUR3_06271
Q7XPB5	Ensembl:TRIUR3_34494
Q7XPR2	Ensembl:TRIUR3_18224
Q7XPR5	Ensembl:TRIUR3_16060
Q7XPW5	Ensembl:TRIUR3_00236 Ensembl:TRIUR3_19116
Q7XQ85	Ensembl:TRIUR3_16805
Q7XR52	Ensembl:TRIUR3_35023
Q7XR60	Ensembl:TRIUR3_08386
Q7XR61	Ensembl:TRIUR3_08386
Q7XRA1	Ensembl:TRIUR3_02839
Q7XRT0	Ensembl:TRIUR3_21557
Q7XRX3	Ensembl:TRIUR3_24476
Q7XTE8	Ensembl:TRIUR3_22218
Q7XTH0	Ensembl:TRIUR3_16503 Ensembl:TRIUR3_16504
Q7XTK3	Ensembl:TRIUR3_02000
Q7XU28	Ensembl:TRIUR3_24554
Q7XUA8	Ensembl:TRIUR3_34674
Q7XUH5	Ensembl:TRIUR3_30540
Q7XUI7	Ensembl:TRIUR3_33952
Q7XUK6	Ensembl:TRIUR3_17805
Q7XUS2	Ensembl:TRIUR3_17944
Q7XV13	Ensembl:TRIUR3_30203
Q7XV18	Ensembl:TRIUR3_31483
Q7XV42	Ensembl:TRIUR3_07155
Q7XV97	Ensembl:TRIUR3_32334
Q7XVM8	Ensembl:TRIUR3_24621
Q7XVP0	Ensembl:TRIUR3_25702
Q7XX31	Ensembl:TRIUR3_14688 Ensembl:TRIUR3_14687
Q7XX32	Ensembl:TRIUR3_14687
Q7XXL2	Ensembl:TRIUR3_19356
Q7XXQ9	Ensembl:TRIUR3_31160
Q7XZH5	Ensembl:TRIUR3_01939
Q7Y0B9	Ensembl:TRIUR3_30393
Q7Y0Y6	Ensembl:TRIUR3_21298
Q7Y0Y8	Ensembl:TRIUR3_03674
Q7Y152	Ensembl:TRIUR3_16307
Q7Y1H9	Ensembl:TRIUR3_12134
Q7Y1I9	Ensembl:TRIUR3_28685 Ensembl:TRIUR3_11733 Ensembl:TRIUR3_11735 Ensembl:TRIUR3_34293
Q7Y1J1	Ensembl:TRIUR3_28685 Ensembl:TRIUR3_11733 Ensembl:TRIUR3_11735 Ensembl:TRIUR3_34293
Q84J55	Ensembl:TRIUR3_22458
Q84JH5	Ensembl:TRIUR3_13846
Q84JI0	Ensembl:TRIUR3_15727
Q84LK3	Ensembl:TRIUR3_04819
Q84M43	Ensembl:TRIUR3_14796
Q84MN8	Ensembl:TRIUR3_13817
Q84NP3	Ensembl:TRIUR3_02768
Q84Q89	Ensembl:TRIUR3_32156
Q84QA7	Ensembl:TRIUR3_23066
Q84RS4	Ensembl:TRIUR3_33386
Q84RX6	Ensembl:TRIUR3_27141
Q84U04	Ensembl:TRIUR3_14647 Ensembl:TRIUR3_01169
Q84VC7	Ensembl:TRIUR3_08199
Q84VK7	Ensembl:TRIUR3_10981
Q84ZN6	Ensembl:TRIUR3_31421 Ensembl:TRIUR3_15342
Q84ZY2	Ensembl:TRIUR3_27449
Q851Z6	Ensembl:TRIUR3_04999
Q852P4	Ensembl:TRIUR3_13732
Q852Q1	Ensembl:TRIUR3_16943 Ensembl:TRIUR3_16944 Ensembl:TRIUR3_32385
Q8GRU7	Ensembl:TRIUR3_10872
Q8GSD9	Ensembl:TRIUR3_22761 Ensembl:TRIUR3_17226 Ensembl:TRIUR3_17227
Q8GVN6	Ensembl:TRIUR3_06959
Q8GVZ0	Ensembl:TRIUR3_22510
Q8H016	Ensembl:TRIUR3_25642
Q8H038	Ensembl:TRIUR3_06061
Q8H048	Ensembl:TRIUR3_20815
Q8H051	Ensembl:TRIUR3_14180
Q8H093	Ensembl:TRIUR3_17957
Q8H0A1	Ensembl:TRIUR3_34056
Q8H0B2	Ensembl:TRIUR3_26894
Q8H0B6	Ensembl:TRIUR3_08799
Q8H395	Ensembl:TRIUR3_33015
Q8H3A4	Ensembl:TRIUR3_23665 Ensembl:TRIUR3_20517
Q8H3C8	Ensembl:TRIUR3_12517
Q8H3C9	Ensembl:TRIUR3_18355
Q8H3I4	Ensembl:TRIUR3_16086
Q8H3Q7	Ensembl:TRIUR3_24523
Q8H4L3	Ensembl:TRIUR3_06108 Ensembl:TRIUR3_19540
Q8H530	Ensembl:TRIUR3_28431
Q8H539	Ensembl:TRIUR3_11683
Q8H6G8	Ensembl:TRIUR3_10147
Q8H7P5	Ensembl:TRIUR3_34918
Q8H7S6	Ensembl:TRIUR3_21290
Q8H7T7	Ensembl:TRIUR3_06965
Q8H825	Ensembl:TRIUR3_08635
Q8H930	Ensembl:TRIUR3_17396
Q8LHD1	Ensembl:TRIUR3_30061
Q8LI89	Ensembl:TRIUR3_17907
Q8LIY8	Ensembl:TRIUR3_28465 Ensembl:TRIUR3_34005
Q8LJJ2	Ensembl:TRIUR3_26602
Q8LMW8	Ensembl:TRIUR3_31394 Ensembl:TRIUR3_17952 Ensembl:TRIUR3_07301
Q8LN68	Ensembl:TRIUR3_31795
Q8LNU2	Ensembl:TRIUR3_25355
Q8LR33	Ensembl:TRIUR3_26938
Q8RV06	Ensembl:TRIUR3_19644 Ensembl:TRIUR3_07691
Q8RYL0	Ensembl:TRIUR3_21922 Ensembl:TRIUR3_31572
Q8RYL1	Ensembl:TRIUR3_21922 Ensembl:TRIUR3_31572
Q8RZV7	Ensembl:TRIUR3_06116
Q8RZZ3	Ensembl:TRIUR3_17423
Q8S0G4	Ensembl:TRIUR3_07671
Q8S2E5	Ensembl:TRIUR3_29211
Q8S2G5	Ensembl:TRIUR3_29783
Q8S3R0	Ensembl:TRIUR3_23602
Q8S5T1	Ensembl:TRIUR3_08760
Q8S7N5	Ensembl:TRIUR3_22130
Q8S919	Ensembl:TRIUR3_19458
Q8S920	Ensembl:TRIUR3_19137
Q8S983	Ensembl:TRIUR3_12386
Q8S985	Ensembl:TRIUR3_33948
Q8S9Z2	Ensembl:TRIUR3_19518
Q8W1L6	Ensembl:TRIUR3_15771 Ensembl:TRIUR3_33394
Q8W250	Ensembl:TRIUR3_02082 Ensembl:TRIUR3_29442
Q8W3F9	Ensembl:TRIUR3_15241
Q8W3G2	Ensembl:TRIUR3_15382
Q8W3J0	Ensembl:TRIUR3_10429
Q8W3M0	Ensembl:TRIUR3_26675
Q8W5G9	Ensembl:TRIUR3_14674
Q93VC3	Ensembl:TRIUR3_07147
Q93VD5	Ensembl:TRIUR3_34284
Q93X08	Ensembl:TRIUR3_15167
Q93XI4	Ensembl:TRIUR3_07676
Q941T9	Ensembl:TRIUR3_10591
Q943R3	Ensembl:TRIUR3_22931
Q948T6	Ensembl:TRIUR3_09101
Q94CU3	Ensembl:TRIUR3_32670
Q94E75	Ensembl:TRIUR3_03976
Q94EE9	Ensembl:TRIUR3_13367 Ensembl:TRIUR3_16723 Ensembl:TRIUR3_16822
Q94GF1	Ensembl:TRIUR3_21068
Q94HG3	Ensembl:TRIUR3_04214
Q94IW5	Ensembl:TRIUR3_13252
Q94J90	Ensembl:TRIUR3_09545
Q94JA2	Ensembl:TRIUR3_21621
Q94JJ0	Ensembl:TRIUR3_00501
Q94LU9	Ensembl:TRIUR3_09767
Q94LV4	Ensembl:TRIUR3_16486
Q9AQU4	Ensembl:TRIUR3_01119 Ensembl:TRIUR3_01466
Q9ASD3	Ensembl:TRIUR3_13020
Q9ASK5	Ensembl:TRIUR3_04185
Q9ASP4	Ensembl:TRIUR3_04433
Q9AUQ4	Ensembl:TRIUR3_18164
Q9AV71	Ensembl:TRIUR3_10868
Q9AWL7	Ensembl:TRIUR3_30834
Q9AY73	Ensembl:TRIUR3_01931
Q9FDX8	Ensembl:TRIUR3_12438
Q9FDY4	Ensembl:TRIUR3_27950
Q9FE35	Ensembl:TRIUR3_35037
Q9FRX7	Ensembl:TRIUR3_32252
Q9FTN5	Ensembl:TRIUR3_30507
Q9FTN6	Ensembl:TRIUR3_30507
Q9FTR6	Ensembl:TRIUR3_09344
Q9FU17	Ensembl:TRIUR3_32631
Q9FU67	Ensembl:TRIUR3_30644 Ensembl:TRIUR3_08836 Ensembl:TRIUR3_08838 Ensembl:TRIUR3_20744 Ensembl:TRIUR3_09350 Ensembl:TRIUR3_32263 Ensembl:TRIUR3_06329
Q9FU68	Ensembl:TRIUR3_30644 Ensembl:TRIUR3_08836 Ensembl:TRIUR3_08838 Ensembl:TRIUR3_20744 Ensembl:TRIUR3_09350 Ensembl:TRIUR3_32263 Ensembl:TRIUR3_06329
Q9FU69	Ensembl:TRIUR3_30644 Ensembl:TRIUR3_08836 Ensembl:TRIUR3_08838 Ensembl:TRIUR3_20744 Ensembl:TRIUR3_09350 Ensembl:TRIUR3_32263 Ensembl:TRIUR3_06329
Q9FUE1	Ensembl:TRIUR3_31805
Q9FWC1	Ensembl:TRIUR3_33217
Q9FWK4	Ensembl:TRIUR3_06117
Q9FWQ2	Ensembl:TRIUR3_17527
Q9LDB7	Ensembl:TRIUR3_09705
Q9LG86	Ensembl:TRIUR3_31949
Q9LGL5	Ensembl:TRIUR3_07417
Q9LGU6	Ensembl:TRIUR3_34063
Q9LHZ0	Ensembl:TRIUR3_22338
Q9LHZ7	Ensembl:TRIUR3_08086
Q9LIZ8	Ensembl:TRIUR3_12715 Ensembl:TRIUR3_29064
Q9SDG5	Ensembl:TRIUR3_17927 Ensembl:TRIUR3_22205
Q9SMB1	Ensembl:TRIUR3_26744
Q9SNK3	Ensembl:TRIUR3_19023
Q9SNN0	Ensembl:TRIUR3_15306
Q9XEA6	Ensembl:TRIUR3_20222
Q9XFE5	Ensembl:TRIUR3_05943
Q9XG80	Ensembl:TRIUR3_03616 Ensembl:TRIUR3_03419
Q9XJ29	Ensembl:TRIUR3_18580
Q9XJ61	Ensembl:TRIUR3_30872 Ensembl:TRIUR3_19056 Ensembl:TRIUR3_28473
Q9ZTP5	Ensembl:TRIUR3_11821
UPI00000AA151	Ensembl:TRIUR3_09705
UPI0001C7A9C3	Ensembl:TRIUR3_09886
