A0A0P0X5U4	Jaiswal:GAKM01128495.1
Q0JCZ4	Jaiswal:GAKM01014880.1 Jaiswal:GAKM01026704.1 Jaiswal:GAKM01007363.1 Jaiswal:GAKM01004978.1 Jaiswal:GAKM01116797.1 Jaiswal:GAKM01018831.1
Q0JDD2	Jaiswal:GAKM01124895.1 Jaiswal:GAKM01005514.1
Q0JDF7	Jaiswal:GAKM01074442.1
Q0JDN5	Jaiswal:GAKM01107664.1 Jaiswal:GAKM01041343.1
Q0JDT1	Jaiswal:GAKM01031200.1
Q0JE53	Jaiswal:GAKM01093130.1 Jaiswal:GAKM01031126.1 Jaiswal:GAKM01120117.1 Jaiswal:GAKM01004836.1 Jaiswal:GAKM01092379.1 Jaiswal:GAKM01105223.1 Jaiswal:GAKM01011792.1 Jaiswal:GAKM01006618.1 Jaiswal:GAKM01106491.1 Jaiswal:GAKM01123310.1 Jaiswal:GAKM01027029.1 Jaiswal:GAKM01017804.1 Jaiswal:GAKM01118030.1 Jaiswal:GAKM01084814.1 Jaiswal:GAKM01096954.1 Jaiswal:GAKM01040123.1 Jaiswal:GAKM01132267.1 Jaiswal:GAKM01116779.1 Jaiswal:GAKM01087866.1 Jaiswal:GAKM01132316.1 Jaiswal:GAKM01060230.1 Jaiswal:GAKM01099508.1 Jaiswal:GAKM01067415.1 Jaiswal:GAKM01088595.1 Jaiswal:GAKM01010264.1 Jaiswal:GAKM01027173.1 Jaiswal:GAKM01072471.1 Jaiswal:GAKM01063192.1 Jaiswal:GAKM01066471.1 Jaiswal:GAKM01089616.1 Jaiswal:GAKM01097742.1 Jaiswal:GAKM01074093.1 Jaiswal:GAKM01112909.1 Jaiswal:GAKM01081737.1 Jaiswal:GAKM01043135.1 Jaiswal:GAKM01062240.1 Jaiswal:GAKM01127985.1 Jaiswal:GAKM01112888.1 Jaiswal:GAKM01056897.1 Jaiswal:GAKM01070999.1 Jaiswal:GAKM01033390.1
Q0JEK1	Jaiswal:GAKM01055450.1 Jaiswal:GAKM01049194.1 Jaiswal:GAKM01018952.1 Jaiswal:GAKM01127733.1
Q0JEZ8	Jaiswal:GAKM01032034.1 Jaiswal:GAKM01044629.1 Jaiswal:GAKM01020900.1
Q0JF02	Jaiswal:GAKM01064264.1 Jaiswal:GAKM01059197.1
Q0JF25	Jaiswal:GAKM01125428.1
Q0JF26	Jaiswal:GAKM01125428.1
Q0JF30	Jaiswal:GAKM01031823.1 Jaiswal:GAKM01081785.1 Jaiswal:GAKM01046858.1
Q0JGK4	Jaiswal:GAKM01052451.1 Jaiswal:GAKM01017630.1 Jaiswal:GAKM01086714.1 Jaiswal:GAKM01069697.1
Q0JIC2	Jaiswal:GAKM01018770.1 Jaiswal:GAKM01089578.1 Jaiswal:GAKM01075068.1 Jaiswal:GAKM01047029.1 Jaiswal:GAKM01119671.1 Jaiswal:GAKM01129551.1
Q0JIR6	Jaiswal:GAKM01094810.1
Q0JJ01	Jaiswal:GAKM01081788.1 Jaiswal:GAKM01036615.1 Jaiswal:GAKM01094325.1 Jaiswal:GAKM01078963.1
Q0JJI1	Jaiswal:GAKM01060083.1 Jaiswal:GAKM01116526.1
Q0JJV0	Jaiswal:GAKM01065536.1
Q0JK57	Jaiswal:GAKM01119068.1 Jaiswal:GAKM01130092.1 Jaiswal:GAKM01026767.1 Jaiswal:GAKM01074772.1
Q0JKD0	Jaiswal:GAKM01130101.1
Q0JKG7	Jaiswal:GAKM01130449.1 Jaiswal:GAKM01128705.1 Jaiswal:GAKM01047970.1 Jaiswal:GAKM01006833.1 Jaiswal:GAKM01051922.1 Jaiswal:GAKM01068375.1 Jaiswal:GAKM01069419.1 Jaiswal:GAKM01021432.1 Jaiswal:GAKM01091867.1
Q0JKI9	Jaiswal:GAKM01068086.1 Jaiswal:GAKM01018241.1 Jaiswal:GAKM01019097.1 Jaiswal:GAKM01031311.1
Q0JKY8	Jaiswal:GAKM01098704.1 Jaiswal:GAKM01039354.1 Jaiswal:GAKM01107531.1 Jaiswal:GAKM01123319.1 Jaiswal:GAKM01085920.1 Jaiswal:GAKM01004504.1 Jaiswal:GAKM01111992.1
Q0JLT2	Jaiswal:GAKM01110046.1 Jaiswal:GAKM01014959.1
Q0JPT4	Jaiswal:GAKM01105693.1 Jaiswal:GAKM01105836.1 Jaiswal:GAKM01051542.1 Jaiswal:GAKM01031954.1 Jaiswal:GAKM01007554.1 Jaiswal:GAKM01117558.1 Jaiswal:GAKM01046498.1 Jaiswal:GAKM01002210.1 Jaiswal:GAKM01004799.1
Q0JQ41	Jaiswal:GAKM01061971.1 Jaiswal:GAKM01019251.1 Jaiswal:GAKM01053991.1 Jaiswal:GAKM01130792.1
Q0JR55	Jaiswal:GAKM01082642.1 Jaiswal:GAKM01008855.1 Jaiswal:GAKM01064878.1
Q0JRG4	Jaiswal:GAKM01050860.1 Jaiswal:GAKM01037607.1
Q109F2	Jaiswal:GAKM01133003.1 Jaiswal:GAKM01071192.1 Jaiswal:GAKM01056920.1 Jaiswal:GAKM01037051.1 Jaiswal:GAKM01099741.1 Jaiswal:GAKM01023011.1 Jaiswal:GAKM01055769.1 Jaiswal:GAKM01088049.1 Jaiswal:GAKM01041032.1 Jaiswal:GAKM01018631.1
Q109K4	Jaiswal:GAKM01078257.1
Q109W9	Jaiswal:GAKM01078257.1
Q10A30	Jaiswal:GAKM01035893.1 Jaiswal:GAKM01128906.1 Jaiswal:GAKM01067255.1 Jaiswal:GAKM01124342.1 Jaiswal:GAKM01030644.1
Q10A97	Jaiswal:GAKM01083122.1 Jaiswal:GAKM01074562.1 Jaiswal:GAKM01036266.1 Jaiswal:GAKM01069001.1 Jaiswal:GAKM01103835.1
Q10B63	Jaiswal:GAKM01070414.1 Jaiswal:GAKM01130819.1 Jaiswal:GAKM01073541.1 Jaiswal:GAKM01110456.1
Q10BA5	Jaiswal:GAKM01041251.1
Q10BT5	Jaiswal:GAKM01134323.1
Q10BX9	Jaiswal:GAKM01006719.1
Q10CE4	Jaiswal:GAKM01110273.1 Jaiswal:GAKM01044071.1 Jaiswal:GAKM01009755.1
Q10CH5	Jaiswal:GAKM01102289.1 Jaiswal:GAKM01040008.1 Jaiswal:GAKM01081985.1 Jaiswal:GAKM01050938.1 Jaiswal:GAKM01005808.1 Jaiswal:GAKM01095826.1 Jaiswal:GAKM01082964.1 Jaiswal:GAKM01010754.1 Jaiswal:GAKM01007730.1 Jaiswal:GAKM01114334.1 Jaiswal:GAKM01058177.1
Q10CQ1	Jaiswal:GAKM01058952.1 Jaiswal:GAKM01088075.1 Jaiswal:GAKM01019359.1 Jaiswal:GAKM01132169.1 Jaiswal:GAKM01102780.1 Jaiswal:GAKM01022073.1 Jaiswal:GAKM01130354.1 Jaiswal:GAKM01067154.1 Jaiswal:GAKM01009294.1 Jaiswal:GAKM01038277.1 Jaiswal:GAKM01079148.1 Jaiswal:GAKM01033168.1 Jaiswal:GAKM01085570.1 Jaiswal:GAKM01104074.1 Jaiswal:GAKM01116469.1 Jaiswal:GAKM01100635.1 Jaiswal:GAKM01132069.1 Jaiswal:GAKM01028167.1
Q10CS9	Jaiswal:GAKM01081205.1 Jaiswal:GAKM01065621.1 Jaiswal:GAKM01117258.1 Jaiswal:GAKM01020807.1
Q10CU7	Jaiswal:GAKM01131304.1
Q10D34	Jaiswal:GAKM01076724.1 Jaiswal:GAKM01009028.1 Jaiswal:GAKM01051370.1 Jaiswal:GAKM01051722.1 Jaiswal:GAKM01006997.1 Jaiswal:GAKM01031332.1 Jaiswal:GAKM01002633.1 Jaiswal:GAKM01105678.1
Q10D68	Jaiswal:GAKM01085800.1
Q10D87	Jaiswal:GAKM01073498.1 Jaiswal:GAKM01075858.1 Jaiswal:GAKM01126282.1 Jaiswal:GAKM01132390.1 Jaiswal:GAKM01021002.1
Q10DK7	Jaiswal:GAKM01008911.1
Q10DU0	Jaiswal:GAKM01020233.1 Jaiswal:GAKM01046838.1 Jaiswal:GAKM01110849.1
Q10DZ5	Jaiswal:GAKM01121751.1 Jaiswal:GAKM01066662.1 Jaiswal:GAKM01053410.1 Jaiswal:GAKM01062486.1 Jaiswal:GAKM01094959.1
Q10E50	Jaiswal:GAKM01134870.1 Jaiswal:GAKM01090792.1 Jaiswal:GAKM01129456.1 Jaiswal:GAKM01107817.1 Jaiswal:GAKM01101115.1 Jaiswal:GAKM01126692.1
Q10EG4	Jaiswal:GAKM01019709.1 Jaiswal:GAKM01055580.1 Jaiswal:GAKM01093318.1 Jaiswal:GAKM01095686.1 Jaiswal:GAKM01015898.1
Q10F04	Jaiswal:GAKM01105663.1
Q10F25	Jaiswal:GAKM01005111.1 Jaiswal:GAKM01043664.1 Jaiswal:GAKM01094846.1 Jaiswal:GAKM01081398.1 Jaiswal:GAKM01134296.1
Q10FE9	Jaiswal:GAKM01046352.1 Jaiswal:GAKM01015549.1
Q10G56	Jaiswal:GAKM01032727.1 Jaiswal:GAKM01045135.1
Q10HZ6	Jaiswal:GAKM01125428.1
Q10J20	Jaiswal:GAKM01110534.1
Q10J32	Jaiswal:GAKM01130694.1 Jaiswal:GAKM01117922.1
Q10JI3	Jaiswal:GAKM01071082.1 Jaiswal:GAKM01010411.1 Jaiswal:GAKM01043406.1 Jaiswal:GAKM01088028.1 Jaiswal:GAKM01038057.1 Jaiswal:GAKM01035126.1 Jaiswal:GAKM01051460.1 Jaiswal:GAKM01137127.1 Jaiswal:GAKM01046337.1
Q10L51	Jaiswal:GAKM01089082.1 Jaiswal:GAKM01049118.1 Jaiswal:GAKM01109575.1 Jaiswal:GAKM01014968.1 Jaiswal:GAKM01084010.1 Jaiswal:GAKM01013611.1 Jaiswal:GAKM01027583.1 Jaiswal:GAKM01107693.1 Jaiswal:GAKM01107616.1 Jaiswal:GAKM01088462.1 Jaiswal:GAKM01074045.1 Jaiswal:GAKM01031301.1 Jaiswal:GAKM01098481.1 Jaiswal:GAKM01070089.1 Jaiswal:GAKM01130736.1 Jaiswal:GAKM01017318.1 Jaiswal:GAKM01055698.1 Jaiswal:GAKM01098618.1 Jaiswal:GAKM01034941.1 Jaiswal:GAKM01041862.1 Jaiswal:GAKM01129815.1 Jaiswal:GAKM01092173.1 Jaiswal:GAKM01004305.1 Jaiswal:GAKM01122066.1 Jaiswal:GAKM01116431.1 Jaiswal:GAKM01068882.1 Jaiswal:GAKM01087488.1 Jaiswal:GAKM01010976.1 Jaiswal:GAKM01073990.1 Jaiswal:GAKM01060593.1 Jaiswal:GAKM01025605.1 Jaiswal:GAKM01036945.1 Jaiswal:GAKM01043203.1 Jaiswal:GAKM01028902.1 Jaiswal:GAKM01120805.1
Q10L56	Jaiswal:GAKM01042323.1 Jaiswal:GAKM01091677.1
Q10LP5	Jaiswal:GAKM01107269.1 Jaiswal:GAKM01131133.1 Jaiswal:GAKM01007133.1 Jaiswal:GAKM01043349.1
Q10LR4	Jaiswal:GAKM01099635.1 Jaiswal:GAKM01029912.1 Jaiswal:GAKM01129002.1 Jaiswal:GAKM01042928.1
Q10LR5	Jaiswal:GAKM01041020.1
Q10M55	Jaiswal:GAKM01042179.1 Jaiswal:GAKM01128572.1 Jaiswal:GAKM01080597.1
Q10M76	Jaiswal:GAKM01001281.1 Jaiswal:GAKM01122316.1 Jaiswal:GAKM01058411.1
Q10MB0	Jaiswal:GAKM01052581.1 Jaiswal:GAKM01062034.1 Jaiswal:GAKM01067856.1 Jaiswal:GAKM01002262.1 Jaiswal:GAKM01061825.1 Jaiswal:GAKM01024967.1
Q10MB4	Jaiswal:GAKM01076005.1 Jaiswal:GAKM01105405.1 Jaiswal:GAKM01125182.1 Jaiswal:GAKM01062558.1
Q10ME8	Jaiswal:GAKM01053018.1 Jaiswal:GAKM01109764.1 Jaiswal:GAKM01104347.1
Q10MG9	Jaiswal:GAKM01134118.1
Q10MK5	Jaiswal:GAKM01014044.1
Q10MQ2	Jaiswal:GAKM01116812.1 Jaiswal:GAKM01081733.1 Jaiswal:GAKM01105684.1 Jaiswal:GAKM01038251.1 Jaiswal:GAKM01135314.1 Jaiswal:GAKM01020538.1
Q10MS2	Jaiswal:GAKM01037379.1 Jaiswal:GAKM01040760.1 Jaiswal:GAKM01073206.1 Jaiswal:GAKM01042085.1
Q10MW3	Jaiswal:GAKM01032287.1 Jaiswal:GAKM01004905.1 Jaiswal:GAKM01047662.1
Q10MX3	Jaiswal:GAKM01016665.1
Q10MX9	Jaiswal:GAKM01109180.1 Jaiswal:GAKM01029070.1 Jaiswal:GAKM01014413.1 Jaiswal:GAKM01125138.1 Jaiswal:GAKM01028636.1 Jaiswal:GAKM01106584.1 Jaiswal:GAKM01037135.1
Q10N17	Jaiswal:GAKM01016405.1 Jaiswal:GAKM01123284.1 Jaiswal:GAKM01063093.1 Jaiswal:GAKM01115115.1 Jaiswal:GAKM01001248.1
Q10N34	Jaiswal:GAKM01118267.1 Jaiswal:GAKM01033620.1 Jaiswal:GAKM01086809.1
Q10NY1	Jaiswal:GAKM01061072.1 Jaiswal:GAKM01009001.1 Jaiswal:GAKM01002105.1
Q10NY2	Jaiswal:GAKM01018815.1 Jaiswal:GAKM01109716.1
Q10P01	Jaiswal:GAKM01078090.1 Jaiswal:GAKM01009179.1
Q10P67	Jaiswal:GAKM01048000.1 Jaiswal:GAKM01045318.1 Jaiswal:GAKM01114240.1 Jaiswal:GAKM01011706.1
Q10PL0	Jaiswal:GAKM01101075.1 Jaiswal:GAKM01070561.1 Jaiswal:GAKM01106233.1 Jaiswal:GAKM01034430.1 Jaiswal:GAKM01128798.1 Jaiswal:GAKM01091149.1
Q10PY7	Jaiswal:GAKM01059473.1 Jaiswal:GAKM01099439.1 Jaiswal:GAKM01058956.1
Q10QA5	Jaiswal:GAKM01053057.1 Jaiswal:GAKM01128615.1
Q10QH1	Jaiswal:GAKM01072553.1
Q10QN3	Jaiswal:GAKM01083778.1 Jaiswal:GAKM01067538.1 Jaiswal:GAKM01013928.1
Q10QR9	Jaiswal:GAKM01109912.1 Jaiswal:GAKM01124798.1
Q10RP2	Jaiswal:GAKM01048735.1
Q10S34	Jaiswal:GAKM01100659.1 Jaiswal:GAKM01129984.1
Q10S55	Jaiswal:GAKM01126763.1
Q10S58	Jaiswal:GAKM01094960.1 Jaiswal:GAKM01100164.1
Q10S72	Jaiswal:GAKM01135189.1
Q10SD6	Jaiswal:GAKM01116998.1 Jaiswal:GAKM01103727.1
Q10SL7	Jaiswal:GAKM01075783.1 Jaiswal:GAKM01078163.1 Jaiswal:GAKM01085352.1 Jaiswal:GAKM01066674.1
Q10SM6	Jaiswal:GAKM01120980.1 Jaiswal:GAKM01049080.1
Q10SP1	Jaiswal:GAKM01022247.1 Jaiswal:GAKM01132990.1 Jaiswal:GAKM01000949.1 Jaiswal:GAKM01056845.1 Jaiswal:GAKM01108966.1 Jaiswal:GAKM01069195.1
Q10SU1	Jaiswal:GAKM01095859.1 Jaiswal:GAKM01116893.1
Q10T43	Jaiswal:GAKM01011410.1 Jaiswal:GAKM01091090.1
Q25AR2	Jaiswal:GAKM01056216.1 Jaiswal:GAKM01027779.1 Jaiswal:GAKM01091668.1 Jaiswal:GAKM01087508.1 Jaiswal:GAKM01046147.1
Q2KNB4	Jaiswal:GAKM01035005.1 Jaiswal:GAKM01069670.1
Q2KNB5	Jaiswal:GAKM01035005.1 Jaiswal:GAKM01069670.1
Q2MJA7	Jaiswal:GAKM01120858.1 Jaiswal:GAKM01051997.1 Jaiswal:GAKM01068426.1 Jaiswal:GAKM01062288.1 Jaiswal:GAKM01135822.1
Q2MJA8	Jaiswal:GAKM01120858.1 Jaiswal:GAKM01051997.1 Jaiswal:GAKM01068426.1 Jaiswal:GAKM01062288.1 Jaiswal:GAKM01135822.1
Q2QLJ0	Jaiswal:GAKM01109078.1 Jaiswal:GAKM01061573.1 Jaiswal:GAKM01004023.1
Q2QLQ1	Jaiswal:GAKM01057100.1
Q2QLY5	Jaiswal:GAKM01036055.1
Q2QLY6	Jaiswal:GAKM01084915.1
Q2QM70	Jaiswal:GAKM01005533.1 Jaiswal:GAKM01136942.1 Jaiswal:GAKM01022028.1 Jaiswal:GAKM01024324.1
Q2QM83	Jaiswal:GAKM01009168.1 Jaiswal:GAKM01083228.1 Jaiswal:GAKM01127365.1 Jaiswal:GAKM01051802.1 Jaiswal:GAKM01049983.1 Jaiswal:GAKM01029696.1 Jaiswal:GAKM01018637.1 Jaiswal:GAKM01134382.1 Jaiswal:GAKM01112508.1 Jaiswal:GAKM01045011.1
Q2QMD4	Jaiswal:GAKM01012472.1 Jaiswal:GAKM01028174.1
Q2QME6	Jaiswal:GAKM01135285.1 Jaiswal:GAKM01091977.1 Jaiswal:GAKM01111718.1
Q2QMK8	Jaiswal:GAKM01042804.1 Jaiswal:GAKM01095181.1
Q2QN88	Jaiswal:GAKM01108173.1 Jaiswal:GAKM01055180.1
Q2QNF7	Jaiswal:GAKM01063834.1
Q2QNM9	Jaiswal:GAKM01037532.1 Jaiswal:GAKM01029987.1 Jaiswal:GAKM01075651.1 Jaiswal:GAKM01045725.1 Jaiswal:GAKM01086438.1
Q2QNN5	Jaiswal:GAKM01117634.1 Jaiswal:GAKM01010241.1
Q2QNS6	Jaiswal:GAKM01120758.1
Q2QPI2	Jaiswal:GAKM01103492.1 Jaiswal:GAKM01103720.1 Jaiswal:GAKM01063228.1 Jaiswal:GAKM01013478.1 Jaiswal:GAKM01040536.1 Jaiswal:GAKM01058666.1 Jaiswal:GAKM01097338.1 Jaiswal:GAKM01126902.1
Q2QPR0	Jaiswal:GAKM01109496.1 Jaiswal:GAKM01082412.1 Jaiswal:GAKM01095513.1 Jaiswal:GAKM01047983.1 Jaiswal:GAKM01089053.1 Jaiswal:GAKM01064753.1 Jaiswal:GAKM01021929.1 Jaiswal:GAKM01070374.1 Jaiswal:GAKM01119533.1 Jaiswal:GAKM01133378.1 Jaiswal:GAKM01115529.1 Jaiswal:GAKM01050827.1 Jaiswal:GAKM01088722.1
Q2QQJ5	Jaiswal:GAKM01032034.1 Jaiswal:GAKM01044629.1 Jaiswal:GAKM01020900.1
Q2QQX6	Jaiswal:GAKM01014880.1 Jaiswal:GAKM01026704.1 Jaiswal:GAKM01007363.1 Jaiswal:GAKM01004978.1 Jaiswal:GAKM01116797.1 Jaiswal:GAKM01018831.1
Q2QR54	Jaiswal:GAKM01019312.1 Jaiswal:GAKM01050135.1 Jaiswal:GAKM01000132.1
Q2QRX6	Jaiswal:GAKM01087691.1 Jaiswal:GAKM01099090.1
Q2QS13	Jaiswal:GAKM01106629.1 Jaiswal:GAKM01121706.1 Jaiswal:GAKM01070245.1 Jaiswal:GAKM01108185.1
Q2QS14	Jaiswal:GAKM01106629.1 Jaiswal:GAKM01121706.1 Jaiswal:GAKM01070245.1 Jaiswal:GAKM01108185.1
Q2QTJ1	Jaiswal:GAKM01132883.1 Jaiswal:GAKM01004080.1 Jaiswal:GAKM01056877.1 Jaiswal:GAKM01099333.1 Jaiswal:GAKM01079452.1 Jaiswal:GAKM01040101.1 Jaiswal:GAKM01127926.1
Q2QTL0	Jaiswal:GAKM01082005.1
Q2QTQ1	Jaiswal:GAKM01128335.1
Q2QUG4	Jaiswal:GAKM01087093.1
Q2QUI0	Jaiswal:GAKM01103492.1 Jaiswal:GAKM01103720.1 Jaiswal:GAKM01063228.1 Jaiswal:GAKM01013478.1 Jaiswal:GAKM01040536.1 Jaiswal:GAKM01058666.1 Jaiswal:GAKM01097338.1 Jaiswal:GAKM01126902.1
Q2QVC1	Jaiswal:GAKM01120723.1
Q2QWD0	Jaiswal:GAKM01067883.1
Q2QWK9	Jaiswal:GAKM01088872.1 Jaiswal:GAKM01060050.1
Q2QWV7	Jaiswal:GAKM01117079.1 Jaiswal:GAKM01044305.1
Q2QX49	Jaiswal:GAKM01122081.1 Jaiswal:GAKM01126874.1 Jaiswal:GAKM01003709.1 Jaiswal:GAKM01079374.1 Jaiswal:GAKM01095624.1 Jaiswal:GAKM01020545.1 Jaiswal:GAKM01017113.1 Jaiswal:GAKM01063197.1 Jaiswal:GAKM01002720.1
Q2QX58	Jaiswal:GAKM01002447.1 Jaiswal:GAKM01130379.1 Jaiswal:GAKM01067925.1 Jaiswal:GAKM01097536.1
Q2QXB1	Jaiswal:GAKM01008910.1 Jaiswal:GAKM01082346.1 Jaiswal:GAKM01115538.1 Jaiswal:GAKM01055841.1 Jaiswal:GAKM01022111.1 Jaiswal:GAKM01068300.1 Jaiswal:GAKM01085801.1
Q2QXK5	Jaiswal:GAKM01124895.1 Jaiswal:GAKM01005514.1
Q2QXL0	Jaiswal:GAKM01060188.1 Jaiswal:GAKM01106547.1 Jaiswal:GAKM01043489.1 Jaiswal:GAKM01076839.1 Jaiswal:GAKM01084133.1 Jaiswal:GAKM01023019.1
Q2QXP0	Jaiswal:GAKM01036502.1 Jaiswal:GAKM01041083.1 Jaiswal:GAKM01017816.1 Jaiswal:GAKM01042201.1 Jaiswal:GAKM01001970.1 Jaiswal:GAKM01136329.1
Q2QXY1	Jaiswal:GAKM01137450.1 Jaiswal:GAKM01104242.1
Q2QXY9	Jaiswal:GAKM01059311.1
Q2QXZ1	Jaiswal:GAKM01121380.1 Jaiswal:GAKM01084315.1
Q2QY63	Jaiswal:GAKM01072286.1 Jaiswal:GAKM01126061.1
Q2QYB7	Jaiswal:GAKM01082261.1 Jaiswal:GAKM01015113.1 Jaiswal:GAKM01129931.1
Q2QYW4	Jaiswal:GAKM01109180.1 Jaiswal:GAKM01029070.1 Jaiswal:GAKM01014413.1 Jaiswal:GAKM01125138.1 Jaiswal:GAKM01028636.1 Jaiswal:GAKM01106584.1 Jaiswal:GAKM01037135.1
Q2QZ14	Jaiswal:GAKM01016350.1
Q2QZT9	Jaiswal:GAKM01127836.1
Q2QZV8	Jaiswal:GAKM01085996.1 Jaiswal:GAKM01119169.1
Q2R0P3	Jaiswal:GAKM01026650.1 Jaiswal:GAKM01030049.1
Q2R1D5	Jaiswal:GAKM01115668.1
Q2R1G8	Jaiswal:GAKM01126198.1 Jaiswal:GAKM01095443.1 Jaiswal:GAKM01019165.1 Jaiswal:GAKM01086765.1 Jaiswal:GAKM01062069.1
Q2R1L4	Jaiswal:GAKM01095126.1 Jaiswal:GAKM01128332.1
Q2R2W1	Jaiswal:GAKM01110352.1 Jaiswal:GAKM01089788.1 Jaiswal:GAKM01006161.1 Jaiswal:GAKM01070039.1
Q2R2W2	Jaiswal:GAKM01079573.1 Jaiswal:GAKM01071910.1 Jaiswal:GAKM01132812.1 Jaiswal:GAKM01089688.1 Jaiswal:GAKM01063321.1
Q2R2W3	Jaiswal:GAKM01134870.1 Jaiswal:GAKM01090792.1 Jaiswal:GAKM01129456.1 Jaiswal:GAKM01107817.1 Jaiswal:GAKM01101115.1 Jaiswal:GAKM01126692.1
Q2R2W8	Jaiswal:GAKM01059393.1 Jaiswal:GAKM01040569.1 Jaiswal:GAKM01103391.1 Jaiswal:GAKM01103080.1 Jaiswal:GAKM01130780.1
Q2R339	Jaiswal:GAKM01038737.1 Jaiswal:GAKM01095433.1
Q2R3A1	Jaiswal:GAKM01045033.1 Jaiswal:GAKM01008356.1 Jaiswal:GAKM01034910.1 Jaiswal:GAKM01094540.1 Jaiswal:GAKM01130557.1 Jaiswal:GAKM01023721.1 Jaiswal:GAKM01117498.1 Jaiswal:GAKM01045278.1 Jaiswal:GAKM01110295.1
Q2R3F5	Jaiswal:GAKM01014880.1 Jaiswal:GAKM01026704.1 Jaiswal:GAKM01007363.1 Jaiswal:GAKM01004978.1 Jaiswal:GAKM01116797.1 Jaiswal:GAKM01018831.1
Q2R3K3	Jaiswal:GAKM01107340.1 Jaiswal:GAKM01007959.1
Q2R3K5	Jaiswal:GAKM01058661.1 Jaiswal:GAKM01077617.1 Jaiswal:GAKM01083115.1 Jaiswal:GAKM01070380.1 Jaiswal:GAKM01125722.1
Q2R3Y4	Jaiswal:GAKM01122081.1 Jaiswal:GAKM01126874.1 Jaiswal:GAKM01003709.1 Jaiswal:GAKM01079374.1 Jaiswal:GAKM01095624.1 Jaiswal:GAKM01020545.1 Jaiswal:GAKM01017113.1 Jaiswal:GAKM01063197.1 Jaiswal:GAKM01002720.1
Q2R481	Jaiswal:GAKM01087691.1 Jaiswal:GAKM01099090.1
Q2R8T7	Jaiswal:GAKM01080998.1 Jaiswal:GAKM01055732.1
Q2RA11	Jaiswal:GAKM01122081.1 Jaiswal:GAKM01126874.1 Jaiswal:GAKM01003709.1 Jaiswal:GAKM01079374.1 Jaiswal:GAKM01095624.1 Jaiswal:GAKM01020545.1 Jaiswal:GAKM01017113.1 Jaiswal:GAKM01063197.1 Jaiswal:GAKM01002720.1
Q2RAM8	Jaiswal:GAKM01069096.1 Jaiswal:GAKM01072250.1 Jaiswal:GAKM01090591.1 Jaiswal:GAKM01036009.1 Jaiswal:GAKM01051784.1 Jaiswal:GAKM01019734.1 Jaiswal:GAKM01025642.1 Jaiswal:GAKM01074921.1 Jaiswal:GAKM01032487.1 Jaiswal:GAKM01067362.1 Jaiswal:GAKM01134432.1 Jaiswal:GAKM01049886.1 Jaiswal:GAKM01053719.1 Jaiswal:GAKM01084074.1 Jaiswal:GAKM01135726.1
Q2RAP0	Jaiswal:GAKM01137450.1 Jaiswal:GAKM01104242.1
Q2RAP4	Jaiswal:GAKM01046686.1 Jaiswal:GAKM01095549.1
Q2RAP8	Jaiswal:GAKM01059311.1
Q2RAP9	Jaiswal:GAKM01121380.1 Jaiswal:GAKM01084315.1
Q2RAW4	Jaiswal:GAKM01129088.1 Jaiswal:GAKM01025880.1 Jaiswal:GAKM01100654.1 Jaiswal:GAKM01024186.1 Jaiswal:GAKM01065241.1 Jaiswal:GAKM01047145.1 Jaiswal:GAKM01010478.1 Jaiswal:GAKM01120449.1 Jaiswal:GAKM01114527.1 Jaiswal:GAKM01104020.1 Jaiswal:GAKM01001118.1 Jaiswal:GAKM01005707.1 Jaiswal:GAKM01123404.1
Q2RAW8	Jaiswal:GAKM01129088.1 Jaiswal:GAKM01025880.1 Jaiswal:GAKM01100654.1 Jaiswal:GAKM01024186.1 Jaiswal:GAKM01065241.1 Jaiswal:GAKM01047145.1 Jaiswal:GAKM01010478.1 Jaiswal:GAKM01120449.1 Jaiswal:GAKM01114527.1 Jaiswal:GAKM01104020.1 Jaiswal:GAKM01001118.1 Jaiswal:GAKM01005707.1 Jaiswal:GAKM01123404.1
Q2RAY0	Jaiswal:GAKM01072286.1 Jaiswal:GAKM01126061.1
