A2XPN8	Ensembl:BVRB_1g022200
Q688L9	Ensembl:BVRB_004720
Q688Q8	Ensembl:BVRB_9g218940
Q688Q9	Ensembl:BVRB_5g122980
Q688T8	Ensembl:BVRB_1g007110 Ensembl:BVRB_9g217200
Q688Y2	Ensembl:BVRB_4g096820
Q689G6	Ensembl:BVRB_3g051050
Q689G9	Ensembl:BVRB_5g114270
Q69IM7	Ensembl:BVRB_3g056900
Q69J27	Ensembl:BVRB_7g177840
Q69K00	Ensembl:BVRB_9g214650
Q69KM5	Ensembl:BVRB_8g191980
Q69KW1	Ensembl:BVRB_005510
Q69L93	Ensembl:BVRB_7g173210
Q69LG7	Ensembl:BVRB_3g050790
Q69MC9	Ensembl:BVRB_9g221610
Q69P51	Ensembl:BVRB_8g191460
Q69P84	Ensembl:BVRB_7g169880
Q69QD7	Ensembl:BVRB_8g194710
Q69RG7	Ensembl:BVRB_5g110580
Q69RJ0	Ensembl:BVRB_3g062860
Q69T90	Ensembl:BVRB_9g215810
Q69T99	Ensembl:BVRB_9g206950
Q69TF4	Ensembl:BVRB_1g018970
Q69TT1	Ensembl:BVRB_6g144110
Q69TW5	Ensembl:BVRB_7g169340
Q69U01	Ensembl:BVRB_7g173920 Ensembl:BVRB_5g104950
Q69U93	Ensembl:BVRB_3g054800
Q69UF5	Ensembl:BVRB_3g065160 Ensembl:BVRB_3g065130
Q69UU3	Ensembl:BVRB_6g148110
Q69UX2	Ensembl:BVRB_6g154080
Q69XD3	Ensembl:BVRB_3g065160 Ensembl:BVRB_3g065130
Q69XJ0	Ensembl:BVRB_2g030200 Ensembl:BVRB_8g194430
Q6ASV4	Ensembl:BVRB_9g214920
Q6ASW7	Ensembl:BVRB_9g208270 Ensembl:BVRB_2g036250
Q6AT26	Ensembl:BVRB_9g208050 Ensembl:BVRB_2g042850
Q6AT32	Ensembl:BVRB_2g032050
Q6AT33	Ensembl:BVRB_9g221270 Ensembl:BVRB_8g196860
Q6AT41	Ensembl:BVRB_8g197080
Q6AT43	Ensembl:BVRB_6g137390
Q6AT75	Ensembl:BVRB_3g070570
Q6ATR2	Ensembl:BVRB_3g069300
Q6AUB0	Ensembl:BVRB_4g075310
Q6AUJ8	Ensembl:BVRB_5g103060
Q6AUV1	Ensembl:BVRB_014400 Ensembl:BVRB_4g072500
Q6AV34	Ensembl:BVRB_014940 Ensembl:BVRB_3g069380
Q6AVG6	Ensembl:BVRB_9g217920
Q6AVM5	Ensembl:BVRB_3g064480 Ensembl:BVRB_9g207080
Q6AVT2	Ensembl:BVRB_004380
Q6EP31	Ensembl:BVRB_9g214100
Q6EP59	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q6EP66	Ensembl:BVRB_8g184280
Q6EP77	Ensembl:BVRB_3g066590
Q6EPN6	Ensembl:BVRB_5g099910
Q6EPR6	Ensembl:BVRB_4g089300
Q6EPY7	Ensembl:BVRB_7g159420 Ensembl:BVRB_7g159400
Q6EPZ2	Ensembl:BVRB_2g031460 Ensembl:BVRB_9g223060
Q6EQW2	Ensembl:BVRB_4g095180
Q6ERL4	Ensembl:BVRB_6g137270
Q6ERR3	Ensembl:BVRB_9g223090
Q6ESJ0	Ensembl:BVRB_5g123260
Q6ESZ9	Ensembl:BVRB_1g011320
Q6ET36	Ensembl:BVRB_7g161040
Q6ET88	Ensembl:BVRB_9g213360
Q6ETD3	Ensembl:BVRB_5g097930 Ensembl:BVRB_3g056080
Q6ETN1	Ensembl:BVRB_8g199830
Q6ETN3	Ensembl:BVRB_8g198680
Q6ETX4	Ensembl:BVRB_005450
Q6EUF1	Ensembl:BVRB_8g201060
Q6EUNO	Ensembl:BVRB_6g140370
Q6EUP4	Ensembl:BVRB_6g155820 Ensembl:BVRB_2g026600
Q6EUS6	Ensembl:BVRB_9g209080
Q6F361	Ensembl:BVRB_4g085990
Q6H3Z3	Ensembl:BVRB_5g103930 Ensembl:BVRB_3g051190 Ensembl:BVRB_5g103940
Q6H3Z6	Ensembl:BVRB_5g103930 Ensembl:BVRB_3g051190 Ensembl:BVRB_5g103940
Q6H415	Ensembl:BVRB_5g116030
Q6H4G3	Ensembl:BVRB_6g135270
Q6H513	Ensembl:BVRB_6g132250
Q6H5U3	Ensembl:BVRB_8g183450
Q6H5Z4	Ensembl:BVRB_006920 Ensembl:BVRB_9g211290
Q6H6C7	Ensembl:BVRB_2g038140
Q6H6D2	Ensembl:BVRB_2g041930
Q6H6G1	Ensembl:BVRB_1g006010
Q6H6I1	Ensembl:BVRB_006310 Ensembl:BVRB_006300
Q6H6P8	Ensembl:BVRB_7g160030
Q6H703	Ensembl:BVRB_2g047810
Q6H713	Ensembl:BVRB_2g044720
Q6H765	Ensembl:BVRB_6g153310 Ensembl:BVRB_5g114200
Q6H7M1	Ensembl:BVRB_8g185200
Q6H7Q6	Ensembl:BVRB_8g196630 Ensembl:BVRB_5g116770 Ensembl:BVRB_4g072070 Ensembl:BVRB_4g072060 Ensembl:BVRB_4g072080 Ensembl:BVRB_4g072090
Q6H819	Ensembl:BVRB_2g031500
Q6H849	Ensembl:BVRB_7g170820
Q6H851	Ensembl:BVRB_7g170820
Q6H8F6	Ensembl:BVRB_9g224290 Ensembl:BVRB_6g150150 Ensembl:BVRB_6g140440 Ensembl:BVRB_6g127250 Ensembl:BVRB_6g134950 Ensembl:BVRB_9g224280
Q6I581	Ensembl:BVRB_1g003490
Q6I5C3	Ensembl:BVRB_3g052410 Ensembl:BVRB_1g019210 Ensembl:BVRB_1g003320
Q6IEQ7	Ensembl:BVRB_7g158010
Q6IVC3	Ensembl:BVRB_2g041830 Ensembl:BVRB_3g062960
Q6K1S6	Ensembl:BVRB_3g049030 Ensembl:BVRB_5g121120
Q6K1X7	Ensembl:BVRB_4g074570 Ensembl:BVRB_3g059040
Q6K209	Ensembl:BVRB_3g050690 Ensembl:BVRB_3g050680
Q6K2E1	Ensembl:BVRB_5g098710
Q6K2E8	Ensembl:BVRB_5g124450
Q6K306	Ensembl:BVRB_2g026460 Ensembl:BVRB_2g032340
Q6K3T2	Ensembl:BVRB_3g066600 Ensembl:BVRB_8g202040
Q6K3Z3	Ensembl:BVRB_9g206140
Q6K4Q5	Ensembl:BVRB_3g060460 Ensembl:BVRB_3g060450
Q6K4V9	Ensembl:BVRB_4g093500
Q6K5G8	Ensembl:BVRB_5g110740
Q6K5U4	Ensembl:BVRB_5g107030 Ensembl:BVRB_9g225780 Ensembl:BVRB_4g086570 Ensembl:BVRB_9g225800
Q6K678	Ensembl:BVRB_8g189460
Q6K6Q0	Ensembl:BVRB_7g161880
Q6K6Q1	Ensembl:BVRB_7g161880
Q6K755	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q6K7P2	Ensembl:BVRB_9g202700
Q6K7V6	Ensembl:BVRB_2g032060
Q6K8E2	Ensembl:BVRB_1g008060
Q6K8E7	Ensembl:BVRB_1g016420
Q6K8J4	Ensembl:BVRB_9g208020
Q6K969	Ensembl:BVRB_9g215700
Q6K973	Ensembl:BVRB_4g084720
Q6K9B8	Ensembl:BVRB_8g191830 Ensembl:BVRB_8g191820
Q6K9C5	Ensembl:BVRB_8g198850
Q6K9M5	Ensembl:BVRB_8g191980
Q6K9N6	Ensembl:BVRB_6g132360
Q6K9X3	Ensembl:BVRB_7g161210
Q6KAJ2	Ensembl:BVRB_2g031080
Q6L4G2	Ensembl:BVRB_2g030330 Ensembl:BVRB_6g141390
Q6L4H5	Ensembl:BVRB_7g165390
Q6L4L4	Ensembl:BVRB_9g208270 Ensembl:BVRB_2g036250
Q6L4R0	Ensembl:BVRB_7g176680
Q6L4R7	Ensembl:BVRB_8g199360
Q6L506	Ensembl:BVRB_7g174590
Q6L540	Ensembl:BVRB_9g225880
Q6L545	Ensembl:BVRB_7g165780 Ensembl:BVRB_4g083210
Q6L8G1	Ensembl:BVRB_3g063680
Q6MWK9	Ensembl:BVRB_5g121050 Ensembl:BVRB_3g049280
Q6Q9I2	Ensembl:BVRB_5g113480 Ensembl:BVRB_6g139720
Q6QHD1	Ensembl:BVRB_2g031460 Ensembl:BVRB_9g223060
Q6VMN7	Ensembl:BVRB_1g021370
Q6YPG5	Ensembl:BVRB_3g067750
Q6YS33	Ensembl:BVRB_6g149770
Q6YSA1	Ensembl:BVRB_8g188640
Q6YSF8	Ensembl:BVRB_9g222540 Ensembl:BVRB_9g222550 Ensembl:BVRB_8g196870 Ensembl:BVRB_8g196880 Ensembl:BVRB_9g222580 Ensembl:BVRB_9g222590 Ensembl:BVRB_9g222570 Ensembl:BVRB_8g193560 Ensembl:BVRB_9g222560
Q6YT73	Ensembl:BVRB_4g094290
Q6YTI6	Ensembl:BVRB_1g000480
Q6YTT3	Ensembl:BVRB_1g008670 Ensembl:BVRB_9g215440
Q6YU51	Ensembl:BVRB_6g133960
Q6YU90	Ensembl:BVRB_9g213980
Q6YUS0	Ensembl:BVRB_9g215910
Q6YUS3	Ensembl:BVRB_9g213890
Q6YUU2	Ensembl:BVRB_3g062500
Q6YV04	Ensembl:BVRB_9g218010
Q6YV23	Ensembl:BVRB_7g159090 Ensembl:BVRB_4g074870
Q6YVI0	Ensembl:BVRB_3g056930
Q6YVT1	Ensembl:BVRB_8g197040
Q6YVY0	Ensembl:BVRB_6g145940
Q6YWE1	Ensembl:BVRB_3g069300
Q6YWS8	Ensembl:BVRB_6g140370
Q6YWY7	Ensembl:BVRB_6g154080
Q6YXC2	Ensembl:BVRB_1g009090
Q6YXI1	Ensembl:BVRB_1g007880
Q6YXW6	Ensembl:BVRB_5g109020 Ensembl:BVRB_4g092820
Q6YYY7	Ensembl:BVRB_1g006370
Q6YYZ2	Ensembl:BVRB_5g107340
Q6YZ18	Ensembl:BVRB_8g182260
Q6YZE2	Ensembl:BVRB_5g112860
Q6YZH8	Ensembl:BVRB_4g089030
Q6YZX7	Ensembl:BVRB_6g142780 Ensembl:BVRB_2g027460
Q6Z0T7	Ensembl:BVRB_7g171370
Q6Z156	Ensembl:BVRB_4g084030 Ensembl:BVRB_7g180690
Q6Z2L5	Ensembl:BVRB_1g017070
Q6Z2T6	Ensembl:BVRB_5g114670
Q6Z312	Ensembl:BVRB_7g169340
Q6Z368	Ensembl:BVRB_9g216620 Ensembl:BVRB_9g216610
Q6Z398	Ensembl:BVRB_5g124820
Q6Z3A4	Ensembl:BVRB_9g218940
Q6Z3F1	Ensembl:BVRB_6g131640
Q6Z3F9	Ensembl:BVRB_9g225860
Q6Z3X5	Ensembl:BVRB_9g217610
Q6Z3Y3	Ensembl:BVRB_9g207480 Ensembl:BVRB_9g207420
Q6Z414	Ensembl:BVRB_8g181400
Q6Z433	Ensembl:BVRB_7g177640
Q6Z434	Ensembl:BVRB_7g177590
Q6Z4E7	Ensembl:BVRB_7g157490 Ensembl:BVRB_7g160830
Q6Z4F3	Ensembl:BVRB_8g200750
Q6Z4I1	Ensembl:BVRB_4g097150
Q6Z4U1	Ensembl:BVRB_7g173920 Ensembl:BVRB_5g104950
Q6Z5B5	Ensembl:BVRB_7g173920 Ensembl:BVRB_5g104950
Q6Z5M0	Ensembl:BVRB_3g070500
Q6Z5M3	Ensembl:BVRB_6g128320
Q6Z684	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q6Z6K9	Ensembl:BVRB_9g218200
Q6Z6L1	Ensembl:BVRB_9g218200
Q6Z6S7	Ensembl:BVRB_8g182150
Q6Z702	Ensembl:BVRB_006600
Q6Z744	Ensembl:BVRB_2g045950
Q6Z795	Ensembl:BVRB_8g194340 Ensembl:BVRB_2g030340
Q6Z836	Ensembl:BVRB_9g203200
Q6Z8F4	Ensembl:BVRB_5g107370
Q6Z8S2	Ensembl:BVRB_7g173920 Ensembl:BVRB_5g104950
Q6Z8Z7	Ensembl:BVRB_8g190070
Q6Z965	Ensembl:BVRB_001030 Ensembl:BVRB_001000
Q6Z9A3	Ensembl:BVRB_2g025490
Q6Z9E6	Ensembl:BVRB_2g031500
Q6ZAC1	Ensembl:BVRB_8g198680
Q6ZAH2	Ensembl:BVRB_7g165920
Q6ZB59	Ensembl:BVRB_5g117920
Q6ZB94	Ensembl:BVRB_1g007880
Q6ZBE1	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q6ZBH5	Ensembl:BVRB_5g101200
Q6ZC33	Ensembl:BVRB_1g000370
Q6ZCF0	Ensembl:BVRB_6g132200
Q6ZD10	Ensembl:BVRB_3g050790
Q6ZD89	Ensembl:BVRB_3g050950 Ensembl:BVRB_5g109500
Q6ZDJ7	Ensembl:BVRB_5g098710
Q6ZDQ1	Ensembl:BVRB_5g123290
Q6ZDY8	Ensembl:BVRB_6g128670
Q6ZEZ2	Ensembl:BVRB_4g083630
Q6ZFI6	Ensembl:BVRB_4g073470
Q6ZFT5	Ensembl:BVRB_9g205950
Q6ZG77	Ensembl:BVRB_9g217130
Q6ZG91	Ensembl:BVRB_6g148090
Q6ZGS9	Ensembl:BVRB_5g106060
Q6ZGW6	Ensembl:BVRB_3g060280 Ensembl:BVRB_4g071650
Q6ZHA3	Ensembl:BVRB_1g020700
Q6ZHB2	Ensembl:BVRB_5g105630
Q6ZHH4	Ensembl:BVRB_8g185250 Ensembl:BVRB_9g204280
Q6ZHH7	Ensembl:BVRB_1g000370
Q6ZHS4	Ensembl:BVRB_9g223800
Q6ZHZ1	Ensembl:BVRB_8g193450 Ensembl:BVRB_2g030670
Q6ZI55	Ensembl:BVRB_9g212730 Ensembl:BVRB_6g152160
Q6ZIA3	Ensembl:BVRB_2g037930
Q6ZIK0	Ensembl:BVRB_3g049450
Q6ZIX2	Ensembl:BVRB_2g029170
Q6ZJ97	Ensembl:BVRB_7g159350
Q6ZJK7	Ensembl:BVRB_8g182260
Q6ZK11	Ensembl:BVRB_5g113340
Q6ZKC0	Ensembl:BVRB_6g155820 Ensembl:BVRB_2g026600
Q6ZKV8	Ensembl:BVRB_8g198720
Q6ZL61	Ensembl:BVRB_5g120250
Q6ZL94	Ensembl:BVRB_9g202840
Q6ZLD3	Ensembl:BVRB_5g120130
Q6ZLJ9	Ensembl:BVRB_006460
Q75GB1	Ensembl:BVRB_9g221270 Ensembl:BVRB_8g196860
Q75GK0	Ensembl:BVRB_4g082260 Ensembl:BVRB_5g120320
Q75H77	Ensembl:BVRB_6g134600 Ensembl:BVRB_9g218570
Q75HB1	Ensembl:BVRB_3g063680
Q75HP7	Ensembl:BVRB_6g143730
Q75HQ7	Ensembl:BVRB_7g161880
Q75HZ9	Ensembl:BVRB_7g164490
Q75I93	Ensembl:BVRB_7g176750
Q75II5	Ensembl:BVRB_4g085320
Q75KD7	Ensembl:BVRB_2g026470
Q75KT7	Ensembl:BVRB_2g042060 Ensembl:BVRB_1g012240 Ensembl:BVRB_2g042040
Q75L84	Ensembl:BVRB_012600
Q75LC7	Ensembl:BVRB_6g151630 Ensembl:BVRB_6g151640
Q75LL5	Ensembl:BVRB_7g171350
Q75LR2	Ensembl:BVRB_1g008670 Ensembl:BVRB_9g215440
Q75M18	Ensembl:BVRB_6g145640
Q75V57	Ensembl:BVRB_6g134600 Ensembl:BVRB_9g218570
Q75W16	Ensembl:BVRB_1g008670 Ensembl:BVRB_9g215440
Q764B9	Ensembl:BVRB_3g065460
Q7EXZ2	Ensembl:BVRB_3g060480
Q7EZW6	Ensembl:BVRB_3g068010
Q7EZZ0	Ensembl:BVRB_3g062200
Q7F0B2	Ensembl:BVRB_2g025820 Ensembl:BVRB_2g025770 Ensembl:BVRB_2g025810 Ensembl:BVRB_2g025800
Q7F0Q2	Ensembl:BVRB_011620
Q7F190	Ensembl:BVRB_1g017150
Q7F1X5	Ensembl:BVRB_5g110580
Q7F2P0	Ensembl:BVRB_9g222540 Ensembl:BVRB_9g222550 Ensembl:BVRB_8g196870 Ensembl:BVRB_8g196880 Ensembl:BVRB_9g222580 Ensembl:BVRB_9g222590 Ensembl:BVRB_9g222570 Ensembl:BVRB_8g193560 Ensembl:BVRB_9g222560
Q7F8K7	Ensembl:BVRB_3g050690 Ensembl:BVRB_3g050680
Q7FAE1	Ensembl:BVRB_7g158510 Ensembl:BVRB_7g158520
Q7FAH2	Ensembl:BVRB_5g110740
Q7G065	Ensembl:BVRB_1g007110 Ensembl:BVRB_9g217200
Q7G2F7	Ensembl:BVRB_8g183580
Q7G2H3	Ensembl:BVRB_014940 Ensembl:BVRB_3g069380
Q7G4P2	Ensembl:BVRB_1g016420
Q7G6M2	Ensembl:BVRB_9g225880
Q7G7J6	Ensembl:BVRB_6g144010
Q7X634	Ensembl:BVRB_4g096540
Q7X720	Ensembl:BVRB_7g161880
Q7X742	Ensembl:BVRB_2g046530 Ensembl:BVRB_5g125090 Ensembl:BVRB_6g143450
Q7X7N2	Ensembl:BVRB_1g018930
Q7X7X0	Ensembl:BVRB_6g136280
Q7X8A1	Ensembl:BVRB_4g094590
Q7X8V3	Ensembl:BVRB_7g161880
Q7X993	Ensembl:BVRB_2g041830 Ensembl:BVRB_3g062960
Q7XAP2	Ensembl:BVRB_3g052300
Q7XBY6	Ensembl:BVRB_5g105930
Q7XC20	Ensembl:BVRB_5g105630
Q7XCK3	Ensembl:BVRB_6g152190
Q7XDE0	Ensembl:BVRB_4g096520
Q7XE48	Ensembl:BVRB_2g046740
Q7XEH2	Ensembl:BVRB_5g119700
Q7XHL3	Ensembl:BVRB_7g166040
Q7XHZ2	Ensembl:BVRB_7g157140
Q7XI34	Ensembl:BVRB_2g025820 Ensembl:BVRB_2g025770 Ensembl:BVRB_2g025810 Ensembl:BVRB_2g025800
Q7XI35	Ensembl:BVRB_2g025820 Ensembl:BVRB_2g025770 Ensembl:BVRB_2g025810 Ensembl:BVRB_2g025800
Q7XI92	Ensembl:BVRB_6g137830
Q7XI96	Ensembl:BVRB_1g013030 Ensembl:BVRB_6g137710
Q7XK23	Ensembl:BVRB_9g212730 Ensembl:BVRB_6g152160
Q7XKI0	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q7XKQ8	Ensembl:BVRB_5g124450
Q7XM21	Ensembl:BVRB_6g130650
Q7XMP7	Ensembl:BVRB_1g015650
Q7XN11	Ensembl:BVRB_6g132200
Q7XN54	Ensembl:BVRB_5g103930 Ensembl:BVRB_3g051190 Ensembl:BVRB_5g103940
Q7XNX6	Ensembl:BVRB_4g084720
Q7XNY3	Ensembl:BVRB_2g045310
Q7XPB5	Ensembl:BVRB_7g175850 Ensembl:BVRB_3g053090
Q7XPR2	Ensembl:BVRB_6g127540
Q7XPR5	Ensembl:BVRB_6g137390
Q7XPW5	Ensembl:BVRB_009080 Ensembl:BVRB_7g170670
Q7XQ85	Ensembl:BVRB_1g004040 Ensembl:BVRB_5g099920
Q7XR60	Ensembl:BVRB_9g223720
Q7XR61	Ensembl:BVRB_9g223720
Q7XRA1	Ensembl:BVRB_9g216250 Ensembl:BVRB_2g024920
Q7XRT0	Ensembl:BVRB_2g024290
Q7XTB2	Ensembl:BVRB_5g124840
Q7XTE8	Ensembl:BVRB_6g155820 Ensembl:BVRB_2g026600
Q7XTH0	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q7XTK3	Ensembl:BVRB_4g081640
Q7XTX7	Ensembl:BVRB_5g101630
Q7XU28	Ensembl:BVRB_1g006010
Q7XU29	Ensembl:BVRB_1g018290
Q7XUA8	Ensembl:BVRB_9g221480
Q7XUH5	Ensembl:BVRB_011620
Q7XUI7	Ensembl:BVRB_6g131640
Q7XUK6	Ensembl:BVRB_4g096340 Ensembl:BVRB_3g059400
Q7XUS2	Ensembl:BVRB_3g065460
Q7XV13	Ensembl:BVRB_7g169930
Q7XV18	Ensembl:BVRB_6g131740
Q7XV42	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q7XVM2	Ensembl:BVRB_009840
Q7XVM8	Ensembl:BVRB_6g152100
Q7XVP0	Ensembl:BVRB_4g076550
Q7XWP9	Ensembl:BVRB_2g044900
Q7XXL2	Ensembl:BVRB_6g150680
Q7XXQ9	Ensembl:BVRB_1g017020
Q7XYS3	Ensembl:BVRB_9g218200
Q7XZH5	Ensembl:BVRB_3g055210 Ensembl:BVRB_3g055230 Ensembl:BVRB_3g055220
Q7Y0B9	Ensembl:BVRB_6g134600 Ensembl:BVRB_9g218570
Q7Y0C8	Ensembl:BVRB_3g070470
Q7Y0Y6	Ensembl:BVRB_9g218010
Q7Y0Y8	Ensembl:BVRB_9g218010
Q7Y152	Ensembl:BVRB_3g048950
Q7Y1H9	Ensembl:BVRB_5g120250
Q7Y1I9	Ensembl:BVRB_5g120250
Q7Y1J1	Ensembl:BVRB_5g120250
Q84J55	Ensembl:BVRB_6g138550 Ensembl:BVRB_1g008620
Q84J76	Ensembl:BVRB_9g222540 Ensembl:BVRB_9g222550 Ensembl:BVRB_9g222580 Ensembl:BVRB_9g222590 Ensembl:BVRB_9g222570 Ensembl:BVRB_8g193560 Ensembl:BVRB_9g222560
Q84JH5	Ensembl:BVRB_2g025490
Q84JI0	Ensembl:BVRB_2g025410 Ensembl:BVRB_7g173230
Q84LF7	Ensembl:BVRB_3g070570
Q84LK3	Ensembl:BVRB_5g116250 Ensembl:BVRB_7g178050
Q84M43	Ensembl:BVRB_006490 Ensembl:BVRB_2g029350
Q84MN8	Ensembl:BVRB_009820
Q84NP3	Ensembl:BVRB_2g023650 Ensembl:BVRB_2g023640
Q84Q89	Ensembl:BVRB_3g057570
Q84QA7	Ensembl:BVRB_2g024250
Q84QC0	Ensembl:BVRB_9g211350
Q84R94	Ensembl:BVRB_8g190750
Q84RS4	Ensembl:BVRB_5g124980 Ensembl:BVRB_1g017430
Q84RX6	Ensembl:BVRB_6g127630
Q84T92	Ensembl:BVRB_2g036940 Ensembl:BVRB_2g036880
Q84U04	Ensembl:BVRB_9g214920
Q84VC7	Ensembl:BVRB_002560
Q84YK8	Ensembl:BVRB_4g072080 Ensembl:BVRB_5g116770 Ensembl:BVRB_4g072070 Ensembl:BVRB_4g072060 Ensembl:BVRB_4g072090
Q84ZN6	Ensembl:BVRB_006490 Ensembl:BVRB_2g029350
Q84ZY2	Ensembl:BVRB_2g044900
Q851L5	Ensembl:BVRB_7g158530 Ensembl:BVRB_7g158600
Q851Z6	Ensembl:BVRB_6g149770
Q852C2	Ensembl:BVRB_2g025820 Ensembl:BVRB_2g025770 Ensembl:BVRB_2g025800
Q852P4	Ensembl:BVRB_3g049090
Q852Q1	Ensembl:BVRB_1g015250
Q8GRU7	Ensembl:BVRB_008970 Ensembl:BVRB_008960
Q8GSD9	Ensembl:BVRB_5g121080 Ensembl:BVRB_3g049130 Ensembl:BVRB_3g049110 Ensembl:BVRB_5g103240 Ensembl:BVRB_9g206150 Ensembl:BVRB_3g049160 Ensembl:BVRB_5g097840 Ensembl:BVRB_3g049170 Ensembl:BVRB_3g049150 Ensembl:BVRB_3g049140 Ensembl:BVRB_3g049120
Q8GT01	Ensembl:BVRB_3g062510
Q8GVJ4	Ensembl:BVRB_3g060280 Ensembl:BVRB_4g071650
Q8GVZ0	Ensembl:BVRB_4g075310
Q8H016	Ensembl:BVRB_7g169930
Q8H038	Ensembl:BVRB_7g166580
Q8H048	Ensembl:BVRB_1g019880
Q8H051	Ensembl:BVRB_5g101200
Q8H075	Ensembl:BVRB_5g121050 Ensembl:BVRB_3g049280
Q8H093	Ensembl:BVRB_1g019880
Q8H0B2	Ensembl:BVRB_5g109600
Q8H273	Ensembl:BVRB_3g066590
Q8H395	Ensembl:BVRB_8g190750
Q8H3A4	Ensembl:BVRB_004960
Q8H3C8	Ensembl:BVRB_7g158530 Ensembl:BVRB_7g158600
Q8H3C9	Ensembl:BVRB_7g158530 Ensembl:BVRB_7g158600
Q8H3I4	Ensembl:BVRB_7g169640
Q8H3Q7	Ensembl:BVRB_8g198830
Q8H4L3	Ensembl:BVRB_1g018740 Ensembl:BVRB_9g210980 Ensembl:BVRB_1g018750 Ensembl:BVRB_1g018770 Ensembl:BVRB_1g018760 Ensembl:BVRB_6g151690 Ensembl:BVRB_6g152260
Q8H530	Ensembl:BVRB_9g221490
Q8H539	Ensembl:BVRB_4g092830
Q8H6G8	Ensembl:BVRB_5g121080 Ensembl:BVRB_3g049130 Ensembl:BVRB_3g049110 Ensembl:BVRB_5g103240 Ensembl:BVRB_9g206150 Ensembl:BVRB_3g049160 Ensembl:BVRB_5g097840 Ensembl:BVRB_3g049170 Ensembl:BVRB_3g049150 Ensembl:BVRB_3g049140 Ensembl:BVRB_3g049120
Q8H7T7	Ensembl:BVRB_6g137390
Q8H825	Ensembl:BVRB_6g141890
Q8H8U0	Ensembl:BVRB_2g046020
Q8H930	Ensembl:BVRB_5g109600
Q8LHD1	Ensembl:BVRB_7g167680
Q8LI89	Ensembl:BVRB_5g098510
Q8LIY8	Ensembl:BVRB_2g032350
Q8LJJ2	Ensembl:BVRB_7g165390
Q8LMW8	Ensembl:BVRB_9g222540 Ensembl:BVRB_9g222550 Ensembl:BVRB_8g196870 Ensembl:BVRB_8g196880 Ensembl:BVRB_9g222580 Ensembl:BVRB_9g222590 Ensembl:BVRB_9g222570 Ensembl:BVRB_8g193560 Ensembl:BVRB_9g222560
Q8LNU2	Ensembl:BVRB_4g079130 Ensembl:BVRB_6g142900
Q8LQ34	Ensembl:BVRB_9g216900 Ensembl:BVRB_8g195420
Q8LR33	Ensembl:BVRB_6g151320
Q8LR75	Ensembl:BVRB_7g173820
Q8LRA0	Ensembl:BVRB_3g063510 Ensembl:BVRB_3g063500 Ensembl:BVRB_3g063480
Q8RU95	Ensembl:BVRB_5g110580
Q8RV34	Ensembl:BVRB_8g191150
Q8RYL0	Ensembl:BVRB_5g113080
Q8RYL1	Ensembl:BVRB_5g113080
Q8RZV7	Ensembl:BVRB_3g064650
Q8RZZ3	Ensembl:BVRB_9g202340
Q8S0G4	Ensembl:BVRB_9g209120 Ensembl:BVRB_3g061940
Q8S2E5	Ensembl:BVRB_6g148100
Q8S2G0	Ensembl:BVRB_6g146710
Q8S3R0	Ensembl:BVRB_6g128830
Q8S5M6	Ensembl:BVRB_5g118890 Ensembl:BVRB_3g054760
Q8S5N2	Ensembl:BVRB_6g135490
Q8S5T1	Ensembl:BVRB_5g120360
Q8S601	Ensembl:BVRB_4g089130 Ensembl:BVRB_9g220180 Ensembl:BVRB_4g095860
Q8S7N5	Ensembl:BVRB_5g106280
Q8S7T9	Ensembl:BVRB_3g064390
Q8S983	Ensembl:BVRB_1g022070
Q8S985	Ensembl:BVRB_8g182410
Q8S9S4	Ensembl:BVRB_9g211630
Q8S9Z2	Ensembl:BVRB_9g210810
Q8W1L6	Ensembl:BVRB_8g196760
Q8W250	Ensembl:BVRB_5g117060
