A2X747	Phytozome_Cs:orange1.1g036315m
Q0ITU1	Phytozome_Cs:orange1.1g017329m Phytozome_Cs:orange1.1g017293m Phytozome_Cs:orange1.1g018280m Phytozome_Cs:orange1.1g017312m
Q0ITW7	Phytozome_Cs:orange1.1g047713m Phytozome_Cs:orange1.1g016933m Phytozome_Cs:orange1.1g018529m Phytozome_Cs:orange1.1g017336m Phytozome_Cs:orange1.1g019414m Phytozome_Cs:orange1.1g018072m
Q0IZJ9	Phytozome_Cs:orange1.1g014547m
Q0IZS0	Phytozome_Cs:orange1.1g029760m Phytozome_Cs:orange1.1g033026m Phytozome_Cs:orange1.1g033021m Phytozome_Cs:orange1.1g029754m Phytozome_Cs:orange1.1g027948m Phytozome_Cs:orange1.1g026301m Phytozome_Cs:orange1.1g031175m Phytozome_Cs:orange1.1g029775m Phytozome_Cs:orange1.1g029418m Phytozome_Cs:orange1.1g031215m
Q0IZX5	Phytozome_Cs:orange1.1g003153m Phytozome_Cs:orange1.1g006854m Phytozome_Cs:orange1.1g006430m Phytozome_Cs:orange1.1g004233m Phytozome_Cs:orange1.1g005439m Phytozome_Cs:orange1.1g004774m Phytozome_Cs:orange1.1g004222m Phytozome_Cs:orange1.1g004061m Phytozome_Cs:orange1.1g002960m
Q0J0M8	Phytozome_Cs:orange1.1g007956m Phytozome_Cs:orange1.1g011423m Phytozome_Cs:orange1.1g011933m
Q0J0N3	Phytozome_Cs:orange1.1g043169m Phytozome_Cs:orange1.1g042406m Phytozome_Cs:orange1.1g015113m Phytozome_Cs:orange1.1g013602m
Q0J185	Phytozome_Cs:orange1.1g042507m Phytozome_Cs:orange1.1g036255m Phytozome_Cs:orange1.1g046128m
Q0J1C1	Phytozome_Cs:orange1.1g024020m Phytozome_Cs:orange1.1g023985m Phytozome_Cs:orange1.1g018920m Phytozome_Cs:orange1.1g021002m Phytozome_Cs:orange1.1g026305m Phytozome_Cs:orange1.1g020953m Phytozome_Cs:orange1.1g027317m
Q0J1E1	Phytozome_Cs:orange1.1g008480m Phytozome_Cs:orange1.1g010562m Phytozome_Cs:orange1.1g044054m Phytozome_Cs:orange1.1g006673m Phytozome_Cs:orange1.1g010734m Phytozome_Cs:orange1.1g010555m
Q0J270	Phytozome_Cs:orange1.1g039124m
Q0J2L7	Phytozome_Cs:orange1.1g015135m Phytozome_Cs:orange1.1g036852m
Q0J360	Phytozome_Cs:orange1.1g018161m Phytozome_Cs:orange1.1g013412m Phytozome_Cs:orange1.1g014058m Phytozome_Cs:orange1.1g007857m
Q0J5Y4	Phytozome_Cs:orange1.1g019626m
Q0J7P4	Phytozome_Cs:orange1.1g030627m Phytozome_Cs:orange1.1g032777m Phytozome_Cs:orange1.1g030670m Phytozome_Cs:orange1.1g033283m Phytozome_Cs:orange1.1g033282m Phytozome_Cs:orange1.1g030547m Phytozome_Cs:orange1.1g032773m Phytozome_Cs:orange1.1g030647m Phytozome_Cs:orange1.1g030714m Phytozome_Cs:orange1.1g030812m
Q0J7U6	Phytozome_Cs:orange1.1g001176m Phytozome_Cs:orange1.1g001157m Phytozome_Cs:orange1.1g001168m Phytozome_Cs:orange1.1g001159m Phytozome_Cs:orange1.1g001477m Phytozome_Cs:orange1.1g001160m Phytozome_Cs:orange1.1g002494m Phytozome_Cs:orange1.1g001534m
Q0J8A4	Phytozome_Cs:orange1.1g019445m
Q0J951	Phytozome_Cs:orange1.1g003286m Phytozome_Cs:orange1.1g003505m Phytozome_Cs:orange1.1g002624m Phytozome_Cs:orange1.1g002737m Phytozome_Cs:orange1.1g003298m Phytozome_Cs:orange1.1g003506m Phytozome_Cs:orange1.1g002629m Phytozome_Cs:orange1.1g002390m Phytozome_Cs:orange1.1g002650m
Q0J9F2	Phytozome_Cs:orange1.1g025823m Phytozome_Cs:orange1.1g019339m
Q0J9K2	Phytozome_Cs:orange1.1g009868m
Q0J9Z0	Phytozome_Cs:orange1.1g046057m
Q0JA81	Phytozome_Cs:orange1.1g004193m
Q0JA82	Phytozome_Cs:orange1.1g004193m
Q0JAI1	Phytozome_Cs:orange1.1g044766m
Q0JB49	Phytozome_Cs:orange1.1g027311m Phytozome_Cs:orange1.1g027134m Phytozome_Cs:orange1.1g029690m
Q0JB91	Phytozome_Cs:orange1.1g025337m Phytozome_Cs:orange1.1g025945m Phytozome_Cs:orange1.1g024894m Phytozome_Cs:orange1.1g018660m
Q0JB99	Phytozome_Cs:orange1.1g044938m Phytozome_Cs:orange1.1g028566m
Q0JBF1	Phytozome_Cs:orange1.1g005279m
Q0JC10	Phytozome_Cs:orange1.1g039582m Phytozome_Cs:orange1.1g035670m
Q0JCU7	Phytozome_Cs:orange1.1g014684m Phytozome_Cs:orange1.1g010723m Phytozome_Cs:orange1.1g005770m Phytozome_Cs:orange1.1g006440m Phytozome_Cs:orange1.1g011876m Phytozome_Cs:orange1.1g006013m Phytozome_Cs:orange1.1g017856m Phytozome_Cs:orange1.1g011888m Phytozome_Cs:orange1.1g006025m
Q0JCZ4	Phytozome_Cs:orange1.1g005618m Phytozome_Cs:orange1.1g008608m Phytozome_Cs:orange1.1g006544m Phytozome_Cs:orange1.1g004792m
Q0JDD2	Phytozome_Cs:orange1.1g044649m
Q0JDF7	Phytozome_Cs:orange1.1g014547m
Q0JDN5	Phytozome_Cs:orange1.1g001713m Phytozome_Cs:orange1.1g002419m Phytozome_Cs:orange1.1g002323m
Q0JDT1	Phytozome_Cs:orange1.1g011550m
Q0JE53	Phytozome_Cs:orange1.1g047540m Phytozome_Cs:orange1.1g010775m Phytozome_Cs:orange1.1g037221m Phytozome_Cs:orange1.1g022329m Phytozome_Cs:orange1.1g010825m Phytozome_Cs:orange1.1g010684m Phytozome_Cs:orange1.1g022321m Phytozome_Cs:orange1.1g012217m Phytozome_Cs:orange1.1g022811m Phytozome_Cs:orange1.1g012342m
Q0JEK1	Phytozome_Cs:orange1.1g018253m Phytozome_Cs:orange1.1g018443m
Q0JEP5	Phytozome_Cs:orange1.1g013476m Phytozome_Cs:orange1.1g008503m Phytozome_Cs:orange1.1g012358m Phytozome_Cs:orange1.1g006891m
Q0JEZ8	Phytozome_Cs:orange1.1g004193m
Q0JF25	Phytozome_Cs:orange1.1g035533m Phytozome_Cs:orange1.1g009152m
Q0JF26	Phytozome_Cs:orange1.1g035533m Phytozome_Cs:orange1.1g009152m
Q0JF30	Phytozome_Cs:orange1.1g004510m
Q0JGK4	Phytozome_Cs:orange1.1g001705m
Q0JIC2	Phytozome_Cs:orange1.1g018087m Phytozome_Cs:orange1.1g011938m Phytozome_Cs:orange1.1g012809m
Q0JIR6	Phytozome_Cs:orange1.1g021404m Phytozome_Cs:orange1.1g025855m Phytozome_Cs:orange1.1g016806m Phytozome_Cs:orange1.1g027761m Phytozome_Cs:orange1.1g025883m Phytozome_Cs:orange1.1g016832m
Q0JJ01	Phytozome_Cs:orange1.1g007619m Phytozome_Cs:orange1.1g007550m Phytozome_Cs:orange1.1g009554m Phytozome_Cs:orange1.1g007758m Phytozome_Cs:orange1.1g008204m Phytozome_Cs:orange1.1g010793m Phytozome_Cs:orange1.1g007849m Phytozome_Cs:orange1.1g010293m
Q0JJI1	Phytozome_Cs:orange1.1g023444m Phytozome_Cs:orange1.1g018000m Phytozome_Cs:orange1.1g020982m Phytozome_Cs:orange1.1g013798m
Q0JJV0	Phytozome_Cs:orange1.1g018360m
Q0JK57	Phytozome_Cs:orange1.1g043471m
Q0JKD0	Phytozome_Cs:orange1.1g000265m Phytozome_Cs:orange1.1g000266m
Q0JKG7	Phytozome_Cs:orange1.1g017865m Phytozome_Cs:orange1.1g017830m Phytozome_Cs:orange1.1g017828m Phytozome_Cs:orange1.1g017807m Phytozome_Cs:orange1.1g022747m Phytozome_Cs:orange1.1g028379m Phytozome_Cs:orange1.1g029427m Phytozome_Cs:orange1.1g017871m Phytozome_Cs:orange1.1g019236m Phytozome_Cs:orange1.1g022618m Phytozome_Cs:orange1.1g019963m Phytozome_Cs:orange1.1g023039m Phytozome_Cs:orange1.1g017803m Phytozome_Cs:orange1.1g017809m Phytozome_Cs:orange1.1g017824m Phytozome_Cs:orange1.1g017170m
Q0JKI9	Phytozome_Cs:orange1.1g004436m Phytozome_Cs:orange1.1g004489m Phytozome_Cs:orange1.1g004532m Phytozome_Cs:orange1.1g012439m Phytozome_Cs:orange1.1g004106m
Q0JKY8	Phytozome_Cs:orange1.1g024180m Phytozome_Cs:orange1.1g025325m Phytozome_Cs:orange1.1g025150m Phytozome_Cs:orange1.1g045791m Phytozome_Cs:orange1.1g025210m Phytozome_Cs:orange1.1g020683m Phytozome_Cs:orange1.1g020830m Phytozome_Cs:orange1.1g020195m Phytozome_Cs:orange1.1g021414m Phytozome_Cs:orange1.1g025231m Phytozome_Cs:orange1.1g019906m Phytozome_Cs:orange1.1g021560m Phytozome_Cs:orange1.1g028421m Phytozome_Cs:orange1.1g025208m Phytozome_Cs:orange1.1g029638m Phytozome_Cs:orange1.1g025161m Phytozome_Cs:orange1.1g021559m Phytozome_Cs:orange1.1g028412m Phytozome_Cs:orange1.1g023213m Phytozome_Cs:orange1.1g028449m Phytozome_Cs:orange1.1g023673m Phytozome_Cs:orange1.1g025160m Phytozome_Cs:orange1.1g020684m Phytozome_Cs:orange1.1g025318m Phytozome_Cs:orange1.1g023589m Phytozome_Cs:orange1.1g019915m Phytozome_Cs:orange1.1g024356m Phytozome_Cs:orange1.1g026089m Phytozome_Cs:orange1.1g023668m Phytozome_Cs:orange1.1g023280m Phytozome_Cs:orange1.1g025179m Phytozome_Cs:orange1.1g020707m
Q0JLT2	Phytozome_Cs:orange1.1g008017m Phytozome_Cs:orange1.1g007898m Phytozome_Cs:orange1.1g014855m Phytozome_Cs:orange1.1g010863m Phytozome_Cs:orange1.1g008724m
Q0JPT4	Phytozome_Cs:orange1.1g020567m Phytozome_Cs:orange1.1g020318m Phytozome_Cs:orange1.1g025773m Phytozome_Cs:orange1.1g020383m
Q0JQ41	Phytozome_Cs:orange1.1g018207m Phytozome_Cs:orange1.1g017951m
Q0JR55	Phytozome_Cs:orange1.1g018363m Phytozome_Cs:orange1.1g018354m Phytozome_Cs:orange1.1g021953m Phytozome_Cs:orange1.1g018840m Phytozome_Cs:orange1.1g014425m
Q0JRG4	Phytozome_Cs:orange1.1g023493m Phytozome_Cs:orange1.1g028019m Phytozome_Cs:orange1.1g023749m Phytozome_Cs:orange1.1g023776m Phytozome_Cs:orange1.1g028227m
Q109F2	Phytozome_Cs:orange1.1g009497m Phytozome_Cs:orange1.1g010226m
Q109K4	Phytozome_Cs:orange1.1g017995m Phytozome_Cs:orange1.1g016755m Phytozome_Cs:orange1.1g023109m Phytozome_Cs:orange1.1g021360m Phytozome_Cs:orange1.1g023972m Phytozome_Cs:orange1.1g024956m
Q109W9	Phytozome_Cs:orange1.1g017995m Phytozome_Cs:orange1.1g016755m Phytozome_Cs:orange1.1g023109m Phytozome_Cs:orange1.1g021360m Phytozome_Cs:orange1.1g023972m Phytozome_Cs:orange1.1g024956m
Q10A30	Phytozome_Cs:orange1.1g018326m
Q10A97	Phytozome_Cs:orange1.1g047387m Phytozome_Cs:orange1.1g042174m
Q10B63	Phytozome_Cs:orange1.1g039682m Phytozome_Cs:orange1.1g032692m Phytozome_Cs:orange1.1g033892m Phytozome_Cs:orange1.1g033723m Phytozome_Cs:orange1.1g032707m Phytozome_Cs:orange1.1g032695m
Q10BA5	Phytozome_Cs:orange1.1g005498m Phytozome_Cs:orange1.1g003012m
Q10BT5	Phytozome_Cs:orange1.1g021809m Phytozome_Cs:orange1.1g023226m Phytozome_Cs:orange1.1g021352m Phytozome_Cs:orange1.1g022620m Phytozome_Cs:orange1.1g021077m Phytozome_Cs:orange1.1g021357m
Q10BX9	Phytozome_Cs:orange1.1g016934m
Q10CE4	Phytozome_Cs:orange1.1g018519m Phytozome_Cs:orange1.1g017434m Phytozome_Cs:orange1.1g017433m Phytozome_Cs:orange1.1g017718m Phytozome_Cs:orange1.1g018919m Phytozome_Cs:orange1.1g017781m Phytozome_Cs:orange1.1g017492m Phytozome_Cs:orange1.1g019244m Phytozome_Cs:orange1.1g015722m Phytozome_Cs:orange1.1g021739m
Q10CH5	Phytozome_Cs:orange1.1g014550m Phytozome_Cs:orange1.1g014485m Phytozome_Cs:orange1.1g018836m Phytozome_Cs:orange1.1g015639m Phytozome_Cs:orange1.1g014090m
Q10CQ1	Phytozome_Cs:orange1.1g030228m Phytozome_Cs:orange1.1g024640m Phytozome_Cs:orange1.1g030134m Phytozome_Cs:orange1.1g030164m Phytozome_Cs:orange1.1g026043m
Q10CS9	Phytozome_Cs:orange1.1g029161m Phytozome_Cs:orange1.1g029472m
Q10CU7	Phytozome_Cs:orange1.1g010640m
Q10D34	Phytozome_Cs:orange1.1g026811m Phytozome_Cs:orange1.1g029018m
Q10D68	Phytozome_Cs:orange1.1g010058m
Q10D87	Phytozome_Cs:orange1.1g032532m Phytozome_Cs:orange1.1g032497m Phytozome_Cs:orange1.1g031190m Phytozome_Cs:orange1.1g028667m Phytozome_Cs:orange1.1g033339m
Q10DK7	Phytozome_Cs:orange1.1g043923m
Q10DU0	Phytozome_Cs:orange1.1g001564m Phytozome_Cs:orange1.1g001235m
Q10DZ5	Phytozome_Cs:orange1.1g048400m
Q10EG4	Phytozome_Cs:orange1.1g000798m Phytozome_Cs:orange1.1g000759m Phytozome_Cs:orange1.1g000538m Phytozome_Cs:orange1.1g000799m Phytozome_Cs:orange1.1g000800m Phytozome_Cs:orange1.1g000794m
Q10F04	Phytozome_Cs:orange1.1g013834m
Q10F25	Phytozome_Cs:orange1.1g021461m Phytozome_Cs:orange1.1g017348m Phytozome_Cs:orange1.1g024594m Phytozome_Cs:orange1.1g027756m Phytozome_Cs:orange1.1g025411m Phytozome_Cs:orange1.1g018981m Phytozome_Cs:orange1.1g027672m Phytozome_Cs:orange1.1g017321m Phytozome_Cs:orange1.1g022728m Phytozome_Cs:orange1.1g017834m Phytozome_Cs:orange1.1g018653m Phytozome_Cs:orange1.1g023560m Phytozome_Cs:orange1.1g017409m Phytozome_Cs:orange1.1g018641m Phytozome_Cs:orange1.1g018626m Phytozome_Cs:orange1.1g017356m Phytozome_Cs:orange1.1g017195m Phytozome_Cs:orange1.1g018277m
Q10FE9	Phytozome_Cs:orange1.1g020629m Phytozome_Cs:orange1.1g014361m Phytozome_Cs:orange1.1g020664m Phytozome_Cs:orange1.1g012470m
Q10G56	Phytozome_Cs:orange1.1g012138m Phytozome_Cs:orange1.1g021893m Phytozome_Cs:orange1.1g017259m
Q10HZ6	Phytozome_Cs:orange1.1g035533m Phytozome_Cs:orange1.1g009152m
Q10J20	Phytozome_Cs:orange1.1g046596m
Q10J32	Phytozome_Cs:orange1.1g016693m Phytozome_Cs:orange1.1g009625m Phytozome_Cs:orange1.1g008487m Phytozome_Cs:orange1.1g009638m Phytozome_Cs:orange1.1g008453m
Q10JA2	Phytozome_Cs:orange1.1g044511m Phytozome_Cs:orange1.1g040042m
Q10L51	Phytozome_Cs:orange1.1g037640m Phytozome_Cs:orange1.1g048562m Phytozome_Cs:orange1.1g039701m Phytozome_Cs:orange1.1g013951m Phytozome_Cs:orange1.1g011142m Phytozome_Cs:orange1.1g010988m Phytozome_Cs:orange1.1g011490m Phytozome_Cs:orange1.1g039413m Phytozome_Cs:orange1.1g046605m Phytozome_Cs:orange1.1g038151m Phytozome_Cs:orange1.1g046582m Phytozome_Cs:orange1.1g010940m Phytozome_Cs:orange1.1g044823m Phytozome_Cs:orange1.1g011339m Phytozome_Cs:orange1.1g044012m Phytozome_Cs:orange1.1g010093m Phytozome_Cs:orange1.1g042970m
Q10L56	Phytozome_Cs:orange1.1g030845m
Q10LP5	Phytozome_Cs:orange1.1g003646m Phytozome_Cs:orange1.1g003657m Phytozome_Cs:orange1.1g003661m Phytozome_Cs:orange1.1g003656m Phytozome_Cs:orange1.1g003655m Phytozome_Cs:orange1.1g005365m Phytozome_Cs:orange1.1g003962m Phytozome_Cs:orange1.1g003652m Phytozome_Cs:orange1.1g003647m
Q10LR4	Phytozome_Cs:orange1.1g011669m Phytozome_Cs:orange1.1g013235m
Q10LR5	Phytozome_Cs:orange1.1g010951m Phytozome_Cs:orange1.1g011379m Phytozome_Cs:orange1.1g014519m Phytozome_Cs:orange1.1g013614m Phytozome_Cs:orange1.1g015619m Phytozome_Cs:orange1.1g010908m Phytozome_Cs:orange1.1g013594m Phytozome_Cs:orange1.1g014483m
Q10M76	Phytozome_Cs:orange1.1g026455m
Q10MB0	Phytozome_Cs:orange1.1g020230m Phytozome_Cs:orange1.1g041855m
Q10MB4	Phytozome_Cs:orange1.1g020197m Phytozome_Cs:orange1.1g019911m
Q10ME8	Phytozome_Cs:orange1.1g001380m
Q10MG9	Phytozome_Cs:orange1.1g037299m
Q10MK2	Phytozome_Cs:orange1.1g047753m
Q10MK5	Phytozome_Cs:orange1.1g010020m Phytozome_Cs:orange1.1g016508m Phytozome_Cs:orange1.1g016801m
Q10MQ2	Phytozome_Cs:orange1.1g045431m Phytozome_Cs:orange1.1g036024m
Q10MS2	Phytozome_Cs:orange1.1g038201m
Q10MW3	Phytozome_Cs:orange1.1g044559m Phytozome_Cs:orange1.1g007917m Phytozome_Cs:orange1.1g007800m Phytozome_Cs:orange1.1g009060m
Q10MX9	Phytozome_Cs:orange1.1g019885m Phytozome_Cs:orange1.1g012763m Phytozome_Cs:orange1.1g019864m Phytozome_Cs:orange1.1g025223m Phytozome_Cs:orange1.1g015238m Phytozome_Cs:orange1.1g019894m
Q10N17	Phytozome_Cs:orange1.1g048784m
Q10N34	Phytozome_Cs:orange1.1g007205m Phytozome_Cs:orange1.1g003994m Phytozome_Cs:orange1.1g003995m Phytozome_Cs:orange1.1g004001m Phytozome_Cs:orange1.1g004541m Phytozome_Cs:orange1.1g005631m Phytozome_Cs:orange1.1g004184m Phytozome_Cs:orange1.1g007196m
Q10NY1	Phytozome_Cs:orange1.1g022731m Phytozome_Cs:orange1.1g017617m Phytozome_Cs:orange1.1g013510m Phytozome_Cs:orange1.1g015142m Phytozome_Cs:orange1.1g013280m
Q10NY2	Phytozome_Cs:orange1.1g001295m Phytozome_Cs:orange1.1g001318m Phytozome_Cs:orange1.1g001248m Phytozome_Cs:orange1.1g001311m Phytozome_Cs:orange1.1g001224m Phytozome_Cs:orange1.1g001415m Phytozome_Cs:orange1.1g001258m
Q10P01	Phytozome_Cs:orange1.1g013461m Phytozome_Cs:orange1.1g011544m Phytozome_Cs:orange1.1g011543m Phytozome_Cs:orange1.1g011533m Phytozome_Cs:orange1.1g011567m Phytozome_Cs:orange1.1g011557m
Q10P67	Phytozome_Cs:orange1.1g024671m Phytozome_Cs:orange1.1g028115m
Q10PL0	Phytozome_Cs:orange1.1g024053m Phytozome_Cs:orange1.1g019544m Phytozome_Cs:orange1.1g016272m Phytozome_Cs:orange1.1g020258m Phytozome_Cs:orange1.1g028415m Phytozome_Cs:orange1.1g028343m Phytozome_Cs:orange1.1g020028m Phytozome_Cs:orange1.1g021564m Phytozome_Cs:orange1.1g023788m Phytozome_Cs:orange1.1g020003m Phytozome_Cs:orange1.1g036241m Phytozome_Cs:orange1.1g027144m Phytozome_Cs:orange1.1g016343m Phytozome_Cs:orange1.1g020264m Phytozome_Cs:orange1.1g021543m Phytozome_Cs:orange1.1g021518m Phytozome_Cs:orange1.1g019986m Phytozome_Cs:orange1.1g022854m Phytozome_Cs:orange1.1g020036m Phytozome_Cs:orange1.1g019527m
Q10PY7	Phytozome_Cs:orange1.1g010159m Phytozome_Cs:orange1.1g010889m
Q10QA5	Phytozome_Cs:orange1.1g024681m Phytozome_Cs:orange1.1g045774m
Q10QN3	Phytozome_Cs:orange1.1g029099m Phytozome_Cs:orange1.1g031079m Phytozome_Cs:orange1.1g023874m Phytozome_Cs:orange1.1g029112m Phytozome_Cs:orange1.1g023777m Phytozome_Cs:orange1.1g023826m
Q10QR9	Phytozome_Cs:orange1.1g022162m Phytozome_Cs:orange1.1g024837m Phytozome_Cs:orange1.1g022128m Phytozome_Cs:orange1.1g023179m Phytozome_Cs:orange1.1g026235m Phytozome_Cs:orange1.1g024773m Phytozome_Cs:orange1.1g024727m Phytozome_Cs:orange1.1g022234m Phytozome_Cs:orange1.1g022176m
Q10RP2	Phytozome_Cs:orange1.1g026503m
Q10S34	Phytozome_Cs:orange1.1g002829m Phytozome_Cs:orange1.1g003793m Phytozome_Cs:orange1.1g003797m Phytozome_Cs:orange1.1g001917m Phytozome_Cs:orange1.1g001863m Phytozome_Cs:orange1.1g001914m Phytozome_Cs:orange1.1g002820m Phytozome_Cs:orange1.1g002599m Phytozome_Cs:orange1.1g002651m
Q10S55	Phytozome_Cs:orange1.1g025329m Phytozome_Cs:orange1.1g018854m Phytozome_Cs:orange1.1g018852m
Q10S58	Phytozome_Cs:orange1.1g039045m
Q10S72	Phytozome_Cs:orange1.1g008946m
Q10SD6	Phytozome_Cs:orange1.1g023655m Phytozome_Cs:orange1.1g029431m Phytozome_Cs:orange1.1g027739m Phytozome_Cs:orange1.1g029452m Phytozome_Cs:orange1.1g023546m Phytozome_Cs:orange1.1g023663m Phytozome_Cs:orange1.1g023127m Phytozome_Cs:orange1.1g026769m
Q10SL7	Phytozome_Cs:orange1.1g031341m Phytozome_Cs:orange1.1g031216m Phytozome_Cs:orange1.1g027747m Phytozome_Cs:orange1.1g022250m Phytozome_Cs:orange1.1g025154m Phytozome_Cs:orange1.1g027650m Phytozome_Cs:orange1.1g022057m
Q10SM6	Phytozome_Cs:orange1.1g014311m
Q10SP1	Phytozome_Cs:orange1.1g031333m Phytozome_Cs:orange1.1g028990m Phytozome_Cs:orange1.1g033147m
Q10SU1	Phytozome_Cs:orange1.1g048728m
Q10T43	Phytozome_Cs:orange1.1g024609m Phytozome_Cs:orange1.1g013143m
Q25AR2	Phytozome_Cs:orange1.1g029253m Phytozome_Cs:orange1.1g027366m Phytozome_Cs:orange1.1g025280m Phytozome_Cs:orange1.1g023756m
Q2KNB4	Phytozome_Cs:orange1.1g014020m Phytozome_Cs:orange1.1g010456m
Q2KNB5	Phytozome_Cs:orange1.1g014020m Phytozome_Cs:orange1.1g010456m
Q2MJA7	Phytozome_Cs:orange1.1g043169m Phytozome_Cs:orange1.1g042406m Phytozome_Cs:orange1.1g015113m Phytozome_Cs:orange1.1g013602m
Q2MJA8	Phytozome_Cs:orange1.1g043169m Phytozome_Cs:orange1.1g042406m Phytozome_Cs:orange1.1g015113m Phytozome_Cs:orange1.1g013602m
Q2QLJ0	Phytozome_Cs:orange1.1g019836m Phytozome_Cs:orange1.1g013529m Phytozome_Cs:orange1.1g015386m Phytozome_Cs:orange1.1g007605m Phytozome_Cs:orange1.1g015522m Phytozome_Cs:orange1.1g019900m
Q2QLQ1	Phytozome_Cs:orange1.1g029298m Phytozome_Cs:orange1.1g031070m
Q2QLY5	Phytozome_Cs:orange1.1g004263m Phytozome_Cs:orange1.1g003819m
Q2QLY6	Phytozome_Cs:orange1.1g017061m Phytozome_Cs:orange1.1g018577m
Q2QM47	Phytozome_Cs:orange1.1g002047m Phytozome_Cs:orange1.1g001901m Phytozome_Cs:orange1.1g001895m
Q2QM70	Phytozome_Cs:orange1.1g019684m Phytozome_Cs:orange1.1g022929m Phytozome_Cs:orange1.1g019479m
Q2QM83	Phytozome_Cs:orange1.1g006433m
Q2QMD4	Phytozome_Cs:orange1.1g024280m Phytozome_Cs:orange1.1g020963m Phytozome_Cs:orange1.1g024216m Phytozome_Cs:orange1.1g017392m Phytozome_Cs:orange1.1g017338m Phytozome_Cs:orange1.1g018869m
Q2QME6	Phytozome_Cs:orange1.1g021144m Phytozome_Cs:orange1.1g024544m Phytozome_Cs:orange1.1g025860m Phytozome_Cs:orange1.1g019107m Phytozome_Cs:orange1.1g027947m
Q2QMK8	Phytozome_Cs:orange1.1g027620m Phytozome_Cs:orange1.1g022988m Phytozome_Cs:orange1.1g024300m Phytozome_Cs:orange1.1g021714m Phytozome_Cs:orange1.1g021743m
Q2QN06	Phytozome_Cs:orange1.1g024499m Phytozome_Cs:orange1.1g038669m
Q2QN88	Phytozome_Cs:orange1.1g015804m Phytozome_Cs:orange1.1g015788m
Q2QNF7	Phytozome_Cs:orange1.1g017920m
Q2QNM9	Phytozome_Cs:orange1.1g002436m Phytozome_Cs:orange1.1g002417m
Q2QNN5	Phytozome_Cs:orange1.1g002644m Phytozome_Cs:orange1.1g002670m Phytozome_Cs:orange1.1g002672m Phytozome_Cs:orange1.1g003699m Phytozome_Cs:orange1.1g008591m Phytozome_Cs:orange1.1g002617m Phytozome_Cs:orange1.1g007678m Phytozome_Cs:orange1.1g008399m Phytozome_Cs:orange1.1g007674m Phytozome_Cs:orange1.1g006365m Phytozome_Cs:orange1.1g012542m Phytozome_Cs:orange1.1g006428m Phytozome_Cs:orange1.1g008395m Phytozome_Cs:orange1.1g005971m Phytozome_Cs:orange1.1g008659m Phytozome_Cs:orange1.1g006629m Phytozome_Cs:orange1.1g004307m Phytozome_Cs:orange1.1g006999m Phytozome_Cs:orange1.1g002649m Phytozome_Cs:orange1.1g047131m Phytozome_Cs:orange1.1g040723m Phytozome_Cs:orange1.1g005962m Phytozome_Cs:orange1.1g002706m
Q2QNS6	Phytozome_Cs:orange1.1g001071m
Q2QPI2	Phytozome_Cs:orange1.1g008446m Phytozome_Cs:orange1.1g008481m Phytozome_Cs:orange1.1g008309m
Q2QPR0	Phytozome_Cs:orange1.1g005031m Phytozome_Cs:orange1.1g037382m Phytozome_Cs:orange1.1g004955m
Q2QQJ5	Phytozome_Cs:orange1.1g004193m
Q2QQX6	Phytozome_Cs:orange1.1g005618m Phytozome_Cs:orange1.1g008608m Phytozome_Cs:orange1.1g006544m Phytozome_Cs:orange1.1g004792m
Q2QR54	Phytozome_Cs:orange1.1g036568m Phytozome_Cs:orange1.1g035666m Phytozome_Cs:orange1.1g031006m Phytozome_Cs:orange1.1g031288m
Q2QRX6	Phytozome_Cs:orange1.1g010811m Phytozome_Cs:orange1.1g009747m Phytozome_Cs:orange1.1g010303m Phytozome_Cs:orange1.1g009746m Phytozome_Cs:orange1.1g009737m
Q2QS13	Phytozome_Cs:orange1.1g011650m Phytozome_Cs:orange1.1g017997m Phytozome_Cs:orange1.1g011654m Phytozome_Cs:orange1.1g011641m
Q2QS14	Phytozome_Cs:orange1.1g011650m Phytozome_Cs:orange1.1g017997m Phytozome_Cs:orange1.1g011654m Phytozome_Cs:orange1.1g011641m
Q2QTJ1	Phytozome_Cs:orange1.1g030735m Phytozome_Cs:orange1.1g030738m Phytozome_Cs:orange1.1g029245m
Q2QTL0	Phytozome_Cs:orange1.1g013131m
Q2QTQ1	Phytozome_Cs:orange1.1g012718m Phytozome_Cs:orange1.1g017640m
Q2QUG4	Phytozome_Cs:orange1.1g017331m Phytozome_Cs:orange1.1g016920m Phytozome_Cs:orange1.1g017189m
Q2QUI0	Phytozome_Cs:orange1.1g008446m Phytozome_Cs:orange1.1g008481m Phytozome_Cs:orange1.1g008309m
Q2QVC1	Phytozome_Cs:orange1.1g011097m
Q2QWD0	Phytozome_Cs:orange1.1g024046m Phytozome_Cs:orange1.1g018405m Phytozome_Cs:orange1.1g018366m Phytozome_Cs:orange1.1g017495m Phytozome_Cs:orange1.1g018576m Phytozome_Cs:orange1.1g035738m Phytozome_Cs:orange1.1g046424m Phytozome_Cs:orange1.1g017595m Phytozome_Cs:orange1.1g018145m Phytozome_Cs:orange1.1g018681m Phytozome_Cs:orange1.1g044458m Phytozome_Cs:orange1.1g016366m
Q2QWK9	Phytozome_Cs:orange1.1g010240m Phytozome_Cs:orange1.1g010260m Phytozome_Cs:orange1.1g010244m
Q2QWV7	Phytozome_Cs:orange1.1g009502m
