A0A0P0VEU3	Phytozome_Mg:Migut.N02573.1
Q69RJ0	Phytozome_Mg:Migut.J01662.1
Q69T90	Phytozome_Mg:Migut.B00004.1
Q69TF4	Phytozome_Mg:Migut.N00872.1 Phytozome_Mg:Migut.C01237.1
Q69TT1	Phytozome_Mg:Migut.E00441.1
Q69TV4	Phytozome_Mg:Migut.I00203.1
Q69TV6	Phytozome_Mg:Migut.I00203.1
Q69TW5	Phytozome_Mg:Migut.B00355.1
Q69U93	Phytozome_Mg:Migut.N03069.1
Q69UU3	Phytozome_Mg:Migut.L01482.1
Q69V57	Phytozome_Mg:Migut.M01618.1
Q69XD3	Phytozome_Mg:Migut.G00803.1 Phytozome_Mg:Migut.G00802.1 Phytozome_Mg:Migut.N00429.1 Phytozome_Mg:Migut.M01763.1 Phytozome_Mg:Migut.G00805.1 Phytozome_Mg:Migut.G00804.1
Q69XS7	Phytozome_Mg:Migut.C00750.1
Q6AT26	Phytozome_Mg:Migut.E01791.1
Q6AT41	Phytozome_Mg:Migut.K00515.1
Q6AT43	Phytozome_Mg:Migut.H00317.1
Q6ATR2	Phytozome_Mg:Migut.D00273.1 Phytozome_Mg:Migut.N00150.1
Q6AUB0	Phytozome_Mg:Migut.F01872.1
Q6AV34	Phytozome_Mg:Migut.B00304.1
Q6AVG6	Phytozome_Mg:Migut.B00272.1 Phytozome_Mg:Migut.B00274.1
Q6AVM5	Phytozome_Mg:Migut.J01594.1 Phytozome_Mg:Migut.K00199.1
Q6AVT2	Phytozome_Mg:Migut.G00309.1
Q6BDZ9	Phytozome_Mg:Migut.M01506.1
Q6EN48	Phytozome_Mg:Migut.F00231.1
Q6EP31	Phytozome_Mg:Migut.L00971.1
Q6EP77	Phytozome_Mg:Migut.F01148.1 Phytozome_Mg:Migut.F01149.1 Phytozome_Mg:Migut.F00382.1 Phytozome_Mg:Migut.F01151.1 Phytozome_Mg:Migut.A00920.1 Phytozome_Mg:Migut.F01150.1 Phytozome_Mg:Migut.F01147.1
Q6EPN6	Phytozome_Mg:Migut.A00721.1
Q6EPY7	Phytozome_Mg:Migut.L01784.1 Phytozome_Mg:Migut.J01029.1
Q6EQW2	Phytozome_Mg:Migut.H02033.1
Q6ERL4	Phytozome_Mg:Migut.H00312.1
Q6ERR3	Phytozome_Mg:Migut.D01122.1
Q6ES51	Phytozome_Mg:Migut.D02043.1 Phytozome_Mg:Migut.O00230.1
Q6ESJ0	Phytozome_Mg:Migut.E01102.1
Q6ESZ9	Phytozome_Mg:Migut.C01009.1
Q6ET36	Phytozome_Mg:Migut.D00306.1 Phytozome_Mg:Migut.N02049.1 Phytozome_Mg:Migut.N02050.1 Phytozome_Mg:Migut.N02048.1
Q6ET88	Phytozome_Mg:Migut.N01338.1
Q6ETD3	Phytozome_Mg:Migut.E01049.1 Phytozome_Mg:Migut.F00467.1 Phytozome_Mg:Migut.E01674.1
Q6ETN3	Phytozome_Mg:Migut.D01162.1 Phytozome_Mg:Migut.I00644.1
Q6ETX4	Phytozome_Mg:Migut.F00691.1
Q6EUP4	Phytozome_Mg:Migut.L00306.1
Q6EUS6	Phytozome_Mg:Migut.H02142.1
Q6F361	Phytozome_Mg:Migut.H01978.1
Q6F4N6	Phytozome_Mg:Migut.H00558.1 Phytozome_Mg:Migut.L01128.1
Q6H543	Phytozome_Mg:Migut.D00989.1
Q6H5C7	Phytozome_Mg:Migut.L00324.1 Phytozome_Mg:Migut.H00220.1
Q6H5Z4	Phytozome_Mg:Migut.A00141.1
Q6H6C7	Phytozome_Mg:Migut.H01669.1
Q6H6D2	Phytozome_Mg:Migut.H01689.1 Phytozome_Mg:Migut.M01552.1
Q6H6G1	Phytozome_Mg:Migut.H01099.1 Phytozome_Mg:Migut.F01615.1
Q6H6I1	Phytozome_Mg:Migut.A01125.1
Q6H6P8	Phytozome_Mg:Migut.J00975.1
Q6H703	Phytozome_Mg:Migut.M01518.1 Phytozome_Mg:Migut.H01664.1
Q6H7Q6	Phytozome_Mg:Migut.D00552.1 Phytozome_Mg:Migut.D00553.1 Phytozome_Mg:Migut.D00556.1 Phytozome_Mg:Migut.D00557.1 Phytozome_Mg:Migut.D00554.1 Phytozome_Mg:Migut.D00555.1
Q6H819	Phytozome_Mg:Migut.A00337.1
Q6H849	Phytozome_Mg:Migut.D02426.1
Q6I581	Phytozome_Mg:Migut.N01563.1 Phytozome_Mg:Migut.B01840.1
Q6K2E8	Phytozome_Mg:Migut.D01268.1 Phytozome_Mg:Migut.I00533.1
Q6K3T2	Phytozome_Mg:Migut.H01364.1 Phytozome_Mg:Migut.M00913.1
Q6K3Z3	Phytozome_Mg:Migut.M01447.1 Phytozome_Mg:Migut.M00052.1
Q6K548	Phytozome_Mg:Migut.I00129.1 Phytozome_Mg:Migut.I00130.1
Q6K5G8	Phytozome_Mg:Migut.I00488.1
Q6K6Q0	Phytozome_Mg:Migut.L01685.1 Phytozome_Mg:Migut.J00542.1
Q6K6Q1	Phytozome_Mg:Migut.L01685.1 Phytozome_Mg:Migut.J00542.1
Q6K7V6	Phytozome_Mg:Migut.A00220.1
Q6K8E7	Phytozome_Mg:Migut.B00582.1
Q6K8J4	Phytozome_Mg:Migut.N02606.1
Q6K969	Phytozome_Mg:Migut.N00847.1
Q6K973	Phytozome_Mg:Migut.D02053.1
Q6K9B8	Phytozome_Mg:Migut.H00558.1 Phytozome_Mg:Migut.L01128.1
Q6K9M5	Phytozome_Mg:Migut.J01406.1 Phytozome_Mg:Migut.K00286.1
Q6K9N6	Phytozome_Mg:Migut.N02218.1 Phytozome_Mg:Migut.D00454.1
Q6KAJ2	Phytozome_Mg:Migut.A00003.1
Q6L479	Phytozome_Mg:Migut.N00069.1
Q6L4G2	Phytozome_Mg:Migut.E00350.1 Phytozome_Mg:Migut.L01058.1
Q6L4H5	Phytozome_Mg:Migut.I01056.1
Q6L4L4	Phytozome_Mg:Migut.D02194.1 Phytozome_Mg:Migut.N02613.1
Q6L4R0	Phytozome_Mg:Migut.I01018.1
Q6L4R7	Phytozome_Mg:Migut.A00106.1
Q6L545	Phytozome_Mg:Migut.D00244.1 Phytozome_Mg:Migut.N02128.1
Q6Q9I2	Phytozome_Mg:Migut.E00037.1
Q6YPG5	Phytozome_Mg:Migut.F00481.1
Q6YS33	Phytozome_Mg:Migut.K01483.1
Q6YSA1	Phytozome_Mg:Migut.D01203.1
Q6YT73	Phytozome_Mg:Migut.M00661.1
Q6YTI6	Phytozome_Mg:Migut.N03324.1 Phytozome_Mg:Migut.C01199.1
Q6YU51	Phytozome_Mg:Migut.H02280.1
Q6YUS0	Phytozome_Mg:Migut.B00003.1
Q6YUU2	Phytozome_Mg:Migut.J01681.1
Q6YV23	Phytozome_Mg:Migut.H01123.1
Q6YVI0	Phytozome_Mg:Migut.M00916.1
Q6YVY0	Phytozome_Mg:Migut.B00723.1
Q6YWE1	Phytozome_Mg:Migut.D00273.1 Phytozome_Mg:Migut.N00150.1
Q6YXI1	Phytozome_Mg:Migut.N02863.1
Q6YXW6	Phytozome_Mg:Migut.J00731.1
Q6YYB9	Phytozome_Mg:Migut.H01846.1 Phytozome_Mg:Migut.M01790.1
Q6YYZ2	Phytozome_Mg:Migut.A00583.1
Q6YZ76	Phytozome_Mg:Migut.L01718.1 Phytozome_Mg:Migut.J00449.1
Q6YZE2	Phytozome_Mg:Migut.E00706.1
Q6YZH8	Phytozome_Mg:Migut.N00344.1
Q6YZX6	Phytozome_Mg:Migut.M01755.1
Q6Z0T7	Phytozome_Mg:Migut.L01853.1
Q6Z2L5	Phytozome_Mg:Migut.B01468.1
Q6Z2T6	Phytozome_Mg:Migut.I00184.1
Q6Z312	Phytozome_Mg:Migut.B00355.1
Q6Z351	Phytozome_Mg:Migut.D00722.1 Phytozome_Mg:Migut.D00723.1
Q6Z368	Phytozome_Mg:Migut.N01273.1 Phytozome_Mg:Migut.B00185.1
Q6Z3A3	Phytozome_Mg:Migut.A00769.1
Q6Z3F9	Phytozome_Mg:Migut.B00021.1
Q6Z3X5	Phytozome_Mg:Migut.N01857.1 Phytozome_Mg:Migut.B01245.1
Q6Z3Y3	Phytozome_Mg:Migut.D02175.1
Q6Z433	Phytozome_Mg:Migut.I01184.1
Q6Z4E7	Phytozome_Mg:Migut.J00488.1
Q6Z4I1	Phytozome_Mg:Migut.B00208.1
Q6Z5M3	Phytozome_Mg:Migut.H00337.1 Phytozome_Mg:Migut.L00420.1
Q6Z684	Phytozome_Mg:Migut.F00713.1 Phytozome_Mg:Migut.F00716.1 Phytozome_Mg:Migut.F00719.1 Phytozome_Mg:Migut.F01467.1
Q6Z702	Phytozome_Mg:Migut.G00571.1
Q6Z744	Phytozome_Mg:Migut.D01219.1
Q6Z795	Phytozome_Mg:Migut.E01799.1 Phytozome_Mg:Migut.K00447.1 Phytozome_Mg:Migut.A00045.1
Q6Z7Q3	Phytozome_Mg:Migut.I00203.1
Q6Z836	Phytozome_Mg:Migut.H00116.1
Q6Z8F4	Phytozome_Mg:Migut.E01330.1
Q6Z8Z7	Phytozome_Mg:Migut.M00434.1
Q6Z965	Phytozome_Mg:Migut.J00934.1
Q6Z9A3	Phytozome_Mg:Migut.F00743.1
Q6Z9E6	Phytozome_Mg:Migut.A00337.1
Q6ZAH2	Phytozome_Mg:Migut.I00018.1
Q6ZBH5	Phytozome_Mg:Migut.A00913.1
Q6ZC33	Phytozome_Mg:Migut.C01185.1
Q6ZCF0	Phytozome_Mg:Migut.M00096.1
Q6ZD10	Phytozome_Mg:Migut.C01380.1
Q6ZD89	Phytozome_Mg:Migut.F00144.1
Q6ZDQ1	Phytozome_Mg:Migut.E00798.1 Phytozome_Mg:Migut.E00912.1
Q6ZDY8	Phytozome_Mg:Migut.L00517.1
Q6ZEZ2	Phytozome_Mg:Migut.N03150.1
Q6ZFT5	Phytozome_Mg:Migut.M00498.1
Q6ZG77	Phytozome_Mg:Migut.N01253.1
Q6ZG91	Phytozome_Mg:Migut.E00194.1
Q6ZGS9	Phytozome_Mg:Migut.E00931.1
Q6ZGW6	Phytozome_Mg:Migut.D00543.1 Phytozome_Mg:Migut.J01830.1
Q6ZHA3	Phytozome_Mg:Migut.H02179.1
Q6ZHH7	Phytozome_Mg:Migut.C01185.1
Q6ZHS4	Phytozome_Mg:Migut.B00391.1
Q6ZHZ1	Phytozome_Mg:Migut.J01204.1
Q6ZI55	Phytozome_Mg:Migut.N01351.1
Q6ZIA3	Phytozome_Mg:Migut.F00074.1
Q6ZIK0	Phytozome_Mg:Migut.J00551.1
Q6ZIX2	Phytozome_Mg:Migut.B01280.1
Q6ZJ97	Phytozome_Mg:Migut.M01998.1
Q6ZJU3	Phytozome_Mg:Migut.E00464.1
Q6ZK11	Phytozome_Mg:Migut.M01387.1
Q6ZKC0	Phytozome_Mg:Migut.L00306.1
Q6ZKV8	Phytozome_Mg:Migut.J01457.1
Q6ZL61	Phytozome_Mg:Migut.D00368.1
Q6ZL94	Phytozome_Mg:Migut.F00794.1
Q6ZLD3	Phytozome_Mg:Migut.D00349.1
Q6ZLJ9	Phytozome_Mg:Migut.J01768.1 Phytozome_Mg:Migut.K00079.1
Q75GB1	Phytozome_Mg:Migut.L00447.1 Phytozome_Mg:Migut.H00298.1
Q75GK0	Phytozome_Mg:Migut.D00373.1 Phytozome_Mg:Migut.N01915.1
Q75H77	Phytozome_Mg:Migut.B00305.1
Q75HP7	Phytozome_Mg:Migut.B00818.1 Phytozome_Mg:Migut.N01048.1
Q75HQ7	Phytozome_Mg:Migut.L01685.1 Phytozome_Mg:Migut.J00542.1
Q75HZ9	Phytozome_Mg:Migut.M00682.1 Phytozome_Mg:Migut.H02035.1
Q75II5	Phytozome_Mg:Migut.M00712.1 Phytozome_Mg:Migut.H02009.1
Q75KD7	Phytozome_Mg:Migut.E00308.1
Q75KT7	Phytozome_Mg:Migut.M01931.1
Q75L84	Phytozome_Mg:Migut.J00420.1 Phytozome_Mg:Migut.L01662.1
Q75LL5	Phytozome_Mg:Migut.D02373.1
Q75LR2	Phytozome_Mg:Migut.N01080.1
Q75M18	Phytozome_Mg:Migut.B00709.1 Phytozome_Mg:Migut.N00867.1
Q75V57	Phytozome_Mg:Migut.B00305.1
Q75W16	Phytozome_Mg:Migut.N01080.1
Q764B9	Phytozome_Mg:Migut.E00508.1
Q7EYE4	Phytozome_Mg:Migut.M00091.1
Q7EYM8	Phytozome_Mg:Migut.L01418.1
Q7EZZ0	Phytozome_Mg:Migut.J01706.1 Phytozome_Mg:Migut.K00119.1
Q7F0B2	Phytozome_Mg:Migut.N00902.1
Q7F0Q2	Phytozome_Mg:Migut.H02258.1
Q7F190	Phytozome_Mg:Migut.N01711.1
Q7F8K7	Phytozome_Mg:Migut.E00478.1
Q7FAE1	Phytozome_Mg:Migut.J00671.1
Q7FAH2	Phytozome_Mg:Migut.I00488.1
Q7G1V6	Phytozome_Mg:Migut.E00554.1 Phytozome_Mg:Migut.E00545.1 Phytozome_Mg:Migut.E00543.1 Phytozome_Mg:Migut.E00551.1
Q7G2F7	Phytozome_Mg:Migut.M01189.1
Q7G2H3	Phytozome_Mg:Migut.B00304.1
Q7G4P2	Phytozome_Mg:Migut.B00582.1
Q7G602	Phytozome_Mg:Migut.D01697.1
Q7G7J6	Phytozome_Mg:Migut.H02266.1 Phytozome_Mg:Migut.K00894.1
Q7X634	Phytozome_Mg:Migut.F00802.1
Q7X7H9	Phytozome_Mg:Migut.H02438.1
Q7X7N2	Phytozome_Mg:Migut.B01616.1
Q7X7X0	Phytozome_Mg:Migut.L01174.1
Q7X8A1	Phytozome_Mg:Migut.E00683.1
Q7X8V3	Phytozome_Mg:Migut.L01685.1 Phytozome_Mg:Migut.J00542.1
Q7XAP2	Phytozome_Mg:Migut.F00231.1
Q7XBY6	Phytozome_Mg:Migut.E00927.1
Q7XCK3	Phytozome_Mg:Migut.L00661.1 Phytozome_Mg:Migut.L00853.1
Q7XE48	Phytozome_Mg:Migut.H00928.1
Q7XH05	Phytozome_Mg:Migut.D00722.1 Phytozome_Mg:Migut.D00723.1
Q7XHZ2	Phytozome_Mg:Migut.F01983.1
Q7XI34	Phytozome_Mg:Migut.N00902.1
Q7XI35	Phytozome_Mg:Migut.N00902.1
Q7XI67	Phytozome_Mg:Migut.J00081.1
Q7XI92	Phytozome_Mg:Migut.H00196.1
Q7XI96	Phytozome_Mg:Migut.H00192.1
Q7XK23	Phytozome_Mg:Migut.N01351.1
Q7XKQ8	Phytozome_Mg:Migut.D01268.1 Phytozome_Mg:Migut.I00533.1
Q7XM21	Phytozome_Mg:Migut.C00836.1 Phytozome_Mg:Migut.N03161.1
Q7XNX6	Phytozome_Mg:Migut.D02053.1
Q7XPW5	Phytozome_Mg:Migut.N01427.1
Q7XQ85	Phytozome_Mg:Migut.A00723.1 Phytozome_Mg:Migut.B01795.1
Q7XR02	Phytozome_Mg:Migut.N00665.1
Q7XR60	Phytozome_Mg:Migut.N01162.1
Q7XR61	Phytozome_Mg:Migut.N01162.1
Q7XRT0	Phytozome_Mg:Migut.F01436.1
Q7XTE8	Phytozome_Mg:Migut.L00306.1
Q7XTK3	Phytozome_Mg:Migut.F01717.1
Q7XTX7	Phytozome_Mg:Migut.E01016.1 Phytozome_Mg:Migut.O00406.1
Q7XU28	Phytozome_Mg:Migut.H01099.1 Phytozome_Mg:Migut.F01615.1
Q7XU29	Phytozome_Mg:Migut.B01565.1
Q7XUA8	Phytozome_Mg:Migut.F00137.1
Q7XUH5	Phytozome_Mg:Migut.H02258.1
Q7XUK6	Phytozome_Mg:Migut.G00913.1
Q7XVM2	Phytozome_Mg:Migut.J00796.1 Phytozome_Mg:Migut.D02131.1
Q7XVM8	Phytozome_Mg:Migut.F00020.1 Phytozome_Mg:Migut.K01481.1
Q7XX31	Phytozome_Mg:Migut.C01187.1
Q7XX32	Phytozome_Mg:Migut.C01187.1
Q7XXL2	Phytozome_Mg:Migut.K01282.1
Q7XZH5	Phytozome_Mg:Migut.N01824.1
Q7Y0C8	Phytozome_Mg:Migut.N02681.1 Phytozome_Mg:Migut.C00664.1
Q7Y152	Phytozome_Mg:Migut.N00033.1
Q7Y1H9	Phytozome_Mg:Migut.D00368.1
Q84LK3	Phytozome_Mg:Migut.D01906.1
Q84M43	Phytozome_Mg:Migut.N01600.1
Q84ME6	Phytozome_Mg:Migut.M00942.1
Q84MN8	Phytozome_Mg:Migut.G00410.1
Q84Q89	Phytozome_Mg:Migut.G01346.1
Q84QA7	Phytozome_Mg:Migut.F00706.1 Phytozome_Mg:Migut.F01428.1
Q84R94	Phytozome_Mg:Migut.L01582.1
Q84RX6	Phytozome_Mg:Migut.O00597.1 Phytozome_Mg:Migut.N01933.1
Q84VC7	Phytozome_Mg:Migut.M00941.1
Q84ZN6	Phytozome_Mg:Migut.N01600.1
Q84ZY2	Phytozome_Mg:Migut.B01620.1
Q851L5	Phytozome_Mg:Migut.J00668.1
Q851L6	Phytozome_Mg:Migut.J00668.1
Q851Z6	Phytozome_Mg:Migut.K01483.1
Q852C2	Phytozome_Mg:Migut.N00902.1
Q852M1	Phytozome_Mg:Migut.D00722.1 Phytozome_Mg:Migut.D00723.1
Q852M2	Phytozome_Mg:Migut.D00722.1 Phytozome_Mg:Migut.D00723.1
Q8GRU7	Phytozome_Mg:Migut.C00423.1
Q8GT01	Phytozome_Mg:Migut.K00123.1
Q8GTK1	Phytozome_Mg:Migut.L01718.1 Phytozome_Mg:Migut.J00449.1
Q8GVZ0	Phytozome_Mg:Migut.F01872.1
Q8H016	Phytozome_Mg:Migut.I01086.1
Q8H038	Phytozome_Mg:Migut.D00481.1
Q8H048	Phytozome_Mg:Migut.B01671.1
Q8H051	Phytozome_Mg:Migut.A00913.1
Q8H075	Phytozome_Mg:Migut.D00419.1
Q8H093	Phytozome_Mg:Migut.B01671.1
Q8H273	Phytozome_Mg:Migut.F01148.1 Phytozome_Mg:Migut.F01149.1 Phytozome_Mg:Migut.F00382.1 Phytozome_Mg:Migut.F01151.1 Phytozome_Mg:Migut.A00920.1 Phytozome_Mg:Migut.F01150.1 Phytozome_Mg:Migut.F01147.1
Q8H2J9	Phytozome_Mg:Migut.F00577.1
Q8H395	Phytozome_Mg:Migut.L01582.1
Q8H3A4	Phytozome_Mg:Migut.J00913.1
Q8H3C9	Phytozome_Mg:Migut.J00668.1
Q8H3L0	Phytozome_Mg:Migut.H00212.1
Q8H3Q7	Phytozome_Mg:Migut.J01448.1 Phytozome_Mg:Migut.K00260.1
Q8H530	Phytozome_Mg:Migut.B00548.1
Q8H539	Phytozome_Mg:Migut.F01646.1 Phytozome_Mg:Migut.F01647.1 Phytozome_Mg:Migut.F01648.1
Q8H7T7	Phytozome_Mg:Migut.H00317.1
Q8H825	Phytozome_Mg:Migut.E00338.1
Q8H8U0	Phytozome_Mg:Migut.F02010.1 Phytozome_Mg:Migut.F01785.1
Q8H930	Phytozome_Mg:Migut.M01942.1
Q8LHD1	Phytozome_Mg:Migut.N00430.1
Q8LI89	Phytozome_Mg:Migut.E00651.1
Q8LJJ2	Phytozome_Mg:Migut.I01056.1
Q8LM92	Phytozome_Mg:Migut.D01697.1
Q8LMW8	Phytozome_Mg:Migut.N01119.1
Q8LNU2	Phytozome_Mg:Migut.E00398.1
Q8LQ34	Phytozome_Mg:Migut.J00229.1
Q8RU95	Phytozome_Mg:Migut.D01239.1 Phytozome_Mg:Migut.I00520.1
Q8RV34	Phytozome_Mg:Migut.L01599.1
Q8RYY6	Phytozome_Mg:Migut.B00818.1 Phytozome_Mg:Migut.N01048.1
Q8S2E5	Phytozome_Mg:Migut.E00195.1
Q8S2G0	Phytozome_Mg:Migut.D00703.1
Q8S5M6	Phytozome_Mg:Migut.B00906.1
Q8S5T1	Phytozome_Mg:Migut.D00376.1
Q8S919	Phytozome_Mg:Migut.F01057.1 Phytozome_Mg:Migut.F00249.1
Q8S983	Phytozome_Mg:Migut.N03147.1 Phytozome_Mg:Migut.C00816.1
Q8S985	Phytozome_Mg:Migut.M01096.1
Q8S9S4	Phytozome_Mg:Migut.K00570.1
Q8S9Z2	Phytozome_Mg:Migut.N02525.1 Phytozome_Mg:Migut.D02323.1
Q8VWH2	Phytozome_Mg:Migut.F01843.1
Q8W0B6	Phytozome_Mg:Migut.D02013.1 Phytozome_Mg:Migut.K01191.1 Phytozome_Mg:Migut.O00176.1 Phytozome_Mg:Migut.D02012.1 Phytozome_Mg:Migut.O00178.1 Phytozome_Mg:Migut.D02020.1 Phytozome_Mg:Migut.D01710.1 Phytozome_Mg:Migut.D02015.1 Phytozome_Mg:Migut.D02014.1 Phytozome_Mg:Migut.O00175.1 Phytozome_Mg:Migut.O00177.1 Phytozome_Mg:Migut.O00174.1 Phytozome_Mg:Migut.M00573.1 Phytozome_Mg:Migut.K01193.1 Phytozome_Mg:Migut.O00173.1
Q8W0E4	Phytozome_Mg:Migut.K00586.1 Phytozome_Mg:Migut.J00592.1
Q8W1L6	Phytozome_Mg:Migut.J01144.1 Phytozome_Mg:Migut.K00503.1
Q8W250	Phytozome_Mg:Migut.I00014.1 Phytozome_Mg:Migut.I00013.1
Q8W3J0	Phytozome_Mg:Migut.J00940.1
Q8W3L9	Phytozome_Mg:Migut.D00719.1 Phytozome_Mg:Migut.N02421.1
Q8W3M0	Phytozome_Mg:Migut.D00719.1 Phytozome_Mg:Migut.N02421.1
Q93VC3	Phytozome_Mg:Migut.E01023.1
Q93VD5	Phytozome_Mg:Migut.A00205.1
Q93WI9	Phytozome_Mg:Migut.F01843.1
Q93X08	Phytozome_Mg:Migut.K00740.1
Q93XI4	Phytozome_Mg:Migut.N02484.1
Q93Y73	Phytozome_Mg:Migut.E00492.1
Q941W8	Phytozome_Mg:Migut.F00631.1 Phytozome_Mg:Migut.J00112.1
Q94E75	Phytozome_Mg:Migut.J00731.1
Q94GF1	Phytozome_Mg:Migut.N00808.1
Q94HG3	Phytozome_Mg:Migut.C00584.1
Q94HG6	Phytozome_Mg:Migut.C00593.1
Q94IW5	Phytozome_Mg:Migut.I01018.1
Q94J90	Phytozome_Mg:Migut.D00673.1
Q94JA2	Phytozome_Mg:Migut.H01978.1
Q94JJ0	Phytozome_Mg:Migut.E00387.1 Phytozome_Mg:Migut.L01014.1
Q94LU9	Phytozome_Mg:Migut.E01089.1
Q94LV4	Phytozome_Mg:Migut.H00317.1
Q9ASD3	Phytozome_Mg:Migut.E01563.1
Q9ASP4	Phytozome_Mg:Migut.N00020.1 Phytozome_Mg:Migut.G00021.1
Q9AUQ4	Phytozome_Mg:Migut.E00456.1
Q9AUV6	Phytozome_Mg:Migut.K01285.1 Phytozome_Mg:Migut.H00642.1
Q9AV47	Phytozome_Mg:Migut.J00534.1
Q9AV71	Phytozome_Mg:Migut.D00465.1
Q9AWL7	Phytozome_Mg:Migut.N02951.1 Phytozome_Mg:Migut.C00380.1
Q9AWZ8	Phytozome_Mg:Migut.B01799.1
Q9FTR6	Phytozome_Mg:Migut.L00324.1 Phytozome_Mg:Migut.H00220.1
Q9FTZ2	Phytozome_Mg:Migut.N00675.1
Q9FU67	Phytozome_Mg:Migut.J00466.1
Q9FU68	Phytozome_Mg:Migut.J00466.1
Q9FU69	Phytozome_Mg:Migut.J00466.1
Q9FWC1	Phytozome_Mg:Migut.I01165.1
Q9FWK4	Phytozome_Mg:Migut.G00494.1
Q9FWQ2	Phytozome_Mg:Migut.A00807.1 Phytozome_Mg:Migut.E01673.1
Q9FXQ3	Phytozome_Mg:Migut.N01362.1
Q9LD61	Phytozome_Mg:Migut.H01801.1
Q9LDB7	Phytozome_Mg:Migut.E01811.1 Phytozome_Mg:Migut.A00021.1
Q9LGU6	Phytozome_Mg:Migut.B00863.1
Q9LHZ0	Phytozome_Mg:Migut.I00211.1
Q9LHZ7	Phytozome_Mg:Migut.E00738.1
Q9LIZ8	Phytozome_Mg:Migut.B00906.1
Q9LWJ2	Phytozome_Mg:Migut.K00129.1
Q9S7D3	Phytozome_Mg:Migut.K01430.1 Phytozome_Mg:Migut.H00043.1
Q9SDG5	Phytozome_Mg:Migut.L01686.1
Q9SMB1	Phytozome_Mg:Migut.E00155.1 Phytozome_Mg:Migut.L01398.1
Q9SNN0	Phytozome_Mg:Migut.B00171.1
Q9XEA6	Phytozome_Mg:Migut.G00340.1
Q9XFE5	Phytozome_Mg:Migut.M00091.1
Q9XG80	Phytozome_Mg:Migut.J00441.1
Q9XHL5	Phytozome_Mg:Migut.N01365.1 Phytozome_Mg:Migut.N02990.1 Phytozome_Mg:Migut.C00353.1
Q9XJ03	Phytozome_Mg:Migut.E00156.1 Phytozome_Mg:Migut.L00727.1
Q9XJ60	Phytozome_Mg:Migut.E01177.1
Q9ZTP5	Phytozome_Mg:Migut.I00206.1
UPI00000AA151	Phytozome_Mg:Migut.E01811.1 Phytozome_Mg:Migut.A00021.1
