A0A0P0X5U4	Ensembl:F775_32727
Q6ZHH7	Ensembl:F775_18205
Q6ZHJ6	Ensembl:F775_26863
Q6ZHS4	Ensembl:F775_27916
Q6ZHZ1	Ensembl:F775_32696
Q6ZI39	Ensembl:F775_20262
Q6ZI55	Ensembl:F775_32037
Q6ZIA3	Ensembl:F775_32012
Q6ZIK0	Ensembl:F775_30113
Q6ZIX2	Ensembl:F775_30728
Q6ZJK7	Ensembl:F775_18829 Ensembl:F775_16105 Ensembl:F775_13139 Ensembl:F775_18331 Ensembl:F775_12762 Ensembl:F775_16467 Ensembl:F775_18247 Ensembl:F775_06311 Ensembl:F775_29520
Q6ZJM9	Ensembl:F775_08471
Q6ZK11	Ensembl:F775_21941 Ensembl:F775_20090
Q6ZL61	Ensembl:F775_26607
Q6ZL94	Ensembl:F775_29243
Q6ZLD3	Ensembl:F775_19190
Q6ZLJ9	Ensembl:F775_27238
Q75H77	Ensembl:F775_31802
Q75HA6	Ensembl:F775_06091
Q75HB1	Ensembl:F775_06092
Q75HQ7	Ensembl:F775_06188
Q75I93	Ensembl:F775_30000
Q75II5	Ensembl:F775_26075
Q75KD7	Ensembl:F775_31086
Q75KT7	Ensembl:F775_25923
Q75L84	Ensembl:F775_06066
Q75LC7	Ensembl:F775_08393
Q75LL5	Ensembl:F775_32180
Q75M18	Ensembl:F775_13798 Ensembl:F775_12955 Ensembl:F775_10250
Q75W16	Ensembl:F775_29488
Q7EZD3	Ensembl:F775_30082
Q7EZW6	Ensembl:F775_17833
Q7EZZ0	Ensembl:F775_14154
Q7F0B2	Ensembl:F775_05014 Ensembl:F775_25548 Ensembl:F775_15802
Q7F0Q2	Ensembl:F775_08487
Q7F190	Ensembl:F775_28639
Q7F2P0	Ensembl:F775_11277
Q7F8K7	Ensembl:F775_28909 Ensembl:F775_28910 Ensembl:F775_43918
Q7FAS1	Ensembl:F775_30752
Q7G2F7	Ensembl:F775_03999
Q7G2H3	Ensembl:F775_27627
Q7G6M2	Ensembl:F775_13795
Q7X634	Ensembl:F775_27222 Ensembl:F775_09169 Ensembl:F775_08681 Ensembl:F775_21345
Q7X742	Ensembl:F775_12405 Ensembl:F775_12062
Q7X7H3	Ensembl:F775_29941
Q7X7N2	Ensembl:F775_52491
Q7X7X4	Ensembl:F775_52046 Ensembl:F775_31064 Ensembl:F775_08885
Q7X8A1	Ensembl:F775_05242
Q7X8R0	Ensembl:F775_01072
Q7X8V3	Ensembl:F775_28846 Ensembl:F775_28014 Ensembl:F775_15976 Ensembl:F775_13762 Ensembl:F775_13761 Ensembl:F775_15245 Ensembl:F775_26455 Ensembl:F775_26984 Ensembl:F775_06675 Ensembl:F775_28249 Ensembl:F775_13759 Ensembl:F775_28013 Ensembl:F775_15244 Ensembl:F775_31375
Q7X993	Ensembl:F775_31721
Q7XCK3	Ensembl:F775_12111
Q7XDE0	Ensembl:F775_09933
Q7XE48	Ensembl:F775_23677
Q7XEZ6	Ensembl:F775_04113 Ensembl:F775_28289 Ensembl:F775_32666 Ensembl:F775_02121
Q7XHL3	Ensembl:F775_16846
Q7XHZ2	Ensembl:F775_29093
Q7XI35	Ensembl:F775_16818
Q7XI67	Ensembl:F775_28159
Q7XI96	Ensembl:F775_16100
Q7XM21	Ensembl:F775_13583
Q7XMP7	Ensembl:F775_32350 Ensembl:F775_11014
Q7XN54	Ensembl:F775_52546
Q7XNX6	Ensembl:F775_05690 Ensembl:F775_08926
Q7XNY3	Ensembl:F775_19032
Q7XPB5	Ensembl:F775_27619 Ensembl:F775_32503
Q7XPR2	Ensembl:F775_28271
Q7XPW5	Ensembl:F775_11250 Ensembl:F775_17016 Ensembl:F775_11200
Q7XQ85	Ensembl:F775_28732
Q7XR60	Ensembl:F775_28287
Q7XR61	Ensembl:F775_28287
Q7XRA1	Ensembl:F775_15071 Ensembl:F775_13801 Ensembl:F775_17296
Q7XRT0	Ensembl:F775_30621
Q7XTB2	Ensembl:F775_20410
Q7XTE8	Ensembl:F775_29474
Q7XTK3	Ensembl:F775_07780
Q7XTU2	Ensembl:F775_10092
Q7XU29	Ensembl:F775_04024
Q7XUA8	Ensembl:F775_52700 Ensembl:F775_11706
Q7XUH5	Ensembl:F775_08487
Q7XUI7	Ensembl:F775_20528
Q7XUK6	Ensembl:F775_26173
Q7XUS2	Ensembl:F775_14063 Ensembl:F775_09903
Q7XV13	Ensembl:F775_10712
Q7XV18	Ensembl:F775_15236
Q7XV42	Ensembl:F775_16998
Q7XVM8	Ensembl:F775_12364
Q7XWP9	Ensembl:F775_11910
Q7XX31	Ensembl:F775_11214 Ensembl:F775_26434
Q7XXL2	Ensembl:F775_32218
Q7XXQ9	Ensembl:F775_28682
Q7XYS3	Ensembl:F775_43122
Q7XZH5	Ensembl:F775_27869
Q7Y0B9	Ensembl:F775_31872
Q7Y0Y6	Ensembl:F775_09087
Q7Y0Y8	Ensembl:F775_03302
Q7Y152	Ensembl:F775_26612
Q7Y1I9	Ensembl:F775_25811 Ensembl:F775_18871 Ensembl:F775_15318 Ensembl:F775_09358 Ensembl:F775_15319
Q7Y1J1	Ensembl:F775_25811 Ensembl:F775_18871 Ensembl:F775_15318 Ensembl:F775_09358 Ensembl:F775_15319
Q84J55	Ensembl:F775_25469
Q84JH5	Ensembl:F775_16544
Q84JI0	Ensembl:F775_11332
Q84LK3	Ensembl:F775_31015
Q84M43	Ensembl:F775_32159
Q84MN8	Ensembl:F775_27660
Q84NP3	Ensembl:F775_09727
Q84Q89	Ensembl:F775_30494
Q84QA7	Ensembl:F775_05439
Q84RS4	Ensembl:F775_30274
Q84U04	Ensembl:F775_31511 Ensembl:F775_19897
Q84VC7	Ensembl:F775_21340
Q84YK8	Ensembl:F775_13267 Ensembl:F775_18268
Q84ZN6	Ensembl:F775_32044
Q84ZY2	Ensembl:F775_31856
Q851L5	Ensembl:F775_25488 Ensembl:F775_13971
Q852P4	Ensembl:F775_06974
Q852Q1	Ensembl:F775_10209 Ensembl:F775_07062 Ensembl:F775_17775 Ensembl:F775_19982 Ensembl:F775_00489
Q8GRU7	Ensembl:F775_07348
Q8GSD9	Ensembl:F775_31748 Ensembl:F775_31747
Q8GT01	Ensembl:F775_09421
Q8GVN6	Ensembl:F775_26036
Q8GVZ0	Ensembl:F775_31203
Q8H016	Ensembl:F775_21887
Q8H038	Ensembl:F775_26857
Q8H048	Ensembl:F775_15229
Q8H051	Ensembl:F775_22943
Q8H093	Ensembl:F775_07420 Ensembl:F775_26269
Q8H0B6	Ensembl:F775_29466
Q8H395	Ensembl:F775_32173
Q8H3A4	Ensembl:F775_29100 Ensembl:F775_29853
Q8H3C8	Ensembl:F775_21060 Ensembl:F775_20245 Ensembl:F775_21059
Q8H3C9	Ensembl:F775_12107
Q8H3Q7	Ensembl:F775_31924
Q8H530	Ensembl:F775_28067
Q8H539	Ensembl:F775_30203 Ensembl:F775_43261
Q8H6G8	Ensembl:F775_19633
Q8H7P5	Ensembl:F775_27725
Q8H7S6	Ensembl:F775_28721
Q8H7T7	Ensembl:F775_16211
Q8H825	Ensembl:F775_07039
Q8H8U0	Ensembl:F775_05703
Q8H930	Ensembl:F775_26621
Q8LGW5	Ensembl:F775_19449
Q8LHD1	Ensembl:F775_02705
Q8LI89	Ensembl:F775_17975
Q8LIY8	Ensembl:F775_03145 Ensembl:F775_03612 Ensembl:F775_02561
Q8LJJ2	Ensembl:F775_28901
Q8LM92	Ensembl:F775_25390
Q8LMW8	Ensembl:F775_26562
Q8LNU2	Ensembl:F775_30006 Ensembl:F775_27943
Q8LR33	Ensembl:F775_05206
Q8LRA0	Ensembl:F775_25579 Ensembl:F775_52449
Q8LRJ3	Ensembl:F775_32727
Q8RV06	Ensembl:F775_02840 Ensembl:F775_33140
Q8RV34	Ensembl:F775_26885
Q8RYL0	Ensembl:F775_30476
Q8RYL1	Ensembl:F775_30476
Q8RZV7	Ensembl:F775_16413 Ensembl:F775_16828 Ensembl:F775_16628 Ensembl:F775_19438 Ensembl:F775_14624
Q8RZZ3	Ensembl:F775_32276
Q8S0G4	Ensembl:F775_52602
Q8S2E5	Ensembl:F775_26287
Q8S2G0	Ensembl:F775_24554
Q8S2G5	Ensembl:F775_32081
Q8S3R0	Ensembl:F775_05095
Q8S5T1	Ensembl:F775_27723
Q8S6F2	Ensembl:F775_30309
Q8S7N5	Ensembl:F775_32251
Q8S7T9	Ensembl:F775_11143
Q8S920	Ensembl:F775_10150
Q8S983	Ensembl:F775_17365
Q8S985	Ensembl:F775_32247
Q8S9S4	Ensembl:F775_07943
Q8S9Z2	Ensembl:F775_32442
Q8VWH2	Ensembl:F775_05442
Q8W0B6	Ensembl:F775_18236
Q8W1L6	Ensembl:F775_32069 Ensembl:F775_26789
Q8W250	Ensembl:F775_22548 Ensembl:F775_06739
Q8W3F9	Ensembl:F775_08659
Q8W3G2	Ensembl:F775_05956
Q8W3J0	Ensembl:F775_30070
Q8W3M0	Ensembl:F775_28545
Q8W5G9	Ensembl:F775_29071
Q93VD5	Ensembl:F775_04736
Q93WI9	Ensembl:F775_05442
Q93X08	Ensembl:F775_26241
Q93XI4	Ensembl:F775_31133
Q93Y73	Ensembl:F775_31763
Q941T9	Ensembl:F775_30645
Q941W8	Ensembl:F775_09569
Q942X4	Ensembl:F775_29651
Q943R3	Ensembl:F775_26596
Q945X3	Ensembl:F775_32561
Q948T6	Ensembl:F775_26308 Ensembl:F775_09613
Q94CU3	Ensembl:F775_07309
Q94E75	Ensembl:F775_26032
Q94EE9	Ensembl:F775_13795
Q94GF1	Ensembl:F775_17519
Q94IW5	Ensembl:F775_28801
Q94J08	Ensembl:F775_28637
Q94J90	Ensembl:F775_28199
Q94JA2	Ensembl:F775_28588 Ensembl:F775_31978
Q94JJ0	Ensembl:F775_28855
Q94LU9	Ensembl:F775_02246
Q9AQU4	Ensembl:F775_27382 Ensembl:F775_29085
Q9ASD3	Ensembl:F775_10090
Q9ASK5	Ensembl:F775_26594
Q9ASP4	Ensembl:F775_28138
Q9AUQ4	Ensembl:F775_28447
Q9AUV6	Ensembl:F775_28646 Ensembl:F775_29213
Q9AV47	Ensembl:F775_32978
Q9AV71	Ensembl:F775_07942
Q9AWL7	Ensembl:F775_28583
Q9AY73	Ensembl:F775_15203
Q9FDY4	Ensembl:F775_00946
Q9FE35	Ensembl:F775_03121
Q9FRX7	Ensembl:F775_29396
Q9FTR6	Ensembl:F775_16172
Q9FU17	Ensembl:F775_06062
Q9FU67	Ensembl:F775_25999 Ensembl:F775_15308 Ensembl:F775_26678 Ensembl:F775_05101 Ensembl:F775_15306 Ensembl:F775_33000
Q9FU68	Ensembl:F775_25999 Ensembl:F775_15308 Ensembl:F775_26678 Ensembl:F775_05101 Ensembl:F775_15306 Ensembl:F775_33000
Q9FU69	Ensembl:F775_25999 Ensembl:F775_15308 Ensembl:F775_26678 Ensembl:F775_05101 Ensembl:F775_15306 Ensembl:F775_33000
Q9FUE1	Ensembl:F775_19581
Q9FWC1	Ensembl:F775_28920
Q9FWK4	Ensembl:F775_27420 Ensembl:F775_27411
Q9FWQ2	Ensembl:F775_30917
Q9LDB7	Ensembl:F775_28882
Q9LG86	Ensembl:F775_14144
Q9LGL5	Ensembl:F775_05850 Ensembl:F775_10620
Q9LGU6	Ensembl:F775_28742
Q9LHZ0	Ensembl:F775_16336 Ensembl:F775_30280
Q9LHZ7	Ensembl:F775_30973
Q9LIZ8	Ensembl:F775_27462 Ensembl:F775_17211 Ensembl:F775_29370
Q9LRI6	Ensembl:F775_16800
Q9S7D3	Ensembl:F775_26221
Q9SDG5	Ensembl:F775_26510
Q9SMB1	Ensembl:F775_32192 Ensembl:F775_31441
Q9SNK3	Ensembl:F775_07698
Q9SNN0	Ensembl:F775_21712
Q9XEA6	Ensembl:F775_26899
Q9XEA8	Ensembl:F775_15269
Q9XFE5	Ensembl:F775_02496
Q9XG80	Ensembl:F775_11392
Q9XHL5	Ensembl:F775_20651
Q9XJ29	Ensembl:F775_26405
Q9ZTP5	Ensembl:F775_31278
UPI00000AA151	Ensembl:F775_28882
