A0A0P0VEU3	Phytozome_Eg:Eucgr.B02538.1
Q5NBT9	Phytozome_Eg:Eucgr.H03269.1 Phytozome_Eg:Eucgr.B02075.1
Q5NTH3	Phytozome_Eg:Eucgr.I00321.1
Q5NTH4	Phytozome_Eg:Eucgr.I00321.1
Q5QN02	Phytozome_Eg:Eucgr.J00270.1
Q5SMQ9	Phytozome_Eg:Eucgr.K02271.1
Q5SMY2	Phytozome_Eg:Eucgr.J02851.1
Q5SND7	Phytozome_Eg:Eucgr.C01002.1
Q5U9F2	Phytozome_Eg:Eucgr.K02040.1
Q5VMP0	Phytozome_Eg:Eucgr.K01130.1
Q5VMP2	Phytozome_Eg:Eucgr.G00614.1
Q5VN31	Phytozome_Eg:Eucgr.F03487.1
Q5VNP5	Phytozome_Eg:Eucgr.H01277.1
Q5VNW0	Phytozome_Eg:Eucgr.D02465.1
Q5VP70	Phytozome_Eg:Eucgr.G02187.1 Phytozome_Eg:Eucgr.B02902.1
Q5VPH2	Phytozome_Eg:Eucgr.J02407.1
Q5VQG4	Phytozome_Eg:Eucgr.J02233.1 Phytozome_Eg:Eucgr.K02813.1 Phytozome_Eg:Eucgr.I01757.1
Q5VQG8	Phytozome_Eg:Eucgr.B00238.1
Q5VRB9	Phytozome_Eg:Eucgr.C02837.1 Phytozome_Eg:Eucgr.C01808.1
Q5VRM7	Phytozome_Eg:Eucgr.D01134.1
Q5VSB8	Phytozome_Eg:Eucgr.C01793.1
Q5W670	Phytozome_Eg:Eucgr.J02934.1 Phytozome_Eg:Eucgr.F03080.1
Q5W6F1	Phytozome_Eg:Eucgr.J01844.1
Q5W6H5	Phytozome_Eg:Eucgr.A00535.1
Q5W6W7	Phytozome_Eg:Eucgr.K01396.1
Q5XLJ2	Phytozome_Eg:Eucgr.G03412.1
Q5Z5B7	Phytozome_Eg:Eucgr.F02913.1 Phytozome_Eg:Eucgr.F02914.1
Q5Z5R4	Phytozome_Eg:Eucgr.F02398.1 Phytozome_Eg:Eucgr.F02396.1
Q5Z5R7	Phytozome_Eg:Eucgr.F02398.1 Phytozome_Eg:Eucgr.F02396.1
Q5Z6D3	Phytozome_Eg:Eucgr.H03521.1
Q5Z807	Phytozome_Eg:Eucgr.C00055.1
Q5Z856	Phytozome_Eg:Eucgr.G02823.1
Q5Z8K3	Phytozome_Eg:Eucgr.C00144.1
Q5Z8T3	Phytozome_Eg:Eucgr.F03092.1 Phytozome_Eg:Eucgr.G02560.1
Q5Z8V9	Phytozome_Eg:Eucgr.F03796.1
Q5Z8Y4	Phytozome_Eg:Eucgr.F03856.1
Q5Z8Z7	Phytozome_Eg:Eucgr.F03107.1
Q5ZED1	Phytozome_Eg:Eucgr.G02931.1
Q5ZEL4	Phytozome_Eg:Eucgr.A00529.1
Q60EX6	Phytozome_Eg:Eucgr.H01613.1
Q60EY1	Phytozome_Eg:Eucgr.K03411.1 Phytozome_Eg:Eucgr.K03410.1
Q64MA9	Phytozome_Eg:Eucgr.D01931.1
Q651F0	Phytozome_Eg:Eucgr.J02467.1
Q652A8	Phytozome_Eg:Eucgr.D01906.1
Q652S1	Phytozome_Eg:Eucgr.B00991.1
Q653D9	Phytozome_Eg:Eucgr.G00614.1
Q653F4	Phytozome_Eg:Eucgr.I00880.1
Q653H7	Phytozome_Eg:Eucgr.J00923.1
Q653T6	Phytozome_Eg:Eucgr.E02451.1
Q653U3	Phytozome_Eg:Eucgr.D00264.1 Phytozome_Eg:Eucgr.A02065.1
Q655T1	Phytozome_Eg:Eucgr.F04463.1
Q655W2	Phytozome_Eg:Eucgr.F04466.1
Q655Y9	Phytozome_Eg:Eucgr.I02616.1
Q656F1	Phytozome_Eg:Eucgr.C00228.1
Q65X14	Phytozome_Eg:Eucgr.F03232.1
Q65XK0	Phytozome_Eg:Eucgr.K01105.1
Q65XM9	Phytozome_Eg:Eucgr.E03836.1
Q67J16	Phytozome_Eg:Eucgr.G01454.1 Phytozome_Eg:Eucgr.G01451.1 Phytozome_Eg:Eucgr.G01453.1
Q67J19	Phytozome_Eg:Eucgr.F00237.1
Q67TQ5	Phytozome_Eg:Eucgr.I01145.1
Q67UL3	Phytozome_Eg:Eucgr.K02271.1
Q67UX0	Phytozome_Eg:Eucgr.C00144.1
Q67VM1	Phytozome_Eg:Eucgr.J01455.1
Q67VR7	Phytozome_Eg:Eucgr.D01945.1
Q67W82	Phytozome_Eg:Eucgr.C02284.1
Q67WR2	Phytozome_Eg:Eucgr.C01236.1
Q688Q8	Phytozome_Eg:Eucgr.F04428.1 Phytozome_Eg:Eucgr.F04303.1
Q688Q9	Phytozome_Eg:Eucgr.D01848.1
Q688Y2	Phytozome_Eg:Eucgr.F01118.1
Q689G6	Phytozome_Eg:Eucgr.A01405.1
Q689G9	Phytozome_Eg:Eucgr.B00537.1
Q69IM7	Phytozome_Eg:Eucgr.A00077.1
Q69J27	Phytozome_Eg:Eucgr.J02531.1
Q69K00	Phytozome_Eg:Eucgr.I01374.1
Q69L93	Phytozome_Eg:Eucgr.J02002.1
Q69LG7	Phytozome_Eg:Eucgr.F02952.1
Q69MC9	Phytozome_Eg:Eucgr.I02623.1
Q69MH0	Phytozome_Eg:Eucgr.F02489.1 Phytozome_Eg:Eucgr.J01500.1 Phytozome_Eg:Eucgr.F02488.1 Phytozome_Eg:Eucgr.G02472.1
Q69NY7	Phytozome_Eg:Eucgr.E02416.1 Phytozome_Eg:Eucgr.D00289.1
Q69P51	Phytozome_Eg:Eucgr.C00246.1
Q69QD7	Phytozome_Eg:Eucgr.C01140.1
Q69RJ0	Phytozome_Eg:Eucgr.A02249.1
Q69T90	Phytozome_Eg:Eucgr.H04996.1
Q69TF4	Phytozome_Eg:Eucgr.K01291.1
Q69TT1	Phytozome_Eg:Eucgr.B02929.1
Q69TV4	Phytozome_Eg:Eucgr.B00531.1
Q69TV6	Phytozome_Eg:Eucgr.B00531.1
Q69TW5	Phytozome_Eg:Eucgr.G01436.1 Phytozome_Eg:Eucgr.F02337.1
Q69U93	Phytozome_Eg:Eucgr.A00256.1 Phytozome_Eg:Eucgr.A00054.1
Q69V57	Phytozome_Eg:Eucgr.F02017.1
Q69XS7	Phytozome_Eg:Eucgr.E00346.1 Phytozome_Eg:Eucgr.G00574.1 Phytozome_Eg:Eucgr.F01584.1 Phytozome_Eg:Eucgr.E00343.1 Phytozome_Eg:Eucgr.E00001.1 Phytozome_Eg:Eucgr.B01777.1 Phytozome_Eg:Eucgr.E00337.1 Phytozome_Eg:Eucgr.L00747.1 Phytozome_Eg:Eucgr.L02476.1 Phytozome_Eg:Eucgr.B00145.1 Phytozome_Eg:Eucgr.E00338.1 Phytozome_Eg:Eucgr.E00003.1 Phytozome_Eg:Eucgr.L01334.1 Phytozome_Eg:Eucgr.B01250.1 Phytozome_Eg:Eucgr.E00336.1 Phytozome_Eg:Eucgr.E00344.1
Q6AT26	Phytozome_Eg:Eucgr.C01769.1 Phytozome_Eg:Eucgr.C02801.1
Q6AT32	Phytozome_Eg:Eucgr.C00584.1
Q6AT41	Phytozome_Eg:Eucgr.C03788.1
Q6AT43	Phytozome_Eg:Eucgr.I00664.1
Q6ATR2	Phytozome_Eg:Eucgr.H03602.1 Phytozome_Eg:Eucgr.B01146.1
Q6AV34	Phytozome_Eg:Eucgr.I01182.1
Q6AVG6	Phytozome_Eg:Eucgr.I01241.1
Q6AVM5	Phytozome_Eg:Eucgr.J00320.1
Q6AVR2	Phytozome_Eg:Eucgr.G00422.1 Phytozome_Eg:Eucgr.G00554.1
Q6AVT2	Phytozome_Eg:Eucgr.B01108.1 Phytozome_Eg:Eucgr.L00600.1
Q6BDZ9	Phytozome_Eg:Eucgr.F03855.1
Q6EN48	Phytozome_Eg:Eucgr.A01487.1
Q6EP31	Phytozome_Eg:Eucgr.I01414.1
Q6EP59	Phytozome_Eg:Eucgr.B01109.1 Phytozome_Eg:Eucgr.F00346.1 Phytozome_Eg:Eucgr.F00343.1 Phytozome_Eg:Eucgr.E01567.1 Phytozome_Eg:Eucgr.L00502.1 Phytozome_Eg:Eucgr.L00994.1 Phytozome_Eg:Eucgr.E01562.1 Phytozome_Eg:Eucgr.F00351.1 Phytozome_Eg:Eucgr.F00353.1 Phytozome_Eg:Eucgr.L00599.1 Phytozome_Eg:Eucgr.F00340.1 Phytozome_Eg:Eucgr.F00338.1 Phytozome_Eg:Eucgr.F00337.1 Phytozome_Eg:Eucgr.F00339.1 Phytozome_Eg:Eucgr.E01564.1 Phytozome_Eg:Eucgr.L00991.1
Q6EP77	Phytozome_Eg:Eucgr.A02832.1 Phytozome_Eg:Eucgr.A02821.1 Phytozome_Eg:Eucgr.A02820.1 Phytozome_Eg:Eucgr.A02825.1 Phytozome_Eg:Eucgr.A02824.1 Phytozome_Eg:Eucgr.A02831.1 Phytozome_Eg:Eucgr.A02818.1 Phytozome_Eg:Eucgr.A02823.1 Phytozome_Eg:Eucgr.A02834.1 Phytozome_Eg:Eucgr.A02822.1 Phytozome_Eg:Eucgr.A02827.1 Phytozome_Eg:Eucgr.A02826.1 Phytozome_Eg:Eucgr.A02830.1
Q6EPN6	Phytozome_Eg:Eucgr.L03318.1 Phytozome_Eg:Eucgr.E00780.1
Q6EPY7	Phytozome_Eg:Eucgr.K02031.1
Q6EQW2	Phytozome_Eg:Eucgr.F01378.1
Q6ERL4	Phytozome_Eg:Eucgr.I00651.1
Q6ERR3	Phytozome_Eg:Eucgr.J03114.1
Q6ES51	Phytozome_Eg:Eucgr.G02115.1 Phytozome_Eg:Eucgr.H00537.1 Phytozome_Eg:Eucgr.K02279.1 Phytozome_Eg:Eucgr.G02116.1
Q6ESJ0	Phytozome_Eg:Eucgr.E00579.1
Q6ESZ9	Phytozome_Eg:Eucgr.F04257.1
Q6ET36	Phytozome_Eg:Eucgr.H01472.1
Q6ET88	Phytozome_Eg:Eucgr.G01806.1
Q6ETD3	Phytozome_Eg:Eucgr.A02888.1 Phytozome_Eg:Eucgr.D02029.1
Q6ETN3	Phytozome_Eg:Eucgr.C02284.1
Q6ETX4	Phytozome_Eg:Eucgr.J00201.1
Q6EUP4	Phytozome_Eg:Eucgr.F02482.1
Q6EUS6	Phytozome_Eg:Eucgr.A01927.1
Q6F361	Phytozome_Eg:Eucgr.F01209.1
Q6F4N6	Phytozome_Eg:Eucgr.C00232.1
Q6H5C7	Phytozome_Eg:Eucgr.F02498.1
Q6H6C7	Phytozome_Eg:Eucgr.F04463.1
Q6H6D2	Phytozome_Eg:Eucgr.C00142.1
Q6H6G1	Phytozome_Eg:Eucgr.C02143.1
Q6H6P8	Phytozome_Eg:Eucgr.A01533.1
Q6H703	Phytozome_Eg:Eucgr.F04466.1
Q6H7Q6	Phytozome_Eg:Eucgr.J00820.1 Phytozome_Eg:Eucgr.J00832.1 Phytozome_Eg:Eucgr.J00824.1 Phytozome_Eg:Eucgr.J00825.1 Phytozome_Eg:Eucgr.L01891.1 Phytozome_Eg:Eucgr.J00819.1
Q6H819	Phytozome_Eg:Eucgr.J00167.1
Q6H849	Phytozome_Eg:Eucgr.J00529.1
Q6H851	Phytozome_Eg:Eucgr.J00529.1
Q6I581	Phytozome_Eg:Eucgr.D02349.1 Phytozome_Eg:Eucgr.E00072.1
Q6K1X7	Phytozome_Eg:Eucgr.L00052.1 Phytozome_Eg:Eucgr.H01869.1
Q6K2E8	Phytozome_Eg:Eucgr.B00108.1 Phytozome_Eg:Eucgr.K02720.1
Q6K3T2	Phytozome_Eg:Eucgr.E02396.1
Q6K3Z3	Phytozome_Eg:Eucgr.L00148.1
Q6K548	Phytozome_Eg:Eucgr.B00433.1
Q6K6Q0	Phytozome_Eg:Eucgr.G02852.1 Phytozome_Eg:Eucgr.G02849.1 Phytozome_Eg:Eucgr.G02848.1 Phytozome_Eg:Eucgr.J01079.1 Phytozome_Eg:Eucgr.J00907.1 Phytozome_Eg:Eucgr.G02851.1 Phytozome_Eg:Eucgr.G02850.1
Q6K6Q1	Phytozome_Eg:Eucgr.G02852.1 Phytozome_Eg:Eucgr.G02849.1 Phytozome_Eg:Eucgr.G02848.1 Phytozome_Eg:Eucgr.J01079.1 Phytozome_Eg:Eucgr.J00907.1 Phytozome_Eg:Eucgr.G02851.1 Phytozome_Eg:Eucgr.G02850.1
Q6K7V6	Phytozome_Eg:Eucgr.C02909.1
Q6K8E7	Phytozome_Eg:Eucgr.D00310.1
Q6K8J4	Phytozome_Eg:Eucgr.B02495.1
Q6K973	Phytozome_Eg:Eucgr.J01640.1
Q6K9B8	Phytozome_Eg:Eucgr.C00232.1
Q6K9M5	Phytozome_Eg:Eucgr.C01241.1
Q6K9N6	Phytozome_Eg:Eucgr.H00143.1
Q6K9X3	Phytozome_Eg:Eucgr.A01600.1
Q6KAJ2	Phytozome_Eg:Eucgr.C02720.1
Q6L479	Phytozome_Eg:Eucgr.H03262.1
Q6L4G2	Phytozome_Eg:Eucgr.C02671.1 Phytozome_Eg:Eucgr.C02674.1 Phytozome_Eg:Eucgr.C02688.1 Phytozome_Eg:Eucgr.C02687.1 Phytozome_Eg:Eucgr.C02668.1 Phytozome_Eg:Eucgr.C02690.1 Phytozome_Eg:Eucgr.G02313.1 Phytozome_Eg:Eucgr.C02679.1 Phytozome_Eg:Eucgr.C02681.1 Phytozome_Eg:Eucgr.C02680.1
Q6L4H5	Phytozome_Eg:Eucgr.C00846.1
Q6L4L4	Phytozome_Eg:Eucgr.B02478.1
Q6L4R0	Phytozome_Eg:Eucgr.F03127.1
Q6L4R7	Phytozome_Eg:Eucgr.F03166.1
Q6L545	Phytozome_Eg:Eucgr.B02030.1 Phytozome_Eg:Eucgr.H01611.1 Phytozome_Eg:Eucgr.K03422.1
Q6Q9I2	Phytozome_Eg:Eucgr.K02547.1 Phytozome_Eg:Eucgr.I02059.1 Phytozome_Eg:Eucgr.B00634.1
Q6YPG5	Phytozome_Eg:Eucgr.A02894.1
Q6YS33	Phytozome_Eg:Eucgr.I01605.1
Q6YSA1	Phytozome_Eg:Eucgr.H00574.1 Phytozome_Eg:Eucgr.G02066.1 Phytozome_Eg:Eucgr.K02292.1
Q6YT73	Phytozome_Eg:Eucgr.E02420.1 Phytozome_Eg:Eucgr.D00288.1
Q6YTI6	Phytozome_Eg:Eucgr.F03738.1
Q6YU51	Phytozome_Eg:Eucgr.I00566.1
Q6YUS0	Phytozome_Eg:Eucgr.H05005.1
Q6YUU2	Phytozome_Eg:Eucgr.A02265.1
Q6YV23	Phytozome_Eg:Eucgr.I00242.1
Q6YVI0	Phytozome_Eg:Eucgr.F01880.1
Q6YVY0	Phytozome_Eg:Eucgr.G00076.1
Q6YVY6	Phytozome_Eg:Eucgr.G02444.1
Q6YWE1	Phytozome_Eg:Eucgr.H03602.1 Phytozome_Eg:Eucgr.B01146.1
Q6YXI1	Phytozome_Eg:Eucgr.F02133.1
Q6YXW6	Phytozome_Eg:Eucgr.A02547.1
Q6YYB9	Phytozome_Eg:Eucgr.F03443.1
Q6YYZ2	Phytozome_Eg:Eucgr.D02624.1
Q6YZ18	Phytozome_Eg:Eucgr.A01770.1
Q6YZE2	Phytozome_Eg:Eucgr.K00727.1
Q6YZH8	Phytozome_Eg:Eucgr.H02826.1
Q6YZX6	Phytozome_Eg:Eucgr.I02307.1
Q6Z2L5	Phytozome_Eg:Eucgr.E01722.1
Q6Z2T6	Phytozome_Eg:Eucgr.B03789.1
Q6Z312	Phytozome_Eg:Eucgr.G01436.1 Phytozome_Eg:Eucgr.F02337.1
Q6Z351	Phytozome_Eg:Eucgr.J00610.1
Q6Z368	Phytozome_Eg:Eucgr.G01720.1
Q6Z398	Phytozome_Eg:Eucgr.F01647.1
Q6Z3A3	Phytozome_Eg:Eucgr.D01848.1
Q6Z3F1	Phytozome_Eg:Eucgr.B02626.1
Q6Z3F9	Phytozome_Eg:Eucgr.G01834.1
Q6Z3X5	Phytozome_Eg:Eucgr.G01375.1
Q6Z3Y3	Phytozome_Eg:Eucgr.J00958.1
Q6Z433	Phytozome_Eg:Eucgr.J03166.1
Q6Z4E7	Phytozome_Eg:Eucgr.A01382.1 Phytozome_Eg:Eucgr.A01384.1
Q6Z4I1	Phytozome_Eg:Eucgr.G01697.1
Q6Z5M3	Phytozome_Eg:Eucgr.I00693.1
Q6Z684	Phytozome_Eg:Eucgr.B01109.1 Phytozome_Eg:Eucgr.F00346.1 Phytozome_Eg:Eucgr.F00343.1 Phytozome_Eg:Eucgr.E01567.1 Phytozome_Eg:Eucgr.L00502.1 Phytozome_Eg:Eucgr.L00994.1 Phytozome_Eg:Eucgr.E01562.1 Phytozome_Eg:Eucgr.F00351.1 Phytozome_Eg:Eucgr.F00353.1 Phytozome_Eg:Eucgr.L00599.1 Phytozome_Eg:Eucgr.F00340.1 Phytozome_Eg:Eucgr.F00338.1 Phytozome_Eg:Eucgr.F00337.1 Phytozome_Eg:Eucgr.F00339.1 Phytozome_Eg:Eucgr.E01564.1 Phytozome_Eg:Eucgr.L00991.1
Q6Z6F0	Phytozome_Eg:Eucgr.H02638.1 Phytozome_Eg:Eucgr.H02639.1
Q6Z702	Phytozome_Eg:Eucgr.H02913.1
Q6Z744	Phytozome_Eg:Eucgr.K02286.1
Q6Z795	Phytozome_Eg:Eucgr.C01744.1 Phytozome_Eg:Eucgr.C02778.1 Phytozome_Eg:Eucgr.C01524.1 Phytozome_Eg:Eucgr.C01334.1
Q6Z7Q3	Phytozome_Eg:Eucgr.B00531.1
Q6Z836	Phytozome_Eg:Eucgr.I01794.1
Q6Z8F4	Phytozome_Eg:Eucgr.E01261.1
Q6Z8Z7	Phytozome_Eg:Eucgr.K00776.1
Q6Z965	Phytozome_Eg:Eucgr.C00820.1
Q6Z9A3	Phytozome_Eg:Eucgr.G02988.1
Q6ZAH2	Phytozome_Eg:Eucgr.G01369.1
Q6ZBH5	Phytozome_Eg:Eucgr.D01931.1
Q6ZC33	Phytozome_Eg:Eucgr.F03744.1
Q6ZCF0	Phytozome_Eg:Eucgr.K01341.1
Q6ZD10	Phytozome_Eg:Eucgr.F02952.1
Q6ZD89	Phytozome_Eg:Eucgr.A02870.1 Phytozome_Eg:Eucgr.A01392.1 Phytozome_Eg:Eucgr.K00041.1 Phytozome_Eg:Eucgr.A01397.1 Phytozome_Eg:Eucgr.A01389.1 Phytozome_Eg:Eucgr.A01395.1 Phytozome_Eg:Eucgr.K00449.1
Q6ZDQ1	Phytozome_Eg:Eucgr.D02153.1
Q6ZDY8	Phytozome_Eg:Eucgr.I02452.1
Q6ZEZ2	Phytozome_Eg:Eucgr.B02112.1
Q6ZFT5	Phytozome_Eg:Eucgr.A01976.1
Q6ZG77	Phytozome_Eg:Eucgr.G01640.1
Q6ZG91	Phytozome_Eg:Eucgr.H02516.1
Q6ZGS9	Phytozome_Eg:Eucgr.D02190.1
Q6ZGW6	Phytozome_Eg:Eucgr.A02449.1 Phytozome_Eg:Eucgr.B03641.1
Q6ZHB2	Phytozome_Eg:Eucgr.D02146.1 Phytozome_Eg:Eucgr.E00327.1
Q6ZHH7	Phytozome_Eg:Eucgr.F03744.1
Q6ZHS4	Phytozome_Eg:Eucgr.G01350.1
Q6ZHZ1	Phytozome_Eg:Eucgr.E03524.1
Q6ZI55	Phytozome_Eg:Eucgr.I01510.1
Q6ZIA3	Phytozome_Eg:Eucgr.J02325.1
Q6ZIK0	Phytozome_Eg:Eucgr.K00068.1
Q6ZIX2	Phytozome_Eg:Eucgr.G03364.1
Q6ZJ97	Phytozome_Eg:Eucgr.E04308.1
Q6ZJK7	Phytozome_Eg:Eucgr.A01770.1
Q6ZJU3	Phytozome_Eg:Eucgr.G02115.1 Phytozome_Eg:Eucgr.H00537.1 Phytozome_Eg:Eucgr.K02279.1 Phytozome_Eg:Eucgr.G02116.1
Q6ZK11	Phytozome_Eg:Eucgr.A00642.1
Q6ZKC0	Phytozome_Eg:Eucgr.F02482.1
Q6ZKV8	Phytozome_Eg:Eucgr.C00186.1
Q6ZL61	Phytozome_Eg:Eucgr.G01098.1
Q6ZL94	Phytozome_Eg:Eucgr.J00864.1
Q6ZLD3	Phytozome_Eg:Eucgr.B01475.1
Q6ZLJ9	Phytozome_Eg:Eucgr.A02374.1
Q75GB1	Phytozome_Eg:Eucgr.H02407.1 Phytozome_Eg:Eucgr.F03050.1 Phytozome_Eg:Eucgr.F02172.1
Q75GK0	Phytozome_Eg:Eucgr.H04335.1
Q75H77	Phytozome_Eg:Eucgr.I01180.1
Q75HP7	Phytozome_Eg:Eucgr.I02741.1
Q75HQ7	Phytozome_Eg:Eucgr.G02852.1 Phytozome_Eg:Eucgr.G02849.1 Phytozome_Eg:Eucgr.G02848.1 Phytozome_Eg:Eucgr.J01079.1 Phytozome_Eg:Eucgr.J00907.1 Phytozome_Eg:Eucgr.G02851.1 Phytozome_Eg:Eucgr.G02850.1
Q75HZ9	Phytozome_Eg:Eucgr.F03219.1
Q75II5	Phytozome_Eg:Eucgr.F01299.1
Q75KD7	Phytozome_Eg:Eucgr.F02479.1
Q75KT7	Phytozome_Eg:Eucgr.F04176.1
Q75L84	Phytozome_Eg:Eucgr.A01172.1
Q75LL5	Phytozome_Eg:Eucgr.B03802.1 Phytozome_Eg:Eucgr.J00588.1 Phytozome_Eg:Eucgr.J00590.1
Q75LR2	Phytozome_Eg:Eucgr.F00366.1
Q75M18	Phytozome_Eg:Eucgr.G00060.1
Q75V57	Phytozome_Eg:Eucgr.I01180.1
Q75W16	Phytozome_Eg:Eucgr.F00366.1
Q764B9	Phytozome_Eg:Eucgr.A00016.1
Q7EYE4	Phytozome_Eg:Eucgr.A00914.1
Q7EYM8	Phytozome_Eg:Eucgr.H02605.1
Q7EZZ0	Phytozome_Eg:Eucgr.A02296.1
Q7F0B2	Phytozome_Eg:Eucgr.G03014.1 Phytozome_Eg:Eucgr.J00970.1 Phytozome_Eg:Eucgr.G03010.1 Phytozome_Eg:Eucgr.J00972.1 Phytozome_Eg:Eucgr.G03009.1 Phytozome_Eg:Eucgr.G03013.1 Phytozome_Eg:Eucgr.A00424.1 Phytozome_Eg:Eucgr.G03006.1
Q7F0Q2	Phytozome_Eg:Eucgr.G01738.1 Phytozome_Eg:Eucgr.H01470.1
Q7F190	Phytozome_Eg:Eucgr.E01713.1
Q7F8K7	Phytozome_Eg:Eucgr.B02620.1
Q7FAE1	Phytozome_Eg:Eucgr.A02618.1 Phytozome_Eg:Eucgr.F01817.1 Phytozome_Eg:Eucgr.A02619.1 Phytozome_Eg:Eucgr.A02616.1
Q7FAH2	Phytozome_Eg:Eucgr.B00144.1 Phytozome_Eg:Eucgr.J02288.1
Q7G1V6	Phytozome_Eg:Eucgr.D00711.1
Q7G2F7	Phytozome_Eg:Eucgr.D00642.1
Q7G2H3	Phytozome_Eg:Eucgr.I01182.1
Q7G4P2	Phytozome_Eg:Eucgr.D00310.1
Q7G602	Phytozome_Eg:Eucgr.B00582.1 Phytozome_Eg:Eucgr.B00580.1 Phytozome_Eg:Eucgr.B00578.1
Q7G7J6	Phytozome_Eg:Eucgr.J01594.1 Phytozome_Eg:Eucgr.G02163.1
Q7X634	Phytozome_Eg:Eucgr.H04236.1
Q7X7H9	Phytozome_Eg:Eucgr.I00321.1
Q7X7N2	Phytozome_Eg:Eucgr.E01445.1
Q7X7X0	Phytozome_Eg:Eucgr.F03034.1
Q7X8A1	Phytozome_Eg:Eucgr.I01564.1
Q7X8V3	Phytozome_Eg:Eucgr.G02852.1 Phytozome_Eg:Eucgr.G02849.1 Phytozome_Eg:Eucgr.G02848.1 Phytozome_Eg:Eucgr.J01079.1 Phytozome_Eg:Eucgr.J00907.1 Phytozome_Eg:Eucgr.G02851.1 Phytozome_Eg:Eucgr.G02850.1
Q7XAP2	Phytozome_Eg:Eucgr.A01487.1
Q7XBY6	Phytozome_Eg:Eucgr.D02201.1 Phytozome_Eg:Eucgr.E00279.1
Q7XCK3	Phytozome_Eg:Eucgr.L00935.1 Phytozome_Eg:Eucgr.J02524.1 Phytozome_Eg:Eucgr.J02521.1 Phytozome_Eg:Eucgr.A00119.1 Phytozome_Eg:Eucgr.J02526.1 Phytozome_Eg:Eucgr.J02522.1
Q7XE48	Phytozome_Eg:Eucgr.J01349.1
Q7XH05	Phytozome_Eg:Eucgr.J00610.1
Q7XHL3	Phytozome_Eg:Eucgr.K01418.1 Phytozome_Eg:Eucgr.K01417.1
Q7XHZ2	Phytozome_Eg:Eucgr.J01084.1
Q7XI35	Phytozome_Eg:Eucgr.G03014.1 Phytozome_Eg:Eucgr.J00970.1 Phytozome_Eg:Eucgr.G03010.1 Phytozome_Eg:Eucgr.J00972.1 Phytozome_Eg:Eucgr.G03009.1 Phytozome_Eg:Eucgr.G03013.1 Phytozome_Eg:Eucgr.A00424.1 Phytozome_Eg:Eucgr.G03006.1
Q7XI67	Phytozome_Eg:Eucgr.A00643.1
Q7XI92	Phytozome_Eg:Eucgr.H01236.1 Phytozome_Eg:Eucgr.H01235.1
Q7XI96	Phytozome_Eg:Eucgr.H01239.1
Q7XK23	Phytozome_Eg:Eucgr.I01510.1
Q7XKQ8	Phytozome_Eg:Eucgr.B00108.1 Phytozome_Eg:Eucgr.K02720.1
Q7XM21	Phytozome_Eg:Eucgr.J02430.1
Q7XNX6	Phytozome_Eg:Eucgr.J01640.1
Q7XPB5	Phytozome_Eg:Eucgr.D02445.1
Q7XPW5	Phytozome_Eg:Eucgr.E00182.1
Q7XQ85	Phytozome_Eg:Eucgr.D01815.1 Phytozome_Eg:Eucgr.L01617.1 Phytozome_Eg:Eucgr.D01817.1 Phytozome_Eg:Eucgr.L02435.1 Phytozome_Eg:Eucgr.D01814.1
Q7XR02	Phytozome_Eg:Eucgr.H00724.1 Phytozome_Eg:Eucgr.H00442.1
Q7XR60	Phytozome_Eg:Eucgr.I01098.1
Q7XR61	Phytozome_Eg:Eucgr.I01098.1
Q7XRT0	Phytozome_Eg:Eucgr.J00242.1
Q7XTE8	Phytozome_Eg:Eucgr.F02482.1
Q7XTK3	Phytozome_Eg:Eucgr.L03224.1 Phytozome_Eg:Eucgr.B01996.1 Phytozome_Eg:Eucgr.B01994.1
Q7XTX7	Phytozome_Eg:Eucgr.D01960.1
Q7XU28	Phytozome_Eg:Eucgr.C02143.1
Q7XU29	Phytozome_Eg:Eucgr.E01594.1
Q7XUA8	Phytozome_Eg:Eucgr.K00046.1 Phytozome_Eg:Eucgr.K00453.1
Q7XUH5	Phytozome_Eg:Eucgr.G01738.1 Phytozome_Eg:Eucgr.H01470.1
Q7XUK6	Phytozome_Eg:Eucgr.F02801.1 Phytozome_Eg:Eucgr.L01202.1
Q7XV42	Phytozome_Eg:Eucgr.B01109.1 Phytozome_Eg:Eucgr.F00346.1 Phytozome_Eg:Eucgr.F00343.1 Phytozome_Eg:Eucgr.E01567.1 Phytozome_Eg:Eucgr.L00502.1 Phytozome_Eg:Eucgr.L00994.1 Phytozome_Eg:Eucgr.E01562.1 Phytozome_Eg:Eucgr.F00351.1 Phytozome_Eg:Eucgr.F00353.1 Phytozome_Eg:Eucgr.L00599.1 Phytozome_Eg:Eucgr.F00340.1 Phytozome_Eg:Eucgr.F00338.1 Phytozome_Eg:Eucgr.F00337.1 Phytozome_Eg:Eucgr.F00339.1 Phytozome_Eg:Eucgr.E01564.1 Phytozome_Eg:Eucgr.L00991.1
Q7XVM2	Phytozome_Eg:Eucgr.D01602.1
Q7XVM8	Phytozome_Eg:Eucgr.G01952.1
Q7XX31	Phytozome_Eg:Eucgr.A02509.1
Q7XX32	Phytozome_Eg:Eucgr.A02509.1
Q7XXL2	Phytozome_Eg:Eucgr.B03502.1
