Gene stable ID	Setaria italica gene stable ID	% identity	Setaria italica % identity	Orthology confidence [0 low, 1 high]
OS02G0131000	Si019422m.g	48	40	1
OS02G0131100	Si016059m.g	44	11	1
OS02G0131200	Si016728m.g	84	84	1
OS02G0131300	Si018208m.g	90	88	1
OS02G0131400	Si019105m.g	74	73	1
OS02G0131400	Si019228m.g	74	77	1
OS02G0131400	Si020102m.g	76	74	1
OS02G0131400	Si020199m.g	76	78	1
OS02G0131600	Si014739m.g	74	70	1
OS02G0131700	Si029217m.g	78	56	1
OS02G0131800	Si016841m.g	89	89	1
OS02G0132100	Si016291m.g	83	68	1
OS02G0132200	Si016813m.g	60	70	1
OS02G0132300	Si018014m.g	84	81	1
OS02G0132600	Si016264m.g	68	40	1
OS02G0133000	Si017226m.g	30	31	1
OS02G0133100	Si016647m.g	86	58	1
OS02G0133200	Si019758m.g	80	84	1
OS02G0133300	Si020986m.g	97	19	1
OS02G0133400	Si020986m.g	70	12	1
OS02G0133800	Si018055m.g	89	87	1
OS02G0133800	Si022962m.g	82	83	1
OS02G0133900	Si017500m.g	73	72	1
OS02G0134000	Si018301m.g	72	45	1
OS02G0134200	Si017974m.g	55	48	1
OS02G0134400	Si016595m.g	85	84	1
OS02G0135200	Si016957m.g	75	37	1
OS02G0135300	Si016876m.g	76	75	1
OS02G0135500	Si017061m.g	78	78	1
OS02G0135600	Si017741m.g	75	76	1
OS02G0135700	Si016121m.g	74	78	1
OS02G0135800	Si002362m.g	94	94	1
OS02G0135850	Si019072m.g	51	53	1
OS02G0135900	Si017948m.g	72	75	1
OS02G0136000	Si016430m.g	57	56	1
OS02G0136400	Si004948m.g	8	17	1
OS02G0136800	Si039073m.g	29	34	1
OS02G0136900	Si016491m.g	59	57	1
OS02G0136933	Si016113m.g	84	22	1
OS02G0137000	Si016113m.g	83	49	1
OS02G0137100	Si017759m.g	80	79	1
OS02G0137200	Si018102m.g	78	81	1
OS02G0137400	Si016127m.g	94	66	1
OS02G0137400	Si033947m.g	96	67	1
OS02G0137450	Si018679m.g	30	50	1
OS02G0137500	Si016078m.g	94	34	1
OS02G0137600	Si019941m.g	78	76	1
OS02G0137700	Si016709m.g	81	82	1
OS02G0137800	Si019618m.g	69	45	1
OS02G0138000	Si020202m.g	77	70	1
OS02G0138200	Si016780m.g	61	59	1
OS02G0138600	Si038688m.g	39	44	1
OS02G0138900	Si019435m.g	71	41	1
OS02G0139000	Si017191m.g	65	68	1
OS02G0139100	Si018395m.g	81	83	1
OS02G0139200	Si016599m.g	88	88	1
OS02G0139300	Si017029m.g	81	81	1
OS02G0139400	Si017520m.g	57	43	1
OS02G0139600	Si017014m.g	76	54	1
OS02G0139600	Si033068m.g	75	52	1
OS02G0140200	Si016614m.g	77	60	1
OS02G0140200	Si016615m.g	77	59	1
OS02G0140200	Si019921m.g	62	43	1
OS02G0140200	Si032916m.g	67	46	1
OS02G0140300	Si018375m.g	78	75	1
OS02G0140400	Si016614m.g	83	55	1
OS02G0140400	Si016615m.g	82	55	1
OS02G0140400	Si019921m.g	62	38	1
OS02G0140400	Si032916m.g	69	40	1
OS02G0140500	Si016614m.g	10	1	1
OS02G0140500	Si016615m.g	10	1	1
OS02G0140500	Si019921m.g	70	9	1
OS02G0140500	Si032916m.g	67	8	1
OS02G0140800	Si036502m.g	62	77	1
OS02G0141000	Si018576m.g	70	69	1
OS02G0141100	Si016147m.g	79	78	1
OS02G0141300	Si016213m.g	92	93	1
OS02G0141400	Si017874m.g	3	4	1
OS02G0141500	Si017874m.g	65	48	1
OS02G0142250	Si016778m.g	74	25	1
OS02G0142500	Si016086m.g	74	11	1
OS02G0142800	Si039073m.g	27	31	1
OS02G0142950	Si016086m.g	78	7	1
OS02G0143100	Si001574m.g	88	88	1
OS02G0143100	Si029938m.g	89	89	1
OS02G0143200	Si016207m.g	62	65	1
OS02G0143300	Si011311m.g	48	45	1
OS02G0143300	Si012732m.g	52	48	1
OS02G0143300	Si019067m.g	52	43	1
OS02G0143400	Si019196m.g	75	78	1
OS02G0146400	Si016115m.g	99	28	0
OS02G0146500	Si016778m.g	76	28	1
OS02G0146600	Si017367m.g	96	97	1
OS02G0146700	Si009330m.g	90	92	1
OS02G0146700	Si014449m.g	21	89	1
OS02G0146700	Si016271m.g	91	91	1
OS02G0147100	Si017556m.g	71	58	1
OS02G0147300	Si016115m.g	71	10	0
OS02G0147700	Si017556m.g	72	67	1
OS02G0147800	Si019956m.g	26	52	1
OS02G0148000	Si017125m.g	66	67	1
OS02G0148100	Si017554m.g	96	96	1
OS02G0148300	Si016058m.g	85	10	1
OS02G0148400	Si017447m.g	67	67	1
OS02G0148600	Si019324m.g	77	80	1
OS02G0149500	Si014901m.g	13	8	1
OS02G0149600	Si019871m.g	54	53	1
OS02G0149700	Si016577m.g	78	65	1
OS02G0149800	Si017687m.g	67	67	1
OS02G0149800	Si027342m.g	32	58	1
OS02G0149800	Si028364m.g	38	66	1
OS02G0149900	Si018305m.g	36	41	1
OS02G0149900	Si019554m.g	36	40	1
OS02G0150100	Si016661m.g	93	69	1
OS02G0150300	Si017620m.g	83	77	1
OS02G0150700	Si016760m.g	52	58	1
OS02G0150800	Si016664m.g	83	84	1
OS02G0150900	Si019289m.g	83	83	1
OS02G0151100	Si016287m.g	75	76	1
OS02G0151100	Si019294m.g	63	74	1
OS02G0151300	Si016857m.g	81	80	0
OS02G0151400	Si004948m.g	16	30	1
OS02G0151501	Si023662m.g	65	31	1
OS02G0152300	Si019613m.g	51	63	1
OS02G0152400	Si019771m.g	63	56	1
OS02G0152500	Si016427m.g	76	76	1
OS02G0152600	Si018076m.g	80	83	1
OS02G0152800	Si016066m.g	86	20	1
OS02G0152900	Si018570m.g	71	75	1
OS02G0153000	Si016711m.g	83	63	0
OS02G0153100	Si016179m.g	73	73	1
OS02G0153100	Si019488m.g	73	73	1
OS02G0153100	Si020911m.g	46	67	1
OS02G0153200	Si016179m.g	72	72	1
OS02G0153200	Si019488m.g	73	73	1
OS02G0153200	Si020911m.g	46	68	1
OS02G0153400	Si019531m.g	65	70	0
OS02G0154600	Si036224m.g	83	86	1
OS02G0155400	Si019932m.g	52	57	1
OS02G0155400	Si020044m.g	43	58	1
OS02G0155400	Si020141m.g	54	59	1
OS02G0155600	Si019932m.g	53	54	1
OS02G0155600	Si020044m.g	43	52	1
OS02G0155600	Si020141m.g	54	54	1
OS02G0155900	Si019932m.g	57	20	1
OS02G0155900	Si020044m.g	54	23	1
OS02G0155900	Si020141m.g	59	21	1
OS02G0156000	Si032294m.g	46	47	1
OS02G0156200	Si019932m.g	53	58	1
OS02G0156200	Si020044m.g	44	58	1
OS02G0156200	Si020141m.g	53	58	1
OS02G0156400	Si019304m.g	58	61	1
OS02G0156400	Si019741m.g	57	59	1
OS02G0157000	Si019884m.g	47	18	0
OS02G0157000	Si020142m.g	56	21	0
OS02G0157600	Si018685m.g	56	56	1
OS02G0158100	Si016830m.g	91	90	1
OS02G0158300	Si017691m.g	91	91	1
OS02G0158400	Si018290m.g	78	80	1
OS02G0158500	Si017772m.g	57	68	1
OS02G0158600	Si018498m.g	76	78	1
OS02G0158800	Si019467m.g	85	85	1
OS02G0158900	Si017238m.g	73	70	1
OS02G0159200	Si016527m.g	66	65	1
OS02G0159800	Si039079m.g	23	31	1
OS02G0160200	Si016985m.g	71	70	1
OS02G0160400	Si019330m.g	81	81	1
OS02G0160900	Si019154m.g	66	25	1
OS02G0161000	Si017133m.g	74	79	1
OS02G0161100	Si020033m.g	72	74	1
OS02G0161200	Si017193m.g	76	72	1
OS02G0161800	Si017675m.g	53	53	1
OS02G0162000	Si031923m.g	93	58	1
OS02G0162200	Si018015m.g	44	44	1
OS02G0162500	Si018598m.g	98	98	1
OS02G0162600	Si018821m.g	36	54	1
OS02G0162733	Si016055m.g	79	5	1
OS02G0162766	Si016055m.g	65	14	1
OS02G0164000	Si004484m.g	12	21	1
OS02G0164000	Si008254m.g	20	21	1
OS02G0164000	Si032515m.g	18	21	1
OS02G0164000	Si032794m.g	20	17	1
OS02G0164000	Si032890m.g	14	17	1
OS02G0164000	Si038724m.g	16	21	1
OS02G0164300	Si017391m.g	95	43	1
OS02G0164400	Si018807m.g	52	64	1
OS02G0164600	Si017099m.g	76	76	1
OS02G0164800	Si018240m.g	88	31	1
OS02G0164900	Si016262m.g	83	83	1
OS02G0165100	Si017448m.g	78	77	1
OS02G0165500	Si017331m.g	72	70	1
OS02G0166800	Si018085m.g	81	57	1
OS02G0167000	Si017528m.g	77	76	1
OS02G0167000	Si035765m.g	72	61	1
OS02G0167100	Si017893m.g	79	79	1
OS02G0167300	Si017205m.g	98	98	1
OS02G0167500	Si016249m.g	74	76	1
OS02G0167700	Si016131m.g	93	93	1
OS02G0168000	Si018131m.g	73	82	1
OS02G0168000	Si019189m.g	41	57	1
OS02G0168100	Si017217m.g	88	48	1
OS02G0168100	Si017353m.g	85	49	1
OS02G0168300	Si017257m.g	61	55	1
OS02G0168400	Si016202m.g	81	48	1
OS02G0168500	Si020158m.g	82	72	1
OS02G0168600	Si018275m.g	87	86	1
OS02G0168700	Si018361m.g	76	78	1
OS02G0168800	Si017625m.g	89	89	1
OS02G0168900	Si018534m.g	80	78	1
OS02G0169000	Si017436m.g	78	74	1
OS02G0169300	Si017403m.g	95	95	1
OS02G0169700	Si015440m.g	51	47	1
OS02G0169700	Si023470m.g	62	54	1
OS02G0169800	Si016131m.g	83	21	1
OS02G0170000	Si016833m.g	85	73	0
OS02G0170300	Si018183m.g	65	68	1
OS02G0170500	Si018151m.g	85	86	1
OS02G0170500	Si020107m.g	47	81	1
OS02G0171100	Si017360m.g	93	92	1
OS02G0172000	Si019959m.g	45	32	1
OS02G0172300	Si019959m.g	41	42	1
OS02G0172600	Si016209m.g	87	88	1
OS02G0172800	Si018139m.g	65	61	1
OS02G0173000	Si017284m.g	25	8	0
OS02G0173100	Si016782m.g	85	85	1
OS02G0173500	Si017822m.g	82	81	1
OS02G0173600	Si018020m.g	71	24	1
OS02G0173700	Si017486m.g	66	63	1
OS02G0173800	Si017672m.g	80	81	1
OS02G0173900	Si016884m.g	89	52	1
OS02G0174100	Si017749m.g	57	43	1
OS02G0174200	Si017293m.g	92	92	1
OS02G0174300	Si017462m.g	44	58	1
OS02G0174400	Si019331m.g	42	48	1
OS02G0174800	Si018332m.g	72	73	1
OS02G0175000	Si016870m.g	64	64	1
OS02G0175100	Si017778m.g	72	62	1
OS02G0175200	Si016618m.g	71	35	1
OS02G0175301	Si016618m.g	59	35	1
OS02G0175400	Si016659m.g	94	94	1
OS02G0175500	Si017477m.g	90	90	1
OS02G0175600	Si019535m.g	88	87	1
OS02G0175600	Si031425m.g	90	89	1
OS02G0175800	Si018844m.g	75	77	1
OS02G0175800	Si033225m.g	62	74	1
OS02G0175900	Si017047m.g	68	59	1
OS02G0176100	Si016339m.g	77	76	1
OS02G0176400	Si018797m.g	96	96	1
OS02G0176700	Si016161m.g	85	72	1
OS02G0176900	Si017840m.g	78	78	1
OS02G0177300	Si017338m.g	41	46	1
OS02G0177400	Si019179m.g	19	49	1
OS02G0177600	Si016817m.g	87	89	1
OS02G0177700	Si018386m.g	63	61	1
OS02G0177800	Si016666m.g	86	87	1
OS02G0177900	Si016764m.g	90	58	1
OS02G0178100	Si017487m.g	59	51	1
OS02G0178200	Si019190m.g	51	57	1
OS02G0178400	Si019491m.g	99	99	1
OS02G0178500	Si016605m.g	91	91	1
OS02G0178600	Si018662m.g	82	30	1
OS02G0178700	Si020028m.g	45	54	1
OS02G0178800	Si019489m.g	82	76	1
OS02G0179000	Si019743m.g	71	60	1
OS02G0179100	Si018172m.g	73	81	1
OS02G0179200	Si017936m.g	59	59	0
OS02G0179200	Si017978m.g	55	57	0
OS02G0179200	Si019548m.g	59	59	0
OS02G0179300	Si017560m.g	80	81	1
OS02G0179400	Si017366m.g	50	50	1
OS02G0179500	Si017748m.g	81	56	0
OS02G0179600	Si016576m.g	78	76	0
OS02G0179800	Si016148m.g	76	77	0
OS02G0179900	Si016235m.g	69	17	1
OS02G0180000	Si017582m.g	85	85	1
OS02G0180100	Si002178m.g	83	82	1
OS02G0180100	Si014052m.g	86	85	1
OS02G0180200	Si018443m.g	89	89	1
OS02G0180400	Si019648m.g	72	70	1
OS02G0180500	Si018128m.g	83	81	1
OS02G0180700	Si017703m.g	82	83	1
OS02G0181800	Si010557m.g	76	74	1
OS02G0181800	Si017870m.g	86	89	1
OS02G0181900	Si016214m.g	89	89	1
OS02G0182100	Si016630m.g	68	67	1
OS02G0182300	Si018405m.g	43	43	1
OS02G0182500	Si018126m.g	93	73	1
OS02G0182700	Si019561m.g	57	40	1
OS02G0182800	Si020494m.g	90	93	1
OS02G0182900	Si017051m.g	79	52	1
OS02G0183000	Si019544m.g	95	96	1
OS02G0183500	Si019286m.g	38	37	0
OS02G0184000	Si016625m.g	83	85	1
OS02G0184200	Si016395m.g	98	40	1
OS02G0184400	Si016229m.g	89	94	1
OS02G0184500	Si018050m.g	80	61	1
OS02G0184700	Si001082m.g	69	70	1
OS02G0184700	Si004996m.g	66	71	1
OS02G0184700	Si019904m.g	76	76	1
OS02G0184900	Si019891m.g	68	68	1
OS02G0184900	Si020140m.g	57	68	1
OS02G0185200	Si019891m.g	68	68	1
OS02G0185200	Si020140m.g	58	68	1
OS02G0185300	Si019891m.g	69	71	1
OS02G0185300	Si020140m.g	59	71	1
OS02G0185400	Si019891m.g	67	43	1
OS02G0185400	Si020140m.g	65	49	1
OS02G0185500	Si019891m.g	67	64	1
OS02G0185500	Si020140m.g	55	62	1
OS02G0185900	Si019891m.g	63	60	1
OS02G0185900	Si020140m.g	55	61	1
OS02G0186200	Si019891m.g	63	67	1
OS02G0186200	Si020140m.g	54	68	1
OS02G0186400	Si017021m.g	45	70	1
OS02G0186500	Si017544m.g	88	89	1
OS02G0186700	Si018455m.g	69	84	1
OS02G0186900	Si016954m.g	73	74	1
OS02G0186950	Si021945m.g	36	11	1
OS02G0187000	Si020134m.g	71	48	1
OS02G0187100	Si018053m.g	50	50	1
OS02G0187200	Si017359m.g	88	86	1
OS02G0187400	Si006074m.g	52	59	1
OS02G0187500	Si018616m.g	94	94	1
OS02G0187600	Si018022m.g	78	75	1
OS02G0187700	Si017917m.g	69	69	1
OS02G0187800	Si017253m.g	86	72	1
OS02G0188000	Si016917m.g	74	61	1
OS02G0188500	Si018082m.g	50	60	1
OS02G0189000	Si018649m.g	77	82	1
OS02G0189100	Si018558m.g	77	56	1
OS02G0189200	Si017624m.g	75	79	1
OS02G0189300	Si017623m.g	73	74	1
OS02G0189400	Si019718m.g	55	28	1
OS02G0189700	Si025565m.g	48	62	0
OS02G0189800	Si016411m.g	78	77	1
OS02G0190000	Si016123m.g	77	77	1
OS02G0190000	Si019434m.g	79	79	1
OS02G0190000	Si032403m.g	77	76	1
OS02G0190300	Si016123m.g	79	80	1
OS02G0190300	Si019434m.g	81	82	1
OS02G0190300	Si032403m.g	78	78	1
OS02G0190500	Si016785m.g	71	90	1
OS02G0190600	Si020188m.g	85	84	1
OS02G0190700	Si019251m.g	35	35	1
OS02G0190800	Si017345m.g	87	81	1
OS02G0190900	Si018683m.g	85	78	1
OS02G0191200	Si008099m.g	70	70	1
OS02G0191300	Si017155m.g	89	89	1
OS02G0191500	Si017612m.g	35	37	1
OS02G0191600	Si019099m.g	53	66	1
OS02G0191700	Si016836m.g	83	84	1
OS02G0191800	Si018606m.g	54	54	1
OS02G0192100	Si017008m.g	69	35	1
OS02G0192200	Si016465m.g	85	85	1
OS02G0192300	Si020016m.g	28	63	1
OS02G0192400	Si016072m.g	66	34	1
OS02G0192500	Si016912m.g	88	88	1
OS02G0192700	Si019430m.g	72	72	1
OS02G0193100	Si020008m.g	45	48	1
OS02G0193200	Si018363m.g	64	62	1
OS02G0193200	Si020157m.g	61	60	1
OS02G0193300	Si018363m.g	64	59	1
OS02G0193300	Si020157m.g	60	57	1
OS02G0193500	Si018199m.g	59	35	1
OS02G0193600	Si014921m.g	25	41	1
OS02G0193600	Si017383m.g	69	68	1
OS02G0193732	Si018742m.g	55	58	1
OS02G0193900	Si018318m.g	90	91	1
OS02G0194000	Si017006m.g	66	54	1
OS02G0194100	Si017002m.g	94	89	1
OS02G0194200	Si019853m.g	72	63	1
OS02G0194600	Si016415m.g	67	58	1
OS02G0194700	Si016269m.g	71	73	1
OS02G0194800	Si016753m.g	82	82	0
OS02G0195000	Si017573m.g	92	92	1
OS02G0195000	Si018211m.g	51	76	1
OS02G0195300	Si001030m.g	87	80	1
OS02G0195500	Si016279m.g	79	80	1
OS02G0195500	Si018623m.g	12	73	1
OS02G0195500	Si019634m.g	13	66	1
OS02G0195600	Si018504m.g	83	84	1
OS02G0195600	Si018508m.g	86	87	1
OS02G0195800	Si017983m.g	83	81	1
OS02G0196000	Si018044m.g	86	85	1
OS02G0196300	Si016588m.g	90	86	1
OS02G0196600	Si016225m.g	89	90	1
OS02G0196800	Si017294m.g	87	88	1
OS02G0196900	Si020181m.g	90	46	1
OS02G0197300	Si019936m.g	60	70	1
OS02G0197400	Si019143m.g	93	54	1
OS02G0197500	Si017210m.g	73	32	1
OS02G0197700	Si019817m.g	49	65	1
OS02G0197750	Si036918m.g	53	20	1
OS02G0197900	Si016974m.g	76	61	1
OS02G0198000	Si033238m.g	34	31	1
OS02G0198200	Si018277m.g	88	88	1
OS02G0198300	Si017787m.g	84	83	1
OS02G0198400	Si016195m.g	71	76	1
OS02G0198400	Si019509m.g	7	87	1
OS02G0198500	Si020310m.g	67	70	1
OS02G0198600	Si017364m.g	88	89	1
OS02G0198700	Si016344m.g	72	72	1
OS02G0198800	Si020137m.g	53	63	1
OS02G0198900	Si018417m.g	91	92	1
OS02G0199200	Si020011m.g	55	57	1
OS02G0199300	Si018328m.g	73	72	1
OS02G0199800	Si019516m.g	55	72	1
OS02G0199900	Si017174m.g	97	85	1
OS02G0200000	Si017769m.g	89	89	1
OS02G0200300	Si017121m.g	74	67	1
OS02G0200800	Si017578m.g	46	49	1
OS02G0200900	Si016594m.g	79	79	1
OS02G0201000	Si018295m.g	57	57	1
OS02G0201300	Si018602m.g	66	61	1
OS02G0201500	Si017454m.g	54	80	1
OS02G0201900	Si016847m.g	83	83	1
OS02G0202200	Si018026m.g	66	65	1
OS02G0202250	Si016074m.g	86	57	0
OS02G0202300	Si016074m.g	85	19	0
OS02G0202400	Si017249m.g	62	61	1
OS02G0202500	Si018626m.g	83	40	1
OS02G0202600	Si018013m.g	89	89	1
OS02G0202900	Si017291m.g	76	78	1
OS02G0203000	Si018524m.g	72	86	1
OS02G0203500	Si016181m.g	85	29	1
OS02G0203700	Si018497m.g	87	84	1
OS02G0204400	Si011857m.g	85	86	1
OS02G0204400	Si017417m.g	63	86	1
OS02G0204700	Si020132m.g	81	85	1
OS02G0205000	Si011004m.g	73	72	0
OS02G0205000	Si031030m.g	71	70	0
OS02G0205200	Si017538m.g	79	77	1
OS02G0205300	Si017313m.g	92	92	1
OS02G0205500	Si016703m.g	81	70	1
OS02G0206100	Si017028m.g	64	64	1
OS02G0206100	Si019404m.g	65	63	1
OS02G0206400	Si017028m.g	59	31	1
OS02G0206400	Si019404m.g	58	30	1
OS02G0206700	Si016382m.g	72	47	1
OS02G0207400	Si016382m.g	67	46	1
OS02G0208100	Si016641m.g	90	90	1
OS02G0208200	Si018764m.g	3	2	1
OS02G0208600	Si016149m.g	68	55	1
OS02G0208700	Si019469m.g	66	55	1
OS02G0208900	Si016470m.g	69	70	1
OS02G0209000	Si016125m.g	90	52	0
OS02G0209100	Si016125m.g	89	45	0
OS02G0209400	Si018634m.g	38	49	1
OS02G0209900	Si019512m.g	65	66	1
OS02G0210800	Si017298m.g	60	26	0
OS02G0210900	Si019632m.g	64	68	1
OS02G0211900	Si020015m.g	27	41	1
OS02G0212900	Si026458m.g	6	2	1
OS02G0213700	Si017123m.g	40	12	1
OS02G0214300	Si017923m.g	67	68	1
OS02G0214400	Si017224m.g	75	76	1
OS02G0214633	Si004922m.g	35	6	0
OS02G0214633	Si012628m.g	37	10	0
OS02G0214633	Si019630m.g	42	6	0
OS02G0215000	Si016457m.g	66	67	1
OS02G0215700	Si016253m.g	60	65	1
OS02G0215900	Si004922m.g	41	29	0
OS02G0215900	Si012628m.g	35	37	0
OS02G0215900	Si019630m.g	44	24	0
OS02G0216000	Si016169m.g	62	68	1
OS02G0216300	Si018604m.g	41	58	1
OS02G0216300	Si019463m.g	39	59	1
OS02G0216300	Si020191m.g	43	62	1
OS02G0217400	Si039785m.g	74	73	1
OS02G0217500	Si017237m.g	86	85	1
OS02G0217600	Si017892m.g	96	96	1
OS02G0217800	Si016980m.g	77	77	1
OS02G0217900	Si018457m.g	77	75	1
OS02G0218200	Si016280m.g	87	87	1
OS02G0218400	Si019371m.g	85	86	1
OS02G0218600	Si016441m.g	73	36	1
OS02G0218700	Si019843m.g	76	76	1
OS02G0218750	Si017096m.g	74	28	1
OS02G0218800	Si019843m.g	74	75	1
OS02G0219000	Si019643m.g	30	31	0
OS02G0219050	Si019643m.g	32	34	0
OS02G0219200	Si016472m.g	87	61	1
OS02G0219400	Si035976m.g	84	85	1
OS02G0219800	Si019820m.g	57	71	1
OS02G0219900	Si018454m.g	64	70	1
OS02G0220000	Si019278m.g	70	69	1
OS02G0220000	Si019752m.g	58	62	1
OS02G0220100	Si019278m.g	9	9	1
OS02G0220100	Si019752m.g	9	10	1
OS02G0220400	Si019058m.g	61	66	1
OS02G0220500	Si017342m.g	90	90	1
OS02G0220600	Si017342m.g	89	89	1
OS02G0220700	Si016301m.g	66	62	1
OS02G0221100	Si019540m.g	47	51	1
OS02G0221300	Si030677m.g	17	51	0
OS02G0221500	Si020253m.g	37	79	1
OS02G0221600	Si037294m.g	94	94	1
OS02G0221800	Si017512m.g	70	80	0
OS02G0221900	Si016823m.g	80	79	1
OS02G0222100	Si017713m.g	80	26	1
OS02G0223700	Si018384m.g	53	61	1
OS02G0224100	Si017490m.g	68	69	1
OS02G0224200	Si016655m.g	87	73	1
OS02G0224300	Si016525m.g	70	43	1
OS02G0224400	Si016873m.g	86	82	1
OS02G0224800	Si017957m.g	79	94	1
OS02G0224900	Si036822m.g	46	36	1
OS02G0225000	Si035397m.g	89	66	1
OS02G0225300	Si037557m.g	59	22	1
OS02G0225900	Si019622m.g	68	68	1
OS02G0226000	Si018070m.g	85	64	1
OS02G0226200	Si017919m.g	62	61	1
OS02G0226300	Si017721m.g	70	74	1
OS02G0226600	Si016883m.g	50	51	1
OS02G0226801	Si018378m.g	72	76	1
OS02G0226900	Si019908m.g	84	84	1
OS02G0227000	Si019381m.g	65	68	1
OS02G0227100	Si018428m.g	51	61	1
OS02G0227200	Si020163m.g	85	85	1
OS02G0227400	Si016516m.g	72	63	1
OS02G0227500	Si001315m.g	32	25	0
OS02G0227600	Si024693m.g	39	26	1
OS02G0227700	Si016146m.g	59	52	1
OS02G0227700	Si016203m.g	62	62	1
OS02G0227900	Si024693m.g	38	37	1
OS02G0228000	Si001315m.g	41	15	0
OS02G0228300	Si016146m.g	64	58	1
OS02G0228300	Si016203m.g	55	56	1
OS02G0228900	Si018041m.g	53	57	1
OS02G0229000	Si018655m.g	93	93	1
OS02G0229200	Si037140m.g	47	29	1
OS02G0229400	Si016433m.g	93	94	1
OS02G0229800	Si019652m.g	47	43	1
OS02G0229900	Si019376m.g	46	45	1
OS02G0230000	Si018860m.g	80	80	1
OS02G0230100	Si017702m.g	84	82	1
OS02G0230200	Si017476m.g	77	70	1
OS02G0230300	Si018374m.g	88	34	1
OS02G0230875	Si011160m.g	28	25	1
OS02G0231700	Si021081m.g	49	53	1
OS02G0232050	Si006882m.g	45	28	1
OS02G0232100	Si007012m.g	79	82	0
OS02G0232300	Si011866m.g	49	49	1
OS02G0232300	Si020173m.g	51	51	1
OS02G0232400	Si016771m.g	90	79	1
OS02G0232500	Si016192m.g	76	54	1
OS02G0232500	Si016251m.g	69	54	1
OS02G0232900	Si018035m.g	80	82	1
OS02G0233100	Si016882m.g	76	77	1
OS02G0233333	Si030796m.g	85	46	1
OS02G0233333	Si031160m.g	85	62	1
OS02G0234200	Si017043m.g	78	79	1
OS02G0234300	Si016453m.g	84	66	1
OS02G0234450	Si028617m.g	5	36	0
OS02G0234500	Si016723m.g	89	88	1
OS02G0234700	Si018792m.g	62	58	1
OS02G0234800	Si036939m.g	88	88	1
OS02G0235000	Si018489m.g	81	68	0
OS02G0235900	Si016790m.g	72	73	1
OS02G0236000	Si017250m.g	84	84	1
OS02G0236100	Si016636m.g	85	84	1
OS02G0236200	Si017348m.g	95	92	1
OS02G0236600	Si017780m.g	79	78	1
OS02G0236800	Si017813m.g	74	75	1
OS02G0237000	Si017097m.g	66	47	1
OS02G0237100	Si017680m.g	83	82	1
OS02G0238500	Si010552m.g	67	62	1
OS02G0240100	Si017811m.g	77	79	1
OS02G0241100	Si016646m.g	62	66	1
OS02G0241200	Si016955m.g	45	48	1
OS02G0241300	Si015719m.g	24	35	1
OS02G0241600	Si016359m.g	82	82	1
OS02G0242100	Si016987m.g	72	70	1
OS02G0242600	Si022104m.g	36	41	1
OS02G0242600	Si024493m.g	33	39	1
OS02G0242900	Si019090m.g	64	50	1
OS02G0242900	Si019420m.g	65	51	1
OS02G0243300	Si019090m.g	63	63	1
OS02G0243300	Si019420m.g	61	62	1
OS02G0244100	Si017266m.g	85	84	1
OS02G0244300	Si016222m.g	81	81	1
OS02G0244600	Si017677m.g	79	82	1
OS02G0244700	Si016228m.g	94	95	1
OS02G0245000	Si000356m.g	83	83	1
OS02G0245100	Si019480m.g	88	92	1
OS02G0245800	Si016455m.g	83	63	1
OS02G0246300	Si018688m.g	92	95	1
OS02G0247800	Si016772m.g	57	17	1
OS02G0248100	Si019747m.g	49	47	1
OS02G0248100	Si020090m.g	52	51	1
OS02G0248200	Si019456m.g	21	44	1
OS02G0248200	Si019776m.g	22	47	1
OS02G0248440	Si019456m.g	0	0	1
OS02G0248440	Si019776m.g	0	1	1
OS02G0248800	Si022104m.g	33	38	1
OS02G0248800	Si024493m.g	33	38	1
OS02G0249000	Si022104m.g	37	41	1
OS02G0249000	Si024493m.g	33	38	1
OS02G0249200	Si019055m.g	68	69	1
OS02G0249300	Si018434m.g	53	56	1
OS02G0249500	Si022104m.g	9	8	1
OS02G0249500	Si024493m.g	12	11	1
OS02G0249600	Si022104m.g	35	41	1
OS02G0249600	Si024493m.g	34	39	1
OS02G0249700	Si020924m.g	33	28	1
OS02G0249700	Si036108m.g	31	36	1
OS02G0249700	Si038711m.g	26	29	1
OS02G0249700	Si038896m.g	28	31	1
OS02G0249700	Si040120m.g	30	35	1
OS02G0249700	Si040203m.g	28	33	1
OS02G0249800	Si022104m.g	34	40	1
OS02G0249800	Si024493m.g	33	38	1
OS02G0249900	Si022104m.g	34	40	1
OS02G0249900	Si024493m.g	33	38	1
OS02G0250300	Si013421m.g	64	67	1
OS02G0250300	Si016549m.g	72	70	1
OS02G0250300	Si016554m.g	70	68	1
OS02G0250600	Si016486m.g	48	32	0
OS02G0251700	Si018288m.g	32	28	1
OS02G0251800	Si018158m.g	33	15	1
OS02G0251800	Si019438m.g	39	35	1
OS02G0251900	Si018158m.g	33	16	1
OS02G0251900	Si019438m.g	37	36	1
OS02G0252100	Si023008m.g	83	85	1
OS02G0252200	Si017641m.g	68	69	1
OS02G0252600	Si030414m.g	64	44	1
OS02G0253502	Si019732m.g	42	26	1
OS02G0254100	Si019732m.g	49	40	1
OS02G0254600	Si018670m.g	39	28	1
OS02G0254700	Si020398m.g	77	26	1
OS02G0255000	Si016638m.g	69	52	1
OS02G0255000	Si020209m.g	67	50	1
OS02G0255100	Si017565m.g	67	66	1
