Gene stable ID	Oryza brachyantha gene stable ID	% identity	Oryza brachyantha % identity	Orthology confidence [0 low, 1 high]
OS01G0595001	OB01G31050	62	48	1
OS01G0595100	OB01G31060	86	86	1
OS01G0595300	OB01G31070	96	72	1
OS01G0595400	OB01G31080	73	82	1
OS01G0595600	OB01G31090	67	67	1
OS01G0596500	OB01G31110	67	18	1
OS01G0596600	OB01G31130	62	51	1
OS01G0596700	OB01G31140	70	73	1
OS01G0597400	OB01G31150	75	67	0
OS01G0597600	OB01G31160	71	87	1
OS01G0597800	OB01G31190	82	81	1
OS01G0598000	OB01G31190	76	42	1
OS01G0598200	OB01G31210	95	95	1
OS01G0598900	OB02G40480	97	82	1
OS01G0599900	OB01G31230	62	63	1
OS01G0600000	OB01G31240	95	95	1
OS01G0600200	OB01G31250	90	94	1
OS01G0600300	OB01G31260	90	90	1
OS01G0600500	OB01G31280	56	46	1
OS01G0600900	OB01G31290	89	91	1
OS01G0601000	OB01G31330	68	74	1
OS01G0601200	OB01G31340	90	60	1
OS01G0601651	OB11G13950	18	26	1
OS01G0601651	OB11G13970	19	25	1
OS01G0601651	OB12G14380	28	30	1
OS01G0601675	OB01G31350	71	71	1
OS01G0602200	OB01G31360	78	46	1
OS01G0602400	OB01G31360	70	79	1
OS01G0602800	OB01G31370	96	96	1
OS01G0603000	OB01G31390	89	91	1
OS01G0603300	OB01G31400	88	84	1
OS01G0603500	OB10G15350	33	35	0
OS01G0603800	OB10G15340	22	38	0
OS01G0604150	OB10G15340	27	38	0
OS01G0604500	OB01G31440	42	95	0
OS01G0604700	OB01G31450	94	93	1
OS01G0605100	OB01G31460	95	88	1
OS01G0605300	OB01G31510	83	84	1
OS01G0605400	OB01G31520	25	74	1
OS01G0605500	OB01G31530	76	96	1
OS01G0605650	OB01G31540	69	85	1
OS01G0605700	OB01G31550	87	87	1
OS01G0606000	OB01G31550	86	88	1
OS01G0606050	OB01G31600	93	93	0
OS01G0606133	OB01G31610	20	22	0
OS01G0606200	OB01G31620	65	58	1
OS01G0606900	OB01G31630	77	77	1
OS01G0607000	OB01G31640	49	59	1
OS01G0607100	OB01G31650	52	86	1
OS01G0607200	OB01G31680	86	89	0
OS01G0607300	OB01G31690	75	76	1
OS01G0607400	OB01G31700	93	94	1
OS01G0607800	OB01G31720	90	57	1
OS01G0607900	OB01G31740	74	75	1
OS01G0608200	OB09G20800	41	31	1
OS01G0609000	OB01G31760	88	88	1
OS01G0609200	OB01G31760	92	92	1
OS01G0609300	OB01G31780	96	85	1
OS01G0609900	OB01G31820	95	92	1
OS01G0610100	OB01G31840	97	96	1
OS01G0610100	OB05G12920	93	95	1
OS01G0610300	OB01G31850	88	87	1
OS01G0610400	OB01G31860	91	92	1
OS01G0610500	OB01G31870	95	96	1
OS01G0610600	OB01G31880	56	74	1
OS01G0610800	OB01G31890	90	47	1
OS01G0611000	OB01G31900	55	68	1
OS01G0611900	OB01G31940	74	89	1
OS01G0612000	OB01G31960	89	59	1
OS01G0612200	OB01G31980	61	98	1
OS01G0612500	OB01G31990	88	84	1
OS01G0612600	OB01G32010	94	94	1
OS01G0612700	OB01G32020	60	37	1
OS01G0612800	OB01G32030	70	89	1
OS01G0612900	OB01G32040	78	90	1
OS01G0613100	OB01G32050	81	84	1
OS01G0613300	OB01G32060	63	92	1
OS01G0613500	OB01G32080	39	39	1
OS01G0613800	OB01G32090	78	79	1
OS01G0613900	OB01G32100	82	94	1
OS01G0614300	OB01G32110	76	74	1
OS01G0614700	OB01G32130	83	84	1
OS01G0614900	OB01G32150	88	90	1
OS01G0615050	OB05G19080	77	66	1
OS01G0615100	OB05G19070	71	44	1
OS01G0615200	OB01G32160	65	93	1
OS01G0615300	OB01G32180	95	94	0
OS01G0615400	OB01G32170	65	44	1
OS01G0615500	OB01G32190	53	83	1
OS01G0616100	OB01G32200	92	82	1
OS01G0616400	OB01G32230	84	81	1
OS01G0616500	OB01G32240	84	93	1
OS01G0616600	OB01G30640	69	69	1
OS01G0616600	OB01G32260	75	76	1
OS01G0616600	OB01G32290	40	78	1
OS01G0616800	OB01G32250	34	28	1
OS01G0616900	OB01G32300	83	96	1
OS01G0617500	OB01G32310	96	96	1
OS01G0617600	OB09G23630	82	93	1
OS01G0617650	OB12G14680	3	14	1
OS01G0617700	OB01G32320	64	77	1
OS01G0617800	OB01G32330	90	88	1
OS01G0617800	OB02G26670	39	84	1
OS01G0617800	OB04G10150	66	54	1
OS01G0617800	OB07G31120	65	51	1
OS01G0617800	OB08G16060	59	66	1
OS01G0617800	OB12G20500	48	47	1
OS01G0617900	OB01G32340	85	87	1
OS01G0618100	OB01G32370	91	89	1
OS01G0618200	OB06G24730	20	25	1
OS01G0618400	OB01G32390	86	89	1
OS01G0618500	OB01G32400	83	83	1
OS01G0618700	OB01G32420	37	37	1
OS01G0618800	OB01G32430	99	47	1
OS01G0618900	OB01G32440	97	70	1
OS01G0619000	OB01G32450	88	88	1
OS01G0619800	OB01G32470	84	83	1
OS01G0620100	OB01G32490	95	94	1
OS01G0620800	OB01G32510	44	63	1
OS01G0620900	OB12G11590	52	23	1
OS01G0621200	OB01G32520	85	89	1
OS01G0621300	OB01G32530	86	87	1
OS01G0621500	OB01G32540	72	68	1
OS01G0621600	OB01G32550	65	79	1
OS01G0621700	OB01G32560	52	97	1
OS01G0621900	OB01G32580	83	83	1
OS01G0622000	OB01G32590	93	13	1
OS01G0622300	OB01G32600	93	93	1
OS01G0622600	OB01G32610	87	98	1
OS01G0622700	OB01G32620	84	96	1
OS01G0623000	OB01G32630	87	87	1
OS01G0623200	OB01G32640	88	87	1
OS01G0623500	OB01G32650	85	86	1
OS01G0623600	OB01G32660	87	91	1
OS01G0623900	OB01G32670	87	84	1
OS01G0624000	OB01G32680	93	93	1
OS01G0624400	OB01G32690	53	52	1
OS01G0624500	OB01G32700	2	1	0
OS01G0624700	OB01G32710	64	72	1
OS01G0625200	OB01G32720	91	40	1
OS01G0625300	OB01G32770	59	62	0
OS01G0625900	OB01G32800	76	86	1
OS01G0626100	OB01G32830	89	22	1
OS01G0626300	OB01G32840	91	91	1
OS01G0626400	OB01G32850	69	72	1
OS01G0626900	OB01G32860	92	92	1
OS01G0627400	OB01G32870	80	83	1
OS01G0627500	OB01G32880	89	91	1
OS01G0627800	OB01G32890	86	86	1
OS01G0628700	OB01G32910	79	94	1
OS01G0628700	OB01G32920	82	81	1
OS01G0628900	OB01G32930	83	83	1
OS01G0629400	OB01G32940	90	34	1
OS01G0629600	OB01G32960	82	81	1
OS01G0629900	OB01G32970	97	97	1
OS01G0630300	OB01G33010	22	93	1
OS01G0630900	OB06G29130	0	0	0
OS01G0631100	OB01G33020	98	98	1
OS01G0631200	OB01G33030	76	63	1
OS01G0631400	OB01G33040	79	68	1
OS01G0631500	OB01G33060	65	65	1
OS01G0631700	OB01G33070	97	97	1
OS01G0631800	OB01G33080	56	75	1
OS01G0631900	OB01G33090	89	89	1
OS01G0632000	OB01G33110	50	79	1
OS01G0632100	OB01G33100	69	72	1
OS01G0633000	OB01G33120	91	95	1
OS01G0633200	OB01G33130	92	92	1
OS01G0633400	OB01G33160	83	84	1
OS01G0633500	OB01G33170	79	61	1
OS01G0634500	OB11G28220	59	55	0
OS01G0634600	OB01G33210	71	94	1
OS01G0634900	OB01G33220	65	85	1
OS01G0635400	OB01G33250	98	97	1
OS01G0635600	OB01G33270	38	23	1
OS01G0636400	OB01G33300	92	94	1
OS01G0636500	OB01G33310	95	95	1
OS01G0636600	OB01G33320	66	69	1
OS01G0636700	OB04G37860	1	1	0
OS01G0636700	OB04G37880	29	13	0
OS01G0637100	OB05G26990	57	5	0
OS01G0637500	OB01G33310	95	60	1
OS01G0637600	OB01G33320	84	88	1
OS01G0637800	OB01G33330	42	54	1
OS01G0638000	OB01G33340	87	87	1
OS01G0638600	OB01G33350	82	81	1
OS01G0638800	OB01G33360	53	44	1
OS01G0639100	OB01G33370	100	100	1
OS01G0639100	OB03G32520	100	99	1
OS01G0639200	OB01G33380	67	92	1
OS01G0639600	OB01G33400	72	72	1
OS01G0639900	OB01G33410	94	96	1
OS01G0640000	OB01G33420	58	69	1
OS01G0640200	OB01G33430	23	67	1
OS01G0640600	OB01G33450	72	80	1
OS01G0640700	OB01G33460	36	75	1
OS01G0640800	OB01G33470	94	94	1
OS01G0641000	OB01G33480	92	82	1
OS01G0641100	OB01G33490	52	77	1
OS01G0641700	OB01G33510	91	91	1
OS01G0641750	OB07G22140	18	45	0
OS01G0641800	OB01G33520	76	50	1
OS01G0642200	OB01G33540	98	98	1
OS01G0642600	OB01G33560	17	81	1
OS01G0642700	OB01G33570	60	27	1
OS01G0642801	OB01G48790	56	31	1
OS01G0642900	OB01G33580	88	86	1
OS01G0643300	OB01G33590	91	92	1
OS01G0643450	OB01G33600	95	95	1
OS01G0643600	OB01G33620	90	88	1
OS01G0643800	OB01G33630	94	94	1
OS01G0644000	OB01G33640	79	79	1
OS01G0644200	OB01G33650	95	95	1
OS01G0644900	OB01G33670	84	85	1
OS01G0645000	OB01G33680	78	89	1
OS01G0645200	OB01G33690	96	96	1
OS01G0645400	OB01G33700	89	94	1
OS01G0645900	OB01G33710	92	92	1
OS01G0646300	OB01G33730	94	93	1
OS01G0647000	OB01G33750	85	78	1
OS01G0647100	OB01G33760	78	97	1
OS01G0647700	OB01G33790	81	95	1
OS01G0648000	OB01G33800	88	92	1
OS01G0648500	OB01G33810	80	60	1
OS01G0648700	OB01G33830	78	81	1
OS01G0648700	OB01G33840	64	38	1
OS01G0649000	OB01G33850	36	89	1
OS01G0649100	OB01G33860	98	98	1
OS01G0649400	OB01G33880	74	58	1
OS01G0649400	OB01G33890	71	68	1
OS01G0649900	OB01G33880	75	61	1
OS01G0649900	OB01G33890	76	76	1
OS01G0650700	OB10G12250	29	59	0
OS01G0650800	OB0057G10030	22	12	1
OS01G0650900	OB01G33910	65	63	1
OS01G0651000	OB01G33920	33	34	1
OS01G0651100	OB01G33930	93	93	1
OS01G0651500	OB01G33960	85	86	1
OS01G0651800	OB01G33970	92	91	1
OS01G0651866	OB01G33980	84	84	1
OS01G0651932	OB01G33990	90	77	1
OS01G0652000	OB01G33990	84	13	1
OS01G0652100	OB01G34000	78	97	1
OS01G0652300	OB01G34020	77	30	1
OS01G0652600	OB01G34030	98	93	1
OS01G0652700	OB01G34040	93	93	1
OS01G0652800	OB01G34050	96	96	1
OS01G0653100	OB01G34060	27	32	1
OS01G0653200	OB01G34070	95	95	1
OS01G0653300	OB01G34080	64	31	1
OS01G0653800	OB07G12230	95	95	1
OS01G0654100	OB01G34110	95	95	1
OS01G0654200	OB01G34120	81	52	1
OS01G0654300	OB01G34130	97	19	1
OS01G0654400	OB01G34140	92	92	1
OS01G0654450	OB01G34150	71	71	1
OS01G0654500	OB01G34160	98	98	0
OS01G0654900	OB01G34210	32	11	0
OS01G0654900	OB01G34230	32	11	0
OS01G0655250	OB01G34250	78	19	0
OS01G0655400	OB01G34260	86	89	1
OS01G0655500	OB01G34270	83	93	1
OS01G0655800	OB01G34290	85	95	1
OS01G0656200	OB01G34300	75	81	1
OS01G0656300	OB01G34320	69	68	1
OS01G0656400	OB0086G10030	61	50	1
OS01G0656600	OB0086G10010	84	49	1
OS01G0656900	OB01G34390	55	69	1
OS01G0657000	OB01G34400	94	93	1
OS01G0657400	OB01G34420	90	88	1
OS01G0658500	OB01G34450	80	43	0
OS01G0658600	OB01G34470	33	34	1
OS01G0658700	OB01G34480	97	97	1
OS01G0658900	OB01G34490	72	68	1
OS01G0659200	OB01G34510	97	97	1
OS01G0659800	OB01G34520	83	89	1
OS01G0659900	OB01G34550	89	91	1
OS01G0660200	OB01G34560	80	80	1
OS01G0660300	OB01G34570	88	71	1
OS01G0660450	OB01G34610	17	18	1
OS01G0660500	OB01G34530	30	48	1
OS01G0660500	OB01G34590	31	48	1
OS01G0660700	OB01G34580	55	79	1
OS01G0660800	OB01G34600	80	82	1
OS01G0660900	OB01G34620	36	80	0
OS01G0661000	OB01G34630	50	76	1
OS01G0661400	OB01G34640	97	97	1
OS01G0661500	OB01G34650	87	89	1
OS01G0662300	OB01G34680	88	14	1
OS01G0662600	OB01G34690	56	95	1
OS01G0662700	OB01G34700	93	92	1
OS01G0662800	OB01G34710	50	94	1
OS01G0663051	OB01G34720	78	78	1
OS01G0663300	OB01G34740	75	75	1
OS01G0663400	OB01G34750	91	92	1
OS01G0663500	OB01G34770	59	84	1
OS01G0663800	OB01G34790	77	86	1
OS01G0664000	OB01G34800	69	89	0
OS01G0664100	OB01G34810	91	89	1
OS01G0664200	OB01G34820	95	95	1
OS01G0664500	OB01G34830	82	73	1
OS01G0665200	OB01G34840	93	96	1
OS01G0665300	OB01G34850	82	75	1
OS01G0665400	OB01G34860	15	69	1
OS01G0665400	OB01G34870	57	97	1
OS01G0665900	OB01G34890	44	59	1
OS01G0666000	OB01G34900	80	75	0
OS01G0666101	OB06G13930	88	71	1
OS01G0666200	OB01G34910	86	86	1
OS01G0666500	OB01G34930	89	56	1
OS01G0666600	OB01G34940	86	83	1
OS01G0666800	OB01G34960	72	95	1
OS01G0667200	OB01G34980	87	88	1
OS01G0667450	OB01G35000	98	14	0
OS01G0667600	OB01G35020	96	96	1
OS01G0667700	OB01G35030	89	89	1
OS01G0667800	OB01G35040	0	0	0
OS01G0668000	OB01G35070	96	96	1
OS01G0668400	OB01G35090	90	89	1
OS01G0668600	OB01G35100	93	93	1
OS01G0668700	OB01G35120	84	84	1
OS01G0668901	OB01G35110	80	86	1
OS01G0669100	OB01G35130	85	87	1
OS01G0670100	OB01G35140	85	86	1
OS01G0670600	OB01G35180	88	87	1
OS01G0670800	OB01G35190	90	78	1
OS01G0672100	OB01G35220	48	65	1
OS01G0672166	OB01G35230	55	91	1
OS01G0672201	OB07G27970	17	4	0
OS01G0672300	OB07G27970	8	3	0
OS01G0672400	OB01G35270	72	80	1
OS01G0672500	OB01G35280	99	30	1
OS01G0672700	OB01G35290	71	94	1
OS01G0672800	OB01G35300	93	78	1
OS01G0673300	OB01G35310	36	70	1
OS01G0673500	OB01G35320	92	93	1
OS01G0673600	OB01G35330	100	100	1
OS01G0673900	OB01G35350	63	11	0
OS01G0674100	OB01G35360	95	95	1
OS01G0674400	OB01G35370	45	89	1
OS01G0674500	OB01G35390	90	82	1
OS01G0674700	OB01G35400	83	81	1
OS01G0674800	OB01G35410	92	53	1
OS01G0675000	OB01G35420	77	79	1
OS01G0675100	OB01G35430	96	96	1
OS01G0675400	OB01G35440	28	64	1
OS01G0675500	OB01G35450	94	94	1
OS01G0675700	OB01G35470	81	80	1
OS01G0675800	OB01G35490	45	66	1
OS01G0676200	OB01G35510	70	83	1
OS01G0676900	OB01G35520	93	74	1
OS01G0677000	OB01G35540	57	79	1
OS01G0677100	OB01G35550	74	61	1
OS01G0677900	OB01G35570	58	48	1
OS01G0678100	OB01G35580	54	65	1
OS01G0678400	OB01G35590	69	41	1
OS01G0678500	OB01G35600	86	86	0
OS01G0678600	OB01G35620	88	91	1
OS01G0678700	OB01G35630	72	81	1
OS01G0678800	OB01G35650	88	88	1
OS01G0679000	OB01G35670	92	92	1
OS01G0679000	OB04G15540	69	87	1
OS01G0679500	OB01G35680	46	25	1
OS01G0679550	OB01G35680	88	69	1
OS01G0679600	OB01G35690	79	89	1
OS01G0679700	OB01G35700	100	100	0
OS01G0679700	OB10G15250	100	100	0
OS01G0679900	OB01G35710	79	78	0
OS01G0680100	OB01G35730	43	96	1
OS01G0680200	OB01G35720	94	92	1
OS01G0680400	OB01G35740	83	94	1
OS01G0680600	OB01G35750	73	74	1
OS01G0680700	OB01G35760	61	64	0
OS01G0680900	OB01G35770	87	88	1
OS01G0681000	OB01G35780	39	92	1
OS01G0681200	OB01G35800	95	95	1
OS01G0681332	OB01G35810	62	68	1
OS01G0681400	OB01G35820	90	91	1
OS01G0681600	OB01G35830	77	68	1
OS01G0682001	OB01G35870	96	24	1
OS01G0682200	OB01G35890	88	31	1
OS01G0682500	OB01G35900	90	91	1
OS01G0683100	OB01G35910	97	97	1
OS01G0683400	OB01G35920	83	92	1
OS01G0683550	OB01G35930	33	25	1
OS01G0683700	OB01G35950	66	65	1
OS01G0684800	OB01G35990	72	71	1
OS01G0684900	OB01G36000	90	92	1
OS01G0685200	OB01G36010	44	48	1
OS01G0685400	OB01G36020	49	36	1
OS01G0685500	OB01G36030	92	9	1
OS01G0685800	OB01G36040	72	95	1
OS01G0685900	OB01G36050	93	93	1
OS01G0686300	OB01G36070	64	84	1
OS01G0686600	OB01G36080	42	18	0
OS01G0686700	OB01G36090	84	45	1
OS01G0686800	OB01G36100	78	88	1
OS01G0687300	OB01G36110	82	83	1
OS01G0687400	OB01G36120	77	77	1
OS01G0687500	OB01G36130	91	92	0
OS01G0687600	OB01G36140	86	88	1
OS01G0687700	OB01G36150	75	76	1
OS01G0687800	OB01G26370	86	88	1
OS01G0687850	OB03G32300	19	57	1
OS01G0688200	OB01G36160	86	95	1
OS01G0688300	OB01G36180	22	47	1
OS01G0688600	OB01G36200	36	82	1
OS01G0688900	OB01G36210	72	59	1
OS01G0689000	OB01G36220	34	61	1
OS01G0689451	OB01G36230	83	95	1
OS01G0689600	OB01G36250	82	80	1
OS01G0689800	OB01G36270	86	91	1
OS01G0689900	OB01G36280	82	82	1
OS01G0689975	OB09G27180	31	18	1
OS01G0690200	OB01G36320	68	66	1
OS01G0690200	OB01G36330	66	74	1
OS01G0690333	OB01G17210	45	25	1
OS01G0690600	OB01G36310	45	51	1
OS01G0690800	OB01G36350	66	66	1
OS01G0690800	OB01G36360	57	50	1
OS01G0690900	OB01G36310	67	31	1
OS01G0691000	OB01G36370	72	85	1
OS01G0691100	OB01G36380	60	76	1
OS01G0691300	OB01G36390	53	89	1
OS01G0691400	OB01G36400	84	89	1
OS01G0691500	OB01G36410	95	68	1
OS01G0691600	OB11G17370	99	75	1
OS01G0691700	OB01G36430	100	100	1
OS01G0692000	OB10G23620	36	31	0
OS01G0692100	OB01G36460	81	80	1
OS01G0692300	OB01G36470	87	87	1
OS01G0692600	OB01G36480	78	89	1
OS01G0693100	OB01G36500	57	49	1
OS01G0693300	OB01G36510	85	85	1
OS01G0693400	OB01G36520	60	61	0
OS01G0693800	OB01G36530	78	99	1
OS01G0693900	OB01G36540	91	90	1
OS01G0694000	OB11G27580	51	33	0
OS01G0694200	OB01G36580	52	82	1
OS01G0694300	OB01G36590	96	11	1
OS01G0694900	OB01G36620	90	89	0
OS01G0695100	OB01G36630	90	17	1
OS01G0695200	OB01G36640	87	63	1
OS01G0695300	OB01G36650	93	80	1
OS01G0695600	OB01G36670	86	68	1
OS01G0695700	OB01G36680	90	88	1
OS01G0695800	OB05G32150	73	28	0
OS01G0695900	OB03G30160	33	34	0
OS01G0695900	OB06G16110	36	37	0
OS01G0696000	OB01G36730	85	61	1
OS01G0696100	OB01G36740	88	88	1
OS01G0697100	OB01G36760	89	85	1
OS01G0698000	OB01G36790	60	61	1
OS01G0698100	OB01G36800	86	85	1
OS01G0698200	OB01G36810	74	68	1
OS01G0698300	OB01G36830	96	96	1
OS01G0698800	OB01G36840	45	56	1
OS01G0698900	OB03G11670	38	68	1
OS01G0699100	OB01G36850	83	78	1
OS01G0699400	OB01G36860	77	61	1
OS01G0699500	OB01G36870	82	81	1
OS01G0699600	OB01G36880	48	49	1
OS01G0699900	OB01G36890	96	96	1
OS01G0700000	OB01G36900	82	84	1
OS01G0700100	OB01G36910	93	93	1
OS01G0700300	OB01G36920	44	46	1
OS01G0700500	OB01G36940	65	65	1
OS01G0701300	OB01G36950	63	15	0
OS01G0701400	OB01G36950	75	55	0
OS01G0701500	OB01G36950	81	77	0
OS01G0701700	OB01G36980	96	96	1
OS01G0701900	OB01G36990	79	89	1
OS01G0702000	OB01G37000	96	96	1
OS01G0702300	OB01G37010	76	75	1
OS01G0702400	OB01G37030	82	87	1
OS01G0702450	OB01G37040	86	92	1
OS01G0702500	OB01G37050	55	42	1
OS01G0702700	OB01G37060	91	91	1
OS01G0702900	OB04G30210	70	17	1
OS01G0703300	OB01G37070	97	96	1
OS01G0703400	OB01G37080	95	95	1
OS01G0703600	OB01G37090	100	100	1
OS01G0704000	OB01G37100	70	48	1
OS01G0704100	OB01G37110	91	75	1
OS01G0704200	OB01G37120	94	95	1
OS01G0704700	OB01G37140	76	33	1
OS01G0705100	OB01G37160	83	83	1
OS01G0705200	OB01G37170	34	60	0
OS01G0705300	OB01G37190	89	90	1
OS01G0705400	OB01G37180	95	95	1
OS01G0705500	OB01G37200	91	91	1
OS01G0705700	OB01G37210	52	52	1
OS01G0706000	OB01G37220	91	89	1
OS01G0706400	OB01G37230	81	74	1
OS01G0706700	OB01G37250	90	90	1
OS01G0706800	OB05G31860	9	20	1
OS01G0706900	OB01G37280	78	82	1
OS01G0707300	OB01G37300	98	98	1
OS01G0707500	OB01G37310	43	44	1
OS01G0708000	OB01G37330	78	83	1
OS01G0708100	OB01G37340	98	98	1
OS01G0708300	OB01G37350	99	84	1
OS01G0708500	OB01G37370	87	87	1
OS01G0708600	OB01G37380	100	100	1
OS01G0708700	OB01G37390	80	80	1
OS01G0708900	OB01G37400	95	95	1
OS01G0709000	OB01G37410	69	86	1
OS01G0709400	OB01G37430	83	84	0
OS01G0709500	OB01G37440	89	75	1
OS01G0710000	OB01G37450	97	95	1
OS01G0710100	OB01G37460	41	63	1
OS01G0710200	OB01G37470	85	68	1
OS01G0710700	OB01G37480	89	91	1
OS01G0711000	OB01G37500	98	98	1
OS01G0711050	OB01G37510	90	91	1
OS01G0711100	OB01G37520	68	26	1
OS01G0711200	OB01G37530	84	84	1
OS01G0711400	OB01G37540	98	33	1
OS01G0711600	OB01G37560	92	92	1
OS01G0711900	OB01G41420	32	20	0
OS01G0712600	OB01G37570	87	85	1
OS01G0712700	OB01G37580	57	90	1
OS01G0712800	OB01G37590	87	87	1
OS01G0713200	OB01G37610	83	82	1
OS01G0713600	OB01G37620	90	91	1
OS01G0713900	OB01G37640	98	15	1
OS01G0714100	OB01G37650	93	33	1
OS01G0714600	OB01G37660	51	50	1
OS01G0714800	OB01G37710	42	84	1
OS01G0714900	OB01G37720	97	71	1
OS01G0715201	OB09G11180	31	49	1
OS01G0715500	OB01G37750	67	46	1
OS01G0715600	OB01G37760	69	79	1
OS01G0715700	OB01G37770	72	64	1
OS01G0715800	OB01G37780	91	91	1
OS01G0715900	OB01G37790	87	87	1
OS01G0716200	OB01G37800	83	82	1
OS01G0716300	OB01G37810	60	62	1
OS01G0716400	OB01G37820	87	86	1
OS01G0716500	OB01G37830	92	93	1
OS01G0716800	OB01G37840	85	92	1
OS01G0717000	OB01G37860	89	91	1
OS01G0717400	OB01G37870	80	80	1
OS01G0717400	OB01G37880	72	71	1
OS01G0717601	OB01G37900	26	64	1
OS01G0717700	OB01G37870	82	83	1
OS01G0717700	OB01G37880	76	74	1
OS01G0718300	OB01G37930	93	94	1
OS01G0718700	OB01G37960	83	50	1
OS01G0718900	OB01G37980	38	76	1
OS01G0719000	OB01G37990	86	86	1
OS01G0719100	OB01G38000	92	92	1
OS01G0719600	OB01G38020	91	89	1
OS01G0719700	OB01G38030	75	22	1
OS01G0719800	OB01G38040	43	46	1
OS01G0719900	OB01G38050	26	91	1
OS01G0720000	OB01G38070	86	83	1
OS01G0720300	OB01G38090	72	100	1
OS01G0720400	OB01G38100	89	87	1
OS01G0720600	OB01G38130	90	90	1
OS01G0720800	OB01G38150	78	72	1
OS01G0721000	OB01G38170	82	73	1
OS01G0721300	OB01G38220	72	72	1
OS01G0721400	OB01G38210	66	65	1
OS01G0722100	OB01G38230	90	89	1
OS01G0722300	OB01G38240	49	49	1
OS01G0722550	OB10G10770	23	20	0
OS01G0722700	OB01G38250	83	57	1
OS01G0722800	OB02G40440	98	98	1
OS01G0723000	OB01G38260	87	80	1
OS01G0723200	OB01G38280	96	55	1
OS01G0723400	OB01G38290	89	82	1
OS01G0723500	OB01G38300	81	82	1
OS01G0723600	OB01G38310	77	98	1
OS01G0723700	OB01G38320	83	83	1
OS01G0723800	OB01G38330	97	97	1
OS01G0724450	OB01G38350	25	70	1
OS01G0724700	OB01G38360	61	69	1
OS01G0725400	OB01G38370	47	63	1
OS01G0725600	OB01G38380	82	95	1
OS01G0725800	OB01G38410	92	72	1
OS01G0725900	OB01G38430	83	81	1
OS01G0726100	OB01G38440	71	71	1
OS01G0726400	OB01G38450	97	97	1
OS01G0726700	OB01G38470	85	73	1
OS01G0727100	OB01G38480	90	84	1
OS01G0727400	OB01G38490	97	97	1
OS01G0727500	OB01G38500	45	55	1
OS01G0727600	OB01G38510	73	77	1
OS01G0727800	OB01G38520	62	52	1
OS01G0727840	OB04G11010	0	0	0
OS01G0727900	OB01G38530	66	88	1
OS01G0728150	OB01G38550	75	16	1
OS01G0728200	OB01G38550	0	0	1
OS01G0728250	OB01G38550	7	1	1
OS01G0728300	OB01G38560	90	89	1
OS01G0728700	OB01G38570	94	94	1
OS01G0729100	OB01G38580	57	95	1
OS01G0729400	OB01G38590	91	90	1
OS01G0729500	OB01G38610	56	86	1
OS01G0729600	OB01G38620	78	83	1
OS01G0729900	OB01G38630	93	93	0
OS01G0730100	OB01G38650	74	75	1
OS01G0730200	OB01G38660	43	34	1
OS01G0730400	OB01G38670	72	65	1
OS01G0730500	OB01G38680	95	95	1
OS01G0730700	OB01G38700	86	88	1
OS01G0730800	OB01G38710	86	86	1
OS01G0730900	OB01G38720	61	31	1
OS01G0731100	OB01G38730	69	78	1
OS01G0731600	OB01G38730	56	78	1
OS01G0731800	OB01G38740	72	69	1
OS01G0732000	OB01G38750	90	64	1
OS01G0732200	OB01G38770	91	93	1
OS01G0732300	OB01G38780	92	93	1
OS01G0732700	OB01G38810	92	77	1
OS01G0733001	OB03G33840	58	14	1
OS01G0733200	OB01G38820	61	65	0
OS01G0733500	OB01G38830	90	60	1
OS01G0733600	OB08G11060	93	93	1
OS01G0734000	OB01G38850	63	61	0
OS01G0734100	OB01G38860	83	94	1
OS01G0734466	OB01G38870	97	69	1
OS01G0734600	OB01G38880	74	73	1
OS01G0734600	OB01G38890	76	75	1
OS01G0734800	OB01G38910	90	90	1
OS01G0735900	OB01G38930	88	88	1
OS01G0736100	OB01G38960	81	61	1
OS01G0736300	OB01G38970	84	85	1
OS01G0736400	OB01G38990	91	91	1
OS01G0736450	OB01G38980	69	75	1
OS01G0736500	OB01G39000	46	77	1
OS01G0736600	OB01G39030	86	88	1
OS01G0736900	OB01G39050	96	96	1
OS01G0737100	OB01G39060	32	30	1
OS01G0737300	OB01G39070	66	49	1
OS01G0737500	OB01G39080	73	49	1
OS01G0737550	OB01G34610	20	22	1
OS01G0737600	OB01G39090	64	72	1
OS01G0737700	OB01G39090	55	70	1
OS01G0737800	OB01G39100	80	93	0
OS01G0737900	OB01G39110	85	82	1
OS01G0738000	OB01G39120	77	79	0
OS01G0738100	OB01G39130	56	46	1
OS01G0738300	OB01G39160	94	95	1
OS01G0738500	OB01G31320	88	68	1
OS01G0738600	OB01G39180	74	80	1
OS01G0739000	OB01G39200	96	96	1
OS01G0739200	OB01G39210	93	93	1
OS01G0739400	OB01G39220	74	85	1
OS01G0739500	OB01G39230	92	90	1
OS01G0739700	OB01G39260	95	95	1
OS01G0740400	OB01G39270	74	78	0
OS01G0740500	OB01G39280	89	89	1
OS01G0740500	OB01G39290	59	93	1
OS01G0740600	OB01G39300	98	11	1
OS01G0740650	OB01G39300	82	49	1
OS01G0741200	OB01G39310	97	80	1
OS01G0741300	OB03G12870	87	19	1
OS01G0741900	OB01G39340	82	81	1
OS01G0742000	OB01G39360	91	38	1
OS01G0742300	OB01G39370	45	99	1
OS01G0742500	OB01G39390	90	96	1
