Gene stable ID	Physcomitrella patens gene stable ID	% identity	Physcomitrella patens % identity	Orthology confidence [0 low, 1 high]
OS01G0742500	PP1S84_294V6	50	48	1
OS01G0743200	PP1S118_31V6	49	48	0
OS01G0743400	PP1S5_195V6	65	63	1
OS01G0743500	PP1S1_539V6	69	61	1
OS01G0743500	PP1S2_734V6	67	66	1
OS01G0743500	PP1S38_43V6	11	52	1
OS01G0743500	PP1S38_44V6	65	65	1
OS01G0743600	PP1S180_66V6	38	35	1
OS01G0743600	PP1S197_121V6	33	28	1
OS01G0743600	PP1S214_41V6	36	28	1
OS01G0743600	PP1S218_132V6	38	30	1
OS01G0743600	PP1S66_76V6	38	33	1
OS01G0743600	PP1S89_116V6	37	33	1
OS01G0744000	PP1S101_161V6	38	28	0
OS01G0744000	PP1S34_101V6	42	29	0
OS01G0744000	PP1S68_75V6	43	30	0
OS01G0744000	PP1S84_53V6	40	28	0
OS01G0744300	PP1S117_214V6	24	64	0
OS01G0744300	PP1S117_225V6	14	52	0
OS01G0744300	PP1S129_227V6	27	38	0
OS01G0744300	PP1S131_16V6	81	62	0
OS01G0744300	PP1S176_7V6	31	20	0
OS01G0744300	PP1S208_44V6	29	42	0
OS01G0744300	PP1S210_32V6	19	64	0
OS01G0744300	PP1S229_69V6	27	43	0
OS01G0744300	PP1S251_2V6	32	34	0
OS01G0744300	PP1S360_49V6	17	38	0
OS01G0744300	PP1S39_28V6	16	65	0
OS01G0744300	PP1S39_38V6	17	56	0
OS01G0744300	PP1S471_4V6	32	43	0
OS01G0744300	PP1S489_24V6	32	45	0
OS01G0744300	PP1S496_15V6	31	56	0
OS01G0744300	PP1S613_17V6	32	50	0
OS01G0744300	PP1S66_174V6	81	63	0
OS01G0744700	PP1S2_210V6	33	26	1
OS01G0744700	PP1S22_82V6	28	23	1
OS01G0744700	PP1S389_8V6	30	24	1
OS01G0745000	PP1S2_210V6	27	23	1
OS01G0745000	PP1S22_82V6	26	24	1
OS01G0745000	PP1S389_8V6	27	24	1
OS01G0745700	PP1S241_14V6	29	23	1
OS01G0745700	PP1S241_7V6	26	21	1
OS01G0745700	PP1S32_226V6	27	22	1
OS01G0745700	PP1S32_243V6	26	21	1
OS01G0746200	PP1S127_73V6	48	47	1
OS01G0746400	PP1S14_419V6	52	51	0
OS01G0746700	PP1S180_63V6	45	44	0
OS01G0746700	PP1S23_181V6	43	44	0
OS01G0746700	PP1S41_160V6	43	46	0
OS01G0746700	PP1S429_16V6	44	45	0
OS01G0746700	PP1S53_47V6	42	45	0
OS01G0747400	PP1S172_82V6	25	35	1
OS01G0747400	PP1S19_317V6	24	35	1
OS01G0747400	PP1S244_9V6	26	33	1
OS01G0747400	PP1S85_87V6	24	36	1
OS01G0747500	PP1S52_50V6	59	61	1
OS01G0747700	PP1S40_68V6	49	45	1
OS01G0748000	PP1S202_11V6	31	54	1
OS01G0748000	PP1S5_205V6	47	46	1
OS01G0748200	PP1S204_97V6	26	30	1
OS01G0748600	PP1S28_206V6	24	40	1
OS01G0748600	PP1S392_39V6	45	45	1
OS01G0748900	PP1S125_1V6	49	38	1
OS01G0748900	PP1S230_38V6	47	36	1
OS01G0749000	PP1S317_73V6	45	47	1
OS01G0749000	PP1S340_19V6	42	45	1
OS01G0749100	PP1S69_64V6	48	50	1
OS01G0749200	PP1S134_168V6	61	60	1
OS01G0749200	PP1S152_173V6	57	55	1
OS01G0749200	PP1S365_36V6	60	59	1
OS01G0749300	PP1S12_41V6	20	21	1
OS01G0749300	PP1S19_153V6	20	21	1
OS01G0749300	PP1S85_27V6	20	21	1
OS01G0749400	PP1S153_142V6	57	59	1
OS01G0749400	PP1S80_88V6	57	58	1
OS01G0749400	PP1S81_200V6	56	60	1
OS01G0749400	PP1S88_178V6	53	62	1
OS01G0749900	PP1S107_133V6	10	46	1
OS01G0749900	PP1S1_802V6	46	37	1
OS01G0749900	PP1S22_92V6	38	51	1
OS01G0750300	PP1S112_75V6	63	57	1
OS01G0750300	PP1S189_92V6	43	71	1
OS01G0750300	PP1S189_96V6	43	71	1
OS01G0750300	PP1S213_4V6	61	63	1
OS01G0750300	PP1S29_241V6	64	58	1
OS01G0750300	PP1S30_48V6	65	59	1
OS01G0750300	PP1S59_308V6	37	68	1
OS01G0750300	PP1S8_137V6	40	50	1
OS01G0750300	PP1S90_244V6	64	58	1
OS01G0750400	PP1S36_68V6	36	16	1
OS01G0750400	PP1S55_88V6	24	11	1
OS01G0750500	PP1S199_23V6	69	69	1
OS01G0750500	PP1S24_116V6	69	69	1
OS01G0750500	PP1S24_231V6	47	59	1
OS01G0750800	PP1S144_19V6	54	49	1
OS01G0750800	PP1S395_22V6	59	57	1
OS01G0751300	PP1S23_39V6	28	36	1
OS01G0751300	PP1S50_164V6	34	39	1
OS01G0751600	PP1S462_23V6	18	15	1
OS01G0752200	PP1S121_122V6	45	45	1
OS01G0752300	PP1S101_218V6	82	82	1
OS01G0752300	PP1S184_111V6	83	83	1
OS01G0752300	PP1S44_13V6	81	81	1
OS01G0752300	PP1S5_178V6	82	82	1
OS01G0752300	PP1S56_243V6	82	82	1
OS01G0752300	PP1S74_193V6	83	81	1
OS01G0752400	PP1S12_7V6	32	27	1
OS01G0752500	PP1S60_148V6	32	14	1
OS01G0752600	PP1S51_278V6	44	44	1
OS01G0752600	PP1S51_297V6	39	41	1
OS01G0752700	PP1S132_176V6	62	63	1
OS01G0752800	PP1S149_45V6	70	71	0
OS01G0752800	PP1S37_121V6	72	73	0
OS01G0753000	PP1S113_68V6	36	40	1
OS01G0753000	PP1S218_56V6	37	41	1
OS01G0753100	PP1S255_54V6	57	58	1
OS01G0753150	PP1S112_31V6	34	42	1
OS01G0753150	PP1S125_13V6	49	52	1
OS01G0753150	PP1S80_125V6	26	45	1
OS01G0754100	PP1S168_44V6	67	68	0
OS01G0754100	PP1S309_26V6	67	69	0
OS01G0754200	PP1S13_432V6	54	54	0
OS01G0754200	PP1S379_24V6	50	55	0
OS01G0754200	PP1S66_72V6	53	52	0
OS01G0754500	PP1S130_44V6	5	18	1
OS01G0754500	PP1S31_52V6	18	19	1
OS01G0755500	PP1S207_110V6	16	12	1
OS01G0755500	PP1S332_35V6	15	12	1
OS01G0755700	PP1S102_105V6	21	15	1
OS01G0755700	PP1S133_51V6	23	15	1
OS01G0755700	PP1S38_53V6	25	16	1
OS01G0755700	PP1S6_257V6	24	15	1
OS01G0756200	PP1S16_138V6	38	19	1
OS01G0756200	PP1S22_364V6	34	17	1
OS01G0756200	PP1S2_72V6	28	14	1
OS01G0756200	PP1S282_2V6	34	17	1
OS01G0756200	PP1S38_310V6	32	15	1
OS01G0756200	PP1S62_67V6	40	23	1
OS01G0756200	PP1S93_157V6	35	18	1
OS01G0757400	PP1S51_233V6	63	53	1
OS01G0757500	PP1S219_73V6	48	47	0
OS01G0757700	PP1S286_16V6	36	20	1
OS01G0757800	PP1S114_188V6	41	35	1
OS01G0757900	PP1S79_94V6	35	17	1
OS01G0758300	PP1S169_156V6	73	70	1
OS01G0758300	PP1S177_55V6	72	70	1
OS01G0758300	PP1S29_311V6	74	71	1
OS01G0758300	PP1S341_58V6	75	72	1
OS01G0758300	PP1S43_131V6	73	70	1
OS01G0758300	PP1S83_144V6	75	72	1
OS01G0758400	PP1S106_169V6	56	51	1
OS01G0759000	PP1S335_25V6	2	1	1
OS01G0759700	PP1S12_277V6	13	39	1
OS01G0759700	PP1S286_6V6	21	33	1
OS01G0760400	PP1S171_85V6	34	29	1
OS01G0760400	PP1S84_268V6	33	28	1
OS01G0760400	PP1S98_221V6	34	28	1
OS01G0760600	PP1S132_95V6	68	70	1
OS01G0760800	PP1S173_90V6	50	8	1
OS01G0760800	PP1S209_10V6	49	8	1
OS01G0760800	PP1S59_146V6	49	8	1
OS01G0760800	PP1S84_236V6	50	8	1
OS01G0760900	PP1S360_34V6	20	13	1
OS01G0760900	PP1S89_249V6	20	14	1
OS01G0761000	PP1S15_328V6	32	26	1
OS01G0761000	PP1S54_32V6	28	23	1
OS01G0761000	PP1S98_136V6	33	28	1
OS01G0761100	PP1S10_254V6	34	34	0
OS01G0761100	PP1S241_54V6	32	31	0
OS01G0761100	PP1S9_436V6	34	35	0
OS01G0761300	PP1S174_72V6	65	36	1
OS01G0761300	PP1S38_60V6	58	31	1
OS01G0762000	PP1S31_387V6	43	48	0
OS01G0762000	PP1S42_235V6	43	47	0
OS01G0762300	PP1S185_3V6	44	44	1
OS01G0762400	PP1S134_69V6	47	45	0
OS01G0762400	PP1S192_75V6	50	48	0
OS01G0763000	PP1S268_2V6	45	46	1
OS01G0763100	PP1S12_189V6	31	30	1
OS01G0763300	PP1S15_404V6	34	33	1
OS01G0763600	PP1S31_10V6	62	57	1
OS01G0763700	PP1S211_154V6	35	28	1
OS01G0763750	PP1S142_86V6	34	30	1
OS01G0763750	PP1S169_51V6	36	32	1
OS01G0763750	PP1S177_127V6	35	31	1
OS01G0763750	PP1S227_61V6	28	25	1
OS01G0763750	PP1S376_59V6	33	28	1
OS01G0763750	PP1S70_34V6	32	28	1
OS01G0764300	PP1S147_77V6	34	30	1
OS01G0764300	PP1S48_160V6	39	29	1
OS01G0764300	PP1S68_36V6	40	29	1
OS01G0764400	PP1S142_106V6	49	31	1
OS01G0764400	PP1S47_23V6	47	47	1
OS01G0764500	PP1S136_9V6	51	12	1
OS01G0764600	PP1S112_188V6	57	54	1
OS01G0764600	PP1S35_95V6	38	52	1
OS01G0764700	PP1S260_21V6	37	39	1
OS01G0764900	PP1S198_96V6	69	69	1
OS01G0765000	PP1S426_43V6	48	37	1
OS01G0765200	PP1S16_181V6	23	5	1
OS01G0765300	PP1S16_181V6	32	10	1
OS01G0766200	PP1S164_107V6	36	41	1
OS01G0766400	PP1S105_86V6	32	30	1
OS01G0766600	PP1S11_78V6	32	22	1
OS01G0766600	PP1S75_40V6	35	23	1
OS01G0766900	PP1S15_115V6	72	18	1
OS01G0766900	PP1S162_130V6	71	18	1
OS01G0766900	PP1S164_5V6	71	18	1
OS01G0766900	PP1S19_258V6	70	17	1
OS01G0766900	PP1S224_44V6	69	17	1
OS01G0766900	PP1S373_28V6	72	18	1
OS01G0766900	PP1S89_286V6	69	17	1
OS01G0767100	PP1S200_74V6	51	51	1
OS01G0767600	PP1S66_63V6	40	37	1
OS01G0767700	PP1S61_315V6	45	47	1
OS01G0767900	PP1S234_59V6	26	27	1
OS01G0767900	PP1S518_6V6	29	31	1
OS01G0768200	PP1S1_848V6	37	38	0
OS01G0768200	PP1S60_238V6	40	39	0
OS01G0768300	PP1S116_172V6	43	42	1
OS01G0768300	PP1S14_135V6	19	20	1
OS01G0768300	PP1S21_356V6	36	35	1
OS01G0768300	PP1S460_21V6	38	39	1
OS01G0768300	PP1S478_14V6	41	40	1
OS01G0768300	PP1S81_122V6	44	44	1
OS01G0768300	PP1S84_144V6	34	37	1
OS01G0768300	PP1S88_192V6	44	43	1
OS01G0769000	PP1S16_396V6	32	34	0
OS01G0769000	PP1S362_28V6	35	34	0
OS01G0769900	PP1S141_33V6	24	45	1
OS01G0769900	PP1S376_31V6	31	30	1
OS01G0770000	PP1S279_34V6	29	29	1
OS01G0770100	PP1S279_34V6	28	26	1
OS01G0770400	PP1S120_118V6	51	53	1
OS01G0770400	PP1S48_209V6	51	54	1
OS01G0770500	PP1S55_93V6	59	48	1
OS01G0771400	PP1S104_2V6	60	55	1
OS01G0771400	PP1S123_138V6	63	57	1
OS01G0771400	PP1S42_181V6	63	57	1
OS01G0772100	PP1S69_130V6	22	23	1
OS01G0772150	PP1S3_173V6	41	33	1
OS01G0772200	PP1S149_258V6	27	38	1
OS01G0772200	PP1S149_261V6	46	46	1
OS01G0772400	PP1S162_142V6	42	40	1
OS01G0772400	PP1S373_39V6	44	45	1
OS01G0772700	PP1S148_83V6	22	24	0
OS01G0772800	PP1S7_75V6	50	73	1
OS01G0772900	PP1S10_84V6	56	53	1
OS01G0772900	PP1S73_196V6	56	54	1
OS01G0772900	PP1S8_46V6	56	53	1
OS01G0773000	PP1S19_64V6	39	18	1
OS01G0773200	PP1S6_429V6	27	7	1
OS01G0773600	PP1S313_34V6	53	58	1
OS01G0773700	PP1S185_110V6	39	35	0
OS01G0773700	PP1S185_111V6	42	37	0
OS01G0773700	PP1S71_61V6	37	33	0
OS01G0773700	PP1S71_77V6	37	33	0
OS01G0774500	PP1S7_127V6	39	37	1
OS01G0775400	PP1S152_115V6	43	42	1
OS01G0775400	PP1S212_108V6	44	36	1
OS01G0775400	PP1S222_49V6	46	38	1
OS01G0775400	PP1S222_68V6	44	42	1
OS01G0775400	PP1S403_31V6	45	38	1
OS01G0775400	PP1S595_6V6	45	44	1
OS01G0775500	PP1S200_12V6	24	18	1
OS01G0775600	PP1S206_58V6	64	64	1
OS01G0775600	PP1S24_235V6	64	64	1
OS01G0776400	PP1S27_239V6	48	51	1
OS01G0776600	PP1S235_62V6	57	58	1
OS01G0776600	PP1S33_340V6	55	53	1
OS01G0776700	PP1S371_34V6	40	37	1
OS01G0777000	PP1S185_93V6	34	33	1
OS01G0777000	PP1S71_272V6	22	30	1
OS01G0777000	PP1S85_96V6	35	32	1
OS01G0777200	PP1S165_128V6	35	35	1
OS01G0777200	PP1S387_51V6	35	34	1
OS01G0777200	PP1S62_113V6	25	33	1
OS01G0777300	PP1S10_231V6	32	34	1
OS01G0777300	PP1S212_68V6	24	47	1
OS01G0777800	PP1S315_10V6	37	34	0
OS01G0778100	PP1S111_119V6	9	6	1
OS01G0778100	PP1S165_20V6	11	6	1
OS01G0778100	PP1S172_90V6	12	6	1
OS01G0778100	PP1S19_321V6	14	14	1
OS01G0778100	PP1S244_1V6	17	8	1
OS01G0778100	PP1S63_144V6	14	9	1
OS01G0778100	PP1S68_283V6	16	8	1
OS01G0778100	PP1S69_3V6	16	9	1
OS01G0778100	PP1S75_191V6	14	6	1
OS01G0778700	PP1S23_215V6	45	42	1
OS01G0778700	PP1S4_138V6	43	40	1
OS01G0779300	PP1S116_173V6	30	31	1
OS01G0779300	PP1S130_71V6	22	24	1
OS01G0779300	PP1S13_43V6	23	28	1
OS01G0779300	PP1S155_56V6	27	24	1
OS01G0779300	PP1S2_640V6	21	28	1
OS01G0779300	PP1S293_76V6	27	25	1
OS01G0779300	PP1S31_29V6	21	32	1
OS01G0779300	PP1S56_57V6	22	28	1
OS01G0779300	PP1S61_46V6	27	24	1
OS01G0779300	PP1S9_214V6	24	18	1
OS01G0779400	PP1S132_19V6	35	34	0
OS01G0779400	PP1S3_639V6	37	37	0
OS01G0780400	PP1S101_210V6	37	37	0
OS01G0780400	PP1S9_241V6	37	37	0
OS01G0780500	PP1S257_93V6	59	56	0
OS01G0780500	PP1S297_59V6	61	57	0
OS01G0780500	PP1S30_332V6	52	54	0
OS01G0780500	PP1S50_114V6	62	58	0
OS01G0780500	PP1S58_245V6	60	57	0
OS01G0780600	PP1S114_169V6	42	44	1
OS01G0780600	PP1S178_117V6	42	44	1
OS01G0781000	PP1S34_161V6	57	57	1
OS01G0781000	PP1S65_107V6	59	58	1
OS01G0782200	PP1S21_206V6	38	41	0
OS01G0782200	PP1S293_7V6	38	41	0
OS01G0782500	PP1S80_186V6	45	44	1
OS01G0782800	PP1S189_85V6	31	36	1
OS01G0782800	PP1S90_245V6	37	45	1
OS01G0782800	PP1S99_40V6	40	36	1
OS01G0783200	PP1S74_61V6	52	53	1
OS01G0783500	PP1S171_111V6	48	58	1
OS01G0783500	PP1S7_421V6	45	57	1
OS01G0783500	PP1S98_214V6	46	55	1
OS01G0783600	PP1S316_17V6	42	34	1
OS01G0784600	PP1S23_259V6	40	37	1
OS01G0784600	PP1S310_50V6	40	37	1
OS01G0784600	PP1S4_216V6	38	38	1
OS01G0784600	PP1S57_92V6	38	43	1
OS01G0784800	PP1S227_23V6	51	59	0
OS01G0784800	PP1S32_160V6	75	76	0
OS01G0784800	PP1S352_29V6	69	66	0
OS01G0784800	PP1S55_98V6	74	75	0
OS01G0785900	PP1S18_217V6	22	25	1
OS01G0785900	PP1S294_7V6	22	25	1
OS01G0786700	PP1S180_25V6	35	27	1
OS01G0786700	PP1S406_12V6	31	26	1
OS01G0786700	PP1S55_166V6	32	24	1
OS01G0786800	PP1S180_25V6	32	27	1
OS01G0786800	PP1S406_12V6	31	28	1
OS01G0786800	PP1S55_166V6	32	26	1
OS01G0786900	PP1S10_212V6	35	27	0
OS01G0786900	PP1S274_2V6	36	32	0
OS01G0786900	PP1S400_19V6	35	27	0
OS01G0786900	PP1S8_9V6	33	28	0
OS01G0788900	PP1S128_117V6	23	21	1
OS01G0788950	PP1S226_21V6	73	70	1
OS01G0789100	PP1S70_202V6	34	30	1
OS01G0793100	PP1S121_25V6	29	19	1
OS01G0793100	PP1S16_226V6	26	16	1
OS01G0793100	PP1S167_107V6	26	16	1
OS01G0793100	PP1S222_2V6	12	15	1
OS01G0793100	PP1S3_280V6	26	15	1
OS01G0793100	PP1S3_617V6	26	14	1
OS01G0793100	PP1S455_4V6	26	16	1
OS01G0793100	PP1S491_22V6	28	17	1
OS01G0793100	PP1S559_8V6	22	27	1
OS01G0793100	PP1S83_200V6	23	14	1
OS01G0793100	PP1S83_207V6	26	16	1
OS01G0793100	PP1S85_167V6	24	15	1
OS01G0793100	PP1S90_147V6	23	14	1
OS01G0793300	PP1S121_25V6	29	17	1
OS01G0793300	PP1S16_226V6	26	15	1
OS01G0793300	PP1S167_107V6	27	15	1
OS01G0793300	PP1S222_2V6	13	14	1
OS01G0793300	PP1S3_280V6	27	14	1
OS01G0793300	PP1S3_617V6	25	13	1
OS01G0793300	PP1S455_4V6	24	13	1
OS01G0793300	PP1S491_22V6	28	16	1
OS01G0793300	PP1S559_8V6	24	27	1
OS01G0793300	PP1S83_200V6	25	14	1
OS01G0793300	PP1S83_207V6	25	14	1
OS01G0793300	PP1S85_167V6	24	14	1
OS01G0793300	PP1S90_147V6	24	14	1
OS01G0793500	PP1S191_130V6	58	60	1
OS01G0793500	PP1S307_69V6	57	58	1
OS01G0793600	PP1S191_130V6	27	7	1
OS01G0793600	PP1S307_69V6	25	7	1
OS01G0794500	PP1S23_225V6	80	79	1
OS01G0794500	PP1S310_4V6	80	79	1
OS01G0794500	PP1S4_134V6	79	78	1
OS01G0796400	PP1S12_187V6	58	61	1
OS01G0796500	PP1S13_181V6	45	30	1
OS01G0796700	PP1S194_136V6	32	37	1
OS01G0796700	PP1S412_47V6	34	39	1
OS01G0798500	PP1S189_19V6	38	36	1
OS01G0799500	PP1S13_327V6	28	10	1
OS01G0799500	PP1S246_24V6	29	10	1
OS01G0799900	PP1S165_65V6	49	46	1
OS01G0799900	PP1S43_239V6	48	45	1
OS01G0800266	PP1S957_2V6	7	8	0
OS01G0800300	PP1S103_81V6	33	32	1
OS01G0800300	PP1S249_68V6	30	31	1
OS01G0800300	PP1S263_25V6	32	31	1
OS01G0800300	PP1S54_237V6	34	33	1
OS01G0800500	PP1S291_30V6	50	46	1
OS01G0801000	PP1S126_78V6	42	32	1
OS01G0801100	PP1S126_78V6	53	25	1
OS01G0801500	PP1S26_166V6	37	33	1
OS01G0801500	PP1S26_167V6	36	36	1
OS01G0801500	PP1S334_43V6	27	37	1
OS01G0801500	PP1S334_77V6	33	28	1
OS01G0801500	PP1S447_13V6	25	31	1
OS01G0801600	PP1S114_190V6	70	69	1
OS01G0801600	PP1S323_18V6	70	68	1
OS01G0801700	PP1S10_129V6	28	34	1
OS01G0801700	PP1S18_75V6	13	28	1
OS01G0801901	PP1S34_90V6	43	33	1
OS01G0801901	PP1S68_59V6	16	22	1
OS01G0802100	PP1S149_51V6	57	54	1
OS01G0802600	PP1S227_70V6	38	41	1
OS01G0802700	PP1S79_126V6	28	30	1
OS01G0802850	PP1S134_177V6	64	66	1
OS01G0802850	PP1S152_153V6	65	66	1
OS01G0802850	PP1S49_283V6	66	66	1
OS01G0803200	PP1S142_12V6	29	28	1
OS01G0803900	PP1S309_48V6	40	38	0
OS01G0803900	PP1S59_224V6	40	37	0
OS01G0804400	PP1S309_48V6	42	39	0
OS01G0804400	PP1S59_224V6	41	37	0
OS01G0804900	PP1S66_14V6	27	27	1
OS01G0805000	PP1S27_326V6	29	37	1
OS01G0805000	PP1S33_304V6	34	42	1
OS01G0805100	PP1S43_209V6	33	20	1
OS01G0805200	PP1S23_131V6	46	32	0
OS01G0805300	PP1S190_104V6	55	51	1
OS01G0805700	PP1S14_47V6	41	37	1
OS01G0805700	PP1S225_33V6	39	41	1
OS01G0805700	PP1S242_68V6	42	39	1
OS01G0805700	PP1S50_200V6	43	32	1
OS01G0805700	PP1S92_105V6	40	43	1
OS01G0805800	PP1S129_54V6	45	38	1
OS01G0805800	PP1S14_252V6	61	62	1
OS01G0805800	PP1S32_290V6	61	62	1
OS01G0805900	PP1S22_396V6	93	93	1
OS01G0806000	PP1S104_220V6	40	37	1
OS01G0806000	PP1S6_214V6	31	26	1
OS01G0806000	PP1S78_54V6	40	36	1
OS01G0806200	PP1S194_4V6	8	9	1
OS01G0806200	PP1S215_10V6	8	9	1
OS01G0806200	PP1S546_4V6	8	10	1
OS01G0807900	PP1S101_168V6	65	60	1
OS01G0808100	PP1S126_196V6	33	36	1
OS01G0808100	PP1S257_96V6	37	40	1
OS01G0808100	PP1S258_7V6	34	36	1
OS01G0808100	PP1S30_324V6	35	38	1
OS01G0808400	PP1S108_25V6	62	56	1
OS01G0808400	PP1S108_32V6	64	57	1
OS01G0808400	PP1S138_79V6	51	53	1
OS01G0808400	PP1S143_92V6	65	54	1
OS01G0808400	PP1S166_57V6	58	54	1
OS01G0808400	PP1S309_91V6	52	55	1
OS01G0808400	PP1S316_13V6	65	61	1
OS01G0808400	PP1S325_31V6	63	61	1
OS01G0808400	PP1S96_216V6	64	60	1
OS01G0809300	PP1S2_225V6	63	62	1
OS01G0809300	PP1S389_18V6	63	60	1
OS01G0809900	PP1S246_32V6	52	43	1
OS01G0810000	PP1S157_4V6	48	42	1
OS01G0810100	PP1S263_30V6	51	50	1
OS01G0811100	PP1S214_35V6	78	78	0
OS01G0811100	PP1S72_57V6	80	80	0
OS01G0811300	PP1S4_33V6	13	27	1
OS01G0811400	PP1S34_108V6	37	27	1
OS01G0812200	PP1S120_118V6	54	50	1
OS01G0812200	PP1S48_209V6	54	50	1
OS01G0812800	PP1S106_167V6	72	72	1
OS01G0812800	PP1S13_391V6	71	70	1
OS01G0812800	PP1S41_251V6	71	70	1
OS01G0812800	PP1S50_55V6	71	71	1
OS01G0812800	PP1S91_111V6	71	70	1
OS01G0812900	PP1S110_16V6	50	47	1
OS01G0812900	PP1S2_275V6	51	47	1
OS01G0812900	PP1S39_315V6	51	47	1
OS01G0812900	PP1S76_57V6	50	47	1
OS01G0813100	PP1S9_249V6	23	26	1
OS01G0813300	PP1S294_22V6	72	18	1
OS01G0813300	PP1S32_65V6	69	17	1
OS01G0813400	PP1S201_39V6	94	94	0
OS01G0813400	PP1S201_41V6	96	96	0
OS01G0813400	PP1S201_42V6	95	95	0
OS01G0813400	PP1S67_221V6	96	96	0
OS01G0813400	PP1S70_130V6	96	96	0
OS01G0813400	PP1S70_131V6	95	95	0
OS01G0813400	PP1S70_133V6	95	95	0
OS01G0813500	PP1S335_30V6	47	48	1
OS01G0813900	PP1S120_129V6	17	22	1
OS01G0813900	PP1S163_88V6	19	23	1
OS01G0813900	PP1S22_222V6	18	22	1
OS01G0813900	PP1S283_9V6	16	26	1
OS01G0813900	PP1S34_427V6	18	22	1
OS01G0814700	PP1S3_371V6	18	37	1
OS01G0814700	PP1S3_373V6	34	24	1
OS01G0814800	PP1S17_59V6	53	52	0
OS01G0814800	PP1S71_187V6	54	53	0
OS01G0814900	PP1S165_105V6	63	63	1
OS01G0814900	PP1S63_214V6	64	64	1
OS01G0815100	PP1S44_229V6	20	36	1
OS01G0815700	PP1S65_73V6	11	18	1
OS01G0815800	PP1S140_99V6	73	74	1
OS01G0815800	PP1S5_366V6	75	75	1
OS01G0815800	PP1S60_271V6	74	75	1
OS01G0815800	PP1S60_272V6	74	75	1
OS01G0815800	PP1S63_123V6	75	76	1
OS01G0815800	PP1S74_148V6	75	75	1
OS01G0816400	PP1S131_18V6	58	58	1
OS01G0816400	PP1S66_170V6	59	59	1
OS01G0816500	PP1S131_18V6	57	7	1
OS01G0816500	PP1S66_170V6	60	7	1
OS01G0816600	PP1S254_1V6	16	31	1
OS01G0817000	PP1S215_30V6	39	32	1
OS01G0817000	PP1S341_69V6	39	33	1
OS01G0817000	PP1S64_217V6	33	25	1
OS01G0817100	PP1S1_848V6	32	31	0
OS01G0817100	PP1S60_238V6	35	32	0
OS01G0817400	PP1S123_30V6	34	40	0
OS01G0817400	PP1S162_22V6	32	39	0
OS01G0817700	PP1S145_164V6	69	69	1
OS01G0817700	PP1S193_45V6	67	65	1
OS01G0817800	PP1S21_398V6	70	69	1
OS01G0817800	PP1S34_176V6	72	70	1
OS01G0817800	PP1S65_88V6	46	60	1
OS01G0818000	PP1S420_20V6	47	47	0
OS01G0818000	PP1S497_6V6	45	47	0
OS01G0818000	PP1S89_51V6	22	39	0
OS01G0818400	PP1S224_106V6	37	30	1
OS01G0818600	PP1S163_16V6	48	27	1
OS01G0818600	PP1S319_23V6	44	24	1
OS01G0818700	PP1S163_16V6	38	18	1
OS01G0818700	PP1S319_23V6	33	15	1
OS01G0819200	PP1S156_68V6	55	32	0
OS01G0819200	PP1S16_213V6	55	31	0
OS01G0819200	PP1S9_391V6	57	32	0
OS01G0819300	PP1S156_68V6	32	7	0
OS01G0819300	PP1S16_213V6	34	7	0
OS01G0819300	PP1S9_391V6	37	8	0
OS01G0819400	PP1S34_302V6	88	94	1
OS01G0819400	PP1S533_11V6	86	92	1
OS01G0819400	PP1S65_161V6	88	94	1
OS01G0819400	PP1S69_142V6	88	94	1
OS01G0819400	PP1S69_31V6	88	94	1
OS01G0819900	PP1S47_172V6	60	61	1
OS01G0820000	PP1S158_96V6	33	20	0
OS01G0820000	PP1S168_84V6	39	24	0
OS01G0820000	PP1S298_4V6	39	25	0
OS01G0820000	PP1S315_29V6	34	21	0
OS01G0820000	PP1S4_320V6	29	23	0
OS01G0820000	PP1S56_124V6	5	8	0
OS01G0820000	PP1S56_125V6	23	23	0
OS01G0821700	PP1S185_81V6	26	25	1
OS01G0821700	PP1S20_332V6	21	20	1
OS01G0821700	PP1S85_94V6	24	23	1
OS01G0821800	PP1S66_190V6	32	36	1
OS01G0821900	PP1S118_105V6	46	36	1
OS01G0821900	PP1S143_9V6	44	35	1
OS01G0822200	PP1S225_90V6	27	24	1
OS01G0822200	PP1S286_11V6	24	22	1
OS01G0822200	PP1S29_249V6	27	23	1
OS01G0822200	PP1S99_65V6	26	23	1
OS01G0823100	PP1S191_27V6	55	55	1
OS01G0823100	PP1S191_34V6	51	50	1
OS01G0823100	PP1S191_40V6	53	53	1
OS01G0823100	PP1S223_38V6	54	52	1
OS01G0823100	PP1S246_53V6	51	50	1
OS01G0823100	PP1S251_70V6	53	54	1
OS01G0823100	PP1S266_66V6	51	50	1
OS01G0823100	PP1S33_251V6	55	55	1
OS01G0823100	PP1S33_258V6	55	54	1
OS01G0823100	PP1S33_259V6	50	48	1
OS01G0823100	PP1S35_15V6	54	53	1
OS01G0823100	PP1S52_107V6	57	54	1
OS01G0823100	PP1S96_137V6	52	51	1
OS01G0823200	PP1S123_22V6	68	34	0
OS01G0823200	PP1S311_78V6	67	34	0
OS01G0823300	PP1S169_19V6	67	75	1
OS01G0823300	PP1S270_77V6	67	71	1
OS01G0823300	PP1S375_10V6	65	69	1
OS01G0823500	PP1S28_44V6	19	11	1
OS01G0823500	PP1S3_254V6	16	8	1
OS01G0823500	PP1S34_338V6	20	10	1
