Gene stable ID	Aegilops tauschii gene stable ID	% identity	Aegilops tauschii % identity	Orthology confidence [0 low, 1 high]
OS03G0325600	F775_22811	34	28	1
OS03G0325900	F775_21638	59	58	1
OS03G0326000	F775_22892	0	0	1
OS03G0326100	F775_22892	57	49	1
OS03G0326200	F775_22892	50	70	1
OS03G0326300	F775_09595	82	79	1
OS03G0326500	F775_32756	79	32	1
OS03G0326600	F775_02694	74	56	1
OS03G0326600	F775_23065	47	60	1
OS03G0327100	F775_29256	57	60	1
OS03G0327600	F775_28997	82	62	1
OS03G0327800	F775_02308	37	63	1
OS03G0328000	F775_05331	98	15	0
OS03G0328100	F775_11025	73	79	1
OS03G0328501	F775_14656	33	29	1
OS03G0328900	F775_11026	38	44	0
OS03G0328900	F775_16098	20	33	0
OS03G0329200	F775_11026	38	44	0
OS03G0329200	F775_16098	21	34	0
OS03G0329500	F775_29586	80	82	1
OS03G0329700	F775_14681	86	89	1
OS03G0329900	F775_09615	65	48	1
OS03G0330000	F775_32125	75	73	1
OS03G0330200	F775_52117	88	68	1
OS03G0330300	F775_09526	62	64	0
OS03G0331600	F775_28954	48	38	1
OS03G0331700	F775_28953	84	84	1
OS03G0331900	F775_13073	32	55	0
OS03G0332100	F775_09596	82	80	1
OS03G0332500	F775_26094	77	84	1
OS03G0332533	F775_10715	61	72	1
OS03G0332900	F775_16677	84	84	1
OS03G0333000	F775_07890	64	57	1
OS03G0333100	F775_03592	79	73	1
OS03G0333200	F775_10919	77	82	1
OS03G0333200	F775_18322	80	80	1
OS03G0333800	F775_10054	16	47	0
OS03G0334100	F775_06417	55	41	1
OS03G0334200	F775_13329	41	39	1
OS03G0334300	F775_04487	29	53	1
OS03G0334700	F775_06341	84	46	1
OS03G0334800	F775_52405	89	84	1
OS03G0335100	F775_43020	27	21	0
OS03G0335200	F775_07376	27	28	1
OS03G0335300	F775_00506	26	43	0
OS03G0335300	F775_09587	83	87	0
OS03G0335500	F775_05509	89	88	1
OS03G0336000	F775_08031	74	75	1
OS03G0336100	F775_29889	60	41	1
OS03G0336200	F775_32183	54	84	1
OS03G0336300	F775_06024	79	59	1
OS03G0336500	F775_29994	61	74	1
OS03G0336600	F775_29995	77	70	1
OS03G0336700	F775_52054	45	40	1
OS03G0337500	F775_06537	36	82	1
OS03G0337700	F775_31236	82	89	1
OS03G0337800	F775_28093	94	81	0
OS03G0337800	F775_28226	95	88	0
OS03G0337800	F775_28556	95	87	0
OS03G0337900	F775_30744	94	95	1
OS03G0338400	F775_19411	58	75	1
OS03G0338600	F775_04013	66	80	1
OS03G0339100	F775_29747	88	81	0
OS03G0339400	F775_43545	23	29	0
OS03G0339900	F775_30569	77	79	1
OS03G0340100	F775_02284	45	56	1
OS03G0340500	F775_08595	38	78	0
OS03G0340500	F775_08596	49	79	0
OS03G0340700	F775_27260	74	76	1
OS03G0340900	F775_05190	74	85	1
OS03G0341200	F775_04929	67	8	0
OS03G0341300	F775_32289	47	40	1
OS03G0341600	F775_01328	43	55	1
OS03G0341600	F775_02129	28	44	1
OS03G0341600	F775_03828	25	53	1
OS03G0341600	F775_03829	53	54	1
OS03G0341600	F775_20921	56	60	1
OS03G0342100	F775_01328	47	57	1
OS03G0342100	F775_02129	32	47	1
OS03G0342100	F775_03828	28	56	1
OS03G0342100	F775_03829	61	58	1
OS03G0342100	F775_20921	63	63	1
OS03G0342900	F775_05685	60	58	1
OS03G0343300	F775_15817	65	58	1
OS03G0343400	F775_29197	57	71	1
OS03G0343500	F775_29198	91	91	1
OS03G0343700	F775_30788	79	78	1
OS03G0343900	F775_26231	47	61	1
OS03G0344100	F775_26232	55	59	1
OS03G0344300	F775_04095	51	42	1
OS03G0344700	F775_27772	77	67	1
OS03G0344900	F775_31490	50	62	1
OS03G0345100	F775_01799	61	75	1
OS03G0345200	F775_26744	83	55	0
OS03G0345200	F775_27682	91	91	0
OS03G0345300	F775_16062	67	67	1
OS03G0345300	F775_27681	27	38	1
OS03G0345700	F775_12095	37	32	1
OS03G0345700	F775_29404	52	38	1
OS03G0346200	F775_27105	67	58	1
OS03G0346700	F775_27911	67	79	1
OS03G0346800	F775_29236	54	58	0
OS03G0346900	F775_08710	48	34	1
OS03G0347200	F775_31421	82	68	1
OS03G0347500	F775_14889	57	72	1
OS03G0347700	F775_13932	54	75	1
OS03G0347800	F775_04992	64	47	1
OS03G0347800	F775_07445	47	37	1
OS03G0347900	F775_15312	56	54	1
OS03G0347900	F775_20467	56	52	1
OS03G0347900	F775_21391	51	58	1
OS03G0348200	F775_01488	41	57	0
OS03G0348200	F775_19061	57	55	0
OS03G0348500	F775_52580	37	15	1
OS03G0348800	F775_13632	61	27	1
OS03G0348900	F775_02309	55	72	1
OS03G0349000	F775_30781	91	91	1
OS03G0351100	F775_21446	42	29	1
OS03G0351200	F775_24683	40	68	0
OS03G0351400	F775_52580	90	66	1
OS03G0351800	F775_26827	79	84	1
OS03G0352400	F775_31153	56	70	1
OS03G0352450	F775_13771	1	1	0
OS03G0352800	F775_26121	39	78	1
OS03G0353333	F775_26122	54	48	1
OS03G0353400	F775_23742	30	47	0
OS03G0353500	F775_26561	59	64	1
OS03G0353600	F775_32454	2	2	0
OS03G0353701	F775_32454	78	26	0
OS03G0353900	F775_27134	16	11	1
OS03G0355100	F775_03450	15	25	0
OS03G0355200	F775_06159	71	85	0
OS03G0355200	F775_19450	72	88	0
OS03G0355300	F775_03450	15	25	0
OS03G0355400	F775_06159	71	85	0
OS03G0355400	F775_19450	72	88	0
OS03G0355600	F775_31508	87	95	1
OS03G0355700	F775_04481	73	69	1
OS03G0355800	F775_09656	94	91	1
OS03G0356300	F775_27816	93	76	1
OS03G0356484	F775_05754	86	88	1
OS03G0356526	F775_20493	50	53	0
OS03G0356540	F775_21342	74	21	1
OS03G0356582	F775_15616	35	67	1
OS03G0356700	F775_30025	45	68	0
OS03G0356700	F775_30026	22	53	0
OS03G0356900	F775_14121	58	56	1
OS03G0358800	F775_07031	65	65	1
OS03G0358900	F775_14121	55	53	1
OS03G0359000	F775_08510	40	47	1
OS03G0359100	F775_03301	6	4	0
OS03G0359100	F775_29498	25	5	0
OS03G0359600	F775_52051	82	81	1
OS03G0359700	F775_17761	70	79	1
OS03G0360300	F775_17760	22	47	1
OS03G0360600	F775_14666	61	80	1
OS03G0360700	F775_31860	88	60	1
OS03G0360800	F775_03404	24	47	0
OS03G0361100	F775_03213	48	40	0
OS03G0361100	F775_22181	40	53	0
OS03G0361500	F775_01289	18	30	1
OS03G0361600	F775_03213	49	41	0
OS03G0361600	F775_22181	31	40	0
OS03G0361700	F775_03213	50	50	0
OS03G0361700	F775_22181	36	55	0
OS03G0362032	F775_01289	28	63	1
OS03G0362200	F775_43288	42	73	1
OS03G0362500	F775_03213	51	51	0
OS03G0362500	F775_22181	36	57	0
OS03G0363100	F775_43288	39	66	1
OS03G0363400	F775_31859	64	25	1
OS03G0363500	F775_04314	59	65	1
OS03G0363600	F775_02381	66	75	1
OS03G0363700	F775_04930	56	54	1
OS03G0363900	F775_02696	81	63	1
OS03G0363950	F775_09827	67	44	1
OS03G0364400	F775_05769	52	80	1
OS03G0364400	F775_18214	64	82	1
OS03G0364500	F775_16353	76	36	1
OS03G0365200	F775_32524	8	8	1
OS03G0366350	F775_04366	12	36	1
OS03G0366800	F775_24385	23	68	0
OS03G0367000	F775_22721	79	73	1
OS03G0367101	F775_22006	23	39	0
OS03G0367200	F775_43060	60	54	1
OS03G0367800	F775_03354	56	82	1
OS03G0368000	F775_02043	18	48	1
OS03G0368000	F775_20744	75	75	1
OS03G0368000	F775_25517	26	65	1
OS03G0368000	F775_26027	76	76	1
OS03G0368300	F775_02043	19	50	1
OS03G0368300	F775_20744	76	76	1
OS03G0368300	F775_25517	27	68	1
OS03G0368300	F775_26027	77	77	1
OS03G0368900	F775_11030	55	74	0
OS03G0368900	F775_12000	49	73	0
OS03G0368900	F775_14167	38	66	0
OS03G0368900	F775_15806	75	75	0
OS03G0368900	F775_18441	73	73	0
OS03G0368900	F775_25563	74	74	0
OS03G0369100	F775_21914	53	63	1
OS03G0369100	F775_26494	61	64	1
OS03G0369100	F775_27227	61	64	1
OS03G0369100	F775_27738	61	65	1
OS03G0369100	F775_28408	61	65	1
OS03G0369700	F775_01722	61	82	1
OS03G0370000	F775_29095	89	90	1
OS03G0370250	F775_06570	42	39	1
OS03G0370400	F775_32695	75	77	1
OS03G0370500	F775_13056	69	71	1
OS03G0370500	F775_27812	77	76	1
OS03G0370800	F775_21685	51	57	1
OS03G0370900	F775_08350	49	46	0
OS03G0370900	F775_30286	60	63	0
OS03G0371000	F775_10966	6	3	0
OS03G0371300	F775_21723	39	37	0
OS03G0371350	F775_10966	34	17	0
OS03G0371400	F775_43563	45	17	0
OS03G0371800	F775_18488	44	81	1
OS03G0372600	F775_42402	48	50	1
OS03G0372700	F775_00985	72	32	1
OS03G0372900	F775_01896	35	35	1
OS03G0372900	F775_03135	37	35	1
OS03G0372900	F775_04471	34	34	1
OS03G0372900	F775_04472	21	35	1
OS03G0373300	F775_22540	24	15	1
OS03G0373300	F775_22708	24	15	1
OS03G0374400	F775_27364	66	67	1
OS03G0374400	F775_30707	73	72	1
OS03G0374500	F775_22009	56	47	1
OS03G0374600	F775_15391	25	23	1
OS03G0374900	F775_11383	71	41	1
OS03G0374900	F775_15016	66	34	1
OS03G0375200	F775_12130	32	48	1
OS03G0375300	F775_11383	47	44	1
OS03G0375300	F775_15016	45	38	1
OS03G0375900	F775_02768	68	59	1
OS03G0375900	F775_15650	64	42	1
OS03G0375966	F775_02768	2	3	1
OS03G0375966	F775_15650	22	22	1
OS03G0376100	F775_28651	93	45	0
OS03G0376800	F775_30084	83	79	1
OS03G0376900	F775_05638	37	44	1
OS03G0377300	F775_12316	60	37	1
OS03G0377500	F775_12316	73	58	1
OS03G0378000	F775_13090	38	79	1
OS03G0378200	F775_00441	56	50	1
OS03G0379100	F775_20122	88	88	1
OS03G0379300	F775_05071	62	59	1
OS03G0379700	F775_10378	62	44	1
OS03G0379700	F775_15524	56	30	1
OS03G0379700	F775_42900	68	43	1
OS03G0379801	F775_10378	1	9	1
OS03G0379801	F775_15524	2	10	1
OS03G0379801	F775_42900	2	9	1
OS03G0381100	F775_03068	78	39	1
OS03G0381200	F775_31806	23	88	1
OS03G0381300	F775_31652	68	61	1
OS03G0381500	F775_29101	52	61	1
OS03G0382100	F775_12983	55	72	1
OS03G0382100	F775_16381	58	79	1
OS03G0382100	F775_22063	68	43	1
OS03G0383800	F775_31221	59	57	1
OS03G0383900	F775_43162	62	60	0
OS03G0385100	F775_29026	44	35	0
OS03G0385100	F775_29027	40	46	0
OS03G0385400	F775_29026	42	42	0
OS03G0385400	F775_29027	32	47	0
OS03G0385900	F775_08795	32	40	1
OS03G0385900	F775_26730	32	36	1
OS03G0385900	F775_31386	23	41	1
OS03G0386800	F775_15492	79	70	1
OS03G0387000	F775_01292	81	32	1
OS03G0387900	F775_29981	55	57	1
OS03G0388900	F775_13902	61	67	1
OS03G0388900	F775_31081	65	66	1
OS03G0388900	F775_43750	51	60	1
OS03G0389000	F775_30984	12	24	1
OS03G0389100	F775_30984	39	54	1
OS03G0389501	F775_13900	28	23	1
OS03G0389900	F775_12337	78	68	1
OS03G0390200	F775_44022	40	75	1
OS03G0390600	F775_32107	100	91	0
OS03G0390700	F775_28682	63	69	1
OS03G0391000	F775_28054	70	84	1
OS03G0391100	F775_26676	8	17	0
OS03G0391400	F775_12726	51	42	0
OS03G0392400	F775_09227	72	73	1
OS03G0393300	F775_05418	46	13	0
OS03G0393700	F775_00723	64	69	1
OS03G0393900	F775_17479	54	70	1
OS03G0394900	F775_08414	62	74	1
OS03G0395100	F775_31073	72	82	1
OS03G0395300	F775_08182	63	47	1
OS03G0395600	F775_09017	67	24	1
OS03G0396900	F775_05973	61	55	1
OS03G0397300	F775_00948	59	73	1
OS03G0397400	F775_29683	80	65	1
OS03G0397500	F775_30561	87	88	1
OS03G0397600	F775_12796	46	72	1
OS03G0398250	F775_52436	57	56	1
OS03G0399000	F775_15250	59	64	1
OS03G0399532	F775_17748	77	58	1
OS03G0399532	F775_17749	1	1	1
OS03G0399800	F775_02802	37	40	0
OS03G0399800	F775_16170	40	41	0
OS03G0400200	F775_42539	30	45	0
OS03G0400800	F775_16332	62	70	1
OS03G0400800	F775_25582	72	72	1
OS03G0401100	F775_08012	31	26	1
OS03G0401200	F775_06240	61	61	0
OS03G0401200	F775_11716	66	69	0
OS03G0401300	F775_30978	91	92	0
OS03G0402000	F775_30130	88	88	1
OS03G0402400	F775_27246	69	42	0
OS03G0403100	F775_09692	71	72	1
OS03G0403600	F775_30457	51	41	0
OS03G0404800	F775_15964	67	43	1
OS03G0404800	F775_19465	50	59	1
OS03G0404800	F775_29558	67	44	1
OS03G0405000	F775_26412	22	36	1
OS03G0405100	F775_29412	57	55	1
OS03G0405500	F775_31070	72	71	1
OS03G0405900	F775_31070	74	75	1
OS03G0406900	F775_03351	77	63	1
OS03G0407000	F775_32683	54	31	1
OS03G0407400	F775_43686	15	30	1
OS03G0407900	F775_06319	67	75	1
OS03G0408500	F775_10588	39	48	1
OS03G0408500	F775_14754	36	51	1
OS03G0408500	F775_15449	62	53	1
OS03G0408500	F775_31974	63	71	1
OS03G0409100	F775_10948	48	47	1
OS03G0409100	F775_21008	46	40	1
OS03G0409400	F775_06621	67	76	1
OS03G0409400	F775_06622	60	75	1
OS03G0410700	F775_14986	64	61	1
OS03G0411600	F775_27408	52	65	1
OS03G0411800	F775_00650	40	67	1
OS03G0411800	F775_10010	62	76	1
OS03G0412300	F775_25138	26	63	1
OS03G0412400	F775_03638	33	38	1
OS03G0412800	F775_31279	72	77	1
OS03G0412900	F775_15796	37	38	1
OS03G0413000	F775_07523	54	65	0
OS03G0413400	F775_29551	87	69	1
OS03G0415200	F775_17670	82	68	1
OS03G0415200	F775_17671	72	81	1
OS03G0415600	F775_06920	12	20	0
OS03G0415600	F775_13815	13	21	0
OS03G0415600	F775_13816	13	21	0
OS03G0415600	F775_14510	13	22	0
OS03G0415600	F775_16559	11	19	0
OS03G0415700	F775_06920	17	31	0
OS03G0415700	F775_13815	17	29	0
OS03G0415700	F775_13816	17	29	0
OS03G0415700	F775_14510	18	34	0
OS03G0415700	F775_16559	15	28	0
OS03G0416200	F775_18404	78	82	1
OS03G0416200	F775_22458	26	76	1
OS03G0416200	F775_42272	18	46	1
OS03G0416200	F775_43364	29	53	1
OS03G0416300	F775_09574	78	77	1
OS03G0417900	F775_28852	90	81	1
OS03G0418000	F775_21935	32	70	1
OS03G0418800	F775_20187	50	47	1
OS03G0421000	F775_06362	44	28	1
OS03G0421000	F775_25239	26	36	1
OS03G0421400	F775_26836	2	1	1
OS03G0421700	F775_06568	74	35	0
OS03G0421700	F775_20353	40	22	0
OS03G0421800	F775_14989	65	51	1
OS03G0423200	F775_31956	97	21	1
OS03G0423300	F775_17997	52	75	1
OS03G0423800	F775_08416	79	30	1
OS03G0424200	F775_01712	57	41	1
OS03G0424200	F775_02546	60	50	1
OS03G0424200	F775_05623	49	43	1
OS03G0424500	F775_29218	90	85	0
OS03G0424800	F775_29218	90	85	0
OS03G0425000	F775_03961	62	67	1
OS03G0425200	F775_09054	84	89	1
OS03G0425300	F775_17644	8	8	1
OS03G0425600	F775_29339	84	87	1
OS03G0425800	F775_32528	24	24	0
OS03G0426300	F775_00311	3	1	1
OS03G0426300	F775_23152	4	2	1
OS03G0426900	F775_09597	86	95	1
OS03G0427900	F775_29302	66	85	1
OS03G0428700	F775_17191	68	77	1
OS03G0428800	F775_52612	89	51	1
OS03G0429000	F775_11757	59	57	1
OS03G0429000	F775_32673	63	65	1
OS03G0429800	F775_10214	79	79	1
OS03G0430000	F775_29168	63	37	1
OS03G0430500	F775_12327	45	52	1
OS03G0430500	F775_13380	40	53	1
OS03G0430500	F775_17899	44	42	1
OS03G0430500	F775_20230	42	57	1
OS03G0431200	F775_06415	46	59	0
OS03G0431800	F775_07028	70	49	1
OS03G0432900	F775_10129	58	34	0
OS03G0432900	F775_18684	57	26	0
OS03G0434800	F775_30610	72	62	1
OS03G0435200	F775_14141	68	67	1
OS03G0436400	F775_25898	71	82	1
OS03G0436400	F775_30194	64	70	1
OS03G0437100	F775_12743	66	68	1
OS03G0437600	F775_28904	44	86	1
OS03G0438100	F775_31086	78	78	1
OS03G0439500	F775_01523	38	58	1
OS03G0439500	F775_12601	54	55	1
OS03G0439500	F775_31123	60	63	1
OS03G0439700	F775_32979	73	87	1
OS03G0440200	F775_02671	28	10	0
OS03G0440900	F775_28936	88	88	1
OS03G0441000	F775_01399	29	59	1
OS03G0441000	F775_12204	25	53	1
OS03G0441400	F775_10641	63	79	1
OS03G0441400	F775_16829	62	66	1
OS03G0441400	F775_17737	57	78	1
OS03G0441500	F775_10832	83	78	1
OS03G0441500	F775_11510	54	84	1
OS03G0441500	F775_31897	87	86	1
OS03G0444900	F775_08639	58	48	1
OS03G0448200	F775_09395	49	44	1
OS03G0448600	F775_32007	90	70	1
OS03G0449200	F775_05901	71	79	1
OS03G0452300	F775_30631	17	92	1
OS03G0452300	F775_43742	49	52	1
OS03G0554900	F775_00596	0	0	1
OS03G0554900	F775_02685	62	15	1
OS03G0554950	F775_00596	5	8	1
OS03G0554950	F775_02685	61	6	1
OS03G0563300	F775_27675	73	94	1
OS03G0563600	F775_11119	69	70	1
OS03G0564200	F775_28057	76	67	1
OS03G0564600	F775_19783	59	66	1
OS03G0565200	F775_07976	78	64	1
OS03G0565500	F775_19620	86	80	1
OS03G0565900	F775_52133	27	18	1
OS03G0566600	F775_19588	50	92	1
OS03G0566800	F775_21442	60	88	1
OS03G0566800	F775_24527	23	29	1
OS03G0566800	F775_25912	74	90	1
OS03G0566800	F775_42797	23	62	1
OS03G0567600	F775_31405	80	80	1
OS03G0568400	F775_11430	47	41	1
OS03G0568400	F775_18218	48	27	1
OS03G0568500	F775_43741	45	87	0
OS03G0568600	F775_06070	55	59	1
OS03G0568800	F775_04002	39	76	1
OS03G0568900	F775_27381	82	83	1
OS03G0569000	F775_13582	44	20	1
OS03G0569800	F775_03906	67	81	1
OS03G0569900	F775_05968	42	47	0
OS03G0570100	F775_20373	54	60	0
OS03G0570200	F775_25894	66	15	1
OS03G0570300	F775_14807	80	83	1
OS03G0570300	F775_19677	47	70	1
OS03G0571900	F775_17602	69	79	1
OS03G0571900	F775_52364	75	41	1
OS03G0572300	F775_27697	59	76	1
OS03G0572900	F775_17467	82	82	1
OS03G0572900	F775_17468	68	85	1
OS03G0572900	F775_17470	73	64	1
OS03G0572900	F775_21253	65	81	1
OS03G0573500	F775_01012	59	59	1
OS03G0575200	F775_20249	81	81	1
OS03G0576400	F775_26176	78	17	1
OS03G0576400	F775_31616	76	20	1
OS03G0576600	F775_09956	42	53	1
OS03G0576700	F775_26913	93	86	1
OS03G0576700	F775_30900	92	92	1
OS03G0576900	F775_31700	77	85	1
OS03G0577000	F775_28666	96	96	0
OS03G0577100	F775_09960	59	59	1
OS03G0577100	F775_11974	56	54	1
OS03G0577500	F775_06060	81	82	1
OS03G0578200	F775_43956	64	68	0
OS03G0578900	F775_23034	30	56	1
OS03G0579300	F775_28093	94	80	0
OS03G0579300	F775_28226	95	86	0
OS03G0579300	F775_28556	95	86	0
OS03G0580200	F775_03519	47	26	0
OS03G0580200	F775_21128	67	31	0
OS03G0580800	F775_05764	41	50	1
OS03G0580800	F775_05765	13	44	1
OS03G0581400	F775_05764	44	54	1
OS03G0581400	F775_05765	13	44	1
OS03G0581600	F775_52370	62	45	1
OS03G0581800	F775_32087	47	62	1
OS03G0582000	F775_27667	75	74	1
OS03G0582100	F775_08465	54	72	1
OS03G0582200	F775_06798	77	76	1
OS03G0582800	F775_04084	51	56	1
OS03G0583700	F775_27496	72	49	1
OS03G0583700	F775_29780	82	69	1
OS03G0583800	F775_24733	16	42	0
OS03G0583800	F775_29425	53	81	0
OS03G0583800	F775_29858	58	87	0
OS03G0584400	F775_06489	64	62	1
OS03G0584400	F775_13497	59	43	1
OS03G0584400	F775_26352	70	46	1
OS03G0586500	F775_29164	77	70	1
OS03G0586600	F775_07470	82	57	0
OS03G0586700	F775_21513	60	82	1
OS03G0586700	F775_32692	20	67	1
OS03G0586800	F775_06212	17	45	0
OS03G0586900	F775_18714	86	89	1
OS03G0587000	F775_30466	31	83	1
OS03G0587000	F775_30468	38	75	1
OS03G0587100	F775_04440	70	71	0
OS03G0587200	F775_21205	62	66	1
OS03G0588200	F775_08805	38	48	1
OS03G0588400	F775_16357	37	55	1
OS03G0588600	F775_52274	21	25	1
OS03G0589300	F775_18872	26	22	1
OS03G0589300	F775_25233	15	27	1
OS03G0591300	F775_03460	68	75	1
OS03G0591300	F775_04034	79	79	1
OS03G0591600	F775_14017	60	63	1
OS03G0592500	F775_32316	83	95	1
OS03G0593200	F775_10996	69	87	1
OS03G0593600	F775_11305	67	77	1
OS03G0593600	F775_21919	64	70	1
OS03G0594100	F775_06746	62	63	1
OS03G0594700	F775_22266	43	41	1
OS03G0594700	F775_22801	42	49	1
OS03G0594900	F775_06746	64	66	1
OS03G0595200	F775_04039	51	74	1
OS03G0595300	F775_31427	64	61	1
OS03G0595600	F775_16442	37	38	0
OS03G0595600	F775_17709	23	49	0
OS03G0596700	F775_01290	38	43	1
OS03G0596700	F775_01291	29	40	1
OS03G0596700	F775_03326	34	38	1
OS03G0596900	F775_07603	49	31	1
OS03G0597200	F775_06585	70	80	1
OS03G0598100	F775_05852	79	67	1
OS03G0598200	F775_01391	72	69	1
OS03G0598700	F775_00521	36	23	0
OS03G0598700	F775_08696	49	40	0
OS03G0598800	F775_30257	76	86	1
OS03G0598800	F775_32291	83	67	1
OS03G0598900	F775_32418	59	71	1
OS03G0599800	F775_30141	94	93	0
OS03G0600400	F775_28038	59	20	1
OS03G0600800	F775_10417	29	36	0
OS03G0601100	F775_10417	28	36	0
OS03G0602300	F775_06577	69	77	1
OS03G0602300	F775_20793	84	84	1
OS03G0602300	F775_20794	84	83	1
OS03G0602300	F775_20795	83	85	1
OS03G0602300	F775_22963	80	78	1
OS03G0602600	F775_09742	72	55	1
OS03G0603600	F775_09604	72	69	1
OS03G0603600	F775_30771	71	78	1
OS03G0603800	F775_18079	39	69	1
OS03G0604200	F775_10459	81	83	1
OS03G0604200	F775_18281	43	59	1
OS03G0604600	F775_03630	62	37	1
OS03G0605300	F775_52727	78	83	1
OS03G0606100	F775_19135	74	93	1
OS03G0606200	F775_09785	74	78	1
OS03G0606600	F775_21870	18	13	1
OS03G0607400	F775_21870	0	0	1
OS03G0607500	F775_07629	69	33	1
OS03G0607600	F775_31781	34	56	1
OS03G0608700	F775_01912	22	27	0
OS03G0608700	F775_02307	21	33	0
OS03G0608700	F775_17522	36	22	0
OS03G0608700	F775_17550	34	39	0
OS03G0608700	F775_19546	37	36	0
OS03G0608800	F775_08518	35	50	1
OS03G0609200	F775_05704	60	24	1
OS03G0609200	F775_17213	61	30	1
OS03G0609800	F775_21770	67	58	1
OS03G0610650	F775_08575	70	70	1
OS03G0610650	F775_14740	69	74	1
OS03G0610650	F775_26207	71	70	1
OS03G0610650	F775_31319	71	71	1
OS03G0610650	F775_31803	54	81	1
OS03G0610700	F775_08575	65	36	1
OS03G0610700	F775_14740	57	34	1
OS03G0610700	F775_26207	64	35	1
OS03G0610700	F775_31319	67	37	1
OS03G0610700	F775_31803	74	61	1
OS03G0610800	F775_08575	66	68	1
OS03G0610800	F775_14740	65	71	1
OS03G0610800	F775_26207	67	68	1
OS03G0610800	F775_31319	67	68	1
OS03G0610800	F775_31803	50	76	1
OS03G0610900	F775_31802	92	82	1
OS03G0611200	F775_05845	84	84	1
OS03G0611700	F775_31083	39	24	0
OS03G0612400	F775_33210	17	86	1
OS03G0612600	F775_27698	43	51	1
OS03G0616400	F775_14795	78	49	1
OS03G0616500	F775_02320	75	55	0
OS03G0616500	F775_04404	62	48	0
OS03G0616700	F775_10041	79	47	0
OS03G0617500	F775_31358	56	62	1
OS03G0617900	F775_27627	93	83	1
OS03G0618300	F775_09607	84	85	1
OS03G0619400	F775_29362	94	94	1
OS03G0619400	F775_30175	94	72	1
OS03G0620400	F775_16402	46	22	1
OS03G0620400	F775_21319	37	25	1
OS03G0620500	F775_16402	68	12	1
OS03G0620500	F775_21319	49	12	1
OS03G0620800	F775_43004	33	67	1
OS03G0621600	F775_23237	16	26	1
OS03G0621600	F775_23597	18	26	1
OS03G0621600	F775_23598	16	26	1
OS03G0621650	F775_23237	2	1	1
OS03G0621650	F775_23597	2	1	1
OS03G0621650	F775_23598	2	1	1
OS03G0621900	F775_23237	48	21	1
OS03G0621900	F775_23597	47	17	1
OS03G0621900	F775_23598	48	20	1
OS03G0622100	F775_22542	52	57	1
OS03G0622200	F775_22542	53	57	1
OS03G0622700	F775_18179	36	35	1
OS03G0623100	F775_27446	38	46	1
OS03G0624000	F775_23986	39	21	0
OS03G0624600	F775_05949	53	62	1
OS03G0624800	F775_19414	76	76	1
OS03G0625300	F775_43289	18	66	1
OS03G0625700	F775_08154	67	29	1
OS03G0625800	F775_19368	59	67	1
OS03G0625900	F775_05391	66	68	1
OS03G0625933	F775_19366	55	34	1
OS03G0626100	F775_14877	47	49	1
OS03G0626500	F775_03023	85	81	1
OS03G0626700	F775_03841	55	78	1
OS03G0626700	F775_19002	57	80	1
OS03G0626800	F775_27893	71	86	1
OS03G0627100	F775_23075	71	34	0
OS03G0627300	F775_07823	4	3	1
OS03G0627500	F775_32710	14	37	1
OS03G0628800	F775_10064	63	70	1
OS03G0628900	F775_28596	90	90	1
OS03G0632800	F775_32926	52	50	1
OS03G0633100	F775_21850	0	0	1
OS03G0633400	F775_21850	74	66	1
OS03G0633800	F775_30995	61	64	1
OS03G0633900	F775_03750	63	47	1
OS03G0634000	F775_30996	19	61	0
OS03G0634400	F775_42318	24	77	1
OS03G0635000	F775_08823	43	62	1
OS03G0635800	F775_11075	29	39	0
OS03G0635800	F775_23763	3	7	0
OS03G0636700	F775_43128	26	24	1
OS03G0637600	F775_21578	80	82	0
OS03G0637800	F775_07105	88	84	1
OS03G0637900	F775_21577	77	22	1
OS03G0638200	F775_07419	65	59	1
OS03G0638200	F775_15608	72	74	1
OS03G0638800	F775_29048	87	82	1
OS03G0639233	EPlATAG00000010054	84	38	0
OS03G0639800	F775_06331	84	51	1
OS03G0640100	F775_12493	50	63	1
OS03G0640100	F775_27779	47	91	1
OS03G0640100	F775_28578	82	84	1
OS03G0640400	F775_28579	82	80	1
OS03G0640800	F775_09568	93	92	1
OS03G0641700	F775_32393	75	70	1
OS03G0642900	F775_21034	68	53	1
OS03G0643000	F775_21034	54	19	1
OS03G0643100	F775_22863	51	52	0
OS03G0643250	F775_21034	69	61	1
OS03G0643300	F775_26838	84	84	1
OS03G0644000	F775_31299	68	80	1
OS03G0644200	F775_01730	71	71	1
OS03G0644400	F775_30855	67	70	0
OS03G0645900	F775_05318	51	91	1
OS03G0646100	F775_30427	80	79	1
OS03G0646200	F775_26297	30	71	1
OS03G0646300	F775_11010	37	71	1
OS03G0646900	F775_07103	93	30	1
OS03G0647500	F775_26421	71	67	1
OS03G0647600	F775_07647	64	68	1
OS03G0647800	F775_31788	49	72	1
OS03G0648100	F775_31787	81	83	1
OS03G0648300	F775_15358	59	63	1
OS03G0648400	F775_28892	93	92	1
OS03G0648500	F775_15357	45	48	1
OS03G0648600	F775_02718	34	40	1
OS03G0649000	F775_11088	74	79	1
OS03G0650200	F775_52187	33	42	1
OS03G0650300	F775_52541	34	33	1
OS03G0650400	F775_01555	59	62	1
OS03G0650700	F775_52197	74	75	1
OS03G0650800	F775_12620	28	48	1
OS03G0650900	F775_27307	85	85	1
