Gene stable ID	Hordeum vulgare gene stable ID	% identity	Hordeum vulgare % identity	Orthology confidence [0 low, 1 high]
OS02G0667100	MLOC_61841	43	85	1
OS02G0667300	MLOC_72350	69	70	1
OS02G0667500	MLOC_60168	81	59	1
OS02G0667600	MLOC_74491	71	85	0
OS02G0668000	MLOC_16455	28	59	1
OS02G0668000	MLOC_21779	26	67	1
OS02G0668400	MLOC_76611	66	67	1
OS02G0668500	MLOC_44690	46	52	1
OS02G0669000	MLOC_19178	45	47	0
OS02G0669100	MLOC_14884	52	59	1
OS02G0669500	MLOC_11027	51	45	1
OS02G0669700	MLOC_15145	64	58	1
OS02G0669700	MLOC_6266	66	53	1
OS02G0669900	MLOC_15927	78	44	1
OS02G0670100	MLOC_16961	68	69	1
OS02G0670400	MLOC_57633	57	33	1
OS02G0670500	MLOC_10564	61	71	1
OS02G0670700	MLOC_6653	70	61	1
OS02G0670900	MLOC_14502	73	85	1
OS02G0671200	MLOC_59587	38	67	1
OS02G0671300	MLOC_74557	67	72	1
OS02G0671800	MLOC_1255	10	33	0
OS02G0671800	MLOC_37551	13	17	0
OS02G0671800	MLOC_63257	8	12	0
OS02G0671800	MLOC_78892	7	46	0
OS02G0671800	MLOC_79378	7	17	0
OS02G0672100	MLOC_60958	65	68	1
OS02G0672400	MLOC_78282	30	61	1
OS02G0672600	MLOC_59094	80	81	1
OS02G0672700	MLOC_59093	45	51	1
OS02G0672800	MLOC_37046	68	67	1
OS02G0673100	MLOC_67776	72	76	1
OS02G0673500	MLOC_6447	64	68	1
OS02G0673700	MLOC_60907	50	60	0
OS02G0674700	MLOC_54489	75	89	1
OS02G0674800	MLOC_61420	81	87	1
OS02G0675400	MLOC_11101	84	85	1
OS02G0675700	MLOC_65736	62	93	1
OS02G0676000	MLOC_69398	81	87	1
OS02G0676500	MLOC_20740	23	49	0
OS02G0676800	MLOC_62554	62	61	1
OS02G0677300	MLOC_75886	77	79	1
OS02G0677600	MLOC_70764	73	72	1
OS02G0677700	MLOC_68293	85	78	1
OS02G0678200	MLOC_63586	86	86	1
OS02G0678300	MLOC_39222	82	84	1
OS02G0678400	MLOC_17826	40	93	1
OS02G0678800	MLOC_80060	73	70	1
OS02G0679200	MLOC_14772	83	83	1
OS02G0679500	MLOC_4184	54	75	1
OS02G0679700	MLOC_68389	65	62	1
OS02G0680400	MLOC_38247	88	88	1
OS02G0680500	MLOC_13897	73	44	1
OS02G0680600	MLOC_13895	29	98	1
OS02G0680700	MLOC_68189	84	87	0
OS02G0681100	MLOC_7406	75	61	1
OS02G0681200	MLOC_6731	67	69	1
OS02G0681700	MLOC_44760	83	83	1
OS02G0682200	MLOC_52944	80	76	1
OS02G0682300	MLOC_54368	58	65	1
OS02G0682500	MLOC_54366	85	85	1
OS02G0682600	MLOC_69546	86	84	1
OS02G0682700	MLOC_36715	47	42	1
OS02G0683500	MLOC_66387	58	58	1
OS02G0684000	MLOC_82116	66	67	1
OS02G0684300	MLOC_66128	88	44	1
OS02G0685200	MLOC_12636	18	62	1
OS02G0685600	MLOC_71450	77	77	0
OS02G0685900	MLOC_68114	71	96	1
OS02G0686100	MLOC_72756	27	44	0
OS02G0686100	MLOC_79643	18	40	0
OS02G0686300	MLOC_5648	77	78	1
OS02G0686400	MLOC_25350	26	69	1
OS02G0686400	MLOC_57322	75	89	1
OS02G0686500	MLOC_6341	83	37	0
OS02G0686600	MLOC_6342	38	89	0
OS02G0686800	MLOC_37789	62	59	1
OS02G0687500	MLOC_67120	66	78	1
OS02G0688200	MLOC_22576	35	46	1
OS02G0688500	MLOC_81339	81	81	1
OS02G0688900	MLOC_37503	81	82	1
OS02G0688900	MLOC_60914	74	84	1
OS02G0689000	MLOC_13762	70	70	1
OS02G0689066	MLOC_21938	78	7	1
OS02G0689200	MLOC_37256	83	82	1
OS02G0689500	MLOC_56208	74	74	1
OS02G0689700	MLOC_9281	77	75	1
OS02G0689800	MLOC_76265	31	28	0
OS02G0689900	MLOC_66939	77	77	1
OS02G0690500	MLOC_44509	87	87	1
OS02G0690600	MLOC_71297	84	83	1
OS02G0690700	MLOC_34660	99	99	1
OS02G0690800	MLOC_24548	46	85	1
OS02G0691500	MLOC_67091	55	59	1
OS02G0692000	MLOC_55666	61	61	1
OS02G0692700	MLOC_63157	76	78	1
OS02G0693000	MLOC_78480	81	82	1
OS02G0693200	MLOC_78479	43	79	1
OS02G0693700	MLOC_54963	87	83	1
OS02G0694201	MLOC_14357	50	29	1
OS02G0694700	MLOC_60024	10	8	1
OS02G0694700	MLOC_63051	10	8	1
OS02G0694800	MLOC_71030	62	90	1
OS02G0695200	MLOC_71418	53	49	1
OS02G0695800	MLOC_51613	80	84	0
OS02G0695900	MLOC_51613	0	0	0
OS02G0696500	MLOC_51654	75	83	1
OS02G0696700	MLOC_53868	71	42	1
OS02G0696900	MLOC_53943	39	31	1
OS02G0697200	MLOC_11149	68	66	1
OS02G0697300	MLOC_36659	34	75	1
OS02G0697300	MLOC_58763	88	88	1
OS02G0697400	MLOC_58764	86	86	1
OS02G0697500	MLOC_45051	85	52	1
OS02G0697600	MLOC_7233	40	88	1
OS02G0697700	MLOC_7234	85	63	1
OS02G0697800	MLOC_58998	81	82	1
OS02G0698000	MLOC_58999	93	93	1
OS02G0698100	MLOC_51656	43	47	1
OS02G0698100	MLOC_59001	63	65	1
OS02G0698800	MLOC_64446	60	62	1
OS02G0699300	MLOC_10763	77	34	1
OS02G0699400	MLOC_9789	63	64	1
OS02G0699433	MLOC_7930	55	12	1
OS02G0699466	MLOC_7930	29	6	1
OS02G0699600	MLOC_71541	92	93	0
OS02G0699600	MLOC_7955	93	93	0
OS02G0700000	MLOC_5565	69	70	1
OS02G0700100	MLOC_15791	90	90	1
OS02G0700100	MLOC_4843	92	91	1
OS02G0700300	MLOC_14844	81	83	1
OS02G0700500	MLOC_67285	11	34	1
OS02G0700600	MLOC_34019	85	85	1
OS02G0700700	MLOC_37555	59	58	1
OS02G0701600	MLOC_13082	71	81	1
OS02G0701900	MLOC_74595	86	86	1
OS02G0702000	MLOC_55726	81	81	1
OS02G0702500	MLOC_70531	76	76	1
OS02G0702600	MLOC_62513	69	62	1
OS02G0702800	MLOC_39938	36	86	1
OS02G0703300	MLOC_68102	77	74	1
OS02G0703600	MLOC_4786	83	75	1
OS02G0703900	MLOC_61510	77	77	1
OS02G0704000	MLOC_61512	72	71	1
OS02G0704300	MLOC_10585	88	30	1
OS02G0704500	MLOC_65899	57	58	1
OS02G0704600	MLOC_45955	38	68	1
OS02G0704800	MLOC_32988	87	86	1
OS02G0704900	MLOC_32990	94	93	1
OS02G0704966	MLOC_44046	16	59	1
OS02G0705000	MLOC_19827	32	66	1
OS02G0705100	MLOC_4098	67	78	1
OS02G0705300	MLOC_57271	87	87	1
OS02G0705400	MLOC_57270	84	86	1
OS02G0705500	MLOC_57269	43	44	0
OS02G0705600	MLOC_4668	74	74	1
OS02G0706400	MLOC_21038	60	68	1
OS02G0706500	MLOC_69414	42	74	1
OS02G0706900	MLOC_4071	76	77	1
OS02G0707100	MLOC_70707	78	81	1
OS02G0707200	MLOC_73724	73	75	1
OS02G0708100	MLOC_75322	73	78	0
OS02G0708200	MLOC_55892	87	87	1
OS02G0708300	MLOC_55891	66	44	0
OS02G0708400	MLOC_80555	90	91	1
OS02G0708500	MLOC_37629	26	25	1
OS02G0708600	MLOC_14605	48	26	1
OS02G0709000	MLOC_16329	87	87	1
OS02G0709100	MLOC_16328	38	76	1
OS02G0709200	MLOC_38042	79	92	1
OS02G0709300	MLOC_55080	58	55	1
OS02G0709350	MLOC_18327	43	46	1
OS02G0709400	MLOC_13039	26	80	1
OS02G0709600	MLOC_73931	66	67	1
OS02G0709800	MLOC_62982	58	79	1
OS02G0710102	MLOC_39098	0	0	1
OS02G0710102	MLOC_70120	79	31	1
OS02G0710300	MLOC_34429	23	89	1
OS02G0710500	MLOC_76772	81	82	1
OS02G0710700	MLOC_3285	38	69	1
OS02G0710800	MLOC_36847	0	0	1
OS02G0710800	MLOC_4108	86	88	1
OS02G0710900	MLOC_5639	18	74	1
OS02G0711100	MLOC_52401	81	81	1
OS02G0711200	MLOC_52402	82	41	1
OS02G0711400	MLOC_50984	41	52	0
OS02G0711900	MLOC_76539	25	83	1
OS02G0712000	MLOC_44346	58	86	1
OS02G0712500	MLOC_71040	9	74	0
OS02G0712600	MLOC_70011	52	63	1
OS02G0712700	MLOC_70011	56	69	1
OS02G0713400	MLOC_14409	86	85	1
OS02G0713500	MLOC_16403	53	52	1
OS02G0713500	MLOC_37274	53	53	1
OS02G0713500	MLOC_40056	40	47	1
OS02G0713500	MLOC_62747	51	47	1
OS02G0713700	MLOC_25825	46	88	1
OS02G0713900	MLOC_62109	3	4	1
OS02G0714000	MLOC_44993	46	79	1
OS02G0714100	MLOC_5265	82	84	1
OS02G0714200	MLOC_60124	94	94	0
OS02G0714500	MLOC_4943	81	50	1
OS02G0714600	MLOC_4942	88	69	1
OS02G0714801	MLOC_59587	47	43	1
OS02G0715200	MLOC_19155	36	74	1
OS02G0715300	MLOC_74990	74	74	1
OS02G0715400	MLOC_40983	42	71	1
OS02G0716500	MLOC_60549	88	89	1
OS02G0716500	MLOC_74642	76	77	1
OS02G0716800	MLOC_57296	90	90	1
OS02G0717100	MLOC_20362	89	90	1
OS02G0717200	MLOC_20363	67	67	1
OS02G0717400	MLOC_21728	37	70	1
OS02G0717500	MLOC_58679	66	92	1
OS02G0717600	MLOC_58678	57	70	1
OS02G0717700	MLOC_36567	87	84	1
OS02G0717900	MLOC_3940	91	91	1
OS02G0718000	MLOC_37587	55	90	1
OS02G0718900	MLOC_55848	92	92	1
OS02G0719100	MLOC_73230	90	85	1
OS02G0719700	MLOC_18870	32	74	1
OS02G0719800	MLOC_56958	83	81	1
OS02G0720000	MLOC_53492	34	17	1
OS02G0720100	MLOC_53493	50	49	1
OS02G0720200	MLOC_21551	77	77	1
OS02G0720300	MLOC_12924	46	64	1
OS02G0720400	MLOC_19571	46	52	1
OS02G0720500	MLOC_7194	72	26	1
OS02G0720600	MLOC_62394	61	62	1
OS02G0720700	MLOC_44138	57	85	1
OS02G0721600	MLOC_50055	47	90	0
OS02G0721600	MLOC_68	61	83	0
OS02G0721700	MLOC_18215	24	62	1
OS02G0721800	MLOC_52781	76	83	1
OS02G0722300	MLOC_5936	93	93	1
OS02G0722400	MLOC_55833	73	71	1
OS02G0722400	MLOC_56797	71	69	1
OS02G0722500	MLOC_55832	81	62	1
OS02G0722700	MLOC_64563	60	93	1
OS02G0722800	MLOC_55628	73	81	1
OS02G0723200	MLOC_37070	29	75	1
OS02G0723300	MLOC_59970	58	32	1
OS02G0723300	MLOC_7011	58	32	1
OS02G0723400	MLOC_52044	36	36	1
OS02G0723600	MLOC_54361	75	64	1
OS02G0723700	MLOC_57703	33	68	1
OS02G0724000	MLOC_50966	72	77	1
OS02G0724600	MLOC_54574	63	58	1
OS02G0725100	MLOC_74150	51	73	1
OS02G0725200	MLOC_59293	54	74	1
OS02G0725500	MLOC_73044	33	48	1
OS02G0725600	MLOC_81369	56	46	1
OS02G0725700	MLOC_36682	51	66	1
OS02G0725900	MLOC_75867	34	39	1
OS02G0726000	MLOC_67740	56	55	1
OS02G0726400	MLOC_72914	84	85	1
OS02G0726500	MLOC_9883	85	88	1
OS02G0726600	MLOC_62334	85	64	1
OS02G0726700	MLOC_62335	50	41	1
OS02G0727300	MLOC_73487	72	70	1
OS02G0727500	MLOC_50679	60	81	1
OS02G0728100	MLOC_3113	41	81	1
OS02G0728300	MLOC_11026	52	63	0
OS02G0728500	MLOC_10471	69	57	1
OS02G0728600	MLOC_62912	77	89	1
OS02G0728700	MLOC_62913	68	62	0
OS02G0729100	MLOC_74451	77	76	0
OS02G0729200	MLOC_70012	79	80	1
OS02G0729300	MLOC_14862	9	6	0
OS02G0729300	MLOC_7169	0	0	0
OS02G0729300	MLOC_8600	2	2	0
OS02G0729350	MLOC_64430	47	21	0
OS02G0729400	MLOC_69891	80	69	1
OS02G0729700	MLOC_5668	59	60	1
OS02G0730050	MLOC_78551	30	45	0
OS02G0730100	MLOC_70917	57	17	0
OS02G0730300	MLOC_63991	86	86	1
OS02G0730400	MLOC_5586	70	88	1
OS02G0730500	MLOC_6154	82	80	1
OS02G0730700	MLOC_77289	80	83	1
OS02G0730900	MLOC_13075	78	78	1
OS02G0731400	MLOC_37705	66	71	1
OS02G0731500	MLOC_67451	67	47	1
OS02G0731600	MLOC_45193	81	55	1
OS02G0731700	MLOC_17713	29	48	1
OS02G0731900	MLOC_17499	85	88	1
OS02G0732200	MLOC_56773	50	83	1
OS02G0732400	MLOC_7078	16	9	1
OS02G0732600	MLOC_14021	54	53	0
OS02G0732700	MLOC_13886	27	88	1
OS02G0732700	MLOC_38244	27	89	1
OS02G0732800	MLOC_52344	77	76	1
OS02G0732900	MLOC_71809	61	84	1
OS02G0733300	MLOC_67192	74	91	1
OS02G0733400	MLOC_80424	62	66	1
OS02G0733500	MLOC_78638	53	55	1
OS02G0733800	MLOC_65264	85	85	1
OS02G0734300	MLOC_38384	79	57	1
OS02G0734600	MLOC_55989	36	60	0
OS02G0734800	MLOC_3779	63	65	1
OS02G0734900	MLOC_69012	95	95	1
OS02G0735100	MLOC_69301	50	60	1
OS02G0735200	MLOC_11890	86	94	0
OS02G0735800	MLOC_6223	71	72	1
OS02G0735900	MLOC_6222	88	71	1
OS02G0736100	MLOC_66376	87	87	1
OS02G0736400	MLOC_62551	91	90	1
OS02G0736500	MLOC_10269	80	81	1
OS02G0736600	MLOC_10268	72	72	1
OS02G0736600	MLOC_60452	70	69	1
OS02G0737200	MLOC_73000	63	64	1
OS02G0737300	MLOC_73000	63	64	1
OS02G0738200	MLOC_74646	73	74	1
OS02G0738400	MLOC_10709	81	83	1
OS02G0738600	MLOC_66298	81	84	0
OS02G0738900	MLOC_72208	38	90	1
OS02G0739000	MLOC_56552	88	87	1
OS02G0739400	MLOC_13626	67	91	1
OS02G0739600	MLOC_12984	88	92	1
OS02G0740300	MLOC_4872	71	73	1
OS02G0740400	MLOC_12361	66	68	1
OS02G0740500	MLOC_74673	58	45	1
OS02G0740700	MLOC_15950	72	73	1
OS02G0741100	MLOC_75658	86	87	1
OS02G0741300	MLOC_65251	80	90	1
OS02G0741400	MLOC_54546	60	24	0
OS02G0741400	MLOC_54547	0	0	0
OS02G0741500	MLOC_54546	0	0	0
OS02G0741500	MLOC_54547	59	49	0
OS02G0741700	MLOC_72259	61	57	1
OS02G0741800	MLOC_38373	84	93	0
OS02G0741900	MLOC_57646	55	95	1
OS02G0742000	MLOC_55982	68	69	1
OS02G0742000	MLOC_72762	65	66	1
OS02G0742100	MLOC_55982	64	32	1
OS02G0742100	MLOC_72762	65	32	1
OS02G0742200	MLOC_53849	95	95	1
OS02G0742500	MLOC_60139	0	0	1
OS02G0742500	MLOC_60140	94	26	1
OS02G0742800	MLOC_51380	38	39	1
OS02G0742900	MLOC_51380	0	0	1
OS02G0743400	MLOC_64867	90	91	1
OS02G0743500	MLOC_73298	72	80	1
OS02G0744000	MLOC_73766	68	69	1
OS02G0744100	MLOC_60814	70	66	1
OS02G0744200	MLOC_12083	77	78	1
OS02G0744700	MLOC_15538	49	86	0
OS02G0744900	MLOC_73052	90	90	1
OS02G0745000	MLOC_71753	39	92	1
OS02G0745100	MLOC_67894	77	78	1
OS02G0745250	MLOC_58360	11	8	0
OS02G0745400	MLOC_58089	81	81	1
OS02G0745600	MLOC_33003	26	54	1
OS02G0745700	MLOC_1128	89	89	1
OS02G0746000	MLOC_70556	86	93	1
OS02G0747500	MLOC_76686	83	85	1
OS02G0747600	MLOC_76689	72	66	1
OS02G0747900	MLOC_55094	94	94	1
OS02G0748100	MLOC_10644	77	76	1
OS02G0748300	MLOC_6134	87	88	1
OS02G0748800	MLOC_75441	74	72	1
OS02G0749150	MLOC_13948	18	6	1
OS02G0749300	MLOC_12438	79	51	1
OS02G0749450	MLOC_67262	88	88	1
OS02G0749500	MLOC_12436	10	2	0
OS02G0749700	MLOC_52260	67	68	1
OS02G0749800	MLOC_7591	73	74	1
OS02G0750100	MLOC_74679	78	49	1
OS02G0750400	MLOC_4372	73	36	1
OS02G0750500	MLOC_60869	78	76	1
OS02G0750600	MLOC_80730	92	92	1
OS02G0751100	MLOC_60392	59	76	1
OS02G0751300	MLOC_13975	47	46	1
OS02G0751600	MLOC_74965	73	76	1
OS02G0751800	MLOC_59844	88	88	1
OS02G0752000	MLOC_59842	75	71	1
OS02G0752200	MLOC_62475	81	82	1
OS02G0752300	MLOC_47055	60	55	1
OS02G0752600	MLOC_13154	51	71	1
OS02G0752800	MLOC_8220	44	82	1
OS02G0753000	MLOC_65203	74	74	0
OS02G0753200	MLOC_5162	77	72	1
OS02G0753300	MLOC_5163	62	56	0
OS02G0753400	MLOC_52939	64	66	1
OS02G0753500	MLOC_52938	82	42	1
OS02G0753800	MLOC_51591	88	88	1
OS02G0753900	MLOC_20931	44	19	1
OS02G0754000	MLOC_70155	79	76	1
OS02G0754100	MLOC_32812	52	70	1
OS02G0754300	MLOC_52133	79	80	1
OS02G0754500	MLOC_72341	61	78	1
OS02G0754600	MLOC_34078	19	84	1
OS02G0754700	MLOC_79909	44	89	1
OS02G0754900	MLOC_79009	85	66	1
OS02G0755000	MLOC_4290	78	89	1
OS02G0755200	MLOC_4144	82	89	1
OS02G0755500	MLOC_80533	78	80	1
OS02G0755600	MLOC_51543	43	81	1
OS02G0755900	MLOC_2849	69	71	1
OS02G0755900	MLOC_61801	70	74	1
OS02G0755900	MLOC_74873	33	69	1
OS02G0755900	MLOC_76480	77	81	1
OS02G0756100	MLOC_71047	61	55	1
OS02G0756200	MLOC_21360	75	75	1
OS02G0756600	MLOC_51907	73	73	1
OS02G0756800	MLOC_22181	63	59	1
OS02G0757100	MLOC_56194	65	80	1
OS02G0757400	MLOC_34614	26	18	1
OS02G0757700	MLOC_17308	77	77	1
OS02G0757900	MLOC_4399	45	48	0
OS02G0758000	MLOC_75175	64	65	1
OS02G0758100	MLOC_79944	74	71	1
OS02G0758200	MLOC_4465	50	57	1
OS02G0759400	MLOC_52308	52	56	1
OS02G0759500	MLOC_51667	51	84	1
OS02G0759700	MLOC_66474	81	83	0
OS02G0759800	MLOC_12347	76	88	1
OS02G0759900	MLOC_56423	44	46	1
OS02G0760200	MLOC_79707	83	75	1
OS02G0760300	MLOC_37004	80	80	1
OS02G0760500	MLOC_16379	89	89	1
OS02G0761000	MLOC_47708	46	71	1
OS02G0761100	MLOC_12602	73	80	1
OS02G0761200	MLOC_13800	50	82	0
OS02G0761300	MLOC_50998	23	56	1
OS02G0761400	MLOC_36416	92	10	1
OS02G0761500	MLOC_40648	26	56	1
OS02G0761600	MLOC_76247	70	82	1
OS02G0761700	MLOC_58106	77	81	1
OS02G0761900	MLOC_67439	93	72	1
OS02G0762200	MLOC_80595	69	70	1
OS02G0762300	MLOC_64085	91	92	1
OS02G0762400	MLOC_66646	42	64	1
OS02G0762600	MLOC_12915	71	68	1
OS02G0762800	MLOC_34909	13	83	1
OS02G0763000	MLOC_4232	56	77	1
OS02G0763200	MLOC_34919	69	78	1
OS02G0764100	MLOC_56567	42	30	1
OS02G0764100	MLOC_75135	40	28	1
OS02G0764100	MLOC_7940	43	30	1
OS02G0764200	MLOC_81693	61	68	1
OS02G0764400	MLOC_12844	72	81	1
OS02G0764500	MLOC_12843	84	85	1
OS02G0765400	MLOC_27851	50	83	0
OS02G0765600	MLOC_27851	50	82	0
OS02G0765800	MLOC_18185	37	71	1
OS02G0765900	MLOC_43860	82	43	0
OS02G0766600	MLOC_60775	48	43	1
OS02G0766700	MLOC_53580	68	68	1
OS02G0766900	MLOC_73297	36	36	0
OS02G0767000	MLOC_71631	82	72	1
OS02G0767100	MLOC_81766	87	53	1
OS02G0767200	MLOC_8511	59	68	1
OS02G0767300	MLOC_79641	66	77	1
OS02G0767400	MLOC_68962	74	75	1
OS02G0767500	MLOC_53211	75	92	0
OS02G0767600	MLOC_65520	33	61	1
OS02G0767700	MLOC_65519	76	70	1
OS02G0767800	MLOC_70931	37	46	0
OS02G0767900	MLOC_25271	28	87	1
OS02G0768000	MLOC_15684	40	42	0
OS02G0768200	MLOC_15685	78	81	1
OS02G0768300	MLOC_37297	74	74	0
OS02G0768300	MLOC_38597	72	71	0
OS02G0768300	MLOC_62717	69	69	0
OS02G0768600	MLOC_15501	82	84	1
OS02G0768700	MLOC_16882	36	63	1
OS02G0768750	MLOC_14488	49	58	1
OS02G0768800	MLOC_29864	84	64	1
OS02G0768800	MLOC_31180	84	58	1
OS02G0768800	MLOC_61586	80	56	1
OS02G0769100	MLOC_63201	62	67	1
OS02G0769200	MLOC_16897	11	13	1
OS02G0769900	MLOC_51936	69	86	1
OS02G0770000	MLOC_57621	64	87	1
OS02G0770000	MLOC_65451	74	90	1
OS02G0770100	MLOC_74621	65	79	1
OS02G0770500	MLOC_71463	29	34	1
OS02G0770600	MLOC_54605	73	76	1
OS02G0770700	MLOC_54603	71	55	1
OS02G0770800	MLOC_5716	60	87	1
OS02G0771100	MLOC_77543	36	85	1
OS02G0771200	MLOC_50426	38	50	1
OS02G0771200	MLOC_6565	50	49	1
OS02G0771400	MLOC_36834	68	67	1
OS02G0771600	MLOC_54272	85	83	1
OS02G0771600	MLOC_58642	86	83	1
OS02G0771700	MLOC_65491	82	82	1
OS02G0771800	MLOC_36985	80	78	1
OS02G0772000	MLOC_81023	64	21	1
OS02G0772300	MLOC_66322	65	48	1
OS02G0772500	MLOC_51490	64	76	1
OS02G0773200	MLOC_55976	88	88	1
OS02G0773300	MLOC_55975	88	80	1
OS02G0773400	MLOC_10147	58	82	1
OS02G0773400	MLOC_78135	28	71	1
OS02G0773500	MLOC_34961	24	55	1
OS02G0773600	MLOC_17575	23	35	1
OS02G0773732	MLOC_14665	48	59	1
OS02G0774100	MLOC_30041	36	70	1
OS02G0774200	MLOC_37913	61	69	1
OS02G0774200	MLOC_50971	52	59	1
OS02G0774300	MLOC_50972	90	89	1
OS02G0774500	MLOC_51651	75	82	1
OS02G0775100	MLOC_55775	85	47	1
OS02G0775200	MLOC_17360	76	84	1
OS02G0775300	MLOC_22542	40	59	1
OS02G0775400	MLOC_20250	38	27	1
OS02G0775600	MLOC_63361	19	50	0
OS02G0776400	MLOC_36554	64	68	1
OS02G0776700	MLOC_56874	68	65	1
OS02G0776800	MLOC_19104	67	73	1
OS02G0777100	MLOC_68729	83	82	1
OS02G0777400	MLOC_62219	85	44	1
OS02G0777700	MLOC_20960	3	8	0
OS02G0777800	MLOC_319	43	29	0
OS02G0778200	MLOC_9878	62	85	1
OS02G0778300	MLOC_66336	25	56	0
OS02G0778500	MLOC_37029	84	85	1
OS02G0778600	MLOC_73375	81	82	1
OS02G0779000	MLOC_11141	53	41	0
OS02G0779000	MLOC_54969	44	42	0
OS02G0779000	MLOC_58156	52	43	0
OS02G0779000	MLOC_73166	54	44	0
OS02G0779900	MLOC_11141	55	46	0
OS02G0779900	MLOC_54969	51	53	0
OS02G0779900	MLOC_58156	54	48	0
OS02G0779900	MLOC_73166	56	49	0
OS02G0780200	MLOC_11141	52	49	0
OS02G0780200	MLOC_54969	45	53	0
OS02G0780200	MLOC_58156	52	53	0
OS02G0780200	MLOC_73166	54	55	0
OS02G0780500	MLOC_64484	75	76	1
OS02G0780600	MLOC_56234	53	75	1
OS02G0780700	MLOC_49218	83	83	1
OS02G0780800	MLOC_49217	0	0	0
OS02G0781000	MLOC_1552	87	68	1
OS02G0781400	MLOC_11113	40	83	1
OS02G0781600	MLOC_65565	75	75	1
OS02G0781700	MLOC_8233	49	83	1
OS02G0781800	MLOC_5034	85	51	1
OS02G0781900	MLOC_55504	35	41	1
OS02G0782100	MLOC_13417	81	81	1
OS02G0782200	MLOC_69382	75	76	1
OS02G0782500	MLOC_66906	40	80	1
OS02G0782600	MLOC_73443	73	34	1
OS02G0782700	MLOC_10017	40	45	1
OS02G0782700	MLOC_1697	38	47	1
OS02G0782700	MLOC_3298	23	42	1
OS02G0782700	MLOC_58276	45	44	1
OS02G0782700	MLOC_59004	43	43	1
OS02G0782700	MLOC_69925	42	53	1
OS02G0782700	MLOC_77669	44	51	1
OS02G0782700	MLOC_78827	45	52	1
OS02G0782700	MLOC_80875	32	36	1
OS02G0782700	MLOC_8430	32	37	1
OS02G0782800	MLOC_22596	79	61	0
OS02G0782800	MLOC_4030	1	1	0
OS02G0783000	MLOC_71920	66	69	0
OS02G0783100	MLOC_69286	82	89	1
OS02G0783625	MLOC_44060	81	41	1
OS02G0783700	MLOC_44060	88	21	1
OS02G0784100	MLOC_22596	74	29	0
OS02G0784100	MLOC_4030	1	0	0
OS02G0784700	MLOC_28508	98	53	1
OS02G0784900	MLOC_68031	48	92	1
OS02G0785000	MLOC_5270	75	68	0
OS02G0785800	MLOC_23200	79	59	0
OS02G0785900	MLOC_68157	21	4	1
OS02G0786000	MLOC_18212	40	87	1
OS02G0786200	MLOC_55366	66	47	1
OS02G0786400	MLOC_58499	42	50	1
OS02G0786500	MLOC_78154	27	55	0
OS02G0787000	MLOC_35518	51	50	1
OS02G0787100	MLOC_4124	56	80	1
OS02G0787200	MLOC_4828	51	71	0
OS02G0787300	MLOC_21954	24	77	0
OS02G0787600	MLOC_1266	32	67	1
OS02G0787600	MLOC_72246	35	66	1
OS02G0787800	MLOC_21053	37	90	1
OS02G0788500	MLOC_51023	63	60	1
OS02G0788600	MLOC_37802	57	52	1
OS02G0788800	MLOC_20163	67	40	1
OS02G0789100	MLOC_73543	74	83	1
OS02G0789400	MLOC_51556	84	80	1
OS02G0789600	MLOC_1224	77	85	1
OS02G0790500	MLOC_18725	90	65	1
OS02G0790600	MLOC_64720	53	50	1
OS02G0791200	MLOC_1419	78	84	1
OS02G0791500	MLOC_65544	95	95	1
OS02G0791700	MLOC_11038	40	65	1
OS02G0791800	MLOC_74982	74	74	1
OS02G0792500	MLOC_13245	58	56	1
OS02G0792500	MLOC_20265	38	60	1
OS02G0792500	MLOC_29039	55	56	1
OS02G0792500	MLOC_39305	38	50	1
OS02G0792500	MLOC_55397	55	56	1
OS02G0792500	MLOC_62538	45	45	1
OS02G0792500	MLOC_78412	51	51	1
OS02G0792800	MLOC_19966	34	87	0
OS02G0792900	MLOC_19965	94	94	1
OS02G0793000	MLOC_63607	81	80	1
OS02G0793100	MLOC_53234	68	93	1
OS02G0793200	MLOC_67474	79	81	1
OS02G0793300	MLOC_16684	42	88	0
OS02G0793900	MLOC_57147	80	76	0
OS02G0794000	MLOC_3574	56	58	1
OS02G0794300	MLOC_68681	86	10	1
OS02G0794400	MLOC_68680	78	73	1
OS02G0794500	MLOC_5431	83	76	1
OS02G0794600	MLOC_57382	80	82	1
OS02G0794700	MLOC_65133	16	15	1
OS02G0795200	MLOC_62539	50	46	1
OS02G0795300	MLOC_54598	80	78	1
OS02G0795732	MLOC_13245	48	28	1
OS02G0795732	MLOC_20265	19	18	1
OS02G0795732	MLOC_29039	45	27	1
OS02G0795732	MLOC_39305	44	34	1
OS02G0795732	MLOC_55397	45	28	1
OS02G0795732	MLOC_62538	43	26	1
OS02G0795732	MLOC_78412	44	26	1
OS02G0795800	MLOC_49032	36	59	0
OS02G0795900	MLOC_49031	53	79	1
OS02G0796300	MLOC_10922	91	93	0
OS02G0796400	MLOC_20756	62	77	1
OS02G0796500	MLOC_76165	68	68	1
OS02G0796500	MLOC_82002	12	16	1
OS02G0796600	MLOC_80777	69	77	1
OS02G0796700	MLOC_39981	63	27	1
OS02G0797100	MLOC_6403	66	70	0
OS02G0797400	MLOC_10314	57	82	1
OS02G0797500	MLOC_16420	82	92	1
OS02G0797600	MLOC_1837	32	55	1
