Gene stable ID	Arabidopsis lyrata gene stable ID	% identity	Arabidopsis lyrata % identity	Orthology confidence [0 low, 1 high]
OS01G0693400	fgenesh2_kg.5__327__AT3G25730.1	45	53	0
OS01G0693400	scaffold_101479.1	46	53	0
OS01G0693400	scaffold_102941.1	47	52	0
OS01G0693800	fgenesh1_pm.C_scaffold_2001274	69	70	1
OS01G0693800	fgenesh2_kg.7__1207__AT4G29840.1	70	70	1
OS01G0693900	fgenesh2_kg.1__2016__AT1G18440.1	62	55	1
OS01G0694200	fgenesh1_pg.C_scaffold_3000157	17	22	1
OS01G0694200	fgenesh1_pg.C_scaffold_3000158	27	25	1
OS01G0694300	fgenesh1_pm.C_scaffold_1002260	45	5	1
OS01G0694900	scaffold_500070.1	61	62	1
OS01G0695100	Al_scaffold_0002_2053	61	12	1
OS01G0695100	fgenesh2_kg.1__3950__AT1G48598.1	68	14	1
OS01G0695100	fgenesh2_kg.3__1987__AT3G18000.1	68	14	1
OS01G0695200	fgenesh1_pm.C_scaffold_1001004	45	43	1
OS01G0695200	fgenesh2_kg.2__245__AT1G62305.1	48	48	1
OS01G0695300	fgenesh2_kg.7__2590__AT4G17190.1	67	61	1
OS01G0695300	scaffold_800101.1	67	60	1
OS01G0695600	fgenesh2_kg.5__369__AT3G26115.2	47	35	0
OS01G0695700	fgenesh1_pg.C_scaffold_7002415	30	45	1
OS01G0695700	fgenesh2_kg.7__2498__AT4G18050.1	56	57	1
OS01G0695700	fgenesh2_kg.8__139__AT5G46540.1	53	53	1
OS01G0695900	scaffold_301556.1	39	42	1
OS01G0696000	scaffold_100649.1	30	34	1
OS01G0696800	scaffold_500294.1	32	31	1
OS01G0698100	fgenesh1_pg.C_scaffold_527000001	10	20	1
OS01G0698100	fgenesh2_kg.8__1408__AT5G55100.1	32	33	1
OS01G0698900	fgenesh2_kg.1__3437__AT1G33040.1	26	48	0
OS01G0698900	fgenesh2_kg.5__1296__AT3G49470.1	30	52	0
OS01G0698900	fgenesh2_kg.6__3025__AT4G10480.1	27	50	0
OS01G0699100	fgenesh2_kg.1__456__AT1G05100.1	28	35	0
OS01G0699100	fgenesh2_kg.7__1545__AT4G26890.1	32	31	0
OS01G0699100	fgenesh2_kg.8__1407__AT5G55090.1	30	30	0
OS01G0699100	scaffold_401807.1	30	34	0
OS01G0699400	fgenesh2_kg.1__456__AT1G05100.1	31	38	0
OS01G0699400	fgenesh2_kg.7__1545__AT4G26890.1	32	30	0
OS01G0699400	fgenesh2_kg.8__1407__AT5G55090.1	32	30	0
OS01G0699400	scaffold_401807.1	32	35	0
OS01G0699500	fgenesh2_kg.1__456__AT1G05100.1	27	33	0
OS01G0699500	fgenesh2_kg.7__1545__AT4G26890.1	33	32	0
OS01G0699500	fgenesh2_kg.8__1407__AT5G55090.1	31	29	0
OS01G0699500	scaffold_401807.1	29	33	0
OS01G0699600	fgenesh2_kg.1__456__AT1G05100.1	26	33	0
OS01G0699600	fgenesh2_kg.7__1545__AT4G26890.1	31	30	0
OS01G0699600	fgenesh2_kg.8__1407__AT5G55090.1	28	27	0
OS01G0699600	scaffold_401807.1	28	33	0
OS01G0700100	scaffold_301712.1	52	51	0
OS01G0700200	fgenesh1_pm.C_scaffold_3002062	50	50	1
OS01G0700200	fgenesh2_kg.7__2898__AT4G14370.1	47	26	1
OS01G0700300	fgenesh2_kg.7__420__AT4G36470.1	23	25	1
OS01G0700500	fgenesh1_pg.C_scaffold_7001672	44	36	1
OS01G0700500	fgenesh1_pm.C_scaffold_6002567	47	39	1
OS01G0700500	fgenesh1_pm.C_scaffold_90000001	46	45	1
OS01G0700500	fgenesh2_kg.6__3170__AT4G12310.1	47	39	1
OS01G0700500	fgenesh2_kg.8__341__AT5G44620.1	43	41	1
OS01G0700500	scaffold_603680.1	27	31	1
OS01G0700900	fgenesh2_kg.4__532__AT2G26170.1	57	14	0
OS01G0701300	fgenesh2_kg.4__532__AT2G26170.1	53	13	0
OS01G0701400	fgenesh2_kg.4__532__AT2G26170.1	58	45	0
OS01G0701500	fgenesh2_kg.4__532__AT2G26170.1	59	59	0
OS01G0701700	fgenesh2_kg.7__420__AT4G36470.1	44	45	1
OS01G0701900	Al_scaffold_0004_69	42	48	1
OS01G0701900	scaffold_700116.1	48	52	1
OS01G0702000	fgenesh2_kg.1__2146__AT1G19660.1	45	46	1
OS01G0702000	fgenesh2_kg.2__1814__AT1G75380.2	44	44	1
OS01G0702300	scaffold_303194.1	47	44	1
OS01G0702300	scaffold_802617.1	49	45	1
OS01G0702400	fgenesh2_kg.5__1292__AT3G49400.1	37	37	0
OS01G0702450	Al_scaffold_0734_1	33	58	1
OS01G0702450	fgenesh2_kg.4__76__AT2G21510.1	60	58	1
OS01G0702450	fgenesh2_kg.7__119__AT4G39150.1	54	57	1
OS01G0703300	fgenesh2_kg.7__1583__AT4G26580.1	56	51	1
OS01G0703300	fgenesh2_kg.8__1496__AT5G55970.2	55	49	1
OS01G0703400	fgenesh2_kg.7__2590__AT4G17190.1	69	72	1
OS01G0703400	scaffold_800101.1	70	72	1
OS01G0703600	fgenesh2_kg.2__384__AT1G60780.1	89	89	1
OS01G0703600	scaffold_101153.1	89	89	1
OS01G0704200	fgenesh1_pg.C_scaffold_3003187	46	42	1
OS01G0704300	fgenesh2_kg.1__2555__AT1G23390.1	26	20	1
OS01G0704700	Al_scaffold_0007_512	50	22	1
OS01G0705200	fgenesh2_kg.1__4349__AT1G52690.1	29	37	1
OS01G0705200	fgenesh2_kg.3__1722__AT3G15670.1	34	36	1
OS01G0705300	fgenesh2_kg.6__2427__AT5G24314.1	43	48	1
OS01G0705500	fgenesh2_kg.4__2874__AT2G46540.1	70	57	1
OS01G0705700	fgenesh2_kg.1__101__AT1G01260.1	40	31	1
OS01G0705700	fgenesh2_kg.4__2868__AT2G46510.1	40	32	1
OS01G0706000	fgenesh2_kg.6__3064__AT4G10920.2	49	55	1
OS01G0706400	fgenesh2_kg.3__3201__AT2G19710.1	19	23	1
OS01G0706400	fgenesh2_kg.7__1247__AT4G29440.1	18	19	1
OS01G0706500	fgenesh2_kg.3__3199__AT2G19730.2	69	70	0
OS01G0706500	fgenesh2_kg.7__1250__AT4G29410.1	68	69	0
OS01G0706700	fgenesh2_kg.2__1562__AT1G73020.1	58	58	0
OS01G0706800	Al_scaffold_0002_1996	18	28	1
OS01G0707300	Al_scaffold_0006_2824	14	22	0
OS01G0707300	Al_scaffold_0007_3753	43	46	0
OS01G0707300	fgenesh1_pg.C_scaffold_6002439	12	13	0
OS01G0707300	fgenesh2_kg.1__2693__AT1G26670.1	68	68	0
OS01G0707300	fgenesh2_kg.7__3469__AT5G39510.1	70	70	0
OS01G0707300	scaffold_500904.1	72	72	0
OS01G0707500	fgenesh2_kg.3__2354__AT3G21330.1	22	23	0
OS01G0708000	fgenesh2_kg.2__1540__AT1G72740.1	36	37	1
OS01G0708000	scaffold_101953.1	36	37	1
OS01G0708100	fgenesh1_pm.C_scaffold_4002140	58	60	0
OS01G0708100	fgenesh2_kg.4__2600__AT2G44170.1	41	71	0
OS01G0708100	fgenesh2_kg.8__1609__AT5G57020.1	73	74	0
OS01G0708100	scaffold_403327.1	55	55	0
OS01G0708100	scaffold_403330.1	51	35	0
OS01G0708100	scaffold_403331.1	50	52	0
OS01G0708100	scaffold_403333.1	54	54	0
OS01G0708100	scaffold_403391.1	59	59	0
OS01G0708300	scaffold_601227.1	70	59	1
OS01G0708600	scaffold_802391.1	92	91	1
OS01G0708700	fgenesh2_kg.1__1910__AT1G17480.1	28	33	1
OS01G0708700	fgenesh2_kg.2__1534__AT1G72670.1	34	36	1
OS01G0708700	scaffold_400844.1	37	39	1
OS01G0708900	scaffold_101633.1	63	64	1
OS01G0709000	fgenesh2_kg.3__1496__AT3G13890.1	36	30	1
OS01G0709400	Al_scaffold_0002_1979	13	39	1
OS01G0709400	fgenesh2_kg.2__1553__AT1G72880.1	48	52	1
OS01G0709500	fgenesh2_kg.8__1595__AT5G56890.1	54	36	1
OS01G0710000	fgenesh2_kg.7__1222__AT4G29730.1	71	66	0
OS01G0710000	scaffold_303900.1	77	69	0
OS01G0710100	fgenesh2_kg.52__1__AT5G56980.1	18	18	1
OS01G0710100	fgenesh2_kg.7__1633__AT4G26130.1	16	21	1
OS01G0710100	fgenesh2_kg.8__1603__AT5G56980.1	18	18	1
OS01G0710200	fgenesh2_kg.7__1223__AT4G29720.1	44	42	1
OS01G0710700	fgenesh2_kg.4__2424__AT2G42690.1	43	49	1
OS01G0710700	scaffold_403143.1	39	46	1
OS01G0711000	fgenesh2_kg.7__45__AT4G38510.2	96	95	1
OS01G0711400	fgenesh2_kg.4__525__AT2G26080.1	88	27	0
OS01G0711400	fgenesh2_kg.7__823__AT4G33010.1	88	27	0
OS01G0711500	fgenesh2_kg.7__825__AT4G33000.2	62	69	1
OS01G0711600	fgenesh2_kg.4__524__AT2G26070.1	56	54	1
OS01G0711800	Al_scaffold_0052_3	36	57	0
OS01G0711800	fgenesh1_pg.C_scaffold_8001699	62	49	0
OS01G0711800	fgenesh2_kg.3__3225__AT2G19480.2	67	53	0
OS01G0711800	fgenesh2_kg.7__1636__AT4G26110.1	65	51	0
OS01G0712600	fgenesh2_kg.7__1234__AT4G29590.1	76	59	1
OS01G0712700	fgenesh1_pm.C_scaffold_7000980	34	35	1
OS01G0712700	fgenesh2_kg.3__3216__AT2G19570.1	47	49	1
OS01G0712700	fgenesh2_kg.7__1231__AT4G29650.1	33	41	1
OS01G0712700	fgenesh2_kg.7__1232__AT4G29620.1	42	38	1
OS01G0712700	fgenesh2_kg.7__1233__AT4G29600.1	41	41	1
OS01G0712700	scaffold_68200001.1	35	36	1
OS01G0712700	scaffold_701277.1	42	45	1
OS01G0712700	scaffold_701280.1	37	39	1
OS01G0712800	Al_scaffold_0007_683	39	40	1
OS01G0713600	fgenesh2_kg.5__447__AT3G26790.1	29	27	1
OS01G0713800	fgenesh2_kg.6__813__AT5G08420.1	60	56	1
OS01G0714100	fgenesh2_kg.6__2099__AT5G20610.1	50	17	1
OS01G0714100	fgenesh2_kg.6__2594__AT5G26160.1	27	11	1
OS01G0714800	fgenesh2_kg.8__2513__AT5G64810.1	25	32	1
OS01G0714900	Al_scaffold_0001_2383	75	76	0
OS01G0714900	fgenesh2_kg.4__112__AT2G21880.1	71	70	0
OS01G0714900	fgenesh2_kg.6__2957__AT4G09720.1	76	76	0
OS01G0715500	fgenesh2_kg.3__101__AT3G01280.1	56	42	1
OS01G0715500	fgenesh2_kg.6__1484__AT5G15090.1	52	39	1
OS01G0715600	fgenesh1_pm.C_scaffold_6001187	38	50	1
OS01G0715800	fgenesh2_kg.2__1429__AT1G71780.1	44	48	1
OS01G0716200	Al_scaffold_0001_1485	31	27	1
OS01G0716200	fgenesh1_pg.C_scaffold_1001707	29	29	1
OS01G0716200	fgenesh2_kg.5__177__AT2G02790.1	28	26	1
OS01G0716200	scaffold_202409.1	31	30	1
OS01G0716300	fgenesh1_pm.C_scaffold_2001177	30	28	1
OS01G0716400	fgenesh2_kg.4__108__AT2G21860.1	56	58	1
OS01G0716500	fgenesh2_kg.5__1804__AT3G54150.1	43	37	1
OS01G0716500	fgenesh2_kg.5__2589__AT3G61210.1	40	40	1
OS01G0716500	fgenesh2_kg.6__1050__AT5G10830.1	44	45	1
OS01G0716500	fgenesh2_kg.7__2051__AT4G22530.1	43	46	1
OS01G0716500	scaffold_105332.1	43	37	1
OS01G0716800	fgenesh1_pg.C_scaffold_6002637	43	49	1
OS01G0716800	fgenesh1_pm.C_scaffold_2001172	45	46	1
OS01G0716800	fgenesh2_kg.1__3518__AT1G34120.2	41	47	1
OS01G0717000	scaffold_202374.1	59	62	1
OS01G0717400	fgenesh2_kg.1__3512__AT1G34040.1	43	45	1
OS01G0717400	fgenesh2_kg.1__3515__AT1G34060.1	43	45	1
OS01G0717601	scaffold_701780.1	12	21	1
OS01G0717601	scaffold_703210.1	16	26	1
OS01G0717700	fgenesh2_kg.1__3512__AT1G34040.1	43	45	1
OS01G0717700	fgenesh2_kg.1__3515__AT1G34060.1	42	45	1
OS01G0718000	scaffold_701780.1	29	31	1
OS01G0718000	scaffold_703210.1	36	39	1
OS01G0718300	scaffold_700144.1	56	52	1
OS01G0718700	fgenesh2_kg.7__880__AT4G32650.1	53	30	1
OS01G0718900	scaffold_302996.1	24	23	0
OS01G0719000	fgenesh2_kg.4__482__AT2G25690.1	27	22	1
OS01G0719000	fgenesh2_kg.6__1116__AT5G11460.1	30	23	1
OS01G0719100	fgenesh2_kg.6__2548__AT5G25560.1	63	62	1
OS01G0719300	fgenesh2_kg.5__1539__AT3G51895.1	7	7	0
OS01G0719300	scaffold_603999.1	5	5	0
OS01G0719400	fgenesh2_kg.1__1677__AT1G15280.2	19	13	1
OS01G0719400	fgenesh2_kg.2__2390__AT1G80000.2	18	13	1
OS01G0719600	fgenesh2_kg.3__2655__AT3G24450.1	51	51	1
OS01G0719700	fgenesh2_kg.3__2653__AT3G24430.1	63	19	0
OS01G0720300	fgenesh2_kg.6__1148__AT5G11770.1	76	72	0
OS01G0720500	fgenesh2_kg.1__3157__AT1G29910.1	86	87	0
OS01G0720500	fgenesh2_kg.1__3158__AT1G29930.1	86	87	0
OS01G0720500	fgenesh2_kg.4__1461__AT1G29910.1	82	89	0
OS01G0720500	fgenesh2_kg.4__1463__AT2G34430.1	87	86	0
OS01G0721900	fgenesh2_kg.7__2557__AT4G17520.1	45	46	0
OS01G0721900	fgenesh2_kg.7__2621__AT4G16830.3	46	49	0
OS01G0721900	fgenesh2_kg.8__73__AT5G47210.1	46	48	0
OS01G0722100	fgenesh2_kg.7__1236__AT4G29540.2	62	61	1
OS01G0722550	Al_scaffold_0001_3436	22	31	0
OS01G0722700	fgenesh2_kg.7__264__AT4G37840.1	38	23	0
OS01G0722700	scaffold_303862.1	60	35	0
OS01G0722700	scaffold_701340.1	61	36	0
OS01G0722800	fgenesh2_kg.3__220__AT3G02770.1	79	80	0
OS01G0722800	fgenesh2_kg.6__1631__AT5G16450.1	80	81	0
OS01G0723000	fgenesh1_pg.C_scaffold_9000065	25	55	1
OS01G0723100	Al_scaffold_0007_2735	42	43	1
OS01G0723100	fgenesh1_pm.C_scaffold_3001915	21	34	1
OS01G0723100	fgenesh1_pm.C_scaffold_3001916	43	45	1
OS01G0723200	fgenesh2_kg.3__468__AT3G04920.1	79	82	1
OS01G0723200	scaffold_602972.1	76	79	1
OS01G0723400	fgenesh2_kg.6__1139__AT5G11670.1	73	74	0
OS01G0723400	fgenesh2_kg.6__2574__AT5G25880.1	46	67	0
OS01G0723400	scaffold_203099.1	73	67	0
OS01G0723400	scaffold_303858.1	74	75	0
OS01G0723600	fgenesh1_pm.C_scaffold_1000893	63	55	1
OS01G0723800	Al_scaffold_0005_969	40	53	1
OS01G0724700	fgenesh2_kg.7__842__AT4G32870.1	27	39	1
OS01G0724700	scaffold_400738.1	28	36	1
OS01G0725400	Al_scaffold_0003_1705	39	37	0
OS01G0725400	fgenesh1_pm.C_scaffold_2002012	42	23	0
OS01G0725600	fgenesh2_kg.6__1129__AT5G11580.1	49	49	0
OS01G0725800	Al_scaffold_0001_4743	48	39	1
OS01G0725800	scaffold_301783.1	47	36	1
OS01G0727100	scaffold_503067.1	39	39	1
OS01G0727400	fgenesh2_kg.1__1893__AT1G17350.1	74	75	1
OS01G0727400	scaffold_202167.1	72	72	1
OS01G0727700	fgenesh2_kg.4__1437__AT2G34340.1	33	27	1
OS01G0727700	fgenesh2_kg.7__2394__AT4G18980.1	25	25	1
OS01G0727700	fgenesh2_kg.8__237__AT5G45630.1	27	26	1
OS01G0727700	scaffold_103284.1	30	24	1
OS01G0727900	fgenesh2_kg.8__234__AT5G45660.1	32	31	1
OS01G0728100	scaffold_600873.1	39	26	0
OS01G0728150	fgenesh1_pm.C_scaffold_4002018	40	60	1
OS01G0728200	fgenesh1_pm.C_scaffold_4002018	0	0	1
OS01G0728250	fgenesh1_pm.C_scaffold_4002018	6	5	1
OS01G0728300	fgenesh2_kg.1__1858__AT1G17060.1	38	42	1
OS01G0728300	fgenesh2_kg.3__1581__AT3G14610.1	47	48	1
OS01G0728300	fgenesh2_kg.3__1583__AT3G14660.1	50	51	1
OS01G0728300	fgenesh2_kg.7__3483__AT1G17060.1	39	43	1
OS01G0728350	scaffold_85500001.1	17	15	1
OS01G0728700	Al_scaffold_0007_2273	54	53	1
OS01G0728700	fgenesh1_pg.C_scaffold_8000224	53	54	1
OS01G0728700	scaffold_103287.1	51	54	1
OS01G0729100	fgenesh2_kg.2__2157__AT1G78620.1	59	57	1
OS01G0729400	scaffold_403157.1	50	48	0
OS01G0729500	fgenesh2_kg.1__3136__AT1G29785.2	20	30	1
OS01G0729900	fgenesh2_kg.1__4428__AT1G53450.2	50	52	0
OS01G0729900	fgenesh2_kg.3__1598__AT3G14830.1	52	53	0
OS01G0730300	fgenesh2_kg.1__614__AT1G06410.1	65	67	1
OS01G0730500	scaffold_403151.1	60	59	0
OS01G0730700	fgenesh1_pg.C_scaffold_1002596	30	37	1
OS01G0730700	fgenesh2_kg.5__2317__AT3G58710.2	31	36	1
OS01G0730800	fgenesh2_kg.4__2434__AT2G42770.1	56	58	1
OS01G0730900	fgenesh1_pm.C_scaffold_8000184	39	25	1
OS01G0730900	fgenesh2_kg.7__2410__AT4G18820.1	42	23	1
OS01G0731000	Al_scaffold_0001_1753	65	64	0
OS01G0731000	fgenesh1_pg.C_scaffold_8000219	62	57	0
OS01G0731000	fgenesh2_kg.1__4424__AT1G53400.1	71	70	0
OS01G0731000	scaffold_800285.1	61	66	0
OS01G0731100	Al_scaffold_0002_2586	52	50	1
OS01G0731600	Al_scaffold_0002_2586	38	45	1
OS01G0731800	scaffold_402004.1	31	22	0
OS01G0732000	scaffold_200081.1	44	37	1
OS01G0732100	scaffold_401685.1	59	70	1
OS01G0732200	scaffold_601168.1	62	61	1
OS01G0732700	fgenesh1_pm.C_scaffold_9000022	59	63	1
OS01G0732700	scaffold_602684.1	60	63	1
OS01G0733001	Al_scaffold_0004_274	47	11	0
OS01G0733001	fgenesh2_kg.7__2413__AT4G18790.1	48	11	0
OS01G0733001	fgenesh2_kg.8__2682__AT5G67330.1	46	11	0
OS01G0733001	scaffold_104289.1	47	11	0
OS01G0733200	fgenesh2_kg.3__2665__AT3G24520.1	37	28	1
OS01G0733500	fgenesh2_kg.6__2554__AT5G25610.1	46	51	1
OS01G0733500	scaffold_201434.1	21	44	1
OS01G0733600	Al_scaffold_0777_1	16	68	1
OS01G0733600	scaffold_300163.1	61	63	1
OS01G0733600	scaffold_400950.1	5	48	1
OS01G0734000	fgenesh1_pm.C_scaffold_4002323	28	64	1
OS01G0734000	fgenesh2_kg.2__86__AT1G64000.1	33	43	1
OS01G0734000	fgenesh2_kg.7__3264__AT5G41570.1	33	46	1
OS01G0734100	Al_scaffold_0001_1732	84	81	0
OS01G0734200	fgenesh2_kg.2__79__AT1G64060.1	49	16	1
OS01G0734200	fgenesh2_kg.6__3092__AT4G11230.1	33	11	1
OS01G0734466	fgenesh2_kg.2__79__AT1G64060.1	76	43	1
OS01G0734466	fgenesh2_kg.6__3092__AT4G11230.1	63	37	1
OS01G0736400	fgenesh2_kg.6__378__AT5G04620.2	57	54	0
OS01G0736500	fgenesh2_kg.4__2820__AT2G46150.1	26	30	1
OS01G0736600	fgenesh2_kg.4__2821__AT2G46160.1	51	47	0
OS01G0736600	scaffold_503399.1	45	42	0
OS01G0736900	fgenesh2_kg.2__76__AT1G64090.1	65	65	1
OS01G0736900	fgenesh2_kg.5__2634__AT3G61560.1	55	55	1
OS01G0736900	fgenesh2_kg.6__3582__AT4G01230.1	38	40	1
OS01G0736900	fgenesh2_kg.7__3261__AT5G41600.1	62	61	1
OS01G0736900	scaffold_403570.1	57	57	1
OS01G0736900	scaffold_603504.1	63	59	1
OS01G0736900	scaffold_701976.1	65	60	1
OS01G0737300	Al_scaffold_0003_1541	48	22	0
OS01G0737900	Al_scaffold_0004_1915	22	36	1
OS01G0737900	fgenesh2_kg.7__913__AT4G32450.1	24	40	1
OS01G0737900	scaffold_103291.1	20	35	1
OS01G0737900	scaffold_400699.1	25	32	1
OS01G0738300	fgenesh2_kg.1__2756__AT1G26150.1	45	40	1
OS01G0738300	fgenesh2_kg.7__3554__AT5G38560.1	44	44	1
OS01G0738300	scaffold_201716.1	37	51	1
OS01G0738600	fgenesh1_pm.C_scaffold_6000916	35	38	1
OS01G0739000	fgenesh2_kg.1__4273__AT1G51980.1	65	64	1
OS01G0739000	fgenesh2_kg.3__1810__AT3G16480.1	66	64	1
OS01G0739200	fgenesh2_kg.8__1567__AT5G56610.1	35	53	1
OS01G0739700	scaffold_802218.1	64	63	1
OS01G0740400	scaffold_701319.1	46	33	1
OS01G0740500	fgenesh2_kg.6__2001__AT5G19740.1	53	57	0
OS01G0740600	fgenesh2_kg.6__2001__AT5G19740.1	56	7	0
OS01G0740650	fgenesh2_kg.6__2001__AT5G19740.1	51	34	0
OS01G0741200	fgenesh2_kg.1__4268__AT1G51940.1	66	44	1
OS01G0741900	scaffold_104979.1	31	38	1
OS01G0741900	scaffold_301933.1	30	37	1
OS01G0742000	fgenesh2_kg.3__3185__AT2G19870.1	61	17	1
OS01G0742200	fgenesh1_pg.C_scaffold_9000065	27	57	1
OS01G0742300	fgenesh2_kg.7__1279__AT4G29120.1	65	61	1
OS01G0742400	fgenesh2_kg.6__2576__AT5G25930.1	25	26	1
OS01G0742500	fgenesh2_kg.7__264__AT4G37840.1	39	39	0
OS01G0742500	scaffold_303862.1	62	63	0
OS01G0742500	scaffold_701340.1	65	66	0
OS01G0743200	fgenesh2_kg.6__2000__AT5G19730.1	65	65	1
OS01G0743300	fgenesh2_kg.6__2001__AT5G19740.1	55	58	0
OS01G0743400	Al_scaffold_0004_707	68	66	1
OS01G0743600	fgenesh2_kg.4__487__AT2G25740.1	45	44	1
OS01G0743800	fgenesh2_kg.3__1789__AT3G16360.1	49	58	1
OS01G0744000	fgenesh1_pg.C_scaffold_1001665	46	45	1
OS01G0744000	fgenesh1_pm.C_scaffold_7002617	42	41	1
OS01G0744000	fgenesh2_kg.2__121__AT1G63640.1	48	44	1
OS01G0744200	fgenesh2_kg.2__2425__AT1G79760.1	23	30	1
OS01G0744300	fgenesh2_kg.4__489__AT2G25760.1	82	73	0
OS01G0744400	scaffold_303852.1	53	51	1
OS01G0744700	fgenesh2_kg.4__490__AT2G25780.1	31	32	1
OS01G0745000	fgenesh2_kg.4__490__AT2G25780.1	31	35	1
OS01G0745700	fgenesh2_kg.7__840__AT4G32890.1	33	41	0
OS01G0746200	fgenesh2_kg.7__837__AT4G32910.1	56	58	1
OS01G0746400	fgenesh1_pg.C_scaffold_7000720	60	60	0
OS01G0746700	fgenesh2_kg.3__3603__AT2G20680.1	56	57	0
OS01G0746700	fgenesh2_kg.7__1373__AT4G28320.1	54	56	0
OS01G0747400	fgenesh1_pg.C_scaffold_5001187	32	40	1
OS01G0747400	fgenesh2_kg.3__2690__AT5G58950.1	35	43	1
OS01G0747400	fgenesh2_kg.8__1834__AT5G58950.1	36	43	1
OS01G0747400	scaffold_13900005.1	25	39	1
OS01G0747500	fgenesh2_kg.7__2005__AT4G22930.1	68	73	1
OS01G0747600	fgenesh2_kg.4__788__AT2G27800.1	33	29	0
OS01G0747700	fgenesh1_pm.C_scaffold_1003416	53	21	1
OS01G0747800	fgenesh2_kg.3__1663__AT3G15300.1	41	43	1
OS01G0747800	fgenesh2_kg.4__1390__AT2G33780.1	31	34	1
OS01G0747800	fgenesh2_kg.8__1275__AT5G53830.1	35	33	1
OS01G0747800	scaffold_103160.1	41	39	1
OS01G0748000	fgenesh2_kg.1__4388__AT1G53140.1	67	67	1
OS01G0748150	Al_scaffold_0007_846	30	32	1
OS01G0748150	Al_scaffold_0008_1800	29	21	1
OS01G0748150	scaffold_701427.1	31	34	1
OS01G0748150	scaffold_701529.1	31	22	1
OS01G0748200	fgenesh1_pg.C_scaffold_5002340	32	38	0
OS01G0748300	fgenesh2_kg.4__1437__AT2G34340.1	28	32	1
OS01G0748300	fgenesh2_kg.7__2394__AT4G18980.1	23	34	1
OS01G0748300	fgenesh2_kg.8__237__AT5G45630.1	23	32	1
OS01G0748300	scaffold_103284.1	26	29	1
OS01G0748500	fgenesh2_kg.1__3123__AT1G29660.1	60	60	1
OS01G0748500	fgenesh2_kg.1__3124__AT1G29670.1	59	59	1
OS01G0748500	fgenesh2_kg.7__2397__AT4G18970.1	60	60	1
OS01G0748500	fgenesh2_kg.8__233__AT5G45670.1	60	60	1
OS01G0748600	Al_scaffold_0005_2798	56	55	1
OS01G0748800	Al_scaffold_0007_2115	53	27	0
OS01G0748800	scaffold_201177.1	52	27	0
OS01G0748900	fgenesh2_kg.1__3126__AT1G29690.1	62	61	1
OS01G0748950	fgenesh1_pg.C_scaffold_3002469	35	39	0
OS01G0748950	fgenesh2_kg.3__2736__AT3G25260.1	34	38	0
OS01G0748950	scaffold_200577.1	33	38	0
OS01G0748950	scaffold_303126.1	35	39	0
OS01G0749000	Al_scaffold_0007_2273	52	51	1
OS01G0749000	fgenesh1_pg.C_scaffold_8000224	52	53	1
OS01G0749000	scaffold_103287.1	46	49	1
OS01G0749100	fgenesh1_pm.C_scaffold_8000478	58	42	1
OS01G0749200	fgenesh2_kg.2__2158__AT1G78630.1	65	63	0
OS01G0749300	fgenesh2_kg.7__2405__AT4G18880.1	35	39	1
OS01G0749300	fgenesh2_kg.8__230__AT5G45710.1	34	43	1
OS01G0749400	fgenesh2_kg.1__614__AT1G06410.1	64	69	1
OS01G0750000	scaffold_100636.1	75	77	1
OS01G0750100	fgenesh1_pg.C_scaffold_1002596	34	41	1
OS01G0750100	fgenesh2_kg.5__2317__AT3G58710.2	30	35	1
OS01G0750300	fgenesh2_kg.7__2414__AT4G18780.1	74	74	1
OS01G0750400	fgenesh2_kg.8__222__AT5G45770.1	43	25	1
OS01G0750400	scaffold_202530.1	29	42	1
OS01G0750400	scaffold_602906.1	29	42	1
OS01G0750400	scaffold_702544.1	49	28	1
OS01G0750800	scaffold_401685.1	72	72	1
OS01G0751300	fgenesh2_kg.5__2369__AT3G59090.1	43	42	1
OS01G0751600	fgenesh1_pm.C_scaffold_8000820	52	52	1
OS01G0752200	Al_scaffold_0001_597	62	62	0
OS01G0752300	fgenesh2_kg.1__3168__AT1G29970.2	85	48	0
OS01G0752300	fgenesh2_kg.3__1580__AT3G14600.1	89	89	0
OS01G0752300	fgenesh2_kg.4__1470__AT2G34480.1	89	89	0
OS01G0752400	Al_scaffold_0409_1	34	30	1
OS01G0752400	scaffold_403095.1	34	30	1
OS01G0752600	fgenesh2_kg.3__2797__AT2G04560.1	49	51	1
OS01G0752700	fgenesh2_kg.4__1092__AT2G31060.2	76	77	1
OS01G0752800	fgenesh2_kg.8__195__AT5G46020.1	67	68	0
OS01G0753000	fgenesh2_kg.1__3026__AT1G28520.2	44	49	1
OS01G0753000	fgenesh2_kg.409__2__AT2G42400.1	36	43	1
OS01G0753000	fgenesh2_kg.4__2394__AT2G42400.1	36	43	1
OS01G0753100	fgenesh2_kg.3__1639__AT3G15090.1	69	69	1
OS01G0753150	scaffold_502992.1	47	46	1
OS01G0753200	fgenesh2_kg.3__941__AT3G09250.1	40	42	1
OS01G0753300	fgenesh1_pm.C_scaffold_7000458	26	26	0
OS01G0753300	fgenesh2_kg.7__570__AT4G35150.1	18	24	0
OS01G0753500	scaffold_401977.1	36	45	1
OS01G0754100	fgenesh1_pm.C_scaffold_1000251	62	60	1
OS01G0754100	fgenesh2_kg.4__1400__AT2G33845.1	68	52	1
OS01G0754100	scaffold_701417.1	67	62	1
