Gene stable ID	Solanum tuberosum gene stable ID	% identity	Solanum tuberosum % identity	Orthology confidence [0 low, 1 high]
OS02G0513700	PGSC0003DMG400017468	0	0	0
OS02G0514500	PGSC0003DMG403020240	63	46	0
OS02G0514700	PGSC0003DMG400022308	69	59	1
OS02G0514700	PGSC0003DMG400027873	71	60	1
OS02G0515200	PGSC0003DMG400029999	40	40	0
OS02G0515200	PGSC0003DMG402020240	38	37	0
OS02G0515600	PGSC0003DMG400030010	61	62	1
OS02G0516400	PGSC0003DMG400030000	23	36	1
OS02G0516800	PGSC0003DMG400014176	21	29	1
OS02G0516800	PGSC0003DMG400037032	18	27	1
OS02G0516800	PGSC0003DMG400037364	18	26	1
OS02G0516800	PGSC0003DMG400037473	17	29	1
OS02G0517300	PGSC0003DMG400017705	53	53	0
OS02G0517300	PGSC0003DMG401028807	53	53	0
OS02G0517366	PGSC0003DMG400005919	25	20	1
OS02G0517531	PGSC0003DMG400002248	50	52	0
OS02G0518100	PGSC0003DMG400025244	52	64	1
OS02G0518100	PGSC0003DMG401020232	15	41	1
OS02G0518500	PGSC0003DMG400026959	17	21	0
OS02G0518500	PGSC0003DMG400031049	15	17	0
OS02G0518600	PGSC0003DMG400013739	54	51	0
OS02G0518600	PGSC0003DMG400013740	23	41	0
OS02G0519100	PGSC0003DMG400013739	53	50	0
OS02G0519100	PGSC0003DMG400013740	23	40	0
OS02G0519300	PGSC0003DMG400012949	43	31	1
OS02G0520000	PGSC0003DMG400002185	30	25	1
OS02G0520000	PGSC0003DMG400002191	27	33	1
OS02G0520750	PGSC0003DMG400014472	77	81	0
OS02G0520750	PGSC0003DMG400025579	78	73	0
OS02G0520800	PGSC0003DMG400015910	75	77	1
OS02G0521700	PGSC0003DMG400030433	38	41	1
OS02G0521700	PGSC0003DMG400030434	42	48	1
OS02G0522300	PGSC0003DMG400006466	6	14	1
OS02G0522300	PGSC0003DMG400045399	12	17	1
OS02G0522300	PGSC0003DMG400045955	25	30	1
OS02G0522300	PGSC0003DMG400047191	27	32	1
OS02G0523300	PGSC0003DMG400008031	47	50	0
OS02G0523500	PGSC0003DMG400014229	64	64	0
OS02G0523800	PGSC0003DMG400014228	47	47	0
OS02G0523800	PGSC0003DMG400014467	46	34	0
OS02G0524300	PGSC0003DMG400016394	56	16	1
OS02G0524600	PGSC0003DMG400009907	65	77	1
OS02G0525400	PGSC0003DMG400022209	49	29	1
OS02G0525400	PGSC0003DMG400028768	17	16	1
OS02G0525900	PGSC0003DMG400004100	72	81	0
OS02G0525900	PGSC0003DMG400020231	79	72	0
OS02G0526000	PGSC0003DMG400002183	56	51	1
OS02G0526000	PGSC0003DMG400041580	53	54	1
OS02G0526400	PGSC0003DMG400014225	63	54	0
OS02G0526500	PGSC0003DMG400000572	54	28	0
OS02G0526600	PGSC0003DMG400027621	45	42	1
OS02G0526700	PGSC0003DMG400004631	28	37	1
OS02G0526700	PGSC0003DMG400035598	29	33	1
OS02G0527100	PGSC0003DMG400013449	55	39	0
OS02G0527200	PGSC0003DMG400007125	33	35	1
OS02G0527200	PGSC0003DMG400026533	38	38	1
OS02G0527200	PGSC0003DMG400028068	35	36	1
OS02G0527300	PGSC0003DMG401002683	28	28	1
OS02G0527500	PGSC0003DMG400005694	50	18	1
OS02G0527500	PGSC0003DMG400028517	50	18	1
OS02G0527500	PGSC0003DMG400028619	48	19	1
OS02G0527500	PGSC0003DMG400029086	53	19	1
OS02G0527600	PGSC0003DMG400008384	53	52	1
OS02G0527900	PGSC0003DMG400042886	38	40	1
OS02G0528000	PGSC0003DMG400023486	19	22	0
OS02G0528000	PGSC0003DMG400027313	20	24	0
OS02G0528100	PGSC0003DMG400002711	55	57	1
OS02G0528100	PGSC0003DMG400019496	44	47	1
OS02G0528100	PGSC0003DMG400026542	53	53	1
OS02G0528100	PGSC0003DMG400028170	55	56	1
OS02G0528900	PGSC0003DMG400013114	21	73	0
OS02G0529400	PGSC0003DMG400019494	74	68	1
OS02G0529400	PGSC0003DMG400026530	68	65	1
OS02G0529600	PGSC0003DMG400016008	65	68	1
OS02G0529600	PGSC0003DMG400024667	64	69	1
OS02G0529600	PGSC0003DMG400028392	36	73	1
OS02G0529700	PGSC0003DMG400007119	55	50	1
OS02G0529700	PGSC0003DMG400007410	69	67	1
OS02G0529700	PGSC0003DMG400011194	58	58	1
OS02G0529700	PGSC0003DMG400011702	64	65	1
OS02G0529700	PGSC0003DMG400034769	55	53	1
OS02G0529800	PGSC0003DMG402004779	34	13	1
OS02G0530100	PGSC0003DMG400008484	31	16	1
OS02G0530100	PGSC0003DMG400019960	33	15	1
OS02G0530100	PGSC0003DMG401028903	31	15	1
OS02G0530300	PGSC0003DMG400019467	53	44	1
OS02G0530500	PGSC0003DMG400002695	42	40	1
OS02G0530600	PGSC0003DMG400007402	55	56	1
OS02G0531600	PGSC0003DMG400007111	66	77	1
OS02G0531600	PGSC0003DMG400040097	75	75	1
OS02G0532300	PGSC0003DMG400002658	54	53	1
OS02G0532300	PGSC0003DMG400023390	45	50	1
OS02G0532300	PGSC0003DMG401002659	51	52	1
OS02G0532300	PGSC0003DMG401023991	49	51	1
OS02G0532300	PGSC0003DMG402002659	52	51	1
OS02G0532300	PGSC0003DMG402023991	52	47	1
OS02G0532500	PGSC0003DMG402023974	48	51	1
OS02G0532800	PGSC0003DMG400002662	23	29	1
OS02G0532800	PGSC0003DMG400026362	16	22	1
OS02G0532800	PGSC0003DMG400026363	22	17	1
OS02G0533000	PGSC0003DMG400019058	13	61	1
OS02G0533200	PGSC0003DMG400028255	58	62	1
OS02G0533300	PGSC0003DMG400008954	42	41	1
OS02G0533900	PGSC0003DMG400026336	76	77	1
OS02G0534000	PGSC0003DMG400005882	25	16	1
OS02G0534000	PGSC0003DMG400026354	28	16	1
OS02G0534400	PGSC0003DMG400008388	51	58	1
OS02G0534400	PGSC0003DMG400008942	52	59	1
OS02G0534400	PGSC0003DMG400008943	52	58	1
OS02G0534400	PGSC0003DMG400011037	56	56	1
OS02G0534400	PGSC0003DMG400042880	8	59	1
OS02G0534400	PGSC0003DMG401028252	53	57	1
OS02G0534400	PGSC0003DMG402028252	56	56	1
OS02G0535000	PGSC0003DMG400008864	60	60	1
OS02G0535400	PGSC0003DMG400027380	44	59	1
OS02G0535700	PGSC0003DMG400026349	1	4	0
OS02G0535700	PGSC0003DMG401008856	37	51	0
OS02G0535700	PGSC0003DMG402008856	2	7	0
OS02G0535901	PGSC0003DMG400026346	33	30	1
OS02G0535901	PGSC0003DMG400028160	33	27	1
OS02G0536300	PGSC0003DMG400002842	18	15	1
OS02G0536300	PGSC0003DMG400013244	7	14	1
OS02G0536300	PGSC0003DMG400013311	16	14	1
OS02G0536300	PGSC0003DMG400013766	17	14	1
OS02G0536300	PGSC0003DMG400015706	18	14	1
OS02G0536300	PGSC0003DMG400016882	20	16	1
OS02G0536300	PGSC0003DMG400017452	13	7	1
OS02G0536300	PGSC0003DMG400019655	16	15	1
OS02G0536300	PGSC0003DMG400020354	14	9	1
OS02G0536300	PGSC0003DMG400025093	16	13	1
OS02G0536300	PGSC0003DMG400025095	16	13	1
OS02G0536300	PGSC0003DMG400025114	18	15	1
OS02G0536300	PGSC0003DMG400029597	15	13	1
OS02G0536300	PGSC0003DMG400030072	17	13	1
OS02G0536300	PGSC0003DMG400030073	9	18	1
OS02G0536300	PGSC0003DMG400041679	13	12	1
OS02G0536300	PGSC0003DMG400044760	17	14	1
OS02G0536300	PGSC0003DMG400045388	15	15	1
OS02G0536300	PGSC0003DMG400045747	18	15	1
OS02G0536300	PGSC0003DMG401013245	17	14	1
OS02G0536300	PGSC0003DMG401013246	14	17	1
OS02G0536300	PGSC0003DMG402013246	18	14	1
OS02G0536300	PGSC0003DMG403013245	17	14	1
OS02G0536300	PGSC0003DMG403013246	17	14	1
OS02G0536500	PGSC0003DMG400016381	37	35	1
OS02G0536500	PGSC0003DMG401028242	33	38	1
OS02G0537200	PGSC0003DMG400002842	22	29	1
OS02G0537200	PGSC0003DMG400013244	10	31	1
OS02G0537200	PGSC0003DMG400013311	19	26	1
OS02G0537200	PGSC0003DMG400013766	17	24	1
OS02G0537200	PGSC0003DMG400015706	20	26	1
OS02G0537200	PGSC0003DMG400016882	21	28	1
OS02G0537200	PGSC0003DMG400017452	17	15	1
OS02G0537200	PGSC0003DMG400019655	16	25	1
OS02G0537200	PGSC0003DMG400020354	17	18	1
OS02G0537200	PGSC0003DMG400025093	19	26	1
OS02G0537200	PGSC0003DMG400025095	18	24	1
OS02G0537200	PGSC0003DMG400025114	19	25	1
OS02G0537200	PGSC0003DMG400029597	16	22	1
OS02G0537200	PGSC0003DMG400030072	18	24	1
OS02G0537200	PGSC0003DMG400030073	8	26	1
OS02G0537200	PGSC0003DMG400041679	15	22	1
OS02G0537200	PGSC0003DMG400044760	19	24	1
OS02G0537200	PGSC0003DMG400045388	16	24	1
OS02G0537200	PGSC0003DMG400045747	18	24	1
OS02G0537200	PGSC0003DMG401013245	19	24	1
OS02G0537200	PGSC0003DMG401013246	14	27	1
OS02G0537200	PGSC0003DMG402013246	18	24	1
OS02G0537200	PGSC0003DMG403013245	19	24	1
OS02G0537200	PGSC0003DMG403013246	20	26	1
OS02G0537500	PGSC0003DMG400016418	51	50	1
OS02G0537500	PGSC0003DMG400019629	45	47	1
OS02G0537500	PGSC0003DMG402005932	45	49	1
OS02G0537700	PGSC0003DMG400016387	73	70	0
OS02G0537700	PGSC0003DMG400028238	71	70	0
OS02G0537800	PGSC0003DMG400007602	26	15	1
OS02G0537800	PGSC0003DMG400016388	24	14	1
OS02G0537800	PGSC0003DMG400023497	21	12	1
OS02G0537800	PGSC0003DMG400028236	21	14	1
OS02G0537900	PGSC0003DMG400025085	82	86	1
OS02G0538000	PGSC0003DMG400006139	72	72	1
OS02G0538700	PGSC0003DMG400005898	40	43	1
OS02G0538700	PGSC0003DMG400016420	33	35	1
OS02G0538700	PGSC0003DMG400019639	36	39	1
OS02G0538700	PGSC0003DMG400028151	33	36	1
OS02G0538900	PGSC0003DMG400001999	31	33	1
OS02G0539200	PGSC0003DMG400014733	41	40	1
OS02G0539200	PGSC0003DMG400019623	41	45	1
OS02G0539200	PGSC0003DMG400021325	30	44	1
OS02G0539200	PGSC0003DMG400021326	29	45	1
OS02G0539200	PGSC0003DMG400021327	42	46	1
OS02G0539200	PGSC0003DMG400021356	23	48	1
OS02G0539200	PGSC0003DMG400021358	43	46	1
OS02G0539200	PGSC0003DMG400021359	40	45	1
OS02G0539200	PGSC0003DMG400021360	40	45	1
OS02G0539600	PGSC0003DMG401015244	43	40	1
OS02G0539600	PGSC0003DMG402015244	2	1	1
OS02G0539900	PGSC0003DMG400025559	30	21	1
OS02G0540700	PGSC0003DMG400000791	31	37	0
OS02G0540700	PGSC0003DMG400025560	29	35	0
OS02G0541325	PGSC0003DMG400000785	84	68	1
OS02G0541325	PGSC0003DMG400029122	39	56	1
OS02G0541500	PGSC0003DMG400003962	35	33	1
OS02G0541500	PGSC0003DMG400006041	32	32	1
OS02G0541500	PGSC0003DMG400006042	32	31	1
OS02G0541500	PGSC0003DMG400006043	29	32	1
OS02G0541500	PGSC0003DMG400006044	31	30	1
OS02G0541500	PGSC0003DMG400006045	31	31	1
OS02G0541700	PGSC0003DMG400011391	65	65	1
OS02G0541700	PGSC0003DMG400011392	59	34	1
OS02G0542400	PGSC0003DMG400029747	31	32	1
OS02G0543000	PGSC0003DMG400006661	62	21	0
OS02G0543000	PGSC0003DMG400006662	67	64	0
OS02G0543000	PGSC0003DMG400006663	65	61	0
OS02G0543000	PGSC0003DMG400024093	68	66	0
OS02G0543100	PGSC0003DMG401024096	14	50	1
OS02G0543100	PGSC0003DMG402024096	61	63	1
OS02G0543300	PGSC0003DMG400002992	51	50	1
OS02G0543400	PGSC0003DMG400003975	72	73	1
OS02G0543900	PGSC0003DMG400015044	8	12	1
OS02G0543900	PGSC0003DMG400035537	4	12	1
OS02G0543900	PGSC0003DMG400038122	4	15	1
OS02G0543900	PGSC0003DMG400042791	16	32	1
OS02G0543900	PGSC0003DMG400047214	3	8	1
OS02G0545000	PGSC0003DMG400014709	54	6	0
OS02G0545000	PGSC0003DMG400022027	52	3	0
OS02G0547300	PGSC0003DMG400018856	24	18	0
OS02G0548700	PGSC0003DMG400025884	52	53	0
OS02G0549200	PGSC0003DMG400015409	61	62	1
OS02G0549200	PGSC0003DMG402007955	60	59	1
OS02G0549600	PGSC0003DMG400024757	84	85	1
OS02G0549600	PGSC0003DMG402029274	83	84	1
OS02G0549900	PGSC0003DMG400003527	21	8	1
OS02G0549900	PGSC0003DMG400026161	22	9	1
OS02G0549900	PGSC0003DMG400026187	24	9	1
OS02G0549900	PGSC0003DMG400030754	5	11	1
OS02G0550000	PGSC0003DMG400002313	18	20	1
OS02G0550000	PGSC0003DMG400011270	19	21	1
OS02G0550100	PGSC0003DMG400003629	95	96	0
OS02G0550100	PGSC0003DMG400003766	95	96	0
OS02G0550100	PGSC0003DMG400004422	93	95	0
OS02G0550300	PGSC0003DMG400026074	50	44	1
OS02G0550300	PGSC0003DMG400027609	51	50	1
OS02G0550400	PGSC0003DMG400021832	48	42	0
OS02G0550600	PGSC0003DMG400009257	79	83	0
OS02G0550600	PGSC0003DMG400026107	81	83	0
OS02G0551100	PGSC0003DMG400023441	75	77	0
OS02G0551100	PGSC0003DMG400023803	79	80	0
OS02G0551400	PGSC0003DMG400002048	9	19	0
OS02G0551400	PGSC0003DMG400009342	20	28	0
OS02G0551700	PGSC0003DMG400026118	26	49	1
OS02G0551700	PGSC0003DMG400033893	17	49	1
OS02G0551900	PGSC0003DMG400009082	52	47	1
OS02G0552000	PGSC0003DMG400004531	83	83	1
OS02G0552000	PGSC0003DMG400009753	83	83	1
OS02G0552000	PGSC0003DMG400031412	45	77	1
OS02G0552000	PGSC0003DMG402031322	69	70	1
OS02G0552200	PGSC0003DMG400006547	34	37	1
OS02G0552200	PGSC0003DMG400023770	34	35	1
OS02G0552400	PGSC0003DMG400006546	44	46	1
OS02G0552600	PGSC0003DMG400009246	47	53	1
OS02G0553000	PGSC0003DMG400006364	37	19	1
OS02G0553000	PGSC0003DMG400022056	31	39	1
OS02G0553000	PGSC0003DMG400027970	8	32	1
OS02G0553000	PGSC0003DMG401021514	33	17	1
OS02G0553200	PGSC0003DMG400000894	69	53	1
OS02G0553500	PGSC0003DMG402018005	43	54	1
OS02G0553500	PGSC0003DMG403018005	43	53	1
OS02G0553600	PGSC0003DMG400008674	46	45	1
OS02G0554300	PGSC0003DMG400001569	61	62	0
OS02G0554900	PGSC0003DMG400004150	48	53	0
OS02G0554900	PGSC0003DMG400014007	40	45	0
OS02G0554900	PGSC0003DMG400017569	50	55	0
OS02G0554900	PGSC0003DMG401023448	17	49	0
OS02G0555000	PGSC0003DMG400010619	80	79	0
OS02G0555100	PGSC0003DMG400005403	41	47	1
OS02G0555300	PGSC0003DMG400005501	48	49	1
OS02G0555300	PGSC0003DMG400029741	49	51	1
OS02G0555600	PGSC0003DMG400013030	56	60	1
OS02G0555700	PGSC0003DMG400024837	60	66	1
OS02G0555900	PGSC0003DMG400024820	26	45	1
OS02G0555900	PGSC0003DMG400028666	33	38	1
OS02G0556400	PGSC0003DMG400017691	71	66	1
OS02G0556600	PGSC0003DMG400022553	4	35	1
OS02G0556700	PGSC0003DMG400005188	18	38	0
OS02G0556700	PGSC0003DMG400023771	46	45	0
OS02G0556800	PGSC0003DMG400003288	45	46	0
OS02G0556900	PGSC0003DMG400023442	50	43	1
OS02G0557000	PGSC0003DMG400027189	46	46	1
OS02G0557100	PGSC0003DMG400005177	41	29	1
OS02G0557100	PGSC0003DMG400005178	35	37	1
OS02G0557100	PGSC0003DMG400005181	37	37	1
OS02G0557100	PGSC0003DMG400025528	51	50	1
OS02G0557100	PGSC0003DMG400037246	31	24	1
OS02G0557100	PGSC0003DMG400039276	28	27	1
OS02G0557100	PGSC0003DMG400044970	17	41	1
OS02G0557200	PGSC0003DMG400020711	64	66	1
OS02G0557300	PGSC0003DMG400033135	41	33	1
OS02G0557500	PGSC0003DMG400020705	11	6	1
OS02G0557600	PGSC0003DMG401019061	66	65	0
OS02G0557600	PGSC0003DMG402019061	26	69	0
OS02G0557700	PGSC0003DMG401024871	64	57	1
OS02G0558100	PGSC0003DMG400009752	73	75	1
OS02G0558100	PGSC0003DMG400024904	73	76	1
OS02G0558300	PGSC0003DMG400010036	46	56	0
OS02G0558500	PGSC0003DMG400008421	21	22	1
OS02G0558500	PGSC0003DMG400012413	18	23	1
OS02G0558600	PGSC0003DMG400022609	12	12	0
OS02G0558600	PGSC0003DMG401001926	9	12	0
OS02G0558700	PGSC0003DMG400017813	37	42	1
OS02G0558700	PGSC0003DMG400018054	32	34	1
OS02G0559300	PGSC0003DMG400027803	45	50	1
OS02G0559300	PGSC0003DMG400033129	44	50	1
OS02G0559300	PGSC0003DMG401024882	45	45	1
OS02G0560450	PGSC0003DMG400024874	67	52	1
OS02G0562100	PGSC0003DMG400020439	43	43	0
OS02G0562300	PGSC0003DMG400018738	65	67	1
OS02G0562300	PGSC0003DMG400022413	60	63	1
OS02G0562300	PGSC0003DMG401010824	59	62	1
OS02G0562400	PGSC0003DMG400013719	59	45	0
OS02G0562400	PGSC0003DMG401006465	26	40	0
OS02G0562400	PGSC0003DMG402006465	58	44	0
OS02G0562600	PGSC0003DMG400013720	47	19	1
OS02G0562600	PGSC0003DMG400020286	49	21	1
OS02G0562600	PGSC0003DMG400027665	47	19	1
OS02G0562700	PGSC0003DMG400020299	81	82	1
OS02G0564000	PGSC0003DMG400018269	56	60	1
OS02G0564100	PGSC0003DMG400018261	66	71	1
OS02G0564200	PGSC0003DMG400018258	62	58	0
OS02G0564300	PGSC0003DMG400024269	18	40	1
OS02G0564400	PGSC0003DMG400025772	14	26	0
OS02G0564400	PGSC0003DMG401020715	9	46	0
OS02G0564400	PGSC0003DMG402020715	22	42	0
OS02G0565000	PGSC0003DMG400037972	27	31	1
OS02G0565100	PGSC0003DMG400004364	54	56	1
OS02G0565200	PGSC0003DMG400025078	64	64	0
OS02G0565500	PGSC0003DMG400011422	74	73	1
OS02G0565500	PGSC0003DMG400017167	54	54	1
OS02G0565500	PGSC0003DMG400023704	74	73	1
OS02G0565500	PGSC0003DMG400026326	75	73	1
OS02G0566400	PGSC0003DMG400012860	42	44	1
OS02G0566400	PGSC0003DMG400013264	40	41	1
OS02G0566400	PGSC0003DMG400014415	32	48	1
OS02G0566400	PGSC0003DMG400022304	45	45	1
OS02G0566500	PGSC0003DMG400023744	37	37	1
OS02G0566500	PGSC0003DMG400026151	36	41	1
OS02G0566700	PGSC0003DMG400023773	16	19	0
OS02G0566700	PGSC0003DMG400030206	21	23	0
OS02G0566800	PGSC0003DMG400027791	73	72	0
OS02G0566800	PGSC0003DMG400029368	58	69	0
OS02G0566800	PGSC0003DMG400029547	63	62	0
OS02G0566900	PGSC0003DMG400027793	72	75	1
OS02G0567000	PGSC0003DMG400000906	40	44	1
OS02G0567100	PGSC0003DMG400008013	50	49	1
OS02G0567200	PGSC0003DMG400008021	63	61	1
OS02G0567900	PGSC0003DMG400007990	65	42	1
OS02G0567900	PGSC0003DMG400025900	60	37	1
OS02G0568200	PGSC0003DMG400002400	55	62	1
OS02G0568200	PGSC0003DMG400033569	54	63	1
OS02G0568700	PGSC0003DMG400022114	26	44	0
OS02G0570400	PGSC0003DMG400022114	12	32	0
OS02G0570500	PGSC0003DMG402004779	34	13	1
OS02G0570700	PGSC0003DMG402004779	35	13	1
OS02G0570900	PGSC0003DMG400001948	40	17	0
OS02G0570900	PGSC0003DMG400020053	43	20	0
OS02G0570900	PGSC0003DMG400024137	38	21	0
OS02G0571100	PGSC0003DMG400001948	35	16	0
OS02G0571100	PGSC0003DMG400020053	35	18	0
OS02G0571100	PGSC0003DMG400024137	21	13	0
OS02G0571300	PGSC0003DMG400022114	11	30	0
OS02G0571800	PGSC0003DMG400022114	11	28	0
OS02G0572050	PGSC0003DMG400022114	9	5	0
OS02G0572200	PGSC0003DMG400002135	29	26	0
OS02G0572200	PGSC0003DMG400017762	23	22	0
OS02G0572200	PGSC0003DMG400018182	30	26	0
OS02G0572200	PGSC0003DMG400028579	29	23	0
OS02G0572300	PGSC0003DMG400002135	23	24	0
OS02G0572300	PGSC0003DMG400017762	20	22	0
OS02G0572300	PGSC0003DMG400018182	21	22	0
OS02G0572300	PGSC0003DMG400028579	22	21	0
OS02G0572400	PGSC0003DMG400012571	64	64	1
OS02G0572400	PGSC0003DMG400016219	64	64	1
OS02G0572600	PGSC0003DMG400016153	22	19	1
OS02G0572600	PGSC0003DMG400016794	23	20	1
OS02G0572600	PGSC0003DMG400020690	17	18	1
OS02G0572600	PGSC0003DMG400046492	15	19	1
OS02G0572900	PGSC0003DMG400003459	37	39	1
OS02G0573200	PGSC0003DMG400008545	57	70	0
OS02G0573300	PGSC0003DMG400007222	60	28	0
OS02G0573500	PGSC0003DMG402006401	46	47	1
OS02G0574000	PGSC0003DMG402006401	37	26	1
OS02G0574100	PGSC0003DMG402006401	43	44	1
OS02G0574600	PGSC0003DMG400001888	63	63	1
OS02G0574600	PGSC0003DMG400017722	57	62	1
OS02G0574600	PGSC0003DMG400021797	60	61	1
OS02G0574600	PGSC0003DMG400021825	53	48	1
OS02G0574900	PGSC0003DMG400012568	58	56	1
OS02G0575200	PGSC0003DMG400027542	35	56	1
OS02G0575200	PGSC0003DMG401016958	62	62	1
OS02G0575700	PGSC0003DMG400029740	53	55	1
OS02G0575800	PGSC0003DMG400001317	49	52	1
OS02G0575800	PGSC0003DMG400001318	42	47	1
OS02G0575800	PGSC0003DMG400018084	50	53	1
OS02G0575800	PGSC0003DMG401001316	50	53	1
OS02G0575800	PGSC0003DMG402001316	47	50	1
OS02G0575800	PGSC0003DMG403001316	49	52	1
OS02G0576600	PGSC0003DMG400025610	22	44	1
OS02G0576700	PGSC0003DMG400006933	59	58	1
OS02G0576700	PGSC0003DMG400014535	30	26	1
OS02G0576700	PGSC0003DMG400019515	44	39	1
OS02G0576700	PGSC0003DMG400021925	34	41	1
OS02G0576700	PGSC0003DMG400033079	56	54	1
OS02G0577100	PGSC0003DMG400018414	59	51	1
OS02G0577100	PGSC0003DMG402006561	56	47	1
OS02G0577300	PGSC0003DMG400018405	53	52	1
OS02G0578366	PGSC0003DMG400001337	49	55	1
OS02G0578366	PGSC0003DMG400025146	51	54	1
OS02G0578400	PGSC0003DMG400018434	37	44	1
OS02G0578800	PGSC0003DMG400019524	60	58	1
OS02G0579000	PGSC0003DMG400001338	39	41	0
OS02G0579000	PGSC0003DMG400019523	36	38	0
OS02G0579000	PGSC0003DMG400033047	38	39	0
OS02G0579600	PGSC0003DMG400002039	33	38	1
OS02G0579800	PGSC0003DMG400029518	52	44	0
OS02G0579800	PGSC0003DMG400032160	53	52	0
OS02G0580000	PGSC0003DMG400029518	45	46	0
OS02G0580000	PGSC0003DMG400032160	45	53	0
OS02G0580100	PGSC0003DMG402012961	61	63	1
OS02G0580300	PGSC0003DMG400019587	81	81	0
OS02G0580300	PGSC0003DMG400024187	84	85	0
OS02G0580400	PGSC0003DMG400032159	43	65	1
OS02G0580500	PGSC0003DMG400016222	75	76	0
OS02G0580500	PGSC0003DMG400016803	73	74	0
OS02G0580500	PGSC0003DMG400029027	73	75	0
OS02G0580600	PGSC0003DMG400024556	48	49	0
OS02G0580700	PGSC0003DMG400024465	23	23	1
OS02G0580800	PGSC0003DMG400011831	24	27	1
OS02G0580800	PGSC0003DMG400024467	33	30	1
OS02G0580800	PGSC0003DMG400033057	36	32	1
OS02G0580900	PGSC0003DMG400004291	62	64	1
OS02G0580900	PGSC0003DMG402000668	63	64	1
OS02G0581000	PGSC0003DMG400000509	68	42	1
OS02G0581300	PGSC0003DMG400025120	70	71	1
OS02G0581400	PGSC0003DMG400001917	0	0	0
OS02G0581500	PGSC0003DMG400001917	41	47	0
OS02G0582100	PGSC0003DMG400001936	20	17	1
OS02G0582100	PGSC0003DMG400025716	19	15	1
OS02G0582100	PGSC0003DMG400025718	13	20	1
OS02G0582200	PGSC0003DMG400028677	52	53	1
OS02G0582300	PGSC0003DMG400023572	36	34	1
OS02G0582300	PGSC0003DMG401028232	36	33	1
OS02G0582400	PGSC0003DMG402017414	35	34	1
OS02G0584700	PGSC0003DMG400017307	37	33	1
OS02G0584700	PGSC0003DMG400017308	31	28	1
OS02G0584800	PGSC0003DMG400017307	37	34	1
OS02G0584800	PGSC0003DMG400017308	29	27	1
OS02G0585100	PGSC0003DMG400017307	36	30	1
OS02G0585100	PGSC0003DMG400017308	28	23	1
OS02G0585200	PGSC0003DMG400017307	30	31	1
OS02G0585200	PGSC0003DMG400017308	29	29	1
OS02G0586400	PGSC0003DMG400007791	90	90	0
OS02G0586400	PGSC0003DMG400021244	69	88	0
OS02G0586400	PGSC0003DMG400031083	90	90	0
OS02G0586500	PGSC0003DMG400020134	91	91	0
OS02G0586800	PGSC0003DMG400003792	45	49	1
OS02G0586800	PGSC0003DMG400014712	16	71	1
OS02G0588300	PGSC0003DMG400006431	66	68	1
OS02G0588300	PGSC0003DMG400013902	62	66	1
OS02G0588300	PGSC0003DMG402022197	66	60	1
OS02G0588500	PGSC0003DMG400012843	10	57	1
OS02G0588500	PGSC0003DMG400012853	14	41	1
OS02G0588500	PGSC0003DMG400012855	51	50	1
OS02G0588500	PGSC0003DMG400022294	52	52	1
OS02G0588600	PGSC0003DMG400030273	46	41	0
OS02G0589000	PGSC0003DMG400007000	33	34	1
OS02G0589100	PGSC0003DMG400007000	21	5	1
OS02G0589400	PGSC0003DMG400016121	38	35	1
OS02G0589400	PGSC0003DMG400016122	38	34	1
OS02G0589400	PGSC0003DMG400016123	25	40	1
OS02G0589400	PGSC0003DMG400016124	29	33	1
OS02G0589400	PGSC0003DMG400016125	40	36	1
OS02G0589400	PGSC0003DMG400016190	38	35	1
OS02G0589400	PGSC0003DMG400016191	38	35	1
OS02G0589400	PGSC0003DMG400016192	38	35	1
OS02G0589400	PGSC0003DMG400016193	39	35	1
OS02G0589400	PGSC0003DMG400016194	39	36	1
OS02G0589400	PGSC0003DMG400016195	17	30	1
OS02G0589400	PGSC0003DMG400021116	39	36	1
OS02G0589400	PGSC0003DMG400037235	19	30	1
OS02G0589400	PGSC0003DMG400038217	39	36	1
OS02G0589700	PGSC0003DMG400007000	32	25	1
OS02G0590000	PGSC0003DMG400007000	30	9	1
OS02G0590200	PGSC0003DMG400007000	28	10	1
OS02G0590400	PGSC0003DMG400007000	31	33	1
OS02G0590800	PGSC0003DMG400013590	22	38	1
OS02G0590800	PGSC0003DMG400033929	41	37	1
OS02G0590800	PGSC0003DMG401023679	39	31	1
OS02G0591700	PGSC0003DMG400008445	64	61	0
OS02G0591700	PGSC0003DMG400013270	68	66	0
OS02G0591700	PGSC0003DMG400023609	65	62	0
OS02G0591800	PGSC0003DMG400012714	70	75	1
OS02G0591900	PGSC0003DMG402006333	54	52	1
OS02G0592000	PGSC0003DMG400009427	54	54	1
OS02G0592000	PGSC0003DMG400023714	39	37	1
OS02G0592200	PGSC0003DMG400025665	10	58	0
OS02G0592400	PGSC0003DMG400011336	58	64	1
OS02G0592400	PGSC0003DMG400024718	48	51	1
OS02G0592500	PGSC0003DMG400024721	53	54	1
OS02G0592600	PGSC0003DMG400000655	18	27	1
OS02G0592600	PGSC0003DMG400006264	7	20	1
OS02G0592600	PGSC0003DMG400008330	4	25	1
OS02G0592600	PGSC0003DMG400010948	7	16	1
OS02G0592600	PGSC0003DMG400011463	8	28	1
OS02G0592600	PGSC0003DMG400021588	2	6	1
OS02G0592600	PGSC0003DMG400025677	8	27	1
OS02G0592600	PGSC0003DMG400027638	7	26	1
