Gene stable ID	Theobroma cacao gene stable ID	% identity	Theobroma cacao % identity	Orthology confidence [0 low, 1 high]
OS01G0747700	TCM_031531	26	57	1
OS01G0747800	TCM_029847	42	32	1
OS01G0747800	TCM_031539	42	40	1
OS01G0748000	TCM_031538	69	70	1
OS01G0748150	TCM_008136	37	35	1
OS01G0748150	TCM_031547	33	20	1
OS01G0748200	TCM_001852	30	39	0
OS01G0748300	TCM_029589	28	31	1
OS01G0748500	TCM_029594	65	65	1
OS01G0748600	TCM_001830	62	64	1
OS01G0748600	TCM_029600	61	63	1
OS01G0748800	TCM_023287	58	30	0
OS01G0748900	TCM_029603	65	63	1
OS01G0748950	TCM_029602	56	47	1
OS01G0749100	TCM_033969	61	59	1
OS01G0749200	TCM_032080	64	60	0
OS01G0749300	TCM_001784	35	35	1
OS01G0749300	TCM_029630	40	43	1
OS01G0749400	TCM_029642	69	70	1
OS01G0750000	TCM_008954	80	81	1
OS01G0750100	TCM_029654	33	36	1
OS01G0750300	TCM_029661	77	78	1
OS01G0750400	TCM_029663	50	28	1
OS01G0750800	TCM_029947	77	77	1
OS01G0751300	TCM_002003	45	40	1
OS01G0751300	TCM_029520	47	38	1
OS01G0751600	TCM_001995	57	52	1
OS01G0752200	TCM_002029	63	61	0
OS01G0752300	TCM_001988	90	90	0
OS01G0752300	TCM_029504	89	89	0
OS01G0752400	TCM_003549	35	33	1
OS01G0752600	TCM_002215	50	46	1
OS01G0752700	TCM_003535	78	79	1
OS01G0752800	TCM_029780	74	51	1
OS01G0752800	TCM_031663	77	80	1
OS01G0753000	TCM_008255	40	48	1
OS01G0753000	TCM_029785	46	52	1
OS01G0753100	TCM_046874	73	73	1
OS01G0753150	TCM_008257	55	46	0
OS01G0753200	TCM_021803	44	43	1
OS01G0753300	TCM_008254	42	44	1
OS01G0753300	TCM_029788	39	42	1
OS01G0753300	TCM_029789	37	37	1
OS01G0753300	TCM_029790	29	36	1
OS01G0753500	TCM_029792	41	41	1
OS01G0754100	TCM_008182	69	62	1
OS01G0754100	TCM_029814	74	66	1
OS01G0754100	TCM_031642	72	33	1
OS01G0754200	TCM_008108	66	68	0
OS01G0754200	TCM_020631	57	58	0
OS01G0754200	TCM_029874	65	65	0
OS01G0754500	TCM_008105	33	36	1
OS01G0754700	TCM_036298	41	37	1
OS01G0755100	TCM_029752	21	21	1
OS01G0755700	TCM_003637	26	24	1
OS01G0755700	TCM_029759	26	27	1
OS01G0756200	TCM_003607	51	46	1
OS01G0756200	TCM_031686	52	41	1
OS01G0756600	TCM_029497	64	55	0
OS01G0756700	TCM_029493	63	38	1
OS01G0757400	TCM_029482	76	69	0
OS01G0757500	TCM_029481	63	63	1
OS01G0757600	TCM_032329	33	24	1
OS01G0757700	TCM_015267	56	46	1
OS01G0757800	TCM_005993	54	49	1
OS01G0758000	TCM_015169	29	33	0
OS01G0758000	TCM_029705	44	48	0
OS01G0758000	TCM_041609	46	48	0
OS01G0758200	TCM_029699	26	33	1
OS01G0758300	TCM_001707	87	83	0
OS01G0758300	TCM_031773	87	83	0
OS01G0758400	TCM_030348	64	76	0
OS01G0758400	TCM_030790	61	72	0
OS01G0758500	TCM_029694	48	48	1
OS01G0759000	TCM_031863	24	12	0
OS01G0759100	TCM_031865	54	51	1
OS01G0759200	TCM_029678	50	51	1
OS01G0759400	TCM_029677	56	64	0
OS01G0759700	TCM_029674	43	47	1
OS01G0759900	TCM_029673	79	68	1
OS01G0760300	TCM_028763	54	52	0
OS01G0760300	TCM_037859	49	49	0
OS01G0760400	TCM_043276	58	59	1
OS01G0760600	TCM_037152	77	79	0
OS01G0760600	TCM_037153	61	47	0
OS01G0760600	TCM_037858	74	84	0
OS01G0760800	TCM_028767	66	12	0
OS01G0760900	TCM_037857	28	28	1
OS01G0761000	TCM_028770	37	39	1
OS01G0761100	TCM_028771	29	31	1
OS01G0761300	TCM_028775	73	40	1
OS01G0761800	TCM_004032	27	7	1
OS01G0761800	TCM_020895	0	0	1
OS01G0761800	TCM_020897	18	21	1
OS01G0761800	TCM_020899	11	4	1
OS01G0762000	TCM_024457	55	65	0
OS01G0762300	TCM_030732	47	43	1
OS01G0762400	TCM_030663	49	43	0
OS01G0762500	TCM_004032	35	34	1
OS01G0762500	TCM_020895	6	39	1
OS01G0762500	TCM_020897	10	44	1
OS01G0762500	TCM_020899	26	31	1
OS01G0763000	TCM_018942	59	51	1
OS01G0763100	TCM_011956	40	31	1
OS01G0763200	TCM_014288	29	24	0
OS01G0763200	TCM_018809	29	25	0
OS01G0763300	TCM_014284	55	60	1
OS01G0763600	TCM_011524	67	66	1
OS01G0763600	TCM_014275	70	68	1
OS01G0763700	TCM_047041	47	48	1
OS01G0763750	TCM_014266	39	37	1
OS01G0763750	TCM_018763	46	42	1
OS01G0763900	TCM_011552	34	37	0
OS01G0763900	TCM_014254	37	31	0
OS01G0764000	TCM_004589	47	37	1
OS01G0764000	TCM_021192	47	47	1
OS01G0764300	TCM_011611	55	55	1
OS01G0764300	TCM_011615	29	37	1
OS01G0764400	TCM_011609	56	55	1
OS01G0764400	TCM_018676	58	56	1
OS01G0764500	TCM_011602	52	12	0
OS01G0764600	TCM_011622	62	62	1
OS01G0764700	TCM_016244	51	49	1
OS01G0764900	TCM_000767	10	29	0
OS01G0764900	TCM_000769	11	52	0
OS01G0764900	TCM_000770	80	62	0
OS01G0764950	TCM_004596	41	43	1
OS01G0765000	TCM_014643	66	62	1
OS01G0765200	TCM_034716	39	14	1
OS01G0765300	TCM_034716	39	20	1
OS01G0765600	TCM_000467	24	33	1
OS01G0765600	TCM_033977	30	34	1
OS01G0765900	TCM_022543	19	40	1
OS01G0765900	TCM_041446	18	39	1
OS01G0766000	TCM_007278	51	55	1
OS01G0766200	TCM_000464	41	56	1
OS01G0766200	TCM_033981	38	41	1
OS01G0766400	TCM_036881	38	22	1
OS01G0766600	TCM_034669	38	29	1
OS01G0766900	TCM_034646	86	21	1
OS01G0767100	TCM_000865	60	61	1
OS01G0767600	TCM_006356	54	53	1
OS01G0767700	TCM_001934	57	58	1
OS01G0767900	TCM_001936	46	50	1
OS01G0767900	TCM_008042	8	31	1
OS01G0767900	TCM_029330	52	56	1
OS01G0768200	TCM_001939	63	65	1
OS01G0768300	TCM_032563	49	48	1
OS01G0768600	TCM_035569	9	32	1
OS01G0768700	TCM_027081	28	7	1
OS01G0769000	TCM_032439	50	48	0
OS01G0769000	TCM_032442	34	54	0
OS01G0769200	TCM_026974	66	66	0
OS01G0769700	TCM_019677	64	64	1
OS01G0769900	TCM_029408	54	56	1
OS01G0770000	TCM_005148	43	44	1
OS01G0770000	TCM_015402	39	37	1
OS01G0770000	TCM_036304	33	28	1
OS01G0770000	TCM_036306	34	34	1
OS01G0770100	TCM_005148	40	38	1
OS01G0770100	TCM_015402	36	32	1
OS01G0770100	TCM_036304	30	24	1
OS01G0770100	TCM_036306	33	31	1
OS01G0770400	TCM_029448	57	57	1
OS01G0770500	TCM_046684	60	55	1
OS01G0770700	TCM_021811	38	42	1
OS01G0770700	TCM_021813	31	33	1
OS01G0770700	TCM_041728	30	26	1
OS01G0770700	TCM_041729	40	42	1
OS01G0770700	TCM_041730	41	42	1
OS01G0770800	TCM_021811	43	44	1
OS01G0770800	TCM_021813	32	32	1
OS01G0770800	TCM_041728	35	28	1
OS01G0770800	TCM_041729	45	44	1
OS01G0770800	TCM_041730	44	42	1
OS01G0771000	TCM_027175	40	44	1
OS01G0771000	TCM_038117	27	23	1
OS01G0771100	TCM_014229	55	58	1
OS01G0771200	TCM_023093	39	43	1
OS01G0771400	TCM_041172	67	61	1
OS01G0772000	TCM_041154	20	24	1
OS01G0772150	TCM_025848	51	46	1
OS01G0772200	TCM_034139	62	66	1
OS01G0772200	TCM_043099	52	55	1
OS01G0772400	TCM_033833	58	58	1
OS01G0772500	TCM_027853	37	36	1
OS01G0772600	TCM_026463	81	80	1
OS01G0772700	TCM_026422	59	43	0
OS01G0772800	TCM_027264	91	91	1
OS01G0773000	TCM_026386	51	24	1
OS01G0773100	TCM_020703	66	65	1
OS01G0773200	TCM_004269	38	12	1
OS01G0773600	TCM_020768	62	69	1
OS01G0773700	TCM_026321	52	48	0
OS01G0773700	TCM_046978	50	46	0
OS01G0773800	TCM_020787	20	25	1
OS01G0774500	TCM_004179	55	52	1
OS01G0774500	TCM_020789	56	55	1
OS01G0775100	TCM_020791	24	18	1
OS01G0775300	TCM_020807	35	41	1
OS01G0775400	TCM_034120	67	67	1
OS01G0775500	TCM_034121	51	28	0
OS01G0775600	TCM_034130	68	53	1
OS01G0776400	TCM_006821	62	58	1
OS01G0776600	TCM_006820	73	72	1
OS01G0776600	TCM_034133	67	67	1
OS01G0776600	TCM_034134	68	68	1
OS01G0776700	TCM_022292	38	42	1
OS01G0777000	TCM_024185	52	50	1
OS01G0777200	TCM_022363	54	56	1
OS01G0777200	TCM_041550	55	55	1
OS01G0777300	TCM_029587	39	49	1
OS01G0777400	TCM_009958	23	15	1
OS01G0777600	TCM_009958	23	15	1
OS01G0777800	TCM_009957	49	44	1
OS01G0778100	TCM_036521	23	26	1
OS01G0778500	TCM_001626	32	54	1
OS01G0778500	TCM_020613	34	65	1
OS01G0778500	TCM_026396	36	69	1
OS01G0779300	TCM_007343	41	42	0
OS01G0779400	TCM_029940	45	40	1
OS01G0780400	TCM_029950	45	39	1
OS01G0780500	TCM_007982	76	72	1
OS01G0780500	TCM_029955	74	59	1
OS01G0780600	TCM_022165	53	55	1
OS01G0780600	TCM_043164	51	53	1
OS01G0780800	TCM_007971	69	68	1
OS01G0780800	TCM_031334	49	45	1
OS01G0781000	TCM_029974	65	45	1
OS01G0782200	TCM_029978	41	44	1
OS01G0782500	TCM_007285	56	60	0
OS01G0782800	TCM_031305	65	53	1
OS01G0783200	TCM_007928	65	65	1
OS01G0783200	TCM_031295	62	58	1
OS01G0783400	TCM_007852	45	22	1
OS01G0783500	TCM_007846	60	51	0
OS01G0783500	TCM_030023	52	55	0
OS01G0783600	TCM_007844	49	53	1
OS01G0783700	TCM_007836	56	60	1
OS01G0783700	TCM_030025	53	52	1
OS01G0783700	TCM_030026	54	54	1
OS01G0783700	TCM_031234	60	54	1
OS01G0783700	TCM_031286	53	53	1
OS01G0783800	TCM_030029	39	39	1
OS01G0783800	TCM_030031	36	37	1
OS01G0783800	TCM_030032	38	38	1
OS01G0783800	TCM_030033	38	37	1
OS01G0784200	TCM_030035	46	47	1
OS01G0784600	TCM_000588	48	48	1
OS01G0784600	TCM_007025	51	52	1
OS01G0784600	TCM_033891	49	47	1
OS01G0784700	TCM_030035	48	48	1
OS01G0784800	TCM_030049	81	79	1
OS01G0784900	TCM_011083	13	7	1
OS01G0785400	TCM_007830	63	62	1
OS01G0785400	TCM_031174	64	64	1
OS01G0785600	TCM_035616	34	36	0
OS01G0785700	TCM_030057	31	36	1
OS01G0785700	TCM_030058	28	32	1
OS01G0785900	TCM_030073	42	49	0
OS01G0785900	TCM_031127	56	62	0
OS01G0786700	TCM_030083	47	41	1
OS01G0786800	TCM_030083	43	41	1
OS01G0786900	TCM_031114	50	47	1
OS01G0788200	TCM_030170	53	62	1
OS01G0788400	TCM_030171	51	51	1
OS01G0788500	TCM_026954	31	31	1
OS01G0788500	TCM_026957	26	34	1
OS01G0788500	TCM_026959	24	34	1
OS01G0788500	TCM_027176	19	35	1
OS01G0788500	TCM_027178	26	29	1
OS01G0788500	TCM_027184	32	31	1
OS01G0788500	TCM_027187	32	33	1
OS01G0788500	TCM_027219	15	32	1
OS01G0788500	TCM_027234	14	26	1
OS01G0788500	TCM_027238	31	32	1
OS01G0788500	TCM_028297	36	36	1
OS01G0788500	TCM_028298	33	33	1
OS01G0788500	TCM_028306	33	27	1
OS01G0788500	TCM_030887	20	29	1
OS01G0788500	TCM_046035	12	27	1
OS01G0788500	TCM_046038	18	36	1
OS01G0788700	TCM_031064	36	35	0
OS01G0788800	TCM_003923	16	18	1
OS01G0788800	TCM_003924	13	14	1
OS01G0788900	TCM_011534	50	51	1
OS01G0788950	TCM_030555	77	76	0
OS01G0789100	TCM_030194	43	40	1
OS01G0789200	TCM_030193	45	54	1
OS01G0789200	TCM_030963	48	60	1
OS01G0793100	TCM_019921	32	23	0
OS01G0793100	TCM_029921	46	26	0
OS01G0793100	TCM_029922	46	26	0
OS01G0793100	TCM_029925	9	11	0
OS01G0793200	TCM_030195	46	45	1
OS01G0793300	TCM_006866	31	16	0
OS01G0793500	TCM_030949	70	66	1
OS01G0793600	TCM_030949	35	9	1
OS01G0794400	TCM_034285	45	42	0
OS01G0796400	TCM_031591	67	68	1
OS01G0796500	TCM_001858	53	34	1
OS01G0796700	TCM_008152	39	38	1
OS01G0796700	TCM_029829	41	45	1
OS01G0797600	TCM_008162	39	46	1
OS01G0797600	TCM_029820	42	41	1
OS01G0798500	TCM_005968	48	53	1
OS01G0798800	TCM_002357	30	30	1
OS01G0798800	TCM_006503	27	13	1
OS01G0798800	TCM_006506	22	25	1
OS01G0798800	TCM_006508	22	27	1
OS01G0798800	TCM_006509	27	28	1
OS01G0798800	TCM_016620	7	8	1
OS01G0798800	TCM_016622	7	6	1
OS01G0798800	TCM_016663	6	6	1
OS01G0798800	TCM_027053	32	27	1
OS01G0798800	TCM_029132	30	27	1
OS01G0798800	TCM_029163	29	28	1
OS01G0798800	TCM_029167	24	24	1
OS01G0798800	TCM_029181	33	33	1
OS01G0798800	TCM_029186	33	34	1
OS01G0798800	TCM_032136	22	24	1
OS01G0798800	TCM_032137	29	28	1
OS01G0798800	TCM_041206	41	41	1
OS01G0799000	TCM_016623	32	25	1
OS01G0799000	TCM_016664	30	21	1
OS01G0799100	TCM_016621	24	16	1
OS01G0799100	TCM_016660	17	21	1
OS01G0799500	TCM_005970	44	43	1
OS01G0799500	TCM_033602	47	44	1
OS01G0799900	TCM_033584	62	63	1
OS01G0800266	TCM_033351	59	38	0
OS01G0800300	TCM_006044	49	50	1
OS01G0800400	TCM_005978	38	39	1
OS01G0800500	TCM_042391	62	31	1
OS01G0800600	TCM_040831	23	29	1
OS01G0801000	TCM_024495	51	47	1
OS01G0801200	TCM_015937	15	29	1
OS01G0801200	TCM_024498	28	31	1
OS01G0801200	TCM_042370	24	18	1
OS01G0801500	TCM_016546	55	54	1
OS01G0801600	TCM_024615	81	82	1
OS01G0801700	TCM_020285	59	61	1
OS01G0801901	TCM_042360	45	41	1
OS01G0802000	TCM_023780	38	40	1
OS01G0802100	TCM_040959	66	69	1
OS01G0802400	TCM_002516	20	23	0
OS01G0802400	TCM_002922	24	23	0
OS01G0802400	TCM_004162	21	17	0
OS01G0802400	TCM_005949	27	26	0
OS01G0802400	TCM_008928	25	25	0
OS01G0802400	TCM_014044	24	16	0
OS01G0802400	TCM_014168	19	19	0
OS01G0802400	TCM_023358	24	24	0
OS01G0802600	TCM_004444	48	49	1
OS01G0802850	TCM_037018	77	65	1
OS01G0802850	TCM_038068	73	73	1
OS01G0803300	TCM_044732	61	46	0
OS01G0803300	TCM_044735	49	45	0
OS01G0803900	TCM_044428	49	51	1
OS01G0804400	TCM_044428	51	52	1
OS01G0804900	TCM_015019	24	47	0
OS01G0805000	TCM_029722	45	47	1
OS01G0805100	TCM_002454	45	27	0
OS01G0805200	TCM_012901	50	52	1
OS01G0805300	TCM_023888	61	54	0
OS01G0805400	TCM_042214	38	39	1
OS01G0805400	TCM_042215	41	42	1
OS01G0805400	TCM_042216	37	38	1
OS01G0805400	TCM_042217	40	41	1
OS01G0805400	TCM_042218	38	40	1
OS01G0805400	TCM_042219	39	40	1
OS01G0805500	TCM_042214	41	37	1
OS01G0805500	TCM_042215	47	42	1
OS01G0805500	TCM_042216	42	38	1
OS01G0805500	TCM_042217	42	38	1
OS01G0805500	TCM_042218	44	41	1
OS01G0805500	TCM_042219	42	38	1
OS01G0805600	TCM_023873	57	38	1
OS01G0805600	TCM_040551	36	30	1
OS01G0805600	TCM_040973	61	47	1
OS01G0805700	TCM_023871	54	52	1
OS01G0805700	TCM_040982	62	62	1
OS01G0805800	TCM_037836	68	69	1
OS01G0805900	TCM_023865	97	98	0
OS01G0805900	TCM_040994	98	95	0
OS01G0805900	TCM_040995	97	97	0
OS01G0806000	TCM_024070	50	45	1
OS01G0806200	TCM_024085	9	9	1
OS01G0806400	TCM_044774	41	49	1
OS01G0807900	TCM_040900	72	72	1
OS01G0808100	TCM_023491	47	52	0
OS01G0808100	TCM_023492	59	46	0
OS01G0808400	TCM_040893	79	76	1
OS01G0809300	TCM_042026	80	66	1
OS01G0809900	TCM_023913	62	62	1
OS01G0810000	TCM_024053	67	67	1
OS01G0810100	TCM_000758	76	75	0
OS01G0810200	TCM_023711	50	50	1
OS01G0810500	TCM_028941	11	11	0
OS01G0810500	TCM_037727	10	10	0
OS01G0810600	TCM_028941	11	10	0
OS01G0810600	TCM_037727	11	10	0
OS01G0810800	TCM_028941	10	11	0
OS01G0810800	TCM_037727	10	10	0
OS01G0811001	TCM_028941	14	9	0
OS01G0811001	TCM_037727	12	7	0
OS01G0811100	TCM_041008	87	87	1
OS01G0811100	TCM_041032	86	86	1
OS01G0811300	TCM_044594	43	47	1
OS01G0811400	TCM_025466	56	24	0
OS01G0812050	TCM_025760	20	19	0
OS01G0812100	TCM_042018	31	41	1
OS01G0812200	TCM_034933	35	40	0
OS01G0812200	TCM_040847	34	34	0
OS01G0812800	TCM_001199	73	73	0
OS01G0812800	TCM_042014	75	75	0
OS01G0812900	TCM_019657	58	57	0
OS01G0813300	TCM_044588	76	23	1
OS01G0813400	TCM_004887	98	98	0
OS01G0813400	TCM_010392	99	99	0
OS01G0813400	TCM_016902	99	99	0
OS01G0813400	TCM_026802	98	98	0
OS01G0813500	TCM_044579	59	57	1
OS01G0813700	TCM_004645	52	49	0
OS01G0813700	TCM_004646	51	50	0
OS01G0813700	TCM_004647	50	49	0
OS01G0813700	TCM_041034	52	51	0
OS01G0813700	TCM_041036	8	43	0
OS01G0813700	TCM_041038	15	40	0
OS01G0813700	TCM_041040	20	54	0
OS01G0813800	TCM_004645	52	22	0
OS01G0813800	TCM_004646	51	23	0
OS01G0813800	TCM_004647	50	23	0
OS01G0813800	TCM_041034	52	24	0
OS01G0813800	TCM_041036	0	0	0
OS01G0813800	TCM_041038	32	39	0
OS01G0813800	TCM_041040	44	55	0
OS01G0813900	TCM_025771	34	40	1
OS01G0814000	TCM_044574	26	22	1
OS01G0814100	TCM_041123	37	38	1
OS01G0814200	TCM_044604	43	25	1
OS01G0814300	TCM_024717	51	61	1
OS01G0814700	TCM_025794	50	38	1
OS01G0814800	TCM_025797	62	63	1
OS01G0814900	TCM_025799	77	76	1
OS01G0814900	TCM_041133	71	47	1
OS01G0815800	TCM_015113	89	88	0
OS01G0815800	TCM_022390	88	87	0
OS01G0815800	TCM_043464	89	80	0
OS01G0815800	TCM_044513	36	47	0
OS01G0815900	TCM_026026	47	45	1
OS01G0816000	TCM_026033	43	38	1
OS01G0816400	TCM_027100	73	72	0
OS01G0816500	TCM_027100	67	8	0
OS01G0816600	TCM_036028	56	54	1
OS01G0816700	TCM_039977	61	61	1
OS01G0816700	TCM_039984	60	60	1
OS01G0817000	TCM_046937	50	49	1
OS01G0817100	TCM_046941	60	53	1
OS01G0817400	TCM_001511	48	57	0
OS01G0817400	TCM_005806	32	37	0
OS01G0817400	TCM_005807	32	37	0
OS01G0817400	TCM_029516	31	37	0
OS01G0817650	TCM_041490	42	41	1
OS01G0817700	TCM_016784	79	79	0
OS01G0817700	TCM_019934	86	86	0
OS01G0817800	TCM_017805	72	71	1
OS01G0817800	TCM_045600	75	72	1
OS01G0818000	TCM_019643	65	68	1
OS01G0818100	TCM_045594	46	44	1
OS01G0818200	TCM_027462	39	37	0
OS01G0818300	TCM_019653	60	60	1
OS01G0818400	TCM_000062	49	51	0
OS01G0818400	TCM_034409	45	53	0
OS01G0818600	TCM_042309	60	33	1
OS01G0818700	TCM_042309	50	22	1
OS01G0819000	TCM_019672	37	33	1
OS01G0819100	TCM_019673	66	37	1
OS01G0819100	TCM_042303	71	38	1
OS01G0819100	TCM_045579	64	36	1
OS01G0819200	TCM_006636	67	37	0
OS01G0819200	TCM_034253	68	38	0
OS01G0819300	TCM_006636	41	9	0
OS01G0819300	TCM_034253	40	9	0
OS01G0819800	TCM_022619	46	49	1
OS01G0819900	TCM_045553	71	72	0
OS01G0820000	TCM_042294	45	30	0
OS01G0820000	TCM_045554	44	29	0
OS01G0821600	TCM_019689	19	18	1
OS01G0821600	TCM_045556	21	20	1
OS01G0821700	TCM_019695	36	36	1
OS01G0821800	TCM_045490	44	44	1
OS01G0821900	TCM_019696	55	44	1
OS01G0821900	TCM_045491	57	45	1
OS01G0822200	TCM_019703	61	60	1
OS01G0822800	TCM_019707	38	28	0
OS01G0822800	TCM_042287	34	36	0
OS01G0822800	TCM_045522	39	31	0
OS01G0822900	TCM_019710	34	34	0
OS01G0822900	TCM_019716	32	20	0
OS01G0822900	TCM_019718	36	37	0
OS01G0822900	TCM_045525	27	26	0
OS01G0823100	TCM_042282	76	75	0
OS01G0823100	TCM_045526	76	76	0
OS01G0823100	TCM_046360	53	51	0
OS01G0823200	TCM_042281	74	38	1
OS01G0823300	TCM_042279	73	76	0
OS01G0823300	TCM_045541	71	73	0
OS01G0823400	TCM_019729	31	33	1
OS01G0823600	TCM_045551	67	66	1
OS01G0823700	TCM_042273	34	34	1
OS01G0823900	TCM_019731	44	44	1
OS01G0824500	TCM_042272	40	38	1
OS01G0824600	TCM_019737	53	57	1
OS01G0824600	TCM_042264	54	58	1
OS01G0824600	TCM_045446	53	59	1
OS01G0824900	TCM_019750	6	7	0
OS01G0824900	TCM_045439	6	6	0
OS01G0825000	TCM_042262	49	55	1
OS01G0825000	TCM_045438	53	60	1
OS01G0825500	TCM_042255	48	43	1
OS01G0825800	TCM_042407	52	47	1
OS01G0825800	TCM_042409	55	58	1
OS01G0825800	TCM_042410	46	52	1
OS01G0826000	TCM_042418	62	60	1
OS01G0826400	TCM_021580	35	16	0
OS01G0826400	TCM_042240	46	42	0
OS01G0826800	TCM_042236	46	51	1
OS01G0826900	TCM_040640	59	60	1
OS01G0827200	TCM_042231	43	38	1
OS01G0827300	TCM_042229	63	62	1
OS01G0827300	TCM_042428	71	70	1
OS01G0827400	TCM_021593	55	37	1
OS01G0827500	TCM_042233	47	48	1
OS01G0827600	TCM_042233	37	32	1
OS01G0827700	TCM_019837	47	47	1
OS01G0827700	TCM_042234	48	47	1
OS01G0827700	TCM_042235	48	35	1
OS01G0827800	TCM_021605	46	55	1
OS01G0827800	TCM_042432	45	54	1
OS01G0828100	TCM_042206	47	34	1
OS01G0828200	TCM_021613	43	42	1
OS01G0828200	TCM_021614	34	32	1
OS01G0828200	TCM_021615	37	31	1
OS01G0828200	TCM_021616	38	33	1
OS01G0828300	TCM_042451	53	58	1
OS01G0828900	TCM_001710	50	50	1
OS01G0828900	TCM_029696	48	57	1
OS01G0828900	TCM_031777	53	60	1
OS01G0829000	TCM_003963	59	49	1
OS01G0829100	TCM_042453	44	39	1
OS01G0829400	TCM_042195	44	47	1
OS01G0829800	TCM_014018	78	68	1
OS01G0830000	TCM_028701	69	68	1
OS01G0830000	TCM_030209	70	66	1
OS01G0830100	TCM_041600	71	58	1
OS01G0830500	TCM_042485	30	32	1
OS01G0830900	TCM_042178	25	31	1
OS01G0830900	TCM_042472	30	24	1
OS01G0831200	TCM_021637	58	52	1
OS01G0831300	TCM_021636	68	30	0
OS01G0831800	TCM_022848	12	13	0
OS01G0831800	TCM_041295	12	17	0
OS01G0831900	TCM_021636	66	67	0
OS01G0832000	TCM_042186	54	38	1
OS01G0832200	TCM_041601	54	55	0
OS01G0832300	TCM_021684	80	80	1
OS01G0832600	TCM_021686	57	58	1
OS01G0832600	TCM_042490	56	57	1
OS01G0832900	TCM_042493	43	42	1
OS01G0833000	TCM_018322	46	45	0
OS01G0833100	TCM_042494	53	54	1
OS01G0833150	TCM_043078	25	19	1
OS01G0833150	TCM_043079	27	21	1
OS01G0833200	TCM_043078	60	59	1
OS01G0833200	TCM_043079	63	61	1
OS01G0833400	TCM_035118	46	45	1
OS01G0833500	TCM_043102	71	58	1
OS01G0833600	TCM_020128	22	12	1
OS01G0833700	TCM_006045	73	72	1
OS01G0833800	TCM_022097	46	48	1
OS01G0833800	TCM_043085	53	48	1
OS01G0834100	TCM_022090	36	20	1
OS01G0834100	TCM_041102	37	20	1
OS01G0834200	TCM_041113	77	76	0
OS01G0834500	TCM_022089	96	96	0
OS01G0834500	TCM_043077	96	96	0
OS01G0834600	TCM_022089	100	32	0
OS01G0834600	TCM_043077	100	32	0
OS01G0834700	TCM_022072	75	75	0
OS01G0834700	TCM_043046	77	78	0
OS01G0835000	TCM_022061	53	49	1
OS01G0835000	TCM_043034	58	52	1
OS01G0835500	TCM_041962	60	56	0
OS01G0835600	TCM_022050	22	38	1
OS01G0835700	TCM_041942	20	28	1
OS01G0835800	TCM_000982	41	34	1
OS01G0835800	TCM_034513	37	32	1
OS01G0835900	TCM_039116	100	100	0
OS01G0836400	TCM_043020	43	39	1
OS01G0836700	TCM_022030	37	24	1
OS01G0836800	TCM_022030	54	56	1
OS01G0836900	TCM_022025	39	39	1
OS01G0836900	TCM_042990	36	41	1
OS01G0837000	TCM_022022	66	53	1
OS01G0837000	TCM_042989	65	54	1
OS01G0837200	TCM_042979	55	20	0
OS01G0837200	TCM_042983	52	19	0
OS01G0837300	TCM_004657	49	22	0
OS01G0837300	TCM_021229	48	22	0
OS01G0837500	TCM_041353	90	64	1
OS01G0837600	TCM_022011	46	49	0
OS01G0837600	TCM_042967	51	55	0
OS01G0837600	TCM_042970	46	50	0
OS01G0837600	TCM_042972	36	47	0
OS01G0837800	TCM_042961	77	81	1
OS01G0837900	TCM_022010	81	77	1
OS01G0838800	TCM_016695	68	68	1
OS01G0838800	TCM_029072	56	58	1
OS01G0838800	TCM_029552	71	71	1
OS01G0838900	TCM_041901	50	51	1
OS01G0838900	TCM_042838	52	51	1
OS01G0839200	TCM_041902	36	33	1
OS01G0839200	TCM_042839	23	32	1
OS01G0839300	TCM_001428	80	80	1
OS01G0839400	TCM_022009	57	32	1
OS01G0839700	TCM_041873	77	54	1
OS01G0839700	TCM_042795	75	76	1
OS01G0839900	TCM_041871	66	65	1
OS01G0840200	TCM_021960	60	62	0
OS01G0840200	TCM_041867	59	61	0
OS01G0840200	TCM_042792	60	61	0
OS01G0840300	TCM_041866	75	19	0
OS01G0840700	TCM_005339	76	24	0
OS01G0840700	TCM_015193	80	30	0
OS01G0841000	TCM_041849	44	34	1
OS01G0841000	TCM_042771	40	41	1
OS01G0841100	TCM_041845	50	43	1
OS01G0841200	TCM_010885	79	54	1
OS01G0841500	TCM_021936	42	44	1
OS01G0841600	TCM_041830	82	83	0
OS01G0841600	TCM_042755	80	69	0
OS01G0841700	TCM_042750	49	48	1
OS01G0841800	TCM_021924	54	37	1
OS01G0842200	TCM_021920	40	43	1
OS01G0842200	TCM_041810	35	41	1
OS01G0842200	TCM_041812	34	41	1
OS01G0842200	TCM_041813	28	35	1
OS01G0842200	TCM_041814	38	40	1
OS01G0842200	TCM_041815	38	37	1
OS01G0842200	TCM_042705	41	45	1
OS01G0842400	TCM_021909	66	67	1
OS01G0842400	TCM_032988	73	73	1
OS01G0842400	TCM_041799	69	68	1
OS01G0842400	TCM_041945	72	72	1
OS01G0842400	TCM_041965	71	71	1
OS01G0842500	TCM_021909	68	68	1
OS01G0842500	TCM_032988	73	73	1
OS01G0842500	TCM_041799	68	68	1
OS01G0842500	TCM_041945	73	73	1
OS01G0842500	TCM_041965	71	70	1
OS01G0842600	TCM_041805	71	70	0
OS01G0843300	TCM_004396	58	55	1
