Gene stable ID	Oryza longistaminata gene stable ID	% identity	Oryza longistaminata % identity	Orthology confidence [0 low, 1 high]
OS02G0605400	KN538893.1_FG030	87	14	0
OS02G0605500	KN538893.1_FG039	98	98	1
OS02G0605600	KN538893.1_FG046	89	84	0
OS02G0605900	KN538893.1_FG049	99	99	1
OS02G0606000	KN538893.1_FG038	99	100	1
OS02G0606100	KN538893.1_FG029	98	25	1
OS02G0606300	KN538893.1_FG045	53	21	1
OS02G0606700	KN538893.1_FG047	91	96	0
OS02G0606800	KN538893.1_FG027	83	95	1
OS02G0606900	KN538893.1_FG041	76	87	0
OS02G0607000	KN538893.1_FG033	95	74	1
OS02G0607000	KN538893.1_FG035	96	75	1
OS02G0607100	KN543361.1_FG001	91	80	1
OS02G0607400	KN543361.1_FG001	80	76	1
OS02G0607500	KN538893.1_FG006	73	93	1
OS02G0607700	KN538893.1_FG009	50	87	1
OS02G0608400	KN538893.1_FG008	99	99	1
OS02G0608500	KN538893.1_FG005	54	92	1
OS02G0608550	KN538893.1_FG011	39	14	1
OS02G0608600	KN538893.1_FG011	92	73	1
OS02G0608700	KN538893.1_FG002	81	47	1
OS02G0608801	AMDW01021634.1_FG001	21	98	1
OS02G0608801	KN538893.1_FG007	98	98	1
OS02G0608801	KN539183.1_FG011	41	57	1
OS02G0608900	KN538893.1_FG012	64	100	1
OS02G0608900	KN542187.1_FG002	40	99	1
OS02G0609200	AMDW01004553.1_FG001	47	100	1
OS02G0609200	KN542187.1_FG001	96	100	1
OS02G0609400	KN542359.1_FG002	99	86	1
OS02G0609800	KN539433.1_FG009	57	78	1
OS02G0609900	KN539433.1_FG004	75	55	1
OS02G0610000	KN541388.1_FG003	46	52	0
OS02G0610400	KN539433.1_FG003	94	85	1
OS02G0610500	KN539433.1_FG001	28	69	0
OS02G0610600	KN538791.1_FG019	40	56	0
OS02G0610800	KN539433.1_FG010	78	100	1
OS02G0611200	KN539433.1_FG008	99	84	1
OS02G0611400	KN539433.1_FG005	84	97	1
OS02G0611500	AMDW01040923.1_FG001	89	98	1
OS02G0612000	KN541848.1_FG004	85	84	1
OS02G0612100	KN541848.1_FG003	71	96	1
OS02G0612200	KN541848.1_FG002	33	96	1
OS02G0612300	KN540249.1_FG002	98	83	1
OS02G0612800	KN540249.1_FG004	99	98	1
OS02G0612900	KN540249.1_FG001	97	97	1
OS02G0613000	KN539462.1_FG007	72	92	0
OS02G0613100	AMDW01012599.1_FG001	13	100	1
OS02G0613100	KN545651.1_FG001	17	98	1
OS02G0613200	KN539462.1_FG005	95	99	1
OS02G0613400	KN539462.1_FG002	99	20	1
OS02G0613600	KN539462.1_FG008	64	78	1
OS02G0613900	KN539462.1_FG009	40	57	0
OS02G0614100	KN539462.1_FG001	61	99	1
OS02G0614200	KN539462.1_FG003	74	84	1
OS02G0614300	KN539462.1_FG004	45	44	1
OS02G0614400	AMDW01036300.1_FG001	40	100	1
OS02G0614400	KN544518.1_FG002	42	92	1
OS02G0614600	AMDW01037529.1_FG001	26	95	1
OS02G0614966	KN541698.1_FG001	50	38	1
OS02G0615400	KN540682.1_FG003	88	34	1
OS02G0615800	KN540247.1_FG001	59	60	0
OS02G0615800	KN541698.1_FG002	53	52	0
OS02G0616100	KN540247.1_FG002	40	61	1
OS02G0616199	KN540232.1_FG004	58	29	0
OS02G0617075	KN540232.1_FG003	35	80	1
OS02G0617100	AMDW01040732.1_FG001	94	53	1
OS02G0617100	KN540232.1_FG006	96	32	1
OS02G0617300	KN540232.1_FG001	69	28	0
OS02G0617500	KN543049.1_FG001	70	40	1
OS02G0617600	KN540881.1_FG002	78	70	1
OS02G0617700	KN540881.1_FG005	94	33	0
OS02G0618100	KN540881.1_FG006	90	86	1
OS02G0618200	KN540881.1_FG001	95	100	1
OS02G0618700	AMDW01067361.1_FG001	82	100	1
OS02G0619600	AMDW01040581.1_FG001	65	96	1
OS02G0619600	KN538903.1_FG005	96	89	1
OS02G0620100	KN538903.1_FG003	75	68	0
OS02G0620400	KN538903.1_FG010	87	94	1
OS02G0620500	KN538903.1_FG016	67	99	1
OS02G0620600	KN538903.1_FG019	76	99	1
OS02G0621100	KN538903.1_FG002	90	94	1
OS02G0621300	KN538903.1_FG011	28	100	1
OS02G0621300	KN538903.1_FG015	66	99	1
OS02G0621500	KN538903.1_FG017	71	88	1
OS02G0621700	KN538903.1_FG001	100	100	1
OS02G0622100	KN538903.1_FG008	84	98	1
OS02G0622200	KN538903.1_FG013	98	97	1
OS02G0622300	KN538903.1_FG014	100	100	1
OS02G0622400	KN538903.1_FG007	57	67	0
OS02G0622500	KN538903.1_FG004	91	49	1
OS02G0623500	KN538903.1_FG018	79	90	1
OS02G0623600	KN538764.1_FG007	39	23	1
OS02G0623932	AMDW01038731.1_FG001	58	49	1
OS02G0624400	KN538764.1_FG005	64	91	1
OS02G0625000	KN538764.1_FG008	94	87	1
OS02G0625100	KN538764.1_FG004	98	98	1
OS02G0625500	KN538764.1_FG001	90	100	1
OS02G0625900	KN538764.1_FG012	98	98	1
OS02G0625900	KN538764.1_FG030	45	97	1
OS02G0626100	KN538764.1_FG009	88	88	0
OS02G0626400	KN538764.1_FG003	92	97	1
OS02G0626600	KN538764.1_FG006	91	92	1
OS02G0627100	KN538764.1_FG010	92	96	1
OS02G0627700	KN538764.1_FG032	99	91	1
OS02G0627900	KN538764.1_FG036	68	96	1
OS02G0628000	KN538764.1_FG025	99	84	1
OS02G0628200	KN538764.1_FG041	88	86	1
OS02G0628600	KN538764.1_FG035	46	64	1
OS02G0628900	KN538764.1_FG026	89	63	1
OS02G0629200	KN538764.1_FG033	99	99	1
OS02G0629400	KN538764.1_FG042	99	99	1
OS02G0629800	KN538764.1_FG040	95	95	1
OS02G0630000	KN538764.1_FG034	86	93	1
OS02G0630250	KN538764.1_FG027	98	98	1
OS02G0630300	KN538764.1_FG029	35	59	1
OS02G0631000	KN538943.1_FG019	89	85	1
OS02G0631100	KN538943.1_FG006	100	100	1
OS02G0631200	KN538943.1_FG004	99	99	1
OS02G0631500	KN538943.1_FG007	95	27	1
OS02G0632100	KN538943.1_FG015	97	55	0
OS02G0632500	KN538943.1_FG008	82	95	1
OS02G0632800	AMDW01037885.1_FG001	12	31	0
OS02G0632900	AMDW01037885.1_FG001	17	31	0
OS02G0633066	KN538943.1_FG018	92	97	1
OS02G0633100	KN538943.1_FG011	77	90	1
OS02G0633200	KN538943.1_FG016	84	93	1
OS02G0633300	KN538943.1_FG002	66	29	0
OS02G0633400	KN538943.1_FG009	92	90	1
OS02G0633900	KN538943.1_FG017	48	79	1
OS02G0634100	KN538943.1_FG010	43	82	1
OS02G0634500	KN538943.1_FG003	36	84	1
OS02G0634600	KN540987.1_FG001	87	99	1
OS02G0634700	KN540987.1_FG004	74	96	1
OS02G0634900	KN540987.1_FG003	100	91	1
OS02G0635000	KN540987.1_FG002	92	51	1
OS02G0635200	KN543402.1_FG001	49	98	1
OS02G0635600	KN540921.1_FG001	85	77	1
OS02G0636400	KN545240.1_FG001	91	64	1
OS02G0636600	AMDW01011386.1_FG001	27	100	1
OS02G0636600	KN543518.1_FG002	100	100	1
OS02G0636700	KN540996.1_FG002	88	99	1
OS02G0637000	KN540996.1_FG003	59	98	1
OS02G0637700	KN540996.1_FG001	99	39	1
OS02G0637900	KN539013.1_FG007	82	100	1
OS02G0638000	KN539013.1_FG004	71	40	1
OS02G0638400	KN539013.1_FG013	53	61	0
OS02G0638900	KN539013.1_FG020	73	66	1
OS02G0639000	KN539013.1_FG023	99	99	1
OS02G0639100	KN539013.1_FG012	88	76	1
OS02G0639500	KN539013.1_FG019	100	96	1
OS02G0639600	KN539013.1_FG014	99	96	1
OS02G0639700	KN539013.1_FG021	93	92	0
OS02G0639900	KN539013.1_FG001	60	96	1
OS02G0640000	KN539013.1_FG015	83	98	1
OS02G0640100	KN539013.1_FG009	91	90	1
OS02G0640200	KN539013.1_FG018	96	96	1
OS02G0640300	KN539013.1_FG016	93	89	1
OS02G0640500	KN539013.1_FG010	97	97	1
OS02G0640600	KN539013.1_FG005	73	84	1
OS02G0640700	KN539013.1_FG008	62	79	1
OS02G0640800	KN539013.1_FG022	99	99	1
OS02G0641000	KN539013.1_FG017	60	45	1
OS02G0641800	KN539013.1_FG011	64	89	1
OS02G0642200	KN541585.1_FG003	99	97	1
OS02G0642300	AMDW01038306.1_FG001	99	100	1
OS02G0642600	KN543203.1_FG001	97	96	1
OS02G0642700	KN539366.1_FG007	55	89	1
OS02G0643000	KN539366.1_FG005	85	97	1
OS02G0643200	KN539366.1_FG002	47	94	1
OS02G0643500	KN539366.1_FG008	65	99	1
OS02G0643600	KN539366.1_FG009	56	100	1
OS02G0644000	KN539366.1_FG001	84	96	1
OS02G0644100	KN539366.1_FG003	76	95	1
OS02G0644200	KN547185.1_FG001	8	16	0
OS02G0644400	KN539366.1_FG004	100	92	1
OS02G0644500	KN539366.1_FG006	68	100	1
OS02G0644600	AMDW01040891.1_FG001	97	72	1
OS02G0644700	KN539813.1_FG006	99	46	0
OS02G0644900	KN539813.1_FG001	87	43	1
OS02G0645100	KN540317.1_FG002	97	100	1
OS02G0646200	KN539167.1_FG009	33	66	1
OS02G0646200	KN540751.1_FG004	38	90	1
OS02G0646400	KN539167.1_FG008	99	99	1
OS02G0646500	KN539167.1_FG014	66	93	1
OS02G0647300	KN539167.1_FG002	44	69	0
OS02G0647900	KN539167.1_FG013	90	95	1
OS02G0648100	KN539167.1_FG005	25	88	1
OS02G0648300	KN539167.1_FG010	72	63	1
OS02G0649700	KN539167.1_FG011	74	100	1
OS02G0649800	AMDW01142714.1_FG001	37	100	1
OS02G0649800	KN539167.1_FG003	99	99	1
OS02G0649900	KN539167.1_FG006	45	95	1
OS02G0650300	AMDW01021871.1_FG001	14	98	1
OS02G0650500	KN539592.1_FG002	86	99	1
OS02G0650800	KN539592.1_FG005	66	60	1
OS02G0650900	KN539592.1_FG008	99	99	1
OS02G0651000	KN539592.1_FG004	81	33	1
OS02G0651300	KN539592.1_FG001	55	91	0
OS02G0652000	KN539592.1_FG009	45	74	1
OS02G0652100	KN539592.1_FG003	96	74	1
OS02G0652300	KN539592.1_FG006	89	88	1
OS02G0652600	KN539592.1_FG010	61	37	1
OS02G0652800	KN539854.1_FG007	80	86	1
OS02G0653400	KN539854.1_FG002	37	78	1
OS02G0653800	KN539854.1_FG010	86	67	1
OS02G0653900	KN539854.1_FG001	76	98	1
OS02G0654000	KN539854.1_FG003	89	45	1
OS02G0654300	KN539854.1_FG006	72	98	1
OS02G0654400	KN539854.1_FG004	97	100	1
OS02G0654600	KN539030.1_FG014	43	49	1
OS02G0655100	KN539030.1_FG008	72	98	1
OS02G0655500	KN539030.1_FG009	89	77	1
OS02G0655600	KN539030.1_FG015	67	36	1
OS02G0655700	KN539030.1_FG002	79	80	1
OS02G0655800	KN539030.1_FG013	61	96	1
OS02G0656100	KN539030.1_FG005	47	91	1
OS02G0656200	KN539030.1_FG010	94	55	1
OS02G0656500	KN539030.1_FG001	91	84	1
OS02G0657600	KN539030.1_FG011	57	98	0
OS02G0657700	KN539030.1_FG003	71	95	1
OS02G0658200	KN539030.1_FG012	89	99	1
OS02G0658500	KN540571.1_FG004	74	35	1
OS02G0658600	KN540571.1_FG003	97	98	1
OS02G0658800	KN540571.1_FG002	85	100	1
OS02G0658900	KN539529.1_FG004	98	96	1
OS02G0659100	KN539529.1_FG006	66	75	1
OS02G0660800	KN539529.1_FG009	90	59	1
OS02G0661000	KN539529.1_FG002	50	99	0
OS02G0661100	KN539529.1_FG005	98	98	1
OS02G0661400	KN539529.1_FG007	68	55	1
OS02G0661800	KN538812.1_FG005	94	46	1
OS02G0662000	KN538812.1_FG003	99	99	0
OS02G0662200	KN538812.1_FG017	58	85	1
OS02G0662300	KN538812.1_FG020	72	62	0
OS02G0662700	KN538812.1_FG016	74	99	1
OS02G0663100	KN538812.1_FG011	83	98	1
OS02G0663300	KN538812.1_FG018	100	91	1
OS02G0663800	KN538812.1_FG001	99	87	1
OS02G0664100	KN538812.1_FG014	98	32	1
OS02G0664100	KN538812.1_FG045	1	1	1
OS02G0664200	KN538812.1_FG014	95	14	1
OS02G0664200	KN538812.1_FG045	95	39	1
OS02G0664300	KN538812.1_FG015	90	89	1
OS02G0664400	AMDW01031863.1_FG001	16	99	1
OS02G0664400	KN538812.1_FG007	44	86	1
OS02G0664700	KN538812.1_FG004	47	80	1
OS02G0665200	KN538812.1_FG013	91	92	1
OS02G0665300	KN538812.1_FG055	99	99	1
OS02G0665500	AMDW01037160.1_FG001	14	47	1
OS02G0665500	KN539134.1_FG004	48	63	1
OS02G0665500	KN541034.1_FG001	43	23	1
OS02G0665800	AMDW01037160.1_FG001	0	1	1
OS02G0665800	KN539134.1_FG004	0	0	1
OS02G0665800	KN541034.1_FG001	17	12	1
OS02G0666200	KN538812.1_FG041	100	78	1
OS02G0666250	KN539004.1_FG008	40	33	1
OS02G0666300	KN538812.1_FG052	99	99	1
OS02G0666500	KN538812.1_FG048	97	99	1
OS02G0666600	KN538812.1_FG053	58	95	1
OS02G0666700	KN538812.1_FG054	80	99	1
OS02G0666800	KN538812.1_FG047	100	100	1
OS02G0666900	KN538812.1_FG044	81	94	1
OS02G0667500	KN539883.1_FG002	54	57	1
OS02G0667600	KN539883.1_FG005	71	68	0
OS02G0668400	KN539883.1_FG004	79	66	1
OS02G0668500	KN539883.1_FG003	58	68	1
OS02G0668900	KN539883.1_FG006	82	99	1
OS02G0669000	KN539883.1_FG001	91	71	1
OS02G0669100	KN541601.1_FG001	77	99	1
OS02G0669500	KN541601.1_FG003	97	83	1
OS02G0669700	KN541601.1_FG002	97	78	1
OS02G0669900	KN538746.1_FG036	97	63	1
OS02G0670000	KN538746.1_FG034	86	51	1
OS02G0670700	KN538746.1_FG044	77	77	1
OS02G0670900	KN538746.1_FG043	88	84	1
OS02G0671100	KN538746.1_FG038	45	75	1
OS02G0671200	KN538746.1_FG042	57	100	1
OS02G0671300	KN538746.1_FG031	77	96	1
OS02G0672100	KN538746.1_FG047	24	89	1
OS02G0672200	KN538746.1_FG045	99	99	1
OS02G0672400	KN538746.1_FG008	63	80	1
OS02G0672500	KN538746.1_FG014	61	84	0
OS02G0672600	KN538746.1_FG007	67	83	1
OS02G0672800	KN538746.1_FG002	96	100	1
OS02G0673000	KN538746.1_FG013	35	19	1
OS02G0673100	KN538746.1_FG005	95	100	1
OS02G0673500	KN538746.1_FG010	92	89	1
OS02G0673600	KN538746.1_FG004	99	99	1
OS02G0674700	KN538746.1_FG015	70	99	1
OS02G0674800	KN538746.1_FG011	75	99	1
OS02G0675400	KN538746.1_FG003	99	99	1
OS02G0675700	KN538746.1_FG006	83	99	1
OS02G0675800	KN538746.1_FG012	86	71	1
OS02G0676000	KN539923.1_FG002	65	100	1
OS02G0676000	KN539923.1_FG005	22	99	1
OS02G0676400	KN539923.1_FG003	74	94	1
OS02G0676500	KN539923.1_FG004	58	81	1
OS02G0677600	AMDW01030449.1_FG001	35	99	1
OS02G0677700	KN542175.1_FG001	87	69	1
OS02G0677800	KN539848.1_FG002	27	22	1
OS02G0678200	AMDW01040489.1_FG001	37	100	1
OS02G0678200	KN539772.1_FG002	66	98	1
OS02G0678300	KN539772.1_FG010	26	94	1
OS02G0678400	KN539772.1_FG005	98	98	1
OS02G0678800	KN539772.1_FG007	55	98	1
OS02G0679200	KN539772.1_FG004	92	77	1
OS02G0679500	KN539772.1_FG001	59	94	1
OS02G0680400	KN539772.1_FG011	94	99	1
OS02G0680500	KN539772.1_FG008	91	62	1
OS02G0681000	KN539772.1_FG006	65	79	0
OS02G0681100	KN539772.1_FG009	50	90	1
OS02G0681700	KN539127.1_FG006	68	56	1
OS02G0681900	KN539127.1_FG003	41	86	1
OS02G0682200	KN539127.1_FG008	94	93	1
OS02G0682500	KN539127.1_FG001	100	100	1
OS02G0683500	KN539127.1_FG005	55	98	0
OS02G0683900	KN539127.1_FG010	80	45	1
OS02G0684100	KN539127.1_FG002	80	92	1
OS02G0684150	KN539491.1_FG002	85	82	1
OS02G0684300	KN539491.1_FG010	100	65	1
OS02G0685200	KN539491.1_FG001	86	98	1
OS02G0685600	KN539491.1_FG011	99	99	1
OS02G0685900	KN539491.1_FG008	88	100	1
OS02G0686300	KN539491.1_FG003	55	46	0
OS02G0686400	KN539491.1_FG006	86	73	1
OS02G0686600	KN539491.1_FG009	54	62	1
OS02G0686700	KN539522.1_FG009	96	96	1
OS02G0687200	KN539522.1_FG006	100	100	1
OS02G0687500	KN539522.1_FG003	58	95	1
OS02G0687900	KN539522.1_FG010	84	88	1
OS02G0688200	KN539522.1_FG002	73	98	1
OS02G0688500	KN539522.1_FG005	88	54	1
OS02G0688900	KN539522.1_FG007	71	79	0
OS02G0689066	KN538983.1_FG012	87	8	1
OS02G0689132	KN540797.1_FG001	2	5	0
OS02G0689200	KN542535.1_FG001	99	92	1
OS02G0689600	KN539661.1_FG001	68	40	1
OS02G0689700	KN539661.1_FG006	56	100	1
OS02G0689800	KN539661.1_FG002	99	52	1
OS02G0689900	KN539661.1_FG008	100	95	1
OS02G0690500	KN539661.1_FG005	81	87	1
OS02G0690600	KN539661.1_FG007	65	100	1
OS02G0690700	KN539661.1_FG004	99	49	1
OS02G0692000	KN540038.1_FG001	98	98	1
OS02G0692700	KN540038.1_FG004	99	93	0
OS02G0693200	KN540038.1_FG003	99	99	1
OS02G0693500	KN539740.1_FG006	99	99	1
OS02G0693700	KN539740.1_FG004	94	97	1
OS02G0694100	KN539740.1_FG003	63	49	0
OS02G0694600	KN539740.1_FG007	25	11	0
OS02G0694700	KN539740.1_FG001	31	17	0
OS02G0694800	KN539740.1_FG005	87	42	1
OS02G0695800	KN538950.1_FG006	93	66	1
OS02G0695900	KN538950.1_FG006	84	24	1
OS02G0696500	KN538950.1_FG004	71	98	1
OS02G0696700	KN538950.1_FG011	96	57	1
OS02G0697300	KN538950.1_FG021	99	53	1
OS02G0697400	KN538950.1_FG010	77	98	1
OS02G0697500	KN538950.1_FG003	90	63	1
OS02G0697600	AMDW01037996.1_FG001	22	98	1
OS02G0697700	KN538950.1_FG012	100	100	1
OS02G0697800	KN538950.1_FG019	78	99	1
OS02G0698000	KN538950.1_FG001	100	100	1
OS02G0698100	KN538950.1_FG013	96	99	1
OS02G0698800	KN538950.1_FG009	49	64	1
OS02G0699000	KN538950.1_FG015	89	99	1
OS02G0699400	KN538950.1_FG016	84	53	0
OS02G0699433	KN538950.1_FG008	75	21	1
OS02G0699466	KN538950.1_FG008	94	23	1
OS02G0699600	KN538950.1_FG005	99	99	1
OS02G0699700	KN538950.1_FG007	96	61	1
OS02G0700000	KN538950.1_FG014	98	99	1
OS02G0700100	KN538950.1_FG002	100	100	1
OS02G0700300	KN540599.1_FG002	98	77	1
OS02G0700500	KN540599.1_FG003	88	94	1
OS02G0700600	KN540599.1_FG004	90	98	1
OS02G0700700	AMDW01023952.1_FG001	17	92	1
OS02G0701600	KN538719.1_FG084	71	97	1
OS02G0701900	KN538719.1_FG074	60	100	1
OS02G0702000	KN538719.1_FG083	98	98	1
OS02G0702100	KN538719.1_FG077	96	95	1
OS02G0702400	KN538719.1_FG080	84	99	1
OS02G0702500	KN538719.1_FG076	80	85	1
OS02G0702600	KN538719.1_FG073	89	99	1
OS02G0702800	KN538719.1_FG085	91	89	1
OS02G0703300	KN538719.1_FG042	54	88	0
OS02G0703600	KN538719.1_FG040	86	84	1
OS02G0703900	KN538719.1_FG043	88	87	0
OS02G0704000	KN538719.1_FG050	31	100	1
OS02G0704300	KN538719.1_FG049	77	34	0
OS02G0704500	KN538719.1_FG044	80	97	1
OS02G0704600	KN538719.1_FG048	98	98	1
OS02G0704800	KN538719.1_FG037	83	98	1
OS02G0704900	KN538719.1_FG053	100	100	1
OS02G0704966	KN538719.1_FG047	86	55	1
OS02G0705300	KN538719.1_FG051	50	69	1
OS02G0705400	KN538719.1_FG038	80	90	0
OS02G0705500	KN538719.1_FG045	82	95	1
OS02G0705600	KN538719.1_FG006	70	93	1
OS02G0706400	KN538719.1_FG004	97	50	1
OS02G0706500	KN538719.1_FG007	86	92	0
OS02G0706600	KN538719.1_FG014	39	85	0
OS02G0706900	KN538719.1_FG041	40	100	1
OS02G0707000	KN538719.1_FG013	70	30	0
OS02G0707100	KN538719.1_FG008	75	88	1
OS02G0708000	KN538719.1_FG012	99	99	1
OS02G0708100	KN538719.1_FG017	88	88	1
OS02G0708200	KN538719.1_FG011	99	100	1
OS02G0708300	KN538719.1_FG015	79	73	1
OS02G0708400	KN538719.1_FG002	99	92	1
OS02G0709000	KN538719.1_FG018	99	100	1
OS02G0709100	KN538719.1_FG016	42	93	1
OS02G0709200	KN538719.1_FG010	90	99	1
OS02G0709300	KN538719.1_FG003	89	99	1
OS02G0709400	KN538719.1_FG005	93	74	0
OS02G0709600	KN538856.1_FG002	30	99	1
OS02G0709800	KN538856.1_FG010	99	97	1
OS02G0710102	KN538856.1_FG005	99	14	1
OS02G0710300	KN538856.1_FG004	40	99	1
OS02G0710500	KN538856.1_FG001	74	98	1
OS02G0710800	KN538856.1_FG008	93	38	1
OS02G0710900	KN538856.1_FG003	92	99	1
OS02G0711200	KN538856.1_FG009	46	30	1
OS02G0711900	KN538856.1_FG034	34	98	1
OS02G0712000	KN538856.1_FG023	72	85	0
OS02G0712500	KN538856.1_FG033	85	40	1
OS02G0712700	KN538856.1_FG038	58	96	1
OS02G0713250	KN538856.1_FG024	62	98	1
OS02G0713400	KN538856.1_FG031	93	100	1
OS02G0713500	AMDW01038726.1_FG001	24	98	1
OS02G0713900	KN538856.1_FG039	33	29	1
OS02G0714100	AMDW01037350.1_FG001	20	96	1
OS02G0714100	KN538856.1_FG025	67	90	1
OS02G0714200	KN538856.1_FG027	52	99	1
OS02G0714300	AMDW01126973.1_FG001	24	81	0
OS02G0714300	KN542718.1_FG001	29	72	0
OS02G0714500	KN542718.1_FG002	94	70	1
OS02G0714600	AMDW01040167.1_FG001	62	94	1
OS02G0714600	KN544986.1_FG001	39	91	1
OS02G0715000	KN539295.1_FG009	95	99	1
OS02G0715200	KN539295.1_FG008	95	96	0
OS02G0715300	KN539295.1_FG014	61	99	1
OS02G0716500	KN539295.1_FG002	99	99	1
OS02G0716800	KN539295.1_FG013	88	99	1
OS02G0717100	KN539295.1_FG005	53	72	1
OS02G0717200	KN539295.1_FG010	99	87	1
OS02G0717300	KN539295.1_FG004	69	94	1
OS02G0717400	KN539295.1_FG001	86	97	1
OS02G0717500	KN539295.1_FG015	60	99	1
OS02G0717600	KN539295.1_FG011	50	83	1
OS02G0717700	KN539295.1_FG003	97	92	1
OS02G0717900	KN539295.1_FG012	48	100	1
OS02G0718900	KN542872.1_FG002	100	100	1
OS02G0719000	KN542872.1_FG001	66	98	1
OS02G0719100	KN539828.1_FG010	87	99	1
OS02G0719600	AMDW01040785.1_FG001	81	95	1
OS02G0719600	KN539828.1_FG006	96	96	1
OS02G0719800	KN539828.1_FG003	99	98	1
OS02G0720000	KN539828.1_FG009	98	47	1
OS02G0720100	KN539828.1_FG012	52	48	0
OS02G0720200	KN539828.1_FG001	100	100	1
OS02G0720300	KN539828.1_FG004	99	89	1
OS02G0720500	KN539828.1_FG005	2	2	1
OS02G0720600	KN539828.1_FG011	93	97	1
OS02G0720700	KN539828.1_FG002	81	91	0
OS02G0721100	KN542719.1_FG001	54	95	1
OS02G0721600	KN538889.1_FG050	42	95	0
OS02G0721700	KN538889.1_FG045	95	59	1
OS02G0721800	KN538889.1_FG047	87	52	1
OS02G0722300	KN538889.1_FG044	99	99	1
OS02G0722400	KN538889.1_FG041	62	82	1
OS02G0722500	KN538889.1_FG051	96	74	1
OS02G0722700	KN538889.1_FG013	100	100	1
OS02G0722800	KN538889.1_FG019	86	95	0
OS02G0723200	KN538889.1_FG006	55	71	1
OS02G0723300	AMDW01040343.1_FG001	50	93	1
OS02G0723400	KN538889.1_FG004	36	91	0
OS02G0723600	KN538889.1_FG007	62	71	1
OS02G0723700	KN538889.1_FG015	85	83	1
OS02G0724000	KN538889.1_FG014	99	90	1
OS02G0724500	KN538889.1_FG012	83	34	0
OS02G0725000	KN538889.1_FG018	99	99	1
OS02G0725100	KN538889.1_FG011	69	95	1
OS02G0725200	KN538889.1_FG016	79	87	1
OS02G0725300	KN538889.1_FG002	85	92	1
OS02G0725500	KN538889.1_FG009	56	97	1
OS02G0725600	KN538889.1_FG020	95	89	1
OS02G0725700	KN538889.1_FG017	52	89	1
OS02G0725900	KN538889.1_FG010	96	94	1
OS02G0726000	KN538889.1_FG003	97	98	1
OS02G0726400	KN538841.1_FG062	99	95	1
OS02G0726500	KN538841.1_FG056	99	99	1
OS02G0726700	KN538841.1_FG057	81	67	0
OS02G0727100	KN538841.1_FG063	100	100	1
OS02G0727300	AMDW01039344.1_FG001	26	94	1
OS02G0727300	AMDW01040850.1_FG001	47	97	1
OS02G0727300	KN538841.1_FG054	95	95	1
OS02G0727500	KN538841.1_FG050	76	63	1
OS02G0728001	KN538841.1_FG061	99	99	1
OS02G0728100	KN538841.1_FG053	99	96	1
OS02G0728300	KN538841.1_FG021	79	99	1
OS02G0728600	KN538841.1_FG006	83	66	1
OS02G0728700	KN538841.1_FG002	92	91	1
OS02G0729100	KN538841.1_FG023	56	65	1
OS02G0729200	KN538841.1_FG008	65	75	0
OS02G0729300	KN539497.1_FG001	8	11	0
OS02G0729350	KN538841.1_FG005	95	29	1
OS02G0729700	KN538841.1_FG010	64	99	1
OS02G0730000	KN538841.1_FG016	100	97	1
OS02G0730100	KN538841.1_FG018	90	26	1
OS02G0730400	KN538841.1_FG015	74	92	1
OS02G0730500	KN538841.1_FG001	99	99	1
OS02G0730600	KN538841.1_FG022	88	99	1
OS02G0730700	KN538841.1_FG014	79	99	1
OS02G0730800	KN538841.1_FG019	65	87	1
OS02G0730900	KN538841.1_FG003	82	89	1
OS02G0731200	KN538841.1_FG012	70	47	1
OS02G0731400	KN538841.1_FG020	80	88	1
OS02G0731500	KN538841.1_FG013	81	68	1
OS02G0731600	KN538841.1_FG004	90	61	1
OS02G0731700	KN538841.1_FG007	48	67	0
OS02G0731900	KN538872.1_FG031	80	99	1
OS02G0732200	KN538872.1_FG029	87	93	1
OS02G0732300	KN538872.1_FG036	59	53	0
OS02G0732400	KN538872.1_FG043	31	22	1
OS02G0732700	KN538872.1_FG035	97	79	1
OS02G0732900	KN538872.1_FG028	94	95	1
OS02G0733300	KN538872.1_FG042	78	93	1
OS02G0733500	KN538872.1_FG037	63	99	1
OS02G0733800	KN538872.1_FG027	31	97	1
OS02G0733900	KN538872.1_FG038	100	100	1
OS02G0734300	KN538872.1_FG034	100	100	1
OS02G0734400	KN538872.1_FG010	75	81	1
OS02G0734600	KN538872.1_FG003	55	93	1
OS02G0735100	KN538872.1_FG001	85	72	1
OS02G0735200	KN538872.1_FG004	100	100	1
OS02G0735700	KN538872.1_FG005	94	75	1
OS02G0735800	KN538872.1_FG011	86	99	1
OS02G0735900	KN538872.1_FG002	99	41	1
OS02G0736100	KN538872.1_FG007	92	97	1
OS02G0736300	KN540349.1_FG002	41	91	1
OS02G0736400	KN540349.1_FG005	84	100	1
OS02G0736500	KN540349.1_FG004	80	99	1
OS02G0736600	KN540349.1_FG003	95	95	1
OS02G0737950	KN542463.1_FG001	56	64	1
OS02G0738100	KN542463.1_FG001	69	72	1
OS02G0738200	AMDW01039888.1_FG001	51	98	1
OS02G0738400	KN541293.1_FG001	95	99	1
OS02G0738600	KN541293.1_FG003	47	96	1
OS02G0738900	KN541293.1_FG002	15	90	0
OS02G0739000	KN539732.1_FG007	66	98	1
OS02G0739600	KN539732.1_FG008	100	100	1
OS02G0739900	KN539732.1_FG002	68	47	1
