Gene stable ID	Amborella trichopoda gene stable ID	% identity	Amborella trichopoda % identity	Orthology confidence [0 low, 1 high]
OS03G0157900	AMTR_s00164p00022500	8	29	1
OS03G0157900	AMTR_s00166p00027770	11	35	1
OS03G0157900	AMTR_s05696p00004940	25	76	1
OS03G0158200	AMTR_s00049p00197330	57	58	1
OS03G0158300	AMTR_s00004p00079630	52	55	1
OS03G0158500	AMTR_s00004p00073360	44	45	1
OS03G0158600	AMTR_s00108p00128900	25	22	1
OS03G0158700	AMTR_s00004p00071240	49	50	1
OS03G0158900	AMTR_s00002p00243230	37	38	1
OS03G0159100	AMTR_s00004p00068890	68	68	1
OS03G0159200	AMTR_s00004p00052660	43	35	1
OS03G0159400	AMTR_s00004p00037560	22	20	1
OS03G0159400	AMTR_s00078p00189070	22	14	1
OS03G0159600	AMTR_s00004p00042590	41	47	1
OS03G0159700	AMTR_s00004p00032110	30	32	1
OS03G0159900	AMTR_s00004p00027710	36	21	1
OS03G0160100	AMTR_s00004p00023800	48	48	1
OS03G0160200	AMTR_s00004p00020710	46	31	1
OS03G0160400	AMTR_s00002p00272090	48	53	1
OS03G0160600	AMTR_s00002p00271960	68	64	1
OS03G0161100	AMTR_s00002p00271670	16	29	1
OS03G0161200	AMTR_s00002p00271530	68	69	0
OS03G0161400	AMTR_s00002p00271290	40	35	0
OS03G0161600	AMTR_s00002p00270870	43	38	1
OS03G0161800	AMTR_s00002p00270670	61	61	1
OS03G0162200	AMTR_s00007p00145770	67	93	1
OS03G0162500	AMTR_s00002p00269120	43	30	1
OS03G0162650	AMTR_s00129p00078620	16	36	0
OS03G0162650	AMTR_s00129p00099680	26	36	0
OS03G0162650	AMTR_s00129p00100770	27	35	0
OS03G0162650	AMTR_s00129p00101490	30	33	0
OS03G0162650	AMTR_s00129p00102190	15	27	0
OS03G0162800	AMTR_s00002p00268740	61	36	1
OS03G0162900	AMTR_s00002p00268520	45	43	1
OS03G0163100	AMTR_s00002p00267280	48	49	1
OS03G0163300	AMTR_s00002p00266310	68	69	0
OS03G0163500	AMTR_s00066p00182330	61	61	1
OS03G0164400	AMTR_s00079p00050740	19	26	1
OS03G0164700	AMTR_s00002p00262620	55	53	0
OS03G0164800	AMTR_s00002p00262300	25	25	1
OS03G0165000	AMTR_s00202p00033660	66	27	1
OS03G0165100	AMTR_s00048p00141020	40	47	0
OS03G0165266	AMTR_s00002p00244460	36	35	1
OS03G0165300	AMTR_s00002p00243900	40	35	1
OS03G0165400	AMTR_s00002p00246870	72	72	1
OS03G0165600	AMTR_s00086p00132870	48	14	0
OS03G0165900	AMTR_s00067p00149170	46	52	1
OS03G0166000	AMTR_s00067p00150350	42	43	0
OS03G0166100	AMTR_s00081p00029310	53	33	1
OS03G0166200	AMTR_s00081p00029310	50	49	1
OS03G0166600	AMTR_s00133p00084160	55	27	0
OS03G0166800	AMTR_s00002p00239870	75	75	1
OS03G0167000	AMTR_s00002p00240480	38	37	1
OS03G0167000	AMTR_s00007p00185590	25	52	1
OS03G0167000	AMTR_s00008p00146780	26	35	1
OS03G0167000	AMTR_s00048p00225010	27	38	1
OS03G0167000	AMTR_s00236p00018010	25	28	1
OS03G0167000	AMTR_s00236p00020140	25	53	1
OS03G0167000	AMTR_s00236p00023830	27	33	1
OS03G0167000	AMTR_s00964p00010390	27	47	1
OS03G0167000	AMTR_s01773p00009760	14	25	1
OS03G0167200	AMTR_s00068p00141380	41	44	1
OS03G0167400	AMTR_s00133p00115060	48	47	1
OS03G0167500	AMTR_s00118p00107060	49	55	1
OS03G0167600	AMTR_s00133p00107670	51	52	1
OS03G0167800	AMTR_s00081p00156000	50	70	1
OS03G0168200	AMTR_s00010p00268100	55	48	1
OS03G0168300	AMTR_s00010p00268080	31	32	1
OS03G0168400	AMTR_s00089p00070210	35	13	1
OS03G0168400	AMTR_s00675p00002120	0	0	1
OS03G0168550	AMTR_s00002p00267090	33	29	1
OS03G0168600	AMTR_s00010p00266280	50	64	1
OS03G0168700	AMTR_s00010p00266780	40	40	1
OS03G0169000	AMTR_s00010p00267640	65	35	1
OS03G0169100	AMTR_s00078p00063510	84	82	1
OS03G0169400	AMTR_s00007p00258060	51	39	1
OS03G0169800	AMTR_s00010p00264160	64	61	1
OS03G0169900	AMTR_s00010p00247150	35	49	1
OS03G0170100	AMTR_s00010p00248950	39	32	1
OS03G0170300	AMTR_s00010p00251120	63	59	0
OS03G0170500	AMTR_s00010p00244200	51	47	0
OS03G0170800	AMTR_s00010p00253600	38	23	1
OS03G0170900	AMTR_s00010p00253720	50	50	1
OS03G0170900	AMTR_s00010p00254010	53	48	1
OS03G0171300	AMTR_s00010p00254240	80	80	1
OS03G0171600	AMTR_s00010p00255050	52	51	1
OS03G0171700	AMTR_s00010p00254240	59	59	1
OS03G0171900	AMTR_s00010p00232210	75	77	1
OS03G0172000	AMTR_s00010p00231330	22	52	1
OS03G0172000	AMTR_s00148p00018960	51	48	1
OS03G0172200	AMTR_s00055p00158390	60	63	1
OS03G0173900	AMTR_s00022p00246320	57	48	1
OS03G0174100	AMTR_s00022p00247520	70	65	1
OS03G0174200	AMTR_s00022p00247820	32	27	1
OS03G0174300	AMTR_s00022p00248380	68	50	1
OS03G0174400	AMTR_s00022p00250320	30	34	1
OS03G0174500	AMTR_s00022p00251070	68	67	1
OS03G0174600	AMTR_s00022p00251260	65	56	0
OS03G0174900	AMTR_s00024p00195160	44	39	1
OS03G0175200	AMTR_s00024p00203850	63	15	0
OS03G0175600	AMTR_s00024p00213510	73	72	1
OS03G0176100	AMTR_s00057p00197090	53	49	1
OS03G0176300	AMTR_s00024p00227390	80	26	1
OS03G0176700	AMTR_s00024p00232060	51	62	1
OS03G0176900	AMTR_s00024p00232670	45	46	1
OS03G0177000	AMTR_s00024p00232860	40	43	1
OS03G0177300	AMTR_s00024p00236060	47	47	1
OS03G0177400	AMTR_s00012p00237190	96	96	0
OS03G0177400	AMTR_s00032p00225850	21	88	0
OS03G0177400	AMTR_s00059p00216110	96	96	0
OS03G0177400	AMTR_s00066p00072310	96	96	0
OS03G0177500	AMTR_s00012p00237190	96	96	0
OS03G0177500	AMTR_s00032p00225850	21	88	0
OS03G0177500	AMTR_s00059p00216110	96	96	0
OS03G0177500	AMTR_s00066p00072310	96	96	0
OS03G0177900	AMTR_s00012p00237190	96	96	0
OS03G0177900	AMTR_s00032p00225850	21	88	0
OS03G0177900	AMTR_s00059p00216110	96	96	0
OS03G0177900	AMTR_s00066p00072310	96	96	0
OS03G0178000	AMTR_s00012p00237190	96	96	0
OS03G0178000	AMTR_s00032p00225850	21	88	0
OS03G0178000	AMTR_s00059p00216110	96	96	0
OS03G0178000	AMTR_s00066p00072310	96	96	0
OS03G0178100	AMTR_s00024p00238030	61	61	1
OS03G0178200	AMTR_s00024p00238310	40	40	0
OS03G0178300	AMTR_s00024p00233790	32	34	0
OS03G0178400	AMTR_s00024p00233790	27	37	0
OS03G0179000	AMTR_s00024p00238810	58	58	1
OS03G0179000	AMTR_s02387p00009250	5	45	1
OS03G0179100	AMTR_s00074p00061830	53	55	1
OS03G0179400	AMTR_s00024p00242070	63	64	1
OS03G0179700	AMTR_s00024p00242840	49	48	1
OS03G0179900	AMTR_s00024p00245050	50	67	1
OS03G0180000	AMTR_s00024p00245510	59	55	1
OS03G0180100	AMTR_s00024p00245950	22	29	1
OS03G0180300	AMTR_s00024p00246600	31	30	0
OS03G0180700	AMTR_s00065p00154640	65	50	1
OS03G0181400	AMTR_s00007p00268210	52	47	1
OS03G0181500	AMTR_s00007p00267760	73	75	1
OS03G0181675	AMTR_s00049p00128390	7	30	0
OS03G0181750	AMTR_s00007p00263610	56	35	1
OS03G0181800	AMTR_s00007p00263800	37	36	1
OS03G0182000	AMTR_s00007p00261040	32	33	1
OS03G0182400	AMTR_s00106p00026610	63	47	0
OS03G0182700	AMTR_s00056p00189530	17	43	1
OS03G0182700	AMTR_s00106p00025830	80	78	1
OS03G0183100	AMTR_s00067p00046000	33	36	1
OS03G0183600	AMTR_s00129p00079480	12	34	1
OS03G0183800	AMTR_s00131p00083660	61	61	1
OS03G0183900	AMTR_s00131p00073280	72	41	1
OS03G0184000	AMTR_s00131p00071060	75	77	1
OS03G0184300	AMTR_s00060p00013040	49	50	1
OS03G0184400	AMTR_s00126p00126940	47	45	1
OS03G0184500	AMTR_s00059p00130960	44	43	1
OS03G0184550	AMTR_s00126p00088980	62	63	0
OS03G0184600	AMTR_s00126p00088980	59	17	0
OS03G0184700	AMTR_s00126p00086110	59	62	0
OS03G0185500	AMTR_s00080p00068060	64	28	1
OS03G0185600	AMTR_s00072p00147740	78	76	1
OS03G0185600	AMTR_s00149p00038820	45	45	1
OS03G0185700	AMTR_s00058p00196910	43	45	1
OS03G0185700	AMTR_s00058p00197140	44	47	1
OS03G0185700	AMTR_s00058p00197270	43	42	1
OS03G0186100	AMTR_s00123p00013920	46	59	1
OS03G0186500	AMTR_s00127p00108450	32	32	0
OS03G0186600	AMTR_s00127p00060060	43	49	1
OS03G0186800	AMTR_s00082p00169880	53	57	1
OS03G0186900	AMTR_s00135p00030880	48	49	1
OS03G0186950	AMTR_s00135p00063440	55	50	0
OS03G0187000	AMTR_s00077p00189420	40	27	1
OS03G0187100	AMTR_s00058p00151430	22	14	1
OS03G0187300	AMTR_s00135p00071990	54	37	1
OS03G0187400	AMTR_s00135p00076860	28	30	1
OS03G0187500	AMTR_s00135p00080850	68	28	1
OS03G0187600	AMTR_s00135p00082620	53	47	1
OS03G0187700	AMTR_s00067p00094200	38	26	0
OS03G0187800	AMTR_s00135p00097090	40	44	0
OS03G0187800	AMTR_s00135p00099480	14	33	0
OS03G0187800	AMTR_s00135p00099660	37	40	0
OS03G0187800	AMTR_s00135p00100890	36	40	0
OS03G0187800	AMTR_s00135p00104240	23	33	0
OS03G0187800	AMTR_s02825p00003100	23	38	0
OS03G0188100	AMTR_s00008p00179920	21	34	1
OS03G0188400	AMTR_s00008p00198780	42	54	1
OS03G0188900	AMTR_s00008p00214750	24	22	1
OS03G0189400	AMTR_s00008p00242230	63	62	1
OS03G0189400	AMTR_s00008p00243660	64	63	1
OS03G0189400	AMTR_s00024p00046470	57	57	1
OS03G0189600	AMTR_s00008p00242230	51	50	1
OS03G0189600	AMTR_s00008p00243660	51	51	1
OS03G0189600	AMTR_s00024p00046470	47	47	1
OS03G0190000	AMTR_s00073p00163500	28	26	1
OS03G0190100	AMTR_s00038p00239380	15	45	1
OS03G0190100	AMTR_s00216p00022320	35	46	1
OS03G0190300	AMTR_s00038p00209110	17	45	1
OS03G0190300	AMTR_s00038p00209220	18	24	1
OS03G0190800	AMTR_s00038p00170920	84	84	1
OS03G0190900	AMTR_s00038p00172140	63	64	0
OS03G0191000	AMTR_s00038p00173360	48	43	1
OS03G0191100	AMTR_s00038p00175780	63	60	1
OS03G0191200	AMTR_s00038p00161690	27	38	1
OS03G0191400	AMTR_s00038p00155900	76	49	1
OS03G0191700	AMTR_s00060p00178160	29	22	1
OS03G0191800	AMTR_s00010p00185810	24	26	1
OS03G0191900	AMTR_s00010p00194910	32	35	1
OS03G0192000	AMTR_s00010p00192770	55	53	1
OS03G0192100	AMTR_s00038p00085900	45	43	1
OS03G0192100	AMTR_s00038p00086160	30	42	1
OS03G0192300	AMTR_s00010p00200600	35	37	1
OS03G0192400	AMTR_s00067p00073150	80	57	1
OS03G0192500	AMTR_s00010p00203750	31	29	1
OS03G0192600	AMTR_s00010p00204620	26	27	1
OS03G0192700	AMTR_s00010p00205090	88	88	1
OS03G0192800	AMTR_s00131p00065190	71	21	1
OS03G0192900	AMTR_s00131p00065190	71	6	1
OS03G0193000	AMTR_s00088p00161000	54	52	1
OS03G0193225	AMTR_s00088p00168730	5	6	0
OS03G0193400	AMTR_s00025p00238590	33	13	0
OS03G0193400	AMTR_s00055p00213550	43	18	0
OS03G0193400	AMTR_s00058p00159400	51	21	0
OS03G0194100	AMTR_s00055p00140570	41	43	1
OS03G0194300	AMTR_s00055p00147440	39	43	1
OS03G0194400	AMTR_s00055p00148110	53	58	1
OS03G0194500	AMTR_s00055p00150770	53	53	0
OS03G0194600	AMTR_s00055p00154770	31	15	1
OS03G0194900	AMTR_s00055p00154770	47	46	1
OS03G0195100	AMTR_s00010p00221790	45	12	1
OS03G0195200	AMTR_s00010p00217090	64	62	1
OS03G0195300	AMTR_s00010p00209860	52	55	1
OS03G0195450	AMTR_s00010p00209860	23	3	1
OS03G0195500	AMTR_s00010p00209860	55	25	1
OS03G0195800	AMTR_s00010p00208980	72	72	1
OS03G0196000	AMTR_s00010p00208980	67	66	1
OS03G0196400	AMTR_s00028p00153320	33	37	0
OS03G0196450	AMTR_s00133p00043040	21	11	1
OS03G0196500	AMTR_s00028p00135480	30	31	1
OS03G0196500	AMTR_s00090p00061470	22	28	1
OS03G0196800	AMTR_s00028p00072750	50	89	0
OS03G0196900	AMTR_s00059p00086280	42	20	0
OS03G0197000	AMTR_s00059p00086700	43	34	1
OS03G0197100	AMTR_s00010p00243630	52	57	1
OS03G0197100	AMTR_s00010p00243760	55	54	1
OS03G0197100	AMTR_s00059p00122840	58	58	1
OS03G0197100	AMTR_s00059p00123280	58	59	1
OS03G0197200	AMTR_s00059p00124920	37	21	1
OS03G0197200	AMTR_s00059p00125680	11	10	1
OS03G0197300	AMTR_s00059p00089270	24	38	1
OS03G0197400	AMTR_s00059p00104220	87	88	1
OS03G0197800	AMTR_s00059p00106830	41	43	1
OS03G0197900	AMTR_s00059p00120360	27	17	0
OS03G0197900	AMTR_s00109p00024120	23	21	0
OS03G0197900	AMTR_s00109p00026640	22	21	0
OS03G0198300	AMTR_s00059p00139560	25	21	1
OS03G0198400	AMTR_s00057p00038540	71	67	0
OS03G0198500	AMTR_s00059p00140900	52	69	1
OS03G0198600	AMTR_s00059p00141510	29	37	1
OS03G0198900	AMTR_s00059p00131310	48	48	1
OS03G0199000	AMTR_s00033p00216940	46	35	1
OS03G0199100	AMTR_s00059p00142910	58	61	1
OS03G0200200	AMTR_s00065p00150950	38	51	1
OS03G0200500	AMTR_s00002p00271660	84	83	0
OS03G0200500	AMTR_s00026p00042160	84	85	0
OS03G0200600	AMTR_s00086p00090660	53	54	1
OS03G0200700	AMTR_s00086p00076960	54	54	1
OS03G0200800	AMTR_s00086p00072360	89	89	1
OS03G0201000	AMTR_s00043p00195000	21	22	1
OS03G0201200	AMTR_s00086p00057290	39	43	1
OS03G0201400	AMTR_s00023p00075180	32	46	1
OS03G0201500	AMTR_s00086p00056140	42	48	1
OS03G0201600	AMTR_s00175p00054310	56	68	1
OS03G0201700	AMTR_s00079p00145040	46	46	1
OS03G0201800	AMTR_s00086p00056140	35	41	1
OS03G0201901	AMTR_s00086p00056140	45	52	1
OS03G0202001	AMTR_s00086p00044060	58	67	1
OS03G0202200	AMTR_s00086p00035910	63	63	1
OS03G0202300	AMTR_s00086p00023740	66	68	1
OS03G0203000	AMTR_s00086p00033010	30	33	1
OS03G0203100	AMTR_s00041p00230870	33	15	1
OS03G0203200	AMTR_s00164p00017630	62	74	1
OS03G0203700	AMTR_s00164p00023490	80	80	1
OS03G0203800	AMTR_s00072p00074880	20	21	1
OS03G0204100	AMTR_s00164p00033930	48	46	1
OS03G0205000	AMTR_s00164p00047870	42	44	0
OS03G0205400	AMTR_s00026p00019230	42	37	1
OS03G0205500	AMTR_s00068p00205920	64	53	1
OS03G0205700	AMTR_s00137p00096710	50	46	1
OS03G0205800	AMTR_s00137p00096410	43	41	1
OS03G0206300	AMTR_s00155p00013140	33	22	1
OS03G0206600	AMTR_s01176p00004470	25	70	1
OS03G0206600	AMTR_s02242p00008830	25	70	1
OS03G0206700	AMTR_s00144p00020600	51	52	1
OS03G0206900	AMTR_s00001p00272380	33	32	1
OS03G0207250	AMTR_s00059p00033240	79	79	1
OS03G0207300	AMTR_s00144p00051330	89	89	1
OS03G0207800	AMTR_s00001p00272520	34	43	1
OS03G0207900	AMTR_s00001p00273050	58	58	1
OS03G0208500	AMTR_s00001p00273040	63	64	1
OS03G0208600	AMTR_s00003p00209480	45	55	1
OS03G0208900	AMTR_s00058p00031570	84	84	1
OS03G0209000	AMTR_s00167p00018590	34	39	1
OS03G0209400	AMTR_s00103p00137810	84	74	1
OS03G0209500	AMTR_s00058p00078640	54	49	0
OS03G0209600	AMTR_s00058p00101170	66	71	1
OS03G0209700	AMTR_s00110p00039910	51	56	1
OS03G0209800	AMTR_s00135p00042890	44	39	1
OS03G0210400	AMTR_s00039p00226980	51	52	1
OS03G0210500	AMTR_s00058p00107960	66	39	1
OS03G0210600	AMTR_s00177p00045340	11	20	1
OS03G0210700	AMTR_s00177p00036720	30	18	1
OS03G0210800	AMTR_s00025p00184490	23	14	1
OS03G0210900	AMTR_s00177p00062320	46	33	1
OS03G0211100	AMTR_s00177p00067830	62	61	1
OS03G0211400	AMTR_s00010p00260870	14	22	1
OS03G0211500	AMTR_s00110p00036630	21	21	1
OS03G0211600	AMTR_s00110p00040270	36	25	1
OS03G0211700	AMTR_s00110p00044140	55	55	1
OS03G0211800	AMTR_s00110p00049110	66	71	1
OS03G0211900	AMTR_s00110p00050600	73	75	1
OS03G0212200	AMTR_s00110p00083560	54	29	0
OS03G0212600	AMTR_s00110p00070440	37	25	1
OS03G0212700	AMTR_s00110p00066820	57	63	0
OS03G0212800	AMTR_s00043p00189470	54	57	0
OS03G0213100	AMTR_s00033p00240440	95	94	1
OS03G0213200	AMTR_s00110p00120490	46	44	1
OS03G0213300	AMTR_s00110p00122260	24	18	0
OS03G0213400	AMTR_s00110p00146400	68	40	1
OS03G0213700	AMTR_s00210p00025080	50	18	1
OS03G0213800	AMTR_s00058p00026290	63	65	1
OS03G0213900	AMTR_s00154p00021020	39	24	0
OS03G0214000	AMTR_s00013p00197230	65	65	0
OS03G0214100	AMTR_s00154p00046110	62	66	1
OS03G0214200	AMTR_s00154p00057990	16	52	1
OS03G0214400	AMTR_s00101p00147880	61	63	1
OS03G0214600	AMTR_s00048p00097960	77	78	1
OS03G0214900	AMTR_s00154p00086540	15	13	1
OS03G0215000	AMTR_s00025p00077830	65	66	1
OS03G0215000	AMTR_s00116p00145580	70	71	1
OS03G0215200	AMTR_s00047p00199030	50	50	1
OS03G0215700	AMTR_s00047p00081310	42	37	1
OS03G0215800	AMTR_s00047p00077610	67	70	1
OS03G0215900	AMTR_s00047p00074820	47	45	1
OS03G0216000	AMTR_s00024p00186840	24	27	1
OS03G0216500	AMTR_s00022p00252730	17	36	1
OS03G0216600	AMTR_s00065p00185540	67	63	1
OS03G0216700	AMTR_s00022p00252850	53	60	1
OS03G0216800	AMTR_s00103p00121270	46	44	0
OS03G0216900	AMTR_s00103p00110990	22	16	1
OS03G0217000	AMTR_s00103p00105930	25	29	1
OS03G0218400	AMTR_s00103p00075300	76	75	0
OS03G0218500	AMTR_s00103p00024060	49	54	0
OS03G0219100	AMTR_s00068p00018710	43	47	1
OS03G0219200	AMTR_s00068p00084200	64	65	1
OS03G0219400	AMTR_s00068p00120060	19	43	0
OS03G0219400	AMTR_s00068p00120560	26	59	0
OS03G0219400	AMTR_s00068p00123470	53	56	0
OS03G0219400	AMTR_s02405p00007800	15	34	0
OS03G0219500	AMTR_s00029p00039100	71	71	1
OS03G0219700	AMTR_s00029p00030480	58	61	1
OS03G0219800	AMTR_s00156p00091480	18	11	1
OS03G0219900	AMTR_s00156p00076210	59	60	0
OS03G0220100	AMTR_s00079p00192440	67	71	0
OS03G0220100	AMTR_s00105p00127920	41	74	0
OS03G0220100	AMTR_s00129p00101620	38	75	0
OS03G0220100	AMTR_s00135p00117490	75	74	0
OS03G0221200	AMTR_s00156p00089110	67	59	1
OS03G0221500	AMTR_s00060p00188740	68	65	1
OS03G0221800	AMTR_s00060p00184440	41	40	1
OS03G0222100	AMTR_s00078p00116560	57	52	1
OS03G0222100	AMTR_s00078p00118110	12	62	1
OS03G0223000	AMTR_s00010p00158940	54	56	1
OS03G0223200	AMTR_s00040p00072630	53	56	1
OS03G0223200	AMTR_s00040p00075320	43	56	1
OS03G0223700	AMTR_s00060p00117550	78	76	0
OS03G0223900	AMTR_s00060p00135440	50	46	1
OS03G0224200	AMTR_s00176p00045260	38	39	1
OS03G0225100	AMTR_s00176p00017140	44	36	0
OS03G0225200	AMTR_s00138p00028140	35	22	1
OS03G0225300	AMTR_s00004p00128960	26	23	1
OS03G0225500	AMTR_s00088p00153240	50	49	0
OS03G0225600	AMTR_s00002p00043100	55	9	1
OS03G0225700	AMTR_s00059p00192290	46	46	0
OS03G0225900	AMTR_s00059p00186400	47	43	1
OS03G0226200	AMTR_s00059p00174490	63	50	1
OS03G0226300	AMTR_s00024p00246360	68	69	1
OS03G0226400	AMTR_s00024p00174810	78	77	1
OS03G0226600	AMTR_s00024p00178520	36	25	1
OS03G0226700	AMTR_s00024p00194890	38	38	1
OS03G0226800	AMTR_s00024p00193220	42	50	0
OS03G0226901	AMTR_s00059p00070500	46	48	1
OS03G0227000	AMTR_s00059p00069290	81	82	1
OS03G0227300	AMTR_s00066p00202260	58	49	1
OS03G0227400	AMTR_s00059p00061500	53	43	1
OS03G0227500	AMTR_s00059p00058530	51	51	1
OS03G0227700	AMTR_s00059p00056420	59	61	1
OS03G0227900	AMTR_s00059p00049260	53	50	1
OS03G0228400	AMTR_s00059p00025420	63	63	1
OS03G0228500	AMTR_s00001p00268150	25	27	1
OS03G0228800	AMTR_s00033p00083200	64	63	1
OS03G0229100	AMTR_s00033p00078670	29	24	1
OS03G0230300	AMTR_s00033p00119410	11	20	1
OS03G0230300	AMTR_s00056p00165600	25	16	1
OS03G0230500	AMTR_s00056p00164210	61	53	1
OS03G0231150	AMTR_s00026p00233150	57	23	0
OS03G0231600	AMTR_s00001p00206080	48	66	0
OS03G0231600	AMTR_s00044p00191980	36	58	0
OS03G0231600	AMTR_s00044p00196850	43	59	0
OS03G0231600	AMTR_s00044p00197530	28	68	0
OS03G0231700	AMTR_s00065p00032730	76	77	1
OS03G0231800	AMTR_s00065p00032730	77	79	1
OS03G0231950	AMTR_s00016p00138470	27	21	0
OS03G0231950	AMTR_s00065p00068810	28	21	0
OS03G0232000	AMTR_s00065p00071220	28	26	1
OS03G0232200	AMTR_s00065p00077750	46	46	0
OS03G0232500	AMTR_s00065p00125910	60	62	1
OS03G0232600	AMTR_s00065p00128940	55	57	0
OS03G0232800	AMTR_s00065p00129700	28	41	1
OS03G0232800	AMTR_s00065p00129790	11	40	1
OS03G0232900	AMTR_s00065p00145160	70	70	0
OS03G0233000	AMTR_s00022p00029230	22	33	1
OS03G0233000	AMTR_s00081p00113260	24	27	1
OS03G0233200	AMTR_s00059p00148770	42	55	1
OS03G0233300	AMTR_s00059p00161380	39	39	1
OS03G0233500	AMTR_s00059p00171170	60	62	1
OS03G0233800	AMTR_s00059p00172960	37	35	1
OS03G0233900	AMTR_s00059p00174490	59	46	1
OS03G0234000	AMTR_s00059p00174490	60	48	1
OS03G0234100	AMTR_s00059p00174490	59	47	1
OS03G0234500	AMTR_s00024p00166170	54	55	1
OS03G0234500	AMTR_s00024p00167140	47	60	1
OS03G0234600	AMTR_s00024p00160570	22	17	1
OS03G0234900	AMTR_s00024p00166170	59	60	1
OS03G0234900	AMTR_s00024p00167140	47	60	1
OS03G0235000	AMTR_s00149p00041940	29	36	1
OS03G0235100	AMTR_s00003p00259190	76	69	0
OS03G0235200	AMTR_s00011p00233950	39	41	0
OS03G0235700	AMTR_s00024p00147790	66	65	1
OS03G0235700	AMTR_s00024p00148850	61	60	1
OS03G0235700	AMTR_s00024p00149600	58	59	1
OS03G0236200	AMTR_s00024p00142920	84	84	0
OS03G0236300	AMTR_s00007p00169630	21	28	1
OS03G0236966	AMTR_s00170p00018240	68	73	1
OS03G0237000	AMTR_s00024p00115000	62	63	1
OS03G0237000	AMTR_s00024p00115620	79	79	1
OS03G0237250	AMTR_s00024p00098860	42	41	1
OS03G0237500	AMTR_s00024p00077680	43	49	1
OS03G0237600	AMTR_s00024p00078360	56	57	0
OS03G0238300	AMTR_s00024p00069030	46	54	1
OS03G0238600	AMTR_s00024p00043640	59	59	1
OS03G0238700	AMTR_s00024p00042310	51	41	1
OS03G0238800	AMTR_s00024p00040890	31	31	1
OS03G0239000	AMTR_s00024p00025540	52	54	0
OS03G0239200	AMTR_s00008p00223050	12	61	1
OS03G0239200	AMTR_s00024p00013500	28	27	1
OS03G0239300	AMTR_s00138p00067840	32	30	1
OS03G0239400	AMTR_s00138p00062920	31	35	1
OS03G0240400	AMTR_s00001p00265950	14	20	1
OS03G0240400	AMTR_s00006p00260920	24	22	1
OS03G0240400	AMTR_s00254p00013470	5	21	1
OS03G0240400	AMTR_s00254p00013600	8	30	1
OS03G0240400	AMTR_s00439p00013780	10	23	1
OS03G0240400	AMTR_s00602p00003840	18	23	1
OS03G0240400	AMTR_s02053p00006710	12	23	1
OS03G0240400	AMTR_s02215p00001550	10	21	1
OS03G0240400	AMTR_s02336p00008090	7	18	1
OS03G0240500	AMTR_s00056p00156750	64	67	1
OS03G0240600	AMTR_s00138p00053700	42	44	1
OS03G0240700	AMTR_s00138p00051570	66	66	0
OS03G0240800	AMTR_s00001p00047670	85	84	0
OS03G0240900	AMTR_s00033p00240560	52	54	1
OS03G0241001	AMTR_s00033p00241280	33	12	1
OS03G0241100	AMTR_s00175p00030950	41	39	1
OS03G0241200	AMTR_s00029p00103630	84	84	1
OS03G0241600	AMTR_s00152p00028220	33	42	1
OS03G0242100	AMTR_s00055p00074920	13	2	1
OS03G0242200	AMTR_s00078p00143930	56	61	0
OS03G0242900	AMTR_s00055p00107870	60	62	1
OS03G0243100	AMTR_s00018p00214610	66	66	1
OS03G0243200	AMTR_s00097p00065910	4	1	1
OS03G0243300	AMTR_s00018p00211530	72	71	0
OS03G0243600	AMTR_s00041p00158160	19	25	0
OS03G0243700	AMTR_s00041p00160040	60	44	1
OS03G0243800	AMTR_s00041p00162160	30	36	1
OS03G0243900	AMTR_s00041p00163280	51	54	0
OS03G0244000	AMTR_s00450p00013010	29	67	1
OS03G0244200	AMTR_s00041p00164900	46	56	0
OS03G0244700	AMTR_s00032p00203450	52	53	1
OS03G0244700	AMTR_s00119p00063490	49	53	1
OS03G0244950	AMTR_s00017p00209650	33	42	1
OS03G0244950	AMTR_s00041p00168770	34	40	1
OS03G0244950	AMTR_s00041p00169040	32	37	1
OS03G0245100	AMTR_s00052p00178610	14	67	1
OS03G0245100	AMTR_s00066p00104940	58	66	1
OS03G0245200	AMTR_s00041p00194550	26	10	1
OS03G0245300	AMTR_s00041p00194550	21	9	1
OS03G0245500	AMTR_s00041p00183600	40	37	1
OS03G0245700	AMTR_s00018p00245180	58	57	0
OS03G0245800	AMTR_s00113p00022880	30	57	1
OS03G0246100	AMTR_s00100p00040750	43	42	1
OS03G0246500	AMTR_s00204p00028740	46	47	1
OS03G0246500	AMTR_s00204p00029410	24	38	1
OS03G0246800	AMTR_s00041p00031550	69	27	0
OS03G0246900	AMTR_s00041p00044170	54	69	1
OS03G0247000	AMTR_s00059p00213590	53	51	1
OS03G0247100	AMTR_s00041p00047280	50	54	1
OS03G0247900	AMTR_s00041p00050300	55	55	1
OS03G0248000	AMTR_s00009p00170950	46	41	1
OS03G0248000	AMTR_s00012p00264860	45	50	1
OS03G0248600	AMTR_s00041p00062460	89	89	1
OS03G0249100	AMTR_s00041p00096700	36	37	1
OS03G0249200	AMTR_s00018p00120740	60	59	1
OS03G0249300	AMTR_s00059p00102310	43	42	1
OS03G0249400	AMTR_s00024p00105050	78	81	1
OS03G0249500	AMTR_s00110p00097630	58	65	0
OS03G0249700	AMTR_s02918p00001350	40	42	1
OS03G0249900	AMTR_s00041p00224610	28	36	1
OS03G0250000	AMTR_s00199p00040390	51	40	1
