Gene stable ID	Oryza sativa Indica gene stable ID	% identity	Oryza sativa Indica % identity	Orthology confidence [0 low, 1 high]
OS01G0749100	BGIOSGA004457	99	99	1
OS01G0749200	BGIOSGA004458	100	100	1
OS01G0749300	BGIOSGA004459	100	100	1
OS01G0749400	BGIOSGA000827	100	99	1
OS01G0749900	BGIOSGA004461	100	100	1
OS01G0750000	BGIOSGA004462	100	100	1
OS01G0750100	BGIOSGA000826	99	99	1
OS01G0750300	BGIOSGA004463	100	100	1
OS01G0750400	BGIOSGA000825	99	47	1
OS01G0750500	BGIOSGA000824	97	71	0
OS01G0750600	BGIOSGA000823	100	100	0
OS01G0750800	BGIOSGA000822	100	100	1
OS01G0750900	BGIOSGA004465	100	100	1
OS01G0751300	BGIOSGA004467	97	90	1
OS01G0751400	BGIOSGA004468	100	100	1
OS01G0751600	BGIOSGA000821	100	100	1
OS01G0752100	BGIOSGA004469	100	100	0
OS01G0752200	BGIOSGA000820	99	97	1
OS01G0752300	BGIOSGA000819	100	100	1
OS01G0752400	BGIOSGA000818	73	68	1
OS01G0752500	BGIOSGA004470	99	99	1
OS01G0752600	BGIOSGA000817	100	100	0
OS01G0752700	BGIOSGA004471	96	97	0
OS01G0752800	BGIOSGA000816	100	100	1
OS01G0753000	BGIOSGA000815	74	73	0
OS01G0753100	BGIOSGA004472	100	100	1
OS01G0753150	BGIOSGA000814	97	90	1
OS01G0753200	BGIOSGA000813	78	84	0
OS01G0753300	BGIOSGA004474	53	92	1
OS01G0753500	BGIOSGA000812	91	99	0
OS01G0753800	BGIOSGA004477	98	98	0
OS01G0754000	BGIOSGA004478	93	68	0
OS01G0754100	BGIOSGA000811	97	97	0
OS01G0754200	BGIOSGA000810	66	97	0
OS01G0754500	BGIOSGA000809	100	99	1
OS01G0754700	BGIOSGA000807	100	100	1
OS01G0754800	BGIOSGA000806	100	100	1
OS01G0755100	BGIOSGA000805	89	96	0
OS01G0755700	BGIOSGA004480	98	98	0
OS01G0756000	BGIOSGA000804	95	98	1
OS01G0756101	BGIOSGA000803	27	30	1
OS01G0756200	BGIOSGA004481	100	100	1
OS01G0756300	BGIOSGA000802	100	100	1
OS01G0756600	BGIOSGA004482	99	72	1
OS01G0756700	BGIOSGA004483	100	100	1
OS01G0756900	BGIOSGA004484	56	100	1
OS01G0757200	BGIOSGA004485	100	100	1
OS01G0757400	BGIOSGA004486	100	82	1
OS01G0757500	BGIOSGA000799	100	100	1
OS01G0757600	BGIOSGA000798	75	50	0
OS01G0757700	BGIOSGA000797	86	62	1
OS01G0757800	BGIOSGA004487	64	83	1
OS01G0757900	BGIOSGA000796	80	47	1
OS01G0758000	BGIOSGA000795	98	97	0
OS01G0758200	BGIOSGA000793	96	100	1
OS01G0758300	BGIOSGA000792	80	98	1
OS01G0758400	BGIOSGA000791	86	89	1
OS01G0758500	BGIOSGA000790	93	94	1
OS01G0758900	BGIOSGA004488	100	100	0
OS01G0759000	BGIOSGA004489	98	98	0
OS01G0759100	BGIOSGA000789	85	96	1
OS01G0759200	BGIOSGA000787	99	99	1
OS01G0759400	BGIOSGA000786	83	99	1
OS01G0759700	BGIOSGA004491	99	99	1
OS01G0759900	BGIOSGA004492	91	82	0
OS01G0760300	BGIOSGA004494	89	73	0
OS01G0760400	BGIOSGA000784	100	100	0
OS01G0760600	BGIOSGA000783	88	100	1
OS01G0760800	BGIOSGA000782	73	13	1
OS01G0760900	BGIOSGA000781	73	83	1
OS01G0761000	BGIOSGA004496	99	99	1
OS01G0761100	BGIOSGA000780	92	99	1
OS01G0761300	BGIOSGA004497	99	51	1
OS01G0761400	BGIOSGA000779	99	99	1
OS01G0761500	BGIOSGA000778	99	100	1
OS01G0761800	BGIOSGA012918	81	16	1
OS01G0761900	BGIOSGA004499	71	29	0
OS01G0762000	BGIOSGA000776	88	96	1
OS01G0762300	BGIOSGA000775	96	87	1
OS01G0762400	BGIOSGA000774	96	100	1
OS01G0762500	BGIOSGA004500	99	99	1
OS01G0762900	BGIOSGA000773	84	57	1
OS01G0763000	BGIOSGA000772	100	100	1
OS01G0763100	BGIOSGA004502	88	87	0
OS01G0763200	BGIOSGA000770	100	100	1
OS01G0763300	BGIOSGA000769	55	100	1
OS01G0763300	BGIOSGA000771	55	100	1
OS01G0763600	BGIOSGA004504	96	70	1
OS01G0763750	BGIOSGA004505	100	100	1
OS01G0763900	BGIOSGA000767	55	67	1
OS01G0764000	BGIOSGA000766	100	100	1
OS01G0764200	BGIOSGA004506	98	98	0
OS01G0764300	BGIOSGA004507	100	100	1
OS01G0764400	BGIOSGA000765	100	100	1
OS01G0764500	BGIOSGA028069	88	26	1
OS01G0764600	BGIOSGA000763	100	100	1
OS01G0764700	BGIOSGA004508	99	98	1
OS01G0764800	BGIOSGA004510	100	100	1
OS01G0764900	BGIOSGA000762	61	80	0
OS01G0764950	BGIOSGA000760	99	52	1
OS01G0765000	BGIOSGA000759	99	90	1
OS01G0765200	BGIOSGA004511	100	42	1
OS01G0765300	BGIOSGA004511	67	40	1
OS01G0765400	BGIOSGA000758	98	98	1
OS01G0765500	BGIOSGA000757	100	100	1
OS01G0765500	BGIOSGA000761	89	99	1
OS01G0765600	BGIOSGA000756	68	66	0
OS01G0765900	BGIOSGA004512	46	99	1
OS01G0766000	BGIOSGA000755	87	100	0
OS01G0766200	BGIOSGA000754	73	100	1
OS01G0766300	BGIOSGA000753	99	99	1
OS01G0766400	BGIOSGA004513	100	100	1
OS01G0766900	BGIOSGA000752	100	27	1
OS01G0767100	BGIOSGA000750	100	94	1
OS01G0767600	BGIOSGA004520	100	94	1
OS01G0767700	BGIOSGA004521	93	89	0
OS01G0767900	BGIOSGA004522	88	98	1
OS01G0768100	BGIOSGA000748	98	98	1
OS01G0768300	BGIOSGA000747	79	42	0
OS01G0768600	BGIOSGA018262	8	26	0
OS01G0768700	BGIOSGA004523	96	25	0
OS01G0769000	BGIOSGA004524	100	97	1
OS01G0769200	BGIOSGA004526	99	99	1
OS01G0769700	BGIOSGA004527	96	100	1
OS01G0769900	BGIOSGA004528	100	100	0
OS01G0770000	BGIOSGA000746	100	100	1
OS01G0770100	BGIOSGA000745	94	90	0
OS01G0770200	BGIOSGA000740	21	100	1
OS01G0770400	BGIOSGA000743	100	100	1
OS01G0770500	BGIOSGA000742	100	100	1
OS01G0770700	BGIOSGA004529	100	100	1
OS01G0770800	BGIOSGA004530	99	99	1
OS01G0771000	BGIOSGA000741	100	100	1
OS01G0771100	BGIOSGA000739	100	100	1
OS01G0771200	BGIOSGA004531	99	99	1
OS01G0771400	BGIOSGA000738	86	81	0
OS01G0771900	BGIOSGA000737	97	63	1
OS01G0772000	BGIOSGA034637	7	14	0
OS01G0772100	BGIOSGA000736	98	98	1
OS01G0772150	BGIOSGA000735	54	98	1
OS01G0772200	BGIOSGA000734	94	100	0
OS01G0772400	BGIOSGA004532	100	100	1
OS01G0772500	BGIOSGA000733	100	100	1
OS01G0772600	BGIOSGA004533	92	100	1
OS01G0772700	BGIOSGA004534	92	75	0
OS01G0772800	BGIOSGA004535	100	100	1
OS01G0772900	BGIOSGA000732	100	100	1
OS01G0773000	BGIOSGA000731	99	55	0
OS01G0773100	BGIOSGA004536	81	97	1
OS01G0773200	BGIOSGA000730	78	24	0
OS01G0773400	BGIOSGA004538	89	95	1
OS01G0773500	BGIOSGA000729	100	100	1
OS01G0773600	BGIOSGA004539	92	98	0
OS01G0773700	BGIOSGA000728	100	100	1
OS01G0773800	BGIOSGA004540	82	96	0
OS01G0774200	BGIOSGA026517	34	60	0
OS01G0774400	BGIOSGA004545	100	22	0
OS01G0774500	BGIOSGA000727	100	100	1
OS01G0775100	BGIOSGA000726	99	88	1
OS01G0775300	BGIOSGA000725	97	99	1
OS01G0775400	BGIOSGA000724	100	100	1
OS01G0775500	BGIOSGA000723	99	42	1
OS01G0776300	BGIOSGA004550	87	93	0
OS01G0776400	BGIOSGA000721	99	99	0
OS01G0776500	BGIOSGA004551	36	64	0
OS01G0776600	BGIOSGA000720	100	100	1
OS01G0776700	BGIOSGA000719	98	91	0
OS01G0776800	BGIOSGA004552	99	99	1
OS01G0777000	BGIOSGA004553	99	98	1
OS01G0777200	BGIOSGA004554	99	99	1
OS01G0777300	BGIOSGA004555	88	96	0
OS01G0777400	BGIOSGA004556	56	36	0
OS01G0777600	BGIOSGA004556	56	36	0
OS01G0777800	BGIOSGA000717	100	100	0
OS01G0778100	BGIOSGA004558	82	80	0
OS01G0778400	BGIOSGA000716	69	99	1
OS01G0778500	BGIOSGA000715	64	100	1
OS01G0778700	BGIOSGA004561	97	97	0
OS01G0778900	BGIOSGA000713	100	100	1
OS01G0779100	BGIOSGA004566	95	84	0
OS01G0779300	BGIOSGA004567	82	93	0
OS01G0779400	BGIOSGA000706	100	97	1
OS01G0779800	BGIOSGA000704	100	100	1
OS01G0780400	BGIOSGA004568	97	96	0
OS01G0780500	BGIOSGA004569	100	100	1
OS01G0780600	BGIOSGA000703	95	94	0
OS01G0780800	BGIOSGA000702	100	100	1
OS01G0780900	BGIOSGA030125	29	27	0
OS01G0781000	BGIOSGA004572	97	82	1
OS01G0781100	BGIOSGA004573	80	99	1
OS01G0781200	BGIOSGA004574	30	98	1
OS01G0781200	BGIOSGA004575	33	100	1
OS01G0782200	BGIOSGA000699	96	89	1
OS01G0782500	BGIOSGA000698	85	96	1
OS01G0782800	BGIOSGA000697	100	100	1
OS01G0783000	BGIOSGA000694	93	70	1
OS01G0783100	BGIOSGA004577	97	97	1
OS01G0783200	BGIOSGA000693	96	86	1
OS01G0783400	BGIOSGA000692	78	39	0
OS01G0783500	BGIOSGA000690	99	79	1
OS01G0783600	BGIOSGA004578	99	99	1
OS01G0783700	BGIOSGA000689	99	99	0
OS01G0784000	BGIOSGA031864	31	21	0
OS01G0784200	BGIOSGA004581	93	94	0
OS01G0784600	BGIOSGA004583	90	87	1
OS01G0784800	BGIOSGA004584	100	100	0
OS01G0785400	BGIOSGA004585	86	86	0
OS01G0785600	BGIOSGA000685	94	71	0
OS01G0785700	BGIOSGA004586	100	100	1
OS01G0785900	BGIOSGA000684	98	98	1
OS01G0786500	BGIOSGA000682	87	95	1
OS01G0786700	BGIOSGA000681	99	99	1
OS01G0786800	BGIOSGA000680	93	88	1
OS01G0786900	BGIOSGA000679	100	100	1
OS01G0787000	BGIOSGA000677	99	99	1
OS01G0787300	BGIOSGA004587	21	26	0
OS01G0787400	BGIOSGA004588	84	99	1
OS01G0787600	BGIOSGA004589	100	100	1
OS01G0788200	BGIOSGA004590	100	100	1
OS01G0788400	BGIOSGA004591	99	99	1
OS01G0788500	BGIOSGA000674	100	100	1
OS01G0788700	BGIOSGA004592	100	100	1
OS01G0788800	BGIOSGA004594	58	92	1
OS01G0788900	BGIOSGA000673	39	100	1
OS01G0788950	BGIOSGA000670	98	98	0
OS01G0789000	BGIOSGA000669	95	73	0
OS01G0789100	BGIOSGA000668	98	98	1
OS01G0789200	BGIOSGA004596	100	100	1
OS01G0793100	BGIOSGA000667	81	50	0
OS01G0793200	BGIOSGA004597	98	98	1
OS01G0793300	BGIOSGA000664	84	98	1
OS01G0793600	BGIOSGA000661	100	100	1
OS01G0793800	BGIOSGA000660	98	98	1
OS01G0793900	BGIOSGA000659	100	100	0
OS01G0794100	BGIOSGA000658	99	68	0
OS01G0794400	BGIOSGA004598	98	100	1
OS01G0794500	BGIOSGA000657	100	100	1
OS01G0795000	BGIOSGA004599	96	50	0
OS01G0795200	BGIOSGA004600	97	86	1
OS01G0795400	BGIOSGA004601	95	46	1
OS01G0795600	BGIOSGA004602	100	100	0
OS01G0795900	BGIOSGA004604	100	100	1
OS01G0796400	BGIOSGA004607	100	100	1
OS01G0796500	BGIOSGA000655	100	100	1
OS01G0796700	BGIOSGA000654	98	98	1
OS01G0797600	BGIOSGA004611	100	100	1
OS01G0797800	BGIOSGA004669	42	84	1
OS01G0798100	BGIOSGA023003	31	92	1
OS01G0798200	BGIOSGA000652	99	87	1
OS01G0798200	BGIOSGA012767	62	81	1
OS01G0798500	BGIOSGA004612	100	100	1
OS01G0798800	BGIOSGA000650	96	96	1
OS01G0798900	BGIOSGA004615	100	100	1
OS01G0799000	BGIOSGA000649	100	100	1
OS01G0799100	BGIOSGA004616	97	100	1
OS01G0799500	BGIOSGA004617	99	99	1
OS01G0799900	BGIOSGA004618	100	100	1
OS01G0800000	BGIOSGA000648	98	83	1
OS01G0800101	BGIOSGA000647	99	99	1
OS01G0800266	BGIOSGA004619	88	62	1
OS01G0800300	BGIOSGA000645	100	100	1
OS01G0800400	BGIOSGA004620	93	97	1
OS01G0800500	BGIOSGA004621	100	100	1
OS01G0800500	BGIOSGA004624	36	97	1
OS01G0800600	BGIOSGA004622	60	79	0
OS01G0800900	BGIOSGA004625	99	78	1
OS01G0801000	BGIOSGA004626	100	100	1
OS01G0801100	BGIOSGA004627	99	95	1
OS01G0801200	BGIOSGA000644	100	100	1
OS01G0801500	BGIOSGA000643	100	100	1
OS01G0801600	BGIOSGA000642	100	100	1
OS01G0801700	BGIOSGA000641	100	100	1
OS01G0801901	BGIOSGA004628	67	93	0
OS01G0802000	BGIOSGA004629	46	66	0
OS01G0802100	BGIOSGA004631	100	100	0
OS01G0802200	BGIOSGA000640	99	99	1
OS01G0802600	BGIOSGA004632	100	100	1
OS01G0802700	BGIOSGA000639	80	82	0
OS01G0802850	BGIOSGA000638	99	99	1
OS01G0803200	BGIOSGA004633	100	100	1
OS01G0803300	BGIOSGA000635	100	83	1
OS01G0803900	BGIOSGA004637	98	100	1
OS01G0804400	BGIOSGA040521	100	100	1
OS01G0804900	BGIOSGA040519	26	66	0
OS01G0805000	BGIOSGA000633	100	100	1
OS01G0805100	BGIOSGA004640	94	70	0
OS01G0805200	BGIOSGA000632	100	100	1
OS01G0805300	BGIOSGA004641	100	100	0
OS01G0805400	BGIOSGA004642	99	100	1
OS01G0805500	BGIOSGA004643	96	83	0
OS01G0805600	BGIOSGA000631	94	30	1
OS01G0805800	BGIOSGA000630	100	100	1
OS01G0805900	BGIOSGA004644	100	90	1
OS01G0806000	BGIOSGA000629	63	58	0
OS01G0806200	BGIOSGA000628	100	100	1
OS01G0806300	BGIOSGA004645	100	100	1
OS01G0806400	BGIOSGA004646	91	100	1
OS01G0807000	BGIOSGA010370	47	44	1
OS01G0807532	BGIOSGA004647	98	84	1
OS01G0807900	BGIOSGA004650	100	100	1
OS01G0808100	BGIOSGA000624	96	74	1
OS01G0808400	BGIOSGA004651	97	100	1
OS01G0808900	BGIOSGA004652	95	95	1
OS01G0809000	BGIOSGA004653	95	95	1
OS01G0809300	BGIOSGA004654	100	100	1
OS01G0809900	BGIOSGA004659	99	99	1
OS01G0810000	BGIOSGA000623	100	100	1
OS01G0810100	BGIOSGA000622	100	95	1
OS01G0810200	BGIOSGA004660	100	100	1
OS01G0810300	BGIOSGA004661	98	98	0
OS01G0810500	BGIOSGA000621	89	47	0
OS01G0810800	BGIOSGA000620	98	98	0
OS01G0811001	BGIOSGA000619	86	53	1
OS01G0811100	BGIOSGA004666	100	100	1
OS01G0811300	BGIOSGA004668	100	95	1
OS01G0811400	BGIOSGA000618	97	42	1
OS01G0812000	BGIOSGA004670	100	100	0
OS01G0812050	BGIOSGA004671	65	91	1
OS01G0812100	BGIOSGA004673	83	92	0
OS01G0812200	BGIOSGA004674	100	100	1
OS01G0812600	BGIOSGA000611	65	97	0
OS01G0812800	BGIOSGA000615	100	100	1
OS01G0812900	BGIOSGA000614	100	100	1
OS01G0813100	BGIOSGA000613	84	65	1
OS01G0813300	BGIOSGA004677	98	29	0
OS01G0813400	BGIOSGA004678	100	100	1
OS01G0813500	BGIOSGA000612	100	100	1
OS01G0813700	BGIOSGA000608	99	99	1
OS01G0813800	BGIOSGA000609	83	69	1
OS01G0813900	BGIOSGA004680	100	100	0
OS01G0814000	BGIOSGA004681	91	97	1
OS01G0814100	BGIOSGA004682	100	100	1
OS01G0814200	BGIOSGA000606	99	51	0
OS01G0814300	BGIOSGA004683	89	95	0
OS01G0814400	BGIOSGA000605	89	62	1
OS01G0814800	BGIOSGA000604	99	99	1
OS01G0814900	BGIOSGA000603	100	100	1
OS01G0815100	BGIOSGA000602	39	100	1
OS01G0815400	BGIOSGA000601	99	99	1
OS01G0815700	BGIOSGA004684	85	77	0
OS01G0816000	BGIOSGA004685	96	96	1
OS01G0816100	BGIOSGA000598	99	100	1
OS01G0816400	BGIOSGA000597	95	98	0
OS01G0816500	BGIOSGA000596	91	53	0
OS01G0816600	BGIOSGA004686	99	97	1
OS01G0816700	BGIOSGA004687	86	85	1
OS01G0817000	BGIOSGA000595	100	100	1
OS01G0817100	BGIOSGA000594	100	100	1
OS01G0817400	BGIOSGA004688	88	100	1
OS01G0817650	BGIOSGA004690	100	100	1
OS01G0817700	BGIOSGA004691	100	100	1
OS01G0817800	BGIOSGA000593	100	100	1
OS01G0818000	BGIOSGA004692	91	83	0
OS01G0818100	BGIOSGA004693	95	60	1
OS01G0818200	BGIOSGA000592	57	71	1
OS01G0818300	BGIOSGA004694	100	100	1
OS01G0818400	BGIOSGA004695	100	100	1
OS01G0818600	BGIOSGA000591	100	58	1
OS01G0818700	BGIOSGA000591	70	33	1
OS01G0818900	BGIOSGA000590	100	100	1
OS01G0819000	BGIOSGA004696	99	99	1
OS01G0819100	BGIOSGA004697	100	56	1
OS01G0819200	BGIOSGA000589	97	62	1
OS01G0819300	BGIOSGA000588	60	13	0
OS01G0819400	BGIOSGA004698	94	100	0
OS01G0819700	BGIOSGA004699	86	76	1
OS01G0819800	BGIOSGA004700	100	100	1
OS01G0819900	BGIOSGA000587	100	100	0
OS01G0820000	BGIOSGA000586	45	31	0
OS01G0820400	BGIOSGA004701	99	85	1
OS01G0820700	BGIOSGA004703	89	96	1
OS01G0820800	BGIOSGA000585	100	100	1
OS01G0821300	BGIOSGA000583	98	52	1
OS01G0821600	BGIOSGA004705	68	69	0
OS01G0821700	BGIOSGA000582	100	100	1
OS01G0821800	BGIOSGA000581	99	99	1
OS01G0821900	BGIOSGA000580	100	82	1
OS01G0822200	BGIOSGA000579	100	100	1
OS01G0822501	BGIOSGA011011	4	3	1
OS01G0822800	BGIOSGA000577	90	90	1
OS01G0822900	BGIOSGA000576	100	100	1
OS01G0823100	BGIOSGA004707	100	100	1
OS01G0823200	BGIOSGA004708	57	31	0
OS01G0823300	BGIOSGA004709	100	100	1
OS01G0823400	BGIOSGA004710	99	98	1
OS01G0823500	BGIOSGA000573	99	99	1
OS01G0823600	BGIOSGA004711	100	100	1
OS01G0823700	BGIOSGA000572	100	100	1
OS01G0823900	BGIOSGA000571	94	94	1
OS01G0824500	BGIOSGA004713	91	91	1
OS01G0824600	BGIOSGA004714	97	55	1
OS01G0824700	BGIOSGA004715	92	75	1
OS01G0824800	BGIOSGA004716	100	100	1
OS01G0824900	BGIOSGA004717	100	100	1
OS01G0825000	BGIOSGA004719	100	100	1
OS01G0825500	BGIOSGA000569	100	100	1
OS01G0825700	BGIOSGA000567	92	99	1
OS01G0825800	BGIOSGA000566	91	95	0
OS01G0825900	BGIOSGA004720	98	100	1
OS01G0826000	BGIOSGA004721	100	100	1
OS01G0826400	BGIOSGA004722	99	99	1
OS01G0826800	BGIOSGA000564	100	100	1
OS01G0826900	BGIOSGA000563	97	100	1
OS01G0827200	BGIOSGA000562	100	100	1
OS01G0827300	BGIOSGA004724	100	94	0
OS01G0827400	BGIOSGA000561	99	64	0
OS01G0827500	BGIOSGA004725	100	100	1
OS01G0827600	BGIOSGA004726	97	100	1
OS01G0827700	BGIOSGA000560	51	96	1
OS01G0827800	BGIOSGA004727	81	100	1
OS01G0828100	BGIOSGA004728	98	70	1
OS01G0828200	BGIOSGA004729	80	79	1
OS01G0828300	BGIOSGA004730	100	100	1
OS01G0828900	BGIOSGA012204	100	100	1
OS01G0829000	BGIOSGA032615	100	95	0
OS01G0829100	BGIOSGA032226	92	88	0
OS01G0829400	BGIOSGA004732	100	100	0
OS01G0829500	BGIOSGA000558	92	56	0
OS01G0829600	BGIOSGA000557	97	99	1
OS01G0829800	BGIOSGA004733	99	99	1
OS01G0829900	BGIOSGA000556	100	100	0
OS01G0830000	BGIOSGA000555	100	100	1
OS01G0830100	BGIOSGA004734	99	91	1
OS01G0830200	BGIOSGA000554	100	100	1
OS01G0830500	BGIOSGA000553	100	100	1
OS01G0830700	BGIOSGA004735	100	99	1
OS01G0830900	BGIOSGA000552	97	97	1
OS01G0831000	BGIOSGA004736	99	96	0
OS01G0831200	BGIOSGA004737	100	100	0
OS01G0831300	BGIOSGA000551	100	44	1
OS01G0831800	BGIOSGA004738	69	92	0
OS01G0831900	BGIOSGA000550	99	100	1
OS01G0832000	BGIOSGA000549	100	100	1
OS01G0832100	BGIOSGA004739	99	96	1
OS01G0832200	BGIOSGA000548	99	95	0
OS01G0832300	BGIOSGA004740	100	100	1
OS01G0832600	BGIOSGA004741	100	100	1
OS01G0832900	BGIOSGA004742	100	100	1
OS01G0833000	BGIOSGA004743	97	97	1
OS01G0833100	BGIOSGA000547	100	100	1
OS01G0833150	BGIOSGA004744	75	90	1
OS01G0833200	BGIOSGA004745	99	99	1
OS01G0833400	BGIOSGA004746	100	100	1
OS01G0833500	BGIOSGA000546	100	100	1
OS01G0833600	BGIOSGA000545	76	44	1
OS01G0833700	BGIOSGA000544	89	86	0
OS01G0833800	BGIOSGA000543	100	100	1
OS01G0834100	BGIOSGA000542	91	66	1
OS01G0834200	BGIOSGA004748	98	100	1
OS01G0834400	BGIOSGA000540	92	67	1
OS01G0834500	BGIOSGA000539	100	100	1
OS01G0834700	BGIOSGA004750	100	85	1
OS01G0834800	BGIOSGA000538	54	100	1
OS01G0835000	BGIOSGA000537	100	100	0
OS01G0835500	BGIOSGA004752	100	100	1
OS01G0835600	BGIOSGA000536	100	100	1
OS01G0835700	BGIOSGA000535	97	97	0
OS01G0835800	BGIOSGA000534	100	100	1
OS01G0835900	BGIOSGA004753	100	100	0
OS01G0836400	BGIOSGA004755	99	89	0
OS01G0836600	BGIOSGA004756	100	100	1
OS01G0836700	BGIOSGA000533	100	100	1
OS01G0836800	BGIOSGA000532	100	100	1
OS01G0836900	BGIOSGA004757	100	100	1
OS01G0837000	BGIOSGA000531	100	100	1
OS01G0837100	BGIOSGA004758	68	91	0
OS01G0837200	BGIOSGA004759	99	39	0
OS01G0837300	BGIOSGA004760	100	100	1
OS01G0837300	BGIOSGA004761	2	2	1
OS01G0837500	BGIOSGA004762	100	100	1
OS01G0837600	BGIOSGA004763	100	100	1
OS01G0837700	BGIOSGA000528	100	100	1
OS01G0837800	BGIOSGA000527	100	100	1
OS01G0837900	BGIOSGA000526	100	100	1
OS01G0838200	BGIOSGA000524	99	99	0
OS01G0838600	BGIOSGA000523	100	100	1
OS01G0838800	BGIOSGA004766	91	57	0
OS01G0838900	BGIOSGA000522	100	100	1
OS01G0839100	BGIOSGA004768	81	83	1
OS01G0839200	BGIOSGA000521	78	77	0
OS01G0839300	BGIOSGA004769	100	100	1
OS01G0839400	BGIOSGA004770	100	100	1
OS01G0839500	BGIOSGA000520	100	100	1
OS01G0839700	BGIOSGA000519	100	100	1
OS01G0839900	BGIOSGA000518	100	100	1
OS01G0840200	BGIOSGA000517	100	100	1
OS01G0840300	BGIOSGA000516	100	21	1
OS01G0840700	BGIOSGA000511	98	36	1
OS01G0841000	BGIOSGA004772	99	99	1
OS01G0841100	BGIOSGA000515	94	94	0
OS01G0841200	BGIOSGA000514	100	87	1
OS01G0841400	BGIOSGA004773	51	39	0
OS01G0841500	BGIOSGA004774	82	98	0
OS01G0841600	BGIOSGA004775	99	99	0
OS01G0841700	BGIOSGA004776	100	98	1
OS01G0841800	BGIOSGA000513	95	67	0
OS01G0842200	BGIOSGA004778	99	100	1
OS01G0842400	BGIOSGA000512	99	100	1
OS01G0842500	BGIOSGA000508	100	100	1
OS01G0842600	BGIOSGA000507	100	100	1
OS01G0842801	BGIOSGA000506	79	44	0
OS01G0843300	BGIOSGA004780	93	91	1
OS01G0843500	BGIOSGA000502	100	100	1
OS01G0843700	BGIOSGA004781	96	99	1
OS01G0843800	BGIOSGA004782	27	64	1
OS01G0844200	BGIOSGA004783	99	99	1
OS01G0844300	BGIOSGA004784	99	99	1
OS01G0844400	BGIOSGA000501	90	85	0
OS01G0844500	BGIOSGA000500	97	98	0
OS01G0844700	BGIOSGA000499	100	100	0
OS01G0844800	BGIOSGA004785	98	99	1
OS01G0844900	BGIOSGA004786	100	100	1
OS01G0845100	BGIOSGA000498	98	63	1
OS01G0845950	BGIOSGA003142	83	57	1
OS01G0846000	BGIOSGA001989	97	69	1
OS01G0846300	BGIOSGA004789	100	100	1
OS01G0846400	BGIOSGA004790	100	100	1
OS01G0846450	BGIOSGA004791	93	34	1
OS01G0846500	BGIOSGA004792	100	100	0
OS01G0846600	BGIOSGA000497	89	94	1
OS01G0846800	BGIOSGA004794	100	43	0
OS01G0846900	BGIOSGA000496	100	99	1
OS01G0847100	BGIOSGA004795	99	99	1
OS01G0847200	BGIOSGA004796	58	89	1
OS01G0847300	BGIOSGA000495	100	100	1
OS01G0847600	BGIOSGA004797	84	99	1
OS01G0847700	BGIOSGA004799	99	99	1
OS01G0847800	BGIOSGA004798	67	67	1
OS01G0847900	BGIOSGA000494	100	100	1
OS01G0848200	BGIOSGA004801	100	100	1
OS01G0848300	BGIOSGA000493	66	100	1
OS01G0848400	BGIOSGA000492	100	48	1
OS01G0848550	BGIOSGA000491	100	100	1
OS01G0848700	BGIOSGA000490	100	100	1
OS01G0848900	BGIOSGA004802	96	96	1
OS01G0849000	BGIOSGA000489	28	100	0
OS01G0849100	BGIOSGA000488	100	100	1
OS01G0849500	BGIOSGA004803	100	100	1
OS01G0849600	BGIOSGA000487	100	100	0
OS01G0850000	BGIOSGA004804	99	99	1
OS01G0850100	BGIOSGA004805	100	100	1
OS01G0850400	BGIOSGA000485	100	100	0
OS01G0850800	BGIOSGA004809	100	100	1
OS01G0850900	BGIOSGA004812	99	99	1
OS01G0851000	BGIOSGA004813	70	93	1
OS01G0851100	BGIOSGA000481	100	74	1
OS01G0851300	BGIOSGA000480	99	99	1
OS01G0851400	BGIOSGA000479	99	97	1
OS01G0851600	BGIOSGA004814	100	100	1
OS01G0851700	BGIOSGA000478	100	100	1
OS01G0852400	BGIOSGA000476	83	90	1
OS01G0852500	BGIOSGA000475	94	89	1
OS01G0852650	BGIOSGA023036	33	47	1
OS01G0852800	BGIOSGA021109	100	100	1
OS01G0852900	BGIOSGA004816	100	100	1
OS01G0853000	BGIOSGA000474	76	99	1
OS01G0853400	BGIOSGA004817	100	100	1
OS01G0853600	BGIOSGA004818	2	2	0
OS01G0853700	BGIOSGA000472	97	97	1
OS01G0853800	BGIOSGA004819	100	100	1
OS01G0854000	BGIOSGA004820	100	100	1
OS01G0854400	BGIOSGA004821	100	100	0
OS01G0854500	BGIOSGA000469	100	100	1
OS01G0854800	BGIOSGA004822	100	100	1
OS01G0855000	BGIOSGA000468	100	100	1
OS01G0855200	BGIOSGA004823	99	67	1
OS01G0855400	BGIOSGA004824	94	100	0
OS01G0855600	BGIOSGA000466	100	100	0
OS01G0856000	BGIOSGA004825	81	80	0
OS01G0856500	BGIOSGA004826	100	100	1
OS01G0856600	BGIOSGA000465	54	52	0
OS01G0856800	BGIOSGA004828	89	99	1
OS01G0856900	BGIOSGA004829	100	98	1
OS01G0857000	BGIOSGA000463	98	99	0
OS01G0857200	BGIOSGA000462	76	98	1
OS01G0857250	BGIOSGA004830	99	99	1
OS01G0857300	BGIOSGA000461	97	45	0
OS01G0857400	BGIOSGA000460	100	88	1
OS01G0857500	BGIOSGA004831	99	37	0
OS01G0857600	BGIOSGA000458	65	66	0
